[00:00:11.160] ひしひ
[00:03:06.120] 配信者ってまともに働いてるやついねえんか?あいつらおかしくねえか?俺以外の配信者全員なんで平日の昼間から配信できんの?マジで意味がわからん。
[00:03:10.610] [音楽]
[00:03:17.640] 笑笑
[00:03:20.410] [音楽]
[00:03:21.720] あいつらおかしいよな。毎日平日の朝10
[00:03:22.879] 時から配信つけやがってよ。
[00:03:24.920] 働いてねえんかなあ。働いてねえんか。
[00:03:29.680] 働いてない人もまし。
[00:03:42.560] いや、本当まいっちゃうよね。そんなんのたそれが当たり前だと思われたらね、困るんですよ。それが当たり前みたいなね、感じされたら俺困っちゃうよ。俺ねえ。
[00:03:43.560] 6時から配信開始もなかなかホワイト
[00:03:47.159] 本当だよな。マジでそう。6時から夕方4
[00:03:51.239] 時からはい。仕事終わったんでこれから帰りますみたいな
[00:03:52.239] 4時ぐらいにツイートしてるやつら。
[00:03:54.000] おい、どういう金勤務体系なあ。ま、僕が負け組ってことですね。すいません。
[00:04:01.040] とかホワイト
[00:04:08.879] いや、マジでホワイトすぎるだろ。マジで怖え、あいつら普通んくらいが無理だろ。こんくらいだろだろ。家帰ってくんの
[00:04:09.879] 8時だぞ。
[00:04:10.920] 前回配信タイミングちょうどええよ。
[00:04:13.519] ちょうどいいじゃ10
[00:04:14.280] ってみんながだから社畜のみんなが手の開いたさ。もう色々終わってさ、やっとゆっくりできるなら時間でしょ。これだ。俺もそうだから。
[00:04:21.779] [音楽]
[00:04:26.120] 俺もそう色々やってそうじゃん。お前らお前らあれだぞ。俺
[00:04:27.120] 1
[00:04:27.240] 人暮らしでさ、だってお前ら配信と仕事以外にあの選択とかそういうこともしなきゃいけないじゃ。買い物とかさ。
[00:04:34.600] 仕事終わってきて大体この
[00:04:36.650] [拍手]
[00:04:37.800] そう。マジそうだよな。マジでそうだよな。洗濯とかさ、飯とか食ってたらさ、こうなるだろ。普通になんなんだあいつらなあ。なあ。まともに働いてるやつは配信者だっただめか。
[00:04:51.400] [音楽]
[00:04:53.560] エ、こんばんは。おてやってい、
[00:04:55.390] [音楽]
[00:05:01.240] こんばんは。ございます。おはようございます。これ昨コン今の
[00:05:02.240] Twitch
[00:05:03.960] の、これ昨のTwitch
[00:05:08.610] [笑い]
[00:05:20.280] のなんかこのおかしいよ。ちょっと普通に働いてさ、ルーヒットたちはやってないのかな?配信わかんないんですけど。わかんないんですけど。全く平日ぞ昼間から配信しやがってよ。あ、しました。
[00:05:21.319] 借り上げました。長くなってきたんでね。
[00:05:24.039] ま、あんな感じでやっていきます。今日も
[00:05:26.360] ラスタバナスやっていきます
[00:05:29.280] 。ラスタバナスリマスタードやってきます
[00:05:32.039] 。よろしくお願いします。
[00:05:34.440] この昨日配信なかったんだけど、今日昼間
[00:05:38.880] 珍しく渡るからLINE来て、お前今日
[00:05:41.560] 配信すんのって言われて、いやするけどっ
[00:05:43.800] て言ったら、いや、ちょっとマジで久々に
[00:05:48.240] お前の配信、俺ね、お前の配信の
[00:05:51.960] アーカイブ見てんねんけど普通に楽しみだ
[00:05:55.039] から遅れないでね。あいつなんだかんだ俺
[00:05:58.800] のこと好きだよな。多分な。
[00:06:01.440] あいつ、あいつなんだかんだ俺のこと好きだよ。多分あいつ俺の配信見てんねんて。そんなそんな人たちのために僕は今日そう出れてたね。今日ね、あいつ珍しくね、珍しくな、そんなワ渡る君のために今日はちょっと早く配信をつけました。なので今日はあちょっとまったりやってきましょうね。またはやりましょう。
[00:06:07.210] [笑い]
[00:06:12.880] [音楽]
[00:06:29.880] ラストアバナスやってきます。よろしくお
[00:06:31.639] 願いします
[00:06:35.720] 。
[00:06:37.400] ああ、正直もう前回覚えてない
[00:06:41.199] 。
[00:06:42.240] 正直もう前回どう何だったんだっけ?どうどうだったんだっけか何がどう
[00:06:49.280] なんでや
[00:06:51.319] 前回までのラスタバナス6
[00:06:52.479] の日数途中からずれてました。
[00:06:54.479] あ、本ん当スタバナス前回までのラスタバナスは何のあのプリズンプレねえんだ。
[00:07:05.039] プリプリズンブレイクみたいのねえの?
[00:07:07.720] 別にただこんなの見たの初めてだ。
[00:07:11.400] プリズムブレイクみたいにさ。こと一気にやらない。
[00:07:14.840] 森て初めて森っていいね。
[00:07:17.000] プリプリズンプレイクみたいにさ、前回までのプリズムブレイクはあ、おい、あれ打ったらなんか食料なんじゃねえか。おい、あれ撃ったら、あ、逃げられた。くそ。まだそ
[00:07:26.560] [音楽]
[00:07:28.800] んでマーリンのところに戻らないの?
[00:07:30.400] 誰だっけ?マーリンって。
[00:07:32.479] 自分で連れて行けるなら俺たちに預けないだろ。
[00:07:33.599] マーリンって誰?はったかも。
[00:07:34.879] マーリンってんって誰だ?
[00:07:37.440] 怒らせる気ないが
[00:07:38.960] そもそもあいつがまだ生きてる保証すらない。
[00:07:41.479] どういうストーリーですか?は本当にタフだよ。
[00:07:44.639] どういうストーリー?
[00:07:45.400] 関係ない。どうせ町へ無事に戻るのが難しいんだ。俺も町へ戻れるならそうするさ。
[00:07:56.560] どういう?お
[00:07:59.280] 、何
[00:08:01.240] ?あ、これ聞き耳モードね。おい、映像見
[00:08:06.319] てくれ。この映像。
[00:08:09.039] このなんていうの?この光のこの
[00:08:12.960] きゃーきゃーやつ
[00:08:15.800] 。待って。ちょっと全然ストーリー。
[00:08:18.120] 前回までのあらすじみたいのないの?これ
[00:08:21.400] 前回はテスが
[00:08:23.080] テスって誰だ?も全然覚えてねえじゃねえか。全然覚えてない。テスってあの女か?女か?あの一緒になんか言ってた女ね。
[00:08:33.880] 何あれ?
[00:08:40.200] おペテルお疲れ。何あれって?どれ?これこっちがなんか俺らをかかって死んだんだよな。
[00:08:41.240] なんかな、確かあんまりな、あんまりストーリー分かってねえみたいなこと言うとさ、ラスタバナスファンがイライラしまうからさ、怖えからさ、分かってるふりしよう。分かってなくても分かってるふりして、感動してるふりしないとあいつらぶち切れっかな。
[00:08:57.959] コメした。笑笑。
[00:09:00.560] んうん。あ、違う違う。ペってる。モルコペってる。ペロさんもこんばんは。
[00:09:05.360] 言い訳けにもいかない。いや、ストーリーはちょっとあらす教えてや。あす。いや、分かってるけどな。
[00:09:11.000] あらす分かってるけどな。ペペペロンは
[00:09:19.600] なんか
[00:09:21.120] なんかあれだよな。そテスが死んだの覚えてるよ。
[00:09:25.160] 4人
[00:09:26.440] だめだ。有鉄戦がある。ここ諦めよう。
[00:09:29.480] で、どこに行くんだっけか。どこに行くんだっけか。
[00:09:41.079] ねえ、見て。はい。何?何?何?
[00:09:44.079] ホタルだ。え?ホタル?これ本物だよ。
[00:09:46.920] ホタル?ああ、分かってる。
[00:09:48.519] ホタルって外国にもいんの?
[00:09:52.160] ごめん。
[00:09:52.480] ジョエルのお友達を頼るために移動一瞬見れてた。
[00:09:56.440] ジョエルって誰だ?そろそろそろそろぶれられそう。なんかそろそろ切れられそうだな。なんか
[00:10:06.240] そろそろ切れられそう。
[00:10:07.360] あれ?ジョエルって誰だっけ?主人公だよな。は、おめだよ。
[00:10:13.760] あ、俺か。そうだな。ちょ、主人公な。やべ、そろそろそろそろスタバのスパンが切れそう。あ、ちょ、ごめん。ごめん。もうちょっとずつ思い出していくから大丈夫だよ。
[00:10:25.850] [音楽]
[00:10:27.240] ジョエルの友達。あ、だからなんとかおじさんに頼んだべ。なんとかおじさんなんだっけ?
[00:10:33.920] 上から見てみよう。は、
[00:10:35.079] この女の子はえ、えっと、あ、
[00:10:44.320] 笑笑エリーが交代のエリーなエリーです。
[00:10:49.440] とりあえず西に行こう。強い、強い、強い、強い、強い、強い。
[00:10:53.440] 強い、強い。強そう。この女の子は交代を持ってるんです。この女の子は交代を持ってるんです。
[00:11:00.360] え、どういう武器?これ
[00:11:01.519] 主人公の娘の名前は?
[00:11:03.399] え、何これ?打撃系の武器。ハミがついてるよ、先端に。これは強そう。あ、これは強いっすね。オッケー、オッケー、オッケオッケー。いや、ちょ、ちょ、
[00:11:26.360] これはどう?あ、これな。
[00:11:29.560] の娘の名前は俺も忘れ。
[00:11:31.070] [笑い]
[00:11:33.160] ほら、もうこのゲーム好きな人でも忘れてんだから。忘れるだろ。あ、で、これで分かった。えっと、ここ置いて、置いて、置いていいよ。置いて、置いて。上から、上からこれをかけていくとそういうことでしょ?多分ね。そういうことでしょ。
[00:11:48.800] 組織の名前は?
[00:11:57.200] 組織の名前?え、なんだっけ?えー、ファイヤー、ファイヤー、ファイヤーアームズじゃなくて、なんかそんな感じだな。
[00:11:58.200] ファイアフライ。ファイアフライ。ファイアフライ。ファイアフライ。それは覚えてるわ。
[00:12:03.680] よし、行こう。ファイアフォックス
[00:12:05.920] じゃあファイアフォックス。あれ?あれな、検索エンジンみたいなやつな。あ、エルさん。
[00:12:12.320] お前か。誰とビルって
[00:12:14.199] いつもはどこで会うの?
[00:12:18.079] による。ここ来たことないんでしょ。
[00:12:21.160] ここに住んでるのは知ってたが直接会いに来たのは初めて。
[00:12:25.440] は、あの煙ビル。あ、そういうこと。
[00:12:28.360] だといいな。
[00:12:30.160] なら確かめに行かないとね。
[00:12:33.519] そうだな。え、ここ降りんの?大丈夫?わお。大丈夫?降りれる?降りれる?
[00:12:40.519] 結構高いよ、それ。足痛いよ。あのゾンビってさ、昼も夜も関係なく動いてんの
[00:12:53.639] なら人体伸びちゃう。
[00:12:55.720] 本当だよ。足首行くぞ。
[00:12:57.199] こんばんは。ラスハゲって言ってたけどラストハゲないの?これ。
[00:13:00.959] ラストハゲじゃない。ラスト。ラスハゲじゃねえや。のびさんこんばんは。
[00:13:04.199] どうじゃろうね。気をつけろ。高いぞ。
[00:13:19.650] [音楽]
[00:13:24.839] いや、さっきのやさっきの方が高かったけどな。え、待って。おるやん。え、もう声した。いるんかよ。いや、いるじゃん。普通に。これ大丈夫かよ?ああ、こういうこれね。
[00:13:25.880] はいはいはい。これね。はいはいはいはい
[00:13:27.680] はい
[00:13:29.160] 。いや、いるんだ。やっぱゾンビ
[00:13:33.279] 。ゾンビっていうか感染者っていうべき
[00:13:36.079] でしょうか
[00:13:42.800] 。
[00:13:44.519] おお。いいっすね。いきなり土管はやめろ
[00:13:48.600] よ。いきなり出てきたらぶっ飛ばすかんな
[00:13:50.399] 。あ、あ、あ、あ
[00:13:54.639] 。よしよしよしよし。お、
[00:13:58.519] どうした?
[00:14:00.360] 口笛拭きたいんだけど。なんで?
[00:14:03.079] 吹けてないぞ。
[00:14:04.880] 分かってる。
[00:14:08.079] 何?何?吹くなよ。おい、吹くなよ。お前絶対ちょっと待ってろ。何もなし。
[00:14:17.580] [音楽]
[00:14:22.480] あざす。あざす。あざす。
[00:14:25.839] あ、あ、あそ
[00:14:29.199] 。まあまあまあまあまあまあま
[00:14:32.079] 。よしよしよし
[00:14:40.800] 。え、もっと弾を集めろ。いや、もっと薬
[00:14:43.720] 集めろ。なんとかしてでもいい。弾薬
[00:14:45.199] ももっと手に入いないから。テスが来る
[00:14:46.639] まであと3週間しかない。うーん。テス
[00:14:50.079] 死んだやつだよな
[00:14:51.279] 。夜口笛と蛇が出るぞ。なんか田舎くせえ
[00:14:55.160] な。
[00:14:56.560] その田舎臭い。そのなんかそのジンクス
[00:14:59.839] よく言われたよな。あとあれ
[00:15:02.839] あのへそ出して寝るんが来たらへそがだこ
[00:15:06.920] だ取られるみたいなわけわかんね
[00:15:13.440] 。家ん中にいるのかな
[00:15:17.079] ?あ、外にいますね。1匹ね。あれ何なん
[00:15:21.160] だろうな。笑。
[00:15:24.160] 子供を怖がらせるためのあれなんじゃない?入るぞ。入るというか出るんだけどね。入るというか出るんだけどな。俺何持ってたっけ?
[00:15:38.560] 何あれ?え、くそ。
[00:15:45.759] え、どれ見て言ってんの?あ、これね。待って。
[00:15:46.839] 俺ナイフもナイフ1
[00:15:47.880] 個だけあるけどどうする?ナイフでやっちゃう?もったいないかな?作れねえかな?今ナイフ
[00:15:58.240] もったいなくない。もったいないかな?
[00:16:02.519] ほら早く。
[00:16:03.720] うるせえな。いや、早くったってこれどうすんのよ。
[00:16:12.480] 怖がらせるために蛇が出ると言ってらしいけど。
[00:16:17.120] これどうする?
[00:16:19.160] その他に昔泥棒や人さいが悪字を働く時の合図が口笛だったらしい。
[00:16:23.570] [音楽]
[00:16:25.680] へえ。
[00:16:27.560] 頭隠してり丸だし。
[00:16:30.360] でもこいつ視界はないからゆっくり近づけば絶対大丈夫だよ。大丈夫なのは
[00:16:35.440] 虫でよくね?
[00:16:36.639] ま、無視でいいか。そうか。別にここ何もないよな。ただなんか下に落ちてんねんな。あれだけ拾いたいな。ああ、瓶か。別にビンいらねえや。
[00:16:48.680] オオ、これは無視でいいや。確かにな。おい、このゲームやったことあるやつ
[00:16:55.319] 本当に不気味。
[00:16:57.880] ああ、ここ。
[00:17:01.440] いや、ここは別になんかでもあるぞ、あの奥に。これ取れるかな?これ取り行って大丈夫?これ最悪掴んで殺すか?
[00:17:08.520] みんな見えてないやつか?
[00:17:11.039] そう、これ見えてないからね。
[00:17:12.880] さすがにこれ、これさすがにバレるか
[00:17:16.799] ?投げるか?なん
[00:17:19.280] かあっちに投げればさ
[00:17:26.240] 。いや、大丈夫だろう。だめかな
[00:17:32.280] ?
[00:17:34.240] バカ早。なんでだよ。なんで?意味が
[00:17:39.520] わからん。なんでだよ。笑笑。
[00:17:42.960] 意味がわからなん。
[00:17:44.880] バカ。笑笑。笑笑。
[00:17:47.760] こ
[00:17:50.320] ちゃまだりえん。
[00:17:55.720] こなんでだよ。ふざけんな。もう1
[00:17:56.760] 回やろじゃ。くそ。もう腹立すからもうどうでもいい。ここちょっと待ってろ。おら、おら、おら、おら、おら。え、なんでなんだよ、今の。だめ。
[00:18:11.559] どうした?
[00:18:13.559] 口笛きたいんだけど。
[00:18:16.240] 吹けてないぞ。
[00:18:18.080] 分かってる。くそ。
[00:18:21.520] 投げた場所かな?
[00:18:24.000] 場所ダメだった。
[00:18:27.280] うまくいくと思ったけどね。
[00:18:30.720] 速攻バレてたよな。
[00:18:36.360] 入るぞ。入るじゃくて出るんだけどな。
[00:18:40.679] 下がってろ。
[00:18:41.280] だらもっと遠くに投げなきゃだめだ。もっと遠くにこの辺からあっちに投げ投げるんだよ。じゃ、瓶がない。あれ?瓶がないっす。レガになっちゃってる。ま、レガでもいいけど。レガでもいいけどさ。レガにしよう。じゃあごめん。さっきボタン間違ってさ、あれしちゃった。
[00:19:07.039] どだ?レガ抜き。
[00:19:10.919] どうだ?あ、だめだ。遠、遠すぎて気づいてねえ。お前意外と耳悪いんだな。瓶ねえか。あ、あれ拾ってねえな。怖い、怖い、怖い、怖い。やめて。
[00:19:36.240] あれ?レガ投げちったよ
[00:19:39.760] 。もう1回あいつも殺すか。
[00:19:43.960] え、ナイフもったいない。もうもったい
[00:19:45.960] ないよね。そうだよね。
[00:19:52.240] え、動いてるやん。え
[00:19:55.840] 、あれ?なんか動き出すた。
[00:19:59.720] 怖い。声がでかくて。
[00:20:10.960] なんでいるんだ?怖い。びっくりした。なんだよ。なんでだ?あいつなんで
[00:20:11.960] 2匹になってんだよ。急に
[00:20:15.159] こ。笑笑。
[00:20:18.840] ええ。何?何?何?何?何?何?こいつマジでなんで?え、何?
[00:20:27.080] 使うぜ。
[00:20:28.520] いや、使うんだら作っちゃう。あ、やばいでしょ。
[00:20:32.640] いやいやいやいや、お前なんだお前?お前何バレてるだろ、それ。まずバレねえんだよ。え、なんなのこいつ?あれか、あっちからわざわざ
[00:20:39.350] [拍手]
[00:20:44.039] エリじゃん。
[00:20:49.200] 戻ってったなあ。
[00:20:54.520] ああ、
[00:20:58.760] レガでボコ
[00:21:02.760] レガでボコは行けねえんじゃねえかな。レガでボコ行く。
[00:21:21.000] いや、こいつなんか壊しちゃってるよ。だめだ。
[00:21:27.400] 怖かった。な
[00:21:34.159] んでこい動くようになっちゃった?俺がレガ投げたから気づかねえわ。遠いとな。
[00:21:44.760] にないだろ。笑。車線通ってる。
[00:21:49.400] え、
[00:21:54.600] いや、どうするからこれ?別、この小屋ん中大したもんないんだったら進んじゃうけどな、俺。
[00:21:59.490] [拍手]
[00:22:05.520] 間違えた。
[00:22:12.480] なんかそんなそんな化け物
[00:22:17.320] さリスさリスさんどうもこんばんは。おお。バカどが気づいたか。このさ、このさ、あ、レード。お渡ろ。お疲れ。ありがとう。
[00:22:35.410] [音楽]
[00:22:40.240] ちょっと待って。こ、このなんてことね。こにこんな何分もかけなくていいだろ。もうわ、お疲れ。あ、フォロす。に
[00:22:48.730] [音楽]
[00:23:06.039] しもぎんちゃん、こんばんは。こ、このなんてことね。小屋にこんなにいや、どうするこれ?バカ、バカ。
[00:23:07.120] 何てる?バカバカ、バカ当てちゃった。間違えた。あ、違、あ、あ、あ、すごい、すごい、すごい。え、これバレてる?これ、
[00:23:08.980] [笑い]
[00:23:14.919] これ見てたらすぐやりたくなる。
[00:23:16.799] あ、バレてる、バれ、バレてる。やべえ、やべ、やべ、やべ、やべ、やべ、やべ、やめた。このバカ。
[00:23:25.120] [音楽]
[00:23:26.240] あ、あ、あ、あ。やばい、やばい、やばい、やばい。おい、てめ、おら、おめら、おめら。
[00:23:35.559] 笑笑。気持ち悪。
[00:23:36.880] これで全部最初から最初からこうすればなかったんだ。最初からこうしてくなかったんだ。結局これよ。
[00:23:44.700] [笑い]
[00:23:47.279] 最初からこうしときやがったんだ。
[00:23:50.080] かっこよくないな。結局ノ筋。
[00:23:53.360] しかも何それ?これだけ?布だけ。布だけかよ。ちくしょ。まあまあまあいまいだろ。
[00:24:04.640] ずにこんなもんだよ、最初から
[00:24:09.679] 。よし、ナイフ作って
[00:24:13.039] 。このこれも作って。こんなもんだろ、
[00:24:17.000] 最初から。よしよしよし。で
[00:24:19.480] 、どこ行きゃいいんだ?次
[00:24:22.320] はこっちか
[00:24:27.840] 。だめだ。反対からである。反対に行けば
[00:24:31.320] いいの?これじゃあ持ち上げてよ。
[00:24:33.880] え、あ、え、あ、そういうこと。
[00:24:35.880] いや、やめといた方がいい。
[00:24:37.600] 私は持ち上げらんないから、そうするしかないでしょ。
[00:24:40.559] お前1人で行けるか?
[00:24:45.520] よし。
[00:24:47.399] お前1人で行ける?
[00:24:50.799] 開けるだけだ。他はいい。
[00:24:52.679] そうだな。
[00:24:54.399] 任せて。
[00:24:56.720] 気をつけろ。
[00:24:58.200] そうだよ。だっているかもしんねえぞ。
[00:25:02.360] どうかな?やった。じゃじーん。
[00:25:08.960] 可愛い。あ、ないぞ。
[00:25:11.320] あ、これどうやったんだ?これこか。これ
[00:25:13.340] [音楽]
[00:25:25.399] この近接武器ってどうやって?ああ、ここれとあ、
[00:25:26.399] 1
[00:25:26.559] 個しか持てない。ああ、じゃ、満タの方にしとこうぜ。
[00:25:29.360] オタンスな。
[00:25:31.270] [音楽]
[00:25:39.120] ねえ、友達から車を借りたとして、その後は、
[00:25:43.240] あ、車借りようとしてんのか。
[00:25:45.000] 富を探す。
[00:25:45.679] え、なんか知らね人の名前がいっぱい出てくる。
[00:25:47.919] しかもあいつはファイアーフライだ。な
[00:25:51.080] んだこれ?情報を持ってる。なんだこれ?
[00:25:54.080] 分かった。
[00:25:55.320] かなり遠くに住んでるから車がいる。
[00:25:57.880] なるほどな。いや、車あったらだいぶ
[00:26:01.279] トミが弟か。見て。俺より、
[00:26:04.880] 俺より詳しい。
[00:26:06.440] ノームだな。ノームって何?
[00:26:07.600] ノームが描かれた画衆持ってたんだ。
[00:26:09.720] アーカイブ見直した。すごく可愛いよね。
[00:26:13.240] ノームって何?
[00:26:15.159] 妖精はダめ。気持ち悪い。
[00:26:16.960] あ、これ、これノー?これノーム?妖精じゃないの?これ。た、
[00:26:19.399] 弟。20年前に車運転してくれてたやつ。
[00:26:23.200] ああ。え、あれ弟なの?あ、おじさんって
[00:26:26.200] どういうことだったんだ?おじさんって
[00:26:28.480] 本当におじさんなんだ
[00:26:30.600] ?あ、ああ、あ、あ、あいつに会いに行く
[00:26:33.320] のね。あいつって死んだんじゃなかったっ
[00:26:34.760] け?違ったっけ
[00:26:42.240] ?もうなんかランディとかもうこのゲーム
[00:26:44.919] やったことあるやつはもう俺があまりにも
[00:26:46.679] 覚えてねえもんだからイライラしてもう
[00:26:48.399] なんか何も言ってくんねえわ。
[00:26:51.279] え、ジョエルって誰だっけ?つったらロムロムってるよって言た。ごめんだ。ちょだって
[00:26:57.799] あいつは生きてた。娘を売った軍人56
[00:26:59.399] してた。
[00:26:59.880] あ、そうなの?そんな描写あったっけ?
[00:27:04.559] だから急に殴らないで。
[00:27:06.360] 撃ってたじゃん。笑笑。
[00:27:08.360] わあ、すごい。
[00:27:09.360] 撃ってた、撃ってたわ。撃ってた。そうだ。撃ってた。
[00:27:12.279] 最初に撃ってた。
[00:27:13.320] 撃ってた。う、うるせ、うるせえなくよ。
[00:27:19.440] 覚えてるっちゅうのあるのかで毎回すぐりすんのボタン間違える。
[00:27:21.560] [音楽]
[00:27:24.200] でもこのゲームを大好きな友達なんかね、
[00:27:28.399] エンジェルナイフってキャラがいるらしいんだけど助けにね。笑
[00:27:32.360] なんだっけ?
[00:27:34.240] パンチしてお腹に穴開けるんだって。
[00:27:36.640] グ
[00:27:38.919] ゲームはどうも苦手だったな。
[00:27:43.200] 挟んでみたかったな。
[00:27:47.600] いや、この世界観よし。この後輩した世界よし。だから毎回殴るなって。ボタンがボタンがさあ、三角ね。
[00:27:54.410] [笑い]
[00:28:00.559] ちゃゲーム来た。
[00:28:01.919] 出た、出た。ケトベタお疲れ。あ、分かった。笑笑
[00:28:06.519] 分かった。わかった。ケトベト分かったよ。お前たまに俺の配信に来てそういうわけのわかんないコメントして。
[00:28:17.600] 嬉しすぎてやばい。
[00:28:18.640] あ、分かったわかったわかった。おつおつ。じゃ、今日ケベ隊にレドするわ。じゃあ
[00:28:26.519] 北国のクソコメ量産機闘1
[00:28:27.760] パクパクハンバーグ。しかもラスアス。
[00:28:30.720] それは本当に嬉しそう。え、ケベたんはラスアスやったことあんの?なんでレドやめてなんでだよ。なんでだよ。なんでだよ。レドないの?今日今日配信ないの?あるんじゃん。
[00:28:44.080] だからさ。よしよしよしよしよし。おい、これなんか装備できんじゃねえか。ちょ待って。
[00:28:50.679] このゲームもあるよ。
[00:28:54.840] ちょっと待って。ちょさ、これさ、俺の場所が悪すぎてさ、俺があとちゃう、これさ、待って俺ちょっと俺にだけ見えるようにするね。ちょっとごめんさ。これさ、あれだわ。思った。あの、見えない。あの、所持、あの、この歯車とかの処持ねえ。
[00:29:12.080] 俺が邪魔でだ。1
[00:29:13.159] 回ちょっと画面こっちの映して。俺だけとりあえず見えるようにするわ。一時消すのめんどくさい俺。今ちょっと待って。映るから。今
[00:29:26.720] かわいそう。
[00:29:30.440] 今こなかキャラクター強化で65
[00:29:34.360] 持ってんすよ。で、体力の上限上げんのが
[00:29:35.519] 50。これ202530。
[00:29:38.200] どうする?なんかあげようぜ。
[00:29:40.960] ナイフでの反撃75。これまでクリッカー
[00:29:44.960] の攻撃にナイフで反撃。ナイフ使うんだ
[00:29:47.080] もんな。結局な。結局ナイフ使っちゃうん
[00:29:50.559] だろう
[00:29:51.559] 。あ、でも一撃がど一撃じゃなくなる
[00:29:55.120] るってことか。今リッカーに攻撃されたら
[00:29:57.519] 一発だもな
[00:30:01.679] 。最大でも最大体
[00:30:05.480] うん。こんばんは。最大体欲しいよな。
[00:30:08.080] 悩ましい。
[00:30:09.519] いや、やっぱ体力欲しいな。聞き耳の半義。まあど、工作の速度とか正直別に遅くてもいいな。治療の速度。
[00:30:21.559] エム悪そうだからな。
[00:30:23.039] ま、確かにな。確かにエイムはゴミエイムだよ、俺。ゴミエム
[00:30:28.600] は意味ないない。
[00:30:30.480] ゴミエム。どうせ無双だし。
[00:30:35.000] ブレが減ったところでトパ
[00:30:39.760] やっぱ体力だろ。どうせ無双なんだもん。
[00:30:40.760] 1
[00:30:41.480] 回体力上げさせて。まず1個目はまず1
[00:30:44.200] 個目は体力上げるわ。1個目な。
[00:30:47.360] 笑。検闘1最終。
[00:30:50.519] あれ武器ってどうやって強化するんだったっけ?武器ってどうやって強化するんでしたっけ?
[00:30:55.200] とりあえずね。
[00:30:57.080] 武器ってどうやって武器ってどうやって強化すんだん武器ってどうやってそう
[00:31:06.080] ワークベンチみたいなのがある。
[00:31:07.799] ああ、そうだ、そうだわ。そうです。そうですね。なん、俺より詳しいや、みんな。俺より詳しいや、みんな。全然覚えてねえ。
[00:31:16.430] [笑い]
[00:31:19.840] そうだよ。ごめん、ごめん、ごめん。
[00:31:21.720] そらそうやろ。
[00:31:22.799] いや、そうや、そうや、そうやな。
[00:31:24.039] ないの?この辺ありそうじゃね?
[00:31:32.720] 仕事さボりながら全部見直したよ。クーロンズゲートからやり直せ。絶対やだ。
[00:31:33.720] 2度とやらねえよ。クーロンズゲートが
[00:31:35.200] すごい恨んだよ。
[00:31:36.320] すいません。だめ。しょうがないやん。眠なるやん。ラスアスより眠さをみんな待ってた。ごめんね。
[00:31:48.519] から電話で起こすからね。
[00:31:52.360] ごめごめんって。いや、もうめっちゃ強化
[00:31:54.440] できそう。めっちゃ強化できそう
[00:31:57.840] 。いや、この辺あってもいいと思うんだ
[00:32:00.279] けどな。バークベンチな
[00:32:03.480] 。ここさっき入ったとこか
[00:32:07.720] 。うわあ、このガチャガチャ熱くね。この
[00:32:10.639] ガムとか入ってるやつ大してうまくねえ
[00:32:13.279] ガムな。10円とかやつままの昨日配信
[00:32:16.799] せずに待ってた。嘘つけよ。待ってねえ
[00:32:19.039] だろ
[00:32:20.240] 。
