[00:00:05.319] おはちゃま防人1チルド
[00:25:58.880] クリッカーだな全部クリッカーだじゃあ
[00:26:01.039] 大丈夫
[00:26:03.360] 触ったりしなかったらこいつらは大丈夫だ
[00:26:07.120] からあ使えるのその
[00:26:11.440] キャラ最近人間のがいやあもうやべえのが
[00:26:15.720] いるじゃんでもあれはちょっと無理だ
[00:26:25.200] よやだるあれはちょっとだるいな
[00:26:32.120] 何何ああだめだこれダだじゃ1回やめよ
[00:26:37.200] ああだめ
[00:26:38.840] かちょっと待っ
[00:26:42.840] て
[00:26:49.600] うん倒して回るに
[00:26:56.399] もこの数はねうんこれ倒して回んのは無理
[00:27:01.159] だ
[00:27:14.360] ねめっちゃ来る
[00:27:18.559] よえなんでこれダメなんだよ
[00:27:28.220] [音楽]
[00:27:31.320] やっぱ倒してくしかねえんか
[00:27:44.559] なこいつ無力ができねえのだるいんだよな
[00:27:48.519] やも銃とかバンバン使えば
[00:27:51.159] さややってくかこれナイフで弓でやってく
[00:28:00.240] 弓矢かな弓矢
[00:28:06.320] だあけさん
[00:28:10.640] こんばんは拾えるし
[00:28:27.120] ね
[00:28:32.640] あ拾えるかなこれあ拾えるよしよしよし
[00:28:38.760] よしやはり弓矢
[00:28:44.380] [音楽]
[00:28:53.240] 最強ああだしまあまあいいやあれあっちに
[00:28:57.440] 行くんだったら別
[00:29:05.279] に
[00:29:17.240] ありがとう
[00:29:19.600] タバナタバナやってる
[00:29:22.200] ぜあぶんぶんお
[00:29:26.279] 疲れ多いねんあのデブが
[00:29:31.880] よあれあれってデブだよなあの砲手投げて
[00:29:36.279] くるやつだ
[00:29:39.000] ね
[00:29:41.399] 邪魔自分
[00:29:52.360] うるせえいやもう絶対ぞもだと思った
[00:30:03.919] よしよしよしよしよし
[00:30:07.840] よし危ない危ない危ないよしよし戦わなく
[00:30:11.200] ていいんだったらいいやよしよしよしよし
[00:30:14.039] よしナイスナイスよしよしよし
[00:30:19.240] よし
[00:30:21.000] オいい
[00:30:22.919] ねも補給できたしなで
[00:30:26.559] オオオもできたしまこっちこっちが正規
[00:30:29.159] ルートだなあのデブの名前忘れた何だっけ
[00:30:32.840] 忘れちゃった
[00:30:40.480] 俺
[00:30:42.039] ありがとうありがとう
[00:31:03.480] よしよしあああんとじゃあ作ろうか
[00:31:07.320] えーあ満タン
[00:31:11.159] だ満タンだ
[00:31:16.360] な円幕使ってかねえとマジで
[00:31:20.600] さ円幕の使い方よくわかんねえんだよな
[00:31:34.919] 円いらない説うんよく分かって
[00:31:38.360] ない感染者はいたが大丈夫
[00:31:47.320] だお発電機
[00:31:50.960] ありあれあの合流した2人組はどうなった
[00:31:54.399] んえ
[00:31:58.279] 合流した2人組あの黒人の死んだ
[00:32:03.639] よ死ん
[00:32:07.679] だ
[00:32:10.360] ビブレあら結構結構ね心に来る終わり方
[00:32:15.799] だったよなあれな
[00:32:30.080] 見なくてよかったなんで見た方がいい名刺
[00:32:33.960] だ
[00:32:37.919] からよしゲートへ
[00:32:43.360] 来いやった通って
[00:32:50.159] くれこいつすげえサラブレッドみたいな
[00:32:52.799] ラミしてん
[00:32:55.840] な見てくれファイヤフライだってのかな
[00:33:00.679] いやそれはないだろうまてあるぞ研究所
[00:33:05.519] からこんなに近いのに侵入者を防ぐため
[00:33:09.159] じゃないかみいしてクリップもあるよ
[00:33:12.200] ニコニコり邪魔が絶して
[00:33:15.320] た悲しくなっちゃった
[00:33:22.440] ねこっちです
[00:33:24.960] か見るならアーカイブ見るべよ
[00:33:28.679] まあフルで見て
[00:33:47.840] くれ昨日何時ぐらいまでやってたのえ5時
[00:33:52.000] ぐらい4時4時半ぐらいかな
[00:33:58.039] からは誰も死なせ
[00:34:00.000] ない誰も死なせ
[00:34:03.519] ないもう誰も失いたくないはいない何も
[00:34:08.720] ないあ誰かいると思ってたかなもう誰も
[00:34:13.919] 失いたくない何事もなければ今日で終わる
[00:34:16.560] んじゃない
[00:34:18.760] マジもうそんなとこまで来
[00:34:26.200] てる打撃作ろっか
[00:34:34.040] なあんたも行ってたおいはいはいはい
[00:34:39.359] はい大学には行ってない材だねなんで
[00:34:45.200] あその頃もうさがいた
[00:34:50.399] からしてたのちょっとだけ何があったの
[00:34:55.240] ちょっとだけごめん
[00:35:01.480] 結構若くして結婚したんだ
[00:35:07.400] なそうだよなだってこれジョエル今何歳
[00:35:11.440] これ20年たあれから20年経って50歳
[00:35:14.560] ぐらいだろこれ多分てことはあん時30歳
[00:35:17.440] ででさらあん時10歳ぐらいだからも
[00:35:20.119] 二十歳とかには結婚してたんだろうな多分
[00:35:23.359] なたまたまたま
[00:35:29.079] 早だいぶ早いよなだって20年たってまだ
[00:35:31.960] こんだけ若いんだ
[00:35:45.119] からなんか見落としてるか大丈夫か
[00:35:49.359] なラスアスだー
[00:35:51.920] こば
[00:35:53.599] おはようラサス知ってるたまにはゲじゃ
[00:35:57.960] ねえゲームやろうかなと思ってさと言って
[00:36:00.720] もまこれももう10年以上前のゲームだ
[00:36:02.400] けど
[00:36:04.640] なあファイアーフライのタグ来
[00:36:08.280] た
[00:36:10.359] そ北九州出身の大学同機が話してたけど
[00:36:15.119] 成人式行ったら半分が結婚して
[00:36:18.560] 子供
[00:36:20.079] てるめてるよあプレステ5の
[00:36:24.040] ねプレステ5な
[00:36:27.839] な俺
[00:36:29.160] もプレステ5欲しいなと思ってけどさ
[00:36:32.839] プレステ5欲しいな欲しいなっと思って
[00:36:34.680] けど同じくらいの値段のレトロゲーム買っ
[00:36:36.400] ちゃうからな毎月
[00:36:42.960] なレトロゲーム我慢すりゃ買えるんだよ
[00:36:53.240] なこっちの奥ですかがっちゃうそうなん
[00:36:56.920] だそうだな高校卒業したらだそうなんだよ
[00:37:00.359] なプレス5も欲しいけどポリメガも
[00:37:03.800] 欲しい高校卒業した大学とか専門働きない
[00:37:06.800] のあまあまあまあまポリメが間違いない
[00:37:09.280] ポリメがだよ
[00:37:11.760] なでもプレステ55万ぐらいでしょ
[00:37:16.760] ポリメントも揃えたら15万とかする
[00:37:21.680] でしょでユニットも揃えたらさ10万
[00:37:24.920] 超えるべたけえよ
[00:37:30.520] たけえほら詰めろパソコン買えるかも笑
[00:37:35.720] マジで下し変えるよなパソコンな
[00:37:59.079] うん正直しかも
[00:38:01.359] プレステパソコンあったらプレステ5いら
[00:38:04.000] ねえかもなってのも若干あるんだよね今
[00:38:06.119] スチームレ同じの出るから
[00:38:15.000] ねあれこかない
[00:38:18.119] のんねあそこどうかなどこどこどこどこ
[00:38:23.119] どこそれはマジ最近ソニーのゲームもてに
[00:38:27.920] どんどん出てるうんドラクエもだって出る
[00:38:30.079] んでしょあんまプレステ5でしかできない
[00:38:32.720] ゲームって思いねえないよね別に
[00:38:39.000] ねあそこどうかなってどこ見てったデック
[00:38:41.880] がずっとと気になって
[00:38:43.680] てスチームデック
[00:38:46.280] ねえ高すぎて手が出ないあれも10万
[00:38:50.760] ぐらいするもん
[00:38:56.440] ねどどこどこに持ってくの
[00:39:01.880] これ
[00:39:07.800] ここL3ああ入れそうだ
[00:39:12.640] な
[00:39:14.240] おおそうあそういう使い方もすんのね思っ
[00:39:17.640] てたのとは違うがうまくい俺も思った思っ
[00:39:21.400] てたのとは違うけどなあ馬置いてくんの
[00:39:33.599] タコドラクエはスにだからまだパソコン
[00:39:36.720] 出るのが分かるのよラチェクラとか
[00:39:39.319] ラスアスとかのソニーレーベルもどんどん
[00:39:41.560] 服に出てるのよへえあそうなん
[00:39:44.800] だまそっちの方が正直売れるしね別に
[00:39:48.240] そんなさあの限定することないよ
[00:39:53.640] ねえ入れそうってどこから入んのこれ
[00:39:59.920] 開くのかなこれ開かないよ
[00:40:02.359] ねあどっから入んのこれここかあちげえ
[00:40:07.680] これを使うんかもう1回もう1回これ使う
[00:40:09.680] んかなあそう
[00:40:14.480] だでこのトラックに乗りますと
[00:40:19.920] 多分
[00:40:22.160] オ
[00:40:26.319] よいしょよいしょよいしょよいしょオ
[00:40:31.560] オオんこの上があこっち
[00:40:36.480] か
[00:40:39.480] [音楽]
[00:40:40.839] よいしょよし入った来い手を
[00:40:46.079] かせよしいい
[00:40:48.200] ぞここがありがとうここがを探ファイア
[00:40:52.640] フライの基地ですか違うかなあここね知っ
[00:40:57.800] てんの思い出し
[00:41:02.560] た誰
[00:41:05.079] か敵はいなそうだ
[00:41:17.200] けどっからさはかなり覚えてるかもあそう
[00:41:20.480] なん
[00:41:22.359] だういお疲れおもうこれお疲れやってんぜ
[00:41:29.440] キングスマン見てたら配信始まってた
[00:41:32.079] キングスマンて
[00:41:34.240] 何キングスマンって
[00:41:38.480] 何スパイ
[00:41:45.319] はええおれんあ来た来たやってみるかつて
[00:41:52.119] もうなあんまりねえよ育てるところ
[00:41:54.880] リボルバー育てるかシャガ育てる
[00:42:00.240] か弓あ弓ももうだってねワークベンチの
[00:42:03.480] レベルが足んなくてこれ火炎放射機なんて
[00:42:06.920] さ育ててもそんな意味ないやろ
[00:42:10.760] これ両重育てるか
[00:42:14.000] ちょっとちょっと今まであまりに
[00:42:18.920] もちょっと育ててなかったからなここな
[00:42:27.680] 領は何気強いからね領なんてあったんや
[00:42:31.880] あるあるあるライフルライフルライフル
[00:42:34.559] あのなんだっけあの弟と戦って時めちゃ使
[00:42:37.640] すやつ飛距離もあるし狙いも定められるし
[00:42:41.720] あ強いよ結構だ弾があんまりない
[00:42:47.720] ねこう点ゲムでるの羨ましいこのまま朝
[00:42:52.359] までやるのこういう視点のゲームできるで
[00:42:55.559] でう視ゲーできないの朝までやんな今日ね
[00:42:58.200] なんかじちゃんから朝電話電話か連絡あっ
[00:43:00.760] てじゅちゃんがなんか飯行こうぜ夜って
[00:43:02.640] 言うからま別にいいよって言ったらあ
[00:43:05.400] じゃあ10時頃にそっち行くわつって言っ
[00:43:07.319] てたから10時ぐらい遅すぎるだろなん
[00:43:11.319] 10時頃にそっち行くおびっくりしたフア
[00:43:14.119] フライ救世手が来た
[00:43:16.599] よいないのちゃん家族いる状況が分かるに
[00:43:21.000] して確定やん昔これやってたんだけど下手
[00:43:25.040] すぎて諦めそうなんだ遅くねそう遅いんだ
[00:43:28.599] よあいつちょっとずれてんだよな普通人の
[00:43:32.160] こと飯に誘うのってさ10時じゃ遅えだろ
[00:43:35.680] ま行く
[00:43:36.720] けど何食うんだろうなま牛丼屋さんとか
[00:43:40.800] しかなさあここには医療器具がある医療
[00:43:43.079] 機業あったら薬持ってこいよどういうこと
[00:43:46.680] みんな急いで逃げちまったようだなあまみ
[00:43:49.240] さんねあれだよ俺もクソ下手だから大丈夫
[00:43:51.599] ちで10ついてる店って何居酒屋もでも
[00:43:56.400] 居酒屋
[00:44:01.720] うちの近くの居酒屋だったら開いてるかも
[00:44:04.359] しんない
[00:44:06.960] ないやいるよ絶対いる絶対いるよ絶対いる
[00:44:11.720] から
[00:44:13.000] ねまみさん大丈夫だよ俺もめちゃめちゃ
[00:44:15.240] 下手くそだ
