[00:00:25.480] 会館ちゃまきちゃグググ
[00:03:42.319] はありでいきます
[00:03:43.879] はいよろし頼んます
[00:03:46.560] わさ最近さお前お前らあの俺時折り
[00:03:50.640] Netflixの話題になるけどまた
[00:03:52.439] Netflixクソ面しでドラマやってる
[00:03:54.799] の知
[00:03:55.560] てるNetflixのたて見てるお
[00:03:59.799] めちゃくちゃ面白いぞ見てくれな見てくれ
[00:04:03.680] あのこないだ見たサンクチありおもろい
[00:04:06.599] よって言ったじゃんあの相撲のあれ並だね
[00:04:11.040] あれ並だねあもこちゃんこんばんはのそう
[00:04:15.480] あれめちゃくちゃ面白いあののな高い
[00:04:18.479] ビブレいやネト振り高いんだけどえネト振
[00:04:21.720] りってでもな1番安くて700いくらだよ
[00:04:24.040] ねあれなんかネトフりってなんか3個
[00:04:26.479] ぐらいあるやんなんか上中ゲが同中がある
[00:04:30.759] じゃんなんか700円と1500円と
[00:04:33.639] 2000円いくらみたいななんかそうで
[00:04:35.880] 700円はなんか途中でコマーシャルが
[00:04:38.360] 入ったりとかなんかバックグラウンド再生
[00:04:40.919] ができなかったりとかそうなんかあるんよ
[00:04:42.400] なんか1番安いやつでよけれね700円
[00:04:44.440] ぐらいからあれめっちゃおもろいマジで
[00:04:46.919] ネト振りはねネトフりオリジナルが面白
[00:04:49.360] すぎるわはいやってき
[00:04:51.880] ます一もこんばんはなんかえんか
[00:04:59.960] じゃんえ何この
[00:05:03.880] あ何この生首だ何このちょっとなんか
[00:05:09.840] ちゃまぷん
[00:05:11.479] ちゃめ何どのタイミングこれどの
[00:05:15.759] タイミングだよ怖危なメ現起きてるニメ現
[00:05:19.720] てるねほっぺすぎる
[00:05:24.560] だろあれあれちょっと待って動かないなん
[00:05:27.880] で
[00:05:30.039] 配送あら動かないよこれこれだよ
[00:05:36.680] ね
[00:05:40.240] え何これ
[00:05:44.639] ちょっとごめちょっと待ってね何これ暗黒
[00:05:48.960] 時代終わったかもあのきさんこんばんは
[00:05:51.759] 今日は終わりですかあ今日無理かもなもう
[00:05:54.240] そのままやっちゃう
[00:05:56.120] かもういらねっかな
[00:05:59.880] いらねっかえなんでえ何これちょっと待っ
[00:06:03.800] て何これなん
[00:06:05.479] でえ何これ
[00:06:08.000] えなんかさ配信さなんか最近ちょっとやっ
[00:06:13.479] てなかったら
[00:06:15.280] さすげえ調子悪いんだ
[00:06:20.120] けどえこれ何なんで写んないのこれカメラ
[00:06:24.240] すねちゃったなんかさ全然写んないんだ
[00:06:26.800] けどこれなんで
[00:06:30.840] でもなんなんだよめんどくさもうああ
[00:06:34.800] めんどくせえ
[00:06:37.759] なちょっとえ何どうすればいいのこれ
[00:06:44.360] 何何がダメなんだよ物は使わないとれ
[00:06:47.800] るってマジやったんやそういうもんなん
[00:06:52.800] かいやだめだつん
[00:06:56.440] ねええ
[00:07:04.319] 耳がわからんなんだよもうめんどくせえ
[00:07:08.479] なめんどくせえ
[00:07:11.080] などれよ何これか
[00:07:16.120] はいなんて
[00:07:19.639] こたちゃなんやねどうも
[00:07:23.639] こんばんは来ましたはいどうもこんばんは
[00:07:29.840] が全然合わないじゃんあこれ急に来るえ
[00:07:34.360] ピントが全然合わないああってきたどうも
[00:07:37.240] こんばんは邪魔ゲームですすいません
[00:07:39.560] なんかもたつきましたはいどうもやります
[00:07:42.599] よ今日もえこれなんか大丈夫かなこれ何
[00:07:45.520] これマジでなんかなカメラ画質悪まいいや
[00:07:48.440] はいやりますモンの鍵ねやっていきます
[00:07:51.360] すいませんちょっともたつきましてすい
[00:07:53.080] ませ
[00:07:53.960] んやってこうかなやってこうかないい感ガ
[00:07:57.919] いい感じこったよかったはいやってきせ
[00:07:59.639] さんこんばんはどうもはいやってたら
[00:08:02.039] Netflixの地面主たちがおもろい
[00:08:06.680] ちょっともうおもろすぎる最近それ
[00:08:09.000] めっちゃ見てるわめちゃめちゃおもろい
[00:08:11.120] あれだからピエールタキってやっぱいいよ
[00:08:13.240] なピエルタ出てるんだけどピエル滝出てる
[00:08:16.120] んだけどピエル滝ってエキくそうめえよな
[00:08:19.720] どうでも
[00:08:20.720] いいどうでもゲームやるかはいゲームやり
[00:08:24.240] ましょうやりますかね
[00:08:27.360] じゃあしょうがないから
[00:08:30.400] 粉いやもう粉やめてるでしょ粉やめて
[00:08:33.680] ガンガン使ってったらいいと思うああいう
[00:08:36.519] ああいう役者はねさあやってきますかうん
[00:08:40.479] えやもうお前らにどうせそのいかに
[00:08:43.920] このネト振りのドラマがおもろいって言っ
[00:08:46.560] てもどうせ通じないから何やたんだっけ何
[00:08:50.080] やたんだっけも捨てるもんないからなま
[00:08:52.600] 確かにな何すんだっけ今から寝て6時に
[00:08:56.040] 起きるからそれまで流行ってなんなのお前
[00:08:58.880] ら
[00:09:00.040] お前ら何なんだよなんで明日仕事まさか
[00:09:03.560] なんでここからだろうがやってきますやっ
[00:09:08.120] ていこうじゃないかさあやっていこうじゃ
[00:09:10.680] ありませんかよろしくお願いしますしぼあ
[00:09:14.200] こんばんはやる
[00:09:16.120] よ俺だっ
[00:09:20.600] てやりますま今日も1からちょっとあの
[00:09:25.600] 戻し作業なんですが
[00:09:30.320] 余裕のよっちゃんですからこんなもんは
[00:09:33.240] なんかここなんかさ聞いた話によるとなん
[00:09:35.680] かさワープがあるみたいな聞いたんだけど
[00:09:38.040] ワープってどこにあんのどういうアイテム
[00:09:40.040] なんだろう見たことねえ
[00:09:41.560] なまちょっと探しつつ行きます
[00:09:45.800] かまもサクっと戻せるけどねワープなくて
[00:09:49.399] もそんな時間かからないと思う戻すのはね
[00:09:52.800] なんなら全フロアやりたいまであるもん
[00:09:55.279] ななんなら全フロアやりたいまである
[00:10:01.240] 時30分ぐらいで戻じゃねえ
[00:10:03.160] のルーム30ぐらいまでたんだ
[00:10:07.279] なもう懐かしいなんかもうこの辺がモン
[00:10:10.360] マスタソロモンマスターな足りねえよ俺が
[00:10:14.560] 俺がソロモン
[00:10:15.959] マスターはいなんか前
[00:10:18.959] さ前そのなんかなんとても僕に配信欲が
[00:10:24.959] あった時はさに1回やってたんだよその
[00:10:29.480] の終にその1年間やってきたやってきた
[00:10:33.880] ゲームを6本まとめてクリアする耐久配信
[00:10:37.639] みたいなやろうかな今年
[00:10:40.079] もこれこれ必ずランクインするこれ絶対
[00:10:43.760] 入るなそしたらなんかそのその年にやった
[00:10:47.000] その年にやった面白かったゲームをやる
[00:10:51.000] みたいな6本まとめてみたいなあまだやる
[00:10:56.200] やる詐欺かもしんないであんまり言いたく
[00:10:57.760] ないんだけど
[00:11:01.920] はい1回こいつステイして出し
[00:11:06.360] てこれ完全にランクインする
[00:11:09.480] ねおもろいもん
[00:11:13.639] なここ倒さなあかんねんなこれ
[00:11:17.200] なおい
[00:11:21.720] オラスアスもランクいやもラス長すぎて
[00:11:25.800] 無理やラスアスは長すぎて無理だラサス
[00:11:29.959] おもろかったけどねマジで今年
[00:11:33.680] のあれに絶対入るわ今年のなんていうの
[00:11:37.320] 名作あれめちゃおもろかったもん俺
[00:11:40.519] ナンバリングワツをさボコスカボコスカ
[00:11:44.200] 今年ちゃうねん去年の話あれ
[00:11:48.560] あのマジでナンバリング作品をなんつうの
[00:11:52.920] かなあやばいやばやらないんだよねその
[00:11:56.279] 連続であれはやっちゃったよねえお疲れ
[00:12:00.160] はいお疲れ
[00:12:01.399] じゃんあれ面白すぎた
[00:12:07.160] おんばだったねあれめちゃめちゃ
[00:12:09.200] おもろかったねあねああいうゲームやり
[00:12:12.120] てえよな
[00:12:16.360] またあのさなんかさあれあのなんだっけ
[00:12:19.160] あのライフイズストレンジが新しいの出ん
[00:12:21.399] でしょあれはやりてんだよなあれプレステ
[00:12:23.680] 5だけだっけん
[00:12:31.240] こちょもうもうすっと行かせてすっと行か
[00:12:34.120] せてもうだるいからほんまもう
[00:12:37.720] だるいあで下手かもななんかどうやって
[00:12:41.079] すっけここやべ戻しになんか時間かかり
[00:12:44.760] そう
[00:12:45.560] な気がしてきた
[00:12:49.519] なまずいまずいまずいまずい危ない危な
[00:12:53.120] うまうまなんか今出たのポリスノはあ
[00:12:57.240] ポリスおもろかったねアクションゲーム
[00:13:00.000] じゃないけど
[00:13:02.120] ねもういいや行ここ行こもうガンガン進も
[00:13:05.360] どうせええねんこんななんか妖精とか拾っ
[00:13:08.360] てもどうせ死んだら全部ゼになるしなあ
[00:13:12.720] ポリスノもおもろかった
[00:13:15.519] ねここどうやってやってたっけななんか
[00:13:18.040] あれだよなここは
[00:13:20.320] 確か誰が言ってくれたんだっけこの天才的
[00:13:23.120] なひらめきこれな落として倒す落として
[00:13:26.800] 倒すこの天才的な
[00:13:34.040] おいオうまいねこのやり方マジ考えたし
[00:13:38.320] 天才のこれ天のさだよ
[00:13:45.240] な神の見これ神の身業だろマジでよし来い
[00:13:50.839] オなんかでまたなんかさレトロゲーだけ
[00:13:53.639] じゃなくてそのなんだラサスみたいな
[00:13:55.880] ゲームやりてんだよななんかねおすめの
[00:13:59.079] ストーリーがめっちゃいい最近最近の
[00:14:02.199] ゲームでもねえんだけどななんかそ
[00:14:03.959] ファミコンとかじゃ
[00:14:05.480] なくめちゃめちゃストーリーが良くてこれ
[00:14:08.160] やっといたらええんじゃないみたい
[00:14:12.320] なこれ横着しちゃだめだな
[00:14:15.920] こんなおあなるほどねはいはい
[00:14:20.720] はい米国さんだったか一応これが作意では
[00:14:25.199] あったはずあそうなんだ米国さんが言って
[00:14:27.160] くれたんかこれさすが米国さん
[00:14:30.079] ファミコンリアルタイム世たから
[00:14:32.639] なヘビーレインはああヘビーやったこと
[00:14:36.040] あるんだよねごめんな俺ヘビーレインやっ
[00:14:38.839] たことあるんだ
[00:14:40.839] わあるんかあるでもあれはやったことない
[00:14:43.920] なんだっけヘビーレインともう1個あの
[00:14:45.720] なんだっけなあのビヨンド2ソウルズだっ
[00:14:50.399] けあれはやったことない
[00:14:53.360] なやってみよっか
[00:14:55.880] なたださ結局あのゲームはもうさあれに
[00:15:00.199] 叶わないんだよねあのデトロイトに叶わ
[00:15:03.880] ないからねあねあ幽霊操作するみたいな
[00:15:07.480] やつあわかんない幽霊操作すんかわかん
[00:15:09.560] ない
[00:15:10.360] けどオちなみにこれフェアリーってさ
[00:15:14.120] 集めると何になるのワナップかなんかすん
[00:15:15.959] のか
[00:15:16.920] 俺なんかやりてえよなそういう最近の
[00:15:23.720] ゲームプレステ5ちょっと高すぎてでも
[00:15:27.560] 買えねえよな
[00:15:30.759] 8万でしょ今
[00:15:38.360] あれマジで買う5はもういいや観光調
[00:15:42.120] オークションでプレステ5売ってたよあ
[00:15:45.600] 本当いくら
[00:15:47.959] でさすがにさPC持ってて
[00:15:53.079] さそれなりになんていうの
[00:15:56.000] その配信とかにも耐えるしそうPた
[00:16:01.880] わざわざゴーストオブ島なんかね誰がも
[00:16:04.639] 言ってたわそれこれなんかどうやってやっ
[00:16:06.880] たっけなんかやべえなんかやり方ちった
[00:16:09.519] なやべ
[00:16:13.720] あねパソコンで良いってなっちゃうよ
[00:16:16.959] ね持ってるけどほとんど起動してないらし
[00:16:20.319] だみんなそうやっていいよねストーリーの
[00:16:22.920] 良いエロゲーやろうストーリーの良い
[00:16:25.160] エロゲーて何4万でオークション
[00:16:27.399] ストーリーがいいエロゲーなんかあんエロ
[00:16:30.000] エロゲやってるやつってみんなそうやって
[00:16:31.680] 言うんだよなエロゲやってるやつってなん
[00:16:33.399] でみんなさエロゲってあのエロいなんか
[00:16:36.319] そうなんか横島な気持ちでやってんだろっ
[00:16:39.399] て言うとめちゃ切れるよ
[00:16:41.399] ねエエロゲにエロゲなんかその俺は抜く
[00:16:45.199] ためにやってんじゃねえみたいなや抜く
[00:16:46.959] ためにやってるやん
[00:16:48.880] 絶対ストーリーとアクションの合わせ的に
[00:16:52.279] ラスアス絶対くためにやってる
[00:16:55.120] やんえだに
[00:16:59.199] ストーリーのエロゲで何じゃ泣きながら
[00:17:01.160] しるんかいするけど不にいストーリーが
[00:17:03.720] 来るあやべあ時間忘れて
[00:17:06.679] た泣きながらしるんかなじゃそういう人
[00:17:10.839] ってなんとそう危なよしなかなんか敵を
[00:17:15.120] 作りそうなトークしてんな俺今いやでも
[00:17:17.199] やってみたいだやるんだエロゲやるんだっ
[00:17:20.319] たらエロいのやりたい
[00:17:22.439] わそうじゃ
[00:17:24.400] ねエロゲやるんだったらとことんエロいの
[00:17:26.959] やりたいま配信じゃできねけど言いたい
[00:17:29.559] ことは分かるなねここどうやってやって
[00:17:32.320] たっけゲとかやるのやらないあの
[00:17:36.919] アクションなんていうのアクションゲーム
[00:17:38.280] じゃなくてえっとワンンオークションで
[00:17:40.080] 4万前後で手に入るかもよプレステ5あ
[00:17:43.400] そうなんだあれ炎がねなんか盾のやつ
[00:17:47.679] タイミングずらしてなかったなんかもう炎
[00:17:51.320] とかガンガン使ってっ
[00:17:55.120] ちゃうお前は邪魔
[00:18:00.840] まあまあちょっとこれで許してこれで許し
[00:18:03.360] てくれ
[00:18:07.360] えいあれやりてえな早くななんだっけあの
[00:18:10.760] こないだやったエロゲのなんだっけあの
[00:18:13.280] ドラゴンナイト3もう買ってあるからいつ
[00:18:16.400] でもいいんだけどあもうどうやってやるか
[00:18:19.400] 忘れちゃったよこれどうやってやったっけ
[00:18:22.039] ないい
[00:18:24.240] ねどうやってやってたっけなこれなあれ
[00:18:27.400] めっ面白かったもんゲームとして面白かっ
[00:18:29.679] た
[00:18:31.919] わあれこれどうやってやんだっけ
[00:18:40.720] な
[00:18:44.159] 危ねえやばいやばいやば入りたくない入り
[00:18:46.679] たくないよいしょおいオガンガン行くぞ
[00:18:51.240] もうサクサク進めていくから
[00:18:53.760] な今ルーム何今まだルーム10かよ楽勝
[00:18:58.159] じゃんもう全部答え知ってるからねこの辺
[00:19:00.559] はねはいはいアニマル浜口
[00:19:04.799] ねアニマル浜口を全はいルームいくつまで
[00:19:09.919] あるのわからん50とか誰か言ってたけど
[00:19:14.480] キアジねここはどうやってやつたっけな
[00:19:19.400] えっとねここ確かこうつけてはいこう作っ
[00:19:23.760] てで先にここに置かなきゃいけない確か
[00:19:26.520] これはい
[00:19:28.960] してはい
[00:19:32.520] オ1回やったらもう忘れないでしょおい
[00:19:36.799] ラスアスとかライフストレンジのような
[00:19:39.080] ストーリーもで調べると他にデスストとか
[00:19:42.120] アンティルドーンえデスストって
[00:19:46.919] おもろいデスストって実際どあねどうなん
[00:19:51.039] デスストやってたことあるやついる
[00:19:52.760] デスストランディング
[00:19:55.280] でしょ小島ああ小島秀ゲーム
[00:19:59.600] 聞いたことはあるデスストランディングな
[00:20:02.159] あれこれどうやってやすっけなわ最初やっ
[00:20:05.919] て諦めなんでなんで諦めたのむずずいのや
[00:20:09.400] べあなん来るんかよお前誰やお前
[00:20:15.559] よしあいつうざいやついやいやいや
[00:20:18.280] いやいや嘘やろお前そっちくんかじゃあ
[00:20:20.440] そこにい
[00:20:22.159] なさいまず1回ここで必する危ねえどう
[00:20:25.360] やってやったっけな
[00:20:27.640] ここえ何何えああそこあそこ繋がってんの
[00:20:35.400] ねこ回1回ここ置かせ危ああもそうすっと
[00:20:40.159] ああなるほど
[00:20:42.000] ねなるほど
[00:20:45.559] ねここどうやって超えるねんて話じゃそし
[00:20:48.640] たら
[00:20:51.000] な回お前はここ閉じ込めといてこ
[00:20:58.840] 考えるの大変なのにルート作りも考えない
[00:21:01.799] とならんと
[00:21:04.080] いう何何何何の話あデストの話ありここ
[00:21:09.520] どうやってやってましたっ
[00:21:11.000] けなんか俺思ったんだけどさこれ別にさ
[00:21:14.360] なんかこことか
[00:21:15.840] に斜め下に入れれるんだったらなんかこう
[00:21:19.760] うまいことここにさまそうはうまくいか
[00:21:23.159] ねえ
[00:21:24.120] かいや無理だな
[00:21:29.000] 良い発
[00:21:30.320] ですが
[00:21:34.200] でおれなんでそこに出るの無理だだ
[00:21:44.080] 笑笑なんだよ
[00:21:47.000] これやや
[00:21:51.880] 間お疲れちゃんありがとう19か月だれ
[00:21:58.679] だっけななここなんかさなんか適当に適当
[00:22:02.960] にやってたらなんかできたんだよなやばい
[00:22:05.400] やばいややばいやば
[00:22:07.880] ばここ結構しんどいかもな
[00:22:12.520] リーリーここ結構しんどいかもん
[00:22:16.440] な
[00:22:18.039] はいはい前回は割と力技でしたそうだよね
[00:22:22.360] どうやってやってたっけねここ
[00:22:25.840] ねえね待ってこれをこうやっても今日は
[00:22:30.120] もうまた戻し作業からやって
[00:22:32.559] ますこうここでなんかやるんだともう斜め
[00:22:35.440] にさ置けるっていうアドバンテージを斜め
[00:22:38.679] に置けるってアドバンテージこなんでこれ
[00:22:40.600] でいいねんだ
[00:22:42.159] よえなんでやねんやばい来てるバカ
[00:22:49.039] はーい無理やろこれいや待ってじゃあもう
[00:22:52.600] いいわなんでやねんねんねんなんでなんで
[00:22:55.919] なんでやねんねんねんなんで
[00:22:59.080] 何ここめどうわめどなんやこれなんやここ
[00:23:03.159] めんどくさいなここどうやってやってたっ
[00:23:06.080] けやどうやってやってたっけ
[00:23:10.080] にゃあ猫語出たわどうやってやってたっけ
[00:23:15.360] にゃああにゃーも出ますとにゃーも出まし
[00:23:19.159] たね
[00:23:19.919] 今猫可愛いそうなん俺普段普段はそうやっ
[00:23:23.840] て喋ってるからね配信外ではそうやって
[00:23:26.039] 喋ってるよ何回で
[00:23:31.200] たそれは
[00:23:33.520] きつい可愛いだろうがにゃ
[00:23:37.480] にゃにゃ
[00:23:41.200] にゃえマジでこうだ
[00:23:45.400] よこれちょっとむくねえかこれもうなん何
[00:23:50.440] なもちょっと待ってこれここ
[00:23:52.480] 何ここもすっと行かせてくれよ
[00:23:58.720] めんどくさいにゃああめんどくさいにゃ2
[00:24:03.039] 時間くらいかな
[00:24:05.919] ここオうまいう見てうまい
[00:24:10.200] やろこうか
[00:24:12.919] にゃこうなのかにゃ犬のクンもして
[00:24:17.720] 何何何犬のクーンて
[00:24:22.200] 何やめてくれなんかなんかなんか急にはず
[00:24:25.880] なってきたわなんかなんかはずいわなんか
[00:24:27.960] それ
[00:24:29.159] あ危なあちょっと
[00:24:33.120] 待なんだここいいぞもだ
[00:24:38.720] 笑笑ちょっとここ
[00:24:41.440] 何ちょっとちょっと俺もちゃみたいに
[00:24:45.480] 面白いトクできるようになりたいよ
[00:24:48.440] 笑ん
[00:24:50.159] だなんだ馬鹿してんのか
[00:24:58.440] だろ母性本能くすぐられるだろ馬鹿にされ
[00:25:00.960] てんなな母性本能くすぐられるとよく言わ
[00:25:04.559] れますバカにしてるよ母性本能をくすぐら
[00:25:07.919] れるとよく言われます
[00:25:10.279] うまいこれがやりたかったこれでいいんだ
[00:25:12.840] よあれだ犬け彼女と一緒
[00:25:16.880] だ来た来た来た来たできたできたできた
[00:25:20.120] できた
[00:25:21.399] ナイスよしよしよしよしよしよしよしよし
[00:25:25.880] よしよしまだ落ち着け
[00:25:29.240] 犬ブちゃん犬なんなのか犬なのか豚なのか
[00:25:33.799] また犬の話100点の犬犬の犬の話
[00:25:39.120] だめちょ早く戻ろうぜもうちょっと
[00:25:41.760] サクサク行くから
[00:25:45.360] なこ
[00:25:47.159] れってさブンてこれってさ何面まである
[00:25:52.840] んそこが気になるとこですよねあね
[00:25:59.880] 50くらい50くらいな
[00:26:07.039] んただこれはちゃんと落ち着けば絶対余裕
[00:26:11.039] だから全然余裕なのこのゲーム落ち着け
[00:26:14.200] ば
[00:26:18.559] あ
[00:26:20.640] ぶねなんなんだよこいつらジで星座が
[00:26:25.039] それぞれ4ステージずつあるので点とか
[00:26:29.240] 12星座がなんてそれぞれ
[00:26:33.279] ちちべ時間が
[00:26:35.480] ねえ12星座がそれぞれ
[00:26:42.200] 何それぞれ4ステージということは
[00:26:48.840] 危ねえ
[00:26:50.559] 48あでもそおあそんなでもないやそ48
[00:26:55.760] じゃもうクリア見えちゃこんばんはどうも
[00:26:59.440] チマゲームですあ来たここだよここが
[00:27:03.840] 無ここが無人
[00:27:07.520] のここが無人だマジ無事かったよなここ
[00:27:13.279] なマジ無人だわ
[00:27:18.919] ここどうやってやってたっけてかこれ
[00:27:23.520] ここ
[00:27:27.159] あオケーえっとねここむずずいの
[00:27:32.480] よここ確かえっとねこうでこうここを
[00:27:36.640] 伸ばしてやるんだね確かねえこうでなんか
[00:27:40.799] 盾に伸ばしてたよねあそうそうそうこう
[00:27:43.159] こうこうこうこうあこうこうこうこうでで
[00:27:51.039] でんで良きタイミングで
[00:27:54.600] うまい天才かよ
[00:28:01.720] 天才だ天のさジ笑うますぎるうすぎかよ
[00:28:07.440] あれ上手認めざるをえ
[00:28:10.640] ないちげえ
[00:28:12.840] な
[00:28:14.720] あれ
[00:28:16.480] ここここ登られへんやんえこれなんで
[00:28:24.760] え前回も見たな笑
[00:28:29.919] えここどうやってやんの
[00:28:33.519] じゃあのといやこれの
[00:28:39.880] 解きまいっ
[00:28:43.159] かまた鍵取り直しかこれさどうやんのが
[00:28:47.720] 正解なんだろう今のちゃうんかい
[00:28:51.880] 笑え今の違うの今の正ちゃうんか悪終わっ
[00:28:58.919] た終わりです
[00:29:00.360] あね俺は生き残る
[00:29:10.279] ぜああもうなんやねんそれもうまま扉入っ
[00:29:15.080] てたそう前回はそう取って死んででも
[00:29:17.679] それってさ正規のやり方じゃないじゃんそ
[00:29:21.440] なんかあんまりあんまりそれ納得してない
[00:29:24.480] んだよねメルト
[00:29:28.240] メスルートてエなああれも量だよ
[00:29:34.480] ねあれまじ食もだと思ってるマジ
[00:29:38.159] でクコルートね女戦
[00:29:44.159] あ女戦士ルートはやだ
[00:29:47.360] なやり方大体あってますくっエンドになっ
[00:29:51.120] ちまうもさんこんばんはこんばんは空をげ
[00:29:55.159] ながら邪魔にならない場所にじめておくの
[00:29:57.600] が然なやり方ですねでもさどうやってもさ
[00:30:00.519] 上に上がってくためにはさ崩さなあかん時
[00:30:04.080] が来るやん誰でも
[00:30:07.240] さ誰でも
[00:30:10.080] やっぱり崩さなあかん時がやってくるやん
[00:30:13.519] そこなんよね難しいの
[00:30:15.760] はもうもう1個上まで危ねえつもう1個上
[00:30:21.159] までやりたいんだけどこの結局なの右側も
[00:30:25.799] 閉じなきゃだめいや右側はでも閉じ開けに
[00:30:28.880] 行けないよ俺は開けてあげらんない
[00:30:33.279] よあれこれどうやってやっんだこれこうで
[00:30:36.320] こうでこうでこう
[00:30:40.720] であああここ落ちちゃったらもうダだあ
[00:30:44.840] もうダメだ
[00:30:45.840] なうんうん潜感を破るのも大事ですねやべ
[00:30:51.120] いやこれじゃだめやねんなダメやなもこれ
[00:30:54.720] むずいってこれちょっとむてこれなんなん
[00:30:59.279] だよ笑笑なあ
[00:31:03.080] ブレキえもうこれメス
[00:31:06.399] ルート女戦士ルートで行くしかねえんか
[00:31:09.880] なやだ
[00:31:16.960] なあれめちゃめちゃなんかプライドが
[00:31:19.880] 傷つけられる俺の
[00:31:25.559] 危ねえいや鍵取って別に扉まで行かなくて
[00:31:29.159] も鍵取ってばなんか次のその次は
[00:31:33.559] なんか鍵取った状態になるのねあそれを
[00:31:35.880] 利用すれば別になんかその戻れなくても
[00:31:39.120] この鍵取った状態で死ん
[00:31:41.639] でってのできるんだけどでもそれって
[00:31:46.799] さそれってなんかなんかな違うよ
[00:31:52.679] ねああだからこういうことこうではいはい
[00:31:58.279] はいこうでこう
[00:32:00.720] でこうでこうでこうで
[00:32:08.080] えっとかしここうで
[00:32:11.600] そうそうばっちり
[00:32:15.480] ですああなるほどねああなるほど
[00:32:19.080] ね
[00:32:22.080] えっともうままいっか時間がねでもさ
[00:32:29.960] デモじゃないあれここに降りてくる時点で
[00:32:33.159] もハズれ
[00:32:37.000] かあと閉じ込めるタイミングが
[00:32:41.559] む閉じ込めるタイミングがわかんねえよ
[00:32:44.120] これぐちゃぐちゃ
[00:32:52.600] で間違えたなんかタイミングすいことに
[00:32:56.120] なってんなに閉鎖空間を右端だけにして
[00:33:00.080] おくとよかったですあそこはも降りちゃ
[00:33:03.440] だめだね閉じ込める前
[00:33:06.720] に大体ここの登り方もこれあってんのか
[00:33:09.600] これめちゃめちゃ無理やりな気がする
[00:33:14.320] けど
[00:33:17.200] えっと惜しいとこまではできてるんだよな
[00:33:20.519] えっとね待ってこうで
[00:33:30.120] え右端に作るってどういうことここ
[00:33:35.200] にいやそんなこと
[00:33:38.519] できるあこういうこと
[00:33:46.919] かこういうこと
[00:33:49.080] ねあんでんで分かったでこうかここかはい
[00:33:54.600] はいはいあ
[00:33:57.880] なんかできた
[00:34:01.720] かこれでどうよ天才だこれでいけんじゃ
[00:34:06.159] ないのよしパチパチこれでいけんじゃ
[00:34:10.240] ないあ行けるわなるほど
[00:34:14.679] ねよかったこれで分からせエンドになん
[00:34:18.720] なくてよかったメスがき分からせルートに
[00:34:21.520] 入んなくてよかった
[00:34:23.639] わたださここここをここここを超えるの
[00:34:28.760] もう相当な努力とあれが必要危ないうわ何
[00:34:34.800] してくれてんのバカお前バカ何やってんだ
[00:34:37.000] よ何やってん
[00:34:40.440] だ笑笑笑笑笑笑
[00:34:46.839] 笑笑結局は笑う笑結局こうなんじゃねえか
[00:34:52.919] よもうこれメスがき分からせルート入った
[00:34:56.839] わ
[00:34:58.760] ザコザコお兄さんのザーコってやってたら
[00:35:01.960] もうわからせの来
[00:35:06.040] たもう
[00:35:10.280] わなんだよこのゲームは笑笑分からせられ
