[00:00:00.000] DET
[00:08:00.759] やつがどうのこうのつって女仲間になった
[00:08:02.639] んだけどな私は神に使えるプリスト
[00:08:06.639] ですこの町のことは2人から聞きました神
[00:08:11.199] に使える身として放っておくわけにはまり
[00:08:15.120] まこの町のために協力してくれるのかすま
[00:08:20.479] ん
[00:08:21.639] の2人と一緒に宿屋にいたくなかったら
[00:08:26.960] わしの家を使ってもよいだよな大概な心配
[00:08:32.279] することはないわいこの家にはわし1人
[00:08:37.519] だけじゃからのじよっぽど危ないなこのじ
[00:08:42.479] さんは何をしでかすか分かったもんじゃ
[00:08:45.560] ないこりゃ何を言うん
[00:08:50.600] じゃ大丈夫ですわ2人が何かしようもの
[00:08:54.720] なら魔法の力でソフィアのエロシーンは
[00:08:57.720] ないのそう
[00:09:00.160] か残念じゃ
[00:09:02.720] のさてとそろそろ行く
[00:09:06.640] かあのあれだよななんかダンジョンの
[00:09:11.839] なんかね色お邪魔しました残念じゃ残念
[00:09:16.399] じゃんなんだよこいつしつけえ
[00:09:19.760] な
[00:09:21.600] あのなんか色のなんかさそうだ色付きの
[00:09:26.760] なんか変な鬼の扉みてなのがどのみたいな
[00:09:29.839] 感じだったよ
[00:09:31.079] なもうあまた4の中に入るのですじゃ
[00:09:35.800] マリーさマジこいつちょっと期待してたん
[00:09:39.920] だけどなこの子なあんま色上がってん
[00:09:44.360] なだったら解放しないであの平二のまま
[00:09:47.399] お前中にいた方がよかったよ時々ね塔の中
[00:09:52.480] から音が聞こえる
[00:09:53.980] [音楽]
[00:09:56.440] の解放するんじゃなかったなあ兵の方が
[00:10:00.320] 良かったよ
[00:10:01.560] な平良かったな可愛かったんだけど
[00:10:05.720] ねおかげでもう1回の部分にはモンスター
[00:10:08.680] は出てこないんでだいぶ楽です
[00:10:11.399] ねまこう解放してけば今度
[00:10:14.880] こう楽になってくからな敵が出てこなく
[00:10:17.560] なる
[00:10:18.140] [音楽]
[00:10:23.560] からだ5回まで行くの結構時間かかるんだ
[00:10:27.360] よね
[00:10:29.540] [音楽]
[00:10:35.160] 3回まで行っちゃってあ3回はまだ
[00:10:37.839] モンスター出るよなたくさんな
[00:10:41.519] 確かうんっBGMいい
[00:10:49.480] ねあ今日
[00:10:52.480] み月曜ってねみいよなもうだるいわ今週
[00:10:57.519] 仕事マジで
[00:10:59.740] [音楽]
[00:11:00.959] やだ
[00:11:02.480] もうでもなんかさこのゲームも俺やりてん
[00:11:06.079] だけどさあファミコン世界大会あるじゃん
[00:11:09.720] あれちょっとやっぱ全部S取りてえなって
[00:11:12.880] いうちょっとちょっとなんかそんな気が
[00:11:15.880] するんだよねあれちょっとやっぱ全部S
[00:11:18.800] 取ろうかなみたい
[00:11:20.800] なこれクリアしたらちょっとあと半分
[00:11:23.600] ぐらいだねだからどっかがっつりまた10
[00:11:25.560] 時間とか12時間ぐらいできるに
[00:11:29.480] かなと
[00:11:31.260] [音楽]
[00:11:32.760] 思いやだよなこの子あお尻なんかこれ
[00:11:36.320] なんかすごいやれみたいだよななんかな
[00:11:37.880] あのオスモさんのお尻みたいあの俺
[00:11:40.200] サンクチュアリめっちゃ好きで
[00:11:41.440] Netflixで何回も見てっからあれだ
[00:11:43.440] けどあれお尻があれああれラしたなんか
[00:11:47.920] オスモさんのお尻みたいのあんまりエロく
[00:11:52.519] ないもうここはフェアリーしか多分出てこ
[00:11:55.200] ねえだろうなここ
[00:11:56.800] なちゃもこんな感じ
[00:11:59.880] いやもうお前もっと可愛い俺の尻は分かん
[00:12:03.160] ね自分の尻見たことねえけど
[00:12:06.920] あんまりまたエロゲしてるもうエロゲしか
[00:12:10.000] せんよもう性欲の権だ
[00:12:13.600] からひめちゃん
[00:12:16.160] こんばんは欲の
[00:12:18.560] 根もうエロがきなんだ
[00:12:21.800] もうやだそういう年頃せに多なんでねもう
[00:12:26.480] エロゲしかせん
[00:12:31.440] きめちゃんあれあのなんだっけあのほら
[00:12:34.519] ファミコン世界大会あれ全部エ取っ
[00:12:37.120] たどうすっかなあれもちょっとまだやり
[00:12:40.440] たい気がするんだよ
[00:12:42.480] ねゲ無理ゲー嘘あれエス無理なの
[00:12:46.680] 全部行けるっしょひめちゃんだったらクソ
[00:12:49.120] うめえ
[00:12:50.839] じゃんあれ俺もね続きちょっとやりたいん
[00:12:54.079] だよねま結局半分ぐらいでちょっともう
[00:12:55.959] 眠たくなって寝ちゃったからさ
[00:13:00.360] Kチャンネルさん行けたんだピット君が低
[00:13:04.079] すぎあでもけちゃん19時間ぐらいで行け
[00:13:07.120] すたよ
[00:13:08.120] ねまパルテナむずいよなマジでパルテナ俺
[00:13:12.000] もパルテナでやめた
[00:13:16.800] もん俺も10時間ぐらいで半分だったから
[00:13:20.399] 多分やっぱそんくらいなんじゃないんかな
[00:13:22.120] どうなんだろう
[00:13:25.600] [音楽]
[00:13:29.880] ああピエロねどれがちゃんむいん
[00:13:35.760] だろずっとやったからなピエロあ今日この
[00:13:39.920] 辺解放したいっすねいやなんかエッな来て
[00:13:42.920] くれよ頼むよワンパトワエッはワンパーッ
[00:13:48.360] は頼む
[00:13:52.240] わ毎日配信してる最な珍しくさん
[00:13:56.680] こんばんはも
[00:13:59.199] ユニコーン
[00:14:00.600] ね今日のところは許してあげるままままま
[00:14:03.680] ユニコーンもまよし結構エロいねラスアス
[00:14:07.279] から頻度高くて嬉しいうそんな頻度高いか
[00:14:10.279] 結構休むとか休んでるけど
[00:14:13.279] ねこっち
[00:14:16.959] か違うんよあのね金島日月はやっぱ高く
[00:14:21.720] なるよね平日は俺月金って1日大きだ
[00:14:26.000] けどやっぱ金にしてる月曜もやるからあ出
[00:14:30.279] たエウロパロリー
[00:14:33.560] ねいいねちょっと犯罪の匂いが犯罪の匂が
[00:14:38.639] します悪く
[00:14:43.519] ないこれどうすんだっけ
[00:14:48.519] なああれえっとなんかさババーってどこに
[00:14:51.959] いるんだっけあめて休んだのこの前体調
[00:14:54.360] 崩した時くらい
[00:14:56.440] ちゃうそうだね
[00:14:59.810] [音楽]
[00:15:01.800] あの1円で
[00:15:03.940] [音楽]
[00:15:06.079] なみこんばんはいやいややりますがななん
[00:15:09.600] わかるエロゲだ
[00:15:11.759] からこれが違うゲームだったらやってねえ
[00:15:14.240] だろうな多分な今日はかエゲはちょっと
[00:15:17.600] やっぱのる前に
[00:15:22.800] 回やってないあってない
[00:15:27.959] んで
[00:15:29.759] あのいいんじゃない別になんか
[00:15:32.959] そのコロナでどやないしあれコロナなん
[00:15:37.240] だっ
[00:15:38.480] けあれ
[00:15:41.079] コロナコロナなんだっけめ
[00:15:44.000] ちゃんああ言ってたわそう
[00:15:49.759] だ確かにそれきついなあらコロナでもあの
[00:15:55.440] コインコインの取り方あんなうまいの
[00:16:00.040] よし行くぜ5回行く
[00:16:02.360] ぜここなんすよねここで止まってんだよね
[00:16:05.519] 最近また増えてるよね増えてるね最近ねが
[00:16:08.759] らんなあマジか俺別にコロナになったけど
[00:16:12.279] そのあれはなかったな症
[00:16:15.199] はこ何がきつ敵が普通に強いんだよ
[00:16:19.880] ここまさかね
[00:16:22.000] あ改めて見ると結構可愛い
[00:16:24.959] ねねとてもいいよね
[00:16:29.120] 結構可愛いっすねでもねちょっとね強いの
[00:16:32.480] よやっぱこの辺まで来る
[00:16:36.440] とやちょっとこのいいっすねあのなんだっ
[00:16:42.079] け何がいいんだっけあのエルフエルフ
[00:16:44.959] ナイトみたいのがいいんだよ確か
[00:16:48.600] ねここよくわかんないよね何すんだろう
[00:16:52.000] ここマップ埋めるかとりあえずな
[00:16:56.550] [音楽]
[00:17:00.920] ああエビルプリスいいっす
[00:17:05.079] ね結構この曲好きなんだよねこのその
[00:17:08.160] フロアで一番強い敵のこのビデオねこの
[00:17:11.720] スローテンポの敵によってBGM変えると
[00:17:14.720] かもさ意外と
[00:17:17.000] さ意外と凝ってるよね
[00:17:20.520] 本当悪魔
[00:17:22.959] エロいエッチだね
[00:17:31.919] このはここは何するとこなんだろうあある
[00:17:34.960] やんなんかまだお
[00:17:37.240] 悪
[00:17:39.160] うるせえ右のドには魔人のカード発行場
[00:17:43.600] 魔人のカードどんなカなんだ発所ってこと
[00:17:46.640] は中に入ればくれるんだろそうですね中に
[00:17:48.559] 入ってみ
[00:17:49.030] [音楽]
[00:17:52.360] ましょう魔人カード発行場ボロボロだ誰も
[00:17:56.320] いないぜどこで魔法のカーをれる
[00:17:59.760] 冷静に考えてみれば300年前の話だろ
[00:18:02.200] 確かに今もその魔法人カードの発行してる
[00:18:05.120] わけがないなそうですねおい誰かいません
[00:18:09.320] かこんなとこでぼ立ってるまけだぜ出よ
[00:18:12.600] いや絶対この魔法陣カード必要
[00:18:15.280] だろもう1回っ
[00:18:19.400] て
[00:18:20.570] [音楽]
[00:18:22.320] う魔人カードは手に入ならない
[00:18:26.890] [音楽]
[00:18:32.880] あーはいはいはいはいはいはいはい
[00:18:38.100] [音楽]
[00:18:41.640] はいお散歩してただけなのにこのあんま
[00:18:44.640] なんか倒してもどんなあれなえ景値うまい
[00:18:47.280] な300円もくれん
[00:18:51.360] のとりあえずマップを埋め
[00:18:57.080] たいまてなんか建物あんのか
[00:19:00.880] ないや広いな
[00:19:05.120] ここはいこのここいつがいちゃいいんだよ
[00:19:10.880] こいつがね倒した時のこのいやエロいだけ
[00:19:15.720] でこの表情がいいっすよ
[00:19:20.360] ね表情よし表情分も1位
[00:19:28.040] [音楽]
[00:19:35.320] こないだねここ行ったらなんか穴なかった
[00:19:37.400] んだよな確か
[00:19:39.760] な行くだけ行ってみようかなコボルトも平
[00:19:46.480] もでもね誰かしらはエッチな展開になるん
[00:19:49.919] だよな
[00:19:51.240] 絶対今日もだからちょっと楽しみです
[00:19:54.080] ね大穴が来るかもしんねえからだって
[00:19:56.640] バニーがあんなエロいと思わんかった
[00:19:58.240] じゃんバニーなんて絶対外れだなと思った
[00:20:00.520] んだよドエロだったわそし
[00:20:03.840] たら確かにここ確か落とし穴なんだよ
[00:20:09.320] な大穴が来るかもしれないだから期待し
[00:20:12.200] てるやつほどあんまくないんかもしんね
[00:20:17.400] なケト良かった
[00:20:19.810] [音楽]
[00:20:21.000] ね急に来るエロいいよな
[00:20:25.140] [音楽]
[00:20:30.280] えーこれどうすればいいん
[00:20:35.280] だろうやっぱこの
[00:20:38.360] なんかいろんな色があるよねここの部屋
[00:20:41.760] ねこ全部色のついた仮面だよねこれ
[00:20:45.380] [音楽]
[00:20:48.520] ね悪魔の面我は魔法人を守る緑の悪魔なり
[00:20:52.799] 我らも水色緑から緑から水色に5つ
[00:21:00.260] [音楽]
[00:21:03.080] あてことは自分で行くのか緑から水色にっ
[00:21:06.640] てことこここが水色だよ
[00:21:11.600] なよわかんねんだこれなこれあのすいませ
[00:21:15.240] んあのもうこれ教えてくれていいです
[00:21:18.240] よあの教えてくれていいです
[00:21:21.320] これここに一応書いたのよこ色の順番を
[00:21:25.960] ねこの通行けばいいんじゃないの
[00:21:29.679] 方に5つ行ったとを次調べればいいんじゃ
[00:21:31.880] ないのこ調べていけばいいんじゃないの緑
[00:21:33.760] から123歓迎配信お今日中大関係
[00:21:39.480] えっと
[00:21:40.900] [音楽]
[00:21:44.039] 12345だからここじゃ
[00:21:46.290] [音楽]
[00:21:48.200] ないあさん
[00:21:52.480] こんばんはやってます
[00:21:58.919] た
[00:22:00.159] よ青じゃないのだから5個5個ずれたら
[00:22:03.520] ここだよここ
[00:22:06.000] です違うか
[00:22:11.440] なんあ青から赤に5つその井戸は何だ答な
[00:22:18.360] 車このドアに開ける
[00:22:21.080] ここれ意味がわかん
[00:22:24.120] ねええ赤に5つでしょだから1123
[00:22:28.760] 45
[00:22:29.720] 個え5個ずれればいいんじゃないのかな青
[00:22:36.310] [音楽]
[00:22:38.000] 12345やろこれじゃないのここじゃ
[00:22:42.000] ないんだな5個ずれればいいんじゃ
[00:22:46.640] [音楽]
[00:22:50.320] ないいいっすね失礼しまし
[00:22:54.560] [音楽]
[00:22:56.080] た5個だからここじゃないか
[00:23:02.640] な
[00:23:04.520] 素晴らしいいいい
[00:23:06.919] でしょねえこれわかんないよこれ何
[00:23:10.600] 手がかりを探すだってないやん全部マップ
[00:23:12.919] 埋めた
[00:23:15.960] [音楽]
[00:23:19.440] で
[00:23:21.679] ええわしかもこれだるこの
[00:23:27.400] [音楽]
[00:23:31.480] リビー
[00:23:33.520] さんリビーさんいますか教えて
[00:23:38.190] [音楽]
[00:23:41.720] ください笑笑リビ
[00:23:46.000] さん教えてくれこれ何すんのこれはい
[00:23:49.279] こちらはいこちらはいこれあのこれ何すれ
[00:23:51.720] ばいいんすか
[00:23:53.679] ここ何これ
[00:23:57.120] 何する
[00:24:00.919] うんえ乳首あえ乳首出るよこれ乳首出ます
[00:24:06.200] よもうBANとかBANとか気にしてない
[00:24:10.480] からうん
[00:24:15.080] 悪魔ここマジクソめんどいからえちょも
[00:24:18.279] もう教えてくれそれは教えてくれもう
[00:24:19.520] わから
[00:24:22.320] んでももうでも全部見てるぞあ書いた方が
[00:24:26.840] いいよ笑
[00:24:29.520] マップ埋めて書くってどういう
[00:24:32.039] こと埋めマップ埋めて書くっ
[00:24:35.120] て書くて
[00:24:37.870] [音楽]
[00:24:41.679] 何手がえ手書きしなきゃだめこれいや
[00:24:45.720] だるいだるいだるいそれは手書きは
[00:24:48.279] しんどい
[00:24:50.640] なマップ埋めたでほとんど
[00:24:56.000] マップ埋まってるよもうほとんどいこれ
[00:24:58.880] ちょっと埋まってないとこあるけどどこに
[00:25:00.679] 何があるかメモは必要いや書いてある書い
[00:25:03.360] た書いたそれ書いたそれ書いた色の順番は
[00:25:05.760] 書いたよ色の順番は書いたあさん
[00:25:09.360] こんばんは今日もやってますエッチな
[00:25:11.640] ゲーム
[00:25:12.440] を色の順番は書いてるもう1回きれいに
[00:25:15.960] 書き直すかじゃあ
[00:25:18.010] [音楽]
[00:25:29.360] もう1回じゃ綺麗に
[00:25:32.159] 書くえ全部で
[00:25:36.000] 12345678色あんのね
[00:25:38.240] 12345678オッわもう1回書き直す
[00:25:40.440] わ綺麗に1番上が青
[00:25:44.159] です1番上が青ね青4次が
[00:25:51.050] [音楽]
[00:25:56.080] 赤赤ね次
[00:26:01.279] でここが
[00:26:02.600] ピンク次ピンクえで緑こんばんはちょっと
[00:26:08.120] ややこしい場所なんやねロさんこんばんは
[00:26:11.600] そうこれめんどくさいらしい緑え
[00:26:15.640] 水色
[00:26:18.360] 水え
[00:26:20.760] 黄色
[00:26:22.840] 黄色横が
[00:26:25.360] 白黒
[00:26:29.640] 黒かここは黒かオオッケ書いた書いた書い
[00:26:34.320] たよ発色全部メモったメモったんだけど
[00:26:38.159] メモったんだけど意味がわからんメモった
[00:26:41.159] のはメモったんだ
[00:26:43.480] けどここ水色やろ
[00:26:48.559] 多分水色の部屋の下ら辺を
[00:26:52.039] 通る通ったけど
[00:26:54.880] なマップ埋まってるってことは通った
[00:26:59.840] ね水色の部屋だろ
[00:27:04.310] [音楽]
[00:27:06.360] これ水色の部屋ねこれこれ水色の部屋です
[00:27:10.480] 下ら辺って何
[00:27:13.240] ここ
[00:27:16.039] え
[00:27:17.960] えあれだってさここマップ埋まって
[00:27:22.360] るってことは1回通ったよなまいっか右の
[00:27:25.520] 壁の奥からもうが聞こえてくる何のっだ
[00:27:28.760] さあねモンスターじゃないか右の壁って
[00:27:31.559] ことはこのここん中だよ
[00:27:35.200] なえださっき通ったよねここね俺ねなんか
[00:27:39.799] フラグが立ってなかったんか
[00:27:43.640] ななかなかいこいいやっぱいここのゲーム
[00:27:48.240] に真面目に取り込んでていい
[00:27:50.720] ねなんかこのゲームにすごい
[00:27:54.320] 真面目真面目に取り組んでます理で部屋の
[00:27:57.640] 色確認してからじゃないと物音聞こえない
[00:28:01.159] フラグ会員ああそうなんだ全部色を確認し
[00:28:05.120] てからじゃないとこの物音は聞こえないん
[00:28:06.960] だめんどくせえめんどくせえ
[00:28:11.519] なあ
[00:28:13.799] おネズミちんよまたあったなあんたらの
[00:28:18.200] おかげで俺もこの会に来ることができたよ
[00:28:21.320] えが広くなるってことはなかなか気分が
[00:28:23.760] いいことだな何をドキなこと言ってんだ
[00:28:26.480] そう言うなよ何かしいけないと思ってここ
[00:28:28.880] まで来たんだぜ点の一部を待てくれるのか
[00:28:31.399] いいやいや今回は違うこれをなんとか発令
[00:28:34.799] ドってとこで拾ったんだ役に立つとか思う
[00:28:36.600] かいああ魔法陣これ
[00:28:40.039] ねメモしなくても色書いてあるやん
[00:28:44.519] これなんとか初女って魔法人のカード初
[00:28:48.080] 格好所じゃないの確かにネズミのセクシー
[00:28:50.640] ボーズああ確かそんな名前だったような
[00:28:53.080] これがそのカードなんです
[00:28:55.919] ねおお
[00:29:03.720] おんなんか止まっちゃったあえなんでも
[00:29:07.080] この塔の中に強力な魔力を持った魔女が
[00:29:09.039] いるそうだその魔女となんか関係があん
[00:29:10.919] だろうかわあ終わりさそうかだったらいい
[00:29:13.960] こと教えてるぜこの塔の最上会に住んでる
[00:29:16.200] コモの地人に聞いたんだがなんでもその
[00:29:18.440] 魔女は探し物をしてるそうだ探し物ああ
[00:29:21.600] この塔に住んでるコモのじじが教えてくれ
[00:29:23.559] たんだか分かったそれもう分かった2回目
[00:29:25.640] だそういうその魔女がない独り言を言っ
[00:29:27.760] てんのたそうだ人言どうせでもないこと
[00:29:30.480] だろ一体なんて言ってたんだそれが変な
[00:29:32.919] こと言うそうだこのなうどうしたん
[00:29:37.159] だえ
[00:29:39.679] えーなんかちょっと黒いしなんか死ん
[00:29:43.760] じゃったネズミちゃんおおい一体どうした
[00:29:47.840] んだ突然の死んでるんじゃないかわななん
[00:29:51.799] だってソフィア君の力でんとこのみをだめ
[00:29:55.919] です私の治の魔法は人間にしか効果があり
[00:29:58.720] ませんなんてこった死んじまったそうだ
[00:30:01.159] メサじゃないかそうだ何か知られたくない
[00:30:03.399] ことをネズミが言うとしたからということ
[00:30:05.200] はメサは私たちをずっと見張ってるのです
[00:30:07.080] ね魔術のいるんだろ出てこい
[00:30:12.279] さんそれにしてもひどいことしやがる生の
[00:30:15.679] やだった俺たちに色々と協力してくれた
[00:30:18.000] ああ人間が嫌いなんて言っていたがその割
[00:30:20.120] には親切だったメ許せんわ俺が必ずなんか
[00:30:28.360] のなんかストーリー性をああこの豆コの
[00:30:31.360] ためにもなよしメサにを探そうありがとう
[00:30:34.480] なネズミロは抜け
[00:30:36.600] ないかわいそうなのは抜け
[00:30:40.000] ないかわいそうなのは抜けないこれ鉄則
[00:30:45.690] [音楽]
[00:30:48.880] ですほん
[00:30:51.120] で適当にあれ
[00:30:55.919] かあんなことできんだった俺のことも殺し
[00:30:58.760] てくるはずだけど
[00:31:03.200] ない
[00:31:05.799] てえこれでじゃあやればいいんかも1回
[00:31:09.100] [音楽]
[00:31:10.320] この
[00:31:15.000] はいえ水色から黄色側に5つ
[00:31:20.480] 12345赤あはいこれで答えれるんだ赤
[00:31:25.000] です赤だ正解だドアを開かん
[00:31:29.279] おおはいはいなるほどねはいはいはい
[00:31:33.039] おっと足に何か足に絡むぞたるそれはお前
[00:31:36.279] にとってとても大事なもんだぜ俺にとって
[00:31:38.880] 大事なものもしかしてほら点のよしイエス
[00:31:43.120] イエスイエス第1部大今日あユニコーン来
[00:31:46.760] まし
[00:31:47.799] たユニコーン来たぜユニコーンの角を
[00:31:51.600] 落とす
[00:31:52.639] 言葉うい
[00:31:55.850] [音楽]
[00:32:02.159] こまじかなんだこのテーブルは弾が置かれ
[00:32:06.440] て穴が開いていて弾がはめられている一体
[00:32:09.960] どういうことなんでしょうかどっからとも
[00:32:12.000] なく声が聞こえてくる誰だ北星の玉を置か
[00:32:16.519] れよさすれば道は開かれん北星の玉そんな
[00:32:20.760] ものは持ってないぜたさんカードを見れば
[00:32:23.080] あそっかでも北星のの弾は持ってないぜ
[00:32:26.360] ちなみにこの金の玉はとりあえずかないや
[00:32:28.880] 取れないなしっかり固定されてるようだ
[00:32:30.480] よしだったら北線の弾をここに持ってきて
[00:32:32.240] 置けばいいんだろ言うのは簡単だけどなん
[00:32:34.320] だか大変なことをこれからするような
[00:32:35.919] エルスキラキラ金の玉出た
[00:32:41.440] ねまず1枚来ました
[00:32:46.000] ねユニコーンか結構まだ前の階にいるけど
[00:32:50.480] もうユニコーンなんだ
[00:32:52.279] な
[00:32:54.440] えー黄色から水色方面に5つ
[00:32:58.360] 黄色
[00:32:59.720] からみ黄色から水色方面でょだから
[00:33:03.320] 12345
[00:33:05.720] 青ユニコンほん
[00:33:11.559] で頼むでユニコーンマジ頼むでほんま頼む
[00:33:16.720] [音楽]
[00:33:21.799] で結構エルフメイジも俺は楽しみではあり
[00:33:24.880] ますけどね
[00:33:27.880] 楽しみではありますこの子のあらあられも
[00:33:30.639] ない姿
[00:33:31.320] [音楽]
[00:33:34.080] がうわなんか結構めんどくさそうこの玉
[00:33:37.559] みたいな今度どうしてこの部屋だけ何も
[00:33:39.919] 聞こえてこないんだうんなんだろうこの
[00:33:42.320] 部屋は何の玉を置けばいいんだ何色って何
[00:33:45.679] も言わないんだから弾だったら何でもいい
[00:33:47.440] んじゃないか大将さんこんばんはまさか
[00:33:49.600] そんなことはああないと思うでも
[00:33:52.519] とりあえずやってみようかな俺たちが持っ
[00:33:54.600] ている弾だと言ったら氷の玉しかないが
[00:33:57.279] うん
[00:33:59.620] [音楽]
[00:34:03.320] どういうこと
[00:34:05.159] あ青の玉を手に入れ
[00:34:08.839] たちょっとようわからんな氷の玉はここに
[00:34:11.679] 置いてちゃっていいんだしかし何でもやっ
[00:34:13.760] てるもんだなバンサすごいですわ褒められ
[00:34:16.200] た大男に赤い顔を言わないぜよし青い玉を
[00:34:19.560] 取ったぞよし今度はこの青い玉をどこに
[00:34:22.119] 持ってけばいいん
[00:34:23.960] だなんかここめんどくさいな
[00:34:29.599] なんかエッチなゲームやりてえからやって
[00:34:33.079] んだけどこのなんか真面目にゲームつけ
[00:34:34.760] られ
