[00:00:04.720] 1コメ検討1
[00:05:58.000] 本当最高でも60えそんなもんでもなんか
[00:06:00.560] それ前のトレーナーとかがみ58とか出し
[00:06:02.880] てくる
[00:06:03.680] よもうなんかチャンピオンロードにいるん
[00:06:06.160] だけど58ぐらい出してくんんだけど平気
[00:06:08.080] で70ぐらい出してこない大丈夫まちょ
[00:06:11.479] やってみますか緑のパーカーが好きあれな
[00:06:15.080] あれもいいよねさあやっていきますか今日
[00:06:17.639] は止まらないで欲しいですけども今日は
[00:06:20.080] 止まらないで欲しいですけどねやってき
[00:06:22.160] ましょうはいプカモンスターブラック2N
[00:06:25.199] はいやります頼む
[00:06:27.960] ぜまなんか急いで全滅してさまたこれが
[00:06:31.280] 長引くぐらいだったら
[00:06:33.639] ささんゴゴ2周目がやばいだ目やばいあ
[00:06:38.479] そうなんだじゃま1周目なんでねま多分
[00:06:40.960] そんなにレベル上げなくでもま全員60
[00:06:43.520] ぐらいにはしといた方がいいってことだよ
[00:06:45.120] ね多分ねだけにしか見せないタンクトップ
[00:06:48.639] お前気持ち悪い何言ってんだよ見せんねよ
[00:06:51.280] 俺タンクトップだから絶対着ねえよ世界一
[00:06:53.840] 嫌いな服だよあれ世界一嫌いな服だよお前
[00:06:58.000] タンク裸のじゃねえかよさあほらここまで
[00:07:02.560] やってますけどもマゲタンクトップ来たら
[00:07:05.479] よ出ちまうよでもほら見てレベルいい感じ
[00:07:09.160] シャツレベルいいうんこの下Tシャツ来
[00:07:11.520] てるよこんばんはリビーさんもこんばんは
[00:07:13.080] まだまだやってレベルいい感じだよねでも
[00:07:14.960] ねちょっとウナちゃんと巨とてちあたりを
[00:07:18.639] 65ぐらいまで行けたらいいな今日まこん
[00:07:22.240] だけレベル68とか言ってらな行けるとは
[00:07:26.240] 思うんですけどねこんくらいってらいける
[00:07:30.000] と思うんだけどねリポよステータスリザ
[00:07:33.400] リポいいよだったらボスボコボコにあ
[00:07:36.319] ボコボコにできるレベルだよ
[00:07:38.400] なリザポこんな感じってるよねもちろん見
[00:07:42.280] 持ってるよ見持ってるうん見てる見てる見
[00:07:45.680] てるこんな感じです
[00:07:48.639] ねねこれなんかさこのさチャンピオン
[00:07:51.960] ロードのどっかにさなんかで10万ボル
[00:07:55.039] 10万ボルのなんかあの技マシンがあ
[00:07:57.759] るって聞いたんだけどあるん本当
[00:08:00.960] にマンボのあれがあるらしいんだけど
[00:08:05.800] さちょっと拾っ拾っておきたいんだよな
[00:08:10.319] うわあフラッシュ持ってねええフラッシュ
[00:08:12.759] 持ってねえなこれ行くのこれでもこの奥と
[00:08:15.800] かにありえーどうすっかな
[00:08:19.080] これ見えねえ全然レミーラねえのレミーラ
[00:08:25.120] ガントルま言うてな野生のポケモン47
[00:08:28.280] ぐらいだもんな
[00:08:32.959] 倒さなくてもいいちゃ詳しくないからや
[00:08:35.360] ああ大丈夫ありがとう
[00:08:39.279] ありがとうまあ言うて600族いますから
[00:08:42.440] ねガブとかいるからねああガゼ
[00:08:45.880] ねガゼ
[00:08:50.440] 持ち主食はマカロンからあるの
[00:08:53.640] めちゃくちゃ前からでも俺マカロン食べた
[00:08:55.720] こと
[00:08:56.399] ないマカロン食べたことないいっすなんす
[00:08:58.839] かマカロンって
[00:09:00.760] そんなもん栃木に入ってきてないから
[00:09:05.040] まだまちょっとこれでレベル上げちょっと
[00:09:07.440] 厳しいなエルエルのマカロンが一番うまい
[00:09:11.240] 何それお前らしからのおしゃれなそんな
[00:09:13.600] もん食ってんのおしゃれななお前ちょっと
[00:09:16.440] こいつに10万ボルト覚えさせたいんだよ
[00:09:18.320] なマンボ欲しいよねやっぱねま電でもいい
[00:09:21.079] んだけどちょっと打点にかけるよ
[00:09:25.760] なここ行かなくていいんだったら行きたく
[00:09:28.200] ねえな
[00:09:30.200] 電でいいのでは電で十分
[00:09:36.600] かまでもちょっとどっちにしろこのあの
[00:09:39.800] チャンピオンロードはクリアしちゃいたい
[00:09:41.240] ね早く
[00:09:42.160] ねいつでもいつでもしてのに行けるぐらい
[00:09:46.959] のあれにしておきたいねここ早く抜け
[00:09:50.959] ちゃおうか抜けれるかわかんないでも多分
[00:09:52.880] ねライバル戦とか1個ぐらいあると思うん
[00:09:54.640] だよ
[00:09:55.720] なあれいつなんだっけんかあるらしいよね
[00:09:58.440] ポケモンのだっけあれなんかあれらしい
[00:10:00.680] その日はちょっとみんなで見ようぜみんな
[00:10:02.720] で見ようあと任天ダイレクトもありそう
[00:10:04.920] じゃんそろそろ
[00:10:05.920] あ
[00:10:08.399] ブエ結素早さ低いなのがああま素早さは
[00:10:12.880] 低めか今月末にあるんだ任天ダイレクトも
[00:10:16.160] おそらくあると思うけどね俺だってここで
[00:10:19.680] 54とか出してくんだ
[00:10:21.600] ぜ相当高くね
[00:10:26.959] レベルオ
[00:10:30.079] まガブ育てたのでかいなでもな
[00:10:32.000] めちゃめちゃ強いもんのキブル死んだけど
[00:10:36.519] な俺ノーズはウナちゃんでいけるかなウナ
[00:10:39.720] ちゃん頑張ってもらうかウナのレベルも
[00:10:42.480] 上げないとなこいつも60ぐらいにしない
[00:10:45.000] と多分立ちできねえから
[00:10:48.160] さD
[00:10:50.959] ノズままこ鋼だから4倍だから入る
[00:10:56.079] 飛び蹴りなのかなこいつの打の番高いのう
[00:11:00.040] ちゃんさ飛び蹴りなんだようわ頑丈てく
[00:11:03.079] トラックが実家の近くに
[00:11:05.680] ある大ノーズて
[00:11:08.639] トラックポケモンから取ってんのか
[00:11:11.680] ちょっとこれやだなうわラスカのとか撃っ
[00:11:14.800] てくる
[00:11:18.000] しこいつクロスチョップとか覚えねんか
[00:11:21.440] なさすがに飛び蹴りじゃちょっと怖くて
[00:11:25.560] さ半分ぐらいある
[00:11:28.240] じゃんだからなま強いけどわレベル上がん
[00:11:32.040] ねんか1コメおおレミお疲れ1コメじゃ
[00:11:36.600] ねえけどなどうもこんばんは今日もやっ
[00:11:38.959] てるぜこれ自場いいよね自場進化場なんで
[00:11:43.160] でもあちょっとな39個目39コメね
[00:11:48.720] えっととりあえず麻痺は直さなあかんな
[00:11:52.399] 麻痺は直さなくちゃいけません
[00:11:54.920] ね
[00:11:57.320] あーっと回復ってこれか巻き直しまなんか
[00:12:00.880] アイテムとも買っておきたいけどね
[00:12:02.440] たくさんねまあれ前に店あると思うけど
[00:12:05.680] これ出口か
[00:12:07.880] なここ出口かあちまだあるんだまこの辺で
[00:12:14.639] 多分ねがりだろうな今日もまたもういい
[00:12:17.519] もう多分ねがりいいんだ
[00:12:19.760] けど51コだった51数え
[00:12:23.480] た51
[00:12:25.880] コメ米どんどん流せよ米をガンガン
[00:12:30.199] またレベル上げだよなこれなわいるしこれ
[00:12:33.600] あれかな違うかなマンボの10万ボルトの
[00:12:37.519] もう多分ネガもう飽きたべうわど鉄骨出て
[00:12:40.959] くんじゃんうわたけえレベル50かよ
[00:12:44.199] レベル
[00:12:47.279] 高かまこの辺だったらまだな多分狩りもな
[00:12:51.600] はかどるぜピマかPPマックスも悪くねえ
[00:12:56.519] けどエカ高いな
[00:13:01.360] 鉄骨持ってるの
[00:13:04.800] ずる確かにそれはそう鉄骨持ってんの普通
[00:13:08.560] に反則だよなそれはだって体の一部じゃ
[00:13:12.040] ないじゃ武器じゃんそれはだめだよ
[00:13:14.360] な鉄骨持ってんのはずるいよなさすがに
[00:13:18.720] どこからも仕入れてきてんだよだってあの
[00:13:20.399] 鉄骨よ明らかにこの辺にはないもんだよな
[00:13:23.920] 人工物だよな山が鉄持ったら最だよハマー
[00:13:28.399] 持ってるあか最近の可愛いポケモンで
[00:13:30.880] ハンマー持ってるやついるよな名前わかん
[00:13:33.240] ねえ
[00:13:34.720] けどそれはいいんだ体の一部じゃなくて
[00:13:37.600] いいのかなな言ったら俺もポケモンに
[00:13:40.120] ナイフも持たせるけど
[00:13:42.800] ねオオいい
[00:13:46.079] ねだったら俺
[00:13:49.399] 毒ちょっと巨のレベルも上げなあかんねや
[00:13:54.079] なかちゃんだかちゃんなんかそうそうそう
[00:13:56.480] やったことないからわかんないけど
[00:13:59.320] 詳しいなで知ってんだポケモン知らないの
[00:14:02.399] になんでそれは知ってるん
[00:14:05.160] だちょっと俺はもうねこのゲームクリアし
[00:14:08.800] たらちょっと次もデカぬちゃんなデカぬ
[00:14:11.560] ちゃんデカぬちゃんって最近のポケモン
[00:14:15.880] でしょはい4倍飛行4倍の雑魚ね
[00:14:19.959] こいつ飛行4倍ですから耐えるはずが
[00:14:24.399] ないちょっとちゃんの漫画Twitter
[00:14:27.360] であそうなんだ知らね
[00:14:30.120] 今日Twitterの漫画ねクソ泣いたの
[00:14:31.920] あったわなんか漫画家の漫画があってさ
[00:14:34.839] バカ泣いたそれちょっと軽い気持ちで泣い
[00:14:36.880] たらさ泣読んだらさクソ泣けた
[00:14:40.880] なんかなんか漫画かハンマーポケモンなん
[00:14:43.880] だなんだ
[00:14:45.199] それハンマーポケモンなん
[00:14:49.120] だこいつはじゃ鉄骨ポケモンかいいねした
[00:14:52.959] いいねしたあいいいねしてないか
[00:14:55.360] もあ待てなんかいるなんだあいつおい何
[00:14:59.600] あれ
[00:15:01.040] 誰なんか絶対あるここノーマルジェル知ら
[00:15:05.959] ねジェル落ちたよ
[00:15:08.240] ジェルなんだノーマルジェルって保湿
[00:15:12.360] かどんだけいるんだよここ怖えなこんな
[00:15:15.880] 鉄骨持ったやつがうろしてたらあれなんで
[00:15:18.759] 今のハンマー
[00:15:22.240] ポケモンエだっ
[00:15:25.399] ただっ
[00:15:27.959] たシてポケモンいてもおかしくねえよな
[00:15:31.440] エビサムムロフシ
[00:15:34.000] でしょいてもいいよね笑エビさむムフ絶対
[00:15:39.120] いる
[00:15:41.720] べ打撃撃
[00:15:44.440] 狙撃打撃撃狙撃ムフあクソ可愛い見て
[00:15:49.759] こいつ俺大好きこのこのこの何これ
[00:15:53.160] ブラックホワイトのこのエリート
[00:15:55.079] トレーナー好き
[00:15:59.319] 元気やる気元気気ふお尻が
[00:16:04.240] セクあらおんどなんか出してくんのお前コ
[00:16:07.160] ポケモンだってあ筋骨ポケモンなんだ鉄筋
[00:16:11.120] コンクリートこんな感じけいやいや
[00:16:14.440] うんあいやうんだねいやま好きだよ好き
[00:16:17.959] 好き好き俺のタイプはあや俺のタイプは俺
[00:16:20.480] のこと好きな子だ
[00:16:22.720] から都合がいいめちゃめちゃ都合いいから
[00:16:26.279] うん俺のタイプ俺のことが好きな子です俺
[00:16:30.399] じゃんお前は違う男は男はじゃタイプだわ
[00:16:35.279] じゃタイプですよかった
[00:16:37.480] ねよかったねいやでもそれが大定でしょ俺
[00:16:42.360] のこと好きじゃない
[00:16:44.040] と俺のこと好きじゃけるだってんだけ
[00:16:48.120] るっていいねお疲れお疲れちゃんお疲れ
[00:16:52.399] 今日もやってますよ今日ワンチャン最終回
[00:16:54.959] あるんじゃないかなとんとんでますけども
[00:16:57.319] ね
[00:16:59.199] まだねもうガブじゃねえの使おうか変態
[00:17:02.319] だったらそもいいじゃないです
[00:17:05.039] かいいじゃない可愛いよねこの子ねま
[00:17:08.959] ちょっと水色の髪の毛はちょっとちょっと
[00:17:11.120] ごめんねて感じだけどねマニックパニック
[00:17:13.319] バカみてあちょ止まうわ今日も止まります
[00:17:16.400] 今日も京都で止まりますからね皆さんこれ
[00:17:19.640] だるすぎるからマジさどうにかしてだよ
[00:17:22.000] チャッ遡ったらテサたんだけどなんかあっ
[00:17:25.919] たのえ違うなんかんだよ自分のこと好きな
[00:17:29.880] 子がわかるなくそいやそれ好きになるやろ
[00:17:32.960] 自分のこと好きだったら意識するだろあの
[00:17:36.600] なんかモゆがなんかさなんか2ヶ月間もう
[00:17:39.880] あの俺にティアさんでサブスクしてやがる
[00:17:42.960] やばすぎねえもう今日できないよこれ
[00:17:47.039] じゃこんなんでできると思ってんのか
[00:17:52.480] よ頼む
[00:17:55.280] よ1コメ取れんかったらティアさんで半年
[00:17:59.400] やめろお前あごめんなさいごめんごめん
[00:18:03.400] ごめんでかい声出してごめん
[00:18:06.159] なちむちょっとレベル上げるかえ森マジで
[00:18:09.600] 無理しないでねお前の生活が困窮するん
[00:18:12.640] だったら今めちゃめちゃ響いただろうな
[00:18:17.559] めちゃめちゃ響いただろ
[00:18:20.400] な
[00:18:22.520] おいさすがにそれはダランティ君それまず
[00:18:26.120] いっす18歳の女の子に
[00:18:30.559] ですよしよしあ強いにれてるじゃん最高
[00:18:35.480] ですよしこ巨のレベルも上がりますよ巨の
[00:18:40.120] しっぺ返しってなんだなんだしっぺ返し
[00:18:42.760] ってお前ため込んで攻撃するいやいら
[00:18:45.720] ないえさすがにさドタ君てさ自分で最後
[00:18:50.280] キレ覚えるよねえ自分で最近で覚える
[00:18:53.640] でしょこいつさすがに
[00:18:59.360] あこっちあるよ覚えるよ多分覚えるよね竜
[00:19:03.320] の
[00:19:05.159] 牙わなんか行くとこ結構あんなまだ
[00:19:09.360] なわあこれいやちょっと後でフラッシュ誰
[00:19:13.280] かに覚えさせてくるかさロて
[00:19:25.280] ありがとうど結しても尻にしかれてそう
[00:19:30.960] 多分そうかもな多分そうかもうんいや尻に
[00:19:35.039] 敷かれるぐらいがいいんやで多分男
[00:19:37.919] って尻に敷かれてるぐらいがいいんです
[00:19:42.600] よあここ多分ありそうな気がするよ
[00:19:47.120] あ飛び越えちゃったんですけどこれ痩せの
[00:19:51.880] か切るか
[00:19:52.919] これうえ何このクソかこ
[00:19:59.520] 覚えなかったわえこれ激レアですかえ覚え
[00:20:03.880] ねえ
[00:20:05.760] のサコのや覚えない
[00:20:13.760] の最近覚えねあいっぱい出てくんだな
[00:20:18.600] かっこいいけどね
[00:20:22.440] こいつなんかポケモンらしくないデザイン
[00:20:25.039] だよねこいつってねなんかドラクエとかに
[00:20:27.679] いそう
[00:20:32.200] いろはちゃんのとこでちゃまに彼女ができ
[00:20:34.600] てもせるかくらね会話してた何何何あ
[00:20:38.039] そんな話してたな俺に彼女できたらせんの
[00:20:41.520] お前ら俺に彼女できても
[00:20:45.320] 押せる取らぬたぬきのアーダコーダすぎる
[00:20:48.000] けどな押せるわけないだろ押せよ男はせえ
[00:20:52.760] よ別関係ねえだろ別俺彼女んだろでない
[00:20:55.679] からまそうなんだけどそうぬのの笑笑押せ
[00:21:00.280] ないの押せるもし俺に彼女ができたらベテ
[00:21:03.799] トレユだっておんどいやこれちょっと
[00:21:06.919] まずい
[00:21:08.600] な押せるべ別に関係なくない俺別にそれで
[00:21:13.799] 撃ったそれさ嘘だろ嘘だよな押せるよ
[00:21:19.400] なだって別にさに来たらどうあそれは
[00:21:23.440] まずいそれはうわそれはちょっときついか
[00:21:26.039] も
[00:21:29.080] それは俺もきついか
[00:21:31.720] もあでもどうなんだろうなあの
[00:21:35.840] さあのあれはああいうのよくないあのよお
[00:21:40.720] さんのコメント欄にさりんご丸さんがいる
[00:21:42.679] のはね奥さん奥さんが来んのはすごくいつ
[00:21:45.120] まで配信してるの何何何おんそのなんか
[00:21:49.640] 匂わせみたいやめてちょおいなんかれん君
[00:21:52.559] とかよっておいあの夫婦めっちゃいいよな
[00:21:55.679] あの夫婦めっちゃいいよなおい匂わせ
[00:21:57.360] やめろおい5回招くからマジで俺が裏で
[00:22:02.159] JKに手出してるとかほんまあかんからや
[00:22:05.480] べ危ねえ耐えるね
[00:22:08.720] うわあおフライゴンだるすぎるんだよ
[00:22:12.400] こいつ2何18かダメダメダメダ
[00:22:16.799] ダばやばいやばいやばいて言われたら
[00:22:19.720] やばいねマジいくはいお疲れおいうん
[00:22:23.000] ちゃん
[00:22:23.840] こんばんは今今俺にもし彼女ができたら
[00:22:28.799] あの彼女ができたら押せるかどうかって話
[00:22:30.880] してたケたるとこでよおさんがムムし
[00:22:33.440] 何それ何それ何それれてめっちゃ匂わせ
[00:22:38.360] やめな匂わせやめな
[00:22:42.200] ね仁やめなよしよしよしよしよし
[00:22:46.760] よしケベたのところでよおさがむむしし
[00:22:49.720] たって何めっちゃ気なんだ
[00:22:51.679] けど何それ
[00:22:53.919] 我慢できなかっちゃったもう嫁さんのこと
[00:22:56.919] 考えてたら
[00:23:00.520] 丸さんがやめろて言ってなんだそれ
[00:23:04.760] ちょっと誘ってきますそういうことって
[00:23:06.480] ことそういうことに誘って営みに誘うって
[00:23:09.480] ことお俺やだなんか知り合いの夫婦のそう
[00:23:12.159] いう政治場なんか考えんのやなんですけど
[00:23:16.080] 見たくない
[00:23:17.760] 笑笑リアルすぎるだろあ竜の動こう
[00:23:22.840] えリアルだねなんかねまあでもな夫婦なん
[00:23:27.840] だから別にそれくらいえねこれ何なの
[00:23:31.799] こいつよしおのやつとか想像したくもない
[00:23:35.080] これゾロワークってやつじゃないのこれ
[00:23:37.440] 捕まえる興味ねえなゾロ枠でも必要ねえな
[00:23:40.640] 束縛激しい女と付き合って女のコ読まない
[00:23:43.880] でとか
[00:23:46.200] 最悪ねえ女女のことブロックしてとかつっ
[00:23:49.679] てやだそれはごめんなさいって言うよ俺
[00:23:53.400] それはできないそれはできないなごめんな
[00:23:57.240] でもお前が1番だよ
[00:24:00.400] これ強いのこいつま1回行くか
[00:24:03.159] くわ何を守ってるだポケモン動いてくる
[00:24:05.919] 見せてと
[00:24:07.919] かい管理されるのやだ
[00:24:10.520] な管理されるのやだなあの女
[00:24:16.159] 自分ピとかめちゃめちゃソピとか
[00:24:19.919] めちゃめちゃ嫌われそうなんなのあの女
[00:24:24.720] ね君のス勝手に作るとかなんなのあいつ
[00:24:29.120] 信じらんないんですけどこれ転生する
[00:24:34.240] わまあまあまあまあみたい
[00:24:38.679] なうんないないすけどね別にね肖像
[00:24:46.480] 剣まそんなことないですけど男なら何でも
[00:24:50.279] してますいやそういうわけじゃないいや
[00:24:51.799] いいまあいいけどね別に森だったらんでも
[00:24:53.919] しい勝手に俺はフリー素材だからややあ大
[00:24:57.679] 戻こんばんはこんばんはもし俺に彼女が
[00:25:01.559] できたらよどうすっかな今考えとべんの
[00:25:05.760] なんのんの何の名前だよ何の名前何の名前
[00:25:09.399] だよ喧嘩したらリスナーと付き合えば言わ
[00:25:14.600] ありそうありそうえもうあの子と付き合え
[00:25:16.840] ばいいじゃん笑笑あの子と付き合えばとか
[00:25:19.840] 言われ
[00:25:21.440] そうあるあるありそうマジでもういいよっ
[00:25:26.480] てあのことけえばいいじゃん
[00:25:31.760] やだな
[00:25:33.399] それやだ
[00:25:35.640] それやだなそんなことないよてお前が1番
[00:25:40.760] だよつっ
[00:25:41.919] て取らぬたぬきのアすぎるけど
[00:25:46.520] ねのあの
[00:25:49.919] がねえなんであの子にピップあげたのす
[00:25:59.640] あありそうだ
[00:26:03.039] なまでもあれだな調べたけどやっぱ最あ
[00:26:07.279] 最近覚えないんだありがとうありがとう俺
[00:26:08.919] ネタに盛り上がるなよ
[00:26:12.159] なそうなのかやっぱり
[00:26:15.720] ないやでも俺配信配信に口出さない人じゃ
[00:26:20.159] ないと無理だなでってくれ
[00:26:24.919] ない俺彼女できたら配信頻度減るかもな
[00:26:30.960] いやないないないない配信の口出しする人
[00:26:33.559] とは俺は無理だ
[00:26:34.880] わここに口出しされたらちょっと勘弁願う
[00:26:38.080] わ本当にごめん
[00:26:39.799] けどまそ偉そうに言ってますけどねでない
[00:26:43.520] からそうですよねその通りマジでその
[00:26:47.320] 通りの時やっぱねどっちにしら配信やって
[00:26:52.240] なくても1人の時間絶対必要なんだよね俺
[00:26:55.320] 無理無理無理ずっと一緒にとかと嫌とじゃ
[00:26:58.399] なくてね好きとか嫌いとかじゃなくて絶対
[00:27:03.120] お互い1人の時間絶対部屋とかも別でいい
[00:27:05.399] と思う屋
[00:27:10.200] といやちょっと
[00:27:12.720] 配信
[00:27:19.039] にんそそうよだからそそう一緒にいるは
[00:27:23.200] 全力でう一にいるけどう
[00:27:28.320] 一緒にすんのは無理だよやっぱ俺もズンダ
[00:27:30.520] もンの動画とか1人で見たいしうんズンダ
[00:27:33.840] もンの動画とかさ1人で見たいしね
[00:27:36.200] やっぱり
[00:27:37.039] ね歴史動画ねあ回復買ってくればよかった
[00:27:42.600] 微妙いな
[00:27:45.679] これもうそろそろ出口かな
[00:27:49.200] これあ分多分で出てきたな来た来た来た来
[00:27:53.200] た来たたたよしよし
[00:27:58.640] 誰誰だよお前しのハラーが出てきたしの
[00:28:02.080] ハラー
[00:28:04.559] がしのハ興味ねえんだよ
[00:28:09.039] な多分が出てきて欲しいんだけどまやると
[00:28:12.480] したらもこの辺でレベル上げだなちょっと
[00:28:14.120] 抜けちゃうだけ抜けちゃう
[00:28:15.880] けどあれこれこっちってきたこっちかあ
[00:28:19.880] こいつもいるんまいいや
[00:28:23.799] 行こうま
[00:28:26.039] 配信しり何しりやっぱり
[00:28:29.120] 男って全員そうだと思うわなんか1人
[00:28:33.039] で
[00:28:35.120] 営しても何も言わないんだええ男が子供
[00:28:40.679] 作るのって
[00:28:42.840] あDSも動揺してる
[00:28:47.039] わ子供ま子供いや子供なんて
[00:28:52.600] なんかいやちょっと待ってよこれ絶対
[00:28:56.120] もらうか1人3万
[00:28:58.519] よ俺が結婚したら5ビ投げてもらんだから
[00:29:02.399] 当たり1人3万だろうがやばいこれね
[00:29:05.760] パソコン落ちそうな気がするパソコン
[00:29:08.240] 落ちる気がするぞこれパソコン落ちるこの
[00:29:11.399] 感じ落ちそう
