[00:00:00.240] に
[00:03:52.400] でございますよブラック2今だったらまだ
[00:03:54.439] ホワイト2に変えれるけどだよ今だったら
[00:03:57.799] が好きなんだよ
[00:04:00.200] ゆがすげえ荒ぶってたもんなエスターに
[00:04:02.879] なるなよエスタークにならないです大丈夫
[00:04:05.360] です大丈夫大丈夫あでちゃこれこのゲーム
[00:04:09.000] のいいところはですねあの全滅したら最初
[00:04:11.319] からじゃないんで全滅したら最初からじゃ
[00:04:13.319] ないんですよもし全滅したら全部逃すだけ
[00:04:15.640] なんでストーリーの進行状況変わらないん
[00:04:17.919] ですよそう人縛りかそそういうことです
[00:04:20.479] そういうことですあしもきちゃん
[00:04:21.639] こんばんは人生縛りでございますよ死ん
[00:04:23.919] だら逃しますから逃げない逃げない逃げ
[00:04:26.800] ないこれは僕にてクリアまでやっていき
[00:04:30.320] たいと思いますはいえりんカロさん
[00:04:31.759] こんばんはりんカロさんもこんばんは今日
[00:04:33.680] からやっていきますよポケモポケツモやっ
[00:04:37.000] てきますポケモ久々やなDSのこのニトロ
[00:04:41.280] のDSを取り出したのはよいしょ例に漏れ
[00:04:46.440] ず実機配信ですよ実機配信やっぱりなDS
[00:04:49.680] ですら私は実機で楽しみにしてた俺の大だ
[00:04:53.759] からこの1週間は退屈しなそうおおお俺俺
[00:04:57.800] と一緒に夜はなすごそうなアドバンテージ
[00:05:00.360] ですよリスナーが
[00:05:01.840] 少なくそっちのそっちの逃げのあるわ
[00:05:04.720] なんかゲームじゃなくてあのリスナーが
[00:05:07.560] 全然来なくて逃げあるよ俺のチャンネルで
[00:05:09.520] ポケモンやるとマジ死ぬからな我れじゃ
[00:05:11.440] ないです今日ちょ証明しますそれをじゃ
[00:05:13.120] 始めましょう
[00:05:14.880] かあどうもおばですどうもチマゲームで
[00:05:20.120] ございます最後の2Dグラフィックの
[00:05:22.960] ポケモンそういうことすよねそういうこと
[00:05:25.240] すよねあの2Dポケモンの最後の作品と
[00:05:28.280] いうことで今日やるゲームはですねあの髪
[00:05:31.120] 切ってない全然髪切ってないから帽子なん
[00:05:33.000] だよもうそんな感じで今日はです
[00:05:36.000] ねこちらのDSを使ちょ待ってDSこれ
[00:05:40.160] 動くのこれリコーンやめてねDSま
[00:05:43.479] ちょっといやとりあえずあの今日は今日
[00:05:45.400] からですねあのとんがり込んでいきます
[00:05:47.360] けども今日からですねポケットモンスター
[00:05:50.919] 2じゃないポケットモンスターブラック2
[00:05:52.960] というゲームをやっていくんだけどどうし
[00:05:55.360] たちょっと待ってこれ映ってるあれ映って
[00:05:57.319] ないねん映ってないぞちょっと待っ
[00:06:01.310] [音楽]
[00:06:03.840] てあ来た来た来たはいはいちょっと待って
[00:06:06.919] えっとねえっと待ってねえっとこれじゃ
[00:06:10.160] なくてええっとねちょっと待ってください
[00:06:14.400] [音楽]
[00:06:17.199] よあれ待ってちょっと映るねんだけど
[00:06:20.199] ちょっと待って映ら
[00:06:22.440] [音楽]
[00:06:24.199] ないあ来た来た来たはいはいはいこれ実を
[00:06:27.960] 使いましてを使やってポケットモンスター
[00:06:30.840] ブラック2ねやっていきますからよろし
[00:06:33.400] 頼んますせドナルドランドドってなってる
[00:06:35.360] なえ待ってなんかノシグナルになっちゃう
[00:06:37.680] これ何ちょっと待ってノーシグナルになっ
[00:06:39.840] ちゃうのこれ何どうしたのどうしたレドや
[00:06:43.599] ありさんレドざすよしよしよし
[00:06:47.080] オオオよしよしよござレありござます今日
[00:06:51.360] はポケットモンスターブラック2やって
[00:06:55.360] まります接触不良かもしんないまこれ
[00:06:57.440] すぐるから丈
[00:06:59.680] レブラレドありがとう配信お疲れ様
[00:07:02.840] ブラックファイトやった2年前にやった
[00:07:04.599] もう全然覚えてないけど全然覚えてないN
[00:07:06.840] がアーダコーダでどうのコのなのは覚え
[00:07:08.759] てるよNがアーダコーダでどのコのちょ
[00:07:12.400] 早速もうやるかもう時間ももったいないで
[00:07:14.440] 始めますブラック2やってきますよろしく
[00:07:16.039] お願いします今日からね長くなると思い
[00:07:17.520] ますけど皆さんお付き合いください
[00:07:18.639] よろしくお願いします来たぜ来たぜ来た
[00:07:21.919] ぜってるらしいねなんかポケモンなんか
[00:07:24.520] あの今流行ってるパルワールドのパクリ
[00:07:26.440] ゲーらしいよこれ俺もやったことないから
[00:07:28.120] わかんないんだけど今日は寝れねえよ今日
[00:07:31.039] は寝れねえよおいこの1週間寝れると思う
[00:07:33.680] な
[00:07:36.000] よちょっと今画面の調整ポケモン
[00:07:39.080] クリスタル配信していたよえっとちょっと
[00:07:41.919] 待ってちょっと待ってちょっと待って今
[00:07:45.440] ちょ画面の調整をしますすいません画面
[00:07:47.120] 調整から始まりますあやべえええ
[00:07:49.479] オープニング見たいオープニング見たい
[00:07:50.800] オープニング見たいんだけどちょっと待っ
[00:07:54.879] てうわあこれがけこれがポケモンブラック
[00:08:00.800] 2レド
[00:08:02.000] あざレドありがとうござい
[00:08:04.720] ますシクラお前レドレド嵐やめて
[00:08:08.340] [音楽]
[00:08:11.520] ねおいおい来たなおいおい
[00:08:15.159] 全然知らん誰これ知り合いにクリアさせた
[00:08:18.759] のにけした人が
[00:08:21.479] いるそんなのもありましたねやってまり
[00:08:24.599] ますよ
[00:08:31.680] 来たよ来た
[00:08:33.320] よポケットモンスターブラック2やらせて
[00:08:37.760] いだきますよろしくお願いし
[00:08:41.240] ますはののあなんかデ残って
[00:08:45.120] じゃえ待ってえこれさ中古で買ってきたん
[00:08:48.399] だけどえレンジて何レンジさんのなんか
[00:08:53.440] デタ俺やってないからねこれ俺橋本いう
[00:08:56.519] 名前だレンジて知らないんだけどこれ
[00:08:58.040] レンジさんの何これレンジてやばアも見て
[00:09:02.320] ますアも見てるわアこれアでしょこれ
[00:09:07.839] しかもメスしかも図鑑499匹ってすごく
[00:09:10.959] ないわかんないけど不思議な贈り物何
[00:09:13.279] 不思議な贈り物ってレとレジ何これちょ
[00:09:16.079] わかんねえちょっとえデータとりあえず
[00:09:18.680] 最初からやるけどこれ何レンジって
[00:09:20.640] ちょっと待ってこれこれここまで戻ん
[00:09:23.519] のおいこれプレイ歌われてんじゃないやっ
[00:09:26.680] てないよマジで知らないからねいたんだ
[00:09:29.399] 知らないよ知らない知らないマジでやって
[00:09:31.880] ない笑笑初めて起動するからねこれ改造中
[00:09:35.320] かもしれんちょっとデータ見てみるかでも
[00:09:38.480] 思いっきりなんかネタバレくらいそうな
[00:09:40.440] 希望する通信始めますかえ何通信って
[00:09:43.920] わかんねえいらないですえCギアって何え
[00:09:47.360] いやですえでもこれもやだえCギアの機能
[00:09:51.519] 何Cギアってえ分かっ
[00:09:54.680] たこれちょっと見ていいんかなデータ春
[00:09:59.760] あれこれ季節の概念なんか完全に消す方
[00:10:02.800] なかったっけネタバレやろあ威嚇待機中
[00:10:07.800] ギアナ笑
[00:10:09.880] ミニえミニしか持ってないよ
[00:10:13.760] こいつおあ色違い
[00:10:16.600] だえ色違いだかいえ色違い
[00:10:22.440] だ
[00:10:24.000] 技強え待てこれ待てこれちょっとす
[00:10:30.399] ちょっとこれちょっとこれ改造の匂いする
[00:10:32.440] ぞなんかえ改造の匂いするななんと
[00:10:37.160] なくちょっとボス見ようぜあ何もいないあ
[00:10:42.200] さんこんばんはあさんこんばんはえこれあ
[00:10:44.680] そんなことないな普通かああなんか
[00:10:46.720] 懐かしいいたなこんなのなジヘッドいたい
[00:10:49.959] たいたあでもなんか普通だ
[00:10:53.600] わあえあれあれあれあらあれあれれれ
[00:10:58.480] あれれれおかしい
[00:11:01.079] あれこれはおかしいぞくくくペロこれは
[00:11:04.959] 改造の匂いたこんばんはたこんばんはペロ
[00:11:08.200] これは改造の匂いですこれは終わった
[00:11:11.720] ね
[00:11:13.440] これこれ親り
[00:11:16.680] がこれねなんでかて言うとこれミュって
[00:11:20.240] ミって幻のポケモンで絶対手に入んないん
[00:11:23.040] すよ普通にプレイしてたら映画とかで
[00:11:25.000] もらうしかないの映画館とかで映画館とか
[00:11:27.560] でもらうしかないのねそれ違ポケモンて
[00:11:30.760] 普通に色決まってるじゃんピンクの
[00:11:32.320] ポケモンピカチュウだった黄色とか
[00:11:34.560] 1で色違いが出てくんのよこんなこなあり
[00:11:38.440] えないの伝説のポケ幻のポケモンの色違い
[00:11:40.360] なんです100%ありえないのねこれ改造
[00:11:42.200] ですこれこれちょっともう見なかったこと
[00:11:43.920] にしましょうすいませんこれ見なかった
[00:11:44.920] ことにしますこれすいません見なかったこ
[00:11:46.320] にしてくれこれもうデータ消すわもう何の
[00:11:48.360] 躊躇もなくデータ消します何の躊躇もなく
[00:11:51.279] データ消すデータの消し方教えてくんね
[00:11:52.760] これおだから抹消しようナイス大体10年
[00:11:56.680] 前に出会ったんだね
[00:11:59.399] 10年前に出会ったんだなてことは本当に
[00:12:02.000] やってないこと今証明されたよな今俺が
[00:12:04.760] 本当に10年前の10年前の中やってねえ
[00:12:07.839] よ知らねえよ10年前に出会ったんだって
[00:12:10.639] すごいねレンジってそんなことあるなんで
[00:12:14.360] 中になってしまうが
[00:12:18.120] 許せもう1回しっかりオープニング見させ
[00:12:20.639] てくんねなんかボタン押しながら消すん
[00:12:22.920] だっけちょっと誰か教えてゲームフリーク
[00:12:25.639] いや楽しみだなおい
[00:12:29.320] いやこれなんて言うんだっけこのポケモン
[00:12:30.639] 知らねえなんだっけゼクロムの親玉みてな
[00:12:33.360] やつだよなこれ
[00:12:36.120] なポケットモンスターブラック2やって
[00:12:39.920] いきます今日からは主人公これこいつの
[00:12:43.320] エロ読んだことあるねこの女の子のエロ人
[00:12:46.600] 読んだことある
[00:12:48.000] 俺あの女の子のエロ同人読んだことある
[00:12:51.560] 名前知らない
[00:12:53.000] けどだ俺もある僕も読んだこと何度もある
[00:12:57.800] 呼んだことあるだっめちゃんのみさん
[00:13:00.440] こんばんはマジでなん
[00:13:02.839] との俺
[00:13:05.160] の
[00:13:06.839] 何いっぱい早もう抜いたのまだ長いぜ今日
[00:13:11.639] はダ絶対行きますよろしくお願いし
[00:13:14.760] ますポケットモンスターブラック2
[00:13:18.000] いただきますさんのやつしかないや
[00:13:20.320] いただきますいただきます最高やないか
[00:13:24.360] これ
[00:13:26.800] さあざうんタイトル画面の状態で方機以上
[00:13:31.399] セレクトボタンBボタンを同時に押機上
[00:13:35.160] ポケモン読むの疲れたあ全てのデータ
[00:13:39.160] セーブデータエリアを消去しますかお願い
[00:13:42.079] します消去したデータは元には戻りません
[00:13:45.959] それでもセーブデータエリアを消去します
[00:13:48.839] かバカ野郎俺がよ俺が塗り替えていくんだ
[00:13:52.079] よお前の過去の記憶なんて全て消せ俺が
[00:13:55.000] 塗り替えて
[00:13:57.360] やるの記憶は
[00:14:00.240] 残本当に改造したらそういう跡残らの多分
[00:14:04.000] そういうの残んないんじゃないわかんない
[00:14:05.560] けどわかんないけどうるさいなってたんだ
[00:14:07.639] よこんばんは上いらねえよいらねえよあ
[00:14:11.320] みかこんばんはごめんみかあこんばんは言
[00:14:13.279] たありがとう今日から人生プレイやって
[00:14:15.360] いきますからよろしくお願い頼んますわ
[00:14:18.920] はいえ消えたんこれででもなんか色違い見
[00:14:22.839] から本物だったらどうする絶対ないけど
[00:14:26.519] 絶対ないけどあれが本物だったっていうお
[00:14:29.240] 正気ですかと見間違えてしまったあれがほ
[00:14:33.040] 本物っである可能性はゼロではないわけで
[00:14:36.000] み美しかったこんばんはどうもこんばんは
[00:14:38.399] やってきますよ今日からまおじねはいまた
[00:14:41.920] これモノマネしづらい鳴き声初めからやり
[00:14:44.880] ますかめるすは行きます行きます行き
[00:14:48.120] ますゲームで使う文字はひらがなカカにし
[00:14:51.079] ますかそれともあ漢字ありありがてえ漢字
[00:14:53.920] ありありがたい漢字ありありがたいと
[00:14:57.360] 色違い探せからおばさんだ橋おねしょ
[00:15:01.639] オネショタとかそうなおばさんだおい
[00:15:03.800] オネショタみたいなおばさんおねしたおば
[00:15:06.279] さんだこれ多分えポケットモンスターの
[00:15:09.079] 世界へようこそ私の名前はアララギと申し
[00:15:11.480] ますえみんなからポケモン博士と呼ばれて
[00:15:14.800] ますだからさこの世界の住人ってさなんか
[00:15:17.800] さ自分のことポケモン博士てみんなから
[00:15:19.920] 呼ばれてることを誇らしく思ってるけどさ
[00:15:22.199] 絶対馬鹿にされてるよねおばなおば
[00:15:26.880] した絶対馬鹿にされてるおいポケモン博士
[00:15:30.000] 来たでおいまたポケモン博士来たわちゃん
[00:15:33.440] こんばんはンちゃんこんばんは今日から
[00:15:34.600] やってきますよ
[00:15:36.560] おば博士が女性になったねあなんだっけな
[00:15:41.160] こいつ名前忘れた前回も出てたこれなん
[00:15:43.000] だっけミミロップじゃなくてなんだっけ
[00:15:46.279] ほらミミロップじゃなくてなんだっけ
[00:15:48.160] こいつスキディアンシーじゃなくてなん
[00:15:49.880] だっけ知らな忘れた縮めてポケモンて言わ
[00:15:52.160] れる不思議な物が至るとこにいるの不思議
[00:15:55.240] な力をめているチラチーノかチラ
[00:15:58.199] ミッキマウス
[00:15:59.920] いいね知らないながらのいいね不思議な力
[00:16:02.519] を秘めてるポケモンたちは姿形も暮らし
[00:16:04.720] てる場所も様々そんなポケモンたちと私は
[00:16:07.519] え人間たちは仲良く暮らしてるの一緒に
[00:16:11.399] いることでお互い満たされたり力を合わせ
[00:16:13.839] 助け合い大変な仕事をこなしたり中でも
[00:16:16.399] 人気なのはポケモン同士を戦わせて絆を
[00:16:18.880] 深めることねで私はポケモンたちを経験し
[00:16:22.000] てるってわけ本当に友達なんですかちゃま
[00:16:25.120] さんって本当に友達なんですか俺がこれ
[00:16:27.040] あの昔イケメンの配信者ににあのイケボ家
[00:16:30.319] の配信者にレイトされた時にそこのあの女
[00:16:33.079] リスナーに言われたことね俺があまりにも
[00:16:35.040] 不すぎて本当にまるまる君と友達なんです
[00:16:38.040] か言われたふざけんじゃねえよおい多分
[00:16:41.440] そのイケメン愛神者が今日仲いいちゃま君
[00:16:43.639] にレドしますて言ったんだろうな言われた
[00:16:45.600] え本当にあなたまるまる君の友達なんです
[00:16:47.959] かと本にふざけんなまるまる君と同じ人間
[00:16:52.519] だろ俺
[00:16:54.240] もあなたのことを教えてくれるかな
[00:16:57.480] とあた女の子それとも男の子えーこれでも
[00:17:01.759] 女の子可愛すぎるでしょこれエロサイク
[00:17:04.919] じゃなくて表に見えたんじゃエロ霊か
[00:17:07.839] 女の子可愛いおっぱいもちょっとちょっと
[00:17:10.799] 育ちかけというかいいですよね女の子で
[00:17:13.679] やろっかなこれどうなってのベーグルつい
[00:17:15.439] てるけどここベーグルついてるけどなんか
[00:17:18.039] どんだけ毛量あるんだこいつベーグルつい
[00:17:20.880] てんじゃねえかあのなんコストコのよ
[00:17:23.039] コストコのベーグルがなあベーグル笑
[00:17:26.600] 可愛いなでもこれめいちゃんって言うんだ
[00:17:28.480] これ
[00:17:29.679] ちょっと今日のおかずが決ビューじゃねえ
[00:17:32.080] んだま男の子で行きましょう男の子なんで
[00:17:34.880] ね日本男子はいの
[00:17:38.039] さ本当は男の子なんで私ね名前も知りたい
[00:17:41.679] なあなたの名前を教えてよしえ名前ですが
[00:17:45.799] え本名で行きたいと思いますえ本名で行か
[00:17:48.039] せてもらっていいですか遊びじゃないんで
[00:17:49.960] ね遊びじゃないんで本名で行きますえ名前
[00:17:52.360] え名前ですが僕本名で行きますからねえ
[00:17:57.320] え名前えレンジと申しますはいレンジで
[00:18:01.760] 行くけどえ俺名前本名のレンジだし言って
[00:18:04.360] なかったっけ俺レンジって言うんだけど
[00:18:06.919] あれ死んなかったっけみんな俺レンジで
[00:18:08.559] 行きますけど最近本多いちゃのこと忘れ
[00:18:11.280] ちゃっなんでレンジだ俺橋元レンジって
[00:18:13.240] 言うんだけどえ死んなかったっけ言ってた
[00:18:15.760] じゃんあだからさっきのデータも俺のだし
[00:18:17.559] 改造し
[00:18:19.360] そう嘘ですはいレで行きますいやチじゃ
[00:18:22.320] ないレですですレンで行きますレで行き
[00:18:26.640] ますはいお疲れランディ日ポケット
[00:18:29.120] モンスターやるぜレンで行くぜレンで頼ま
[00:18:33.000] レン君でいいわお母さんと一緒や俺のこと
[00:18:35.520] レン君て読むの俺お母さんにレン君て呼ば
[00:18:37.280] れてるからな未だに未だに未だにレン君て
[00:18:39.520] 呼ばれてるからなレン君でいいはいレ君で
[00:18:42.120] いいですみんなもレン君んって呼んで
[00:18:43.200] くださいレンという名前とても素敵よね
[00:18:45.039] にゃんパスえ何このたましいな何この
[00:18:47.919] イガグリ坊やおいイガグリ坊やそれでは次
[00:18:51.280] はあなたの知り合いについて聞かせてね
[00:18:53.159] 近所のお兄さんなんでしょ彼の名前も教え
[00:18:55.280] てくれるからこんなの前回いたいなかった
[00:18:57.200] よなライバル
[00:18:59.320] え俺のライバル
[00:19:02.799] ちゃん俺のライバルかま確かにライバル
[00:19:07.159] ライにしよっかじゃで行こかじゃ
[00:19:11.480] でちなみにの世界ブラックホワイトのあ
[00:19:17.120] そうなんだあ2年後の一種地方なんだまな
[00:19:21.480] ねそれってるそれい
[00:19:25.200] でしょだからつかち
[00:19:28.840] こえるからなあやめてください今の
[00:19:30.280] ちょっと切り抜きとかやめてねえこれから
[00:19:33.320] あなたを頼りにして大事な大事なポケモン
[00:19:35.240] をプレゼントしますあなたがパートナーと
[00:19:37.280] なるポケモンを選んだその瞬間からあなた
[00:19:39.000] だけの旅物語が始まりますやめろ惜しそう
[00:19:41.919] になっえこの旅であなたは数多くの
[00:19:44.480] ポケモンいろんな考えの人と出会い
[00:19:46.720] 触れ合うでしょう様々な出会いからあなた
[00:19:49.600] だけの大切なものを是非見つけてほしい
[00:19:51.799] そうたくさんの人々やポケモンと触れ合い
[00:19:54.400] 自分自身を成長させるそれがこのお冒険の
[00:19:57.039] 最も大きな目的なのですえそれでもねこう
[00:20:00.280] やっ話してる時ぐらいこのさボール
[00:20:01.799] ポンポンやめなよ多しかこいつな喋ってる
[00:20:05.440] 時ぐらいこうやめたらボールポンポンとか
[00:20:07.640] な落ち着けちょっとえポケットモンスター
[00:20:10.080] の世界へようこそ行っていきますシャだけ
[00:20:13.480] になシャカパチしてる春スプリングえ春な
[00:20:17.559] の始まりますゲームフリークプレゼンツ
[00:20:29.159] モンターブラックバージョン
[00:20:31.960] 2来たた
[00:20:36.000] パチパチパチ来たよ来た
[00:20:38.440] ようわいいねこのこのやっぱこれよねポケ
[00:20:42.480] モンって中途半端な3D褒めてます若者
[00:20:49.400] 初見でございます僕
[00:20:53.360] は桜桜
[00:20:57.780] [音楽]
[00:20:59.400] なんだのおばさんは
[00:21:02.080] え名
[00:21:04.919] し回しますどうしたの荒らから連絡なんて
[00:21:09.360] すごい久しぶりじゃない誰これへえ
[00:21:12.600] ポケモン図鑑それをうちあお母さん稽古
[00:21:16.440] いいんじゃないだって私もあの子に旅をし
[00:21:18.360] てほしい
[00:21:19.400] もので何その子ってはもうこっちに来てる
[00:21:22.200] の何よそれ相変わらずね決めたらすぐに
[00:21:24.799] 行動なんだからうんベルちゃんねあベル
[00:21:27.600] ちゃんってあれ
[00:21:28.570] [音楽]
[00:21:29.760] これもなんか同人誌で読んだことあるな
[00:21:31.640] 大きな緑の帽子とはいはい大丈夫大丈夫
[00:21:35.120] ベル出てくるん
[00:21:37.360] やあのどっこだよなあのどっこの可愛い子
[00:21:41.679] だよね同人知識多
[00:21:44.799] すぎんただいまこれ偽だわね俺のことえ
[00:21:48.520] なんかブラックのライバルキャラじゃない
[00:21:50.400] だそうブラックに出てブラック1に出て
[00:21:52.480] くるライバルの子じゃないレンただいま俺
[00:21:55.559] のことレんって呼ぶのやめてねレ君て呼ん
[00:21:57.480] でるね
[00:21:59.240] あいいね配信できそうな部屋だなおい
[00:22:01.960] とりあえずまずえ冒険の心へそのうXボタ
[00:22:04.559] のメニューが可愛かった気がする冒険の心
[00:22:07.240] のにレポートを選ぶと記録ができますと
[00:22:08.880] ラック1ちょうどやってるわいいですね
[00:22:11.080] 並行してレくウェこんばんはレンですどう
[00:22:14.880] もゴミ箱の中からっぽ今日からポケモン
[00:22:17.240] やってくぜわかんねえかもしんねえけどま
[00:22:19.159] とりあえず見ててくれ荒博士って知ってる
[00:22:21.720] ポケモン研究で有名なママの古い友人なん
[00:22:24.400] だけど久しぶりにお話ししてたの突然だ
[00:22:26.600] けどね自分のパートナーとのポケモンは
[00:22:28.520] 欲しい欲しいよしステップ1クリアじゃあ
[00:22:32.320] ポケモン図って知ってる知ってますさすが
[00:22:34.760] 出会ったポケモンを自動で記録していく
[00:22:36.520] すごい図鑑ねまたまた質問ですあなたの何
[00:22:39.960] このママのこの質問
[00:22:42.120] 攻めななたた作る配信しなきゃ友達モンボ
[00:22:47.559] ポンポン博士がママのそういうことだな
[00:22:49.279] 多分なあなたのポケモン使欲しいよねま別
[00:22:51.840] にそんな欲しくないんですけどま欲しいと
[00:22:53.600] 言わざえないでしょうよし第2ステップ
[00:22:55.799] クリアえあなたにやくことが決まったわに
[00:22:58.679] 会うためにベルという女が来ますなんか腹
[00:23:01.080] につく母親だよな荒博の女子で大きな帽子
[00:23:04.360] が目印だってそうあなたはベルという
[00:23:06.240] 女の子を探すのよそして何この説明口調な
[00:23:09.120] ママやだななんか超説明口調だなこの
[00:23:13.600] ママそしてパートナーのポケモンと
[00:23:15.760] ポケモン使を受け取るのですあバックの中
[00:23:18.200] のライブキャスターは入ってる何ライブ
[00:23:19.679] キャスターってなライブキャスターって
[00:23:21.840] なんだ配信できんのかバックの開き方は
[00:23:24.400] 分かる分かりませんトレーナーになるあに
[00:23:27.080] 冒険の心に書かれた葉を送るわトレーナー
[00:23:29.799] にとって大事なのはXボタンよじゃあベル
[00:23:32.240] ちゃんを探してあげてねライブプリズム
[00:23:34.919] ライブプリズムかこれおいどれライブアゴ
[00:23:37.240] だって
[00:23:38.640] バック持っていません何を俺持たざるもの
[00:23:43.200] ライブキャスター友達帳あやべえこれ一番
[00:23:46.000] ちょ心に来るわ多分これ拍手だろうな
[00:23:48.720] ちょっとちょっと友達帳友達
[00:23:52.159] リストほらね見てこなこが27歳男性独身
[00:23:57.440] 彼女なしこれのえ友達リストになります
[00:24:00.760] はい友達リストですこれが残念ですここ
[00:24:03.840] から埋まっていくことあるんでしょうかね
[00:24:06.039] 残念ながらねこれが友達リストですよ皆
[00:24:08.039] さん友達リスト見たかったあ確かにレンジ
[00:24:10.440] の友達見ればよかった消しちゃったね作っ
[00:24:12.320] て友達作っていこうなしいろはちゃんの
[00:24:15.120] 名前書いているこれかけんのかけねえんだ
[00:24:17.200] 自分の好きではちなみにこれがレンの友達
[00:24:20.520] 何これまいいやちょよくわかんねけど
[00:24:23.240] ライブキャスター最大4人で通話ができる
[00:24:25.600] えテレビ機能カメラ機能付きのえ
[00:24:29.039] トランシーバーへあれみてな感じかデスコ
[00:24:33.559] みたいなことかディスコができんだ
[00:24:36.440] とりあえずまず設定からだろいいよまずは
[00:24:38.399] よはい話の話は早いですえ戦闘何見ます
[00:24:42.200] 入れ替えルールサウンドモノラル
[00:24:44.840] ステレオIRのレポートえ何ですか分かり
[00:24:47.840] ませんまいいやとりあえずこれで行き
[00:24:49.120] ましょうそう考えると今の環境ってま確か
[00:24:52.600] にな確かに今のあるやんが
[00:24:56.480] あるテレビもありますのチャンネルにし
[00:24:58.880] ますかへえこんなあんねやるっこちゃん
[00:25:01.760] 最近調子はどう忙しすぎて立とか崩れて
[00:25:03.760] ないそうですねえ最近はちょっと忙しお
