[00:00:08.559] ハリボテクレイが済むハリボテクレイが
[00:09:33.320] ねどうだろうねでもなんかなんかもう
[00:09:37.240] エスパータイ思いつかねえんだよだから
[00:09:38.839] もう
[00:09:39.680] 最悪もう1匹メンタル捕まえてくる
[00:09:43.519] かいやでもなメンタルはメンタルでしか
[00:09:47.880] ねえんだよな俺ん中でもう1匹のメンタル
[00:09:50.160] もう1匹メタグロスを育ててもそれは
[00:09:51.880] メンタルじゃない
[00:09:53.880] からやっぱ俺はもうメンタルなんだよ
[00:09:59.440] それはメンタルではないからなもう1匹
[00:10:02.480] 捕まえてきても
[00:10:06.760] なとりま霊育てて育て目でいくかドラピオ
[00:10:11.200] ンって悪毒悪って言ってたっけ毒悪って
[00:10:14.839] どうやって倒すんだまいいやすこれ
[00:10:20.880] [音楽]
[00:10:23.399] でまそのうちなんかにはメンタルなんて
[00:10:27.640] 忘れて忘れるかよ忘れるわけねえだろ忘れ
[00:10:32.720] ねえよいつまでも俺の心
[00:10:36.639] にいつまでも俺の心に残り続けるだろう
[00:10:46.000] な前回のポケモンの名前覚えて全覚えて
[00:10:50.160] ないリッ確した時にあったわ
[00:10:54.360] そうまあでも思い出にはなったじゃんでも
[00:10:58.200] 思い出にはなったろああメンタル懐かしい
[00:11:01.040] なとなるかもなでも絶対もうなんかそう
[00:11:06.160] いう思い出にはなったよ思い出にはなり
[00:11:09.040] ましたそれでいいじゃねえか俺の心の中で
[00:11:11.480] 生きてるよメンタルはまボックスの中に
[00:11:13.560] 言うんだけど
[00:11:16.480] なした君した君懐かしい
[00:11:20.480] ね何育てっかなマジで
[00:11:24.639] なもうエスパータイプじゃなくてもいいん
[00:11:27.279] だけどね別にいいんだけど
[00:11:32.760] [音楽]
[00:11:34.120] う迷うなさすがにリザポ1匹じゃきつい
[00:11:38.880] もんね俺のメンタル大丈夫だよとか言っ
[00:11:43.240] てっと忘れねえが大丈夫だよ忘れてねえよ
[00:11:48.279] 俺とりあえず格闘タイプも育てるかだから
[00:11:51.399] ちょっとあれだなあれは持たせなきゃだめ
[00:11:52.839] だ
[00:11:54.120] ねあのなんだっけえっと学習装置持たせる
[00:11:58.360] か
[00:11:59.330] [音楽]
[00:12:08.200] もうとりあえずリザポよは落とせないな
[00:12:10.519] これ
[00:12:13.140] [音楽]
[00:12:16.160] なしよしよしよしよしよしよし炎いら
[00:12:24.430] [音楽]
[00:12:27.120] んバックパック金ね全然金くんなかった
[00:12:32.480] なちょっとウナちゃん育てる
[00:12:35.880] わまプネキも育てなきゃなんねえせめて
[00:12:39.360] 全員も今中にレベル50はいかないと正直
[00:12:41.760] 話になんない正直50でも話になんねんだ
[00:12:44.639] よ50だって死ぬせもうなんかなんだよ
[00:12:47.560] くそ
[00:12:48.760] もう50でも全然
[00:12:51.760] ね死ぬ世界だからね
[00:12:59.060] [音楽]
[00:13:02.480] こんな時間からどうした
[00:13:05.360] え地獄もうもう終わり終わった
[00:13:09.920] のあのなう何何誰こいつ絶対戦うじゃん
[00:13:14.519] これやめどくせえ
[00:13:17.560] なレベル高いよ高いマジであのねあれち
[00:13:22.639] どっから見てねんだっけ全然見てないよね
[00:13:25.120] パーティが1回滅し
[00:13:28.120] て死んでるよマジでパーティー1回全滅し
[00:13:33.000] てその後に60何レベまで育てあげた
[00:13:37.079] えっとメンタルっていうメタグロスも死ん
[00:13:39.639] できのもうもうもうとんでもねえことに
[00:13:42.279] なってる本当に地獄地獄大地獄これでも見
[00:13:46.040] て
[00:13:48.160] くれワルビアルなんてとくにとっくに死ん
[00:13:51.040] でるよもうメンタルシスメンタルっていう
[00:13:54.079] やつを育てたんだ俺はメンタルっていう
[00:13:55.800] メタグロスをメンタルがやられて俺の
[00:13:57.959] メンタルも死んだんだよ
[00:14:00.040] メンタルがやられて俺もメンタル死んだ2
[00:14:02.560] つの意味でメンタルが死んだもうそれでも
[00:14:04.320] 俺はもう心が壊れて昨日配信をやめ
[00:14:16.150] [音楽]
[00:14:18.920] たやめてよかったよやめてよかったねあの
[00:14:22.120] ままのテンションじゃやってられなかった
[00:14:23.639] な
[00:14:36.639] ハネルかっけ
[00:14:40.240] なみんなもて回復し
[00:14:44.519] たいやだからあと1匹何育ってるかだよな
[00:14:48.040] マジでなえお前も穴すんのかよなんだ
[00:14:57.040] よレベルマ高いよなも要求レベルか
[00:15:08.000] なバカメ穴掘るなんか俺に当たんねえんだ
[00:15:17.930] [音楽]
[00:15:22.519] よ
[00:15:26.399] オうわもうちょっと待てめちゃめちゃ
[00:15:29.040] 止まるじゃんなんだよ今日めちゃめちゃ
[00:15:31.959] 止まるなちょっと待ってね一瞬にちょっと
[00:15:34.399] ここいじるわ一瞬ここいじりますあま
[00:15:38.639] いじりたくないねんけどなここ
[00:15:44.759] なよしこれで大丈夫
[00:15:51.600] だろうダメ
[00:15:53.800] だこれもうケーブル側がダメかな
[00:16:01.880] うわまっちゃもうまずいな幸先悪い
[00:16:13.360] ぜでしかもなんかこれやるとさこれやると
[00:16:16.839] なんかパソコン落ちる時あんだよねそれが
[00:16:18.720] 怖いんだ
[00:16:21.680] よちょっと待ってなんでこれ映んねんだ
[00:16:24.880] もう
[00:16:32.600] デバイスがあれになってるねなんかああれ
[00:16:35.759] がないって言われてるねちょっと待ってね
[00:16:37.839] これどうすっかなえちょっと待ってごめん
[00:16:39.800] ななんでこれダメなんだろうああおいおい
[00:16:43.360] おいなんでこれあえなんでこれダメな
[00:16:50.319] のあらなんかやばいなこれ
[00:18:35.940] [音楽]
[00:18:38.320] グすんませんボテあげだねげだねげだね
[00:18:45.200] のきちゃんこんばんは
[00:18:48.320] おはようもうすもうえたあだなうるせえ
[00:18:53.799] これ
[00:18:55.240] あのもうニトロ買い直しか
[00:18:59.240] 偽とるもう1台買うわこれだめだ
[00:19:02.600] もう偽とるもう1回買うわ4万出し
[00:19:06.320] てなんかもうだめだねこれ
[00:19:10.960] ねまった
[00:19:16.640] なおはよう
[00:19:19.930] [音楽]
[00:19:23.919] おはよう野生のポケモンレベル高いもんな
[00:19:27.400] あていうか待ってここってさ
[00:19:29.960] 多分出るんか
[00:19:32.200] なそうだよここって多分出るんかねここで
[00:19:36.760] レベル上げすると
[00:19:38.640] 全然ですまねいいよいいよ全然いい全然
[00:19:41.919] いいありがとうあ
[00:19:44.280] 出るここ多分がりできるか
[00:19:50.159] なまたここ
[00:19:52.280] で場所を移し替えてまたここで多分狩りを
[00:19:56.280] しようかじゃあ
[00:19:58.760] タネてどこだったか
[00:20:06.480] なあれ多分ねどは寝起きだね寝起きだよ
[00:20:10.200] 寝起きだって今朝今朝7時ぐらいまでやっ
[00:20:12.320] たんだもん7時ぐらいまでやって
[00:20:16.000] あの1番手にかけて育てたメンタルって
[00:20:19.640] いうポケモンが死んだのねメンタルって
[00:20:22.760] いうメタグロスが死んで一番好きだったの
[00:20:26.360] にメンタルが死んでも俺のメンタルも死ん
[00:20:30.200] だメンタル俺のメンタルも死んだんだよ2
[00:20:33.600] つの意味でメンタルが死んでメンタルが
[00:20:36.120] 死んだから配信1回切って寝てきたああ
[00:20:40.840] もう64まで育てたのに急所に当たって
[00:20:43.799] 落ちたんだ
[00:20:44.960] よ急所に当たってギリギリ耐えたと思っ
[00:20:47.760] たら火傷になって火傷のダメージで死んだ
[00:20:49.640] わそんなことあるか
[00:20:54.919] よピタゴラスイッチかと思ったわ
[00:20:58.720] もう1匹だからメタグロス捕まえるかどう
[00:21:01.000] かってとこなんだけどでもそれはちょっと
[00:21:02.960] や違うんだよ
[00:21:05.240] なそれはもう俺の中でメンタルではない
[00:21:09.240] それはもう俺のメンタルじゃねえんだ
[00:21:12.039] よ迷ってるだからあ新しい何かを育てよう
[00:21:15.600] かなって今思ってんだ
[00:21:17.840] けどお前エスパータイプ必要だもん
[00:21:23.039] なエスパータイプ必要だもんなと思い
[00:21:26.279] ながら
[00:21:31.360] ここでまたレベル上げするしかないの
[00:21:33.679] かお揺れてるよどっかあれてるああ届か
[00:21:39.559] なかった
[00:21:42.720] くそ
[00:21:45.640] うんちょっとこの辺で全員レベル60
[00:21:48.559] ぐらいまで行きたいんですけど無理すか
[00:21:51.559] ねレベル60でも死ぬんだもんだって64
[00:21:55.240] で落とされる世界だ
[00:21:57.520] ぜこのゲームレベル要求レベルマジで
[00:22:02.360] 高い要求レベルが高すぎるよ60でも全然
[00:22:07.200] 落とされるからねあ出た出た出る出る出る
[00:22:11.360] でもレベル変わんねえなあんまりな42か
[00:22:14.720] あそこで40出たもん
[00:22:17.080] ねレベルそんな変わんないなもうちょっと
[00:22:19.760] 高いとこまで行く
[00:22:23.540] [音楽]
[00:22:27.520] かもい高いとこまで行った方がいい気が
[00:22:30.720] するなこれなんかここそんなレベル変わん
[00:22:32.640] ないね
[00:22:33.120] [音楽]
[00:22:57.440] これずウナちゃんをとりあえず進化させ
[00:23:01.120] たい
[00:23:01.880] なそ格闘タイプだから多分ね自分で狩れる
[00:23:05.640] ようになるでしょ
[00:23:12.600] 多分か相変わらず可愛いなエリート
[00:23:16.279] トレーナーうわおいいポケモン使ってくる
[00:23:19.880] ね好きだわ
[00:23:24.000] ウィンディあ威嚇うざいね威嚇巻かれた
[00:23:29.799] だがしかしここは負けるわけにはいか
[00:23:38.140] [音楽]
[00:23:43.640] ん強い
[00:23:47.679] ねいや待ってなんで2回も行動すんの
[00:23:50.480] こいつマジかよやべえ
[00:23:53.080] やばいやばいやばい
[00:23:55.720] 死ぬいやマジでいって間違えるだけだで
[00:23:59.039] いや速えぐい
[00:24:01.000] て回復入れよう多分落ちないだろ多分お
[00:24:04.559] 落とすね落とす
[00:24:08.600] ねオッケーオッケー
[00:24:11.279] オッケーいいよいいよいい
[00:24:13.880] よドリズはこいつ何あ鋼タイプ持ってたっ
[00:24:17.559] けこいつ地面鋼とかじゃないビザでいける
[00:24:24.360] べ今日も多分育成で終わるな
[00:24:30.440] 育成しかしてねんだわマジ
[00:24:35.799] でやっぱ地面鋼だなこいつな炎が
[00:24:40.679] 通るやっぱこれもうだからレベル
[00:24:43.120] めちゃめちゃ高いからもう常に相手の弱点
[00:24:46.360] をついていかないとマジで死ぬ
[00:24:49.039] からだやっぱいろんなタイプのポケモン
[00:24:51.840] 育てなきゃいけない1匹だけ強いのいた
[00:24:54.200] だけじゃ絶対だめだから
[00:24:58.480] そうなんですよねだからやっぱりエスパー
[00:25:00.919] タイプは使うエスパーか悪かかあ悪格闘は
[00:25:04.520] ウナちゃんがいるからやっぱりちょっと
[00:25:07.320] あれだなエスパータイプだよなここにかけ
[00:25:10.679] てんの
[00:25:13.039] なちょっとこん中のここ行ってみるかちょ
[00:25:17.200] もうちょっと先進んで多分ネがりしよっ
[00:25:20.919] かもうちょっとレベルが高いうわあここで
[00:25:25.000] こいつらが出てくるのかだりいなま行くか
[00:25:27.919] 仲間が来るまでとはいついつまでなん
[00:25:29.760] だろうなここの先は大事なポイント21番
[00:25:32.399] 水道に向かう連中も大事だが俺らも大事な
[00:25:34.679] 役目を任せもうこの100点の悪役100
[00:25:39.120] 点のしたっぱだな言ってくれるだ21番
[00:25:41.720] 道ろだった
[00:25:43.520] さあうイムも出てくるんだね
[00:25:59.910] [音楽]
[00:26:04.200] まそうんやっぱでもストーリーちょっと
[00:26:06.919] 進めてもうちょっと強いとこ行った方がま
[00:26:10.399] いいとは思うけどねでもそれ怖いよ
[00:26:14.919] な21番道路って言って
[00:26:18.320] たどこ21番道路って21番水道って言っ
[00:26:22.240] てたかここか
[00:26:26.560] [音楽]
[00:26:35.000] よしちょっとじゃ向かいますかこっちに
[00:26:38.770] [音楽]
[00:26:42.640] ねただこんなとこにいるのか
[00:26:47.559] ねこんなとこにポケモンなんかいる
[00:26:52.159] かうわもう俺こいつ空馬なんだけどああ
[00:26:56.080] やっぱレベルけえ45とか出んだもんな
[00:27:01.279] なじゃここちょっとあれで行くか野生の
[00:27:03.880] ポケモン仮気味で行く
[00:27:09.260] [音楽]
[00:27:21.440] かこんなとこにプラ
[00:27:24.480] あそっかこれあでもうわレベルのさこれ
[00:27:27.679] すごい45が出たり31が出たり結構
[00:27:30.399] レベル差が
[00:27:32.980] [音楽]
[00:27:43.159] でかいこんなでレベル上げなんねえ
[00:27:48.140] [音楽]
[00:27:56.480] なこんなとプラズマダいる
[00:28:05.799] のプラズマダいるんすかこんなとこ
[00:28:11.640] にいやわかんねどこ行けばいいんだろこれ
[00:28:22.490] [音楽]
[00:28:30.960] ちょっと野生化
[00:28:33.039] だるいあ鉄砲402強いね強いけど多分
[00:28:38.279] 倒してもそんなもう経験値多分ねの経験値
[00:28:42.320] じゃないと満足でなんで逃げらんねんだ
[00:28:47.000] よえそんなに死にたい
[00:28:51.159] か大人しく逃しておけばよかった
[00:28:54.320] もの
[00:28:56.279] うおんでそ
[00:28:59.039] 待てなんでこんな強んだこの野生の鉄砲が
[00:29:03.120] ハイドロポンプ撃ってくんのかよ
[00:29:05.960] お前マジこのゲームのこういうとこだよ
[00:29:09.799] 本当にこのゲームのこういうとこだ
[00:29:14.120] よこのゲームマジこういうとこあるよな
[00:29:18.640] なんでこんなに難しく作った
[00:29:21.919] の全然逃げらんねったし
[00:29:27.039] さセールポケモン
[00:29:29.380] [音楽]
[00:29:32.760] だろ鉄砲を見かけによらずえぐいえぐいね
[00:29:37.279] あれでもどこ行ったってどこつってた
[00:29:40.240] わかんねえここでえでもこんなとこじゃ
[00:29:42.399] ない21番水道に向かったって言ったけど
[00:29:46.679] こいつ回復してくれるんだよ
[00:29:48.080] [音楽]
[00:29:54.760] なえこなんかこっちでなんかやんの
[00:30:00.100] [音楽]
[00:30:03.760] かうわパウワウ出るん
[00:30:07.540] [音楽]
[00:30:08.799] だまあでもまあいっかパウワウはまあいい
[00:30:12.600] とし
[00:30:13.370] [音楽]
[00:30:16.279] てそっかパウワウ出るんだったらあれだ
[00:30:21.399] なパウワウでも良かったね
[00:30:28.760] えごめんどこに行けばいいの
[00:30:32.080] これ21番水道に向かったって言ってたよ
[00:30:40.760] ねいやだこ
[00:30:44.040] [音楽]
[00:30:48.559] あうーんどうすればいいんだろうわかん
[00:30:51.559] ねえな
[00:30:54.930] [音楽]
[00:30:59.679] わざわざここれあっちから来るんだったら
[00:31:01.480] ね普通に
[00:31:02.480] こうこっち側から行けばよかった
[00:31:05.870] [音楽]
[00:31:17.880] なこの辺は水タイプだからまだいいか
[00:31:37.710] [音楽]
[00:31:51.120] え待ってどこに行けばいい
[00:31:54.120] のなんかこのゲームま俺がもうスーリー
[00:31:58.320] 全然適当にもうバーってやっちゃってる
[00:32:00.880] からわかんねえかもしれないけどちょっと
[00:32:02.519] 難ちょっともう1回ごめんもう1回さっき
[00:32:04.200] の洞窟行って聞いてくるわまここだったら
[00:32:07.000] すぐ戻ってくれるからな
[00:32:09.320] えどこに行くって言ってた21番水道って
[00:32:13.799] 言ってたよ
[00:32:18.020] [音楽]
[00:32:22.440] ななんかあっちに行かされたらこっちに
[00:32:25.000] 行かされたら多いんだよね
[00:32:34.250] [音楽]
[00:32:44.320] ああ久しぶりお前いたなお久しぶり久し
[00:32:48.600] ぶりだねテラキは戦いの炎からポケモンを
[00:32:51.000] 守るためにえ人と戦った3匹のポケモンの
[00:32:54.480] 1匹フラダが発する危険な匂いを書き取り
[00:32:57.559] 彼に解できる強きポケモントレーナーを
[00:32:59.360] 求めてるんでしょうあなたの前に現れたの
[00:33:01.600] は興味深い出来事それはさてきあなたは
[00:33:03.679] プラズマのと戦うんですか戦います
[00:33:06.159] なるほどれあるなら自分のポケモンを
[00:33:07.840] 守れる強さを持つのですポケモンに守って
[00:33:09.679] もらうだけがトレーナーではないですえ
[00:33:11.360] トレーナー自身が強いからこそポケモンの
[00:33:13.120] ことを思うからこそポケモンの力を発揮
[00:33:14.760] できるよろしいこれは私からです何何それ
[00:33:19.960] アクロママシーンま全然わかんねえよそれ
[00:33:23.279] はポケモンを活性化させる装置の試作品
[00:33:25.960] 戦ってるポケモンには使えませんが何かの
[00:33:27.840] 立つでしょうではあなたのポケモンの旅を
[00:33:29.720] 無事を祈ってそういえば21番水あ21番
[00:33:34.240] 水道にある浜辺の海辺の洞窟の中で4番
[00:33:37.760] 道路を思い出すような懐かしいものを見
[00:33:39.760] ました何それ
[00:33:42.639] それ
[00:33:44.200] かそれえ俺これちょ今ちょっとこいつ戦う
[00:33:47.080] 余裕ねえ
[00:33:49.679] なちょっと今戦う余裕ねえからま後回した
[00:33:53.559] なこいつはな
[00:33:58.880] あとこれちょっとあれだな怪力だあ誰かに
[00:34:02.799] 怪力覚えさせるかしかないよな多分
[00:34:07.870] [音楽]
[00:34:09.040] なあんまり覚えさせたくねえけどなこう
[00:34:12.119] いう技はウナちゃんに怪力覚えさせる
[00:34:17.030] [音楽]
[00:34:26.720] か返しよりは帰りの方がいい
[00:34:39.530] [音楽]
[00:34:42.000] かまこれで行ける場所かなり増えると思う
[00:34:44.800] からね
[00:34:46.989] [音楽]
[00:34:50.000] オやっぱりあの洞窟で合ってたのかな
[00:34:57.550] [音楽]
[00:35:02.400] あ戦ってなかった迷子迷子ちょっとどこに
[00:35:06.160] 何行けばいいか全然わかん
[00:35:12.520] [音楽]
[00:35:14.960] ないなんかこれブラックホワイトなんか
[00:35:17.520] すげえさいろんなとこ行かされるんだよな
[00:35:21.000] なんかただ単純に進んでいけばいいって
[00:35:23.960] わけじゃなくてなんか戻ったりまた先に
[00:35:26.040] 行ったり戻ったりとか色々ちょっとめんど
[00:35:28.560] くせえ
[00:35:31.970] [音楽]
[00:35:47.720] なやもうあのなんつうのかなあれあの
[00:35:52.359] さプネプネ行けるかな
[00:35:56.640] あの分の経験値に見慣れちゃってさこれ
[00:36:02.160] これトレーナーで戦っても全然レベルが
[00:36:04.880] 上がらないのがさもうだったら戦わなくて
[00:36:07.520] いいんじゃねえかなって
[00:36:09.599] いうそういう感じになってるけど俺
[00:36:13.960] もだって多分ね買ってた方が簡単にレベル
[00:36:16.839] があるもんね験に見えてるそうそう
[00:36:19.359] そうそうそうそれよりだしかも多分ねより
[00:36:22.520] もめちゃめちゃ強い
[00:36:24.119] じゃん多分ねよりも強えべ
[00:36:29.720] 多分ネ狩りが優秀すぎるんだよなハレ系と
[00:36:32.640] 同じ理論じゃんそうだね普通の戦闘で
[00:36:34.960] レベル上げるのってちょっともう効率が
[00:36:37.319] 悪いんじゃないすかて
[00:36:39.200] いう効率中になっちまった
[00:36:45.440] 俺まあニューラ
[00:36:48.820] [音楽]
[00:36:50.560] ねさすがにレベル高いなこん中はなあら
[00:36:55.160] 逃げらんねえさ
[00:36:59.240] ならば殺すまでよ
[00:37:02.280] やばいいやこれまずいっす
[00:37:05.720] よ防御ガクっと下げられて切り裂くやられ
[00:37:10.160] て急所に当たる俺もうそのそこまで見え
[00:37:12.319] てるそのビジョンが見えてる入れ替えよう
[00:37:15.440] え何先生の爪あ何こびっくりした何やめて
[00:37:21.000] え何これ先生の爪持ってんじゃんなん
[00:37:24.440] でが野生ポケモンの野生ポケモン不
[00:37:29.839] もう野生ポケモンも
[00:37:32.359] さ野生のポケモンもマジで穴取れねえよ
[00:37:35.319] めちゃめちゃ野生のポケモンが
[00:37:41.760] 強い野生ポケモンでこんな強んだもやばい
[00:37:45.119] よ
[00:37:46.610] [音楽]
[00:37:52.119] な野生ポケモンにこんなダメージ食らわせ
[00:37:54.960] られんだよ
[00:37:57.610] [音楽]
[00:38:04.040] 21番水道に向かう連中って言ってたから
[00:38:06.480] 20やっぱあってるよなえさっき洞窟の中
[00:38:10.240] なんかあった
[00:38:14.370] [音楽]
[00:38:17.800] かこっち側から行った方が早そう
[00:38:29.540] [音楽]
[00:38:37.760] やぱあの洞窟の中だろうな多分
[00:38:40.190] [音楽]
[00:38:47.040] なここ
[00:38:51.520] かえでもなんかあったここ
[00:39:00.010] [音楽]
[00:39:24.440] これなんかどうすっか俺スプレー買って
[00:39:26.480] くるか大量に
[00:39:29.640] 野生ポケモン戦う意味ねえもんな正直なえ
[00:39:33.800] 何もないや
