[00:00:04.920] おはちゃまスピリテールおはちゃまスピリ
[00:05:17.520] 球民って久々に聞いたないあ5時間かかる
[00:05:21.199] んだまあぜひちょっとちょっと力感覚で来
[00:05:24.039] て感覚でねあのライブ終わったらみで
[00:05:28.000] 楽しめるアターパーティとちょっとやろう
[00:05:30.160] かなと思ってるからまそれはまちょっとま
[00:05:32.120] そのドネルの集まり次第になっちゃうんだ
[00:05:33.960] けどまあまあまあまあまあそのね会場また
[00:05:37.319] 別で借りてねみんなで多分ライブ中は
[00:05:41.520] ライブ中は多分ねあのねあれなんだよね
[00:05:44.680] あのもちろんみんなと話せるかもしんない
[00:05:47.000] けどそんなにたくさんみんなと絡むこと
[00:05:48.800] できないと思うんだよライブがあるし俺俺
[00:05:50.880] なんか特にね他の出てくれるみんなも多分
[00:05:54.000] 結構忙しいと思うからその後に例えば始発
[00:05:57.080] ぐらいまでなんか騒げるような場所借りて
[00:05:59.039] さなんか2パティできればなと思ってます
[00:06:00.919] んで誰をお持ち帰りできるあそうですお
[00:06:03.919] 持ち帰りできるよお前ら狙え狙えよ
[00:06:06.360] ちゃんとあのコビ売っとけなんかうんマジ
[00:06:08.800] であのマジで本当にあのあるかもしれねえ
[00:06:12.919] からなペテルお疲れちゃんペテルもお疲れ
[00:06:15.319] あるかもしれねえからなわかんないじゃん
[00:06:17.560] だってねわかんないじゃんそれって人と人
[00:06:21.479] なんだから何があるかわかんないからもう
[00:06:23.120] そういうこともあると思うんでぜひそれを
[00:06:25.520] 狙ってのパン
[00:06:30.240] カルバンクラインカルバンクライン来てき
[00:06:32.599] たらついてっちゃうかも
[00:06:33.960] しんこんばんはありがとうサブサブスク
[00:06:37.440] ありがとうサありがとうどうもこんばんは
[00:06:40.080] 買ったチケットなんかどうやら俺ちょっと
[00:06:44.120] Twitterで見たんだけどあなたAの
[00:06:46.800] 1番らしい
[00:06:49.759] じゃんAの1番だったらしいよやばく
[00:06:53.479] ね2020A20ってそんにてるこ売れ
[00:06:59.879] てん
[00:07:01.919] のあれ正番順だからねおやべえぞもう売り
[00:07:06.360] 切れるぞマジでこの勢だあa8なだ早いえ
[00:07:09.599] 結構売れてねA20って結構売れてないえ
[00:07:14.039] ソウルドあるぞこれお前らマジ頼む
[00:07:16.919] ちょっとから更新しまくっていきさすが
[00:07:20.039] ですさすがですさすがですいやさすが
[00:07:22.919] さすがの方で見れないんだあのねそれね
[00:07:25.479] 全部ね管理がねじちゃんなんすよじちゃん
[00:07:28.919] なんすよ
[00:07:30.160] あの管理がねちゃんなんだけど今日大変
[00:07:34.000] だった19時から販売ですつって一応販売
[00:07:37.560] ページを30分前から30分前からあの
[00:07:43.120] ページをねあの一応出してたのよあの
[00:07:45.840] ツイートしてないけどね18時半からやっ
[00:07:48.599] てたんだけど俺とりあえず帰り途中に
[00:07:50.240] ちょっとパッと見てま帰るようになってん
[00:07:52.560] だよなと思って帰るようになってなくて
[00:07:54.520] ページはあるんだけどなんか何チケット買
[00:07:57.720] うっていうボタが出てえ何これ思ってじ
[00:08:01.240] ちゃんにめちゃめちゃ電話してしたら
[00:08:03.639] なんか何みたいめちゃめちゃだるそうに
[00:08:06.240] 言っておいおい帰るようになってねえぞつ
[00:08:08.080] てえつって55分ぐらいまでめちゃめちゃ
[00:08:13.120] ドバね危ない本当に危ない本当にマジ
[00:08:19.599] でで危なかったっすね危なかったよかった
[00:08:22.879] まあでも結果的に変えてるんで変えてるん
[00:08:25.240] でよかったか
[00:08:28.199] なれてだろ
[00:08:30.599] などんくらい売れてん
[00:08:34.919] だろう
[00:08:36.560] あじちゃんから来てるえ結構売れてん
[00:08:41.519] じゃん結構売れてん
[00:08:45.519] じゃんうわ結構売れてん
[00:08:49.120] じゃんま言わないけど言わないけどお疲れ
[00:08:52.480] ちゃんお疲れちゃんありがとうね買って
[00:08:53.720] くれてね売り切れあるかもしんないた
[00:08:56.519] まだまだまだ買えますまだ買えるけど
[00:08:59.440] 買えるだってほとんどまだ多分この後出て
[00:09:03.399] くれる人が配信とかでこうこ口とかしたら
[00:09:06.040] もっと売れるやん
[00:09:07.680] ねあるかもなあるかもなマジでなまあまあ
[00:09:11.320] ままままそんな感じであの皆さんもね
[00:09:14.000] よかったらねまだあの変えますんで買って
[00:09:16.040] くださいよかったらねこちらから買って
[00:09:17.640] くださいねよろしくお願いしますはいはい
[00:09:19.880] こんな感じでやってきますかねあもう
[00:09:22.120] ちょっとあれだな見ちゃおうかな見
[00:09:25.279] ちゃおうかな見せちゃおうかな
[00:09:29.959] あの遊びに来てくれた人にはあの全員に
[00:09:35.279] ですね無料ではいもう見せますはい
[00:09:37.680] ステッカーけますステッカーあげますんで
[00:09:39.480] はいよかったらこれあの現地遊びに来て
[00:09:41.600] くれた人には配りますからこれステッカー
[00:09:44.160] あの配りますはいわいはいこれね
[00:09:47.680] めちゃめちゃスペシャルなステッカーを
[00:09:49.480] 作りましたこれなんとですねなんとこれ
[00:09:52.519] あの裏面プリントありです
[00:09:55.440] くくう裏面プリントもあるこれ貼れねえよ
[00:09:58.760] これで当たったグッズももらえたりする
[00:10:01.399] ああそうだねあのそうだまだそれあれから
[00:10:04.560] 会えてない人にはそうだこれもあげます
[00:10:06.959] からねこれもあげます携帯の裏入ります
[00:10:09.480] 携帯の携帯の裏に入るサイズで作ったんで
[00:10:14.279] 携帯の裏に入るサイズで使ったんだよかっ
[00:10:16.000] たらこれねあのもらいに来てくださいはい
[00:10:18.560] あのはいあ余ったらわかんないどうにか
[00:10:20.800] 配りますはいそうだねあとは俺のグッズ
[00:10:24.360] なんかもそうまだちょっとあるんで
[00:10:26.360] ちょっとあるんでピ良かったねよしそんな
[00:10:29.959] 感じでねこんな感じであのイベント着々と
[00:10:32.880] 3枚くれあの3枚3枚うんどうしようか
[00:10:37.600] なこれねあのあげますからよろしくお願い
[00:10:41.120] しますはいうんはいこんな感じでやって
[00:10:43.440] いきますかねタバナやっていくぞ
[00:10:48.120] タバナあそっかあれもあげよっかな来て
[00:10:51.920] くれた人にえ来てくれた人になんか俺の
[00:10:55.600] グッズあげたい
[00:10:57.480] なてくれたにがなんと俺の今まで配信で
[00:11:02.399] やってきた
[00:11:03.800] このメガテンのマップマップノートこれ
[00:11:08.079] あげようかなこれこれえぐくないメガの
[00:11:12.920] マッピングうんメガテンのマッピング
[00:11:15.000] シートこれあげようかなこれマジでこれ見
[00:11:16.920] ながらやってくれよ配信とかマジでこれな
[00:11:20.560] めちゃめちゃこの俺の今までこの歴史が
[00:11:24.000] 世界に1つだけいらないかかえで
[00:11:30.200] 風まで2度と間違えるなよ風までじゃない
[00:11:33.240] 風までな2度と間違えるなよはいこあり
[00:11:36.200] ます白飛びちゃて見えね待ってこれもあり
[00:11:39.320] ますからこのノートあげようかななんか
[00:11:42.000] それまでにもっと
[00:11:44.320] マッピングマッピング色々してこれもっと
[00:11:47.200] 埋めよなんか色々あれですね色々あれすね
[00:11:51.560] 笑笑色々あれですねなんかやりたいね色々
[00:11:54.279] やりたいねそういうのの
[00:11:59.480] パーティーやってよあビンゴパーティーと
[00:12:01.519] あビンゴパーティーとかあめちゃめちゃ
[00:12:03.519] 面白いじゃんそれやろうビンゴパーティー
[00:12:06.120] とかやりたいねアフターパーティができれ
[00:12:07.959] ばねあのアフターパーティも会場借り
[00:12:10.079] なきゃいけないんでまそっちにもお金
[00:12:11.639] かかっちゃうからねまもしでき
[00:12:15.560] たらあの普通の飲み屋とかじゃなくてさ
[00:12:18.440] ちょっとバーみたいなとこ借りてDJ
[00:12:20.720] ブースがあるとこ借りてDJとかできたら
[00:12:22.760] なっ
[00:12:24.560] てメモっていいそれビンゴビンゴ
[00:12:27.519] パーティーやろ
[00:12:29.920] あビンゴめっちゃいいなんだよいやわから
[00:12:33.320] んやんけわからんやろDしないでパでDし
[00:12:37.120] ないもうちゃんと靴履いていきますんでま
[00:12:38.959] よろしくお願いしますねいいですね遊びに
[00:12:41.920] 来てくださいぜひねぜひ遊びに来て
[00:12:44.240] くださいはいということでということで
[00:12:48.240] なら供しよう箱いらねえな箱いらねえ
[00:12:52.240] プレステ5くれ俺にまいいややってきます
[00:13:00.760] タバナやるんよタバナやるんすけどもう
[00:13:05.639] 前回も俺タバナタス疲れしてるから
[00:13:09.720] な前回しんどいから
[00:13:14.560] なタスのさ前回ももうゴリゴリで削られた
[00:13:20.160] から俺体力ハイカロリーゲーマジでもう
[00:13:23.600] ちょっとまたわーってなっちゃうかもしん
[00:13:25.440] ないバスナバスさマジでさまたうわーって
[00:13:30.680] なっちゃったらごめんねまやってきますか
[00:13:37.519] ねいやイベント楽しみだないや結構
[00:13:40.440] イベント楽しみって言ってくれてる人が
[00:13:42.199] 多くてマジで励みになるわに重い1やった
[00:13:45.639] だけに
[00:13:51.839] ねどこまでやったんだっけな忘れちゃった
[00:13:55.680] ね過去編やったんだなんか変なさあの
[00:14:00.519] 何あのスナイパーみたいなやつ全然でき
[00:14:03.199] なく
[00:14:04.440] てセラファイト覚えてない焼きますこれ
[00:14:08.800] 前回のあすみたいのあったらめっちゃいい
[00:14:10.880] のに
[00:14:12.040] なこクソ長ロード始まりました俺に俺に
[00:14:16.120] 群がる
[00:14:18.000] がいやでも楽しみだなマジでで楽みういの
[00:14:22.480] に
[00:14:25.360] なマジでイベント楽しみになってきた倍
[00:14:29.440] までこぎつけたよマジで大変だったここ
[00:14:32.120] までマジで右直接ありすぎマジで
[00:14:37.720] なまちょっとね
[00:14:41.480] あの誰よりも俺が楽しみにしてるんで
[00:14:45.959] ね前日とかなあなんかできたらいいなと
[00:14:49.680] 思ってるけどまちょっとまわかんね
[00:14:52.480] けど是非ねちょっと楽しみにしといて
[00:14:54.880] くださいね
[00:15:00.199] 明日スタジオだからなじんちゃんギター
[00:15:02.160] 練習してんのか
[00:15:05.279] な明日新しい曲やるんだけど大丈夫か
[00:15:14.880] ななげえよロードがいやオリジナルじゃは
[00:15:18.759] ないんだ
[00:15:19.560] けどオリジナルもできたらねって話はし
[00:15:22.199] てるんだけどねさすがにでもちょっと時間
[00:15:24.880] が間に合うか
[00:15:30.920] ひひおあ
[00:15:33.680] こんばんはあてかあれ固定にしとくか
[00:15:39.079] これこちらからしとこピンこれができねえ
[00:15:46.160] ピン止めができねえまよしやってきますえ
[00:15:48.319] なんだっけ何何するんでしたっけ何するん
[00:15:54.360] でしたっけ止されてるよあされてる
[00:15:59.319] 嘘俺の方出てねえなあできてるあよかった
[00:16:02.480] よかったなんか問題が発生しましたじゃま
[00:16:06.319] いいやこれ何するんだっけもう全然覚えて
[00:16:08.959] ねえ
[00:16:13.240] からマップってどうやって見んだっけ
[00:16:16.199] なえ何するんだっけロードしないとそれ
[00:16:19.560] 治らないんだよねあそうなん
[00:16:26.839] だどこ行くのこれ
[00:16:31.759] 何だっけどこ行くんだっけジョエルに会い
[00:16:34.279] に行こうジョエルに会いに行くんだっけ
[00:16:36.160] ジョエル死んでるけど
[00:16:38.759] なちょっとマジでどどう何すんだか忘前に
[00:16:42.959] ピント作業してる時もそうなってたあ
[00:16:46.639] 本当いやてか待って違うんだ弾がないんだ
[00:16:50.279] よもだいぶなんかさそうもうめちゃめちゃ
[00:16:53.399] 使っちゃったんだよね弾とかね
[00:17:01.319] Lさん5号戦あっちだあっち何しに行くん
[00:17:06.240] だっけなもうスト覚えてねえ
[00:17:09.120] なあっちだったってねえべや道がよそうか
[00:17:13.640] 階編が終わったんか階編が終わってどう
[00:17:16.839] なったんだそれじゃ出発ここ
[00:17:22.439] かなんかあの中国人を家に招き入れたとこ
[00:17:25.799] まで覚えてんだよで階編が始まって
[00:17:30.400] なんかあれかまたなんか1人で攻めに行く
[00:17:32.200] 絶対なんかあれかまたなんかあのあなんお
[00:17:36.039] セブセブンイみたいなクイック
[00:17:38.799] マートあれかあのあの女なんだっけあの
[00:17:42.919] ファイアフライじゃなくてえウルフウルフ
[00:17:46.320] のなんか拠点攻めに行くべみたいな感じ
[00:17:51.559] か確かそんなんだった気がします
[00:17:59.200] もうちょっと激しうるさいのやだ
[00:18:01.760] なうるさいのやだもうあのいきなりドカン
[00:18:04.919] とかマジでやめてほしいジャンプスケア
[00:18:07.159] マジ
[00:18:13.480] やめろ静かに出てきて
[00:18:16.799] ね静かに出てきて
[00:18:19.840] ほしい静かに出てきてほしい
[00:18:24.080] よあうんちゃんこんばんはちゃお疲れ
[00:18:29.120] 今日も文句垂れながらやってきます歩全身
[00:18:32.960] えこれこんななんかありそうなお店なのに
[00:18:35.360] 何もないじゃんなんかよ弾弾マジで何も
[00:18:38.880] ねえのきついからくれよあああカード
[00:18:44.440] カードいいランディ
[00:18:47.640] ランディランディスタイルズだってちらあ
[00:18:52.840] たムさんこんばんはランディ来ちゃ
[00:18:54.840] ランディ来たわランディ来たしかも俺
[00:18:56.640] ランディに1回で会ったことあるけど似
[00:18:58.440] てるランディスタイル笑笑ランディに似
[00:19:01.240] てるこれランディ似てますこれ言っとく
[00:19:04.280] けどランディ
[00:19:05.360] スタイルズかつてランダルスタイルズ
[00:19:07.840] ランダルスタイルズあラの笑笑チケット
[00:19:12.000] 買ったぜありがとうありがとう楽しみにし
[00:19:14.799] ててくれマジで楽しみにしていてくれあ
[00:19:17.400] ここがありました
[00:19:20.880] わ結構チケットいい感じに売れてんなや
[00:19:29.200] なったら熱い
[00:19:32.120] でしょ1回目でソウルドになったらだいぶ
[00:19:35.039] 熱いよマジ
[00:19:39.760] でまあねちょっとねあのねイベントのて
[00:19:43.880] そうそうならないのいや普通に俺らが
[00:19:47.240] バンドをやってたアマチュアでバンドやっ
[00:19:49.280] てた頃はソールドなんてないないないない
[00:19:52.200] ないマジで
[00:19:54.799] ない第2回も開催できるようにねそうだね
[00:20:00.600] そうなんで1回目想像するとなんで何が
[00:20:03.360] いいかって第2回もしかしてもっと大きな
[00:20:05.400] とこでやるってなって例えば都内とかでや
[00:20:07.360] るってなったらさやっぱり今回なんで
[00:20:10.360] こんなイベントができるかって言うとその
[00:20:11.840] ライブハウスの店長さんがもうずっと
[00:20:14.200] 知り合いだし俺のこと知ってくれてるから
[00:20:16.600] あいいよって橋本君のイベントなんだっ
[00:20:18.919] たらいいよって言ってくれてるんだよこれ
[00:20:20.720] がただ何も知らないとこの始めましての
[00:20:22.960] ライブハウスだとあ配信者の初心者の
[00:20:27.039] バンドが出るんでしょそんなんじゃ無理で
[00:20:29.480] そんなうち使わせらんないよってなるんよ
[00:20:32.960] ね実績がないから今回ソールドすればさね
[00:20:37.240] 前回のイベントこれこれれこうでソールド
[00:20:39.320] してるんですっていう実績があればさまた
[00:20:41.480] 話は別じゃんだからできればすごい成功し
[00:20:45.039] て欲しいんだよねそうそんなもんよでもが
[00:20:47.799] 生きてるんかまそれはそうだねま都内にも
[00:20:51.039] ね知り合いのねライブハウスとかあるけど
[00:20:53.440] まもやっぱそういうとこってさ
[00:20:55.640] やっぱま言ったら今回のライブハウスって
[00:20:59.280] 結構趣味でやってるおじいちゃんが趣味で
[00:21:02.960] ずっとやってるようなライブハウスでや
[00:21:07.159] べおるなあ
[00:21:12.640] はどっから入んだろ
[00:21:24.120] これだからね今回ソルになったら
[00:21:29.760] 次に繋がると思うマジ
[00:21:35.480] でえどっから入んの
[00:21:42.559] これまちょっと周り探索する
[00:21:45.600] かああ行かなくていいの
[00:21:49.640] あれなんだあそこ別に行かなくても進め
[00:21:52.320] そうな感じだ
[00:21:55.279] な行ったらアイテムとかあんだろうな
[00:22:00.000] よしよし
[00:22:01.720] よし毎月金貯めて年末パット使えたらいい
[00:22:05.640] なああまあまあでもそんなにお金のかかる
[00:22:08.240] イベントではないからね遊びに来る分には
[00:22:12.000] ねしかもたきさん栃でしょそんなそんな
[00:22:15.880] 遠くないし
[00:22:18.080] ねだめかどこも開いてないっす
[00:22:22.919] ねここ行くんか待ってここ行くま待って
[00:22:26.720] 行っちゃったあ物色させてもらおっとあ
[00:22:30.000] ざすライブで知り出しはダメだよ大丈夫
[00:22:33.559] 大丈夫
[00:22:35.520] ま配信もついてるしねだからもし来れない
[00:22:38.400] 人もちゃんと配信で楽しめるように考えて
[00:22:41.400] ますから
[00:22:43.679] ね
[00:22:45.440] あららおれんくおシさんこんばんはシさん
[00:22:50.600] こんばんはやってんで今日
[00:22:56.039] もですボあり
[00:22:59.840] 何何何そうだ
[00:23:10.480] ねそういうバンドやってたかんな昔
[00:23:17.200] ないや楽しみだ
[00:23:22.200] ないきなり出てくるやめろよ全然どこも
[00:23:26.159] 開いてねえじゃん
[00:23:27.440] や場まで電車と徒歩で十分行ける範囲だし
[00:23:31.279] ねカフェで止まって帰りたいえ別に日帰り
[00:23:35.520] で行ける距離あれだたど済みなんだっけ
[00:23:38.320] 言いたくなけれ言わなくていいけど栃木
[00:23:40.240] 圏内だったら日帰りできんべ
[00:23:47.679] 全然全然都内見ても全然日帰りできるよ
[00:23:50.720] だって駅からライブハウスまで徒歩1分だ
[00:23:55.080] よ1分もかかんない
[00:23:57.440] よ9時にイベント終わったらそのまま電車
[00:24:00.360] で帰れるから
[00:24:02.880] ねまその後の打ち上げ出たいんだったら
[00:24:05.760] 始発までやん神リッチだよマジ
[00:24:09.640] でリッチもいいんだよだ
[00:24:12.360] からいいねいっぺいいぺあるわあれ
[00:24:17.640] が近所にねカフェないから遊んで帰りたい
[00:24:21.080] のようんうんうんうん
[00:24:26.200] うんうん今32し
[00:24:30.039] ねうわちょっと待ってよそんなのありかよ
[00:24:35.679] なんだよ
[00:24:37.559] それおふざけんなマジで
[00:24:42.240] お何ふざけんなよマジでこのゲーム
[00:24:50.480] よ待ってよざんなよ
[00:24:58.799] だこの
[00:25:00.919] で待って
[00:25:03.039] ちょっとちょっと待ってそうだそれはダメ
[00:25:07.480] だろあ間違え
[00:25:12.240] たそういや待て待てあのさあのさ武器の
[00:25:16.919] 強化中にさそれは武器の強化中にそれは
[00:25:21.200] ダメだろふざけんな
[00:25:24.640] よこんばんはも
[00:25:28.679] なこのゲームマジ
[00:25:31.640] でれても平気えちょっとおかしくない
[00:25:35.600] かそれはダメでしょ
[00:25:38.840] 最悪ここどうなってんのそれはやっちゃ
[00:25:42.880] だめだよ笑笑1番人が1番人が
[00:25:48.240] さリラックスしてアイテムをさ強化してる
[00:25:52.039] 時だったじゃんそれはだめだ
[00:25:56.399] よバイオハザード言ったらセーブセーブ
[00:25:59.760] ポイントにゾンビ入ってくるようなもんだ
[00:26:01.720] ぞそれそれは卑怯だ
[00:26:06.480] よククラめっちゃこれ1人暮らしだろうな
[00:26:09.640] この家1人暮らしでウォーターサーバー
[00:26:11.440] 契約するとこうなるからな怖すぎるタピ
[00:26:14.279] マジでやっちゃいけないそれ
[00:26:17.960] は1人暮らしでウォーター
[00:26:20.559] サーバー契約するとさウォーターサーバー
[00:26:23.520] の水がもうとんでもねえダンボールの山に
[00:26:26.360] なるから
[00:26:27.240] なふざけやがってよ中に母ちゃん乱入
[00:26:31.799] レベルだ本当にばばこんばんはいやマジ
[00:26:35.880] 勘弁して本当
[00:26:38.240] にマジで勘弁して
[00:26:41.000] ほしい
[00:26:44.399] オ
[00:26:53.200] 名称俺やっぱとっさに10で撃てねえんだ
[00:26:56.360] よ
[00:26:57.240] なとっさに銃打てねえ
[00:27:01.520] わあれこれなんでさあれなんだろう
[00:27:05.080] ちょっと待ってちちゃん
[00:27:07.399] こんばんは最読み込みするわちょっと
[00:27:09.640] こっち調子
[00:27:11.880] 悪いあオーオ
[00:27:19.600] オッケーあいよありがとうロムて
[00:27:25.240] ありがとういやもう待ってくよ
[00:27:33.679] もう69ある人体
[00:27:37.760] うーちょっとフィジカルも育てる
[00:27:45.039] か胡服の移動速とが上がる
[00:27:52.440] うーんフィジカルも育て円Discを工作
[00:27:56.320] 円工作できるようにする
[00:28:01.919] かあ改良型医療キット来たわこれ作りたい
[00:28:06.760] ねこ40かあとあと1じゃねえ
[00:28:10.159] かあこもらっ
[00:28:16.159] て何これうん後で思っ何これ
[00:28:24.640] ぬこ新しい教科で爆あいや
[00:28:28.960] めっちゃ専門書笑なんか来たよ爆発物
[00:28:33.200] 新しい爆発物来た何新しい爆発物
[00:28:39.320] な新しい強化派生だった
[00:28:44.200] ねああるあ爆発
[00:28:48.559] や爆発や来た俺ゼルダの伝説じゃねえか
[00:28:51.880] 作ろあ待ていや爆待て爆発屋も作りてんだ
[00:28:56.559] けどさでもさ医療キットがいい俺これ作り
[00:29:00.080] たいわまずは
[00:29:01.960] なだ爆発屋なんてさでけえ音立てるもん
[00:29:06.200] そんな
[00:29:07.679] 使うことあるか
[00:29:11.480] な確かになああんま派手なこと好きじゃ
[00:29:15.399] ねえじゃん俺あんまり派手なことしたく
[00:29:18.360] ないじゃん大人しいし俺ってメリッサへ
[00:29:21.240] あなたが私たちに合流すること決したため
[00:29:23.279] にこれをここに残しておくねえ夜明けとと
[00:29:25.919] に私たちは隠れがを出るできる限りおして
[00:29:28.399] おいたけど今頃アイザックたちが私たちを
[00:29:30.080] 探してることでしょうね最後の脱兵たちの
[00:29:32.200] 路は今でも鮮明に覚えてるアイザックって
[00:29:34.240] 誰なんだっけえ計画通りに南にってあの噂
[00:29:37.080] の審議を確かめるつもり出ためかもしれ
[00:29:39.480] ないでもアイザックのえ心主義よりはえ
[00:29:42.360] 希望のあるデタラメの方がずっとまし
[00:29:44.919] 私たちのずっと思い出してウルフは私たち
[00:29:46.840] を受けてくれたかもしれないけど私は
[00:29:48.200] ウルフじゃない私たちと一緒にスタジアム
[00:29:50.120] を出れば気が変わるように願ってるだって
[00:29:53.760] さウルフだと思ったわけ
[00:29:59.360] ああさすがにこの辺はいっぱい弾あるねま
[00:30:03.720] そうだよなこの辺で弾稼いとかねえ
[00:30:15.760] と
[00:30:18.159] よしよしよしよしよしよしよし
[00:30:22.840] よし割と潤だなもっと慎重にね割と宅では
[00:30:32.600] あるここ開かないんだっけ開かないかん
[00:30:36.279] ここってどうやって開けるんだろうここが
[00:30:38.240] べ
[00:30:40.279] あああなるほどねはいはいなるほどねうい
[00:30:46.320] よいしょオッケーでここから入る
[00:30:49.880] とさっきのさクリッカーがいた言えばん
[00:30:53.200] だろうねあそこ行った方がいいよね多分な
[00:31:01.480] オオオッケいいよジュの卓ジの
[00:31:09.919] 卓もうさすがに敵出てこんねえだ
[00:31:14.559] よしジュの卓ジュの
[00:31:22.960] 卓あなたへ荷物は全てまとめだけどペドラ
[00:31:26.360] がみんなをバスに詰め込み始めてあなたも
[00:31:28.799] しかもあなたは計手あなたが戻ってきて私
[00:31:30.960] がいなかった時のために金庫に少しだけ
[00:31:32.639] 持ち物を隠しておいたから心配しすぎかも
[00:31:34.639] しれないけどここのところフェドラが隠れ
