[00:00:05.040] テる
[00:03:05.280] は開始3時間レベル上げだと思って
[00:03:07.200] ください今日本当は夕方ねぐらいから
[00:03:09.560] やろうかなと思ったんだけど嫉妬しちゃ
[00:03:11.879] だめだよあの夕方ぐらいからやろうかなと
[00:03:15.239] 思ったんだけどデザート食べてくるはい
[00:03:17.920] どうぞどうぞどうぞう俺も今日ねアイスと
[00:03:19.920] お菓子とあのねチョコレートがあるんで
[00:03:22.159] それを食べながらやろうかな予定は未定
[00:03:24.360] ですはい
[00:03:25.799] あのゲームボーイで曲するチップのたら
[00:03:30.120] 面白くなっちゃって配信はいいや夜にし
[00:03:32.360] ようってなっちゃったごめんあと髪の毛
[00:03:34.519] 切り行ってた髪の毛も切ってきました
[00:03:36.480] ばっさり行きましたバッサー行きました
[00:03:38.239] バッサま今日もまったり行きますかね巻
[00:03:42.000] 食べたいや巻ちゃよかったあのあのなん
[00:03:47.319] だっけエホ巻き帰り買ってこようと思った
[00:03:49.799] んだけどねローソンローソンじゃねえ
[00:03:52.560] ファミマ寄ったんだけど巻き1500円と
[00:03:56.480] かして超短のが超巻が
[00:04:00.360] 1500円とかして高つっていやいらねえ
[00:04:03.840] わだったら普通にもっといい飯食うわと
[00:04:06.079] 思ってやめました高くて買えなかっ
[00:04:11.120] た貧乏だから高くて買えなかった
[00:04:14.200] 1500円の北向いてアイス
[00:04:17.160] 食べよ食べてる間黙っちゃなきゃいけない
[00:04:19.680] からなしかも
[00:04:20.799] なまあまあまあやりますわ今日も
[00:04:24.560] ねまたちょっとどうすっかなまた育成から
[00:04:28.320] やんなきゃいけねえよ
[00:04:30.639] おい東北と向いてお東北と向いてタバコ吸
[00:04:33.759] べこれが俺の恵巻きだよ
[00:04:37.440] て東北と向いてて巻寿司ってそうだねてか
[00:04:42.600] 多分あと2日もすればあと2日も釣れば
[00:04:46.120] 多分もう半額とかでもう投売りになるから
[00:04:48.240] それ狙ってる俺
[00:04:50.400] はべんありちゃんこんばんはお疲れお疲れ
[00:04:53.160] お疲れどうもこんばんは今日もやります
[00:04:55.680] からえやってきますよ今日もねえ
[00:04:59.960] ポケットモンスター今日も今日クリアし
[00:05:02.160] たいけどね今日クリアするまでやっ
[00:05:04.720] ちゃおうかなと思いながらうん色々考えて
[00:05:07.680] ますけどもねやってきますよ今日も節分だ
[00:05:10.080] からヒカ
[00:05:11.560] のたよ
[00:05:13.360] ニコニコもはや今じゃないのか
[00:05:16.120] ね何が何が何が何が何がもじも今じゃな
[00:05:20.440] いって何がちなみに東北島やや東らしいね
[00:05:23.919] や東北とやや東って仕事あるから明後日
[00:05:26.880] クリアでえ明日も仕事あんの社畜かよ
[00:05:30.319] お疲れです
[00:05:33.080] はいどうもこんばんは髪の毛を切ってき
[00:05:36.000] ましたいいねやっぱ今これをキープし
[00:05:39.000] たいすねやっぱね髪来てどうもこんばんは
[00:05:41.479] ゲムですあの今日
[00:05:46.199] もれてだてどうも
[00:05:53.000] こんばんですあの今日もやってきますから
[00:05:56.800] ねあのごめんちょっとリップ塗っていい
[00:06:00.639] 今日キスシーンあるかもしんねえし女の子
[00:06:02.440] とキスするかもしんねからちょリップ塗っ
[00:06:04.120] とく
[00:06:06.199] わパーマ笑パパパーマはパーマ合って
[00:06:11.880] なかっためどくさくていいやと思ってま
[00:06:15.160] そんな感じで今日もまいつも通りの髪です
[00:06:17.160] ね今日からまたこう髪を短く揃えてきまし
[00:06:20.280] たけどもねまあんな感じでえやります今日
[00:06:22.759] もポケットモンスターやっていきますけど
[00:06:25.160] ねあの今日クリアしたいなってところです
[00:06:28.280] はいよろしくお願いしますも今日また
[00:06:29.720] ちょっと育成なんでリスペクトちげえ
[00:06:34.440] よリスペクトじゃってるの草どこがどこが
[00:06:39.120] 本当だちょっとなんかなんかあなっとる
[00:06:40.840] やん何これなんかなんか傷できてるじゃん
[00:06:44.520] 俺まいいややっていくぜやっていこうじゃ
[00:06:49.039] ないのやっていこうじゃんバリカン負け
[00:06:53.599] バリカン負けしてるねえ
[00:06:58.000] はいポケポンたあれホワイト2だなこれ違
[00:07:01.840] 俺違う俺ブラック2やねんけどいやなんか
[00:07:04.120] さどうする何育てる
[00:07:06.240] よまあね髪型だけじゃないけどね髪型だけ
[00:07:09.319] じゃなくて全部全部かっこいいのわかっ
[00:07:10.960] そうなんだけどあのあれブラック2どこ
[00:07:13.680] やったっけ俺あこっちに入ってんのかす
[00:07:16.000] なんかお前げたにっすにっすお疲れ2
[00:07:19.919] ブロックも3ブロックぐらい行ってんじゃ
[00:07:21.560] ないツあんならこんばんはとりあえず顔
[00:07:23.599] シューティングやるわかった顔
[00:07:24.680] シューティングやろか1回1回顔
[00:07:26.960] シューティングやろか1回なとりあえずな
[00:07:29.639] に1回顔シューティングやる
[00:07:32.319] わなんだ
[00:07:34.919] 顔遊んでもらう
[00:07:44.879] が
[00:07:47.759] は笑笑当たり枠来た遊んで
[00:07:53.520] あげる大人の男性顔
[00:08:01.840] キモ口の位置おかしいだろが口の位置
[00:08:06.080] 何何何どういうこと邪魔で
[00:08:11.240] 笑笑だよこれこれ何これ
[00:08:14.479] でこんなことしなきゃいけねえんだ俺が何
[00:08:18.159] してんねん
[00:08:22.120] おらおもろいかこれなこれおもろいんか
[00:08:26.120] どう言ったカメラの画質わあだなこれうん
[00:08:29.680] 可愛いわ
[00:08:33.159] すげえすごいななんか悪感悪切断してる
[00:08:38.680] パルキアみていたおもん
[00:08:43.720] な全然おもんねえわソリッドビジョンじゃ
[00:08:47.360] 全然重んねえ1mmも面白くなかった
[00:08:49.600] やめよ2度とやんない1mmも面白くない
[00:08:52.120] からはいやってきますよろしくお願いし
[00:08:54.519] ます喜びそう子供はなよしポケット
[00:08:57.959] モンターちゃった
[00:09:00.480] もっと見せろやんねえよやんねえよよし
[00:09:05.200] やるぞポケモン今日も全滅をしないように
[00:09:08.880] ねやっていきたいと思います今日最終回だ
[00:09:11.079] と思っていいぜ今日最終回だと思っていい
[00:09:13.720] よ今日はガチでも朝も朝過ぎてもやるもう
[00:09:16.040] クリアまでやる最悪明日の夜までやるもう
[00:09:19.160] クリアまで
[00:09:20.800] やろ頼むぜちょっと待ってでももう萎えた
[00:09:24.760] わもう昨日全滅したんだよ
[00:09:29.640] 昨日全滅したの俺見てくれ俺の俺の
[00:09:32.079] パーティー見てくれる
[00:09:33.839] ダ昨日滅して全滅してこんな感じの
[00:09:38.079] パーティになりましたね今日ガバと
[00:09:40.079] ガブガブにしたいんだけどガブにねガバと
[00:09:43.959] ガブにしていい今日であのとりあえずもう
[00:09:46.880] スメ
[00:09:48.040] メンタルメタグロスのメンタル
[00:09:51.079] ねでリザポこいつだで本当はここに
[00:09:56.279] ラプラスがいたんすよ
[00:09:59.560] 4回ぐらい当たって死んだふざけんな
[00:10:01.320] クリスタルでスイくをハイパーボールで
[00:10:03.360] 捕まえたええいいねハイパーかついく
[00:10:06.160] めっちゃいいよねてか待って俺レベル上げ
[00:10:07.680] に行くわちょもうちょっとまずガブリアス
[00:10:10.120] 作るわ今まずガブリアス行きます
[00:10:12.760] まずトマガブリアス作ってやっぱねあと俺
[00:10:17.399] タイプえーどうなってんのこれえしか待っ
[00:10:21.240] ておいなんで草村入れなくなってんだよ
[00:10:24.320] これレベル上げできねえじゃねえか
[00:10:27.440] ふざけんな
[00:10:29.839] なんでだよ草村あ入れる入れる入れる
[00:10:33.160] 入れる入れる入れるよしあれ入れねえこれ
[00:10:36.480] どうやって入んのこれ草村はあなんだが
[00:10:39.839] これどうやってこれ草いいんだようわ最悪
[00:10:44.740] [笑い]
[00:10:46.440] だとりあえず今日も地獄のレベル上げなん
[00:10:49.399] でよろしくお願いし
[00:10:51.480] ます行くがねiqqが足りてないか
[00:10:57.040] もスコスはどうもレベや敵が強え
[00:11:03.560] よメンタル52レベのメンタルが普通に一
[00:11:07.399] 発で半分削られるんだよなんかあのシャガ
[00:11:10.079] とかいうやつのなんかあれに攻撃力
[00:11:12.959] めちゃめちゃ高んだかなんだか死んねえ
[00:11:14.279] けどあの変なドラゴンタイプのポケモンね
[00:11:17.120] あれ600族なんかこのこの作品のわかん
[00:11:19.920] ないけど半分削られてたからなこうかえ
[00:11:25.720] ちげえしえこれどうやって入んの
[00:11:31.880] え何これ草村入れないの意味がわからん
[00:11:36.279] なんだよ
[00:11:38.760] これいやもういいやもうわかったじゃあ
[00:11:41.320] いいよ分かったもうストーリー進めべこれ
[00:11:43.399] だめだ草レベル上げできねえからも
[00:11:46.240] とりあえずいいよとりあえずじゃあ
[00:11:48.560] ストーリー進めるわかしてんじゃんあ
[00:11:51.720] こんばんは
[00:11:52.680] こんばんはチマゲーム髪切ってきましたよ
[00:11:55.320] やっぱこんくらい短い方がいいねいつも
[00:11:57.920] これを維持したいんだけど髪切り行くのが
[00:12:00.360] めどくさくてなかなか伸びちゃうんですね
[00:12:03.279] さっぱりしたねさっぱりしてきたかなりね
[00:12:06.120] ばっさり切ってきたよでこれかこいつら手
[00:12:10.320] 怖くなってるレ他のプラズを頼むよし
[00:12:12.880] 分かっ
[00:12:15.760] たプラズマ負けた完全に負けしまったよ
[00:12:18.720] オノノクスにここあオノノクスなこいつの
[00:12:21.040] オノノクスマ悪あこれ何すればいいのこの
[00:12:24.760] プラズマ弾とりあえずぶっ殺せばいいんだ
[00:12:26.480] なオッケー分かった全部ぶっ倒すわ
[00:12:31.440] オポケモンは道具俺はそうった余計な思い
[00:12:34.800] なんかない方がうまく道具を扱えるから
[00:12:37.800] なここでやっとプラズマダン壊滅までやん
[00:12:41.160] のかな多分
[00:12:42.320] なBGMかっこいいな
[00:12:47.120] わBGMめっちゃかっこいいね見るホは
[00:12:51.800] とりあえず
[00:12:53.680] ぶん殴るもうとりあえず俺はもうメンタル
[00:12:57.360] をあの面にするからねえ
[00:13:02.920] 何こだ今日は目標も全員60とかじゃない
[00:13:07.160] と立ちできねえんじゃねえかなっていう
[00:13:09.560] レベル全員60ぐらいまで上げないと
[00:13:12.600] 多分相当きついと思う
[00:13:16.519] ないやマジこのゲームこのととかう
[00:13:21.240] めちゃめちゃいいBGかっこいいこの曲
[00:13:23.040] めちゃめちゃ
[00:13:29.160] ゲームマジレベル超高いよ
[00:13:31.639] ね普通だって52だったらもうね
[00:13:36.199] エンディング迎えてもおかしくないレベル
[00:13:38.040] だと思うんだけどまだバッチ1個残ってる
[00:13:40.399] からね相当これブラック2ってレベル高い
[00:13:44.720] んだ
[00:13:46.600] ね
[00:13:48.639] ま分かる分かる分かるわかる
[00:13:53.639] あのあのあれねあのボスなんとか団のボス
[00:13:58.480] ね
[00:14:02.959] 今日は何育てっか
[00:14:04.759] な今日は何育てようかしら止っ
[00:14:09.240] たこんばんは
[00:14:14.160] メンタル超強いよ俺のメンタル
[00:14:18.020] [音楽]
[00:14:21.800] ポケモンあはれ
[00:14:27.770] [拍手]
[00:14:29.199] しようかなあのオメガルビーオメガ
[00:14:31.759] サファイにしようかなタピもこんばんは
[00:14:33.880] 髪型いいべやっぱこんくらい短くしないと
[00:14:36.480] だめだな俺は
[00:14:41.320] なえ人中的にもこのさブラック2ホワイト
[00:14:45.320] 2って結構レベルポケモンながらも高いよ
[00:14:47.320] なこれ
[00:14:49.399] なこんなに育たないもんね普通ねはい最後
[00:14:53.639] 記念室いい
[00:14:55.160] ねオ
[00:15:00.880] よしガバ30これ48で進化だからなあと
[00:15:03.519] あリビさんこんばんはごめんリビさん
[00:15:05.160] こんばんはこれなあと18もあげん
[00:15:09.160] のあと18もあげんのかよっ
[00:15:13.480] たそうだよなまだバッチもう1個あるから
[00:15:19.320] ねすごい難しい印象があるのこれガンガン
[00:15:23.360] 上がっていい
[00:15:26.000] よ悔しいタンコなすあも俺このプラズマダ
[00:15:29.720] の女好きプラズマダの女好きなんか
[00:15:35.399] 可愛いこれジムはいいもんね何やるんだ
[00:15:38.720] これ他にもいるのかなこっちか
[00:15:44.399] 違うどここれこっちこれ倒したえ倒してき
[00:15:48.319] たよ倒してきましたえ倒してきたか倒して
[00:15:52.120] きたかあと誰どこ
[00:15:57.639] こっちちょIQが弱くてくない中に
[00:16:02.319] 中こういう
[00:16:07.120] ところこういうとこにいんのうわおしゃれ
[00:16:09.399] な家だななんか
[00:16:11.040] このいや多分違うよねこの人たちはねそ竜
[00:16:15.759] しィどうなっちゃうんですかだよそこここ
[00:16:17.839] じゃない
[00:16:19.040] なLEDテープライト貼ってやがる
[00:16:21.680] おしゃれこの家俺の部屋ほではない
[00:16:25.839] けどどこ
[00:16:27.920] やろうんとね
[00:16:31.519] こっちいや違う
[00:16:34.090] [音楽]
[00:16:36.880] なそこ入れないもん
[00:16:39.959] ねここ違うなジム中ではないでろさすがに
[00:16:45.560] 自分の中に入ってない
[00:16:47.630] [音楽]
[00:16:50.120] でしょなけないえあ違う一瞬プラズマ思っ
[00:16:54.720] た違う違うよ
[00:16:55.959] ねえ違うよねあれプラズマダンじゃないよ
[00:16:58.759] ね
[00:17:00.399] えクラスモお前わかんねえドットが荒くて
[00:17:05.039] あ上行っちゃっ
[00:17:06.760] たあ違う違う違う違う違う紛らわしい格好
[00:17:10.480] すんなお前
[00:17:11.520] ら紛らわしい格好すんな
[00:17:15.679] よえどこにいんねん
[00:17:18.679] あと強いってざいてたとこの目の前のとこ
[00:17:22.280] にいないの強いってほてとこの目の前
[00:17:29.760] んどこ
[00:17:31.400] どこえあとどこに
[00:17:39.880] いるこのこの上気になるんだけど施設
[00:17:43.559] 中んん施設の
[00:17:46.480] 中ちょっと待ってここがあ行けたいけたけ
[00:17:50.360] たこうこうこうこっちこっちこっちだな
[00:17:51.559] 多分なああいたいたたいた普通にIQが
[00:17:54.280] 足んなくていけてなかったわはいオ
[00:18:01.000] めっちゃBGMいい
[00:18:06.440] わ危ねえや
[00:18:10.960] 夏まこのなんとか弾は毒ばっか出してくる
[00:18:16.120] から最近で落とせるからいいけど
[00:18:20.559] ねもう多分戦えるポケモン本当
[00:18:24.159] にアニメ声はわかんねえアニメ声ってどう
[00:18:28.080] んだっけア俺ゲーム側のモノマネしかでき
[00:18:31.000] ないからゲーム側のモノマネしかできない
[00:18:34.039] から俺はアニメ声わかん
[00:18:37.760] ねオいい
[00:18:43.799] よガバイト32ガンガン上がる
[00:18:46.940] [音楽]
[00:18:48.400] ねとりあえずガブリアスは地面タイプも
[00:18:53.000] 持ってるもんねオ倒しましたオですかお
[00:18:58.880] きた
[00:19:00.200] ぞ残りは七人ビオだけかあいつはどこだ
[00:19:04.559] そうだポケモンジはどうなってるやっぱ
[00:19:06.320] なるほどここでポケモンジビに行くのねあ
[00:19:08.919] もこちゃんお疲れもこちゃんお疲れ今日も
[00:19:10.880] やってます今日クリアしたいです行けるか
[00:19:13.679] などうかなこっちじゃねえ
[00:19:18.280] かこっち
[00:19:20.600] だあいたいたたたいるわやれやれ寒い中私
[00:19:26.039] が戦わねばならぬとはまい震えてる私はは
[00:19:28.799] 生きて
[00:19:29.760] おるクリアってのは手持ち6匹もうそれ
[00:19:32.880] じゃ昨日クリアしてんじゃねえかだとし
[00:19:34.520] たら今日も育成界なんだけどとりあえず
[00:19:37.600] これなんかここクリアしないといけない
[00:19:39.000] みたいだからとりあえずやりますいやもう
[00:19:42.880] 昨日の魔術は勘弁して
[00:19:46.000] ほしい昨日の全滅マジ
[00:19:49.679] もうしんどすぎるごめんリザポにしよ
[00:19:54.080] ここの2匹しか今いないもん使える
[00:19:56.679] ポケモンこの2匹だけだよ
[00:19:59.559] うわー怪しい光うぜえあピカうざいっす
[00:20:04.360] ね大丈夫混乱してても大丈夫お前行ける
[00:20:08.000] 放し行け当たる当たる当たる行けるいける
[00:20:10.640] 行けるよし
[00:20:12.760] ナス配信切り
[00:20:16.960] のぼりめちゃめちゃしょんぼりして
[00:20:20.000] てそのなんか
[00:20:22.960] めもう回避30分ぐらいで全滅して全滅し
[00:20:28.240] て
[00:20:29.640] あのそれはまちょっと強いんだよいちいち
[00:20:33.559] さいちいち強いのやめてお前なんでこんな
[00:20:36.400] 強いのよマジ
[00:20:38.000] でいちいち強えっ
[00:20:46.799] て効果今1つでもこんだけ40削られる
[00:20:50.080] からねコメ
[00:20:55.240] コメオ
[00:21:03.530] [音楽]
[00:21:06.039] オッケ
[00:21:07.600] オケ
[00:21:10.000] マニューラ
[00:21:12.320] おおささみちゃんささみちゃんありがとう
[00:21:15.840] お疲れちゃんお疲れお疲れ太郎さん
[00:21:18.120] こんばんはレイドセンキュー
[00:21:22.320] ありがとうさんからあ初チャッありがとう
[00:21:25.120] ございますモルなんて読めばいいんだろ
[00:21:27.799] モルモルさんでボテいいですねももさん
[00:21:31.320] こんばんはいこんばんはこんばんはお
[00:21:33.440] ちゃんありがとね奥
[00:21:36.320] さんざどうもチマゲームと申します
[00:21:39.039] センキュー
[00:21:40.520] ありがとう今日もやってくんだよこれ
[00:21:44.360] を今日もやっていくぜこのゲーム今日も
[00:21:48.279] やっていくもう今日は絶対全滅しないも
[00:21:52.960] 頼む
[00:21:54.420] [音楽]
[00:21:55.559] から昨日滅したんだよ昨日昨日全滅したの
[00:22:00.880] よくジョリジョリジョリジョリ全滅だけは
[00:22:03.200] したくないマジで全滅だけはしたくない
[00:22:07.039] ごめここ回復入れるわこ回復
[00:22:09.840] 入れるここは回復を入れさせてもらいます
[00:22:12.600] よやべやっぱもうミックスオレじゃ足ん
[00:22:15.559] なくなってきてる人生縛りなんであの死ん
[00:22:18.960] だら逃がすんですよで前回全滅しまして6
[00:22:22.240] 匹全部逃したの6匹全部逃しため
[00:22:28.679] 昨日馬鹿えてたでやっとここまで帰ってき
[00:22:33.320] たんだよ部笑高でも昨日もめちゃめちゃ
[00:22:37.320] 頑張って育成してあのなんとか4匹やった
[00:22:41.440] あのラプラスとか作ったんだけどラプラス
[00:22:43.360] が昨日急所に当たって一発で落ちてまだ
[00:22:45.520] 萎えるっていうもう今日も育成解だよ残念
[00:22:47.840] ながらお呼びいただければ幸
[00:22:50.320] ですあジョリジョリかねジョリジョリ俺の
[00:22:53.799] こジョリジョリじゃジョリジョリね
[00:22:55.279] ジョリジョリさんねどうもこんばんはどう
[00:22:58.240] も俺も俺もジョリジョリですここ今日と
[00:23:00.320] さん行ってきて強いトレーナーだなにした
[00:23:02.840] のいやまだ決まってないんだよどうしよう
[00:23:05.840] でも氷タイプ絶対必要なだ水氷って絶対
[00:23:09.799] 必要なんだよなんで死んじゃうか
[00:23:12.760] ななんで死んじゃうのかなガガガが待って
[00:23:15.880] いるセガガがやりてえからセガがなこの次
[00:23:18.360] のゲームねさすがポケモンを使いかすこと
[00:23:20.840] にたけておるしかしここはさてここは一度
[00:23:23.880] 引き上げるか何より寒くてかわんだが想像
[00:23:26.360] するんだ一種地方全てが効になる様をその
[00:23:29.559] ために何があっても遺伝子の楔は手に
[00:23:31.600] 入れるぞいいです
[00:23:33.720] ねさすがだ君のおかげで助かった戦って
[00:23:37.400] くれた君の大事なポケモンにも感謝してる
[00:23:39.480] じゃあ返してくれよ俺お前にポケモン殺さ
[00:23:41.760] れてるんだよ2匹も3匹もこいつ1人に俺
[00:23:44.279] 8匹殺されてんだからなせめてもの気持ち
[00:23:47.120] だこの薬で回復をもっと早く回復してくれ
[00:23:49.320] よお前に8匹殺されてるんだぞここで待っ
[00:23:52.960] ていてくれすぐに戻る
[00:23:55.799] から
[00:23:57.440] 早ふむ行って戻るまでだけの記録更新だな
[00:24:01.520] いいかレン遺伝子のくとはこれだルで
[00:24:04.000] サブスクお
[00:24:05.600] ありがとうありがとサブギフあざすさとみ
[00:24:09.480] ちゃんさちゃんよかったなんかくれたね
[00:24:12.000] ありがとうこれがあいつらプラズマダンド
[00:24:14.400] 手に渡らなくて本当に良かった目的は
[00:24:16.440] 分かるのが間違いなくよからのことを企ん
[00:24:18.240] でいるんだろうあなんだっけこいつら
[00:24:21.400] BGMかけ何このクソかっこ
[00:24:25.600] BGMめっちゃBGMかっけいえじゃん何
[00:24:28.159] この
[00:24:29.679] ダティジムが隠し場所だったかなるほど
[00:24:32.720] よく考えて
[00:24:34.679] いるシャガがいなければ入れないしいれば
[00:24:37.600] 最強の万人となるポケモンジを改造したの
[00:24:40.279] もそれが理由かですが遺伝子の楔は今私が
[00:24:44.600] いいたまさかすら利用してくのあを探る
[00:24:49.000] つもりだったとかなえですがどんな段でで
[00:24:53.399] もしはのうにのを
[00:24:57.320] 奪な力で人々を従させる2年2年は意外あ
[00:25:02.320] え2年は存外長かっ
[00:25:05.440] たなこの3人組ねいたい
[00:25:09.159] た奪われたら奪い返すだけだ行くぞ奪われ
[00:25:13.480] てるんか
[00:25:15.559] いでどこ行くのあいた全然すぐそこにいる
[00:25:19.919] じゃねえかよこの辺りにはおらのよで
[00:25:21.520] 当たり前
[00:25:23.360] だろこんなお前探しに行くぞつってお前
[00:25:26.520] この距離で諦めてんじゃねえかと思ってた
[00:25:29.320] すぐそこじゃねえかよすぐそこ笑笑すぐ
[00:25:32.279] そこじゃボボこんばんはボボちゃん
[00:25:33.760] こんばんはそんな距離にいてた本当だ
[00:25:36.520] そんな距離に行ってたまるか本当に矢印が
[00:25:39.760] あって矢印がないのなんで
[00:25:42.960] 何何何矢印があって矢印がないどういう
[00:25:45.799] ことどこにいるのそん隠れんぼ的な感じか
[00:25:48.960] これボボお疲れちゃん髪切ってきたいい
[00:25:52.919] でしょお惚れんじゃねえぞ俺に俺に触ると
[00:25:57.039] 被れるぜあ回復してるんだっけ俺た剃った
[00:26:01.080] 紙剃ったか全体的に切ってきた長かった
[00:26:02.919] からねあ回復してるね
[00:26:06.760] オッケー被れるってなんかや
[00:26:10.360] だお疲れなんでだよ落ここにれるだけとか
[00:26:15.000] そうだ俺に触るとれるの地に昨日も言って
[00:26:19.240] たよね言うなよ同じネタ何回もこすって
[00:26:23.200] るって思われるやんおもろいと思ってん
[00:26:26.440] ねんこれがちゃアレルギー
[00:26:29.200] ちょっと待ってもう回復薬買わないと
[00:26:30.840] やばいな大阪に遊びに来てるんだあそうな
[00:26:34.399] んだすごい傷薬とか買わないともうだめだ
[00:26:38.640] ねもうミックスオレじゃちょっとやばい街
[00:26:41.960] 索してきたわのやばいてるとこに
[00:26:44.919] モンスターボールまたそろういいねここに
[00:26:47.159] ねなんか剃り込み入れようかなさすがに
[00:26:49.840] 怒られるわでも俺それ仕事
[00:26:52.039] で
[00:26:53.960] えっとどこに行くのこれって入れよう
[00:26:58.840] 公園周辺ああ飛び地的なうまいい死ぬまで
[00:27:04.240] に1回でいいから行ってみてやらしい
[00:27:06.480] 気持ちはないですやらし気持ちはないんだ
[00:27:08.399] けどやしい気持ちは全くないんだけどね
[00:27:10.799] うんいてきたよへえお店には行かなかった
[00:27:14.520] んだ俺らのチームに入れおおい森ゆ来たわ
[00:27:19.440] 来た来た来た森お前よ1回お前1回あれか
[00:27:23.520] 1回1コメ取ったらもういいんかなあお前
[00:27:27.679] あれだろ
[00:27:29.159] エするまでめちゃくちゃなんか優しい感じ
[00:27:32.840] で1回エッチしたらお前あれだろ冷たく
[00:27:35.200] なるタイプだろお前私も見てみたい何を何
[00:27:37.880] を
[00:27:41.960] あ女の子はちょっとあれなんじゃね外人が
[00:27:46.720] 連れてかれてたスマホしてやっぱダメなん
[00:27:49.720] だ飛田行ってみてよな回でからエッチな
[00:27:53.200] 気持ちじゃない
[00:27:54.559] っ
[00:27:57.120] に同じこと言うことあるそうあいつ多分
[00:28:01.279] そうだあんなにお前1コメ取るまではあ
[00:28:03.399] 今日も取れなかった今日も取れなかっ
[00:28:05.559] たって言ってたなんでお前昨日1取ったら
[00:28:09.480] もうあそうなの女の子だと何あの閉められ
[00:28:13.799] ちゃうんだシンパシー感じてしまったよ
[00:28:16.720] 触るなとか言ってタバコ吸うタイプかそう
[00:28:19.720] だよそうだよあのあこっから入れるやんあ
[00:28:23.399] なんだここ育成できるじゃんこっから入れ
[00:28:25.039] たわの
[00:28:28.640] た天王寺公園周辺にほ立ちっなの人い
[00:28:33.360] るって話だから見てきたはあやっぱそう
[00:28:37.080] いうのあるんだなそういうのあんだね
[00:28:39.080] やっぱ
[00:28:40.519] ねいやまじ大阪旅行今年生きてえわマジで
[00:28:44.279] 絶対今年に1回大阪行こうと思ってんだよ
[00:28:46.480] な笑おばちゃんに閉められちゃうんだし
[00:28:49.919] やろグリ下って何グリしおいちょっとまた
[00:28:53.600] GoogleR配信してえなまたな
[00:28:55.720] GoogleR配信
[00:28:58.720] 飛田行くべえよあのグコすい
[00:29:03.720] [音楽]
[00:29:07.159] 怖えマジで行きたい
[00:29:09.600] 大阪きて西の分かるピアスさんきたい俺も
[00:29:14.640] 新しいピアス慎重してな飽きたわこれ
[00:29:17.240] ピアス新しくしたいせっかく髪切ったから
[00:29:20.320] 目立つようになったし来た多分だよ今日も
[00:29:23.240] 今日も3
[00:29:25.640] 時間そうなんだえつワて大阪なんだえ
[00:29:30.480] めちゃめちゃまそこはあんま気になんねえ
[00:29:32.840] けどでもやっぱ大阪行きたいわのに
[00:29:37.600] びねドト堀りってでもめちゃめちゃ汚いん
