[00:00:04.960] ドラゲナイきちゃブロード
[00:04:17.239] エロゲなんかねエロゲやり始めてからかな
[00:04:20.799] 女の子のリスナーこくなったよ
[00:04:25.479] ねなこなんか来なくなったよなあの
[00:04:29.919] ラスアスとかやってる時はちょっと
[00:04:32.800] 気まずいポロポロ来てたんだけどねやっぱ
[00:04:35.960] 元から少ないけどもねうんうちなんて女
[00:04:38.520] なんてね唯一来てんのチャピ
[00:04:40.720] ぐらいやっぱ女の子にとてエロゲってダメ
[00:04:44.360] なんです
[00:04:46.240] かダメなんですかねいやでもでもそんな
[00:04:49.800] 女の子だって興味心々のはいやってき
[00:04:53.360] ますはいどうもこんばんはやっていきたい
[00:04:56.800] と思いますPCエンジンパ
[00:04:59.759] ロムロムシステムバージョン3.0
[00:05:03.360] プッシュランボタンジャストアモーメンツ
[00:05:06.120] やってきますよろしくお願いしますやっぱ
[00:05:09.479] エロゲなんよやっぱりエロゲなんよね岡の
[00:05:12.360] 時にさ岡山の時うん岡山の時何あの
[00:05:18.240] やか俺を手金にした夜陰の時
[00:05:22.919] に初音のコスしてたこいたんだけどうん
[00:05:30.360] この飛ばせないオープニングムービーね
[00:05:32.160] 覚えておくが
[00:05:34.080] いい私は決して許しは
[00:05:37.600] ない
[00:05:41.039] 私の本当の力を知るがもうちょっと音
[00:05:45.919] そしてび私の前に
[00:05:52.680] の
[00:05:56.440] こんばんは結構好きこの
[00:06:04.520] さやってき
[00:06:11.120] ます使えるの嬉し動かないけどねさあ今日
[00:06:14.440] もやってきますこのあファンタジーロール
[00:06:16.599] プレイングドラゴンナイト2やってき
[00:06:19.880] ます全然ストーリー覚えてねえどこまで
[00:06:22.440] やっただけ
[00:06:24.080] なんかエッチなシーねえなって言ったんだ
[00:06:26.639] けどいきなり来たんだよな確かなんかね
[00:06:30.160] あのエッチなシこのゲームねえじゃんて
[00:06:32.720] 言ってたらいきなりいきなりドスケベなね
[00:06:37.560] なシャワーシーンみたいなの来てさまある
[00:06:40.280] ねんやっぱりっていう話になったんですよ
[00:06:43.039] っていうところからですかもうストーリー
[00:06:45.960] 全然覚えてない論の行ってみるかコボルト
[00:06:47.759] が良かったビブレもうコボルトはコボルト
[00:06:52.039] ななんとケトだったのか何メケトにそんな
[00:06:55.800] こと結婚前の結婚前の体に
[00:07:00.720] 野獣のうたすなんておいおいこらこらあ
[00:07:04.800] いや正直言いすぎたわのことを考えると
[00:07:07.360] 不便でのあケトねそうだねケトねあ
[00:07:12.960] こんばんはあ主人さんありがとう配信やっ
[00:07:15.639] てたのお疲れさんさんこんばんはさあ
[00:07:18.080] エロゲやっていくぞ今日もな今日もエロゲ
[00:07:21.479] をやっていきたいと思いますもう覚えて
[00:07:24.280] ない何すればいいんだっっ
[00:07:27.560] けまたない
[00:07:31.280] また声ないじゃんねえなんで声ないの
[00:07:35.520] いちいちめんどくさいな
[00:07:38.840] これ声なかったよね今ねたまに魔力詰めた
[00:07:42.960] ところまで行ったねいいもこナイスそうだ
[00:07:46.400] わそうだやっエロゲやってたら勉強も
[00:07:49.720] 切り上げるよなそうスケブゲームやってく
[00:07:52.759] やちゃん
[00:07:55.319] こんばんはこれ飛ばせへんねんこれな
[00:08:01.039] 覚えておくが
[00:08:04.000] いいて許分かった分かった分かった飛ばす
[00:08:08.120] 人間ども
[00:08:09.560] よ私の本当の力を知るがいいわかりました
[00:08:14.680] そしてび乳首浮いとるやんなこれ
[00:08:23.879] ちょっとこいつの声が入るかどうかで判断
[00:08:26.960] 違うだこれこいつの声はどっちにしろ入ん
[00:08:29.080] のよ声をオフにしようがオンにしようが
[00:08:32.080] わかんないのだからこれこのBGMぶち
[00:08:35.360] ぶち切れるとこ面白くないぶつって切れる
[00:08:39.880] からBGMこのBGMがこうパッて切れる
[00:08:45.160] んよ
[00:08:45.920] ねえこれで本当にオンなのえわかんねええ
[00:08:50.480] PCMオフオンこれさどっちがさだから
[00:08:54.040] どっちがオフなのどっちがオンなのわかん
[00:08:57.839] ねえんだよこれさオフやったよね今ね声出
[00:09:01.760] てなかったよねまいやで前オフでもう1回
[00:09:05.519] これやっていいもう1回これやらせ
[00:09:08.320] ていやわかんねえんだよなさてゲの時間だ
[00:09:12.399] あベこんばんはやる
[00:09:15.560] ぜなんか声が入ったり入んなかったり
[00:09:21.240] する話して
[00:09:24.959] みるえこれ
[00:09:27.800] さいやだ声入んないよねこれどう考えても
[00:09:30.720] ね入ってないよ
[00:09:32.160] ね入ってないよね入ってないよねもう
[00:09:35.440] じゃあ分かったオンにするからねもう1回
[00:09:37.160] やるちょ毎回これめんどすぎるからマジ
[00:09:41.480] で早やりたいもう10分経ってんだから
[00:09:45.000] もう前なんか前もさこれオンにしても入ん
[00:09:48.959] なくて
[00:09:49.760] さもやっぱエロゲってこ焦らされるんや
[00:09:53.839] なエロゲてやっぱ焦らされるんですよね
[00:10:03.360] 覚えておくがいい分かったよ私は決して
[00:10:08.200] わかりましも許さなくていい別に人間ども
[00:10:11.920] よ私の本当の力を知る
[00:10:16.040] がそして再び私の前にすのだありござい
[00:10:26.480] ますこのもいいよな
[00:10:31.600] てててけててけてはようエッチなエッチな
[00:10:35.680] モンスター娘に合わせんかいはよエッチな
[00:10:39.040] モムに合わせん
[00:10:40.760] かいおっぱい見に来とんねん今日は今日は
[00:10:44.160] おっぱいを揉みに来まし
[00:10:46.519] たオンねオンにしますオンにしましたはい
[00:10:49.760] オンにしました続きからはいオンでオンの
[00:10:53.800] 魔女
[00:10:55.440] のみするかにでオンだったわこれオンで
[00:11:00.079] オンオンでオンねオンでオン書いとくわ
[00:11:03.399] もうなこのメモ机に貼っとくわオンでオン
[00:11:07.200] なうんオンで
[00:11:08.920] オンちょオンでオンって書いとここマジで
[00:11:13.040] オンでオンね次郎文
[00:11:15.720] じゃんじゃわかんなくねこういうのって
[00:11:18.839] あのそういうポケモンそうオデオンさ行き
[00:11:22.639] ますえっとさっきペペあれペえっとねいこ
[00:11:27.279] が言ってくれてましたあの魔法のに魔法の
[00:11:31.040] にあれだな魔法の玉になんか魔法じじが
[00:11:36.320] 魔力を込めてくれたとこでしたなのでそれ
[00:11:38.560] を今からはめに行くとこだよなうんはめに
[00:11:40.920] 行くってそういう意味じゃないぞ
[00:11:43.240] うんの入口だぜ魔のそんなことは見りゃ
[00:11:47.480] わかるさ音でかく
[00:11:52.120] ない魔の玉をはめに行く穴に
[00:11:58.240] ねを込めた弾を穴にはめに行くとこです
[00:12:03.000] ああはめる
[00:12:06.639] ぞよし今日ははめる
[00:12:12.279] ぞは
[00:12:14.920] 何が魔法の玉を
[00:12:19.040] ね今も変なこと言ってないですあ俺この子
[00:12:23.240] 今日解放したいわこのめっちゃエロいん
[00:12:28.160] よこの子いいよねいやすげえ私貧血気味な
[00:12:33.199] んですどこがどこが貧血よそんなお前もう
[00:12:37.600] どこが貧血なそんなね最高そんなマホマン
[00:12:41.959] バデー
[00:12:43.600] であれかいおっぱいが大きすぎて血が足り
[00:12:46.560] ないってことか
[00:12:48.760] なあれかいするってとあれか
[00:12:53.839] い階段の場所覚えてるよこれここ
[00:12:57.760] だろここなはいはいはいでここでここ
[00:13:03.519] オがきすぎ
[00:13:08.360] てこの胸で貧血は
[00:13:11.680] 嘘あの胸で貧血は嘘だよ
[00:13:16.519] な
[00:13:18.160] これこのゲームいいところはエロゲだ
[00:13:21.279] からって言って馬鹿にできないこと
[00:13:22.959] ちゃんとよくできてる本に素晴らしい
[00:13:26.160] ゲームあンもなんよいいよね始まりねドグ
[00:13:31.680] ググ
[00:13:34.720] でんでんああいいっすね置いといて下半身
[00:13:38.480] 部門1位下半身部門1位ねこれいい下半身
[00:13:44.639] 男たまらんよなこのお腹お腹
[00:13:48.959] のおへそがさちょっと縦に長くなってんの
[00:13:52.560] がエッチすよ
[00:13:54.720] ねそら女の子こんわ
[00:13:57.680] なは乳は兵
[00:14:02.399] だ隙間に隙間に指突っ込みたいいやまだ
[00:14:07.279] セーフだろいっつも言ってんじゃん俺
[00:14:10.320] あの
[00:14:12.240] あの洋えおっぱいとかの隙間の谷に指を
[00:14:16.320] 突っ込むことはギリセーフだよねだって
[00:14:18.680] 触ってないんだから周りに触ってないこの
[00:14:20.720] 谷の穴に穴とか隙間に指突っ込むことは
[00:14:23.880] セーフだよだっ触ってないもんおっぱいに
[00:14:26.800] 触ったら犯罪だけど穴に指込んでふてやる
[00:14:30.160] ことはギリセーフだまあセーフやなだって
[00:14:32.959] 触ってない
[00:14:37.480] もん触ってない
[00:14:41.720] のロってるってさみんな女の子がロって
[00:14:48.839] るってごめんなさいごめんなさいすいませ
[00:14:52.480] んそら覚えてじゃお前女の子の部屋で空中
[00:14:57.560] したらセーフなそれはそれはセーフじゃん
[00:15:01.639] だらまあの2階の女の子の部屋が2階だと
[00:15:06.680] して窓が空いてたとするじゃんそこで俺が
[00:15:08.759] こうやって浮遊してあの朝原証拠見てこや
[00:15:11.720] て浮して入ってってもセーフでしょ待機中
[00:15:15.160] なんだからそれ全部これ湿ってるとこ開け
[00:15:17.600] て入ったら犯罪だけど朝原証拠見てこう
[00:15:20.680] やって入って何も触らずこうやって出て
[00:15:22.720] いけばセーフだろそれはそしたら草室で
[00:15:26.360] それ行ける名前出すな笑
[00:15:29.880] 朝原翔こみたいにさそれはセーフじゃん
[00:15:32.319] だっ
[00:15:33.120] て外界と繋がっちゃってるんだ
[00:15:36.800] からここだったっけこの端っこだっったっ
[00:15:40.759] けさて今日はにしますあパンジーねこれ
[00:15:46.120] なんか大泣きする妖怪なんでしょこれ
[00:15:48.519] どんな感じだったかなこの子
[00:15:54.639] ねあけてある服装部門1位エロいもうだ
[00:16:00.720] これもモンスターとかじゃないじゃんだっ
[00:16:02.319] てただの女の子
[00:16:05.839] じゃんさて今日はどんな女の子を解放
[00:16:08.519] できるんでしょうか前回ほんま乳首出たか
[00:16:10.800] なついにな待望のなついに待望の乳首出た
[00:16:15.240] からなあ来た来た来た来たなんかもう
[00:16:18.920] なんかもうさ違うえもなかこれなんかもう
[00:16:21.319] パブロフの犬なんかわかんないけどもう
[00:16:22.959] なんかエロく感じるよねなんかこれがもう
[00:16:25.399] ねなんかエロく感じるやんもうこの機械が
[00:16:31.480] 黒い弾を握って開け
[00:16:34.800] 開けがっちゃんあ開いたぞドアの音がした
[00:16:39.720] よし行こうちょっと待てこの機械の名前は
[00:16:42.480] 正だろあということは弾をこのままにし
[00:16:45.600] とくと魔力が消えるんじゃないのかという
[00:16:47.720] ことは1回使うことに弾の中の魔力を消耗
[00:16:51.279] して
[00:16:51.959] るってことかだよなどっかにこの器を
[00:16:54.319] 止めるスイッチでもあればいいのかそうだ
[00:16:55.920] なよし持ち運ぼう荷物になるけどちょっと
[00:16:59.120] よくわからんBGMよしよし今日もここ
[00:17:02.920] からマッピングです一増ごと全部埋めてく
[00:17:06.000] え正面の扉にはあるやんすぐそこになった
[00:17:08.679] 消期操作室ありました麻期操作室あの機械
[00:17:11.760] を操作できるのかこれは入ってみる価値が
[00:17:13.919] ある
[00:17:15.799] ななんだ何もない部屋じゃないかいやな壁
[00:17:19.400] になんか書いてあるぜ正負スイッチ
[00:17:22.160] タッチミータッチミー私に触ってでも
[00:17:25.240] ゲーム側もちょっとエロを提供してくるよ
[00:17:27.400] ねなんかタッチおかしいだろだとさ君が
[00:17:31.960] 悪いこと言うなよどうして俺が武尊に触ら
[00:17:34.200] ないといけないんだ違うって私に触
[00:17:36.440] るってことは壁に触るってことかこう触る
[00:17:39.039] とガタン
[00:17:41.160] シュー
[00:17:43.039] シュー何か音がしたな今のがスイッチに
[00:17:46.240] 近えないもうあの玉に触んなくてもあの
[00:17:47.679] ドア開くぜあなるほどなざし触ったんだろ
[00:17:52.520] こうさこ
[00:17:55.760] こフェザータッチだよフェザータッチ
[00:18:00.640] 触れるか触れないかぐらいの
[00:18:04.480] ねフェザータッチですうんテクだなこれが
[00:18:08.960] な何もないのかここ
[00:18:22.799] は髪型は好きだけどねこの子ねハーピーね
[00:18:27.960] 髪はですよ
[00:18:33.080] 私
[00:18:34.640] 脇
[00:18:36.440] 脇門フルドフルドだってフルドね何使って
[00:18:40.200] んだだろうなそりは水を組んでたじゃない
[00:18:42.440] のかまあまあまあまあまそれまあまあそう
[00:18:46.280] だなえ魔女が井戸で水を組んできてる考え
[00:18:49.840] ただけでおかしな光景
[00:18:51.960] だなんだ何もないぜうわとうわ危ない
[00:18:54.840] 危ない地面に穴が開いてるよつまりこれが
[00:18:56.880] 井だったってわけだドアに危険書いてある
[00:18:59.159] わけだどのくらいの深さなんだろうさあな
[00:19:01.320] 暗くて何も見えないよ勝車も残ってるな
[00:19:04.039] ロープがあれば下に降りれられそうだ
[00:19:05.559] ロープそんなもんどこにあるってんだい
[00:19:07.320] そうだな仕方ない出よロープをどっかで
[00:19:09.520] 見つけてくると
[00:19:14.919] オッケいいBGM
[00:19:22.360] だお隠し部屋にこんなものがへえいろんな
[00:19:26.919] ものが置いてあるな壺のの中身はカラっか
[00:19:30.240] ローあロープあるやんロープに棒になんだ
[00:19:33.320] 色々とある割では大したもはないようにだ
[00:19:35.080] なおいおいロープだってああそうかロープ
[00:19:37.240] があればあの井を降りられるんだよし
[00:19:39.280] ロープを借りるとするかしかし長いロープ
[00:19:41.159] だなそんな長いロープじゃなくてほら
[00:19:43.000] こっちのロープのがちょうどいいぐらいだ
[00:19:44.360] ぜよしそのロープを借りようよしバーンは
[00:19:47.600] バカなんだなバーンはバカだよてかこの
[00:19:50.880] 2人バカや
[00:19:52.720] ででもエロゲの主人公なんてバカなぐらい
[00:19:55.760] がちょうどいいだろそれにしてもちょうど
[00:19:57.799] いい長のロープだな
[00:20:08.960] あこいつバだあ
[00:20:13.360] こんばんはせいいだろうよお疲れエロやっ
[00:20:17.280] てる
[00:20:18.360] ぞさて今日はどんな女の子たちがねいじめ
[00:20:23.799] たあいいっすねいいっすよね装部門1
[00:20:30.080] 位出てくる女の子に部門を決めて全部1位
[00:20:33.640] って言ってるだけなんだ
[00:20:34.919] けどコスプレ部門はやっぱあのあれだよな
[00:20:38.200] あの子なんだっけあの笑笑あのなんだっけ
[00:20:40.720] あいつあれなコスプレ部門は
[00:20:43.840] あの猫みたいなやつなんだっ
[00:20:46.559] けコボルトちゃんねコボルトコボルトは
[00:20:49.679] マジで可愛かったあれ普通
[00:20:51.679] に何すんのよ髪型部門
[00:20:55.080] 1はい髪型部門1
[00:20:58.760] 体もエロいけどね
[00:21:02.120] なんかエロい体してるよねああおいおい
[00:21:05.919] おいおいこんな簡単に手に入っていいの
[00:21:08.520] やはり拠点の一部だ今度は一体どんな言葉
[00:21:11.559] 書いてある
[00:21:12.880] おーわあウルフだってさワウルフちゃんね
[00:21:17.320] なかなか結構好きな女の子ですよ私これ
[00:21:19.400] ワーウルフちょっと景気付けに一発行っ
[00:21:22.960] とく
[00:21:24.279] かいやちょっと前回もうおっぱい解禁され
[00:21:27.919] てますからケモ来たねおっぱい解禁されて
[00:21:32.279] ますからちょっと楽しみですよ私今回もう
[00:21:35.520] バンバン来るんじゃないのこれ
[00:21:38.799] からこのら辺入れたりするんじゃない
[00:21:42.520] 多分入れない
[00:21:45.600] かなんか怪しい地形だねここね
[00:21:52.679] なんかエンジェル
[00:21:56.520] ね次は何を出てくれるの思いといてや下
[00:22:01.679] 半身エロい
[00:22:07.200] なドクドクドゥク
[00:22:13.120] トントンこっち奥行ってみるかえ立ち入り
[00:22:17.080] 禁止区域番このとこにはやたら入っちゃ
[00:22:20.400] いけない場所が多いが確かにそうだな
[00:22:22.720] 立ち入り禁止と書いてあるドアと何も書い
[00:22:24.880] てないドアとふんふどっちに入りたくなる
[00:22:27.679] 書いてあるドア
[00:22:29.679] だろで書いてあるドアに限って鍵がかかっ
[00:22:32.320] てないななんか変だよなたまには
[00:22:34.960] いたずら書きしてやるかえっと立ち入ら
[00:22:37.159] ないことを気にする絶対の中に入ってお
[00:22:38.960] 願いとなんやそれ入ってみようか入れるん
[00:22:43.120] だしかも待て入る前にあ今日はエチうん
[00:22:46.720] 全然エロやってきます今日はうんエロやっ
[00:22:48.559] てきますよひろさん
[00:22:50.480] こんばんはあの前回ねついにねおっぱいが
[00:22:54.120] 解禁されたんすよおっぱいがね
[00:22:58.640] フェアリー
[00:23:00.559] なフェアリー
[00:23:03.520] なこれフェアリーのこれやられた時の顔
[00:23:06.080] やばく
[00:23:10.200] ない
[00:23:11.919] ああもうもお尻がもうお尻がもうとんでも
[00:23:16.799] ないことになっちゃってん
[00:23:19.039] じゃん早くワーウルフ解放してやりてえな
[00:23:23.520] お尻部門
[00:23:25.000] 設立お尻部門1て何も落してとっ
[00:23:30.279] てそうなんだエロが部分カチされてんのか
[00:23:33.960] なって思って落胆してたらこないだついに
[00:23:36.960] おっっぱい出たのよの3はもう買ったの
[00:23:40.320] あれがえ33うん買った
[00:23:44.039] ようん3買ったね言ってなかったけど3
[00:23:47.760] 買ったからこのパだったの獣の子じゃ
[00:23:50.720] なかったんだよなんだったかなスライムの
[00:23:52.559] 子だったかなうん3買った6000ぐらい
[00:23:55.480] した
[00:23:56.240] けど楽しみだねみだ
[00:23:59.600] ねいこれはだって定期的やりたくなるやろ
[00:24:05.480] ありがとうワンは高くて買えないんすよ
[00:24:09.000] ワン買えないワンは3万お尻ボモ第1もう
[00:24:12.080] これひパンじゃないすかもう
[00:24:19.919] これでしょまだ出てない8月なんだってて
[00:24:24.000] たに子じゃなかったんか獣獣の子はねあの
[00:24:28.480] コボルトはねでも解放したよでもエロく
[00:24:30.360] なかったエッチじゃなかった
[00:24:40.320] あんまりハーピー可愛い
[00:24:43.600] ねで結構のよ体つきエッチだよね
[00:24:49.080] これ体つき結構エッチじゃ
[00:24:52.399] ないなんていうかこの肉感というみの大き
[00:24:56.799] さ好みの大きさ
[00:25:02.399] 最近チマゲームチャンネルに女の子の
[00:25:04.520] リスナーがすごい少なくなったな理由が
[00:25:06.799] 分かる
[00:25:08.200] ねこんなことばっかやってっかんな
[00:25:13.720] 配あこれは下半身部門第1位の覚えたいて
[00:25:18.559] いいいいこっそり見てる
[00:25:21.480] よ女の子の方がスブですからねいいよね
[00:25:25.240] この下半身エロいよね
[00:25:29.960] 窒息死したいなあそこで
[00:25:32.880] ねあ窒息し
[00:25:38.480] て動物本にいてそう擦り込まれてます
[00:25:48.760] ねはいこの攻撃受けた顔も可愛いです覚え
[00:25:52.880] ててパソコン版どうなってんのか索あ
[00:25:56.279] とんでもないねとんでもないみたいね
[00:25:58.760] もう普通に普通にもう普通にエロゲー
[00:26:02.480] みたいだねちょうどいいんよ配信でやるの
[00:26:05.880] はこんくらい
[00:26:07.039] がこんくらいがやっぱちょうどいいっすよ
[00:26:09.960] 配信でやるんだっ
[00:26:12.320] たらおいおいおい今日2枚目早い早い
[00:26:18.919] おい2枚目だぞおい
[00:26:23.679] もうキャスPC版
[00:26:28.559] のあのあれで限定配信するわもら
[00:26:32.399] こんばんはあ
[00:26:36.120] 何
[00:26:37.760] 何あおやおやまだこんなとこでうろうろし
[00:26:42.080] てんのかいめさにゃなんでこれフルボイス
[00:26:44.679] じゃないんだろこここの様子じゃ私の客間
[00:26:47.679] に来る日もまだまだ先のようだねあ俺たち
[00:26:50.559] はあんたの敵のはずだどうして俺たちを
[00:26:52.000] 手助けをするお前たちが私の敵だっ
[00:26:55.760] てお前たがを殺すに全をかけて殺そうと
[00:26:59.520] するかいに私にとってお前たちはブンブン
[00:27:02.159] と飛びうるさいえのようなものさ乳首が
[00:27:05.159] 立ってら額に横向きで呪いここなおでこに
[00:27:09.200] なんか書いてあるよな特立っ
[00:27:11.600] てる分かったよスケベどが乳首乳首おい
[00:27:16.720] 乳首立ってるケかお前らだがねえうるさい
[00:27:21.600] 早でもんままたまにはれるのも水さ
[00:27:28.279] ないというのも退屈でね分かるかいこの
[00:27:30.720] 気持ちお前の退屈にかばってる暇はないぜ
[00:27:34.000] 女の子たちの呪いを解いてこの町から出て
[00:27:36.360] 行けお断りだね約束を破った人間たちが
[00:27:40.039] 悪いのさケイトはどうしたケイトああの掟
[00:27:43.679] を破ろうとした超本人かいあの娘はほら
[00:27:46.360] お前の後ろ
[00:27:48.720] に持て余してろおいおいおいふいきなり
[00:27:53.519] エッチじゃん何いきなりエッチじゃん何
[00:27:57.120] やあこれいいっすよこれちょっと表情も
[00:28:03.679] 含めと攻めてるいいっすね絶景だける
[00:28:08.760] よだれをけ今神枠
[00:28:11.200] だエロエッチじゃないすか大手いや笑笑
[00:28:17.320] やめないでじゃなくてやめろ
[00:28:20.519] お母さん
[00:28:22.440] ふふふおいバンなんとかしてくれおいなん
[00:28:26.600] とかしてくれ
[00:28:29.000] おいみんな俺の俺の親をなんとかしてくれ
[00:28:33.000] おやおやそこの大男私をそんな目で睨むの
[00:28:35.720] おしい人間の分際でお前がいやまお前が
[00:28:40.559] いやまさかねふんふんままあいいまた
[00:28:43.840] 会えるのどうのこうのえー何この何この
[00:28:47.559] エッチな展開ええやんええやんええやん
[00:28:51.559] いいよはもうケイトだいぶ良かったね今ね
[00:28:56.200] 今だいぶエッチだだったよねなんかね
[00:28:58.840] な早いいですよねおなこの丘がね双子島が
[00:29:05.039] 見えてた双子島がフリーザーが中にいるか
[00:29:07.640] もしんないどうしよう双子島があったの今
[00:29:09.519] なおいどうしてピクリとも動かなかったん
[00:29:11.799] だいや楽しんでると思ったからな邪魔し
[00:29:14.679] ちゃ悪いと思ってさバカなこと言うなよ
[00:29:17.799] どうになると思っておっとそんなことより
[00:29:19.919] 点を拾わないとなびざす何11章
[00:29:24.039] ジャイアントスパおGスパスパスパパのお
[00:29:30.039] いいっす
[00:29:31.559] ねいいぜいいぜいい
[00:29:35.159] ぜジースポ来たジースあれは
[00:29:43.880] ジースポ笑笑桑田啓介も見て
[00:29:49.360] ます昔俺がお母さんのお母さんのウォーク
[00:29:54.000] マンもらったことがある昔ねお母さんのお
[00:29:56.240] 下がりのウォークマンもらってあ
[00:29:59.080] サザンサザンのんとかしてくれサザンの曲
[00:30:03.679] 入ってるんだなと思ってあのお気に入り
[00:30:05.440] 登録みたいなのができるんだよそれで
[00:30:07.000] お気に入りお母さんのお気に入りの曲何な
[00:30:09.000] のかなと思ったら一番上にマンピーのG
[00:30:11.360] スポッツだったもうちょっとちょっと
[00:30:12.919] ショックだったよね息子なが
[00:30:15.799] ねあれはマピのジスポジースポあんだから
[00:30:21.360] そういう曲が本当にびっくりしたやね本当
[00:30:23.919] に
[00:30:25.240] ねマジか笑次はエロかセブなったサザが
[00:30:32.000] ドンピシャだからねサザドンピシャ世代だ
[00:30:34.159] からねうちの
[00:30:38.480] お母さんいやさっきケイトエロかったな
[00:30:41.640] 良かったねいいイベントでしたね今
[00:30:48.600] ねいいいい今日いい風が流れてます今日
[00:30:53.600] いい風が流れてる今いいの見れそうももね
[00:31:02.679] こういうちょうどいいエロのゲームやって
[00:31:04.840] て思うけどこくらいの方がいいよねなんか
[00:31:09.120] その地上波で見るエロみたいな特別感が
[00:31:12.600] あるよね
[00:31:14.240] なんか本来エロがないと思ってるところに
[00:31:17.279] あるそうエッチなもん見ようと思ったら
[00:31:21.080] 見れるわけじゃん今携帯があってさみん
[00:31:24.600] さこのわざわざこの何年も前の
[00:31:28.679] 派もうそんな素ないよ昔まままね今の流れ
[00:31:34.120] てたあそうなんだ昔だって俺も俺がまだ
[00:31:38.679] 小学生の頃お正月の深夜めっちゃエロかっ
[00:31:42.360] たよね覚えてて俺28だけどそんくらいで
[00:31:45.960] もギリやってたよお正月の深夜なんか
[00:31:49.960] アンガールズが人間ピンボールみたいな
[00:31:52.919] 感じでなんかこ斜面にこ人間たちがこう
[00:31:56.399] やってあの
[00:31:58.360] こうやってこうやってなんか棒になって
[00:31:59.919] こう弾上から転がってくる弾をこう自分
[00:32:02.679] たちで操作してなんかパンツとか
[00:32:05.440] ブラジャーとかのこのなんかかに入れるん
[00:32:07.880] よそうする女優が脱ぐみたいなお正月やっ
[00:32:10.559] ててバカいかったねバカいかった笑笑ああ
[00:32:16.559] いうのもうやんないもんね今ね
[00:32:18.840] アンガールズがだからめっちゃあいつら
[00:32:20.799] アンガールズ性高いじゃんめちゃめちゃ
[00:32:22.519] 強かっためっちゃ強えんだそのピンボール
[00:32:25.240] としてる役割が
[00:32:28.720] 俺がやろうかなじゃあttch
[00:32:32.960] でそう
[00:32:39.919] そうそうそういうなんかもうテレビとかさ
[00:32:43.880] 重んないやんマジでそういうのやればいい
[00:32:47.039] のチック開けさせてと見てたあチャック
[00:32:50.480] 開けさせてやって
[00:32:52.360] あれめましたこんばんはラの匿
[00:32:58.840] 匿名係長ただ
[00:33:01.440] のわかんねえアンガのが赤ちゃんの格好し
[00:33:04.799] てるやつ何それ何それ何それ知らねえ
[00:33:06.840] わたる
[00:33:10.720] こんばんはあそうなん
[00:33:14.200] だた高橋勝さんが主演して
[00:33:20.799] エ見たいどっかで見れないんか
[00:33:24.200] なやっぱその地上波のエロだよなやっぱな
[00:33:29.960] なん俺もあのなんていうやつだったかな
[00:33:33.080] 昔深夜土曜の深夜2時半ぐらいからやって
[00:33:36.880] たドラマなんて言うんだっけなめっちゃ
[00:33:40.000] エロいんよあなんかキャバクラの
[00:33:43.440] 話なんだけどなんていう映画ああの女王か
[00:33:48.720] もしんないそれかも超エロかったよな
[00:33:51.880] あれな小学生の時見てたわ親が寝て寝てる
[00:33:56.720] のを寝てるやつえ道いやもう当時道とか
