[00:00:05.520] ひひひおはちゃま人1
[00:07:25.960] いうサイト使うんでねあのアカウント作っ
[00:07:28.879] といてくださいねあの本当に枚数本当に
[00:07:31.280] 少ないんでもうわかんないけどもしかし
[00:07:33.840] たら買えないこともなきにしもまあらずか
[00:07:36.759] なとかちょっと思ってるんでねよかったら
[00:07:38.759] あのおさすが早いすねさすが早いです
[00:07:42.960] ねまこんな感じでねよろしくお願いします
[00:07:47.599] はいじゃもう告知終わりはいゲームやり
[00:07:51.639] ますあまこれ告知の仕方がわからねんだよ
[00:07:55.560] なです
[00:08:00.319] Vスポって何Vスポの老って何Vスポの老
[00:08:05.400] って何Vスポのロって俺もよくわかって
[00:08:08.400] ねえ何それ
[00:08:09.599] なんかあったのVスポてなんだ
[00:08:12.759] まずねこれさこれGGってこれ誰知らねえ
[00:08:17.120] やつのアカウントが勝手にできてんだけど
[00:08:18.840] これなんだこれ誰だGGって私もよく
[00:08:21.120] わかってないの個人情報出問題
[00:08:26.120] へ
[00:08:28.440] まさか何何何まさかて怖いことはゲーム
[00:08:31.520] うまい女の子集めたブア事務所
[00:08:35.320] へ
[00:08:40.760] さんウェおじおはよう全部の情報が
[00:08:45.040] だだ漏れしたらしいねえーそうなんだ何が
[00:08:48.360] 何がだだ漏れ何何
[00:08:50.800] vtubervtuberの情報が全部
[00:08:55.480] 漏れたんだへえ
[00:09:00.160] 続けます全然興味ねえやごめんてア事務所
[00:09:03.680] の新配信者募集の応募新規配信うわそれは
[00:09:08.040] まずいねあそれはまずいわすあペペロお
[00:09:11.920] 疲れやるぜ今日もつまり中身がいたって
[00:09:15.000] こと中身とかないしえおい女の子って
[00:09:17.880] うんちしないんだぜお前ら知らねえだろ
[00:09:19.800] おいお前ら知らねえだろ女の子ってうんち
[00:09:22.360] しないんだぜソースは俺ソースは俺俺
[00:09:26.399] 女の子だからちしないしですねマね中身と
[00:09:31.440] か
[00:09:32.560] マシマロ邪魔もしないよねマシお俺ケツ
[00:09:36.000] からマシマロが出る知ってケツから
[00:09:38.240] マシュマロが出るよ俺ほゆゆっつってほゆ
[00:09:41.480] ゆゆっつってえ前回どこまで来たんだけど
[00:09:45.600] なんかこネズいっぱい出てくるこだな
[00:09:47.920] きしょいマジでこれよくよく見たら
[00:09:49.680] めっちゃきしくない
[00:09:51.200] これきしすぎシュロ出ないよねあチョコ
[00:09:55.120] マシュマロやだけどなケからマシュマロ
[00:09:57.519] チコマシュマロ飯食べて
[00:10:00.640] けチコマシマロが出るチコマシマロがおい
[00:10:05.320] 弾もいっぱいあるからちょっと待ってこれ
[00:10:08.040] いっぱい作ろうぜこれもうこういうのガガ
[00:10:11.079] 作りでられなくなったそそうそう
[00:10:14.200] 引っかかって出れなくなったんだよ前回な
[00:10:16.760] ふざけやがってで結構戻されたよねこれ回
[00:10:20.480] バグらんかななんここのこの辺なタンクの
[00:10:23.680] 上にジャンプして飛び乗ったらなんか
[00:10:25.279] すり抜けてこのタンクの中に入り込ん
[00:10:27.880] じゃったの昨日お腹が引っかかったのちょ
[00:10:30.360] なんかねスタックしたなんか当たり判定が
[00:10:33.240] なんか上になかったみたい
[00:10:35.160] でふざけんなよおいこれな怖くないこれ
[00:10:40.040] 漏電とか大丈夫こんなな水んとこにこれ
[00:10:43.320] 大丈夫めちゃめちゃ怖えな
[00:10:47.880] これどどこに行くんだか忘れたなもう
[00:10:54.120] なまゾンビとかがまだいないからねあれい
[00:10:58.920] ないねえいるんだっけいないよね倒したよ
[00:11:03.360] ね全部ね全部倒したよ
[00:11:06.440] な待て今じゃ1回こっちこっちにも映さ
[00:11:11.519] なけナイフで反撃っって取ったんだっけ
[00:11:15.040] なごめんちょっと待って一緒待って
[00:11:19.720] ねちなみにこれどんくらい進んでんだろう
[00:11:23.040] 今半分ぐらい来てんのか
[00:11:26.760] なそんな長いゲームじゃないとんだよね
[00:11:29.880] ラスアスっ
[00:11:36.279] て
[00:11:37.959] うえ何何え何の
[00:11:43.440] 音びっくりした今普通に今何の
[00:11:53.480] 音はいはいはいはいはいはいはいはい
[00:11:56.720] いっぺいやらいっぺいやらなんもねえや
[00:11:59.000] このこ辺こ辺は何も
[00:12:08.399] ないちょ探索させて
[00:12:11.639] くれたまにたまになんか物音がすんの何
[00:12:15.240] ゾンビがいる
[00:12:20.079] のたまになんかおお音がするのはこれ
[00:12:25.639] 何きそうなんかきそうだよな
[00:12:34.079] 急に
[00:12:35.000] あこつ
[00:12:40.079] でしょびっくりし
[00:12:43.000] たなんで置いた
[00:12:46.720] よどっか行った聞き耳
[00:12:50.720] 使おちゃま
[00:12:53.040] びっくり野郎
[00:12:55.399] 痛いこなんなのこいつ
[00:13:01.399] ボケボケがてめえおい
[00:13:04.839] こらちょっと待って早早いよこのおらえぞ
[00:13:10.560] この野郎
[00:13:12.360] おいなめんなバカがお次来ほら次来い来た
[00:13:18.680] おお前飛んでひるバカか飛んでひるバカの
[00:13:22.000] 虫だよお前は飛んでるバカの虫ゴミこいつ
[00:13:25.320] ら来いおおいおら来い次来い次来いおら
[00:13:29.720] 来ほら怖い
[00:13:36.680] 間に合ってねん
[00:13:43.360] だ次
[00:13:45.240] 次次する意ねだろリロードしてグで殴る
[00:13:51.560] からリロードしてグーで殴り
[00:13:56.800] ますほら
[00:13:59.320] おいショットガンあんだぞこっちには
[00:14:07.800] おいこのゲームマジでグーパンが一番強え
[00:14:12.720] から何も考えないでいい
[00:14:15.600] し何も考えないでいいおお前なん
[00:14:24.600] だどこ行きゃいいんだ
[00:14:29.399] これで前回と同じとこまで来たのかここで
[00:14:32.920] 前回俺もどうすればいいんだつって
[00:14:36.079] ジャンプして変な棚にり乗り移ったら
[00:14:39.880] なんかヒっつって棚の中入っ
[00:14:43.320] てなんか動けなかっちゃったんだよ
[00:14:53.240] なあれどこ行くんだこれ
[00:15:01.600] あここだここ行ったっ
[00:15:04.959] けあ俺でもこんなもんさえここじゃない
[00:15:10.279] これ取りんじゃ飛び乗るんじゃないのここ
[00:15:13.279] こな行くと思うやんこれ違うんか
[00:15:17.839] なあ普通にここだねあ普通にここだむ何頼
[00:15:24.120] むって
[00:15:32.600] た何これ開か
[00:15:36.560] ない何これ
[00:15:39.240] 開いて
[00:15:40.959] くれんこれだめ
[00:15:43.279] だお入ってねえとかまそういうことさっき
[00:15:49.440] なんかケーブルみたいのあったよなあもし
[00:15:52.240] かしてあれかこの下にあった変な
[00:15:55.880] さ
[00:15:57.920] あのこの辺のほらあげんじゃ
[00:16:01.240] ねちげえか
[00:16:05.240] なちげえ
[00:16:09.639] かいやなんかあんじゃないのブレーカー
[00:16:12.560] みてのあげんじゃねえのね今日
[00:16:16.000] さ女の子は女の子はなんか今ね別れちゃっ
[00:16:20.600] たなんかね女の子と一緒にいたんだけど
[00:16:23.759] ヒューズがないとかあヒューズが必要って
[00:16:27.920] こと女の子と一緒にいたんだけどなんか
[00:16:30.480] エレベーターに移ったらエレベーターの紐
[00:16:33.360] が切れて俺だけ落ちちゃったんだよあこれ
[00:16:35.720] だからジエルだけ落ちて合だよねそういう
[00:16:40.279] ことたまにあるこのさ
[00:16:42.079] デッドバイデイライト
[00:16:44.560] 何たまにあるデドシステム大丈夫かなちょ
[00:16:49.399] 待ってお腹ね待って今
[00:16:55.519] もなんだ
[00:16:59.440] どっからく来
[00:17:03.240] たどっから
[00:17:07.600] 来
[00:17:09.199] うわーああ待てお前かよこれまずいっすよ
[00:17:15.559] これはまずい逃げろああ逃おいお前
[00:17:18.520] ふざけんなよ
[00:17:21.799] おらやめてくださいあすごいグロいことさ
[00:17:25.280] れた今なんかすごいグロいことされた笑笑
[00:17:29.679] うわあタバなすいやこれそう初見殺し
[00:17:33.600] すぎるだろ今
[00:17:36.400] の今の初見殺し
[00:17:39.520] すぎえどうするあれが来たらやるしかねえ
[00:17:43.760] よなえもやるしかねえよなだも
[00:17:47.880] なお腹いてつってんのに今日1日お腹いて
[00:17:51.559] んだよなんか
[00:17:53.720] 今日うわしかもなんか
[00:18:00.360] 来いよ
[00:18:24.640] ほら
[00:18:27.760] あい
[00:18:30.039] たなんだよもうどっ
[00:18:33.159] から
[00:18:34.679] ちちょっとちょっと待っちょちょなおい
[00:18:39.080] どうしよってんだよ
[00:18:44.600] これなんだよこれ
[00:18:50.679] はあリスタート
[00:18:53.559] 早い何これ
[00:18:57.000] 360°から
[00:19:00.200] マジ親おどうすんのこれお腹痛いって言っ
[00:19:04.919] てんのに
[00:19:14.720] や逃げる
[00:19:30.799] うわ早
[00:19:35.720] お前早い早い
[00:19:41.000] 早いワイフに勝
[00:19:44.440] が画面
[00:19:49.640] バグっ
[00:19:56.600] えお邪魔
[00:20:11.320] ス
[00:20:25.320] 草画面おかしくなってます
[00:20:29.760] 今それところじゃ
[00:20:38.200] ねえ
[00:20:39.840] もうなんだ
[00:20:45.640] よいや
[00:20:50.080] ももうなんだよこれ
[00:20:59.840] どうすらいいのこれ無理だよ俺これな
[00:21:04.440] ちょっと待っ
[00:21:05.640] てこれ何これ
[00:21:08.760] えちょっとこれ何これ
[00:21:13.080] 何これどうし
[00:21:15.480] たグリッチか電源入れてさっきの扉ガン
[00:21:20.919] ダッシュ接触悪
[00:21:24.960] そうあそういうことかもう
[00:21:30.039] そうだ多分そうださっきの扉ガンダッシュ
[00:21:34.440] だわこれ相手にしてたらさ相手にしてたら
[00:21:37.919] 無理だぜそうだも行っちゃえばいいんだ
[00:21:44.200] よ行く
[00:21:55.840] ぜはい場所されましたはいはい場所忘れ
[00:21:59.320] てるはい場所分からないはい場所が分から
[00:22:02.360] ないはい場所が分かりませんはい場所が
[00:22:04.520] どこでしたっけはいはい場所がここです
[00:22:07.159] はい
[00:22:08.000] ここバカバカバカバカ頼むじゃないでしょ
[00:22:11.640] こっちだろうが
[00:22:15.720] お前やった早くしろ何ゆっくり何を
[00:22:19.520] ゆっくりやってんだお前は
[00:22:22.039] よよしにたらねえなもうたくさん
[00:22:27.520] だそうここまで来れないんかあいつはなん
[00:22:29.840] やねんもう来れないんかい案外簡単だった
[00:22:34.600] 案外簡単だったなだめだ俺やっぱ立ち
[00:22:37.440] はかるもの全てぶっ倒すように教えられ
[00:22:39.559] てるから
[00:22:41.159] さだめ
[00:22:43.480] だい意外と怖いこれ意外と怖いんだよこれ
[00:22:58.559] もうだちょっとトイレきていい払いて
[00:23:00.799] うんちしてきていいあお腹痛いなんか今日
[00:23:03.520] ずっとお腹痛いなんかいいよちょちょ
[00:23:08.400] ずっとお腹痛い
[00:23:10.840] もうちょやばい今日ちょっと女の子の日か
[00:23:13.679] もしれん今日じゃないのマシュマロ雨の中
[00:23:17.200] でお腹冷えてんだなそういうことかよあ来
[00:23:19.960] たてこい来たちょっと待ってこれやりたい
[00:23:23.279] おいおいおい待て236あるぞ236
[00:23:29.400] 何
[00:23:31.919] 育てるこ何
[00:23:35.720] 育てるねこれピストルも作る普段使する
[00:23:40.279] やつ一旦周り見て工具探すあ確かにあり
[00:23:43.799] そうだ
[00:23:47.279] なちょっとここのアイテム全部拾い切って
[00:23:50.400] からでもいいかも
[00:23:54.760] ねさすがにここには出てこんやろ
[00:24:04.360] うんうんうんうんあまだ
[00:24:07.440] あるあるやん
[00:24:14.919] けこっから来たん
[00:24:18.320] かそんでマシュマロ配りは大丈夫
[00:24:22.559] マシュマロゆゆつって出るからゆゆっつっ
[00:24:25.840] て
[00:24:28.720] 俺うんこしないつってんだろ女の子は
[00:24:31.480] うんこしねえつってんだろが女の子は
[00:24:34.760] うんこしねえつってんだろ
[00:24:39.159] がゆソースは俺よしやるかえーホルスター
[00:24:45.279] 作るピストル
[00:24:48.760] のリボルバー育てるかこれちなみ246
[00:24:54.080] あります1520だってやってもいい
[00:24:57.320] なシャッガンも行くシャッガン
[00:25:01.279] も連射速度マガジンリも使ってるからね
[00:25:05.919] リボとリボシャガリボシャッガー中心で
[00:25:10.760] いいリボシャッガー中心でまま
[00:25:15.600] とりあえず1段階ずつはこれ上げてやる
[00:25:20.159] か連射速度マガジン上限マガジン
[00:25:26.279] 上限射程距離あこれ
[00:25:29.640] かまリロード速度連射速度1段階率上げ
[00:25:34.520] とく
[00:25:36.840] かはいまだ180あるぞまだ180ある
[00:25:42.559] ねあそうだこれこの工具がなくなるまで
[00:25:46.440] 増やしてるんだよこんなハンドメイドで
[00:25:50.440] 笑まだめちゃめちゃあるよ111あるよ
[00:25:54.360] 上げられるだけ上げるかこれもな
[00:25:59.000] どうせ工具工具レベルが足んなくなる
[00:26:06.559] から弓結局使ってねえな強えと思ったけど
[00:26:09.960] 使いバーのリロード速度メ上がってそうだ
[00:26:12.799] ねそうか
[00:26:16.080] なリロード速度マガジン上あ上げてみる
[00:26:23.919] か今もうできる限りのとこまで行ったん
[00:26:27.039] じゃないもうこれね
[00:26:29.200] うんできる限りのとこまで行ったのいい
[00:26:31.600] 感じだいい感じ
[00:26:37.640] ですもう何が来ても怖くないいやこの
[00:26:42.000] ゲームにもマグナムあるんかなマグマあっ
[00:26:44.880] たらでかいねマシュマロ引っ込んだ
[00:26:46.799] マシュマロ引っ込んだわマシュマロ
[00:26:49.159] 引っ込ん
[00:26:53.159] だまあいるだろうね多分ね
[00:26:59.360] ああもうああれが一番だるいよクリッカー
[00:27:04.320] でも普通のやつでもないええあなんだ仲間
[00:27:10.200] か
[00:27:11.799] えあれは敵噛まれた
[00:27:15.559] か今日は大丈夫だお前は今日は今日は
[00:27:19.080] 大丈夫
[00:27:20.440] よし手分けしてまだこいつらの残りがい
[00:27:23.559] ないかを調べるんだえこれ俺
[00:27:25.360] はえこれは何
[00:27:30.399] 仲間あもでも敵だろうねこれね殺しちゃえ
[00:27:35.279] 仲間か敵やろ
[00:27:46.720] な
[00:27:51.640] うま
[00:27:53.399] 笑俺が笑笑う笑笑
[00:27:58.919] 笑笑実はバカうまい笑笑さすがにうまい実
[00:28:04.399] はうまいな笑笑ナイスへし
[00:28:08.159] 笑あいっぱい来たいっぱい来たここに来て
[00:28:11.640] 弓矢
[00:28:22.039] 覚醒敵から近づいてくるといい度じゃねえ
[00:28:24.919] か高校3年道部
[00:28:31.159] さどうすか
[00:28:35.919] な弓矢なホライゾンと
[00:29:09.640] あそこにいる
[00:29:13.200] なつと気になってたこと言ってもいいはい
[00:29:16.480] 何ですか
[00:29:30.279] とどある消化感言ったら爆発したりせんの
[00:29:33.880] か
[00:29:34.720] などれどれどれ
[00:29:41.600] どれ消化
[00:29:45.799] 線
[00:29:48.360] あのうんあのあの青いやつね
[00:29:52.600] メどうなん
[00:29:54.640] だろう実はうまかった赤いやつね笑赤い
[00:30:04.360] やつなく
[00:30:08.519] ねああそれ撃って
[00:30:14.799] みるおおやばれ
[00:30:18.399] たやべえ
[00:30:22.480] おお笑笑笑笑消化か
[00:30:28.760] これ
[00:30:31.919] しっぺ消化器やこれ
[00:30:35.039] 有能これいい
[00:30:37.799] ね色々ギミックありそう
[00:30:40.840] ね俺があまりにも脳筋すぎ
[00:30:47.000] てただあいつら来ないぞこっちまで
[00:31:02.919] やべこっちを
[00:31:06.840] 調べようこっちを調べよとあいつバカやな
[00:31:09.600] あいつ
[00:31:12.919] らえ高校球道部やっていいチハフルして
[00:31:16.960] いいチハヤフルあチハフルってキドの漫画
[00:31:19.919] じゃなかったっけなんだっ
[00:31:26.919] けちカルタな笑笑カルタなカルタじゃなっ
[00:31:32.159] 人
[00:31:36.480] 一種着物しか合ってない
[00:31:45.880] フリム何があったかおい聞
[00:31:52.039] かおなめるなよ俺はあまりお俺をなめるな
[00:31:56.519] よあまりうま笑う練習したなんてことだ
[00:32:01.080] 今日仕事休んでずっとこればっかやっ
[00:32:04.080] た遅くなっ
[00:32:07.399] たのステルスプレイはい
[00:32:12.440] うまいはいはいオッケーはい一丁
[00:32:17.720] 上がり今の頭今なんか今なんか吸い寄せ
[00:32:22.159] られたよなか今なんか吸い寄せられた
[00:32:27.960] 横だったよなな今まあまあままあいい
[00:32:32.639] でしょまあいいだろなんかクリアできた
[00:32:36.240] しあまり俺を舐めるんじゃねえ
[00:32:45.480] ぞ裏で変なツール立ち上げて
[00:32:49.240] 足りがやられ
[00:32:52.200] たバレた裏の俺買ってきたんだよねチート
[00:32:56.360] かうんあのあのコンバーターなんて言ん
[00:32:59.840] だっけあのあのエムアシストコンバーター
[00:33:03.120] だっ
[00:33:05.919] けもう吸い寄せられたもんな今
[00:33:08.960] なコンバーター
[00:33:14.840] 博すあ
[00:33:18.080] よいしょ待って己れの強化ってどんな感じ
[00:33:20.720] 今己れ今50
[00:33:24.039] ある標準制度これあげよっかな
[00:33:32.480] これでさらにエイムアシストがついた
[00:33:34.080] でしょ
[00:33:34.919] 多コンバーター使ってるやつはロム割っ
[00:33:38.080] てるやつと同じだよあそれは悪だ
[00:33:49.039] ね
[00:33:54.679] オーこれをどこに使うかが大事ですよ
[00:34:05.519] どこに使うんだ
[00:34:12.800] これひそひそロム割って
[00:34:17.560] 何ロム割ってレトロゲームのデータを違法
[00:34:23.399] ダウンロードしてゲーム持ってないのに
[00:34:26.200] 遊ぶことエミュレーターとか
[00:34:30.839] であそこ普通にそこだR
[00:34:36.480] 4R4って言って分かるかなチャピにそれ
[00:34:41.320] はあかん
[00:34:42.480] ななるほどね海外サイトからゲームデータ
[00:34:46.399] 違法ダウンロードしてるってことそうそう
[00:34:52.079] そう携帯型のスファ見てるねそういやあ
[00:34:55.919] うわ
[00:34:59.599] 完全に油断してるもう誰だよお前
[00:35:04.680] よふざけんなよ
[00:35:11.720] お前やばいやばい
[00:35:15.760] やばい早く早く早くお前何してんだ
[00:35:20.760] よえ
[00:35:25.839] おお
[00:35:31.640] 私が殺しちゃったんだねお初や
[00:35:37.000] んムカムカする
[00:35:39.880] えだから下がってろって言っ
[00:35:44.079] たろはるおおで助かったんじゃないやめな
[00:35:47.440] ね俺の頭も吹き飛ぶかと思ったよクソガが
[00:35:52.000] なんなのその
[00:35:53.520] 態度ありがとうぐらい言えばお前のおかげ
[00:35:56.520] で俺は助かったの一大変だったろってそれ
[00:36:00.079] ぐらい言ってくれてもいいでしょ確か
[00:36:03.520] にもういい行く
[00:36:06.040] ぞ分かったよ
[00:36:08.599] 笑笑初じゃんそれはそうなんかあっさりし
[00:36:12.920] てんな初
[00:36:14.520] こしなんか普通こういうのってあでも会い
[00:36:17.400] たかったよ会いたかった普通こういうのっ
[00:36:20.720] てさあ初めて人殺しちゃったらなんかこう
[00:36:25.000] しちゃったねすごいショックを受けてああ
[00:36:28.599] 殺しちゃっ
[00:36:30.000] た溝生まれたこんな世界だからなまあ
[00:36:35.520] ねこんな
[00:36:37.839] 世の中誰を信じてあるんでゆこ
[00:36:43.640] てんてんてん
[00:36:49.040] ポインポイズンじゃねえよ目の前で何人も
[00:36:52.520] 殺してるからな自分だったらどうしてたか
[00:36:55.640] な確え
[00:36:59.040] テスもジョエルが殺してるのも見てきてる
[00:37:01.480] しマーリーンも殺してるだろうしまあ確か
[00:37:04.640] にな今更だよな生き残るってことはこう
[00:37:07.319] いうことだってこの子はよく分かってる
[00:37:09.800] はずお前は間違ってないぞこれが行き
[00:37:13.640] るってことだ
[00:37:15.400] からそこで待っ
[00:37:17.480] てろもちろん
[00:37:19.960] 太鼓の時代これも行か
[00:37:23.359] ないなんか可愛くなってきたなこの子邪魔
[00:37:26.800] ならうんこもらってるマシュマロなうんこ
[00:37:29.599] じゃなく
[00:37:31.800] てあマショマロ盛れ
[00:37:38.040] そうこれなんか回復使う作るか回復
[00:37:42.079] めっちゃ作れるから1個使っちゃうか回復
[00:37:44.960] なめっちゃ作れるもんだっ
[00:37:49.160] てちょもったいないかもしんないけどちょ
[00:37:51.560] ちょっと使うわでさらにこれを拾う拾う
[00:37:55.319] 拾う拾う拾あじゃ
[00:37:58.079] でこれを作っ
[00:38:01.520] てこれを拾うとオオオオはい刃物いただき
[00:38:07.280] に行くことはマシュマロ配りって言おうね
[00:38:09.680] マシュマロ配りうんマシュマロ配りに
[00:38:11.599] 行こうかなそろそろ
[00:38:14.079] あれだなマシュマロちょうだい
[00:38:18.640] マシュマロおじさんだ
[00:38:21.880] からああにあいつ
[00:38:25.480] 笑笑何あいつ
[00:38:31.000] まろ
[00:38:33.680] おじどうもまろおじだ
[00:38:38.920] よこれ一ちゃん最初のとこじゃないのこれ
[00:38:41.880] 早くここから出て橋を見つけないともうど
[00:38:45.000] どこに行けばいい
[00:38:47.599] のこいつにはうんざり
[00:38:52.720] だどういうあれなんで何なな何を目指し
[00:38:56.720] てるんでしたっけ今俺た
[00:38:59.280] はどこを目指してるんだっけなんでこんな
[00:39:02.400] ホテルにいるん
[00:39:14.200] だ研究所にその子持ってくんじゃなかっ
[00:39:17.520] たっけとりあえず西に向かってる何してた
[00:39:21.200] んだっけななんでこんなホテルに来たの俺
[00:39:25.280] そもそも
[00:39:28.680] なんか作る
[00:39:31.359] かなんか作るかってこれ以上もう作れない
[00:39:34.160] んだよなもったいない
[00:39:39.440] なマシュマロマンこんばんはおどうも
[00:39:42.560] マシュマロンですどうも
[00:39:47.839] こんばんはちょもうね覚えてないななんで
[00:39:50.599] 俺どこに何を何すんで行くの
[00:39:55.760] これでぐの口を探しに来てたらなんかよく
[00:39:59.560] わかんない勢力に待ち伏せされてそいつら
[00:40:02.119] しきながら視界に入った橋はえ打撃武器の
[00:40:05.520] 使用回数が1回増えた
[00:40:07.319] おお打撃武器の使用回数が1回増えたって
[00:40:10.920] 俺もよくわかってない弟似合いに行く途中
[00:40:14.599] で襲われたあああそうかもそうだなんか
[00:40:20.319] そうだ車でなんかやってたらなんかさおい
[00:40:23.240] 助けてくれとかつってさドーンってやられ
[00:40:26.280] てなんかそうだわ
[00:40:27.880] そんなんだったわあね弟に会いに行くん
[00:40:32.040] やって弟に会いに行く途中なんやの伏せの
[00:40:36.319] ことエル知ってたんだよね
[00:40:39.000] 確かそうなんだっけそうなのそんな描写
