[00:00:17.760] おいおいイスピソソソソSおいおいスピー
[00:06:09.240] ちょっとじんちゃんとたっつんと飲み行っ
[00:06:11.080] てね
[00:06:12.720] いやあかなり大きな目標がちょっとでき
[00:06:15.280] ましてそれもちょっとみんな楽しみにして
[00:06:18.240] 今年も改めてだけど今年も応援よろしくお
[00:06:20.080] 願いします今日今年はちょっと本当にブ
[00:06:22.160] グバグスGBAGBAアドバンス
[00:06:25.400] アドバンスえ秋マさんこんばんはどうすん
[00:06:27.560] のどうすんのやってきますよよろしくお
[00:06:29.039] 願いします
[00:06:30.199] 大きな
[00:06:31.919] 目はいどうもこんにちはチマゲームです
[00:06:36.080] あけましておめでとうございますまもう何
[00:06:37.840] 度も言ってますけどもえちょっと今日は
[00:06:40.759] もう上からのカメラこれちょっとあれな
[00:06:43.080] あのこれちょっとあの禁止ないで欲しいん
[00:06:46.000] ですあの今日は何をするかと言いますと
[00:06:48.960] こちらね皆さんどうですか懐かしくない
[00:06:51.960] ですかゲームボイアドバンスこのゲーム
[00:06:55.199] ボーイアドバンス懐かしいすよね僕ら世代
[00:06:57.560] もドンピシャのゲームですよ俺が初めて
[00:06:59.919] 触ったゲーム機これ大好きなんですけど
[00:07:02.000] こいつをね背中で語るカメラあの背中で
[00:07:04.720] 語るカメラはも今はない今はなくなった
[00:07:07.120] あのこれをねあの改造しようというま今
[00:07:11.560] までもね本当あの何台もこういうの作って
[00:07:13.720] きたんであのあれなんだけどちょっと脇が
[00:07:16.400] 違うわけですよ今日は本当にあのですねま
[00:07:19.479] ちょっと簡単に説明するとこいつに
[00:07:22.120] もちろん外装全部交換しますで画面がです
[00:07:24.440] ねこれってね買ってもらえなかったグ
[00:07:26.759] ごめん傷をえぐっちゃってごめん
[00:07:29.919] 傷をえぐっちゃってごめんこれね画面がね
[00:07:32.400] めちゃくちゃ暗いのよこれがデフォルトの
[00:07:34.120] 画面なのこれバックライトとかついてない
[00:07:36.280] からこれでよう昔遊んでたなって思うけど
[00:07:38.800] ねこれなんでこれをねIPS液晶に変え
[00:07:42.319] たいとまもう1回やってあるんでもこんな
[00:07:44.000] んなるんすよもうこれとんでもないでしょ
[00:07:45.360] これもうちょ明るすぎてちょっとカメラ
[00:07:46.919] じゃ映るないんだけどこんなんなるぐらい
[00:07:48.599] 明るめちゃくちゃ明るくなるんのよこれを
[00:07:50.599] やるのとえHDMI出力をつけますま
[00:07:53.960] こいつにもついてるんですけどねこいつに
[00:07:55.520] もちょHDMIついてるこれもつけたんだ
[00:07:57.680] けどちゃうねんあのnendo
[00:08:00.039] SWITCHあるじゃないですか
[00:08:01.000] nendoSWITCHみたいにドッグ
[00:08:02.599] nendoswitってあるじゃんまこれ
[00:08:04.120] これねこうこういう風にここで遊んでて
[00:08:06.720] ここにさしたらテレビに映るみたいなある
[00:08:08.479] じゃんこれを作りたい
[00:08:10.520] と手持ちでもできてさしたらテレビに映る
[00:08:13.840] でも配信に映るみたいなを作りたいなと
[00:08:16.319] 思ってましてそれがねちょっと難しそうな
[00:08:18.319] んですけどもちょっとやってみたいなって
[00:08:19.599] いうのとあとそれにえっとなんだ
[00:08:22.599] ワイヤレスコントローラーを使えるように
[00:08:24.319] してワイヤレスで遊べるようにしたいなと
[00:08:26.319] まちょっともうとんでもない配信なわけ
[00:08:27.840] です今日はとんでもない改造配信でざ今日
[00:08:30.120] はねなのでえ今日は手元カメラ合んでやっ
[00:08:32.440] ていきたいと思いますけども早速やって
[00:08:33.760] いきますか早速やっていこうかなと思全部
[00:08:36.640] ダで揃う揃わないあのこれ金額言わない
[00:08:40.279] けどとんでもない金額かかってるよ会場
[00:08:42.479] 配信だとんでもない金額かかってますもう
[00:08:45.760] 失敗は許され
[00:08:47.680] ない
[00:08:50.240] よいしょはいこんな感じでねこれ今まで
[00:08:53.040] 作ったゲームボーイたちね今まで作った
[00:08:55.800] ゲームボーイたち超良くないすかこれ全部
[00:08:57.959] 改造してあるんだけどちょっと画格が5万
[00:09:00.200] 入ってる5万はかかってないけど終わった
[00:09:04.200] 頃にはちゃまゲーも改造されてるそうだよ
[00:09:07.320] 改造されてるよどうも改造配信者チマ
[00:09:09.680] ゲームですちょ待ってこれなんか画角画格
[00:09:11.560] が
[00:09:12.800] ちょっとこう
[00:09:14.600] かここか
[00:09:17.160] なあいいすねここれていきます
[00:09:20.800] あのこれ今まで作ったゲームボーイたちな
[00:09:23.760] んだけどこれも全部ねこういう風にあの
[00:09:27.279] これ初代ゲームボーイこんな風にねあの
[00:09:30.839] そうな配信こんにちはあハチャット
[00:09:33.079] ありがとう初チャットありがとう
[00:09:35.480] パカパカさんありがとうございますそう
[00:09:37.640] ゲームボーイアドバンスを最強にしないと
[00:09:39.959] したいとあれさんもどうも
[00:09:42.240] こんばん液晶と基だけでま1万は超えるか
[00:09:45.680] な今まで作ったものま僕実績があります
[00:09:48.959] からあフォローありがとうござますパカ
[00:09:50.640] さんありがとうございますレトロゲーマー
[00:09:52.160] のチゲームですあのねこういうのとか作っ
[00:09:54.600] たりねもう画面めちゃくちゃ上がるでしょ
[00:09:56.600] これもうこれロゴが光るの最高じゃないが
[00:09:59.399] 光るのまこれゲームボイカラーなんだけど
[00:10:01.360] このちょっとこれも明るすぎて見これハム
[00:10:03.800] 太郎ねこれハム太郎ねハム太郎とかま
[00:10:06.079] ハム太郎は別にどうでもいいんだけど
[00:10:07.720] ゲームアドバンスもねこういう風にボタン
[00:10:10.000] 光るようにしたりとかねハム太郎うんで
[00:10:13.279] これね何がいいってUSBTypeC充電
[00:10:17.320] なんすよ感電池使わないのこれ感電池使わ
[00:10:20.519] ないのえぐくない感電池使わなくて済むん
[00:10:22.680] だよこれハムハハムハみんなヤノこれもね
[00:10:27.040] USBタプC充電だったりとかそうこれ
[00:10:29.360] ゲボアドバンスSPねもう画面を変えたり
[00:10:31.839] とかねしてねあこれちょ充電ないすねま
[00:10:34.120] こんな感じでも今まで作ってきたんですが
[00:10:37.040] 作ってきたんだけども今回はちょっと分け
[00:10:39.839] が違うぞと自分で穴開けてコネクタ
[00:10:42.200] 取り付けたのあそうだよそうだよそう全部
[00:10:44.160] 自分でヤスリで削って穴開けてこのねこれ
[00:10:48.000] あのHDMIでテレビにつげられるんだ
[00:10:50.040] けどここのミニHDMIのところは元々穴
[00:10:52.160] 開いてないですからやっぱねやっぱレトロ
[00:10:54.639] よここあの自分で穴開けてこれは発明かま
[00:10:59.399] ファイトよおなつきさんこんばんはあけお
[00:11:01.519] け用意した三角上下は用意してないけど
[00:11:04.120] 定規は用意しましたまちょっとそんな感じ
[00:11:05.760] で今日やって行きたいなと
[00:11:09.160] いうこれなんて特にすごいからねこれ
[00:11:11.839] なんて初代ゲームボーイなんだけど見て
[00:11:14.720] これここから音が取れるの赤城で俺DJ
[00:11:19.240] やってるんだけどDJの機材についでその
[00:11:21.320] まま音が流せるっていうそんでこのねこの
[00:11:24.240] ちょっと特殊なカートリッジにリトル
[00:11:26.320] サウンドDJというけめ
[00:11:32.279] のお店できそうだなあクさんこんちは
[00:11:35.480] こんにちはDJのあのこの中のチップで音
[00:11:38.720] が曲が作れるっていうやつでこれはもう
[00:11:40.320] 作曲機ですねこれはもうチップチューンが
[00:11:43.200] 作れるっていうこれは作曲器ですこれは
[00:11:45.519] 素晴らしいもを作りましたねまそんな感じ
[00:11:47.639] で今回はじゃあ何をやっていくのともう
[00:11:51.040] すけべ今回はもう何をやっていくんですか
[00:11:54.200] とこちらですドはいこれねさっきも出し
[00:11:55.920] ましたこれがもう何の改造もしてないゲボ
[00:11:57.839] アドバンスですよこれ画暗いよなよう昔
[00:12:01.639] これでやってたと思うわ確かにこれは
[00:12:03.360] スケベの息ねようこれ顔映っとるわお
[00:12:07.279] ちゃまゲほらあらあらあれだ買う
[00:12:10.760] ちゃうここれようこれでやってたと思うわ
[00:12:13.680] マジでな画面真っ暗でこれをまちょっと今
[00:12:16.839] から見せますかいろんなものを買ってき
[00:12:18.600] ましたこれもう揃えるのに何ヶ月かかった
[00:12:20.959] か買ってもらえなかったやつ
[00:12:23.079] だごめんな傷えぐってよ今考えると狂気だ
[00:12:27.160] よな狂気だよようこれでやってたよなでま
[00:12:30.480] まずはこちらえ外装も新しくします見て
[00:12:33.360] くださいこれがね良くてねこれ海外って
[00:12:36.279] すごいんで今こういうの流行っててこう
[00:12:38.000] いうのが売ってんのちゃんとしたこのこの
[00:12:40.720] Zラブズっていうところがこういうの売っ
[00:12:43.560] ててこれがね素晴らしくて
[00:12:46.160] ねピュアホワイトのこれにしました僕は
[00:12:49.079] 今回ピュアホワイトあのゲボアドバンスっ
[00:12:52.519] てホワイト出てるんだけどゲームボーイ
[00:12:55.240] アドバンスのホワイトってオフホワイトな
[00:12:57.160] んよちょっとクリーム色というかこれは
[00:12:58.880] もう真っ白ねピュアホワイトこれ
[00:13:01.560] めちゃくちゃ良くないですかまこれ外装
[00:13:03.320] これに交換しますと外装これに交換します
[00:13:06.079] よゴミ箱必要
[00:13:08.399] だっえっとあとこちょっとま色々あるんだ
[00:13:11.760] けど
[00:13:12.639] 色色白ってマジで200色あコスかそうな
[00:13:16.399] んよねそうなんよねだからこれありがたい
[00:13:18.720] すちょっと色々ありまして
[00:13:20.760] 色々色々ありましてかこいいでし色々あり
[00:13:24.720] まして色々あるんです色々あるんですよん
[00:13:28.920] ねま何回か配信でも説明してるからもう
[00:13:31.079] 聞き飽きたよって人もいる思いますけども
[00:13:33.160] まず装はこれにしますまそれはいいですよ
[00:13:35.320] ね最は3Dプリンタで作ってるのかしら
[00:13:38.920] いや3Dこれそうそうそうスペースマこれ
[00:13:42.120] 中国のアリエクスプレスとか安い通販だと
[00:13:45.240] 3dプリンターで作って安いやつしか出
[00:13:47.160] ないんだけどこういうちゃんとした
[00:13:48.240] メーカーあのアメリカのメーカーはあの
[00:13:51.320] ちゃんと金型に流し込んで作ってるから
[00:13:53.320] マジで質感もやばい質もやばい全部入れる
[00:13:57.040] んだよ全部入れるんだよみにこれが前作っ
[00:13:59.880] た前作ったえこれこのゲーボアドバンスの
[00:14:04.279] これ昔のこれ前のやつこれなんかもねこれ
[00:14:06.600] このマはガチガチにぴったりじゃんマット
[00:14:09.120] マットブラックのマットブラックのこの
[00:14:11.560] シェルなんだけどこれもう触り心地がもう
[00:14:13.839] すごいのよしっとりしてしっとりして
[00:14:16.120] るっていうかなんつうかすごいこの
[00:14:18.199] ツルツルじゃなくてなんつうのこのマット
[00:14:19.920] ブラックな質感これとかもねライトいるん
[00:14:22.480] じゃないの素晴らしいのよこれとかもま
[00:14:24.839] こんな感じであのしりかあのそうしっとり
[00:14:28.120] ですしっとりこれもね触り心地かなりいい
[00:14:31.040] みたいなんでサラっとしてるマットとそう
[00:14:33.959] そうそうそうそうあの安っぽいやつじゃ
[00:14:36.040] ないんですよで何をしますかとままず見て
[00:14:38.560] くださいよあれあとなんだちゃまゲーの
[00:14:40.519] 手汗つきちゃまゲーの手汗つきですそれは
[00:14:43.519] しょうがないねそれはしょうが
[00:14:45.519] ないあれ可愛いおててだね笑あちょっと待
[00:14:49.040] 俺さあれ俺さ液晶どこやったアーがいいな
[00:14:54.079] あれわ液晶ってさここ中しまったんでし
[00:14:56.279] たっけあしまったよかったびっくりした
[00:15:00.399] まずはま大きな改造と言ったらクパンあの
[00:15:04.360] 大きな改造と言ったらそうだねクリーム
[00:15:06.440] パンの手大きな改造と言ったらま液晶交換
[00:15:08.959] なわけですよ液晶交換何するのとま見て
[00:15:11.839] くださいこちらでございますクパンまた
[00:15:14.120] これねファニープレイングっていう
[00:15:15.519] メーカーが出してるゲームアドバンス専用
[00:15:17.199] の
[00:15:17.880] あのIPSショなこれさめちゃくちゃ
[00:15:20.360] 可愛くないゲームボーイのカセットに入っ
[00:15:22.199] てんだよでっかいでっかいゲームボーイの
[00:15:24.519] カセットに入ってのめっちゃ可愛くない
[00:15:26.440] ですか
[00:15:27.959] これ可愛いよねこれこれ
[00:15:31.399] に確かにめちゃめちゃ可愛いよねほんまや
[00:15:35.120] ほらこれが液晶ですねこれがIPS液晶
[00:15:39.360] IPS液晶ってのはもうiPhoneとか
[00:15:41.399] と同じぐらいの液晶でこれがね良くてね
[00:15:45.560] これが良くてねこれも白なんですよこの
[00:15:48.959] 周りがめちゃめちゃ可愛いでしょこれ
[00:15:51.959] めっちゃ可愛いくないが可いまそりそうな
[00:15:54.160] んだけどまこいつに乗せ替えます要は要は
[00:15:56.199] こういうことや
[00:15:57.399] なこうなるわもうこの時点でめちゃめちゃ
[00:16:00.959] 可愛いじゃないですかめちゃめちゃ可愛い
[00:16:03.560] じゃないですかこの時点でもう楽しみです
[00:16:05.880] ね
[00:16:07.040] れたはいはいランディおれちゃん今日はえ
[00:16:11.519] 冬の自由研究やっていきます冬の自由研究
[00:16:14.120] ねどうもこんばんはジマゲームですけども
[00:16:17.079] えメカニックちゃメカニックちゃわこ久々
[00:16:20.560] に聞いたわこ枠取り
[00:16:24.000] おういいですねまちょっと色々ね大変なの
[00:16:27.440] この配とかねこのハダ付けとかが必要だ
[00:16:30.240] からマジでねちょっと今回はね先々強調と
[00:16:33.199] してますけどもねまこれも入れ入れます
[00:16:35.720] まあまあ画面はまずこうなりますよとで
[00:16:38.000] もちろんもちろんいくらこちょっと値段い
[00:16:41.360] たらみんな引くから言わないただ
[00:16:43.519] nendoSWITCHは買えるってやば
[00:16:45.680] そうや主元気えぐいえぐいよう主元気どう
[00:16:49.680] もう主です
[00:16:52.160] あのnendoSWITCHなんか有に
[00:16:54.399] 変えますあのこれがせこれがえっとゲーム
[00:16:58.399] ボのえっとタイプC充電だなタイプC電
[00:17:02.399] レベルかスイッチなんかじゃない下し
[00:17:04.400] プレステ5変えちゃったかもしれない待俺
[00:17:07.079] もこれ何ヶ月もかけてちょっとずつ買っ
[00:17:08.799] てるから総額いくらか考えてないけど結構
[00:17:11.199] してるあのこれがですねあのUSB
[00:17:15.720] TypeC充電なんすよこれはここに要は
[00:17:19.480] ここにタイプCをさしてえ充電ができる
[00:17:22.160] ようになるというねこんな感じのこれとか
[00:17:24.160] もねありましてあとはえっとこれですね
[00:17:28.280] これがなのかとこれなんやねんとこれがま
[00:17:32.039] ちょっとフレキシブルボードになってて
[00:17:34.360] 修理改造点開くかこれがですねあのボタン
[00:17:38.320] を光らせるためのえそういうことです
[00:17:41.400] ボタンを光らせるためのMODなんですね
[00:17:43.679] えっと前作ったこれなんかはえボタンが
[00:17:46.600] 光るんですよこれこういう風にボタンが
[00:17:48.240] 光るようになってるんだけどこれがですね
[00:17:50.480] 当時これね昔ちょっと前に作ったやつだ
[00:17:52.640] からこれが何かっていうとこれねあのもう
[00:17:56.360] このボードをこれこれ同じようなのが入っ
[00:17:58.400] てんだけどこはもう1しか選べなかったの
[00:18:01.240] よもうかいあの1色しか選べない青い基を
[00:18:04.640] 買ったら青に光るしかなかったのね結構
[00:18:06.640] レアじゃないこれ結構これも大変だった手
[00:18:09.480] に入れんのこれ青にしかひかんないんだ
[00:18:11.720] けどこれ今最新のやつはRGB要はさ俺の
[00:18:14.799] 部屋みたいにこうふわーってさ虹色に
[00:18:17.720] できるのよこれにしますこれ最高ですこれ
[00:18:20.200] 最高これ楽しみですねめちゃめちゃ綺麗に
[00:18:21.880] 光るこれはとかとかとかとかとかとかとか
[00:18:25.760] でこれこれもうこれとか言われてもわから
[00:18:28.400] ん
[00:18:30.919] んですかこれはいこれゲームクリーン
[00:18:33.280] アンプこれが何なのかと言いますとですね
[00:18:35.200] まこれもちょっとねフレキシブル基盤で
[00:18:37.000] これを溶接で止めてくんだ
[00:18:39.360] けどこれが何かという
[00:18:42.880] と何かと言います
[00:18:47.039] とこれなんですけどなんやねんとこれなん
[00:18:50.679] やとこれを基につけることによってごめん
[00:18:54.960] ちょっとあれだピンクにしたら
[00:18:59.480] をるねこれをけるとねあのゲムアドバンス
[00:19:03.320] の音音がえ500%になりますあの要は5
[00:19:09.360] 倍もできる素敵素でしょ素敵な男の子だよ
[00:19:13.159] ねんで持ってないんだろうねあのこれあの
[00:19:17.559] 音がバカでかくなると超でかい音が出せる
[00:19:20.000] ようになるそうこれはめちゃくちゃいい
[00:19:22.480] ですよこれもみ込んでいきたいなと爆発し
[00:19:27.720] そういシリーて音ちっちゃ出しちゃうから
[00:19:30.760] だよ彼女できない不思議それはあるそれは
[00:19:34.440] それはそうまボタンはだから光らせるんで
[00:19:37.240] ボタン類は全部透明を買いましたこれ全部
[00:19:39.320] ボタン類ねとかな訓練を受けているので冬
[00:19:43.360] でも素で触ってい
[00:19:45.600] ますあま確かに静電機やばいね静電機
[00:19:48.600] やばいけどまどうにかなるでしょ別にこれ
[00:19:50.600] が透明のボタン類でございます透明の
[00:19:53.600] ボタンこういうのもやってますとはいん
[00:19:58.960] 感じかのあはままたまた細かいのが
[00:20:01.880] ちょっとちょくちょく色々あってまこう
[00:20:03.799] いうのもつけるんだけどまこういうのの
[00:20:05.280] 説明はまあまあままいいとしてまこういう
[00:20:07.240] のも色々ありますよねま色々なんかける
[00:20:09.960] ものがたくさんあるエジソンこんばんは
[00:20:12.720] 今日もやりますよ愛も変わらずねでこれ
[00:20:16.039] これ何か分かるみんなこれなんやねんと
[00:20:19.039] これ死じゃないねんこれなんやねんとこれ
[00:20:22.080] 一体何でしょうかこれは皆さんご存じLR
[00:20:26.240] ボタンなんです
[00:20:27.640] よLボタンこれ何とあなんかカメラがあけ
[00:20:33.480] おめこよろああけことよこれねLRボタン
[00:20:36.799] の中身なんだけどLR
[00:20:39.280] ボタンなんか変えてどうすんねんて思うか
[00:20:42.000] もしれないけどこれが素晴らしくてね
[00:20:44.440] クリッキートリガーって言ってLRボタン
[00:20:46.960] の押し心地が全然変わんのよこれこのこれ
[00:20:51.280] カチカチ音聞こえるめちゃめちゃ気持ち
[00:20:53.520] いいのこのクリック感これにしますこれに
[00:20:56.919] 変えるというそうそうそうそうもう
[00:21:00.200] もりもりよもりもり甘消しておでと
[00:21:03.240] もりもりこれにちょっと甘消してめちゃ
[00:21:05.280] 良いですねめちゃめちゃいいでしょこれに
[00:21:06.840] も変えますとまこんな感じでま本体のに
[00:21:10.559] つけて真につつけるのちょっとな本体の
[00:21:14.000] 改造はそんな感じよあとですねそちゃんと
[00:21:16.480] 判しないと折れるから気をつけてあ大丈夫
[00:21:19.080] 大丈夫大丈夫でこれもちろんガラス
[00:21:21.200] フィルムも貼りますよとはいはいはいでね
[00:21:24.360] あとじゃあ何をするのかとこれなんですよ
[00:21:27.600] 問題は
[00:21:30.320] これねこれがなんやと何これとこれが
[00:21:35.320] すごくてねこれがね基にダにそうもうマジ
[00:21:40.440] で気をつつけるもうマジで気をつつける
[00:21:42.520] あのHDMIドッグなわけですよ
[00:21:45.679] nendoSWITCHでいうあのテレビ
[00:21:47.200] につげるあれねここにこうやって刺すと
[00:21:50.279] こっからHDMIでテレビに出るよって
[00:21:52.520] いうやつねこれ素晴らしいでしょで
[00:21:55.400] スーパーファミコンのコントローラーが
[00:21:57.440] させるよっていうなんだけどこのスーパー
[00:21:59.440] ファミコンのコントローラーをさして
[00:22:01.039] テレビの前に置いてこうやってやるみたい
[00:22:03.240] なゲームのやつなんだけどこれにですね僕
[00:22:05.240] はですね今回ねまた1個ちょっと考えまし
[00:22:08.240] てこれでございますこれ知ってるかな皆
[00:22:10.799] さんこれこれねスーパーファミコン本体に
[00:22:14.159] ぶっ殺してプレステ4とかプレステ3とか
[00:22:16.600] あのワイアレスのコントローラーを使える
[00:22:19.279] ようにするっていうレシーバーなんだよ
[00:22:20.919] それをここにぶしてここのねあのこれに
[00:22:24.840] ぶっしてこいつでできるようにしたらもう
[00:22:28.559] 最強なんじゃないかととんでもないもんが
[00:22:30.919] できるよねこれってねていう本よりでかい
[00:22:32.840] コントローラー使うそうだってテレビに
[00:22:35.000] 置いてやるんだもんだってテレビって本体
[00:22:37.760] に対して本体に対してこうやってやるん
[00:22:39.840] じゃなくてテレビに映してやるわけだから
[00:22:42.000] 指可い指可愛いもうなんか吹きシートつい
[00:22:45.360] てお得そうですふきふきシートついてお得
[00:22:47.600] ですまそうそんな感じで色々やっていき
[00:22:49.159] ますわねよろしくお願いしますとちょっと
[00:22:51.880] 楽しみですね久々だなこの改造配信な
[00:22:55.679] よいしょよいしょよいしょよいしょま
[00:22:57.640] そんな感じでござ
[00:22:59.520] のグってさ中身結構スカスカいやこれがだ
[00:23:03.320] からかなりぎになると思うんだよねかなり
[00:23:06.360] ぎになると思うそれを何名様にプレゼント
[00:23:09.600] なんですか絶対プレゼントしませんすい
[00:23:13.039] ませんけど絶対にといい勝まそんな感じで
[00:23:16.000] えまずはこいつの分解から行こうかな要は
[00:23:19.840] こいつ使うのって基盤だけなんで基盤を
[00:23:23.200] 取り出さなきゃいけないわけですよまずは
[00:23:26.279] ねスモラ
[00:23:28.960] スモールライトじゃあ意味ないんですよ
[00:23:31.200] かなりきつそうだなかなりきつそうだねで
[00:23:34.039] もね不可能じゃないんだよやってる人いる
[00:23:36.640] からやってる人いるからね最初の工程が
[00:23:39.880] 奇問ままずはばらしますよとうんばらし
[00:23:43.840] ますばらしますいつも例のね
[00:23:49.000] よいしょこれがねゲームアドバンスバラす
[00:23:51.720] のって普通のネジじゃないんだよね三角
[00:23:54.039] ネジって言って三股なんだよ普通に分解
[00:23:56.720] できないようになってるのでよく見るまあ
[00:23:59.440] ねこの辺は僕も何回もやってますからえ
[00:24:03.000] これだなこれでこのねワジネジって言うん
[00:24:05.559] だねこれワジネジとまカメラ積んないと
[00:24:07.240] 思うけど先っぽが3つまたになってる
[00:24:09.320] ゲームボーイ改造今年はしたいぜひやって
[00:24:11.480] くれわかんないことだったらんでも聞いて
[00:24:12.720] いちゃんこんばんは堂ハワイネジが主流
[00:24:14.960] そうワイネジじゃないと開けらんないん
[00:24:16.600] です
[00:24:17.440] ね早速ばらしていきますよでもうネジも
[00:24:21.760] 今回俺新しくするからもう別にこれ取っ
[00:24:23.919] とかなくていいんだよなあけあけあれいは
[00:24:26.840] あけおあけおかいろは俺の配信あけおあけ
[00:24:31.960] おかもあけおじゃんでこちょこちょし
[00:24:34.480] たろうか筆あこの筆これ掃除用のやつね
[00:24:39.039] 実家帰ってて全然あそういうことねもう
[00:24:41.440] 帰ってきたんだお疲れ
[00:24:43.120] ちゃん下手にプラスだと子供に開けられ
[00:24:46.399] かねないからそうそうそうそうそうそう
[00:24:48.159] フォロワありがとうございますえ
[00:24:50.360] ちるチルさんどうもこんばんはあチさん
[00:24:54.480] チルさんってなんか昨日見たかないやあお
[00:24:57.679] 帰りお帰りお帰りお帰り今日はまあ今年も
[00:25:01.960] ねまったりやってきますやっぱレトロなよ
