[00:00:05.080] 1個メ会館ハリボテクレイが済むハリボテ
[00:04:32.639] うん起こしてくださいねうん他の皆さんも
[00:04:35.840] なんか俺にメッセージとか7時とか無理だ
[00:04:39.639] 俺7時ぐらいまでどう配信やるやろこれ
[00:04:41.800] いやもう今日ちょっとこの土日でこのね
[00:04:44.280] ポケットモンスターブラック2えクリアし
[00:04:48.440] たいなと思っとるんですよ思とるん
[00:04:52.240] ですなの
[00:04:54.000] で待ってなんか変な音し
[00:04:56.280] [音楽]
[00:04:57.720] ないじじて聞こえる
[00:05:01.520] みんな聞こえてるこれじじじじじって変な
[00:05:06.680] 音変な音するするよねダメだなやっぱな
[00:05:11.600] 聞こえるよねダメっすねちょ待っちょっと
[00:05:14.080] 待ってちょっと待っ
[00:05:17.479] て
[00:05:23.199] 水槽だめだねやこもうダメだうるさくて
[00:05:26.919] これ使えねえな
[00:05:31.280] 水槽じゃないじゃないじゃないじゃない
[00:05:32.600] あの球体ディスプレイがダメだもうぶっ
[00:05:34.880] ちゃってみたいな音だよねちゃん
[00:05:39.440] おはようなんかごめんなゆゆ次も頑張って
[00:05:43.960] 取ろう1個目なんか煮えきらない感じに
[00:05:47.759] なっちゃったね今日なんかせっかく取った
[00:05:49.479] の
[00:05:50.759] にせっかく取ったの
[00:05:53.280] になんかえきらない感じになっちゃった
[00:05:55.800] なんかなんかすいませ
[00:05:58.639] んきますよよろしくお願いしますごめんね
[00:06:03.280] はいどうもこんばんはるのやめてねいどう
[00:06:05.560] もこんばんはチバゲームですはいどうも
[00:06:07.800] 今日もやってきますよ今日もえ気が済む
[00:06:11.120] ような男じゃないそうだよなこれから
[00:06:12.880] ずっと取るんだもんねまそんな感じで
[00:06:14.800] えっとポケットモンスターダイヤモンド
[00:06:17.120] じゃないやえっとブラック2今日もこいも
[00:06:21.319] やらせていただきますもうちょっともう
[00:06:23.039] 髪の毛伸び伸びで気持ち悪いわ男だからな
[00:06:25.800] も理由そうだなまそんな感じでやります
[00:06:27.759] から今日クリアまで行けたら乗るとは思わ
[00:06:30.319] なかったいいねいいですねいやそのね配信
[00:06:33.039] 開始直完全にメソドは確立したよたまたま
[00:06:37.759] だろたまたまだしたまたまだし多分周りの
[00:06:42.479] リスナーも気使ってるよお前切れるもん
[00:06:44.720] だって取れなかっ
[00:06:47.199] たらだからお前ランディがめちゃめちゃ
[00:06:49.560] 平山にしてんじゃねえか
[00:06:51.759] よ実力で取り来いよ実力で笑笑実力で取り
[00:06:56.199] に来いよお前もの1コ見たくて早くに来て
[00:07:01.240] め神長めだよめちゃめちゃ長めまあんな
[00:07:04.240] 感じでやってきますよろしくお願いし
[00:07:08.960] ます今日も今日とてポケットモンスター
[00:07:13.520] ブラック2やっていきますからよろしくお
[00:07:15.599] 願いしますねま最終回にはならんやろうな
[00:07:18.360] 多分なカググったろカシググった
[00:07:22.319] ねカシググった今日で一番強いのはちの旅
[00:07:26.759] だと思ってるの強いとこは別にに1コメ
[00:07:30.000] 取ろうとしてないところだねすすっときて
[00:07:32.240] さらっときてすって取ってすっていなく
[00:07:34.080] なるからそういうところなんか必死になっ
[00:07:35.879] てないところがやっぱ余裕があってあマ
[00:07:38.639] さんこんばんはあみめだと思ってくれこの
[00:07:42.639] オープニングもま飛ばすけどなまあ飛ばす
[00:07:44.759] けどなこんなポケモン出てきてないけど
[00:07:47.879] いつ出てくるんだ続きから始め
[00:07:51.599] ます今日もやらせていただく
[00:07:56.440] ぜどんどこまで進んだんでしたっけ
[00:08:00.000] ちょっと待って俺バッチなん個
[00:08:02.039] だ今日はジム制覇ってとこだないや行き
[00:08:05.599] たいけどねやっぱレベルがねレベルが
[00:08:08.560] 足りんのよな多分なあと2つでしょジム
[00:08:14.560] バッチレベルがきだってもうさ2パートさ
[00:08:17.720] 5パート5とパート6どっちもレベル上げ
[00:08:20.120] で終わってるからね前回これアカがレベル
[00:08:23.240] 50になってまっちゃんができたんだまっ
[00:08:25.360] ちゃん
[00:08:26.319] がまっちゃんができたらいいんだけど
[00:08:30.960] こいつレベルアップで技覚えないっていう
[00:08:33.159] まさかのね進化させちゃったから
[00:08:37.360] ねまま100話にうんそうだなまでもこの
[00:08:41.599] 辺ちょボスちょっと行きなしなんだ
[00:08:45.320] けど行きなしなんだけど行っていい
[00:08:49.120] ボス行けねえか
[00:08:53.000] なちょっと様子見ちょっとジムトレーナー
[00:08:55.800] だけでも見てくるわさすがに負けたりはし
[00:08:58.519] ないと思うんだよね
[00:09:02.560] ちょっと行ってみるかいきなり
[00:09:04.800] なうわあこれやばそうな気がするけど
[00:09:09.480] ねちょっと行ってみますかま負けはしない
[00:09:13.120] でしまさか
[00:09:15.040] な何このベテラントレーナー
[00:09:19.760] 竜おんどやたけえレベル46
[00:09:25.880] だ46だってさから行けそう全然どうだ
[00:09:31.600] レベル100話に負けてるぜ100話に
[00:09:35.320] 負けてる
[00:09:37.079] よこれさレビ取ってくるべねえねえね冷凍
[00:09:40.440] ビームってどこでもらえんのわリマだリマ
[00:09:44.480] しやがるこいつ攻撃と素早さが上が
[00:09:47.640] るっていうね地獄みたいに強え
[00:09:51.040] 技レビってどこでもらえんだよレビのあの
[00:09:54.880] 冷凍ビームの技マシン絶対必要だと思うな
[00:10:01.010] [音楽]
[00:10:03.279] くまくまくまどうしようくまに経験値分け
[00:10:07.640] てっからレベル上がんねえんだろうなこれ
[00:10:10.320] な右は攻撃重視防御重視さっきのドラゴン
[00:10:14.480] の頭に戻りあはいはいはいはいなるほどね
[00:10:17.040] これ
[00:10:17.720] ではいはいはいはいこれ
[00:10:20.800] [音楽]
[00:10:23.160] でこれこの
[00:10:25.959] まんまこの
[00:10:27.800] まんままま行くべきかどうぞ行くも行く
[00:10:31.640] もう今日は行くわ今日は行きましょうお
[00:10:34.720] どうなってんだこれすごいなちょっと今日
[00:10:37.760] は申し訳ねえけどがっつり進めたいんで見
[00:10:43.000] てくださいこの彩かのHPの高さでもな
[00:10:46.639] 見るあたりに冷凍ビームぐらい覚えさせる
[00:10:48.800] べきだと思うんだよ
[00:10:50.170] [音楽]
[00:10:58.240] な
[00:11:01.040] トレーナー防御重視って変わんねえじゃん
[00:11:06.480] なピース
[00:11:09.240] ピースパーカーの絵になって集中できない
[00:11:13.160] 長くて太郎みたいになって髪長すぎるよ
[00:11:16.440] マジでもう
[00:11:17.800] うわ何これ
[00:11:22.279] 身代わりやめろど俺珍しいでしょ今日
[00:11:26.440] こんな
[00:11:27.240] パーカー虹色パーカー
[00:11:31.370] [音楽]
[00:11:33.079] ですうーんま一発で落ちるけどね
[00:11:37.360] ありがとうありがとうのサイトで買った例
[00:11:40.360] のサイトって何例のサイトってゲーミング
[00:11:42.399] デブゲーミングデブですそうゲーミング
[00:11:44.760] デブ一時期本当に俺ゲーミングデブって
[00:11:47.519] 名乗ってた時あったから
[00:11:50.279] なまこれもステイシックだよステイシック
[00:11:53.200] コ変さんこんばんはそう言われたかった
[00:11:55.880] やろそう言われたかったうんそう言われ
[00:11:57.519] たかった
[00:12:02.480] ダブル落ちないかな大丈夫か
[00:12:07.600] なアイコン変わったよ人生さんこんばんは
[00:12:10.200] アイコン変わったそうそうそうち前に一ち
[00:12:13.639] 前に潜在写真ですよ一ち前
[00:12:16.800] にピースして笑っ
[00:12:19.839] てもんもっんって言うね結局あっちゃんの
[00:12:24.560] 俺Line返してねえからんだね結ぶ邪魔
[00:12:28.320] だから
[00:12:32.480] 超笑顔で変えてよ今ちょっとまだ今
[00:12:36.440] ちょっとまだ顔の筋肉が凝り固まってる
[00:12:39.079] 配信始まったばっかだから配信始まって2
[00:12:42.079] 時間ぐらいしないとエンジかかってこね
[00:12:43.519] からなちゃまゲームはな配信始まって2
[00:12:46.480] 時間ぐらい経ってきたら超笑顔なんだな
[00:12:49.079] 笑え笑え笑えないちょっとカカラオが硬い
[00:12:52.639] 邪魔どすんの邪魔全然笑えねえ
[00:12:56.880] 今日今日笑えないっすねえちょっと待って
[00:13:01.120] おいしい水ちゃう
[00:13:02.800] えースロースターターもいいとこよチマ
[00:13:06.240] ゲームは本当
[00:13:09.440] にゲームはスロースターターだからな
[00:13:12.120] エンジンなかなかかかってこないからおん
[00:13:14.880] ちゃん
[00:13:15.720] こんばんは様もう今日は
[00:13:19.279] ボス超絶バッチ獲得
[00:13:24.399] 会超絶闘いサあざ
[00:13:29.639] ぐサブスクしてくれたからサブスクして
[00:13:33.199] くれたからありがとうございますあ違う
[00:13:35.880] ボボが違うボボがってくれ
[00:13:37.870] [音楽]
[00:13:39.040] ありがとう
[00:13:40.959] ありがとうボボ
[00:13:43.639] ありがとうボボのボボがスくれ
[00:13:47.639] たありがとうございますよかったねり
[00:13:51.160] ちゃんね早いの
[00:13:55.079] よいすぎるだろ
[00:14:01.000] チマゲーム可愛すぎてツイートしろお前
[00:14:03.839] らこれをスクショして
[00:14:11.120] ハッタ自分で言うの萎えるわなんで
[00:14:14.079] いきなり冷たいなお前いきなり冷自分で
[00:14:16.360] 言うだろ可愛いだろうが可愛いだろうが
[00:14:21.560] ちゃまゲームハッシュタグゲーム可愛すぎ
[00:14:24.279] でツイートして
[00:14:26.959] くださいお前が作ってけブームをああ待っ
[00:14:30.680] てこれは耐えるよね一発は耐えるよね
[00:14:34.680] うふふこれちょっとどうする入れ替える
[00:14:38.199] いや行ける落ちるチゲーム可いすぎチマ
[00:14:40.839] ゲームそそうそうそうそう細川高しじゃ
[00:14:42.480] ねえよ前髪長すぎるだろこれチルアウト
[00:14:46.000] 残しチルアウト残しって言うな妖怪
[00:14:48.279] チルアウト残し前髪これこうやってやって
[00:14:51.320] なかったらもうここうだよもう目が悪く
[00:14:53.759] なっちゃうよ優しいおばあちゃん
[00:14:57.079] みたいおばあちゃんみたいなのお前な笑笑
[00:15:00.839] おばあちゃんみたいでか優優しい
[00:15:04.800] なんか優しさに触れたわ
[00:15:08.360] 今これさ神倉も持ちですかねこれさ
[00:15:14.480] ちょっとさ待ってわかった俺1回帰る1回
[00:15:17.079] 帰らせてくれ吹雪のさ技マシン買ってきて
[00:15:22.120] いい覚えさせるわミヒまるに配送配送じゃ
[00:15:26.399] ねえよ配送じゃねえミヒまるにちょっと俺
[00:15:29.839] 吹雪覚えさせる何かあった時のために絶対
[00:15:33.240] 落とせるためになちょ不安不安がちょっと
[00:15:36.519] 募ってます今俺はえっとねいや無理無理
[00:15:40.920] 無理無理いや行けると思う
[00:15:42.920] けどま安全には安全に越したことない
[00:15:47.199] でしょどこに売ってたっけな忘れちゃった
[00:15:50.319] よ本当は冷凍ビームがいいんだ
[00:15:53.600] けど本当はレビがいいんだけど
[00:15:56.839] ヘイDJねあれ違うここじゃないなあれ
[00:16:00.720] どこに売ってたんだっけなどっかに吹雪
[00:16:04.079] 売ってたの7万円で売ってたんだよ
[00:16:06.920] な7万で売ってた
[00:16:11.160] からちょっと探して
[00:16:16.160] くるどこだったっけなだっけと思ったら気
[00:16:20.519] そう気気
[00:16:24.759] 気ちょっとそうね
[00:16:29.079] この辺に売ってたか
[00:16:31.319] な覚えてねえ
[00:16:35.639] な次のジムまでにはまいないだろうな
[00:16:39.319] そんなことねえだろうな売ってねえ
[00:16:42.399] しねこれどこに売ってっか教えて
[00:16:46.360] Rないない大丈夫だ大丈夫大丈夫大丈夫
[00:16:49.160] そんな大丈夫だよ言うてレベル45よ
[00:16:52.600] そんな弱くねえからごめちょ探すねごめん
[00:16:55.959] 探させ
[00:16:57.279] てあれどこに売ったかな買っとくべきだっ
[00:17:00.880] たねシティのデパートに売ってるよも全然
[00:17:04.360] 違うとこゲームが
[00:17:08.799] トゥレてじゃんBGMなここかあままここ
[00:17:14.400] だ違うじゃん高5万もすんのかこれでも
[00:17:18.839] 高い
[00:17:20.959] のえ
[00:17:25.520] どここれ1個1個探してまうの辛いな声
[00:17:29.360] じゃなくて街のBGMも行ける街のBGM
[00:17:31.880] 行けるよ街のBGM言ってくれたら全部
[00:17:34.200] いけるよ
[00:17:36.640] えー昇竜シじゃないだろライモンでもない
[00:17:40.240] よ
[00:17:41.000] なヤマジでも絶対ないんこの辺
[00:17:46.680] [音楽]
[00:17:53.760] かナスティた知らん何シティそれ何のやつ
[00:17:59.559] だよ
[00:18:00.000] [音楽]
[00:18:01.720] それお買物ですじゃ違うか違うなあそんな
[00:18:06.200] のいいからちょっとどこに売ってるか
[00:18:07.919] ちょっと調べてきてよどこに売ってたっ
[00:18:12.880] けま1回見たんだよどっかで
[00:18:19.200] なかめクスに出てくるわかん
[00:18:25.640] ねえそれわかんねえわシティには売って
[00:18:29.679] なかったと思うんだよなこんな序盤の街
[00:18:32.600] じゃないよな多分
[00:18:38.559] な早く髪切
[00:18:41.400] て早く髪切行きてよまでイズイレブン見て
[00:18:45.679] たあそうなのイナズイレブン何今
[00:18:47.720] YouTubeでやってんのうわ待って
[00:18:50.960] こんなの売ってん
[00:18:53.010] [音楽]
[00:18:54.600] の電池派電磁派のあれとかあんだええで
[00:18:59.320] ここもなかったなちゃんと日確認した日
[00:19:03.320] 切れるでしょ切れるもう待ち待ち切れ予約
[00:19:06.280] 日な全回予約俺間違えて言ってるから
[00:19:09.260] [音楽]
[00:19:10.760] ねいやもうだって今日予約した
[00:19:13.840] もんさっきさっき予約した何何何が何
[00:19:19.159] 5500円
[00:19:21.360] って髪切
[00:19:23.679] 値段いくらだっけいやまた来ちゃったここ
[00:19:26.039] じゃねもう
[00:19:30.760] アイパー当ててくれ
[00:19:32.520] アイパー俺明日アパー当ててくっかな私も
[00:19:35.960] 美容室行きたいなね行きたいよね間違え
[00:19:39.480] られるのて相手のミスだとしたら何も言え
[00:19:42.200] ないから最悪のらしいね何最悪の客俺俺俺
[00:19:48.880] 最悪の客な
[00:19:52.440] の山路タウンに売ってたっけ坊主ボないな
[00:19:58.799] がちょっとでもげたら俺坊主にするけど
[00:20:01.520] まだ早い
[00:20:04.840] からここなっがなもう覚えてない
[00:20:09.020] [音楽]
[00:20:10.559] よばっさり切ってくるぜ茶元気
[00:20:16.559] ヘッだべるげるげる俺絶対げると思う将来
[00:20:22.039] 絶対ハゲたと思うで白も多いからわかん
[00:20:24.679] ない白がハゲか
[00:20:27.640] もハゲだろうなすでにちょっとねすでに
[00:20:31.760] ちょっと来てるからうん本当
[00:20:34.320] に吹き寄せシティって言った言ったよねは
[00:20:38.640] どこだ
[00:20:39.760] よハゲ白でハゲでも橋元はハゲの家系だ
[00:20:45.320] からねいや前髪は全然大丈夫だけどツムが
[00:20:50.200] やばい俺俺ツムめちゃめちゃハゲだ
[00:20:52.799] よ俺ツムめちゃめちゃハゲやでうん
[00:20:58.799] みたいになり
[00:21:01.440] そうあのおじいちゃんねあなたは上から私
[00:21:06.880] は前からランディあった時はランディあっ
[00:21:09.440] た時はマジでベジータかと思ったも俺
[00:21:11.559] ベジータなみにこうなってたもんなM字ハ
[00:21:15.440] ゲってレベルじゃねえ
[00:21:17.600] よ笑笑笑笑いやマジマジマジマジマジ
[00:21:21.840] あなたのハゲに狙を決めるのどこだよか
[00:21:26.120] かめタウンって言った
[00:21:28.880] すぎだろいや持ってないって全然持って
[00:21:31.840] ないマジだよえあれちゃまゲとかつっ
[00:21:37.480] てあれちゃまゲとかつってえ誰えランディ
[00:21:41.679] ランディとかえみたいなめちゃはげてるや
[00:21:43.919] ん笑笑お前お前優しあ来た来た来たこれ
[00:21:47.159] これこれこれお前優しそうな顔してんなっ
[00:21:49.600] てなんか砂浜で砂浜でお前ゴミ拾いでもし
[00:21:52.760] てんのかつったもん俺お前なんか砂でゴミ
[00:21:55.159] 拾ってな顔してるって優しい顔してるって
[00:22:00.920] [音楽]
[00:22:02.960] えーじゃ行きます
[00:22:05.919] か
[00:22:07.960] 妥竜シティジムゴミ拾い任せろゴミ拾いし
[00:22:13.279] てそうな顔してたよな顔見て例えられるの
[00:22:15.480] いいな
[00:22:16.230] [音楽]
[00:22:20.159] 笑俺にはめちゃめちゃ自分から話しかけて
[00:22:23.039] きたにそこに一緒いたさんには緊張して
[00:22:25.320] 話しかけらんねとか言ったんだこいつと
[00:22:27.480] 思ってにも緊
[00:22:30.000] よえあれなさんだよねねちゃあれなさんだ
[00:22:34.320] よねそうだよえとかてお前俺には俺には
[00:22:39.840] 自分から話しかけてくはえなんでだよ緊張
[00:22:42.679] しろよお前ら緊張しろよ俺にもえもう
[00:22:46.520] 切り裂くとかいらねんじゃ
[00:22:47.950] [音楽]
[00:22:49.600] ね吹雪覚えてきますわね冷凍ビームって
[00:22:53.400] どっかでもらえねえのかな逆に緊張するの
[00:22:56.559] も理由くらいだよモゆとかなんか本当に
[00:23:00.200] なんかモゆみたいなタイプは緊張したけど
[00:23:03.640] なわ嘘だよどこがだよ全然緊張しなかった
[00:23:06.200] べジ君は抱きしめたくなったけど我慢し
[00:23:09.799] 見知りだから誰にでも緊張しちゃうネット
[00:23:12.960] ネット弁だもんなみ
[00:23:15.799] は実あったらあうああうしか言えない
[00:23:18.880] じゃん俺は遠くから見るだけで話しかけ
[00:23:21.240] ないなんなのお前らなんなのお前らちょ
[00:23:24.919] お前ら話しかける俺にもちゃんと声て動揺
[00:23:29.720] した
[00:23:31.600] 俺いや配信で聞いてんだもんたことあるん
[00:23:35.559] だけどぼちゃんのの真似めちゃくちゃ
[00:23:37.919] 面白い
[00:23:39.480] からでも俺にんの真似わかん本人をわかん
[00:23:43.120] ねえだろやめてこれやな感するこれあれ
[00:23:47.400] ローテーション
[00:23:48.760] バトルうわだるうわめどくせえなんだよ
[00:23:53.720] めんど
[00:23:54.840] くさあららららめんどくせえことやってく
[00:23:57.520] んだこいつ
[00:24:01.320] まあまあまこの3体だったらまあまあまあ
[00:24:04.559] ロテするべえよロテそうだ
[00:24:07.720] ねいやローテするロテ
[00:24:10.720] するあれこれローテーションってできない
[00:24:13.400] んだっけ
[00:24:17.640] きお子供を立にすんのかお前らおい子供を
[00:24:22.039] 立にするなお前かわいそうにはいはい一発
[00:24:28.559] 笑笑子供盾にした
[00:24:32.159] なあこれ吹雪って全体攻撃じゃないんだっ
[00:24:35.880] け
[00:24:36.799] かねうわ当たんないよ
[00:24:40.039] ほら吹雪は命中70なんすよ威力120の
[00:24:43.919] 代わりになかなか当たんないんだな70%
[00:24:47.120] ってのは
[00:24:49.720] なただドラゴンには氷タイプが有効です
[00:24:52.679] からねなら全体に当たるねローテーション
[00:24:55.480] バトルとトリプルバトルってまだ違うんだ
[00:24:57.799] な
[00:24:59.940] [音楽]
[00:25:02.120] 全然ローテーションしないバトルこっち側
[00:25:05.600] もうこっち側もうこれままたこれPP回復
[00:25:08.919] 時に戻るからねわ強え耐えるのこれクリム
[00:25:14.320] ガンが怖いねなんか化け物みたいな顔し
[00:25:16.279] てるからなんでこいつ顔顔だけこんな青い
[00:25:19.200] の赤い
[00:25:20.640] のなんでそんな2回も攻撃できんだよお前
[00:25:24.039] えやめてね
[00:25:27.440] [音楽]
[00:25:29.640] ああ終わったはいもう今日終わりもう
[00:25:31.919] ちょっともうもうちょっと今日もやめよ
[00:25:34.399] もうちょっとも近ゲムやんないもう無理だ
[00:25:36.279] わえちょっともう無理だろこれ
[00:25:39.880] もうなんで怖んだほらなんでこうなんだよ
[00:25:46.960] ざんなよ強すぎんだ
[00:25:49.720] よおい強すぎんだろマジ
[00:25:53.919] で嘘だろこれ
[00:25:59.840] 邪魔どうすんのいやマジでどうすんだよ
[00:26:02.399] これすんの邪魔どうすんのうだろえ当てた
[00:26:09.799] 気分ちゃんの言う
[00:26:12.120] 通りえマジやばいじゃんどうすんだよ
[00:26:18.360] これはあしかもあやかちゃんが死んだのか
[00:26:22.840] 笑えちゃあやかじゃない
[00:26:25.640] よそうミヒだよミヒヒーペリッヒー
[00:26:30.320] ペリッえちょっとどうするこれちなみに
[00:26:33.760] リベンジは優先度マイナ4だから普通の技
[00:26:36.919] 使ってたら4でどこと優先とマナ4とか
[00:26:39.720] おい気持ち悪よくわかんない言やがって何
[00:26:41.679] 言ってんだ
[00:26:42.370] [音楽]
[00:26:49.679] お前多分目の秘繰り返されるのちょっと
[00:26:53.840] また俺今日レベル上げしなきゃなんねえ
[00:26:56.120] じゃんマジかよ
[00:26:59.440] マジかよこれどうすん
[00:27:03.279] だえどうすんのこれマジで終わりじゃねえ
[00:27:07.120] かよが56した俺がヒント出したんだぞ何
[00:27:12.559] しなせいやこれまずいよこれどうする
[00:27:18.620] [音楽]
[00:27:23.440] のきゃこれまずいぞ
[00:27:27.980] [音楽]
[00:27:29.600] え
[00:27:31.399] もうあすごいビだ20
[00:27:39.200] すうえちょっと待っ
[00:27:41.410] [音楽]
[00:27:44.559] ていやまずいって死ぬのは急所当たってた
[00:27:50.600] もんだってそんなのわからんやんどう
[00:27:54.000] しようもないじゃないですかこれ
[00:27:58.840] いやきつい
[00:28:01.760] ねもレベル上げるのも考えにれ
[00:28:06.120] と言うのは簡単なんですよそういう風
[00:28:11.000] に言うのは簡単なんです急所も考えろとか
[00:28:16.039] ねああだとかこうだとか
[00:28:18.840] ねのもうるせえ
[00:28:22.279] なうるせえんだ
[00:28:25.240] ようるせえんだよ
[00:28:31.279] おどちくしはこれどうするんだよマジ
[00:28:38.200] でいやこれクリムガ落さんとまずいと
[00:28:42.279] 思ういややばいよこれなんて始めちゃった
[00:28:46.880] んだろなんなんだろうな吹雪あったらここ
[00:28:49.600] 一発だったのになこっちからやっとけば
[00:28:51.120] いいだったな
[00:28:59.760] いや半分行かねえもんなリちゃんに抜かれ
[00:29:03.279] たりしてな笑笑ゲーム違うからねうそっち
[00:29:11.159] 狙う強くないちょっと待ってよ普通
[00:29:18.480] だてもうむずすぎるだろこの
[00:29:24.080] ゲームやまずい気がするまっちゃん死ぬん
[00:29:27.399] じゃないのこ
[00:29:28.600] [音楽]
[00:29:30.600] いやまっちゃん落ちるよね
[00:29:34.120] 多分も入れ替えるポケモンいねえ
[00:29:37.120] ぞ
[00:29:38.760] 行ったらくそっちゃん
[00:29:43.080] 降りろこれさアイテム使ったらさ全部の
[00:29:47.480] こっちのターン全部飛ぶの
[00:29:51.799] 交番あなるほどあーなるほどねあじゃあ
[00:29:55.760] だったらこれでいいよだったらいい
[00:30:02.000] 危ねえ
[00:30:05.360] 危ねえいやちょっと待って落ちてるが悪い
[00:30:09.080] の引き寄せやすいこれ以上死なないように
[00:30:12.080] マジでわクソ詰んでるこいつえ待ってやば
[00:30:14.399] いっ
[00:30:18.799] ていやまずいなこのタイミングでこれは
[00:30:22.360] やば今日進めようと思ったのにこれ進まん
[00:30:24.159] ぞ
[00:30:25.120] 多分また水タイプ作んなきゃいけないよね
[00:30:28.200] だってどっちあの波乗り絶対必要だもん
[00:30:33.000] ねまずいでしねこれはだいぶまずいですよ
[00:30:38.480] だいぶまずいです
[00:30:50.679] ね
[00:30:52.279] すどうすっかなで何が
[00:30:56.159] 好きあ
[00:30:59.480] そっか水あーそうかじゃあさ分かっ
[00:31:04.159] たちょっとさもう1回だけ
[00:31:08.840] さもう1回だけさあのあの子のデータ使っ
[00:31:13.159] て
[00:31:14.200] いいラプラス捕まえていきていいすか
[00:31:18.919] ラプラスうんあやかのデータ使っ
[00:31:21.919] てラプラス捕まえに行くっての
[00:31:26.039] はにしもずじゃない
[00:31:29.940] [音楽]
[00:31:31.799] のいえやばいな
[00:31:36.639] これきつい
[00:31:40.480] ぜ今んとこねやらポプラスかうんラプラス
[00:31:44.880] ありじゃない超強いしねでもレベル上げん
[00:31:47.159] のしんどいなレベル上げんのがしんどい
[00:31:52.360] ぜまた多分ねで2時間ぐらいやんなきゃ
[00:31:55.440] いけねえよも
[00:31:58.200] ねえよこれ構えられないのどうなんだろ
[00:32:01.639] わかんねえんだよそれ
[00:32:03.519] が村八ざ
[00:32:06.919] 村8今日もレベリング回だってそうじゃ
[00:32:11.080] ないと無理だろよ変だな大変だな付き合え
[00:32:14.960] よお前ら左下のババ怖目
[00:32:18.480] がでもなんか俺の俺のね村はた村村わた俺
[00:32:27.000] 俺の
