[00:00:05.319] 一応1コメ譲るか一行しました1コメ
[00:03:48.319] ちゃん
[00:03:49.239] こんばんはに使ってもろてありがとう
[00:03:53.280] ありがとうちゃんちゃんちゃんこんばんは
[00:03:56.599] ちゃん
[00:03:58.720] こんばんはりずええなんかだもう死にまし
[00:04:02.680] た彼は昨ありがとうございいやこちらこ
[00:04:05.079] ありがとううんありがとうありがとういえ
[00:04:06.239] いえいえありがとうねあのバンちゃんにね
[00:04:08.760] 写真送ってくれって言ったにもう
[00:04:10.120] めちゃめちゃテンション上って取りまくっ
[00:04:11.799] ちゃった写真めちゃめちゃなんか100件
[00:04:13.920] 以上いいでついてたわなんなん俺が俺が俺
[00:04:16.880] がツイートしてもあんないいねつかないん
[00:04:18.479] だけどなやっぱバンちゃんすごいっすね
[00:04:20.079] かそうにかわいそうになああいつ泣いてる
[00:04:22.720] よ今マジで一言も発さないじゃんどうし
[00:04:25.639] ちゃったあいつ30本前から人柄バンさん
[00:04:28.759] すごいっすね安定させてけ同安定させてけ
[00:04:32.160] よあにんお疲れにんお
[00:04:34.360] 疲れにんなかお疲れちゃん今日も京都て
[00:04:38.080] やってまいりますよポケットモンスターね
[00:04:40.800] ポケモンそりゃお前バンさんやぞバンさん
[00:04:43.360] やからなポケットモンスターやってきます
[00:04:46.199] 今日もブラック2人生縛りええええシとあ
[00:04:52.919] 今日もね明日休みだから今日見れる明休み
[00:04:57.120] なんかなんだそれあの結構変わった勤務
[00:05:01.039] 形態だな明日休みなんだま俺明日仕事だ
[00:05:04.880] から普通にやめるけどね2
[00:05:06.919] でもうバッチも6個集まりましたからえ
[00:05:10.199] もうバッチも6個目ですよ残り2つで
[00:05:12.199] ございますなかもうなんか早いね今週
[00:05:13.800] 終わるなこれ
[00:05:16.479] せは今週終わると思う
[00:05:19.440] 多分まあまあまあまやってきますわ
[00:05:23.800] えなんか鼻の調子がスコブル悪鋭いボディ
[00:05:27.319] ブローに見えてた
[00:05:29.800] あ俺パンチそれあのあれだあの
[00:05:32.720] コントローラーぶん投げてん
[00:05:34.600] だなんか鼻の調子が悪い温度そか
[00:05:38.039] なんか鼻の調子が悪いけどまあまあまあお
[00:05:41.080] 付き合いください今日もね2時ぐらいまで
[00:05:43.520] あります花粉症かああ花粉症がもくしゃみ
[00:05:47.360] も出るしもう早くないまだ1月29だよ
[00:05:51.400] 早えよ早えなもうくしゃみ来てん
[00:05:56.800] のもう来てるらしいよ早い俺で分そうかも
[00:06:02.199] もそうなんだそうだね鼻だけは本当に悪く
[00:06:07.639] ての
[00:06:18.599] からするやばいあれあ
[00:06:36.960] もれ10年ぐらいやったら今とんでもない
[00:06:39.440] ことになってんだろどんだけどんだけだよ
[00:06:43.120] 目も痒いうんなんもう来てるね本当に
[00:06:46.960] ボジョレヌーボもいい感じもういいとこだ
[00:06:50.080] よなマジでな年の80倍毎年もうとんでも
[00:06:54.840] ねえことになってるよとんでもねえことに
[00:06:57.520] なってる
[00:06:58.520] ぞ確か章2年生え逆に辛いなそれもう俺
[00:07:03.960] これ当たり前だと思ってるから付き合え
[00:07:05.440] てるけど2年じゃまだ納得行ってない
[00:07:07.039] でしょまやってきますか
[00:07:10.720] はいはいどうもこんばんはチャマゲーム
[00:07:13.919] ですどうもチマゲームですえポケモン
[00:07:17.639] 鳴き声博士ことちゃまゲームでございます
[00:07:19.919] はいどうもこんばんはあのなんかツイート
[00:07:22.919] したらいいオレンジでしょ今オレンジの
[00:07:25.360] パカですあのカラーやめてねャジャイアン
[00:07:28.639] 別ジャイアンツどうでもいいんだけどそれ
[00:07:30.319] はジャイアンツカラーじゃねえ
[00:07:32.759] けどいい
[00:07:34.479] アトレ倍一年も8倍だとしたら今年は一
[00:07:39.840] 10年ぐらい聞いてるから俺ちなみにま
[00:07:42.240] そんな感じでね今日もやってきますけども
[00:07:44.080] えあのポケットモンスターねやってきます
[00:07:46.879] けどねちょっとあの森本ユダ君心配なん
[00:07:50.520] ですけどあいつのアンピを確認してくれ誰
[00:07:52.560] かあいつマジでショックすぎてもういなく
[00:07:55.520] なったんじゃねえのおい大丈夫かおい草
[00:07:58.960] あいつ
[00:08:00.000] いやあいつ30分のあの30分も前からさ
[00:08:04.000] なんか1人でさかっこあの鍵あなんだこの
[00:08:08.159] さんが5ドルでサブスクしましあびっくり
[00:08:11.080] したぺかおぺお疲れぺお疲れすかこお願い
[00:08:14.919] 今日は僕に1コメを取らせてください僕に
[00:08:16.879] はこれしかないんですていうのを9時10
[00:08:19.360] 分に言ってるから
[00:08:20.919] ね9時10分にに私たなかった
[00:08:26.440] よあいつ途中でどっか行ってんのかもう
[00:08:30.199] あいつ取る気まんまで取れなかったからな
[00:08:34.200] 本当にショックだったんだろうなまあまあ
[00:08:35.839] いいでしょうまやってきましょうポケット
[00:08:37.320] モンざ
[00:08:41.360] やはいどうもやってきますよポケット
[00:08:44.720] モンスターねレストインピース安らかに
[00:08:48.240] 眠れよしあいつはもういなくなったと思う
[00:08:50.920] あいつはもういなくなったありほちゃん
[00:08:52.959] こんばんはちゃこんばんは今日もやるよ
[00:08:56.120] 待ってどれだ
[00:08:58.440] えこやってくぜ今日もフィグですれちょん
[00:09:02.880] 今日もファイトだよありがとう行くぜもう
[00:09:06.839] そろそろクリアも近いぜお札幌大臣さん
[00:09:09.440] あざすどうもこんばんは頑張れ頑張れ
[00:09:11.279] ありがとう頑張ります札幌大臣さんあざす
[00:09:14.040] 今日もちょっとたまにオープニングで
[00:09:15.920] 見ようかたまにオープニングでも見よう
[00:09:24.680] かゲームフリークプレゼンツクリア近いの
[00:09:28.560] クリア近い残りあと2つだよバッチ8個
[00:09:32.760] 中首
[00:09:34.800] どこ確かに首ないな首ないなパこの隠れ
[00:09:41.600] ちゃっ
[00:09:42.920] てるおうとん
[00:09:48.079] こんばんは前回ね大元気になりましたから
[00:09:52.000] ねらないよね首なんかいらない前回大剣気
[00:09:56.000] になっ出たこいつねよくわかんねえやつ
[00:10:01.640] ゼクロムだのあーだの大元気
[00:10:05.200] なこれが何だっけコータね忘れたけどさあ
[00:10:10.160] 始まりますよろしくお願いしますチャマ
[00:10:11.519] ゲームですチャマゲーム今日も始まり
[00:10:15.839] ます人生プレーを無人も感じさせないこの
[00:10:21.120] プレイねいいよねいいよねかなり順調誰も
[00:10:23.880] まだ死んだか死んだけどまだまだ穴
[00:10:26.480] ちっちゃい犠牲だよなあんなもんはなよ
[00:10:31.079] アガあなんかこんなとこ来たんやったっけ
[00:10:34.399] かなん忘れたななんだっけ何すんだっけ
[00:10:36.959] これこジムあんの
[00:10:40.480] かシャガさんはジムリーダーだから
[00:10:42.600] ポケモン勝負で勝たないと認めて話して
[00:10:44.240] くれないかもねここにジムありケリてこか
[00:10:47.959] ちょっと待って今パーティーの確認して
[00:10:49.440] いいかわのパーティーを見てくれ
[00:10:59.519] 39レベま悪くないんじゃないでしょうか
[00:11:01.800] えワルビアルのにレベル41いいすね強
[00:11:05.279] いっすねわか前回進化したんすよ音わかね
[00:11:09.360] 音わか進化しました前回これ相当こいつ
[00:11:12.040] 攻撃バカ強え
[00:11:14.440] わいいっすねこんな感じでこれどうでも
[00:11:18.079] 良くてう待て金の玉持ってる
[00:11:22.000] こいつこいつ金の持ってるえすごい確率
[00:11:25.279] 低いんじゃないこれ
[00:11:26.760] あざなんでね
[00:11:33.839] 今日なんか全員40レベぐらい行ければ
[00:11:36.560] こいつミの大気ねまさかの気を育た
[00:11:41.519] とんでそんななんでそんなスタンプがどっ
[00:11:44.959] から出てくんだよどっから出てくんだその
[00:11:49.800] スタンプ山路
[00:11:52.480] タウンこれこれこれはあれはないのかなあ
[00:11:56.600] あるね
[00:11:59.519] ここは行けないのかなドジウン1ロベ4
[00:12:02.639] ドジウン1ロベ41あっちこっかこっち
[00:12:09.240] だえ何もない
[00:12:12.279] ねとりあえずジムさっさとやっちゃおっか
[00:12:15.399] なこんばんはあルミさんこんばんはおい
[00:12:18.519] とりあえずジム行くわなあの何タイプなん
[00:12:22.240] だべ次ちょっととりあえずさちょっとどう
[00:12:25.000] すっかななんかさもうそろそろ新しい
[00:12:26.760] ポケモンてとこえっとねななんだっけ山路
[00:12:33.600] タウンそろそろ俺パーティー6匹揃えたい
[00:12:36.519] んだよなまだ4匹だからねヤマジねやじ
[00:12:40.839] そろそろパーティー固めたおかっこいい
[00:12:44.760] ケスなんかエスパータイプ欲しいんだけど
[00:12:48.160] たレベル高レベル高37とか出してくんの
[00:12:52.160] もうこれ40って低いんじゃないのだいぶ
[00:13:01.920] 何ま全員40にしてこうかとりあえず目標
[00:13:06.360] いうポケモントレーナー出てきた出てきて
[00:13:09.160] ない出てきてない俺がそうだよ俺が
[00:13:19.360] 連次何タイプなんや
[00:13:23.760] べこれ前回前回かこのあのブラック
[00:13:29.480] ホワイト1の時のジムと変わってないはず
[00:13:31.839] なんだけど全然覚えてねえ
[00:13:35.720] なちょっとまだ40レベルになったから
[00:13:38.240] ちょっと入れ替えるかなんかちょっと使っ
[00:13:40.399] てないポケモン使ってくいそろそろ音
[00:13:43.480] わっかもさちゃんと実践経験積んでほしい
[00:13:47.839] こいつずっとあの学習装置こだった
[00:13:55.800] から初見ゼブライカが伝説ポケモンと思っ
[00:13:59.680] たの私だけではないま確かにかっこいいよ
[00:14:01.920] な見た目
[00:14:03.480] なおワラ戦ロってありがとうセンキュー
[00:14:08.279] こんばんはてかマジで
[00:14:11.199] おいマジでモリモ言た大丈夫かなあいつ
[00:14:15.560] あいつ大丈夫かちょ本当心配になってきた
[00:14:18.639] よ本当心配になってきたなんかも取らして
[00:14:21.639] あげてね1コメね1コメ取らせてあげてね
[00:14:24.920] それに命かけてる人だっているんだ
[00:14:27.000] から赤チバじゃない1コメ取る1コメ取
[00:14:31.320] るって最近ずっと言ってんのに毎回取らせ
[00:14:32.959] てもらえないんだよ今日取らなかったら俺
[00:14:35.560] は半年サブスしてやるよって言っ取れ
[00:14:37.440] なかったそあいつ消えたいなくなっちゃっ
[00:14:40.000] たショックすぎ
[00:14:41.560] て1時間も9時から俺のチャンネルであの
[00:14:46.079] 待機して
[00:14:51.440] たかいだ毎回取らせてやんねえだ誰
[00:14:54.720] も毎
[00:14:58.040] さプレゼントしたけありがたいけど
[00:15:01.560] ありがたいけど確かにあれさっき触れたん
[00:15:04.680] だけ
[00:15:06.000] 笑笑ここは何でしょう
[00:15:08.519] かん
[00:15:14.920] 待てここの先リバース
[00:15:19.600] マウンテコンビニコンビニにもしかして
[00:15:23.160] あいつコンビニ行って今サブスクの金
[00:15:25.440] チャージしてるかもしんねなコロちゃん
[00:15:27.959] こんばんは今日もやってくぜもう終盤なん
[00:15:31.360] じゃなかろうかというところまで来てます
[00:15:34.240] ね来てます
[00:15:36.680] ねなかなかいいボリュームだななんか
[00:15:39.880] なかなかいい
[00:15:42.279] ボリューム
[00:15:43.959] あうスコルピ出んの俺これ好きやこいつ
[00:15:48.440] ドラピオンになるやドラピオンにわマジか
[00:15:52.240] まどんだもなタイプ
[00:15:55.560] でしょ好きだけど今のパーティーには
[00:15:58.079] ちょっとお荷物だ
[00:16:01.639] なこHP高いねこいつね音わっかてもう1
[00:16:05.560] 段階進化ある不信もやるんじゃろやるやる
[00:16:09.160] やる眉毛が炎なのあそうかもおいベルうん
[00:16:14.759] レン君あのね私ねこの火山リバース
[00:16:16.880] マウンテンでね調査したいところがあるの
[00:16:19.040] だけど野生のポケモンたちがてて手ごくっ
[00:16:21.800] て手こずっちゃってということでお
[00:16:23.600] 願い一緒に手伝ってあしてやということで
[00:16:28.680] あ
[00:16:30.120] マジか私はね自分に何ができるか分から
[00:16:32.759] なくてそれを探すために旅が旅に出た
[00:16:36.839] のここは炎タイプの森ですかあるやもいる
[00:16:40.920] いるいるポケモンの進化ってのは1個だけ
[00:16:43.000] じゃなくて入っていいのあいいよ進化する
[00:16:45.800] しないぐらいは教えてくれていいポケモン
[00:16:48.639] の進化には2段階あるやつと1段階だけの
[00:16:51.160] やつが入てこいつら全部2段階ですねあの
[00:16:55.480] コイルレアコイルジバコイルっていう2
[00:16:57.720] 段階ねこいつはな1進化2進化だねブに
[00:17:02.199] やったはずなのに一切の記憶がないみんな
[00:17:05.079] 言うねみんな記憶に薄いゲームなんだろ
[00:17:07.280] これなみんなやったことあるんだけど全然
[00:17:08.880] 覚えてねえやみたい
[00:17:11.439] なすおすおいそのちゃんこんばんはその
[00:17:14.720] ちゃんもこんばんはいらっしゃい
[00:17:16.799] いらっしゃいなかなかもう終盤化のやつも
[00:17:19.839] あるんあるあるある進化なしもあるよそう
[00:17:22.000] そうそう進化なくて進化をしないポケモン
[00:17:24.919] てのは大体そのまんまでも強いんだよな
[00:17:30.919] おリンカもこんばんはリンカもこんばんは
[00:17:33.280] 今日もやってくポモとそうねあとラプラス
[00:17:36.559] とかも進化しないうわ何そのムーナレベル
[00:17:40.520] 高いやん40出してくるやんメタモンも
[00:17:44.080] 進化しない無当たっ
[00:17:47.280] ちゃうラプタンてどれラプタ
[00:17:51.039] て
[00:17:57.840] ラスねラプラスねおいいなタイプ抜群
[00:18:03.320] 当たりで実は大体のポケモンは進化するて
[00:18:06.240] けあった気がするミカルゲ好きだよミカル
[00:18:09.720] ミカルゲとかうんダブルでやって
[00:18:14.039] くるわかファイナルファンタジー10から
[00:18:17.200] 変な方向に進化しちゃったかいかわいそう
[00:18:20.520] まあれはあれで俺はいい進化だと思うけど
[00:18:23.320] ねぷにぷにわっか
[00:18:25.960] さんで
[00:18:27.760] あるあたさんおはよう
[00:18:30.400] おはようぷにぷにわっかさんっていう
[00:18:32.960] マット見つけて爆笑してたわこないだあの
[00:18:36.280] また配信終わりにさあのマザーのレコード
[00:18:39.880] 聞いてたべひどいしたらなんかそしたら
[00:18:43.799] なんかあのアコいらないぷにぷにわっか
[00:18:47.120] さん好きそしたらなんかあのちの旅がさ
[00:18:50.000] なんかずっと言ってんだよぷにぷにわっか
[00:18:52.080] さんぷにぷにわっかさんて何を言ってんの
[00:18:53.919] かなと後で調べたらマザーのBGMに
[00:18:57.760] 合わせてなんかがなんか歩くて
[00:19:02.120] いうくそしょうもねえマット見つけた
[00:19:05.120] ぷにぷにわっか
[00:19:07.840] さんぷにぷにわっかさんキモぷにぷに
[00:19:13.200] わっかさんて言それだけそれだけ1分半
[00:19:16.799] ぐらいの俺それ10回ぐらい見たね俺10
[00:19:20.720] 回ぐらい見た実際でお願いがお願いあるん
[00:19:26.880] だ
[00:19:27.720] なテ
[00:19:33.039] 6262
[00:19:35.799] 笑笑
[00:19:38.600] ノダなんかあのBGM聞いてる時だけ
[00:19:42.000] なんかやけにさちがさプニプニわっかさん
[00:19:45.559] プニプニわっかさん何のことかなと思っ
[00:19:47.480] たらぷにぷにわっかさんていう神マットが
[00:19:50.280] あったわ知らなかった事にれたにてた
[00:19:58.760] ここいい
[00:20:03.000] ねえーエスパータイプだからバネブーあり
[00:20:07.120] なんだよ
[00:20:08.919] なエスパータイプだからバネブー正直あり
[00:20:11.880] だよねしてみてしまったキぷにぷにわっか
[00:20:16.520] さんキモぷにぷにわっかさん
[00:20:22.240] わえ野生でドリュウズとか出てくん
[00:20:27.640] の野生で出てくるんだってこれも進化系や
[00:20:31.400] んまでも捕まえるほどじゃないなつで出て
[00:20:35.320] きた本当だドリかっこいいんだよなでも
[00:20:38.320] もう地面タイプおるねんだごめん無な
[00:20:44.280] ごめんえなんとかマウンテ穴ごめんなこれ
[00:20:48.360] 穴にも当たっちゃうあ
[00:20:51.720] ごめんでも楽やねんむごめんな波乗りは
[00:20:56.280] 全部当たっちゃうんだよ
[00:20:58.720] なかなかえあれ稼げていい
[00:21:07.360] ねここなんか伝説のポケモンとかいそう
[00:21:10.400] じゃ
[00:21:12.880] ねレッツトレーニングポケモンと共に強く
[00:21:15.559] なり竜やガあ正外正外アのポケモン自分
[00:21:22.159] 正外や
[00:21:28.760] うわこのエリートトレーナーの女エロく
[00:21:31.240] ねえかおお尻出てお尻が出てるよお前あれ
[00:21:34.600] もうだスカートの意味ねえよ
[00:21:37.200] あれわなんか懐かしいポケモン出してくる
[00:21:42.360] ないやエスパータイプねあれってどこに出
[00:21:45.480] てくんのあのそうと派ってことなんだどう
[00:21:49.159] いうことそれどういうこと
[00:21:50.799] それスカートに厳しい
[00:21:53.720] ちゃ厳しいという
[00:21:56.159] か用というかお尻出てるとか実質邪魔なあ
[00:22:00.919] BANされる
[00:22:02.720] ぞ最近BANが多いねなんかね最近tch
[00:22:06.919] 君のBANが多いよねみんなBANされ
[00:22:10.080] てるなんか何何何どうした
[00:22:14.200] あらららら混乱状態ですねこれ混乱状態は
[00:22:18.400] あの自分のことを攻撃しちゃう時があるん
[00:22:20.880] だねたまにね邪魔だったら高速にスカート
[00:22:24.840] の長さ定ありそうスカートの長さ定なし逆
[00:22:28.400] にになしあ待って何これ何これ何これ
[00:22:31.320] やらが強いってちょっと待って結構死ぬ
[00:22:34.440] じゃん結構死が近い結構死が近い気が
[00:22:38.679] するまた下とか言い
[00:22:41.960] そうて連してただけで決された人知ってる
[00:22:45.919] ええそれ死にそうが多分ダメなんだろう
[00:22:49.760] なやばそう厳しいよねやばいちょっと回復
[00:22:54.120] 入れちゃおう俺あんまりこの
[00:22:58.840] 戦いのさ中道具を使うの好きじゃないんだ
[00:23:04.960] けどましょうがないいし方ないなそれはな
[00:23:09.360] ちょっと待ってちょっとごめんもうごめん
[00:23:10.760] ねもうほと本本当にごめんあのごめんあの
[00:23:13.919] 森友のTwitter調べていいあいつ
[00:23:16.200] 大丈夫か本当に
[00:23:31.840] ほらもバチおいバチ切れしてんじゃねえか
[00:23:36.320] よ俺の画面で俺のが先だったんだよクソ
[00:23:43.080] がバチギレしてるよこいつバチ切れしてる
[00:23:46.840] よバチれし
[00:23:49.360] てる笑笑ガチで切れてんじゃねえかよお
[00:24:02.600] 残念ながら俺の残念ながら俺の俺のOBS
[00:24:06.600] は俺のOBSはいちゃを取ったんだよもう
[00:24:10.720] 1回チャレンジして
[00:24:13.840] くれもう1回チャレンジしてくれ次は
[00:24:16.240] 大丈夫次こそは取れるお頼むよお前ら次へ
[00:24:19.720] 取らせてやれよもう本当に
[00:24:25.640] バチしてんじゃねえかよあいつ
[00:24:29.760] 俺の画面で俺のが先だったんだよクソ
[00:24:33.320] が
[00:24:35.399] 残念OBS君が許してくれませんでした
[00:24:38.440] から
[00:24:41.679] ねあいつもう切れすぎてコメント打てな
[00:24:44.679] なっとるやんじまなでなでまあまあ
[00:24:47.880] どんまいどんまいどんまいどんまいそう
[00:24:49.799] いうこともある
[00:24:52.200] からあすごいこれ寝てるポケモン本当に目
[00:24:55.679] 閉じるんだ俺の画面で貼っても俺の画面で
[00:24:59.440] は避けてたジルあもういわかっ煽るな煽る
[00:25:03.880] な煽るな煽るな慰めてやってくれ配信通来
[00:25:07.240] てから1コメがレーションだと思っ
[00:25:10.159] てる配信通知来てからの1コメあなるほど
[00:25:13.600] ね配信みんな配信
[00:25:16.440] 通知受け取ってから来いと待機すんじゃ
[00:25:19.600] ねえと頑張って出しますリとして強くなっ
[00:25:26.840] てなよ
[00:25:28.919] あいつ今頃泣いてるぞマジ
[00:25:33.559] でやべえてか見普通に死にそうなんだけど
[00:25:38.000] 普通に死にそうなんです
[00:25:40.039] けど配信通知はスマホによって全然来ない
[00:25:43.760] 時あるから信用できないなんかあ
[00:25:45.840] るっぽいねなんか
[00:25:47.760] ねねえなんかこれ敵強すぎない
[00:25:51.720] ちょっと敵が強すぎてさもアイテム使わ
[00:25:55.120] なきゃ勝てないんですけどねえ
[00:26:02.960] シャドあるんだったら最初撃てやお前
[00:26:05.320] それあ全然効かないね無あんま強くないん
[00:26:09.840] だ
[00:26:14.080] なああこんなうざてえなおいよしオケ
[00:26:19.360] ういこのままだと糖尿病になるよ何が何が
[00:26:23.080] 何何が誰が俺が
[00:26:29.320] かなんかさあれじゃ
[00:26:32.559] ねのも使ってたいや使ってないてかこれ俺
[00:26:36.039] のポケモンじゃないもんベルのポケモンだ
[00:26:41.679] もどっかられてくだそのスタンプ
[00:26:46.880] は
[00:26:48.520] さんざさんあざ
[00:26:50.600] あざフォローあざどうもゲームと申します
[00:26:58.480] なんかイベントでいたよね無たたイベント
[00:27:01.720] で出てきたねきっちゃんだきっちゃんご
[00:27:05.600] 存知ですかちょっと俺の名前もんだあ
[00:27:09.840] 何それ
[00:27:11.440] え初めましてTwitterのポケモン
[00:27:15.720] の
[00:27:18.039] ましお前した見くれた見ちゃったあれね見
[00:27:23.600] たね見てくれたかったね
[00:27:28.279] まで流れたかわちょっと配信者さんで
[00:27:31.440] フォローしますあれ配信者さんなんであれ
[00:27:33.919] で来る人いるんだ鳴き声タイム配信者さん
[00:27:37.000] フローしちゃっ
[00:27:38.480] たっおもろかったな笑あんなのでなんでも
[00:27:43.279] いいじゃあちょっと夢きっちゃんいいよ夢
[00:27:45.200] きっちゃんなんか1番好きなポケモンいや
[00:27:46.960] 昔のポケモなので配信者なのでフォローし
[00:27:50.640] ましたなげお前もっと前からいるだろ最高
[00:27:53.799] ですあおいコモ出てきたじゃんまでで好き
[00:27:58.919] なの言ってもらおうコロモリ出てきたよ
[00:28:01.600] コモリ捕まえばかなえコモリありだと思う
[00:28:05.360] んだよ
[00:28:06.200] ねどう思いますかま逃げる
[00:28:10.080] けどエスパータイプがねべいやエスパー
[00:28:14.320] タイプあーねオンバーンってどこに出て
[00:28:17.919] くんのオン
[00:28:19.440] バーンあれコモの進化系じゃねえのあ
[00:28:22.799] れっていやブーブバレブーじゃねえよな
[00:28:29.000] バネブーじゃないよねエスパータイプ探し
[00:28:31.799] てんだ
[00:28:36.080] 今だあなんだあそうなんだあそうあそうな
[00:28:40.360] んだ森の進化系じゃねえんだ勝手にそう
[00:28:42.640] 思ってたわ敵が多い敵が
[00:28:49.080] 多いは心だろぜ難しい
[00:28:59.519] ははごわから
[00:29:03.559] んて知らないごめんなブラック
[00:29:07.399] ダイヤモンドパールまでしかわかんねんだ
[00:29:09.320] 俺ミニ
[00:29:12.279] はわかんねえだろ似てるけどね似てます
[00:29:15.640] けどね似てます
[00:29:17.799] けどあやばいやばい
[00:29:20.120] ミニ回ミニく回ごめんミニ
[00:29:27.039] かこちら
[00:29:31.000] はいはいクソクソ似てますはいクソ似て
[00:29:34.600] ました笑笑資格なしチマゲームに資格なし
[00:29:39.200] ぬいごめわかんねこのこのよざってわかん
[00:29:43.919] ねえよだブラホワまでで来いてブラホまで
[00:29:49.039] ブラホワじゃねえあれまでで来いってあ何
[00:29:52.799] 勢いでどうにかなるいやでもだいぶ似てた
[00:29:56.039] だろだいぶ似てただろ
[00:29:59.200] だいぶ似てただろ何ここあれなんかさ
[00:30:04.120] 隠し穴って俺全然探してなく
[00:30:07.360] ないもう初代のポケモンなんかすぐ出て
[00:30:11.200] くるからすぐ出てくる言われてから回答
[00:30:14.039] までの速さ
[00:30:22.360] ねやっぱねそういうのは子供の頃やってた
[00:30:25.919] から込まれて正やってるけど今初見でこれ
[00:30:29.640] 全然覚えらんない合力はゴリはURL省略
[00:30:34.480] YouTubeコゴーリキーは
[00:30:38.200] ゲ
[00:30:44.480] ほらなな笑笑笑笑脳細胞のどんなぐらいの
[00:30:51.039] パーセれてるの7割俺ポケモンの鳴き声で
[00:30:54.200] 埋まってるからなんでわかんねん笑笑
[00:30:59.919] 超余裕だからねサなんて
[00:31:08.480] だ余裕のよっちゃんなんすよその辺は
[00:31:11.720] ちょっと待ってとりあえず
[00:31:21.200] 笑笑自分の才能が怖いよ俺自分の才能が
[00:31:25.399] 怖いよ
[00:31:33.600] すごすぎる笑俺
[00:31:41.279] らいやこのゲームも終盤す俺これ初見でね
[00:31:46.440] 初見で初見でブラック人生縛りつって死ん
[00:31:51.360] だポケモン逃月でやってんのよ結構緊張感
[00:31:55.399] があるんすよねルの声真似が一番
[00:32:04.320] 好きマジ言ってるから初代のポケモン
[00:32:07.360] なんてもう全部いけるよ全部
[00:32:12.880] いけるこいつも40レベルなた変るか
[00:32:17.120] テスルージュななえどうすっかなURL
[00:32:23.399] 省略
[00:32:29.600] え違うなんか俺の知ってるルージの鳴き声
[00:32:32.039] じゃないこれこれ鳴き声チャンネルじゃ
[00:32:34.320] ないだろこれほら違うとこのチャンネル
[00:32:36.960] じゃんこれだよこっちだ
[00:32:38.760] よ答え合わせ
[00:32:41.080] ありこれこれこれ笑笑
[00:32:59.240] でもななんかこれ今新しいポケモンのさ
[00:33:02.360] このやつ覚えろて言われたらね無理だよ
[00:33:06.200] なんかやっぱ子供の頃のあのスポンジ
[00:33:08.480] みたいな脳みそじゃ吸収できねんだよ俺の
