[00:00:06.080] ハリボテあげだねハリボテあげだね針ボテ
[00:07:24.199] なんではいレアコイルのコココイルこいつ
[00:07:26.360] も昨日進化したんだよな順調だよねいい
[00:07:30.199] 感じに進化しててコピのコピーのコピーれ
[00:07:32.879] そうそうどんどんどんどん画質が悪く
[00:07:34.319] アーティストだっアーティストだよモルコ
[00:07:36.000] ペテこんばんはねこれさなどこで進化すん
[00:07:38.680] のこれなんとかの洞窟って言ってたけど
[00:07:41.120] どこで進化すんのこれブラックホワイト
[00:07:43.680] わかんねえんだよなこれこいつ場所によっ
[00:07:45.400] て進化するんだよでこいつはまどうでも
[00:07:47.560] いいこれはあの拾いのヨーテリーのノン
[00:07:49.720] でーねヨーテリーのノンでーうんことは2
[00:07:52.520] 丸ミヒまの2丸ねミヒもなんかそろそろ
[00:07:55.520] 進化してもいいよねさ今中に進化しても
[00:07:57.960] いいもう1匹余ってるんでちょっと今日
[00:08:01.520] パーティー確定させたいなって感じですね
[00:08:03.800] デ笑のんデリーねもの人のもん平気で取る
[00:08:07.639] から
[00:08:14.080] ねあのひ行なひ行のジフ
[00:08:18.039] なよしじゃ行くぞおいどこ行くんだこれ
[00:08:20.639] わかんねえぞそうこの街なんか進化条件が
[00:08:24.440] 場所はむいそうなんだよ場所で進化なだえ
[00:08:27.280] られない栄養子供でしえられない栄あるよ
[00:08:30.400] 雪のシテでしか得られない栄
[00:08:34.279] えタウンマップ見し
[00:08:37.479] てこっちでいいんだよね多分ねこっち周り
[00:08:40.080] でいいんだよ時計周りでいいんだよな
[00:08:41.760] こっちでも行けるみたいだけどブラックシ
[00:08:43.399] ティって何スマホの着信音ほあそうなのあ
[00:08:48.080] そうなんだこれこっちでいいんだよね多分
[00:08:50.800] ねシティのBGMに合わせてドラゴン踊
[00:08:53.839] 何それ何それそんななんの吹き寄せシティ
[00:08:56.000] 向えばいいんかなとりあえず吹き寄せ
[00:08:58.000] シティカールので栽培し取れた野をえなん
[00:09:01.839] とか木で輸送する物で輸送
[00:09:04.460] [音楽]
[00:09:06.560] するいらねけど
[00:09:13.600] ネジ山まで繋がる近道を始めたのだけど
[00:09:17.160] まだまだねの大変だ
[00:09:20.279] から
[00:09:22.040] の
[00:09:24.880] なうなんか
[00:09:27.040] うしいにて終わってるんだ次行くんじゃ
[00:09:30.760] なくてここで止まってるんだ今あその
[00:09:32.800] ちゃんこんばんはそのちゃんこんばんは
[00:09:33.959] 今日もやってくぜ元プラズマダンロット様
[00:09:36.040] ほら来ました
[00:09:37.839] よこっちですこっちこっちあそっかこって
[00:09:40.760] いいやつなんだっけ小峠みたいいいん
[00:09:43.040] じゃん横にほうプラズマに興味があるのか
[00:09:45.720] もっとプラザマな私たちの話を聞いて
[00:09:47.560] もらえば理解してもらえるとかもしれませ
[00:09:49.279] んしもちゃんこんばんはロテセンキューお
[00:09:52.120] 客人悪いがここに入るならあなたという
[00:09:54.240] トレーナーがどんな物か見せてもらいたい
[00:09:56.079] そうポケモン勝負でないそでよろしいい
[00:09:57.920] よこ
[00:09:59.560] なんたなてたありがとうありがとうこの
[00:10:03.160] この親父昔いた
[00:10:05.120] ね前の
[00:10:07.040] なんかこれあれだよ
[00:10:09.760] ねあれの幹部だよねその元プラズマダンの
[00:10:13.720] なんかいいやつになってんだな多分な心
[00:10:16.399] 入れ替えてんだなこいつらなのの進化の
[00:10:19.200] 最終
[00:10:20.680] 進化にマジでじゃもうけんじゃんんじゃん
[00:10:27.360] あざありがとうちゃん
[00:10:30.440] こんばんはあじゃあもう進化できるや
[00:10:34.200] ん
[00:10:35.760] 強これハーデリアえ強いってなんでこれで
[00:10:41.519] 半分も削られんだよ数年前の記憶だそうだ
[00:10:45.040] よねそう大丈夫大丈夫大丈夫
[00:10:48.680] いややっぱ敵が強いあの犬めっちゃ強えん
[00:10:51.920] だよなあの犬森心森って何タイプって言っ
[00:10:56.240] たっけ悪タイプえ心森ってエスパータイプ
[00:10:58.839] だっけ
[00:11:03.200] ね盛りワンチャンありかなっと思ってんだ
[00:11:06.120] けどどうみんなこうう
[00:11:09.839] だるだる
[00:11:12.920] こいつ行ける行けるける行けるいける
[00:11:15.079] いけるこいつDVマニアお前DVマニアな
[00:11:17.000] んだから行けんだろもメロメロの相手に
[00:11:19.680] こそぶん殴りてえだろが
[00:11:21.920] お前DVマニアなんだから行けるよお前
[00:11:24.839] メロメロでも砕けるだろお前だったらから
[00:11:27.519] あり心ありがとう思うけどなこいつえ
[00:11:30.680] エスパーだよなエスパー飛行ありだと思う
[00:11:34.760] なよい自信課長
[00:11:39.399] よしこれってどこにいるんだ心もほう
[00:11:42.600] ポケモンと心が通じてるような高い戦い
[00:11:45.279] 方これさ前作の主人公って出てこないの
[00:11:49.360] 申し訳ない試す名をして悪かった元プラザ
[00:11:51.760] マンということで色々あるんだ
[00:11:54.079] よ逃げられた超で状態以上枠でありだね
[00:11:58.639] ありかね
[00:12:01.040] ご友人ならば一緒
[00:12:04.040] に何ここダナサティアんかここ第7サテん
[00:12:08.720] だな多分ここ
[00:12:10.079] な改めてみましょう私の名前はロあなんで
[00:12:14.440] なんでなんでなんであんたらもプラズマよ
[00:12:16.519] なさっきプラズマと何が違うか教えろよ
[00:12:19.639] 正しく言うなら元プラズマダンだ2年前の
[00:12:22.120] 剣をきっかけに罪として持主のべられなた
[00:12:25.199] ポケモンの世をしているでお前
[00:12:28.160] はこって言うんだあチこんばんはチ
[00:12:32.320] こんばんは今日もやるよ今日もやってくよ
[00:12:35.079] 罪滅ぼしでこんな感じで人のことお前って
[00:12:38.000] 呼ぶんだ俺はじュひシティのじュ5年前
[00:12:41.839] お前らプラズマダに妹の大事なポケモンを
[00:12:43.920] 奪われた情けなトレーナーだよ何が肌離れ
[00:12:47.040] だそうしたらお前らだろ過激派そうであっ
[00:12:51.160] たか誠に申し訳ないいいやつになった側の
[00:12:54.160] プラズマ団ですねにいた人間そうね謝る
[00:12:59.560] だけかそれで終わりなのかよ妹のポケモン
[00:13:02.399] はちょろ猫だよちょろ猫いるって言って俺
[00:13:04.920] のちょろ猫あげるって言ってんじゃんかよ
[00:13:07.279] 俺のエナコリンあげるってもうタンブラー
[00:13:10.440] ですタブラいいタブラ
[00:13:12.720] ねおそらくだが今もプラズマダにコケを
[00:13:15.600] 使われているんだろうそしてお前の言う
[00:13:17.480] とり謝っても何も解決しないだが罪を認め
[00:13:19.880] 謝らねば先に進まないのだもういい謝られ
[00:13:23.079] ても妹のポケモンここにないんだろなんな
[00:13:25.160] のこいつちょっとこいつ過激こいつ
[00:13:27.240] ちょっと過激すぎるよちょっと
[00:13:30.920] 俺はポケモンジムに行くもっと強くなって
[00:13:32.760] プラズマを全員やっつけるたエでいければ
[00:13:36.160] これ余ったエコでよければ俺投げるけど
[00:13:38.800] プラズマは彼のようなトレーナーを改めて
[00:13:41.040] 悔むなんと愚かであったかレご覧の通りだ
[00:13:43.800] 私にできる礼などないいやむしろ代わりに
[00:13:46.360] 頼みを聞いてほしい君も時々過激派になる
[00:13:49.279] まあまあね過激派になるけどね気持ちはえ
[00:13:52.399] このポケモンのゾロアの面倒を見てくれん
[00:13:54.399] のか何ゾロア
[00:13:57.000] てえ
[00:14:00.279] あそうなんゾロは手に入ん
[00:14:03.279] のゾロはあNのゾロはなんだこれゾロは旅
[00:14:08.360] をしていたN様が友達で頼みになされた
[00:14:10.880] ポケモンだえなんか勝手にちいやでも勝手
[00:14:16.079] に押し付けられたけど
[00:14:19.240] さ悪でしょ悪タイプおんねん
[00:14:23.519] なビルがいるんだよね
[00:14:27.190] [音楽]
[00:14:35.480] ゾはいんじゃ
[00:14:37.440] ないでもさタイプかってんだよ
[00:14:40.920] ね悪タイプもう持ってるからさそうでいい
[00:14:44.959] んだ十分なんだよ
[00:14:46.800] でN様のって
[00:14:51.330] [音楽]
[00:14:54.000] ますっ
[00:14:58.040] てで見てんだけどそうすればここにいる
[00:15:01.000] ポケモンたちの望みが分かりますnnは
[00:15:03.399] どこに何このエロ女はこれプラズマは芸術
[00:15:07.040] なる男は一種地方を支配するため作り分け
[00:15:09.040] た組織なんですそのために用意されたのが
[00:15:10.720] Nという若者でした彼はポケモンのこと
[00:15:12.320] 呼ばれる不思議な少年だったのですNは
[00:15:15.279] みなし子でした何でも生まれたぐポケモン
[00:15:17.000] たちが話せるようなそりを見せ君はがれ
[00:15:19.399] えー森の中の左やゾラと一緒に暮らした
[00:15:22.199] ところ芸術に拾われたとのことです私たち
[00:15:24.560] もNの世話をするために集められたみしな
[00:15:26.800] の
[00:15:27.959] ですこの見私についちゃってだから道具
[00:15:30.600] 扱いをやめてきちっと向き合ってんの
[00:15:32.759] う人に歴史ありなんだろうな多分な過去は
[00:15:36.800] 変えられないが未来は変えられるなので
[00:15:38.279] 格好を変えてみました太ったからではあり
[00:15:40.040] ませんわかる俺も太ったからじゃない昔は
[00:15:43.040] もっとなんかいろんなパーカー以外の服も
[00:15:45.680] 色々着てたけどね今も着るけど今も今も
[00:15:49.519] 着るけどねここにいるのは元ブラザー
[00:15:51.920] マンダンの連中また悪さしないか心配なん
[00:15:53.600] で
[00:15:54.240] なあれだなあのなんだっけえなんて言うん
[00:15:58.680] だっけほらがめてるあの元元ほら元オム
[00:16:03.600] 心理のやつらなんて言うんだっけフリー
[00:16:06.600] スキルそう細川も切るからねちょっと
[00:16:09.120] ドロアはいらないんで預け
[00:16:11.480] ますま2軍といったところですねこいつは
[00:16:17.270] [音楽]
[00:16:18.920] ねもしないと思うけどないと思うけど
[00:16:23.040] ワビルが死んだらま次の枠だろうなこいつ
[00:16:25.920] がなワビルは死なないけどねお前は
[00:16:31.120] よしよしアレフあそうアレフアレフ
[00:16:33.800] そうそうそうそうそうやめろやめろやめろ
[00:16:36.880] 消される消されるレフね100って名前な
[00:16:41.959] のに
[00:16:42.920] 生き残るでも100人あの100日後に死
[00:16:46.319] ぬって決まってるけど逆を返せば100
[00:16:48.399] 日間は死なないってことだからうんビルの
[00:16:50.360] 自信で暴れば勝ち余裕だよなタウン
[00:16:54.639] マップほど萌えシティでジムあんのほど
[00:16:57.920] ジムあるんだ
[00:16:59.399] 子供ジムってなんだろ誰だここジムあるん
[00:17:02.680] だなどこ
[00:17:04.240] ジムここ昨日たどり着いて終わったんだ
[00:17:07.439] なるほど日以内にクリアすればいいそう
[00:17:10.280] いうことだよな昔プラズマにポケモン奪わ
[00:17:13.199] れたんだまその後返してもらったけど
[00:17:15.799] さ年のポケモンたち悲しい思いをさせない
[00:17:18.559] ために俺はレベルアップしたいんだ
[00:17:20.360] よここがほえマーケットですかちょっと
[00:17:23.240] 行ってみます
[00:17:25.199] か髪の毛青いやつ多くね
[00:17:29.000] 言ってらっし街があるのそこから色々輸出
[00:17:31.120] してるんだってごめんねチャールズって
[00:17:34.039] やつが全部勝出ちゃったのおプラズマダン
[00:17:36.480] じゃん僕元プラズマダですいろんなおこを
[00:17:38.679] 持ってますうん子供はまあまあ相性大事あ
[00:17:41.679] そうなの
[00:17:44.160] ああいいですうわこれちょっと金幸運の
[00:17:48.160] おことか変えるんだこれ持たせるとポ持た
[00:17:51.080] せたポケモンが1度でもこれ買っといた方
[00:17:53.480] がいいね持たせたポケモンが1回でも戦闘
[00:17:55.720] に顔を出すとお金が2倍もらえるこれ絶対
[00:17:58.120] いるでしょこれ1万円たけ
[00:21:00.080] てるからね今日もポケモンやってるんだ
[00:21:02.320] からねホテルリッチ
[00:21:04.640] ほど満でございますがゴそうなんだ今
[00:21:11.279] のと一緒だマジで税金っていきなり来る
[00:21:14.279] からあの会社潰れて給料天引きになって
[00:21:18.559] なくて住民税給料引になってなくて
[00:21:22.799] さだあそうなんだそうあの
[00:21:29.000] 年たに真っ赤なきが来てさ真っ赤なはがき
[00:21:32.640] が急に来てさなんだこれと思ったら住民が
[00:21:35.880] 1年払われてませんあなたもうあの早く
[00:21:38.080] あれしないと裁判所に出定してもらえます
[00:21:40.000] みたいなと思って何これこみたいなかよ
[00:21:45.679] パルモンじゃなくてパルモンじゃないよ
[00:21:49.279] じゃないいや員員なんだけどあのなんつの
[00:21:52.919] あの前の会社が潰れて最したんだけど
[00:21:57.480] なんかその
[00:21:59.440] 大事に戦わないときつそうこのジにあん
[00:22:02.360] だろ君のために戦ってくださいかとここ
[00:22:06.080] なんかあるだろなかえここジムどこにあん
[00:22:09.440] のここジムにどこにあんの
[00:22:14.000] これ
[00:22:16.039] あジムなくないこ
[00:22:21.159] こっちこっちかな
[00:22:24.559] あしで2時間か申し訳ございません
[00:22:27.840] ポケモン
[00:22:29.799] メントだっけなあとちょっと準備あと子供
[00:22:32.480] ジムのバチはまだ持ってないでしたらまだ
[00:22:33.799] ポケモンジムにどあはいはいはいこの
[00:22:36.039] BGMいいよ
[00:22:37.279] ね
[00:22:39.420] [音楽]
[00:22:43.840] 右上えどこ右上って
[00:22:48.279] こっちドグビビり
[00:22:51.200] ビビりいもこっちないやんあちょっとこの
[00:22:54.240] 辺何出るか見てみどんなポケモン出るん
[00:22:57.240] ですかちょっと俺エパータイプ欲しい
[00:22:59.080] そっち左やねんだこれ誰やこれあ左か
[00:23:01.240] ごめんあ左にってるやん笑じゃ俺右左
[00:23:05.159] わかんねんだってこれガチね何回も言っ
[00:23:07.720] てるけど俺左右毛だから右左わかんねえん
[00:23:09.760] だよこれガチね本当に俺本当にガチねこれ
[00:23:12.880] ガチガチガチ右と左が本当にわかんないの
[00:23:16.240] ごめん
[00:23:16.680] [音楽]
[00:23:18.159] ね左右毛なんだよマジ
[00:23:21.559] で右わからんに進あ待ってこ待ってこいつ
[00:23:25.559] 戦いそう戦いになりそうあいつ回復して
[00:23:27.960] くるありほちゃんこんばんはりほ
[00:23:30.760] こんばんはお箸持つ方な
[00:23:33.030] [音楽]
[00:23:35.840] ありがとうなんかあいつライバル戦いそう
[00:23:38.279] な気がしたよ
[00:23:41.030] [音楽]
[00:23:42.679] 今右左ってタプ掘ろうかな掘った方がいい
[00:23:48.320] ねだったよねそう右利き
[00:23:52.660] [音楽]
[00:23:55.679] え今日なんかエパ入れたいんです
[00:24:01.480] けど挑戦か行くぞどんどん強くなれだと
[00:24:04.080] 行ってくぜヤーコンさんヤーコンって誰
[00:24:06.000] 地面タイプに対して水タイプがあるだけだ
[00:24:07.880] ちょいと苦労するかもなててたおい俺水
[00:24:11.679] タイプいるぞおいここミヒ行けんじゃねえ
[00:24:14.159] のミヒま行けんじゃ
[00:24:18.960] ないミヒまで行けんじゃないのこの辺水
[00:24:22.760] タイプこれ地面タイプのジムだって次は
[00:24:25.159] これ勝ったわず
[00:24:28.640] 行けるんじゃミヒ
[00:24:30.440] GT何
[00:24:32.320] この何このえ何
[00:24:38.080] この
[00:24:42.159] DJ幼い頃がからずテレビにーって
[00:24:47.320] ヘイDかせ
[00:24:52.360] イイなんかこのゲームジムやばいなジムの
[00:24:55.919] BGMめっちゃ良くない
[00:24:58.600] ミレベル上げ
[00:25:00.360] てこちょっと1回様子見ていいレベル
[00:25:03.960] 上げる前にどんくらいのレベルを出して
[00:25:05.480] くんのかこいつらが地面タイプここだから
[00:25:08.159] 地面タイプのは水苦手なんだよね他にも草
[00:25:10.799] タイプ氷タイプも嫌いですよあとこのジム
[00:25:12.559] はですね歩いた部分が照らされるアイテム
[00:25:15.000] の回収し忘れチェックしてたいいね
[00:25:17.720] プラチナ懐かしい
[00:25:21.520] わかんないそれちょっとってみようってみ
[00:25:26.039] ます当たりを信じけ勝利戦う俺のポケモン
[00:25:29.200] ただぜ全部ボスBGMいいよねボスの場所
[00:25:33.440] のBGMめっちゃいいガガガガガガガ
[00:25:39.480] あヤジロンだヤジロン好き
[00:25:45.720] 31パカ
[00:25:48.480] レベルな
[00:25:52.080] 31終わった
[00:25:56.000] やえ待って
[00:25:59.130] [音楽]
[00:26:03.760] 31レベル上げしないとこれはレベル上げ
[00:26:07.000] しないやつやばい
[00:26:10.039] なあすごいすごいすコスモパワー
[00:26:14.480] リップやばいっすねちょっとレベル上げ
[00:26:17.440] えまレベル上げないとダメじゃん
[00:26:23.400] [音楽]
[00:26:29.399] しながら新しい仲間見つけよそうだねそう
[00:26:33.440] だね1回帰りましょうちょっと待ってこれ
[00:26:35.120] ちょっとダメだな
[00:26:36.440] これ本当31これトレーナーが31出すっ
[00:26:40.799] てことはボスボスは
[00:26:42.399] さ35とか出してくるぞ耐えてるの
[00:26:46.360] ちょっとやばい
[00:26:48.880] ねですだと思うトレーナーが31って
[00:26:54.279] こと後半草
[00:26:58.360] いや草いない草はいないちょっとやばいな
[00:27:02.120] 見頼りになっちゃう
[00:27:05.360] ねマジすかそんなレベル高いのここ
[00:27:09.360] 草草入る無理すぎて
[00:27:16.000] 草無理すぎて草なんだがえちょっとミヒま
[00:27:20.720] ちょっと今日進化させたいなだから自分も
[00:27:23.559] 苦しんだ記憶あるここはもじ面とタイプ1
[00:27:27.080] じゃないっけ
[00:27:29.320] 草も地面とタイプ1どういうこと草超えて
[00:27:32.360] 森盛生えた森はえる森生えるちゃんです
[00:27:36.440] どうもこんばんはvtuberのモハ
[00:27:39.440] ですここでちょここってさ多分ね出る
[00:27:43.320] のここ多分は出る多分式レベル方法だよ
[00:27:48.279] ありがとうございたまにいつも見ろ多分ね
[00:27:52.440] 多分ね多分ね多分出るよねあ出る出るどこ
[00:27:56.480] にでもいるなこいつ
[00:27:59.000] サブカルサブカル女どこにでもいるなこの
[00:28:02.320] かきかきサブカル
[00:28:06.919] 女レベルアップあん可愛いね
[00:28:10.670] [音楽]
[00:28:13.600] 沼サブカルどこにもいるないやこれ
[00:28:17.679] ちょっと部が悪いっすよマリいやマリル水
[00:28:21.360] タイプはもういるからいらない可愛いけど
[00:28:24.279] 可愛いんだけど
[00:28:26.240] ねの泣き声して
[00:28:29.200] マリル
[00:28:30.480] プちょぼ
[00:28:32.799] 巻き何
[00:28:35.159] こいつあんだこんなやついたっけちょぼ
[00:28:37.840] 巻きちょぼ巻き来たねョね石黒巻き来た
[00:28:44.080] 石黒巻きこれ何タイプこいつ鋼食っていけ
[00:28:47.519] ないん可愛いだけじゃ食っていけないのよ
[00:28:49.480] 能力思考主義だからどこが
[00:28:52.399] 顔中身じゃないがブラックにやり始めて
[00:28:56.200] から懐かしすぎてBGMいやまあそうだよ
[00:28:59.519] ね思い入れあるとやっぱ涙出てくるよね
[00:29:01.960] これの進化の早い方好きだったえ進化の
[00:29:04.760] 早い方って何えそのちゃんって意外と
[00:29:07.799] ポケモン詳しいんだ
[00:29:10.560] [音楽]
[00:29:12.279] なカレー出てきそうだね確かにカレーの
[00:29:16.559] あれみてだなあのなんなんて言うのあのね
[00:29:20.279] 魔法のランプみたいなやつム2までしてた
[00:29:22.760] よんのカレ世代にはこのゲーム刺さります
[00:29:26.840] ねもやんのかあれねちょぼ巻きこれ結局何
[00:29:31.399] タイプだかよくわかんねえ
[00:29:35.559] なちょっとミヒちゃんレベル上げなか
[00:29:38.240] 厳しいよねあ虫タイプなの待って待って
[00:29:42.559] メガドと待って待って待って待って待って
[00:29:44.320] これ大丈夫だよね大丈夫だよねよしよし
[00:29:45.679] 危ない危ない危なよかったよかったよかっ
[00:29:47.240] た抜群取られるからねこれ
[00:29:49.320] ねちょぼマちょぼ巻きかなちょぼ
[00:29:54.320] 巻きこれ進化するんや
[00:29:58.030] [音楽]
[00:29:59.799] あまあでもこいつちょっと使うかどうかか
[00:30:03.440] まきちゃんだねまきちゃんオちょ待
[00:30:07.559] てキムタが
[00:30:09.280] [音楽]
[00:30:13.039] いる
[00:30:14.559] えちょっとあれは多分んねわい多分ねパ
[00:30:18.120] キムタッパきえびっくりした上のやつに
[00:30:22.000] 見つかったかと思った素早さかなんかで
[00:30:24.919] 防御タイプか攻撃タイプになった
[00:30:28.600] 現れるじゃ卓やセパ王
[00:30:35.279] キムタックえちょっとあれ
[00:30:38.559] は多分ネがいないとこれレベル上げきつい
[00:30:45.270] [音楽]
[00:30:49.720] よよいしょ出現時間帯が違うとかいや
[00:30:54.519] さすがに夜出るでしょいつもいつも夜しか
[00:30:57.120] やってないけどなんでそんな上がるの
[00:30:59.240] なんかまメタルスライムみたいな感じなの
[00:31:01.159] かな扱い的
[00:31:03.240] にちょぼ巻きかるも通信交換でお互い進化
[00:31:07.399] するおもろいポケモンやでちょぼ巻き
[00:31:09.559] イコールかるものメタスラどういうこと
[00:31:11.840] どういうことどういうことちょぼ巻
[00:31:13.440] イコールかるものを通信交換でお互い進化
[00:31:16.399] えどういうことああそういうやつ
[00:31:19.760] かえどういうことにいんだかそれうわ
[00:31:26.200] 可愛い何この
[00:31:29.720] 目か
[00:31:33.039] 目いや部が悪いなでもや
[00:31:38.360] これどうこれ
[00:31:41.000] ね可愛いな
[00:31:48.080] おいあそうなラッキー枠だ
[00:31:52.600] じゃえ草タイプかこいつ
[00:31:59.559] 草タイプ悪くないけどね持ってないし
[00:32:03.600] ねただ俺エスパータイプやね今欲しい
[00:32:06.860] [音楽]
[00:32:10.120] の巻きとカルで交換しないとはなるほど
[00:32:15.720] 長巻とカルモを交換に出すと進化するんだ
[00:32:19.919] 何その変わった進化へえ変な進化の仕方だ
[00:32:23.880] ね
[00:32:26.260] [音楽]
[00:32:28.039] 分ん
