[00:00:05.839] 1コメ剣闘1
[00:07:36.479] はウナちゃんウナちゃんのレベル52だ
[00:07:40.479] けどお前いいんじゃないのぐらいで来れた
[00:07:42.800] けどもリがいいじゃないいいんじゃない
[00:07:45.319] もうもうちょっとやるわもうちょっともう
[00:07:47.520] 行くわさすがに行くわもうさすがに行くわ
[00:07:51.919] えっとねどこだったかなえっとねこのね
[00:07:56.479] なんとかのなんとかの洞窟にいるらしいん
[00:07:58.280] すよプラズマ団がにすまんさすがに
[00:08:01.039] プラズマダク
[00:08:03.199] わ誰かしぬわ知らねえよ知らねえよ
[00:08:07.520] ふざけんなあレミじゃんJK来たどうも
[00:08:12.159] こんばんはJK来ましたねありがとう
[00:08:14.639] ございますJKに見守られる配信あざい
[00:08:17.319] ますシてバンド知ってSIM大好きだよ俺
[00:08:19.400] SIM大好きだよSIMのコパやってたし
[00:08:21.680] うんちょあのあれたでしょランブリング
[00:08:24.840] レミ生きてるよラランあのレミ生きてる
[00:08:27.360] 生きてる生きてる生きてますがな
[00:08:30.440] ちょっとじゃあ行きますかえっと
[00:08:33.279] ねどうすんだっけなま回復はオーだなあ
[00:08:38.599] 知らんでやったのめちゃめちゃドラムうめ
[00:08:40.240] なと思ったよ虫みたいで嫌いです何が何が
[00:08:43.399] 何がのことくあ虫て若くねえなんて言って
[00:08:48.399] ねえだろ若くねえなんて言ってねえだろよ
[00:08:51.240] 若くねえなんて言ってねえよそんなこと
[00:08:52.839] 言ってねえよ若くねえなんて言ってねえよ
[00:08:55.959] ただ10代女子はすごいあいいねっていう
[00:08:59.800] 話はした若くてベリーヤングメンてかも
[00:09:03.399] 止まるすぐ止まるもちょっと頼むよ頼む
[00:09:08.800] よ頼むよ本は17歳息子ああれ息子う息子
[00:09:14.720] て言ったなベリーベリーヤングベリー
[00:09:17.360] ヤングえみんなが言いつけようたのも知っ
[00:09:20.680] てるやなんかさランディがさわざわざ
[00:09:23.720] チャビにさ俺がなんかそのデレデレしてる
[00:09:25.720] 時のさ霊にデレデレしてる時のなんかあの
[00:09:30.160] 切り抜き送ってて笑ったわ何そのなんか別
[00:09:32.880] にその不倫報告みたいなふざけん
[00:09:35.800] なんだと思ってんだお前なんか不倫報告さ
[00:09:39.920] れてた報報道されてた多分おそらくこっち
[00:09:43.399] でしょで
[00:09:45.440] 若いおさんお疲れ今日はがっつり進め
[00:09:49.040] ちゃうんだからねちゃんもこんばんはもお
[00:09:51.480] 疲れもお
[00:09:53.120] 疲れが待してなかったからあれだよが1た
[00:09:58.320] よだもんな今な1年記念だ俺俺とチソは
[00:10:02.040] 今日1年記念らしい年下ん残念年上です
[00:10:10.560] 残念回復してね笑笑ふざけんなよしよし
[00:10:16.680] よしよしよしよしよしよしよしよしよし
[00:10:19.839] よしうちゃんの地震過剰あちょっとあれだ
[00:10:22.320] なあのだよどうせがまたやりされるだけだ
[00:10:26.320] よ記念日にってくちょっと待ってあれあれ
[00:10:29.000] だ笑1年記念記念ですあのサブスクのな
[00:10:33.920] サブスクのなちょうど今日から込めします
[00:10:38.240] また言ってる明日には来ねえよどうせ明日
[00:10:40.680] には来ねえよ知ってんだからちょうど1年
[00:10:43.920] 前にちょうど1年前
[00:10:48.720] にねちょっと待ってあれね育てたんだよ
[00:10:51.600] あれみんどこまで見たっけたのどこの誰だ
[00:10:54.040] 本当だよな
[00:10:55.839] ドマンやっぱとまんよ育てましたよこれ
[00:11:00.160] やべえちょっとあれだあれちょっと回復し
[00:11:02.720] てくるPP回復してくるわ俺は
[00:11:04.880] 生まれ変わった復
[00:11:08.279] ハーモニカハーモニカ独3日と日坊主だ
[00:11:11.839] あいつはただの坊主だってあれだもんあの
[00:11:15.000] 次られ必死すぎのりだっ
[00:11:23.160] たらはどうあれだよエした女にはたくなる
[00:11:27.000] から
[00:11:29.360] だろ俺んとこじゃなくて絶対そうだよゆ
[00:11:32.440] そういう男だもんあんなにお前こないだ
[00:11:35.440] まで1コメ取れなかったら切れてコメント
[00:11:37.440] でコメントしなくなってツイートで
[00:11:39.279] ぶち切れたのにちなみにボテのとこでも
[00:11:42.000] 取ってるの見ましたけのとこでたまに狙っ
[00:11:45.480] てるお前ケト2時2時で始まるんじゃねえ
[00:11:47.920] かよ配信俺2時10分ぐらいまでやったら
[00:11:50.360] どっち優先すんだよケト優先すんかやいい
[00:11:53.800] んだけど
[00:11:54.760] さいいんだけど
[00:11:57.040] さもちろんちゃ
[00:11:59.800] 本どうせ逆のこと言ってん
[00:12:02.680] だあどうせ逆のこと言ってんだどうに行く
[00:12:06.200] よどうせな俺のお尻の米よりあの1コだろ
[00:12:15.079] メンヘラだから言っとけど俺もかなり
[00:12:17.360] メンヘラだからね超メンヘラ付き合った
[00:12:20.800] 付き合った女のLINE全部見ます
[00:12:23.519] 付き合った女のLINEの男全部消します
[00:12:29.600] いいよもういいよ嘘だよいいよどうで
[00:12:32.880] もラ無理それだからドトなんじゃないのか
[00:12:38.040] 笑笑全部消すよ当たり前だろリマンできる
[00:12:41.120] んえなうんこれで営業やってるからね
[00:12:43.600] 恐ろしいだろいなかってのは何でもありな
[00:12:45.920] ん
[00:12:48.480] だメンヘラじゃない俺は俺は束縛されんの
[00:12:52.560] も束縛すんのもやだ自由でいいと思います
[00:12:55.240] うん自由でいいんじゃない男女の男女の
[00:12:58.519] 恐ろしや何がいいのうんいやわかんない
[00:13:02.040] わかんないそんなのわかんないよ分かり
[00:13:04.760] ません好きにならないとわかんなくないで
[00:13:07.519] はそういうのが流行ってるで通る不これが
[00:13:11.440] 普通みたいなや通ねえけどなんねんけどな
[00:13:14.519] てかこのうん尻にしかれて全然
[00:13:18.360] いいうちゃんの
[00:13:23.199] 怪力はい一
[00:13:25.639] 発なんかこの辺なんかありそうだな下ネタ
[00:13:29.560] やめてくかさいはい一発はい一発わゲップ
[00:13:35.199] 出るもうちょっともうゴールドスペ使い
[00:13:37.199] まくるわめどくせえからトレーナーだけで
[00:13:40.120] 十分輸血できるね輸血できるよ俺レミには
[00:13:42.880] 輸血できるからチャピ何型なのオスみれ
[00:13:46.399] ビオスみれゲップやめてねゲップも
[00:13:48.920] アイデンティティだろうが
[00:13:52.759] 助
[00:13:54.279] 風あ残念輸血できない
[00:14:00.440] でもAとOだねAとAとOじゃあれだなあ
[00:14:04.000] なんでもないなんでもない
[00:14:06.560] やめよなんでもないとんでもないセクから
[00:14:10.160] 俺言うとこだった何でも輸血できるんじゃ
[00:14:12.759] なえそうなのそんなそんななのそんなな
[00:14:18.000] のそんななのバなんでなんでバなんでだよ
[00:14:22.600] あそうなんだじゃみんなに俺の血あげるよ
[00:14:26.279] あケトベタだ珍しいケトベータだ
[00:14:29.959] ベーじゃんケベ
[00:14:33.320] 何型何型な
[00:14:36.440] のしはな
[00:14:58.040] ののちょっとちょっと度上がったあの
[00:15:02.320] TwitterあのTwitterじゃ
[00:15:03.920] ねえやあのパートナーのチェックマーク
[00:15:06.680] つけてないのちょっと
[00:15:08.240] 僕交感と上がりましたねこれ見がりつけて
[00:15:11.440] くんのかなと思った
[00:15:17.680] けどいいっすねもうなんか遠いちゃった
[00:15:20.880] からなケトはなケはちょっとマークに敏
[00:15:26.759] だあれけてる全員ブロックてる
[00:15:29.560] にスタンプ通報されらしいじゃ見たよ俺も
[00:15:33.079] 見た見た見たなんかスタンプ3つぐらい
[00:15:35.560] 消されてたよなスタンプ3つぐらい消され
[00:15:39.199] てて笑ったわ何あれなんであおもろかった
[00:15:41.880] なんであんななんなの急に
[00:15:47.399] ね最なんです
[00:15:51.040] ね危ねえや岩なれとか当たったらやべえよ
[00:15:54.759] わしないってこと村んであれ消だね
[00:16:00.160] あチカさせんななのポリゴンポリゴン
[00:16:03.440] ショックになるからなポリゴンショック
[00:16:05.920] どうするケンお知らないやつから電話
[00:16:07.880] かかってきてざみろて言われ
[00:16:10.120] たらあのポリゴンショックあった時にさ
[00:16:12.639] あのポケモンの海の親のさあのサの電話に
[00:16:16.160] 全く知らねえやつからざみろて電話があっ
[00:16:18.759] たらしい
[00:16:23.639] よあそうなんだ
[00:16:30.120] ポリンショッアウトだろ指定あるのかえ
[00:16:33.720] 待ってこれどこ行くのていうかここじゃ
[00:16:35.360] ねえのえ待ってプラズマダンてどこにいん
[00:16:38.639] の
[00:16:40.199] ドシプラズマダンてどこにいんだ邪魔なあ
[00:16:45.800] ねなんかもう結構パウワウやんけポリゴン
[00:16:49.480] でできてるちゃがポリゴンショップならん
[00:16:51.680] やろ誰がポリゴンやねお前この滑らかな
[00:16:54.560] 曲線を見ろお前ポリゴンじゃねえだろうか
[00:16:58.959] 3DCGだよ俺はもう最新のアンリアル
[00:17:01.360] エンジンヤホーポリゴンにあギガさん
[00:17:05.240] こんばんはねこれどこ行くのこれあここ
[00:17:07.919] ちゃうタプやスマホでんで見るとよう
[00:17:11.439] ぞパリッシュお疲れお疲れちゃんガさん
[00:17:15.720] ありがとうえだってちゃのポリゴンある
[00:17:18.160] じゃんリアルであリアルV
[00:17:21.199] ね何が笑笑やねん何が何わろてんねんちょ
[00:17:25.480] また今度あれやろうなあのなんだっけ
[00:17:29.799] 雪山人狼
[00:17:49.960] やらかさ一にやったて
[00:17:59.640] えさエベちょっとやろうよ誘ってよ
[00:18:04.240] ケベスお誘ってよやるよ全然エペ
[00:18:08.960] 俺あこれが敵の船らしいですねプラズマ
[00:18:12.640] ダンのペやるんだ昔ちょこっとだけやって
[00:18:15.600] たちょこっと
[00:18:18.280] だけハンマーぐらいだったら取ったこと
[00:18:20.559] ある俺ハンマーぐらいだったらオムに
[00:18:23.000] ちょっとだけするpubgはやったこと
[00:18:26.000] ないエペみたいエペやってみるないよ2人
[00:18:29.799] で気まずい空2人切りですげえ気まずい
[00:18:34.720] じゃん気まず本人の前で言のもだけど絶対
[00:18:37.640] 2人切りになったら気まずいよ俺
[00:18:39.480] らなんかあのよくあるじゃんなんかさあの
[00:18:43.480] 画像でさなんかさ犬がさ越しにはめっちゃ
[00:18:46.600] 結喧嘩してんのにさ檻が開いてたらもう
[00:18:48.880] なんかなんかこんななっちゃうやつやろう
[00:18:52.360] ぜケ
[00:18:55.480] 笑笑笑やろうぜ
[00:18:59.799] れ
[00:19:01.640] なるよ俺のが下手くそだよ言ってるけど
[00:19:06.159] 実際2人よろしくお願いし
[00:19:12.760] ますも入れるやだ俺絶対野良になんか言わ
[00:19:16.960] れたらショックだ
[00:19:19.240] もんあ来ましたそっちは任せたお前ならだ
[00:19:23.480] ぞ行くぜ行く
[00:19:27.720] ぜ壊滅戦行く
[00:19:30.480] ぞでもなんかたまにエペとかやりてえマジ
[00:19:33.320] でちょっとやろうよ誘ってくれたら全然
[00:19:36.280] やる
[00:19:37.200] よ金曜とか土曜の夜だったら全然時間
[00:19:39.960] 合わせるし
[00:19:41.880] プラズマデレ
[00:19:45.720] デデデでんでんえ何バトンタッチってお前
[00:19:50.240] だったら最初から出てくんじゃねえようわ
[00:19:56.280] うざてててててててて砕ける鎧って何え
[00:20:02.039] 防御が下がった素早さが上がるあああった
[00:20:04.880] なこんなんな入れ替えます僕もじゃ
[00:20:07.120] 入れ替え
[00:20:08.880] ます毒タイプでしょガブで行く
[00:20:12.000] わガブさレベルでさ自信覚えねえのかよ
[00:20:16.320] 自信
[00:20:17.360] はレベル的に大丈夫全然余裕だよ毒になん
[00:20:22.000] なよ危ねえ穴掘るじゃ外きついぜそろそろ
[00:20:25.720] ちょなんで2回攻撃すんの
[00:20:27.640] お前もこのゲームそれでも落ちんのがこの
[00:20:30.200] ゲームなんだよ64レベル落とされてんだ
[00:20:32.559] から1
[00:20:34.640] 回ケベたたまにしか来ねえけどたまに来る
[00:20:37.520] とめっちゃコメントすんだよなほらほら
[00:20:40.360] ほらケベたなんか俺の配信なんかもう
[00:20:42.799] すげえたまにしか来ないのに来たら来たで
[00:20:44.640] コメントめっちゃつんねんなありがとな
[00:20:47.159] ありがとう
[00:20:48.720] ありがとうミルホグはウナちゃんウナ
[00:20:52.919] ちゃんの飛び膝蹴りだよウナちゃんの飛び
[00:20:56.480] 膝蹴りはい一発
[00:20:59.280] よこんな頭で営業やってますあどうもつっ
[00:21:02.400] て弊社の商品いかがでしょう
[00:21:07.000] かおド
[00:21:10.600] よしはい一発髪型そのまんまいやさすがに
[00:21:15.720] 違うさすがに違うさすがに下ろしてここ
[00:21:17.640] 隠すよ全部今こっちに流してるけどこうこ
[00:21:20.760] こ
[00:21:22.799] こうこっち流す楽でいいんだよ邪魔だから
[00:21:25.600] 今回のポケモンはリスナーの名前使わない
[00:21:28.640] って言ってたのに
[00:21:32.120] マだってだってお前リスナーっていう人間
[00:21:36.080] の枠とJKっていう人間の枠を同じだと
[00:21:39.320] 思うなよJKの名前はあれだろ
[00:21:42.840] かJKの名前は使うだろ普通に当たり前
[00:21:46.279] だろこないだほどでビオってやつがやって
[00:21:49.159] たのはあっちからだったな別
[00:21:51.600] だろうそうだよ別集合隊だようわ邪魔それ
[00:21:55.760] だからなんだ
[00:21:57.520] よランダムサンプリングだランダム
[00:22:01.039] サンプリングよよくわかんねえごめんなん
[00:22:03.159] でない今のは今のはなしにしてなんだお前
[00:22:05.520] ら言っておく俺は今から怒るぜしかも
[00:22:09.559] サブスクもあげて
[00:22:11.559] たサブスクあげてた次の日朝起きて俺の
[00:22:16.120] なんかペイパルからマイナス600円って
[00:22:17.840] なっててなんだマイナス600円ってと
[00:22:19.480] 思ったらそれだっ
[00:22:21.679] たレレでランダム
[00:22:25.360] サンプリングランダムサンプリングだろう
[00:22:27.840] よ行くぜでこれウナちゃん戦闘間違ってる
[00:22:32.000] 気がするな
[00:22:33.080] 俺ウナ戦闘じゃねえだろこれちょちょっと
[00:22:36.159] 待って戻そうウナ戦闘無理無理無理ガブで
[00:22:39.640] ガブ戦闘にしたいこれ毒タイプが多いから
[00:22:42.360] こいつは
[00:22:46.520] 多分BGMかっこよすぎる
[00:22:51.880] やろお前ちゃうて
[00:22:54.159] お前は私1ねえだろ子がドラム叩いてる見
[00:22:59.799] たよめちゃめちゃでけえ息子がハブネーク
[00:23:03.120] 懐かしいねでも俺はやっぱりハブネーク
[00:23:05.080] よりあれ派だななんでそっちやるんだよ
[00:23:07.720] バカたれお前おいお前はなんで俺の狙っ
[00:23:11.440] てる方やっちゃうんだゴルバットをやれよ
[00:23:14.520] お前はないよ女の子は嘘つかないけど男は
[00:23:18.120] 女って嘘つくんだ
[00:23:20.799] よあ来たよしナイスナイスナイスナイス
[00:23:23.840] これ穴を掘て一発
[00:23:25.840] ですだからさ
[00:23:28.720] お前ゴルバットやれお前全部嘘だよしゃ
[00:23:33.760] おらおらおらよしよしよし
[00:23:38.559] ポンポンポンはい
[00:23:42.320] ざかな落ちねじゃから今度あれやろって
[00:23:46.120] JK人狼やろってJK人狼誰が本物のJK
[00:23:50.200] かを当て
[00:23:53.279] るっていうどうやってJK
[00:23:56.559] 人狼コメントで
[00:24:01.120] 落ちる落ちない
[00:24:07.240] か心の
[00:24:11.320] 出
[00:24:15.039] オ余裕じゃん可能ですか参加可能ですの
[00:24:19.640] 優勝じゃんねなんでお前が優勝するんだ
[00:24:22.760] だったある
[00:24:25.240] やらやばけるやばけるそれなそれ
[00:24:33.000] なこないだのコメントめちゃめちゃ
[00:24:35.840] 面白かったわすごい
[00:24:40.240] 受けるポケモン楽しいポケモン楽しい
[00:24:43.240] ポケモン受けいや今のJKポケモン知ら
[00:24:45.279] ねえから知らねって言われたもんだってえ
[00:24:48.039] 全然こんなポケモンやったことないんです
[00:24:49.480] ポケモンって何です
[00:24:51.880] かポケモン知らねえらしい今のJK
[00:24:55.120] はよし
[00:24:59.039] もうがっつり進めちゃうんだからね今日
[00:25:02.320] はガツガツに進めるぜ知ってる
[00:25:05.880] よでもこれ知らねえだろ仲間に知らせない
[00:25:09.600] とこのパルールに
[00:25:12.399] モンタパルワパらしいよこれなんからしく
[00:25:16.080] て俺もやった何これあいつらちでこ連れて
[00:25:19.919] なかったなバリアだなさっきのやが言った
[00:25:23.440] なスイッチを押して解除すればいい手して
[00:25:25.200] スッチをす
[00:25:27.320] ぜパルワールドなおれんか
[00:25:30.480] あれどこスイッチってこれ
[00:25:34.760] かげいらねえ元気のかけいらない売るこれ
[00:25:39.320] は蘇生禁止縛りだから
[00:25:42.640] なスイッチを探せめっちゃ人いるまたか
[00:25:47.159] よおっと俺は怪しくないですこんな格好し
[00:25:51.360] てますけどもっとプラズマだですいざと
[00:25:52.960] いう時なにスパイでこでかお前そう言っ
[00:25:54.960] ちゃっていいんだ大変だな昔の仲間を
[00:25:56.559] 見張るなんてでお前はひ儀で奪れたチロ猫
[00:25:58.760] 知らねえよちょろ猫なんてなちょそれは
[00:26:00.720] ちょっとわかんないっすだよな世界服を
[00:26:03.279] 制服を企んでいた連中に期待してないし
[00:26:05.799] なんなのあいつあいつもあいつで結構性格
[00:26:07.840] 悪いけどなううポケモンちいたかった
[00:26:10.880] 気持ちは本物なのにモンスターこれは許し
[00:26:14.320] てよなんで他のコロネじゃダメなんです
[00:26:17.799] チョコロネじゃなくてチョロネコな美味し
[00:26:20.080] そうな名前になっちゃってなんだチョコロ
[00:26:21.480] ネっておい女だみんな
[00:26:24.600] 女女がいっぱいいるここ
[00:26:29.039] けけけ女がえケた無理にコメントしなくて
[00:26:32.760] いい
[00:26:36.039] よ2回使って2回死にまし
[00:26:40.360] たやはりメスやはりメスだ
[00:26:46.200] なやっぱウちゃんが1番よやはりうちゃん
[00:26:51.120] が1番
[00:26:58.399] ちゃんの自信
[00:27:00.880] 過剰本当に自信過剰だからなあいつ
[00:27:04.200] な女がいるだけで営業も頑張れるそうだ
[00:27:07.880] 営業も頑張れるよばかりと思って海に返し
[00:27:11.159] たんですよそしたらそ心だったよどういう
[00:27:14.600] ことどういうボケそれわかんねえどういう
[00:27:17.200] ボケだよそれ何そのなんかAI神優みたい
[00:27:21.279] じゃんお前AI神優みたい
[00:27:25.240] リカド思ったら
[00:27:29.080] たのでしたん優じゃんそのわの分からなさ
[00:27:36.039] よよじゃねえだろどこがですよねどこが
[00:27:40.720] どこがよな
[00:27:43.240] のどこがデよや
[00:27:47.080] ねですよてどういう
[00:27:49.640] ネタコメンコメントコメントの方です
[00:27:57.120] よいここで穴を掘っちゃまずいでしょフレ
[00:28:00.039] だよここ穴掘っちゃった終わった沈没だ穴
[00:28:03.480] 掘っちゃったですよの最近は謝るあらあら
[00:28:06.080] こあここここまで出れるんだ穴を掘るって
[00:28:09.000] じゃあ回復してこようあいやでもだめか
[00:28:10.720] ここじゃだめかです4の最近
[00:28:15.279] は謝ること
[00:28:18.399] ばっか回復
[00:28:21.760] どこミックスオレ飲ん
[00:28:25.080] じゃう本人登場邪魔お前さそれさ誰だ誰
[00:28:30.919] だっけなどっかのさレイドの時にさどっか
[00:28:34.720] のレイドの時それ貼ったべ古すぎるわ困っ
[00:28:38.760] てたじゃんなんか全然なんかあ面白い方
[00:28:42.240] ですねみたいなお前ちょっと考えて貼れよ
[00:28:45.440] おすめの
[00:28:46.640] クリップ地蔵さんのとこだったかなだん中
[00:28:49.320] でそれ張りやがってフルすぎるよそれお前
[00:28:51.519] どっから引っ張ってきたの
[00:28:55.519] それもっとおもろいの晴れよな
[00:28:59.679] 気まず
[00:29:03.799] 気まずふプラズマダの女
[00:29:10.799] 好き
[00:29:14.279] レレレみやキャッツは笑ってたね俺笑うに
[00:29:17.440] 決まってるだろ笑わざる終えないだろうが
[00:29:20.000] おらちゃんのが最高誰れめちゃめちゃ
[00:29:23.279] おもろいよな誰でもいいんだろ誰れでも
[00:29:25.760] 良くねえよ誰でも良くねえよ
[00:29:28.880] 誰でも良くないけど俺の配信に来る人は
[00:29:30.960] それだけでも条件クリアだから俺の配信に
[00:29:33.080] 来ない女は
[00:29:34.279] だいや嘘ですそんなこと
[00:29:38.279] ないまでもこんくらいだったら余裕だ
[00:29:41.480] べやばいそれはあ
[00:29:46.159] 痛い
[00:29:49.840] 痛いうちゃんさ飛び外すからなんだよ
[00:29:54.799] なクロップとえねんかップとか
[00:30:02.640] はこのBGかっこよすぎ
[00:30:08.320] な
[00:30:15.080] オオあいつら俺の好きなんおるなおるなん
[00:30:28.320] ねえまでもいいとこあんだろうな
[00:30:32.159] ップそそう貼るなそれ
[00:30:35.279] おいそのクリップはんじゃねえよでも
[00:30:38.600] あいつら俺のこと好き
