[00:00:06.040] 1コメは俺
[00:05:00.120] もらったりしたけどちょっとそういうのの
[00:05:02.639] 2番戦時だと思われたくないんで結婚式か
[00:05:05.120] ないや全然そうじゃねえよそういうんじゃ
[00:05:06.840] ねえよそういうことじゃねえけどいや多分
[00:05:09.919] みんなビビると思うなうんおめでとういや
[00:05:13.680] ちゃうわ結婚せん
[00:05:15.400] わ今からですね準備しとあることをに対し
[00:05:19.639] て取り組んでもらってるんですよこれ
[00:05:21.759] ちょっといやまちょっとまそれまとり
[00:05:23.520] 楽しみしとけとりあえずなこの1年
[00:05:25.319] ちょっとずつちょっとずつちょっとずつ
[00:05:27.160] ちょっとずつあの解散
[00:05:30.000] 解禁してくんでねああんな感じでみにとみ
[00:05:33.600] にてく
[00:05:37.919] ウディこんな感じでございますはいみな
[00:05:41.479] うんそれで来てくれなうんあんな感じで
[00:05:44.800] やりますか今日
[00:05:48.039] もお疲れちゃんどうもお疲れどもお疲れ
[00:05:51.400] ちゃんどうもちゃまゲームです今日もえ
[00:05:54.319] やってきますよあのなんだっけえポケット
[00:05:57.960] モンスターえラ2人生縛りやっていきます
[00:06:01.199] よろしくお願いしますなんか今日はげてる
[00:06:03.080] 俺今日た
[00:06:04.400] じゃんあのなんかハゲてるここなんかはげ
[00:06:07.479] てるカーじゃないのじゃあれもうきれん
[00:06:12.080] なったわなんかさそうこの発表に合わせて
[00:06:14.919] アシというかさ車というかなんていうか
[00:06:18.120] その潜在写真というかこれから活動してく
[00:06:20.919] にあたってなんかその俺の写真っていうの
[00:06:22.759] を撮ってきたんだけどあん時はね細川孝の
[00:06:26.240] ことが知らないであのおしちょっとかなり
[00:06:28.960] 可愛いねあのお気に入りのねフリースの
[00:06:31.639] パーカーパーカーじゃないあのジャケット
[00:06:33.759] 買って買ってきてたのにもうなんか切れん
[00:06:37.440] なったわ細川高しのせいで細川高の2
[00:06:39.919] ピーカじゃねえか完全に細川高しの2ピー
[00:06:43.759] なあ弟子になっちまったかまさか被ると
[00:06:46.440] 思わねえだろあんなお前フリースの
[00:06:48.720] ジャケットなんてなかなかねえぞあんなド
[00:06:52.000] ハなフリースのジャケットでデブが来てて
[00:06:55.039] これだ被ることねえと思った被ったね
[00:06:57.120] まさかのね完全にもう切れなくなった
[00:07:00.080] れなくなりまし
[00:07:02.639] たまそんな感じでねチームだたりと
[00:07:06.199] アイコンまもうこのチャンネルのアイコン
[00:07:08.840] とかもそれ切り替えてうんでやってこうか
[00:07:11.759] なとの上下で15万そうめちゃめちゃ高い
[00:07:14.160] ねめちゃめちゃ高いねあれねめちゃめちゃ
[00:07:15.879] 高いつねそうでなんか
[00:07:18.520] あのYouTubeも
[00:07:21.000] え再指導ということでまあYouTube
[00:07:24.520] はそのさ別にそのこれで何
[00:07:28.520] あのなんて言のあの登録者増やそうとか
[00:07:33.360] あっちのでなんつうかお客さんを獲得
[00:07:36.280] しようとかじゃなくて本当にもうブログの
[00:07:37.800] 延長戦上でま俺のこと知ってる人が見て
[00:07:40.919] くれれば楽しんでくれればいいなっていう
[00:07:42.440] 感じの緩い感じなんでねよかったら見て
[00:07:44.400] くださいあのVLが1個上がってますあの
[00:07:47.520] こないだワルが遊びに来て宇都宮遊び行っ
[00:07:50.280] たんだけどその時の動画が緩いのが上がっ
[00:07:52.240] てるんでああいうのをなんかたまに
[00:07:54.199] あげよっかなと思ってなんか配信外で遊び
[00:07:55.960] 行った時にと動画回したりとかしたやつ
[00:07:58.159] あとはこのイベントのことだねその12月
[00:08:00.120] にやるイベントのことの情報の解禁なんか
[00:08:02.479] もそこでやってこうかなって思っててま
[00:08:04.560] そんな感じです別になんか登録者増やそう
[00:08:06.400] とかあっちでなんか収益取ろうとかそう
[00:08:08.360] いうことじゃないんでまゆくやってきま
[00:08:10.199] すっていうあとブログあの
[00:08:12.360] サブスクライバー限定でやってたブログを
[00:08:14.199] 一般公開してまそっちでもうんま別に何も
[00:08:18.319] ないっす別にだからま普通にあそこは趣味
[00:08:20.599] のところというかこれも趣味なんだけどま
[00:08:22.120] 俺はもう本業がこの配信なんでこれ
[00:08:26.159] Twitchをおろさにすることはな
[00:08:27.520] いっすうんなんでねあのまあちゃまゲーム
[00:08:30.039] を楽しむためにちょっと可愛いじゃねえか
[00:08:33.000] Twitterのアイコン細川高しのま
[00:08:36.279] あんな感じで今日はあま今日はというか
[00:08:39.360] いろんなねあのま発表しましたけどま別に
[00:08:41.800] 何も変わんないっすね言っても言っても
[00:08:44.159] 変わんないっすうんみんながなんか
[00:08:45.720] 楽しめることをちょっと増やそうかなって
[00:08:47.240] いうだけなんで別になんか俺がなんか
[00:08:48.600] 変わるとかじゃないっすなのでねまみんな
[00:08:51.440] ご安心してくださいあじんちゃん
[00:08:52.800] こんばんはじんちゃんこんばんはいやいや
[00:08:54.360] いやいや皆さんが応援してくれるからね
[00:08:56.399] ちょっと今年頑張ろうっていうジ今日ここ
[00:08:58.399] はげてるこれなんで今日円形立つもかも
[00:09:00.399] しんねストレスで今日だからいろんな
[00:09:03.000] ちょっとだからさ発表に合わせてバーって
[00:09:05.040] 色々やってたからさ帰ってきてなんかその
[00:09:07.320] 発表終わったら寝ちゃったね寝ちゃって
[00:09:10.240] こんな時間なっちゃいましたすいませんで
[00:09:11.600] 今日もポケモンやってきますから今日は朝
[00:09:14.160] までやりますから皆さんね朝6時ぐらい
[00:09:16.320] まで発表ストレスちゃうねこれ発表する時
[00:09:19.760] ってこううずうずすんねんありがとう
[00:09:22.000] ありがとうありがとうありがとうこうね裏
[00:09:23.839] で動いてる時ってもう今もそうあの要は
[00:09:26.279] 12月のイベントに対してめちゃめちゃ
[00:09:27.680] 動いてるのいろんな人と打ち合わせした
[00:09:29.720] 色んなこと確認とったりわって裏で動い
[00:09:31.839] てるんだけどそういう時ってでも表には
[00:09:33.959] 言えないじゃん表には言えない言わない方
[00:09:36.160] がいいのなんかさちょっと口滑らせて言っ
[00:09:38.680] ちゃうとその発表した時で攻撃力が下がる
[00:09:40.880] んねいかにこう我慢して我慢して言う時に
[00:09:43.680] ドンて出すかだからそれだからもう
[00:09:45.680] めちゃめちゃうずうずするんよわ言いたい
[00:09:47.839] 俺今今で言いたいもんだって俺もうこれ
[00:09:50.279] あの12月のイベント何やるかすごい言い
[00:09:52.399] たいけど我慢してるすごい言いたいけど
[00:09:54.440] 我慢してんだよその来る発表の時まで言わ
[00:09:57.360] ね言わね言わねでもしというだけです
[00:10:00.440] 楽しみにしといてくださいちょっとま
[00:10:03.320] いろんな配信者をま集まるといういろんな
[00:10:06.000] 配信者にが何かをみたいなような感じです
[00:10:10.079] もうやめはいそんな感じですはい楽しみし
[00:10:11.760] くださいま今日はねとりあえずポケモン
[00:10:13.160] やりますから朝までやりますよハードルを
[00:10:14.920] 上げていくじゃあげていいよ全然あげて
[00:10:16.760] いい全然自信あるもん全然自信あるもん
[00:10:20.279] 全然あげていいよあげるあげるガンガン
[00:10:22.440] あげるよ発表そのそんくらいのあの感じ
[00:10:27.279] です本当にみんなも多ちょっとびっくり
[00:10:28.680] するんじゃないかな思うわうんあんな感じ
[00:10:31.120] ですはいにげてくあげにあげてお前らも
[00:10:33.519] 期待しとけよそんな感じで今日はポケモン
[00:10:35.399] やってきますけども今日は朝までやって
[00:10:36.839] ですねまちょっとポケモンゲームの話に
[00:10:38.200] なるですけどリオルをね進化させたい
[00:10:40.720] リオルを進化させさせまさせたいランカの
[00:10:43.760] ハードル上がってます上がってますもや
[00:10:45.120] さんこんばんは今日はちょっと色々発表し
[00:10:47.160] まして僕Twitterでねちょっとそれ
[00:10:48.560] の話ロザリーを進化させますハグできるよ
[00:10:51.800] できるできるハグ券1枚5000円で売る
[00:10:54.480] わうんこんな感じでそんじやってきます
[00:10:56.120] からよろしくお願いします
[00:10:59.399] 違うどれどれだ
[00:11:01.680] たこれだ買うわあどうもやってきますよ
[00:11:07.200] よろし頼んま
[00:11:09.000] せししと電話したらしいねなんで知ってん
[00:11:13.519] だんなことなんで知ってんねあお
[00:11:16.320] こんばんはおこんばんはおく
[00:11:18.560] こんばんは
[00:11:22.600] 映るちょっと待っちょっと待ってなんかさ
[00:11:25.680] 最近DSの調子が悪いDSの調子が悪い
[00:11:33.040] えちょっと待って映んないんですけど動か
[00:11:36.360] ないんですけどDS
[00:11:40.639] がえちょっと待って怖いちょっと怖い怖い
[00:11:45.200] 怖い怖い怖いおつあれか
[00:11:48.720] なやっぱ正品じゃない
[00:11:51.800] からえちょっと待ってマジで映ないじゃん
[00:11:55.279] なんで映ってんだけどなんか映ってんだ
[00:11:57.880] けどなんか待って壊れたんかいねあれ
[00:12:00.839] ちょっと待ってねやばいだからDSの調子
[00:12:03.880] 悪いあ渡る
[00:12:05.480] こんばんは
[00:12:07.880] えああよかったよかったよっったはいはい
[00:12:11.279] はいはいはいはいはいはいはい我れじゃ
[00:12:14.399] ねえよふざけんなよ我れじゃねえよお前ら
[00:12:17.320] 俺はガチだからなガチでDSでやってる
[00:12:19.800] からDSではいやってきますからよろしく
[00:12:22.639] お願いします今日もですねあのポケモンを
[00:12:26.839] やっていきますよシクシクとあ渡るあれ
[00:12:30.160] あのvlogあの投稿したから投稿した
[00:12:33.519] からはいパーティーを見てくれパーティー
[00:12:35.800] を見てくれまずはねレベル19ルカリオの
[00:12:39.560] ロザリオまだリオルなんだけど今日は今日
[00:12:42.480] はちょっとこいつを進化させたいなって
[00:12:44.800] いう日をございますこれなんか昼間しか
[00:12:47.519] 進化しないらしいんだよ朝から昼間しか夜
[00:12:49.680] は進化しないらしいんでちょっと4時4時
[00:12:52.279] 以降朝4時以降じゃないと進化しないん
[00:12:54.320] だってだからそれまでちょっとこいつを
[00:12:55.519] 育てて今日朝ちょっと進化させられたら
[00:12:58.040] いいなという
[00:13:04.160] のレベル18進化しちゃいましたけどねで
[00:13:07.440] ございますまいいんじゃないですか
[00:13:09.600] なかなかはいエこいつは壁ですこいつも
[00:13:12.880] 肉壁どうでもいいこいつここコイルこいつ
[00:13:23.399] もる
[00:13:25.120] 足るやかん
[00:13:28.120] からの夏上げたいココイルコイルココイル
[00:13:32.279] コココイルですはいこいつも進化させたい
[00:13:34.160] ね確かレベル30だったかなでこいつも
[00:13:38.279] 進化すたブーちゃんこいつもレベル30な
[00:13:40.320] んすよね進化まだまだちょっと先なんす
[00:13:42.440] けどえやっていきたいと思いますことは
[00:13:44.720] ブーバーできるよそうなんですよ
[00:13:46.199] ブーバーン生きてんだよでなんかごめん
[00:13:47.720] あのね昨日さっきねあのちょっと動かし
[00:13:50.519] たかこいつとの会話イベントやっちゃった
[00:13:53.399] あおはようおはようさんこんばんはでこれ
[00:13:55.240] からどうすんのでジムリーダーのあったん
[00:13:57.480] でしょポケモンジニてするかもねと
[00:13:59.680] ありがとうじちゃんお疲れちゃんプライム
[00:14:01.680] サブスク29ヶ月やば草どんだけだよ29
[00:14:05.480] ヶ月も俺のことサブスクしてんの
[00:14:06.839] ありがとうトレーナーでる君のこともって
[00:14:08.639] 分かってくれるだろうしちょっと待って
[00:14:09.759] これもうラスボスじゃないボス行くん
[00:14:12.160] かなんかジム行くらしいっすねもうねジム
[00:14:17.120] 29ヶ月やばいよだってじんちゃんあれだ
[00:14:19.399] もん俺の服めっちゃいいねいいしょ細川
[00:14:22.000] たしジャケットの色違いみたいないい
[00:14:26.600] だろちょっと待ってえっとねどこだったか
[00:14:29.600] なジムジムどこだったっけもうもう見つけ
[00:14:31.639] てんねんな確かこの1番端っこだったかな
[00:14:34.360] 3人目のジムです今日5個ぐらいジム行け
[00:14:36.440] ねえかな5個目ぐらいまできたいよ
[00:14:38.839] ねこの土日がっつり進めようと思ってるん
[00:14:41.720] であこれここここここここここここジムや
[00:14:44.759] でここがとりあえずとまあれこんなだった
[00:14:48.519] かななんかすごいBGMが不穏ここはジム
[00:14:52.600] だね何タイプだったかなガドいやプラズマ
[00:14:56.000] なんやジムリーダーを探して運シティさを
[00:14:58.079] 人が起きてったでしょうえというわけで
[00:15:00.040] これをさですあざすあざす美味しい水えレ
[00:15:05.040] も美味しい水を回復ポケットにしまいまし
[00:15:06.399] たあざすこのジムはですねまさに眉が
[00:15:08.560] テーマです眉の中に中に眉の中に入り糸を
[00:15:11.000] 伝わってどんどん上に上がってください眉
[00:15:13.360] と糸は必ずアーティさんに繋がっています
[00:15:15.199] はいはいはいちょっとここ虫タイプかな虫
[00:15:18.519] タイプだとしたらブビ最強なんじゃない
[00:15:21.839] ここでがっつりレベル上げちゃおうかね
[00:15:23.360] ブーちゃんねブーちゃんがっつりレベル
[00:15:25.480] 上げちゃおうかね眉は読めるのにけなげは
[00:15:28.199] 読めないいや読めるよけって読めたのに
[00:15:30.880] お前らが気キ言ってんだろなんかさも
[00:15:33.000] けなげが間違いみたいな感じでさ言って
[00:15:34.839] けどけあれあれケってなかなか呼ばねえ
[00:15:37.480] からなお前らだけだよケて呼んで喜んでん
[00:15:41.000] のえこえこなもうえこりんさこいつもいら
[00:15:45.759] ねえだろも今日こいつ死んでもいいと思っ
[00:15:48.480] てる正直もうこいつももうもうちょっと
[00:15:51.880] なんかあの愛情注げないこいつに俺愛情げ
[00:15:56.199] ねむだろ
[00:15:59.079] のはだって違うやんだって魔剣の気って
[00:16:02.720] 死んでもいい死んでもいいそういう意味
[00:16:04.480] じゃない変な意味じゃないっす変な意味
[00:16:06.240] じゃな
[00:16:07.079] いっすちょいと行こうかもう早速ボスそれ
[00:16:10.759] かまだ下水道なんかまだちょっと探索して
[00:16:12.959] ねえんだよな下水道探索していいまずから
[00:16:16.319] 気だろあの下水道ちょっと探索しようかな
[00:16:21.839] ブビのレベルブーちゃんのレベルを上げ
[00:16:24.079] ながらねあそういえばあのあれねあの
[00:16:25.920] スタンプ増えましたスタンプちょっと増え
[00:16:28.079] たんでよかったみ使ってくださいね
[00:16:31.120] ちょっとレベル上げ行こうまレベル上げと
[00:16:33.279] いうかありがとうありがとうありがといい
[00:16:36.120] ですそれ茶ありがとうここちょっとまだね
[00:16:38.959] あのここまだちょっとあれなんす
[00:16:42.079] よここまだちょっとねあの回ってないとこ
[00:16:45.079] あってまアイテムとかも拾いたいから
[00:16:47.120] ちょっと行くわちゃんブちゃん可愛い
[00:16:49.880] でしょブーちゃんこれくそ可愛い可い
[00:16:52.800] でしょそれ
[00:16:54.880] あの才先生が書いてくれたやつね運先生が
[00:16:59.759] まちょっと野生はもう逃げちゃってもいい
[00:17:01.680] かな野生のポケモン勝ってる時間はねもう
[00:17:03.959] さっさと進めるからな今日は今日がっつり
[00:17:05.640] 進めるからマジで差し上げスタンプも頼ま
[00:17:09.039] やだ
[00:17:10.280] よあーだから今日はなんかもあれだね
[00:17:14.160] なんか当面のなんかそのパーティー6匹
[00:17:16.600] 確定したいなパーティー6匹確定したい感
[00:17:20.640] あるんだよね今タイプ的に俺がこのまま
[00:17:24.360] 進んでもいいだて思ってんのはブーちゃん
[00:17:27.199] ロザリココイル炎水格闘鋼電気だからこの
[00:17:32.400] 2匹ここどこ埋めたいっすよねやっぱ飛行
[00:17:35.360] タイプエスパータイプとか欲しいよな
[00:17:38.200] ブラホワのエスパータイプってんだろう
[00:17:41.120] ブラックホワイトのエスパータイプって
[00:17:43.120] なんかあったっけいいやつやっぱエスパー
[00:17:46.160] は1匹連れてきたいんだよね強いから
[00:17:49.559] ねナブラホじゃないやブーちゃんだよん
[00:17:59.120] この4匹は内定ミヒブーちゃんロザリオ
[00:18:01.200] コココイルはもう内定よ内定あちげえあれ
[00:18:05.280] だ俺さそのコココイル捕まえた時にさココ
[00:18:09.679] コイル捕まえた時にめちゃめちゃ低確率あ
[00:18:12.400] ランクルスねあの変なだけどラシみたいな
[00:18:15.400] やつでしょラシみたいなやつエルレイド
[00:18:17.520] 好きや俺も分かるめちゃ好き
[00:18:21.200] あのなんだっけあのさクルスとか
[00:18:23.880] ゴチルゼル
[00:18:24.960] ルゼとかもあ
[00:18:28.919] なんかわかるなんか分かるあんま覚えて
[00:18:30.440] ないけどオーベムわかんねえちょっと
[00:18:33.559] エスパエスパー枠ちょっと楽しみだな俺
[00:18:36.480] ボラ使ってたシンボラーってなんか進化し
[00:18:39.120] ないやつだよな変ななんか壁画みたいな
[00:18:41.000] やつだよねあれ強いんだあれちょっと
[00:18:44.200] 楽しみだな楽しみだな待てあのエスパ飛行
[00:18:48.840] あエスパ飛行なんだ空を飛ぶ覚えれるん
[00:18:52.159] だったら金空覚えなそうなでもなあいつな
[00:18:55.799] あそうなんだ
[00:18:59.240] でもねあのねコココイル捕まえた時に
[00:19:01.440] めちゃめちゃ低確率のあれ持ってたんだよ
[00:19:03.480] メタルコート持ってたから俺ハッサム行き
[00:19:06.159] てえなハッサムハッサム使いてかけからあ
[00:19:11.080] こここもりねここね全回俺それ前回それだ
[00:19:17.240] から俺ブラックホワイトの時
[00:19:20.000] にこもそう交換だから俺DS2台持ってる
[00:19:22.480] からできるよねハかっこいいよね
[00:19:26.240] あののブラックホイト1のにこも使ったの
[00:19:30.080] ねそ死んじゃって逃がすはめになったんだ
[00:19:32.679] よそしたらあの学習装置持たせたまま
[00:19:36.120] 逃がしちゃっ
[00:19:37.200] てめちゃめちゃ発狂するっていうそうだ鋼
[00:19:41.159] 3体目になっちゃうんだよなそうなんだよ
[00:19:42.640] な
[00:19:44.039] 笑笑笑友達いないから1人で交換笑笑言い
[00:19:49.120] たかっただけだよなあの時の切り抜き長い
[00:19:52.320] かな貴重な骨何貴重な骨って貴重な骨って
[00:19:56.440] 何
[00:19:58.880] ああでも地面タイプも欲しいまでもね使わ
[00:20:02.039] れとそんないからポケモンはどうせ死ぬ
[00:20:03.880] から死んだ時のためにな貴重な骨って何
[00:20:09.000] チョップで高くれるあ金の玉的ポジション
[00:20:11.320] ね金アイテムあ換金アイテムなんだあれ
[00:20:14.799] じゃないんだあのガラガラに持たせると
[00:20:16.799] 攻撃力2倍みたいなぶっ壊れアイテムじゃ
[00:20:18.880] ないのそれは太い骨だっけワルビアルと
[00:20:22.840] うわいいいい
[00:20:25.400] ねアルアルワルビアルねいいでワルビアル
[00:20:29.559] とかいいそれ太い骨
[00:20:32.000] かんだそこまでのポケモンだったそういう
[00:20:35.080] ことだそういうことそういうことそういう
[00:20:36.240] こと死んだらそこまでってこよ
[00:20:40.159] あおありがとうごめんなまたポケモン
[00:20:42.960] トーク全回でわわかんねかもしんでも聞い
[00:20:44.760] てくれわかんなかったらんでも聞いてくれ
[00:20:46.240] な今手持ちにいるが強すぎるどういうこと
[00:20:51.080] 自が強すぎるってか
[00:21:01.280] いいスタンプだな使い勝っていいだろそれ
[00:21:04.039] あ何化地震化ゼウハンゼウマンゼ軍あここ
[00:21:11.320] 何もないのもうもう何もないのここないの
[00:21:14.440] ねもうないっていうことでいいのねここね
[00:21:17.200] 倒すと攻撃が1段つよ
[00:21:21.919] 強もうこれボス行くかジムリー行くかジム
[00:21:26.360] ジム行っていいだろこれ
[00:21:29.600] ジム行ってよくねもう行けんだろ多分
[00:21:32.039] そんな強くねえだろ虫タイプなんて言っ
[00:21:34.159] たって
[00:21:35.159] なこっちも何もないみたいだし
[00:21:39.799] ね何もないねここもねなんだもう何もない
[00:21:43.480] んかぶっちゃけ弱いと思うねさっさと
[00:21:46.320] 進めよう
[00:21:48.159] ぜいやでもこのゲームあれだドットへ
[00:21:51.000] 素晴らしいなこのポケモンのドットがさ
[00:21:54.120] 動くのがめちゃめちゃいいステータス1
[00:21:55.880] 段階アップって何倍かとかじゃなかったっ
[00:21:59.039] け違ったっけ1.2倍とかじゃない1段階
[00:22:01.000] ってでぐぐグーンと上がったが1.5倍
[00:22:03.320] みたいな感じじゃなかった違ったあ1段階
[00:22:05.840] って1.5も上がんのそんな強えのドト
[00:22:08.080] だっけそう最後のドットなのこれがやっぱ
[00:22:10.080] いいよねだからね2段階で2倍やば強え
[00:22:13.960] じゃ鋼の舞とかってやばいんだね鋼の舞
[00:22:16.159] だっけ剣の舞か2倍攻撃力上がるんだ強
[00:22:19.320] バイキルトだじゃバイ
[00:22:20.880] キルトへえそんな強いんだドットの最高峰
[00:22:25.679] かドットの最高だよねやっぱゲームドット
[00:22:29.039] 強いからね3Dめちゃめちゃ弱い
[00:22:32.240] からポケモン3Dだと弱くなるからな
[00:22:35.200] いきなりなゲームフリークって3dのね
[00:22:39.640] 倒せば倒すほど攻撃自過剰強ねわあでも
[00:22:43.679] ちょっとポケモン放状態になっちゃうな
[00:22:45.400] どうしよう迷うねおいおいポケコロすごい
[00:22:49.360] だろおいおいポケコロはやばいポケコロは
[00:22:51.200] すごいみんなそれ言うんだポケコロは
[00:22:53.440] すごかったってでもなんか最近のね
[00:22:57.279] あのとひどかったらしいじゃんなんかあの
[00:23:00.919] カやっと最近あれでしょカメックスの肩
[00:23:03.200] からあの水鉄砲が出るようになったみたい
[00:23:05.919] ないいや行くわさすがにジム行くわバルド
[00:23:10.480] とかは結構よゲームリ関係ねえよお前
[00:23:13.960] それよし行くぞじゃあもう行けんべ多分
[00:23:17.200] そんな強くねえよ
[00:23:21.799] なでも今回結構満面なくポケモン育ててる
[00:23:25.279] からああアイコン変わってちゃまって
[00:23:30.039] 気づかあそっかそっかそうだよねごめん
[00:23:32.039] ごめんひめちゃんこんばんはそうなんです
[00:23:34.039] アイコン変わって可愛い写真になった
[00:23:36.120] でしょどうだいこのポケモンジムアイコン
[00:23:39.360] ねちげえよだから細川高のが後だからな
[00:23:42.080] あれ言っとくけど俺びっくりしたよ明日
[00:23:44.200] 取り行ってきてさあこれいいなと思って
[00:23:46.279] 発表は1月末かなと思ったらさなんか
[00:23:48.840] ネットでなんかあんなんなってあれなんか
[00:23:51.559] 俺とかぶってねえこいつみたいなあっちが
[00:23:54.039] 寄せできてるからなんというかちょっと
[00:23:55.679] ありえないげな魅力たっぷりだろ
[00:24:03.840] クラウンのキハ虫タイプだべあ余裕だわ
[00:24:07.520] クルミルじゃんこれそんうわレベル20高
[00:24:11.240] レベル20か
[00:24:12.640] よレベル20かよ何大丈夫大丈夫やばく
[00:24:16.200] ない俺の手持ちの誰よりも強いんだけど
[00:24:19.000] レベル20えぐい
[00:24:21.120] なはいでも1発とここはもう全部ブー
[00:24:25.919] ちゃんに全させちゃっていいかもね全
[00:24:29.799] そっかここあれかレベル20じゃボスは
[00:24:32.919] レベル24ぐらい出してくるな多分な
[00:24:35.760] ちょっとえぐいかもね大丈夫か
[00:24:39.000] なこの程度だったら全然いいけど
[00:24:42.600] さこれさコイルに学習装置いらない
[00:24:49.159] かコイルに学習装置いらないかなここ
[00:24:52.600] ちょっとブーちゃんに全部吸わせるわうん
[00:24:55.640] こいつちょっと育てようお前ちょっといら
[00:24:57.640] ないね
[00:24:59.679] 装置やべえな満面なくレベル上げすぎての
[00:25:02.520] もちょっと考えもんだ
[00:25:04.840] ねちょっといらない子いらない子になっ
[00:25:07.919] ちゃうよねあ行けないんだいあなんなん
[00:25:11.919] これちょっとあのジム戦は全部食ってき
