[00:00:08.679] T
[00:03:56.120] さいつもあの目覚ましかける時はこう枕元
[00:03:58.599] にこうかも枕元にこう置いてさ起きるんだ
[00:04:02.879] けど昨日はもう絶対寝ない自信あ全然眠く
[00:04:05.400] なかったから絶対寝ない自信あってさあの
[00:04:08.840] ベッドにさ俺さアームがあってさスマホを
[00:04:12.079] こうこうやって顔の上にこう固定できる
[00:04:16.639] 固定できるさ
[00:04:19.040] あのアームをつけてるんだけどそれやっ
[00:04:21.440] てると思うあのアラームのバイブが何も
[00:04:24.080] 聞こえないのねそれ寝ないと思ってそれで
[00:04:26.639] さYouTube見てたらもう気づいたら
[00:04:28.400] 寝てたね気づいたら10時半自分のこと
[00:04:31.280] だけは信じたらだめだよそうねだめだね
[00:04:33.520] 自分のことは信じちゃだめでしたあグラコ
[00:04:35.880] 食べたことないマジで
[00:04:38.520] もう風物師よこのこの時期のああ風物師
[00:04:43.919] ああ夏のな夏の湘南の風と冬のグラコロっ
[00:04:50.000] て感じがするよねま俺湘南の風全然効かん
[00:04:52.400] けど全然知らんけどねはいやってき
[00:04:56.360] ますこんばんは
[00:04:59.759] りにチバゲームですグラコロうまい
[00:05:02.479] なさデミ新しいグラコロうまかったぞ
[00:05:06.160] 新しいグラコロなんだか入ったら食べて
[00:05:08.600] みようかなうん12月と言わず食いなさい
[00:05:11.759] までももうもう12月やん早
[00:05:16.000] ない早くないやばないおいしいなら食べて
[00:05:20.199] みよう
[00:05:21.800] かさて
[00:05:24.240] マレベルアップじゃんもうおいライだよ
[00:05:28.639] やば14日ぐらいしかないってことえ
[00:05:32.080] チケット買ったの寝ておきたらレベル
[00:05:35.479] アップチケット残り枚数発表します
[00:05:40.639] チケットの残り枚数なん
[00:05:43.960] とあと2枚ですえ誰か買ってくれこの2枚
[00:05:50.120] 売り切りてえなこの2枚売り切りてえな
[00:05:54.840] この2枚売り切りてえなまだ勝手のやつ入
[00:05:57.560] しろあと2枚だぞあと2枚
[00:06:00.280] よろしくねよろしくよろしくてかさ本当に
[00:06:03.360] ギリギリ変えたのそうだギリギリだ本当
[00:06:05.600] ギリギリだった2枚
[00:06:07.720] あのみあのこのレベルアップに参加するさ
[00:06:12.560] あの謎のロックバンドインフェルのロック
[00:06:16.000] スターズっていうバンドがいるんですけど
[00:06:18.520] そなんか公式Twitter立ち上がって
[00:06:21.720] たななんかチケットはこちら
[00:06:24.840] から最終的に余ったら買いますおいおい
[00:06:28.400] おいおいおい人さん来て欲しかったいつか
[00:06:31.199] なんか人さんもなんか来れるイベントあれ
[00:06:33.240] したいな会いたいな人さんになんかいちい
[00:06:36.960] のできてたよな公式あの公式
[00:06:40.199] Twitterみたいのできてなんか
[00:06:41.319] オリジナル曲みたいのできてちょっと
[00:06:43.560] ちょっとやめ飲み込まれそうなんだけど
[00:06:46.479] 持ってかれそうなんだけどままあまあ
[00:06:49.360] ちょっと皆さんよチェでよチェでよろしく
[00:06:51.440] お願いしますたさんがちょっとねさんの
[00:06:54.880] スキルがちょっとぐすぎるがぐすぎるよね
[00:06:57.479] やっあそこ
[00:06:59.639] 聞いちゃったあれあのねあのバンドねあの
[00:07:03.639] 音楽で飯食ってる人が2人いるん
[00:07:06.599] でいやちょっとま本気出されたらちょっと
[00:07:09.360] もうちょっとまずいなというびっくりし
[00:07:12.039] ちゃった俺もおいやるじゃんと思っプロブ
[00:07:15.120] プロこんな感じですやってまいります僕ら
[00:07:17.479] も負けとね頑張ってますんでよかったらえ
[00:07:20.680] よろしくお願いしますよかったらよろ
[00:07:22.319] よかったらよろしくお願いしますはい
[00:07:23.680] そんなやえてのも今日もやっていくこちら
[00:07:28.759] の
[00:07:30.240] レアやってきます懐かしのゲームです前回
[00:07:34.240] もやったんすけど月曜日と火曜日とかやっ
[00:07:35.919] たんだけどアやってきますやっていきます
[00:07:39.720] よろしくお願いしますやるぞう楽しめる
[00:07:42.199] 気持ちだけで参戦しようとしてるからだ
[00:07:45.159] 楽しむ楽しむ楽しむ楽しむもういいねん
[00:07:47.520] そんな関係ない関係ないそんななんか
[00:07:50.000] うまいとか下手とか係ないねね関係ない
[00:07:52.560] 関係ないもうあの初心者大関係なんでうん
[00:07:55.560] よろしくお願いしますはいじゃゲームやっ
[00:07:57.639] ます
[00:07:58.970] [音楽]
[00:08:00.879] やろうかのやろうか
[00:08:04.800] ね不安だよめっちゃ何がよ大丈夫だよ
[00:08:08.280] 大丈夫大丈夫行き
[00:08:10.039] ますどここれあちょっと待ってちょっと車
[00:08:15.039] の洗車だけしていくわうん最初からやろ
[00:08:17.680] 最初からっていうか
[00:08:38.940] [音楽]
[00:08:40.399] え瀬これこれこれこれ瀬これやる今決めた
[00:08:45.440] 今から練習してこれやるわみんなメンバー
[00:08:47.519] に言っとこうこれ練習しといてお疲れこれ
[00:08:49.760] やり
[00:08:51.200] たいさんこんばんはテテ
[00:08:54.399] かせさんお疲れやるぜレッドアリーマー
[00:08:59.399] ぶち切れんぞ呪いの言葉を
[00:09:03.279] どうぞ結構フランクに聞いてくるんだな
[00:09:05.920] 呪いの言葉呪いの言葉を
[00:09:08.670] [音楽]
[00:09:10.839] どうぞましかもまみまでしかねえぞこれ
[00:09:15.519] 50音ねえのかよ50音ないん
[00:09:19.560] だ手取の公開しようかなしようかなとは
[00:09:23.480] 思ってますちょっとねしようかなと思って
[00:09:25.560] ますけどもえこれ写メ取ったんよ
[00:09:29.760] たんだんだっけどれだったかなちょっと
[00:09:31.680] 待っ
[00:09:33.760] て
[00:09:35.480] シネですシフカ確かこれのはず矢印をし
[00:09:40.000] たら出てくるんじゃないの出てこてこま
[00:09:43.279] ちょっとやってもいたい
[00:09:47.000] 何何何
[00:09:48.519] 何何何物によっては物によって
[00:09:52.839] は
[00:09:56.680] 省略何これ頼む
[00:10:02.240] 何これ
[00:10:03.200] トラップトラックアルティメットアザー
[00:10:06.560] ミーなんだそれこれ何これ
[00:10:09.840] [音楽]
[00:10:14.000] ちょっと待ってちょっとちょっと見ていい
[00:10:17.760] 初見殺しの罠
[00:10:19.150] [音楽]
[00:10:23.040] 満載何これおろそう笑笑
[00:10:29.839] あなたがこのゲームでいられるもの達成感
[00:10:32.360] って書いてあって笑っちゃったHowto
[00:10:36.320] プレイ達成感
[00:10:40.320] 笑笑何これ
[00:10:42.120] [音楽]
[00:10:44.240] どういうあれなんだよ
[00:10:46.310] [音楽]
[00:10:49.200] これマルチプレイな
[00:10:52.639] のマルチプレイなの
[00:10:57.079] これどういうどういう動き
[00:11:00.430] [音楽]
[00:11:05.880] での召喚してなんかか突破していく
[00:11:10.920] のんない
[00:11:14.519] 笑そのなんか
[00:11:18.519] そのスマブラのソニックみたいな動き
[00:11:21.079] やめろよチュンチュンみたいなスマブラの
[00:11:24.480] ソニックじゃんこいつ動きがな何これ笑
[00:11:31.160] [音楽]
[00:11:32.880] アバター
[00:11:36.079] 4ルール
[00:11:40.200] が曲はめっちゃ
[00:11:42.540] [音楽]
[00:11:47.079] いい
[00:11:48.920] そんなんでそんなことするのそのうんあの
[00:11:52.639] 自分の
[00:11:54.920] 身分のしてばすことでだ
[00:12:02.760] する限りあるアバターを利用してクリア
[00:12:06.200] しろってこか
[00:12:09.290] [音楽]
[00:12:11.480] ないやめっちゃむずいや
[00:12:14.959] んいやいやいやいやこんな
[00:12:17.920] もんなんでなんで
[00:12:20.880] レトリーバあでもちょっと面白そうだ
[00:12:26.720] なんのやったられてケ出しちゃう
[00:12:31.390] [音楽]
[00:12:33.079] よなんかなきっちゃんが似たようなゲーム
[00:12:36.800] たような記憶あるああそういうこと
[00:12:44.320] ねソニックムーブやめろソニック
[00:12:49.340] [音楽]
[00:12:50.760] ムーブ誰なん
[00:12:54.480] だこれいくらセール始まったから探して
[00:12:57.880] たら見つけたの
[00:13:00.360] 450円です誰か俺にこれをプレゼントし
[00:13:02.399] てくださいじゃ笑笑じゃあ誰か俺にこれを
[00:13:04.880] プレゼントしプレゼントしてくれたらやる
[00:13:06.440] わ自分で買うかはちょっとわかん
[00:13:09.680] ない自分で買うかわかんないけどちょっと
[00:13:12.959] 分かった
[00:13:14.560] 笑
[00:13:17.800] いいさやってきますさあやってき
[00:13:21.480] ますまたまになんかそうSteamの
[00:13:24.760] ゲームやんのも悪くないけどね
[00:13:28.940] [音楽]
[00:13:33.399] ちいにはいオどうやこれでレッドアリマは
[00:13:38.959] 呪いの言葉をえ砕け散った体を復活した
[00:13:44.160] うるせえなうるせえうるせえなんで勝手に
[00:13:46.519] 流れてんだお前
[00:13:48.660] [音楽]
[00:13:51.680] うるさ邪魔びっくり
[00:13:59.759] なんかどこまで行ったんだっけな忘れ
[00:14:02.240] ちゃったよ忘れちゃっ
[00:14:04.320] たなんだっけどこまで行ったんだっけ強さ
[00:14:08.079] みたいラナ
[00:14:11.670] [笑い]
[00:14:18.639] クソここか思い出したここだあはいはい
[00:14:22.800] はいはいこんなんでしたね
[00:14:25.440] はいべ
[00:14:28.040] なんかむなってるあれやばいやばいやばい
[00:14:31.360] 全部持ってくれやばいやばいやばいやばい
[00:14:33.440] やばいやばい
[00:14:34.800] ああれちょ忘れちゃってるな体
[00:14:38.480] が体が忘れちゃってん
[00:14:41.000] なちょっとあこれ難しかった気がするな
[00:14:44.959] ここ
[00:14:49.920] バラ
[00:14:52.420] [音楽]
[00:14:55.519] ンンンン左さんこんばんは
[00:15:04.000] タあ
[00:15:06.040] 違うこれ
[00:15:08.240] やもう忘れたてこれ俺やり
[00:15:15.560] 方布袋だあね何そうそうそうそう固定の
[00:15:21.560] 発生年ね
[00:15:26.560] ここはいよろしく
[00:15:29.279] やっていき
[00:15:30.279] ますここやねんなここが難しかったんだよ
[00:15:33.199] 前回なで今日クリあるわ今日クリある今日
[00:15:36.600] ク
[00:15:38.319] あるお前が孫の赤い炎ならばわしと戦い
[00:15:42.959] お前の力を見せてみろもしわしを倒すこと
[00:15:46.040] ができればわしの持つ魔界のロソをお前に
[00:15:50.160] やろう見せてみろだが倒せなければ魔も
[00:15:53.560] ロソばっかこのゲーム3本目ロソロソしか
[00:15:57.440] 出てこん
[00:16:00.630] [音楽]
[00:16:02.199] 奥で待ってるからなあるよ彼なバック
[00:16:05.759] ステップ
[00:16:07.279] ルよし行く
[00:16:10.000] ぞよし行く
[00:16:11.950] [音楽]
[00:16:14.959] ぞ言うてそんなむない
[00:16:17.960] [音楽]
[00:16:24.680] やろ全然足りない全然足りない全然足り
[00:16:27.519] ない
[00:16:30.480] こ
[00:16:34.600] どうここちょっとむずずいなまさか最終
[00:16:38.040] ステージではないと思うけどあこれどう
[00:16:41.519] 行くのっていう話なんよここぜここ
[00:16:47.240] え
[00:16:49.759] あれ俺ここだな今日ここここだと思うわ
[00:16:55.160] 今日ここ
[00:16:59.079] 持ってん
[00:16:59.420] [音楽]
[00:17:01.880] の13個しかないここ32円取られるから
[00:17:06.640] な魂1個買うのにままままま
[00:17:13.120] まま意外とこいつ
[00:17:16.199] だるいおらなめん
[00:17:18.520] [音楽]
[00:17:25.199] ななるほど
[00:17:27.840] なちょっとエンカウントレがまおな知らん
[00:17:31.200] やつ来たなんだこいつ坊野カートみてえだ
[00:17:34.600] ななんだこっち向くん
[00:17:40.039] かいやむずいむずむいむず
[00:17:43.880] むい
[00:17:45.720] 大むずくない
[00:17:48.940] [音楽]
[00:17:53.400] かえ
[00:18:01.520] めっちゃむずい
[00:18:04.600] がバババ
[00:18:11.200] ばばばいやもう
[00:18:19.320] 最悪ここ飛ばしたいねんな毎回ここやんの
[00:18:22.559] これ
[00:18:29.080] もここはミスらん
[00:18:30.610] [音楽]
[00:18:36.360] よ特に盛り上がりもせん
[00:18:39.919] ここそんなむない
[00:18:43.610] [音楽]
[00:18:55.400] もん毎回これ効かなきゃだめ
[00:18:58.770] [音楽]
[00:19:02.919] いいよここにお前わざわざ戻ってこなく
[00:19:06.800] [音楽]
[00:19:15.200] てできるだけ体力満たでいき
[00:19:17.980] [音楽]
[00:19:25.520] たいいやちょむずいわ
[00:19:32.000] [音楽]
[00:19:42.840] でほんで
[00:19:45.240] なここや
[00:19:52.480] ねんちょ待ってこど何これおかしいじゃん
[00:19:57.640] どうやってやんのよ
[00:20:00.520] 何このとがりコーン
[00:20:12.880] はいやあれタイミングで
[00:20:15.919] 行けるなんかさタイミングで行ける気がし
[00:20:18.720] ないんだ
[00:20:22.000] けどと笑笑あさんこんばんはあなんやねん
[00:20:26.960] あれ
[00:20:29.640] どうすんの
[00:20:30.970] [音楽]
[00:20:37.640] あれこいつ
[00:20:44.390] [音楽]
[00:20:49.559] しんどいうまいうまい
[00:20:52.290] [音楽]
[00:20:54.559] うまいこいつめんどい
[00:20:56.880] なあ
[00:20:59.420] [音楽]
[00:21:13.039] オめんどい
[00:21:14.620] [音楽]
[00:21:16.799] なドダ
[00:21:20.840] [音楽]
[00:21:34.080] 当たるんか
[00:21:40.890] [音楽]
[00:21:51.679] いこっからスタートにしってくんねえか
[00:21:57.320] [音楽]
[00:22:14.520] えあそこどうやって行くん
[00:22:17.140] [音楽]
[00:22:24.159] だろうなんでお前当たんないとこ
[00:22:28.960] [音楽]
[00:22:32.400] ここなんすわ問題
[00:22:37.240] はこさへこんでるタイミングがあまりにも
[00:22:41.880] 少なすぎると思うんだ
[00:22:43.160] [音楽]
[00:22:54.840] けどやいやいやえ
[00:23:00.279] どう行くねんつうの
[00:23:02.240] [音楽]
[00:23:16.799] それおへよ耳
[00:23:20.310] [音楽]
[00:23:22.440] おはようここどうやっていくんじゃい
[00:23:26.000] ここどうやっていくんじゃい
[00:23:28.600] [音楽]
[00:23:34.640] あなんかあなんかなんか一発食らったら1
[00:23:37.840] 発食らったらそのままなんか無敵状態で
[00:23:41.640] 行くみたいなそう
[00:23:43.360] いうそういうゴリ押しゴリ押し
[00:23:47.760] スタイルゴリ押しのスタイル
[00:23:51.840] ここなんかそっぽいねそうなんかいけそう
[00:23:54.919] だったねなんかゴリ押しでいけんのか
[00:23:59.559] ゴリ押しで行くのか
[00:24:02.559] あそこ
[00:24:09.039] パパパパパパパパパパパパ神このBGM
[00:24:12.720] がるのフールの
[00:24:15.799] な哀愁BGM
[00:24:21.679] が危ない危な
[00:24:24.320] 危ない邪魔邪魔だから
[00:24:31.919] 重たいねあいつ出てくると画面がよしよし
[00:24:36.240] よし
[00:24:39.650] [音楽]
[00:24:41.480] よしマジで寒
[00:24:45.600] [拍手]
[00:24:47.280] [音楽]
[00:24:49.440] すけろ寒すぎてもうあか
[00:24:53.279] ん靴下今年の冬はやばい
[00:24:57.320] ぜ靴下履いて寝てる寒い
[00:25:00.440] から世界一嫌いなのに家で家で靴下履く
[00:25:04.520] やつ意味わからんと思ってんのに寒くて
[00:25:07.200] 脱げん靴下がそっちも寒いのかやばぐ寒い
[00:25:10.440] 毎年行ってない毎年行ってる毎年行って
[00:25:12.919] ない俺靴下脱冬に家で靴た履くやが落ちる
[00:25:17.480] 地獄があるって信じてる
[00:25:20.360] からあまたても無理や
[00:25:23.760] これ無理やこれ家でポカポカきした白だろ
[00:25:29.159] 履かねえ
[00:25:30.799] だろたなんかいらんじゃぼの女性だめ
[00:25:34.200] じゃんなんなら重ねて吐
[00:25:37.080] わ無理だよこれこれ無理だよな俺も今年
[00:25:43.640] からだよ
[00:25:47.880] 寒くま俺には電気モフていう最大の味方が
[00:25:51.559] いるんですけどねみんなとは違ってさ
[00:25:58.559] あいつうぜえあれあいつちょちょうどこの
[00:26:01.440] 弾が届かないとこ出てくるんだよ
[00:26:05.480] あも電気毛布使って電気毛布いいよなあれ
[00:26:09.159] 使った人
[00:26:11.520] 神だめだだめだ全然だ全然ダメ
[00:26:17.320] だダメだおどうやっていくんだこれ下脱が
[00:26:22.240] ないと朝どこにあるかわからないいやある
[00:26:24.799] あるあるあるなんからもうズボンがどっか
[00:26:27.640] 行ってんだから朝あんなサミサミ言ってた
[00:26:30.320] のにケツ出して寝てんだズボがないんだ
[00:26:34.440] いつ
[00:26:35.900] [音楽]
[00:26:42.360] も
[00:26:44.240] ん
[00:26:48.039] だろ出ちゃうの
[00:26:50.600] よちゃう
[00:26:54.940] [音楽]
[00:27:24.080] パパパパパパパパパパでえやらない
[00:27:29.360] したことない笑
[00:27:31.799] でやらないなんでえそれ
[00:27:36.799] 体誰もやらないあれやると
[00:27:42.440] よ吹いてからだよ吹いてから吹いてからは
[00:27:48.159] なんでわかん
[00:27:49.440] ないあれやるとちっちゃい頃怒られてた
[00:27:52.039] けどよ今大人になって1人暮らしだから誰
[00:27:54.919] にも何も言われない最高
[00:27:57.960] [音楽]
[00:28:10.799] 違う違う違う
[00:28:14.870] [音楽]
[00:28:24.200] 裸がまもやら
[00:28:27.120] ないエお
[00:28:30.640] 疲れエムドはさお風呂上がり裸で布団に
[00:28:33.760] くるまることするまさかするよねだいぶ空
[00:28:37.440] できるようになってるあもうもうもうもう
[00:28:39.760] だいぶもう後半でてしない
[00:28:44.240] はあ本当にチマリスかよおら行った寒や
[00:28:50.000] からちゃだけ
[00:28:53.940] [音楽]
[00:28:58.440] 危ねえ何これ何何この何何こここのクソ
[00:29:02.640] えー何これ
[00:29:04.519] 絶対こカロリーメイト見たら
[00:29:08.360] よしなんかむずそうや
[00:29:11.840] のどうやっていくのこれ
[00:29:15.399] はいはいはい重たい重たい
[00:29:20.880] はいカロリーメイト
[00:29:24.799] 笑笑カロリーメイトみたいやなあ
[00:29:33.279] ゆっくり
[00:29:35.840] なむずいいここ
[00:29:38.720] はい
[00:29:41.799] はいはい
[00:29:47.519] ああうまいねいいねいいねいいね最初けた
[00:29:51.720] だけそんなむくないかもなでも確かに極何
[00:29:55.399] もしたくないでも風呂入らなてなったら体
[00:29:58.360] 吹いたらそのままベットに行くかもしれ
[00:30:00.519] ない行ったことないけど行くやむしろその
[00:30:04.159] ために風呂入ってる
[00:30:05.840] まだあ変なうあ
[00:30:12.640] 危ないあよしよしよしよしよしよしよし
[00:30:16.960] よしよしよしよしよしよしよしよし
[00:30:20.120] よしいよ
[00:30:23.720] オあれやるとお母さんに怒らせたんだよ
[00:30:26.960] バッチなってやめなさいて下品だからやめ
[00:30:30.399] なさいっって言われたんだけど大人になっ
[00:30:32.840] たらやり放題
[00:30:34.960] 最高なんだあれあれなんだあれなんだあれ
[00:30:39.399] なん
[00:30:39.890] [音楽]
[00:30:42.039] だ女といる時
[00:30:45.799] も人だからやらないんだよむしろ普通は
[00:30:50.279] むしろ普通は女いる時にしかやらないんだ
[00:30:52.559] よ普通はなでもそれできないから1人で
[00:30:54.600] やってんだよ
[00:30:59.600] ねあのトどうにかせえ
[00:31:03.240] あれこれあびくんだそれ1人でやって
[00:31:07.880] 虚しくないか別に虚しく
[00:31:10.810] [音楽]
[00:31:13.320] ない宝チララブ行ったことあるこそれねび
[00:31:18.080] ファンは今多分悲しみれてやだ
[00:31:24.150] [音楽]
[00:31:30.279] すまん
[00:31:35.000] は
[00:31:36.799] あねラブホって何ですか幻抱くのやめて
[00:31:39.960] くださいラブホってんですかってことない
[00:31:43.120] 怖い
[00:31:44.279] なちょっと待ってもうちょっと
[00:31:46.880] 死すラブ女子プランなるもがああそうか
[00:31:51.440] そう
[00:31:52.399] だまだ希望は
[00:31:55.720] ある魔さんで希望は
[00:31:59.399] あ希望はあるわよどんな時でも
[00:32:03.639] ねしたなエヴンゲリオン見て
[00:32:06.639] エヴァンゲリオン女子プラそうかそうだよ
[00:32:11.770] [音楽]
[00:32:15.000] ななのびさんこんばんはラブ行ったこと
[00:32:18.240] ないラブホて知ら
[00:32:20.320] [音楽]
[00:32:22.919] ないソロで利用なんでソロで利用するどう
[00:32:27.320] いうこと
[00:32:28.790] [音楽]
[00:32:33.000] 今度ちゃまも一緒に女子会しよあいいね
[00:32:36.000] やろうぜラブホオフ
[00:32:41.639] 会普だと集団で入れないんだよあそうそう
[00:32:45.519] そうそうそう昔俺昔ってかまイベントの時
[00:32:48.760] にマーブルと入ろうとして怒られ
[00:32:51.960] たマーブルと入ろうとしてめちゃめちゃ
[00:32:55.399] ババーに怒られた
[00:33:02.600] 笑笑めっちゃめっちゃ怒られたよかうんあ
[00:33:06.600] 普通にあのあれだから止まるとこなかった
[00:33:08.240] とかじゃ普通に俺らあれだからできてる
[00:33:09.960] からすまない帰ってくれないあ言っとけど
[00:33:13.200] 普通にできてるからこれあのマーブルに
[00:33:14.679] 言うなって言われてるけど普通にできてる
[00:33:17.559] 許してる
[00:33:19.240] からどっちが入れた俺俺
[00:33:24.120] 俺大きいです
[00:33:27.880] まぶ
[00:33:28.880] ちゃまちゃままぶだよふざけんなけ嘘つ
[00:33:32.159] けって何
[00:33:33.340] [音楽]
[00:33:35.120] は邪魔受けだ
[00:33:38.120] よそう受けて何どういうの
[00:33:46.100] [音楽]
[00:33:58.519] そう受け受けでしか
[00:34:03.240] ない攻めは絶対
[00:34:06.440] ない絶対当たんねんな
[00:34:09.879] ここ関係を力すればおばさんも受け入れて
[00:34:13.639] くれたか
[00:34:15.399] も多様性だもん
[00:34:17.830] [音楽]
[00:34:24.200] なレだわ
[00:34:30.600] [音楽]
[00:34:35.359] おしたけ点がされてないって個にも書い
[00:34:39.800] てる人間なんて全員破レだ
[00:34:44.919] よあれ
[00:34:50.880] [音楽]
[00:34:57.800] ま1人暮らししてたら正直ダバなんか絶対
[00:35:00.000] 使わないと思うけどわかんないけどね知ら
[00:35:01.839] ないけど知りません
[00:35:05.570] [音楽]
[00:35:09.839] かいやいや知らないけど言ってた友達
[00:35:16.800] がリフルも家に呼ぶって言って
[00:35:20.720] たレリルも家に呼んだよて言ってた達が
[00:35:32.060] [音楽]
[00:35:41.960] むずすぎるやなここないもん
[00:35:45.240] ね実家じゃできないもんな
[00:35:49.720] この
[00:35:52.290] [音楽]
[00:35:54.280] 危ねえ危ねえ
[00:36:00.480] 危ねえ
[00:36:02.720] 危ねええそそ
[00:36:08.010] [音楽]
[00:36:13.400] うえや絶対当たるやんそはい
[00:36:16.720] だはい
[00:36:19.880] だめ
[00:36:22.880] 危ねえなんでこれちなんでこいつ落ちてこ
[00:36:25.720] ねんだな
[00:36:27.620] [音楽]
[00:36:31.800] 危ねえちなみにこれずっと聞くことになる
[00:36:34.000] から1個1個
[00:36:37.440] 危ねえ
[00:36:41.560] 危ねえなんで落ちてこねこいつなんだ
[00:36:47.200] こいつまだ
[00:36:49.839] あるういおれ騙されねえバカたがよしよし
[00:36:54.720] よし
[00:36:58.400] よしよしよしいい
[00:37:01.160] ぞ気をつけろよあやさしい
[00:37:07.480] じゃんああだお前何お前気持ち
[00:37:16.680] [音楽]
[00:37:21.920] 悪いおの1段
[00:37:26.250] [音楽]
[00:37:43.880] 今日クリアありますかある
[00:37:46.920] [音楽]
[00:37:49.960] よ博すぎ
[00:37:55.520] ういパチパチパチパチ
[00:37:59.480] パチパチありがとうございますガンバさん
[00:38:02.119] パチパチンバーさんパチパチガンバさん
[00:38:05.520] パチパチあざ
[00:38:09.040] すご着園ありがとうござ
[00:38:11.800] [音楽]
[00:38:13.119] ます何ワイポ
[00:38:16.520] [音楽]
[00:38:18.359] 顔もお疲れ
[00:38:21.400] [音楽]
[00:38:27.720] てきた暑なってき
[00:38:29.920] た今日は女の話してないから投げてあげる
[00:38:33.680] ね若干若干したけど
[00:38:39.079] 若干
[00:38:45.560] ダちょっと壁見えた
[00:38:48.270] [笑い]
[00:38:52.720] けどゲームに女の影いたらみショック
[00:38:55.480] かそうだよな残念できませんチマゲームに
[00:39:00.640] 女の影がいたらショックだよなお前らな
[00:39:04.480] 大好きだもん
[00:39:06.590] [音楽]
[00:39:16.640] なここ飛ばせえやもう毎回ここやらせんの
[00:39:22.660] [音楽]
[00:39:38.240] バックステップボス壺売り込まれてないん
[00:39:48.850] [音楽]
[00:39:54.200] 壺何ツボって売り込まれてないよ
[00:39:57.800] [音楽]
[00:39:59.960] ここが毎回当たんねんお前くい
[00:40:03.110] [音楽]
[00:40:07.359] のあや終わっただだ終ったこれだだこれ
[00:40:10.160] 終わった終ったった無理無理無理終わっ
[00:40:14.720] たああだめだねそだめだと思うダメだと
[00:40:18.400] 思ったうんえもうだるいここ
[00:40:27.000] [音楽]
[00:40:38.160] ここで当たっちゃダメなのよ
[00:40:40.760] [音楽]
[00:40:51.160] ね女の影って言ってたからありがたい壺で
[00:40:55.240] も進められたのかとのって何ありがたいツ
[00:40:58.680] なの
[00:40:59.680] どそうそういうことするのってやっぱあれ
[00:41:02.119] なの女な
[00:41:03.400] のそういうなんかあの壺を売ったりするの
[00:41:07.839] なんであれ壺とイカなんだろうなああいう
[00:41:10.839] 怪しい商材ってこれ復活すんの
[00:41:13.780] [音楽]
[00:41:19.480] か誰が買うねん壺とイテあ騙されて
[00:41:28.040] 水価値が分からないものだ
[00:41:31.079] からイン
[00:41:33.079] 鑑からそう
[00:41:36.480] なんイか
[00:41:38.430] [音楽]
[00:41:40.040] もなんか前なんかそれなんか配信でその
[00:41:42.920] そういう話した時にさなんか
[00:41:47.400] さモコなか誰かがなんかやべえサイト貼っ
[00:41:50.319] てくれてたよななんかなんちゃら水みたい
[00:41:53.200] な水水1ケース何千みたいなさこれを飲む
[00:41:57.640] と成功を手にすることができ
[00:41:59.839] ますグラビトン野菜ね
[00:42:03.440] グラビトンあグラビトン
[00:42:06.680] 野菜なんだそれ何グラビトン野菜って怖え
[00:42:13.000] な笑笑成功を手にするのかグラビトン
[00:42:18.920] 野菜危ない危ない危あえええさっき倒した
[00:42:25.000] のになんかバグで生き返った
[00:42:29.760] めっちゃ重そうグラビトン野菜おめらも
[00:42:33.599] 食えよグラビトン
[00:42:35.320] [音楽]
[00:42:45.160] 野菜むずずいよ
[00:42:48.440] ここ食べないはいちゃんと焼肉配信するに
