[00:00:08.480] ういお疲れレドカードレドカードレド
[00:09:09.720] んだからバカお前俺の雑談こそ天国だろう
[00:09:13.680] かめったにしない滅多にしないんだから
[00:09:17.440] 絶対ここ
[00:09:19.240] やろ絶対ここだろ何ここめった頻繁いや
[00:09:25.519] 全然やんねえでしょデサダサなんてえここ
[00:09:28.720] じゃないのどうせカの話して終わりカの話
[00:09:33.200] そんなしたことねえだろ雑談中にカの話
[00:09:36.040] ここじゃねえの
[00:09:37.880] か何ここここじゃない
[00:09:41.640] のいはの配信で栃木はめっちゃ雪降ってる
[00:09:45.720] みたいな話になっててわろたあガイド書い
[00:09:49.160] てあるよえ全然降ってないよ言っとくけど
[00:09:51.920] 全然降って
[00:09:56.240] ないえ1mmも降ってないかここと変わら
[00:10:00.040] んくて震えたここと変わんねえんだったら
[00:10:03.040] 一緒だろうがなんでこっちの方が田舎
[00:10:04.880] みたいな言い方してんの一緒だろう
[00:10:06.650] [音楽]
[00:10:10.120] がこっちでしたねこここかここです
[00:10:16.480] かえもうバラモス行っていいのもう終わっ
[00:10:21.079] ちゃう
[00:10:22.480] よクリアしちゃうよ
[00:10:27.610] [拍手]
[00:10:29.519] 遅いのこれほんま遅い空気れ
[00:10:33.160] そう空気きれ星がよく見えますが強いから
[00:10:37.839] 体感もっときつい
[00:10:40.279] ねんおいのこいつなんやねん
[00:10:44.040] こいつ
[00:10:46.399] ほねほんまにほんま
[00:10:51.160] にまじかま寒いだろう
[00:10:55.240] ね今日めっちゃ寒かったわ鬼寒
[00:11:00.600] 着々ともう
[00:11:02.160] あこの辺ちゃから
[00:11:05.240] 風こんくらいかここら辺
[00:11:08.720] だこここ3日くらいずっと寒い寒い
[00:11:14.440] ね遅いこれどうなってん
[00:11:23.320] ねんここがあここだなここくせえな最近確
[00:11:31.200] ここ何ここは
[00:11:34.920] 何何
[00:11:37.920] ここえ
[00:11:40.519] あなるほどまだですここはギアがの大穴
[00:11:46.720] なえ正直バラモスクリアしたらさバラモス
[00:11:51.800] クリアしたらもうすぐだよね
[00:11:54.120] 多分
[00:11:58.240] たここやろか
[00:12:02.140] [音楽]
[00:12:05.040] いそうでもないあそうなまだ大丈夫まだ
[00:12:09.000] 大丈夫バラモスまだなのここバラモス行く
[00:12:11.839] よバラモスここでここです行く
[00:12:16.420] [音楽]
[00:12:21.279] ぜロード長いよねあ来たバラモスジ
[00:12:26.639] キャッスルオブバラモスやってきます
[00:12:30.660] [音楽]
[00:12:34.120] もう終盤だったもうもう大終盤よただもう
[00:12:38.360] だからクリアがエンディングが13日以後
[00:12:41.399] だっけだからできねえなつってやって
[00:12:45.240] なかったんだよあもうもう今日ぐらいから
[00:12:47.480] やってけちょうどいいんじゃない
[00:12:49.079] わいきなり来るじゃん
[00:12:54.290] [音楽]
[00:12:59.519] ない
[00:13:01.639] だろよしよしよ
[00:13:05.000] よしよしよよしよしよしよし
[00:13:08.040] よし回心
[00:13:10.519] 出せよ回心出せ
[00:13:14.199] おいもう
[00:13:16.480] くい出てくんだったらなんやあいつなんや
[00:13:21.639] ね
[00:13:22.839] あいつイベントのさイベントの
[00:13:27.079] イベントのケト
[00:13:30.920] 枚のによ何もそのなんかコンビニ支払いで
[00:13:35.600] 予中ですそれがそれがキャンセルされまし
[00:13:39.120] たみたいなあれ誰やねんあれはぐれメタル
[00:13:42.199] かと思ったわなんかそのちょろして誰
[00:13:46.760] あれコンビニ払いコンビニ払いにして払わ
[00:13:50.639] ないのお前か
[00:13:56.279] ダブル笑笑
[00:13:59.160] いたよな誰かまいいんですけど無事売り
[00:14:01.560] 切れたんでありがとうございます
[00:14:03.160] ありがとうございます無事売り切れたんで
[00:14:05.040] いいんです
[00:14:07.800] けどバギクロスバギクロスやってっていう
[00:14:12.759] いやすごくない売り切れてやばいよなあ
[00:14:16.959] 螺旋撃ちね強い強い強いはいはい螺旋ち
[00:14:19.839] 強い強い
[00:14:21.320] 強いありがたいですねありがたい
[00:14:25.639] ね人ってなかなかなかなかだよな
[00:14:29.100] [音楽]
[00:14:33.240] みレベルええと40前ぐらいじゃない
[00:14:39.120] 3836とかそんなもんじゃないこん
[00:14:41.000] ぐらい37383234
[00:14:44.480] ぐらいパツが1回も転職してねえんだよ
[00:14:48.460] [音楽]
[00:14:53.680] な金金めっちゃあるただその装備がない
[00:14:58.320] ねん金あって
[00:15:01.519] も
[00:15:08.720] 行けだから同が1人ずつ1人ずつ減っ
[00:15:14.320] てくやいいんだけど別に別にいいんだ
[00:15:19.600] けど1人さきから1人ずつ減ってくなえ
[00:15:23.160] 今週末ライブハウスのイベントソールド
[00:15:25.560] アウトしてるには耐えられない配信
[00:15:30.880] えライブハウスのイベントソールドしてる
[00:15:33.519] やつの配信じゃないよねこれ駆け出し
[00:15:36.680] じゃん
[00:15:42.360] えまそんなもんやねんな入ったりし
[00:15:46.399] たろはぐれメタルこ地行けばいいんかこれ
[00:15:50.279] こっちかあああまた1人減っ
[00:15:54.560] た1人また減ったおいお前よ見ろバカ
[00:16:01.920] がャゲームのドラグクエスト配信見ないと
[00:16:05.079] かセンスねえから言っとくけど
[00:16:08.000] マジてるそもそもさサブスクライバーより
[00:16:11.639] 低いどういうことや何に金払ってんだうち
[00:16:14.000] のサブスクライバーは金払って俺の配信見
[00:16:17.480] ねえの
[00:16:20.360] か普通サブスクライバーて
[00:16:23.600] さなかなかないぜサブスクライバーが視聴
[00:16:27.759] 者数を上回ること
[00:16:30.000] 視聴者数のほんの人にぎりが視聴者数の
[00:16:34.560] ほんの一握りがあとサブスしてくれる
[00:16:38.120] ぐらいのあれなの
[00:16:40.000] にサブスクライバーの1/4ぐらいしか見
[00:16:43.199] て
[00:16:44.480] ねんなんじゃ奴らは何に金払っ
[00:16:49.040] て
[00:16:50.880] 怖いさんてい
[00:16:55.279] んあまう
[00:16:59.959] なんかああじゃねこうじゃねって言われん
[00:17:01.920] だよだから言わない別にいいよもん好きな
[00:17:05.640] ゲームやるだけだ
[00:17:07.240] [音楽]
[00:17:12.919] もんソルスティスの方が同あったわこの
[00:17:17.199] 最新ゲームよりソルスティスの方がまだ見
[00:17:19.919] て
[00:17:20.690] [音楽]
[00:17:25.600] たそステもうすかがパートナーて動き出す
[00:17:29.760] のないないないないないないないないない
[00:17:32.160] ないないないです無理だと思ってるから
[00:17:35.600] 無理無理
[00:17:36.760] 無理エグゼみたいエグゼどせ8人ロマ
[00:17:42.200] エグゼはどせ8人ソルスティスあたRTA
[00:17:47.080] とか無理
[00:17:48.450] [音楽]
[00:17:50.200] だレベル上がったねいいね
[00:17:59.159] も今週も正直でもゲームできんのこれが
[00:18:02.000] 最後かもしん
[00:18:04.280] なあもないの
[00:18:08.039] かまこちゃんが言ってたよパートナー
[00:18:10.919] なんてかりおだよそうマジでそうマジで
[00:18:13.159] そうだと思うもう直前準備
[00:18:16.880] でもう直前準備だね直前準備ってもま
[00:18:21.080] そんなにない
[00:18:22.159] けどそんなにないけど別
[00:18:26.159] に称号入らないってわけ
[00:18:30.280] 肩書きなんかいらねえ配信者ですこんばん
[00:18:34.159] それでもいい自分が配信やりたてやってる
[00:18:35.919] んだったらいいじゃねだったらううか
[00:18:40.120] ないいんだよさん
[00:18:51.840] こんばんはええねお前やりたいやつがやれ
[00:18:54.360] ば配信なんでな
[00:18:58.960] こんばんはみみごちゃまさんお元気ですか
[00:19:01.400] 何がみみごちゃまさんって何どうも
[00:19:03.760] こんばんは元気だよ元気元気元気
[00:19:08.270] [音楽]
[00:19:10.760] デパートこれどこ行くの
[00:19:13.760] これあこれどこ行くの
[00:19:19.080] これ
[00:19:21.280] デパートどこ行くん
[00:19:24.440] だカメラだとパーカー灰色に見える
[00:19:28.960] 弱だぜ多分
[00:19:31.810] [音楽]
[00:19:36.200] それ強い
[00:19:39.960] なにも灰色に見える
[00:19:46.520] マジ愁カメラ背景の色と合いすぎてて
[00:19:50.120] 気づかないどいうこと背景の色といすぎ
[00:19:53.159] 浜口上がるねレベル
[00:19:55.159] ねカメラちゃ
[00:19:57.640] 猛何が申やのいい匂い
[00:20:02.480] じゃんどうやあここか扁平速ここか
[00:20:07.159] ジャークカメラ
[00:20:09.360] ここどこ
[00:20:11.820] [音楽]
[00:20:16.559] ここ行けイベント
[00:20:21.920] [音楽]
[00:20:23.679] のいい匂いでこういいシャンプー
[00:20:27.640] 使おうシンプ女の子いっぱい食っかなお前
[00:20:32.080] らおいお前らお前らあれだぞ朗報この
[00:20:35.720] イベント7割女の子ですゲのも編みたいな
[00:20:39.880] すないやっぱ俺って女の子人気あんだ
[00:20:42.280] な7割女の子だっさチケット買ったの
[00:20:48.480] [音楽]
[00:20:50.960] すぽなんでなんなね男の方が少ない
[00:20:55.280] みたいインキなんですみっこでジュースの
[00:20:59.120] マジかよなのに視聴者はの人たいの
[00:21:04.159] かか
[00:21:06.530] [音楽]
[00:21:10.960] にるのの今ここにいる女性1人だ
[00:21:15.600] ね彼女がいるのになだめかも
[00:21:18.750] [音楽]
[00:21:22.679] しれ実はいるから
[00:21:27.520] なーむから
[00:21:30.120] な俺がさや俺が童貞じゃないとあの俺が
[00:21:35.640] 童貞じゃないとあの都合が悪い人種って
[00:21:38.919] いる
[00:21:41.200] じゃんいるじゃないですかその人たちの
[00:21:43.919] ために俺はいつもピエロです心は泣いてる
[00:21:46.960] んだよ心は泣いてんのちもしないしうんち
[00:21:50.600] もしないよマシュマロゆゆつってここに
[00:21:53.080] いる大数がそうそこにいるアイル
[00:22:00.480] [音楽]
[00:22:03.760] ゆゆたにこんばんはありがとうサブス
[00:22:07.919] ありがとうありがと卒業した時に盛大なお
[00:22:11.159] 祝いしたいまチマゲームあの彼女いない
[00:22:15.200] 童貞ちし
[00:22:18.600] ないちしないおしっこし
[00:22:24.840] ないマシュマロしか食べない
[00:22:30.279] イベントゆマシマロろ
[00:22:34.660] [音楽]
[00:22:36.000] なじゃんタバコもすいませんうああれいつ
[00:22:41.000] もの休憩はあれお花に水あげに行っ
[00:22:44.240] てるお花に水あげてるわ言ってなかっ
[00:22:50.960] たし強い
[00:22:54.320] やお花に水上げてんだ
[00:22:59.080] 見せて何がツの水あそうそうツの水しか
[00:23:04.200] 吸わない主食主食はツの蜜甘くておいしい
[00:23:11.960] [音楽]
[00:23:15.559] です敵強くね今更ながら花占いで配信
[00:23:21.880] スルーしないて犬のおしっこ浴びてるつ占
[00:23:35.520] ごめんねしょうが
[00:23:37.540] [拍手]
[00:23:37.640] [音楽]
[00:23:40.720] ない橋本の橋
[00:23:48.200] のれそうそうのせいだ
[00:23:55.480] [音楽]
[00:23:58.799] だ
[00:24:01.360] けどイベント前に忙しくなる呪いがかかっ
[00:24:04.760] てる人そうなんだよそうなんだよ
[00:24:08.799] こんばんはあたか
[00:24:12.360] こんばんはそうなんだよねなんか毎回
[00:24:16.080] イベント前になるとめっちゃ忙しくなるん
[00:24:17.799] だよね仕事もうざくねマジで会社の会社の
[00:24:22.440] 飲み会行きたくねえんだ
[00:24:26.360] けど去年もだった
[00:24:30.399] うんどこやねんこれ全然わからん配
[00:24:33.559] ツイート見られてる配信とツイート見られ
[00:24:36.760] てあかもし嫌がらせかも今日もだからつい
[00:24:40.720] さっきで帰ってき
[00:24:46.640] たままあまあまそこまでが一瞬だから
[00:24:53.880] なもそう俺も
[00:24:58.880] にの忘年会だよいねんたく
[00:25:02.820] [音楽]
[00:25:09.480] ね月曜日は仕事休めねえしメールの
[00:25:15.360] 消しメールの誤字消し何何それ
[00:25:21.910] [音楽]
[00:25:31.159] いやでもマジ早えよなほら冬のボーナス
[00:25:34.640] 直後最初の週末だ
[00:25:36.960] からあもうみんなボーナス出てんだそっか
[00:25:39.880] もう普通もう出てんのかまだ出てないんだ
[00:25:41.480] よね俺町の消しもうやめろて追い消しして
[00:25:46.240] ねえ逃げねえ俺は逃げ
[00:25:50.600] ねえ追消しは逃げ
[00:25:54.840] ね一般的には12月10日
[00:25:59.799] 一般的じゃないんだな
[00:26:02.290] [音楽]
[00:26:07.880] 俺あの謎ツイートなんだった何謎ツイトっ
[00:26:11.720] て何なんかした
[00:26:14.320] 俺え謎ツイトって何ボーナスなんてねえよ
[00:26:20.559] うるせえよ黙れよボーナスなんてねえ
[00:26:26.760] よ残念
[00:26:30.799] ボーナスないのきついなでもその分基本級
[00:26:33.039] 高いとかじゃないでもそういうのっ
[00:26:35.919] て普通そう普通っていうか大体そういう
[00:26:40.279] のって大体基本級高かったりすん
[00:26:43.760] ねいや
[00:26:45.799] 全然そいや全然は分からんからないや全然
[00:26:50.799] とかわからんからそれは人による
[00:26:54.559] からそれって僕一部の会社だけだよよ
[00:26:59.240] ボーナスなんかねえよ分いいじゃボーナス
[00:27:02.440] あるやつに宝とか出てるとこあってって
[00:27:05.760] なっ
[00:27:06.760] た車業界で今7ヶ月出るとこなんかねえ
[00:27:11.640] だろ車業界今終わってる
[00:27:14.799] よ日本の車業界は今マジでやばいよマジで
[00:27:19.240] 終わっ
[00:27:20.440] [音楽]
[00:27:24.240] てる高いのはさてるやらのたにるかそうだ
[00:27:28.840] そうだそうだ7ヶ月だっトヨタさんすご
[00:27:31.799] いっすねマジトヨタそんなでもらってん
[00:27:36.640] の車教行きたいやめた方が
[00:27:42.360] いいやめた方がいいいややめた方がいい
[00:27:46.399] やめた方が俺もうおボーナス出ない子は
[00:27:50.440] こうやって500円投げてるんですよやめ
[00:27:53.399] た方がいおいお前らパチパチボーナス出た
[00:27:56.799] んだろな
[00:27:59.440] ボーナス出ない子が500円投げてなんで
[00:28:03.200] 出てるお前らが投げないのディラー経験
[00:28:05.919] 信じられないディラーじゃないけど
[00:28:07.799] パーティ1ほらなめてんのか
[00:28:11.679] 明日だよ明日かでも出ない人は一生出ない
[00:28:18.880] よ
[00:28:20.399] ボーナス
[00:28:22.360] あにボーナスない人の方が優しいんだよ
[00:28:26.200] 結局結局
[00:28:29.360] あさおいやめろうさおいそれ逆待はるなよ
[00:28:36.279] もう読むのれた逆待貼らない
[00:28:40.880] ペロペロ受けると思って笑笑受けると思っ
[00:28:45.039] て伝説受けると思ってやったツイート全然
[00:28:48.320] 受けなかったやつ逆
[00:28:51.000] と何おもろいやんけ収入ないのでもうおい
[00:28:55.240] おもろいやんでもめちゃめちゃ
[00:28:58.279] さんもめっちゃ投げてくれたもん
[00:29:00.440] ねちょっとこれさ行くのここ行くのこれ
[00:29:03.960] トラマナって誰か覚えてない
[00:29:07.960] [音楽]
[00:29:09.080] のあるやんあるや
[00:29:12.360] ん
[00:29:16.480] すすお久しぶりですお久しぶりなん来る度
[00:29:20.159] 来るたお久しぶりって言ってる気がするな
[00:29:22.399] もう出ちゃうじゃんすぐのお尻におひねり
[00:29:26.640] できるできるできるできる
[00:29:29.700] [音楽]
[00:29:32.360] 金持ちの集めみたいな感じでさ俺のお尻に
[00:29:35.519] こうやっておシュってやって
[00:29:40.039] ほしいパンツ
[00:29:42.320] にじむからダイレクトに入れられるのたえ
[00:29:46.480] マジでやってくるの全然やるよフライド
[00:29:49.080] なんてないね逆にちを
[00:29:51.880] [音楽]
[00:29:54.880] ひやや
[00:29:59.200] されるのは笑うれになっちゃう
[00:30:04.200] 危なおしよしま匹いやでもあれ倒した方が
[00:30:09.039] いいんじゃないかな動く石倒した方がいい
[00:30:11.080] んじゃないか
[00:30:12.320] なだからの
[00:30:16.720] [音楽]
[00:30:20.320] 倒これ
[00:30:24.080] [音楽]
[00:30:26.200] なら倒せ
[00:30:33.360] 倒せ倒せ倒せそ倒し
[00:30:37.519] て倒えまだ倒せないのこれ逃げんなよ
[00:30:41.480] 逃げんなよあ
[00:30:42.880] ゴミゴミ逃げんなっち
[00:30:47.080] の
[00:30:48.540] [音楽]
[00:30:56.559] うわ倒いいやま1匹倒したか
[00:30:59.830] [音楽]
[00:31:06.080] ねマド
[00:31:11.600] ええマヒャドのSEがめちゃめちゃドネル
[00:31:14.639] と一緒じゃ
[00:31:16.120] ない
[00:31:17.679] うえ
[00:31:21.840] おいしいおいベホマズンが来たじゃん
[00:31:26.919] えベホマズン来て
[00:31:38.000] たラモス前にベホマズンだとギガデインも
[00:31:42.480] ギガデインもももももももう勝ちじゃん
[00:31:45.840] もうそれっておいそれって
[00:31:48.399] よのびのネタじゃんか
[00:31:52.560] [音楽]
[00:32:06.720] け弱弱弱いよの弱い
[00:32:13.080] のぶマシンになるんだよあそうなんだ
[00:32:15.960] こんな70しか食らってない
[00:32:18.919] の70しか食らってない
[00:32:24.580] [音楽]
[00:32:31.120] 敵強いっすよねメガデインとかテラデイ
[00:32:33.679] ンってあるん聖ラムの前
[00:32:37.240] 思い出す聖地ラムだの前なんだっけいや
[00:32:41.399] ギガデインが1番上だよ
[00:32:43.559] ねミナデインがあるけどなミナデイン
[00:32:46.870] [音楽]
[00:32:51.960] 不幸のカブト何不幸の
[00:32:55.840] カブ何不幸のカブ
[00:33:01.360] 賢者の
[00:33:03.480] せの待ちやってよ説せ
[00:33:07.799] なアバンストラッシュ
[00:33:10.399] です何アバンストラッシュ魔人の
[00:33:14.720] 斧行けんじゃない
[00:33:23.080] の行けません誰も装備できねえや
[00:33:29.440] アバンストラッシュ知らないだとこのがい
[00:33:32.600] ように滝配置したの良く
[00:33:35.360] ないわざとじゃないのそれ
[00:33:41.760] はメラゾーマ強い
[00:33:44.820] [音楽]
[00:33:52.200] ねせ
[00:33:53.960] わあしびれる息はあかんわ強い
[00:34:05.519] 危ねえやめろ
[00:34:14.839] そこ今死んでたけどのけたってよねまま1
[00:34:21.720] 個もいっぱいあるからいいん
[00:34:23.800] だもうだるいよ
[00:34:28.900] [音楽]
[00:34:31.000] あさ思ったよりこれ魔物使いあんま強く
[00:34:35.000] なくないかな魔物使いそんな強くなくない
[00:34:39.240] お
[00:34:40.480] ギガあ強ギガに強そんな強いのいやだっ
[00:34:47.399] 全然弱い
[00:34:49.919] じゃんライブ日本だけ来るん来るわけねえ
[00:34:55.240] だろ分かれ来るんかな
[00:35:01.680] あれこれこっち戻ってきちゃったどこ
[00:35:04.119] 行きゃいいんだこれ来たらどうするワン
[00:35:06.640] チャンきそうどうするって言われてもどう
[00:35:09.880] もしないうおってうわーって
[00:35:13.079] 思うわ
[00:35:19.170] [音楽]
[00:35:22.480] 思どこ行くねんこれ
[00:35:26.840] [音楽]
[00:35:29.800] わ
[00:35:35.359] わあ
[00:35:37.880] イ
[00:35:41.480] やお
[00:35:45.900] [音楽]
[00:35:53.640] 強い動くちゃにあんま効か強くない
[00:35:58.560] り1
[00:35:59.960] 段強すぎるんだが
[00:36:03.839] ホお前え弱ベホマラも
[00:36:07.839] 弱ギガデイン本当だギガデインマシーンに
[00:36:11.800] なっちゃった
[00:36:13.319] こいつ返して強ないで
[00:36:19.240] [音楽]
[00:36:22.599] それ
[00:36:24.400] 弱まじパツ弱いパスじゃねえや兄ハが弱い
[00:36:29.160] んだ
[00:36:32.319] けど動く石像が強い説
[00:36:35.250] [音楽]
[00:36:38.160] これ全然レベル上がんね
[00:36:42.600] [音楽]
[00:36:44.280] しあそちそれなこっちか
[00:36:49.480] ジソンこっち
[00:36:51.340] [音楽]
[00:36:52.640] かあこっちかもこっちだ絶対
[00:36:58.040] [音楽]
[00:37:02.680] お前
[00:37:05.000] そそんな
[00:37:07.760] え絶対なんかいいもんだと思う
[00:37:13.130] [音楽]
[00:37:15.839] よ耳が耳かおおおもおも耳かすだけど
[00:37:24.079] ないい方によっちゃ
[00:37:29.340] [音楽]
[00:37:34.520] よし何かすって結構いいのよ呼びやすくて
[00:37:37.680] いいのよ
[00:37:39.119] ね俺はチマ
[00:37:41.510] [音楽]
[00:37:49.079] カスぶっかすチソかす
[00:37:52.810] [音楽]
[00:37:57.760] じゃカスじゃねえかよカスカスはさすがに
[00:38:01.520] 暴言
[00:38:02.640] だ強い動く道以外には聞くんだよ
[00:38:07.670] [音楽]
[00:38:14.000] な
[00:38:16.880] ありがとう可い
[00:38:19.960] かサブスクもい早く名前直そう
[00:38:23.240] ね早く名前直そうなもいい音
[00:38:34.680] 動かす見
[00:38:36.720] づら見づら何これ
[00:38:42.480] 広告罪から入りまし
[00:38:45.359] たマジ最近確かに広告やばいよ
[00:38:50.040] なあんま配信見ないけど確かにやばいなと
[00:38:55.640] 思う最普通に3つ連続当たり前だもんね
[00:39:02.550] [音楽]
[00:39:04.560] 広告順のところは8連来る8この前5連続
[00:39:09.760] あったよ普通にすぎ8連あ名前あ色変えて
[00:39:14.440] きなかっ
[00:39:15.680] たあみーちゃのが変えた8連は草8
[00:39:23.440] 連ガチャや
[00:39:27.839] ちょっと石溜まった時の10連まで我慢
[00:39:30.839] できなかった時
[00:39:33.119] の8連ってどうやったら設定できんの
[00:39:36.440] そんな
[00:39:42.690] [音楽]
[00:39:44.000] みたい最近
[00:39:48.240] さそうなん
[00:39:51.530] [音楽]
