[00:00:04.839] おはちゃま
[00:03:35.560] てどうやって出すのこれ
[00:03:39.360] [音楽]
[00:03:51.159] 画像あ出せ
[00:03:54.879] んちょ画像出したい今日3日目だっけあ
[00:03:59.200] そうだ今日3回目だよ
[00:04:09.560] まだこれちょっとすごすぎる
[00:04:12.680] でしょ
[00:04:14.959] 笑笑これやばくないか笑笑笑笑
[00:04:22.960] 笑笑違和感なさすぎない
[00:04:26.070] [音楽]
[00:04:28.720] これこディープフェイクってやつか
[00:04:32.240] ディープフェイクなんかできんのえじゃ俺
[00:04:34.720] のAVとか作れんの
[00:04:36.880] じゃあこれやばいだろこれ現実に
[00:04:40.940] [音楽]
[00:04:43.240] そうこれいい
[00:04:46.560] なこれちょっと変えてくれよ言葉ここ
[00:04:49.520] 真ん中いつでもBANできるからなにして
[00:04:52.080] くれこれ言葉変えといた後
[00:04:56.680] で左下のウーターマークのサイト
[00:05:00.160] ああ本当だウォーター
[00:05:07.680] マークビノきますこれはいどうも
[00:05:11.160] こんばんはゲームですはい今日もやってき
[00:05:14.919] ます遅くなりましたねすいませんすいませ
[00:05:16.840] んやってきますよ今日もラスタ
[00:05:20.000] 2やってきますよろしくお願いしますもう
[00:05:22.840] やろ疲れたもう今日でもう
[00:05:29.759] さちょうど出張でさ茨城行って埼玉行って
[00:05:35.000] 帰ってきてウブ会議やってもう超大変だっ
[00:05:37.400] た
[00:05:39.240] もうやってきます
[00:05:41.960] [音楽]
[00:05:47.800] か本当が分かれば
[00:05:50.919] な別本当こんな普通のあれじゃないの民隊
[00:05:54.400] じゃねえ
[00:05:57.919] のお前らフォントフォント調だと思う
[00:06:02.479] フォントフォント解析サイトみたいなある
[00:06:05.560] よ画像アップロードしてそん中のフォント
[00:06:07.120] 調べられる
[00:06:09.520] やつやります極太民極太民限界民党でも
[00:06:15.759] いいな限界民党で
[00:06:17.520] もよしやる
[00:06:23.520] ぞえ神あるあるあるあるよなんて調べたく
[00:06:28.440] て普通になんか索みたいなフント解析
[00:06:32.039] みたいなで調べば出て
[00:06:34.759] くる民だけでも数百種類あ
[00:06:38.319] るっすよ似てりゃなんだっていいだろ
[00:06:41.360] ソニーインタラクティブ
[00:06:42.680] エンターテイメント
[00:06:48.280] プレゼンツ
[00:06:52.039] ノーティドッグ何その白って200色
[00:06:54.840] みたいな感じ民体って200種類あんすわ
[00:06:57.720] エアのフント高すぎ
[00:07:00.199] エヴのフント何売ってんのまフォントって
[00:07:03.680] 高いからね数まとか余裕でするから
[00:07:07.960] ねやり
[00:07:16.960] ま前回どんなんだったんだか
[00:07:25.120] な毎回この最初のロードクソ長ね
[00:07:37.680] プレイ疑惑で終わった気がするああなんか
[00:07:40.199] 扉開いちゃったんだよ適当にやったら
[00:07:41.960] [笑い]
[00:07:43.720] なキプレイじゃねえ
[00:07:49.479] から基本俺1回クリアしたゲームあんま
[00:07:52.319] やらないからなもうないやゲームがあり
[00:07:54.440] すぎてゲームがあまりにもありすぎて
[00:07:58.479] なんか配信とでさ1回クリアしたゲーム
[00:08:02.440] もう1回やんのってどうなんみ見てる側
[00:08:05.080] からしたらどうなんだろうねやる人もいる
[00:08:09.560] じゃんレトロゲームとかだと結構いるよね
[00:08:12.840] 何回も同じゲームやる人まうまい人はな
[00:08:15.560] なんかそれやってなんかちょっとゲームに
[00:08:17.400] よるあーまあそうだよ
[00:08:19.879] ねあここです
[00:08:22.800] かああなんか郎はアラジン5回くらいやっ
[00:08:27.840] て
[00:08:30.720] これあれかやべえ
[00:08:32.560] あやべえとこだ
[00:08:37.320] これああこれさだってどうすらいいの
[00:08:42.719] これどうすらいいの
[00:08:49.040] [音楽]
[00:08:51.080] よ
[00:08:53.279] いよてか声が怖え音でかくね
[00:09:00.200] いやこれどうすらええねん
[00:09:02.010] [音楽]
[00:09:05.320] これやっぱこれバレるよ
[00:09:12.320] ねこれやるしかないよ
[00:09:15.279] ねえ何こんな
[00:09:25.160] いやこれやるしかないやんだってこんな
[00:09:32.959] いやいやいやいやこれどう何これ
[00:09:37.279] こえこれどうえどうすんのこれどうやって
[00:09:40.839] も無理じゃね
[00:09:44.600] これいや攻撃力が最も高いとか言われても
[00:09:50.839] さいやもうここ総力戦か
[00:10:04.600] いやこ来るよとか言われても
[00:10:11.640] ないやもうこれどうちょっと待ってなんか
[00:10:16.200] いきなりやるステージじゃねえここまだ
[00:10:19.240] エンジンかかってねえから俺
[00:10:21.720] さもうエンジンかかうわすごい俺エンジン
[00:10:26.680] かかってないからいきなりこんなこと言わ
[00:10:28.480] れても
[00:10:30.320] まだエンジンかかってないよ
[00:10:33.399] これえどうする
[00:10:37.600] これいやどうすっか
[00:10:42.560] なこうして
[00:10:54.300] [音楽]
[00:11:04.480] いやどうすんの
[00:11:10.440] これ危ない危ない
[00:11:13.560] と危ないとか言われても
[00:11:18.519] さいや危ないとか言われても無理だよ
[00:11:25.959] これうわわわわ
[00:11:29.519] いやいやいやこれどうすんだこだって
[00:11:33.720] これいや
[00:11:37.519] えどうすんの
[00:11:43.800] これ何
[00:11:49.040] これだってどうやったってバレるべこんな
[00:12:09.880] あのデブにバレないことってあん
[00:12:21.399] のまままあまあとりマ1匹なマ1匹
[00:12:29.440] ませめてちょっとあの周りのえあいつって
[00:12:32.680] 目いいのあ目見えてんのかなあいつっ
[00:12:44.160] て目が見えてないんだったらねまだなんと
[00:12:47.480] かなるけどどうな
[00:12:51.920] だろクリッカーと一緒なんだったらいい
[00:12:55.800] けどいやここちょっと立ち上がりやる
[00:12:58.480] テージ
[00:13:00.279] よエンジンがまだかかってませんっている
[00:13:04.199] よ
[00:13:12.120] ね12時までにはここ
[00:13:16.440] 抜けようだいぶゆい
[00:13:32.279] こんばんはよいしょさお
[00:13:36.639] 疲れちょっと行きなし行きなし山場行き
[00:13:40.760] なし激ムズステージ来
[00:13:42.680] た行きなし激ムズステージなんだけどこれ
[00:13:45.680] どう
[00:13:49.320] するちょこの普通のノーマルなやつらは
[00:13:53.160] もうぶっ殺すわ全部
[00:13:54.639] な全員ぶっ殺して
[00:13:59.440] よ
[00:14:00.800] オケい
[00:14:04.199] よいしょなんなら別に
[00:14:11.000] さなんなら別にさこれさこっちでも
[00:14:14.320] イグジットで終わりなんじゃないのこっち
[00:14:15.720] 行けばいいんじゃない
[00:14:18.079] のあ行けるやんえ行くよ行けばやええ援護
[00:14:25.279] とかじゃないってえ援護って何
[00:14:33.560] 危なあオオこれでいのねあよしよしよし
[00:14:37.600] よしやっぱ戦わなくてもいいわけ
[00:14:40.560] よ戦わなくてもいい
[00:14:44.959] わけ無理も無理やろあのさなんか
[00:14:48.600] あのこう汚ねえあの
[00:14:50.959] なんか汚ねえあのただれデブあのたれデブ
[00:14:55.560] は無理だ
[00:14:56.639] からた感じってとかさすが名探偵なんて
[00:15:03.399] だっけあいつしなんだかってやつ
[00:15:12.240] なこれパートに今これ今日3日目
[00:15:18.839] じゃんまだまだ多分長いよな先これ今週1
[00:15:23.040] 杯かかるかなまかかるよな今週1杯と俺
[00:15:25.959] 毎日配信って
[00:15:27.959] たあれ今日4日
[00:15:31.240] 目ちゃまゲーよくあるからな配信の何日目
[00:15:34.959] っていうのが
[00:15:36.279] ずれる感染が発生した後も走ってたのかな
[00:15:39.720] これ行ける
[00:15:41.040] これあっちに光が見えるじゃあ行ってみる
[00:15:46.079] そうだよ
[00:15:48.160] ね
[00:15:50.199] リナ今
[00:15:52.800] 行く開くぜ開かないん
[00:15:56.399] かジェラス
[00:16:00.600] えやあジュールス君が現れるのかないかと
[00:16:04.240] 期もせずにここは信じられないほどの感染
[00:16:06.160] 者がいるえ最近ザカリのことを見直し始め
[00:16:08.399] たんだ最近戦では頼りになるし暗闇の中で
[00:16:10.560] 物音を聞き分けられるまるでコモみたいだ
[00:16:12.560] よそれにあいつは毎晩病気の親父のために
[00:16:14.319] 祈りを捧げてるし我が私が愛する人たち
[00:16:16.839] 特に君のためにりを捧げると一緒にって
[00:16:19.240] くれるんだ日印よウキのありがとうないつ
[00:16:23.519] もなあの方のおきというお導きという言葉
[00:16:26.000] をえざかりがよく口にするのが君のことを
[00:16:28.160] 思い出すたにその言葉が思い浮かぶもしか
[00:16:30.240] すると偉大何かいや誰かが見守ってくれ
[00:16:32.199] てんのかもしれないこれじゃまるで強心者
[00:16:33.920] みたいだなとにかくあの方の道君の食人に
[00:16:36.920] の祈り無事を祈ってるよとはいあ
[00:16:44.959] ざす感染で思い出したけどあれだわあの
[00:16:49.319] うちの隣の席の会社の先輩がコロナになっ
[00:16:52.560] たわ俺もコロナになるかも割り割り俺死ん
[00:16:56.959] だわ
[00:17:03.279] コロナかもな俺も
[00:17:07.240] な死なない
[00:17:09.959] でま死にやしねえけど今って特別もない
[00:17:13.959] でしょあ普通に有扱いだねかわいそうに
[00:17:18.799] 一応だけどあの23日病院が行っていい
[00:17:22.400] よっていうまではされないから
[00:17:24.880] さそんなんで
[00:17:27.840] なしまってかわいそうに
[00:17:35.039] なこっちかはいはい
[00:17:39.160] はいでも俺去年コロナやってたな見えてき
[00:17:43.559] たねえ私が持ち上げるうん1人暮らしの
[00:17:48.720] コロナマジきついからな誰も手つけてくん
[00:17:51.000] ねえ
[00:17:57.480] からどう
[00:18:05.039] そうなんよ
[00:18:07.600] ほら気を取り直しこれなったことないの
[00:18:11.520] もうすぐ外だ
[00:18:12.919] よ先行って何先行ってて一緒に行こう一緒
[00:18:18.799] に行くんだ
[00:18:19.880] よまだ未経験あそうなんだ
[00:18:29.400] これうわもうちょ
[00:18:32.720] 怖なんだ
[00:18:38.080] よまたまたもうちょっとちょっとちょっと
[00:18:45.960] ちょんこのDV
[00:18:48.159] マニア
[00:18:50.720] 離れろあもうちょっとさいきなりども
[00:18:55.520] やめほら交代で使て外ダやめてちょっと
[00:19:02.159] エリダあこれでれるんだ私は感染しない
[00:19:05.559] そうだよ免疫があるのそうほら咳してない
[00:19:09.760] でしょそっかちょっと
[00:19:13.200] ディナまずい
[00:19:15.600] 走れる行けるさっさと逃げるよ行っ
[00:19:22.679] てテナ逃げて行こ行こ行こ行こリいいから
[00:19:27.799] 止まんないでやばいやばいやばやばいお音
[00:19:30.600] がすごい怖い怖い怖い怖いやめろやめ
[00:19:39.080] て早く
[00:19:42.760] 込音が今日怖音が今日怖い
[00:19:46.280] よ
[00:19:49.960] 危ないやばい
[00:19:53.679] やばややばいぞやばいぞやばいぞこれ
[00:20:04.840] あか
[00:20:08.799] やばいいやもう早く早く見てないていい
[00:20:11.679] から早く逃げよう
[00:20:13.480] ぜいやもう早く行ったあれディナやばく
[00:20:17.520] ない
[00:20:19.640] ディナちょっとディナなんかィなんか
[00:20:24.159] 大丈夫お前まさか
[00:20:30.280] あの劇場で休憩
[00:20:32.760] するそれ大ちょっとディナも
[00:20:39.159] だいぶえ大丈夫あの劇場ってどこ
[00:20:43.720] よあの劇場って
[00:20:48.799] どこえちょっとディナさんディナさん
[00:20:53.520] ちょっと怪しくない
[00:20:59.799] 何これどこに行くの
[00:21:05.520] これほんまやなお疲れ
[00:21:10.039] ちゃんもうすぐだよちょっとなんかあ全然
[00:21:14.000] 違ったそっちディナちょっと
[00:21:21.960] これディナ
[00:21:25.320] 俺ディナさんちょっと
[00:21:28.960] ちょっとあちょっとやばい気がする
[00:21:31.640] なディーナさんちょっとあ俺俺下ろし
[00:21:35.919] なんか
[00:21:39.480] 微妙あんまり調子良くない今日
[00:21:47.880] 神いや俺やな予感してき
[00:21:51.880] たこれさディナネキ行くんじゃねえかな
[00:21:58.640] これマーブルが言ってたあんなん女の口
[00:22:00.679] ってまさか
[00:22:02.320] さやめて
[00:22:06.440] よもうそしたらマジでもう妖怪ウォッチ
[00:22:09.400] やるからな本当に本当にそしたらマジで
[00:22:11.720] 妖怪ウち
[00:22:12.760] やろ頼むからやめて頼むからもうちょっと
[00:22:15.799] 俺の心えぐんないでこれ以上本当
[00:22:20.080] にでもさよでるよ
[00:22:23.159] でるノーティドッグなんだよななんか
[00:22:26.919] ずっとおかしいよ
[00:22:30.799] おかしいっ
[00:22:33.559] て
[00:22:35.679] エリ目の前で奉仕吸ったの
[00:22:42.080] にエリーはなだからさエリーは大丈夫なん
[00:22:45.640] よまだ言ってなかったんけどそなてああ
[00:22:48.880] そう免疫ねえ何やめてよ
[00:22:53.520] 何信じてない
[00:22:55.960] ねだいぶ前に噛まれたんだ
[00:22:59.279] ちょっと待ってよ何なのそれ噛まれたけど
[00:23:01.679] 何も起きなかった言ったけど信じてくれ
[00:23:04.760] なかったんよなでついさっき敵にやられて
[00:23:08.240] マスク壊れちゃったんだよ目の前であの
[00:23:11.000] やけど信じてないのまだ
[00:23:16.760] こいつそのこと知ってるのはジョエルだけ
[00:23:20.120] ねマリアとトミーだけなんだジョエルも
[00:23:24.080] なまジョエル死んじゃいましたけどあと
[00:23:27.799] ジョエルもだよ
[00:23:31.600] なあんたも
[00:23:38.080] 追加やめてよ大丈夫
[00:23:42.000] 私から感染することはない
[00:23:48.320] から免疫上げることもできない
[00:23:53.919] けどこいキスしたからもしかしたら免疫
[00:23:56.600] 渡ってくかもしんねえぞ
[00:24:05.000] ねえなんか言っ
[00:24:07.440] て稽
[00:24:09.690] [笑い]
[00:24:15.960] 回私妊娠してるか
[00:24:19.159] はあそんな簡単に分けからはは本当だよ
[00:24:25.080] はああなたの子じゃないだろ当たり前だろ
[00:24:30.880] 待ってよ
[00:24:33.600] えこれからどうしろってのええ中で妊娠し
[00:24:38.679] たのかと何も想像妊娠を少し休めば平気だ
[00:24:41.760] から勘弁してよいや勘弁してよこっちでた
[00:24:44.279] わふざけんなこっちだよ勘弁してお数週間
[00:24:47.240] あれが来てなくて数週間だったらなんまだ
[00:24:51.840] 引き返せたのにあの時は何まだ阪神半疑
[00:24:56.039] だったの迷惑かけたくなかったし迷惑
[00:24:59.799] わ
[00:25:01.799] 何何どんな展開だよマジでえ誰とやった
[00:25:11.240] のあの中国男かここ
[00:25:14.919] が安全どか見て
[00:25:19.760] くにだった休んでて
[00:25:24.919] えどうスーリーなん
[00:25:30.440] いやすごい
[00:25:34.760] ないや誰しもがみんなはあってなるよ
[00:25:40.600] な話が飛びすぎ
[00:25:43.600] な
[00:25:46.240] 気まずでも
[00:25:48.159] なあしかも黒い便器
[00:25:51.799] 珍しいで
[00:25:53.919] も命だからね邪に扱うわけにはいかない
[00:26:02.120] え妊娠してるス状況的に数間止まっても
[00:26:07.279] おかしくはないとあそうですよねどうです
[00:26:09.720] よねそうすよね
[00:26:11.960] こんばんはいや別に寝取られたわけじゃ
[00:26:15.679] ねえけどなお
[00:26:17.799] 疲れあとディナ太ったんちゃディナ太った
[00:26:21.919] んちゃ太ったら理遅れるって言うやん太っ
[00:26:26.679] たんちゃ
[00:26:32.039] 最低やんけ笑笑できると太るできるたん
[00:26:37.279] ちゃうできると太るとは聞いたことある心
[00:26:40.919] とはこんばんはそう今心ねうるせえなな
[00:26:44.159] ちゃこんばんはいきなり意味わかんねえよ
[00:26:46.559] この状況なんだこれちゃまゲーもしかして
[00:26:51.600] 何何何えー9月4日俺とペレスグリーン
[00:26:55.480] アダムは2日前になんとかあだこだでどう
[00:26:57.679] のこうのでクソコラ送ったちゃまゲ
[00:27:00.279] クソコラ送った本当だできてるしてる笑
[00:27:05.120] てるちゃまもしてるんかできてる
[00:27:07.760] ありがとうこれちょっと後でツイートする
[00:27:09.600] 俺うん俺整理きての太ったからかもしれん
[00:27:13.159] 私うむから何言ってんのこ
[00:27:17.600] な何言ってんだ
[00:27:22.960] えーっと帰りが遅いなこれこれちょっと目
[00:27:25.600] やこれメモは古い
[00:27:28.799] でも油断
[00:27:34.080] 大敵結読み物が多い
[00:27:38.279] なあ読み物が多い
[00:27:46.880] ども奥に入れないん
[00:27:50.159] だいやまさか
[00:27:54.960] のまさかのあいつ妊娠してんの
[00:27:59.760] いやもうこれから一緒に旅できねえぞなあ
[00:28:02.840] とりあえず栄養に気をつけないといやもう
[00:28:05.519] そんなこと言ってられるあれじゃねえ
[00:28:11.159] だろうお腹大きくなってきしまったらもう
[00:28:15.519] もう無理やんかと言ってここに置いてく
[00:28:19.360] わけにもいかねえしよだからてこれから
[00:28:22.600] 帰れないもんねもう
[00:28:27.120] ねえどうすん
[00:28:35.320] ねんどんなストーリーだ
[00:28:38.080] よあすごいもうあれだフードかぶったのか
[00:28:42.640] と言って2人分気にしながら戦うのも無理
[00:28:45.399] だいや無理だ
[00:28:50.640] ねでもうどうすんのマジで
[00:29:00.640] おなんだ
[00:29:02.399] う感電した
[00:29:14.080] の引き返すのも考えた方がいいいや
[00:29:17.720] 引き返せないよだって馬さんない
[00:29:20.480] もん
[00:29:22.360] オ馬ないからね
[00:29:28.399] もうここに住むしかねえんじゃ
[00:29:30.720] ねここに住んでさとりあえず赤ちゃんがさ
[00:29:35.120] 立って歩けるようになるまで5年ぐらい
[00:29:38.000] ここで過ごすしかねえ
[00:29:45.200] だろう満足したから仕事戻りますあ仕事中
[00:29:49.000] かお疲れ頑張れよ出産できる境かていうと
[00:29:53.240] またそうだよ
[00:29:55.720] なそうだよなでもさファミレスで産ん
[00:30:00.120] じゃう女とかもいるわけでしょファミレス
[00:30:01.880] のトイレで産んじゃう女とかもいるわけ
[00:30:03.360] でしょブ見るねあいよ
[00:30:05.919] ありがとうファミレスで産んじゃう女とか
[00:30:08.360] もいるわけじゃん世の中にはでそのまま
[00:30:10.640] トイレに流しちゃう女とかいるわけでしょ
[00:30:12.559] えだからなあすげえよななんか色々すごい
[00:30:18.120] わあこれは何えそういう女の人だって
[00:30:23.519] なんかいるやんよくなあよくはいねえかも
[00:30:26.919] しんねえけどの
[00:30:28.720] だそんなやつ人間じゃねえよなあさすがに
[00:30:32.360] すごすぎるよね
[00:30:34.039] それなんだ
[00:30:38.399] ラジオ思ったより物資が
[00:30:43.559] ないなんだこの放送室みてえ
[00:30:48.080] な都部の話買って見てると意外と地方だっ
[00:30:52.120] たりするからね子供は大おマく
[00:30:56.919] こんばんはもしかして誕生日だったりする
[00:31:01.880] 今日ちょっと待って
[00:31:05.279] これ9月13日仲間は戻ってこないだろう
[00:31:08.679] きっとそう戻ってこないきっと騎を受けた
[00:31:10.559] から俺を見捨てたんだ具合が悪くなったの
[00:31:12.440] は俺のせいじゃないとりあえず列は引いた
[00:31:13.880] けど今度は腹が減って死そうだ近くの
[00:31:15.720] 食べ物では明日から無線誰か呼び出して
[00:31:18.279] みようえひっきりなしに雨が降ってるから
[00:31:19.960] 喉が乾いて死ぬってことはないなまその
[00:31:21.679] せいでしょっちゅ停電するけどあ年取った
[00:31:24.399] おめでとう誕生日誕生日おめでとうえー
[00:31:28.320] まそのせいでしょっちゅ停するけどだから
[00:31:30.000] 無線もなかなか使えない使えたところでお
[00:31:31.840] めでとうございます何歳になった僕僕何歳
[00:31:35.360] になったのえ誰かが反応するわけじゃない
[00:31:37.720] けどえフェドラの情報収集拠点が全てえ
[00:31:41.279] ウルフにやられたわけじゃないだろうし
[00:31:42.679] そんなのありえない呼びかけに答えなきゃ
[00:31:44.519] えー俺は銃で撃たれそっからゆっっくり
[00:31:47.360] 出血しているその様子を見ながら奴らは
[00:31:49.399] 笑ってるそんな夢を見たありがとうござい
[00:31:51.720] ます目が覚めたのは1時間前だけどまだ
[00:31:53.399] 震えてるタが空いたい普段え普通劇場なら
[00:31:56.600] 1箱2箱ありそうなにここにはないらしい
[00:31:58.960] また停電した屋号に行って直せるか見て
[00:32:00.919] みよああいつ感電しちゃったやつだこれ
[00:32:04.279] 兵士の方が向いてたのかもねなるほど
[00:32:08.720] ねでこれ
[00:32:13.799] は通信できるん
[00:32:17.360] か37
[00:32:20.480] かおなんか鍵ちゃうんそれ何これ
[00:32:25.639] やった
[00:32:30.720] いやここめっちゃあるのにな結構ねもうね
[00:32:33.960] ぶあのね物資潤沢でね拾えないんだよ
[00:32:44.320] ねどこの鍵
[00:32:52.279] これまいった
[00:32:56.840] ね忍の真しちゃったね忍の
[00:33:03.799] シまあでもそうこんこんな
[00:33:07.679] 世の中そうだな多分コンドームとかない
[00:33:11.120] だろうなし
[00:33:13.720] のみ近藤部なんかないやろこの世界
[00:33:20.720] 多分すぐだ
[00:33:24.159] ぞ何が
[00:33:28.039] 何が怖早そのそのコメントがすぐだわすぐ
[00:33:32.679] だ
[00:33:34.760] ぞ
[00:33:36.679] 笑笑すぐだぞって
[00:33:39.639] 何
[00:33:50.760] オッケーおお劇場やすごいすごいね
[00:33:55.960] ジョエルここで映画見たら喜んだだろああ
[00:34:00.399] そうだ
[00:34:06.960] ねいきなり出てくんのやめろ
[00:34:10.839] よなんか怪しい匂いするなんか気味なんか
[00:34:14.079] 怪しい匂いする
[00:34:17.079] ぞあれっ
[00:34:21.040] て
[00:34:22.599] あグイたーじゃんグイたー
[00:34:35.720] またギターパート来た
[00:34:50.960] わやば
[00:34:53.399] すぐりギタ憧れるわ
[00:35:00.760] 遅えすぎることなんかない
[00:35:03.200] よわ出た始まりました
[00:35:08.240] [音楽]
[00:35:30.640] なんかいい感じで引けてなかった今なんか
[00:35:33.760] いい感じに引けてたな
[00:35:35.540] [音楽]
[00:35:55.359] 今クリー
[00:36:00.570] [音楽]
[00:36:07.160] え3年前前かびっくりした3年後かと思っ
[00:36:11.240] てマジであそこで赤ちゃん育たんかと思っ
[00:36:13.960] た3年前なああ
[00:36:19.000] ああ指にタコができればうまくジエルだ
[00:36:23.210] [音楽]
[00:36:24.880] ああじゃあ行くかああ
[00:36:29.000] やった
[00:36:31.079] ね無理無理って何おいしかもおいジうわ
[00:36:37.880] ちょっと当てせちょっと待待て触りたいて
[00:36:40.920] おかなくてジョエル触りたいジョエルの
[00:36:43.240] 匂い書きたい待ってんと待って走るなお前
[00:36:48.400] は内緒だって言ったろ
[00:36:51.680] 諦めろあさそれじゃあゾとか
[00:36:58.079] 待ってだったら喋ってないで先に進あこの
[00:37:01.400] 人も死んでます
[00:37:03.560] あく
[00:37:07.160] く気をつけろよちょっと長い間ここ
[00:37:14.240] あのちょっと待って嫌いか
[00:37:18.119] も
[00:37:20.160] ヒひどく
[00:37:22.640] ないじゃないだろ何考えてんのすしてるぞ
[00:37:28.599] 溺れるでしょ溺れやしないよ泳げないのに
[00:37:31.880] もっと自信持ったらどう泳げるようになっ
[00:37:33.720] たの肘でしたはいはい笑ってれば今のうち
[00:37:38.160] ねこっちだぞけえマジむかつくよぎうまく
[00:37:44.359] なったらああいいかがむしゃらに腕を
[00:37:46.920] 動かすんじゃなくて腕全体で水をかく
[00:37:49.480] でしょ分かってます覚えてたようで何より
[00:37:53.960] ま普通に切れるよねこされたらはほら見て
[00:37:57.000] みろ
[00:37:57.960] 押したらやこんなゆく背負っておてるの
[00:38:01.359] すごい今日はだね何あ鹿だ押し
[00:38:07.400] たれねえあれ
[00:38:13.000] てどんな気分
[00:38:17.079] 笑笑すっきりしたねっこされるのってやな
[00:38:20.599] 気分でしょ
[00:38:22.560] まどっちみちここを泳いでくつもりだった
[00:38:25.520] しないやこれでもすごいぜされてむかつい
[00:38:28.640] てんのああすごくむかついてるね着意水泳
[00:38:32.280] ってめちゃめちゃ大変だけどねこれ靴履い
[00:38:34.520] てあんな
[00:38:39.920] さ
[00:38:41.839] 危な
[00:38:43.720] あんなティンバ殺しもティンバーランド
[00:38:47.160] みてなほら息すってうん
[00:38:52.839] 楽勝すご最高
[00:38:58.079] ティンバーランドみたいな靴でよう泳げる
[00:39:00.280] な力が
[00:39:01.790] [音楽]
[00:39:03.280] 違う小学生の時さ着意水兵ってやんなかっ
[00:39:06.920] たあれマジ謎だったよ
[00:39:14.160] なもしかして私やんなかのの歴のけてきた
[00:39:20.359] ことりにたろ今なんて言ったファイア
[00:39:24.760] フライをテロリストって呼ぶから文句言っ
[00:39:26.920] てさまでずっと浮いてた友達とりえもやっ
[00:39:30.880] たよねそのすぐに腹直した方がいいんじゃ
[00:39:34.400] ないかむかつく相手でもそれでも
[00:39:38.880] だほらもう1回潜るぞどこに連れて行く
[00:39:44.200] ちゃやっ
[00:39:46.079] たらしいあやったんだやった
[00:39:50.359] でしょどこ行くのこれ女子5マイナ8人
[00:39:53.400] ぐらいはいつも休んでたなやったやった
[00:39:56.359] やったよね
[00:40:00.280] あの意味のないひょっとして栃全員やった
[00:40:04.000] ぞ海ない
[00:40:12.079] の
[00:40:20.160] 海ないから
[00:40:22.440] にはあるからね
[00:40:25.240] がもういてるやめそりゃ
[00:40:30.520] 結構ね今の嘘もしかしてコミック
[00:40:34.560] コレクションとかあ待った何このタ待って
[00:40:38.599] このこの
[00:40:40.119] タそうだ何このさどのそれは秘密だ
[00:40:46.480] レーザーディスクとか流行ってたん
[00:40:51.640] でしょ何これタもない
[00:40:55.560] ジョエルかこんばんは濡れた直後でこんな
[00:40:59.400] に草村に入るな
[00:41:01.560] よば確か
[00:41:06.880] にお何これチエルちょっとこれってついた
[00:41:11.960] ぞ嘘やっば恐竜じゃんああそうだこれ見せ
[00:41:16.839] たかったの俺にエル驚いたか
[00:41:19.960] え優しいジョエル本当に恐竜だっ
[00:41:25.160] た見せたかったんだこれをえ見に
[00:41:30.720] 行こうでも肘で突き落としたけどな
[00:41:33.880] まあまあまあまあお遊び
[00:41:35.680] でしょあえかいやもうお前そもう
[00:41:38.839] べちゃべちゃだろそのそのノートも
[00:41:41.119] べちゃべちゃだよいやそのノート
[00:41:44.599] ぐちゃぐちゃ
[00:41:46.119] だろ笑笑ようこんなペラペラかける
[00:41:50.240] おかしい
[00:41:52.520] だろ書いた途端にちぎれそう笑に優れて
[00:41:58.079] ますジョエルが来週私の誕生日キャンプ場
