[00:00:04.799] 1個目2日目検討1波と2検討1波と来
[00:03:43.799] 塗っといとやっ
[00:03:45.200] とこう息を吐くように嘘をつく配信者って
[00:03:49.080] のそういうもんなんだよリスの名称
[00:03:50.680] 決めようチャマリスでいいだろ別にお
[00:03:54.120] ファンマ作ファンマねファンマ作ろうよ
[00:03:57.000] みんなもなんかあのTwitterの名前
[00:03:58.400] の後ろにしないように地面途中っってなん
[00:04:00.959] だ地面途中ってあのTwitterの名前
[00:04:04.079] の後ろに俺のファンマ作ろうファンマ
[00:04:06.680] vtuberでよくやるやつあのファン
[00:04:09.920] マークやってくよ今日
[00:04:16.759] ももうさすがにもうクリアしたいんだけど
[00:04:19.919] 今日は無理かなだもんなあと平均して
[00:04:23.160] レベル25度上げなければいけないという
[00:04:25.800] 地獄のようなレベル15ずつ上げなきゃ
[00:04:28.320] いけなってねさんがあらのびちゃんのび
[00:04:31.280] ちゃんどうもこんばんはお疲れ様でしたお
[00:04:33.280] 疲れ様ですどうもありがとうございます
[00:04:35.560] ありがとう今からだ今からだ今からね今
[00:04:38.240] から今からですどうもこんばんはやるぜ
[00:04:41.720] やる
[00:04:43.120] ぜナスお疲れですどうもこんばんはチマ
[00:04:47.400] ゲームですはいどうもやってまりました
[00:04:49.880] そろ分滅今日も多分ねがりです今日もね
[00:04:53.160] 今日も夜中の2時まで多分ねを買っていき
[00:04:55.280] たいと思いますいやもうさすがにクリアし
[00:04:57.120] たいやがさすがにもうちょっと今日明日は
[00:05:00.960] ね明日さチラ丸のさレイドリレなんだよ
[00:05:05.000] ドラクエ1の俺全く練習してないけどまあ
[00:05:07.880] 大丈夫だろうという俺はもうドラクエ1
[00:05:09.560] 人生売りクリアしてるから
[00:05:11.240] な多分大ちょっと不安になってきたんだ
[00:05:14.360] けどまあまあでもまあいいす明日
[00:05:17.680] 明日明日じちょっと練習するちょこっと
[00:05:20.360] だけちょこっとだけ練習するか明日
[00:05:22.560] まあまあいいやとりあえずやっていきます
[00:05:24.639] よやっていきますからねよろしくお願いし
[00:05:26.560] ます今日もねはいどうも明日の明日って
[00:05:29.840] いう俺の番は明日っていうか日付的には
[00:05:32.840] 明後日の要は明日の12時より過ぎねあ要
[00:05:36.600] は土曜日のそう午前午前3時から誰ももう
[00:05:40.960] 1番人いない時間に入れられたんだがか
[00:05:44.000] ねえよなレコード聞いていや場所によって
[00:05:46.440] は音楽にだけ慣れとくかいや場所によって
[00:05:49.319] はマジでそうなるよなドラクエ1なんてさ
[00:05:51.639] レベル上げ17時間必要なんだからあれだ
[00:05:54.240] からとりあえず明日夜中の3時からだから
[00:05:57.319] お前らもね寝て過ごすこと3時からいつ3
[00:05:59.880] 時から6時まで3時間多分誰もいない時間
[00:06:03.400] ですよね1番1番人がいない時間に
[00:06:06.759] ぶち込まれたそこまで時間がある
[00:06:09.240] からもしかしたら練習するかもなもしかし
[00:06:12.560] たら練習するかもなまあんな感じでやって
[00:06:15.319] いきます今日はポケモンやります前日でも
[00:06:17.800] 変わらずポケモンやりますなめてますなめ
[00:06:20.400] てるんじゃない俺はもう一度クリアしてる
[00:06:22.120] とジフがあるからなジフがありますから
[00:06:23.960] やってき
[00:06:25.639] ますやるどやるど今日もやるども今日
[00:06:30.160] クリアしたいんだけどいい加減
[00:06:32.479] にはい行きます
[00:06:35.800] よ行こはいはいはいやります
[00:06:39.560] かパティ読ちょっとだけ付き合ちょっと
[00:06:43.360] だけいや最後まで付き合ってくれはいえ
[00:06:45.000] リザ68こんくらいまで全員あげたいすね
[00:06:49.000] 滅いやいや滅したらもうやらないよ
[00:06:52.280] 事あらどうもこんばんはりほちゃん
[00:06:54.560] こんばんはりほちゃん
[00:06:56.080] こんばんはこれを今日もやってくぜ
[00:06:58.120] ポケモンプラチナやってんのいいね
[00:07:00.560] 今日はこいつらのレベル全員65ぐらい
[00:07:02.879] まで開けたいなというところでございます
[00:07:04.639] ね65までこいつらがきついこいつらが
[00:07:08.199] きついこないだ手に入れた突貫工事のね
[00:07:10.160] 電流と
[00:07:12.160] 巨まとりあえずこいつらをレベル上げなあ
[00:07:15.960] かんねちょっとチムもレベルなので
[00:07:18.199] ちょっとこの辺でレベル上げていこうかな
[00:07:21.080] 食べたマック食べてない今日マック帰りに
[00:07:24.400] 買ってくうと思ったんだけどクソこんでて
[00:07:25.879] やめたあ時間もたねえと思っ
[00:07:28.240] ては配信やるからなと思ってえいだろ
[00:07:31.080] 遅れるぐらいだったら俺はちゃんと諦めて
[00:07:32.960] 帰ってくるえらいえいねちょっとこの偉
[00:07:36.720] すぎる偉すぎるだろこれ何これ混んでるよ
[00:07:40.080] ね超列できてんの見てうわこれ時間かかん
[00:07:42.639] なと思ってやめ
[00:07:44.080] た結局ゴジラバーガーモバイルオーダー
[00:07:47.240] なんてないよ今日今日はあの普通に帰りに
[00:07:51.960] 代わりに寄ってきたスーパーで買ってきた
[00:07:53.479] 変なお惣食べた悲しいだろ男の1人暮らし
[00:07:57.319] なんてこんなもんだよな料理てくれる彼女
[00:08:00.280] 募集中ですよろしくお願いします何アプリ
[00:08:02.479] 入れたら絶対にできんのそれどこにどこで
[00:08:04.680] も対応してんのか栃でも信用ならねてか
[00:08:08.000] ちょっと誰さ自信の自信ね自信の
[00:08:12.479] さざましてどこにいんだよ自信の技マシン
[00:08:16.919] おいれお疲れレミお疲れ茨城やってんだ
[00:08:19.800] から行けるかレミごめんレミ死んだ
[00:08:22.919] われごめんなれ死ん
[00:08:26.039] だ残念すいませんでしたれ死にました今日
[00:08:29.680] もシシやってく
[00:08:31.399] ぜどこなのこれ15番道路え死んじゃった
[00:08:35.560] んだよね15番
[00:08:38.360] 道路15番道路に落ちてるという情報を
[00:08:41.279] 終えました俺は今りえありえんほんまあり
[00:08:45.440] えん代わりに霊が消えて代わり
[00:08:48.839] にえ電動入子しかいけないのマジかよなん
[00:08:51.959] だよあそうなんだりに電気タイムのチムが
[00:08:55.880] 入りまし
[00:08:56.959] たあもた止まったももうこれもうダメだね
[00:09:01.120] これすいませんこれまたちょっと付き合っ
[00:09:02.720] ていかなきゃいけないこれ
[00:09:04.839] は15番道路って
[00:09:07.839] どこ7
[00:09:10.760] 番電動入り5しかいけないん
[00:09:14.760] だあ本当だここ行けないね確かにねこれ
[00:09:19.480] 多分電動入り5に行くんだろうなここなま
[00:09:21.360] いいやとりあえずレベル上げすっかまた
[00:09:23.440] 今日も地獄のレベル上げだよまた今日も
[00:09:26.160] 地獄のレベル上げレベル上げレベル上げ
[00:09:28.440] やってきます今日も
[00:09:30.519] 死んだんでもう配信いや魂だけになって
[00:09:33.800] 来いよ魂だけになってここに来いレベル
[00:09:36.480] 50
[00:09:38.880] 強え地獄地獄の大
[00:09:42.160] 地獄地獄地獄の大地獄だよいやもうこれ
[00:09:47.160] もう今日4時間レベル上げねでけえ草村は
[00:09:50.680] ねえかでけえ草村はここでも多分がりだ
[00:09:54.240] からなまた
[00:09:56.240] もポケモン雑談
[00:09:59.959] いやマジでそうマジでそれポケモンかこ
[00:10:05.160] 雑談その頃最初ばかにしてたけど最近結構
[00:10:09.200] 好き地獄地獄の大
[00:10:12.760] 地獄マジで地獄地獄の大地獄だからな今日
[00:10:15.800] また4時間ねこの上ってどやって行くん
[00:10:17.279] だろこれ多分ねがりだよまた聞きすぎた
[00:10:22.560] 聞きすぎたああどうやって上行くのこれ
[00:10:26.880] 切り持ってねえからよ俺今今んところ
[00:10:36.399] ああ草村ねえのかよここえあのちっちゃい
[00:10:40.079] とこしかないのこの上行けないん
[00:10:42.800] [音楽]
[00:10:45.079] だとりあえずあの今日今日のベース
[00:10:47.760] キャンプを決めねえとよとりあえず今日
[00:10:50.360] 雑談する場所を決めないと場所決めから
[00:10:54.079] これここかこの
[00:11:00.360] 誰かチマゲームのために草村作ってあげ
[00:11:03.160] 草村作ってくれここは
[00:11:05.079] 何とりあえず今日4時間共にするベース
[00:11:08.720] キャンプ
[00:11:09.380] [音楽]
[00:11:11.440] をあらいいよいいもんくれる
[00:11:15.290] [音楽]
[00:11:16.680] ね火炎放射の技マシンくれるんだ
[00:11:22.560] 炎炎放者やばいね強いんかめちゃめちゃ
[00:11:26.320] 強いよこれは炎タイプの中で一番使い勝手
[00:11:29.880] がいいんじゃない火炎放射10万ボル冷凍
[00:11:34.160] ビームってのはもう3種の人規というか
[00:11:36.800] そのタイプの攻撃技で一番使い勝手がいい
[00:11:40.200] 例えばこいつが覚えてんだけど命中100
[00:11:42.760] で威力95ってのはねなかなか強いこれ
[00:11:46.600] 以上威力が高い技120の炎技例えば
[00:11:49.079] 大文字って技があるんだけどそれは命中が
[00:11:50.800] 70%になっちゃうだから70ってほぼ
[00:11:53.160] 当たんないんでポケモンの70って体35
[00:11:55.240] なんでだけど当当たんないこのポケモンね
[00:11:58.680] このね100とか70とか言ってけどね
[00:12:01.079] 当たらんから70%なんてマジで外すから
[00:12:04.000] これはめちゃめちゃだからいいんですよ
[00:12:06.560] 冷凍ビモも覚えてるからねほらこれは氷
[00:12:08.839] タイプ版のこの威力95の名100同じ枠
[00:12:12.040] があるんだな役までもたまに外すけどね
[00:12:15.399] 外す時もあるでもまほぼほぼ外さ
[00:12:19.240] ないこいつは10万ボル覚えて欲しいんだ
[00:12:21.920] よ100でもさなんだかなんか外す時も
[00:12:25.240] あるよなあ開いてるやつてる大当るねそう
[00:12:29.760] いうレマ
[00:12:32.040] ねもう俺本当終盤です
[00:12:35.480] よ小さくなる使われるとねそういうとこ
[00:12:38.639] そういうことやられると
[00:12:41.399] なえここしかないの待てえここしかないの
[00:12:48.120] エルチお疲れね草村がないぎぎ覚えさせて
[00:12:53.680] この奥行くえいい切りなんか覚えさせたく
[00:12:57.040] ねえよ
[00:13:01.480] いやでそこじゃちょっと
[00:13:04.160] ななんか嫌り覚えさせるポケモン持って
[00:13:06.880] くるしかねえかめんどくせえな今日も今日
[00:13:09.760] とてレベリング今日も今日とてレベリング
[00:13:11.560] です
[00:13:12.420] [音楽]
[00:13:14.560] ねこの後もうなんつうのもうこの
[00:13:17.440] チャンピオンロードま今日だから
[00:13:19.279] レベリングして最後1時間でチャンピオン
[00:13:21.240] ロードクリアしたいなって感じだ
[00:13:24.399] ねもうなくそむかつくなお前は本当にもう
[00:13:29.839] ちょっと待ってね1000変えるわなんか
[00:13:31.920] もうダメなんだよなこれ困っちゃうんだよ
[00:13:34.959] ちょっと待ってねちょっと高い方の線に
[00:13:37.440] 変えよう長いけどこっちの方が絶対いいと
[00:13:39.040] 思うんだよなこれ誰か直せねえこれ
[00:13:43.040] MicroUSBのさMicroUSB
[00:13:44.959] って絶対こうなるからやなんだよ俺USB
[00:13:48.079] TypeCだけにしてくれこの世の
[00:13:50.560] 企画あらだめだちょっと待ってなんですか
[00:13:55.480] 映るないいっすねもうこれがあるとマジ
[00:13:57.680] ストレスなんおいどういうつもりで出てこ
[00:14:00.279] ねえなおいちょっと待っ
[00:14:06.160] て
[00:14:10.639] はちょっとバグって
[00:14:15.800] やがるなんでデコー今映ったんだよし来た
[00:14:21.839] はいどうもすいません
[00:14:23.870] [音楽]
[00:14:27.360] ねお墓懐かしいねちょっとこいつらだか
[00:14:30.600] 嫌い切り覚えらんねえかなお前でいっ
[00:14:34.720] かちょっと1匹預け
[00:14:38.320] てもうリザードはとりあえずあのまあ68
[00:14:42.440] 行ってればいいかなって感じだ
[00:14:43.810] [音楽]
[00:14:45.880] からしょうがねえからこいつわざわざ連れ
[00:14:48.440] てくよめんどくさいな嫌い切
[00:14:56.880] りってどこあたたた
[00:14:59.960] [音楽]
[00:15:05.800] これ覚えてかないと進めないんですよね
[00:15:08.399] クアだっけあなわかんね何それ知ら
[00:15:15.639] ねえ
[00:15:19.399] よしまずはじゃあトドゼルガから育てよう
[00:15:23.160] か
[00:15:29.880] やべなんか明日のドラクエ1やらないと
[00:15:32.480] ちょっとなんかのが番多分ああそうなんだ
[00:15:36.600] そういう場所があるんだどうなんだろう
[00:15:39.839] 行けるのかな電動入り前に行けるんだっ
[00:15:43.040] たらクリア後に行けない行けるんだクリア
[00:15:45.360] 前に行けるんだったら行きたいけど
[00:15:48.519] ねてか明日のドラクエなんかちょっと今更
[00:15:51.519] 緊張してきた
[00:15:52.720] わま大丈夫だと思うけどなドラクエ1
[00:15:55.759] なんてな
[00:15:59.800] まずトップバッターがチャラまるでしょで
[00:16:02.319] 3時間で次無責任さんが3時間で6時間
[00:16:08.880] ドラクエ1プレイ開始6時間ってさどん
[00:16:11.759] くらいの場所にいるんだろうねこめちゃん
[00:16:14.519] こんばんはちょうどドラゴンの時とかだっ
[00:16:16.880] たらやだなちょうどドラゴンの時とかだっ
[00:16:20.279] たらめんどくせえ
[00:16:21.519] なちょっと緊張するな
[00:16:24.430] [音楽]
[00:16:27.920] それもこのゲームやるから
[00:16:30.290] [音楽]
[00:16:37.639] ねこれレベル上げてたってちょっと草村が
[00:16:40.800] 小さすぎてこれじゃよ多分ねが出てこねえ
[00:16:43.600] よ
[00:16:52.170] [音楽]
[00:16:59.279] えこれポケモンなんだよいやなんか変な変
[00:17:02.680] なとこだなここなんかくむなんか
[00:17:04.799] ちっちゃいくむしかないねわレベル
[00:17:08.319] 高か
[00:17:12.199] 56これ下し落ちるねこっちね野生で56
[00:17:16.439] なんか出くるのかよまではける
[00:17:19.480] はずもう絶対そこまでそんなやらないよ俺
[00:17:22.480] そんなにもっともっとどうにか早く
[00:17:25.520] 終わらすいやレベルけえよ
[00:17:30.880] あら間違えちゃいましたまいいや戦っ
[00:17:37.960] てこうもう今日レベル上げしてもう終わり
[00:17:42.200] にしたい次で次で終わりにしたいんだけど
[00:17:45.480] う
[00:17:47.760] つええ全然めちゃめちゃ強いじゃん
[00:17:51.860] [音楽]
[00:18:00.480] やあ頑丈出た
[00:18:05.480] [音楽]
[00:18:12.320] ガゼ
[00:18:14.840] オいいんだよ俺こんなのはどうで
[00:18:18.280] もうおおマジ
[00:18:21.320] で出す
[00:18:24.320] のめちゃめちゃ好きお前マジか
[00:18:27.960] めちゃめちゃいいモ持ってん
[00:18:30.000] な俺が使いたいぐらいだよこれめっちゃ
[00:18:34.200] かっけボス5だらめっちゃかっけなやっぱ
[00:18:36.480] な
[00:18:38.250] [拍手]
[00:18:42.600] ルルル今回ボスゴドラ使ってない俺も使い
[00:18:46.679] たいわこんばんはボスゴドラはたこ
[00:18:49.760] こんばんはボスゴドラ知ってる
[00:18:51.200] めちゃめちゃかっこいいよねあ何これ
[00:18:53.440] わかんない
[00:18:55.640] なあらなんかこれトレーナーで戦って
[00:18:59.720] レベル上げるしかないのか
[00:19:03.120] ここ多分ねがりできなそうだなこの辺う
[00:19:08.760] エリートトレめっちゃ好きやが強いんよ
[00:19:11.919] ボスゴドラ
[00:19:13.390] [音楽]
[00:19:15.440] うボスゴドラはいいよやっぱロマンあるよ
[00:19:19.080] なでかやっぱでかくてなんか太ってて
[00:19:21.120] でかいポケモンていいんだやっぱりマンも
[00:19:23.480] そうだ
[00:19:24.919] けどまあペドラ
[00:19:29.679] まかっこいいっちかっこいいけどなでも
[00:19:31.960] やっぱこういうなんかでかいポケモンには
[00:19:33.400] 叶わねえ
[00:19:34.760] よ俺みたいなポケモンやっぱトドゼルガと
[00:19:38.120] かボスゴドラとか俺そういうポケモンが
[00:19:40.120] 好きスマートじゃない方が俺はいい何
[00:19:43.080] こいつ何回攻撃すんだ
[00:19:45.000] よ何回攻撃すんだよこいつホエルもいいね
[00:19:49.000] ホエルも吠えるも
[00:19:53.560] [音楽]
[00:19:56.039] いいうわウンディやってあ
[00:20:00.039] さ使ってきそうポケモンの配信ここまで
[00:20:04.039] じっくり見たのちゃまく配信ありがとう
[00:20:07.080] ありがとうエス勝ってるあらまずいか
[00:20:11.559] 耐える耐えるやろよしよしよし危ない
[00:20:13.360] 危ない危ない危ない危
[00:20:14.880] 危ないウィンディとかもいいっすね
[00:20:16.919] ウィンディも好きだねウインディでだこれ
[00:20:20.320] はちょっと怖いわもう絶対負けそうこれ
[00:20:22.200] 地球ちゃったら死ぬからしょうがないこれ
[00:20:24.520] は入れ替えるていうか敵強えよ
[00:20:29.600] 全然殺しにかかってくるそうだ
[00:20:33.840] ねいやまこれは死ぬってま死んでもいいん
[00:20:38.760] だけどさ別にじゃないんだまあな1人の体
[00:20:43.600] じゃないよ
[00:20:45.760] [音楽]
[00:20:49.480] な
[00:20:52.039] 危ないちょっと無理はさせられない
[00:20:57.600] な1人の体しないんだよなんて言わない
[00:21:00.280] でしょこれ以上ポケモン見たくないから
[00:21:04.000] 頑もうなんかひしひしと感じるよその俺の
[00:21:08.480] リスナーからそのそのそれをもういつまで
[00:21:12.320] ポケモンやってんだよってないいだろが
[00:21:14.720] うるせえうるせえやるん
[00:21:16.720] だ
[00:21:19.120] あ草揺れた
[00:21:21.150] [音楽]
[00:21:23.559] 今まだ言ってないよ言ってないけどじんの
[00:21:28.919] れ感じる
[00:21:31.680] [音楽]
[00:21:38.200] のこんばんは揺れてる音したよな飽きた
[00:21:43.919] うるせえ
[00:21:45.480] うるせえそうそうそうそうじゃないそう
[00:21:47.919] じゃないクリアまでやんなきゃいけないの
[00:21:50.679] クリアまでやる
[00:21:52.240] のもうすぐクリアだから頑張れ俺も頑張る
[00:21:56.080] から
[00:21:57.380] [音楽]
[00:21:58.640] やしかないここでこうやってやるしかねえ
[00:22:00.400] の
[00:22:02.720] かここで揺れるのか
[00:22:07.480] 草村ここでやんのこうやってこうやって
[00:22:11.320] やるしかないか
[00:22:12.400] [音楽]
[00:22:14.840] もうわちょっとこれしんどい気がする
[00:22:18.919] ぞえ揺れたよね揺れてないの友達にクリア
[00:22:23.120] た
[00:22:25.559] 消しなんか
[00:22:28.640] して
[00:22:32.000] ないしてない
[00:22:37.720] か待ってここってまず多分で出るの
[00:22:42.520] そもそもそもそもれる音なんてあったんだ
[00:22:45.720] なんカサカサカサみたい
[00:22:49.040] [音楽]
[00:22:51.480] な出るよねやめた方がよくねここじゃない
[00:22:55.240] 方がいいでも泣くね他にだって
[00:23:05.720] も上て
[00:23:07.010] [音楽]
[00:23:11.200] みるもっとでかいくむがねえとさここも
[00:23:15.600] ここじゃしんどい
[00:23:20.200] なちょっとここら辺ちょっと草村ちっちゃ
[00:23:24.039] すぎるね
[00:23:26.470] [音楽]
[00:23:31.159] ちょいと格闘は部が悪い
[00:23:36.760] な格闘はちょっと部が悪いですね氷タイプ
[00:23:40.400] は格闘抜群で入っちゃうん
[00:23:42.520] でちょっとえーガブで行く
[00:23:50.240] かいやあでやっぱリザードン連れてこない
[00:23:53.200] と不安あるよ不安感あるなやっぱ
[00:23:55.520] な可愛いこの子可愛いかこれ
[00:23:59.240] めちゃめちゃ気持ち悪くない
[00:24:02.039] かあの血管えぐいだろ
[00:24:07.000] これどんだけピンク位置流れてんだこいつ
[00:24:11.200] 鼻
[00:24:12.279] 赤い確かにいい着眼点だな鼻は見てなかっ
[00:24:16.960] た
[00:24:21.679] わよしよしよし
[00:24:28.190] [音楽]
[00:24:31.480] これてチムさ自動あのうわズルズキン
[00:24:35.399] か悪タイプでしょいやいいか
[00:24:41.410] [音楽]
[00:24:50.279] このこあいつあれなんだな今育ててるけど
[00:24:54.640] あいつ10万ボ
[00:24:56.520] をで覚えれないねそれがきつい
[00:25:00.480] わあ今の急所じゃねえのかよ急所じゃない
[00:25:05.159] のそんな減るのもう1発食らったら死ぬや
[00:25:07.440] ん
[00:25:09.000] 危ねえ危ない危ない危ないこれで終わり
[00:25:11.399] でしょこれで終わり
[00:25:15.360] でしょ危ない危ない危ないいや強いやっぱ
[00:25:18.600] リザードン連れてこないと怖いな
[00:25:28.450] [音楽]
[00:25:31.320] 毎回毎回こんな薬使ってらんない
[00:25:36.320] ぜああレベル上げしにくいな
[00:25:39.610] [音楽]
[00:25:52.360] ここなんか微妙
[00:25:55.679] なれあもちゃんあ来た
[00:25:59.110] [音楽]
[00:26:00.640] もこちゃんお疲れもこお疲れ今日も京都で
[00:26:04.120] 地獄あれなんでなんで今揺れてた
[00:26:08.080] べこれレベルだけきついぞここ
[00:26:12.520] じゃいろんなアイテム落ちてるけど
[00:26:16.840] ね笑笑今揺れてたよな完全にな
[00:26:24.600] [音楽]
[00:26:28.399] なんか服あいいこういうとここういうとこ
[00:26:31.120] さよこういうとこよえポケモンなの
[00:26:37.840] それただここちょっと時間かかり
[00:26:41.200] そうレベルつよもうこいつ捕まえた方が
[00:26:45.120] 早いん
[00:26:46.919] ちゃうこいつ捕まえた方が早いまだある
[00:26:51.320] ぞいやもう育成しないで
[00:26:54.559] こいつ捕まえた方が早く
[00:27:00.930] [音楽]
[00:27:06.440] えこれどうやってさやんのあこういうこと
[00:27:08.600] かえなんかめちゃめちゃここのパズルむ
[00:27:10.440] ずく
[00:27:12.210] [音楽]
[00:27:18.840] ないこう
[00:27:21.320] で
[00:27:24.720] ああれ
[00:27:28.200] [音楽]
[00:27:32.039] あれあれやべえ積んだあれ戻れないじゃん
[00:27:34.840] これあれ
[00:27:37.360] あれれ
[00:27:38.960] あれえあこういう
[00:27:43.290] [音楽]
[00:27:44.799] ことんなんかこれ超むずくないこれ石を
[00:27:49.120] この穴に入れたいんだ
[00:27:52.720] けどあれここからこっち戻れなくなっ
[00:27:55.200] ちゃったじゃん
[00:27:58.750] [音楽]
[00:28:00.440] え絶対こうじゃない気がす何これだらザス
[00:28:03.679] 行って修復データしない
[00:28:06.399] と助けてくれよこれどうすんのこれま
[00:28:10.440] 帰れるけどこれでも正解が分からなく
[00:28:15.360] ないあまたこっちあ違うなあ来
[00:28:21.240] たただ
[00:28:23.200] こんなこんなこんなええしかも違うし誰だ
[00:28:27.080] よ
[00:28:29.120] この調子でやんのこれこんなにこんな
[00:28:32.640] ちっちゃい草村でやんなきゃいけないの
[00:28:35.279] これまずいな全然レベル上げらんなそう
[00:28:40.559] 今日ちょなんかないのなんかここレベル
[00:28:43.240] 上げいいですよポイントはここレベル上げ
[00:28:46.240] めちゃめちゃいいっすよみたいなとこない
[00:28:47.679] のか
[00:28:48.060] [音楽]
[00:28:55.519] よここを埋めればいいんかこうやって
[00:28:59.679] はい埋めまし
[00:29:02.159] たあれあっちから来るにはどうするのこれ
[00:29:06.200] あオオー分かった分かった分かっ
[00:29:08.880] たあの上の岩を穴に入れなきゃいけねえん
[00:29:15.040] [音楽]
[00:29:17.320] だ
[00:29:20.480] おいえでもそうしたところで
[00:29:24.840] ああ分かった
[00:29:29.440] こうだこう
[00:29:32.120] だこうでなんでこここんな難しいのな
[00:29:36.600] さぞかしいい宝があるんだろうなまさかな
[00:29:38.840] こんな俺にレベル上げの時間を消費して
[00:29:42.399] こんなことさせ
[00:29:45.399] てさぞいいものがあるんだろうなちゃまく
[00:29:49.640] こんばんはおばんちゃんこんばんはば
[00:29:52.320] ちゃんこんばんは今日もやってるんです
[00:29:54.279] けどこの
[00:29:55.640] ゲームあ押しちゃまずいよ押しちゃったら
[00:29:59.039] まずいよ
[00:30:02.279] ねあれこれ積ん
[00:30:05.840] でる押しちゃっ
[00:30:09.200] たあどうやってやんんだよこれまいいや
[00:30:13.679] もうなもういい
[00:30:17.080] やいやなかこの上なんかあんねんな絶対
[00:30:22.200] なこの上なんか絶対なんかでかいくむも
[00:30:26.480] ありそうじゃないこの上下の絵は先に押す
[00:30:29.200] んじゃないちょ1回場所をリセットするわ
[00:30:32.440] なんか1回あのエリア移動して全然エリア
[00:30:35.840] 移動ねえしなこれもうなんなんだよここ
[00:30:38.880] めんどくさいなあ上ほらでっかいくむある
[00:30:43.279] じゃんでかいくむ行かないとこれ無理だよ
[00:30:46.919] これちょっと待っ
[00:30:48.560] [音楽]
[00:30:50.080] て茶幸せ卵持ってるか持ってる持ってる
[00:30:53.600] 持ってるよ幸せ卵持ってる
[00:30:55.399] よあ
[00:30:58.480] リザードンが持ってるわだめだ幸せ卵取り
[00:31:03.120] 行こう幸せ卵っていうのは経験値が
[00:31:06.320] ちょっと多くもらえるアイテムですねそれ
[00:31:08.679] を持ってこない持ってきた方がいいね
[00:31:10.360] さすがにね何入れんだよ幸せなの幸せなの
[00:31:15.880] 幸せ卵ってのがあるんだ
[00:31:19.120] よ持ち物
[00:31:22.639] 持ち物ていうかあれだよな
[00:31:26.510] [音楽]
[00:31:29.000] リザードン連れてった方がいいと思うな
[00:31:32.440] レベル上げもそうなんだけどいざという時
[00:31:35.159] にこいつがいねえ
[00:31:36.639] といざという時にこいつがいないとやばい
[00:31:43.360] からこいつの持ち物ほら幸せ卵持ってん
