[00:00:00.120] はい
[00:31:58.399] てあ
[00:32:06.360] がしかもラテちゃんに当たってるしラテ
[00:32:09.200] ちゃんもラテちゃんもこの人めっちゃ
[00:32:11.639] ギフトするばらまく人だからあんまりだ
[00:32:15.519] よラテちゃんに当たっても
[00:32:19.519] なラテちゃんもこの人もううちの
[00:32:22.559] チャンネルで200個ぐらいあれ配ってる
[00:32:24.519] 人だからね個配ってる人だからでも
[00:32:28.159] ありがとうさん
[00:32:31.039] ありがとう巡り巡ってるねいいね世界だ
[00:32:35.240] ねい世界だね本当に
[00:32:38.030] [笑い]
[00:32:39.399] ね便乗して
[00:32:41.290] [音楽]
[00:32:45.000] やがる
[00:32:47.600] ありがとうさんがでサおいおいもういえて
[00:32:53.720] [音楽]
[00:32:58.320] 笑念なんありがとうありがとうございます
[00:33:03.399] 助かりますいや助かります
[00:33:09.039] ゲーム買い
[00:33:11.039] ますゲーム買い
[00:33:14.020] [音楽]
[00:33:21.840] ますすぎるね優しい世界
[00:33:26.740] [音楽]
[00:33:28.360] そろそろ劣化買えるんちゃう買えねえレカ
[00:33:32.559] 60万
[00:33:36.960] する
[00:33:40.600] ダンまもうそうかそれこのゲームが終わ
[00:33:43.760] るってのはみんなも寂しいってことだよ
[00:33:47.080] なお入っ
[00:33:49.840] てる
[00:33:53.440] あらってらっしゃい
[00:33:55.940] [音楽]
[00:34:09.359] オしを覗きに行きます配信ありますか行き
[00:34:14.240] ますけど
[00:34:15.420] [音楽]
