[00:00:08.960] うんどうもこんばん
[00:17:46.240] か黒髪の子供たちいいねめっちゃいいよ
[00:17:50.760] ねこれ息子たち何
[00:17:55.400] このおとんでもねえバケモン出てきた
[00:18:01.799] 来たえこれ仲間になるゴールデンゴーレム
[00:18:06.840] GGだ見づらいんだなGGこれ仲間になる
[00:18:11.640] めちゃ強えし待ってめちゃくちゃ強くねえ
[00:18:13.480] かならないあならないんだこいつはなら
[00:18:17.760] ないのちょ待ってめっちゃ強く
[00:18:21.400] ねしかもあんまり経験値130しかくん
[00:18:24.240] ない
[00:18:25.240] のこいつめっちゃ金落とす確かに
[00:18:28.159] 1000円落とした
[00:18:30.120] 今その代わりあれが少ねえってことかあの
[00:18:33.880] 経験値
[00:18:35.720] がやべえ薬草買ってきてねえ大丈夫かなお
[00:18:40.760] はちゃまはいみちゃんこんばんは遅くなっ
[00:18:42.720] てごめんよ遅くなってごめん
[00:18:45.520] よやり
[00:18:47.810] [音楽]
[00:18:49.919] ますなんかもう俺自信ついちゃって
[00:18:53.600] さもう本当にこのまま2台目でクリアある
[00:18:56.919] なってお死んでるよ人
[00:18:59.870] [音楽]
[00:19:02.360] がはい
[00:19:09.520] ナイスねこれゴールデンゴーレムきついん
[00:19:12.360] だけどこいつナイスいい
[00:19:15.440] ねいいね娘いい
[00:19:19.960] よほん
[00:19:21.960] でねここボスいるブラックドラゴン待って
[00:19:26.159] ゴールドあのグレートドラゴンもまだ1回
[00:19:29.159] も見てないのにもう上位互感出てきちゃっ
[00:19:31.750] [音楽]
[00:19:35.960] たやばいなこれこういう感じ
[00:19:39.700] [音楽]
[00:19:41.799] かまずいなこれ大丈夫
[00:19:46.919] か敵めちゃくちゃ強く
[00:19:50.919] ない
[00:19:53.040] [音楽]
[00:19:55.400] やばいなんやちょっとやばくない
[00:19:58.680] [音楽]
[00:20:03.919] うん分かっ
[00:20:05.850] [音楽]
[00:20:08.919] た
[00:20:10.890] [音楽]
[00:20:15.039] オちょっと敵強え
[00:20:18.650] [音楽]
[00:20:22.200] ないやMP足んないかな苦した記憶ある
[00:20:26.039] けど自分はレベル上げ嫌いだったので参考
[00:20:29.120] にならない記憶おお
[00:20:31.960] ああ2匹のとてもない魔物が竜の目をその
[00:20:35.799] 2匹はまだこの
[00:20:37.640] あこれいいところにいますねこんばんは
[00:20:41.120] これこれジャミゴンズじゃない
[00:20:43.960] のこれジャミゴンズじゃない
[00:20:47.520] のおさんこんばんはしなければクリア普通
[00:20:51.159] に行けそうな行けちゃいそうだよ
[00:20:53.320] ねこんなこと言うのもなんなんだけどなん
[00:20:55.880] かちょっと俺俺俺の俺のドラゴンクエスト
[00:21:00.080] プレこんな順調に行かないはずなんだけど
[00:21:02.919] ないつになく順調だぞマジ
[00:21:05.610] [音楽]
[00:21:09.880] でドラクエ5が割と
[00:21:14.200] なんか難度低めなの
[00:21:17.640] か
[00:21:20.279] 結こそれだよなそれのせいだよねマジで
[00:21:24.039] それのせいマジでそれのせいだと思う3本
[00:21:27.159] だもんだって
[00:21:34.000] 待ってこれそれ取るでしょ
[00:21:36.960] それメダ剣3本
[00:21:41.400] 笑メタルキングの剣3本持ちなん
[00:21:51.120] でナイス
[00:21:54.350] [音楽]
[00:21:58.960] よしよし
[00:22:01.559] よしよしよよしいやあいやもう今更お金も
[00:22:05.799] いらないんだけどね正直
[00:22:12.679] ねいい
[00:22:15.540] [音楽]
[00:22:22.880] なままったりここはここここを攻略して
[00:22:26.240] 終わろう今日ちょっと早めに終わるかね
[00:22:29.360] 今日今日は早めに終わっちゃいます明日
[00:22:32.320] 出張なので私あバギクロス来たわバギクロ
[00:22:35.960] スってでもあんま使う印象ねえ
[00:22:37.760] [音楽]
[00:22:41.000] な
[00:22:43.400] [音楽]
[00:22:47.480] あああなるほどねこれで生きができるよう
[00:22:50.760] になったとありがたいリレミト使えない
[00:22:53.120] からこれはありがたいね出荷出張だよ出荷
[00:22:57.360] じゃねえドナドナドナドナ歌ってなじゃ
[00:23:00.440] ドナドナドナ
[00:23:05.799] ドナドナせてうんな絶対誰か言うと思っ
[00:23:12.640] た明日また静岡に行くんや
[00:23:17.120] わ何回岡行く
[00:23:21.000] ねどんだけ何
[00:23:24.320] 回んちゃんちゃんて
[00:23:29.480] わベギラゴンやってくんのいやもうだって
[00:23:32.440] こないださ4日間ぐらい行ったばっかだぜ
[00:23:35.159] また行くんだ
[00:23:36.679] よ飽きたよ静岡ば別のとこ行きてえわ明日
[00:23:41.120] は新幹線乗ったら3時間寝れる
[00:23:44.840] から朝は遅刻しちゃうとマジやばいんで
[00:23:47.360] 今日はちょっと早めに
[00:23:48.700] [音楽]
[00:23:56.360] 終わるなんかこれ
[00:23:59.200] こめちゃん
[00:24:00.880] こんばんは寒くなってきた気をつけてな
[00:24:04.679] うんてかマジ
[00:24:07.320] [音楽]
[00:24:12.600] で順調ですか
[00:24:17.400] はい新幹線で寝過ごしそうインパス
[00:24:21.360] インパスインパスインパスインパス
[00:24:25.399] インパスインパスインパスインパスホの罠
[00:24:29.320] あ順調じゃないポーズだったインパス
[00:24:32.680] [音楽]
[00:24:38.230] [笑い]
[00:24:40.640] 笑
[00:24:42.320] くそ完全にもう惚れてた
[00:24:46.039] わうわ完全にやった
[00:24:51.399] これいやまザキ食らう前にザキ食らう前に
[00:24:55.440] ぶっ倒せばいいんだろ
[00:24:59.240] ぶっ倒してやる
[00:25:00.600] [音楽]
[00:25:02.840] よくよかった危ねえ魔法トラでよかった
[00:25:07.159] オファこんばんは違うんだこいつザラきっ
[00:25:10.440] ていうあねザラきっていう即死魔法食らっ
[00:25:15.039] たら全員問答無用で死ぬやつそう全員問答
[00:25:19.159] 無用で死ぬかもしれないの売ってくんのね
[00:25:21.279] それ全員食らっちゃったらリセットだから
[00:25:23.279] ねとんでもねえモンスターなんだよこの
[00:25:25.120] 縛りにおいてか
[00:25:28.520] したよそうだよよかった今アホ
[00:25:32.919] で無法者じゃんそうだよ無法だよアーサー
[00:25:38.520] が食らったら危ないペリッゆける今ない
[00:25:43.399] からきそう今馬車ねえからザ来たらマジで
[00:25:46.200] やばいリミと禁止
[00:25:49.000] でしょ終わりなんだよ
[00:25:58.440] も完全にあの前回さなんだっけあれ
[00:26:03.399] あのあのモンスターなんて言うんだっけ
[00:26:06.039] ブオンブオン倒して調子に乗っちゃってる
[00:26:08.720] 完全
[00:26:14.060] [音楽]
[00:26:17.320] にブオン強いもんなけたんですねお
[00:26:21.799] めでとうございますンをね結構余裕に倒し
[00:26:24.240] たからなんかもうぼれちゃってるわ俺に
[00:26:27.399] 負ける負けるわけねえよこのままクリア
[00:26:29.799] まで行ってやるぜぐらいの価格になっ
[00:26:32.480] ちゃっ
[00:26:33.679] てるだめいつでも負けるって覚悟しとか
[00:26:36.440] ないとマジで
[00:26:38.039] 死ぬだからさっきも調子こいて宝箱開け
[00:26:44.039] て結構てかアーサー強くないアーサー硬く
[00:26:49.320] ない何こいつ化け物じゃねえか
[00:26:53.960] よアーサーが強すぎるんだけど
[00:26:59.520] あれ戻ってきちゃっ
[00:27:02.919] た名前もかけピエルからアーサーになり
[00:27:07.200] ました2代目スライムナイトがの勇者だぞ
[00:27:10.039] めちゃくちゃ強いよねやばい1回帰る1回
[00:27:12.720] 帰って俺薬草買ってきていい
[00:27:17.240] か今は何してるところなの今この
[00:27:20.520] ダンジョンを攻略してるとこだ
[00:27:22.540] [音楽]
[00:27:27.159] よだけどここ敵めちゃくちゃ強えなちょ朝
[00:27:31.919] 見てよバキクロス16しか食らわねえんだ
[00:27:35.679] よMPたんねえな
[00:27:39.660] [音楽]
[00:27:41.320] これMPが全然たん
[00:27:45.159] ねえさすがにこれきついな1回帰ろっか
[00:27:50.360] なこんばんはおとこんばんはちゃんとそう
[00:27:55.320] いうそういう
[00:28:02.120] 何これちょっと待っ
[00:28:05.320] てえ
[00:28:09.519] 何あれああびっくりしたびっくりした
[00:28:12.640] びっくりしたびっくりしたびっくりした鳥
[00:28:15.480] こんばんはいやよしじゃねえよ危ねえ焦っ
[00:28:19.640] たこいやなんか最近さあれなんだよ最近
[00:28:24.880] マジでさ調子悪い
[00:28:28.240] こんばんはぶっ壊れたかと思ったドスも
[00:28:31.240] フリーズするのかってドキッとしたいや
[00:28:33.480] DSをフリーズするけど
[00:28:35.159] ね今日も相も変わらずやりますからああ
[00:28:40.240] 仲間なるやんあれ仲間なるやんダンス
[00:28:45.559] がめ
[00:28:48.000] アンクルこれ連れてくのありだよね
[00:28:51.399] おこれごキラーパンサーいらなく
[00:28:55.440] ないこんなこと言いたくねえんだけどさ
[00:28:58.320] キラーパンサーお前おごめんだよごめん
[00:29:03.600] なこれ1回帰ろっかなゲレゲレ
[00:29:07.440] [音楽]
[00:29:09.679] まだ長いよねここ
[00:29:12.240] ねすいません俺1回帰りますわ1回帰って
[00:29:17.640] 薬草積んでくるお花つびしてくる
[00:29:23.880] ねMPが全然足んない友達ごっこじゃねだ
[00:29:31.279] 昔の女との思い出はもういいんだ
[00:29:35.720] わこれMP足んねえよな正直
[00:29:40.020] [音楽]
[00:29:42.679] な1回
[00:29:46.880] 帰ろうやばいピエルといを花といいこの
[00:29:50.880] チャンネル大丈夫か何が何が何がだ
[00:29:55.180] [音楽]
[00:30:01.279] よし全然用ししてなかっ
[00:30:08.000] たあれ今日何日って言ったっけ今日
[00:30:12.679] 23魔法カタ来た
[00:30:15.200] [音楽]
[00:30:17.200] ね1回帰ろう
[00:30:20.039] ぜ今日マリカありますか今日
[00:30:24.720] ない今日ねえありますないです
[00:30:28.640] わあやべえのいるじゃねえかこれ見
[00:30:31.519] てそ
[00:30:34.080] か逆にあ
[00:30:36.760] ナイス逆に
[00:30:39.519] 強あごめんちょっとなめてたなめてた
[00:30:42.279] ごめんちょっと斜めなめてたわなんか
[00:30:43.960] ちょっと俺何やってんだろ俺なんか気抜け
[00:30:46.240] てんね何やってんのしっかりして
[00:30:50.390] [音楽]
[00:30:59.080] もうやめや
[00:31:02.440] それもうMPねえややばいちょっとよく
[00:31:05.200] 考えたらやばいかも
[00:31:07.399] これあれちょっとよくよく考えたらこれ
[00:31:09.799] やばくない
[00:31:10.960] かよくよく考えたらこれやばくない回復も
[00:31:13.639] ねえしあれなんか俺なんか俺なんかやっ
[00:31:17.200] ちゃいましため
[00:31:20.160] [音楽]
[00:31:32.880] なおおてか結構やばいんです
[00:31:37.720] けど結構
[00:31:39.750] [音楽]
[00:31:43.919] なんか
[00:31:46.440] ぶねそうだここ馬車もないもん
[00:31:49.620] [音楽]
[00:31:53.120] ね危ねえよしよしよし
[00:31:58.519] よし1回
[00:31:59.370] [音楽]
[00:32:05.039] 帰ろちょっとね
[00:32:08.919] えっとエルヘブンだっけなんか色々強いの
[00:32:11.480] 売ってんのここだっけここで武器も
[00:32:15.519] ちょっと買うわ金ある
[00:32:22.360] し楽しめてますかんだよそれ
[00:32:29.760] 楽しめてますけど
[00:32:32.720] 何か何より
