[00:00:05.759] ういお
[00:03:24.239] かこんお入りというかあ主さんこんばんは
[00:03:27.840] またこのゲームを始めさせてもらいますえ
[00:03:30.840] またバグならんといいねそうなんだよね
[00:03:32.959] そこはもうあの対策は色々してみてあしく
[00:03:37.000] さんこんばんはあのまちょっと実際やって
[00:03:39.760] みてどうなるかわかんないけどもしなった
[00:03:41.239] としてもセーブせずセーブとかもうあのね
[00:03:43.720] 正直あれはやもうどうしようもなくなっ
[00:03:46.599] ちゃったのよもう抜け出すこともできなく
[00:03:48.120] なっちゃったんでちょっともうその場面に
[00:03:49.840] なったらもうあのセーブデータ分けたりと
[00:03:52.439] かまいろんな方法でちょっとそれを回避し
[00:03:54.360] てまそのバグが起こらないようなあの対応
[00:03:57.920] も一応してはいるのであのまシステムま
[00:04:00.560] ちょっと難しい話とシステムカード変えて
[00:04:02.280] みたりとかえいろんなちょっとそういうの
[00:04:04.439] をやってるのでまあのバグ自体が100%
[00:04:07.480] 起りえるものではないと思うからもしかし
[00:04:09.239] てもしかしたら初めからやったら怒らない
[00:04:11.439] かもしれないその時点が分からないのでま
[00:04:13.720] ちょっと実際やってみようかなとその時点
[00:04:15.480] にやったらもちろんもうちゃんとえてます
[00:04:18.280] のでまだちゃんとクリアまで今回行ける
[00:04:20.400] ようにねまだかなり長くなると思います
[00:04:22.240] この配信かなりねこのゲーム長いんでで
[00:04:24.759] 今日は地獄のレベル上げですはい1mmも
[00:04:26.520] ストーリー進める気はございませんあの
[00:04:29.199] 今日はもう地獄のあのレベル上げなので皆
[00:04:32.600] さん覚悟してくださいはいあのま皆さんの
[00:04:34.840] 大好きなあの戦闘局がえ今日4時間ほど
[00:04:38.039] ずっと聞きっぱなしになると思いますやっ
[00:04:39.800] たなお前らあの曲聞けるぞもう1
[00:04:42.919] 回まそんな感じでございます
[00:04:45.720] ねェはいチソお疲れチソもお疲れちゃん
[00:04:48.800] 今日からやりますよラストハマドねチス
[00:04:51.000] やば前のやつはね見てなかったと思うんだ
[00:04:53.320] けどねちょっとこのゲームどうしても
[00:04:54.520] やっぱクリアまでやりたいのでちょっとお
[00:04:56.479] 付き合いしてくれればなとえい
[00:05:00.120] とはいはいはいはいはいはいそんな感じ
[00:05:01.840] ですよろしくお願いしますチマゲームです
[00:05:05.360] 今日はチャマゲームです楽しみぜひだ
[00:05:08.120] ゲーム的にやっぱ古いゲームだしでもね
[00:05:10.840] やっぱりねみんなあん時最初は前回もそう
[00:05:13.960] だった何このゲームどんなんなんだこの
[00:05:16.320] ゲームみたいな感じでみんな会議的に見
[00:05:18.600] 始めたななんかもう最後の方はもうみて
[00:05:21.680] 歌うの好きだわみんな最後の方はあれだよ
[00:05:24.960] なみんな好きになってえこれバグででき
[00:05:27.560] なくなっちゃったらおみたいな感じで
[00:05:29.800] かなり惜しまれたのでね皆さんちょっと
[00:05:31.840] 待望のというか始めましょう
[00:05:34.319] かはいどうもチマゲームどうもこんばんは
[00:05:37.160] 皆さんいかがお過ごしちょっとカメラのが
[00:05:40.120] いかがあん顔がけてきたよしどうも
[00:05:45.520] リベンジゲムでございますあ前回ゲが買っ
[00:05:49.400] てくれてるからガチャ引けるあれ前回ん
[00:05:51.520] だっけ何のしたんだっけ何のだっけ前回
[00:05:53.680] ってクリアクリアしたのよそうそうあの
[00:05:58.039] グラジェあれ面白かったすねで今日から
[00:06:01.199] やるゲーム
[00:06:02.400] はこちらでございます
[00:06:05.160] シラストハルマゲドン
[00:06:09.759] ダストラストはり春マゲドンこちらの
[00:06:13.840] ゲーム今日もメルちゃんこんばんはやって
[00:06:16.039] いきたいと思いますこれはねラスハゲラス
[00:06:18.960] ハゲそうですラストハルマゲドンちょっと
[00:06:21.479] もう見てくださいみハが帰ってきたよし
[00:06:24.160] もう1回最初からだけどなラストもう1回
[00:06:26.440] 最初からだけどな最初からだけどやろうぜ
[00:06:28.639] 最初からだけどなちょっと長くなると思い
[00:06:30.759] ます今日はえ今日というかこれから
[00:06:33.280] ちょっとこのゲームがだから是非ね最初
[00:06:35.280] から見て欲しいのとまあまあまストーリー
[00:06:37.880] も面白いんでねうんちょっとややろうかな
[00:06:40.400] と思いますそんな感じでよろしくお願いし
[00:06:42.120] ます始める
[00:06:46.280] ぜPCエンジンCDロブロシステムこいつ
[00:06:50.120] ですよBGMだけ聞いてたらいいねいや
[00:06:52.639] もうそれだけで十分ですからさあ行き
[00:06:54.479] ましょうプッシュボタン行き
[00:06:57.479] ますねー
[00:07:00.160] ダレしましたこれは前回のバグを踏まえて
[00:07:02.960] ね盛り上がる前にあぜ引いちゃって
[00:07:05.199] ください引いちゃってくいいよありがとう
[00:07:06.520] まいつ引いてもいいんよ別に気にしない
[00:07:08.280] 大丈夫
[00:07:08.840] [音楽]
[00:07:27.199] ガラね
[00:07:31.560] がたの初めて見
[00:07:33.090] [音楽]
[00:07:35.000] たこんな感じで
[00:07:37.720] ラス
[00:07:38.870] [音楽]
[00:07:40.199] ましょうままいつかけると思って
[00:07:43.810] [音楽]
[00:07:45.919] さ久しぶりに見ようぜオープニング
[00:07:50.319] オープニングオープニング15分あるんで
[00:07:52.680] 皆さんまずは皆さんジュースでも用し
[00:07:55.759] てとなってはもうでも
[00:08:00.800] このは完に結構黒いよ
[00:08:03.919] ねできくもはその姿を土に変え第の一部と
[00:08:10.240] なりけ
[00:08:12.199] ていただ後輩した標が限りなく続くこの
[00:08:16.759] 景色を9にもに止める
[00:08:21.100] [音楽]
[00:08:22.919] はグロテスクの歴史がを閉じたのである見
[00:08:28.720] てわかるもしかした手な人いたらすません
[00:08:31.240] 星はその力の偉さをする結構やばそう
[00:08:37.120] にはいはいお疲れちゃんお疲れちゃれ今日
[00:08:41.200] [音楽]
[00:08:47.040] やしいがて
[00:08:50.600] た魔族ので
[00:08:54.519] あるは新世界のに異のを呼びた
[00:09:00.720] この地で生きていける者たちこのゲームは
[00:09:04.839] 我々魔族以外
[00:09:07.000] はてんよう
[00:09:11.079] なの
[00:09:19.200] 報告です
[00:09:29.640] 星は魔族の存在を認めなかったのこの
[00:09:32.120] ゲームどういうストーリーかいうと
[00:09:33.360] ちょっと解説すると
[00:09:36.200] 宇宙人をった新異
[00:09:40.240] のいたこと
[00:09:42.880] だろ異のもはより降りてき
[00:09:45.870] [音楽]
[00:09:47.160] たがより魔族を呼び覚ましたのと
[00:09:51.279] 同がこの
[00:10:01.910] [音楽]
[00:10:03.880] 報告つの目玉がち
[00:10:07.519] たその目を足に挟み込み変へと飛び立つが
[00:10:12.959] で持ってくで持ってけばよく
[00:10:16.399] これあるなんでそこなんでんでここな手で
[00:10:21.279] いい
[00:10:21.959] じゃ歴史
[00:10:30.240] かっこいいんだこれのスタッでしたけあで
[00:10:34.000] も
[00:10:34.980] [音楽]
[00:10:41.720] ねた来た来た
[00:10:45.710] [音楽]
[00:10:52.519] ラストいい
[00:10:54.390] [音楽]
[00:10:57.040] めく終
[00:11:00.320] オープニングが10分以上あるんで皆さん
[00:11:03.040] ちょっとままだちょっと大丈夫
[00:11:05.360] ですBGMいいんだよ
[00:11:07.839] な
[00:11:09.800] 笑笑の様子はどうのサントラが欲しこれ
[00:11:13.959] レコードが出んだよ6月にのを集める
[00:11:17.320] の鬼の目が怪しく光るほのがこのゲームの
[00:11:23.959] ストーリーちょっとちょっとだけ説明させ
[00:11:25.800] てこれRPGなんドラエみたい
[00:11:32.760] 宇宙
[00:11:35.920] 奪
[00:11:37.600] 自分族
[00:11:43.399] なれる
[00:11:45.959] なにまだがようとは思わなかっ
[00:11:50.780] [音楽]
[00:11:56.079] たでは一んだというの
[00:12:00.240] 我々は人類が地標の王となるはか以前より
[00:12:04.720] 地中に君臨していたのよちょっと
[00:12:07.680] オープニング見てなその時突然ガーゴイル
[00:12:10.079] が苦しみ始め
[00:12:11.839] た羽の生し黒使い一声を吠えると
[00:12:16.959] ビクンビクンと小刻みに震え始め
[00:12:20.959] た体が
[00:12:24.959] がウルトラの母やウルトラ母
[00:12:29.360] 現れた薄紫色の感が頭部に突き刺さると
[00:12:32.839] おば彼は気の抜け
[00:12:35.160] たゆっくりと
[00:12:38.480] 話このの生をりちねお前らに
[00:12:44.560] 伝える我形弁はこの推を
[00:12:51.360] 131番目の植民生と決定し国民を開始し
[00:12:57.720] た声
[00:12:59.880] うなら宇宙人が喋ってんだな今なうならば
[00:13:03.680] 殺す
[00:13:04.839] まで間は与えるシステムカードそう1.0
[00:13:09.920] でやってます答えるの
[00:13:13.120] だ何を抜かす
[00:13:16.880] か魔族の1人が割りその鋭い爪を大きく
[00:13:21.279] 振り上げたお落ちなっちゃ足の指でつむ
[00:13:25.199] から取りつかれるのだよ穴かな
[00:13:31.519] ちょっとだけグロいですねちょっとだけ
[00:13:33.639] 避けるな
[00:13:35.760] 者だ
[00:13:37.440] とた真似するんじゃねえ何かドラゴン
[00:13:41.399] ニュートはおびをあげた戦いだこの星をま
[00:13:47.040] の楽園とせがめあくまで戦うの
[00:13:51.160] だまあ
[00:13:53.279] 待て我々の地標での行動には制限がある
[00:13:59.440] ちゃったなんだこの振動
[00:14:03.600] はドラゴニュートじゃなくてドラゴ
[00:14:07.160] スクリーンにしだ
[00:14:10.759] ガードおっぱいなんだあの光はあの光を
[00:14:16.320] アップしろならま前回
[00:14:19.519] みたい防ぐことができると何か文字が書い
[00:14:22.720] てあるぞえっと星の軸を戻し足の地に変え
[00:14:28.399] たるものおっぱい
[00:14:39.600] 標で何か別の意志が働いているようだ進化
[00:14:44.680] する
[00:14:48.000] 族名ずつ代表をすのとにかく地標で何がき
[00:14:53.440] てるのらなら
[00:14:59.199] ですからな金種族の助けが必要
[00:15:03.440] だまあ昼と夜は何とかなるしかしサルバの
[00:15:10.800] はどうするんだ一瞬にして押し潰されて
[00:15:14.560] しまうシャーマン
[00:15:17.480] の幸い我々は地標ではサルバの日しか行動
[00:15:22.320] できないしねそれももう大丈夫だ分かって
[00:15:25.759] 異との戦いにえて
[00:15:29.959] サルバの破なそうなんだなこれシフト性な
[00:15:34.480] んすよ
[00:15:39.280] [音楽]
[00:15:41.319] ねそうそうペーパーレスがまだないんだよ
[00:15:45.319] のめるにさんこんばんはお疲れちゃんいい
[00:15:50.120] でしょお疲れ
[00:15:56.040] ありがとう12時間12時間務早速出発
[00:16:02.120] さそして何れ
[00:16:04.680] たがめ俺がデイ
[00:16:07.399] し我々に任せておいいね査なでも隊ならし
[00:16:13.240] て
[00:16:18.160] くれるデンすくない褒めれがもなく過酷な
[00:16:22.199] である
[00:16:24.279] ことできなか
[00:16:29.720] 大島先生お疲れ様です突然のム失礼いたし
[00:16:33.800] ました大島さん
[00:16:36.530] [音楽]
[00:16:44.120] のりいいえ今後ともよろしくですちゃま
[00:16:48.519] ちゃんればできるさん
[00:16:54.399] けうならのもえ
[00:16:57.839] た多くて下人間の体なんださあ始まります
[00:17:02.040] え最初から始め以の時モンスターズ
[00:17:04.039] ちょっとまず皆さんじゃ1個あのこの
[00:17:06.559] ゲームを始める前に知っておいて欲しい
[00:17:09.199] ことがありますこのゲームすごくBGM
[00:17:11.079] いいんすよめちゃくちゃBGMいいんす
[00:17:13.520] けどこの世で1番かっこいいBGM聞かせ
[00:17:15.360] てあげるこのモンスター図鑑を見てる時
[00:17:17.079] だけのBGM聞いてください
[00:17:19.930] [音楽]
[00:17:40.080] なんでこんな
[00:17:42.120] かなんでこんなかっこいいのこれBボス戦
[00:17:45.559] とか
[00:17:46.320] のボス戦とかのBGMじゃない
[00:17:51.919] のめちゃくちゃかっこいいんですよ
[00:17:55.240] この音
[00:17:57.080] でか音でかいよねごめん音うるさい
[00:18:02.640] まあるよこれギターレンジ
[00:18:07.200] YouTube誰
[00:18:09.360] がめっちゃい
[00:18:11.799] でしょや以前からはもうあのはまっちゃう
[00:18:14.480] からでき
[00:18:17.000] ないいやかっこいいっすすいませんこの
[00:18:19.679] ゲーム
[00:18:24.520] あのコーラ飲んでくださいね
[00:18:29.000] 確始ましょさあいきなり始めましたこれが
[00:18:31.240] あ懐かしいです
[00:18:34.240] ね懐かしいなこれがこのこのゲームのあの
[00:18:39.799] なんつうの見た目という
[00:18:42.480] か
[00:18:44.840] 夏
[00:18:53.679] テレテレこれなドイ割をみたい
[00:18:58.840] てててオこれがどういうゲームかというと
[00:19:02.799] もうもうこれこれですえ何こんなゲーム
[00:19:05.880] なんと思ったでしょ獲物がいたぜ来る
[00:19:08.960] ぞあれ今だいたこと
[00:19:12.919] か来たぜこの曲これが聞きたかった俺
[00:19:17.300] [音楽]
[00:19:21.840] はききありききありマジ最なんで
[00:19:29.559] のゲとさんの微妙にラグある
[00:19:35.570] [音楽]
[00:19:50.080] に始まりました
[00:19:52.400] ねえ今日はねスーリーを進めようかなっ
[00:19:57.120] てるんけど今日は地獄のあのレベル上げ
[00:20:00.679] です合せて歌にれてるか本当なんだろう
[00:20:05.280] わかんねえなまままあま別にそんなそんな
[00:20:09.880] 大丈夫ですこれくいなら全然いいよオオ
[00:20:15.600] これこんなも見ました上げも大事だって
[00:20:19.440] これね違うレベル上げ超めど
[00:20:23.559] いすレベルこれねちょっと特殊
[00:20:27.240] であのね
[00:20:30.400] 通常通常戦闘局良すぎないね通常戦闘局良
[00:20:36.120] すぎないあさんこんばんは
[00:20:38.400] あとねこれあのなんつのあのねなんかね
[00:20:45.480] 普通にポケモンとかドラクエみたいに戦っ
[00:20:47.520] てレベル上げるんじゃなまそうなんだけど
[00:20:50.400] 熟レンドシステムって言ってFF2とかと
[00:20:52.520] 一ね攻撃すると攻撃力上がる防御すると
[00:20:55.640] 防御が上がる魔法でかい魔使うと魔法が上
[00:20:59.520] るっていうじゃなかったかなかっ続かない
[00:21:02.480] そうそうだねあの魔法を攻撃すると魔法が
[00:21:05.320] 上がるみたいなそういう風な感じなのよだ
[00:21:08.000] から結構ねレベル上げもねただ殴ってる
[00:21:10.679] だけだとあとあと魔法が足りなくなっちゃ
[00:21:12.760] できなくなっちゃってに教えた
[00:21:15.120] 戦闘そうなんだた超高速戦闘設定あるんだ
[00:21:18.840] けどそれやるとね見た目があんまおもろく
[00:21:20.840] なくなるからねどうかなっていうま
[00:21:23.400] ゆっくりやってきましょうよが男ワワ
[00:21:26.200] 男の子ワクワクシステムなんですよね接
[00:21:29.840] 攻撃接攻撃は普通に殴りですよ
[00:21:34.200] ランスそうなんだよだからただAボタン
[00:21:36.679] 連打していいてわけじゃないん
[00:21:39.160] [音楽]
[00:21:43.279] だそうそうそう魔法が足りなかったんよ
[00:21:46.159] 前回だから魔法今回ちょっと前回
[00:21:50.840] はモンスターそうだうんそうモンスターズ
[00:21:53.320] だ最初モンスターズの配合の話
[00:21:57.000] だいした
[00:21:59.760] あのですねあのですね見てくださいえこれ
[00:22:02.240] 魔法なんすよ魔法ダチピドわからん全然
[00:22:06.640] わかんないこれじゃ何の説明もないんです
[00:22:09.600] よダチって何ピドって何ゲームで説明して
[00:22:13.080] くれませんなので何を見るかというとこれ
[00:22:15.400] 説明書必須です説明書でこれがどういう
[00:22:18.120] 効果なのかわからん
[00:22:21.000] 笑笑
[00:22:23.279] ダここにねあの魔法表があるんすよ魔法
[00:22:27.080] これを見てってどういう意味ダチダチはえ
[00:22:30.880] 敵に毒を与えますとえピド
[00:22:35.559] はちょっと待って
[00:22:38.320] ねピロなんと色は
[00:22:44.720] ピロ
[00:22:46.559] ピロなんと色はめなんだあ敵から逃げたい
[00:22:50.960] 時に使えます
[00:22:53.159] あ色はめそうなんだよなそう攻略サイて見
[00:22:57.600] ながらやってたんだよあまりにも長えから
[00:22:59.440] このゲームそうだね魔法マジで使ってこう
[00:23:03.279] あとあと魔法しか効かない敵が出てくるん
[00:23:05.400] だよそいつらが強すぎてで魔法全然使って
[00:23:08.200] ないぞそれ倒せないんだ
[00:23:11.120] よほらほ見て
[00:23:13.559] スケルトンほら体力がレベル2になった
[00:23:16.000] 攻撃力2になった火力が2になった便性が
[00:23:18.600] 2になったこういう風に行動によって
[00:23:21.720] レベルが上がってくもちろんあのやべもう
[00:23:24.640] 死ぬやばい懐いなこ
[00:23:29.039] ポケモンセンターー我が魔族の代表のイ
[00:23:34.000] 残テンレベル上げだしかしまだは険しい
[00:23:39.360] 険しいぞタウロス
[00:23:43.679] 我々なんであしてってく頑張って
[00:23:48.440] くれよしここに来ると満になるんすよね
[00:23:54.120] [笑い]
[00:23:59.000] を持つよお前は全ての大地を見すことが
[00:24:02.640] できる応援すると体力が回復するんだよ
[00:24:05.320] まず確かこれさ赤いさ石板全部見るんじゃ
[00:24:09.279] なかった今回も写真撮っていいやもういい
[00:24:12.640] わあれほぼほぼ意味ないこと分かった
[00:24:15.000] からしてきけ四角とは12の赤い石明とは
[00:24:20.840] 幻の鍵こなんか赤い石板がなんか
[00:24:24.440] ストーリーのヒントみたくなっててま次に
[00:24:27.159] 何あれみたいなん板があるんこういうの
[00:24:30.039] それ読んでなんか紐解いてくみたい
[00:24:33.720] [音楽]
[00:24:35.480] な支配されたくはないしかし支配されて
[00:24:39.039] いる方が都合がいい多くの場合はそうで
[00:24:41.399] あったもなんかほぼ意味ないですこれ
[00:24:44.000] それっぽいこと書いてあるけどです赤い
[00:24:46.960] ことで塔のフラグが1つ解除されます
[00:24:51.640] そうやべ
[00:24:53.679] 夏おスタンパイアおるやんあ自やっちゃっ
[00:24:57.679] たずっちゃったわかんねえだろ大丈夫最初
[00:25:01.080] はねまこれこのゲーム長くなるからよ長く
[00:25:05.720] なるからぜひなんかこう体に慣れさせてっ
[00:25:09.480] てくれこの癖のあるゲーム
[00:25:12.080] をこれね自動ってやると自動で戦ってくれ
[00:25:15.399] んだよそれ楽なんだけどこれだと攻撃しか
[00:25:18.360] あかんねえんだよ
[00:25:20.799] ないや
[00:25:23.000] 強
[00:25:26.120] もなんか特殊攻撃みたいのあったよな
[00:25:29.320] めっちゃ強い
[00:25:31.360] 攻撃いやめっちゃ
[00:25:38.440] うしますねこの曲けど自分もこの曲さあの
[00:25:43.000] 寂しい熱
[00:25:44.960] たててっててんてんあやばい死ぬ死ぬ死ぬ
[00:25:49.559] あ死んじゃったま死んでもここにくれば
[00:25:51.760] 大丈夫もうごめん最これもう昔のRPGだ
[00:25:54.279] からもう最初はもうとりあえずレベル上げ
[00:25:56.559] 1時間ぐらいやんねと進めねえ
[00:25:59.320] とりあえずレベル上げしないと進めない
[00:26:01.039] まだ道のりは険しい
[00:26:03.799] ぞ我々にはどう
[00:26:07.760] す頑高速レベル上げ戦闘
[00:26:12.240] する高速レベル上げ戦闘の横にいる顔色悪
[00:26:15.720] すぎるやつ何あれオークでしょあれのこの
[00:26:18.360] デザインかわいそうすぎないここにいる
[00:26:21.159] オークだよこれ一番上にいるやつ全然ちん
[00:26:24.399] だ特殊能力ってなかない
[00:26:28.600] 殴ってあボーンブーメランね暴走
[00:26:33.120] ブーメランはいはいはいはいスネーク
[00:26:35.559] ファングとかあったわでハーピーが
[00:26:37.960] ウィングカッタービーストボイスがこれ
[00:26:40.320] 進化すると全体攻撃なんだ確かなもう毒
[00:26:45.039] うざまレベル上げがあかもしれんけどを
[00:26:49.600] 忘れたいやは別にないよ害は別にないただ
[00:26:53.200] 本当にあのめっちゃ早くなる本当に
[00:26:59.720] 音楽もなんかほぼほぼ聞けない早すぎ
[00:27:03.360] てほらがレベルこいうのどんどん上げてか
[00:27:06.559] ねえ
[00:27:07.020] [音楽]
[00:27:10.120] とねでもなんかこうせっかくだからみ見
[00:27:14.360] てる見てる側的にもなんかこうけなくなっ
[00:27:18.120] ちゃうかな思これも飛ばします飛ばせるん
[00:27:21.880] でこれあのわざわざ何回も喋る
[00:27:27.159] からかさキーみんだよなカードキーみやつ
[00:27:31.799] ここなここボスなんだよ確かあるんだから
[00:27:35.120] るまででよくねそうだよねそうだよね試し
[00:27:39.240] てけ破滅の歴史その記録は光輝1枚の
[00:27:43.159] ディスクに眠るそうだよなチャピとかこの
[00:27:45.399] ゲームまだ全然知らないのにななんか
[00:27:47.679] パンポンてやられちゃってもさなんかその
[00:27:50.640] 身は白き大事その身は白き大地にありま
[00:27:54.760] レベル上げと言いつつちょっとは
[00:27:56.440] ストーリー進めようかな
[00:27:59.440] 要はこの地上はもう人間が滅んだ後なん
[00:28:04.039] ですよ滅んでちまってこの魔族が地底から
[00:28:07.559] 出てきたんですねわ多い
[00:28:12.000] おいそうそうそうそう
[00:28:14.360] そうそうだから敵は全部こ宇宙人という
[00:28:18.910] [音楽]
[00:28:20.440] か魔法使った方がいいよ絶対ね魔法使っ
[00:28:24.000] てった方がいいよねピドは逃げちゃうから
[00:28:27.480] ダチで
[00:28:29.279] み覚えてなダチは毒だよダチは毒脳
[00:28:35.880] は呼びたくない状いやが先見たいようなら
[00:28:40.600] 全然いや俺も久しぶりに普通にやりてえわ
[00:28:43.440] ダチはどノイ
[00:28:47.880] はノイってどこだあマジでこの感じで進む
[00:28:52.360] からね
[00:28:53.640] ずっとあ脳は敵を魅了して攻撃を受けなく
[00:28:57.679] なるあ要は誘惑みたいな感じ
[00:29:01.039] かえ
[00:29:02.799] わあだからこのハーピーが使えるんだね
[00:29:06.919] ほらエロいからほら
[00:29:10.110] [音楽]
[00:29:11.880] お80時間ぐらいやったもんなずっとやっ
[00:29:16.320] てたのよ
[00:29:17.640] 本当ちゃんずっとやってたんだよこれ
[00:29:21.279] ちょっと魔法
[00:29:22.760] さちょっと俺が俺たちが強くなるまで
[00:29:25.960] ちょこっとだけさ魔法じゃなくてさ特殊
[00:29:28.320] 能力だから戦おうまだ敵の方がちょっと
[00:29:31.000] 強えよな気がする
[00:29:32.840] からウキペディアおじさんだまでもねこれ
[00:29:37.200] ね毒ってなんかね体感ねなんかあの毒って
[00:29:41.480] 毎たまた削るイメージじゃんなんか毒やっ
[00:29:44.880] たら一発で死ぬんだよそれ分からんその
[00:29:47.760] ルールがマジBGM良く
[00:29:51.240] [音楽]
[00:29:53.000] ないちょっとね棒読みちっちゃくしてくB
[00:29:56.720] 聞きたいから
[00:30:01.799] このててのこのチャイナ感いきなり
[00:30:05.240] チャイナ
[00:30:07.760] 感総合レベルってのもあるのよでこの総合
[00:30:11.240] レベルが
[00:30:12.720] 確か55か7とかで進化するんよこいつ
[00:30:17.440] らわかる
[00:30:24.399] わかるやマジでマジでいい
[00:30:29.320] 回
[00:30:29.790] [音楽]
[00:30:31.279] 帰ろもももあれあ所獲物がいた
[00:30:38.279] ぜで武器とかも作ろうぜ武器とかもの
[00:30:41.799] セーブデータの声に入れて最悪な事故が
[00:30:45.960] 発生して
[00:30:50.279] も違うとわせてのお金なか
[00:30:56.890] [音楽]
[00:31:00.200] び前もみんなこの時点ではそう思ってたん
[00:31:03.120] だよ前もこの時点ではみんなえこれ大丈夫
[00:31:07.720] このゲームみたいな
[00:31:10.760] ほら大丈夫安心かもうこれ経験者がそうだ
[00:31:15.880] よな分かるよみたい
[00:31:18.440] な分かるわかるみたいな獲物が来たぜえが
[00:31:23.080] 来たほらさビチビチみな不安になってたよ
[00:31:26.519] な最みんな不安だった最初
[00:31:29.320] 何このゲームってただなんか
[00:31:32.039] もうやめられなくなるんだよねみんな通っ
[00:31:36.600] てきたそうそう
[00:31:38.639] そうそうみんな通ってきたみから大丈夫だ
[00:31:41.360] よあこれダッシュってなかったっけあ待っ
[00:31:44.799] ておいおあの曲聞く
[00:31:47.480] か最初はみんな初心者だよ出たこの
[00:31:53.399] 曲出たメニュー画面の曲めちゃくちゃ
[00:32:00.279] たキラ
[00:32:02.360] さーん不思議なスルみたいな
[00:32:06.760] ゲームおう矢印
[00:32:14.320] 矢ん
[00:32:16.679] パッパッパてんてんてんてんてんてんチラ
[00:32:21.000] さんチャラさんチャラさんてんてんこれ
[00:32:25.080] めっちゃ似てるんだよねチャラさんの
[00:32:26.440] テーマラスハゲのBて頭から離れめっちゃ
[00:32:30.279] 似てんなこれお金ってもう持ってんだ
[00:32:36.279] けこれなんかRPGみたいにお店があるん
[00:32:40.840] じゃなくてなんかそのなんて言うのお店が
[00:32:45.240] あるんじゃなくて
[00:32:47.399] あのこいつらが自分でアイテムを作ったり
[00:32:52.519] 武器を作ったりするの
[00:32:55.639] よ特性で例えば多くだったら武器作成防具
[00:33:00.159] 作成ができる
[00:33:01.480] わけあ全然金たんないね全然金足んない
[00:33:07.240] ほらこういうのね本当は装備できるこれさ
[00:33:09.919] どうするみんなお金貯めて強いのを買うか
