[00:00:03.000] よしナイスエに隠しコマンドあるんだって
[00:08:25.159] でコミコマンド入れたら増える
[00:08:34.760] あ違う違う回復ない回復何回復なかない発
[00:08:42.039] 食らったら一気減るん
[00:08:43.920] だこれHPじゃないからね上のメダルこれ
[00:08:47.000] 残数だから
[00:08:49.080] ねこれで俺もゲーム撃だよ一撃回復とかな
[00:08:54.160] いっすこれあの体力じゃないんだっこれ
[00:08:56.440] メダルは残数あれ
[00:08:59.760] 増えてなかったあそれは得点何万ポイント
[00:09:02.880] かでシステムです何万ポイントかで1個
[00:09:07.680] 増えるだから死なずにずっと行けば
[00:09:10.079] どんどん増やしていけるんだよってね俺
[00:09:14.480] もらうわで仲間のやつはあのあの色分けで
[00:09:18.760] ねどっちが何個とかあるけど結局共有だよ
[00:09:21.480] 共有
[00:09:23.160] 共有ベルタイミング必要だけどねそうだね
[00:09:26.000] ベルタイミングマジ大事いきなり画面に
[00:09:28.480] ポンって出るからさでなんか画面の端に
[00:09:32.640] 出るの固定なんだよねだから奈落の上で
[00:09:34.959] やるとそのまま落ちてく
[00:09:36.440] から出るタイミングマジ
[00:09:39.240] 重要これグラフィックすごいよな
[00:09:42.320] [音楽]
[00:09:47.600] すごいだ馬鹿野郎歌ってんじゃねえ
[00:09:55.079] よ大丈夫よコンティニューしなきゃな
[00:10:07.440] この音楽覚えられるってことは相当き
[00:10:16.200] てる普曲いい
[00:10:22.680] わああナイス
[00:10:31.920] ナイ
[00:10:37.720] よし
[00:10:39.920] はこれよすも今のステージもあるのに服の
[00:10:44.040] ロムに入れれたね
[00:10:45.959] 全
[00:10:49.880] 爆だめ
[00:10:52.000] だまでもやっぱステージ数は少ないね容
[00:10:57.040] 確かにめっちゃありそうだろうね
[00:10:59.760] グラフィックもあるしタスクもあるしスク
[00:11:02.120] もあるしだけどステージ数はマジで好き
[00:11:06.680] な8個ぐらいしかないのね
[00:11:09.519] ス少ないけどバカ難しいけど
[00:11:12.720] ねとバカバカ難しいだから少ないからこそ
[00:11:17.160] そうだね少ないステージ数で長くわわあ
[00:11:20.560] 早いの投げてくんのいいんだよなとんでも
[00:11:23.360] ねゴ速球投げてくるやついるんだよたまに
[00:11:25.720] なめっちゃ早いのピュンて160kgぐ
[00:11:29.440] って言うてぼちぼちじゃ
[00:11:32.600] ないバグバグああ見えてなかったいや8面
[00:11:36.639] ってだってマリオが当時8ワールドの3
[00:11:40.240] ステージだからね8ワールドじゃないから
[00:11:43.040] 8面だからマリオと比べたらあれだけど
[00:11:47.160] どう考えたら少ない
[00:11:49.200] よ8ワールドの8の18の28の3の
[00:11:52.680] ワールドが8個あったからさそう考えたら
[00:11:55.639] ね8個の面
[00:11:57.760] かど
[00:12:00.160] あそういうことかそうそう8ワールドじゃ
[00:12:02.079] なくて8
[00:12:03.120] 面で
[00:12:05.120] パチでパチで5面ぐらいまで俺行ける俺ら
[00:12:09.000] 行けてんだよなあのとこなそうああ見え
[00:12:12.680] なかったよよいきなり来るんだよここは
[00:12:16.399] あし
[00:12:31.839] よしああ容量食ってるだろなこれな当な
[00:12:36.120] すごいよね
[00:12:38.920] グラフィックスよーしよしよしよし
[00:12:47.399] よし
[00:12:49.310] [笑い]
[00:12:53.480] 疲れる車オをそにして次の目ポイントGへ
[00:12:58.560] 向う
[00:13:03.240] せっかくから使ってきたい実機だからそう
[00:13:06.240] ねせっかく実機でしかできない
[00:13:10.279] から通にしかねんごめん
[00:13:17.680] なファミコンも通にしかない通にしかない
[00:13:22.120] この回通はスタートスクとかないから俺は
[00:13:24.920] どんなに都合が悪くてもゲーム止められ
[00:13:27.839] ないん
[00:13:33.000] 今とこ背中すっごい痒い背中すごい痒い
[00:13:35.519] けど止め
[00:13:37.519] ら止めるうんでねこれここうゲーム止める
[00:13:41.399] とさ止めると来るよねるなんか勢いという
[00:13:45.120] かそうそうそうそうそうそう分かるわかる
[00:13:46.480] すごい分かる勢いで行っちゃった今で
[00:13:49.720] もああ
[00:13:52.680] ごめん
[00:13:54.560] 重い一気が重いよね1気失だけで喪失感
[00:13:58.519] やばいよねうなるくだらねえ死に方した後
[00:14:01.880] とかマジで最悪だよそうそれこれいらない
[00:14:04.079] あげる
[00:14:05.519] レーバーあね
[00:14:07.959] R
[00:14:12.519] あバカ
[00:14:15.560] チンまあ
[00:14:18.120] 任せるワンナップして俺のキ使わせて
[00:14:22.360] やるかっこ
[00:14:27.160] いいナイス
[00:14:30.600] レザ
[00:14:31.640] [音楽]
[00:14:34.240] 笑笑や
[00:14:37.639] だ飛でくかなあいつな
[00:15:10.560] ホ大丈夫大丈夫
[00:15:13.959] 始まった
[00:15:16.320] よ
[00:15:22.240] 何やあの雪のステージ行きてえなあそこ
[00:15:26.240] 越してえマジでして
[00:15:43.399] もう武器とかじゃないもんそうなんだ
[00:15:47.279] よ当たら
[00:15:54.480] ないナイス
[00:16:20.440] [音楽]
[00:16:25.279] JA
[00:16:29.800] 待って待って
[00:16:31.240] あなんかさこれさ崖際なんかつるんって
[00:16:34.680] 行く時あるよねある
[00:16:37.519] ある毛乗ったと思ってもさなんかつるんと
[00:16:40.680] 落されるあるよね
[00:17:05.039] けあれす
[00:17:14.720] か待ってねはい
[00:17:33.000] ああ届かねえや行か
[00:17:37.039] ないよしよしよよしよしああああ危ねえ
[00:17:57.840] よし
[00:18:02.080] オッケ
[00:18:03.919] よし余裕
[00:18:06.159] や
[00:18:12.440] ええこいつは弱いね最到たこれは
[00:18:27.159] す次次雪次雪あ違うこのあれだよ
[00:18:33.520] 盾
[00:18:36.039] ルルただこの武器持ってたらここ余裕
[00:18:39.760] よ言ってること聞き取れなさすぎて司令感
[00:18:45.080] 困惑ああ
[00:18:54.520] ぎ
[00:18:56.360] さしおお
[00:19:03.039] 今の柳さし頃
[00:19:05.919] まで手を離さ
[00:19:10.440] ないコントローラーから手を離さ
[00:19:15.400] ない
[00:19:21.919] あいもはや任せる
[00:19:35.039] オね2俺しゃがんでるだけで
[00:19:41.600] い
[00:19:48.000] やあこれはも強いわこれは強いよ
[00:19:55.960] 強いえや
[00:19:59.440] あーやっちゃったなこれはやっちゃったね
[00:20:03.799] 勝てる
[00:20:13.960] 爆弾
[00:20:15.880] オよしし
[00:20:18.440] しい早い
[00:20:31.080] ああああ
[00:20:38.159] ああこれ
[00:20:55.520] はよし来たけるよ
[00:21:00.039] 玉
[00:21:07.840] 優先
[00:21:12.039] あね早い
[00:21:14.159] ちくし早え
[00:21:18.400] よあ
[00:21:29.159] よし勝てるようなったねよよしよし俺これ
[00:21:32.360] 画面の真ん中見てるもんなんで全体見える
[00:21:36.360] から俯瞰してねそうそう
[00:21:40.640] そうそうなんとか雪のとこまではもう
[00:21:43.520] 行けるようになけるよなったよね前まで雪
[00:21:45.919] のとこにたどり着くもねたまにしかいけ
[00:21:48.120] なかったもんね本当それなやっぱうまく
[00:21:50.760] なってるよねちょっとずつね頑張ってる
[00:21:52.559] 頑張っ
[00:21:53.679] てるよしよしよしよしよしよし
[00:22:08.200] 分これさ思ったんだよこんな
[00:22:14.000] なべこれうん飛んでる爆弾当たっ
[00:22:19.840] てほらあ本当だそ近接ジャンプしてけば
[00:22:24.799] 爆風にさめああなるほどね
[00:22:30.200] 対したこと
[00:22:33.200] ねえあれが邪魔だったもんね
[00:22:39.440] 正直まあまあまままままままあるあるある
[00:22:44.039] あるあるよあるよすごいねポイントの差
[00:22:49.760] が
[00:22:53.000] 本すごいま
[00:23:02.460] [音楽]
[00:23:04.799] ああ
[00:23:07.000] お
[00:23:12.640] あーん無理
[00:23:26.760] ややあたここのステージ眠くなるのねこの
[00:23:30.120] ステージ眠くなるね夜だ
[00:23:35.880] からどういう
[00:23:47.400] ことはい
[00:24:11.840] うわえぐいえぐい
[00:24:16.039] ねとまん
[00:24:18.039] ない抜けだな抜けだね本とまってるとマジ
[00:24:21.960] で地方
[00:24:24.679] 発砲
[00:24:26.640] ナイスフス
[00:24:32.480] ここもとばちゃだね
[00:24:45.080] 絶対
[00:24:47.039] うナ
[00:25:01.480] なイエス
[00:25:15.159] しゃしこれマジギリだぞす
[00:25:19.279] クリニックザ使っていい
[00:25:25.120] あおな
[00:25:29.320] ボスれれ
[00:26:04.960] あああUFだあんま強くね頼む
[00:26:23.960] 頼むお
[00:26:27.100] [拍手]
[00:26:28.360] よ自力で越したぜ自力でここまで来た
[00:26:33.720] よよし初めてじゃない
[00:26:37.440] 初めてしよよしよしよしよしよしよしよし
[00:26:43.000] これよこれこれ
[00:26:45.220] [音楽]
[00:26:48.640] あ嬉しくてマイク忘れてるやんブショット
[00:26:53.520] ブスロングブスドグクリア邪確定
[00:27:09.000] あれここってどういうステージホローか
[00:27:11.240] ああそうだねおもう来る女も来るしアフト
[00:27:15.760] も来る
[00:27:16.760] し
[00:27:23.600] やこの武器だからまだねそうなんだよ
[00:27:33.880] 怖えマジ怖急に女配置されてんのマジあん
[00:27:37.960] ねあんなあレーザーいらねいらねえな
[00:27:41.559] レーザーレーザーいらねえなこれ避けれる
[00:27:44.880] か
[00:27:47.440] な無理無理だね無理
[00:27:50.000] 無理
[00:27:51.919] うそれもうレーザーに気取られてるもん
[00:27:56.240] うわゲームオーバや
[00:28:03.559] 笑笑やっぱりこのゲーム難しい
[00:28:08.080] ね
[00:28:10.399] 難しいもう10時半だけどそうでした
[00:28:14.440] ねそうでしたねどうすかちょ薬飲むな
[00:28:20.279] リアルなやつ
[00:28:22.360] やどうするもうやめる
[00:28:25.799] か大丈夫
[00:28:28.159] 何時に帰るあ時間は別に
[00:28:31.600] 大
[00:28:33.240] あくそまだやってたダブルおはようまだ
[00:28:37.840] やってるよもう疲れた
[00:28:41.200] もうとんでもねえゲームだよこまぶちゃ
[00:28:44.080] まぶチラでやってくれねこれコントラまぶ
[00:28:46.679] チラでやれよマジでおもしれえぞおまぶ
[00:28:50.240] チラでやってほしいわまちゃおよなんだ
[00:28:52.640] これSteamで多分できるぜ多分なぜ
[00:28:55.840] あのお願いぜひやってくださいなお願いし
[00:28:59.200] ますこの地獄味わってくれよクリア大久
[00:29:02.440] 死んで
[00:29:05.120] ください死んでくださいひでえこと言っ
[00:29:08.640] てるお願いします死んで
[00:29:11.000] くださいとんでもねえゲームだするのに3
[00:29:15.600] 年は
[00:29:19.360] かかるりんちゃんお薬タイムです
[00:30:14.399] 起きてかな
[00:30:17.720] はあこの部屋暑いよな暑いで寒いんでおり
[00:30:22.480] ますなんか
[00:30:29.240] よしああ疲れたベーレ音楽けけない大丈夫
[00:30:39.240] デレデレ明るいねやば顔顔死んでない
[00:30:44.000] めっちゃ死ん
[00:30:45.320] でる
[00:30:55.600] うークリアず残念
[00:31:00.679] かる誰俺らだってねいいとこまでいけるん
[00:31:04.320] だろそうだね半分ぐらいか半分以上いや
[00:31:08.240] もう終盤でしょ終盤あれステージ6なんて
[00:31:11.799] 終盤
[00:31:12.919] 終盤画面が辛いねえ画面があのずっと同じ
[00:31:18.240] やついやまあねまあそんなもんか
[00:31:22.080] ファミコン
[00:31:23.440] なんてファミコンなんてっていう
[00:31:26.919] のRPGもそうじゃんずいまあねいや
[00:31:29.760] RPGよりでも行く分かマだわあ本当に
[00:31:32.320] あああれだよドラクエ1より全然いいや寝
[00:31:36.600] てたのにドラクエ1も寝てたよあそっか
[00:31:39.760] うんだどっちも寝たけどまだこっちの方が
[00:31:43.720] ね希望がご飯食べたご飯ご飯食べてないね
[00:31:48.679] 食べてないね起きて起きてからというかえ
[00:31:50.440] ば食べてないねうん食べてないお菓子
[00:31:52.760] ずっと食べてすげえ不健康だろ眠りもし
[00:31:57.039] ねえでお菓子食てずっとゲームだ
[00:31:59.760] よいい大人だってキするいやでも買いに
[00:32:04.559] 行かなきゃねえからないやじんちゃんが
[00:32:07.240] 何時に帰るかなんだマジでちゃまさん
[00:32:09.600] おはようございますめさんおはようめ
[00:32:11.519] ちゃん
[00:32:12.720] おはよう終わらないあうございますでもね
[00:32:15.279] 違うだこれ1回クリアしたんだよクリアし
[00:32:17.600] たんだよ俺れてますうんうんそりはね12
[00:32:21.639] 時間半やってるからねそれてそり疲れるわ
[00:32:28.639] あのでも1回クリアしたんだよこれさっき
[00:32:31.440] ただねなんでクリアしたのにまだやってる
[00:32:33.760] かって言うとこっちはにねなんかねいや
[00:32:36.279] いい大丈夫大丈夫あのねなんかね
[00:32:40.159] あのお
[00:32:42.639] がなんかねス大事クリアしたのにクリアし
[00:32:47.440] たんですよその理由クリアあのねあまりに
[00:32:50.919] もちょっとやりあまりにもちょっと難し
[00:32:54.720] すぎて裏技で残からやり直してる笑そう
[00:33:00.120] 30機でクリアしちゃったんですよそし
[00:33:02.720] たらあまりにもぬるくてえでもぬるかった
[00:33:06.039] けどその30期ってのが頭おかしいぐらい
[00:33:08.039] 増えすぎたからクリアできただけでゲーム
[00:33:10.960] はやばいよなあれなやばいあれ通常の残機
[00:33:14.519] でやれって言われたらそれこそやばいよね
[00:33:17.039] 無理ですなんだけどちょっと悔しいから
[00:33:20.000] やっぱ自力でどこまで行けんのかっていう
[00:33:22.279] もうちょっとやってんだけどやってんだ
[00:33:25.120] けどもう限界来てるよね
[00:33:29.399] 1回限界来たもんねあねうんうんいやその
[00:33:33.679] 眠気の限界じゃなくて技術のあてての俺
[00:33:38.159] 多分ねあのさっきの炎のとこは多分頑張れ
[00:33:41.639] ばいけると思うんだよ炎あ俺がさっき死ん
[00:33:46.039] 緑のところあのこれこれがあのトラップの
[00:33:51.399] とこあれなトロッコあそこ多分無理だよ
[00:33:56.399] えぐかったもんなえぐ
[00:34:06.159] ぐ談
[00:34:09.399] し雑談11時間12時間や
[00:34:13.679] て大丈夫大丈夫
[00:34:17.520] あの
[00:34:20.000] トイレてトイレ
[00:34:22.040] に
[00:34:24.919] はいよし
[00:34:28.359] そんなそんな感じでねやってますけどね
[00:34:31.839] なんかレトロゲーマー最近なんか土日は
[00:34:34.240] 耐久配信するのが当たり前みたいな感じに
[00:34:36.320] なってて俺すごい震える
[00:34:38.000] わポコミちゃんも今耐久配信やってるし
[00:34:41.919] さ耐久配信なんてさするもんじゃねえから
[00:34:45.280] な普通普通に体に悪いです悪いですから
[00:34:50.879] ね耐久配信が当たり前みたいな空気感ゲ
[00:34:54.079] 難しいですねその流れやだね笑なあ
[00:34:58.320] 震えるよなこのゲームマジで難しい
[00:35:01.200] コントラはマジで難でもこれちょっとマブ
[00:35:02.920] チラでちょっと2Pプレイしてほしい本当
[00:35:07.119] 面白いうん耐久配信すんのが当たり前
[00:35:10.320] みたいな空気感嫌だよ
[00:35:15.560] なも疲れるもんだって土日全然仕事の疲れ
[00:35:19.839] 取れん1回くらいがちょうどいいみんな
[00:35:23.480] 好きですよ
[00:35:25.599] ね耐久やらと思っ
[00:35:28.010] [笑い]
[00:35:30.320] てまあ耐久やったがいいでしょみたいな
[00:35:33.160] とりあえず耐久やいやらない笑まぶはやら
[00:35:37.200] ねえ
[00:35:38.480] わ月1でも辛いです
[00:35:41.720] よ苦しむ姿みたいんですよ
[00:35:49.359] 笑めっちゃうずいもん体にガチで悪いので
[00:35:52.800] ちょっと心配に放りますねマジで体にには
[00:35:57.960] 悪いと思う寝ないで
[00:36:01.560] さ20時間とかね平気でゲームやり続けて
[00:36:05.800] さこんなもん急に体に来るぜ
[00:36:10.319] 多分若いからまだ俺はできるけどじちゃん
[00:36:14.480] なんか今年40ある休日でも休み取れなく
[00:36:18.280] て平日げっそりすんのマジでそう
[00:36:26.120] [音楽]
[00:36:28.000] じんちゃん元気だよねじんちゃん元気だよ
[00:36:30.480] ね
[00:36:34.520] イハッピーターンあるやんハッピーターン
[00:36:38.119] あるよあ今初めてた記念配信とかの
[00:36:41.640] イベントだけどもいいかも
[00:36:47.640] ねじちゃんまっすぐの道でも迷子なるしね
[00:36:51.920] だ
[00:36:53.079] よガチャガチャ見て今年40の男が
[00:36:58.200] 道って難しい
[00:37:00.079] よ
[00:37:02.440] 何道っていうのはね
[00:37:07.640] 笑笑続いてる
[00:37:10.480] かいずれいずれ
[00:37:15.720] 会えるいずれま道っては続いてるから続い
[00:37:19.920] てるからどんなも間違いではないでしょ
[00:37:23.359] 広い目で見たら迷子って言わない同じ地上
[00:37:26.079] の上にいるなそうだね全員前全員前じさん
[00:37:30.000] 切れたんでしょ
[00:37:31.599] 笑切れてはねえけど別に日とものことだ
[00:37:36.000] もん絶ってそうねままたか
[00:37:39.560] よんだみたいな感じ
[00:37:42.680] だあ
[00:37:46.560] ごめんだから切り口をどう見るかで
[00:37:51.000] ねみんなは迷子って思うかもしんないけど
[00:37:54.000] うん俺は別に思ってない
[00:37:58.040] うまい
[00:38:03.040] これ負けだ
[00:38:05.720] 負け負けですごめんなさいどこ行ったんだ
[00:38:09.800] よ今年40だぞがでこよ
[00:38:14.920] 笑これはでもみんながいたからちょっと
[00:38:18.960] こう受け狙いじゃないけどわざと言った
[00:38:22.079] ところある別に2人でまあ2人でてかほ
[00:38:25.720] プライベートで迷子なってもほっとくもん
[00:38:27.680] 何やがちたあいついい
[00:38:30.160] やこっち忘れて電話してんだ
[00:38:33.960] よ出ないもん出ない出ないじゃない出
[00:38:38.040] て出
[00:38:40.240] て出てだびったやなまぶちゃんな
[00:38:46.400] その1番最初の迷子はいいんだよまだ
[00:38:49.839] なんかうん人いっぱいいたしうん夜ホテル
[00:38:54.480] 行く時だよ駅からまっすぐのあれめっちゃ
[00:38:58.200] 疲れてたの1回も曲がらない道で迷子に
[00:39:02.000] なったからねみんなで話して歩いてて
[00:39:04.359] まっすぐの道まっすぐの道歩いて年下だ
[00:39:07.520] けど面倒見るちゃまさん年上だけど面倒見
[00:39:11.000] られるじさんどっちも良い関係サミン
[00:39:16.240] ペクでホテルずっと10分ぐらい歩いてね
[00:39:20.200] まっすぐ応まっすぐきからまっすぐ1回も
[00:39:24.119] 上がんない道ねでそろそろ
[00:39:27.760] よてホテル作ってさて後ろ見たら違う人
[00:39:30.119] だっ
[00:39:31.119] たあれ誰違うさみんな早いから早くねえよ
[00:39:38.200] 遅いんだよう遅いって言うじゃん俺から
[00:39:42.359] たら早いん
[00:39:45.000] だ俺からしたら遅いんうんだ
[00:39:49.760] から迷子じゃ
[00:39:51.839] ない行けばいるって分かっ
[00:39:54.440] てるたこ
[00:39:57.480] たかなぐらいそれが迷子なんあそっ
[00:40:01.680] かどこに入ったかな
[00:40:05.520] てってなるぐらいだからまあいっしょと
[00:40:10.000] 思っしたらそれを迷子です笑笑
[00:40:16.560] おはようなんでおはようおはよう子供と
[00:40:20.680] イオとかけやん笑子供が多分迷子センター
[00:40:24.800] に通報するお父さんいないんです
[00:40:28.200] そこは大丈夫なんだよ
[00:40:29.960] ねそこは大丈夫なのしっかりしてん
[00:40:33.880] の俺じゃないかもしれない何2人とも寝た
[00:40:39.160] のだも俺は1時間1時間ぐら寝た時間
[00:40:44.640] ぐらいからわかんないちょっとだけほんの
[00:40:46.680] ちょっとだけ寝た俺はだだここ寝ながら
[00:40:48.640] このここでいき書いてますもうやりたく
[00:40:51.800] ないつって限界が来てもやだもやだよて
[00:40:58.040] 言いながら寝た寝たね1時間も寝て笑笑で
[00:41:01.720] も私もじさんの気持ちわかる気づいたら
[00:41:04.880] 違う人に話しかけたりしてる時ある隣に
[00:41:08.440] いると思ってんのにいないんですよね
[00:41:10.960] なかなかのきでたそうなかのきだったマジ
[00:41:13.760] でこんなきってた俺うんみんなにきかした
[00:41:17.200] もここで寝
[00:41:19.920] てるマイクもでもこんな悪な環境でも
[00:41:23.720] いびきかいて寝れるほど疲れてるんだ
[00:41:26.520] すごいよ
[00:41:27.960] 限界だったジ眠すぎてやっとでも今目覚め
[00:41:32.319] てやってるけどね
[00:41:36.640] 今これで終わりや俺の
[00:41:39.060] [音楽]
[00:41:42.400] 土日そうなるよ
[00:41:45.079] ねそうなる
[00:41:48.440] よいい感じにねおにぎりとか食べたら食べ
[00:41:53.119] たいけど
[00:41:54.720] ね買ってこなきゃないからねいびきが
[00:41:57.839] こちらです
[00:42:01.839] 嘘きのクリップあんのかよそうださん取っ
[00:42:06.000] てけたんだクリアするまで出れない
[00:42:09.079] 部屋うちで流し
[00:42:12.240] [音楽]
[00:42:15.000] て
[00:42:16.800] えいびき書いてるんだ笑え聞こえないです
[00:42:21.440] ね最後までちゃんと見てみ
[00:42:29.119] あ聞こえた聞こえるよ
[00:42:36.880] 笑笑魔獣が寝てるじゃ
[00:42:40.200] 笑笑笑魔獣のびじゃんこれ
[00:42:46.040] ク人間のきじゃなくないクがいるブレの
[00:42:51.599] でっかい
[00:42:52.520] やつのやん笑呼吸はしてるかそれそうか
[00:42:59.319] こんなこんなよケツもいてなペラペラの椅
[00:43:03.040] さ静かにしてて机でこんだけ寝れるんだ
[00:43:07.520] てるんだ
[00:43:08.599] 笑聞こえないですね聞ないかかわいそう
[00:43:12.559] だろ悪な環境でゲーム20時間もやらされ
[00:43:24.400] て静かにするしかないもんねてて笑笑ガチ
[00:43:29.240] ねやん笑でもじちゃんの呼吸してるかわる
[00:43:33.839] んすよ笑やらされてあんたのチャンネル
[00:43:37.359] やがな
[00:43:39.400] 笑笑やらされているんだ
[00:43:42.520] よ誰にやらされてるのはじちゃんや
[00:43:47.480] 笑笑さんとどっちが大きいのかなんか
[00:43:57.200] のこの空気感だよねいやもうやんなきゃや
[00:44:00.160] やんなレトロゲーマーなんだから週末は
[00:44:03.079] 耐久配信せなあかんでみたいな空気感俺は
[00:44:06.599] 感じてるんだ嫌だなと思い
[00:44:09.119] ながらっちゃったね今ねねえだろ笑行っ
[00:44:13.200] ちゃった
[00:44:15.880] ね久耐久やってるよね耐久せ
[00:44:20.839] なtchパートナー行けへんどみたいな俺
[00:44:24.119] はもうや無理って書いて無理だもん
[00:44:28.640] いや冗談だよそんな空気感ないから好きで
[00:44:30.880] やってるだけですまあまあま逆に言えば
[00:44:33.319] 好きじゃないとできない無理だね好きなと
[00:44:36.400] できないと思う本当にクリアし
[00:44:39.839] たクリアしたクリアしたんだけどなんで
[00:44:43.359] やめないかっうとあ裏技でさ残機増やし
[00:44:46.880] ちゃったんだよ残機増やしちゃったちゃう
[00:44:49.680] 違違う裏技で残機増やしたのね今まで11
[00:44:53.160] 時間かかってクリアできなかったから20
[00:44:54.800] 分でクリアできちゃっておかしいよね虚無
