[00:00:28.760] はいお疲れ様です
[00:03:12.440] たいなとストーリー進むかどうかちょっと
[00:03:14.120] わかんねえなままったりやりましょう夜中
[00:03:17.480] なんで
[00:03:20.680] ねこんばんはあメタルさんこんばんはメタ
[00:03:24.120] さんどうもこんばんは今日もやってきます
[00:03:25.440] ぜ前回デスピサロ倒しました前回
[00:03:28.760] デスピサロ倒せました
[00:03:30.720] 今日はボスクリアに向けてやってきます
[00:03:33.080] ノビルさんもこんばんはどうもどうもすい
[00:03:35.560] ませんね昨日はちょっと眠っちゃってでき
[00:03:37.840] ませんでしたけど
[00:03:40.040] も今日はレベル上げとやるじゃん
[00:03:44.920] はい普通だったらそこで終わってても
[00:03:47.400] おかしくねえんだけど
[00:03:48.799] なあ普通だったら
[00:03:52.360] あの何デスピ倒し
[00:03:56.200] てあのプレクリアみたいけども僕は裏ボス
[00:04:01.439] までやりますからも寝てたのでもうああ
[00:04:04.680] 大丈夫大丈夫オッケオケ
[00:04:06.239] オッケーさあ今日もやってきます
[00:04:09.159] ぜ今日はなんか移民の
[00:04:11.959] 村ちょっとやってきたいなって思ってるん
[00:04:15.480] だよ
[00:04:17.959] ね移民の村ってあれなんか必要なんかね
[00:04:21.959] ストーリーにわかんねえ
[00:04:27.919] けどまあれだな攻略情報なんてなしでいき
[00:04:33.280] ますよ攻略情報なんてなし
[00:04:35.840] でまみんなから教えてもらうことはあるか
[00:04:38.440] もしんないけどちゃまくこんばんはおば
[00:04:40.600] ちゃんこんばんはばちゃん今日もやってく
[00:04:42.280] 今日もやってきますすいませんちょっと
[00:04:43.560] 昨日配信なくてね眠っちゃいました
[00:04:46.479] ね今日は第6
[00:04:48.919] 章まったりまでもレベル上げなるだろうな
[00:04:52.960] 裏ボスって2つあって俺が覚えてる限りね
[00:04:56.759] エッグラとチキーラていうやつとまあはの
[00:05:00.039] ボス疲れてる時はゆっくりありがとう
[00:05:02.400] ありがとうでも今日は昨日はめちゃくちゃ
[00:05:03.720] 寝たんで今日すごいスコブル元気です今日
[00:05:05.840] 遊び行ってましたすいません遊びってたん
[00:05:07.560] で昼始なかっ配信あるねこり睡眠2時間
[00:05:10.120] 覚悟ちょいバブマンお疲れいやいや
[00:05:13.400] いやいや無理せず寝てくれアーカイブでも
[00:05:15.759] 見てくれればいいから無理すんなよマジで
[00:05:18.080] 違今日はストーリーあんま進まないと思う
[00:05:20.240] 今日はストーリーあんま進まないと思う
[00:05:21.720] 全然あのレベル上げしてなんかイの村
[00:05:25.039] 進めようかなって感じで今日も作業会です
[00:05:27.680] ね言ったらねはいどうもこんばんはですお
[00:05:30.160] 疲れ様ですすいませんでした昨日は
[00:05:32.000] ちょっとね私眠くなっちゃいまして寝
[00:05:33.680] ちゃいましてで今日昼間はちょっとあの
[00:05:36.000] 遊びに行ってましたえうんこうんこ
[00:05:38.199] ミュージアムっていうあのところにえお
[00:05:41.000] 疲れちゃ無理すんなよ無理すんなようんこ
[00:05:43.720] ミュージアムっていうとこ行ってきてあ
[00:05:46.039] そうだみんなにかちょっと待ってちょっと
[00:05:48.840] 一緒待ってうんこ見せたるわうんこ見せ
[00:05:51.000] たるわってなんかもうちょやばいけど
[00:05:53.160] ちょっと今日買ってきたうんこ見てく
[00:06:03.800] お土産か
[00:06:12.199] なもも11
[00:06:15.400] ち久々に出かけたけど疲れてな楽しかった
[00:06:19.919] けど
[00:06:20.639] ねあんまお出かけしないんすよ俺インドア
[00:06:23.880] 派なんであんまお出かけしないんす
[00:06:26.800] よんこんばんはあんまおけしないんけど
[00:06:30.360] 今日はね熱いくそ汗だったくそ汗だった
[00:06:34.560] ちいよ人も多いしうんちミュージアムって
[00:06:38.280] とこに行ってきたんですよ見てください
[00:06:40.039] 今日僕が朝早起きして
[00:06:43.280] えあの小場まで行って小場まで遊びに行っ
[00:06:48.160] て今日暑かったね今日めちゃくちゃ暑かっ
[00:06:50.360] たあの小場まで行って手に入れてきた今日
[00:06:53.919] 今日手に入れて買ってきたものがこちらに
[00:06:55.919] なり
[00:06:58.120] ますこれとこれ今日これ今日これとこれ
[00:07:01.800] だけ手に入れた
[00:07:04.680] ものなあいいだろみんなも欲しいだろこれ
[00:07:09.319] みんなも欲しいだろあげないけどううう
[00:07:11.879] ううううんちですすっごい柔らかいうんち
[00:07:14.080] ねごい柔のうんこやん
[00:07:16.639] どちょ飾っとくべえな飾っとくべえここ
[00:07:20.759] あられちゃんか
[00:07:22.960] よ今日はこれだけを手に入れて帰ってき
[00:07:25.879] ましたこのねうんこミュージアムという
[00:07:28.319] ところに私行ってきましたよクソ
[00:07:31.800] 配これが本のクソ配信あのあれだよあに
[00:07:36.440] コダが振り回すことにこれるたこれあの
[00:07:42.919] なんかうんこミュージムってとこいやいや
[00:07:46.000] いやお疲れ様先ほどお疲れ様でしたねさん
[00:07:49.240] こんばんは今日はねそうあのニコとえ
[00:07:52.159] いろはちゃんと一緒にねあのミュージアム
[00:07:54.440] 行ってきたんですけどもすごかったすね
[00:07:57.159] すごかったお疲れちゃんもきましたけども
[00:08:00.520] あのすごかったっすね子供たの子供
[00:08:05.639] おつおつ子供たちの去勢怒号うんちみたい
[00:08:11.720] なすごい声が響き渡てなんでかて言うと
[00:08:16.039] なんかうんこシャウトっていううんこ
[00:08:19.080] シャウトっていうあの
[00:08:22.599] アトラクションあるんすよ両手に両手に鼻
[00:08:25.680] です鼻高ですよ鼻高だーでした今日両手に
[00:08:30.080] 花で周りの男たちに俺はあのありさん
[00:08:34.800] こんばんはりさんこんばんはごめんね
[00:08:36.399] ごめんねあのごめんねあの昨日配信なかっ
[00:08:39.599] たんですけど寝ちゃいましてすいません
[00:08:41.279] あの周りの男たちにドヤ顔であるてさおい
[00:08:44.320] こんな可愛い女2人連れ回しておいどうだ
[00:08:47.080] よおいお前ら羨ましいだろって顔しながら
[00:08:50.080] あのうんこミュージアム言ってましたね
[00:08:51.720] 絶対みんなに見られてた
[00:08:54.360] はずおいそ俺に失礼だろなんであんなやつ
[00:08:57.839] がてまそっかそうだなまそれいいんだけど
[00:09:02.399] うんこミュージアムってとこ言ってうんこ
[00:09:04.240] シャウトっていう笑笑うんこシャウトって
[00:09:07.519] いうアトラクションがあるんだけど無理せ
[00:09:09.440] ずやあありがとうありがとうあのなんか
[00:09:11.839] こうマイクに向かってうんこて言ってその
[00:09:15.640] 声のでかさによってうんこが大きくな
[00:09:17.399] るっていうアトラクションがあるんすよ
[00:09:20.240] それをこう子供たちが死ぬほどでかい声
[00:09:23.720] 出してやってるわけよその中でその性が
[00:09:27.920] こう職業
[00:09:29.920] あの飛びかう中で俺たちはうんこを見て
[00:09:32.440] ましたいやいいねうんこっていいなって
[00:09:35.279] 思いましたはいあの俺
[00:09:43.399] も
[00:09:45.360] うんこももですようんここれ硬いすこれ
[00:09:49.200] 硬いうんここれは硬いうんこです
[00:09:52.160] ねこれ柔らかちゃんと上げになってる
[00:09:59.519] に行くのにここあれだろよ整えていかねえ
[00:10:02.200] やついねえだろ今日あの朝準備しててねあ
[00:10:07.360] よしちょっと今日シャワー浴びてこうあ
[00:10:08.920] 今日はもうシャワー浴びて今日はてかいつ
[00:10:10.880] も浴びていつやめなんか俺がたまにしか
[00:10:13.320] 浴びないみたいな感じにないやまシャワー
[00:10:15.000] 浴びててよしつってで全部やった後にあ
[00:10:18.040] ここ剃ってくめて思ってわかんねえじゃん
[00:10:20.920] わかんねえじゃんだって女の子と遊ぶんだ
[00:10:22.680] ぜ女の子と遊ぶのわかんねえじゃんなんか
[00:10:24.880] こうなんかわかんねえじゃんなんかあの
[00:10:27.120] こうなんかあるかもしれない
[00:10:29.920] ないわバカ野郎だそうだからでもこう少し
[00:10:33.839] でもこうそうだよデートしてきたのそうで
[00:10:37.880] あの少しでもちょっとやっんだよ
[00:10:40.920] 笑笑て
[00:10:43.320] 何ねえやふざけんなねえんだけどいやでも
[00:10:46.959] こでもこうやっぱ少しでもこうさよく見せ
[00:10:49.440] たいじゃん自分ってのをねよく見せたい
[00:10:53.240] でしょなんかあったら笑弊がありました
[00:10:57.320] すいません弊があったすいませんすませ
[00:10:59.279] ちょっと弊ありましたねすいませんやさん
[00:11:01.079] こんばんはやちゃんこんばんはや
[00:11:02.240] こんばんは弊がありましでもこうシャワー
[00:11:04.360] 浴びた上がった後にやつってここやってく
[00:11:06.600] べつって
[00:11:08.279] のウンつってやった後にもう1回シャワー
[00:11:11.120] 浴びたここやった後シャワー浴びねと毛が
[00:11:13.639] すごくてさ2回シャワー浴びてったわかん
[00:11:17.120] ねえからなわかんねえから
[00:11:19.760] よするそうなんですそうなんですこ体とか
[00:11:23.480] にねそうだ全部自分でやってんだよこれ
[00:11:25.279] 全部自分でやってだ大事よ大事ねでもう
[00:11:30.720] 見せようと思って行くじゃん行ったら汗で
[00:11:33.680] ここどこじゃなかったもう汗びしびしで俺
[00:11:37.760] 思ってた2人もこいつアすごいなデブや
[00:11:41.399] からしゃあないねんもうデブだから
[00:11:44.000] しゃあないめっちゃ暑かったももうだ
[00:11:46.720] からみ3人で言ったもう夏はやめよう
[00:11:50.120] ね夏でかけんのやめようぜもう次は冬だな
[00:11:54.760] から仕方
[00:11:56.120] 熱いしかもおなんだけどってめっちゃ外な
[00:12:01.079] んよなんかお台場ってめっちゃ外じゃない
[00:12:03.360] 意味わかんないこと言っなんか俺意味
[00:12:05.560] わかんねこと言ってけどお台場って
[00:12:07.480] めっちゃ外じゃ
[00:12:09.040] ねわけわかんないこと言ってんな俺な
[00:12:11.680] めっちゃ外めっちゃ外なんだよななんかな
[00:12:14.040] なんか何すんの外経由するのよそうなんか
[00:12:18.519] おってなんかお台場って港じゃんなんかだ
[00:12:23.399] から海のそばのなんかこのおしゃれな
[00:12:26.680] テラスみてなところをめっちゃ歩くん太郎
[00:12:29.600] さんこんばんはバルちゃんこんばんは最近
[00:12:31.800] 俺なんですよあの最近俺頑張る太郎さん
[00:12:34.519] バルちゃんて呼んでる勝手
[00:12:36.519] にちゃんこんばんはドラモンクリアした
[00:12:39.480] ドラモンクリアしたあれはいいゲームです
[00:12:41.160] よえそう緑少ないのよ緑少ないんすよで
[00:12:45.360] なんか基本照ら席みたいなとこずっと歩て
[00:12:50.800] から名前変わったんかおれだから
[00:12:55.399] 仕方ってうたてなん知らんかったえお台場
[00:12:59.760] って人工灯なの要は埋立てて作ったとこな
[00:13:02.399] んだえ知らんかったそうなんだ今日ね
[00:13:04.959] うんこミュージアムかそですようんこ
[00:13:07.959] ミュージアムってところに行ってきてお朝
[00:13:11.519] 早くから用意してねあのあっち行って1日
[00:13:15.839] 遊んであの持って帰ってきたのこれだけも
[00:13:20.120] あ持って帰ってきたのぷにぷにの運海だっ
[00:13:24.000] たからあそうなんだめっちゃ外だったんだ
[00:13:27.680] ぜひ行ってみてくださいカどうしたあ今更
[00:13:31.839] だ
[00:13:32.600] けどあいいですねいいですねねこれ
[00:13:36.079] テンション高いのっハーレムデートだっっ
[00:13:38.279] たからうんこミジハーレムデートだった
[00:13:40.680] からだよそうだよハーレムデートだった
[00:13:42.440] から周りの奴らにめちゃくちゃドヤ顔なる
[00:13:44.959] も俺今日女2人連れておい俺の女だと手
[00:13:47.839] 出すんじゃねえよて思いながら別はうん
[00:13:50.079] これはガチですこれはもうガチあのもう
[00:13:52.079] あの誤解を招かないように言っときます
[00:13:53.880] けど俺はそう思ってましたまそんな感じで
[00:13:55.800] ね今勝ち島を見せればいいのでは
[00:13:59.720] な感じで今日もドラゴンクエスト4やって
[00:14:03.240] いく
[00:14:04.320] ぞ
[00:14:06.920] かーし
[00:14:09.759] ささすいませんちょっとちょっとちょっと
[00:14:13.639] ちょっと今日は皆さんに乾杯こと素敵な
[00:14:16.920] デートに乾杯ことプさんこんばんはプさん
[00:14:20.240] こんばんはどうもどうももなんかの素敵な
[00:14:23.320] デートに乾杯こと
[00:14:25.720] ハラスメントめてくださいお前らも飲めよ
[00:14:35.920] このために生きてるって言っても過言じゃ
[00:14:38.279] ねこのために生きてるって言っても過言
[00:14:41.079] じゃね世界一おいしそうにコーラをぶデブ
[00:14:45.160] うん案件来いまさん待ってますこんな感じ
[00:14:48.440] でやっていきますか今日はエンディング後
[00:14:52.040] え第6勝でございます
[00:14:54.839] よ6勝でございます第6章どうですか皆
[00:14:58.800] さん行けますかもうここでも死んでも1周
[00:15:01.480] からやり直しなんでマジ慎重にてかレベル
[00:15:03.240] 上げ今日はもう作業会です者さんです
[00:15:06.880] こかしですね待頼むから
[00:15:09.440] さはぐじゃないえキングスライムってどこ
[00:15:12.759] に出んだよキングスライム倒そうぜ今日は
[00:15:17.000] キングスライム
[00:15:22.360] プレゼンツ
[00:15:24.720] メタキンメタキンだごめキングスライム
[00:15:26.920] じゃねえやホあ
[00:15:31.079] 鳥山高一杉山あもうじゃもう死ぬまでに1
[00:15:34.839] 回でいいから杉山光一先生が指揮するさ
[00:15:38.120] あのオーケストラコンサート行きたかっ
[00:15:39.959] たて思ったら杉山先生がなくなっちゃい
[00:15:42.360] ましたくやってきます国家国家成長いや
[00:15:48.639] マジで悲しくないマジで悲しい死ぬまでに
[00:15:51.399] 1回でいいから生の杉山高一先生の式を見
[00:15:54.040] たかった年上だからなま恒例だったからね
[00:15:58.000] 90何歳だっけ
[00:15:59.720] も本に俺今年に1回あのオーケストラ
[00:16:02.800] コンサート行くマジでオーケストラ
[00:16:05.000] コンサート行くおいやろうぜ
[00:16:07.319] ごめ
[00:16:09.480] れこちゃんこんごめんゲちゃったごめん
[00:16:13.120] なさあのせっかく来てもらったのに
[00:16:14.720] いきなり開幕ゲップ
[00:16:16.920] でコーラてのはうめえなお前絶対だろ
[00:16:29.519] 民だ忘れてたわ民だ大情だったね本当そう
[00:16:34.399] だねそうですねバチ当たりますねもこれ
[00:16:36.759] から僕が作っていきますはい
[00:16:39.720] 道け忘れてたイみだに脱獄集のサミュエル
[00:16:44.560] 俺主人さんのことでこれからサミルって
[00:16:46.959] 呼ぼサムって呼ぼサムあだめだサムだと
[00:16:49.839] なんかうちのリスナーの嘘つき外になっ
[00:16:52.519] ちゃうからさあやっていきましょう今日は
[00:16:56.040] かなレベルを上げるのとえていうか
[00:17:00.480] さちゃちゃちゃ笑笑ちゃちゃおサム
[00:17:04.400] サミュエルあのさ違うんすよあのメタル
[00:17:09.480] キング借りたくないですかメタルキング
[00:17:12.720] 借りたく借りたくないメタルキングもうい
[00:17:17.839] もうさエンディング迎えたんだし解禁で
[00:17:21.120] よくないわ俺同じとこ来てるアホや橋本
[00:17:25.799] こんばんは教えた方がいいあいやいやいや
[00:17:31.240] 一家性のネタ教育するとまた後々めんど
[00:17:33.280] くさい
[00:17:34.080] から一家性のネタだからいいよ
[00:17:37.440] えと教えなくていいやごめんこんだけ言っ
[00:17:41.160] といと教えなくていいや自分で探そうどっ
[00:17:44.520] かには出てくんだろデスパレとかさ裏ボス
[00:17:48.360] 狩りするよそう裏ボスまでやる杉山先生の
[00:17:50.799] 名言音楽はここ何それマシン希望の祠に
[00:17:54.840] 降りてきた塔に出た気がするそれあそう
[00:17:57.080] 希望の祠に降りてきた塔どこねそれが
[00:17:59.840] わからんあもう教しなくていいぞ教なくて
[00:18:01.679] いいとりあえず自分で探そうぜデスパレ
[00:18:04.200] スって何なんだっけあ
[00:18:08.880] あこれねここってささすがに意味いねえか
[00:18:13.240] こんなとこに意味はいねえわな
[00:18:17.640] スパレスタなんだそれどこだまいいや
[00:18:21.840] とりあえずちょっと移民探そうぜ移民探し
[00:18:23.960] て移民の街を完成させたい今日はも今日
[00:18:27.000] 作業会なんで今日は作業会なんでまったり
[00:18:31.200] なレベル上げと
[00:18:33.520] あーああじゃないこうじゃないやってこう
[00:18:36.000] かなとモンバーバラにいそうな気がしね
[00:18:39.880] 意味モンバーバラでいそうじゃね
[00:18:42.799] モンバーバラいそうな気が
[00:18:44.720] するなんかちょっとでもあの攻略法じゃ
[00:18:47.799] ないんだけど攻略法じゃないんだけどあの
[00:18:50.760] 今日ちょっとレベル上げとカジノとさも
[00:18:53.280] さんこんばんはそうカジノありだなカジノ
[00:18:55.159] やりてただカジノもなんかあのあれらしい
[00:18:58.159] んだよねあのその移民の街が完成した後の
[00:19:02.200] カジノの方がいいらしいんだよだ移民の街
[00:19:04.440] をとりあえずクリアしなきゃいけない完成
[00:19:06.080] させたいで今日攻略は見てないんだ
[00:19:09.640] けどあんだけ前回の配信でなんかこう変な
[00:19:13.000] 考察するやつ嫌いなんだよ俺よ言ったのに
[00:19:16.480] 言ったのに
[00:19:18.280] あのドラクエ4のストーリーの考察読んで
[00:19:22.919] ためなんか最後のはあれどうなんだとあれ
[00:19:27.760] はしたと見るのかえ勇者が見た幻なのかと
[00:19:32.679] そんなようなことを色々書かれてて
[00:19:34.320] ちょっと色々考えさせられましたねいい
[00:19:36.440] エンディングだったで
[00:19:38.960] も紳士やなこの馴染みの女の子ねま僕は
[00:19:43.360] 復活説押しますけども
[00:19:47.400] ねこれこっちって俺行ったあの奥
[00:19:54.120] ってその辺にも触れてほしいよなあの12
[00:19:57.280] 月に出るさ
[00:19:59.400] 買うの12月のさドラクエモンスターズ3
[00:20:03.000] 買うのお前かも込めて
[00:20:07.480] 復活期待も込めて星5
[00:20:12.080] ですはモンスターズやりてえ
[00:20:21.679] 大々買うよ
[00:20:24.919] な超楽しみあのみんな買ってねあの俺
[00:20:29.200] イベント開くからそしたらごめんあの配信
[00:20:31.039] イベントで
[00:20:32.559] あの視聴者参加型大モンスターズバトル
[00:20:36.760] 大会3リメイク待ああ3リメ早く出せやな
[00:20:42.080] 何年経ったあれからからどうするかなあ
[00:20:46.000] いやでもねあれねあの別にそんなあの
[00:20:48.240] ナンバリング3だけどそんなに関係ない
[00:20:51.400] あれからやっても全然問題ないと思この
[00:20:52.919] 配信きっかけで絶対いやそうそれもあって
[00:20:56.000] みんなにそうあの見て欲しかったのよこれ
[00:20:59.080] 4やるのにさやっぱ1回集しときたい
[00:21:01.799] じゃんドラゴンクエストあの4をさあの
[00:21:04.880] モンスターズ3やんのにね絶対だからそ
[00:21:08.400] なんかそシシアの下りもちょっと触れて
[00:21:10.159] ほしいよ
[00:21:12.000] などうなんだろ前日感になるのかなわかん
[00:21:15.279] ないけどめちゃくちゃ楽しみじゃねえ
[00:21:17.760] ちなみに俺あれもあの人生縛りでやるんで
[00:21:20.480] 人生縛りっていうか死んだ
[00:21:22.760] モンスターすかそうなんだ俺も今ずっと
[00:21:26.200] 迷ってる得点付きのやつを買うのか
[00:21:29.559] 豪華ボックスみたいなやつね買うのか普通
[00:21:32.000] のやつを買うのかまどうせ買うんだったら
[00:21:33.919] 豪華ボックス買ってもいいんだけどねただ
[00:21:36.039] 値段倍ぐらいすんだよ普通のやつが
[00:21:37.840] 6000円ぐらいで得点付きのやつが
[00:21:40.159] 1万2000円ぐらいすんのでも得点
[00:21:42.320] めっちゃしょぼいんよね得点めっちゃ
[00:21:44.559] しょぼい人だと前日やっぱそうだよね多分
[00:21:47.960] あれ見るか前日たんだよな同時行ではない
[00:21:51.080] よ絶対なんかピタの服装もなんか若かった
[00:21:54.080] じゃん今の変ななんかあの中二病みたいな
[00:21:56.440] 服装じゃなかったもん
[00:21:58.799] そう特定薄いんだよななんか変な配合
[00:22:02.760] ノートみたいな何ここ正直出してくれて
[00:22:06.240] ありがとう大まそれはそうそれはそう何
[00:22:09.559] ここここって何の村のナンバリングは
[00:22:12.720] 繋がってないけど会話つげるとシリーズ
[00:22:15.360] 繋がってる風に見えあまま繋がってない
[00:22:17.880] けどちょっとちょっとちょっとあ移民ぽい
[00:22:22.240] 移民ぽい民ぽいぽい旅の商人ですそういえ
[00:22:27.039] ば砂漠のイ来た違うんかよなんだ
[00:22:33.760] お前100点じゃったじゃねえか砂漠の
[00:22:36.799] バザーの話したらお前これ意味だろうがよ
[00:22:39.559] 意味じゃねえのかよこれ笑笑100点の
[00:22:42.159] 意味じゃないだ完全に砂漠のバザーの話し
[00:22:47.039] たじゃん移民の村ってあれ砂漠のバザーの
[00:22:51.559] 何なんだよお前わせぶりだななんか買っ
[00:22:54.880] てくか意外といいの持ってるしお前意こね
[00:22:59.120] イミの村来ねえかお前意外といいなんだ
[00:23:03.400] それ完全に今移民来たと思ったのに違うの
[00:23:06.919] かそういうこともあんの
[00:23:10.039] な絶対だと思ったよな砂漠のバザーの話題
[00:23:14.480] 出したらもう意味んだろ宿動かなかったら
[00:23:17.320] あじじ動かね大丈夫死ん
[00:23:19.279] でるじゃんていうなと思うじゃんだったな
[00:23:23.159] 完に
[00:23:24.880] なうキグレの様が変わってからの厳しくて
[00:23:28.960] のこんな夜景まで働けえあれなのあれなん
[00:23:32.080] かなキングレオの王様って岸田なのかなえ
[00:23:34.960] 岸田ってもしかしてさ岸田総理ってさあれ
[00:23:37.679] だったキングレオの王様だったなああれ
[00:23:41.640] あれが変わってから税金の取り立てが
[00:23:44.080] 厳しくてさ月7万引かれてんだけど俺なあ
[00:23:48.200] 給料から7万引かれてるんだろおい
[00:23:51.400] おかしいだろなんだ7万ってあまここと呼
[00:23:54.400] ない方がいいかな政治の話やめましょうか
[00:23:56.760] すいませんの鏡持ってこい
[00:24:00.720] やめ言わない方がいいなこれなやめよいや
[00:24:03.120] 僕はでもちゃんと納税してますから流量
[00:24:05.840] 納税者だから他のなんか滞納してるやつ
[00:24:08.440] から
[00:24:09.240] 取れでもね税金はねあれなんだ払ってねえ
[00:24:12.760] よやつより払ってるやつから取るんだよ
[00:24:14.880] じゃないと取れないから生意だな税金10
[00:24:18.080] 倍
[00:24:18.919] だあナイスナイスシクさんありがとう
[00:24:22.480] ナイスクリップあイくせメイドの鬼でそれ
[00:24:26.200] は世のを借ります本当だ無なはあどっかに
[00:24:29.559] いい仕事どっちないからはいいミンダです
[00:24:32.159] いいみだいいミダ教えてあげるふにゃ
[00:24:35.480] 可愛いこの女この女俺結構好きかも持っ
[00:24:38.840] てこうね結構好きかもはにゃとかいうあ
[00:24:42.080] はにふにゃとかいう女結構好きかもしれ
[00:24:44.720] ない早速行ってみます教えてくれて
[00:24:46.120] ありがとうえでえや
[00:24:48.360] でかいスターバックスみたいにあれた
[00:24:50.720] スタバだけで3000万払ったていやでも
[00:24:54.360] さ払うんじゃない払うやつ払うんじゃない
[00:24:58.520] スタバみてに顔で選ぶべ場所教えた方が
[00:25:01.000] いいんじゃ
[00:25:02.080] ないドリクラやりてえこれクリアした
[00:25:05.799] ドリやべえ見ちゃいけねえの見たおい殺え
[00:25:10.360] これあれじゃねえのなんか戦爆
[00:25:12.600] GoogleGoogleマップでさ
[00:25:15.120] なんかあの殺殺人ゲム映っちゃったとこ見
[00:25:18.080] ていじゃんなんか死体引きずってるの映っ
[00:25:20.120] ちゃいましたみたいなやべえ見なかった
[00:25:22.039] しよ今から海に投げ入れるやつなあ多分
[00:25:25.520] あれだろうな浮いてこねえようにあの
[00:25:26.960] コンクリート結びつけられて
[00:25:29.760] あるのえGoogleマップでそう映っ
[00:25:32.200] ちゃったのあるんだよ死体を引きずってる
[00:25:34.679] であのなんかあいう桟橋で海にあその水に
[00:25:37.919] 投げ捨てようとしてるとこが映っちゃった
[00:25:39.880] みたいめちゃついててまじまじマジある
[00:25:43.200] あるあるそれやらせなのか本当なのかは
[00:25:46.279] 知らないけどねそうそうそう
[00:25:48.679] そうそうそれかなと思っ
[00:25:52.520] たの谷って何人集めいい
[00:25:57.240] のれてたわ俺いみだニって何その重んね
[00:26:00.840] 名前誰がつけたのイミダニっ
[00:26:06.679] てうますぎるうおもろいようま
[00:26:12.720] すぎるよいいみんなにこのでっかい平屋
[00:26:16.960] 土地が余ってることを土地が余ってること
[00:26:20.440] を示すこのでっかい平屋でっかい平屋
[00:26:25.799] のおびっくりした風俗かっていうネタ前回
[00:26:29.960] やったら誰も笑わなくてちょっと
[00:26:31.279] 恥ずかしかった王様歩いてるの面白すぎる
[00:26:34.120] あいつどこの王様なんだ
[00:26:36.399] よここで風俗ネタこすったら誰も笑わなく
[00:26:39.840] てすっげえすげえ滑った前回もうやめよっ
[00:26:43.000] て思ったのにもう2度としないと思ったの
[00:26:46.240] になんかそれエッチな店に見えるやんこれ
[00:26:49.520] 違うんか
[00:26:52.919] あなあお前たちに行ってるんだったことも
[00:26:56.200] ないくにすいませんそうですね僕おっぱ
[00:26:58.960] しか行ったことない
[00:27:01.039] です前会社の先輩に連れられて行きたくも
[00:27:04.120] ねえのに行かされたんだよ飲み飲み会飲み
[00:27:07.080] いや童貞だって行くだろ知らねえけどおっ
[00:27:09.520] ぱぶってとこ連れてかれ
[00:27:11.320] たらなんかあの100120km超えの女
[00:27:16.000] が俺の膝に座ってきてあの膝が死ぬって
[00:27:20.039] 鬱血して鬱血して膝が腐って俺足1本
[00:27:23.440] 取り替えたんだよね言ってなかったけど
[00:27:26.039] 2度といかないと思った
[00:27:28.480] つえちょっとわらんきつい色々きついな
[00:27:34.600] 悪オートメそう言ったもん俺持ってかれ
[00:27:39.880] たてエドワードエルリックみて
[00:27:43.200] に言ったもん俺エドワードエルリック
[00:27:46.080] みたい
[00:27:47.480] にし持ってれ
[00:27:51.600] たを覗いたから理を覗いたからその代で足
