[00:00:10.280] ういお疲れ
[00:03:39.439] 酒ちょっと飲みましょうね皆さんねでも
[00:03:41.439] ないのに3つもいるいるんですよいるん
[00:03:44.599] ですいるんです理由はかっこいいからあの
[00:03:48.760] 僕が
[00:03:50.319] あのデスクトップあ何あの画面3つあるの
[00:03:53.920] はかっこいいからです理由は確かに理由は
[00:03:59.079] で好き1個はマジで使ってがマジでいら
[00:04:03.120] ないかもしんない盾盾とえっと32型のえ
[00:04:09.319] ウルトラワイド液晶と24型の普通のやつ
[00:04:12.400] かっこいいからです理由はVでも2あれば
[00:04:15.920] 割と十分よかっこいいから止まらないんで
[00:04:18.840] そこは指に全部はめるタイプじゃんあっ
[00:04:22.040] たら欲しい
[00:04:23.160] けどお指は全部はめるドリクラは初見かな
[00:04:27.280] ドリクラは実はですねさんこんばんはえ実
[00:04:30.160] はですねこのゲームですね私同がまだまだ
[00:04:32.880] いなかったYouTube自体にですね
[00:04:35.080] 1度だけやってるんですよえっとですね
[00:04:38.520] 1度だけやってるんですけどあのですね
[00:04:40.639] あの時はまだ僕もなんとなくですねまあの
[00:04:43.600] なんていうか配信にも慣れておらずえと
[00:04:46.080] ですねえのにとんでもないくだらねえ
[00:04:50.600] 下ネタのオンパレードで俺が縮しちゃって
[00:04:53.759] やめた1時間
[00:04:55.520] で今日はける俺はあの時と違うもになった
[00:05:00.120] よ大人になったあの時はうだった俺は笑笑
[00:05:02.919] 女の子に慣れてなかっただから俺もあれ
[00:05:05.880] から年を重ねてねいろんなことを経験して
[00:05:08.280] きましたねいろんなことを経験してこう
[00:05:11.320] なんて言うんですかね
[00:05:13.759] あの僕もちょっと変わったんですという
[00:05:17.160] ことで今日
[00:05:18.280] は親の子お話を楽しみたいおパブくらい
[00:05:23.800] じゃそうキャバクラ行ったことないのに
[00:05:27.199] おっおいちょっと待ってくれおいちょっと
[00:05:29.240] 待ってくれちょっと待ってくれわわかんね
[00:05:32.600] 外人からなんか俺の今日の配信俺の配信の
[00:05:36.880] さツイート見てくれリプラわけわかんねえ
[00:05:39.319] 外人から俺の顔の切り抜き届いてんの
[00:05:41.720] 何これ
[00:05:43.720] あちょこれセピアのだセピアメタのだった
[00:05:47.639] なんやねん何が言いたいんじゃI
[00:05:51.759] tellエクシて何何を
[00:05:56.280] 言う何を言うとんじゃまそんな感じでね
[00:05:58.840] やっていきますよはいはいはいはいはい
[00:06:01.680] いいですね今日お酒を飲みながら皆さんと
[00:06:04.400] やっていけたらななんて思とるわけですよ
[00:06:06.759] ええ
[00:06:08.080] えプレステ3超久しぶりに出したわ興奮し
[00:06:11.840] てると言えるって突っ込まれ
[00:06:14.560] てる大興奮だデ
[00:06:18.360] 興奮超
[00:06:23.639] エキサイティング超エキサイティング
[00:06:26.560] ですさあさあさあさあ
[00:06:29.599] やりますよ今日はえみんなお酒用意した今
[00:06:34.080] からコンビニ行ってこいよコンビニ乾杯
[00:06:36.120] までに間に合わない乾杯はとりあえずま
[00:06:38.080] いいや
[00:06:40.120] 始め
[00:06:42.280] 間違いはいどうもチマゲームでございます
[00:06:45.720] こんな感じで行きますよ今日はグリーン
[00:06:48.199] バックでえやろうと思います行くぜこれ
[00:06:52.280] よくねかよくないちょっといいよな
[00:06:56.080] せっかくだからフリバたところだからすぐ
[00:06:58.919] 飲めるぞおいいぞいいぞただ皆さん明日お
[00:07:01.960] 仕事だと思うの
[00:07:03.400] で明日お仕事だと思うのでツ明日お仕事だ
[00:07:08.080] と思うのであの明日に響かない程度にやっ
[00:07:10.800] ていきましょうねはいやっていきます今日
[00:07:12.400] やるゲームはこちらです
[00:07:14.240] と白飛びしちゃってるドリームクラブゼと
[00:07:18.240] いうことで何がゼなのかわかんないんです
[00:07:19.879] けどもやってきたいと思いますドリーム
[00:07:22.080] クラブゼへようこやったぜークラブ0で
[00:07:25.479] オートセーブを採用しています
[00:07:26.560] ハードディスクドライブ何を言ってるんだ
[00:07:28.199] 遊びじゃないんだよセなんてできねんだ
[00:07:30.560] 恋愛はかるか恋愛にセーブなんてが
[00:07:34.400] 布がゼ
[00:07:37.080] だちょっと今日いい感じでこんな感じでき
[00:07:40.000] たいと思いますよろしくお願いします
[00:07:42.680] 新出プの形おっぱいの1つを表しています
[00:07:47.560] 経験ゼだよなるほどな名前がゼだ
[00:07:51.120] よなるほど
[00:07:55.759] なげ声
[00:07:59.639] の声なんか喋ってんだけど声めちゃくちゃ
[00:08:01.039] しあげていい
[00:08:03.840] かちっちゃいよねめっちゃね
[00:08:06.960] えーもちろん
[00:08:08.919] ちょおいちょおかしくねかおいちょっと
[00:08:11.879] 待ってちょっとみんな見てくれそうそう
[00:08:13.520] そうそういきなり橋元が1番上になの何
[00:08:16.639] どうせお前これつけんだろみたいななんで
[00:08:18.960] 1番最初にまだ何も入れてないのに橋元が
[00:08:21.680] 1番上にあるの何ゲームのBGM大きくて
[00:08:24.240] 音声小さいな前回もそうだったの
[00:08:27.760] [音楽]
[00:08:30.759] と
[00:08:32.039] 名前ちょっと待ってこれさコメント
[00:08:36.919] プレステの力歴ゲームの力
[00:08:43.770] [音楽]
[00:08:45.160] 歴今日はいいゲームをやります
[00:08:48.160] よテンション高
[00:08:51.880] テンションもちろん
[00:08:54.080] もちろん当たり前だよな本名でくよ遊び
[00:08:58.120] じゃねんだてる焼きも笑笑遊びじゃねえん
[00:09:02.519] だよ恋愛は分かるかちょっとレンが出てこ
[00:09:05.959] ないなんでえレンが出てこん
[00:09:10.760] ないえ
[00:09:13.480] ないこええよハで行けハで行こうハで行き
[00:09:17.440] ます遊びじゃねえんだよなあ橋本なこ遊び
[00:09:22.600] じゃねえよな俺たちはあだ名レッチは
[00:09:27.040] ふざけんなおあだ名ちゃんチャマで行くか
[00:09:30.240] あだなチマでやめてチチャマで行こうぜ
[00:09:33.600] チマで俺たち俺たちコンカフェっぽい
[00:09:37.320] ねチまで行こう
[00:09:40.279] ぜあいいカタカナがいいなでもなカタカナ
[00:09:45.519] がカタカナがいいなカタカナがありますよ
[00:09:50.440] とはい来ましたはい来ましたはい来ました
[00:09:55.040] えーお名前橋本連あだ名ちゃわ最高じゃ
[00:09:58.680] ないですか
[00:10:00.000] また始めたな始まりますよ渡るさん俺が
[00:10:04.560] 酔っ払った時の開放は頼むぞその時この時
[00:10:07.480] のためにお前をあのあれにしたんだよお前
[00:10:11.519] はこの時のために剣持たせてるんだから俺
[00:10:13.680] を俺があれしたら名なったら頼む
[00:10:17.000] ぜ左から4番目の女がいいお誰行くよ誰
[00:10:21.920] 行くんだよいなくなるよねえねも屋さんの
[00:10:25.680] 剣はおい誰行くよこれ頼むぞおい
[00:10:29.959] 左から4番目の女ちょっと待って左から2
[00:10:33.720] 番目しかいねえだろちょっと待ってちょ
[00:10:35.399] うるせえおいうるせえ俺が決め俺が品さび
[00:10:38.680] して俺がちょっとペロっと味見して決める
[00:10:42.279] んだよレイドが来ましたいいレイドが来
[00:10:46.079] ましたねグルポンお疲れグルポンお疲れ見
[00:10:49.880] てなかったですペロルなちょっと待って
[00:10:53.240] ちょっと待ってまずはオプション
[00:10:56.920] からオプション
[00:11:01.880] あらっま
[00:11:15.760] こんいらしゃいまいらっしゃい
[00:11:20.279] まら女の声女の声うせ
[00:11:24.639] うるせえこの
[00:11:27.210] [音楽]
[00:11:29.440] だからあの16対9だったからさ16対9
[00:11:32.320] だったからマックスで行こうこれで行こう
[00:11:35.519] これで行き
[00:11:38.920] ましょう臨場感持っていこうぜ行くぜ演出
[00:11:43.279] 設定なんですか演出設定エフェクトあり何
[00:11:47.639] おエフェクトってなんだよエフェクトは
[00:11:49.800] ありだろガイド表示応援
[00:11:53.279] 歌詞
[00:11:55.240] 歌カメラタイムストリームちょっとよくわ
[00:11:58.839] これはちょっとよわないですねエフェクト
[00:12:00.639] 派ですねこれはエフェクトいりますよね
[00:12:03.120] 全部のせだろなめんな全部のせだよな
[00:12:05.839] もりもりで行く
[00:12:07.800] ぜ1度やったんじゃないの笑いこの辺全然
[00:12:12.040] いじって
[00:12:14.720] ないおっぱいのれとかがオンになるので
[00:12:19.519] あらららら通信
[00:12:21.880] 体制何を対戦する要素があるのこのゲーム
[00:12:25.320] にえ自分が買いならした女行けってやれん
[00:12:29.959] のそういうことができるってことちょっと
[00:12:33.040] やばいねとりあえず行きますかストーリー
[00:12:36.519] うの戦うんじゃねシャンパンタワーの高さ
[00:12:41.160] ポケモンじゃん
[00:12:43.279] 笑笑育成ゲームなかもしれない育てて
[00:12:46.839] キャットファイトでもさせるのらした女
[00:12:50.000] やめろ笑ま僕は買われたいんですけど
[00:12:55.480] ねますテンション高いですね今はねかった
[00:12:59.600] のよこのゲームなんと中古で8000円え
[00:13:02.360] なこここ気になる
[00:13:03.920] ぜ思いきっ思い切って新しいカメラを買っ
[00:13:07.839] てみたけれどzvいてんだろうなzvEて
[00:13:11.760] んだろうなこれなzvE10俺が使って
[00:13:13.959] 10万するカメラなたからと言って
[00:13:15.680] イベントがあるわけでもないし俺が取るの
[00:13:17.600] と言ったら風景ぐらいだもんないや俺毎晩
[00:13:19.600] 自分の顔取ってんだけど10万のカメラ
[00:13:22.800] 買って自分の顔ずっと取ってだ物
[00:13:25.920] じゃんは可愛い彼女がいれば写真立つも
[00:13:29.760] 楽しいんだろうけどまあ物ねりは良くない
[00:13:32.279] よなふうさて帰るか自分も風景になる
[00:13:37.360] くらい絵になるイケメンてことだよけそう
[00:13:41.480] いやまうん明りだってそれお前繁華街入っ
[00:13:44.120] たら明かりだらけだろどれのこと言ってん
[00:13:46.480] だよ別に明りなんかこんなところに明りが
[00:13:49.040] おかしいなじゃないんだよ普通だろあんな
[00:13:50.800] とこにお店なんかあったっけ新しくできた
[00:13:52.759] のか
[00:13:54.079] な来ました
[00:13:56.240] ね完全にこんなと
[00:14:00.519] とこ良くないよこんなとこ絶対入っちゃ
[00:14:03.920] いけないってウキウキやんそれにしても
[00:14:07.160] 豪華なお店だなどんな人が利用するのかな
[00:14:10.160] ま俺には一生縁のないところかとか言い
[00:14:13.120] つつも自然と体が吸い寄せられていくそこ
[00:14:15.920] のピュアな紳士の方少々よろしいでしょう
[00:14:19.199] か僕のことです
[00:14:23.079] か何でしょうかいらっしゃいませピュアナ
[00:14:26.959] のドリームクラブへようこそどうも橋と申
[00:14:30.279] します楽しそうですねドリーム
[00:14:36.240] クラブぬるぬる動くじゃん本の今日この
[00:14:40.880] テンションで行ったら俺多分30分で
[00:14:42.440] やめると思うけど大丈夫
[00:14:44.240] 俺今日このテンションで行ったら30分で
[00:14:46.880] 死ぬと思うけど大丈夫
[00:14:49.360] はいそしておめでとうございますん
[00:14:51.440] でしょうか
[00:14:53.199] あこのクラブを会員として認められました
[00:14:56.279] 絶対怪しいでしょこれやばいでしょ絶対
[00:15:00.040] こんなのやばいぜ今日から1年間クラブの
[00:15:02.720] 会員としなんでですかははあドリームクラ
[00:15:05.399] ブって一体当店は心のピュアな方だけが入
[00:15:09.279] できる完全会員性のクラブです完全簡性の
[00:15:13.959] クラブ大丈夫か怪しい水とか売ってこねえ
[00:15:17.519] かおスウェイじゃねえのこれハウイおいお
[00:15:20.639] 世話になったら田中さん呼ぶ今日暇らしい
[00:15:23.360] しえあのさみんなって
[00:15:26.240] さあるえるに必要なのってさ時間とお金だ
[00:15:31.920] よねスウェイはそれどっちも叶えてくれる
[00:15:35.759] 権利収入だぞみんな権利収入ってわかる
[00:15:39.639] 権利収入これに関してはちょっと俺がいつ
[00:15:41.480] もお世話になってる田中さんに聞くのが
[00:15:43.839] 一番いいんだけどちょっと田中さん忙しい
[00:15:45.600] 人だから今ちょっと電話して聞いてみよっ
[00:15:47.399] かなんか奇跡的に暇かもしんないしかかる
[00:15:51.720] ぞ笑笑でも乗ってる車乗ってる車乗ってる
[00:15:55.199] 車ゴン
[00:15:56.560] ある片ボのこボルのボルのワゴあるだけど
[00:16:01.720] 大丈夫当店自慢のホストがあると楽しい
[00:16:04.800] 一時を過ごして
[00:16:07.120] いただきお客様にリフレッシュして
[00:16:09.560] いただくのが当店のサービスとなっており
[00:16:12.040] ますその証としてこちらを受け取り
[00:16:15.600] くださいあ終わった終わったこんなの
[00:16:18.959] こんなの受け取ったら
[00:16:20.560] 終わりこんなの受け取ったらお
[00:16:23.480] しまい受もくないですか
[00:16:30.040] 様て確かに怖もう名前もう名前バレてる
[00:16:35.360] 可愛いえ橋てんで知ってるのにいる子は
[00:16:39.000] 可愛いんだよなるほどキャッチねこれこれ
[00:16:42.399] キャッチなんだあキャッチかあなるほどね
[00:16:47.480] あるねキャバクラあるねあるねキャッチだ
[00:16:50.160] わはるさん
[00:16:52.120] こんばんはえちょちょちょちょ待って
[00:16:54.480] くださいよえ俺こんな高そうなお店の会員
[00:16:57.240] になれる金持ってないですよ
[00:16:59.519] いきなり会員に認められたって言ってご
[00:17:01.360] 心配なく会員は無
[00:17:04.150] [音楽]
[00:17:06.679] です
[00:17:08.480] は本にキッチがキチは番いでしょやっぱり
[00:17:13.480] 可いが出てくんじゃないさえお払
[00:17:16.480] いただければ週末ならいつで
[00:17:22.959] も払いただけれ週末なつも
[00:17:29.480] か暇なやがキャッチすんのよそうな太陽神
[00:17:33.720] 杯にこさんがサブスクしましたありがと
[00:17:36.720] ございありがとございますあの入場台の足
[00:17:39.480] にさせてもらいます女を落とす金にさせて
[00:17:41.360] もらいますすいませんあ助かりますあの
[00:17:43.039] ドリームクラブ通えるんでそれで助ざます
[00:17:45.200] 本当にいつも皆さん助ますえっとこの
[00:17:47.600] カードも無料ではいもちろんですなんだと
[00:17:50.480] このカードは会員の証であり当のご利用
[00:17:53.799] 実績を表すものなので忘れずに持っていて
[00:17:57.440] くださいねけるべここになんか縫いつけ
[00:18:00.760] ようぜなんかもうあの人体改造でもここに
[00:18:03.280] 入れちゃうみたいなチップあのでPみたい
[00:18:05.760] なここでナイスサブご利用実績怖い入れに
[00:18:10.120] しよう13ヶ月投げな13
[00:18:13.960] も13ヶ月サブハリボテいいですねね
[00:18:18.600] なんか1年行った人にはなんかあげたい
[00:18:21.520] なはいたしカードを持っていて
[00:18:25.559] もデュエルディスク
[00:18:30.080] お店に入できなくなってしまいます1年
[00:18:33.200] 更新なんだ松葉ありがとうやるよマジで
[00:18:36.679] いや渡るにもなんかね1年サブスク1年
[00:18:39.039] 記念でなんかああったらいいなと思うなん
[00:18:41.720] と1年でお店に入できなくなってしまう
[00:18:46.720] コ18か月なんかさんこんばんはさん
[00:18:50.240] こんばん18か月かすげえな更新
[00:18:54.840] 3万さん今日はですねインターネット
[00:18:57.919] キャバクラに行きますよお店に言うてね1
[00:19:00.880] 年でそれと当店は週末のみの営業となって
[00:19:04.840] おりますのであらかじめご了承くださいね
[00:19:07.280] あそうな
[00:19:08.240] のなるほど週末のみで期限は1年限説は
[00:19:12.360] 以上ですお分かりいただけましたか馬鹿
[00:19:15.280] わかったはあ多分なんとなくですけど本日
[00:19:18.320] は入会説明ということでまでになりますっ
[00:19:21.840] てくれよなって松葉渡そう次回からは素敵
[00:19:26.080] な女の子たちがお客様を出迎えてくれます
[00:19:28.440] よも素敵ですよ大変長い説い今のござお前
[00:19:34.559] な受付もなんか攻略できるルートありそう
[00:19:37.559] じゃないそれではまた次回お会いし
[00:19:39.720] ましょういつ飲めるんやごげよは女の子
[00:19:43.080] じゃない可能性も男かこれ今のキモかっ
[00:19:46.180] [笑い]
[00:19:48.159] たこうして俺は気がついた時にはドリーム
[00:19:51.640] クラブのと思って無理笑笑わらべてほど
[00:19:55.919] そういうこと言うキャバクラ見て
[00:19:59.200] ですそういえばあのクラブ週末だけやって
[00:20:01.679] るって言ってたな本当に俺あのお店の可に
[00:20:04.320] なったのかここは1つ騙されれたと思って
[00:20:07.200] 1度だけ行ってみようかなわらべて笑
[00:20:10.640] うわべてちゃま
[00:20:13.080] です3代目わらべてちゃまちょっと待って
[00:20:17.000] なんかここ気になるないらっしゃいませ
[00:20:19.480] もう来たようこそドリームクラブへあ
[00:20:21.799] ちょっと待ってくださいちょっと居酒屋
[00:20:26.159] でてる男か
[00:20:29.559] ちょっと待ってちょっと待って
[00:20:32.039] ねちょっとこのちょっとごめん今日
[00:20:34.720] グリーンバックだからやすぐ行くじゃん
[00:20:38.520] 笑笑よしよしよしこんなもんでいいか一緒
[00:20:42.799] に過ごす女の子を指名してくださいおもう
[00:20:45.080] 行くのおいおいどうすんのこれ誰行くよ
[00:20:49.600] おいみおちゃんまみおみおちゃんまえアカ
[00:20:55.039] レカちゃんレカでいいのかなえこれなん
[00:20:58.080] 絶対アカ
[00:20:59.840] やれかりさん中国人かもしれない中国人も
[00:21:04.880] いますと
[00:21:06.039] みやみやんみやんかごめんかやんかいやん
[00:21:09.760] かと思っ
[00:21:10.840] た中国おいおいおいるいちゃんおっぱいが
[00:21:16.200] 大きい
[00:21:16.730] [音楽]
[00:21:17.960] なひやかと思った俺今から登山すんのかと
[00:21:22.720] 思っこのゲーム走らんびっくりした笑笑
[00:21:26.440] びっくりしたありちゃん
[00:21:31.200] ちゃんはるか
[00:21:33.480] うん
[00:21:36.200] なんかお嬢様っぽくねアイりってなんか
[00:21:40.360] 何これちょっと耳耳になんかつけてる目
[00:21:44.240] 赤いなんかロボット
[00:21:46.400] みたい
[00:21:48.200] ののあでも可愛いこの子ロボットっぽいお
[00:21:52.240] 嬢様
[00:21:53.559] がわない絶対Sやろはちゃん
[00:21:58.960] 耳になんか鍋のネギつけてる子いるけど
[00:22:01.720] これ可愛くない見た目時代から金髪の
[00:22:04.200] チンネが好きなんだよ馬野郎ちょっと待っ
[00:22:06.400] てごめん熱なってきたわ熱なってきた
[00:22:10.480] 熱いもう外ハネしショート部屋はこの子
[00:22:13.960] だけやんあ参りちゃんもいいかいやののの
[00:22:16.760] ちゃん可愛くないネギちゃんがいいネギ
[00:22:19.640] ちゃんなんか耳にネギついとるけど熱いの
[00:22:22.559] 笑う
[00:22:23.640] 笑笑だよアカかなんかこの子さ
[00:22:29.799] リーったこんなや
[00:22:32.200] ねねブリーチて
[00:22:35.760] ブリーチ
[00:22:38.440] こんな確かに
[00:22:42.080] ポ
[00:22:45.550] [音楽]
[00:22:52.559] ちょっと待ってありますから
[00:22:58.760] えこの子いなくないこの子いきなりいなく
[00:23:01.480] ないこの子メインヒロインみたいな子あね
[00:23:03.480] ちゃんいないよねこの子ね説明書読むなよ
[00:23:08.480] え待ってなんかいない子いっぱいいるん
[00:23:10.679] ですけどゆきちゃん初見で決めろよせっ
[00:23:14.960] ちゃんかちょ待って違ちょちょ今日は出え
[00:23:18.400] 待って待って待ってめっちゃ可愛い子
[00:23:20.720] いっぱいいるじゃんえこの子た
[00:23:24.840] はいつ来んの後から出してくるんあ今日
[00:23:31.000] はえ8選ばる今日出してしてないんだ
[00:23:35.919] ごめん分かったキャラクターの説明は読ま
[00:23:37.679] ないわ今日のキャラクターの説明は読ま
[00:23:40.600] ないでいくわちょっとえどうするえまずで
[00:23:43.720] もまずちょっとみんな行ってみようよえ誰
[00:23:47.360] から行くきっと女の子からNG食らってん
[00:23:51.600] だろまだ初めてなんだけど笑
[00:23:55.880] アカアカ1回行っとくネギネギも行く
[00:24:01.159] よんカさんいいねカレカもいいねキリっと
[00:24:05.840] してて可愛いね全部行こうぜい全部行か
[00:24:09.880] ない全部行かない全部はかちゃんだってん
[00:24:12.720] だらずちゃゲが尻にしかれそうネギがいい
[00:24:16.960] なわかるいやこの眼見てくれこのおもう
[00:24:21.000] 進まねえぞ俺ここで2時間潰すぞおここで
[00:24:24.600] 2時間潰すぞあるあるだからねあのここで
[00:24:28.440] ってやってる時が一番楽しいんだよわかる
[00:24:31.000] か現実を見たくないパネルマジックだろ
[00:24:33.480] これ絶対君がすに選ぶ時のあの女なパネル
[00:24:37.679] マジックでしょこれ絶対これ実際もう
[00:24:40.480] ちょっとブ酒飲みもぜ笑笑酒飲んなんかで
[00:24:44.240] もさ絶対女の子と乾杯の時あるでしょ多分
[00:24:47.039] こう一緒に帰るあの女これなんだっけあの
[00:24:50.760] あいつねあいつに見えてきた俺もはかごめ
[00:24:55.320] ちょっとちゃん行っていいかねちゃ行って
[00:24:58.880] いいかののちゃんなるほどレムさん
[00:25:01.000] こんばんはのののちゃん行っていいすか
[00:25:03.440] ちょっと可愛いんで見た一緒だった気が
[00:25:05.480] するのののちゃんちゃんいこ可愛いもんね
[00:25:08.720] 可愛いよねこの子ねめちゃくちゃ
[00:25:10.720] ねご指名はのののさんですねのののちゃん
[00:25:14.159] なん名前よくわかんねけどののちゃんあ
[00:25:16.720] 可愛いじゃんえめっちゃ可愛くない
[00:25:20.080] こんばんは可愛い女の子ですねえちょっと
[00:25:23.159] 待ってよくよく見たいちょっともはいちょ
[00:25:26.279] よく見たいご指名はよく見たいアカさん
[00:25:28.919] ですねおおいや涙僕が
[00:25:32.799] セクそれではもう一度女の子を閉僕が
[00:25:39.919] セクス笑笑笑笑どうしたもんかなカイやん
[00:25:45.960] ちゃんはご指名はやんちゃんみさん笑笑
[00:25:49.880] かやさんは中国人たから多分在日中国人だ
[00:25:53.399] から多分日本語通じないと思うんでいやで
[00:25:55.520] も可愛いかやちゃんも可愛いな
[00:25:58.799] それではもう一度女の子を名してください
[00:26:02.320] 娘やなテンションがふりみたい笑笑そうか
[00:26:07.760] いや俺こうルイちゃん見てくださいよいや
[00:26:10.960] 絶対エロい絶対エロい絶対エロいマ営業超
[00:26:15.520] してるこれ絶対だピンクだもんその年で
[00:26:19.279] ピンクは痛いて何歳なんだろこの子右目の
[00:26:22.200] 涙トラブルのて言われてるエロい
[00:26:28.440] ピンクうせこれはドスケベピンクですよ
[00:26:32.240] おっぱいがだって一番出とるもんもう寒い
[00:26:36.520] 大きいはいノンピュア発言でできんそれで
[00:26:40.360] はもう一度女の子を指名してくださちょ
[00:26:43.440] から行きましょう海ですねちょっと
[00:26:45.520] とりあえず海だねとりあえず1ペロずつ
[00:26:50.320] 行こうぜ1ペロずつ何何何1ペロずつ
[00:26:54.039] 行こうぜひペロずつなご指名はののさん
[00:26:57.480] です
[00:26:59.039] す行くよこの子で行くよまずねまずこの子
[00:27:02.360] で行くからねいいな今日の茶げキモくて今
[00:27:05.240] の言動のままやってたら夜食リスナー1人
[00:27:08.279] もいなくなるぞ忍者1kgつ
[00:27:11.279] なめ行きますかしこまりましたそれでは
[00:27:15.840] こちらへどうぞよろしくお願いします
[00:27:17.640] よろしくお願いしますよろしくお願いし
[00:27:21.880] ます楽しみです
[00:27:24.880] ね楽しみだああ楽しみだ
[00:27:28.799] 可愛い楽しみだああ楽しみだ今ペロ好き
[00:27:33.120] 緊張し出すの笑いらっしゃいませ
[00:27:35.360] いらっしゃいまいや可愛いこのこの子誰
[00:27:38.360] お前のお前名前誰だ
[00:27:41.440] お前くじゃんわすごい急に緊張してるやん
[00:27:46.120] おおなんかえいなんかエロいなえエロくね
[00:27:50.480] 笑笑初めましてはいだよあ橋本と申します
[00:27:54.960] よろしくお願いします橋本と申します
[00:27:56.720] ホストクラブだよな履いてないエかなんか
[00:28:02.000] え履いてなかったそういうお店いかちゃん
[00:28:05.320] かネギちゃーん履いてないです
[00:28:09.000] ねそういうお店かもしかして間違あそう
[00:28:12.799] いうお店初めましてですからやってきまし
[00:28:17.320] 俺さちょ待ってあのさ俺の俺ホストああの
[00:28:20.679] キャバクラキャバクラて言ったことない
[00:28:23.080] んすけど1個言っていいなのおかしくない
[00:28:28.399] じゃないのなんで対面なの
[00:28:32.600] 面接女の子隣に行くんじゃないの笑笑なん
[00:28:36.320] でなんでなんで1対1で対面なんだよ対面
[00:28:40.240] ではないですね対面じゃねえよ普笑1回目
[00:28:44.039] は対面指名したら隣座れよな笑笑やべえぞ
[00:28:49.159] 未来だと動き読まれてるぞマグマずっと
[00:28:52.159] 飲んでね大面なのはガーズバーとか
[00:28:54.919] スナックとか婚活か初めまして
[00:28:58.159] 未来からやってきましたなるほどそういう
[00:29:00.720] 感じの子ですねてみて
[00:29:03.760] 笑のカメラ横に乗せて俺をじゃあさ俺を
[00:29:08.880] じゃあ
[00:29:11.000] さここここじまこういうことこういうこと
[00:29:14.799] だ後ろ向いて笑笑俺の女なんだよあみんな
[00:29:19.320] 紹介するわ笑笑俺の女大になって俺の女ね
[00:29:24.600] 俺の女あそういうこと
[00:29:28.320] どこあどうもうござますあかいらしいお
[00:29:33.000] ですねあ
[00:29:35.559] 笑笑
[00:29:37.120] 笑笑してほしい
[00:29:41.420] [音楽]
[00:29:42.919] 笑笑笑これはひどい笑笑頭が高いそれでけ
[00:29:49.279] おっぱい見えね
[00:29:52.880] じゃ俺の
