[00:00:00.040] いつの前かけの底根に見えている
[00:07:33.319] といてよかったテバイヤーでよかったテ
[00:07:36.240] バイヤーに生まれてよかっ
[00:07:37.460] [音楽]
[00:07:40.120] た何これ
[00:07:44.560] ほおこれはいい
[00:07:47.840] ねここは取りにくるべきだわ女神像があだ
[00:07:52.159] こうだでも三勝の残りががこれはいいね
[00:07:56.159] トネの汗のきったねトネのなんかの匂が
[00:07:59.520] するわじあのじじ汚ねえで風呂まんねえ
[00:08:03.639] から皮脂の匂いがしてきたプンプンしてき
[00:08:08.520] たおい待てさっきさっきここでさ宝が取れ
[00:08:14.120] ねえって言ったのあの親父はどこ行ったん
[00:08:15.840] だ死んだん
[00:08:17.540] [音楽]
[00:08:20.159] かトルネだとれる可能性あったかねそうだ
[00:08:24.319] ねだから怖いからこかった仲間にしたら
[00:08:26.680] すぐここ来る人は多いとは思うええ
[00:08:30.639] おいここでさっき言ったあの荒れはどこ
[00:08:32.719] 行ったの死んだのあいつは俺が水をここに
[00:08:35.719] 落とした
[00:08:36.680] からうおこれは
[00:08:41.030] [拍手]
[00:08:44.240] マジ
[00:08:47.240] ほんまあそうまいやろうますぎ邪魔顔ね
[00:08:54.959] すぐたい
[00:08:56.680] でしょんだから笑
[00:09:01.480] うまい
[00:09:04.640] うわ
[00:09:07.920] うま
[00:09:11.279] うまう
[00:09:17.800] ああでも鉄来てるな来てるけどまあまあ
[00:09:22.200] まあまあまあまああっそこれはうまい
[00:09:26.920] ねなるほどみんが分かったわ買必要なんて
[00:09:31.000] なかったんだなるほど
[00:09:34.279] やったねすごいねここ来てよかったやった
[00:09:37.640] やったたらわかるやろもっと先に行けるで
[00:09:41.160] もっと先行けるあま奥あったねまだねまま
[00:09:45.040] ちょっとなんかこっちなかったっけこっち
[00:09:47.760] は
[00:09:49.920] [音楽]
[00:09:59.640] レベ1勇者鋼の剣あるあるあそうなん
[00:10:06.399] だいや
[00:10:10.160] うまおいしい闇感謝感謝まだいっぱい
[00:10:14.000] いっぱい食べたいな
[00:10:21.320] [音楽]
[00:10:31.880] そっ
[00:10:34.680] めろおマニがレ
[00:10:37.310] [音楽]
[00:10:42.000] ップスハッピースマイ
[00:10:44.490] [音楽]
[00:11:04.160] まだこの部屋この辺には宝の匂いがする
[00:11:06.680] くんくんくん宝の匂いがします
[00:11:12.800] ねあああ何やってのお前
[00:11:16.079] じじさっきよ上から水が溢れてきてく
[00:11:19.240] 溺れるとこだったぜまおかげで宝箱が
[00:11:21.680] 取れるかなでも俺ってもどうやって帰れば
[00:11:23.760] いいんだ
[00:11:28.900] [音楽]
[00:11:31.160] バカ
[00:11:32.120] が俺の宝を奪ったバツだそこで死に
[00:11:36.040] [音楽]
[00:11:38.200] なさい俺のパを取ってなければ
[00:11:43.760] 地獄怖いよね今起きたけど地獄見
[00:11:48.440] [音楽]
[00:11:50.420] [拍手]
[00:11:55.079] たて
[00:11:58.240] ぜやったらだいぶやって頑張っ
[00:12:02.910] [音楽]
[00:12:11.079] たおいレベルアップが止まんねえ
[00:12:14.850] [音楽]
[00:12:16.320] ぞルーラ覚えたもう怖いもんなしじゃねえ
[00:12:20.279] か
[00:12:20.959] よこっちはあ何もないのね
[00:12:31.680] [音楽]
[00:12:35.199] いやここはいい洞窟だ
[00:12:43.199] なあなるほど
[00:12:47.760] ねえこれ銀の女神像ってどうすんのこれ
[00:12:51.199] なんかあん
[00:12:55.279] の売れないのこれ
[00:13:05.440] [音楽]
[00:13:07.920] ただのアイテムと貸し
[00:13:11.959] た薄っぺらなメモリアルと貸した薄っぺら
[00:13:16.800] なメモリアルとかしたのじさんに売れたあ
[00:13:21.040] の持ちが買うんだよねあやっぱりこれもう
[00:13:23.639] ただのアイテムなっちたん
[00:13:25.320] だクソ臭い便こそマイホ
[00:13:29.279] ふくれるライフからドマ
[00:13:32.000] ゴーゴーレキコカにデット
[00:13:35.570] [音楽]
[00:13:38.920] ボールブキてめーキス
[00:13:52.190] [音楽]
[00:14:01.399] 猛
[00:14:02.530] [音楽]
[00:14:03.839] ドメスト分かるやつがいてよかって俺が変
[00:14:06.920] なこと言ってるやだけみたいになっちまっ
[00:14:08.480] た誰もわかんなかったらゲなんかわけ
[00:14:11.240] わかんないこと言ってん
[00:14:12.959] なもう
[00:14:15.240] トレスポ
[00:14:20.120] ハリケン別
[00:14:24.199] 界は
[00:14:30.959] に震わせてあらあと梅に
[00:14:35.839] く下のパート歌うから俺
[00:14:38.880] は下のパートを歌う
[00:14:42.079] からもういそり生まれた
[00:14:48.839] ならああ眠
[00:14:52.440] てちょっとじゃあの身代わりの洞窟だっ
[00:14:55.199] けんだっけ忘れちゃったけどさちょっと
[00:14:57.360] あれちょっと起きてからで寝る俺5時5時
[00:15:00.360] だしちょうどいいし寝るべあマホかわもう
[00:15:03.959] その呼び方だめだわマホルってなんだよ
[00:15:07.360] ホルモンって略してくれなんだマキホルっ
[00:15:11.040] てホルモンね
[00:15:13.400] [音楽]
[00:15:16.320] ホルモンマキホル警察だから
[00:15:18.860] [音楽]
[00:15:20.440] 俺マキシマムザホルモンそうだでも
[00:15:23.839] マキシマムザのことマキシマムザホルモン
[00:15:26.720] のことマキホルって略すと
[00:15:29.519] 怒らと女の子2人で止まったら何が起きて
[00:15:33.000] もあるのでおかしくないね最そういうエあ
[00:15:37.560] 笑レドならバトルトド
[00:15:41.639] 行く冒険を続けられませんありがとう
[00:15:45.519] ございました疲れたんで1回寝ますすい
[00:15:47.560] ませ
[00:15:48.800] ん
[00:15:50.639] マキホル切っちゃうよあざっすあざっすあ
[00:15:55.360] ざしたお疲れ様でしたお疲れちゃん
[00:15:59.639] 顔見せね寝るよまたちょっと起きたらすぐ
[00:16:02.319] 再開しようお疲れ様でし
[00:16:06.000] たれいや頑張ったな12時間もやら十分
[00:16:11.279] やろただ
[00:16:13.079] もう第5章も始まったなおつちゃまよく
[00:16:17.720] 頑張ったよれば分かる
[00:16:23.600] ゆで俺たの険もつに始まったのよ
[00:16:29.240] こやってんだへ俺もやってたよ上ちゃんに
[00:16:32.399] 憧れてサドスキのベース買ったよ同じやつ
[00:16:36.120] 30万もっちゃったけど
[00:16:39.519] えザホルモンホルモンね
[00:16:44.000] えっとレドします
[00:16:47.519] よ誰かやってるか勇者の冒険がスタートし
[00:16:52.079] たちょっと今日ちょっと寝て午前中
[00:16:55.680] ちょっと寝てで起きたらって感じでであれ
[00:17:01.079] だなそのうんそう
[00:17:04.120] しよう起きたら再開って感じでで5章
[00:17:08.439] 頑張っていきましょうお付き合いいただき
[00:17:10.280] ありがとうございましたなかなかと初めて
[00:17:11.799] 聞たまであるお疲れ様お疲れさまたよかっ
[00:17:14.679] たら見てくれお昼頃から再会でおつでした
[00:17:18.160] お疲れちゃん
[00:17:20.199] ありがとうまた続き見てくれ腕ゲすこじゃ
[00:17:24.039] ねお
[00:17:26.160] やすみじゃあ1が勝ちですねあそうだそう
[00:17:30.600] だ待てそうだった忘れたごめん待てです
[00:17:34.640] そうだそうだごめんそうだったじゃあとば
[00:17:37.080] 確定しようとば確定しよう忘れてた危ねえ
[00:17:41.320] 危ねえ危ねえおつおつありがとなマムもな
[00:17:43.440] マム考えといてなゲム500Pがはいし
[00:17:47.080] ないということでありがとうございます
[00:17:50.039] ありがとうございますじゃ1度寝る1度寝
[00:17:52.440] ますな感じでまた夜会いましょうぬ1
[00:17:55.640] ポイント失ったポちゃんは夜しか来れねか
[00:17:58.080] ま多分夜までやるから大丈夫お昼頃から夜
[00:18:00.200] からやる夜までやる考えとくねおいよ
[00:18:02.440] ありがとなおんでくださいありがとうまた
[00:18:06.200] 遊びに来て
[00:18:09.320] ねじゃレイド
[00:18:13.360] はワンヌさんにしようかワンヌ
[00:18:16.480] さん苦労したやんワンヌさんに行く
[00:18:23.080] わこっち見て
[00:18:25.559] よ見て見てるよ見てる
[00:18:30.159] 言っとけどおおらだって俺の配信なんか見
[00:18:33.240] ねでコメントで盛り上がってること
[00:18:34.600] いっぱいあんじゃね
[00:18:40.320] か地獄ウク出た
[00:18:43.039] 今地獄
[00:18:48.240] ウンこういうよこれから
[00:18:54.840] はからこういうですから代は
[00:18:58.830] [音楽]
[00:19:00.700] [笑い]
[00:19:04.799] これワイプ出してる意味全然ね
[00:19:08.600] だワイプ出してる意味全然ねえだろ
[00:19:15.400] これでもろ
[00:19:17.400] て逃げ
[00:19:19.440] だ
[00:19:23.039] 笑笑めっちゃペース上がってきたんだが
[00:19:34.919] 右から2番目めちゃくちゃ俺の後ろ姿に似
[00:19:37.559] てるわ今までの全てイメージの中で起きて
[00:19:40.880] いた俺か風呂入ってありがとうおやすみ
[00:19:44.240] あれエンドロール流れた流れてないねまい
[00:19:46.360] 回行っかおやすみありがとねイさんに冷凍
[00:19:49.880] しますおやすみなさいましまたお会いし
[00:19:53.400] ましょうチマゲームでした
[00:20:14.520] 危ねえあちゃま
[00:20:17.120] さんちゃまさんこんばんはちゃまさん
[00:20:20.320] こんばんはえっとねごめんねごめんね挨拶
[00:20:22.280] したいんですけど挨拶挨拶っっていうか
[00:20:23.840] ごめんねあのちゃさんこんばんはちょっと
[00:20:26.760] ごめんちょっと待ってちょっと待ってね
[00:20:33.120] 今ちょっとピコさんと退中で今ごめん
[00:20:37.039] ねさんこんばんは何回でも何回でもさん
[00:20:44.600] こんばんは今ね今ねさんこんばんはちょ何
[00:20:47.480] 回でもい何回でも今ねさんとねマラソン
[00:20:51.440] マラソンレース中なんです
[00:20:54.480] 何ステージクリアできるかと
[00:21:02.440] ありがと平蔵頑張ります頑張ります
[00:21:04.559] ありがとうござい
[00:21:07.039] ますいやドラクエのあれだよねあれやっ
[00:21:10.240] てるよねなんだっけあの人生プレイやっ
[00:21:13.200] てるね人生プレイそう人生プレイだよね
[00:21:14.600] あれやってるよねあの7人生目やプ人生
[00:21:18.200] プレそそう人生プレだよ
[00:21:19.720] ねあの7人生目ってやつ7人生目ってみた
[00:21:23.080] 今何何台目今何台目7人目みたやっと
[00:21:27.720] 始まりましたやっ
[00:21:29.039] やった
[00:21:30.360] ぜやったぜやったぜやった
[00:21:34.919] ぜやったぜまだまだこれからだぜやった
[00:21:40.559] ぜまだまだこれからだぜやったぜみなの
[00:21:45.679] タロットであなるほどいやなんかもう2度
[00:21:49.320] とタロット使わねえっていうセリフ聞いた
[00:21:51.480] よ聞いた聞いたそれあれで全滅かなんか出
[00:21:54.919] たのかなあのみんな死ぬみたいな
[00:21:58.840] 全滅かなんか出たのかなあのあったよね
[00:22:01.200] 確かねみんな死ぬみたいな選択
[00:22:04.200] 肢あったよね確かねみんな死あの敵も味方
[00:22:07.480] も全員死ぬみたいなえっとフォロー
[00:22:10.400] ありがとうございますあの敵も味方も全員
[00:22:12.360] 死ぬみたいなあやっやっちゃった1番1番
[00:22:18.840] 面白いやつ1番面白いやつ1番面白いやつ
[00:22:22.120] ね1番面白いやつ1番面白いやついいじゃ
[00:22:25.000] ない最高最高じゃないですか最高じゃない
[00:22:27.240] ですか
[00:22:29.240] いいじゃない最高最高じゃないですか最高
[00:22:31.400] じゃないそれでこそでしょそれでこそそれ
[00:22:33.480] でこそちゃまさんでしょそれでこそそれで
[00:22:36.640] こそでしょそれでこそうこなくっちゃった
[00:22:38.240] やつねそれで
[00:22:40.919] こそそうこなくっちゃったやつねあみみ
[00:22:44.480] さんこばはレイドからありがとうござい
[00:22:45.679] ますあれやべお配信止まってないあやべ
[00:22:49.640] 配信配信切り忘れてあぶねえ今俺鼻くそ
[00:22:52.440] 止まっ鼻くそほじってた危ねえカメラオフ
[00:22:55.240] よかったワンちゃんはねながら可いだドし
[00:22:59.720] たんだよもう寝るって鼻くそほじってたわ
[00:23:01.679] 危ねえててよかったよかった危ねえ鼻くそ
[00:23:05.039] ほじってた知ってました危ねえありがとう
[00:23:07.720] しまおやみもう寝る
[00:23:10.200] わ危ねえおじゃあ
[00:23:14.039] な今日も可い起きるかねさよならおみ
[00:23:17.840] ありがとねです
[00:23:21.520] よ頭おかしい
