[00:00:00.000] OG
[00:03:26.959] ますちょっと攻略サイトと終わらんわこれ
[00:03:30.400] レのシーン派もう大丈夫なんあもうもう
[00:03:32.799] もう終わったよそこ終わったそれはもう
[00:03:35.439] 終わった終わった
[00:03:36.599] えっとねなんだっけえあのあのあの攻略
[00:03:41.400] サイトどこだったか
[00:03:43.959] なああったあったこれこれ
[00:03:48.480] これおしやろう
[00:03:51.760] かまちょっともう明日も仕事なんでてか
[00:03:55.159] もういつまで仕事やね俺みんな何もう
[00:03:57.519] ゴールデンウィーク入ったお前らもう
[00:03:59.159] ゴールデンウィク入った
[00:04:00.799] のいいなまだゴール3日からだからさ
[00:04:04.480] 明日明後日って仕事なんだ
[00:04:06.760] よはなぜ1とには仕事ああ一緒だね1に昨
[00:04:12.319] から7日までうわいいじゃんめっちゃ休み
[00:04:14.640] よるじゃん10日間うわ6日間ぐらいしか
[00:04:17.519] ない5連休かなああ全然いいじゃないです
[00:04:19.919] か5連休
[00:04:22.000] か昨日から7で休みうわいいねいいね
[00:04:26.720] ホワイトだねああああ
[00:04:31.800] えーちょっと待ってくださいだからの実
[00:04:35.160] 関係ない
[00:04:37.680] うわでもそれってさこっちとは関係ない日
[00:04:41.000] に休みってことなんじゃないのそういう
[00:04:42.360] ことじゃないそういうことじゃなくてウェ
[00:04:45.120] はいチスお疲れちゃんチスもお疲れえー
[00:04:50.280] ちょっと待ってねフルちょっと待って
[00:04:52.680] マイクマイクええ
[00:04:58.210] [音楽]
[00:05:02.080] あ
[00:05:04.000] あノイズゲートの国が
[00:05:08.160] 休み
[00:05:10.880] あコンプレッサー
[00:05:15.120] さんねえなこマイクの音声最近悪いなと
[00:05:19.639] 思っ
[00:05:21.199] てあのろうかなと
[00:05:25.840] 思っよくわかんねんだよなまいいやまいっ
[00:05:29.080] か
[00:05:30.479] 米国が休み時休みマジでま主人さん休み
[00:05:33.840] ないイメージだわめちゃくちゃ休みない
[00:05:37.800] イメージはあヘイ
[00:05:40.440] ああまあまったりやりましょう今日も
[00:05:43.120] ちょっと2時ぐらいまでまったり進め
[00:05:45.639] られればなというところでございます
[00:05:53.400] ねやべなんかめっちゃだから昨日
[00:05:56.680] さ正直昨日ねコラボしてたけど
[00:06:00.639] 全然寝てなくてちょっとだいぶだいぶ
[00:06:03.960] なんか
[00:06:05.080] あのギャーギャーさくような感じでは
[00:06:07.400] なかったんだけどでもなんか楽しくできた
[00:06:08.919] からよかった
[00:06:10.560] ね今日信じらんないくれねちった6時
[00:06:14.680] ぐらいまで配信してていちゃんとで6時
[00:06:18.400] ぐらいに終わってなんだかんだ7時ぐらい
[00:06:20.120] まで起きててでそのまま寝て午後ちょこて
[00:06:22.960] 用事あったから1時間ぐらい出かけて帰っ
[00:06:24.560] てきて昼寝しようと思って寝たら今起き
[00:06:26.840] たら9時半で
[00:06:29.759] 全然やべえと思ってどうもこんばんは
[00:06:32.759] ちゃまゲームおらあらあらあらあらあら
[00:06:36.160] サブスクあざすサブスクざす2ヶ月連続
[00:06:40.080] 累計5ヶ月あざすあるちゃんこんばんは
[00:06:43.160] いや寝すぎって言ったってな寝すぎって
[00:06:46.639] 言ったってだって寝てないもんだってあい
[00:06:49.919] ちゃんお疲れいろちゃんお疲れさんでした
[00:06:51.960] 昨日は昨日はお疲れ様でしたありがとう
[00:06:55.039] ございました面白かったすね面白かったす
[00:06:57.000] ねナイスサブ
[00:06:59.800] お疲れちゃお疲れ様でしたおもろかったね
[00:07:02.599] おもろかった最後の雑談がおもろかったね
[00:07:05.280] ゲームももち面白かったけどまそんな感じ
[00:07:07.240] で今日はあラスト春まけドーンをですね
[00:07:10.759] やろうと思います
[00:07:13.199] よ今日が変わっゲームのイベがあるから
[00:07:16.879] 落ちるかも何ゲームのイベントっ
[00:07:19.639] てえ綾さん何やんのゲームって今の高校生
[00:07:24.039] ってどんなゲームやん
[00:07:26.680] の音入ってっかこれちょっと待ってえ望の
[00:07:30.240] ラスハゲ待望
[00:07:35.240] でしょモンストくらいやねあやるんだ
[00:07:38.479] モンストはあはあええ音大丈夫すかねこの
[00:07:41.680] 感じで進撃コラボなんであー進撃の巨人あ
[00:07:46.440] そうそうです
[00:07:49.180] [音楽]
[00:07:52.479] か久しぶりにオープニングの見ようか
[00:07:56.240] な今となってはもう第2章
[00:08:02.039] なちゃが
[00:08:04.520] ちっちゃいちゃちくい
[00:08:08.720] だ読ちゃんちっちゃくても別にいいんだよ
[00:08:12.400] おらが寂しいかちょこだけあげてちょこだ
[00:08:16.039] が限りなく
[00:08:20.400] 続くさんお疲れ様です今日もやります
[00:08:23.680] よじる
[00:08:29.720] ゴールデンウィーク2日目終わりました
[00:08:32.479] その力のを俺0日目なんだ地の奥に眠る
[00:08:37.200] 生命を呼びまし
[00:08:39.360] たきます始まってすらないえ行きましょう
[00:08:44.120] かはいはいはいこちゲ仕事ですだろな俺も
[00:08:46.600] そうだよ仕事だ
[00:08:50.320] よどこまで行ったとか全然覚どこまでとか
[00:08:58.440] 明日ちゃ頑張っていこうなああああね音
[00:09:02.519] でかいこれで
[00:09:04.040] いいこれでいいかな頑張ろうな頑張って
[00:09:08.279] くださいおあ青んじゃねえぞゴールデン
[00:09:12.800] ウィークまで仕事の人間
[00:09:14.760] を俺たちの俺たちのこつが見てみろ
[00:09:20.560] よ夢も希望もねえ顔してるだろ
[00:09:25.000] えーこのパーティーめっちゃ弱えんだよな
[00:09:27.600] 確かなめちゃくちゃ弱いから
[00:09:32.720] やべえなかそ魔法が違うはつが違うよな殺
[00:09:37.480] 湧いてるよマジでゴールデンウィークも
[00:09:40.200] 仕事の人間のおかげで日本っての回ってん
[00:09:42.200] だよお前ら勘違いするんじゃねえぞお前ら
[00:09:44.320] がノノと遊んでる間も働いてるやがいる
[00:09:46.320] からなゴールデンウィークどっか出かけて
[00:09:48.720] も店がやってるしね飯食いってもな飯が出
[00:09:51.760] てくんだよまあ言うて俺も3日から休みだ
[00:09:55.120] けど3日から休みだけどゴールデン
[00:09:57.920] ウィークののか知らんやろ電車通勤じゃ
[00:10:01.600] ねえも
[00:10:03.360] これ葬式や
[00:10:07.120] ぞでゴールデンウィーク仕事のやつらから
[00:10:09.880] したら知ったこっちゃねえて感じ最高だよ
[00:10:11.920] な3えチャドビってどんくらい休みなの3
[00:10:14.920] 連休だけあ黒太さんこんばんは式なのか
[00:10:18.160] クボさん
[00:10:22.800] こんばんは今日はやりますよまでも明日
[00:10:25.800] 仕事なんでそんな長くできないんですけど
[00:10:27.240] ね3.4.5
[00:10:29.480] 345だけうわそれだけしかないの
[00:10:31.640] しんどいなさすがに俺俺何日休みなん
[00:10:35.360] だろうえっとねちょっと待ってね俺はね
[00:10:37.839] えっとねえ3から7までだからまあ5日間
[00:10:42.920] かま5連休あったら全然いいよなで腕傷し
[00:10:46.200] た
[00:10:46.839] よなんで6仕事7休みああ連休ではない
[00:10:51.040] けどまちょくちょくある感じかまあるだけ
[00:10:53.519] まだいいよなあるだけまだいい言い方
[00:10:55.240] ちょっとあれだけどあるだけまだいいよな
[00:10:57.399] エロいちょっとなんかいい敵カレンダー
[00:10:59.959] 通りだねそうだねカレンダー通りだ
[00:11:02.560] ねあるだけいい5日間休みなんでちょっと
[00:11:06.480] ねあのま大それたことはしないけど
[00:11:10.279] ちょっと長めの配信24時間とかちょっと
[00:11:12.720] やろうかなと思ってるんだよ
[00:11:14.440] ねあのガチャでさえっとなんだっけえっと
[00:11:19.639] ねあのしもきちゃんが当ててくれたえっと
[00:11:25.440] どんなゲームでもクリアまでやらせる件
[00:11:28.000] っていうゲームがあるんですよそれを
[00:11:29.399] ちょっとやろうかなと思っ
[00:11:31.079] ていや時間ねえとできねえじゃんそういう
[00:11:33.720] ことってちょっと久しぶりにちょっとな
[00:11:36.040] 最近さ短い配信しかないんでまさかだよ
[00:11:40.240] そのまさかだよやんなきゃいけねえ
[00:11:42.320] だろいたわしもきちゃんなきどうも
[00:11:45.560] こんばんやりますからねあなたの
[00:11:46.519] リクエストえファミコン版えボボコスカ
[00:11:50.279] ボーズボコスカボーズをえクリアまでやり
[00:11:54.680] ます終わらないかもしれない終わらないか
[00:11:57.639] もしれないけどうお疲れ怖えよ俺あれやる
[00:12:02.079] のあ自動しちゃったあそさんもお疲れ
[00:12:05.720] ちゃんソさんもお
[00:12:07.680] 疲れ
[00:12:09.519] 地獄な
[00:12:11.680] 噂の噂のゲです運が良ければ5分で終わる
[00:12:16.079] わ運が悪かったら3日間かかって終わん
[00:12:18.320] ないと
[00:12:21.199] 思うまこのぐらしやる時間ねえなっていう
[00:12:24.519] こと
[00:12:25.680] であのねとまだねー見たことないからあれ
[00:12:29.959] かもしんないけどねあのゲーム最初に笑っ
[00:12:32.360] てられるの30分だけだから30分過ぎ
[00:12:34.880] たらマジかこれと思ってくるよこれやるの
[00:12:37.000] と
[00:12:38.840] [音楽]
[00:12:42.079] 思うまずあのゲームをクリアまで耐久させ
[00:12:44.959] るっていう考えをです
[00:12:46.800] ねあもそれもだからもう多分500回
[00:12:49.639] ぐらい歌うことになるから任せてくれ笑
[00:12:52.639] こんばんはあやちゃんこんばんはやちゃん
[00:12:55.040] もこんばんは今日はこのゲームをしばいて
[00:12:58.279] いきますよ
[00:12:59.350] [音楽]
[00:13:00.720] あの
[00:13:01.839] ゲーム読めないねどんくらいでクリアとか
[00:13:05.079] そうそうそうそう
[00:13:07.639] そうあのゲームをクリアまでやらせようっ
[00:13:10.240] ていうあそうだんそうそうそうそうそう
[00:13:12.639] ラスゲまた初めからやってくよ初めから
[00:13:15.199] やってますよでももうなんかだいぶ中盤
[00:13:17.720] 越して終盤に差しかかってきたとこなん
[00:13:20.880] じゃないのか
[00:13:22.440] なでもこ半年前ぐらからってるけど
[00:13:29.240] 分かってるからさ進み早いよねこれパート
[00:13:31.360] 7でしょパート7って俺まだ前回地下にい
[00:13:33.959] たから
[00:13:35.440] ねここまで戻ってくるのだいぶ早いよ
[00:13:38.800] [音楽]
[00:13:41.040] ねえチェルキー覚えてるのま魔法とかこう
[00:13:45.160] やっていっぱい覚えてるのがやっぱでかい
[00:13:46.600] わね前殴りだけだった
[00:13:51.190] [音楽]
[00:13:53.440] から
[00:13:55.120] よしただねドラゴンとかスフィンクスとか
[00:13:57.759] ねパーティ全部そかまだ1回ずつね合体
[00:14:01.800] 残ってるんだよだから弱いんだなこいつら
[00:14:06.120] 合体終わ気持ち
[00:14:07.130] [音楽]
[00:14:09.279] 悪る敵のデザインがなんかかなりなんか
[00:14:12.759] 独特という
[00:14:15.720] [音楽]
[00:14:17.320] かBGMやっぱいいよななんか外れねえわ
[00:14:21.240] マジでこれのねあれなんだよレコードが6
[00:14:24.000] 月に届くんだよめっちゃ楽しみじゃない
[00:14:26.480] めっちゃ楽しみじゃないって言ってもお前
[00:14:27.800] ら別楽しみじゃねえだ思うけど超楽しみに
[00:14:29.639] してんだよねこれのレコードが手に入るん
[00:14:32.240] すよ6月にめちゃくちゃ楽しみだ
[00:14:37.720] わくポチってるよあしポチってんだわわあ
[00:14:42.600] 自信
[00:14:44.079] だこ自信システム楽しみでしょまた
[00:14:47.880] レコード配信してのするする全員で
[00:14:50.720] 聞こうあとさあれなんだっ
[00:14:55.399] けあのねあれなんだよ
[00:14:59.720] あちょっと待っ
[00:15:02.560] てロックマンエグゼってこい配信でやった
[00:15:05.480] じゃん何ヶ月か前にあれのレコードも出ん
[00:15:08.320] だよねやばくないどした
[00:15:10.759] 最近ゲームレコードゲームレコード界隈
[00:15:15.360] 暑いぜ
[00:15:16.720] 今あいうのって大体さ年に1回か半年に1
[00:15:21.120] 回なんか自分の好きなやつ出ればいい方な
[00:15:23.000] んだよなかなかレコードドってねたくさん
[00:15:26.279] リリースされるもんじゃないから
[00:15:29.199] たまたまかもしんないけど俺の好きな
[00:15:30.680] ゲームのレコードめっちゃ出んだよが売と
[00:15:32.759] いうことを知ってしまったんだいやまあね
[00:15:35.079] レコードドって欲しいやつはどんだけ値段
[00:15:37.680] つけても買うからねただ全員が買うもん
[00:15:41.040] じゃないからやっぱ作る方もめちゃくちゃ
[00:15:43.199] コストかかるしだからね簡単になんか作っ
[00:15:48.279] て売れるもんじゃないんだよなレコー
[00:15:50.000] ドドってレコード作るのめちゃくちゃ金
[00:15:52.680] かかるから日本で作れるのって1者しか
[00:15:55.319] ないんだよ今レコード作れんのってまあ
[00:15:57.399] いうゲームのレコードは海外が作って
[00:15:59.160] だろうけどやっぱめちゃくちゃお金かかる
[00:16:02.079] ことだ
[00:16:04.360] し高いからねCDの倍以上値段する
[00:16:09.360] からやっぱねああいうのねすごくねなんて
[00:16:13.600] 言うのかな所有欲がすごい満たされるんだ
[00:16:16.360] よね所有欲がめちゃくちゃ満たされるんだ
[00:16:19.360] よあでかいだってこんなでかいジャケット
[00:16:22.319] がこんなでかいジャケットにさこのラスト
[00:16:24.920] ハルマゲドンのさ絵書いてあったら
[00:16:26.199] めっちゃテンション上がる
[00:16:27.920] でしょあと部屋の模様替えもしてんだよな
[00:16:31.880] 部屋の模様替えもしたいわなんかこの部屋
[00:16:35.519] あ来たこの部屋飽きちゃった
[00:16:40.040] よなんか部屋の模様替えもしてえなと思っ
[00:16:42.800] てなんか時間がある時ゴールデンウィーク
[00:16:45.000] 中やろうかなと思って
[00:16:50.800] 何何何あれ聞いた
[00:16:54.279] 何何
[00:17:03.440] 笑笑さっきの
[00:17:05.520] やつ聞いて聞いたよ聞いたよ聞いたよあ
[00:17:10.439] さんこんばんは終わんねえなこれマジで
[00:17:13.919] 聞いた聞いた全然違うやつ
[00:17:16.000] ね聞いた聞い
[00:17:20.919] た
[00:17:22.880] こんばんはえさんエさんもこんばんは今日
[00:17:25.640] もやってき
[00:17:27.039] ますありがとう
[00:17:30.320] 璧全然完璧じゃねもう1回くかもう回聞く
[00:17:35.030] [音楽]
[00:17:37.840] かもう回
[00:17:48.840] 聞く通知音消えたんかないんかサブスクえ
[00:17:53.280] あるよあるよ完璧
[00:17:55.320] じゃん全う
[00:18:00.000] んだ遊戯のアイキャッチ知らない元ネタ
[00:18:02.320] 知らねんだろうなと
[00:18:04.400] 思っさん
[00:18:07.000] こんばんは全然
[00:18:11.440] ちん遊戯なよ
[00:18:15.080] これGXのキャてだっ
[00:18:21.040] [音楽]
[00:18:22.880] どうだっ忘れちゃっ
[00:18:25.159] たお水飲みありがと
[00:18:32.520] え
[00:18:36.760] コスマ
[00:18:38.320] 何何何URL
[00:18:41.720] 省略わざわざ
[00:18:45.640] わざわざ遊戯王アイキャッチ
[00:18:51.039] 数あこれ
[00:18:54.559] でちょっと待って
[00:18:58.840] ヒーローシリーズのハード使うやつだっ
[00:19:01.600] けあ
[00:19:04.100] [笑い]
[00:19:07.840] レレ
[00:19:11.320] でしょ
[00:19:14.480] レレてかいいね悪くねえじゃん変えようか
[00:19:19.440] な変えようかな大チマゲーム第2期って
[00:19:23.440] ことでチマゲームGXってことで変えよう
[00:19:26.080] かな
[00:19:29.150] [音楽]
[00:19:32.159] 笑笑
[00:19:33.280] [音楽]
[00:19:36.440] か懐かしい遊戯王めっちゃ見てたかんな
[00:19:40.480] 遊戯にて
[00:19:44.640] のィ
[00:19:47.760] の今は俺ん中でマゲーム第3期だと思っ
[00:19:51.240] てるよ第3期だと思っ
[00:19:54.880] てる分かる面白いね
[00:19:58.760] あれだよねあの俺あれめっちゃ好きなんだ
[00:20:00.400] あの曲改正上昇ハレルヤせぱ
[00:20:06.640] ハレルヤ今だほげ仲間と共に海晴の空
[00:20:18.960] のしえられないものはない風をありどこ
[00:20:24.640] まででも自由にける
[00:20:29.000] の悪口やめろよ今日も元気に
[00:20:32.080] れ限界バトルぶっ飛ばし夏あれだあのなん
[00:20:37.280] だっけあのジャムプロジェクトな限界
[00:20:40.280] バトル叩きつけて傷ついちゃっていいん
[00:20:44.159] じゃない
[00:20:54.170] [音楽]
[00:20:58.840] 熱いデュエルのゴングが響く運命のカが
[00:21:07.840] 光るルよく覚えてない俺言われてすぐ出て
[00:21:12.880] くるわ言われてすぐ出てくると
[00:21:19.159] 99%わからないからてんじゃみんな同じ
[00:21:25.120] さ弱いけど
[00:21:28.920] [音楽]
[00:21:31.799] あれめっちゃいい曲だよな今日いいな今日
[00:21:34.960] なんか懐かしい遊戯王の曲歌う会じゃん夏
[00:21:38.960] えティアドロップってどういう曲ティア
[00:21:41.640] ドロップ歌い始め教えてくんねどういう曲
[00:21:43.400] だっけティアドロップっ
[00:21:45.120] てえティアドロップってどういう
[00:21:49.400] 曲覚えてねえか言われれば分かるかもしれ
[00:21:52.520] ないき笑う
[00:21:54.799] あ
[00:21:56.840] うき笑う
[00:21:59.640] その
[00:22:04.310] [音楽]
[00:22:06.279] うつぶし今
[00:22:09.120] だけ
[00:22:11.159] てよ
[00:22:15.799] なみ
[00:22:17.520] ねテシ上がるわやべえカラオケ行きたいか
[00:22:21.400] も俺遊戯王の曲歌うカラオケ行きたい
[00:22:25.039] わえ太陽太陽っって曲知ないだけ新版の
[00:22:30.400] ナフ乗った僕の自身に頼りたかったって
[00:22:34.120] やつあれめちゃあの曲良くない誰にもなん
[00:22:38.120] とかしない旅は誰にも迷惑かけなかったな
[00:22:43.360] なバランス崩す
[00:22:47.240] なだそうそうそうサ覚えてねえ
[00:22:51.360] けど無夢中で追いかけたんだ乾いた叫び
[00:22:55.799] しか思い出せ乾いた叫びてどだっけ最初や
[00:22:58.720] じゃねあのみさんこんばんは可いたざって
[00:23:02.400] さあれさまだバダの方時じゃね遊戯王万歳
[00:23:06.960] の遊戯王じゃ
[00:23:08.039] ね全然ちげえそれ可いた叫びがかあれどう
[00:23:13.159] いうだっけ可愛と酒全然覚えてねえよ1番
[00:23:15.000] 最初やだ別会の頃そうだよねあのまだ
[00:23:18.039] ルールが全然わけわかんな時だよね言った
[00:23:20.320] もんがちだった時でしょじゃない時かいが
[00:23:23.799] じナを通気さす君かならあれ一ちゃん最初
[00:23:30.440] のさあのあれ
[00:23:33.640] はこれ自動でぶんでくるわは明日あ俺ね5
[00:23:38.279] DSから見てねえんだよ5DSから遊戯王
[00:23:40.960] 卒業しちゃって見てねえんだよ俺一ちゃん
[00:23:44.200] 好きなのはたあわかんねあるを出この
[00:23:51.600] まま
[00:23:53.200] もう歩こ
[00:23:56.200] 抱きなみたいなやつだね覚えてねえわその
[00:24:00.799] 辺やっぱ遊戯王はデュエルモンスターズと
[00:24:04.679] GXの時だね俺がゴールデンもうその時は
[00:24:07.360] 全部歌わかるよをあそうなんなバイク乗っ
[00:24:11.200] て遊戯やってる時点でこいつらやべえなと
[00:24:12.799] 思ったもん危険運転かよと思ってみんな
[00:24:15.760] やめ
[00:24:18.720] ただからあのシンクロとかわかんないんだ
[00:24:22.080] よね
[00:24:22.760] 俺シンクロとか全然わかんねえんだよく
[00:24:26.399] 違うよえ違う何
[00:24:33.919] があこのパーティー弱星
[00:24:38.000] のなんかうんなんかなによって走ってる人
[00:24:41.399] とセールするんだよどういうことどういう
[00:24:44.720] ことって
[00:24:46.159] 人バイクによっては走ってる人とデするだ
[00:24:50.880] からバイクあれだろ危険運転じゃないです
[00:24:53.960] かそれって確かにバイクは最初なんだよ
[00:24:57.159] 思ってたけど外とちゃんとしてるんやと
[00:25:00.440] ランニングでルするんだよどういう
[00:25:05.440] ことその辺から遊戯用もやんなくなっ
[00:25:08.000] ちゃって
[00:25:09.559] なあれルする時コース変わるんだよどう
[00:25:14.039] いうことだよついてけねえよ
[00:25:20.760] もうねこれどこ行きいいんだろうあまだ
[00:25:24.520] こっちあるデュエルモンスターズ
[00:25:28.520] アザーしかわかりませ省略これよ見れねえ
[00:25:34.039] よクロノスマジ
[00:25:36.240] できんだっけなんとかデ違うそれそれじゃ
[00:25:40.440] ないあれなんとかデスはあれだよな違うよ
[00:25:43.440] なボートムの勝ちですあそれ誰だっけ
[00:25:48.000] ペガサスだそれは遊戯王の海のペガサス
[00:25:51.880] トムの勝ち
[00:25:53.960] ですそれはペガサスかん
[00:25:58.720] ねでしょ夏あのアンティークギアシリーズ
[00:26:02.600] 使うやねアンティークギアシリーズごめん
[00:26:05.240] 今日ついてこれてるやつごめんなおめえら
[00:26:07.840] があれだから女の子いなくなっちまった
[00:26:09.320] じゃねえかよ女の子の視聴者いなくなった
[00:26:12.200] 全員た女の子の視者がいなくなっちまった
[00:26:15.399] よおめえらのせいで遊戯わかんねえからよ
[00:26:18.760] あいつら可いよ
[00:26:20.720] ね女の子の視聴者いなくなっちまったじゃ
[00:26:23.240] ねえかトーン可愛い離脱者笑アンティーク
[00:26:26.880] ギアガジルドラアゴーレムとか使ってたわ
[00:26:30.799] アンティークギアゴーレムなね
[00:26:34.760] でしょトーン可いねトーンアーダコー黙っ
[00:26:38.200] てコーラ
[00:26:39.960] でるごめんなワクワクししまうんだ
[00:26:44.960] よえでもさあれだよなあのやっぱ遊戯王
[00:26:51.880] って曲いいよねアンティア来た来た来た
[00:26:55.080] ミノタウルス来たよ
[00:26:58.880] あもむ卒業デュエルのりマジ
[00:27:02.960] でゲームも楽しかったよねんだけ
[00:27:06.120] ダンジョンダイスモンスターズ速攻終った
[00:27:07.880] やつねあのダイスアコが出てきたつでしょ
[00:27:11.640] あのなんかあの男がこれ誰とがあったり
[00:27:14.760] しようかな毒を受けない水に強いあ強い
[00:27:17.520] じゃんこれねえミノタウルスてちょっと
[00:27:20.159] 待っカプモンか待っ
[00:27:23.480] て最初遊戯っていん遊びあったんだ戯
[00:27:28.440] だけであって最初いろんな遊びがあったん
[00:27:29.919] だよな遊戯王っていうちょっと待ってね
[00:27:32.880] えっとねちょっと待ってね誰誰と合体
[00:27:36.880] しようかなえっとミノタウルスは装備
[00:27:39.440] できるもんがあんまりないのでここ
[00:27:41.240] ちょっと装備できるやつを合体したいか
[00:27:43.440] なって
[00:27:44.440] いうお札つみ難しいねお札つかみとれ
[00:27:48.880] ちょっと待ってえっと
[00:27:51.600] ねミノタウルスとジスねガーゴイルガー
[00:27:56.600] ゴイルって色々装備できんだっけあこれど
[00:27:59.000] 元々カプモンとか鉄板アイスホッケとか
[00:28:02.519] やってたね
[00:28:04.399] ミノタねうんまガーゴイルと合体しとこっ
[00:28:10.120] かうわ気持ち
[00:28:13.039] 悪気持ち
[00:28:15.480] 悪まいっか
[00:28:19.000] 可愛い強なったんちゃんこれたまに
[00:28:21.559] マインドクラッシュしてるから一番最初に
[00:28:25.120] 闇の技ね
[00:28:28.640] レベル34になったってうわうわなんか色
[00:28:31.880] ぺえこれで思い出しけど島村エルフさん
[00:28:35.880] 大丈夫話全然変わる
[00:28:39.200] けどニロ血石でぶっれたらしいじゃん
[00:28:42.519] 大丈夫かよエやエッチな女来たねその
[00:28:47.080] ちゃん
[00:28:48.679] こんばんは島村エルフさん大丈夫ですか
[00:28:53.080] ね
[00:28:56.360] にしねで運ばれたらしいタイムラインに
[00:29:00.240] 流れてね大丈夫かねいやでもずるいわ
[00:29:04.559] なんかあの配信中にそういうおもしれえ
[00:29:07.720] ことあの人起りすぎでしょおもろすぎ
[00:29:11.360] やろあのあえてその視聴者目線で言わせて
[00:29:14.640] もらうけどその知り合いとしては
[00:29:16.279] めちゃくちゃ心配してるけどずるいっす
[00:29:19.399] 面白いっすそんな
[00:29:22.440] のすごいだよなあの人なフェス中にしたが
[00:29:29.440] 大島さんが書いてたハッタ
[00:29:35.080] 矢印誰が誰が検索すんねんそれで誰が尿血
[00:29:40.399] 関連のツイート見たいでょ怖くないそうだ
[00:29:44.880] ねそれか超音波で崩すか薬で崩すかだね俺
[00:29:49.080] も知り合いになったやいるからまそうだよ
[00:29:52.360] ねいやマジで大島さんの見てほしい
[00:29:57.039] わえーこれ殴りたら倒す
[00:30:05.120] か殴りで倒さんとちょっとレベル上がん
[00:30:07.799] ねえからな時間かかるけど殴りで倒すでも
[00:30:12.000] あんま時間かけ自信来るからなそれがなん
[00:30:14.440] だよ
[00:30:16.670] [音楽]
[00:30:30.320] 満なネルギは行場所なくして困ってるぜた
[00:30:37.000] 満なエネルギーがくして困って
[00:30:41.570] [音楽]
[00:30:43.279] なんき君
[00:30:48.679] ね誰かがをすだけ屈はする
[00:30:58.720] 番好きやがはほんまかお前1番やろ
[00:31:03.639] ワイルドドライブ
[00:31:05.130] [音楽]
[00:31:06.919] ねの
[00:31:08.600] [音楽]
[00:31:10.919] 上めっちゃよくない迷ってる間にけるぜ
[00:31:16.720] 1人に1つずつもらえる自由と情熱を手に
[00:31:23.039] 輝くために生まれてきた僕
[00:31:26.919] のップどういうだっけオーバーラップって
[00:31:29.840] どういうのでんデレレレ違うこれこれ違う
[00:31:32.399] なえっと
[00:31:33.519] オーバーラップえっとあれオーバ歌い出し
[00:31:36.960] 教えて歌い出し教え
[00:31:39.799] てオーバーラップってどういだっ
[00:31:43.200] け隠せないほどまばゆい光隠せないほど
[00:31:48.080] まばゆい光なんとか破りこの世に蘇がえる
[00:31:53.880] かもう1度だけ
[00:31:57.510] [音楽]
[00:31:58.840] をてよ過に隠し
[00:32:02.760] た
[00:32:04.320] 取り戻す
[00:32:11.760] 闇眠る場所探して今動き
[00:32:21.279] 出すしてあげて何何何ジェットコスターが
[00:32:24.480] いいあそうなの
[00:32:30.600] 夏光と影の2つの心クリスタルにる未来へ
[00:32:38.000] 今
[00:32:39.360] 動き出
