[00:00:26.240] はいどう
[00:02:52.840] けどチゴスティーでチゴスティー小出しに
[00:02:57.680] 行く作戦ねそうよそうよ今日30分でどし
[00:03:01.040] ま
[00:03:02.360] 配信今日小出しです今日はま作りますけど
[00:03:06.319] 草いや作りますけどね作りますいややっと
[00:03:09.159] できるこれやっとできるやっとできるこれ
[00:03:13.720] あのなんだあのねちょずっとやりたかって
[00:03:17.560] んよこれこのグラディウスのプラモデル
[00:03:22.480] なんかすごいクオリティ高いらしくてで
[00:03:24.480] しかもうちのリスナーのねうちのリスナー
[00:03:26.959] のデラコマ君て方がいるんすけど彼プロ
[00:03:30.519] モデラーなんすよモデラーっていうのかな
[00:03:32.480] あのなんかあの何あのさあんじゃん
[00:03:35.840] ガンプラとかをさめちゃくちゃかっこよく
[00:03:37.840] 塗装する人なんすよあのなんか傷だらけの
[00:03:41.120] 塗装となんかそういうのちょっとこれほ
[00:03:43.200] ちょっとパーツ自分で買いましてこれね
[00:03:45.159] キット買ってデラコマくちに送って塗って
[00:03:47.640] もらいました塗ってもらったんやけど
[00:03:50.760] めちゃくちゃかっこいいのねまだパーツ
[00:03:52.920] しか見てないんだけどちょ早く組みてえな
[00:03:54.480] と思ってちょっとシューティング欲出て
[00:03:57.760] くるね全然下手くそできねけどすごいね
[00:04:01.720] そうこないだ配信でゲームボーイ
[00:04:03.840] アドバンスのグラディウス
[00:04:05.000] ジェネレーションてやつをさ配信でやった
[00:04:07.000] んだよまあおもろくてまあ面白くてなんか
[00:04:11.840] そのそれと同じモデルのやつ買いました
[00:04:14.519] なんかその時期の名前がビッグバイパーっ
[00:04:17.519] ていうまなんかそのグラディウスの時期の
[00:04:19.239] 名前全部一緒なんだけどなんかタイプが
[00:04:20.680] 違うみたいでなんか一番そのゲームボ
[00:04:22.919] アドバンスに近いのがこのグラディウス5
[00:04:24.880] 版のやつみたいで確かにこのなんかね
[00:04:27.520] パッケージの写真とねすっげえ似てるんだ
[00:04:29.520] よね
[00:04:30.880] かっけなと思ってちょっとこれ作ったら
[00:04:32.720] またちょっとなんかシューティングやり
[00:04:34.600] たくなってくるなめっちゃおもろかった
[00:04:36.880] もんなこれ配信でやったけどめっちゃ
[00:04:38.400] おもろかったファミコンのやつ難しすぎて
[00:04:40.960] さ1面越せなかったんだけど2時間やって
[00:04:45.320] 1面越せなくてやめたんだけどこ
[00:04:47.440] アドバンスのやつめっちゃ面白かったんだ
[00:04:48.840] よねなんでちょっと今日は作ってみようか
[00:04:52.000] なと思うわけですよちょっとねちょっと
[00:04:56.240] 今日あのなんだっけこれペンチじゃなくて
[00:04:59.680] これなんて言うんだっけえっとこのなんて
[00:05:01.639] 言うんだっけこれペンチじゃなくてニパと
[00:05:04.240] 作って
[00:05:05.240] 遊ぼ作って遊びましょうもガキみてに
[00:05:07.960] ブイーンつってまちょっとなん今日も
[00:05:10.759] まったり配信でございますすいませんね
[00:05:12.199] ゲーム配信最近できてないね先週昨日から
[00:05:15.759] 昨日から引き続きま金曜日はやるんでねま
[00:05:19.080] 今日はちょっとまったり行かせてください
[00:05:20.560] よニパニパそうニパニパ笑笑そうそうそう
[00:05:24.240] 羽だけでおねこんばんはおねちゃん
[00:05:27.520] こんばんははいロテありがとう
[00:05:30.400] 今日もやりますせただねこれね下しね同に
[00:05:33.919] 帰って楽しんでください同時に帰って
[00:05:36.319] 楽しむわ下しこれなんか普通に1時間
[00:05:40.479] ぐらいで終わりそうな予感すんだよねだっ
[00:05:42.560] てさ別にプラモデルなんて何時間もかかる
[00:05:45.840] ほど難しいもんじゃないでしょちなみに俺
[00:05:48.680] はプラモデル経験はほぼゼですほぼゼロ
[00:05:52.400] ほぼゼてか
[00:05:53.840] 0あのガンプラとかも作ったことないし
[00:05:58.400] プラモデルてもうに遊んでないから実際
[00:06:01.440] どうなるのかよるかなえパーツ数どうなの
[00:06:04.319] これ多いのかなわかんない箱でけんだけど
[00:06:07.199] 完成めっちゃちっちゃい
[00:06:10.000] みたいどうなんだろうねわかんねえけどだ
[00:06:13.759] からこれね手元カメラがねうまいこと
[00:06:16.160] なんかねうまいこと動いてね動いたんだ
[00:06:18.280] けどなんか画質すげえ悪いんだよね
[00:06:20.840] あんまりだからね手元もねあんまり綺麗に
[00:06:23.520] 写んないかも
[00:06:31.070] [音楽]
[00:06:32.880] よし今日はまったりや早く終わっちったら
[00:06:35.319] ゲームやろ早く終わったらなんかゲーム
[00:06:37.400] やるわポケモンでもやろうかな金脱だでも
[00:06:40.800] やるか
[00:06:44.530] [音楽]
[00:06:57.039] なよし
[00:06:59.680] やりますせ今日
[00:07:01.879] も今日なんかさすがにプラも作るから部屋
[00:07:04.879] 明るいんだけどなんかすげえ違和感あるわ
[00:07:06.720] なんか俺もうみ人間の脳みそってすごくて
[00:07:10.280] さなんかその状況なんて言うのあのさ
[00:07:13.840] なんて言うの
[00:07:16.080] 状況になれるっていかさえおはようえち
[00:07:20.080] おはよう今日はねプラモデル配信ですよ
[00:07:21.759] プラモデル配信あの
[00:07:24.039] ね人間の脳ってすごく
[00:07:27.240] てこないだだなんかそのカメラついて
[00:07:31.240] なきゃダメだし部屋が暗くないとダメなん
[00:07:33.479] なんか違和感感じちゃうんだよねだもうそ
[00:07:35.400] なんか人間はその状況記録っていうか
[00:07:39.039] なんか部屋が明るいとねもうなんか変な
[00:07:42.000] 感じしちゃう部屋が明るい状態で配信し
[00:07:44.400] てんのが始めます
[00:07:46.319] かどうもチマゲームズ
[00:07:49.919] 明るいや明るにしても明るなかにしても俺
[00:07:54.960] の部屋
[00:07:55.919] 明るめちゃくちゃ明るいでしょ今日に
[00:08:00.240] ちょっとあのおはよう昼間おはよう
[00:08:02.840] おはよう昼間のごとく明るいわけですよ
[00:08:05.599] めちゃくちゃ明るいんで俺の部屋やばく
[00:08:07.240] ないめちゃ悪いんだけど何するかというと
[00:08:09.680] こちらですよババンババン
[00:08:14.479] デレ
[00:08:18.360] グラウス5ビッグ
[00:08:21.680] バイパースケールプラスチックキット
[00:08:25.000] こちらをねちょっと作っていきたいなと思
[00:08:28.039] とるわけですよ
[00:08:30.319] に前にですねこちらのねあのグラディウス
[00:08:33.599] ジェネレーションていうゲームアドバンス
[00:08:35.159] のこのゲームを配信でやったんすよ
[00:08:37.440] めっちゃおもろくてこれクリアまで結局
[00:08:38.959] やったんだけどこれのこいつこのこれの
[00:08:41.839] プラモデルですよあるんだねあるもんなん
[00:08:44.640] だねそう俺もなんか調べてびっくりして超
[00:08:47.600] 動しちゃったんだけどかっこいいなと思っ
[00:08:49.320] てプラモデルなんて全くやったことない
[00:08:51.440] けどねプラモデルなんて全くやってこと
[00:08:53.800] ないプラモデル初初めて
[00:08:57.200] ですちょっとカメラ行きますかかこんな
[00:09:00.519] 感じでやってきます
[00:09:01.590] [音楽]
[00:09:03.240] よこんな感じでやっていこうと思うんす
[00:09:06.959] けどでか箱がでかくてちょっともう8切れ
[00:09:09.600] んばかりなんだけどこれがあの手元カメラ
[00:09:12.880] で行こうかなと思ってちょっと待ってここ
[00:09:16.399] あれないのかな
[00:09:18.079] おおちょっと待って
[00:09:20.100] [音楽]
[00:09:21.760] ねちょっと待っ
[00:09:25.800] てちょっと待
[00:09:31.480] まいっかこれでやっちゃおっか今日はね
[00:09:34.240] こんな感じでもう早速やっていこうかなと
[00:09:36.399] 思うんす
[00:09:38.200] けどデラコマ君来てないのかデラコマ君が
[00:09:40.920] これ作ってくれたからせっかくデラコマ君
[00:09:42.600] のまリクエスト枠と言っても過言ではない
[00:09:44.360] んだけどちょっと開けてきましょうか
[00:09:46.399] こんな感じでございますババーン中身
[00:09:48.680] こんな
[00:09:49.480] 感じまずこれねなんかこのこうかまずこの
[00:09:54.440] 説明書みたいな
[00:09:57.440] やつただ見てこれ見る限りねあなんか画質
[00:10:02.399] あんま良くねえなこれ見る
[00:10:04.240] 限り死ぬほどむずそうなの
[00:10:07.360] ねなんか俺あんまり見たことねえんだけど
[00:10:09.959] このプラモデルのこの組み立て方って
[00:10:12.800] めちゃくちゃむずそうなんだけどこれ
[00:10:15.200] いけるバカむずそうバカむずそうなん
[00:10:20.640] よ順番大事順番大事これ結構この1から
[00:10:24.880] やってった方がいいんだこのねこCの15
[00:10:27.720] とかわかんないあのこれが
[00:10:29.920] 武器用なん自分武器用なん
[00:10:32.600] で自分武器用なんでこれがデラコマ君がね
[00:10:36.200] 作ってくれたやつなんだけどこれ丁寧に
[00:10:38.360] なんかこのなんつうの多分この説明書通り
[00:10:41.200] のあれに分けてくれてるんだと思うんだ
[00:10:42.720] けどなんかこのパーツのパーツのさあの
[00:10:46.760] なんて言うのこの多分AとかBとかこれで
[00:10:49.200] 分けてくれると思うんだけどまあ分からん
[00:10:52.160] よねこれ見てもねちょっとパーツ見て
[00:10:54.200] もらっていいパーツがまあかっこいいん
[00:10:56.399] ですよパーツだけでもめちゃくちゃ
[00:10:59.480] 良くておそらくこれ羽なんすよ小分けにし
[00:11:03.480] てくれてるの親切わからんな羽なんだ
[00:11:07.279] けど分かるめっちゃかっこよくないこの
[00:11:12.240] 塗装塗装汚し塗装っていうのでこのなんか
[00:11:16.600] この溝溝にさゴールデンチョコレートの
[00:11:20.240] 人生
[00:11:21.320] プレイですねそうあのこれめっちゃこの墨
[00:11:26.040] 入れっていうのなんかしてくれてて炭入
[00:11:29.880] れっていうのしてくれててめっちゃかっこ
[00:11:32.600] よくないめっちゃかっこよくないこれもう
[00:11:35.480] これだけでかっこいいのわかるでしょ
[00:11:37.360] しっかりしてんねねやんすごいよねこれ
[00:11:41.120] ちょこれ塗ってもらったんよテラコマ君に
[00:11:44.519] めちゃくちゃ楽しみだなとかっこいいよね
[00:11:47.240] 男の子ワクワクシステムだろなんかこの
[00:11:49.639] 黒いパーツもなんかラメラメのキンキラ
[00:11:52.480] キキキのさけの塗ってくれててちょっと
[00:11:54.800] これ組んでこうかなと思うんだけど
[00:11:57.320] ちょっとね信じられないぐらいパーツがあ
[00:12:00.880] はるさんこんばんは信じられないぐらい
[00:12:03.279] パーツが細かいんすよあのねまずねもう
[00:12:06.600] こんなのね下手しいなくなったらおこんな
[00:12:09.160] の見てこれこれだよサイズこんなもんも
[00:12:13.560] パーツなんすよこんなの机の下落ちてこら
[00:12:16.360] ん一生出てこないよマジで注意ねこれこう
[00:12:20.480] いうののオンパレードなんよくしゃみし
[00:12:22.760] たら飛んでほんまそうよほんまそうマジで
[00:12:25.800] え無理
[00:12:29.480] え無理ギャルがいるおギャルだなお
[00:12:32.920] やっぱりえ無理え無理なんですけど笑うえ
[00:12:36.880] 無理なんですけど笑い分かる俺も笑う俺も
[00:12:40.279] 笑い無理なんですけどえ無理なんですけど
[00:12:43.480] やめろなんでねえ無理なんですけど
[00:12:47.720] 笑う洗車とかそれ以上小さいパーツあるよ
[00:12:51.399] あそうなのあなた無理ですそうなんだ
[00:12:55.639] おそらくこれねおそらくこれ
[00:13:00.040] マ笑ちょっと待ってこれおそらくこれ
[00:13:04.760] パイロットがついてるんすよ
[00:13:09.519] あねおパイロット見てくれパイロット見て
[00:13:13.680] くれめちゃ小ちゃい
[00:13:15.760] おいこれ映ってるこれカメラにこれだ
[00:13:21.519] よこれパイロット
[00:13:24.880] これ鼻クソやん鼻クソ
[00:13:29.199] これよりでかい鼻くそ出るぞたまにマジで
[00:13:31.920] ただ見てくれこの鼻くそもいや無理だわ
[00:13:34.480] やっぱこれ無理だよねこれやばいよね長さ
[00:13:38.040] 2mm幅0.5mmとかやばすぎこれにも
[00:13:42.079] たん
[00:13:43.240] かこれにもこれにも塗装してくれてんのよ
[00:13:47.680] 例え方よ笑汚い
[00:13:50.330] [音楽]
[00:13:51.519] なさん
[00:13:53.399] こんばんは
[00:13:55.079] 笑鼻くそやんこんなん鼻クソサイズこれ
[00:13:59.279] くしゃみしたらいなくなるでこんなもん
[00:14:02.720] ただこれにも塗装してくれてんだやばく
[00:14:04.560] ないこれにも塗装してくれてますちょっと
[00:14:06.839] これエッチに座らせとこういや絶対なくす
[00:14:08.880] からやめよ絶対なくそうこういうの絶対
[00:14:10.720] なくすちょっと楽しみですねちょっとやっ
[00:14:12.560] てきましょうかなんかでこれね開けてね
[00:14:17.880] さらに驚いたんだけどさらに驚いたんだ
[00:14:21.079] けどあのなんかねデラコ君からあの何連絡
[00:14:25.800] 入って
[00:14:27.279] てあのでもなくちっちゃい部品があるから
[00:14:30.959] マジ気をつけてって言ってこういうのま
[00:14:33.199] 確かにちっちゃいなと思ったんだけど
[00:14:35.079] ちっちゃすぎて俺取れなかったからその
[00:14:36.680] まま送ったやつあるって言っておそらく
[00:14:39.600] これなんですけどこれねまあまあまあ
[00:14:43.240] ちっちゃい確かにちっちゃいじゃん
[00:14:44.600] まあまあ確かにちっちゃいまあちっちゃい
[00:14:46.079] なと思うんだけどあすいませんこれ分かり
[00:14:48.199] ますこここれパーツらしいんすよね分かる
[00:14:52.440] クリアパーツかこれこれこれこれこれ
[00:14:55.000] これれこれもうカメラがピンと合ねこだよ
[00:15:00.279] これ鼻クソよりちっちゃいマジでマジで
[00:15:04.320] ちっちゃい鼻クソよりちっちゃいよマジで
[00:15:07.720] こんなだよこんなのごまだ
[00:15:11.000] ねーは翼のライト小さいんだよね
[00:15:14.279] こんばんは米国さんこんばんはこんなもん
[00:15:17.320] 俺できるかなてかこんなのがボ接着剤なし
[00:15:21.600] でつくのこなんか接着剤なくていいらしい
[00:15:23.639] んだけど俺接着剤なんか用意してないよ
[00:15:25.880] 用意したのはニッパーとこのなんかこの
[00:15:29.959] ピンセットだけですさやっていきましょう
[00:15:32.360] かね早速組んでいきたいなとはめ込むのか
[00:15:36.360] なはめ込めんのこれはめ込みしがなくねえ
[00:15:40.399] か喉乾いた飛んでいって素足で踏んで
[00:15:44.959] きれるいやこんなんすしで踏んでも痛くも
[00:15:47.959] 痒くもねえよ痛くも痒くもねご飯ツ
[00:15:53.360] だ解決りと同じ方法じゃねえかよおぶさん
[00:15:58.120] こんばんはあの解決ゾリがボンドがない子
[00:16:01.120] はご飯粒でもいいよご飯粒もない子は
[00:16:03.360] 鼻くそでくっつけてね腹豊かのユはな腹
[00:16:06.800] 豊かの腹豊かのパチ組は険ってレビュー
[00:16:11.319] あったな面そうなそう今日はねこちらです
[00:16:15.079] ドングラディウス5のプラモデルですよ
[00:16:19.839] あのビッグバイパーのプラモデルかこいい
[00:16:22.199] プラモ作ってお疲れちゃんいやいややっと
[00:16:25.480] 始まりましたよこいつを作りますこな配信
[00:16:28.480] でこたんですよあのグラディウス
[00:16:30.440] ジェネレーションてゲームバードマンス
[00:16:31.800] やつこれのなんかビッグバイパーって色々
[00:16:34.199] 種類があって例えばこれねあのファミコン
[00:16:37.160] のグラディウス全然ちゃうんよ確かに全然
[00:16:40.800] 形が違くてファミコンのこれ2とかだと
[00:16:44.920] これなんかビッグバイパーじゃなくてメタ
[00:16:46.440] リオンっていうらしいんだけどなんか全然
[00:16:47.839] 形近くてそうなんかね同じ名前なんだけど
[00:16:52.199] なんか毎回違うらしいんだよねでなんか俺
[00:16:54.600] が一番かっけなと思ったのやっぱこの
[00:16:56.240] なんかごつくてかっけんだよこのパ
[00:17:00.319] のクリームパンみたいでしょお疲れし
[00:17:04.319] そんな時間かからなそうそう1時間ぐらい
[00:17:06.640] とわんじゃねえかなもし下し1時間で
[00:17:09.679] 終わるかもしんないけどパーツ吹っ飛ばし
[00:17:12.520] てそれ探すのに2時間かかるかもしん
[00:17:15.760] ない誰も傷つけないってこれで殴ってもっ
[00:17:18.720] て誰もいたくないからあのこのね
[00:17:21.480] グラディウス5版のこのビッグバイパー
[00:17:26.160] かっこいいんでゴツゴツしててでなんか
[00:17:27.959] このグラデもなんかこれ同時になんか同時
[00:17:31.280] 発売かなんかだったらしくてほぼほぼ
[00:17:34.000] なんかこのパツ俺くしてないはずだけど
[00:17:37.520] もしかしたらデラコマ君の時点でなくし
[00:17:39.240] てる可能性も0じゃないってことかゼじゃ
[00:17:41.840] ないってことかジゴスティ2のロゴとか
[00:17:43.799] どうかなって本気見に行ったらただの文字
[00:17:46.320] で飽き
[00:17:47.799] たチゴスティななんか定期的にやりたいよ
[00:17:51.520] ねモデル初期に出たやつで出来悪いんだよ
[00:17:54.640] あそうなんだこれはねなんか結構出来が
[00:17:58.159] いいみたいでこお手紙もいきましたこの見
[00:18:00.559] てくそ可愛いおしおしこれめちゃくちゃ
[00:18:04.000] 可愛くないですかまお手紙もねいただき
[00:18:06.240] ましたありがとうございます1通も捨てて
[00:18:08.760] ないよ1通も捨ててない早速やろうかな
[00:18:12.400] 早速からなまずプラも楽しん月1回やる
[00:18:17.760] なら月刊チゴスティにって企画でもいいん
[00:18:20.520] じゃない月1でたださ俺が俺のの上毎日
[00:18:24.280] 食ってるポテトチップの油で塗これでょ
[00:18:27.080] これでしょこれね何かって言うと
[00:18:29.400] これ何かて言うとあのなんかあのなんだっ
[00:18:32.640] けなあのねピザ頼んだ時にピザ頼んだ時に
[00:18:36.840] ねあのなんだっけあれあのチョコ
[00:18:39.880] ブラウニーみたいな頼んだのよチョコ
[00:18:41.520] ブラウニーみたいなやつこれなんか銀色の
[00:18:43.880] あの何あのアルミホイルのお皿に入って
[00:18:47.320] 焼かれてくるやつここに置いてたら熱で
[00:18:49.600] これ変色して後つちゃっ
[00:18:51.559] たなんかこれ熱でさ変色して後ついちゃっ
[00:18:55.360] たのこれなんなんこれ取れねえんだよこれ
[00:18:57.919] 取れないのこれなんかこのアルミホイルで
[00:19:01.200] なんか焼けちゃったここ熱くてあまりに
[00:19:03.720] 焼き焼き立てすぎて言い訳した割には
[00:19:07.400] ポテトチップと対して変わらない理由だっ
[00:19:09.960] たの草うん確かにスっぽいのが溶けたかな
[00:19:13.159] 確多分ね確かやってるらないと無理そう
[00:19:18.159] これ今日はやっていきます塗装すっかここ
[00:19:24.000] 今日はやってきますよこのねグラディウス
[00:19:26.960] ジェネレーションバージョンの
[00:19:29.600] こいつを今日は作ってきますこれはいい
[00:19:31.919] ですよちょっとなかなか早始めろよって
[00:19:34.760] いう声も聞こえてきそうですけどもはよ
[00:19:37.880] 始めろよという気もあの聞こえてきそう
[00:19:40.280] ですけど見てくださいこのもいいよね俺
[00:19:43.280] 初めて作るわほぼ初めてあちゃんお疲れ
[00:19:45.960] 初めて作る
[00:19:47.400] ほぼ見てこの墨入れ塗装これやってくれた
[00:19:51.120] んすよラコマ君が元々の色はこれよこれで
[00:19:55.559] 組んでもかっこいいかもしんないけどやっ
[00:19:58.840] これはかっこいいよねこの墨入れしてくれ
[00:20:02.440] たのこれすごいでしょだから今日
[00:20:04.679] めちゃくちゃかっこいいの作んだよすみ
[00:20:06.400] じゃないんすよすぐじゃなくてパーツを
[00:20:10.360] いいですねそうプラプロモデラーのデラ
[00:20:12.679] コマ君に済なんやそうあのわざわざ送って
[00:20:16.039] 塗ってもらったのそうプロプロプロあの
[00:20:18.880] Twitterで普通に何百いいねとか
[00:20:20.440] ついてるで1回
[00:20:22.070] [笑い]
[00:20:25.520] ひっくり返そうさんこんばんはちゃん
[00:20:27.640] こんばんはこれいいな縛りプレイで1回1
[00:20:31.280] 回ひっくり返してからのスタートありかも
[00:20:34.080] しんないありかもしれないただマジで見て
[00:20:36.960] くださいマジでパーツがちっちゃくてこれ
[00:20:38.760] ねあああのこれあのいやいや素人ですやめ
[00:20:44.480] てはこのねこのこの飛行機に乗るあの
[00:20:49.320] パイロットがいるんすよ見てこれだよ
[00:20:52.240] パイロットこれ鼻くそやんマジで鼻くその
[00:20:56.679] サイズじゃんこれマジでなんか鼻くそ出る
[00:21:00.400] よたまにこんくらいのやつすっげえ
[00:21:02.679] すっきりするこれ出るとこんなもんだぜ
[00:21:06.240] ひっくり返したらおしまいマジでただでさ
[00:21:08.919] 散らかってるしょ俺の部屋まじこんなもん
[00:21:12.240] ね1個でも吹っ飛ばしたらマジで終わりだ
[00:21:15.000] から鼻に
[00:21:17.080] 詰めようス
[00:21:18.960] やこれだけ小さいと筆塗りになっちゃう
[00:21:22.120] もんなちゃんとこれにもさ入れしてあって
[00:21:24.840] すごいですよねカメラにんねえもん楽しみ
[00:21:29.000] ですねこれねちょっと作ってこうもう作っ
[00:21:31.200] てくよもういい加減作ります
[00:21:33.520] よただ懸念マジで1時間ぐらいで終わり
[00:21:37.360] そうあそらさんこんばんはすごいなあの
[00:21:41.440] マジで懸念1時間で配信終わりそうプラム
[00:21:44.640] のプラモでしょこれプラムのプラムわかん
[00:21:47.480] ないえメーカーわかんないプラムこれ
[00:21:49.480] わかんないこれだよこれこれメーカーとか
[00:21:52.520] わかんないじゃ無理1時間じゃ無理思う
[00:21:55.640] これこれこれ終わらないよ笑どこにてねよ
[00:21:59.080] プラムだプラムそうだプラムだプラムって
[00:22:01.159] いうとこの売ってないのこれえ普通に
[00:22:03.000] メーカーどこかにあるプラムろとかあるね
[00:22:06.720] あとフィギュアAmazonとかに売って
[00:22:08.279] たよ普通にいおたんがガチャを引いたぞ
[00:22:11.559] 結果かおたんがガチャを引いたぞなんで2
[00:22:14.919] 回かすでにパーツ何個か吸ったり食ったり
[00:22:18.080] してなくてそうAMとか
[00:22:25.080] だけはい30分延長券
[00:22:29.880] すでにパーツえ本当に大丈夫かなちょっと
[00:22:32.559] ま多分で見つけるのは大変ちょっとやって
[00:22:35.440] きましょうこんな感じらしいですよ
[00:22:37.039] 出来上がりはめちゃくちゃかっこよくない
[00:22:38.720] ですか何の塗装もしてなくてこんなかっこ
[00:22:41.320] いいんすよ何の塗装もしてなくてこんな
[00:22:43.840] かっこいいんすよねめっちゃかっこよく
[00:22:46.640] ないめちゃくちゃかっこよくないこれね
[00:22:52.200] めっちゃかっこよく
[00:22:54.960] ないちょっとやってこう装してそうあ
[00:22:59.159] あってるわ引きあ引いてくださいぜひ
[00:23:04.520] ぜひ
[00:23:06.440] ああやべこぼしちゃっ
[00:23:08.880] たやべやべやべこぼしちゃったよ最初から
[00:23:12.200] 色ついてるのねなぜフソパがガチャを引い
[00:23:16.320] たぞ結果はフしてたのえ何何FGしてない
[00:23:21.679] のすの草してないしてない入れだけして
[00:23:25.000] もらってそう入れだけしてもらってるよ
[00:23:28.559] あとは組むのは俺がやるから
[00:23:33.880] とけチソは安心感あるなチソがいいの貼ら
[00:23:38.000] ないあの引かないで欲しいからこれフの
[00:23:40.159] ガチャ画面あそうなのこれ知らねあの普通
[00:23:42.679] にあのガチャ画面で調べて出てきたやつ
[00:23:45.120] ダウンロードしだけでちょっと待ってもう
[00:23:47.279] さ待ってまずいいかまずここなまずこれC
[00:23:52.200] の15Cの14どれあCってこれ
[00:23:59.240] ええもうわかんないんですけど茶が信じて
[00:24:03.200] くれないから出ないのか私のは何が何が
[00:24:07.080] もうわかんないんですけどCっておそらく
[00:24:08.960] これなんすよここなんすよCの15番号
[00:24:13.400] 全部切り出してたら初心者じゃわからん
[00:24:17.159] これ逆に難易度上がったかもしんねえな逆
[00:24:20.400] に難易度上がっちまったかもしん
[00:24:24.480] ねや今から始まる
[00:24:26.640] やろの15どれだ
[00:24:29.880] よ違うだからちげえよだから塗装して
[00:24:34.520] もらったの分れてるから後は形で塗装して
[00:24:37.720] もらったからばらさないうるせえな
[00:24:40.960] うるせえなだから塗装してもらったんだよ
[00:24:44.399] バラす他ないべ装してもらうの最の
[00:24:46.279] くっつけてる形をよく見よう最初の
[00:24:48.919] くっつけ
[00:24:49.760] [音楽]
[00:24:52.520] てる最初くっつけてる色塗りしてくれてる
[00:24:57.120] 人がいるんだからそんなことみ言うなそう
[00:25:00.360] だよなちゃまく数字数えられるいやこれ
[00:25:04.200] 作るの大変やぞなんかねうんあの
[00:25:06.880] めちゃくちゃ大変そう喧嘩始まった喧嘩
[00:25:10.679] 始まったよもしかしたら最初にてやります
[00:25:14.440] もんねもしかしたらもしかしたら明日まで
[00:25:17.559] 続くかもしんないこれ全然わかんね最初の
[00:25:22.080] くっつけてるえじさん作れなくね
[00:25:26.559] これえあこれれててもばらさない耐久
[00:25:32.880] 色塗りできるとか職人の領域よこれだこれ
[00:25:36.919] にまずパイロット座らせるらしい
[00:25:40.960] パイロットもうもうこの鼻くそみたいな
[00:25:43.240] パイロットはもここもうこれあれだ
[00:25:45.000] コックピットこれコックピット
[00:25:47.000] コックピットよ指指の先ボロボロで汚あの
[00:25:50.919] 入れだけでしょこれ誰でもできるで笑これ
[00:25:55.120] かお前マジいい加減しろよ
[00:25:58.360] 誰でもできねえだろやってくれた人いるん
[00:26:01.080] だからそういうこと言うな鼻くそ
[00:26:02.159] コックピット絵をよく見てなちゃまくの
[00:26:05.600] 鼻くそ大きすぎないいやたまに出るだろ
[00:26:08.279] こんくらいパイロットなくすから先に
[00:26:10.320] 乗せるんだなたださたださこれさ乗せても
[00:26:13.440] いいけどさしねえわこんなんあすげえ
[00:26:17.200] フィット感ア見れるですげえフィット感て
[00:26:21.760] ちっちゃすぎてカメラにさ写んねえよほら
[00:26:25.039] コクピット乗った
[00:26:26.520] おこいつはもうじゃ
[00:26:28.799] ここでここにええないいねいいねでもうだ
[00:26:35.559] からこの2番まではクリアしてるんすよ
[00:26:37.360] これコックビット乗せるみたいななんかさ
[00:26:40.559] なんでこれこんな画質悪いのこのカメラ
[00:26:42.600] ゲムみたい笑なんかさめっちゃ画質悪いね
[00:26:46.279] さんいつも作る人じゃないんだしばらさ
[00:26:48.960] なくてもって思ったの
[00:26:51.679] えっとちょっと車の後ろにぶっ殺すやつか
[00:26:55.080] なこっちの方がいいかこっちの方がいいか
[00:26:57.720] な
