[00:00:09.639] H
[00:11:46.320] 言うか迷ったんだけどいや俺のことだから
[00:11:49.160] やっぱりやるよって言ってやらねえって
[00:11:51.440] なるとなんかまたあれだからやめよ今日
[00:11:54.079] やるとしてももうあの告知すんのやめよう
[00:11:55.880] と思っ
[00:11:57.240] てその程度すよそ
[00:12:02.360] 程度硬いよこいつ
[00:12:05.680] らえとダチてんだっけごめんダチてんだっ
[00:12:09.600] けか魔法のレベル上げたい
[00:12:13.360] からそんな日もあるあるよ
[00:12:17.120] な使Twitter見たらが
[00:12:21.160] 毒かありがとう毒よね
[00:12:24.640] [音楽]
[00:12:25.880] ありがとう魔法レベル上げようぜ
[00:12:30.100] [音楽]
[00:12:35.639] 体力攻撃力気力便性いやだいぶレベル
[00:12:39.279] ミノタウルス高いよねやっぱ同じ
[00:12:42.320] パーティー内でもさあの貢献度によって
[00:12:44.880] あれが違うからねダチは毒ね
[00:12:50.160] オッケーここのダンジョンむずいのよ
[00:12:52.880] めちゃくちゃ敵が強くて
[00:12:54.959] さコプタてんだっけかえ
[00:12:59.399] コプラタってなんか回復技だよな状態以上
[00:13:02.399] 回復だよねなんだっけな忘れちゃった
[00:13:04.480] ピエザホムが
[00:13:09.440] え何解除石化
[00:13:12.320] 解除キュラうわわから
[00:13:15.920] ん忘れ
[00:13:19.120] たミノタウルスなんかいい魔法覚えてねえ
[00:13:22.000] んだよな除解除か
[00:13:29.320] が
[00:13:30.800] 確か防御技なんだよなあ自動しちゃった
[00:13:34.560] これ自動しちゃうともう速攻行っちゃあ
[00:13:38.399] どうもこんばんはこんばんはえあたさん
[00:13:40.440] こんばんはえ今日もうわ
[00:13:43.959] つえまじか
[00:13:46.690] [音楽]
[00:13:48.480] よや強いなここ敵にってましたほうほう
[00:13:52.519] ほうう
[00:13:54.680] 待てするですあそうなんだ柔道部え
[00:13:59.600] ヘはバリアへバリバリアなピエザホムが
[00:14:04.320] 石化石化させちゃおう
[00:14:06.720] ぜでクレパ
[00:14:09.040] でなちょクレー強すぎだね全体に510だ
[00:14:14.079] よだそれをもうそれをも超えてくるこいつ
[00:14:18.040] らは耐えて
[00:14:23.360] くるこ
[00:14:25.680] なオ
[00:14:30.240] 金めっちゃくちゃもらえんだここ1回で
[00:14:32.360] 1800円もらえん
[00:14:34.120] だちょっと死んじゃってるんよねちょっと
[00:14:39.480] やっぱね後ろ2匹が弱いなこのこの2匹は
[00:14:41.920] めちゃくちゃ強いんだけどこいつら弱いね
[00:14:44.040] やっぱねBMが
[00:14:45.880] 良いあチャスも染まってきたな前にやって
[00:14:50.399] た時のみんなと同じでとりあえずBGM
[00:14:52.880] いいよな毎回言うんだもう何十回も聞い
[00:14:55.519] てんの
[00:14:57.160] に染まってきたなえアイテム作成でうわ
[00:15:01.240] めっちゃ金ある6万円あんだぜあそうだ
[00:15:05.199] こいつらなんで強いかって装備品作ったん
[00:15:07.320] だよ
[00:15:09.320] 前回このね下さ2匹はね装備品装備でき
[00:15:12.720] ないんだよって来れてるかなそまってるよ
[00:15:16.279] だいぶでなどうやって装備するかっつうと
[00:15:19.440] 合体して装備できるやつの遺伝子を
[00:15:22.519] 取り込むことによって装備できるように
[00:15:24.480] なるわけよ未だにみんな怖いよ笑ちょっと
[00:15:28.000] 目の色変わるもんねやつだ
[00:15:34.640] [音楽]
[00:15:35.959] なあ回復はいっ
[00:15:42.839] かそういう形で装備できるようになるの
[00:15:46.519] そうだからねモンスター合体は
[00:15:48.880] めちゃくちゃ重要なんだよ遺伝子なんだ
[00:15:52.079] そう
[00:15:53.480] 笑だからこの武器作成防具作成とかそう
[00:15:57.240] いう特性も合体するとでるよになるんだよ
[00:16:00.399] バランスよくね考えて合体することがあの
[00:16:04.240] 重要なんす
[00:16:06.880] よよくできてんだな実は
[00:16:11.160] なすご獲物が来たを言えるようになってる
[00:16:15.639] から止まりつつあるて思ったそう獲物が
[00:16:20.720] いたぜだけど
[00:16:22.399] なあピウ覚えたる減てくよねそうなんよ
[00:16:27.319] スフィンクスと見て最初女でこうおっぱい
[00:16:30.120] ビロンて出てたのにさ普通本物の本当の
[00:16:33.079] フィンクスになっちゃったピンウッド来た
[00:16:35.519] わこれって
[00:16:36.519] 確かピンウッドってあれだよな脱出呪文だ
[00:16:39.920] よ
[00:16:40.600] ねええや
[00:16:43.840] [音楽]
[00:16:46.120] んあ魔力足んねえ
[00:16:50.190] [音楽]
[00:16:51.440] わ全員建物に
[00:16:55.120] ワープリレミト言うてたリレミトだな
[00:17:01.839] このMP回復技アイテムを多めに買っ
[00:17:07.039] とこうこれでもねやっぱ強くなってくると
[00:17:09.559] こうやってアイテムとかもね何も考えずに
[00:17:12.039] こう
[00:17:13.199] こありがとうありがとごめんなありがとう
[00:17:19.039] なMP回復アイテムとかもこアイテムとか
[00:17:22.319] ガンガン変えるからねどんどん強くなれば
[00:17:24.360] なる
[00:17:25.120] ほど強くなればなるほど
[00:17:29.360] なんの死ぬリスクってのは減ってくよ
[00:17:32.830] [音楽]
[00:17:34.799] ね弱えやつはやっぱ金も稼げねえ
[00:17:39.679] し部車でが支えないと笑どうする今日来
[00:17:45.440] なかっ
[00:17:46.160] たあいつらあんなに言ったくにあんなに
[00:17:49.799] 言ってこなかったら笑う
[00:17:53.720] なちょっとここパーティー変わるまでは
[00:17:56.440] ちょっとこいつらのレベル曲げよう
[00:17:58.799] 別にいいよもう今日はもうめっちゃ強えん
[00:18:01.880] だよこの変なちばしった豆みてなやつ
[00:18:06.240] めっちゃ強ぐらい40もくらせてくんの
[00:18:09.480] か強い
[00:18:12.120] ねホムっかホムっ
[00:18:15.960] てクレープ入れてドラゴン防御
[00:18:20.540] [音楽]
[00:18:22.039] であしさんこんばんはありがとう
[00:18:25.280] ありがとう豆ち豆ち
[00:18:31.120] 豆ち豆ちがさオ入った
[00:18:36.039] よーしあいつ1匹で600円だ
[00:18:39.880] ぜやっぱドラゴン弱えな1番見た目かっこ
[00:18:43.720] いいんだけど
[00:18:46.880] ねあの相手もなんかねこんばんはラスマゲ
[00:18:50.200] がいたぜレビニアさんこんばんはラスマゲ
[00:18:53.240] あラスマゲ派ですかラスハゲね俺たちは
[00:18:56.679] ラスハゲと呼んでます今日もこのゲームを
[00:18:59.200] やってる今日はレベル上げですちょっと
[00:19:01.360] 前回だいぶしんどかったんでもう今日は
[00:19:03.960] だらっとレベル上げして眠くなったら寝る
[00:19:05.760] わあちょっと早めに終わるかもしんない
[00:19:09.280] あ出たこいつも強くて
[00:19:13.799] なピエザホムで石化させたら勝ちだから
[00:19:19.360] うわこれやばいね
[00:19:23.679] クレパヘッジフスマイキ入れてフスマイキ
[00:19:28.000] は全体炎
[00:19:30.799] ちょっとこいつが弱いね
[00:19:32.990] [音楽]
[00:19:36.240] このいやほら超体力あんのよこれ510
[00:19:40.200] くらっても死なないんだ
[00:19:42.720] もん1回あれかなレベここでレベル上げ
[00:19:46.600] るっては魔法使い切って魔力だけレベル
[00:19:49.120] 上げようかなわ強どんだけこう体力あんだ
[00:19:52.880] 1000ぐらいあんのか
[00:19:54.159] なめっちゃ強いな
[00:19:59.170] [音楽]
[00:20:06.799] いや勝て
[00:20:08.960] こいつこれパーティそうこれサルバの
[00:20:13.039] サルバじゃなくて俺ねあの普通のヒルの
[00:20:16.159] パーティを育てたいのにサルバ長いじゃん
[00:20:20.080] サルバのサルバのハ月の1回のこのレアレ
[00:20:24.720] レアたはね
[00:20:28.919] けど月に1回24時間だから長いのよ
[00:20:31.799] めちゃくちゃ
[00:20:35.000] 長いこいつらばっかレベル上がっちゃうん
[00:20:37.320] だよ
[00:20:38.970] [音楽]
[00:20:40.600] ね
[00:20:43.039] う単体当ってないよな
[00:20:46.159] これま殴りが一番いいの
[00:20:52.660] [音楽]
[00:20:55.400] かあMB足んねえマジか
[00:20:59.970] [音楽]
[00:21:10.000] オちょっとあれMPちょっとレベル上げ
[00:21:13.640] たい
[00:21:15.559] なわあめっちゃ
[00:21:18.799] おるやべえ
[00:21:23.000] しかも
[00:21:24.520] あ
[00:21:26.600] あ弱いなやっぱな
[00:21:29.730] [音楽]
[00:21:31.600] ケ2匹どうにかレベル上げたいねはもう
[00:21:33.960] 戦力外にしてたかなあもう俺そうなんだえ
[00:21:38.080] やっぱ弱いこのケツ2匹が弱えからここ
[00:21:41.440] じゃない方がいいかなレベル上げね魔法
[00:21:45.080] 使っ
[00:21:47.360] て割とさやっぱさあのなんつうのあの接近
[00:21:50.559] あの初手取られる
[00:21:52.640] じゃん初手取られると超いてんだ
[00:21:55.720] よいや7匹とかいるわけじゃん7回攻撃と
[00:21:59.320] か食らっちゃうからでしかもこれさ1匹
[00:22:01.960] 集中型だよこの敵のAIって1匹ずつ狙っ
[00:22:05.760] てくるから絶対8回も耐えれねんだよなか
[00:22:08.440] 分散して攻撃してくれるんだったらまださ
[00:22:10.679] ちょっとずつダメージくらえばいいんだ
[00:22:12.080] けどさなぜか死んないけど1匹狙いだから
[00:22:17.960] さ1匹狙いしんどいのよね
[00:22:25.320] [音楽]
[00:22:26.400] かなりどうしたってより育ちませんからね
[00:22:30.080] そうだ
[00:22:31.159] ねでも今んところサルバが1番育っちゃっ
[00:22:34.240] てる俺の
[00:22:37.720] [音楽]
[00:22:39.679] 場合ま序盤はそうなんだよな後々そうなっ
[00:22:42.840] てくるん
[00:22:44.390] [音楽]
[00:22:50.520] だあんまりこれ特殊能力で勝ちたくねえん
[00:22:53.279] だけどな
[00:22:56.000] [音楽]
[00:22:58.760] やっぱでもこういうゲームまったりやっ
[00:23:00.279] てんのが一番楽しいな魔力上がったよし
[00:23:03.279] よしよしほドラゴン超弱くない防御力4な
[00:23:08.440] んですけどおい弱っちいなお前ら回
[00:23:16.799] 帰ろ魔界に帰るとお前持ってたっけこれが
[00:23:20.480] あると楽だなここまで帰れるから
[00:23:23.960] さ楽しゲムが1番だねそうだねなんかね
[00:23:27.880] これはね毎日なんでできるかって言うと
[00:23:30.159] なんか
[00:23:32.559] そのなんかあのだらっとできるわこれ代表
[00:23:36.600] 今日はもうだらっ
[00:23:41.240] ともう今更こんなやつらうーめんど
[00:23:45.480] くさいめんどくさい
[00:23:51.120] ねほも全体攻撃でやっちゃうこいつらにも
[00:23:57.640] 初取られんのか
[00:23:59.559] うん
[00:24:01.080] うんてかなんか最近さめっちゃさ配信外で
[00:24:04.840] フォローされるんだけど気づいたら151
[00:24:08.120] に行ってんじゃん1151に行ってん
[00:24:09.679] じゃんフォロワー
[00:24:10.760] がなんかね最近あの配信中はフォロワー
[00:24:15.320] 増えねえのに配信外であの帰ってきて
[00:24:19.640] なんかあの配信の準備してるじゃんすると
[00:24:24.360] あれなんか増えてんなみたいなあま
[00:24:27.320] ありがたいけどねめちゃくちゃ
[00:24:28.360] めちゃくちゃありがたいんだけど何なん
[00:24:30.880] だろう話題になってんのかチマゲームチマ
[00:24:33.960] ゲームの配信が俺の配信してる時に来て
[00:24:37.320] くれ
[00:24:40.559] ていこれが1200人に行ったらちょっと
[00:24:43.720] 記念配信しようかないいやんまあね
[00:24:46.399] ありがたいけどね1200人になったら
[00:24:51.720] ちょっと記念配信あ滅多にしないんだけど
[00:24:55.080] 記念配信って
[00:24:59.760] あれキース誰か覚えてたあと50人
[00:25:04.120] そうまだまだだと思うじゃん割とでもね月
[00:25:07.559] 50人ぐらい伸びてるからね来月あたり
[00:25:10.760] ちょっとできたら
[00:25:13.399] なま記念配信っても普段やんねえからさ何
[00:25:17.399] やろっかなと思って今までこれ今
[00:25:20.559] 1151人今フォロワーいるけど今まで
[00:25:24.679] やった記念配信って200人200人の時
[00:25:29.880] と600人の時と1000人の時
[00:25:34.279] とま1200やろうとしてなんかこの
[00:25:38.640] めっちゃまちまちなんだよね200人の時
[00:25:41.520] は
[00:25:42.200] なんかめっちゃしょうもねめっちゃしょう
[00:25:45.480] もねえことやったんだよな
[00:25:47.279] なんか
[00:25:49.080] あのなんだっけな笑笑200人記念の時は
[00:25:54.320] ねあれやったんだ
[00:25:57.240] よえっとね蒙古タメの劇から北極を食べ
[00:26:04.000] るっていうくそ薄いうくそ薄い企画なんや
[00:26:08.120] ねんそれっていめちゃくちゃ薄い企画やっ
[00:26:13.559] た笑笑めっちゃ薄いよ
[00:26:16.760] な薄みたい
[00:26:19.039] な600人の時何だったかなあ24時間
[00:26:23.000] 配信かま200人のフォロワー200人の
[00:26:26.840] 時なんておあれだよ同10行くか行かねえ
[00:26:30.080] かとかだこんなもんだよななんかでなんか
[00:26:34.000] あんまりそのねそういうの慣れてなく
[00:26:38.600] て600人の時になんか24時間配信した
[00:26:43.120] んだよ
[00:26:45.679] ななんか今までやってきたレトロゲームの
[00:26:48.799] アクションゲームで難しかったやつを
[00:26:52.039] 全部6本24時間以内にもう1回クリア
[00:26:55.360] するみ
[00:27:01.520] 記念で辛いもの食べるのは
[00:27:05.520] ああそうそうやったのよそれで超魔村
[00:27:10.200] クリアできなくて泣いたって
[00:27:12.559] いうマジで泣いた
[00:27:17.120] 俺あんまだからやんねえからさそれが
[00:27:20.039] 600なんだそうそれが
[00:27:25.480] 600なんかだからままた久ぶりに
[00:27:28.720] 人のはなあのD配信記念配信のタイミング
[00:27:33.000] でボコスあそれも悪くねえな
[00:27:38.440] こん1200ボコスカウォーズ耐久かま
[00:27:42.360] それはあのしきちゃんがリクエストして
[00:27:45.399] くれてる
[00:27:47.399] からリクエストしてくれてるからそれを
[00:27:49.960] なんかそれで使っちゃうのも申し訳ねえな
[00:27:51.880] みたい
[00:27:52.960] なも若干ありながら
[00:27:56.170] [音楽]
[00:27:58.559] ごちょっとめどくせえけどここちょっと
[00:28:00.120] あれする
[00:28:03.279] よ魔法をちょっと使う
[00:28:09.440] よMPちょっとここでレベル上げしたい
[00:28:15.480] からゴーレムは
[00:28:19.480] 防御魔法で1番1番あれ使うのってどれ
[00:28:23.919] だろうね1番MP使うのってだろ攻撃し
[00:28:28.760] ちゃうと倒しちゃう
[00:28:30.480] からまだろう
[00:28:33.770] [音楽]
[00:28:35.880] な
[00:28:46.559] うんまこんなもんかもこれでかこれで1回
[00:28:49.840] 防御をごめん防御させ
[00:28:54.320] てま何やってるかというと防御でターンを
[00:28:57.360] 稼ことに今防御防御のレベルを上げてます
[00:29:00.399] あなさんこんばんは今日もやってきますあ
[00:29:03.600] 今日はもうねずっとこの作業作業だ作業
[00:29:06.760] 作業配信です今日
[00:29:09.000] はえあ毒で死んだんか毒で死んじゃっ
[00:29:14.440] たあ新しい魔法手に入れ
[00:29:17.720] たあそっか毒で死んじゃうの
[00:29:23.919] かこれやってとなかなかパーティーも
[00:29:26.480] 変わんねえんだよな
[00:29:30.799] 1200人何やろっか
[00:29:34.039] ななんかさ前まではあんまり料理もし
[00:29:37.799] なかったし外配信もしなかったしなんか
[00:29:41.320] そのそういうのがさなんかあんま普段やら
[00:29:43.640] ないことやろうぜみたいな感じでやってた
[00:29:45.640] んだけど最近普通にそういうのやってる
[00:29:48.159] からさなんかその特別感がないっていうか
[00:29:51.519] なあじゃ1200人料理やります言ってさ
[00:29:53.720] のがあったら額失ってたわねステア4あれ
[00:29:58.679] だみんなさみんな俺今日ないと思ってんの
[00:30:02.000] かしんねえけど集まりが悪い
[00:30:04.519] 悪いもうちゃゲームはそういう風に思われ
[00:30:07.080] てるんだな2日連続はないなっていうあり
[00:30:10.320] ますからある時だってあるんだ
[00:30:13.480] よある時だって
[00:30:16.640] あるめったにないけど
[00:30:20.220] [音楽]
[00:30:28.120] ホムっ
[00:30:31.440] て魔法セカ弾あこれあれか石化のオ
[00:30:38.750] [音楽]
[00:30:45.000] オオ
[00:30:48.000] 魔法でもドラゴンMP多いな
[00:30:55.590] [音楽]
[00:31:00.519] これでいい
[00:31:02.390] [音楽]
[00:31:07.159] かいいんじゃないドラゴン魔力高えレベル
[00:31:10.600] 21だもう魔法レベル上げなくていいかな
[00:31:14.960] 魔法っていうより防御力とかそっちだね
[00:31:17.039] やっぱ必要なの
[00:31:20.279] ねその辺が必要だわ魔法レベル21って
[00:31:24.360] 相当強えもんなBGMがいいな
[00:31:29.080] そやねそれしかもうコメントすることも
[00:31:31.760] ないん
[00:31:32.260] [音楽]
[00:31:34.399] だろ接近で殴って最ゲームしてるじゃん
[00:31:38.559] こんばんははさんこんばんは
[00:31:41.840] なんかチマゲームがねチマゲームが2日
[00:31:45.360] 連続で配信あるっていうのがみんな信じ
[00:31:47.120] られないみたいでだってわからんのやいつ
[00:31:50.760] もいっつも来るやつらが
[00:31:53.639] コン2日連続でチマゲームの配信がある
[00:31:56.639] なんて
[00:31:59.159] そんな感じなんだろう
[00:32:00.760] なえー接近攻撃接近攻撃で殴って倒すのが
[00:32:06.240] 一番レベル上がるんじゃねもう24時間
[00:32:08.720] やってほしいみてるよ
[00:32:12.279] ややりたいこのゲームは可能ならば仕事
[00:32:15.480] 休んでずっとやって
[00:32:17.430] [音楽]
[00:32:19.320] たいあてかあれだ高速レベル上げにしよう
[00:32:22.799] ぜってるやほこ
[00:32:26.080] ないはあるの概念ね会社のカレンダー上に
[00:32:31.120] はあるんだけどね実際にはどうなん
[00:32:34.159] でしょうかてとこだ
[00:32:36.760] ね6日間ぐらいあるんだ
[00:32:39.559] けどどうかなて感じ休めればいいけど
[00:32:44.559] ねえちょっと待ってねえ何したんだっけえ
[00:32:49.919] ノータ
[00:32:51.159] でちょっとレベル上げだからもうこれ高速
[00:32:53.720] にしちゃっていいあ何怖い
[00:32:58.120] 早いセタ
[00:33:01.240] オフこれでレベル上げします祝日休みじゃ
[00:33:05.279] ないならなさそう笑いやまあでもねまでも
[00:33:10.039] だってあるやつらなんか10日間とかあん
[00:33:12.240] でしょゲーム6日間の旅って言って料理も
[00:33:15.799] ゲームもする6日間
[00:33:18.279] みたいいいな
[00:33:21.039] あのなんだっけあのさあれがいいわ6日間
[00:33:25.720] 配信切らずにずっとの6日間普通にゲーム
[00:33:30.000] する時はするしなんかもう常に配信つけて
[00:33:32.679] よっ
[00:33:33.480] から常に配信をつけてる24時間寝る時も
[00:33:38.519] ずっとうん休み間を見守るうん笑
[00:33:43.279] そう部屋ごとにカメラつけ
[00:33:46.159] て
[00:33:47.960] ずっとよくないでゲーム配信する時は
[00:33:51.080] もちろんゲーム配信するよ寝る時はあっち
[00:33:53.200] 行くあっち行って普通にあっちのカメラで
[00:33:54.919] あでもなバンされそうだな寝てる間に
[00:33:58.519] ちんちん触っちゃうもん
[00:34:00.399] 俺寝てる間にチマゲームちんちん触っ
[00:34:03.320] ちゃうからダメなんだよ
[00:34:05.120] な良いけど見れない
[00:34:09.440] 笑ちゃまゲーム前もドラクエの時さお尻で
[00:34:12.639] すんだけどさお尻お尻だけじゃなくて
[00:34:15.320] ちんちんめっちゃ触ってたかな寝てる間に
[00:34:17.919] 無意識
[00:34:19.200] にったポロリしねえだな
[00:34:23.179] [音楽]
[00:34:30.280] わざとちゃうもんよだってわざとちゃう
[00:34:33.399] もん
[00:34:35.119] よ寝てる間だからしょうがねえんだよいえ
[00:34:39.879] 男はでも誰でもね男はね誰でもねちんちん
[00:34:44.280] ぐらいね寝てる間触るんだよそういうもん
[00:34:46.399] なの手縛ってね
[00:34:48.520] ななんでそんなちゃまくの家にハンバーグ
[00:34:52.520] 届けた寝るとこだけさ下半身に当たる部分
[00:34:56.679] パソコン側で隠したら下半身に当たる部分
[00:35:00.359] ってなんだ
[00:35:01.560] よ下半身に当たる部分じゃなくて下半身
[00:35:04.680] だろよ何そのなんか人間で例えたら下半身
[00:35:08.640] だけどみたいな言い方すんの俺も人間なん
