[00:00:04.560] G
[00:05:21.160] ない1200をやろうと思ってたんだけど
[00:05:23.800] な気づいたらこんななってたおいタイマー
[00:05:27.199] があもう始まる
[00:05:31.400] あ間違え
[00:05:33.199] たあどうもこんばんは今日もやってくるぞ
[00:05:37.039] お疲れお疲れ様ですどうもチマゲームです
[00:05:40.800] 今日もドリームクラブゼスペシャルエディ
[00:05:45.080] スペシャルエディピンやってこう
[00:05:47.240] [音楽]
[00:05:49.080] ぜ
[00:05:52.759] し
[00:05:56.240] ね何何何
[00:06:04.840] オ
[00:06:07.120] よし女
[00:06:10.479] べ
[00:06:12.360] えいこれなんかトロフィーをさ70%
[00:06:16.360] 集めるとなんだっけえD3パブリッシャー
[00:06:21.520] ごめん一瞬抜けますよこれがなんかね
[00:06:25.520] やっぱこのキャプチャーボードダメだ
[00:06:28.560] なもちょっと待ってちょっと待ってね
[00:06:32.840] ちょっと待って
[00:06:34.680] ね
[00:06:36.520] オさあ始まり
[00:06:38.720] ますようこそドリームクラブよろしくお
[00:06:41.720] 願いします今日
[00:06:42.990] [音楽]
[00:06:47.560] も既存
[00:06:51.039] ですいいねこのねど真ん中のねど真ん中の
[00:06:55.960] 女の子に行こうかなって思ってるんだが
[00:07:00.039] こね左から2番目のこのなおちゃんっての
[00:07:02.639] もめっちゃ可よかったんだよ
[00:07:04.960] な今度の土曜日に向けてマイクラ準備した
[00:07:08.560] けどスキンのデータぶっ飛んだから新しく
[00:07:11.080] 作るなんか
[00:07:13.039] あの統合版ってオリジナルスキンって
[00:07:16.120] できるんだっけちょ俺よくわかんねけど
[00:07:20.199] 投稿版だからな俺がやる
[00:07:25.039] のさあ早速何ぐらい参加してくれんだろう
[00:07:28.520] な
[00:07:30.680] ちょっと待っ
[00:07:39.360] たはあはあ
[00:07:42.160] はあそうです
[00:07:46.720] かできそうだった開いてみたら自分の
[00:07:50.000] データとこで来てたそううんまままなら
[00:07:53.199] さあ行き
[00:07:53.850] [音楽]
[00:07:55.039] ます橋さんが一緒に飲むしてくれないから
[00:07:59.680] そっか1回元カノもちょっと回出し行っ
[00:08:03.199] たら元カノのメール来
[00:08:06.599] た早速行く
[00:08:09.360] か今日もあの女行く
[00:08:16.440] べあけちゃんこんばんはいらしゃいませ
[00:08:19.840] ようこそドリームクラブ
[00:08:21.879] へ今日は今日も1回話すえ受さんは日記と
[00:08:26.360] かつけてるの毎日欠かさず書いていますよ
[00:08:29.560] 実は私の日記にはお客様も時々登場して
[00:08:33.360] いるんですよどんな我で
[00:08:35.800] えもっと掘り下げるよその話おめえこれ
[00:08:40.320] 主人公も主人公だよなそんなこと言われて
[00:08:42.360] 何も言わずにまいっか一緒に過ごす女の子
[00:08:45.560] を指名してくださいねめちゃくちゃわおあ
[00:08:50.440] そ休み
[00:08:52.800] かわかたじゃ今日な行こうご指名はなお
[00:08:57.440] さんです
[00:08:58.440] ねかしこまります女の子のコスムちょっと
[00:09:01.720] 待てこれ帰れるんじゃねのおいななも
[00:09:05.880] 帰れるん
[00:09:07.440] じゃんあでも結構やっぱなお体格いいな
[00:09:12.200] 良くないさんが見たらなんて言うかな
[00:09:15.399] ちょっと待ってどうやって買いんだっけ
[00:09:17.480] えっととりあえず
[00:09:21.160] [音楽]
[00:09:24.640] カティあどうも
[00:09:27.760] こんばんはこは今もやってくいやでもこの
[00:09:31.480] 子別にあんまりカレティうん難しいとこ
[00:09:35.120] ですよねカレティ
[00:09:38.720] うんうん結構気に入ったかもこっちの方が
[00:09:42.320] いいか
[00:09:43.480] もこっちの方が良くねえ
[00:09:46.560] か何かすごいことになってる可いんでこれ
[00:09:49.920] でこう決めたよしかしこまりましたスラ
[00:09:54.640] くらいがっちりしてルミ
[00:10:00.320] 結構でも体良くないこの子せでかいし
[00:10:03.800] イルミナティ出た
[00:10:05.399] ねエロいんよな防御力でもこの子強いから
[00:10:09.920] 攻撃力全ぶり
[00:10:11.560] でやべえなですえなんで変わってない
[00:10:14.680] じゃんくれてありがとうあやいやいや
[00:10:16.240] いやいや変わってないじゃない体ミキいい
[00:10:18.200] よ体ミキいいよねあれ変わってないじゃん
[00:10:21.640] よろしくね俺保存しなかったかな心がまだ
[00:10:23.760] あるじゃないボトルがまだあるじゃない
[00:10:25.800] ちょっと待っててねよろしくお願いします
[00:10:27.160] ごめん帰んの忘れちゃった保存するの忘れ
[00:10:29.120] たはいお待たせ適してない忘れたどうも
[00:10:32.519] ありがとうえ待って俺ね俺ね今んとこね
[00:10:37.360] まだ迷ってる
[00:10:38.720] ぜまだ迷ってる正直正直ねまだ迷ってる
[00:10:42.880] とこあんだよねあのこの子この子に行って
[00:10:47.440] も全然間に合うよなんでかて言うとこの子
[00:10:49.560] 一番登場遅いから今からこの子に注力して
[00:10:52.880] いっても全然まだなんつうの間に合うんだ
[00:10:55.480] よねたくさんあるから迷っちゃうよね
[00:10:57.680] 間に合うんだよねいやこの子可愛いねん
[00:11:01.360] なこの子ないのもそっかなもうドリーム確
[00:11:04.440] てくマグマ
[00:11:05.600] でこれ体育がだから酒強んだこれはい乾杯
[00:11:10.160] はい皆さんも
[00:11:13.660] [音楽]
[00:11:16.839] 乾杯
[00:11:18.440] えい1回会しよっか
[00:11:20.840] [音楽]
[00:11:22.959] ないい体してる
[00:11:25.920] ねいやどう変な意味じゃないからね俺が
[00:11:29.480] 聞きたいのは変な意味じゃないいい体し
[00:11:31.040] てるんだて俺も聞きたいけど変な変な意味
[00:11:33.720] じゃなくこうなんかこうあスポーツもし
[00:11:36.360] てるのっていうあなんかスポーツとかやっ
[00:11:38.440] てるのなおちゃんっていいからしてるよね
[00:11:40.680] 体的な合体的なえあごめん変な意じゃなく
[00:11:44.560] てなんというかそう引き締まっててかっこ
[00:11:46.279] いいそういうことそうかなそうだよ
[00:11:48.519] ありがとうやっぱこの子めちゃくちゃ
[00:11:49.959] 可愛くないいやどういたしました嬉しい
[00:11:52.440] けどでもどうせなら綺麗な体いやっいや
[00:11:57.240] いやいや綺麗だよせも女かこて言われる
[00:12:02.120] より綺麗いっ言われたいんだこばああ俺こ
[00:12:06.440] やっぱ結構これ女の子っぽいとあるな結構
[00:12:09.639] 男まりなのかなと思ったら結構女でも僕
[00:12:12.279] っていうのやめなじゃあまず何で伝わって
[00:12:14.279] んだ笑今日は気分がとってもいいよ
[00:12:20.120] 本当ま酔っ払ってもらないと話う少し熱く
[00:12:24.480] なってきたかもおいおいおいとシしてる
[00:12:27.839] まあねしさんこんばんは
[00:12:30.199] う目の前がてきたかもこの子がいや待て俺
[00:12:36.519] 甘じゃなくてこっちでもいい気がしてきた
[00:12:38.720] なこの間すっごく綺麗なニューハーフの人
[00:12:42.560] がテレビに出てニューハーフって確かにで
[00:12:44.920] も可愛いから
[00:12:47.519] なたまにいるよね女の1人も綺麗なニュー
[00:12:50.320] ハーフ美人その人僕なんかよりもずっと
[00:12:54.320] 綺麗だっ
[00:12:55.160] [音楽]
[00:12:56.519] た別にいいじゃんそんなでへこんじゃだめ
[00:13:00.000] だよ世の男の人だっ
[00:13:02.800] て男の子みたいな僕と綺麗なニューハーフ
[00:13:07.440] の人なら全然なを選ぶだろ普通に
[00:13:11.440] 麗なニューハーフの人を選ぶよね皆
[00:13:16.040] さんいただきましたなおちゃんで決まっ
[00:13:19.240] てるじゃないですかだだてニュハーフには
[00:13:23.839] ないじゃないですかニューハフにはない
[00:13:26.760] じゃんこ魅の
[00:13:29.800] 形フリーメンがしなフリーメンが暗し
[00:13:35.240] ちゃうあそこでここかなこここかなてここ
[00:13:40.560] ここに指すって入れてあそこの指に入れる
[00:13:43.240] だけだったらあ
[00:13:47.680] ニュハーフだよこれがニューハーフだ
[00:13:51.839] ねハーハーフとか言っだそうだあ
[00:13:59.199] きあの三角形あるじゃんみんなあの三角形
[00:14:01.759] に指入れるじゃんまだ犯罪じゃねえからな
[00:14:05.519] まだ犯罪じゃねだ突然確かにこの女の子の
[00:14:08.480] おっっぱい触ったら犯罪かもしんないけど
[00:14:10.639] あそこは空気だからドーナッツの穴に指に
[00:14:13.440] さしてると一緒だもん次セフじゃんギリ
[00:14:15.880] セーフじゃんそれってえそれはセーフだよ
[00:14:18.680] なあの隙間に指すって入れてもうん何も
[00:14:23.560] 悪いことじゃない空気だからまだそこはん
[00:14:27.560] ね別に笑笑あれ電撃ラボやろぞあれも
[00:14:31.680] いっぱいああこいつバカだあのいっぱい
[00:14:34.759] あの他人もとんでもねえやめよ女の子から
[00:14:38.279] レド来たからやめよこの
[00:14:41.120] 話あ女の子からレド来たからこの話やめ
[00:14:44.399] ますはいどうもこんばんはやまいさんどう
[00:14:47.160] もこんばんはやまいさんからいらっしゃっ
[00:14:49.920] た16人のさの皆さんありがとうござい
[00:14:51.800] ますハリボテライ
[00:14:54.240] ハリボテゴース急に賢者になっ
[00:14:58.040] てとかじゃないても普通今日もやってき
[00:15:02.000] ますよ今日もやってきますなおちゃんをね
[00:15:05.399] なおちゃんじゃないきこんばんははいお
[00:15:07.480] 疲ればちゃんこんばんはな今日も最低何
[00:15:10.399] がや何も言ってないじゃんえ何が最低だか
[00:15:13.040] マジでわかんないいや今言ってたのはま
[00:15:15.320] あのまあるじゃんこの魅惑の三角形が
[00:15:18.320] あそこに指をさ例えば俺がね急にわって
[00:15:21.320] 入れて
[00:15:22.240] も犯罪ではないよなヤッホおっぱいには
[00:15:25.440] 触ってないもんペテルこんばんは何が最低
[00:15:28.079] だか聞くかうん何が大切か教えて
[00:15:31.920] 何回の女と違う体あそういうこと違うんす
[00:15:36.319] よそこは違うんすよ休みだったんだよあね
[00:15:40.440] ちゃんちゃあねちゃんあねちゃんがあね
[00:15:43.519] ちゃんが休みだったのあちょっとお疲れ茶
[00:15:45.839] お疲れ浮気じゃない浮気じゃない休みだっ
[00:15:47.880] たからしょうがなくというかしょうがない
[00:15:50.120] とかじゃないんだよだからあの三角形ある
[00:15:52.639] じゃないですかあそこ見えでしょみんなも
[00:15:54.480] あそこにさキュって指入れてもまだいやに
[00:15:59.000] おっぱい触ったらそれ犯罪じゃんそれ
[00:16:01.199] もちろん俺逮捕されるじゃんちゃうあそこ
[00:16:03.160] 何も触ってないもんギリギリマジで休み
[00:16:05.360] でしたあそこ何も何も触ってないじゃん
[00:16:09.160] あそこに指入れただけならじゃあ逮捕さ
[00:16:11.480] れるかやってみなそれは仕方ないね仕方
[00:16:15.120] ないそれはドーナッツの穴に指さしてんの
[00:16:17.920] と一緒だからドーナツの穴に指入れたって
[00:16:19.639] 別にねセーフじゃん悪ることじゃない
[00:16:22.079] じゃんんなことないかさすがにそれはない
[00:16:25.560] んかな一部のそういう趣味の性ちょっと
[00:16:28.079] きついかなかなで
[00:16:31.040] も本当にすっごく綺麗な人だったいやなお
[00:16:34.920] ちゃんも綺麗だあんな人に誘惑されたら僕
[00:16:39.399] でもクラクラしちゃうくらいだだからお前
[00:16:42.560] なちょっと
[00:16:44.399] えごめ会話がごめんもう谷しか見てねえ
[00:16:48.079] から会話が頭入ってなんだっけごめん嘘だ
[00:16:50.839] よ何が嘘じゃないよいくらきれて言っても
[00:16:54.199] 男でしょ俺はそういう趣味はないよ断然な
[00:16:56.800] ちゃん一だねありがとう
[00:16:59.440] だも本命の女が休みだから来てんのに本命
[00:17:03.160] の
[00:17:03.880] 女だから休みだから来てんのになおちゃん
[00:17:08.079] 一ただよんなことねえんなことね実際の
[00:17:10.400] ちゃまそんなことね谷と会話してる谷を見
[00:17:13.679] に来たの今日はグイってズイズイ
[00:17:19.360] ズイちょっとよたかなはいそうですねそう
[00:17:22.600] ですねいい気分だよいい気じゃ今日
[00:17:25.000] ちょっとお歌歌ってみるああごめんまたて
[00:17:29.280] くれるんだよ今日絶対に聞いてほしくて
[00:17:33.080] 昨日たくさん練習したら逆に喉痛めちゃっ
[00:17:37.200] たんだ100嘘やんけその
[00:17:40.400] 言い訳会話するあ待ってこっちでも黄色
[00:17:43.960] 会話がまずいこっちのストーリーも進ん
[00:17:48.000] じゃうわざわざ谷間なさそうな女の谷で酒
[00:17:51.919] 飲みに来
[00:17:53.160] た違う俺あんなこと思ってるいい
[00:17:56.720] プロポーションだなと思ったよやめこっち
[00:17:59.760] にも黄色会話出ちゃったよこっちも
[00:18:01.919] ストーリーすんじゃなおちゃんは格闘技の
[00:18:04.880] 市販台なんだよねうんそうだよ何入門し
[00:18:09.120] たい入門したいいやそこまだただそれで
[00:18:12.280] すごいんだろうなと思ってそうなのかな僕
[00:18:16.200] はただ好きで続けてるだけだからああ
[00:18:19.400] 分かるわかる俺も配信好きで続けてるだけ
[00:18:21.960] でたまに嫌なるけど
[00:18:24.919] ねこんなに好きでこんなに好きでけてる
[00:18:28.360] はずの配信もたまにやりたくなくなるけど
[00:18:31.559] ねたまになたまにでもてことは強いん
[00:18:35.320] でしょこんな小さい体なのに小さいて言わ
[00:18:37.559] ないでよだって気にしてるのにちっちゃく
[00:18:41.039] ないよねこいつ結構せ170あるぞ多分
[00:18:45.520] たまにねたまにたまに人間だから人間だ
[00:18:48.720] からね全然ちっちゃくないんだよこいつ
[00:18:50.919] 結構でかいんだよでもそのスピードだっ
[00:18:54.000] たら誰にも負けないよわめちゃ
[00:18:57.720] おと待ってめちゃくちゃ
[00:19:01.840] 可愛い何この顔
[00:19:05.159] ねえ何その顔えなんか今もうなんか紙粘土
[00:19:09.720] でぎゅって顔やってなんかそこになんかロ
[00:19:12.400] を流し込んで肩を取りたいだめかなえそれ
[00:19:16.200] はだめみんな可愛いからあまりにもあまり
[00:19:19.520] にも可愛いからやろうと思うんだけどどう
[00:19:21.000] 思う今あの紙粘土ぎゅって顔に押し付けて
[00:19:24.919] ローを流し込んで肩取ろうと思えだめ芸術
[00:19:28.880] か
[00:19:30.760] ちゃまいや芸術家だしフィギが作ろっかな
[00:19:34.400] と思ってこれが3dプリンターだよって
[00:19:37.280] なんなら
[00:19:38.960] はい試してみる何を定期的にキモいね今日
[00:19:44.320] も定期的になえいやそれは遠慮してくよ
[00:19:49.039] そんな真剣な真しで嘘じゃないって思える
[00:19:53.520] からえ俺のことなんて呼んでくれレ君て
[00:19:56.600] 呼んでくれんのかなだって
[00:20:00.480] 僕の言うこと信じていや信じるかな真実
[00:20:05.720] だけだよ俺の目の前にあんの今までは僕の
[00:20:08.960] 見た目ですぐに信じてくれる人なんてい
[00:20:12.240] なかったからうんああそいつらには見る
[00:20:15.000] 見るがあったんだよそうだ1つだけ確認さ
[00:20:17.159] せてもらっていいう何何確認すいい
[00:20:20.520] よちょっとなおちゃんの体を触らせ
[00:20:24.559] てほら格闘家の体って鍛えられて
[00:20:27.600] 引き締まってるんでしょだから筋肉も
[00:20:29.400] すごいのか確かめたくてブカ何考えてるん
[00:20:32.919] だよおおいい眺め絶景そんなこと言って
[00:20:36.880] どんな変なことするつもりでしょそんな
[00:20:40.640] ことこの上ない気もさいやなんか違うんだ
[00:20:44.520] よなでもなドリクラは許せるんだよなこれ
[00:20:48.039] 同じようなことをなんだっけあのなんだっ
[00:20:51.440] けあのゲームプレ2のやつ雨神雨神の主人
[00:20:54.799] 公が言ったらきしこいつって思うんだけど
[00:20:58.120] なんか
[00:20:59.600] このゲームは許せるだってお金払ってる
[00:21:02.200] からさんこんばんは今日もやっていきます
[00:21:04.799] よこのゲーム
[00:21:07.000] はお金払ってそういうそういう関係だから
[00:21:12.760] 学校の学校のね学校のあの同級生にそんな
[00:21:18.880] こと言ったらキモいよただこれはもうそう
[00:21:21.200] いうそういうお店だ
[00:21:23.039] からそういうお店
[00:21:25.650] [音楽]
[00:21:27.520] でしょなあ蹴り飛ばしていいよなあ
[00:21:30.960] 蹴り飛ばさ蹴り飛ばしてください私のこと
[00:21:33.679] なおちゃに触るとそう来るのか誤解されね
[00:21:36.080] ように気をつけない
[00:21:37.360] と誤解だっていくらなおちゃんが可愛い
[00:21:40.440] からってそんなことしないよまたそんな
[00:21:42.400] こといつかいつかないつかもうちょっと
[00:21:44.240] 仲良くなったらもうちょっと仲良くなっ
[00:21:46.320] たらちょっとスキンシップもありやなしや
[00:21:49.120] みんなから男の子男の子って言われてきた
[00:21:52.679] のうん女の子として見てくれたのは嬉しい
[00:21:56.880] けどだからダだからねままあまあまでも
[00:22:01.000] めちゃくちゃ可愛いですそれだけは言わせ
[00:22:02.960] てくださいそれだけは言わせてくださあれ
[00:22:04.919] さっきまで怒ってたのに可愛いってことま
[00:22:06.440] でれるのえいこいつでも可愛くないマジで
[00:22:10.520] えちょっと待って雨行くかこっち行くか
[00:22:14.080] マジで悩むんだけどまだこっちも全然ま
[00:22:17.760] そろそろ時間だねどうするも
[00:22:22.120] 延長ありがとうじゃあもう少しの
[00:22:26.000] 間もう少しだけなもうよえもうこっちあり
[00:22:30.400] なんだよな可愛いよねまず顔がいいまず顔
[00:22:34.520] が
[00:22:35.520] いいあらあオオいいのおお飲め飲め飲めま
[00:22:41.559] てかこいつの好きな酒まだわかんねえんだ
[00:22:43.400] よ
[00:22:44.200] な何が好きなんだろうウイスキーとかあ
[00:22:49.039] 違うほらグラスはいはいはいはいはい乾杯
[00:22:53.919] 俺も1杯飲んじゃっかな俺も1杯飲み干し
[00:22:56.720] ちゃっかなうら
[00:22:59.120] どせ君も僕女の子だと思ってないもんね
[00:23:03.600] 思ってる何何なおちゃんどうしたのはい
[00:23:06.200] 結構結構結構ですよ見返してよ可くね
[00:23:12.640] こいつああこれ飲みすぎたかこいつあら
[00:23:18.480] ああそういうのねそういうのもあんのね
[00:23:21.279] 飲みすぎちゃダメなのねあの子お酒そんな
[00:23:23.400] 強くない1万8000安いいやなお可愛い
[00:23:26.960] なちくしもうちょっとま次雨行くよ
[00:23:30.640] もちろん次甘出勤するんで甘行くんすけど
[00:23:34.720] 甘の態度次第じゃこっちに変えるかもしん
[00:23:37.880] ない態度次第でやの出方次第で俺の機嫌を
[00:23:41.559] 損でたらこっち
[00:23:42.760] 行こうなんだこの女と思っ
[00:23:45.559] たらなおちゃんにしようまだ間に合うねん
[00:23:49.240] どっちもどっちも途中から出てきた女の子
[00:23:51.799] だから僕男の子じゃないもん僕こんばんは
[00:23:55.919] 僕のこと信じてくれてありがとうちゃんと
[00:23:57.720] 女の見てくれるんだってすごく嬉しかった
[00:23:59.600] だからねえでもねだからってやらしいこと
[00:24:01.480] するのごめんなさいゲップましたえ全然
[00:24:04.480] ダメなんだからねそんなことするようだら
[00:24:06.240] すぐ煙飛ばしちゃうんだからそこだけ何
[00:24:08.080] がっても忘れないておやすみなさいはい
[00:24:10.159] 駆け引きしてくる客が一番めんどくさいよ
[00:24:12.919] ね笑笑なんでだよいやいや別にそ俺誰にも
[00:24:16.880] 目はかけてねえもんだって俺は俺の中で
[00:24:19.440] 勝手にやってるだけでこれを女の子に言っ
[00:24:22.120] たらだるいよなおちゃん本当にいいのあの
[00:24:24.360] 女の子行っちゃうけど誰も言わない俺心の
[00:24:26.720] 中で勝手にやってるだけなんね
[00:24:28.919] ね悪くないでしょ
[00:24:30.960] ああこれもマスターしよっ
[00:24:35.760] かいいね1週間で3万2000円3万1円
[00:24:39.399] 3万2000円悪くないね買い物も行か
[00:24:42.480] なきゃなプレゼントとかあげなきゃいけね
[00:24:44.159] んだろう
[00:24:48.440] なじゃあ甘行きます
[00:24:51.399] か最近何して
[00:24:54.960] わ来た止まんね女からのあれががえレカ
[00:24:59.840] 最近何してんの毎度レカです最近どうした
[00:25:02.200] んちっとも顔見せてくれへんや早くお話し
[00:25:04.039] たなって呼ばれとるの待ってだでお店に来
[00:25:06.399] たらよかったらうちも名してな
[00:25:10.440] ああレカさんは4周目ですねまだまだ
[00:25:17.159] まだまだ楽しめますこのゲームまだまだ
[00:25:20.240] 楽しめんじゃねかどんだけコスパいいんだ
[00:25:22.240] このゲームムクラブへコスパ良くねえか
[00:25:24.679] このゲームなん何遊べんのえ受さんは
[00:25:29.039] 買い物に行く時エコバッグ持ってくエコ
[00:25:30.760] バッグはお買い物に行く時のキスアイテム
[00:25:33.080] ですよえ何買うのたくさんものを入れ
[00:25:36.760] られるように大きめのバッグを愛用してい
[00:25:39.159] ますもうじゃがいもとか買いそうお客様も
[00:25:41.279] 一緒にマイバッグ生活を楽しんでみません
[00:25:43.880] かマイバック持ってくお前ら持ってく持っ
[00:25:47.200] てかない俺俺
[00:25:50.039] あのバッグっていうの持ち歩くのが死ぬ
[00:25:52.919] ほど嫌いで未だに小学生の時と同じ
[00:25:56.000] ポケットに全部入れてくんだよね
[00:25:58.760] 小学生の時なんかおポケットの中に俺DS
[00:26:02.640] とDSのカセットと家の鍵となんだかんだ
[00:26:07.039] もう遊戯王のデッキ
[00:26:09.760] とあのゲームキューブのコントローラーと
[00:26:13.559] 全部ポケットにポケットにたくさん入る
[00:26:16.240] 全部ポケットに出たよ全部ポケットに入出
[00:26:19.799] てたあのなんかあの男の子がよく開く
[00:26:21.919] ポケットがいっぱいあるパンツあるじゃん
[00:26:24.960] ポケットがいっぱいあるズボンなんていう
[00:26:26.760] のあのここにあってここにってここにやっ
[00:26:29.399] てここにやってここにやってみたいな全部
[00:26:31.919] 入れてたそこに全部入れてたサルエル的な
[00:26:35.000] サルエルサルエルじゃないなサルエルは
[00:26:37.480] あのダボダボのやつでしょなんて言うん
[00:26:39.320] だろうなあのカーゴパンツみたいな
[00:26:42.120] やつ一緒に過ごす指名してくださいねそれ
[00:26:45.880] にもうデッキとかなんだいっぱいですよ
[00:26:47.640] はい甘行く
[00:26:48.919] かご指名は甘さんですまでも甘よね
[00:26:53.440] かしこまりました女の子の
[00:26:56.480] コスチュームかしこまりました
[00:26:58.840] それで行く
[00:27:00.919] ぜあまねちゃんあね
[00:27:04.039] ちんあねちん行こう
[00:27:14.520] ぜうんうんうん早く合わせてくれ甘に甘
[00:27:19.120] ですはいどうも今日もご指名ありがとう
[00:27:21.480] ございますう今日はどんなお話して
[00:27:24.640] くださいますかうんうん楽しみですうん
[00:27:28.480] だあ俺があのうんボトルが残っていますね
[00:27:32.080] あまだボトルあんのボトルいいなボトル1
[00:27:34.679] 回買っちゃったらさだいぶ酒飲まなくて
[00:27:37.440] 買わなくて済むもんねありがとうござい
[00:27:39.720] ます結構ボトル入れんの結構コスパ良くね
[00:27:42.240] 遠慮なくいただきますあ飲め飲め飲め好き
[00:27:44.519] なあまとりあえず1回酔っ払うせてから
[00:27:48.120] とりあえず酔っ払うせてからなんよその後
[00:27:51.159] は好きなお酒を飲ませ
[00:27:53.519] るっていうドリーブカクテルマグマが一番
[00:27:56.440] コスパいいわやべなんかでも分かってき
[00:27:59.880] ちまったなこのゲームの攻略とりあえず俺
[00:28:02.039] はもうしょっぱなでしょっぱなで酔わ
[00:28:04.720] なきゃいけないこの周りがさちょっとモヤ
[00:28:07.200] がかかってんの酔っ払ってる状態なのね
[00:28:09.120] 女の子酔うの待ですま1回でもちょっとお
[00:28:11.960] 話しようかなプレゼントもない所持品が
[00:28:15.159] ないもたざるものえあデートしようよ
[00:28:19.039] なんかどうよあねちゃんはいつもいつ見て
[00:28:21.279] も可愛いなありがとうございます見れなれ
[00:28:24.840] てるのかね今度どっかでデートしようよで
[00:28:27.279] も私まだあなたのことよく知りませんし
[00:28:32.279] 知ってるやんもうほぼ知ってるやんじゃ俺
[00:28:35.760] のこと知るためにデートするっての
[00:28:37.679] はいつもそうやって女の子を説くんです
[00:28:41.760] ねその手には乗りませんよなんでその手に
[00:28:45.200] は乗れ
