[00:00:00.240] お肉はね鶏肉の形なんだ
[00:18:01.880] まだ1気あるべまだ1気あるよなまだ1気
[00:18:05.200] あるよな
[00:18:06.559] よしえまだ2機あるやんめっちゃあるやん
[00:18:09.720] け
[00:18:12.400] 頑張れしたになるからあそうだよあマジで
[00:18:19.120] そうレンジで停電してありある
[00:18:23.720] あるゲーム意外と何回か停電してるからね
[00:18:26.720] 配信中た神ゲーになるか
[00:18:30.600] はくなる絶対なるよエンディングで絶対
[00:18:33.520] 言うもんぱ神ゲーだわてどんだけクソゲー
[00:18:37.080] って言ったゲームでも毎回そうだから
[00:18:39.760] しょうがないもうそういう風にできてんの
[00:18:41.960] チマゲームはそういう風なできてるんで
[00:18:43.760] そういう風に言うようにDNAが刻まれ
[00:18:46.610] [音楽]
[00:18:48.919] てる来た来たバカどもが来たこれ見てお1
[00:18:52.840] 匹どこやったんだお前おい1匹どこやった
[00:18:55.480] んだよ消えた悪魔白てセブないやでした
[00:18:59.480] えっとねうんセーブないねだからゲーム
[00:19:01.799] オーバーになっあのデータ電源消したら
[00:19:04.200] 最初からになっちゃうまこれはあるけどね
[00:19:07.240] でも基本ないよねこれ
[00:19:09.679] はおねこ何結構ゲーム詳しいの
[00:19:13.679] えぐもうそれがたまんねえんだドMだから
[00:19:16.120] さ俺俺ドMなんね初見リスナーに
[00:19:20.320] さいきなり俺ドMなんすよたまんないんで
[00:19:24.760] こういうのがよしピザ温めよめてこうかな
[00:19:29.640] チョピリ
[00:19:32.240] チョピチョピーリって何いいなその言い方
[00:19:35.600] チョピリチョピリ気持ち悪いかチョ
[00:19:38.860] [音楽]
[00:19:40.799] ピリまたありまたありチョピリあやばい
[00:19:46.120] これ武器落とすのマジこも好きなゲーム
[00:19:49.880] あね
[00:19:51.760] うん
[00:19:53.360] 危ねえ先っちょだけ
[00:19:56.020] [音楽]
[00:19:57.640] 言うち
[00:20:00.360] だけ先っちょだけだ
[00:20:03.919] よ
[00:20:07.000] よし落ち着け満タンで行く
[00:20:11.520] ぞハート潤沢ハート宅ハート宅
[00:20:19.919] あ器落とすのレトロの大
[00:20:29.679] 何今のちゃは先っちょが強い
[00:20:33.720] ね何今のダブなんか水地面から生ってこ
[00:20:39.720] なかったニョキっつっておかしいよな
[00:20:42.880] さっちだけ出てたよな地面からな水の瓶の
[00:20:46.400] 先っちょだけ出てなかったなんか地面から
[00:20:49.320] になれ地面からなんかニョキって生えてき
[00:20:51.919] たんだ
[00:20:54.360] けどダメージ食らうし12して
[00:20:59.159] 今ち先っちょだけだからただのボだよ
[00:21:05.080] こんにちはこんにちはしてたな今
[00:21:09.240] えこれ整水はめできるかなできねえよな
[00:21:14.480] さすがにせ
[00:21:16.960] やめ行けるかもしれおあれ悪くなく
[00:21:25.400] ないあ無理だな
[00:21:29.320] 無理無理無理無理やっぱブーメランだわ
[00:21:34.520] いや
[00:21:37.320] よし本当にニキしてたわなんか
[00:21:42.520] ニョッキニョッキだったよなささよなら
[00:21:47.240] 十字墓パタパタ
[00:21:50.150] [音楽]
[00:21:55.679] パタパタ好きだ
[00:21:57.520] なボテロボテロ
[00:22:01.000] ボテロ墓
[00:22:03.840] 笑笑何墓
[00:22:08.320] [音楽]
[00:22:11.760] って
[00:22:13.880] いき2ニキ3
[00:22:16.450] [音楽]
[00:22:18.919] にっきあ見てるよみんなくみてるよ
[00:22:25.630] [音楽]
[00:22:32.440] あれ出
[00:22:34.279] ないあれ出
[00:22:38.080] ない出せよ
[00:22:40.159] えニュージーランドの民族不要です
[00:22:44.960] ちゅ期待させとい
[00:22:49.120] てあれ出そう出てないね今
[00:22:52.480] [音楽]
[00:22:56.799] ねちょっと待て
[00:22:59.000] まとりあえず行こうこれが焦らしプレイ
[00:23:01.880] 時間差はやめろよなみでそうで出ない顔
[00:23:05.799] 面白かっためっちゃアホみたいな顔してた
[00:23:09.180] [音楽]
[00:23:14.760] じゃこれメデューサヘッドがマジでカスな
[00:23:17.760] んですよね
[00:23:20.960] こいつよし
[00:23:26.960] よしな
[00:23:30.640] ナイス
[00:23:31.679] よけ全然ナイスじゃなっ
[00:23:37.799] た
[00:23:41.279] なんてああもうやだって言ってるの
[00:23:45.240] にもうやだって言ってるのにちくしマジ
[00:23:49.039] むかつくこのゲームおめえがなんでずっと
[00:23:53.400] 後ろあもしかしてあんま面白くないゲーム
[00:23:56.320] ですか
[00:23:57.440] これ今気づいたんだけど俺不今気づいたん
[00:24:01.640] だけどあれあんま面白くないゲームかな
[00:24:04.159] これ
[00:24:06.520] ざし何
[00:24:08.679] 雑いや嘘だよめちゃくちゃ面白いよ
[00:24:11.840] めっちゃ面白いけどねめっちゃ面白いで
[00:24:15.039] それはガチ
[00:24:19.240] [音楽]
[00:24:29.000] 悪魔ドラキュラに対する手のひら120
[00:24:33.399] 悪魔ドラキュラだけじゃねえよレトロ
[00:24:35.799] ゲーム全般だよやってる間は文句しかやが
[00:24:38.840] ねただ1回でもクリアできるともう神だ
[00:24:40.640] からやねまだまだこんなの全然よさっきの
[00:24:46.200] 2個前のステージの方が
[00:24:51.320] やばい自分に都合のいいことは全部好きだ
[00:24:54.600] から悪くな全部嫌だし
[00:24:58.520] いいだろそれが人間ってもん
[00:25:00.919] だくのでんでんタイプだ
[00:25:05.440] からでんでんでんでんでんでんみたい
[00:25:10.640] なよしよしこれが人間卵で頭冷やすあもう
[00:25:15.640] 2度とやんねえ俺卵ちだけは絶対
[00:25:17.760] リクエストするんじゃねえぞ2度と拒否
[00:25:20.080] する
[00:25:22.200] から2度と卵ちはリクエストしないで
[00:25:24.640] ください俺にマジでもう地獄だから
[00:25:29.480] 何してる何してる何し
[00:25:31.880] [音楽]
[00:25:35.440] てるえあお小遣いのやつなあのお母さんが
[00:25:39.760] 途中で全部奪っちゃうやつ
[00:25:41.520] ねゲームボーイの
[00:25:45.360] な見ながらてたら橋元もてた笑
[00:25:59.120] よしよしよし
[00:26:01.760] ああああああ
[00:26:05.390] [音楽]
[00:26:10.000] ああ初ショットあざすセンキュー人間性を
[00:26:15.520] 捧げよ
[00:26:18.799] よし心臓を
[00:26:26.840] 捧げよこれ
[00:26:30.520] だあった
[00:26:36.690] [音楽]
[00:26:40.799] あうわそれやられたらどうしようもねえん
[00:26:43.559] だ
[00:26:46.220] [音楽]
[00:27:00.399] それやられたらどうしようもねえん
[00:27:08.159] だ
[00:27:15.679] あ
[00:27:20.440] 笑笑うまかった回避うまうまだったけどな
[00:27:24.799] 草
[00:27:28.440] うんこしてきていいかな死んだ笑デルでる
[00:27:33.760] 言わなかったうんこ出そうだから今今
[00:27:36.679] なんか決ったらうんこやちょっとうんこた
[00:27:38.720] かもしんないからちょいてくるわ5分休憩
[00:27:41.910] [音楽]
[00:27:43.279] うんこもう疲れだうんこるってことか
[00:27:48.360] ルデ早く行っ
[00:27:51.399] てうんこ出たか出そうだった笑先っちょ
[00:27:56.679] だけ出たかもしらんないいよにしむさん
[00:27:59.600] うんちにしむさんうんちぎゅんぎゅんに
[00:28:02.399] しむさんうんちぎゅん
[00:28:07.720] ぎゅんもら下まであるなこれ
[00:28:26.480] は今度からイスの代わりにお丸おい
[00:28:37.799] とこチェアに匂いつく
[00:28:51.080] なくんくん
[00:29:02.279] ミルクコ4フリフリミルクコ4フリフリ
[00:29:05.440] ミルクコ4
[00:29:09.039] フリフリフローラル
[00:29:29.039] めっちゃいい
[00:29:44.640] 匂い石かに犬野郎石かにへ石かにへだ
[00:30:24.880] 今パンツ変えてるやろな
[00:30:36.000] 漏らしたのかズボンもくそだ
[00:30:39.880] よ俺をなめんなよ
[00:30:42.519] こんばん俺をなめんじゃねえ
[00:30:45.600] ぞ次は勝つから
[00:30:50.000] な次は
[00:30:53.320] 勝つなめれないです
[00:31:01.880] 焼酎ボトルピザ温めて
[00:31:21.120] ね焼酎なわけねえだろ
[00:31:28.760] あボコボコボコボコつってさ入れたガチ
[00:31:33.200] いかついだろワンパやってそいかく
[00:31:38.120] ねよしあキツネさん
[00:31:41.760] こんばんはおうんこもらしたわさっきピザ
[00:31:45.519] もう空に見えるけどピザええんかあるよ
[00:31:48.639] あるあるいもうちょっといからやいいや今
[00:31:50.880] はある中からから
[00:31:52.399] 懐かしいてんてんてん
[00:31:56.840] ランランラン
[00:31:58.519] ラチランちゃんチララたきえたきえた
[00:32:07.799] パパパおいしいか
[00:32:10.840] ももうちょっと1回1回待て回ここやめて
[00:32:14.960] 本当ここやめ
[00:32:16.850] [音楽]
[00:32:22.320] てらしたいならパンにけておい
[00:32:26.519] てらしてね
[00:32:28.330] [音楽]
[00:32:29.960] 笑やばい死ぬやばい
[00:32:34.399] 死ぬ
[00:32:36.159] 痛力も漏らした骨キ骨キあいつ後ろに行く
[00:32:41.240] のまずいあいつ後ろに行くのまずいかあく
[00:32:45.360] 見てるよ待ってく見
[00:32:51.760] てるすぐ死にちん
[00:32:59.440] 出せよくしゃみ助からないああいないい
[00:33:03.880] ないいないあいなくなっちゃったいなく
[00:33:06.559] なっちゃったみんないなくなっちゃは
[00:33:11.320] えぐミジはえぐ男みたいな感じの顔になっ
[00:33:16.000] てた笑笑いなくなっちゃったいなくなった
[00:33:23.399] はいなくなっちゃったみんな気になって
[00:33:26.440] 飛んでいったくしゃみ
[00:33:28.559] どこ行っ
[00:33:29.600] [音楽]
[00:33:30.840] ちゃああ怒る怒る怒る
[00:33:34.679] 怒る
[00:33:39.320] 怒る怒る怒るさよならくしに良いやつだっ
[00:33:45.360] たよ怒るよ前で必死にエロいこと考えてる
[00:33:49.039] 顔してたそそ
[00:33:52.600] るおばあちゃんの前でエロいこと考えの
[00:33:55.960] 確かにむいな
[00:33:59.440] あ確かにあんな顔になるだろうなおばあの
[00:34:02.320] 前でエロいこと考えとした無理だもん
[00:34:04.639] かき消してくるもんバーガただどうしても
[00:34:07.600] エロいこと考えあ深深あ深と思っても
[00:34:11.919] バーガるからね
[00:34:18.200] がバーが勝つ
[00:34:23.560] よこれを食べマン強
[00:34:28.119] いやあのさルマンド出してくるばあちゃん
[00:34:30.800] なんて神だからな
[00:34:32.560] なうちのバはさこれを食べつってさなんか
[00:34:36.800] 銀色のなんか銀色に包まれた謎のさつみて
[00:34:40.200] なやつでも謎のつみてなやつ出してくから
[00:34:43.679] うちのおばはなんなんだあれは銀色の髪銀
[00:34:47.760] と金の髪に包まれたあのツみてなやつよ
[00:34:51.440] あれがうめえんだよなでもなあれうめんだ
[00:34:53.639] よなたまに食うとなくせえけど
[00:34:57.960] え銀色の髪に包まれた家庭さキャット
[00:35:01.520] フードみたいなやつバーがよく外と高いの
[00:35:05.000] よ高いよ
[00:35:07.320] なわからないえマジでえ銀色のツみたいな
[00:35:12.320] やつあ勝てやつキャットフードみたい
[00:35:19.520] なそう前もこれ配信で
[00:35:22.520] さ前もあれ何なんだつって調べたんだよ
[00:35:26.119] ツナピコっていうらしいあれ名前可愛すぎ
[00:35:28.680] だろツナピコ
[00:35:30.280] ツナピコうめえよな金と銀の放送によね
[00:35:35.160] ちゃまくだったんだね服と表面に焼かれた
[00:35:38.760] 無にの多いとか渡してくるよ服と表面に
[00:35:42.760] 焼かれた無駄にアンコのポケットからあの
[00:35:46.119] 皮薄いやつね中身ほぼアンコのやつ
[00:35:52.319] ねあるあるあるあるうめえけどなあるな
[00:36:00.680] はいこうなんです
[00:36:04.680] よ調べたらあれのことずっと偽コンソメて
[00:36:08.400] 言ってた偽
[00:36:12.079] コンソメ確かに偽コンソメだけどそれで
[00:36:14.920] ゲームの方あゲームの方は12時間12
[00:36:18.640] 時間半やってやっとラストステージ
[00:36:22.000] 手前だ俺としてはじだやんこのゲーム
[00:36:25.319] ちゃんとクリアできそうじゃん朝までには
[00:36:30.720] いやもこれむ
[00:36:32.880] ずいとあのノーマルイージーハードのうち
[00:36:36.119] のハードだよ
[00:36:37.920] 時間時間ホやろそう今日の朝10時ぐらい
[00:36:41.960] からやってんのずっと11時ぐらいから
[00:36:44.860] [音楽]
[00:36:46.000] ハそうだよも今週末は長時間配信したいと
[00:36:50.680] 思って正直昨日の配信なくて寝てたって
[00:36:53.800] 言ったけど正直嘘嘘っていうかこやるため
[00:36:57.319] にネまである土日ちょっと長い長い配信し
[00:37:01.839] たいなと思って昨日は配信せず寝たま
[00:37:06.359] しようかなと思ったんだ
[00:37:08.720] けどちょいかなて思っ
[00:37:17.200] て正直だからすわいやむずや
[00:37:22.520] これ正直でしょこうやってなゲームが2
[00:37:27.599] 時間も見れるのはいいこと
[00:37:29.240] だろいや一撃死じゃないんだよ体力があれ
[00:37:32.880] 今4しか残ってなかったでしょ4食らうん
[00:37:34.680] だよ
[00:37:36.040] これでもしゃがんでいいんだってこれ12
[00:37:39.319] 時間やってやっと気づいた12時間くらっ
[00:37:42.079] てやっと気づいたこれしゃがんでいいん
[00:37:43.599] だって
[00:37:44.480] さ
[00:37:48.010] [音楽]
[00:37:50.920] ほら
[00:37:53.359] 何早いんだよね
[00:37:56.440] 123食ってるた可愛い顔してたよな
[00:38:01.359] 123の4の5で行ってこうて飛んでポン
[00:38:04.240] ではい
[00:38:05.160] オケオーナー飛びなでここが相なビーザガ
[00:38:09.000] なんだここ
[00:38:10.920] が活発なハムスターみたいだめっちゃ可い
[00:38:14.800] じゃんリズムめっちゃ可愛いじゃんよで
[00:38:19.520] 引きちょっと引き寄せてからじゃないと
[00:38:20.880] 当たっちゃうんだ
[00:38:22.530] [音楽]
[00:38:23.960] よよしうまいうまいうまい
[00:38:27.720] もんよちょっと後頭部切った
[00:38:30.770] [音楽]
[00:38:32.400] なプロかなプロでしょもうここまで来
[00:38:38.200] たこのステージだけで2時間以上やってる
[00:38:40.880] からな
[00:38:44.240] 分分け目増えたな
[00:38:48.440] だーちょっとが瀕死レベルの怪我なの笑
[00:38:51.720] うって笑そうなんだよな何分け目増え
[00:38:55.720] たって何分け目増えたってなん
[00:38:59.450] [音楽]
[00:39:00.880] だあいあいあいもう1回引き寄せちゃおっ
[00:39:05.480] かな
[00:39:07.200] はい
[00:39:10.079] はいここで3体まとめてややっとく
[00:39:15.240] でしょういや当たるんかいなら行く
[00:39:21.800] わなら行くなら行くまいいこれはいいや
[00:39:25.480] ここはもうあんじて受け入れようここは
[00:39:27.400] ダメージしょうがないこっからあのむきで
[00:39:30.599] いけるから大丈夫
[00:39:33.240] このこのフランケンシュタインも
[00:39:36.680] おびき寄せ
[00:39:39.160] ておびき寄せてここまでおびき寄せて形
[00:39:43.720] なかなか黒いこいつがダッシュしてあっち
[00:39:46.040] した瞬間こそう背景なかなかグロいよね
[00:39:48.319] これ
[00:39:50.290] [音楽]
[00:39:52.920] ねいいねいいしょうまいしょもうこれ
[00:39:56.160] ずっとやってたからここやっとわかるよ
[00:39:57.800] やっいけるようになってでこのね試験
[00:40:01.040] ベイビーがこれどどうすかよわかん
[00:40:03.050] [音楽]
[00:40:06.359] ない
[00:40:09.200] 何何何最近の若い子は何分け目が
[00:40:13.400] 多い最近の若い
[00:40:15.720] 女の子こういう髪型好きじゃないこういう
[00:40:18.359] 前髪クデみてな
[00:40:24.040] やつ
[00:40:26.319] わかるみんな同じ顔してん
[00:40:30.160] もんちゅ可愛くてごめん生まれできちゃ
[00:40:36.119] あて
[00:40:43.880] ごめんtiktokやろうかな前
[00:40:46.480] うまいから
[00:40:52.319] そう1回でるのやめ
[00:40:55.680] て歌十分
[00:40:58.400] よここまで来てこのこっちまで寄せねえと
[00:41:01.880] よここまで寄せねえといっぱいし
[00:41:06.800] ないよしよしよしこれでオオオオオオオ
[00:41:10.160] いい
[00:41:11.820] [音楽]
[00:41:14.160] ね42時間してやだよも寝るよこれクリア
[00:41:19.640] し
[00:41:21.079] た
[00:41:23.160] よし
[00:41:25.200] よしうましうまし
[00:41:28.119] うまし
[00:41:30.920] [音楽]
