[00:00:24.880] はいはいはいはいはいはいはいはいどうも
[00:05:20.560] っていうえっとメガドラのCDディスクの
[00:05:23.680] やつがあるのよそれがなんとです
[00:05:26.520] ねこないだ新発表がありまして皆さんこれ
[00:05:29.919] はねゲーム配信ゲーム配信の革命だと思い
[00:05:33.960] ますあのねCDロムロムっていうシあの
[00:05:36.720] やつなんのよこのラストハルマゲドンて
[00:05:38.720] ディスクのゲームなんだけどなんとですね
[00:05:42.479] ポリメガアプリというのもがですね無料で
[00:05:44.960] えっとですねリリースされるらしいんすよ
[00:05:48.759] ポリメガアプリパソコンでできるポリメガ
[00:05:51.000] みたいな無料でえっと外付けディスクが
[00:05:53.360] あればポメアプリにを使えばですねCD
[00:05:56.759] ロムロとかそういうディスク系のゲームが
[00:05:58.759] パソコンだけで遊べしまうというなんと
[00:06:00.560] いうこれやばくないすかこれやばくない
[00:06:04.360] とんでもないことだよこれプレステ1とか
[00:06:08.319] PCエンジンCDロムロムえディスクの
[00:06:11.479] ゲームさえあればはいお疲れちゃんいろ
[00:06:13.560] ちゃんお疲れがあれば誰でもパソコンで
[00:06:17.520] そのゲームが取り込めてしまマかしむマジ
[00:06:21.120] かしむマジかなんで配の幅が広が
[00:06:26.000] るってこと
[00:06:31.240] ポリメガアプリていうのがリリーされんだ
[00:06:33.039] ポメアプリのプレ2はできないです残念
[00:06:36.199] ながらあのポリメガアプリっていうのが
[00:06:38.759] リリースされるんよ始めますポメはいどう
[00:06:43.160] もこんばんはチマゲームです
[00:06:45.360] あのはいポリメガという互換機があるん
[00:06:48.479] ですけどもそれのアプリ版がなんと
[00:06:50.800] リリースされるみたいでそれがなんと無料
[00:06:52.919] ラチですよ無料無料でURL省略できる
[00:06:57.360] らしくてそれがん
[00:07:00.120] これねゲキでできますかゲームキュはでき
[00:07:02.560] ないちょい久しぶりだちょい久しぶり確か
[00:07:04.840] に髪型もなんかちょっと前に前に戻しまし
[00:07:07.080] たまどうでもいいんこのねラストアゲとか
[00:07:09.960] のあのこういうディスクのゲームこういう
[00:07:13.479] のが必要だったんですけど本体がなんと
[00:07:15.520] パソコンだけでもできてしまうというなん
[00:07:17.400] という素晴らしいことでしょうかこれ僕
[00:07:19.560] このねPCエンジンCDロムロムとかのね
[00:07:23.199] あのあの揃えのに5万近くかけてるんです
[00:07:26.840] けどそれがなんと無料でできてしまうと
[00:07:28.520] いう無料ですよ皆さん無料ポリメガアプリ
[00:07:32.440] これはやばいですよねだからみんなもなん
[00:07:34.639] とですよみんなもあの配信でみんなも
[00:07:37.919] ラストハルマゲドンができちゃうんですね
[00:07:41.319] これはやばくないですかこれさえ買えばこ
[00:07:44.120] ディスクはもちろん必要ですよもちろん
[00:07:45.759] ディスクは必要なんだけどこれ買えば誰で
[00:07:48.680] も配信でできてしまうというテレスててて
[00:07:52.400] て素晴らしい世界になりましたね皆さんね
[00:07:55.360] やばくないリスク結構高ま確かに高いっす
[00:07:58.319] これ5000円ぐらいするんで
[00:08:00.560] まままままでもさ配信の幅めっちゃ広がる
[00:08:03.199] と思わないこれ実機揃えなくていいんだぜ
[00:08:05.960] まそんなことはいいやさっさと始め
[00:08:07.319] ましょうやっ
[00:08:08.919] たあシズさちゃんこんばんはさお
[00:08:12.360] こんばんはさあやります今日もやっていき
[00:08:14.720] ますえーPCエンジンCDロムロムえ
[00:08:18.120] ラストハルマゲドンというゲームを今日も
[00:08:20.120] やっていきたいと思います素晴らしい世界
[00:08:23.280] を皆さんで堪能していき
[00:08:25.919] ましょうこれねなんかね画面ちょっとずれ
[00:08:28.560] てんだよね
[00:08:34.719] で音ちょっとちっちゃくねえかごめんつわ
[00:08:38.800] おちはいオッケー大丈夫だよ楽しんでこい
[00:08:41.640] よちゃまなめててアラさんこんばんはさあ
[00:08:44.959] やりますラストハルマゲドンごめん
[00:08:47.320] ちょっと横にさと画面ちょっと黒火でき
[00:08:49.080] てんのはなんでかて言うとこのなんかあの
[00:08:51.640] オープニング画面とゲームプレイ画面で
[00:08:53.480] ちょっとなんかずれるんあ揉めてるん
[00:08:56.760] だやりましょうやりましょうちょっと早し
[00:08:59.120] てして
[00:09:02.160] あ茶大好きだっぞ楽しんでな楽しめよその
[00:09:07.839] 友達ももう強しといてくれ不興しといて
[00:09:10.800] くれチマゲームっていう配信がさ今あるん
[00:09:13.560] だやってるんだけど裏であんたと通話し
[00:09:16.200] てるせいで見れないんですけど言っ
[00:09:19.920] たれさあやっていきましょうさ今日もこの
[00:09:23.320] 15分という長いオープニングを見ようと
[00:09:26.079] 思いますけどもどうでしょうか皆さんまず
[00:09:27.680] はずは
[00:09:31.240] の今となってはもう知るもない今日も見
[00:09:34.800] たいと思いますこの15分があるくそ長い
[00:09:38.200] 死にが受けてたりしてしてくれ
[00:09:45.399] ない7万ぐらいすから本物買とするただ
[00:09:50.000] 後輩した地標が限りなく続くこの景色を幸
[00:09:54.480] にも目に止めるものはもう耐えられないん
[00:09:56.760] だもう耐えられないな
[00:10:00.519] 何ゲームの音声通どうせ途中で飽きるよあ
[00:10:04.079] もう飽き
[00:10:05.600] た15分は見てられませんさあ始まります
[00:10:08.399] よと音でか声ちっちゃくてBGMでかい
[00:10:14.320] 分かってた全回のアーカイブ見たら
[00:10:16.640] ゲーム音クソでかくて
[00:10:18.760] さ俺の声全然聞こえなかった言ってなもし
[00:10:23.279] あれば大丈夫かな今日は15
[00:10:28.000] 以上待今日はレベル上げをしたいのも山々
[00:10:31.720] なんだがなんだがちょっとねあのみんな
[00:10:36.560] 言ってたじゃんこんにち音でかいって笑
[00:10:40.399] シジさんこんばんは今日は大丈夫だよね
[00:10:42.000] 今日は俺の声の音量と大丈夫ですよね
[00:10:45.040] ちょうどいいぐらいじゃないちょうどいい
[00:10:46.760] ぐらいじゃないわかんね
[00:10:48.399] けどエンカウント多くねえか今日ちょっと
[00:10:52.360] レベル上げとバランス良いです今日
[00:10:54.920] バランスオッケー今日はあのレベル上げ
[00:10:58.440] するんだけどちょっとね
[00:11:00.480] ごめんあの攻略サイト見てね今日は攻略
[00:11:05.079] サイトをちょっと見ましてちょっとねあの
[00:11:08.079] ストーリー進めたいなっていうのがあり
[00:11:10.120] ましてまずはですねこのゲーム最強の武器
[00:11:13.760] を拾いに行きたいと思うんですけどどう
[00:11:15.160] でしょうかおハーピー進化しました全然
[00:11:17.279] エロくなくなっちゃうんですねこのこいつ
[00:11:19.120] 進化すると
[00:11:20.639] ねたちょっと1回試したいことがあっ
[00:11:24.880] てなんかねあのね略
[00:11:29.399] してなんかねあのねこの
[00:11:32.680] ゲームなんだっけえとあの石カってんだっ
[00:11:35.920] け石化って石化って何だっけ石化石化の
[00:11:39.279] 魔法えっとザホムザホムが死ぬほど重要
[00:11:43.480] らしくてたらちげえ
[00:11:47.519] 適当言んじゃねえ適当言んじゃねえぞ
[00:11:52.240] なんかねあのザムが死ぬほどちょっと必要
[00:11:56.440] らしくて要石化しちゃえばボス的でも動か
[00:11:58.839] ないぞと
[00:12:00.160] ちょっとホムをちょっと進化させたいなっ
[00:12:02.360] て
[00:12:03.600] いうピドじゃないねピドじゃないだから
[00:12:07.200] できないあれまだお仕事もしかしてお
[00:12:11.079] 仕事まちょっとね今日は何するかって言と
[00:12:14.560] ちょ石板も読んでこうかなって
[00:12:16.560] いうこ石板を読むとねこの深みが増すん
[00:12:19.880] ですよねてあ気をつけてな気をつけてな
[00:12:23.199] 永遠という言葉は誰かが作り出した誰が
[00:12:25.639] 作り出したのかそれゆに多くのと多くの
[00:12:28.320] 絶望を
[00:12:29.959] このね僕この石がちょっと好きでありがと
[00:12:33.519] 石像をちょっと今日は読んでこうかなと
[00:12:35.880] 思います石板か
[00:12:41.760] 石板ちょもうねちょっとこの辺魔法とか
[00:12:45.839] 本当は使いたいんだけど使ってくか使っ
[00:12:50.399] てく
[00:12:51.580] [音楽]
[00:12:54.680] か魔法のレベル上げないとさ魔法覚えねえ
[00:12:57.839] からさ
[00:13:00.920] パチバグってやめたんちゃうんか初めから
[00:13:04.199] やっとんじゃひめちゃんこんばんは初め
[00:13:06.880] からやってるシステムカードをあの
[00:13:08.959] 0.11までダウングレードすれば何やら
[00:13:11.440] 大丈夫っって聞いたんであのわざわざ
[00:13:13.720] システムカード買ってあのシステムを
[00:13:16.800] ダウングレードしてやってる石板をねこれ
[00:13:19.320] ちょ全部読んでこうと
[00:13:21.519] 思う要はこの世界観をみんなにちょっと
[00:13:24.480] 知ってほしいので傷つきしも牙のを通れ
[00:13:27.440] 同士たちの助けなくしてはせ
[00:13:30.839] すしないのだから
[00:13:33.800] はい要はここのことを言ってるわけですね
[00:13:36.720] このスタート地点周りのこの石板は多分
[00:13:40.279] なんかこのゲームのシステムとかを手
[00:13:44.040] ジジジジです敵を知ることは大切である
[00:13:47.199] しかしそれ以上に己れを知ることは重要で
[00:13:49.399] あるなるほどなみんなもそうですよまず人
[00:13:52.240] を知る前に自分を知りましょうてことです
[00:13:56.079] ね浅いコメント
[00:13:59.519] え健人の予言は全ての人々に恐怖を持て
[00:14:02.720] らしたなぜなら彼らの彼の語るように世界
[00:14:05.079] が動いていったからだったなんかちょっと
[00:14:07.120] よくわかんないですねいやこの石板を読む
[00:14:10.560] ことでなんかこの世界のなんか深みが増す
[00:14:12.320] わけです
[00:14:13.519] よ心して聞け心に自分になき力を求めよ
[00:14:17.880] この言葉は進化の時まで忘れてはならだ
[00:14:19.880] からそういうことだなあのモンスター進化
[00:14:22.320] して合体できるんすよこれだからレベル
[00:14:24.720] 17と
[00:14:26.199] かええねええねよ帰れ
[00:14:30.199] あであのなんつうの合体すると要はその
[00:14:34.920] モンスターモンスターになんかあのなん
[00:14:36.680] つうのかな特性があるんだよこいつは魔法
[00:14:39.399] が使えるこいつはなんか道具が作れる
[00:14:41.519] こいつは空を飛べるとかそれ合体すると
[00:14:43.759] それが1つになるわけ1つっていうかそれ
[00:14:46.079] を受け継ぐことができるんだよモンスター
[00:14:47.800] モンスターそうなのでなのであの合体の時
[00:14:51.839] はちょっとそれも考えてねこいつこの能力
[00:14:54.680] 欲しいからこいつ合するみたいな言いしみ
[00:14:59.199] じゃねどうしたんだ
[00:15:00.560] よ石板読ん
[00:15:04.120] でこう心して聞けと言われたらそれに従え
[00:15:07.000] 覚えることが不可能ならせめて書きとめて
[00:15:08.720] おくことな試して聞けって始まるやつは
[00:15:10.920] なか重要だよって言ってんだけどそんなに
[00:15:12.600] 重要じゃねえと思うんだよななんかそれっ
[00:15:15.480] ぽいこと言ってるだけなんだよなこの
[00:15:17.480] 石板昨日ちゃま配信なかったから溜まっ
[00:15:20.800] てるすいません寝ちゃいまし
[00:15:22.839] た108枚の石は必ずや旅人の道シベット
[00:15:26.399] なろうなるほど
[00:15:27.959] な今日は
[00:15:29.959] じゃあ次何しよっかなってとこなんすよね
[00:15:33.600] 昨日ね変なねあの職場から電話来て焦っ
[00:15:37.210] [音楽]
[00:15:39.279] てらこれ8匹モンスターはね割と魔法とか
[00:15:43.000] を使っていきたいんだダチってなんだっけ
[00:15:45.720] みんなダチってなんだっけ脳は魅なのよ脳
[00:15:50.800] は魅もう毒がうぜえ魔法をかけたじゃなく
[00:15:55.519] てさ毒毒かセンキュー
[00:16:07.630] [音楽]
[00:16:09.839] 要はこれま前も言ったけど熟レンド
[00:16:12.920] システムだから魔法使わねえと魔法の
[00:16:15.040] レベルは上がんねえんだよ魔法ってこれね
[00:16:18.480] 意外とめちゃくちゃ重要
[00:16:21.240] で育ててかないとああきついんだよねま
[00:16:24.880] このぐらいだら自動でか
[00:16:29.199] でガガンやっちゃうのがいいんだ
[00:16:35.839] けどほらほらほらほら体力悪運便性あ逃げ
[00:16:39.360] 逃げちゃったん
[00:16:41.399] か1回戻ろかごめんな昨日からず昨日じゃ
[00:16:45.959] ない昨日の配信の時からずっともうまだ
[00:16:48.240] 全然なんかこのレベル上げしかしてないん
[00:16:50.040] だけどほとんど
[00:16:52.360] ねこの頃のゲームってやっぱりさあれだよ
[00:16:55.160] ななんかちょっと必要なのよねレベル上げ
[00:16:58.319] てちょっとねちょっとこれさなんかさっき
[00:17:00.160] から思うんだけどなんでこれ画面ちょっと
[00:17:01.519] ずれてんのちょっと待ってそういうゲーム
[00:17:04.600] なんだもんなそうなのよま昔のRPGって
[00:17:06.959] そうなんだよな我が
[00:17:08.720] 魔たこれ映した感やってたゲームやねそう
[00:17:13.199] レベル上げがいいんだよなそう映したあか
[00:17:15.319] んやつが出んのよ要はヒトラが出
[00:17:18.199] ますあんまり言いたくないんですけどこの
[00:17:20.679] ようなことしかできないあのヒトラが出る
[00:17:22.760] んすよねこのゲームね頑張ってくれ気を
[00:17:25.480] つけ
[00:17:27.280] ましょうよし
[00:17:29.480] ちょっとこのさ上がったらつまんなくなる
[00:17:31.760] よピクセルリマスター確かにちょっと
[00:17:34.400] じゃあさレベル上げしていいまずまず
[00:17:37.200] こいつら6レベル7レベルぐらいまであげ
[00:17:39.280] たいんだちょっと次行くと決めてあるから
[00:17:42.280] バイオニックコマン
[00:17:44.140] [音楽]
[00:17:46.400] だの復活なあれもやりてんだよな
[00:17:49.640] ファミコンのなさんこんばんはおみ進化見
[00:17:54.120] てらスケルトンだけだよ
[00:17:57.840] あか防御のステータスもさげねえと防御も
[00:18:00.960] 上がんねえらしいんだよスで買おうとして
[00:18:03.559] たあまあ別にいいんじゃね普通にやる分に
[00:18:06.720] は楽しい
[00:18:07.960] よ今更ファミコンやる方がきついとは思う
[00:18:11.600] 正直僕僕みたいなあのあれじゃなければ
[00:18:15.200] あのなんつうの古中じゃなけれ
[00:18:19.520] ばちょっと待ってなんか画面がこのさあれ
[00:18:24.000] なんだよなちょっと待ってね
[00:18:27.500] [音楽]
[00:18:29.679] こいつでこいつと戦うのが一番正直レベル
[00:18:32.159] アップになるんだ
[00:18:33.440] よクマーでるからその辺調整できるように
[00:18:37.600] なるはずだよあそうなん
[00:18:40.080] だここでちょっとMPを無駄打ちし
[00:18:44.840] てあのMPをわざと使い切ってから戦う
[00:18:48.240] そうすることで魔法が上がるんすねボタン
[00:18:50.880] 連でめっちゃ早ますよ能あ確かにそれは
[00:18:54.600] そうあとBGMれるよった神
[00:19:02.520] 早くブルは髪型せセタわけだ
[00:19:11.520] よ今の髪型はダサいいやダサくないんだ
[00:19:17.240] けどダサくないんですけど格好つけてると
[00:19:20.120] 思いませんかマブ早くセンターけに戻せと
[00:19:22.919] 僕はちってるわけですよ特殊これ
[00:19:26.640] ねこね特殊力ちょっと強い技があるんだ
[00:19:29.760] けどこれ使うと攻撃力しかアップしなく
[00:19:32.880] なっちゃうんだってだからできれば持って
[00:19:35.080] 神か接近攻撃で倒さなきゃいけないのを俺
[00:19:38.480] は知らなかったランランランお手で
[00:19:42.200] ランランランこれじゃなきゃダメなんだっ
[00:19:44.320] てでもさこれだと正直弱すぎるんだよ
[00:19:49.520] ねこれがちょっとさ時間かかるよね倒すの
[00:19:54.159] ねただ今もうこれ魅了状態だから攻撃でき
[00:19:57.720] ねえんだよこいつ
[00:20:00.919] これでも削り終わんの何分かかんだこれ
[00:20:03.919] ちょっとやめようこのレベル上げちょっと
[00:20:05.400] 良くねえなちょっとレ時間がかかり
[00:20:10.360] すぎる特殊攻撃っていうのは要は特技
[00:20:13.159] みたいななんかちょっとした強い技なんで
[00:20:14.679] でしかもこれ特殊攻撃ってMP消費とか何
[00:20:18.080] もないのよそう脳の効果分かってきたね
[00:20:21.880] 分かってきたねCさんそうです脳の効果
[00:20:25.880] です
[00:20:29.679] 俺70とか効くんだぜ200とか効くんだ
[00:20:31.880] よ特殊攻撃でこれ何のデメリットもない
[00:20:34.000] からこっち打ち放題なんだよ意味わかん
[00:20:36.760] ねえだろ意味わかんないんだよ普通の攻撃
[00:20:40.320] 9とかしか食らわねえのにさ70とか
[00:20:42.960] 200とか食らわんだよこれもそうすっと
[00:20:46.240] ほらあんまりね攻撃力しかアップしねえん
[00:20:48.159] だよ難しいとこなんですよね普通に打撃で
[00:20:52.120] 倒さねえと本当はダメなんだよこれ金どん
[00:20:54.320] くらい持ってんだろちょっと装備違うね
[00:20:56.679] 装備作る前に
[00:20:59.000] わこれどうすっか
[00:21:01.159] なかとりあえずがっつりレベル上げちゃう
[00:21:04.520] かちょっとすいませんあの
[00:21:12.640] まずメッセージ速早そろそろ行きそう覚え
[00:21:18.840] てきてるじゃねえかこれでごめんちょっと
[00:21:22.600] ねちょっと次行きたいとこレベル奨レベル
[00:21:25.400] 7ぐらいだったん
[00:21:26.799] で7まげもぱで10分で10分であげるわ
[00:21:31.400] もこっからももうめちゃくちゃあのもう
[00:21:33.159] 速攻速攻でき
[00:21:35.880] ますこの黄色いなんかエイリアンみたいな
[00:21:38.520] 出てきたことないけど
[00:21:41.159] ねこれ何回もボスと戦えんだよ
[00:21:44.640] なえ接近攻撃特殊能力ケツカチだよ
[00:21:58.960] まこぐらいだったら行けるかなどうかな
[00:22:01.919] ちょっと行きたいとこあんでちょ行ってみ
[00:22:03.440] ていいですかあのねちょっと
[00:22:07.640] ね武器拾えるとこがあんだよそこ行くと
[00:22:11.960] 我がこのゲーム最強の武器がもう手に入る
[00:22:14.480] のねさ取り行こうと思ってスケルトンが
[00:22:17.000] デッドって面白いね確かにもう死んどるや
[00:22:20.200] んけっていうねどこだったかな覚えてねえ
[00:22:23.960] んだよ
[00:22:26.440] な間戦さ石マ
[00:22:30.440] や最強装備で無双してみた我々にはシエの
[00:22:35.400] 過去と未来を持ついや1度は知っていた
[00:22:38.360] はずなのだなんや
[00:22:42.039] それどこだっけななんか変な剣をね拾える
[00:22:47.600] とこがあるんだよ空飛ぶわ1個のさガて
[00:22:51.640] 画面の視角がさ低すぎてさちっちゃすぎて
[00:22:54.240] さ自分がどこにいるかとかわかんねえんだ
[00:22:56.840] よこれ
[00:22:58.280] [音楽]
[00:23:00.840] 空を飛ぶと海も渡れるんだ
[00:23:03.600] ねあこの辺
[00:23:06.320] かなこの山ん中だったと思うんだよな前回
[00:23:11.360] な違ったっけなんかこの辺にさなんか変な
[00:23:14.360] ドのゲートがあってさあれ違あありました
[00:23:20.159] ここですちょ1回セーブしよ勝てるか
[00:23:22.080] わかんねえからここボスなんだよ
[00:23:25.760] 確か行くで
[00:23:28.760] 獲物がいたぜこれ勝てるか
[00:23:32.080] な
[00:23:34.240] えーまあでも何もやることないよな特殊
[00:23:37.360] 能力ま接近攻撃魔法でまダチは入れとくか
[00:23:42.720] ダチって何だっけ
[00:23:44.159] ごめんさあ獲物はどっちだおダチって
[00:23:47.039] どっちだっけダチってなんだっけダチって
[00:23:49.120] お猫ダチってなん
[00:23:52.159] だ毒毒よよよ早くて助かりますとりあえず
[00:23:57.559] 毒入れとこっか
[00:23:59.000] であと脳で魅了して
[00:24:03.440] えめちゃくちゃ強くないすかあしかも
[00:24:07.600] アニメーション回復するの忘れたちょっと
[00:24:10.360] 待ってこれ勝てる
[00:24:17.480] か
[00:24:19.240] えしかもごめんちょっとこれあれ早くし
[00:24:22.120] すぎたわこ勝っちゃって
[00:24:24.600] いい勝てるかああ勝てねえ勝てね全然
[00:24:31.799] だめ弱い奴らねだめ
[00:24:37.279] 全然めちゃくちゃ強かったわあらこんな
[00:24:40.279] 強かった
[00:24:41.520] な武器とか装備してないからでも大丈夫
[00:24:44.799] セーブしたからこセーブさえしとけば
[00:24:46.919] 大丈夫なん
[00:24:48.360] だ防具とか作るか
[00:24:51.580] [音楽]
[00:24:55.480] ね4000円しかねえもんな正これじゃ
[00:24:58.720] 全然なんだよな4000円じゃさ正直さ何
[00:25:05.000] の防具も作れねえよ
[00:25:08.399] なちょっと待ってねえっとねパーティーも
[00:25:12.480] さこれ10時で変わっちゃう
[00:25:14.290] [音楽]
[00:25:15.640] からそこなんよねで装備もさ装備できる
[00:25:19.520] やつできないやつがいるから防具装備
[00:25:21.799] できんのはこのパーティーの中だとオーク
[00:25:25.240] とスケルトンだけなんだよそうだね
[00:25:27.480] オークスとハーピーはあの装備できねんだ
[00:25:30.960] これだからオークとスケルトン用に買って
[00:25:33.679] やりてオクが装備できんで1番強えのは
[00:25:37.520] バルキリー
[00:25:40.080] アーマーなだ2万だお金ってどうやって
[00:25:43.880] 貯めんだよ
[00:25:45.760] これお金必要じゃ
[00:25:48.679] ね正直このパーティーが一ちゃん弱えこの
[00:25:52.240] 昼間のパーティーがヒル金夜勤と月に1回
[00:25:56.919] のレア出勤は
[00:25:59.200] そこそこ強いんだ
[00:26:00.560] [音楽]
[00:26:02.240] よこのね回もヒル弱かったヒキ弱えんだよ
[00:26:06.880] な魔法もかぶってるしねダチでだって
[00:26:10.679] スケルトンとさスネークダチしか使えねえ
[00:26:12.799] んだもん被ってるんよねその強い時にボス
[00:26:17.760] そうそうそうそうそうそうそうでも結局
[00:26:19.440] それやっちゃうとあとあとこいつらでしか
[00:26:21.919] 進めないって時にきつくなるからやこいつ
[00:26:23.760] らのレベルも上がんない上げないといけ
[00:26:25.159] ないんだよね
[00:26:27.190] [音楽]
[00:26:31.200] う魔法でも使っ
[00:26:36.200] とく魔法使って魔法レベルもちょっと上げ
[00:26:39.720] とくかこれねバンシーボイスってのはね
[00:26:43.600] 全体攻撃だからめっちゃ強いんよパワー
[00:26:46.200] バランスマジぐちゃぐちゃなんだよ
[00:26:48.279] なこんな全体に190の攻撃与えるの何の
[00:26:51.960] デメリットもしで売てんだぜそればっか
[00:26:54.240] 使えばええやんと思うじゃんそうすると何
[00:26:56.279] も育たなくなっちゃうんだここって確か
[00:26:59.000] なんかちょお金もらえた気がすんだよね
[00:27:00.600] ちょっとここで修行していい
[00:27:03.200] かヒキ育てないとちょっと話になんないね
[00:27:06.039] これね弱
[00:27:09.039] すぎ22時であの交代なんでそれまだ
[00:27:13.640] ちょっとレベル上げよ22時ゲームの中な
[00:27:16.600] まだちょっとハーピーは後でレベル上げる
[00:27:20.440] そしてこいつらは魔法とか使っ
[00:27:23.000] てちょっと育成要素めっちゃそう育成要素
[00:27:26.600] がちょっと癖があるんだよ本当に
[00:27:28.480] めちゃくちゃ癖
[00:27:31.559] ある特殊ボイス特殊でバンシーあこれ
[00:27:35.720] バンシーだとほら攻撃順もあってこれだと
[00:27:38.799] もうハーピーしか育たねんだ
[00:27:41.640] よほらなでしかも特殊攻撃は攻撃力しか
[00:27:45.640] アップしない
[00:27:46.720] の見てでもお金めっちゃも630もらっ
[00:27:49.559] たあ1回これ金金稼ぎさせてここでで防具
[00:27:53.960] とか攻撃とあのあれとか育てて行き
[00:27:57.600] ましょう
[00:27:59.679] 600円もらえんだここでけえな1
[00:28:02.399] 戦闘ハーピーの攻撃力しかアップしないん
[00:28:05.039] だけどなそ稼ぎは他のパーティー任せれば
[00:28:08.519] したいんだけどでもさ他のパーティーのと
[00:28:11.399] お金共有じゃないからこれ的にちゃうねん
[00:28:14.080] お金共有じゃないのよそこもまたみそよお
[00:28:17.080] 金は各パーティーでしかあの使えないから
[00:28:20.760] こいつらの装備買う時はこいつらが枯かか
[00:28:22.720] なきゃいけないそうなんだよそれが厄介な
[00:28:25.080] んだよ
[00:28:27.160] [音楽]
[00:28:29.399] それがその不便さが面白いこレトロ
[00:28:33.440] ゲームやってると思うけどやっぱねが
[00:28:35.840] すごいお方です知らんけどめっちゃむい
[00:28:38.960] じゃんそうなんだよだから結局こいつらで
