[00:00:19.880] ジマゲームさんコメントお待ちしてま邪魔
[00:14:48.279] 何本当に自分で決めれんのかなめん君
[00:14:52.800] はいいいね私は小屋がやりたいんだ
[00:14:58.040] けどこれだフトさんが言ってたのこれ
[00:15:01.839] フェイトさんの言フェイトさんの言これだ
[00:15:05.079] わ文化祭は小屋これをね彼は最後に
[00:15:08.759] 言い残して消えていきまし
[00:15:11.120] たこれを言い残してフェイトさんは森へ
[00:15:13.880] 消えていっ
[00:15:15.120] たこれだわもう完全に小屋だ
[00:15:19.800] わ小屋できたらすっごくももうもうもう
[00:15:23.600] もう全力で小屋にしけるよはもう仕するわ
[00:15:29.040] だったら本気で光は燃えそうだなとこれは
[00:15:31.680] もう小屋しかないね文化祭は小屋そう
[00:15:34.639] 決まってるんですよねそ尽くしたかな運命
[00:15:37.120] はそう言ってる多数決で決めましょうはい
[00:15:40.160] うん何がいいかな
[00:15:41.720] 小物小物屋仮装
[00:15:45.360] 行列小物屋一択だろう
[00:15:48.639] がお小屋に決まった
[00:15:52.040] おおよし高校生活で最後の文化さだ頑張る
[00:15:55.279] ぞといいですね
[00:15:59.839] 文化祭ていつだ本物やって何すればいいん
[00:16:03.000] だこしはばっちりあ褒めてもらえるんです
[00:16:06.440] ねファイトその調子だねあ
[00:16:14.440] ざすあ今日はデートでございます今日どこ
[00:16:17.360] 行くんだっけなま忘れたけどまいっか
[00:16:20.639] デートしようそれじゃ駅前広場で光を待ち
[00:16:24.079] ますぞと
[00:16:31.519] もう好きなんだな俺のことがなそんなこと
[00:16:34.639] ないよ私は来たかったから早く来た
[00:16:38.560] だけじゃこ正直もうここまで来たらあの
[00:16:42.680] なんかデートってそこまでしなくてももう
[00:16:45.480] 正直もうもうもう大丈夫ちゃ大丈夫なんだ
[00:16:48.800] けど今日は何するのファンシーショップ
[00:16:52.160] 小屋やるんだからちょっとさ小屋やるんだ
[00:16:55.000] からちょっとねあの参考までに見とこうぜ
[00:16:57.959] 分かってる
[00:17:00.000] すっごく
[00:17:01.440] 嬉しい早く
[00:17:03.880] 行こう好きすぎるでしょ俺のことこの子
[00:17:07.000] まった
[00:17:08.439] ね見てみてあそこのペンダントってさ身に
[00:17:12.880] つつけるとあらゆる災難から守ってくれる
[00:17:15.839] んだっ1人1人つけた方がいい女の子いる
[00:17:19.039] なこの色かわいいそっか俺買っちゃうぞ
[00:17:22.880] なる心から信じたら守ってくれそうだね
[00:17:25.880] うんやっぱこういうのってける人が信じて
[00:17:30.039] ないとダな気がするよねそうなんだよね
[00:17:33.080] そうなんだよ病いは木からとかさあのあれ
[00:17:36.240] だわ
[00:17:37.280] あの松本ひも言ってたわお笑いライブで
[00:17:41.520] 笑う気がないやつはまずもう絶対面白く
[00:17:46.600] ないと思っちゃうんで来ないでくださいっ
[00:17:48.000] つった笑う気がないやつは来るなって笑う
[00:17:50.919] 気があるから面白くなるんだってさそう
[00:17:53.000] いうことなんだよね配信もそうです
[00:17:55.679] よ配信もそうですからね皆さん全顔
[00:18:00.360] なだからコメントする気がない人に
[00:18:03.240] コメントしてねつたってしないんだ
[00:18:05.760] よ俺今この状況で言うのすげえ
[00:18:09.360] なんかよかったら皆さんねコメントの方
[00:18:12.360] ください
[00:18:14.640] ねうわすげえドキドキしきた嘘なんで今日
[00:18:18.520] みんな誰も来ないんだろうねいつもの人
[00:18:20.880] たちが来ないまそういうこともある
[00:18:22.400] でしょうねそういうこともあるんだ
[00:18:26.559] よまあいいややりましょうね何にしようか
[00:18:29.600] なやっぱ昨日休んだのが良くなかったのか
[00:18:32.120] な昨日休んだのが良くなかったのかなね
[00:18:36.360] はいお腹かなはい追加デート来た時間も
[00:18:39.080] あるしさ追加デート来たわはいやってき
[00:18:43.039] ましょうよかったじゃあ行こうよこれ追加
[00:18:46.440] デートもなんかもっとバリエーションあっ
[00:18:48.280] ていいよななんかいつも同じ喫茶店でほ
[00:18:51.840] この喫茶店で少し休んでたまあまあいい
[00:18:55.320] でしょう混んでるみたいだけど
[00:18:59.039] でどうせ俺の方をじっと見ているんでしょ
[00:19:01.200] 知っ
[00:19:04.799] てるめっちゃロードしてるななんか
[00:19:08.919] えとかいちょっと甘いのが食べたいなもう
[00:19:12.960] もうさメニューはとか言いながらメニュー
[00:19:16.000] 見てないよね俺のことしか見てないじゃん
[00:19:19.200] あ一番食べたいのは僕ですって
[00:19:24.799] か特に笑笑というコメントも流れず
[00:19:32.080] 久々に来たなああ来
[00:19:35.799] た助けてくれよムさんなあ配信開始15分
[00:19:41.440] じゃ20分誰もコメントしねえの
[00:19:44.600] [笑い]
[00:19:46.760] さん誰もコメントしねえかびっくりした
[00:19:50.880] よそういうこともありますわなそういう
[00:19:54.120] こともありますわなこんばんはお疲れ
[00:19:56.520] ちゃん今日もやってきますえ
[00:19:59.720] 今日で終わるんじゃなかろうかと見て
[00:20:01.919] くださいこの子ね僕のことが好きですこの
[00:20:05.360] 子はみなに教えとくわ僕のことが好きです
[00:20:08.039] この子
[00:20:11.400] は私はレチ茶にしよかえマジですげえやる
[00:20:17.640] のいいねじゃ私はレアチーズと紅茶に
[00:20:21.200] しようかなとじゃ俺はブラックコーヒー
[00:20:23.960] つけてるよねこつけてるよ
[00:20:26.600] ねし欲しい
[00:20:29.120] じゃああーんて口開けてくれたらあげる
[00:20:32.559] もう好きじゃん俺のことじゃすら
[00:20:37.200] さん好きなだけだわ
[00:20:41.440] 可愛い俺のこと好きなんだろう
[00:20:44.200] なう何これえこれ何これなんだこの
[00:20:50.240] コマンドなんだあ文化祭準備かさん
[00:20:55.280] 誕生日文化祭準備これ何これえ何今
[00:21:01.360] の今のなんだ今の何今のコマンドなん
[00:21:06.799] だ10月になったん
[00:21:10.600] で紅葉でも見に行く紅葉見に行こうよつっ
[00:21:15.039] て
[00:21:17.200] なねねねねみつさんまだいるあのさなんで
[00:21:20.440] 今日こんなあの静かなんだろう
[00:21:23.279] ねのすさんいやまねやまみ信者なんか
[00:21:29.240] まだまだなんかあのないと思うんすけど
[00:21:31.799] そんななんか地名度もクソもないと思うん
[00:21:33.799] ですけど珍しいよねでも
[00:21:36.610] [笑い]
[00:21:38.120] ね
[00:21:40.320] ねまあそうだよ
[00:21:43.919] ねいまいちエンジンつのひたすらさんそう
[00:21:47.880] いあ
[00:21:50.400] 何何何お電話し
[00:21:53.840] [音楽]
[00:21:57.520] ちゃおうえルスなの体育の日はルスです
[00:22:02.000] かじゃ自分磨きでもするあじゃちょ
[00:22:05.200] ちょっと待っ
[00:22:08.000] てちょっと他の子とデート1回行ってみ
[00:22:11.080] たいんだけど無理なのかなマジで毎回断ら
[00:22:14.520] れるんだよ
[00:22:16.559] ねこダメか
[00:22:21.039] これそういえば何そういえばなんだよ今日
[00:22:25.640] あの今日コメント全然来ねえからあの
[00:22:27.440] しつこいよ俺
[00:22:29.720] 1個のコメントずっとこするよ1回
[00:22:31.640] コメントしたら
[00:22:32.440] [笑い]
[00:22:34.520] 俺1回コメントしたら俺ずっと聞いてくる
[00:22:37.440] からね今日俺しつこいからね今日は全然
[00:22:39.960] コメントこねえからそういえばねむさん何
[00:22:42.279] そういえばってそういえば何そういえばっ
[00:22:45.480] てんこんばんはなけ何なけ何を名付ける気
[00:22:50.960] だよこんばんはどうもこういうこともある
[00:22:53.799] んですねこういうこともあるんですねつい
[00:22:55.960] 僕
[00:22:57.000] 先日年
[00:22:59.360] の
[00:23:01.559] ひたすらWindowでもいい感じ
[00:23:04.440] Windowsでも全然大丈夫だよ
[00:23:05.880] Windowsでも全大丈夫うんあの
[00:23:07.640] セラートDJってやつあのダウンロード
[00:23:10.960] すればいいよセラートDJライトってやつ
[00:23:13.080] だったら無料だからで俺も俺もぶっちゃけ
[00:23:15.120] ずっとライトでやってるし全然あの全然
[00:23:17.480] 問題ない
[00:23:18.720] よもしかしてさ配信の同とかそういう
[00:23:22.320] なんかあれあ視聴者ってもしかしてさ1年
[00:23:24.760] でリセットさされる感じ俺聞いてなかった
[00:23:27.279] んだけど契約
[00:23:29.279] のひたすらさん契約更新され
[00:23:34.520] ずみんな首になっちゃっ
[00:23:37.320] た派遣社員みんな首になったはいそうです
[00:23:40.760] ちゃんさんなんだ
[00:23:42.320] それなんだそれ
[00:23:46.120] ありがとうなんだそれ
[00:23:48.159] ありがとうマジで365
[00:23:51.480] ざん2ありがとう
[00:23:55.279] ありがとうちゃん
[00:23:57.440] さんほんまね
[00:23:59.760] ありがとうね色々あったけどねなんかこう
[00:24:03.039] やってきましたわなんどかんだなんだかん
[00:24:05.279] だねやってきましたよねまたこっから1年
[00:24:09.320] もねなんか楽しくやれればなと思っており
[00:24:11.279] ますけどもねあ白さん橋本だけどやっぱり
[00:24:15.200] かけてきましたね俺ちょっとこの子もいい
[00:24:17.840] んだよなんさんこんなにっぽいこの俺が1
[00:24:21.240] 年辛くなんてね前回全く同じこと言っ
[00:24:25.480] たず
[00:24:28.880] かこの女の子とも
[00:24:31.919] ねたまにはちょっと違う女の子もこうね
[00:24:37.440] つまみ食いじゃないですけど言い方がれあ
[00:24:42.080] さんお疲れちゃんなんで今日さみんなさ
[00:24:46.159] あのの前回見てたあ見知ってる俺ねま
[00:24:50.799] ちゃんがこうねひっそり見ててくれての
[00:24:52.919] 知ってるんだよ知ってるんだよえっとねこ
[00:24:58.520] どこ行けばいいんだろう演劇部だから
[00:25:01.159] ちゃんさんえ知ってるよ知ってる知ってる
[00:25:04.279] 全然分かってるよあの下地キャラクター出
[00:25:06.520] てるから
[00:25:06.920] [笑い]
[00:25:08.840] なありがたい話ですねあまケバケバした
[00:25:12.960] とこ行きたくないって言ってたなこの子な
[00:25:15.520] えっとねボーリング場ゲームセンター
[00:25:18.679] カラオケボックスショッピング街どこ
[00:25:21.159] 行こっかな宗ちゃんさんコメントしなくて
[00:25:24.200] もいるのかしのそうなんだよそうなんだ
[00:25:26.720] いやなんかなんかあの設定があるらしいん
[00:25:30.679] だけどそのなんかインチャットみたいなな
[00:25:33.360] 全然英語で全然わかんねえから変えてない
[00:25:35.039] 最初からすいませんいやでもこれもねあの
[00:25:38.120] 結構あのあれだよな難しいところではある
[00:25:41.799] よねなんかねあのどれがどうそいない方が
[00:25:45.240] いいのか俺はなんかワイワイごちゃごちゃ
[00:25:48.320] してたか好きだからまこのまんまでもいい
[00:25:50.080] かなて感じなんだけどカラオケボックス
[00:25:52.279] 嫌いでしょうのひたすらさん届いたら教え
[00:25:55.159] てね何を何を何何何を届いたらっ何が何
[00:26:02.520] を何届いたらって気持ちが君のむさんド
[00:26:09.840] 400の
[00:26:11.760] こと何がああそういうことですねあいいよ
[00:26:16.360] いいよ教える教える全然教えるよDJ教え
[00:26:19.320] 俺教えるほど教えるほどあれだよ教える
[00:26:23.159] ほどうくねえ
[00:26:24.480] よ教えるほどうくないよえどこ行こっかな
[00:26:28.000] なんか植物園とか好きそうなんだ
[00:26:29.720] コンサート行こっか演劇部だ
[00:26:32.000] しその日はダメですねマジでなんなんだよ
[00:26:35.880] いい
[00:26:37.159] よ全然ダメ
[00:26:40.640] じゃんそういえば今日はか先生の誕生日で
[00:26:43.360] ございますカ先生なんてそんなまなんか
[00:26:46.440] あれっぽい言い方すんなよこの子何が好き
[00:26:48.559] なんだっけ何これブリブリワンピースっ
[00:26:52.000] て何ブリブリワンピースっ
[00:26:56.039] てかお姉さん何が好きなんだだっけな好き
[00:26:59.399] なものドライブお風呂に入ることでしょ
[00:27:01.120] アロマテラピーセットでえ一択
[00:27:04.240] ですせカミ先生なんて言わなくていいよね
[00:27:07.640] どうしたの呼び捨てで覚えててくれたのね
[00:27:12.240] わ私こういうの大好きこのありがと生徒
[00:27:16.320] からものもらっていいんだなグチグチ言わ
[00:27:19.360] れそうなんか他の不細工な先生とかに
[00:27:22.039] なんかあのグチグチ裏で言われてそう
[00:27:31.960] さて帰りましょうのひたすらさんもう
[00:27:34.480] 抱こうこの先生のこといやでも俺は光択
[00:27:39.120] 待っててよかった一緒に帰ろうよ一緒に
[00:27:42.159] 帰ろうないいよ一緒に決まってんだろ行っ
[00:27:46.000] てみるえもう今日はもうあこの後何もし
[00:27:49.519] なくてももうエンディング決まってるね
[00:27:51.559] 勝ったねこれ
[00:27:54.360] ねえー
[00:27:59.919] もうデートまぶっちゃけもうデートも
[00:28:02.039] そんなにやる必要ないだよねここまで来
[00:28:06.279] たらもうだってこっからだって俺もう光俺
[00:28:08.600] のこと好きすぎて多分俺目の前でお尻出し
[00:28:10.320] ても多分嫌われる気しないもんのすさん
[00:28:13.159] そんな暇ねえよて言まし言うわけねえだろ
[00:28:18.120] のもん言える勇気最初からないよ
[00:28:22.559] 俺中央公園とか言ってみる河川公園とか
[00:28:27.200] 言ってみる
[00:28:28.919] あもうもうどこでんさんお尻は喜ぶ可能性
[00:28:33.279] すらあるよ了解了解でもやだな俺光には
[00:28:37.279] 喜んで欲しくない
[00:28:40.360] なこれなんだろうこれ何なんだろうこれね
[00:28:43.519] このコマンドこれ文化備あ文化祭準備か
[00:28:47.320] これえこんなもんクソ頑張るに決まってん
[00:28:50.120] じゃんだって光がやりたいっつってた
[00:28:51.760] イベントだ
[00:28:53.210] [音楽]
[00:28:57.039] もんお尻出して喜んじゃいます
[00:29:01.320] かまいるかもしれなそういうのもな
[00:29:04.640] えっとね11月1日か落ちるっていう
[00:29:09.159] なんかアトラクションがあるらしいすね
[00:29:10.480] これなんかイベントありそうなんで絶対
[00:29:11.720] 行こう
[00:29:13.120] えもう予約入れちゃおっかな予約入れ
[00:29:16.919] ちゃおっか
[00:29:18.919] なはりんく電話くれて嬉しいなえ1日から
[00:29:26.399] だから1日からだからこのこさ11月3日
[00:29:30.039] のこのラブホマークは何ついにそういう
[00:29:32.760] ことかついについに許された俺たちも海禁
[00:29:37.519] 遊園地行き
[00:29:38.679] ますでこれ待ち合わせ場所はバス停オッケ
[00:29:42.279] バス停が2回目ねむのひたすらさんラブホ
[00:29:45.919] 行っちゃうのそういうアイコンもありまし
[00:29:48.360] たね謎のね謎の
[00:29:50.640] アイコンなんでバなんだよよしよしよし
[00:29:54.279] よしよしよしいいぞちゃんさんお尻で喜ん
[00:29:56.760] じゃがいつのひたすらさん俺俺が俺が喜ぶ
[00:30:01.960] 側じゃんそれ俺が喜ぶ側じゃんバステじゃ
[00:30:05.679] ない方よしこれ絶対合ってるもうこれさ
[00:30:09.320] デートすっぽかした時のあれマジで
[00:30:11.240] トラウマだからやめてほしいはいもうあの
[00:30:15.600] 待ち合わせ場所間違えたかなみたいなそう
[00:30:17.600] いう選択肢もないんだ好きすぎてなめん君
[00:30:20.559] ちょっと早くついちゃってさいやごめんな
[00:30:22.559] 遅くなっちゃった遅くなっちゃっ
[00:30:24.799] たそんなことないよ私は来たかったから
[00:30:28.559] 早く来ただけなんなんだお前じゃ行こうよ
[00:30:32.840] 可愛
[00:30:35.559] すぎるむつきのひたすらさんふう笑笑いい
[00:30:39.640] ねえ光に聞きたいことが
[00:30:42.240] ある進路聞いてみよっかねえ好きな場所
[00:30:46.760] 嫌いな場所ってさ俺のそれともなんかその
[00:30:49.399] それさ俺自身のことなのかプレイスその
[00:30:52.120] 場所な宗ちゃんさんいつも思うけど好きだ
[00:30:55.080] からって早くいかんくないなんなんだろう
[00:30:57.240] なそのなんかあれなんじゃない気持ちが
[00:30:59.279] 早まっちまってなんかもう早く会いたい
[00:31:01.039] みたいないやわかんないんですけどあもし
[00:31:04.360] かしてこれ俺あれですかこれもしかして
[00:31:05.919] 童貞の童貞のあのなんか夢みがちなほ嫌い
[00:31:10.080] やから遅れるんかってなって
[00:31:13.360] くるそうですねそうですよね考えたら切り
[00:31:16.880] がないですねまそうか俺これあれか童貞の
[00:31:21.120] 勝手なあれか理想を言ってるだけか好きな
[00:31:23.840] 女の子が俺に会たすぎて早く来るって
[00:31:26.399] そんなことはない家まで迎えに来いやとか
[00:31:29.639] 思っちゃうよ笑むつのひたすらさんどこな
[00:31:33.399] んですか連笑笑どうでしょうねはいもう
[00:31:37.600] これもうそこんだけあの人全然来ないから
[00:31:41.039] コメントめっちゃしつこいよって言った
[00:31:42.840] けどもう自分の都合の悪いコメントは流し
[00:31:44.760] ますどうでしょうねわかりませんねきの
[00:31:46.519] ひたすらさん僕はどです笑聞たくねえよ
[00:31:49.559] そんな
[00:31:50.519] もんいいんだよもし仮にそうだとしても
[00:31:53.279] いいよネットぐらい強がって生きてけよ
[00:31:56.000] はい路路進路聞こうね進路
[00:31:58.480] そういえばさ光はもう決めた月のひたすら
[00:32:02.639] さん娘はますけどねどうするのあのさそれ
[00:32:07.360] 事実だとしたらすごい複雑だからあのいい
[00:32:11.600] やもう聞か
[00:32:12.710] [笑い]
[00:32:14.760] ない冗談だよな冗談だよな俺俺はまだ
[00:32:18.200] はっきりとはじゃあ私もなんで
[00:32:25.480] よなんだ
[00:32:28.639] それだけすらさんだよななちゃんさん
[00:32:36.360] デリケートめちゃくちゃ俺もドキし
[00:32:39.399] え童貞なんだけど娘がそれって再婚で
[00:32:44.670] [音楽]
[00:32:47.440] あさ一緒に帰ろうよ一緒に帰りましょう俺
[00:32:50.880] もうこの背景の響きの川公園って書いてん
[00:32:54.840] じゃんの時ってさあってあのあのルビ入ら
[00:33:00.799] なくないルビっていうのあの何送りがな
[00:33:03.519] なんのなくない河川敷のちゃんさん機に
[00:33:08.240] なってるよね下敷とかのあれになってじゃ
[00:33:11.039] のひたすらさん再婚するぐらいならもう
[00:33:14.039] やってるわかった分かったよもうそのその
[00:33:16.919] そのいいよそのデリケートな話は
[00:33:20.039] もうちゃんさん公園あ河川敷公園なるほど
[00:33:25.039] ね
[00:33:27.130] [音楽]
[00:33:28.399] 文化祭楽しみだね文化剤ねこれどいつの
[00:33:32.679] ひたすらさんコメそうですね白て言ったら
[00:33:36.559] 文句言うししないしなかったらしないで
[00:33:38.840] 文句言うしな本当に都合のいい男ですい
[00:33:41.919] ません都合のいい配信うん本番は明後日
[00:33:44.360] だっていうのに小物の集まり方が悪いな
[00:33:46.799] えっとさうちにある小物でよかっ
[00:33:51.320] たら俺の部屋からも持ってっていいよ俺の
[00:33:55.200] 部屋からもなんか持ってっていいようんと
[00:33:57.960] これ俺の俺の食べかけのラムネ俺のラ俺の
[00:34:02.440] 食べかけのラムネ持ってっていいです
[00:34:04.919] 並べよ本番ですよえ本当かうん全部はめだ
[00:34:11.280] さんデブ台画面で
[00:34:13.480] くもちゃんもちゃん今日なんで今日こんな
[00:34:18.960] 人来ないんだろう
[00:34:20.000] [笑い]
[00:34:22.679] かなんかもぎさんあるよね笑笑あるよね
[00:34:28.800] そういうことねやっぱりやっぱ生物だもん
[00:34:31.800] ねあの配信ってねちゃんさんダブデ画面
[00:34:35.760] 何何何デブ大画面なんだよいつもこう
[00:34:38.599] だろうがうん全部はダメだけどねそういや
[00:34:42.599] 光は昔から変なもの集めるのが趣味だった
[00:34:44.399] もんな変なものじゃないってばこれねあの
[00:34:47.599] 今何してるかって言うと3年目最後の文化
[00:34:50.639] 祭なんか出し物をクラスですることになっ
[00:34:52.839] て前回の最後かなフェイトさんがねあの際
[00:34:56.119] に言っていきましたは小屋これだけを
[00:34:59.320] 言い残して彼は森に消えてきましたこれを
[00:35:01.400] ねあの彼の遺言をね僕は遂行してえ文化祭
[00:35:04.800] では小屋をやることちゃまくと共通の
[00:35:07.960] フォロワーが
[00:35:09.440] 配信あそうなのみみな配してんだ今
[00:35:14.040] うんまあまあまま別に別に別にいいんだ
[00:35:17.599] けどね別にいいんだけどねはいやります
[00:35:20.640] よしまずは確認だうんうんとにかく行って
[00:35:23.880] みようぜ足りなかったら他で集めなきゃ
[00:35:27.160] いけないし小屋って何小屋と
[00:35:31.720] はへてめえちゃの部屋おいちょっと待って
[00:35:38.119] くれしているからそうあコちゃもやってん
[00:35:41.160] だ
[00:35:42.880] えね俺さ初めて光の部屋上がったのになん
[00:35:46.280] でこいつ一緒な早く帰れ空気読めおおい
[00:35:50.040] 空気読んであ俺邪魔か
[00:35:53.160] なつ邪魔ですか
[00:35:56.640] ねですかね兄貴は帰ってくれへえひかり
[00:36:01.319] ちゃんの部屋ってこんな風なんだもう
[00:36:03.440] あんまりでてめえがいんださんさすがに
[00:36:06.599] 邪魔ブルー部屋本当だよ空気で帰れあり
[00:36:10.599] ちゃんこんばんはりちゃんこんばんは
[00:36:12.040] 初めてねひかりちゃんの部屋に上がったの
[00:36:14.240] になぜかおっあの超いらねおまけつきです
[00:36:16.920] おそうだなさっさと探しちゃおうお前なん
[00:36:18.920] でおめえもさん3人でなんで3人でな3人
[00:36:21.920] なんすか3人でなん運はいはいそっちの棚
[00:36:26.319] は大体平気月のひたすらさん笑笑この
[00:36:30.040] 引き出しかなはいはいはいよし手分けして
[00:36:32.960] 選ぼう
[00:36:34.960] これなんかどうかな私はいいけどみさん
[00:36:38.319] なんで今おけおっぱいといい間違えてたん
