[00:00:10.480] D
[00:03:55.239] TwitterなんかTwitterで
[00:03:56.920] いいねとかしてくれてるよねぐさん
[00:03:59.159] ありがとうございますフォローありがとう
[00:04:01.000] うわ嬉しいなどうもちゃまと申します今日
[00:04:03.760] からねやっていきますよ
[00:04:07.760] と時めきメモリアル2え前回前回というか
[00:04:12.519] 前にね1をやったんです
[00:04:14.840] が間違いなくここここ半年で1番面白かっ
[00:04:18.799] たんじゃないでしょうかあの配信がさん
[00:04:21.519] スキーだけに暴言なの何何何何あそうさん
[00:04:25.639] こんばんはそうこんばんは何あ好きだけに
[00:04:28.040] 暴言ってかおうまい
[00:04:31.160] ういです
[00:04:33.560] ねありがとうットもありがとう配信は初め
[00:04:37.479] た嬉しいね嬉しいねねレトロ
[00:04:42.080] [音楽]
[00:04:44.080] ゲーム
[00:04:46.919] 何さんさんありがとう100も好きなのに
[00:04:51.960] 暴好きなのに暴言
[00:05:00.240] クリップ見てもらおっかなくそおこの曲
[00:05:04.800] うるせえ俺のね前回前回っていうかそのト
[00:05:08.600] メモ1やった時
[00:05:10.280] の時メモ1やった時のクリップ見て
[00:05:15.039] もらおういやあれめちゃくちゃ面白かった
[00:05:17.520] よな1周目で1周目で
[00:05:22.160] あのクリップてどってみんだあたたたた1
[00:05:27.360] 周目
[00:05:28.639] で謎のさんとめも配信は本当本当1もやっ
[00:05:35.280] たんだよワンもやったの1ヶ月ぐらい前か
[00:05:37.199] な1周目でねあのなんか奇的にいやなんか
[00:05:41.400] わかんないなんかPCエンジン版やったん
[00:05:43.360] だけどなんかどうやらPCエンジン版って
[00:05:45.000] すげえ難しいらしくてま案の定誰からも
[00:05:47.360] 嫌われたのね女の子全員が爆弾を抱えて
[00:05:50.479] 全員俺に対して怒ってる状況になったの
[00:05:52.720] そんな状況で絶望のエンディングですよ
[00:05:55.120] なんと隠しキャラを引き当てまし
[00:05:58.639] ても完全にあれボンバーマンになってたな
[00:06:03.000] 完全にボンバーマンになって
[00:06:05.800] たあれどれだっけ作成日じゃなくて視聴数
[00:06:10.199] で見た方がいいのかなあこれこれこれこれ
[00:06:13.240] これこれこれこれちょっと待ってこれ
[00:06:16.639] URLはる待って0703デラコマさん
[00:06:20.280] 現実でもとめちゃデラコお疲れラコお疲れ
[00:06:24.680] 今日からやるぜ皆さんお楽しみのえっとね
[00:06:28.440] ごめんちょっと待ってね
[00:06:30.280] クリップってこれどうやって自分の見るん
[00:06:31.919] だっけ
[00:06:33.240] えっと
[00:06:36.120] これ今一度皆さんねあの僕はこういう奇跡
[00:06:40.360] を起こす男だというのですねえ念頭におい
[00:06:43.880] て今回のメモ2邪魔
[00:06:47.919] テレビ
[00:06:52.039] ボックもう自分で言うのもなんだけど神
[00:06:55.080] 展開だと思った
[00:06:57.319] マジでマジで神だととった俺も1回見よう
[00:07:03.960] それじゃ急いで行かなくちゃおい来たぞ来
[00:07:07.160] たぞテンション
[00:07:08.800] 高テンションバカ上がってるからこの時
[00:07:11.400] 219さんこれ来たか来た
[00:07:14.800] だろこれは奇跡だったよ
[00:07:17.840] な
[00:07:19.400] 誰誰誰これ誰これ髪やくないなんか俺の
[00:07:22.520] チャンネルの全クリップの中でも1番3番
[00:07:25.120] 目に再生されてるわ誰誰誰誰誰なろ誰なろ
[00:07:29.520] マさん楽しみですなこれをるものにえ誰
[00:07:36.520] さんでおあちゃんこんばんは誰誰なの知ら
[00:07:42.039] ないんですけどこの人こんな奇跡を起こす
[00:07:45.280] スクロールしてよ囚人さんさん笑笑はい
[00:07:48.960] どうもこんばんはおすおすどうもちゃまと
[00:07:52.400] 申しますえ今日からでございますね今日
[00:07:55.680] からでございますけどもえ皆さんお楽しみ
[00:07:58.240] のこちらのゲームやってきますよ
[00:08:00.599] めき
[00:08:03.080] メモリだで笑えめちゃくちゃれしてれくそ
[00:08:06.919] うるせえのテンション上がりすぎてねやっ
[00:08:09.759] てきますよ皆さんお楽しみ
[00:08:11.730] [音楽]
[00:08:12.150] [笑い]
[00:08:13.759] 誰今日のために買ってきたからね今日の
[00:08:17.639] ために買ってきたよこれ1枚全部使う
[00:08:20.720] らしいフルでふざけんなマジでわざわざ
[00:08:25.120] 買いに行ったよこれ買ってきました
[00:08:26.840] メモリーカード全部使うらしくてでね
[00:08:29.840] なんか1枚買ってきたわしたらさぶっ行っ
[00:08:33.560] たら売ってねえで2件ぐらい回っちゃった
[00:08:36.240] よこれ売ってねえんだ意外とな探してない
[00:08:39.479] 時は見つかるんだけど探すと追い求めると
[00:08:42.880] 手に入んない恋愛って一緒です
[00:08:46.440] ねはいやってこうやってきましょう
[00:08:53.120] ねポチっともう早速行くぞ今日
[00:08:56.720] はもう早速行くぞ
[00:09:01.560] 俺のコボケに誰も笑わ
[00:09:04.440] ずプレステまで
[00:09:09.360] 終了フロッピーディスクにあそうなんだま
[00:09:14.120] ちょっと前回昨日のね今日の朝ねちょっと
[00:09:17.040] かじっちゃったんだけどねあの最初の30
[00:09:19.800] 秒ぐらいはやっちゃったんだよねまま
[00:09:22.680] コナミ行きますなんだこの
[00:09:27.959] ブんだて言っ
[00:09:31.440] てちょっと待と画面のサイズが芳ばしく
[00:09:34.800] ねえなちょっと待って画面のサイズを覚え
[00:09:38.519] てますか覚えてますあの頃のことこれ
[00:09:41.880] ブーっておなんだあの頃の思いもくおい
[00:09:46.480] ぞそんなに文句言ったかな恋人たちに祝福
[00:09:51.399] を与えるあの金の伝説
[00:09:54.880] を
[00:09:56.720] よしそれも夢で
[00:09:59.860] [音楽]
[00:10:01.600] 思い出になってしまった金の音オこれで
[00:10:05.680] 行こうでもシャープシテちさんオップ最高
[00:10:10.720] ねえもうなん画面のサイズがコロコロ
[00:10:14.000] 変わるなんだこれのにあるからあ俺の心
[00:10:18.360] だだから忘れない
[00:10:21.920] であなたの思いがちょ難しい画面のらせる
[00:10:26.720] ことあ来た来たクソメインヒロインえ最初
[00:10:31.120] に言います俺メインヒロイン狙います1周
[00:10:35.320] 目引こ1回オープニング見よう
[00:10:39.000] ぜいやマジ可愛い1の時よりさ絵柄が
[00:10:43.320] ちょっと現代っぽくていいよなクソかなん
[00:10:46.240] だ
[00:10:48.200] こいつ配信しろ
[00:10:51.600] よなんかクソビッで稼い
[00:10:55.079] ですね
[00:11:00.480] ね
[00:11:01.520] [音楽]
[00:11:05.360] だらめちゃくちゃよくないなんか可愛い
[00:11:08.560] です
[00:11:13.880] ねあ
[00:11:16.560] [音楽]
[00:11:26.200] そうい涙がセクシー
[00:11:29.900] [音楽]
[00:11:35.839] いやアニメーションめちゃくちゃすげえわ
[00:11:38.880] めっちゃ可いよねアニメーションすげえあ
[00:11:42.839] この子もちょっと可愛いよねあ先生なこれ
[00:11:49.020] [笑い]
[00:11:51.279] なやっうちのチャンネルのあれにしたいな
[00:11:56.040] なんか矢印
[00:12:01.240] 期待しかねえ期待しかねえぞこのゲーム
[00:12:04.160] ときめきメモリアル2いきますプッシュ
[00:12:06.880] スタートボタンあざすえまずオプション
[00:12:09.279] から用意周なんでねまずはオプションから
[00:12:12.720] えアイコン
[00:12:15.320] 配置カーレウンド
[00:12:18.199] え文字表示速度これはちょっと早いでいか
[00:12:21.079] せてもらいます瞬間可愛いね瞬間心重ね
[00:12:26.240] ていきますえ
[00:12:29.480] 速度これはいいよねそのまんまでね
[00:12:31.120] カーソル速度早いていかせてもらいます
[00:12:32.839] よしよしよしこういうところ用意しevs
[00:12:36.079] 作成当たり前だろかあ何これ使う気持ち
[00:12:39.760] でしょ音声出力ありステレオ安定シテ拝見
[00:12:43.639] なんだか分かりません行きますなんだか
[00:12:44.959] 分かんないけど行きます
[00:12:47.560] オこブーっと音どうしても入っちゃうの
[00:12:50.920] ごめん
[00:12:52.079] なゲームスターティング行きますいやあ
[00:12:56.480] 始まってしまいますとついにスロットは2
[00:13:00.800] ですこれブートとマジ何まいっか音流れ
[00:13:05.399] てれば気なんでんだろニューゲームです
[00:13:07.360] 始めから行きますちょ昨日ねちょお試しで
[00:13:11.199] 君の字を教えてえ僕の名前はえ本名ガチ
[00:13:15.800] 本名でいきますえこのゲーム遊びじゃない
[00:13:18.320] んですよねふざけたチマとかいう名前使い
[00:13:21.000] たくないんですよふざけたチマゲームとか
[00:13:23.800] いうバカみたいな名前使いたくないんで
[00:13:25.320] マジのガチの本名でいきますえどうも
[00:13:27.320] 初めまして橋本連んと申します
[00:13:29.130] [笑い]
[00:13:31.079] このゲームあ木な橋じゃなくて木なんだ今
[00:13:34.519] で入ってんだよなガチ本名でございます
[00:13:37.079] 覚えないでください皆さん覚えないで
[00:13:38.839] くださいえ橋本連んと申しますえ橋はえ橋
[00:13:43.839] ですね変にこの橋にええ本です本
[00:13:49.240] へこのゲームやるとさ何もかもバレるんだ
[00:13:52.519] よね何もかもばれるんだよなこのゲーム
[00:13:55.320] やると
[00:13:59.959] 2します25歳え来月の6月11日で26
[00:14:04.720] 歳でございますよろしくお願いしますえ
[00:14:07.360] はい名前は名前はレンと申します名前負け
[00:14:10.079] してますすいません名前負けしてるとよく
[00:14:11.560] 言われますかっこいい名前ですねえ誕生日
[00:14:13.839] 6月11日1996年6月11日でござい
[00:14:16.920] ますえ来月の11日が誕生日です皆さんに
[00:14:19.079] 覚えといてくださいねえ撃型は大型
[00:14:21.920] お母さんはa型お父さんが大型Aの王です
[00:14:25.199] ねもうプライベートゼ行きますevsの
[00:14:30.120] データありません作るでしょうが当たり前
[00:14:32.959] だろう
[00:14:35.320] が行く
[00:14:37.720] ぜevs昨日ちょっと遊んだけどこれ
[00:14:40.639] すごいねこのゲーム合成音声でさん
[00:14:44.759] プライベートとはロッソちゃんさん
[00:14:47.240] こんばんはあロソちゃんこんばんはメモす
[00:14:49.560] なメモすなえこの子で使いましょうかね
[00:14:53.240] このゲーム何が何がすごいって合成音声で
[00:14:56.639] 僕の名前を呼んでくれるんですよ
[00:14:59.279] 素晴らしい嘘だろもう泣いてるのかこの先
[00:15:03.279] 持たねえ
[00:15:05.000] ぞこれね何がすご本当すごい聞いててこれ
[00:15:08.800] 合成音声なんだけどほら見て
[00:15:11.639] 聞ゲームあげんべゲバカみて俺の声より
[00:15:14.800] あげよ俺と同じぐらい
[00:15:16.600] あげようこれで行く今日
[00:15:18.810] [音楽]
[00:15:20.560] ゲーム音聞こえますか皆
[00:15:23.399] さんこれすごくない感ねしかも昨日試した
[00:15:27.839] んだけどどうやレンって名前めちゃくちゃ
[00:15:30.319] 奇跡的に違和感がない1番違和感がない
[00:15:33.560] いろんな人の名前試したんだけど他の人の
[00:15:36.720] 名前結構違和感あるんだよなんか
[00:15:37.959] ぐちゃぐちゃとなってたりレン君のこの
[00:15:40.319] 自然さお母さんありがとうレンという名前
[00:15:43.800] をつけてくれてこの時のためだったんだね
[00:15:46.720] なるほどなびこしてたんだろうなお母さん
[00:15:48.959] なみさん
[00:15:50.800] ワうちの人わる君ていう子がいるんだけど
[00:15:53.839] じゃちょワタルで作ってみてくさワタルつ
[00:15:56.120] わなんかワタルくワタルく
[00:16:00.440] 明らかみたいなレくもうこれれん君なんて
[00:16:03.800] レくじゃんレくなあ俺お母さんに未だに
[00:16:07.480] くけで呼ばれてんだけどマジでこれなんか
[00:16:10.079] ねワタルくみたいな行きましょうこれ
[00:16:15.000] [音楽]
[00:16:16.440] で久々にテンション爆上がり
[00:16:20.040] でいいですよ楽しみですよこの
[00:16:24.079] ゲーム合が入ってきた終了しましょオえ
[00:16:27.680] evsのデータを保存しますこののために
[00:16:30.000] 1枚買ってきました500円でセブには
[00:16:33.920] 少し時間がかかり
[00:16:36.040] ますめっちゃ時間かかんじゃん何この
[00:16:40.319] すげえセーブしてんだろな
[00:16:43.000] 今頃すげえセーブしてんだろなこのデータ
[00:16:46.440] をいや素晴らしいですねこれみは呼んで
[00:16:50.160] くんねえのかな仲良くなるまででっって
[00:16:52.040] 多分み呼びだと思うんだ俺の
[00:16:55.680] ことよし
[00:16:57.810] [音楽]
[00:17:00.199] 始まるぜ刮目しろよおめえら歴史の巻けだ
[00:17:03.199] よこれ
[00:17:05.280] があすれば来たわワタ君がワタ
[00:17:10.760] くドラ2度とやんねよドラ2度とやんね
[00:17:14.120] ワタ君が来たワ
[00:17:16.839] 疲れ祝さんにってきましさん疲れ
[00:17:23.439] ちゃんあちょっと待ってタこっち入れてね
[00:17:26.959] ちょっと待ってちょっと待ってちょ待て
[00:17:29.080] これ終わったこれもまたなり続ける
[00:17:32.360] の永遠にクソ可愛いこの女の子横
[00:17:38.410] [音楽]
[00:17:41.480] のれんちゃんらすげえ帰ろお疲れすごく
[00:17:47.000] ない今の聞いたれんちゃんこんな完璧に俺
[00:17:51.840] 女の子に連んちゃんて呼ばれたの初めて
[00:17:53.799] ドキドキししまうさんれんちゃんね
[00:17:56.159] めちゃくちゃ
[00:17:57.480] れんちゃん一緒に帰ろうだってうーうん
[00:18:01.240] 帰ろういいですねどうやら幼少期の時代
[00:18:05.080] から始まるみたいだねわんさん設定するの
[00:18:09.120] に何時間かけたの5分5分んどうもレと
[00:18:13.200] 申します痛い
[00:18:15.440] よ大丈夫小学生ボイスでショーターボイス
[00:18:18.880] で行く
[00:18:21.520] わここ転んじゃいましたれんちゃんれん
[00:18:24.600] ちゃんどうやら転んでしまいましたねあ
[00:18:27.080] そう大丈夫
[00:18:29.760] うセクさん
[00:18:34.640] かこれ小学生の時にこんなお姉ちゃんがい
[00:18:37.679] たら俺もう
[00:18:38.640] ちょっと曲がる性癖が曲がっちまうこんな
[00:18:43.960] おいただこいつすげえ頭悪そう高校生で
[00:18:47.000] お前こんな緑だぞ頭髪の毛マニパニクソ
[00:18:50.400] 使ってそう
[00:18:53.360] 毎朝たまんねえなこれ
[00:18:55.799] なお姉ちゃん
[00:18:58.799] や痛いの痛いの飛んできああ飛んでっ
[00:19:01.600] ちゃった痛いの痛いの飛んでっちゃったな
[00:19:04.760] あも平よねはいいつまでも座ってないで
[00:19:10.799] ありがとうエさんエリエリーえれ
[00:19:15.200] ありがとうかお姉ちゃんえいいなか
[00:19:17.559] お姉ちゃんひかりちゃん大丈夫
[00:19:20.440] うんさんより道しないでいやこれね苗なん
[00:19:25.200] だ多分ここに書いてあんのなんだっ
[00:19:27.720] け何お姉ちゃんつったっけじゃよりしない
[00:19:30.200] で早く帰るのよ
[00:19:31.960] となんこの幼少期から今回始まるみたいだ
[00:19:35.200] ね幼少期
[00:19:37.200] からカスミあそうかみちゃん
[00:19:41.120] ねあらあんたの子供わけねえだろそんな
[00:19:46.159] わけないねだろスクロールはなかったこと
[00:19:50.000] にしてねちょっと待って
[00:19:52.120] よすぐ流せるようにしとかないとだめだね
[00:19:55.080] メディアソース追加わるさん
[00:19:59.840] タジオスクとあれだよいつものさんはしろ
[00:20:03.400] いやいつものあれだ
[00:20:04.580] [笑い]
[00:20:07.120] よレドありがとうこれ
[00:20:10.760] を流すことにした
[00:20:13.640] の渡るレドありがとうこれがこれ身内から
[00:20:17.480] のレドこれにしようかなもうはいさんはい
[00:20:21.559] 身内からのレドこれでそんなわけない
[00:20:23.640] でしょ近所の子よなんだつまんないこれ誰
[00:20:26.840] だこのはてはさ
[00:20:29.080] 笑笑わんさんえ手動え普通にメディア
[00:20:33.280] ソースオンオフしてるだけだ
[00:20:35.679] よかみお姉ちゃんどうやら非常に可愛い
[00:20:40.039] おさげですねド通知これでしょいや15秒
[00:20:43.799] 投げだ通知だっ
[00:20:45.200] たらこれ勝手に動いてるかきかき
[00:20:50.880] よ何何
[00:20:53.240] これれこれワールドマップみてのがあんだ
[00:20:55.559] なちゃすごくない
[00:20:58.720] ちゃんて呼ばれ俺ちょっとその自然さに
[00:21:01.960] 感動するわ遊んじゃおうかなわるさん
[00:21:06.240] すげえうん
[00:21:07.640] 遊ぼうじゃあ
[00:21:10.039] 行こうるさん
[00:21:13.240] ワさん日下光ちゃもう日下光って名前
[00:21:17.240] やばくないもうもう完全陽じゃねえかよ
[00:21:22.120] うんやば可愛いもう恋に落ちたわ早
[00:21:29.480] マップでの操作説明を見ますかはいマップ
[00:21:32.240] 操作説明
[00:21:33.400] えー十字機キャラが歩きますアナログ
[00:21:36.080] コントローラーを使用する時はアナあ
[00:21:37.760] アナログモードあアナログにもこれ対応し
[00:21:39.559] てんだね丸ボタン近くにいる人と話すまた
[00:21:42.559] その場を調べることもできるだし何もない
[00:21:44.200] 場合は何も起きれませんえバツボタンえ
[00:21:47.039] 保護キーと同時に押すことでキャラを走る
[00:21:48.760] あバBダッシュね四角ボタン保護キーと
[00:21:51.200] 同時に押すことで移動せずに向きを変える
[00:21:52.720] ことできるはいはいはいはいはいで説明を
[00:21:55.000] 見るのは三角ボタンえ画面上の日付
[00:21:57.760] ウィンドウをえ画面内画面外に移動させる
[00:22:00.520] ことができるどういうことうんさんこの
[00:22:02.840] まま攻略したいめちゃくちゃやらし意味
[00:22:05.960] じゃねえかなんか攻略なかすごいやらし
[00:22:09.320] 意味に聞こえるこの子このまま攻略し
[00:22:11.360] ちゃおっか
[00:22:12.400] な使ってこおあの現実でも俺あいつ攻略
[00:22:17.880] するんすよつっ
[00:22:19.279] てはい行きますえ画面外に移動させるこ
[00:22:22.320] どういうことだLHボタンはスタート
[00:22:24.640] ボタンポーズボタンえ説明は以上ですもう
[00:22:27.080] 1度見ますか見ません
[00:22:29.760] さん
[00:22:30.530] [笑い]
[00:22:33.240] うんんでそんな冷めてるんだよあ
[00:22:36.360] こんばんはネタさんこんばんはついに
[00:22:38.080] 始まってしまいましたねlで何するつった
[00:22:41.240] ああこれを消すことができるねでバボタン
[00:22:44.200] すごくらいなんかこんなのなかったよね1
[00:22:46.000] の時ねあまた転んだお前よ転ぶなあんま
[00:22:50.200] 走ると転ぶみてだえこれ何どうすん
[00:22:54.559] のが知ってる時もこんなんじゃないんだ
[00:22:57.440] けどこのRPG始まったんだけどどの剣
[00:23:01.159] ちょ
[00:23:02.120] 引っかかる
[00:23:04.000] なんかちょっと待って女の子
[00:23:08.880] こんにちはやべえ近寄んないに
[00:23:11.440] しようやべえやついるわ近所にこれなんか
[00:23:15.080] 動き止まんのはなんでなんかすごいほら
[00:23:16.960] 動き止まっちゃうんだよ
[00:23:18.679] ねどこまで行けんのこれもみさん狂ったき
[00:23:24.000] さん説説良かったなあいつ
[00:23:27.440] な家を見るとすごい近代的なこれこれこれ
[00:23:32.120] クレオンしんちゃんの家があんじゃんねね
[00:23:34.559] しんちゃんの家これは野原けじゃん完全に
[00:23:38.080] のけじゃねえかこの間取りをのけがある
[00:23:41.880] さんウッキーさんこんばんは今日から
[00:23:44.760] 始まるぜ伝説がさんカカかここカスカか
[00:23:49.320] こんにちは警官はいあいちゃいさん動あ
[00:23:52.440] さんこんばんは今日からやりますよぱある
[00:23:55.520] よ絵本がいっぱい会いちゃいフリフリへえ
[00:23:58.120] じゃじゃあ
[00:23:59.559] ねどこに行くのこれ図書
[00:24:02.679] 館あちゃさん何これこれもめメモリアル
[00:24:07.840] 今日からまた神が
[00:24:10.279] 始まるさんこんばんはついに始まって
[00:24:13.600] しまいますこの神毛がす
[00:24:19.310] [笑い]
[00:24:23.320] [音楽]
[00:24:29.240] さんえっと図書館行けつってたな図書館な
[00:24:33.240] こんなんなかった1の時ありがとう
[00:24:36.320] ありがとう今日は何して遊ぶんだえ何して
[00:24:39.960] 遊ぶおまごでしょ
[00:24:42.799] ねえリアルおママしようぜリアルお
[00:24:47.320] ママリアルおママしてよこの女のこと
[00:24:50.679] よリアルおママしてえな公園行こうぜ何
[00:24:55.320] して遊ぶのリアルおだよん
[00:24:58.559] になってんよ
[00:25:00.399] おおって言ったじゃねか今よひったな
[00:25:03.799] こいつこういうとこがちゃ
[00:25:06.840] のなんか期から始まんだね今回ね楽しみ方
[00:25:12.120] て汚ねえ大人の楽しみ方おこいつひった
[00:25:15.640] これチの悪いとこだわチの悪いとこひった
[00:25:19.279] こいつ女の前でさんリアル
[00:25:21.650] [音楽]
[00:25:22.630] [笑い]
[00:25:24.460] [音楽]
[00:25:27.320] おごんリアリアルス遊びって何何するんだ
[00:25:31.399] よあひかりちゃんダメだよそんなとこに穴
[00:25:34.000] 開けちゃこっちからの方が道なんだよそう
[00:25:37.799] なのそれじゃ崩れちゃうよやめろってば
[00:25:41.120] 大丈夫だってばさん可愛いくそ可愛いこの
[00:25:44.000] 子やめろて大丈夫
[00:25:47.760] のんビルさん懐かしいな鍋の2D年期あ2
[00:25:52.520] Dは4年期だけなんださんお前女の子の前
[00:25:55.640] でもだろだよ
[00:26:00.919] うるさいほら崩れただから行ったんだよ
[00:26:04.159] どうすんだよさDだあっちがしっかりして
[00:26:08.000] ないからだようわそういう子こいつ
[00:26:10.360] 無理やり穴を開けたからだよひかりちゃん
[00:26:12.159] の
[00:26:14.679] バカバカじゃないよバカていう方がバ
[00:26:20.720] かいどうしよう可愛い
[00:26:23.880] おいロリコンになっちまうこのままじ俺が
[00:26:27.000] あごごめんわさかい笑笑かくない
[00:26:31.919] めちゃくちゃ
[00:26:33.159] ゲーム音とうとどうでしょうかもっと
[00:26:36.480] あげるごめんてばどだもう1回作ろはいん
[00:26:40.120] なんか扉開いてますねあこいつバカだ
[00:26:43.360] なんか新しい世界の扉が開いた今えもっと
[00:26:47.440] 大きいやつ大きくて崩れないようなやつね
[00:26:50.080] 俺みたい
[00:26:52.039] なかい素直かこいつこの子メインヒロイン
[00:26:56.880] の子でしょ大人大人っていうか高校生に
[00:26:59.640] だったらショートカットになるんだねあ
[00:27:01.480] 終わっ
[00:27:02.480] たどこ行くのどこ行こうか
[00:27:05.600] なこの年期いるのかこの年期時代はなんか
[00:27:10.080] いるのこれこれ何なの
[00:27:12.039] これ響きの小学校あお前
[00:27:17.120] は
[00:27:19.279] にゃさんたらちゃまくもバカて言った方が
[00:27:24.039] あこいつバカだあそういうことそういう
[00:27:27.159] こと言った方があ夕方だったあ誰かいる
[00:27:31.679] こんにちはこんにちはバカて言った方が
[00:27:34.960] バカだよて言わなゃ俺毎回ああこいつバカ
[00:27:38.559] だバカて言った方がバだようわやめて
[00:27:42.519] くれるももうやめてくれるもうねあわ
[00:27:44.919] ちゃんこんばんはわちゃんこんばんはおい
[00:27:46.960] 神ゲーが始まるぜ時めきメモリアル中え
[00:27:51.279] みんなにこの実況を通してねこの実況を
[00:27:55.000] 通してあのデブというね物のねあのあれを
[00:28:00.039] 見せてあげようと思いますもんく多いぞ
[00:28:02.880] うるせえなうるせえうるせえお坊主シダは
[00:28:06.360] も終わったかうん遊んでからやるそうか
[00:28:09.440] そうかま頑張るよ
[00:28:11.980] [音楽]
[00:28:13.440] ありがとうああこいつバカだおやかたよも
[00:28:17.640] 畑荒らそうぜああ坊や坊やは畑仕事は好き
[00:28:24.000] かなもう死ぬじゃんこのじじ喋んない方が
[00:28:26.279] いいよ見てるのは好きだよ
[00:28:30.540] [笑い]
[00:28:33.840] 白いノーコメントでお願いします答えその
[00:28:37.200] なかったことするその
[00:28:38.460] [笑い]
[00:28:40.679] コメントプライベート
[00:28:47.240] あれって探索ゲームみたいな違う違う違う
[00:28:50.600] 違う違うこれねなんかなんかね最初
[00:28:54.559] だけあかお姉ちゃんに
[00:28:58.519] うんおばさん心してるわよささんこれ
[00:29:03.320] 初めて見たね俺もこんなんと思わなかった
[00:29:07.000] わなんこれ期だけだしなんかガさん最初
[00:29:11.679] 最初だ
[00:29:13.410] [笑い]
[00:29:17.039] みたじゃ夜しないではい1992年3月
[00:29:22.480] 27日俺が生まれる4年前ゲーだ
[00:29:27.039] な
[00:29:29.159] バやべえ
[00:29:31.480] やべえもう俺はちゃんねこれすごくないよ
[00:29:36.080] 聞いたレんって俺の本名なんだけど名前
[00:29:39.039] 呼んでくれんだよボイスですごくないれん
[00:29:42.399] ちゃんて今こんな自然にしかもこれすごい
[00:29:46.679] ことだよおかげでこのボイスデータを保存
[00:29:49.720] するのにメモリーカードフルで1枚使い
[00:29:51.600] ますそしてこのゲームディスクディスク5
[00:29:55.279] 枚組
[00:29:57.039] ですうん遊ぶじゃあ行はにこさんれん
[00:30:01.320] ちゃんそうれんちゃんそう橋本れんと申し
[00:30:03.490] [笑い]
[00:30:05.840] ますすごいよこのゲームマジでえこれなん
[00:30:09.919] いつまでやるのこの年期いつになったら俺
[00:30:12.120] メモが始まるさんディスク5枚は多い
[00:30:14.720] ディスク5枚でも完全版にするにはもう
[00:30:17.440] もう3枚必要だぞ全部で8枚組なんだけど
[00:30:20.960] 5枚でも遊べるあきだぞシャープシテさん
[00:30:24.960] このディスク
[00:30:26.399] へてなった
[00:30:31.679] そうそうそうそう昨日ねちょっと夜中遊ん
[00:30:33.679] で渡とかんな人の名前やったんだけど
[00:30:37.760] ぐちゃなの
[00:30:46.039] 年年ったもしし
[00:30:48.120] て始まってるもうなっ
[00:30:51.880] てる
[00:30:54.240] 負け負け
[00:30:58.039] ね期だけらしいこの後すぐに高校生に
[00:31:00.360] 上がるんだねこれが終わればえ普通のだね
[00:31:04.039] さんさん
[00:31:06.159] とありがとうありがとうありがとう
[00:31:08.600] ありがとうそうこれ2なんだけど1もね
[00:31:10.600] 配信でやったんだけどそん時に起こした
[00:31:12.440] 奇跡これ見てくださいさんだとにるから
[00:31:17.000] やるしかね負け
[00:31:20.279] てん負け
[00:31:24.320] ありがとう
[00:31:26.919] 学前回
[00:31:29.720] さっ
[00:31:31.679] っ
[00:31:34.559] やこれをね俺の俺の俺のメモ実況が
[00:31:42.170] [笑い]
[00:31:49.320] いかに橋松
[00:31:58.039] 松本なんだよなあヤンキーだここれどこ
[00:32:01.000] 行きゃいいんだよ女の子とわあいあいとし
[00:32:04.399] たいんだけどわあいあいいちゃいちゃクズ
[00:32:06.320] ほれクズほれってどういう意味やしい意味
