[00:00:18.600] D
[00:15:18.720] よね俺おしゃれだと思ってやってんだけど
[00:15:21.240] あれなんでボコボコとかやれなけん
[00:15:26.000] ねなんかでもこれグラフィックしょぼ
[00:15:29.759] 可愛いでしょグラフィックしょぼくない
[00:15:33.199] なんか前の前のさやつの方がすごかったん
[00:15:36.560] だけど
[00:15:38.440] な結構このゲーム悪魔城ドラキュラの中で
[00:15:41.959] も黒歴史扱いされて
[00:15:45.000] てなんか公式からなかったことにされてる
[00:15:47.959] んだよ公式サイトの
[00:15:50.360] なんか悪魔城ドラキュラ年表みたいなやつ
[00:15:53.399] でさいろんなシリーズがこう自系列中に
[00:15:56.079] 並んでるんだけどこれ消えてるのねことに
[00:15:59.240] されてますこのゲームま出来が悪いん
[00:16:01.959] だろうな多分素直に全然売れなくて当時だ
[00:16:05.199] から今すごいプレミアついてるらしいああ
[00:16:12.000] いて音楽いいけどなたなかったこと
[00:16:15.710] [音楽]
[00:16:17.639] 案件闇だな闇まストーリーも結構攻めすぎ
[00:16:22.000] ててストーリーもバイオハザードガデよく
[00:16:25.720] 知ってんじゃんよく知ってるね
[00:16:27.440] バイオハザードガデなんてボのなかった
[00:16:30.839] ことになんてさせないぞゲームボーイのな
[00:16:33.440] ゲームボーイカラーのなバイオハザード
[00:16:35.560] ガデ俺あれいつかやりてんだ配信であれ
[00:16:38.199] 配信でいつかやりてんだよ高くてえそう
[00:16:40.480] いうなかったこと案件にされたゲームって
[00:16:42.360] 高くなるからな高くなるんだよああいう
[00:16:44.920] ゲームってカラスきで見たさす元気ですね
[00:16:49.040] えなんてかしてる久しぶりに土曜日休みだ
[00:16:51.639] から久しぶり同日って休みなんだよま月曜
[00:16:54.759] は仕事だけどなおら休みかもしんね
[00:16:57.839] けどだから本当は同日って2日間かけて
[00:17:01.480] ドラクエ1のリベンジ配信しようと思った
[00:17:04.120] んだけどポテちゃんが裏で3日間も配信
[00:17:07.120] やるからなと思って譲った今回
[00:17:10.120] はでいやもう勝ち取ったよマジで勝ち取っ
[00:17:13.079] た今週ずっと残業してきた
[00:17:16.079] し逃げるように帰ってきた今日あって言い
[00:17:20.280] ながらタイムカードして
[00:17:23.760] お兄ちゃん譲ったそうだよ譲った今回は
[00:17:27.760] 譲りました何これ
[00:17:29.919] しょうがねえから譲ってやったぜいや痛
[00:17:32.840] 痛いちょ何これ何これはめだろこれいこ
[00:17:38.320] 逃げ
[00:17:41.520] た当たり当たり俺が裏番組で俺が裏番組で
[00:17:46.520] やってたところで何の影響もないっすてか
[00:17:49.200] 鞭短なんか鞭短くね
[00:17:52.799] 笑笑何の影響も
[00:17:56.679] ないちょっと待て
[00:18:00.120] [音楽]
[00:18:01.919] そこにおられたら何もできないんだけど
[00:18:07.799] 俺ライバルみたいな言い方すなん
[00:18:11.840] だライバルだろうがななちゃライバルだよ
[00:18:15.840] な俺たちな俺俺だけかそう思ってた
[00:18:21.280] の一唯一あれでしょよ対等にあれできる
[00:18:25.080] ライバルでしょ何ここマジくだらんやめた
[00:18:28.919] ここ行くのやめたここなん勝ったらはい
[00:18:31.679] アイアンマンはいアイアンマンこんばんは
[00:18:33.760] これ行かねここ行かね行くのやめ
[00:18:38.679] たBGMめっちゃいいアレンジやんけ過去
[00:18:41.919] 作のブラッドティアーズの
[00:18:45.760] アレンジいやなんか鞭短くないこの
[00:18:49.240] ゲームもっと長かったよねいつもね
[00:18:53.280] いってなんだよライバルだよな俺たちな
[00:18:57.200] いや嘘嘘です全然あの僕なんか
[00:19:01.440] あとここまで来たら勝利の女神がほ微笑ん
[00:19:05.600] でると思ってるんでま
[00:19:08.640] あと明日きつくなったら俺に電話してね
[00:19:11.840] ボデちゃんね明日からきつくなったら俺に
[00:19:14.240] 電話してね話聞くから俺が俺も言うから
[00:19:17.600] ボデちゃんがあのもう1匹仲間なすたらね
[00:19:21.320] 終わりなんでねつまあとって言うからそし
[00:19:23.799] たら俺も助けを求め
[00:19:26.559] ますでもさあれさあの企画あれじゃないの
[00:19:30.640] 運が良かったら速攻終わる可能性だとある
[00:19:32.640] よね笑笑仕返ししようぜ運が良かったら
[00:19:36.400] 速攻終わるよねあれってま相当運が良く
[00:19:40.280] なきゃ終わんないだろうけど一発で
[00:19:42.080] ポケモンで色違い出すぐらいの確率だと
[00:19:44.000] 思うけど
[00:19:46.440] さでもどうなんだろうねま実際ですね運営
[00:19:51.640] だよね終わる1週間経っても終わんねえか
[00:19:54.080] もしんねえ
[00:19:55.320] しボテちゃんが運わけないだろ
[00:19:59.240] なんでボテちゃん運良くない結構ボテ
[00:20:01.640] ちゃん運いいと思うんだ
[00:20:06.760] けどあやっ
[00:20:09.679] たけてけてけてけ
[00:20:13.240] てるなんかしょぼくないこのゲーム結悪く
[00:20:17.080] ない天文学的数で5000で終わるかも
[00:20:20.200] しれない天文学数字でまありえるよ
[00:20:26.240] ねちゃん運悪い方いい方どっ
[00:20:29.679] 眠ってきたなんでだよ悪かったな退屈の
[00:20:34.080] 配信で
[00:20:35.159] ないやまままま寝てくれねねなんなのこれ
[00:20:38.720] 時折りあるこれ笑笑時折りあるこのうん
[00:20:42.440] ですかうんそう
[00:20:45.039] うんなんかよさげな嘘ですねあそうなんだ
[00:20:48.840] 全部コンプした時は4000くらいで全部
[00:20:51.360] 入ったよ笑笑
[00:20:54.480] 4000何の話
[00:20:58.799] ああだめ
[00:21:03.600] だえの人って
[00:21:07.159] 感じあそういう意味そういう
[00:21:12.120] 意味あうんてそういう
[00:21:15.080] 意味体の戦闘回数体の戦闘回あのだけつい
[00:21:21.080] て
[00:21:21.720] いるそうかなついてない時もあるけど
[00:21:25.240] ねついてないもあるけどな
[00:21:31.840] けどじゃ笑いの神を引き寄せるのもまた
[00:21:35.559] 実力ですよ僕はそう思いますけどね笑いの
[00:21:38.799] 神を引き寄せるのも実力なんだ
[00:21:45.840] よま
[00:21:47.760] あとややられたやられたまあとねそ落ちて
[00:21:53.080] くんのやめ
[00:21:57.520] てなんかこれドラキュラ感ないなこの
[00:22:00.080] ゲーム
[00:22:02.039] な
[00:22:05.000] だろ全てにそれで返せるもんななんか使い
[00:22:09.000] づらい
[00:22:13.640] ええあこのゲームちょっとえ何当たってん
[00:22:17.919] の
[00:22:19.880] これ仕事でも
[00:22:23.080] 使おうまあとて
[00:22:29.760] よしよし
[00:22:31.120] よしなんかあんまドラキュラ感がねえこの
[00:22:33.679] ゲームなんかドラキュラ感なく
[00:22:36.279] ないなんかなんかちょっとなんかちげえ気
[00:22:38.880] がするのはなんで
[00:22:40.720] だなんか違うなんか違うしょぼい気がする
[00:22:44.919] なんかグラフィックとかなんかね
[00:22:47.960] ドラキュラ感ないよ
[00:22:50.799] ねこれこれがあれかこれがその公式から
[00:22:54.440] なかったことにされる遊園かなんか敵の
[00:22:57.440] デザインもなんかても良かったかあるある
[00:23:00.360] なんかこれドラキュラか
[00:23:02.679] これ無理やりなんかドラキュラの世界観に
[00:23:05.480] 埋め込みましたみたいなだってこんな
[00:23:07.520] こんな敵出てこないもんドラキュラなんか
[00:23:09.440] こんな意味わかんないもっとなんかもっと
[00:23:12.520] なんかかっこいいの出てくる
[00:23:15.360] もんこれが公式からなかったことにされる
[00:23:18.240] あれか遊園
[00:23:21.760] か珍しいんだけどね女主人公のドラキュ
[00:23:24.640] ラってこれともう1個しかないんだけど女
[00:23:26.679] 主人公のドラキュラは
[00:23:29.520] もう1個だけあるんだけどねそれは
[00:23:31.840] ちゃんと素晴らしいゲームみたいな扱い
[00:23:34.159] 受けてるけどこれはすごくね評価が悪いん
[00:23:37.520] だ
[00:23:38.320] よもう1つあるんだもう1つあるDSの
[00:23:41.480] やつはなんか女の子が主人公なんだよね
[00:23:43.919] それはもうめちゃくちゃ神ゲーらしいいつ
[00:23:45.960] か配信でやろういつか配信で
[00:23:52.240] やろういやなんか肉が多いからあんま死な
[00:23:55.400] ねえなこんな肉出てこないもん普通ね
[00:23:59.360] BGMはやっぱいい
[00:24:01.440] なBGMはやっぱいいな漆黒のなんて読む
[00:24:06.039] のプレリュードだって
[00:24:08.520] プレリュードちダークナイトプレリュード
[00:24:11.000] だよダークナイトプレリュードあMさん
[00:24:13.320] こんばんはMDさんこんばんはそうこの
[00:24:15.320] ゲームやってるなんか公式になかったこと
[00:24:17.320] にされた黒歴史ゲらしいじゃんやってる
[00:24:20.840] 確かにねなんかドラキュラ感がない
[00:24:23.039] ドラキュラ感がすごく
[00:24:24.720] 少ないダークナイトプレドそうそう
[00:24:27.640] そうそうくそかっけ名前してんだけどな
[00:24:30.600] なか前走曲ってついてるからなんか今まで
[00:24:34.279] いろんなドラキュラやってたけどどの
[00:24:35.760] ドラキュラよりも1番最初のストーリーな
[00:24:38.080] んだってなるほど遊戯王の最新パック
[00:24:41.320] みたいありそうおボス戦か一番最初の
[00:24:46.000] ストーリーなんだってこっからドラキュラ
[00:24:48.200] とあれの戦いが始まる
[00:24:53.039] らしいなん
[00:24:55.200] だなんか
[00:24:58.480] なんかドラキュラ感ねドラキュラ感
[00:25:02.480] ないなんか俺そんな難しくねえんじゃねえ
[00:25:05.240] か説が今浮上してる俺の中でまあ
[00:25:09.480] ストーリーに大矛盾が発生する所があるね
[00:25:12.960] 笑あそうなだなんかダメージ入ってなく
[00:25:15.200] ないダークヒーローゾンパイアだあ懐い星
[00:25:19.399] 4の2000のやつ
[00:25:25.440] だろその定も微妙やな夏えててててあれ
[00:25:31.120] これ
[00:25:32.240] さこれこれさこの下のあ2100か強この
[00:25:38.279] 下のBって何これ敵の敵の体力じゃないの
[00:25:41.120] これなんか全然えこっからこっからなんだ
[00:25:44.039] これ敵の体力ってどうやって減らすの
[00:25:45.799] なんか減ってなかったよね全然ねのソード
[00:25:48.360] ストーカなんで遊戯大喜になってん
[00:25:52.200] ねこれれでもなこれもコナミだからやっぱ
[00:25:56.000] バンパイアキラーでしょラカードはこの
[00:25:59.520] ゲームが元になってるから
[00:26:04.080] ね
[00:26:05.840] 2600ね
[00:26:09.480] 詳しい戦士闇属性
[00:26:12.720] ねンパイア
[00:26:15.640] ネシスなんだっけバンパイアロードとかな
[00:26:18.640] レベル6バニラねバニラってバニラて
[00:26:23.640] なんか言い方
[00:26:25.440] が当たるんかそれ
[00:26:30.399] はいはいはい僕ちゃん明日の昼からだっけ
[00:26:33.840] 明日の昼からでたっけ収入の攻撃力
[00:26:38.320] はバンパイアジの攻撃3000とかじゃ
[00:26:41.399] なかったっけ違ったっけ3500こんな
[00:26:44.960] なかったっけ2800とか覚えてね
[00:26:47.799] 全然明日の12時ですね12時かオッケー
[00:26:51.279] やる
[00:26:52.080] な
[00:26:53.720] 当たり完全当てずぽだった
[00:26:56.320] 今いやむずえだ体力全然減ってないんだ
[00:27:00.360] けどこのさ下のBがさ敵の体力だよねま
[00:27:05.039] これは公式でもばらしてるのですけど矛盾
[00:27:08.159] の箇所知りたいですいや知りたくねえよ
[00:27:10.559] 知りたくね知りたくねえネタバレやんいや
[00:27:12.480] 知りたくない知りたくないやめてこれ一応
[00:27:15.399] 初見だから早く仲間入れて企画倒れになる
[00:27:18.279] か延長どっちも来たいよね笑ああ仲間
[00:27:24.039] そんな仲間なんねえだろ
[00:27:30.279] 私のこともっと知りたいですか急
[00:27:33.880] に急にどうし
[00:27:36.550] [音楽]
[00:27:38.360] たいやむ
[00:27:40.799] ず難しい相変わらずドラキュラは主人公の
[00:27:44.640] 動きが
[00:27:45.640] さてか全然体力照れてねえよんなんで照れ
[00:27:50.840] てんだよここのグラフィック
[00:27:53.200] すごここのグラックの力の入れよすごも
[00:27:57.440] 頑張ってだけど何何ここのか照れてる照れ
[00:28:02.880] てないよやめ
[00:28:04.120] て帽子直しちゃっ
[00:28:06.559] て見てめ女の子なの主人公女の子だよ主人
[00:28:11.799] 公女の子主人公女の子ですコンティニュー
[00:28:14.360] 画面だけホムンクルス
[00:28:17.480] ホムンクルスああああのあれのお父さんね
[00:28:22.320] あのあれのエドのお父さん
[00:28:27.120] ねこれ勝てねえ
[00:28:29.559] ぞ今度はオラがやるにも
[00:28:32.640] 見える今度がオラがやる
[00:28:43.240] て
[00:28:47.200] ねいや当たんないよね当たんないよねか
[00:28:50.600] 当たっちゃうよ
[00:28:54.120] ねなんか回復してるなん
[00:28:59.720] 回復これ下の体力じゃねえんかな敵の
[00:29:03.000] わかんねえこれ下のBって何この紫の
[00:29:07.600] ゲージ何なん
[00:29:13.440] だろういや
[00:29:16.120] 強説明書は特殊武器特殊武器あゆたちゃん
[00:29:20.600] こんばんは特殊武器あ特殊武器か何も持っ
[00:29:24.320] てねえんだじゃ武器のB武器の
[00:29:29.000] なんでなんでそこ日本語にしたのウェポン
[00:29:32.159] にして欲しかったなんで武器のBってあ
[00:29:35.960] 特殊武器持ってないねじゃだめかえでも
[00:29:38.679] ハートじゃないのハート武器って言っても
[00:29:40.840] ハートじゃんこののバイブスバイブス
