[00:00:00.280] 詳しい
[00:06:10.160] なクリスマスはぼっちですよ安心して
[00:06:14.319] くださいだからだよ
[00:06:17.360] みんなキラーマシン作っちゃったらもう
[00:06:20.199] その上のあのデタムは行けんだよ昨日今日
[00:06:23.400] でリスナーと配信者のクリスマスの牽制
[00:06:26.319] し合ってるかキラ
[00:06:29.460] [音楽]
[00:06:33.000] これキラマだよ
[00:06:36.120] ねあれこの剣あれさっきこの剣はめなかっ
[00:06:40.319] たっけ誰が持ってんだっけこの剣って
[00:06:42.080] ドラクエし
[00:06:44.800] たいうんとねあキラマだよ
[00:06:49.599] ねこうかあそっかそこにもキラマの手来る
[00:06:54.919] のかファイナルファンタジー4こえ
[00:06:58.400] めっちゃし
[00:06:59.550] [音楽]
[00:07:02.520] この変が多分これなんだよねあ来た来た来
[00:07:05.280] たた来
[00:07:06.180] [音楽]
[00:07:10.199] た
[00:07:11.200] [音楽]
[00:07:16.479] 笑笑
[00:07:17.890] [音楽]
[00:07:19.960] んあこうか
[00:07:29.800] 違うコメント全然気にせんやんこいつ
[00:07:34.560] あ
[00:07:38.800] 忙しいこれキラーマシン2だよこっちだよ
[00:07:47.319] あまさか昨夜からぶっ続け
[00:07:57.319] いいね
[00:08:04.360] おエさんこんばんは昨日からぶっ続けだよ
[00:08:07.000] 一睡もしてませ
[00:08:11.759] ん椅もして
[00:08:14.840] ない眠く
[00:08:19.000] ないるアホすぎる
[00:08:29.960] ちょっとね竜王のパーツがちょっとまだね
[00:08:33.120] ハートナイトの剣は何ハートナイトの剣て
[00:08:37.519] 何ハートナイトあハートナイト本当だ
[00:08:41.000] ハートナイトの剣ない
[00:08:44.850] [音楽]
[00:08:47.200] ねニコドラクエめちゃくちゃ詳しいな
[00:08:51.000] ハートナイトなんてよく名前出たねピンク
[00:08:54.000] 色のなたまに出るんだよな赤いデブなん
[00:08:56.880] だっけどれどれどれどれどれ
[00:08:59.959] 左
[00:09:01.240] これミルドラースごめん調べたあ調べたん
[00:09:05.480] かミルドラースだっけそうミルドラース
[00:09:08.160] あって
[00:09:10.360] た5のラスボスね5だっけか
[00:09:14.360] そうポットでのラスボスな5さ
[00:09:17.040] めちゃくちゃそこまでストーリーいいんだ
[00:09:18.440] けどどうも俺このミルドラースだけ許せ
[00:09:20.399] ねえんだよななんであんなストーリーいい
[00:09:22.600] のにポットで終わんのだこれ誰やねん
[00:09:24.480] ミルドラース名前覚えられないミルドラー
[00:09:27.480] スって誰やねん急に出てきてさ
[00:09:30.079] 名前覚えてきてはいるけどミルドラースと
[00:09:32.519] オルゴデミーラが間違えるオルゴデミーラ
[00:09:36.519] なオルゴデミラ好きオルゴデミラかっけ
[00:09:39.920] 気持ち悪い
[00:09:43.760] けどキラパンサー行ってみるかキラー
[00:09:50.920] パンサーちょキラーパンサーちょっと行っ
[00:09:53.440] てみよっかなスライしからんもういんの配
[00:09:58.000] すぎててるからドラクエネタバレ気にし
[00:10:01.399] なくなってきてもたオルゴでミーラって
[00:10:04.000] いくつだっけ
[00:10:08.040] 7ドラゴンクエストもファイナル
[00:10:10.680] ファンタジーもはみんなの高評価ほどは
[00:10:13.279] 好きじゃなかったり
[00:10:17.720] するダークドレアムとジランが好きああ
[00:10:21.240] 大好きあの骨格でしょあの骨格の
[00:10:24.000] モンスターかっこいいよねダークドレアム
[00:10:25.880] とねデュランのね
[00:10:35.920] ま正直このこの時代にドラクエとFFの
[00:10:39.040] ネタバレをせずに生きていくことは不可能
[00:10:41.160] だよそれ知らないお前が悪いって言われ
[00:10:45.240] ちゃうあれあのゲームのネタバレを無理
[00:10:48.920] 無理無理無理普通に生活してたらね
[00:10:51.360] 無理可能すね不可だよねアメリカンな
[00:10:55.079] ロボットドラゴンの隣のやつが色的に
[00:10:57.800] ポコミちゃんっぽい
[00:11:00.399] パンツ一丁で出てくる度胸も好き
[00:11:04.360] えパンツ一丁それそれあダークドレアムな
[00:11:11.440] 肩パッとつけて
[00:11:13.320] な
[00:11:16.650] [音楽]
[00:11:18.959] あゲレゲレ作るわゲレゲレ
[00:11:21.990] [音楽]
[00:11:25.519] 先月仕事くそ忙しい時に職場の人がみんな
[00:11:29.639] に行ったんだけどさ
[00:11:34.600] うんチュランは回復してくれた上で戦って
[00:11:38.200] くれるしなかっこいいよ
[00:11:40.920] ねルビガンテみてえじゃ
[00:11:44.440] ね仕事しんどいね毎日がロンダルキア
[00:11:47.959] じゃんって言って俺しか理解してなかっ
[00:11:51.959] たロンダルキアの洞窟みてに忙しいて
[00:11:55.920] ことなんやそのなんやそのドラクエ
[00:12:00.560] ジョーク
[00:12:03.160] そうまみプレイの人はどっかで聞いてても
[00:12:06.399] 耳に残らないのはあると思うけどネタバ
[00:12:08.959] れって文句言われるのはちょっとしんどい
[00:12:11.279] ね地獄だなっ
[00:12:15.199] て毎日がロンだきあって伝わりにくい
[00:12:19.920] [音楽]
[00:12:23.959] 笑笑あった
[00:12:29.279] さてそろそろ心折れましたしかも服な
[00:12:33.800] シリーズあこ全て忘れてる全然折れてねえ
[00:12:39.320] けど上司からの差し込み作業という名
[00:12:42.880] [音楽]
[00:12:52.360] のざきどこだこれわかんない
[00:12:59.440] あれちんだな
[00:13:02.480] ん
[00:13:06.519] ん毎日がロンダルキアは自分的にはきで
[00:13:10.560] いつでも楽になれるって意味で捉えるわ笑
[00:13:14.399] 突然の社員の退職というなのメガンて笑笑
[00:13:19.279] いつでも楽に
[00:13:26.519] 笑笑識違い
[00:13:33.800] 色っぽい
[00:13:37.120] ひこ何色っぽい
[00:13:44.160] ひこここじゃねえ
[00:13:47.800] なこの
[00:13:50.320] 曲色っぽいひこって曲なん
[00:13:56.839] だこれどこだろう
[00:14:00.199] 昔いた職場の社長が救世して会社が廃業
[00:14:04.240] まさにメガンテだったわ
[00:14:07.250] [音楽]
[00:14:11.959] ええ
[00:14:14.120] え後継がいないって
[00:14:18.279] ことそんなんででも
[00:14:20.839] 仕事開業ってなっても困るよ
[00:14:23.850] [音楽]
[00:14:27.320] ねいてキングの旧太郎が出てきたわ夏あれ
[00:14:33.000] 別にひこのモノマネじゃねえからね山大国
[00:14:35.880] の国民の真似だからねあれは決してひこの
[00:14:38.160] ノネでは
[00:14:39.560] ないそう社長が亡くなる前に専務が
[00:14:43.199] なくなっちゃってたのよね秘密様すごいな
[00:14:47.720] それ
[00:14:57.330] [音楽]
[00:15:12.120] これ誰この足っぽい
[00:15:17.000] ミラ小規模な会社だと割とあるんだよな
[00:15:20.839] 社長挙に伴う配慮ふ
[00:15:26.500] [音楽]
[00:15:33.040] キラーパンサーもできてきた
[00:15:37.600] ねあこれ前足
[00:15:41.200] [音楽]
[00:15:46.079] かいいねキラパンサでき
[00:15:49.360] たゾーマとくっつくああくっつく
[00:15:54.199] わ
[00:15:56.240] あこの瞬間が一番気持ちいえ
[00:15:59.200] [音楽]
[00:16:01.639] おおおなんかパズル画面カメラたまに
[00:16:05.639] カクカクうんしょうがねえそれは
[00:16:08.800] おんそれしょうがねえんね半分できると
[00:16:13.199] 進捗も早まりますなそうだねもうあの本当
[00:16:16.639] はめてく作業にな
[00:16:19.040] るっていうかこれどこだろう
[00:16:25.100] [音楽]
[00:16:31.240] 気づけるとこ多いもんねそうなの
[00:16:35.959] よおおすげえ形になってきてん
[00:16:41.160] じゃんてか米国さんの2000ピース
[00:16:44.120] すごかったねごめん見てねえやまだもかし
[00:16:47.560] てあ違うこれ見れねえんだ今見れねいや
[00:16:50.639] 全然今日初めてやった見れねんだ今携帯見
[00:16:53.399] ちゃってから使っちゃってる
[00:16:56.639] からパソコンで見ろ
[00:16:59.360] 笑笑の中からじゃなくてパズルの上の
[00:17:02.240] ピース片付けておかないと重なってるの
[00:17:04.880] 気づかなくなる
[00:17:07.280] やつこれどこ
[00:17:10.959] だろうあオー顎
[00:17:16.319] ね
[00:17:23.760] お色っぽい民なんなんださっきからそれ色
[00:17:29.360] っぽ
[00:17:33.880] [音楽]
[00:17:36.720] シリーズ色っぽいは
[00:17:40.679] にこいいです
[00:17:42.960] [音楽]
[00:17:48.160] ね
[00:17:50.240] えっとこれゼノブレしてる時にBGMの
[00:17:53.760] 名前コメントしてた俺みたいBGMラッパ
[00:17:57.080] でよろしく
[00:18:00.120] よしえ
[00:18:03.320] のだいぶもう本当もうほぼ埋まってきてる
[00:18:07.000] すごいよおめえらあんなになあできね
[00:18:11.520] ちゃまゲームにゃ無理だというくせに
[00:18:15.679] 見ろパパパだよパパパパパパ楽しくて
[00:18:22.520] パパパ言ってないもんでも言ってない
[00:18:27.559] かもちゃまのイースでBGMの名前
[00:18:30.960] コメントし
[00:18:32.280] たいそんなに俺にイースや時間過ぎてんだ
[00:18:35.480] よ
[00:18:36.400] ないいんだよ10時間過ぎるとかえじゃと
[00:18:40.600] がパズルしてるもんええん
[00:18:44.440] じゃん8時間でできるでしょ笑笑って言っ
[00:18:48.600] てたやつはできてないよいい
[00:18:51.520] の楽しくやることが重要でしょうよ
[00:18:58.630] [音楽]
[00:19:09.400] 色っぽい4の
[00:19:12.159] 町民ル
[00:19:17.090] [音楽]
[00:19:31.080] 4の町だ
[00:19:33.600] から
[00:19:40.110] [音楽]
[00:19:41.640] え4の街っていうのがあるのかあの
[00:19:45.280] ドラクエ4の街の音楽ってことだ
[00:19:49.430] [音楽]
[00:19:52.280] なあそういうことそういうことそういう
[00:19:55.440] こと
[00:19:59.679] まだこのこのアレンジちょっとちょっと今
[00:20:02.880] の今のアレンジちょっとあれあれにあの
[00:20:04.559] なんかトイストーリー感なかった
[00:20:09.840] 今トイストーリー感あったな今
[00:20:14.120] な聞いててこの後の
[00:20:20.750] [音楽]
[00:20:23.440] アレンジトイストーリーじゃんなんか
[00:20:29.159] 俺がついてる
[00:20:31.480] ぜ俺がついてるぜつてる
[00:20:35.880] ぜちょっとちょっとなんかトイストーリー
[00:20:38.520] 感あったよね今
[00:20:39.840] ね俺がついてる
[00:20:43.400] ぜNGGシ始まるかと思った今おいバ
[00:20:47.640] しっかりしてくれよ始まるかと思った
[00:20:50.640] びっくりした
[00:20:51.510] [音楽]
[00:20:53.640] 今NGC始まると思った
[00:20:59.360] 銀河の
[00:21:02.420] [音楽]
[00:21:10.320] へシ行ってみもま芸人のやつ好きわかる
[00:21:14.919] BGMです
[00:21:16.760] か行ってみる
[00:21:19.279] かまだこ4の町今の山の織田のっぽかった
[00:21:25.840] カジノやねカジノだやはり
[00:21:30.480] [音楽]
[00:21:35.000] ちょっと指導行ってみよっかなのBGMは
[00:21:37.840] トイストーリーに似てるって覚えてたんよ
[00:21:40.600] あそうな
[00:21:42.039] のレインボーブリッジ閉鎖できませ
[00:21:49.840] んこの辺かほ
[00:21:55.250] [音楽]
[00:22:05.039] これむずい
[00:22:07.760] [音楽]
[00:22:10.480] なもしかしてにこちゃんドラクエのBGM
[00:22:14.200] の微妙な違い完璧に把握しとら
[00:22:16.640] [音楽]
[00:22:19.880] ん2個すげえ詳しい
[00:22:23.240] よ完璧じゃないけどなんとなく分かるよ
[00:22:31.960] ニコがちだから
[00:22:36.740] [音楽]
[00:22:41.039] ね女そこらのドラクエファンとはが
[00:22:45.240] 違うためよ詳しくないけど
[00:22:51.480] ガチ大当たり
[00:22:55.679] じゃちょっと指導行くか
[00:23:00.240] どこから組めばいいかわかんねけどとえ顔
[00:23:02.279] 色っぽい大当たりなんで色っぽい大当たり
[00:23:05.559] シドこの辺ねこの
[00:23:11.039] 周辺とりあえず顔から組んでくんだよこう
[00:23:13.559] いう時は色っぽいけ忘れた何色っぽい
[00:23:25.000] シリーズ色っぽい闘技場
[00:23:30.159] なんだそのどういう闘技場だよ何するんだ
[00:23:47.470] [音楽]
[00:23:49.520] よ戦う相手がセクシーなお姉さんだらけな
[00:23:53.240] のかな最高じゃん
[00:23:57.240] [音楽]
[00:23:58.559] そういうお店なんじゃないそれっぽい闘技
[00:24:00.360] 場で闘技してな闘技してえ
[00:24:02.640] ななあギシギシ言わして
[00:24:08.680] [音楽]
[00:24:14.760] え何言ってんの何が
[00:24:19.240] よギシギシわせてえ
[00:24:22.200] なリンゴねリンゴリンゴさクリスマスの
[00:24:29.240] 本当だ
[00:24:32.600] よ2個引いてるよな出てくるのは色っぽい
[00:24:37.440] ガチムチマッスルお兄さんたちです色色
[00:24:39.880] っぽくねえじゃん
[00:24:41.070] [音楽]
[00:24:45.279] それなんやワが悪いんかせや色っぽくねえ
[00:24:49.840] お姉さんを色っぽくする方が好き
[00:24:53.600] ですいいねそれ悪くないよやのせやラ
[00:25:00.080] [音楽]
[00:25:06.919] フスなんかエロに疎そうなお姉さんが
[00:25:10.200] たまに見せるクソエロい顔みたい
[00:25:12.600] なる出てくるのはファイナルファンタジー
[00:25:15.360] 7でありますねBGMちょいでかいかも
[00:25:20.640] えでかいぐらいるんだね
[00:25:31.399] エロに疎そうなお姉さんをちょっとそのが
[00:25:34.720] その見せるちょっとその女の顔見てのが
[00:25:37.159] 一番一番あれだよいいんだよそるって言
[00:25:42.159] としちゃった今言ってもいいんだけどそれ
[00:25:43.919] に一番それがいいんだよ分かるか
[00:25:47.530] [音楽]
[00:26:00.480] これどこなんだろう
[00:26:18.610] [音楽]
[00:26:30.840] 違う
[00:26:33.919] ね指導もちょっとむずいなあねえ
[00:26:44.750] [音楽]
[00:26:49.600] 何今の俺のフォローランで配信してる人
[00:26:54.760] うん上
[00:26:56.720] からうん
[00:27:06.919] 何チラ丸ボテ邪魔ゲーム影流黄色しかおら
[00:27:12.520] んえ何みんな意外とクリスマス王化してん
[00:27:17.360] の
[00:27:18.559] むかつく配信しとけよ配信者なんだから
[00:27:25.360] なぼ3人が
[00:27:31.200] じゃんかお前も配信
[00:27:34.559] しろかさんのめちゃくちゃ気になるけど
[00:27:37.679] こっちにいるよいやいいよ見てこいよ見て
[00:27:41.559] こいよ好きな
[00:27:44.399] のかちゃん何やってん
[00:27:47.760] の挨拶だけ行ってきたよやだやだここに
[00:27:51.679] いるそう本当可愛い地元練り歩いてる
[00:27:56.640] デート配信それは俺もちょっと見たいわ
[00:28:00.919] それはちょっと見たいわ俺
[00:28:03.000] もそれちょっと見たいねじゃあ行ってくる
[00:28:07.360] ねすぐねすぐソルトレイクシティの
[00:28:12.080] デパートいたよさっきはあなんですか
[00:28:15.279] ソルトレイクシティってじゃあ見てこよ見
[00:28:18.760] てこ見てこい一で
[00:28:22.120] 草少しミラーしてもいいですかて聞いてき
[00:28:26.120] ましょうかいやミラーしないミラーし
[00:28:29.210] [音楽]
[00:28:32.559] ない
[00:28:34.960] はいミラーはしない
[00:28:37.430] [音楽]
[00:28:41.240] よここ繋がんねえんだな繋がんのかと思っ
[00:28:44.880] たら繋がんねだこれ
[00:28:57.710] [音楽]
[00:29:24.919] あドラゴンかそれ
[00:29:28.640] 無い
[00:29:31.600] なこれどこなんだろ000ピース作成
[00:29:35.320] チャラさん50勝するまで終われません
[00:29:38.000] ボテさん現在睡眠中あいつまだ寝てんか
[00:29:42.760] あいつ寝るよ
[00:29:44.399] なあいつ寝るよね結構
[00:29:50.440] ね11時まで寝るってなってますよあ結構
[00:29:54.760] 寝るんだ
[00:29:56.080] ねまあまあまあでもしょうがない寝た方が
[00:29:59.519] パフォーマンス上がるし
[00:30:04.440] ねただこさっき俺夜中見に行った時も寝て
[00:30:08.000] たんだよなまだ寝てん
[00:30:13.000] の
[00:30:14.519] 笑笑寝る子は育つってことだ
[00:30:19.000] なこおしっこおしっこめっちゃおしっこし
[00:30:22.360] たいわなんかパズルやってるとおしっこ限
[00:30:24.919] までわかんないんだけどやばそうだねなる
[00:30:28.279] までなんかわから
[00:30:41.200] [音楽]
[00:30:45.600] ん雨神は今日から後半戦ですね
[00:30:50.060] [音楽]
[00:31:02.559] あれって6人で終わりそれとも全員なのか
[00:31:06.170] [音楽]
[00:31:12.320] なクールな後輩とやら落としたん
[00:31:17.679] だえ隠しキャラ的なのが
[00:31:21.840] いる
[00:31:24.080] ルゥですねるかネタバレされてないので
[00:31:28.120] 何人かは不明いやすげえでもちゃんとでき
[00:31:30.559] てきてるじゃんすごい
[00:31:34.810] [音楽]
[00:31:39.080] よ
[00:31:41.670] [音楽]
[00:31:45.880] ひえあれ隠しキャラいるだろうねしてから
[00:31:49.020] [音楽]
[00:31:52.960] がまボ水曜までやってんじゃねえかな26
[00:31:58.120] までやるつった
[00:32:00.730] [音楽]
[00:32:06.720] よ雨神全くやったことないけど隠しキャラ
[00:32:10.600] 8人くらいいないかなって思ってるそれは
[00:32:13.480] やばい今の感じ無理じゃね笑笑いやまやる
[00:32:18.120] でしょ笑笑あいつだったらやるんじゃない
[00:32:21.080] 別に普通に笑笑
[00:32:25.140] [音楽]
[00:32:29.760] これ
[00:32:31.039] どこ本人はこう言ってました隠しキャラい
[00:32:34.799] たらこれやべえぞ
[00:32:37.720] ニコニコいるでしょ恋愛
[00:32:41.159] シュミュレーションで隠しキャラ作んない
[00:32:43.240] わけない
[00:32:45.460] [音楽]
[00:32:46.919] でしょえこれどこ
[00:32:51.160] [音楽]
[00:32:54.919] だ分からん
[00:33:02.360] ちょっと指導難しいなここで一旦指導
[00:33:04.440] やめるかドラゴンに行こうかこの次
[00:33:07.799] ドラゴンてみでも抽選で6人からの選択肢
[00:33:11.840] になってたから1度なんらかの区切りは
[00:33:14.720] つけるでしょうねこれ指導の腕なんだけど
[00:33:19.919] どこだかこれ多分見せてもわかんねえと
[00:33:22.000] 思うよ見ててもわかんねえと思う
[00:33:25.560] [音楽]
[00:33:33.799] これも指導なんだろうけどあこれ
[00:33:35.760] おっっぱいだねこれシドのおっぱいだこれ
[00:33:37.600] ここ
[00:33:44.440] [音楽]
[00:33:49.399] だ右上腕になり
[00:33:52.510] [音楽]
[00:33:55.760] 蹴りうんここだ
[00:34:00.550] [音楽]
[00:34:07.760] ねあなるほどここに繋がるんだ
[00:34:11.359] な
[00:34:15.639] オ
[00:34:17.280] ささんお
[00:34:32.599] 違う
[00:34:34.480] ないや指導マジでパーツめっちゃの謎
[00:34:37.720] パーツやっぱり指導な気が
[00:34:40.599] するそれそれは分かるん
[00:34:43.560] だほっちんお疲れほっちんおはようすごく
[00:34:46.560] ねすごくねすごくねこんなやってるぜ
[00:34:51.000] ちゃんとおはようおはようメリー
[00:34:54.440] クリスマスやぞ
[00:34:57.839] やっててえらい
[00:35:00.280] だろ普通に楽しいからやってる
[00:35:03.320] わあおててですねこれす
[00:35:07.599] すぎお手てだちょっとむずいやつだお手て
[00:35:11.480] はこの辺と
[00:35:13.800] か水色青ちょっと赤の謎
[00:35:18.240] パーツお手てがむずいんですよこれ多分
[00:35:27.760] ドラ7の辺には勝てそうな感じになってき
[00:35:30.880] たいや多分そんなにもうかかんないと思う
[00:35:36.280] よ多分な今から仕事のために化粧するから
[00:35:41.200] 潜りながら見てるよはいありがとうお仕事
[00:35:44.400] かあ終わったら
[00:35:47.240] 寝る終わったら寝るよちゃんと
[00:35:51.880] [音楽]
[00:36:00.000] 次回配信
[00:36:01.720] いつさすがに今日の夜は多分無理だな多分
[00:36:05.599] 起きないと
[00:36:08.000] 思う明日月曜か
[00:36:19.400] なこれどこだ
[00:36:22.000] よラジ
[00:36:28.319] あそこかこっちなんだあまだけらんねえか
[00:36:34.839] これほとちんさんし5眼し5
[00:36:39.560] がし5ガっていう
[00:36:42.200] のし難度ゲームと違って1ピースずつでも
[00:36:46.160] はまっていくので精神的疲労は少ないです
[00:36:48.800] よまあ確かにね確かにそれはある
[00:36:54.839] わ精神的なあれはねというワードの強さし
[00:36:59.599] 5眼ほっちんし5眼正解分かってるもんね
[00:37:04.720] まあ
[00:37:06.880] ね殿みたいに1に戻されるのいっちゃん
[00:37:10.640] きついいやあそれは精神的に来るからね
[00:37:13.480] 泣くもんあれきつく
[00:37:20.470] [音楽]
[00:37:24.240] ていやでもむずいなここ
[00:37:29.119] お仕事頑張って似合を込めた略し方よ死が
[00:37:33.319] や
[00:37:40.790] [音楽]
[00:37:49.599] ぞこれトリッピーの足だこれ
[00:38:03.160] し次郎トリッピーじゃねごめん間違した
[00:38:06.359] トリッピーじゃなくてなんだっけ
[00:38:07.480] メタッピー
[00:38:09.440] な
[00:38:14.730] [音楽]
[00:38:16.440] ラ
[00:38:19.079] ラムリンラムリンはリストラされまし
[00:38:23.480] たきくひよじゃないい
[00:38:28.240] それそうおじれまるじゃねえ全関係ねえ
[00:38:32.319] よキきこじゃない
[00:38:34.660] [音楽]
[00:38:42.000] ピいや着々と着々と完成に近づいてるん
[00:38:47.480] じゃない
[00:38:51.280] 笑笑
[00:38:53.240] うむ尺を返すデゴ数
[00:38:59.359] しを返すで
[00:39:03.640] コンス進めすめ我ら
[00:39:07.920] 長ごめんせに来るなって北とと変わらん笑
[00:39:14.720] 似てるのやめて基本もまモノマネ全部一緒
[00:39:17.839] だから俺基本モノマネ全部
[00:39:21.520] 一緒もできる
[00:39:23.400] よもできるよ
[00:39:25.640] やってようか
[00:39:28.240] 音でかいあよく考えたらおじるまる悪者だ
[00:39:30.920] よねそれそうじゃんだってマジでなただ尺
[00:39:33.760] 盗んだだけだ
[00:39:35.760] もん
[00:39:37.640] オーダー
[00:39:39.760] オーダーカの味噌汁し
[00:39:44.200] ますいただきましたおいしいです内で完璧
[00:39:48.720] にコピーできたわ
[00:39:50.280] [音楽]
[00:39:52.920] 笑笑あれどここれ
[00:40:02.560] 信吾
[00:40:03.640] 消えるこだ
[00:40:14.920] よわかんねえ
[00:40:33.480] やべむずいな
[00:40:43.119] ここ
[00:40:44.960] 無でもちゃまさんに限らず見せる気のない
[00:40:48.560] ものまねってめっちゃ好きだわ笑UR完全
[00:40:52.079] オリジナルのやつなテレビブリト
[00:40:53.560] ベネボレンス
[00:40:57.130] [音楽]
[00:41:01.480] 完全オリジナルのやつ
[00:41:05.240] でしょ
[00:41:07.359] ヤドンブンこれ
[00:41:11.359] ヤドン進んだか笑進んだやろがいめっちゃ
[00:41:16.440] 進んどるやろがい
[00:41:22.970] [音楽]
[00:41:29.119] わから
[00:41:36.800] んすぐ鳴き声出るのすごい
[00:41:40.839] な誰だと思っとんじゃいわしをあここ
[00:41:45.980] [音楽]
[00:41:55.119] だちゃん
[00:41:58.119] ありがとうし
[00:42:01.920] がわしの人ですねわかります画
[00:42:06.880] 蓋何画蓋画にバホはいこれこれ画2まほ
[00:42:14.319] これクソにるから調べて
[00:42:34.160] 合わねえ
[00:42:37.640] なバホ
[00:42:39.720] はァめっちゃ似て
[00:42:51.119] るっしょくるけン
[00:42:57.480] これレスポンスの速さねまず笑笑考える
[00:43:01.240] 余地を与え
[00:43:03.880] ない
[00:43:05.640] ババグバオ
[00:43:08.320] [音楽]
[00:43:12.640] は
[00:43:17.040] ごめんこれ
[00:43:21.890] [音楽]
[00:43:31.400] おぽおはようと勢いと気合いはっきり
[00:43:34.559] わかんだよおやぽんおはよう超進んでね超
