[00:00:18.240] 邪魔ゲームさんコメントお待ちして
[00:08:34.959] ねえんだっけオープニングって流れねえん
[00:08:36.919] だっけえドレミファドレミファファファ
[00:08:39.599] ドレミファみたいの面談で時目も知って
[00:08:42.159] ますかうんって言われた時テンション
[00:08:44.720] 上がったよはい収録の面談て何何収録の
[00:08:48.600] 面談ってえ大丈夫ですかあんなん投げ
[00:08:51.519] ちゃってゲームスタートなんか流れなかっ
[00:08:54.640] たわ流れるかと思ったんだけど流れなかっ
[00:08:57.760] たさあやりますもみさんリネライブだと
[00:09:02.200] 思うよLINEライブの収録収録とかある
[00:09:05.480] んだ
[00:09:08.519] へえ
[00:09:10.079] ヤッホーまたあえて嬉しいな美ゆき俺も
[00:09:13.839] 嬉しいよ
[00:09:16.160] おいテンション上がってきたエンジン
[00:09:18.720] かかってきたな橋本コ美ゆきはいハモです
[00:09:22.839] どうもさんどのくらいの頻度であるんだろ
[00:09:25.600] ねね収録とか大変じゃね何それ
[00:09:29.880] ライブじゃねえじゃん収録
[00:09:32.200] ってまいろんなあれがあるんだないろんな
[00:09:34.760] プラットフォームがな収録かねつって
[00:09:40.040] あでかい声出すだけだよ別に何もないイベ
[00:09:44.320] 入したからゲスト声優してくるだけよあ
[00:09:47.399] すげえじゃんゲスト声優してくんだすごい
[00:09:49.480] ねあだからトメもみてな感じで行けよって
[00:09:52.000] ことかすごすげえじゃんはい行きます
[00:09:59.800] こんばんはまっちゃんまめさんもさん
[00:10:02.839] うまい
[00:10:04.079] なあんま思ってなさそうだけどはいどうも
[00:10:07.000] こんばんは今日はですねちょっと確認して
[00:10:09.760] くれ6月おお6月11俺誕生日じゃねえか
[00:10:12.320] よ誕生日でございますえ来週はさん豆お
[00:10:17.160] りせ収録は収録かねつって笑笑さんどうだ
[00:10:21.880] なんなんだよなんなんどうしたどうした
[00:10:24.240] えっとね容子鍛雑学富運動202とバカ
[00:10:29.880] 体調が悪いので休みますちょっと待って6
[00:10:32.600] 月のイベントは海行きてえけどな海行き
[00:10:36.880] てえけどな去年行けてねえんだよなもう
[00:10:39.200] そろそろ行けるでしょ水着見たくねコブの
[00:10:43.000] 水着見たくねナイトパレドあエも行きます
[00:10:45.959] これ全部行きますここれ全部行きます
[00:10:48.800] メリーゴーランド終了メリーゴーランドと
[00:10:50.800] か別に大丈夫
[00:10:53.680] えやっぱサマーデート行きたいよね海開き
[00:10:56.920] 行きたいすねじゃちょっと電話して
[00:11:00.000] 寝ながらちょ体力を回復しつつなんかね
[00:11:02.680] ヤンキーイベントが来るとやっぱ体力低い
[00:11:04.680] と死ぬ
[00:11:06.000] から攻撃力バカ高いけどね2011だから
[00:11:09.000] 俺もぎさんプライベートアイみょん
[00:11:12.680] プライベートライアンみたいなあコブさん
[00:11:14.959] D1回帰りましょう一緒にねこれさだめか
[00:11:18.279] なみゆって呼んじゃだめかなみゆって呼ん
[00:11:21.120] で
[00:11:22.079] いいみゆって呼んでいいかなそろそろ俺俺
[00:11:25.440] 下の名前で呼んでいいよ
[00:11:27.399] なそろそろ
[00:11:29.760] あでもちょっとみゆちゃんこれさどっちの
[00:11:32.360] が上なんだちゃんつけのが下だよねこっち
[00:11:34.480] のが度高いよねさんさんおもろいんだよな
[00:11:38.360] いつ
[00:11:40.240] もんになるかな面白いんだよそう面白いん
[00:11:43.920] ですねせめてさから行くあの今3なのね
[00:11:51.079] ちゃんさんどうかなこれるか
[00:11:58.240] なんちゃんから行っとく多分この難易度的
[00:12:01.720] に苗字名前あだ名なのね多分この難易度の
[00:12:05.079] レベルがでそん中でも多分呼び捨てが一番
[00:12:09.600] 難しくてレベル高くてだと思うんだよな
[00:12:14.800] ちゃんこき
[00:12:17.240] ちゃんなんか可愛いなんかあれのささん豆
[00:12:21.320] おりせ笑ってけましたら幸いですなんか
[00:12:24.639] 可愛くねなんか可愛くね今日
[00:12:29.279] どうした許された許されたちゃん好け許さ
[00:12:33.160] れたよかったら一緒に帰らないもぎさん
[00:12:36.440] いつも
[00:12:37.639] 可愛いの方がいいよ一緒に帰ろあ俺も
[00:12:41.760] なんかこうしったらずなんかシナやってる
[00:12:44.040] し喋り方しようかななん今日えだか今日
[00:12:47.680] これで行くわやっぱあの5に行っては5に
[00:12:50.639] したえやバカになったらバカに習われねえ
[00:12:52.880] と
[00:12:53.839] よ長くなれるかなと思ってそっちの方がさ
[00:12:57.560] こんばんはさ一緒に
[00:13:00.839] れろいやマジでそういうイベントありそう
[00:13:03.320] 一緒にいたらマジで俺死ぬあ危ねえ
[00:13:05.800] 危なかった今もうよく覚えてた練習試合
[00:13:09.600] です今日危ねえよく覚えてた今もう2日も
[00:13:13.519] 空いてたら忘れるわ危ねえそう部活な部活
[00:13:17.399] なダメだよなしっかりしないとうろさん
[00:13:19.120] こんばんはマジきち
[00:13:22.760] です
[00:13:26.120] あとの練合ねさん今日バカかか何
[00:13:32.120] この何このもぎさんおおこれは可愛い
[00:13:37.600] テニスボールちっちゃ何このカリカリ夢
[00:13:40.360] みたいな持ってこいつあまめさんコブちゃ
[00:13:44.360] あことぶきちゃん1回さんかね1回さ1回
[00:13:48.199] 名呼び許されたらもうデフォルトであの名
[00:13:50.839] 呼びじゃねえやあの1回あのちゃん漬け
[00:13:53.639] 許されたらもうデフォルトでちゃん漬けに
[00:13:55.240] なってるこきちゃん頑張ってねしっかり
[00:13:58.000] 応援する
[00:13:59.600] からねめちゃくちゃ可愛いじゃねえかよ
[00:14:01.639] これでいいんだよこれでよし絶対負けねえ
[00:14:04.279] いいとこ見せてやろうぜ言うて僕も中学生
[00:14:07.079] の時テニスでした3回しか行ってない
[00:14:11.639] けど3回しか行ってないけどワンオークの
[00:14:15.160] なんかギターみたいな感じのやつ出てきた
[00:14:17.160] 負けんなよてめ行けよ勝てよよし
[00:14:20.759] オッケーよし勝ち勝ちでしょはい
[00:14:25.079] 余裕ワンオルギターなんて言うんだっけ似
[00:14:27.839] てなかった今一瞬
[00:14:30.880] もぎさん今日はむっ
[00:14:33.680] てスカイピースのなんか動画のさクソサド
[00:14:37.279] 見たさんあ通るか通るか懐かしいスカイ
[00:14:41.160] ピースのなんか動画のさなんだっけあれ
[00:14:43.199] なんか俺全然興味ねえんだけどなんか死ん
[00:14:44.680] ないけどYouTubeトップ出てき見た
[00:14:45.920] んだけどさじなんかゆゆがなんかそれを見
[00:14:48.399] て気持ち悪がってる動画みたい見たんだ
[00:14:50.040] けどあれやばかったわなんかスカイピース
[00:14:52.240] のなんか明日があるさのなんか替え歌
[00:14:55.079] みたいなくっそ寒いの見たやめよあやめよ
[00:14:59.079] 誰だ俺がいじっちゃいけなんて
[00:15:01.850] [笑い]
[00:15:05.079] 全さんごめんなさいすいませんそうこう
[00:15:08.720] いうのでちゃんと俺は盛り上がっちゃう
[00:15:11.000] からダメなんだよね多分ねそのなんか
[00:15:12.880] マイナスなんかその良くないねなんかすい
[00:15:16.600] ませんねえすごいよあ可愛いやったぜさん
[00:15:20.800] 笑笑多分スカイピースガも思ってるから大
[00:15:23.399] 忘れておきますあ
[00:15:25.120] ごめんもしかしてもしかしてまめちゃん
[00:15:29.040] まあまあまあまあだからと言って別にね俺
[00:15:31.079] たちが意合う必要はないと思う嘘つくより
[00:15:33.279] はそういうことでございますそういうこと
[00:15:34.759] でござちょ体力上げよう体調をおさんあ
[00:15:38.959] あごめんなくそ寒いとか言ってごめん寒く
[00:15:41.839] ないいやめっちゃ泣いたあの動画泣けた
[00:15:43.839] マジでなんかコメント欄で泣けたあれ本当
[00:15:46.160] 泣けた泣けた体調100は欲しいよな光
[00:15:50.959] 誕生日興味ありませんえーことぶきちゃん
[00:15:54.880] ことぶきてもぎさんもう引っ張るな
[00:15:57.959] ことぶきて
[00:16:00.160] そうせブキたんブキたんちょっとさ海
[00:16:03.440] 行こうよもう好きじゃん俺のことてかさ俺
[00:16:07.639] 俺のことハモって呼んでんだったら俺も
[00:16:09.399] ちょっとなんかあで呼んでいいんじゃね
[00:16:11.399] これあ雨か雨か雨の日は海行けねえんだよ
[00:16:14.720] な武器て雨の日は海行けないんでましょう
[00:16:19.079] がないねこれ9日に海入れとくしかない
[00:16:21.959] なえー海行こうこれちょそろそろ見たいよ
[00:16:25.720] ねこいつのその日は相来た来た来
[00:16:31.360] た了解何があっても必ず行く
[00:16:36.360] からギザかゆですギザ
[00:16:41.199] かゆそういえば今日は光の誕生だら
[00:16:43.639] プレゼントあげとこうかあげとこうあげ
[00:16:45.800] とかないとかあのこれはあの別にこいつの
[00:16:47.759] こと好きとかじゃなくて元カノのよしみで
[00:16:50.240] もなんでもなくこれはあのあれす
[00:16:53.959] あのあわざわざ私に行くんだすげうわ家の
[00:16:57.880] え待ってこの絵初めて見たんだけどこれ
[00:17:01.000] この1枚絵初めて見たはら何この何この
[00:17:05.520] 部屋着めっちゃいいじゃねえかなんでここ
[00:17:07.280] に来てなんでここに来てこいつの初要素出
[00:17:09.679] てくるんだこの部屋着お腹ちょっと出てる
[00:17:12.559] 何この部屋着ボタン少なボタン3つしか
[00:17:15.600] ねえじゃん最初から少なさんボンバー持っ
[00:17:17.959] てねもぎさんみさんそうなんだこいつ
[00:17:21.679] こいつにね存在に扱えねえんだよこいつら
[00:17:25.240] モデレーターが暴れ出すからこれ誕生日
[00:17:27.760] だろこれプレゼント
[00:17:30.039] 嬉しいなあ中に入って
[00:17:34.080] もうもぎさん笑笑こいつクソだわ
[00:17:37.840] こいつあこれこういうとこだよマジでもぎ
[00:17:41.520] さん好き当る絶対絶対こいつあれだろよ
[00:17:45.600] こいつもう絶対あれだわなんかもうなんか
[00:17:49.039] ちょっとちょ
[00:17:51.520] えでも
[00:17:53.000] [音楽]
[00:17:55.039] うううんうんねこんなイベントな
[00:18:00.360] プレゼント当ててもいいかなプレゼント
[00:18:02.960] 回収してくれんのかなえこんなピッチだ
[00:18:06.600] こい最高前から欲しかったのもぎさんあ中
[00:18:11.440] に入ってあと中に出してこれそういうのだ
[00:18:14.480] よそういうの何この歌よかったすごく喜ん
[00:18:18.880] でるみたい
[00:18:20.080] だあやったな今の今の暗転ではい行きます
[00:18:23.960] すいませんえっとえっとはいえデートに
[00:18:28.000] こぎつけましたさんじゃあもうコメントし
[00:18:30.679] ないよ下ネタしかコメントしないの
[00:18:33.360] かもうごめんて言ってんじゃん言ってない
[00:18:37.000] けど今1回目だけど
[00:18:39.480] えっとえっとなんだっけ
[00:18:42.720] 鏡運動用紙雑学もう勉強は正直捨てなんだ
[00:18:47.840] よな芸術も全然ねえ芸術セス
[00:18:51.919] もあ横にいるようになったほらさんさん
[00:18:55.440] 帰ってきてもう帰ってきて帰ってきてね
[00:18:59.679] よし100欲しい
[00:19:01.480] な体調70ってやべえんだよな多分さん
[00:19:05.480] ただいま
[00:19:06.720] てすぐ帰ってき
[00:19:08.480] [音楽]
[00:19:11.600] たさん
[00:19:14.200] 笑笑ありがとうもうめっちゃ好きだろ俺の
[00:19:17.240] ことこれえっと
[00:19:20.360] ね今2日でしょで9日晴れでえとこれなん
[00:19:24.679] だっけえとナイトプールナイトプールだは
[00:19:28.720] 土曜日だよね1234ここだねここを縁日
[00:19:32.000] 神社この子神社好きだから絶対いける
[00:19:33.760] でしょさあああ疲れちゃ今日もやってる
[00:19:37.720] 今日もやっていますランディさんも
[00:19:39.760] こんばんはランディズムどうもこんばんは
[00:19:42.440] ナイト
[00:19:43.400] プールナイトプールナイトプール行くべ
[00:19:46.039] 一緒になバカみてになんかなんかEDMと
[00:19:48.840] かでなんか踊りながらなんか風呂入んべ
[00:19:50.720] 風呂じゃねえなんかプール入ん
[00:19:52.520] べバカだからケツ振っ
[00:19:55.240] ていあちゃんこんばんはちゃんこんばんは
[00:19:58.120] すいませんねどうも今日もいつもの投資で
[00:20:00.080] やってますえことぶきちゃんどうやら僕の
[00:20:02.360] ことが好きみたいですねまいったなと参り
[00:20:05.520] ましたちょっとデートまで寝ますもう正直
[00:20:08.480] これもうあのステータス的にはもうね勉強
[00:20:11.559] はもういいですどうでももう諦め
[00:20:13.960] た体調を上げていつ喧嘩になってもいい
[00:20:16.760] ようにもうヤンキーなんで俺こんな
[00:20:18.559] ヤンキーみたいなステータスしてんだよ
[00:20:20.320] さんもぎちゃんのえぐいコメントが画面に
[00:20:22.880] 出てて笑っ
[00:20:24.559] てる今そのコメントのおかげで消えたけど
[00:20:27.240] ね
[00:20:30.799] いつまでてもとリレックスて答え
[00:20:35.280] そうれてるあの答えるやつもうそれしか
[00:20:39.400] 知らな
[00:20:40.600] 笑笑あワスク好きだもんなデムなえっと
[00:20:45.840] なんだっけかあのそうなんだ最近さ違うん
[00:20:48.960] だよ俺のチャンネルに来る人の半分ぐらい
[00:20:51.120] はなんか俺俺目的じゃなくてギちゃんの
[00:20:53.080] そういう過激な過激なあのコメントを求め
[00:20:56.720] て来てる人は一定数いるね
[00:21:00.200] そうなんだね知らなそうウルトラジャパン
[00:21:02.880] 行きそう誰も知らないのにウルトラ
[00:21:04.440] ジャパン行って
[00:21:06.440] そうししさんもちゃん危ない
[00:21:10.279] よ何何が
[00:21:13.320] えっとデートですあ皆さんお待たお満たせ
[00:21:18.760] いたしましたあのですねあれで時間間違っ
[00:21:21.240] てないでする
[00:21:23.760] ぞちゃんの
[00:21:29.080] 今はねどこに
[00:21:31.720] ぐぐ
[00:21:33.279] 0714
[00:21:34.799] ちゃん俺があげたサブだよねそれさんにし
[00:21:41.440] てくださいて言ってってますげあれじゃん
[00:21:44.559] すげえ上から目線じゃんままあでもまあ
[00:21:47.360] そうなんだけどアクレックスしてくださ
[00:21:49.640] いって言ってん
[00:21:53.400] なああ乾いた潮風が気持ちいいねあと
[00:21:58.960] 晴れてよかったね可愛いこいつ喋り方アホ
[00:22:02.279] でホみたくて可愛いじゃ行こう
[00:22:05.960] よちょっとちょっとどんな水着切るの
[00:22:08.840] こいつ
[00:22:15.559] おおいおい
[00:22:24.900] [笑い]
[00:22:27.520] ラディレそれなんで何かって言うとなんか
[00:22:30.600] その光のことをこのこの回ではこのこの子
[00:22:33.120] 言ってるからさ光のことをめちゃくちゃし
[00:22:36.720] めちゃくちゃ俺は仕方してるのよそしたら
[00:22:38.679] なんかその水月なんとかってやつがあんた
[00:22:40.679] ねみたいな電話かけてきたから渡るみた
[00:22:43.559] いって言うからもしかしたら俺の知らねえ
[00:22:45.320] とこでワルがなんかあのみんなにDM送っ
[00:22:47.240] てんじゃないのかなっ思って今日の配信の
[00:22:50.320] 態度何ちゃますっごく傷ついてたよ言って
[00:22:54.120] たらごめんなあいつ俺の親衛隊だから
[00:22:59.679] 守られてますさん海で泳えもったいない
[00:23:04.760] から動かなくちゃのんびりに当る機械だ
[00:23:06.840] からいいち波打ちで遊んでるのが最高だよ
[00:23:09.320] 海はえこの子どうなんだろう大人しくし
[00:23:12.080] てんの好きじゃないって言ってたけどな
[00:23:14.799] もったいないから泳がなくっちゃえじゃあ
[00:23:18.520] なんでだよ行ってきていいよ泳のはで十分
[00:23:25.720] だしなも出たもこいつ出た
[00:23:32.760] るからディスコかかってくる何何何なんて
[00:23:37.799] なんてあの態度何ってランディさん笑笑て
[00:23:43.440] ねこいつマジしんどいよめどくせえ
[00:23:48.039] なめどくせ出ちゃった今一番言っちゃいけ
[00:23:51.840] ないことだね好きな女の子に対して番言っ
[00:23:54.919] たうん話しながら帰ろね
[00:23:58.799] えなんなのこいつマジで選択肢むずいんだ
[00:24:01.080] よねあ来たわ終わったこの時これテスト
[00:24:03.159] 終わりですやべ赤点になったらやばいんだ
[00:24:05.200] よな
[00:24:06.270] [音楽]
[00:24:10.559] 補修
[00:24:14.760] あ終わってなこいつしししさん笑笑もぎ
[00:24:20.159] さんおはようもぎちゃんもぎちゃんの昨日
[00:24:23.320] の
[00:24:24.000] コメントうざ
[00:24:26.399] 点中ちょっと弱かったわ
[00:24:30.399] ダブこんな感じさんめどくさいのもやめ
[00:24:35.279] とくやいこの女がちょっとめんどくさいん
[00:24:37.799] だよなでも可愛いから許すめどくささも
[00:24:41.399] それも女の作というか可いさですよねえ
[00:24:45.080] 縁日じゃなくてあのえっとえっと遊園地で
[00:24:49.760] ナイト
[00:24:50.720] ミュージアムはいすぐ
[00:24:54.440] てるだよネタだよだよねえだろガチだった
[00:25:00.120] やべえガチだ部活練習日
[00:25:03.039] 危ねえこれを1度もサボらないことそれが
[00:25:06.080] 1番大おめえもプライベートなよなよして
[00:25:08.880] いてめんどくせえだろ
[00:25:11.279] が何言ってんだ言っ嘘だよしちゃん笑笑え
[00:25:17.120] テストの結果が発表されるし見に
[00:25:20.080] 行こうやばそうな気が
[00:25:22.720] するやばそうな気がするう
[00:25:28.520] うわやばいやばい補だってえ何それデート
[00:25:32.440] どうなんだよ
[00:25:35.799] は補しなきゃいけないの今週はやば勉強し
[00:25:39.720] なきゃいけないんださん
[00:25:42.279] 笑笑さんめちゃくちゃなぐしぐしさん嘘で
[00:25:47.640] よかったよあでも
[00:25:49.679] で木曜日デートだよねええ
[00:25:53.960] ええこれ
[00:25:55.880] 何今日ってデートじゃなかったでしたっけ
[00:25:58.880] しししさんあれ今日もしかして補って
[00:26:01.600] デート潰れたりデート潰れたりするの補
[00:26:05.720] ってデート潰れたりするな終わったね
[00:26:07.720] みんなさんダブルパキング終わっみんな
[00:26:09.880] 終わったおしまいだ終わりデート突かした
[00:26:12.600] だめだ補修で終わりだ終わりましたこいつ
[00:26:15.200] バだ終わりました皆さん終わった終わりだ
[00:26:19.279] で電話かってくるわ
[00:26:21.240] 終わりほら終わったわほら終わったらああ
[00:26:25.120] やめたこのゲームバカだわやめたこの
[00:26:27.240] ゲーム2度やんね
[00:26:28.840] 今日約束すっぽかした
[00:26:30.960] でしょったんだよンだよ
[00:26:36.159] あの間違えだったらごめんね
[00:26:39.430] [笑い]
[00:26:43.360] くでも可愛いからいいや1回は聞いときて
[00:26:46.720] よな1回は聞いときたいでしょ
[00:26:49.440] さんか1回は聞いときてえもんなさんかな
[00:26:53.559] 1回は聞いときたいでしょこのこの
[00:26:55.200] イベント
[00:26:56.200] も待ってこどんだけ補修すんのえちょっと
[00:26:59.799] 待っ
[00:27:00.880] てあ終わった2
[00:27:04.039] ぽ俺だ2すっぽかしたああ日も行けなかっ
[00:27:08.480] たおしま終わだ笑笑終わりごめん最初から
[00:27:12.559] 直していいこれちょっと最初からやり直し
[00:27:15.000] ていいかな終わりねこれちょっとこれ
[00:27:18.080] リセットしていいかなさんいいよ
[00:27:23.640] 笑笑さんアメリカン
[00:27:28.320] なんそれなんそれなんそれごめんちょっと
[00:27:32.640] やり直すさん頭悪すぎると困ったことに
[00:27:36.200] これダメだよ2周もすっぽかすない
[00:27:38.799] よ2周もすっぽかすねえだろさんいいよ
[00:27:42.640] これはだめだささんちゃまく何なんだよ
[00:27:47.600] 何か文句でも終わりですか
[00:27:53.080] こみいやちょっと待って今のダメ
[00:27:56.720] でしょだめでしょの覚えてさん今日の渡と
[00:28:01.840] 同じ突っ込みしちゃったね
[00:28:05.559] 今風るよ何それ何それ何それあそれあれ
[00:28:09.120] かれあれかそれあれかそれあれかあのなん
[00:28:12.399] だっ
[00:28:14.039] けれ
[00:28:15.600] さんなんそれでうやつも同じだっ
[00:28:20.100] [笑い]
[00:28:23.760] たったね
[00:28:28.240] 嬉しいな美ゆきやもうめんどくせえ
[00:28:33.960] な何分無駄なったまだ20分だてあそうだ
[00:28:38.200] よ付き合ってます渡ると俺
[00:28:43.320] はえごめん20分無駄にしたちょっとこれ
[00:28:46.519] で勉強しなきゃダメだぐぐさんそうなんだ
[00:28:48.840] そう言ってなかったけどぐしぐしさん信じ
[00:28:52.519] ますちちゃん何でも信じるな純粋だな何で
[00:28:56.559] も信じるささんえ部屋さんとちゃまく
[00:28:59.360] 付き合ってんのワタルの笑い部屋のこと
[00:29:01.600] 部屋さんって呼んでんのおさん信じます
[00:29:03.840] 部屋さんって呼んでんのランディさん
[00:29:06.679] なかなか特殊なしししさん部屋さん笑笑
[00:29:11.200] 部屋さんって呼んでん
[00:29:13.330] [音楽]
[00:29:15.080] だ勉強しなきゃだめだこれ勉強しなきゃ
[00:29:18.799] だめだでも体力やべえ
[00:29:21.159] 体力死ぬじゃんだってこれもう33って
[00:29:24.279] だってもう多分死ぬぜ
[00:29:32.039] あんだ逃げよ
[00:29:34.600] さよならブッキーね
[00:29:36.919] キ練習試合も行かなきゃいけ体力やべえ
[00:29:41.360] 体力ねえな体力回復する方ねえの
[00:29:50.340] [音楽]
[00:29:54.039] かめましょう
[00:29:58.279] しんどい
[00:29:59.440] ないいんだ補修なんかしなくてもさごガガ
[00:30:03.440] 飛ばしてくよこの辺1回ちょっとやった
[00:30:05.159] からラさんつまをブッキーて言ってる人
[00:30:08.960] いるえブッキーて言ってるいんじゃないつ
[00:30:13.279] は
[00:30:16.159] くワルツさん橋もてデジモンみたいなもん
[00:30:20.519] そういう
[00:30:23.640] もんまもう一度見れたからなこのクソ
[00:30:26.720] イベント
[00:30:29.039] そうかこれ勉強しなきゃなんねえのな文系
[00:30:33.080] もちょっと文系もちょっと行っとくかでも
[00:30:35.159] 寝ときて寝ときてえ
[00:30:38.120] なもぎさん可愛いめっちゃ可愛いんだけど
[00:30:42.640] な赤点まじいよ
[00:30:46.039] なワルツさん可愛いからオッケー可愛い
[00:30:49.440] からオッケーたは回無視してろいいやお前
[00:30:52.600] と帰ってる暇はね
[00:30:54.159] え勉強かいつだっけ7月頭だよねとり
[00:30:59.120] デートの予定だけはとりあえず入れとい
[00:31:01.240] てデートの予定だけとりあえず入れとくな
[00:31:04.840] これは絶対必要だからさんピカちゃんも
[00:31:08.320] 大概だった
[00:31:10.120] けれでかいねちゃピレちゃん誰だそれ
