[00:00:00.240] もう緊張するでしょすごくない
[00:13:17.959] つもりこれ破壊
[00:13:20.600] のど
[00:13:26.240] どこれどしたの
[00:13:32.399] しでごめさ
[00:13:36.399] さこんなもんドロップするぐらいだったら
[00:13:39.839] の1
[00:13:41.680] ドップしてもらていい
[00:13:45.600] かこんなのドロップするんだったら祈の指
[00:13:49.680] の1個や2個ドロップできたでしょ
[00:13:59.199] お守りとし
[00:14:00.090] [音楽]
[00:14:03.560] ての杖ありの服もあるあ光の剣ありこれ
[00:14:07.680] これあれだよなこれあれだよあのだヌヌ
[00:14:12.770] [音楽]
[00:14:39.360] あから
[00:14:41.199] ね破壊破壊にき
[00:14:45.800] [音楽]
[00:14:51.399] ます盗
[00:14:53.959] 盗賊はないの
[00:14:57.660] [音楽]
[00:14:59.160] 捨てちゃだめです
[00:15:02.399] よ読
[00:15:04.240] 読
[00:15:07.740] [音楽]
[00:15:12.120] がれ
[00:15:13.639] してなんて守
[00:15:16.460] [音楽]
[00:15:30.440] よしおサブスクマジでよし行くわ行こう
[00:15:34.079] みんな
[00:15:36.800] でもう俺レベル上げとかしねえぞもう
[00:15:41.360] レベル上げとかしねえかんなもうこの
[00:15:43.880] まんま行くぞこのまんま行く行くわ任せろ
[00:15:51.279] よまずは1戦目
[00:15:56.000] オさあどうしようかなこれさ俺ごめんね
[00:15:59.759] 逃げあのさ逃げ1回ワン逃げしていいか
[00:16:02.759] ワン逃げえギガンテスってさザなき
[00:16:07.959] 聞くザキ効くよな最悪ザキま逃げていくわ
[00:16:12.560] と逃げ大丈夫全然逃げれる余裕なんだよ
[00:16:14.800] 66%引かね配信者なんか配信じゃねえん
[00:16:16.920] だ配信者じゃねえんだみんなありがとう
[00:16:18.639] フォローとあれありがとう
[00:16:22.720] なアデもちょっとこれどうしようか
[00:16:26.600] なおこれどうするねレイドありがとう
[00:16:30.639] レイドありがとうレイド
[00:16:35.600] ありがとうや
[00:16:37.880] べえありがとう
[00:16:40.120] レイドちょっと待ってくれちょっと待っ
[00:16:42.079] てれちょっと待これさ対処
[00:16:43.760] [音楽]
[00:16:44.959] する祈りの指はちょっとチャレンジするか
[00:16:48.480] 祈りの指はチャレンジするか祈り
[00:16:50.839] チャレンジ待て行く
[00:16:53.240] わえでもさこ
[00:16:55.720] [音楽]
[00:16:57.319] れってさえモにして何やればいいのアーク
[00:17:01.480] デモに対して何やればいいのって頑これ
[00:17:04.360] ランドって何するべ
[00:17:06.760] 防御ロありがとうございますフロざレイド
[00:17:09.919] もありがとねレドも
[00:17:13.880] ありがとうアークデーモンてさどう対処
[00:17:16.520] すんの練習してたんだけど練習の時ほぼ
[00:17:19.480] ほぼ逃げてたから
[00:17:21.880] さ御
[00:17:24.199] でルカなんルカナンは入れた方がいいよね
[00:17:28.880] 入れよ
[00:17:30.039] かまあまあままままま
[00:17:33.640] ままルカのタイミング悪いなわ効かねえの
[00:17:36.600] か分かったじゃいいやもうお前ら防御し
[00:17:38.559] とけ俺に
[00:17:39.960] [音楽]
[00:17:48.440] 任せろあこれねあの色はねあのなんだっけ
[00:17:52.160] あのあれだと変わっちゃうんだよねやっぱ
[00:17:54.200] 棒読みちょっと棒読み
[00:17:56.400] 必読読やいる
[00:18:01.440] あごめんありがとうクリアありがとう
[00:18:03.440] ありがと
[00:18:04.600] とで
[00:18:07.360] ちょ心細ならないで
[00:18:11.480] 笑笑笑ないと落ち着かなかった
[00:18:14.270] [音楽]
[00:18:16.200] 笑笑のてくれ来ないよねままま来ねまこ
[00:18:23.730] [音楽]
[00:18:27.080] ないにいのよ
[00:18:30.200] 緊張感が笑笑ついて
[00:18:34.440] ナイス草来
[00:18:36.960] ないまラストにれたちょっとすぎったねを
[00:18:43.280] 保存した安全な敵だったってわけでね
[00:18:47.400] ちゃまちゃんは運持ってるから大丈夫行く
[00:18:51.120] ぞ今日はマジでちょっと化率高くない
[00:18:56.280] ですた
[00:19:01.799] だったかな出たな怖い怖いやべえ
[00:19:08.080] 行け来
[00:19:10.120] たおっと頑張って来た来た来たいやこれ
[00:19:15.679] 逃げるかざらやるかあちゃきき来ました
[00:19:21.840] これこれさ逃げかザキがどっちがいい人目
[00:19:24.120] の島村手のシー来たないさてこの対どう
[00:19:27.000] するか米印石の中にいる米1でとはあこの
[00:19:30.480] 組合せさっ誰かでた
[00:19:33.320] ぞててがや俺これで死んだらこれで死ん
[00:19:37.400] だらマジレトフリ殴るからねこう
[00:19:42.360] やっこうやって殴る
[00:19:45.970] [音楽]
[00:19:53.679] からげ逃げる
[00:19:59.280] 逃げビリビリ気が走んの何これ持ってる
[00:20:04.000] 888
[00:20:06.200] おおうごめこっちこっちはごめん
[00:20:09.799] な化すん化すんな化すん行けそのまま逃げ
[00:20:13.760] ましたねナイ追っかけてきてるわ
[00:20:15.600] ブリザードがこれもうデビル
[00:20:20.000] ロースたら危いみかけていけこれははける
[00:20:24.559] ぞ勝ちさすが運の持ち主数いいよいいよ
[00:20:28.760] 島村さんのおかげだね分かる笑笑感想
[00:20:32.400] できるに前かけしまし
[00:20:34.240] たマーブルさんから引き継いでますお
[00:20:37.880] 珍しいルート選びますね待て待て肩で息し
[00:20:42.320] てても可いデビルロードで逃げた方がいい
[00:20:45.480] ですよそうだねもうこのデビルロード触る
[00:20:48.280] ことがだもんならんば
[00:20:55.000] [音楽]
[00:20:56.760] [笑い]
[00:20:59.480] おい今日俺死ぬかもしれねえもう逃げる
[00:21:01.679] でしょちゃまさんの隙に行っていいんだよ
[00:21:04.640] ああ嘘でしょあぶあぶ怖い笑笑許された
[00:21:10.520] ちょっとあごめんごめ間違えたごめん
[00:21:12.480] 間違えたはいナイスほ
[00:21:15.480] うおお
[00:21:17.610] [音楽]
[00:21:18.840] はははナイス逃げこっは笑いいぞいいぞ
[00:21:23.440] ちょっとさね漏れなくブリザードやめてよ
[00:21:28.960] ブリザードやめてよハ常に満を心がけ
[00:21:33.320] ましょう
[00:21:35.080] ごとりあえず白まで行ければ怖いな
[00:21:38.919] ブリザードさんがしつこい笑ブリザード
[00:21:42.000] やめて多いな笑これはかなこれが痛い
[00:21:47.919] わすぎるん
[00:21:51.400] ブリザードストーキングまたブリザード笑
[00:21:55.640] ブリザードやめな必要なブリザードにい
[00:21:58.600] 精神が傷ついてきている私のクプはちゃま
[00:22:01.720] さんと共にナイスお漏れなくブリザード笑
[00:22:07.120] ナイスプドに会されしナイスナイスナイス
[00:22:10.279] ナイスナイスナイスナイスうわ使えねえ
[00:22:13.320] ランド使えねえ1って帰ったらね帰ったら
[00:22:18.360] いいよ無理しなくて盾もあるよあ盾もある
[00:22:22.440] ねそうだねたてたていやもうなんかこの辺
[00:22:26.080] でベホマ入れてもいいかなと思った笑笑
[00:22:29.400] 帰ったら笑ナイス鋼の盾いらないいらない
[00:22:35.559] よ鉄の槍なんてもたせてるから
[00:22:38.279] サマルトリアの王子は防御が力の盾ですね
[00:22:41.840] 盾が来た笑笑笑ランドもう少しレベル
[00:22:46.039] 上がったら槍が光るからもうでもレベル
[00:22:52.760] 上絶対殺すマンだ
[00:22:55.720] ね絶対殺すマじゃねえかよ面しでなこの
[00:22:59.600] ゲームなおおそうすかがえ笑笑メガて要
[00:23:05.960] 帰らせるのは笑壁
[00:23:13.120] ぐいこんばんは仕事が入ったので遅くなり
[00:23:16.960] ましたよしよしよしよし回復回復いいよ
[00:23:21.960] いい
[00:23:23.960] よちゃんとクライマックスを演出して
[00:23:28.559] らなきゃこいつは
[00:23:30.200] まだそうだなあいつはまだマだな生きてる
[00:23:33.919] 生き
[00:23:35.600] [音楽]
[00:23:39.440] てる大丈夫できてるできてるけそのまけに
[00:23:44.000] 入る前にれまし
[00:23:46.039] たもうやめてもう勘弁してください勘弁し
[00:23:49.799] てもう勘弁してもう勘弁し
[00:23:53.039] てた
[00:23:59.840] 笑笑絶対殺すセさんが瀕
[00:24:05.559] うわ
[00:24:07.640] やばいなんしびれがやばい手のしびれが手
[00:24:11.880] がしびれてきて
[00:24:13.600] やばいパチパチパチナイス
[00:24:17.200] ナイス
[00:24:19.960] [音楽]
[00:24:22.880] パチパチパチナイスマジで見てる方も力
[00:24:25.640] すげえ入る笑笑よっしゃパチパチパチよし
[00:24:29.080] テンション高いですね大丈夫ですか
[00:24:31.440] パチパチパチやっと来たパチパチパチ
[00:24:34.200] パチパチパチやべえれてるマジで笑来た来
[00:24:37.919] たよし飲み物飲んで130オーバー笑笑
[00:24:42.240] 心配だよちょっと休もう
[00:24:44.559] 笑笑テンションがやばそう水飲みましょう
[00:24:47.679] 笑パチパチパチ水飲んでこれは心臓麻痺で
[00:24:50.600] 乾燥ならずですねとりあえず落ち着いて
[00:24:52.760] 呼吸浅いから呼吸してちょっとお水飲んで
[00:24:55.159] きて呼吸呼吸して息吸より白てゆっくり1
[00:24:59.399] 素吸ってチャンネルトレーラー流しても
[00:25:01.480] いい
[00:25:02.760] のこのタイミングでチャンネルトレーラー
[00:25:05.559] 流すのさやばすぎ
[00:25:07.760] でしょちゃんちゃんとフォロワー稼ぎに
[00:25:10.279] 行く
[00:25:12.240] じゃんちゃんとフロー稼ぎにくじゃんこの
[00:25:14.880] すげ同
[00:25:16.399] のあのねゲームと言いますのでね皆さんね
[00:25:20.000] よかったらフォローとねあのよかったらね
[00:25:22.640] あのコメントとねよかったらねサクのよし
[00:25:25.000] お願いします
[00:25:27.320] ねちょっとだけど数チェックして
[00:25:32.880] 98
[00:25:38.279] 笑草
[00:25:40.919] るいして
[00:25:42.600] レっ400超え
[00:25:47.679] たった400いる
[00:25:52.640] や頑張るよラマ全使うよ
[00:25:56.040] [音楽]
[00:25:58.520] からアバカ
[00:26:00.530] [音楽]
[00:26:04.760] ねやでもこれ多分1回帰ることになる
[00:26:07.440] だろうなバズズ買ったら1回帰るかもしん
[00:26:10.000] ない鍵は揃ってるんやであれ嘘盗賊のあっ
[00:26:14.440] たアバカもじゃなくてもよかったああっ
[00:26:17.559] たっけしあローヤの鍵かローヤの鍵だごめ
[00:26:20.799] ありがとうあったあったあったわそうそう
[00:26:23.039] だそうだごめごめ帰った方がいいかなただ
[00:26:25.840] ここまで来るの地獄だぜしないように
[00:26:29.200] セディア
[00:26:32.159] ざフロざすアっ
[00:26:36.360] てこどっちが安牌かだよな帰ってまたき
[00:26:41.320] 祭り食らうのかありがとう頑張る
[00:26:46.690] [音楽]
[00:26:49.640] よオ地獄のような状況とどのいがあります
[00:26:54.520] よ正解がない正解がねんだよ
[00:27:00.480] あのもいね頑張ってここれでもう
[00:27:15.060] [音楽]
[00:27:28.520] てレと言っときましょうバズが見てるだけ
[00:27:32.240] でお腹痛くなり
[00:27:35.080] そう来
[00:27:38.600] たた来たよそうなんだよな1回来た間これ
[00:27:45.000] 対処だねこれ対処だよねさて雑魚戦ですよ
[00:27:49.000] 気をつけて手がきで6レベル上げたのが
[00:27:53.080] 生きてきてるさん行けます行ける行けるぞ
[00:27:59.480] ななける
[00:28:02.799] げいやももういいレベル上げとか1時間
[00:28:08.170] [音楽]
[00:28:17.440] 負33
[00:28:20.039] 時間もずにやってきてんだ
[00:28:29.120] ここまで全員が死ぬもるいでると思うこと
[00:28:32.000] が
[00:28:33.240] 大事をねついでくれたわけその跡をたんだ
[00:28:39.120] よそので跡
[00:28:43.559] なこんな難しいゲーム
[00:28:49.200] を復し
[00:28:51.559] ましょうここまでの11人と自分と比較し
[00:28:55.480] てみましょうマジで緊張する笑笑心拍数
[00:29:01.000] 笑笑大丈夫これ終ったら全部回復する
[00:29:04.240] こいつ抜けたら全回復行くよ頑張ってワン
[00:29:07.519] パンワンパンじゃねえんだな
[00:29:09.559] オッケーうわ効かない効かないんだよね
[00:29:14.080] そこで効かないんだよね分かるよ大丈夫だ
[00:29:17.960] よ大丈夫ですよ
[00:29:21.000] ああそうだよなバ奇跡を見せろごめんここ
[00:29:25.039] 防御でいい防御でサマさで回復させるわ
[00:29:27.760] ごめん相手ではないドラゴン4体出ません
[00:29:30.880] ように見てる方もドキドキするんだよねね
[00:29:34.440] なんでピロただのでかいだどうしよう視聴
[00:29:38.200] してるだけなのに痛くなってきた
[00:29:45.880] ピロリていてが重すぎるここで拾えたと
[00:29:51.640] 考えよう緊張してき
[00:29:57.039] た
[00:29:58.919] ぴ運が悪い運が悪いなず1匹落とせよし
[00:30:05.320] よしよしよしよしよしよしよしよしよし
[00:30:08.720] よしよしよしよしから大丈夫
[00:30:11.399] ドラゴン4匹ならもう死んでるよしよし
[00:30:15.320] よし
[00:30:18.360] よしちょっと
[00:30:21.240] さああドラゴンクエスト2
[00:30:24.919] 最高笑笑笑笑
[00:30:29.760] ちょっと
[00:30:30.960] 待待っ待って待て待っ胃痛
[00:30:35.720] 笑ちょっとごめん気失ったりしたらごめん
[00:30:39.720] ね笑笑の呼んでの人これまでの11人の
[00:30:44.080] 方々もピンチを乗り越えてきたのですから
[00:30:46.159] ゲさんもできるはずですうお笑笑の
[00:30:51.399] 笑笑
[00:30:54.360] [音楽]
[00:30:55.720] すしやばい
[00:30:58.850] [音楽]
[00:31:01.880] 呼たっん
[00:31:05.399] だ笑笑開始30分でこのダメージ数200
[00:31:11.039] 超えるかな携帯
[00:31:13.760] 素さすがラストランは違うよねゆっくり
[00:31:18.039] ゆっくりまあまあ行けてる行けてる回し
[00:31:22.279] ましょうまだいですよがいイヤホンも
[00:31:26.559] 大丈夫かけるぞ顔色悪いから本当深呼吸し
[00:31:30.840] てゲーム以外のところに強敵ありちゃま
[00:31:34.320] さん応援しています頑張ってください
[00:31:36.919] みんなありがとうみんなの声届いてるよ
[00:31:39.960] 1人1人返せないの
[00:31:44.039] ごめん本当だ顔が白くなってる次の大会で
[00:31:48.279] は携帯酸素感必要ですね邪魔ゲームなら
[00:31:51.919] いけるぞ落ち着いて頑張れ笑落ち着くまで
[00:31:55.760] 待ちましょうかゆっくりの配信と思ってし
[00:32:00.200] てください一応今のレベルでも倒せるとは
[00:32:03.559] 思いますが無理だけけてくさい
[00:32:17.160] [音楽]
[00:32:23.519] 呼これアトラスだっけここだっけアトラス
[00:32:27.080] アトラスだっけ
[00:32:28.470] [音楽]
[00:32:33.799] 怖い焦る必要は最
[00:32:38.320] [音楽]
[00:32:41.960] 休憩しててもこちらも偉そうなことばかり
[00:32:46.080] 言ってプレッシーを与えているなら申し
[00:32:48.200] ないまだ
[00:32:50.760] よあ上がってから落ち着いて落ち着いてれ
[00:32:55.080] みついてる
[00:33:00.639] 26年間生きてきて初めてですドラクエ
[00:33:04.679] やって体調が悪い
[00:33:09.960] ですここからませ倒したら立ててとって
[00:33:15.519] 度って全身の血流流してここまで苦しそう
[00:33:19.039] にドラクエやる人初めて
[00:33:22.920] [音楽]
[00:33:26.760] た笑笑笑笑クリア前に死にそう練習した
[00:33:32.000] やろ大丈夫
[00:33:37.159] 笑笑笑になってるドラクエで
[00:33:46.320] [音楽]
[00:33:48.000] すく
[00:33:50.880] おまず1匹目行くぞ丈かついてい
[00:33:56.720] よいさんみたいになってきてる笑笑
[00:34:00.159] アトラスは集中持ちだから注意なお前を
[00:34:02.600] 信じる俺たちを信じろリアルに勇者たちも
[00:34:04.840] この心境なんやろなさあ来るぞ来るぞよし
[00:34:07.880] 行けまずかアトラスの確認を
[00:34:10.599] くぞ行くぞ行くぞ行くぜ行けおめてやろう
[00:34:15.240] ぜやろうぜって言い出したの誰だよ笑笑
[00:34:17.560] 行けどっちに転がっても面白いから大丈夫
[00:34:19.919] 行くぜファイト行け
[00:34:22.280] 行け行けこれマヌ入るよ
[00:34:24.760] な入るよ
[00:34:26.720] なより顔色いいの草落ち着いておおドア
[00:34:31.079] ノッカーだ挽き肉にしてやらエハスオンゴ
[00:34:34.960] フロムてジプカトガナイスガード行け
[00:34:39.520] 行け行けランドハママ入れよ50%おは
[00:34:44.839] こんばんはグッドラックですランド御でホ
[00:34:48.760] の方が良いと思うけどどうかなほあそっか
[00:34:51.760] やばいゆっくり吐いてくださいる狙いは番
[00:34:55.839] 楽顔でごめん
[00:34:58.240] 落ち着けもうちゃまくのハが瀕死なんよ
[00:35:02.280] [音楽]
[00:35:04.640] 笑
[00:35:06.440] ナイスナイスナイス勝った
[00:35:11.119] な
[00:35:13.680] ナイスラちても問題なし
[00:35:18.800] ナイス顔の半分までしびれてる
[00:35:22.280] 笑笑よしよしよい展開
[00:35:26.300] [音楽]
[00:35:28.119] 何やっ
[00:35:30.240] てるベスト
[00:35:33.079] 展開
[00:35:34.760] ま笑笑だなお前らをさってる
[00:35:39.119] な
[00:35:40.800] [音楽]
[00:35:44.560] 数よし笑まだ余裕あるよるのみたりそれは
[00:35:51.280] マでやばいん
[00:35:52.880] よしてこちゃんね
[00:35:58.119] 世界あるじゃろちゃまがクリアしねあて
[00:36:00.920] あんめちゃ頑張れ
[00:36:03.280] よ頑張る
[00:36:06.960] ぜマヌーサ入れるべきなのかここいやもう
[00:36:10.520] でもベミだろここまで来たらここまで来
[00:36:13.200] たらちょっと勘弁してくれよお前何やっ
[00:36:17.960] てるんだ
[00:36:19.599] よちょっと待っ
[00:36:21.950] [音楽]
[00:36:25.760] て笑笑命中率笑笑笑見せるじゃん笑笑
[00:36:33.200] ピロリロリーン
[00:36:35.130] [音楽]
[00:36:36.680] になるムなくなるて笑笑おさる狙いなら楽
[00:36:42.319] に行ける神の斧持つな笑やるやん命中率が
[00:36:47.280] 仕事しない全然当たらん笑一旦空気外に
[00:36:51.680] 吸いに行きなさいこんなちゃまく染めてみ
[00:36:54.640] たお切開ですがさるは防
[00:36:58.240] でいいですちゃまさん自身がちんじゃう1
[00:37:01.319] ターンごとに本人がダメージ受ける
[00:37:05.440] システム頑張れ
[00:37:13.280] 頑張れこれがドラクエ
[00:37:18.079] ブア
[00:37:19.839] ナイスパチパチパチしびれ血状態なので
[00:37:24.359] 少し落ち着いてからでいいと思いますの
[00:37:27.520] 空気を吸ってみてパチパチパチ
[00:37:30.370] [音楽]
