[00:00:16.279] ジマゲームさんコメントお待ちしてまジマ
[00:17:19.120] んだよここまでが顔ですよってどこまで
[00:17:21.520] 買うかなってでも全部繋がっちゃってっ
[00:17:24.280] から顎がないから俺え最近俺え最近俺が
[00:17:29.840] 女の子に冷たいという良くない噂が流れ
[00:17:31.720] てるらしい親指親指なのね親指わるんさん
[00:17:35.799] おやばいフェイトさんおっとおっとおっつ
[00:17:40.880] えでもさこれだてえわたるんさん来たか嘘
[00:17:45.160] だろここまで順風マンパに来てまさかここ
[00:17:47.240] からあの爆弾時刻に突入ボンバー
[00:17:50.840] マンままずはデート楽しみ
[00:17:54.039] ましょう嘘だろるさん鳥にトロルえんか
[00:17:59.400] 冬服も最にい最最に可愛いありゃ光もうき
[00:18:04.720] てるぞちょっと早くついちゃってさも
[00:18:08.159] めっちゃ楽しみにしてんじゃんかよどう
[00:18:09.919] すん
[00:18:11.159] のそうか俺も早く来ればよかったなそんな
[00:18:15.039] ことないよ私は来たかったもうポワポワ
[00:18:17.919] モード突入ですそうだね無敵の可愛さ誇っ
[00:18:21.960] てるわ光ってまず怒らないよなもうこれが
[00:18:24.360] もうバカだ持てない男もうそういうお前さ
[00:18:27.240] 光がんで怒んないかで考えないのお前本当
[00:18:30.120] だからモテねんだよ橋本ねんはよじゃ
[00:18:32.440] 行こうよはい行き
[00:18:35.580] [音楽]
[00:18:38.240] ますあもう水が半分以下だなんだが光と
[00:18:42.600] 遊園地に来ると昔を思い出すなそうだ
[00:18:45.919] ね楽しかったよね今も楽しいよバカタレが
[00:18:50.520] 今日ほら今日も絶対楽しいよさ
[00:18:52.600] 行こ新アトラクションできたらしいです
[00:18:55.799] どこに行く新アトラクションバーチャル
[00:18:58.280] ハザード行きましょううん行こう
[00:19:00.919] バイオハザードガデかなゲームボーイの
[00:19:05.919] え大人気アトラクションバーチャル
[00:19:08.200] ハザードだようわ楽しみパンパン打ち
[00:19:12.640] まくろうねいいです
[00:19:15.679] ねもう今日ずっと俺顎触ってるこのなんか
[00:19:18.840] 名残りしさでここの俺髭つまんでキって
[00:19:22.440] 自分で引っ張ってんの好きだったのにえ
[00:19:25.240] 始まったえ
[00:19:29.080] 待って違違違ゲーム始まるよあ何これ
[00:19:37.080] 何これフェイトさん飛ばしちゃった飛ばせ
[00:19:41.799] んのか
[00:19:42.720] よ飛ばせんのかなんだそれ飛ばせんのかよ
[00:19:47.440] だ何ボタンでショットとか言ってくるバ
[00:19:49.640] ボタンがショットかと思ったら飛ばし
[00:19:50.960] ちゃったまた来る
[00:19:54.280] わ力合わせてから勝てたって感じだねそう
[00:19:57.640] だねあんなに生命力あるなんてねゾンビな
[00:20:02.200] のに生命力とはゾンビなのに生命力と
[00:20:09.080] はコメさんっ
[00:20:15.159] たおにはこれあれだよどってこうよいいね
[00:20:19.000] 追加デート来たわ小学生にはまだ早えよお
[00:20:22.880] あれ小学生だっけ小学生だな小学生には
[00:20:25.400] まだ早えってこのゲーム激が強する
[00:20:29.400] わ
[00:20:30.679] さんかそうだねそうしよっかよかったじゃ
[00:20:35.480] 行こよさんどこによるんですかどこによる
[00:20:38.320] んです
[00:20:39.840] か休憩したくない疲れちゃったあなんか
[00:20:43.320] シャワー浴びれとこないか
[00:20:45.200] な3時間だけでいいんだなで少休はい点に
[00:20:49.520] 入ります点でね歩きれところだ
[00:20:52.220] [音楽]
[00:20:54.280] しがみたい早くろこんなイベントあったっ
[00:20:57.679] け
[00:21:02.480] わんさん今月のね
[00:21:12.039] 何
[00:21:14.720] ありがともう見てくれよ
[00:21:18.520] これ俺好き好きあ見合うわ1回見合って
[00:21:22.640] 一緒に俺もごめん3時間ぐらいごめ今日
[00:21:25.919] このままだ
[00:21:28.880] 彼女と俺もうちょ向きうるさい
[00:21:40.240] みんなラ1129さん笑わんさんほっぺた
[00:21:45.600] 拡張され
[00:21:49.039] たマジでこれ5時間やったらどうするマジ
[00:21:52.960] で誰もいなくなるまで555さんひげない
[00:21:56.720] ねないねって言わ
[00:21:59.200] ゆい
[00:22:00.919] なはいはいスクショいただきましたあざす
[00:22:04.159] えっと甘いものが食べたいなメニュー
[00:22:06.400] はっとケーキの種類たくさんあるみたいだ
[00:22:09.240] ね
[00:22:11.080] じゃあ私は
[00:22:13.080] レアかなやっぱりチーズケーキでしょよし
[00:22:17.440] 俺かっこつけてるこいつち早早お疲れもう
[00:22:23.159] 寝るのかな明日も学校頑張れよよし俺は
[00:22:25.919] ブラックコーヒーだ
[00:22:28.880] だねいやかっこつけてるだけだって
[00:22:30.559] カフェオレ飲みてえよカフェオレな
[00:22:33.320] カフェオレ持ってこいケーキ欲しいえあ
[00:22:36.200] 少しさんぎおみけてくれたらあげるねえ
[00:22:40.960] もう好きじゃんこいつ俺の
[00:22:44.720] ことどすんだ
[00:22:47.720] よどすんだよこんな好きになっちまったよ
[00:22:52.679] あれグンちゃんおはようさすがグルポ
[00:22:56.320] ちゃん気づいたねん
[00:22:58.600] 仕事の仕事で取ってこいって怒られちゃっ
[00:23:01.919] たもうやだったのに顎やだもうツルツルに
[00:23:07.240] なっちゃったよツルツル皿を口の中せそれ
[00:23:10.279] でもいいそれでも
[00:23:11.960] いいそんな恥ずかしいことげないえいや
[00:23:16.080] おいなんであしてもなバカこのクソ童貞だ
[00:23:19.880] わこいつ橋本ねマジでくそこいつマジ
[00:23:23.159] で顔のがどこまでがあれだかわかんなく
[00:23:27.120] なっったの
[00:23:29.440] こいつさアン断れやがった恥ずかしいとか
[00:23:32.000] 言ってよマジでこの男
[00:23:36.760] くばれ相変わらず優しいお前本当にカスだ
[00:23:39.520] ぞアンしてくれるって言ったのにさいや
[00:23:41.760] 恥ずかしいとかつってさ幼稚園生じゃん
[00:23:45.080] 幼稚園生じゃねえか俺も幼稚園生の時あれ
[00:23:47.279] だよあの俺のこと好きな女の子がさあの
[00:23:50.799] なんかちょあの何あのバレンタインくれて
[00:23:54.039] さいらないって突き返して泣かしたこと
[00:23:56.039] あるよ本当に
[00:23:57.440] 最低幼稚園の頃だけどね恥ずかしいから
[00:24:00.360] つっ
[00:24:01.640] て幼稚園だから許されるけどよじゃ幼稚
[00:24:05.320] 園生だからわかんねえだろあんなのでも
[00:24:08.440] こいつ高校生にもなって同じことしてる
[00:24:10.200] からあれ本当に今でも胸が痛む
[00:24:12.679] わ今でも胸が稚でもいいよポンさん
[00:24:18.600] 最低それ最低だよなでもな恥ずかしかった
[00:24:23.000] んだな他の男子たにさ馬鹿にされるじゃん
[00:24:27.640] なんでだったらもう泣いて喜ぶんだけどな
[00:24:30.679] 今だったら泣いて喜ぶんだけどな
[00:24:34.720] えっと
[00:24:40.360] ねとりあえずじゃあストレス緩和はした
[00:24:44.240] から文学文学じゃ
[00:24:47.650] [音楽]
[00:24:51.640] ないこれ実際これ勉強のステータスどうな
[00:24:55.039] んこんくらいあったらおしにネルでもでも
[00:24:59.200] 小学生に早え生だなあやべえ日曜日なのに
[00:25:02.320] なんか勉強しちゃったやばい間違えた雑誌
[00:25:06.640] をミノはい来ましたあ何メダルゲーム登場
[00:25:11.080] ペンギン賞室内プール室内プールだ
[00:25:16.039] とこんなも行くに決まってんだろう
[00:25:18.799] ペンギン賞これは水族館ね1月からえ
[00:25:24.000] メダルゲーム3月武弘サーカスが2月から
[00:25:27.520] え今2月なんで特にないね特に何もないね
[00:25:31.480] スケートだけ行こっかスート55さん
[00:25:36.159] の例の
[00:25:38.200] プール例のプール行ったらびっくりしたよ
[00:25:45.039] 俺あいいじゃんほぼほぼほぼほぼほらほぼ
[00:25:48.960] ほぼまあまあだよあまあまあちょっとダメ
[00:25:50.880] だけどあま美術はだめだ
[00:25:53.880] な悪くねえんじゃ
[00:25:56.559] ねで
[00:25:59.000] スケート
[00:26:00.279] 行くスキーは去年見たからこの子のスキー
[00:26:03.919] ウェアはなんかイベントあんじゃねえの
[00:26:05.840] キャって滑ってあって滑ってわーってなっ
[00:26:08.880] てぎゅってあっ
[00:26:11.440] て気持ち悪い今日俺嬉しいなどうしたの3
[00:26:17.440] 割増しキさ3割増しあのさ行きますかえ
[00:26:23.360] スケート場なんてどうか
[00:26:25.440] なその日は部活なんだ
[00:26:29.000] 誘ってくれて嬉しいそうだよねお前そうだ
[00:26:31.559] 第3日曜日はそうだよね何しとん何が何が
[00:26:36.799] そっ
[00:26:38.799] かそうだよ
[00:26:46.039] ねごめんもう1回電話する別の日に入れる
[00:26:49.200] わそっ
[00:26:51.679] か31は入れれるでしょね31はける
[00:26:58.960] 帰宅部だからわかんねえんだよなそういう
[00:27:00.799] のがなあタワー行けるうわタワーも行けて
[00:27:05.080] タワーも行けてってなんだターも行きてま
[00:27:07.799] まずはスケートだなまずはスケートよし
[00:27:11.279] よしよしよしよしよしよしはいはいはい
[00:27:13.799] はいはいはいはいえーさらにさらにさらに
[00:27:17.159] えここで1週間潰さずにちょっと待って
[00:27:19.880] これで確認し出題プールまだまだ1月4日
[00:27:22.840] からはいはいはいはいはいちょっと全部
[00:27:24.760] イベント回収してこうな
[00:27:26.919] えーま学問はいいとしてあと運動も
[00:27:31.440] ちょっと上げ
[00:27:35.840] とこうあテストの結果ねいや結構いいん
[00:27:39.080] じゃない
[00:27:39.919] の俺どこ
[00:27:43.880] ああ美術赤点じゃねえかよ美術赤点じゃ
[00:27:47.720] ねえかよでも光と2点差だからいっ
[00:27:51.320] かあ匠ちょっと頭いい
[00:27:54.640] ねえ
[00:27:58.559] 赤いホ見てくれ赤いホさんポカと同赤いホ
[00:28:03.080] てくれ
[00:28:05.559] え0点で取る方が難しいんだけどなさん
[00:28:09.519] 赤いなやばいなこいつなさすこれで生徒
[00:28:13.799] 会長てんだからすごいよ
[00:28:16.720] なさんもバカなんだ
[00:28:19.000] なてかさ今作の女の子バカばっかじゃない
[00:28:23.360] だて俺の上にいる女の子光だけだよ光も2
[00:28:27.000] 差だしなんでこみんなバカなの鎖値低い
[00:28:30.760] 高校なんだろう
[00:28:32.279] な偏差値が低いんだろう
[00:28:35.240] なほポカリと点数一緒だトップとね普通さ
[00:28:40.000] トップキャラがたまたまだよえたまたまえ
[00:28:43.640] まだじゃ出てきてない女の子いるの頭いい
[00:28:46.279] 女の子いるんだ多分頭いいグループがバカ
[00:28:49.720] しかバカの周りにはバカしか集まってこ
[00:28:51.679] ねえんだろうな話合わねえもんな
[00:28:58.840] あ光ン
[00:29:01.679] さん何このイベント君やっぱそうだね俺に
[00:29:06.200] は俺に俺の入金はい
[00:29:09.960] フェル調子悪かったのお前なんで点差で
[00:29:12.600] そんな偉そうなんだまあね山が外れたんだ
[00:29:17.120] よ私はが当たったの実
[00:29:21.399] ないなんかな笑顔だなこに言ってれ
[00:29:28.360] もねえと思うんだけどな2点なんて1問
[00:29:33.720] だろわるさん男に言われたら殴っ
[00:29:37.760] てるあこさん何この
[00:29:47.000] イベント
[00:29:52.760] えさんえついにさいや
[00:29:58.799] とそういう感じで女の子いなくなってた
[00:30:01.240] けどえまさかついに殺す殺すっていう選択
[00:30:05.720] 肢来たねえグルポ3日目にしてね1日目
[00:30:11.120] 女の子が1人退学しましためちゃくちゃ
[00:30:13.159] びっくりしたのねわんさん死ぬにしても
[00:30:15.880] BGMどなの今ので2日目女の子が退学
[00:30:20.039] あの転校しましたそれもめちゃくちゃ
[00:30:21.640] びっくりした119さんかれたえここまで
[00:30:25.120] 来ると今度殺すになるのね選択肢がもう
[00:30:30.159] 大学と天候使えないからじゃあもう事故で
[00:30:32.720] 殺しちゃおっかみたいなちゃんと葬式
[00:30:34.399] 行けよトさん笑笑いじさんこんばんはさん
[00:30:38.600] さんこんばんはあこんばんはこんばんは
[00:30:41.200] セフィセフィロスさんねセフィロスさん
[00:30:43.480] こんばんは昨日
[00:30:44.960] ありがとうはにゃ大丈夫大丈夫可愛い
[00:30:50.399] めちゃくちゃ指折れてる指折れてるんじゃ
[00:30:52.919] ねのあれ指折れてねえかわるんさんいちん
[00:30:56.720] さん番ちゃこのイベントいらないじゃん
[00:30:59.639] ただただあの子が痛い目見るだけじゃん
[00:31:01.600] なんで俺に見せたのそれだったらなくて
[00:31:04.039] いい
[00:31:07.639] よやもう何笑ってんだ
[00:31:10.760] よ今年もクリスマス1人なのかぶ殺すぞ
[00:31:14.399] お前マジでおいいまちんさんさん
[00:31:17.760] ほ悪かったないちん
[00:31:21.320] さんてないいやたった1人の女の子に
[00:31:24.799] 持てればそれだけでいいんですよそれだけ
[00:31:26.919] でい終わりよければ滑れてよし俺他の女に
[00:31:29.000] 興味ねえから俺は光
[00:31:30.720] 一筋異のあ異のクリスマスパーティ招待券
