[00:06:08.160] あはあヘイヘイ入ったあもうふざけんなよ
[00:10:03.600] えなんなのマジでえなんなのマジで今日え
[00:10:08.680] 今日マジで何なん
[00:10:10.920] で率622さん無音が聞こえるえなん
[00:10:20.600] で手塚おやぽんさんなんならオップも無音
[00:10:25.200] えなんか今日おかしくない
[00:10:29.720] 今日おかしく
[00:10:32.519] ない入った入った入った入ったなんなの
[00:10:35.600] マジ
[00:10:36.959] で意味わからんわもうなんかさこあんだよ
[00:10:41.200] ななんかポンさんあコムド入ったこれで
[00:10:44.240] 入ったでしょこれで入ったしょこれで入っ
[00:10:47.639] たよねまだやってないけどこれはこれで
[00:10:49.680] いい
[00:10:50.440] しょ手塚ポンさんええ入ったよねこれでね
[00:10:54.200] 入ってるよねシャープシテちさんあシよし
[00:10:59.320] さんオオゴーぜ棒読みちゃんうるさ棒読み
[00:11:04.320] ちゃんうるさいよねシャープシテあちとせ
[00:11:06.639] さん珍しい時間にそうなんすよ今日昼間
[00:11:09.480] やりてえなと思って棒
[00:11:11.360] うるせえちょうどいいうるさいよね
[00:11:13.519] ちょっと下げる
[00:11:14.800] わじゃ行きます行きますやりましょうやり
[00:11:17.639] ましょう率622さんちょっとゲーム音で
[00:11:21.000] かいかもあげますあそうだゲームはそう
[00:11:25.120] うるさくなってるそうそうそうそうあの
[00:11:26.440] ギャルゲーやってたからさギャルゲーやっ
[00:11:28.399] てたからちょっと下げる
[00:11:31.160] こんなさんオ行くぜ最後の忍者スピリッツ
[00:11:37.320] ポンさんちょっとうるさい俺それそれは何
[00:11:42.040] 本当の話それともふざけて言ってるなんか
[00:11:44.360] しかもカメラ格なの何今日配信やめよっか
[00:11:47.639] な今日なんかむかつくわなんかプさん仕事
[00:11:50.760] 中なので仕事しながら見てますありがとう
[00:11:53.639] ありがとう仕事お疲れちゃんなんか今日
[00:11:56.920] じゃ俺すげ
[00:11:59.440] ちゃまく宇宙っぽいなんでだろうねなんで
[00:12:02.000] だろうね全然わかん
[00:12:03.760] ねもうめんどくせえななんだよ
[00:12:09.560] これこなん
[00:12:12.390] [音楽]
[00:12:14.519] でえわかん
[00:12:17.480] ないまいっか別に俺カクカクでも問題なく
[00:12:21.079] ない別に手塚おやぽんさん前沢元社長意識
[00:12:25.160] してるしてねえようわすげえ遅れてるこれ
[00:12:28.279] 何
[00:12:30.440] 今日は
[00:12:33.560] 何
[00:12:35.079] うまいっかもうカクカクでこれで行くわ
[00:12:37.839] なんかわかんねえなんかよくわかんねえ
[00:12:39.480] もういいや別にいいよな大した別にそんな
[00:12:42.800] 別に気にする配信でもねえだろ俺の動き
[00:12:44.639] なんてはい行きますゲーム
[00:12:48.120] スタートなんですかねなんかど難しそう
[00:12:51.399] らしいんすよね
[00:12:57.380] [音楽]
[00:13:00.440] ア全然ストーリーわかんねこれ全然
[00:13:03.959] ストーリーわかんねえおポンちゃんこれ
[00:13:06.040] 知ってるポちゃこれ知ってる始まりました
[00:13:09.120] ジャンプ力がすげえんだよこれ手塚さんあ
[00:13:12.079] 知ってんだむずいのこれむいのちょっと
[00:13:13.959] 待ってむずずいの
[00:13:16.800] これなから俺配信でねさんむずいっていう
[00:13:21.079] かうんうんうん配信で5分10分やって
[00:13:24.600] ねんかもえ何ってクリア不可能いやいや
[00:13:29.320] いやんなことねんなことねえだろ言うて
[00:13:33.279] 言うてほら
[00:13:35.800] もう言うてさそんな不可能ってことはねえ
[00:13:39.760] だろ配信でちょこっととやって10分
[00:13:42.760] ぐらいやって俺ステージ1はクリアしてん
[00:13:44.399] だよ実はめちゃくちゃ簡単じゃねえかこの
[00:13:46.880] ゲームつってあああいうのなこういうのな
[00:13:51.120] はいもう神もうこれも負ける要素ゼじゃ
[00:13:54.000] ねえかよこれ見て
[00:13:55.639] み率62
[00:13:59.160] ンで見たえRTこれやってたのあそうな
[00:14:02.279] のそうなさんあこれは簡単だこれめっちゃ
[00:14:05.600] 簡単でしょこんなゲーム忍者龍剣殿みてに
[00:14:08.720] さもうステージ1からガンガン来いよいや
[00:14:11.959] まステージステージ1の時も俺なんか
[00:14:13.759] そんな難しくねえみたいなこと言って言て
[00:14:15.480] たんだけどな忍者龍の時もなで涙涙した
[00:14:18.920] あれ難しすぎ
[00:14:20.839] て忍者ゲームはやっぱさでもそんくらい
[00:14:24.639] じゃねえとだめよ忍者ゲームはやっぱり俺
[00:14:26.880] のこと泣かせるぐらいじゃねえと簡単な
[00:14:29.600] 忍者ゲームなんて負けねえぞおいこれ
[00:14:32.399] こんなことしてたらいいのかこれおいおい
[00:14:35.079] おい何も怖くねえぞ
[00:14:38.120] これこブシがさこれさ空中にあるの強おい
[00:14:44.440] 俺もうやべえじゃん負けねえぞ
[00:14:48.120] こんなうわもうごめんごめんな簡単でこの
[00:14:53.800] ゲームたまに当たるか
[00:14:58.040] なああはいあ何これピンクって何え何何何
[00:15:02.600] ピンクって何なのうばうばあこれだ
[00:15:06.560] わかおやポンさんほほほほほ笑笑これら
[00:15:11.399] やばいこも神じゃんあやばい俺RTA
[00:15:13.920] ジャパン出るわ俺RTA
[00:15:18.120] ジャパン
[00:15:20.440] 危なあ来た来た来たたたこれ1回勝ってる
[00:15:23.720] から大丈夫これねさんシューティング
[00:15:25.480] ゲーム始始手塚ポンさん
[00:15:30.000] この空中で待させてからのちょっと待って
[00:15:32.360] もう1回こうでしょこうでしょわかったわ
[00:15:35.839] これはい余裕なんだがこんなゲーム危ない
[00:15:39.360] よちょっと危ない危ない
[00:15:42.800] よ危な危な危なほら余裕ほら
[00:15:46.440] 余裕は塗るえこんなんで簡単じゃねえかよ
[00:15:50.040] このゲームおい第2章読め
[00:15:54.440] ないなんて書いてあったぐしぐしさんこの
[00:15:58.720] のなんでなんでどこ行く
[00:16:02.440] の何海外に高跳びなんか悪いことした
[00:16:06.560] んせ忍者のゲーム見てな最後の日本味わっ
[00:16:10.839] てくれ涙ながらにさよならジャパン手塚
[00:16:15.519] おやぽんさんガーシーなんでなんで
[00:16:18.079] ガーシーなんでガーシーなのなんで
[00:16:20.720] ガーシーなのあししさん鹿児島会あそっか
[00:16:25.000] 東京来てたんだっけ東京来てたんだっけ
[00:16:31.440] 手塚親ぽんさん人妻鹿児島
[00:16:36.519] かいししちゃんは人妻じゃねえだろおなん
[00:16:40.800] だこの
[00:16:42.240] ゲームなんだこの
[00:16:45.279] ゲームこの
[00:16:48.120] ゲーム手塚ぽんさんもう皆人妻に見える
[00:16:52.440] ぐしぐしさんちゃまちゃんのみに行こねソ
[00:16:56.399] さん
[00:16:57.600] ってさん独身
[00:17:00.639] ですしさんよく言ってんもんなああ結婚し
[00:17:03.560] たい
[00:17:05.679] な鈴親ポンさんイロハスちゃんがこいしい
[00:17:09.400] コメお前俺のチャンネルに人妻に会いに来
[00:17:11.760] てんじゃねえよおいふざけんな誰の
[00:17:14.720] チャンネルだと思ってんだ
[00:17:17.720] からそのうち遊びに来てくれるんじゃない
[00:17:20.400] でしょうかわかんないですけど
[00:17:21.880] ねこれさこれちなみにこれってさ静か親
[00:17:25.079] ぽんさん人妻チャンネルちなみにこのゲー
[00:17:28.199] ムってさ
[00:17:29.760] ちなみにこのゲームさあれは
[00:17:31.480] コンティニューはどんな
[00:17:32.880] 感じ残期ってどんな感じえ最初からなんの
[00:17:35.960] か
[00:17:36.890] [音楽]
[00:17:38.080] なコンティニューポンさん引かない
[00:17:42.600] でもうそれあれじゃねえかもうもうそれ
[00:17:45.520] コンテ制限あるみたいな言い方じゃねえか
[00:17:47.960] いやきついきついきついきついきつい
[00:17:50.480] きついきつい
[00:17:51.960] きつこれ飛んできてんのこれ何オタ着
[00:17:54.520] みたいなこれ何これ何が飛んできてんだ
[00:17:56.280] これあ犬犬が飛んできてんのこれなんで犬
[00:18:01.000] 犬飛び道具として使う
[00:18:02.880] な地面を走ろお前
[00:18:05.840] はブバブバブバこれ何オレンジってなんだ
[00:18:09.799] ああえもうこれ無敵じゃんこれいいんすか
[00:18:14.400] こんなこんなんで簡単じゃねかこのゲ22
[00:18:17.760] 強強とんでもねえ悪悪アタックだ
[00:18:21.559] ななんか来たよお友達がう強い何
[00:18:26.360] こいつねこれさ赤赤はこれ赤はあこれが
[00:18:30.880] 強いなさん今リークがあったのリーク
[00:18:34.919] こんばんはこんにちはす何リークって痛い
[00:18:38.520] 危な危な危危ない
[00:18:43.559] 危むなんやこのゲーム今リーク何何の
[00:18:49.230] [音楽]
[00:18:52.200] リークしかもさこいつの剣の扱い方何
[00:18:56.120] ちゃんと戦えなんでこんな酒場みてな感じ
[00:18:58.400] で
[00:18:59.720] なんどういう格好つけん
[00:19:02.200] なあ上切町
[00:19:29.880] 旦那も見てます旦さんいつもごめんね
[00:19:34.159] あの奥さんをねこういう風になんか奥さん
[00:19:37.240] をごめんなさい見せ物にしてしまっ
[00:19:40.159] て奥さんを偽物にしてごめんあコンティに
[00:19:44.480] 無限くせさんふじゃねえ抜くなお前
[00:19:47.640] ふざけんなお前おふざけん
[00:19:51.880] なやめてくれ
[00:19:55.000] よろよしよしよしちょっと待ってむずく
[00:19:59.240] ねえかこれおいあちょ仕方しよこさん旦那
[00:20:03.600] 様ありがとうだちゃんとありがとうって
[00:20:05.360] 言えるだけまだまだマシだねあ何あやっぱ
[00:20:09.320] ちょしつこいこいつらマジでイロハス
[00:20:12.360] ちゃんさんえや言ってるよくねえだろそこ
[00:20:16.039] は良くないんだよな良くないんだよそれ
[00:20:18.919] ソードさん家族で見れる配信あタグにさ
[00:20:22.080] タグにファミリー向けって書こうお
[00:20:24.799] Twitchでアピールしてこう全年齢
[00:20:27.600] 対象うちの配信は
[00:20:29.440] 上行くのかちょむずいんだよねこれささん
[00:20:35.919] マカロンじゃねえよファミリーファミリー
[00:20:39.919] け
[00:20:40.919] ですBGMいななんだ
[00:20:44.140] [音楽]
[00:20:46.919] こいつなんだそれなんだ
[00:20:50.760] それ気持ち悪いなんで
[00:20:55.400] こいつ勝った
[00:20:58.720] 余でリアでき俺うくなっったな第3章魔
[00:21:02.400] 半蔵あったかもしれないこのゲーム余裕
[00:21:06.080] でぽさんおいおい全然余裕全然余裕じゃ
[00:21:10.360] ねえか
[00:21:11.799] よめちゃくちゃうめえ
[00:21:14.640] しあ何これ敵えあこれあれだ敵敵自体には
[00:21:20.000] 当たり判定ないの弾にしか当たりやば
[00:21:24.799] そうあそんな強くね
[00:21:28.840] あそうなんだ敵自体に当たりなってねえん
[00:21:31.360] だえめっちゃ余裕じゃんそんな忍者龍剣
[00:21:35.640] て忍者龍剣でなめんな
[00:21:39.200] よあめっちゃ余裕じゃん
[00:21:42.520] これあこれ最強
[00:21:44.960] だえめっちゃ待ってごめんなうまくて
[00:21:49.559] こんなチマゲーム見たくないそう思ってる
[00:21:51.400] 人もいるでしょごめんな俺もここ数ヶ月で
[00:21:54.279] レトロゲーうまくなっちまったかもしん
[00:21:55.720] ねえ
[00:21:56.440] な俺も多分いヌさんみたいな嘘3日も
[00:22:00.840] かかんねえだろこのこのペースで行って
[00:22:02.720] たらこれステージ何まであんだよステージ
[00:22:05.360] 50とか言われたら確かに3日かかっけど
[00:22:08.200] さぽさん77までなんだえもうだってもう
[00:22:12.520] じゃあ何何分の何クリアしてんじゃねか
[00:22:15.600] 余裕のよっちゃんじゃねえかこんな
[00:22:19.360] んしかも俺は昨日配信を休んでつぶる調子
[00:22:22.520] がいいスコブル調子がいい配信を休んだ
[00:22:26.720] からな昨日はて
[00:22:29.080] あこれきついなちょこれはちょっときつい
[00:22:32.840] よしよ
[00:22:34.120] よしよしよしよし
[00:22:36.880] よし夜中やろうと思ったんだけど寝ちゃっ
[00:22:39.520] た寝ちゃったごめんね青が分身ね青が分身
[00:22:44.120] ねポンさんもう遊ばないししさん飛行機の
[00:22:48.720] 時間食べます何ラーメン食べるのぐしぐし
[00:22:53.159] さん配信休んだだだろだ別に配信それ今
[00:22:59.760] 知ってんだったらいいだ今知ったんだっ
[00:23:01.159] たらいいだろ今知ったんだったら今知った
[00:23:05.360] んだったらどうせどうせやってる時も来て
[00:23:07.000] ねえだからいいだろそれ昨日待ってたのに
[00:23:10.000] とかだったら分かるけど手塚ぽんさんえ
[00:23:14.000] サボったんサボったんじゃねえよぐぐさ
[00:23:16.559] トコラーメン寝ちゃったのトン骨ラーメン
[00:23:19.760] いいね手塚さん昨日待ってたのに嘘つけよ
[00:23:24.840] 待ってねえ
[00:23:26.000] よ知らねえけどああ強えやばソードさん
[00:23:30.799] おいこれあれじゃねえかおこれもしかして
[00:23:33.720] だけど
[00:23:35.240] さ昨日待ってたのにだったら休んだ妥と
[00:23:40.159] ならね
[00:23:40.680] [笑い]
[00:23:43.039] だろさんここでしか合えないんだねんこと
[00:23:49.080] ねそのの
[00:23:51.320] マカロンなごん
[00:23:55.700] [音楽]
[00:23:58.799] ちょっと待っ強く
[00:24:02.960] ね当たり判定なしオオオこれもしかしてさ
[00:24:06.960] グラディウスと同じパターンか
[00:24:09.600] これ一発か
[00:24:11.880] よえこのさんか巨大侍さ1発なんだけど
[00:24:15.279] 当たっ
[00:24:16.080] [音楽]
[00:24:17.320] たらこれグラディウスと一緒でさぐしぐし
[00:24:21.679] さんマカロンじゃないので
[00:24:24.480] 私俺もなったこと
[00:24:28.520] よくないからじゃあの
[00:24:30.720] さむずいぞ
[00:24:33.919] これだ弾も消せるってことをちゃんと覚え
[00:24:37.600] とこう弾も消せますこれで進んでいやもう
[00:24:41.799] そんな間塗ってきたらダメ
[00:24:44.360] じゃん待ってめっちゃむずくない手塚ポン
[00:24:48.000] さんノダメでクリアこれさグラディウスと
[00:24:51.720] 一緒でさ最初の一期が大事なんじゃないの
[00:24:53.960] もしかして
[00:24:56.050] [笑い]
[00:24:58.440] この足がえじゃあ職はマカロンって嘘って
[00:25:02.240] ことだおおだよお嘘だよ食ったことねえ
[00:25:05.720] もんマカロンなんてマカロンなんてあれだ
[00:25:08.679] よあのゼニバでしか見たことねえあの松山
[00:25:12.399] 健一の
[00:25:14.600] 松松山原一がガキの時になんかお金持ちの
[00:25:18.399] 子供から盗むシーンでしか見たことない
[00:25:20.320] ですデバ
[00:25:22.440] で面白いから見てなみんなゼニゲゼニゲ
[00:25:25.399] バっていうドラポンさんタワーになってる
[00:25:27.880] やつそうそうそうそうそうそうそうそう
[00:25:30.720] ランドセルに入れて持ち替えんだよ
[00:25:32.880] お母さんに食わせてやりせっつって
[00:25:35.679] な懐かしいな出にげばなしししさん食べて
[00:25:39.799] よお
[00:25:42.640] えこれちょっとやばいこれちょっとやべえ
[00:25:45.799] ぞ嘘嘘
[00:25:50.279] でしょ手塚ぽんさん耳抑えて絶対聞こえて
[00:25:54.399] そうな感じで文句言うの好き何何何
[00:25:59.080] そんなあったっけわかんねちょっと待って
[00:26:01.520] むずいって
[00:26:03.760] これやべえこれグラディウスパターン
[00:26:06.720] ださんここでこれって1週間かないや嘘
[00:26:10.640] だろえなんかさこれさ難度設定あったっ
[00:26:16.240] けごめ1回ちょっとごめん1回こセーブ1
[00:26:18.679] 回させてでちょっとさ1回難易度があるか
[00:26:21.159] 見ていいあのもちろん買えないよもしかし
[00:26:23.039] たらこれさもしか難易度設定ってあったっ
[00:26:25.039] けオプションオプション
[00:26:30.559] PCエンジンモード何PCエンジンモード
[00:26:34.320] サウンドテストあないわあないないない
[00:26:36.600] ないオプションとかないんだこれ
[00:26:38.520] アーケードモードPC何これこれ難易度
[00:26:41.600] くせえなおアーケードモードとPCNG
[00:26:44.200] モードのがいいよ絶対ねえアーケードモー
[00:26:46.279] ドって多分これやばいよねややめたやめよ
[00:26:48.840] やめやめ
[00:26:50.039] 手塚ポンさん裏技あります裏技ないのこれ
[00:26:55.799] 裏技さっきのオレンジの敵もしかしてさ
[00:26:58.960] アイテム
[00:27:00.320] 落とすあぽいぽいぽいオレンジの敵が
[00:27:03.080] アイテム
[00:27:04.360] 落とす手塚ポンさんピカチュウでそうどう
[00:27:08.039] いうことどう
[00:27:10.000] いう違うんだこれさ絶対さいやこっち
[00:27:13.960] こっちこうこうこうこう
[00:27:17.520] こうちょっと待ってちょっと待てようわむ
[00:27:21.320] ずいこれマジでさんありませんラないの
[00:27:25.880] これなんかそれそんなゲーム前にもあった
[00:27:27.480] な裏ねえのかよこれあれだなんだっけ
[00:27:32.840] あのコスモギャングザビハちゃんさん
[00:27:36.039] アーケードモード一撃しかもマジ絶対やん
[00:27:39.440] ねこと
[00:27:41.720] か体力の表示面白すぎでしょ命
[00:27:46.200] ってその書き方だ命が5つあるみたいな
[00:27:48.960] 感じなっちゃ命ってなんだま命なんだけど
[00:27:54.080] あこれだわめちゃくちゃぬくなった
[00:27:55.960] いきなり武器
[00:27:59.320] 爆弾だよやっぱ1番強え
[00:28:03.200] のほらもう全然違うもんぬるい
[00:28:10.039] わいきなり本気出しやめ
[00:28:16.120] てちゃんさんアーー版一撃だったらしい
[00:28:20.159] からあマジで詳しいなこのゲーム知ってん
[00:28:23.480] の
[00:28:25.620] [音楽]
[00:28:30.279] 難しいちょっと待ってこいつら無限脇か
[00:28:35.799] よしかし旦那さん詳しいか
[00:28:38.100] [音楽]
[00:28:51.840] なやだれ
[00:28:56.160] [音楽]
[00:28:58.200] レトロゲー詳しいよねレトロゲー配信見て
[00:29:00.640] くれてんだもん俺
[00:29:02.600] ね久々にな俺が最近ぬるいゲームばやって
[00:29:05.799] たから多分旦那さん面だろうなこいつ
[00:29:07.919] ぬるいゲームばっか何が甘だよぬるい
[00:29:10.720] ゲームばっかやりやがってよアクション
[00:29:13.080] ゲームやれ思ったんだろすいませ
[00:29:15.760] ん俺も久しぶりに地獄を見に来たもしかし
[00:29:19.039] たら一撃しかも
[00:29:21.519] マジやらないそれはそれはやらないえ
[00:29:25.919] ちょっと
[00:29:28.440] なんでこれ犬が飛んでくんだよ犬は地面
[00:29:31.559] 走れおめえらいやむず手塚ぽんさん
[00:29:36.440] ぬるぬるのちゃまぬるぬる大好き恋して
[00:29:40.480] くれよだ急に急に何ハスちゃんさんそう
[00:29:44.519] いや神はどうなっ神途中だよ途中まだやる
[00:29:47.120] よ全然続きやるんだけど続きやるんだけど
[00:29:50.399] うボスだけめちゃくちゃボスだけなんで
[00:29:53.720] こんな弱えんだよあボスさんお疲れボス
[00:29:55.240] さんお疲れソ大好きじゃねえんだ
[00:29:59.039] ケテさんスケベボテさんが来ましたねお
[00:30:01.960] 744さんお昼からお昼からどしもなった
[00:30:05.320] ばすいませんあ何これあ地面にセット
[00:30:09.120] できんのあつええ仕掛け爆弾できんだこれ
[00:30:12.919] ああなるほど
[00:30:14.799] 塚さんボテさん手教えて手なんぼなんえ
[00:30:21.120] 何それ
[00:30:22.120] はなんだこいつ気持ち悪いな気持ち悪い
[00:30:26.720] なんだあいつ手塚おやぽんさん草あいつ
[00:30:30.039] なんだうわあ俺最初の一期が大事ねこい
[00:30:33.399] マジ性格割りている
[00:30:35.600] なこれオレンジは敵を落とすじゃない
[00:30:38.440] アイテム
[00:30:39.960] 落とすオオ率622さ100万手さん結構
[00:30:45.399] いいです
[00:30:47.039] よ手塚おやぽんさんすいやもう何これ一撃
[00:30:51.200] かよいい俺ええ一瞬バグったえゲームオー
[00:30:55.159] バーって何これ大丈夫でしょエワです
[00:30:57.240] よろしくさんこんにちは先ほどたゲ仲間と
[00:31:02.000] 天丼食べてきましいですねいいですねさん
[00:31:05.519] バグっバったね飯
[00:31:07.559] なあえ何えあそういうこともあるとうわ
[00:31:14.399] こいつらこいつら性格が悪すぎえむくね
[00:31:19.600] さんあ気づいたか上にもあるんだ上にも
[00:31:22.760] くっつけるのねオいて
[00:31:25.910] [笑い]
[00:31:29.000] マジついてきた今本当にやめようかなこの
[00:31:32.440] 次やったら殺すいやまやらなくても倒す
[00:31:38.880] けどこれさ地面に置いちゃこれ待って待っ
[00:31:41.960] て待待て違う塚さんこれ
[00:31:47.279] につけにつかなくていだまちゃんご飯何
[00:31:51.320] 食べたの俺俺あれあのラーメン食べました
[00:31:54.919] ラーメンラーメンていうかあ袋麺なんだ
[00:31:57.159] けどあのなんか744
[00:32:04.559] さんマカン食べたわ袋麺食べたあのね
[00:32:09.960] ラーメンちょっと今喋ってるだろう
[00:32:13.240] がが変わってる人のことは言えませんが何
[00:32:17.799] フガ
[00:32:20.080] てフガが変わっ
[00:32:24.480] てるさん
[00:32:29.600] これさしちゃんいつあれなのフライトな
[00:32:32.600] フライトの時間は何時間後結構待ち時間
[00:32:35.000] あんの空港って待つから
[00:32:36.720] な手塚ぽんさん本名から本名になった離婚
[00:32:41.440] でもしたんか
[00:32:44.900] [音楽]
[00:32:47.360] ねーあ立ってきたた
[00:32:59.519] しぐさ
[00:33:03.760] 15和風アクションゲーム割と新しい
[00:33:18.159] ある
[00:33:22.320] めろめろやる
[00:33:28.000] ポさんの名前手塚ポンさんおハード何おろ
[00:33:32.519] ムマサてどういうゲーム何のゲーム
[00:33:34.919] パソコン手塚親ポンさん3000だよ手塚
[00:33:39.919] ポンさんプスタあPビタなのえそれ何だっ
[00:33:44.200] てえそれでレトロゲームっぽいのみたいな
[00:33:46.480] 感じな
[00:33:50.000] のあいつやばえこれさ上のやつって下に
[00:33:54.480] やってくんのかなここ
[00:33:58.039] さんたら横からざし危ねえいや危なやこれ
[00:34:04.480] 無理だよここで一発なんだよてめえなが
[00:34:07.519] おいおいだこのゲームおいどうやって避け
[00:34:11.079] んだ今の行くぞもう1回
[00:34:12.879] やろBGM
[00:34:15.599] よし絶対爆弾だ上でいいね上はちょっと痛
[00:34:21.200] いって
[00:34:24.599] それこいつつく
[00:34:29.290] [笑い]
[00:34:31.399] う何これお何これ
[00:34:35.159] 本当に本当か
[00:34:38.280] これ武器変えようこれあいつらもこれで来
[00:34:41.480] てるからおこれいいんじゃないのあだめだ
[00:34:44.359] 下下に攻撃できねこれ
[00:34:47.720] ああいいんじゃねほら悪くねえだろこれ下
[00:34:53.839] に攻撃できね下に攻撃できねえよ
[00:34:57.660] [笑い]
[00:34:59.920] 嘘じゃんこれなんだよむずくねえ
[00:35:03.760] か久々にやるあるな久々にあこれ下も下
[00:35:08.280] 入んないもんねこれなんだよ
[00:35:13.599] な
[00:35:16.400] 危ねえおしよし
[00:35:18.720] よし危ねえっただこのゲームマジでお
[00:35:23.960] 744さこれ1面これ3面3面
[00:35:28.280] でももう7個あるうちの3面まで来てる
[00:35:30.280] から
[00:35:31.000] ねまずいな簡単で1時間もすればこここす
[00:35:35.079] でしょ俺は言うてな俺もね生レトロゲーム
[00:35:40.320] 伊にやってないんで
[00:35:45.200] ちょっとマジむかつくこいつなんだの紫の
[00:35:49.400] 愛して強くもねくせに塚ポンさん6で3日
[00:35:53.200] と踏んでる嘘でしょステージ6
[00:35:56.640] で
[00:35:58.280] こんなこんなかかんねえ
[00:36:01.520] だろあなんか調子いい
[00:36:04.880] よこれ赤って何だっけ
[00:36:07.720] う赤って何赤って何赤い巻き物って何なん
[00:36:13.359] だっけ赤
[00:36:15.119] って1発なのしんどく
[00:36:20.079] ない
[00:36:21.640] 間に合わ爆弾間に合わ
[00:36:25.200] ねえ何これ
[00:36:27.760] も1回やらせてくださいNですよろしく
[00:36:30.839] さんこれゲ版を見た記憶がかかにあります
[00:36:34.760] 元ゲだからさジャンプできるなら結構
[00:36:38.240] 行けるんじゃ
[00:36:42.079] ないしかも死ぬとバグるんだよねなんかジ
[00:36:45.720] やっぱジ繰り返しといいよねなんか調子
[00:36:47.760] いいよねジ繰り返しながら爆弾を地面に
[00:36:51.760] これ赤もしかしてあれ
[00:36:55.480] かもういい
[00:36:58.480] ももう
[00:37:01.000] いいあえなんでえ俺何もやってないんだ
[00:37:06.319] けどえ何急にストレスではげたんだけど何
[00:37:09.960] もしてないんだけど何ストレスではげたわ
[00:37:12.640] 急にえ何もしてないよ俺急にちょっと
[00:37:15.520] ちょっと出てるしないろハスちゃんさん何
[00:37:19.319] 何急に怖分かんない何もしてねえのに急に
[00:37:22.920] こやてな行くわ
[00:37:28.400] ストレスではげた難しく
