[00:01:15.960] ああああああああ映ってますか映ってる
[00:23:54.279] てんだけどスライスなってんけどい
[00:23:57.140] [音楽]
[00:24:00.120] 切れ笑これスライスじゃねなんかなんかス
[00:24:04.440] なんかくない俺が想像してる俺が想像し
[00:24:07.679] てるもう少し太くいく分かったもう
[00:24:12.520] 少しこんくらいでいいんかな意外といね
[00:24:16.919] 笑笑わ怖えここここ金のむい傾斜が傾斜が
[00:24:22.120] やばいがくなるまですら
[00:24:26.000] 切り倒すいいやこれはでくすればいいん
[00:24:29.520] じゃうまくないうまいよね思った
[00:24:33.279] よりてったなる90度回転して切
[00:24:36.960] るってどういうこと90度回転って何を
[00:24:39.039] どれをもうぐちゃぐちゃなんだ
[00:24:41.000] けどて0すげえ見てて怖い
[00:24:46.720] わなんでよ安心して見ててくれよ今切った
[00:24:50.840] やつえもうこういうことここうこうでいい
[00:24:54.200] のこう行っていいのねこうこうでいいのし
[00:24:58.679] てそうめった切りしてめった切りすオ
[00:25:01.039] 分かったえ半分半分半分うわ来たすげえ来
[00:25:06.960] たわ
[00:25:09.039] すげえすげえ来る
[00:25:13.880] うあすごいくるわちょっと待ってすごい
[00:25:17.039] くるこれて
[00:25:20.440] すい玉ねぎ強いな
[00:25:28.559] 400g分半日半日も来んのこれ無理だろ
[00:25:32.799] るえっとどうだっけこうだったっけどっち
[00:25:35.200] だったっけ眠というか何個何個入れるよう
[00:25:39.039] になってるのわかんないわかんないいっす
[00:25:41.720] ねちょっと
[00:25:43.640] 先生先生玉ねぎ何個必要でしたっけん
[00:25:47.919] 玉ねぎ何個必要でしたっ
[00:25:50.240] け玉ねぎ何個必要でし
[00:25:55.760] たまるまる1個でいいです
[00:26:00.600] 無理だろ
[00:26:07.039] 笑あそ笑笑笑静かに閉じ笑
[00:26:16.080] 笑ふじふ
[00:26:21.240] 笑これをミジにしてけばいいのねミジに
[00:26:25.799] ミジにすればいいのね
[00:26:31.240] これ完全にバカの料理じゃねえかよこれ
[00:26:33.559] これバカの料理じゃないの
[00:26:37.799] これ大丈夫だ大丈夫大丈夫大丈夫ちょっと
[00:26:40.279] 落ちてくれ大丈夫
[00:26:43.720] ねこれ結構時間かかると思うんだけどこれ
[00:26:47.640] プロセッサーがあれ切りが簡単にな
[00:26:51.880] よとんでもねえ量だぞこれとんでもねえ量
[00:26:56.080] になってきたぞかかると思う笑笑み
[00:27:03.159] かてうすげえ
[00:27:06.559] すげえすげえあのさ常に来るんじゃなくて
[00:27:10.559] なんでこうあの1ターンに1度みたいな
[00:27:12.440] 感じで来んのこれすごいあの1ターンに
[00:27:14.919] 1度みたいな感じでくるんだけどこれ
[00:27:16.320] すごいわ常に来るんじゃねえんだ1ターン
[00:27:19.440] に1度来るガメガない
[00:27:23.880] ねメガないね
[00:27:28.919] オ鼻で息すんのやめる
[00:27:32.039] わゴなんてねえ
[00:27:39.720] だろすごい
[00:27:43.360] これ扇回したら変わるかこれ換扇で変わる
[00:27:47.320] と
[00:27:53.000] かすすごいな
[00:28:01.919] あうまいねこれうまくないこのやり方
[00:28:03.880] うまくないこのやり方うまくない玉ねぎの
[00:28:08.720] 回した方がいい
[00:28:12.360] ようまいうまいうまいねこれよく見るやつ
[00:28:15.880] だよねテレビでねテレビでよく見るやつ
[00:28:18.559] じゃないの
[00:28:20.080] これほらこれテレビでよく見るやつだ
[00:28:25.240] よ全
[00:28:27.120] とこ終わるかこれちゃんと終わるのかいい
[00:28:30.960] よねいい感じだよ
[00:28:33.159] ね1個まるまる使ったよ1個まま使ってる
[00:28:36.799] けどとんでもねえ量だよねとんでもねえ
[00:28:41.640] 量向こう3日間俺あれかもしんねな笑ゲ
[00:28:45.799] おはよう押して切っちゃうと辛いの出て
[00:28:47.600] くるどういうことあしちゃんおはよう
[00:28:50.279] 生まれて初めてあのハンバーグを作る側の
[00:28:53.279] 人間になろうと思います今日から俺は
[00:28:55.200] 生み出す側の人間なんだよ世の中には人間
[00:28:58.480] ってあの2種類いてね消費される側とあの
[00:29:04.120] あれなんですよね料理できる側とできない
[00:29:06.880] 側の人間が今日から俺はね上流
[00:29:14.399] 階級疲れた切れてそうなの入れるといいか
[00:29:18.919] も切れてな切れてそうなのからボールに
[00:29:21.760] 入れるボールってどれボ
[00:29:28.960] うくえ
[00:29:32.240] てでかい方がいいよな多分
[00:29:35.240] なボールボールこれこれでいいすよね
[00:29:38.200] ボール
[00:29:39.880] ね半分そうだ半分キ半分にした方が良かっ
[00:29:44.519] たね
[00:29:46.799] でれるこれこれボールでいいよねこれに
[00:29:49.320] 入れれいいよねいいっすね入れましょう
[00:29:52.720] ちょっとでもさ1回洗った方がいい
[00:29:57.039] ね最後に使ったのいつだっていう最後に
[00:30:00.799] 使ったのいつだいつだっていうぐらい
[00:30:03.440] の洗いましょう1回
[00:30:08.559] ね柄
[00:30:13.240] をオオいいんじゃないいいんじゃないてか
[00:30:17.039] せめよこの作業台が作業台が
[00:30:25.080] 狭いこれさ玉ねぎだけで
[00:30:28.799] 玉ねぎだけでお腹いっぱいになっちゃう
[00:30:30.440] じゃねかこれすげえ量だ
[00:30:34.159] ぞそう機材置いてるからすげえ狭いんだよ
[00:30:38.000] すげえ狭いんだ
[00:30:39.960] よエザこんなもんじゃないのヒートス
[00:30:43.960] 小さくなるからあなるほどねそれはそうか
[00:30:46.919] もすご後で掃除
[00:30:50.519] しようすげえ量だ
[00:30:53.600] これ
[00:30:55.679] あすげえ来る
[00:30:59.559] えこんなことさ家帰ってきて自炊やってる
[00:31:02.519] やつらやってんでしょどんだけどんだけ
[00:31:06.039] 元気いいのこんなもん1ヶ月に1回もや
[00:31:09.200] できねえ
[00:31:11.080] 俺自炊やってるやつらすげえよな本当に
[00:31:14.720] 偉いこういうのをやってるわけでしょ家で
[00:31:17.880] 家仕事帰ってきてこのレンジに入れれるえ
[00:31:21.760] 入れれるよ入れれない入れれないかなあ
[00:31:24.919] 入れれる入れれる入れれるけどこれがその
[00:31:29.240] てるかかん
[00:31:31.600] のいんじゃないこんなん
[00:31:36.490] [音楽]
[00:31:43.159] でえなんか書いてあるかなポリプロピレン
[00:31:47.159] 火のそばに置かないでくださいたしたし
[00:31:50.440] または歯磨き粉で磨くと傷がつき
[00:31:53.440] ます変形する恐れがありますので食器乾燥
[00:31:56.440] 器には使わないでください直火オーブンで
[00:31:59.039] 電子レンジでは使用しないでくださいあ
[00:32:00.799] だめだ終わった電子レンジでは使用でき
[00:32:03.399] ませんえ電子レンジなんか使うの使わねえ
[00:32:08.080] だろ電子レンジ使わねえだろ
[00:32:11.799] でるレンジで温めるとアメ色にしやすく
[00:32:15.120] なる何アメ色って
[00:32:28.279] こんなもんじゃねえのこんなもんでいいん
[00:32:30.679] じゃねえのちょっとでかく残っていた方が
[00:32:34.360] ちょっとなんか存在感があっていいんじゃ
[00:32:36.120] ない
[00:32:38.080] のすこんなもんじゃないどうすかどうすか
[00:32:43.720] まだれて
[00:32:52.960] まだまだ行くのりてまだ行くんすか
[00:32:56.960] こんなん
[00:33:01.399] になでたことない1かけこんくらいなんだ
[00:33:04.679] けど1かけかこんくらいなんだけど結
[00:33:07.679] かかる
[00:33:10.120] よ笑笑車すぎて見え
[00:33:16.399] ないでかい
[00:33:18.399] かでかいのこれ無理じゃんだってどんだけ
[00:33:22.600] 時間かかんだ
[00:33:24.240] よ
[00:33:26.760] こう猫さん猫まさん助かる猫さん絶対料理
[00:33:30.279] うまいから猫またさん絶対料理ういから
[00:33:32.440] 助けてくれみじん切り超大変なんだけど
[00:33:35.440] 終わんねえんだけどこれ男のみじん切り
[00:33:38.639] 終わんねえよ
[00:33:41.880] これとんでもねえ量だ
[00:33:45.799] これうまくない良くないよくない良くない
[00:33:48.919] これ良くないいい感じじゃねいい感じに
[00:33:52.440] なって
[00:33:54.120] ないはこういうことな要はおめえらが言い
[00:33:56.720] てんのこういうことな
[00:33:58.440] こういうこと言いたかったんだろうな多分
[00:33:59.840] なこいつだこういうこと言いたかったん
[00:34:01.480] だろうないいと思い
[00:34:05.240] ますちゃん読んで
[00:34:07.399] 完
[00:34:11.240] すじちゃん今から呼ぼうかなうめえかどう
[00:34:15.200] かやっぱあれ料理って人に振る舞うとさ
[00:34:19.359] ために作るとうまくなるって言うじゃん
[00:34:20.960] やっぱ人に振る舞うために作るとうまくな
[00:34:23.440] るって言う
[00:34:25.879] じゃんちゃんに
[00:34:29.839] 笑笑入れた方が切りやすいよおこういう
[00:34:33.079] ことが言いたかったん
[00:34:35.159] だろ切り終わったとこ先にあ切り終わった
[00:34:38.000] とこ先にボールに入れようかじゃあで
[00:34:40.079] ボールに入れるなんて先生言ってなかった
[00:34:41.639] んだけど大丈夫かなねボールに入れれる
[00:34:44.639] なんて先生言ってなかったんだけども包丁
[00:34:47.440] の持ち方がどすぎる
[00:34:50.359] でしょ包丁の持ち方がどすぎる
[00:34:54.800] だろこんな持ち方ねえだろ
[00:34:59.119] 包丁持つ時こうやって持たないでしょね
[00:35:03.320] こうやって持つの包丁
[00:35:06.839] って包丁の持ち方が世間を知らなすぎる
[00:35:14.480] でしょねえな料理
[00:35:19.079] ないやすごいわでも
[00:35:23.839] これえとりあえずこれでいいちょっとこの
[00:35:26.640] 辺入れるわこの辺入れるまずちょボールに
[00:35:31.119] ボールにちょっと入れますボールちょっと
[00:35:33.560] 入れるわこの辺に
[00:35:37.640] ねいいんじゃね
[00:35:40.119] のこのまで
[00:35:47.560] 入れいい
[00:35:49.760] よこの辺まで入れますまだこんなにあるぜ
[00:35:53.800] えあさんありがとうありがとうレ今日は
[00:35:59.119] ですね生まれて初めてえ作る側の人間に
[00:36:01.720] なりますものすげえ落ちてるごめんこれ後
[00:36:04.920] で装掃除しよう後で掃除
[00:36:08.200] しようこれ多すぎたな100%多すぎたな
[00:36:12.200] これなでもこれ冷凍しとけばさホミさん
[00:36:15.520] ありがとう冷凍ありがとう配信お疲れ様見
[00:36:18.440] ての通り今日はこういう感じ
[00:36:20.280] です冷凍しとけば食える
[00:36:23.040] でしょパパさんありがとうレから初見
[00:36:26.000] ありがとう
[00:36:28.560] のハンバ食えるでしょ生まれて初めて
[00:36:31.240] ハンバーグを作ってますののハンバもう
[00:36:35.520] 大変なんだけどこれめちゃくちゃ大変なん
[00:36:38.599] だ
[00:36:42.359] けどシャキシャキシャキシャキ
[00:36:44.599] シャキシャキシャキシャキシャキ
[00:36:46.280] シャキシャキシャキシャキシャキシャキ
[00:36:49.280] シャキシャキシャキ
[00:36:51.680] シャキシャキてったうざいますわ
[00:36:56.560] ありがとう
[00:36:58.839] サブスサブスクありがとうサブスク
[00:37:03.040] ありがとうよいしょよいしょもうこれもう
[00:37:06.680] いいかなもういいんじゃないこんだけじに
[00:37:09.800] し
[00:37:10.599] たらだいぶやった
[00:37:12.920] ぜ
[00:37:15.640] てには斬新な調理の仕方嘘だろレオ
