[00:00:44.559] おはようおはようはいさ
[00:03:24.200] やっぱでもちょっと緊張するよなやっぱり
[00:03:27.280] あのラジオとかに呼ばれるとさま話せ
[00:03:30.920] なきゃちょっとなんかでもちょちょっと
[00:03:33.680] 緊張するてかね昨日見てたけど想像以上に
[00:03:37.799] こんなこと言ったらおかしいけど想像以上
[00:03:39.799] にみんな
[00:03:42.280] おもろいみんなおもろくてあやべえなと
[00:03:46.040] 思ったちょっと俺大丈夫かなてちょっと
[00:03:48.599] 思い
[00:03:50.599] ながらまボテがうめえからなあいつが
[00:03:54.000] なんかあのなんだろうゲストのそういうの
[00:03:57.120] 引き出すのがうまいから面白いのもある
[00:03:59.120] から別に俺も多分うまいことあいつがやっ
[00:04:01.159] てくれるだろうけどちょっと緊張するな
[00:04:04.680] 改めて2人で話すってねえから
[00:04:22.199] なあ久々になんか今日こんな午前中から
[00:04:27.639] 起きてまもう午後なんだけど
[00:04:30.600] もう午後なんだけど午前中から起きてあり
[00:04:34.120] うまくないですかうまいねいやうまいよ
[00:04:36.840] ボテはしりうまいようんめちゃくちゃ
[00:04:39.919] うまいと思うてかね結構やっぱ関西勢は
[00:04:42.120] 喋りうまいよねなんつうかあの関東勢に
[00:04:46.520] ないうまさがある関東でうまい人と関西で
[00:04:49.440] 喋りのうまい人はまた違うよねなんか関東
[00:04:53.280] で喋りうまいなと思うのはなんか俺が俺
[00:04:56.759] ごきが言うのもなんかすごいあの
[00:04:58.840] おこがましいんだけど
[00:05:00.520] あのワタックスさんとかはさまみんな知ら
[00:05:03.120] ない知ってるかわかんないけどあの
[00:05:04.759] パートナーの方がいるんだけどまあの人は
[00:05:06.280] もう喋り専門で配信してるからなんだ
[00:05:08.560] けどまうまいよねやっぱ
[00:05:11.240] ねだそういううまさとまた違うからね関西
[00:05:14.800] 勢はなんか
[00:05:18.639] ちょっと面白面白が多いよねやっぱね
[00:05:22.800] さすがだと思うわお前もう負けてらんねえ
[00:05:26.720] な俺もプリメやるのああ会の予感するけど
[00:05:31.000] 仕事え何何何神ゲーなの
[00:05:34.400] これひさんどうもこんにちこんにちは
[00:05:37.160] プリメやるよえ何仕事中でも見ればいい
[00:05:40.759] じゃんあちらさんどうもこんばんはプリン
[00:05:44.520] セスメーカーっていいのプリンセスメー
[00:05:47.080] カーっていいのこれいや全然全く初見で
[00:05:49.440] どんなゲームか全然死んでんだけどただ
[00:05:51.240] なんか理想の娘作れるんでしょもうこんな
[00:05:54.000] もんやるしかないだろこんなもんやるしか
[00:05:56.240] ねえだろマジでやるからなまず娘の名前
[00:05:58.560] 考えのに5時間使うから当たり前じゃん
[00:06:00.759] そうだよねだって遊びじゃないもんで販売
[00:06:03.319] された名ですねあそんなに出てんのこれ
[00:06:06.400] そんなに出てんのこれだってこれさこれさ
[00:06:10.280] プリンセスメーカーあの多分1作目だと
[00:06:14.280] 思うんだよこれPCエンジンのプリンセス
[00:06:17.440] メーカー1ってついてるからね1作目から
[00:06:20.080] 1作目から1ってついてるから
[00:06:23.039] ね気合がもう2出しますよって言ってる
[00:06:26.240] ようなもんじゃん気合がすげえよな始め
[00:06:28.960] ましょうか
[00:06:31.000] はいどうもこんばんはこんにちはおござい
[00:06:32.639] ますチマゲームと申します今日はですね
[00:06:34.479] こちらのゲームやりますよバンプリンセス
[00:06:37.520] メーカー1すごくね1作目から1って
[00:06:41.479] つつけるて気合がじられるそう1作目から
[00:06:44.440] 1ってつつけるとなかなかねえぞドラゴン
[00:06:46.280] クエストだってドラゴンクエスト1なんて
[00:06:47.759] 誰もつけねえじゃんプリンセスメーカー1
[00:06:51.039] ですプリンセスメーカー1いやでもさ見て
[00:06:54.440] も俺買したのよこれジケていうかなんか
[00:06:57.000] こないボテたちとあの関東遊びった時に
[00:07:01.080] 関東遊びったか俺は関東なんだけどあ
[00:07:02.879] あいつが東京あいつらが遊び来てであの何
[00:07:06.120] あのレトロゲーム屋さん案内した時にその
[00:07:10.319] ね誰だったかニコかなニコもいたんだけど
[00:07:12.479] ニコがちゃまさん次これやってくださいよ
[00:07:15.000] つって
[00:07:16.240] なんかにはアーでが出てたて言ってなかっ
[00:07:19.560] たいい買い物したなと思いそういいでしょ
[00:07:22.840] これ1500円安くないめちゃくちゃ
[00:07:25.879] 可愛くない理想の娘ですこれこれこれこれ
[00:07:30.080] これって言い方が最悪だけどねこれを作り
[00:07:33.039] ます今日はいやいいゲームを手に入れた
[00:07:36.360] 1500円でございます安いじゃやって
[00:07:38.960] みようか早速
[00:07:43.639] おおいなんだよひさん50000円もいい
[00:07:48.720] んですかやった1000円になったわ
[00:07:51.240] 1500円で買ったのがありがとうわそっ
[00:07:54.639] か仕事なのかまちょっと夜もやるよ夜も
[00:07:57.280] やるからぜひ夜も遊び来てジャスタ
[00:08:00.000] モーメント行こう
[00:08:02.879] ぜPCエンジンプリンセスメーカーでも
[00:08:06.280] 大丈夫だろ映るあの今日も愛も変わらず
[00:08:08.720] あの実機でやってますよセーブできる
[00:08:10.919] データ最大5個ですやなるほどねいずこ
[00:08:13.400] ちゃんいずこちゃんまで行き行け
[00:08:14.800] るってことね大好きいつこちゃんいつ子
[00:08:17.759] ちゃん言えてねええファミリーネーム
[00:08:20.360] あなたの
[00:08:21.319] 名橋元に決まってんだろけはなめんなよ
[00:08:25.680] こういうゲームやる時に本名つけれねえ
[00:08:27.639] やつマジゴミねやるに決まってんだろ橋元
[00:08:31.319] だよ後のご等分の
[00:08:33.519] 花嫁ご等分の花嫁ななんかわかんないけど
[00:08:37.240] エロいなっていつも目で見てるごめん
[00:08:38.680] なさいあのファンの人すいませんなんかご
[00:08:40.080] 等分の花嫁の俺アニメとか全く見ないから
[00:08:42.479] 全然わかんないんだけどTwitterと
[00:08:43.640] かで絵が流れてくるとなんかエロいなと
[00:08:45.200] 思ってるわ殺される
[00:08:47.800] ぞそうなのなんでえそんなにファン過激な
[00:08:52.399] のどうも橋元といいますエロいよなな最近
[00:08:56.519] のアニメなんか全部エロいアニメっていう
[00:08:59.440] アニメっていう目で見てるわごめんな
[00:09:00.920] アニメ好きのみんなごめんでもさエロいや
[00:09:03.800] ん実際あれでだってさあれの同人士とかで
[00:09:06.200] 抜いてんだろおめえ
[00:09:08.279] らはい続きます娘のおいいきなりかよ俺の
[00:09:13.160] 名前どこ行ったんだ俺の名前は俺の名前は
[00:09:16.120] どこ行ったんだよ娘の名前俺
[00:09:19.640] ね子供の名前でちょっと気持ち悪いでしょ
[00:09:23.279] あの相手も何もいねえくせに娘の名前とか
[00:09:25.920] ちょっとどうなけつけたいかなって考えた
[00:09:28.120] ことがあって花の名前がいいの俺花の名前
[00:09:30.920] だからレって俺レんって名前なのねレって
[00:09:33.600] 名前なのあれハの花のハだからさ娘の名前
[00:09:36.519] もちょっと花にしたいのよなんかさ可愛い
[00:09:39.279] お花の名前ってない可愛い花なんかやっぱ
[00:09:44.640] 花がいいのよなんか娘の名前だから
[00:09:47.600] お父さんとか呼ばれじゃねそうこといやで
[00:09:50.519] もなんかさ免許書とか必要じゃんやっぱり
[00:09:52.519] なんか娘娘
[00:09:55.480] 最悪スケベがスケベがお前絶あれだなお前
[00:10:00.200] 絶対あれだなあのあれだろあのご等分の
[00:10:03.160] 花嫁の売り物のなんか同人誌で抜いてるな
[00:10:06.120] お前な多分
[00:10:07.320] なちょっといいちょ真面目に考えてくん
[00:10:10.120] ない真面目にちょっと遊びじゃないから
[00:10:11.920] ちょっと名前何がいいかなやっぱ花だよな
[00:10:16.240] いひまわりとかはもうクレオンしんちゃに
[00:10:19.160] なっちゃうからなん
[00:10:21.240] だろうお花の名前なんか可愛いお花の名前
[00:10:25.600] ない俺俺は名前花だからさ
[00:10:30.440] なんだろうなちょ待てここ5時間使って
[00:10:32.920] いいかちょっとここ5時間使っていいか
[00:10:36.399] たんぽぽそうやって書くんだたんぽぽは
[00:10:39.760] ねえだろちょ真面目になちょ可愛いまゆ
[00:10:42.800] りって可愛いけどね橋本ゆりうんま
[00:10:46.160] ちょっと俺橋本れなのね橋本れてのは言い
[00:10:49.440] やすいのよなんかだらま橋本ゆゆり子あ
[00:10:54.440] から東京都みたいだからやだなで
[00:10:59.440] あ楓でめっちゃ可愛いじゃんしずさん
[00:11:02.320] こんばんは替えでめっちゃ可愛いわ替えで
[00:11:04.920] めっちゃ可愛いんだけど俺が俺が中学校の
[00:11:06.959] 時に俺に告ってきためちゃくちゃ不細工な
[00:11:09.000] 女に似てるからちょっとどうしようかな
[00:11:10.800] あつつきて苗字じゃね橋本つう楓で可愛い
[00:11:17.680] なひらがな使えねえんだなひらがな使楓で
[00:11:21.399] ちゃんっていう子がね僕僕のこと好きだっ
[00:11:24.040] たらしく
[00:11:25.639] てあんまり可愛くないんですけどうんでも
[00:11:29.760] ねあのすごいいい子だったんですけどね
[00:11:31.160] うんいい子だったんですけどえ楓でかいい
[00:11:33.320] なでも楓でなんそういう感じの名前ないの
[00:11:35.639] なんかまつきもいいねなちょっとたんぽぽ
[00:11:38.839] とかさひまわりとかなんかそうなんかそう
[00:11:41.240] こんにちはなんかそういうあきさん
[00:11:42.920] こんばんはきさんこんばんは今日はですね
[00:11:44.560] あのこれこちらのゲームやってますよ
[00:11:46.399] プリンセスメーカー1ね理想の娘を作り
[00:11:49.760] たいと思いますあのね今ね娘の名前考え
[00:11:52.440] てるここで5時間使うと思うわ遊びじゃ
[00:11:54.399] ないからちょっとねみんなも考えてほしい
[00:11:58.440] 俺は
[00:11:59.920] なんて読むのそれ何何もう1言ってなんて
[00:12:01.639] 読むのそれあのお花の名前にしたいのな
[00:12:04.760] ちょっとねお花の名前にしたい俺ね自分の
[00:12:07.360] 名前お花なのよあロソちゃんこんにちは
[00:12:09.560] ロソちゃんこんにちは今日はですねえのき
[00:12:12.160] て花じゃねえだろキノコだろ今日はですね
[00:12:14.360] PCエンジンプリンセスメーカー1やって
[00:12:16.760] ますピトさんこんばんはあ青いいいね
[00:12:20.600] ピトゥさんめっちゃいいわ青い橋本青い
[00:12:24.000] めっちゃいいなんで鼻の名前がいいかって
[00:12:26.360] 言うとなんで鼻の名前がいいか俺名前花な
[00:12:29.519] のよあのレんってハの花のハって書くレっ
[00:12:32.519] て名前なのね俺橋元レって言うんだけど
[00:12:34.560] 橋元青いめっちゃいいわ青いてめっちゃ
[00:12:38.000] いいね何青いの何それ青いめっちゃいいわ
[00:12:42.519] 青いちゃんめちゃくちゃ可愛い
[00:12:45.000] じゃん青いいいねうわこれは可愛くなるぞ
[00:12:50.079] 娘の血液型娘の血液型えまさかの採用これ
[00:12:55.839] さ採用です青いいいね青いちゃん細か徳川
[00:13:01.600] 毛が青いのみもよあそうなんだちょっと
[00:13:03.839] 待って俺俺大型なのねで嫁さんがじゃ
[00:13:07.120] 例えばっていうセクシー女優好きめかよ
[00:13:12.000] やめろうちの娘をそんな目で見るな
[00:13:14.360] おいおいうちの娘俺も自分の娘がもし
[00:13:18.320] セクシー女優になりたいって言っても俺ね
[00:13:20.440] あのね否定しないと思う俺別にセクシー
[00:13:22.639] 女優まAV女優あれもあれも立派な仕事だ
[00:13:25.199] と思ってるからいいんじゃないお前がそれ
[00:13:27.880] で後悔しないんだったらいいよ俺は言うと
[00:13:29.839] 思う別にただ彼氏連れてきたらぶんだくる
[00:13:32.839] けどはいえ俺大型なのよに行成も可能や
[00:13:37.959] からえ嘘ええいきなり神ゲシめっちゃ神ゲ
[00:13:42.320] じゃんマジでえプリンセスネカ絶対面白い
[00:13:46.320] ねなんだってマジかよおい神毛来たなお
[00:13:51.000] 待てブラッドタイプ俺大型なんだよじゃね
[00:13:53.839] 俺大型なんだよ大型から生まれる可能性が
[00:13:56.440] あるのってでも全部ありえるよねでも娘
[00:13:59.519] どうしようかな絶対面白いじゃねえかえA
[00:14:03.240] 型って貴重面だっけB型大型大雑把だよな
[00:14:07.839] あでもなんか女の子はa型がいいな女の子
[00:14:11.160] はa型がいいわなんかそんな感じしない
[00:14:13.360] なんか帳面でなんかこうもうお父さん
[00:14:16.920] だらしないなみたいな俺の脱ぎっぱなしの
[00:14:19.040] 靴下とかさ洗ってほしいわ娘の
[00:14:22.600] 長持ちですフさんこ持ちになりました僕
[00:14:25.800] 橋本青いちゃんです可愛いでしょ俺橋本れ
[00:14:28.040] んって言うんだけどえ一応前連のああ
[00:14:31.440] なるほどねうん大丈夫オッケーオッケー
[00:14:32.680] いいねいいねいいね娘の誕生日いいなこれ
[00:14:36.839] 大事俺6月11日なんだけど6月11日な
[00:14:39.720] んだけど6月11日ってめちゃくちゃいい
[00:14:41.880] のよ正月があってで半年後に誕生日があっ
[00:14:45.480] てで半年後にクリスマスがあるこれね1年
[00:14:48.759] のなんつうの子供ながらになんかその
[00:14:51.120] モチベーションの保ち方すごくね良かった
[00:14:53.759] A型だけど自分でに入れなさいよて思うよ
[00:14:57.600] でそう思ながらやってくれるの俺そういう
[00:15:00.959] 女の子好きだから全くお前本当だらしねえ
[00:15:04.240] なって言いながら文句言いながらだけど
[00:15:06.480] やってくれるそんな女の子に育ってほしい
[00:15:08.759] ですねちょっと待ってお娘の誕生日でも6
[00:15:12.240] 月だからな俺6月11日だから
[00:15:14.920] な青いえちなみにさでクリスマス小連連で
[00:15:21.440] も残り9ヶ月間辛くないイベントない
[00:15:24.000] じゃん待ってあのさ青いっていうお花って
[00:15:29.040] 俺蒼いちゃんって名前つけたんだけど蒼い
[00:15:30.920] ってさいつの季節の花なのいつの季節の花
[00:15:34.240] なの蒼いも6月らしいあマジで運命じゃん
[00:15:39.040] 6月にしようじゃあ6月笑笑運命じゃねえ
[00:15:44.279] かよですやんすご笑笑すご笑笑じゃあちょ
[00:15:48.920] 20日ぐらいにしとく笑あいちゃん俺俺な
[00:15:52.959] 娘の名前は絶対花がいいと思ったの花お花
[00:15:56.000] の名前にしたいの俺俺の名前がお花だから
[00:15:59.560] 娘の名前花って決めてたんだよえっと
[00:16:03.079] じゃあね6月俺11年花ってあるよね
[00:16:07.880] 誕生日あ誕生家ってあるよねなんかね花花
[00:16:11.480] のなんかわかんねえけど誕生花の名前って
[00:16:13.639] おしゃれだよな俺レんて言うんだけどあれ
[00:16:15.399] ハスのハスって書くからあのレハスの花の
[00:16:18.000] レねかっこいいでしょ
[00:16:20.759] うんま20ぐらいしとくか6月20日
[00:16:23.839] ぐらいにしかいい娘のデータ娘のデータっ
[00:16:28.079] て名前青い苗字橋本え血液方a型6月20
[00:16:32.759] 日いいですねこの月で始めましょう来たぞ
[00:16:36.199] 始まるぞつにこのゲームが
[00:16:40.639] おおいい
[00:16:42.600] ね雨が雨の音があ6月だからか
[00:16:47.240] えどういうゲームなんだごゲーム音
[00:16:49.800] ちっちゃいかもそんなことねえか
[00:16:52.639] ちっちゃかったり言っ
[00:16:57.160] てどういう
[00:16:59.360] くわかんねけどな果たして青さされるのか
[00:17:04.679] 楽しみです
[00:17:06.439] ねえそういう世界観何これ魔王みたいな
[00:17:10.439] これ俺か父親
[00:17:16.559] かどういう世界
[00:17:20.720] 観黒い月がを隠すはいドラキラか
[00:17:29.200] 世界観なんだ大な力に操れた3000の魔
[00:17:33.440] のプリンセスメーカーじゃないの広告の砦
[00:17:35.679] を次々と入れ城に迫ったは
[00:17:39.600] はい
[00:17:41.720] ええプリンセスメーカーに出てきたいけ
[00:17:44.919] ないでしょこのこのみの男人々の心は絶望
[00:17:48.480] に打ちれたさすが勇者様ええがその時1人
[00:17:55.280] の勇者が立ち上がるあはい娘が魔王にて
[00:17:59.200] 助けに行くゲプリンセスメーカーちゃうや
[00:18:01.600] んそれプリンセスレスキュー
[00:18:04.200] [音楽]
[00:18:07.240] やえー俺勇者なのなったらもっとかっこ
[00:18:11.840] いい名前がかった4つの城を奪い返し2つ
[00:18:15.320] の魔を切って明を表し
[00:18:18.360] たこの戦いで力を失った魔王は国外に逃げ
[00:18:22.919] はい報告はのあMDさんこんにちはえ
[00:18:29.600] 橋本勇者橋本りの異界本見てじゃん異世界
[00:18:35.080] 転生お異世界転生かこれ人々は気を持って
[00:18:38.400] 迎えおお王
[00:18:41.240] は殿に
[00:18:43.799] い見事な働きであったぞ勇者よこの上は
[00:18:50.440] そなたを大将軍にじて平馬の体験を全て
[00:18:55.159] 委ねようと思う誠意大将軍国王陛下
[00:19:03.799] ありがとありがとうあフローもありがとう
[00:19:06.480] フォロー
[00:19:12.760] ありがとうかもしんなエクスペリエンスも
[00:19:18.000] したがれてるはいはいはい今日はね
[00:19:23.280] プリンセスメーカー1ます
[00:19:28.919] たの救済に当これ俺に読ませてほしい
[00:19:32.039] な私は今日より戦いより身を引き身よりの
[00:19:37.080] 子を引き取って自分の子じゃねえのと思い
[00:19:40.880] え自分の子じゃねえの子供の教育は国の
[00:19:45.960] もいそうだな子供は未来だからなまた平に
[00:19:49.039] 劣らぬ国家の太じゃそうだね殿こそは天下
[00:19:54.240] の義姉と
[00:19:55.720] 言えよ天下万民のため
[00:19:59.200] より良い人材を育ててくれえ自分の子じゃ
[00:20:06.200] ねは若くして
[00:20:09.400] 王は
[00:20:12.880] 敷500を
[00:20:15.640] てて金500ってどんぐらなんだ日本にし
[00:20:25.080] てるぜつ
[00:20:28.960] 女して身のない子を引き取り育てるという
[00:20:32.600] のあ自分の子じゃねえんだじゃ苗橋元
[00:20:35.039] ちゃうやんまいっ
[00:20:37.159] かやよく来たね階段を降りるとそこに君が
[00:20:41.720] いたえはい冷え冷えとした玄関ホールの
[00:20:45.200] 中央につんと1人これいやよく来た
[00:20:51.080] ねこんにちは勇者様くそ可愛い初めまして
[00:20:55.840] くそ可愛い背筋をピンと伸ばし肩に力が
[00:20:59.880] 入るはい不安期待興味容姿なのかくるくる
[00:21:04.720] 変わる瞳の色バカ可くねここまで遠かった
[00:21:08.159] だろさんやっほっほおうきさんこんばんは
[00:21:10.559] うきさんこんばんはこんにちはませんお
[00:21:13.159] 招きいただいてめちゃくちゃ行儀いい
[00:21:16.679] じゃん10歳だぞこいつで詰め込まれた
[00:21:20.520] ああ親になっちゃう間違えないようにおい
[00:21:23.960] でもど不安だこいつ10歳でしょこの子
[00:21:26.880] つっ引て吐き出す8年後俺娘として見れる
[00:21:31.000] か
[00:21:34.039] なありがとう育費ありがとうは好きかな
[00:21:38.799] はい大好きですでも食堂に今朝届いた
[00:21:44.120] ばかりのがあるんだミルクですかついて
[00:21:46.080] おい
[00:21:46.880] でありがとうございますやしいこと考え
[00:21:50.159] じゃねえぞおめえら違うよ間違えちゃだめ
[00:21:53.120] だよ
[00:21:54.760] え止まなんかなんかこの勇者ちょっとやだ
[00:21:58.279] ななんか変態もう勇者なんかじゃないんだ
[00:22:02.960] 今日から君のお父さんなんだ
[00:22:06.000] よその時の君の光輝くあんまりでも最初は
[00:22:10.840] 打ち解けらんねんじゃないのついておいで
[00:22:13.480] 10歳ってさもうさやっぱりさ明らかに
[00:22:16.440] 両親の記憶が残ってるじゃんうん心なしか
[00:22:22.200] 冷え切っていたこの屋敷もに温かくな
[00:22:29.360] てもなかささんこんにちはさんこんちは
[00:22:32.120] 今日はねプリンセスメーカー1やってます
[00:22:34.880] すごいだろ1作目なのにもう1ってつけ
[00:22:37.279] てんのすごくないプリンセスメーカー1
[00:22:40.919] 始まりますPM神ゲーの予感
[00:22:45.799] えこれガイナックスが作ってんのれどう
[00:22:50.559] するこれガイナックスが作ってんの
[00:22:54.360] エヴンゲリオンや
[00:22:57.120] んしで14歳の時に俺あの蒸発するわ14
[00:23:01.520] 歳の時あおあお母さんいないから会社やん
[00:23:04.679] おいエヴァ乗れんぞこいつエヴァ乗らせん
[00:23:08.480] べ乗りなさい青井君乗り
[00:23:14.120] なさい出なければ帰れって言う俺もそし
[00:23:17.279] たらエヴーに乗れいつまでこれ続くん
[00:23:21.000] じゃ神ゲーの予感しかしねえ
[00:23:23.960] ぞ1991年ガイナックス1994年
[00:23:27.799] マイクロ
[00:23:29.520] コビコープわからんあれガイナックスて
[00:23:33.520] 確かサーディオンのじゃたあれなんか
[00:23:35.679] サーディオンも作ってなかったあいつら
[00:23:41.559] お橋青い橋元あ海外あのあのラストネーム
[00:23:47.919] が最後に苗字なのね橋本青いじゃなくて
[00:23:51.799] 青い橋本らしいえちょっと何この漂うメモ
[00:23:56.440] 感ちょっと待て説明い何すんのこれ何すれ
[00:24:00.400] ばいいのクソ
[00:24:02.600] 可愛いちょ説明書読んでいいか
[00:24:05.880] スケジュール
[00:24:08.880] スケジュールまこのPC版発売の
[00:24:13.120] 時のの発売が決定していたので1670
[00:24:18.600] 年暦1670年3月31日金曜日です何
[00:24:23.400] すんの何すればいいのメイン画面
[00:24:29.039] えっと王様との謁見王様のご機嫌を伺いに
[00:24:33.520] 行き
[00:24:34.559] ますこれ王様との謁見らしいこれこれな
[00:24:38.320] ここここに多分このコマンドがあるんだよ
[00:24:40.880] この6個なこれが王様との謁見王様のえご
[00:24:45.240] 機嫌を伺いに行きますメイン画面の
[00:24:47.039] アイコン王様見をえ選択すると実行され
[00:24:51.640] ます王様に会うまでには様々な難関があり
[00:24:53.559] ますさすがにおのお城の人々との面会です
[00:24:56.320] から礼儀正しくしないといけませんまたが
[00:24:58.000] 高くのこと面会はえ厳しくなっていきます
[00:25:00.919] へえで次町の評判これなこれ町の評判え町
[00:25:05.760] に出て娘の評判を聞きますえー世間様の
[00:25:08.760] 評価も馬鹿にはできませんあなたの娘は
[00:25:10.799] 世間では一体どういう評価を受けているの
[00:25:12.640] かどういう風に言われているのかなどを
[00:25:14.520] 聞くことができます娘の人々はあじゃない
[00:25:16.720] 町の人々はえ結構鋭いところをついてくる
[00:25:19.480] なるほどななるほど
[00:25:22.200] な次このハートがステータス娘の現在の
[00:25:26.960] 状態が表示されますと
[00:25:29.200] ゲームを進めることによってここの
[00:25:30.559] パラメーターが変化します18歳の誕生日
[00:25:32.799] を迎えた時このパラメーターが重要な意味
[00:25:34.480] を持ってきますこれもしかして18歳で
[00:25:38.039] 18歳でエンディング
[00:25:40.320] かでこの次がもうこれが娘との会話
[00:25:44.600] ステサタンアレンジあちゃんと出てるんだ
[00:25:48.200] あいいねいいねいいねこれもなんか面白
[00:25:50.360] そうだね調していくえ月に1回親子の親子
[00:25:55.240] との対話をしますこれが月に1回親子の
[00:25:57.840] 対話エッチじゃん何がエッチどこがまだ
[00:26:01.159] エッチ要素ねえたらやめろうちのおいうち
[00:26:03.520] の娘そんな目で見んじゃねえ来たねえ目で
[00:26:06.679] 見んじゃねえぞその時父親としてどういう
[00:26:09.960] 性態度を取りますか優しくせしますそと
[00:26:11.880] 厳しくお説教しないといけないどうもパパ
[00:26:14.640] ですメタルさん僕に娘ができましたすい
[00:26:17.120] ません配信頻度が減るかもしれませんもし
[00:26:19.279] かしたらしもきんちゃんこんにちはしもき
[00:26:21.000] ちゃんこんにちは娘を作ります今日から娘
[00:26:23.000] を作るってらしい意味じゃないですよもう
[00:26:25.279] らしいことをした後ですいやしてないんだ
[00:26:28.039] けど容姿だからねおいパパお前に黙ってた
[00:26:31.360] ことがあるんだお前に黙ってたことがある
[00:26:33.559] んだパパ18歳の時に言おう18歳娘が
[00:26:36.600] 18歳の時に親子の対話って会社の月1団
[00:26:40.520] かよ娘が18歳の時に言うわ俺なおいお前
[00:26:44.880] に騙せたことがあるんだお父さん実は童貞
[00:26:48.440] なん
[00:26:51.000] だよ18歳の誕生日に言うわお父さん実は
[00:26:56.039] 童貞なんだ
[00:26:58.919] え次買い物次買い物これが買い物娘と街へ
[00:27:04.039] 買い物に出かけますえメイン画面の
[00:27:06.880] アイコン買い物を選択すると品物を見せて
[00:27:09.320] こんにちは間違えちゃったというメニュー
[00:27:10.720] が開き
[00:27:12.000] ますねえなろ別におさん童貞でも別にいい
[00:27:15.360] だろ
[00:27:17.200] え他の2つは挨拶するしかないしないかも
[00:27:20.360] 違いだけで下も同じようなメニューが開く
[00:27:21.919] のでそっから買いたいものをなるほどねカ
[00:27:25.559] 野郎野郎ただ
[00:27:28.559] になったら娘として見れるかすごい心配
[00:27:31.039] これが何これsysシステムかな多分セブ
[00:27:34.240] とかかな
[00:27:35.200] 多分セーブのデータロドや音声とシステム
[00:27:38.200] に関する設定をしますあ音声の設定あんの
[00:27:40.799] 主人公のさ音声なしにして欲しいんだけど
[00:27:44.240] あ全部になっちゃだめかなるほどなままま
[00:27:48.159] いいやでどうするでちゃうってこいやだっ
[00:27:51.320] てさ繋がってない18歳の娘なんてさ俺ま
[00:27:54.960] 26だ
[00:27:56.519] ぜ26時にじゃこの子引き取っててこと
[00:27:59.559] するんじゃん10歳でこの子が8歳18歳
[00:28:03.039] になったら18でしょ俺
[00:28:05.919] 303034だよいやちょっとまだそう
[00:28:09.760] いう目で見れちゃうんじゃないのもこれ
[00:28:12.120] 危険だ
[00:28:13.240] なすいません最低ですいませんちゃんと
[00:28:15.840] 最低でごめんえちょっとどうしよっかな1
[00:28:18.200] 回でも娘と話してみたいよ
[00:28:20.640] 俺優しく話すに決まってやあおい早
[00:28:25.440] ちょっと読めねえよ早くて早くて読めねえ
[00:28:30.159] 根性が減ったなん
[00:28:31.880] でなんで面談ですねちょっと
[00:28:35.919] 待て早
[00:28:38.080] すぎる低速にしよう文字表示読めなかった
[00:28:41.519] ああいいねこんくらいでいいよ明日から4
[00:28:44.519] 月会話スピード高速なってたぞあだめだ
[00:28:49.720] 高速すぎるでしょ読ませる気あったえっと
[00:28:53.200] この子の現在の状態
[00:28:56.320] はす別っていうパラメーターがあ
[00:28:59.440] るってことは男の子もあんの星座双子座俺
[00:29:02.919] と一緒だな血家a型誕生日6月20称号
