[00:00:18.800] ジマゲームさんコメントお待ちしてま邪魔
[00:03:32.680] たんだけどね1ポイントだと嵐が来た時に
[00:03:35.599] あのフォローせずともあフォローすると
[00:03:38.040] 300ポイントもらえんのかな確か300
[00:03:40.480] ポイントで1ポイントだと300発撃たれ
[00:03:42.480] ちゃうんすよなんで200にしたかって
[00:03:44.159] 言うと嵐が来ても一発しか打てないように
[00:03:46.599] するためにっていうあれだったんだけどま
[00:03:49.640] 50ぐらいでもまあね数が860数数が
[00:03:54.959] 8600お金持ちの考え方じゃんもうその
[00:03:58.400] 辺その辺なんか小銭だでしょ800円の
[00:04:01.519] こと小銭だと思ってるわけじゃん金持ちの
[00:04:03.680] 考え方
[00:04:05.799] じゃん1万以上の1万円札以上じゃないと
[00:04:10.360] あちゃんこんばんはこんばんはそうなんす
[00:04:12.879] よね
[00:04:14.840] あの
[00:04:17.519] こんばんはなんですぐすぐお金を投げるな
[00:04:21.160] あ忘れてたちょっと待ってごめんちょっと
[00:04:23.479] ごめん
[00:04:25.240] ごめ時間忘れたいしたチャンネルポイント
[00:04:30.240] ちょっとあの値下げしましたよというお話
[00:04:32.720] でございますねちょっとねごめんちょっと
[00:04:36.280] 時間ちょうだい
[00:04:37.639] 終りごめんちょ時間もら時間くださいあの
[00:04:41.400] えっとねえっとねあのビッツゴールとか
[00:04:45.000] リセットしようねすごくいやらしい感じに
[00:04:48.440] なっちゃうんでこんなに稼ぎましたみたい
[00:04:51.240] なあの忘れてた
[00:04:54.039] わビッツゴールちょっとリセットします
[00:04:57.560] ね人さんさん笑笑うんあの552になって
[00:05:04.280] ますたまんねえや楽して稼ぐこれ最高あ嘘
[00:05:08.880] ですすいませんもぎさんクプ色々調整した
[00:05:11.560] んだあしたした50にしたわなんかもう
[00:05:13.720] 荒しもそこそこ来なくなったしでも来たと
[00:05:16.400] してもま56発しか打てないように50
[00:05:18.280] ぐらいでにしました
[00:05:21.919] うんいつゴール
[00:05:24.160] ねそうそうね1にはさすがに戻さなかった
[00:05:27.240] 1はねだってネちゃんさん
[00:05:32.700] [音楽]
[00:05:38.000] なちゃん
[00:05:42.840] 3166はいはいえっとねこれがね
[00:05:47.880] ちょっと待ってね2022じゃなくて
[00:05:50.400] [音楽]
[00:05:55.680] さん世の中金だよなマストタル
[00:06:02.560] 357
[00:06:06.919] ちゃん2022となんかさ久しぶりじゃね
[00:06:11.240] なんかこのゲームやんのも久しぶりじゃ
[00:06:15.280] ね久しぶりな感じがしますね1週間ぶり
[00:06:18.240] ぐらいですかね久々に女の子とでかなんか
[00:06:22.160] 一緒に遊ぶみたいななんかすごくワクワク
[00:06:24.000] した用感に今俺は進まれていますどうも
[00:06:26.560] 始めます
[00:06:31.720] さんサンプラザ中野みたになって
[00:06:35.000] じゃんサンプラザ野どうもこんばんは
[00:06:38.520] ちゃまと申しますえっとですね今日久々に
[00:06:40.840] 行きますよとこちらのねめき
[00:06:45.479] メモリアル元気ってお前まず誰やねんなん
[00:06:49.319] で知らねえやつに元気って言われたけねま
[00:06:51.360] そんな感じで今日久々にやりますめき
[00:06:53.880] メモリアル2あの多分ねまだねクリアでき
[00:06:57.319] ないと思うんだよね前回多分リセットした
[00:06:58.879] のだけ覚え覚えてんのよ前回リセットした
[00:07:01.160] んだよな俺なドさん
[00:07:04.240] トゥトゥ行きます見てくださいこれここに
[00:07:07.400] 置きました可愛いでしょこれごめんもう
[00:07:09.919] 毎回自慢して
[00:07:11.360] いいチマゲンガーのフィギュアこれくそ
[00:07:14.319] 可愛いでしょこれ毎回自慢しますこれここ
[00:07:16.840] ここに置いたかいま行きますかはい行き
[00:07:20.639] ましょうはいふわりさんこんばんはあ
[00:07:23.720] ふわりさんこんばんはふわりさんも
[00:07:25.479] こんばんはと今日もやってきます色白俺
[00:07:30.479] 俺って色白くね思った最近思ったんだよね
[00:07:33.800] 俺色白いなあれあれがないあの
[00:07:36.879] コントローラーがないもぎさんディラこま
[00:07:41.000] ディラコマうちのアート
[00:07:45.440] 担当いれふわりんさんお職のおにぎり食べ
[00:07:49.879] ながら見てますね何俺をさしおいて
[00:07:53.639] おにぎりだと何おにぎり食べてんだよ扁桃
[00:07:57.080] によっちゃコナミ
[00:08:01.570] [音楽]
[00:08:03.000] ぐちゃぐちゃなんだよここよ行きます
[00:08:06.759] さあ行きますよ久しぶりにエンディング
[00:08:08.720] オープニング見てえな久しぶりに
[00:08:11.080] エンディングオープニング見てえな久し
[00:08:13.159] ぶりにオープニング見たくねまこれ
[00:08:15.639] オープニング流れないんですけどね
[00:08:16.840] オープニングだけ見ることて
[00:08:19.360] 笑笑オープニングだけ見ることってでき
[00:08:21.919] ないのか久しぶりにちょっとオープニング
[00:08:24.159] 見たくねあのなんか神曲オープニングだけ
[00:08:28.440] 見せてくれないかふわりさんカツを醤油と
[00:08:32.599] 酒とみりんで炒めた振りかけ
[00:08:35.519] です
[00:08:37.120] もう欲しね欲しいもののせいなのにしねよ
[00:08:42.599] うな
[00:08:43.680] よすいません俺のせいでした欲しいもの
[00:08:47.959] リストでおまけおまけやるのにリスクワに
[00:08:51.279] 行かなきゃいけいってどういうことだよど
[00:08:53.120] おまけぐらいどこにも入れとけよなんで
[00:08:56.680] もうめんどくせえけどやっちゃったから
[00:08:58.440] やろう欲しいものリストにさ鰹節と醤油と
[00:09:02.360] 酒とみりんで炒めたあのあえて
[00:09:04.880] ぐちゃぐちゃなやつ入れ入れれることでき
[00:09:07.000] ないですかねそういうものが欲しい俺は
[00:09:08.880] Amazonに売ってるものではなく
[00:09:10.279] みんなの手作りのものが
[00:09:16.120] 欲しいエンディングしか見れねえやんや
[00:09:20.079] これいいやもうごめんなさいすいません
[00:09:21.560] グダグダしてすいませんグダグダしてすい
[00:09:23.320] ませんちょっとエンディングエンディング
[00:09:25.680] 見れエンディングしか見れなかったわ
[00:09:27.600] オープニングが見れないってなんや
[00:09:31.040] 久々だ1週間ぶりだからさちょっと気分
[00:09:33.640] 高めようかなと思ったけどもう正直もう
[00:09:36.959] 久しぶりすぎて覚えてねえ宗ちゃんさん卵
[00:09:40.519] と厚揚げと大根の見物がいいうん最高か
[00:09:43.680] ふわりんさんゆおかかですねいわゆる
[00:09:46.040] おかかですあいわゆるおかかなんですね
[00:09:48.800] あの醤油と酒とビリでい謎だすねななぞ
[00:09:52.600] はいおかか好きおかかっていう名前がいい
[00:09:56.160] よな
[00:09:57.120] おかか何おかかって
[00:10:00.480] なんか全然始まんないどうしたおかかて
[00:10:03.839] なんだおかか
[00:10:08.120] て今日も水がうまいですねさんデブはデブ
[00:10:11.720] でも21時
[00:10:13.720] からお
[00:10:15.399] 疲れなん
[00:10:17.200] だちゃまちゃまじゃないのそれそうなん
[00:10:19.760] ですあゆお疲れちゃんおほら9時だから
[00:10:21.800] 小学生も来やすいです何これ全然始まん
[00:10:25.640] ないじゃどうした元気出せよ
[00:10:32.279] 鰹節種にしたやつ何種って種って待っ全然
[00:10:37.240] 始まんね10分配信開始10分ゲームが
[00:10:40.760] 始まりませんこのチャンネル
[00:10:43.720] はそうなんです今日からちょっと9時
[00:10:46.639] 間に合う時は9時からにしたいなというに
[00:10:48.760] 時々おかか入ってるじゃんそれの味です
[00:10:51.519] うんおかかうめえよなおかかノり弁て
[00:10:53.959] うまくね近くにホットMODがあるんだ
[00:10:56.639] けど俺いつもビッグノりだわビッグノりこ
[00:10:59.720] なんか声ちっちゃく
[00:11:01.399] ねどしためちゃくちゃ声ちっちゃいじゃん
[00:11:03.920] 今日ソードさんついでに高も頼わかる
[00:11:07.360] わかるなそういうものおいしいなと思う年
[00:11:10.279] になってしまった俺もさん今こそ
[00:11:12.160] スターティングなウなの草覚えてますか
[00:11:14.800] 何何何スターティングナウあの頃のこと
[00:11:17.360] スターティングナウだよいつだって俺は
[00:11:19.399] よくわかんねえよきますはい時めき
[00:11:22.200] メモリアル何のために焦らしたんそういう
[00:11:25.040] ことねそういうことねそういうことね5
[00:11:27.639] 分間取った後にこれだからやっとけよやっ
[00:11:31.240] とけよ配信外でやっとけよつって馬鹿たれ
[00:11:35.040] が行きますはいロードしますこれどっち
[00:11:38.880] やればいいんだこっちか笑笑こっちだ
[00:11:41.519] 2001年1月7日えテニスおいみんな
[00:11:45.480] みんなお頼むぞみんな今日あのマジ部活
[00:11:48.200] 部活マジで頑張ろう
[00:11:50.800] 前回3年生の頭までとカと一緒に似た料理
[00:11:56.600] 好きみたいなやわかるわかる前にじゃない
[00:12:00.480] のそれってエルビさんこんばんは前に
[00:12:02.639] うましさん開始時間間違えてますよ早すぎ
[00:12:06.399] ます早すぎですかすいませんくさん
[00:12:09.600] こんばんは
[00:12:12.120] 曜あのマジでマジであの頼むよみんな
[00:12:16.880] みんなにかかってるからねあの部活次
[00:12:20.839] サボると首になっちゃうんすよなった瞬間
[00:12:22.680] リセット食らうんでもう絶対見たい2週
[00:12:25.560] やってんだから部活のイベント見たい
[00:12:27.399] じゃん最後までなので
[00:12:29.920] 頼みます頼んだおめえらなよし俺は知らね
[00:12:33.639] 俺はもう止まんねえ時は止まんねえから俺
[00:12:35.760] は行っちゃう時行っちゃう行っちゃう時
[00:12:38.040] パって行っちゃうんでさんクプで部活作り
[00:12:44.120] よ手間がかかるわそれはそれは手間が
[00:12:47.720] かかる
[00:12:49.279] な音もつけなきゃいけないんでしょじて
[00:12:52.480] 気づかねえもんなさん活で勝つ
[00:12:56.199] ならそうなんだよねってるんだねちょっと
[00:13:00.160] 待ってちょっとちょっと待ってカレンダー
[00:13:04.320] 見ようぜカレンダー音大丈夫ですかなんか
[00:13:06.639] なんか音ちっちゃい気がすんだよな俺だけ
[00:13:08.279] か
[00:13:09.720] え特に何もなし今決まってる予定はなしな
[00:13:13.320] の
[00:13:14.399] でなので部活じゃ行こっ
[00:13:17.839] か3日坊主にならないことてパワプロだっ
[00:13:21.639] たんですかそうパワプロみたなもんだな
[00:13:23.880] パワプロみたいなもんだこれさ正直さ
[00:13:29.279] いい気がするよあ本当俺のあれか俺俺が
[00:13:32.000] あれかな分かんないミミックソが詰まっ
[00:13:34.199] てるかもしれないミミックソが詰まってる
[00:13:36.839] かもしれなんか聞こえねえわ今日あんまり
[00:13:38.880] なんか今日あんまな聞こえない音あげよ俺
[00:13:41.519] 俺の方だけ勝手にあげるねなんか
[00:13:43.040] ちっちゃい気がするなんだろう
[00:13:45.100] [音楽]
[00:13:47.839] ねもしもしコブさんのおタクでしょうかえ
[00:13:52.279] すごいタイおわ久しぶりだな何何エスさん
[00:13:59.639] 年って今の中学生すそうだよね俺何歳俺5
[00:14:03.800] 歳ぐらいだ俺5歳私5歳ですあのさあ
[00:14:08.120] デートなんてどうよこれどこ行こっかな
[00:14:12.360] もう正直行き尽くしてはいるよね行き
[00:14:14.720] 尽くしてはいますえっとねカラオケ
[00:14:16.880] ボックス行こうかな久しぶり
[00:14:19.199] にはいはいはいはいはいこれねちょっとね
[00:14:22.560] リセットかけちゃった
[00:14:24.000] から戻っちゃったんだよこれもう年のまで
[00:14:29.360] はねちょっとパパパッと行こうと思います
[00:14:30.639] 戻し作業
[00:14:32.959] ですだからね容姿と雑学もあげなあかん
[00:14:36.639] 運動やば運動
[00:14:40.240] 198俺と真反対なんだよな俺と真反対
[00:14:43.920] 200行ったじゃんデートしましょうで次
[00:14:46.720] の日部活な次の週部活忘れるべから
[00:14:50.959] ずはい来たクソ川わ久しぶりに見た久し
[00:14:55.160] ぶりに見ると可愛いわやっぱりやっぱり
[00:14:59.600] 可愛いちょカメラ下に
[00:15:01.560] しよう思い出すなあの鏡ミラの下り
[00:15:05.399] エルビスさん今のには容姿なんて
[00:15:08.360] ステータス作れないよああ作れないかも
[00:15:11.040] しれないねわかんないけどごめん立っ
[00:15:12.959] ちゃったか
[00:15:13.920] な平平気今来たとこくそ可愛いやこいつ
[00:15:18.639] 結構本当は結構待ってた気がするなじゃあ
[00:15:21.399] 行こう行こう行きましょうカラオケでし
[00:15:24.279] たっ
[00:15:25.959] け待時間なしだってすぐ入れるよラッキー
[00:15:30.279] 今日は歌い倒すぞいいですねなんかね選択
[00:15:34.279] 肢もちょっとマジで本当に本気出してか
[00:15:35.959] ないとこの子ねむずすぎるからなんか次の
[00:15:38.399] 曲見が入れたのとはい俺知ってます俺知っ
[00:15:41.759] てるんすよねこれやったんでこれね一番
[00:15:43.959] いい選択肢知ってるから俺が代わりに歌う
[00:15:46.920] よおさすがはカラオケキングどんな
[00:15:50.759] ジャンプもオッケーですねうんメタルコ
[00:15:53.240] しか歌えませんメタルコアしか歌えません
[00:15:55.360] すいません空気ガ壊しですいません
[00:15:59.680] ねえねえね
[00:16:01.600] どはよりも
[00:16:04.360] 女
[00:16:06.680] きめそうワンよりもそのなんかキャラデザ
[00:16:09.639] がいいよねタイムループ能力駆するのやめ
[00:16:12.600] 俺も好きで使ったわけじゃねえよそんな
[00:16:14.000] 能力違うのやだったけどねアフター来た
[00:16:17.399] ここに来て初めておいここに来てアフター
[00:16:20.199] です
[00:16:21.319] ね同伴出同来たわ
[00:16:25.240] 同そうだねどっかによっておいおい
[00:16:29.600] さっきゆのりのりだから今
[00:16:33.959] くーくあきこれじゃあ行こうやった初
[00:16:40.199] じゃんここはねケーキ何食べてもおいしい
[00:16:44.480] んでちょっと笑がだよえいいねへそうなん
[00:16:49.440] だうんもう美入り口入っただけでよだれ
[00:16:54.160] じるだよだれ
[00:16:56.000] じるさん別に何も言うことない時にちゃま
[00:17:00.639] 君ひたすらねえって言ってくるの嘘俺言っ
[00:17:04.240] てた俺ねえって言ってたなんかわか俺無
[00:17:06.839] 意識無意識なんだけどえねえって言ってた
[00:17:09.559] 俺話してんじゃないみんなにさあさあ
[00:17:13.120] 座ろう座ろうあれも確言うかもなんとか
[00:17:16.039] なんとかおいねまちゃんさん遅したら
[00:17:18.679] ペナルティ取られるけど同伴ならペナ
[00:17:21.480] できるからね金もも最だな3回言っていた
[00:17:25.000] 笑もぎさんしつこいんだよいつも笑笑やぱ
[00:17:29.520] こうしつこいお味なんですよ人料理に例え
[00:17:32.400] たら本当に俺もうピザみてなしつこいお味
[00:17:34.960] ですバカが考え
[00:17:38.720] た
[00:17:40.280] あー終わったみんな
[00:17:43.080] くそどれだっけスクショってあった久し
[00:17:45.880] ぶりでスクショのボタン分かんなこなっ
[00:17:49.080] たいいです
[00:17:51.440] ねちょっと手がなんか違和感あるけどな
[00:17:54.679] みゆちゃん何がおすすめう
[00:18:01.679] て拭いてくるくるちゃんと巻いてあれした
[00:18:05.520] かもしれねえだろよ口に残る精みたいな
[00:18:08.520] しつこさちょっとわかんないですね僕僕
[00:18:11.039] ちょっと精子わかんないさんデュエリスト
[00:18:13.559] すごいこの
[00:18:14.840] 子あま髪型がねVO55本ぐらい使って
[00:18:19.559] うん全部いいけどCてえば
[00:18:22.120] ミルフィユあそれそれは品切れて書いてあ
[00:18:25.159] 出た出たこの子運悪いんだよないい顔
[00:18:30.080] ゆてやっぱりな別にいいじゃ他のやつ
[00:18:33.039] 食べればふーなんかじゃないよ他もみんな
[00:18:35.400] 美味しいん
[00:18:36.600] でしょ目くぜこいつ顔でもちょっと目泳ぎ
[00:18:40.840] すぎじゃない全然俺のこと見ないじゃん目
[00:18:44.039] 泳ぎすぎじゃないさっきから本当ミク
[00:18:46.440] ちゃんて立ち直り早いないいです
[00:18:49.640] ねアフター行けるようになったということ
[00:18:52.000] はだよちょっともぎさんなんでこの子意地
[00:18:55.640] でも泣き顔作られていないんだろういやだ
[00:18:58.120] からもう
[00:18:59.559] そういうあれなんじゃないのそういうなん
[00:19:02.760] つうのか
[00:19:04.039] なそういうキャラなんじゃないそのめげ
[00:19:08.559] ないみたいな帰ってゲームするぜいいね
[00:19:12.280] この童貞根性最高あ光だしかしますま
[00:19:16.760] ちゃんさん感情がないんじゃないある
[00:19:19.919] でしょ感情はあるんじゃないわかんない
[00:19:21.360] けどただこの子とても可愛いですよ本当に
[00:19:23.400] 元気で
[00:19:24.960] ね容姿も雑学も上がるの最高だな
[00:19:34.200] 危ないも早速だよ早速あさんお疲れさお
[00:19:39.480] 疲れだ危なかった
[00:19:42.760] カル完全にカルこ
[00:19:49.039] 笑殺だとしたらだとしたらだそんな
[00:19:58.760] って
[00:19:59.799] たねここ注目ねこの右上ね右上注目ねぽ
[00:20:04.559] さんこんばんは今日こそ部活絶対諦めない
[00:20:08.640] もう1回部活成功したらセーブ入れよう
[00:20:11.400] ちゃんさん部活なんかやめちまえあ分かる
[00:20:14.280] んだよ俺もねそういう部活なんかどうでも
[00:20:16.360] いい派なんだけど好きな女のために頑張る
[00:20:21.200] ぜ1回部活1回部活クリアしたらセーブ
[00:20:24.480] 入れる
[00:20:26.080] べせめて1ヶ月の失でからそしたらなもう
[00:20:30.720] そんくらいだ俺にとって部活1回行くって
[00:20:33.000] のはもうそんだけあのすごいことなんです
[00:20:34.799] よ
[00:20:36.200] ねで学業はもうどうにか頑張るしかないな
[00:20:40.440] 赤点とんねえようにな40あやばい文系
[00:20:44.080] 40超えないとさて帰ろうささん前回ガチ
[00:20:47.799] ミスで部活首なってちゃまくんなんかうん
[00:20:50.840] うんもう5分喋んなかった無視してます
[00:20:53.400] さん本気で切れていなかったあれいや
[00:20:56.440] パフォーマンスパフォーマンス
[00:20:57.720] エンターテイメント
[00:21:01.440] 半分本気5分だてマジで5分喋んあの切れ
[00:21:04.400] 方本気のやつじゃなかったいやまあでも
[00:21:08.080] このゲームでどんだけひどいことされても
[00:21:09.919] あの本気で切れるってなるとやっぱあのね
[00:21:12.520] ナンパーとか前のあれあれを絶対嘘ダブル
[00:21:15.320] 本気だった全然本気じゃねえよ本気の切れ
[00:21:18.840] はあれだって浮気された時だって何パーと
[00:21:21.640] か前のあれ超えらんない
[00:21:23.960] でしょ不嫌にはなったよね向うとこ敵なし
[00:21:28.960] て言んだよねこういうのクソ可愛いこいつ
[00:21:31.960] クソでこ広いけどクソおでこ広いわ今持っ
[00:21:34.400] て
[00:21:35.600] けどえっとね雑誌を見
[00:21:40.559] て丸ハゲド室内プールきルビスさんこじ
[00:21:45.000] こじですか何こじこじって何こじこじって
[00:21:48.960] こじこじってなんだあこじこじあれかあの
[00:21:52.279] さもこのやつあ
[00:21:54.840] スケートおめえら馬鹿だからしねえでセッ
[00:21:58.080] してってよ
[00:22:00.200] ゴね格してみてによよなドンキてくよもう
[00:22:05.320] れたちゃんさんそれはガチギレなやつだね
[00:22:09.279] 俺がねあの本当にあの配信とか返し配信で
[00:22:13.760] 言っちゃいいっていいこと言っちゃ悪い
[00:22:15.360] こととか何も吹っ飛んだなんか人としての
[00:22:17.480] なんか配信者としてのタが吹っ飛んだあん
[00:22:19.640] 時は言っちゃったねそれマジでそれ言った
[00:22:22.279] もんおめえらバカだ
[00:22:24.279] から言っちゃいけないことあるな人
[00:22:26.880] さんさん実間に合ったね間に合ってないん
[00:22:29.559] だけどこじこじはこじこじ他の何者でも
[00:22:31.919] ないあなんかそういう感じだねこじこじっ
[00:22:34.080] てちゃんさんあれ言ってる時よく口回る
[00:22:36.720] なって思ってみたもうゾがもうこの世のゾ
[00:22:41.000] が全て出たんだろうな多分あん時な脳の中
[00:22:43.600] に溜まっている鬱憤
[00:22:46.679] 全てこぼれ出た吐き出した出た出ちゃった
[00:22:50.039] あペンギン賞行きたいペングインリサーチ
[00:23:01.279] ペンギン見に行こうぜ
[00:23:02.900] [音楽]
[00:23:04.120] ペンギンあの生臭い鳥見に行こうぜ生臭い
[00:23:07.559] 鳥え遊園地じゃなくて水族館水族館水族
[00:23:16.279] 抑えれなく
[00:23:20.000] なお前あれあのあれであれであのつって
[00:23:24.120] 全然てかった丈
[00:23:28.640] 気持ちが前に行きすぎて脳が追いついて
[00:23:30.600] なかったまっちゃってもぎさん笑笑大
[00:23:35.240] オッケー行きましょうペンギン見に行こう
[00:23:37.799] よペンギンなペンギン生臭い鳥見に行こう
[00:23:41.440] ぜ生臭い鳥ずっとしゃがんでる鳥見に
[00:23:44.320] 行こうえっとねじゃ部活行っとくか部活
[00:23:49.000] 行っとくかいやでも体調やべええてか文系
[00:23:52.039] もやべえさん怒ったらくし立てるタイプな
[00:23:54.880] んだなと思ってたいや実際どうなんだろう
[00:23:57.720] な実際どうなんだろうエルビスさんペンギ
[00:24:02.159] ンって美味しいのかななんかペンギン食べ
[00:24:04.159] たみたい
[00:24:12.400] [音楽]
[00:24:14.279] なあれ嘘爆弾あったはいさきですじゃじゃ
[00:24:19.039] さんおっと政宗ちゃんさんキビや
[00:24:22.200] キビヤックはあれでしょあのなんだっけ
[00:24:25.240] あのなんか足かかなんかの腹かっさばいて
[00:24:28.559] ぶんで女の子傷つけたやつ女の子傷つけた
[00:24:32.640] やつ本当
[00:24:34.399] だ嘘おいおい軽いいやこれ誰誰だ人による
[00:24:40.000] 大体分かるけどあのあいつなんだっけ水月
[00:24:42.520] 水月渡るだったら傷つけてもいい
[00:24:44.960] から嘘ですバルじゃなくて水月ことだっ
[00:24:47.880] たらあ光はやべえかもしんないちょっと
[00:24:50.799] これで好感度見てエルビスさんこりタイム
[00:24:53.960] ループ発動する案件ちょっと待ってえ
[00:24:56.640] わかんねもう
[00:24:58.880] 爆弾が止まら
[00:25:02.000] んちょっと
[00:25:04.360] 待てよ
[00:25:07.440] えあこれさ一緒に変えんのあれしてたから
[00:25:10.960] か
[00:25:13.440] なえも一緒に
[00:25:18.200] 帰るあデートだからちょっと見れないわ
[00:25:21.520] デートだからちょっと見れないこれで
[00:25:23.559] ポワポワ状態解除されてらかなあよかった
[00:25:28.640] だならいいこいつ光のことあんま好きじゃ
[00:25:31.640] ないんだな多分ざみろと思ってんだろうな
[00:25:34.159] 怖足元君は私のもの
[00:25:40.000] よ本当だよでももう他の爆弾抱えてくから
[00:25:43.320] ちょっと次マジでちょっとこの子ほったら
[00:25:44.919] になっちゃうけどちょっとあれしなきだめ
[00:25:47.200] だ爆弾解除しなきゃだめだめどくせえ
[00:25:49.840] やいやい
[00:25:51.399] この子と水族館くの初めてかも来てねえわ
[00:25:54.919] 今日はペンギン賞やってるみたいだね本
[00:25:58.520] 楽いいねじゃ入ろこ他のやつの爆弾とか
[00:26:02.320] ほっとけやしょうもねえべうーんどうやっ
[00:26:06.720] てあんなゲー仕込むのか
[00:26:09.240] なペンギンが賢いからできるんじゃないご
[00:26:11.679] 褒美の餌で釣って仕込むんだ調な弱いでも
[00:26:13.640] 逃げられてるんだペンギンが賢いからでき
[00:26:15.279] んじゃないうーんペンギンて賢いのかな
[00:26:19.520] うわなんか難しいあんまりそんな方には
[00:26:22.279] 見えないよねさですいい加減なこと言って
[00:26:26.360] ないあんまりいい印うわーもうこいつマジ
[00:26:30.919] 難しいこれ前も来て違う選択肢選んでも
[00:26:33.559] ダメだったんだよついてない感じゃじゃア
[00:26:36.720] じゃあアじゃあアさんむいんよむずいよね
[00:26:40.320] この子ねちょっと待ってこれさちょっと
[00:26:43.720] とりあえず待ってあの女の子の評価見よう
[00:26:46.440] うちょっと女の子の評価見ましょうね
[00:26:48.919] ちょっと
[00:26:52.520] え雑談と容姿はあげなきゃだめ
[00:26:56.250] [音楽]
[00:26:58.520] やべえ
[00:27:00.440] [音楽]
[00:27:04.279] ジジさん高評価でアフターやったか
[00:27:09.200] なと一緒に帰ろうよあれちょっと待って
[00:27:13.760] これ
[00:27:15.840] さやったちょっと寄り道してこよ
[00:27:21.440] グラポワポワ状態ですかくそ可愛いけどね
[00:27:25.720] くそ可愛いけどねポワポワですかこれあて
[00:27:29.960] か名前もそろそろ呼び捨てにしたいさ
[00:27:32.039] そろそろ名前も呼び捨てにしちょっと待っ
[00:27:33.440] てちょっととりあえず待って
[00:27:35.640] パたっくん教えてちょうだいはい
[00:27:40.600] 高きあはえ今かね
[00:27:45.000] えっとうんこんな感じだよがうみゆが
[00:27:49.320] ちょっと下がっうわどくせえもぎさん
[00:27:54.679] こわやじじさんうわツマイラフじゃん
[00:28:01.880] えーこれはめんどくさい
[00:28:08.360] ね誰から解除するかなこれもう正直ことは
[00:28:12.840] いいんだよ爆発しても全然関係ないから
[00:28:15.919] コブにただ俺ホムの方がやばいと思うんだ
[00:28:18.320] よなホムから解除しようホムから解除する
[00:28:21.279] わいいっていいってめんどくせえ
[00:28:24.600] なで俺がおめえらのメンタル管理までし
[00:28:27.480] なきゃいけないんだ知らねえよ
[00:28:30.559] な知らねえ
[00:28:33.440] よ
[00:28:35.799] えーホムちゃんあれ俺ホムの電話番号知ら
[00:28:40.519] ないさんさちゃん爆弾持つくらいなら転校
[00:28:44.080] してあていうかやばいあちょ待って俺全然
[00:28:46.279] あれ知らないねじゃさくちゃん転校してん
[00:28:48.919] だよ転校してんのに爆弾持ってんの意味
[00:28:51.240] わかんねえだろ意味わかんねえだろ
[00:28:55.320] [音楽]
[00:29:01.600] さん意味
[00:29:03.159] わかんてくるとは思わなかっ
[00:29:07.559] たでもるっていうのなんだお前あさん怒っ
[00:29:12.000] ちゃってるなみさん今日は謝るために電話
[00:29:14.840] したんだ本当に俺がかったよへ割と素直に
[00:29:18.840] 謝るね俺謝ることなくねよくねえぞんで
[00:29:23.240] もんでも謝って済まそうみて
[00:29:25.399] なうん心のから悪い
[00:29:28.919] 何もしてない俺お前にうんもぎさんみさん
[00:29:33.720] 苦手だ
[00:29:35.240] わ私も怒るの好きじゃない怒るの絶対好き
[00:29:38.640] じゃいつも怒ってんじゃん
[00:29:40.320] お前よしこれで爆弾解除1個なうわあもう
[00:29:44.440] やだめんどい
[00:29:46.760] なしかも2週間使いそう
[00:29:50.480] やどうしたバグバレンタインのチョコは
[00:29:54.240] もらったああバレンタインねそんな見え
