[00:00:12.799] ひい
[00:07:02.000] あの、な、何だっけ?何言おうとしたか忘れちゃった。あの、結構やってる人いるんすよ。これやってる人いるんで、これで俺だけ
[00:07:09.800] banされたらこれさすがにちょっと
[00:07:11.840] Twitch
[00:07:12.160] 運営ちょっと分かりやすい。つの部分を隠したいですか?
[00:07:16.000] え?うん。何が何が
[00:07:18.120] あの復火
[00:07:19.720] ね、これこれや、これ意外とこれレアなゲームなんで、これなかなかあれだけど、あのはい、やってきますか。
[00:07:27.599] やってきますかね。もうサクっとやってなんかさっと終わろう。すっとクリアしてさっと終わります。で、なんかこれめっちゃおもろいらしいじゃん。なんかめっちゃおもろいらしいじゃん。おら、おもろいらしいんすよ。
[00:07:31.955] [笑い]
[00:07:40.400] 先おもろいです。
[00:07:42.280] おもろいよね。
[00:07:43.440] おもろいんでしょ、これ。おもろいんでしょ?
[00:07:45.240] フラグやめろ。
[00:07:46.120] おもろいんでしょ、これ。あの、ごめん。あの、よくよくこの人の映画のさ、あの、なんか空耳があるじゃん。なんかでけだとかさ、俺あんまりよくわかってないから。あんまりそのネタで盛り上がられても俺、俺、俺よくわかってないだ。それ、そのなんだろうな。そういうのあるんだろうなって思って見てる。俺あんまりそ、そこ通ってきてない。ごめん。
[00:08:06.670] [笑い]
[00:08:07.440] そこ通ってきてないんだよ。
[00:08:08.599] されてるからおもろいしか言えないのに。あ、嘘字幕マッドとか。
[00:08:12.720] そう、そう。その辺通ってきてないからごめん。
[00:08:15.185] [笑い]
[00:08:15.800] ごめん。俺が、俺が珍しく俺がネタ俺が俺がネタとあの拾えないタイプの感じで行きますんで、今日はよろしく頼みます。
[00:08:23.800] じゃあやるなよ。今
[00:08:25.759] んでなんででじゃあやるだよ。なんで関係ねえだろ。俺はこのゲームがやりたくて来たということでやってきますかね。やってきますか。よろしい。録画しとこかな。
[00:08:34.399] 一応録画消えるかもしれないからな。あ、ロゴがすのまんまだ。ちょっと待って。
[00:08:34.835] [笑い]
[00:08:38.360] やったりやらなかった。
[00:08:39.560] ロゴがすのまんまだ。
[00:08:41.519] ネタをザ額してからの方が良かったのでは?マジレス?
[00:08:45.440] え、マジで?それそんなにこのゲームにそんなに必要なのか?その、そのネタはもうこれ画面的にもアウトだよね。これ大丈夫?なんかな、このこれロゴ大丈夫?これロゴ大丈夫?これめちゃくちゃき
[00:08:57.761] [笑い]
[00:09:03.519] くべ。
[00:09:04.279] 俺
[00:09:04.760] まずい。
[00:09:05.320] 危険思想の人にならない。これ危険思想の人にならない。これ大丈夫か
[00:09:07.586] [笑い]
[00:09:11.200] これ?俺が俺の別に俺の俺の意思じゃないです。
[00:09:15.120] から大丈夫。ロゴザイク入れて。
[00:09:17.519] 俺の意思じゃないので。
[00:09:19.040] か俺の意思じゃないということをみんなに分かっていただきたい。ちょっと待って。
[00:09:24.480] 左手斜めにあげてよ。
[00:09:26.581] [笑い]
[00:09:27.240] よくわかんないけどやってきますわ。やってきますわ。よろし。もうすっとクリアするから。すっとクリアするから。
[00:09:33.680] そのロゴの下の人がそうっぽいよね。
[00:09:36.406] [笑い]
[00:09:37.240] もうバーンって出てるからね。手前にタイム挟もう
[00:09:41.079] 手前に出てますからね。ということでよろしくお願いします。え、やってきます。はい。よろしく。私がまだ若かった頃に
[00:09:46.886] [鼻息]
[00:09:49.600] さんだったか。
[00:09:50.640] 出会った1
[00:09:51.240] 人の男について語ろう。ストーリーから見てくぞ。あ、いいじゃん。音でかい。音でかい。大丈夫。
[00:09:58.480] えー、何?アルバトロス計画の存在を私たちは知った
[00:10:04.519] がりですやん。
[00:10:06.200] 音でかい。
[00:10:07.240] や、
[00:10:07.760] え、絵文字?え、何?あ、もう、あ、だめだ、ダめだ。ああ、みんな。ダめ、ダめ、ダめ、ダめ、ダめ。終わった、終わった、終わった。いや、お、ダめでしょ。
[00:10:13.742] [笑い]
[00:10:18.600] ちょっと、ちょっと、ちょっと。
[00:10:19.560] これ無理やろ。これだ
[00:10:21.640] が出たんですが。ということ
[00:10:23.839] ということで、今日はここまでにしようかな。
[00:10:26.187] [笑い]
[00:10:27.000] え、これ本当に大丈夫?なんかでも聞いたのよ、これ。あの、島村エルフさんもやってますんで。さん、お疲れ様でした。
[00:10:35.639] 島村エルフさんもやってるし、あの、色々やってる人いますから。これレトロゲーマー結構やってる人いるんで。
[00:10:42.480] 発とかけましてやっぱりやめようか。え、謎かけ、謎かけ。謎かけもいけるんだ。謎かけもいけるのか。
[00:10:51.200] くくくるくる。
[00:10:53.760] ま、ちょっとやってきますかね。
[00:10:54.519] 危そう。危険しそう。危険し。
[00:10:56.519] おお。うま。[叫び声]
[00:10:58.937] [笑い]
[00:11:02.000] うまいやん。マジでマジでうまいやん。すごいね。
[00:11:07.040] ま、
[00:11:07.560] はい。ということで今日はこの辺で
[00:11:09.417] [笑い]
[00:11:10.920] 大期見、
[00:11:12.040] 大期。大期見します。
[00:11:15.519] 大丈夫かこれ?
[00:11:17.079] ネずっちも見てます。
[00:11:18.360] 大丈夫?これでちょっと行きますよ。
[00:11:20.720] 面白い配信だったな。
[00:11:22.399] え、読めないよ。読めないよ。[笑い]
[00:11:27.320] パートナーだからな。
[00:11:28.680] アルバトロス計画の存在を笑
[00:11:30.639] 私。あくまで、あくまでフィクションです。これはゲームです。ゲームフィクション。バイズマンは文章を奪い、計画を実現しようとする。サ
[00:11:38.238] [笑い]
[00:11:44.720] ンスもある。笑。
[00:11:45.839] 良くないって。
[00:11:47.560] 連邦軍は計画を処持するため英雄スーパー
[00:11:51.160] 城を送るが
[00:11:53.320] 消束を立ってしまう。これスーパー城って
[00:11:55.240] あれだよな。戦場の狼の主人公だよな。ジ
[00:11:58.079] の救出せよとの目を受けが帝国へと飛ぶ。
[00:12:00.880] これが俺だな。この物語はここから始まる
[00:12:03.880] 。
[00:12:06.839] まあ大丈夫やろ。こんくらいね。やって
[00:12:09.079] いきますよ。はい、よろしく。え、
[00:12:13.320] やっていきます。これトップシークレット
[00:12:14.880] やっていきます。よろしく。88
[00:12:17.000] 年カプコンね。これカプコンのゲームですからね。世の中なんかやれないのにこれ許されるんだ。
[00:12:25.560] やれプラグマただなんだかんだと言ってるところでございますけども私はこちらでございます。
[00:12:30.839] たくさん売ったらモデレーションで跳ねられました。
[00:12:33.720] やばいやん。ちょマジでちょっと本当にさっと終わろうぜ。よろしく。え、大佐大佐なんて読むのこれ。本部から通信です。
[00:12:42.760] 普通にアクションゲームなんだけど司令を伝える敵に侵入仲間と連絡を取りながら
[00:12:49.160] スーパー場を救出せよなのにひどい
[00:12:53.680] か現在エリア1
[00:12:55.360] に仲間がいるまずは彼らに会うといい君の活躍に期待するわあなんだこの何この
[00:13:11.249] [音楽]どういうゲームなのこれ?
[00:13:12.880] これえ、アクションゲームでしょ?
[00:13:14.440] 手こつ
[00:13:16.320] あ、うんじゃ、お疲れちゃん。うん、お疲れ。
[00:13:17.760] ワイヤーアクション
[00:13:19.480] ジャンプはでき
[00:13:20.199] 指示をお願いします。ジャンプできない。何それ?降りる。移動。移動もできんの?
[00:13:25.000] え、これ何?
[00:13:26.680] これ何?え?あ、あれ?何これ?
[00:13:29.959] はえ。
[00:13:30.880] え、敵と遭遇。え、これ待って。これアクションゲームだよね。え、え、え、何これ?
[00:13:36.880] なの?
[00:13:37.360] え、わかんない。
[00:13:38.240] 何これ?ワイヤーでどうにかする?何これ?
[00:13:41.600] え?
[00:13:46.619] [笑い]
[00:13:47.160] 笑笑。
[00:13:47.800] え、笑笑。
[00:13:49.720] おお。なんだこれ?どういう?え、こういうゲームなん?横スクじゃないの?せ、こんな、戦場の、戦場の狼みたいな感じだ。戦場の狼とか怒りみたいな感じだ。
[00:14:05.040] 横もあります。
[00:14:06.120] あ、横もあるんだ。
[00:14:07.240] 知能テスト中。ワイヤーぬるっぬる。
[00:14:09.880] 私がまだ若かって。これでもいいて。もういいて。同じ
[00:14:11.509] [笑い]
[00:14:13.399] ゲームゼロバー。
[00:14:14.600] 同じや。
[00:14:16.600] 横がメイン。あけぼみたいな倒れ方。笑笑。
[00:14:21.334] [笑い]
[00:14:22.560] あけぼみたいな倒れ方って何?え?なん?なん?ちょっと全然わかんないんだけど。あ、まただ。
[00:14:32.360] どスコい。
[00:14:33.480] どういうゲームなんですかと。
[00:14:37.920] え、横スクだよな。横スクだよな。
[00:14:43.519] メトロイドブアニア的な。
[00:14:46.040] センスも丸出しなんや。
[00:14:48.190] [笑い]
[00:14:48.800] もう全部丸だしよ。これ時代という技に転したら倒れて動かなかった。
[00:14:54.440] ここ降りるでいいか?え、な、なんな、なん、なんこれ?何?え?何?え?あ、あ。
[00:15:06.920] お、横スクや。お、何?え、
[00:15:11.800] 持ち物ちゃう?持ち物か。え、ちょ、全然。あ、これ攻撃ができると。あ、マジでジャンプできねえの?これジャンプできねえの、これ。
[00:15:24.399] これが若ひの虎ラさんなの。ドット細か。
[00:15:27.839] ドット細かいね。
[00:15:28.839] メタルスラック来た。
[00:15:30.360] メダスラック的な感じなのかな?
[00:15:32.160] ロックマンみたい。
[00:15:34.279] え、もしかしてこれ何?ジャンプできねえから、このワイヤーでいをつけてする。
[00:15:39.720] あ、そういうこと。ブムええやん。え、こういうことだ。え、どういうこと?むずくね?めっちゃむずくない?
[00:15:49.560] ちゃんとおもろそう。
[00:15:50.880] あ、こういうことね。
[00:15:53.079] れ、これはアタイベントではできないな。はめておくか。スパイダーメン、これできるようになるとめちゃくちゃ楽しいよ。
[00:15:59.585] [笑い]
[00:16:03.199] ダブル
[00:16:03.959] ねえ、泳げないのかよ。
[00:16:07.199] ああ、でも気持ちいいかも。え、これ無理やんで。これとかもう無理ってことやんな。無理ってことやんな。え、これどうやって上行くの?あ、上。あ、なるほど。これでもこれでちょっと待って。全然わかんないんだけど。全然わからん。
[00:16:29.720] カメラ位置変えた。
[00:16:31.040] え?カメラ位置変えてないよ。
[00:16:32.319] 変えてないよ。あ、ちょっとなんか低い気もするな。じゃ、めっちゃむずいって。かつい海原かわせってことにしておきます。
[00:16:41.120] 海原かわせもやったことねえんだよな。なんかさ、めっちゃむずいよ、これ振り粉が。あ、行ったったったたった。え、でもさ、
[00:16:52.639] 慣れるまで2時間か。
[00:16:54.399] あ、え、慣れるまでこれ結構かかるかな?あ、でも無理くり。
[00:17:01.199] はいはいはいはいはいはいはい。いや、これジャンプでえ、
[00:17:06.600] 何あれは?メトロイド
[00:17:08.480] 何あれは?何それは?何それは?何それは?ワンナップじゃないのかよ。
[00:17:14.880] これ
[00:17:17.880] 音でかくない?音でかくない?
[00:17:23.426] [笑い]
[00:17:24.640] ワンナップの音地味だろ?もっとなんか
[00:17:26.919] 盛大に盛大に割ってくんなきゃわかんねえ
[00:17:29.520] よ。ぬるっとワンナップしたな、今。
[00:17:33.480] あ、はいはいはいはい。え、こあって。お
[00:17:37.039] 、なんでここ音楽ないの?[笑い]
[00:17:40.919] なんでここ何の音楽もないんだよ。え、
[00:17:44.559] 盗調。[笑い]
[00:17:46.880] え、盗調。盗調も行けるの?これ。
[00:17:52.600] 大長エレベーターには注意してください。
[00:17:55.919] 了解した。何?[笑い]
[00:17:59.919] もっとなんか重要な情報聞けよ。なんで
[00:18:02.440] そんな
[00:18:05.240] ロックマン初代の曲に通じるものがある。
[00:18:08.480] ああ、ま、カプコンだからな。こちらMA
[00:18:11.440] 1。MA1での、え、各エリアには
[00:18:14.360] たくさんの仲間がいる。通信室を見つけ
[00:18:16.720] たら連絡を取ってみるといい。他にここで
[00:18:19.320] は敵の話を登調することができる。危険は
[00:18:22.000] あるが貴重な情報が手に入るだろう。恐れ
[00:18:25.200] ずにやってみるといい。これから内部に
[00:18:27.280] つがる。ドアを開ける。そっから中に入れ
[00:18:29.880] 。そして右下の通信室を目指せ。はい。
[00:18:32.880] はい。え、
[00:18:44.000] おな、同じこと聞ねえな。
[00:18:49.080] え、[笑い]
[00:18:51.200] これ大丈夫か、これ。これ大丈夫?そう、
[00:18:54.320] これ。今日からこれだけどね。こうから。
[00:18:58.159] 今日から向こう向こうしばらくこれだけど
[00:19:00.720] 大丈夫か。おいおいおいおいおいおい。
[00:19:03.640] ありがとう。
[00:19:04.720] サブスクありがとう。
[00:19:06.520] サブスクありがとう。性能なマシンがあったんだ。え、待って。
[00:19:11.640] サブスクありがとう。ちょっとおい、これもな、何なんだよ。ダブル
[00:19:17.398] [笑い]
[00:19:22.559] はうまい。これめっちゃむずいぜ。めっちゃむずいぜ、これ。操作感。あれ?あれ欲しいよ。あれ欲しいよ。あれ欲しいよ。
[00:19:33.440] これ何?これでもさ、ジャンプできねえ
[00:19:36.520] からさ。
[00:19:38.679] こういうことな。こういうことな。こう
[00:19:40.559] いうことね。こういうことね。こういう
[00:19:42.720] ことね。オオなんかいまい今[笑い]
[00:19:50.200] もうなんだよこれ
[00:19:54.120] ダブル笑
[00:19:55.720] ちょっと説明書読むわ一旦
[00:19:58.280] ちょっと説明書読ませてもろ。
[00:20:01.919] 説明あんまりまじマーク出すな。あんまりまじマークを出すなと。
[00:20:07.320] あんまりまじマークを出さないでくれ。ちょっと待って。ちょっとね、どういうどういうせ操作もよく分かってないんだよ。な
[00:20:11.108] [鼻息]
[00:20:15.960] んでこんなゲームしてるの?
[00:20:17.520] え?なんでなんでこんなゲームってやってみたかったからだ。やってみたかったからだ。これもうだいぶ温めてなんだから。
[00:20:18.314] [笑い]
[00:20:24.480] 笑笑。
[00:20:26.159] えっと、なん、なんてワイヤー操作についてワイヤーは縦よく斜めに投げることができ、え、段や床に当たると自動的に引っかかります。え、引っかかった、え、状態からもう
[00:20:36.080] 1
[00:20:36.159] 度ボタンを押すと縮みます。え、コントローラーの上や横しながらワイヤーボタン押すと、その方向に投げることができます。
[00:20:41.760] そうなゲームしてるの?今日で最後かもしれない。
[00:20:44.720] え、これさ、banされるのか?
[00:20:47.320] banされるか、これ。大丈夫だ。みんな、みんなやってるって言ってたもん。
[00:20:51.960] みんなやってるって言ってたもん。
[00:20:54.440] みんなやってるよって言ってた。だから大丈夫だよって言ってた。この辺りは基本中の基本。待って待って待って。なんか色々書かれてるんで斜め投げしゃがみ投げえ。
[00:21:03.509] [笑い]
[00:21:08.960] 上投げ、横投げ斜め投げしゃがみ投げ。この辺りは基本中の基本。この辺りで詰まづいてるよ。じゃこの後苦労するぞって書いてある。大きなお世話じゃ。なんでそんなこと言われなかんね。
[00:21:17.264] [笑い]
[00:21:20.120] 側じゃなくてチャットの方が危ないからんで。
[00:21:22.960] そんなこと言われなあかんねん、俺が。
[00:21:25.440] 煽られてるじゃん。
[00:21:26.480] 煽られてるんですけど。ちょっと難しいね。ま、ちょっと、ま、いいや。習うよりなれる。そう、これはね、みんなも気をつけてね、余計なこと言って
[00:21:38.880] banされないように。はい、よろしく。
[00:21:43.200] なんか薬進められる時みたいな感じなんだ。みんなやって言ってたもん。
[00:21:49.400] ひとラ。
[00:21:50.240] これや、これやるとパートナーになれるよ。笑。これやるとパートナーなれるてさう始めに伏せていかねえと。
[00:21:59.400] そうだよ。いい感じに。うん。
[00:22:07.520] バー諦めてなくて嬉しい。
[00:22:09.760] いやいや、ま、別にそんな別にそんな狙ってないですけどね。
[00:22:14.250] [笑い]
[00:22:15.440] なんかね、なんかね、BGMもなんかね、
[00:22:19.559] BGMもなんか不穏だよ、
[00:22:27.640] まず[笑い]
[00:22:30.440] ねえだろ。なんでっただけで死ぬんだよ。
[00:22:34.919] 笑
[00:22:38.279] てここから上行けないんか。ここから上
[00:22:41.279] 行かないのおかしいやん。
[00:22:44.360] え、
[00:22:44.720] スペですやん。
[00:22:48.000] あ、これ振り己中は的に。あ、なるほどな。振り己中は敵に当たってもいいんだ。はいはいはいはいはいはいはいはいはいはい。あ、でもなんとなく分かってきたかもな。なんとなく分かってきたかもな。なんとなく分かってきたもな。なんとなく分かってきたよ。もうあの状態になったらどうしようもねえだろ、これ。
[00:23:09.270] [笑い]
[00:23:14.919] 下た。笑笑。
[00:23:18.039] よ、このゲーム。おい、なんですか、これ?私がまた若かった頃に。そう
[00:23:26.720] だな。これおもろいや。
[00:23:28.240] 出会った1
[00:23:28.919] 人の男について語ろう。もうまじ出すな。ちょっと本気でやるよ。もう本気でやるよ。まずこの
[00:23:37.320] すぎだろ。
[00:23:38.520] 何回語るの?ちょ、あ、これ何回見られん?見させられんの?しかも洗脳されるくらい超かっこいいってツ回ってくる。全然かっこよくない。もういいって。これ死ぬにまずいマーク出るのおもろい。
[00:23:53.811] [笑い]
[00:23:56.520] ban
[00:23:56.799] されたくなかったら死ぬ死なない死なない道を選ぶしかない。ちょっとこれ思った。
[00:24:02.200] これだからできりゃできるだけ高いところを高いところを維持してもういいて。もうええよな。何なんだよ。
[00:24:12.151] [笑い]
[00:24:17.520] よくしてなりたい欲を煽るようにデザインしたらしい。お気づきましたね。
[00:24:27.520] 俺これ無理かもしれないぞ、これ。
[00:24:31.559] 笑笑もろすぎる
[00:24:35.240] だってさ、これさ、ちゃうの?これこうやって
[00:24:38.720] このあれなんだって?
[00:24:41.880] かなりわる。先見せてね。
[00:24:46.360] あ、これワンナップ絶対取ろうよ。ここで絶対ワンナップ取れねえ。
[00:24:52.600] どこに目指してくの?てっぺんと。てっぺん。てっぺんを目指してます。
[00:24:59.200] 目立つははるかいただき。この
[00:25:01.720] T
[00:25:01.840] イッチ会の鉄ぺじゃ。嘘。これどうやってさ
[00:25:10.240] おお。
[00:25:12.520] あ、あ、あ、あ。え、そういうこともできるんだ。
[00:25:14.760] れるよ、その。
[00:25:16.240] そういうことがもうできるんだ。もういいよ。な、何なんだよ、あいつ。
[00:25:20.272] [叫び声]
[00:25:25.240] 邪魔ゲームはさん、こんばんは。
[00:25:28.880] とても危ないタイトルのゲームをやっていきます。今日から今日からやっていきます。
[00:25:33.320] 賢くなった。すげえタイトルのゲームをでやる。
[00:25:37.302] [笑い]
[00:25:38.640] でもこれ天下のプラグマタと一緒のメーカーだからな。プラグマタとな世の中はディアナちゃん。ディアナちゃんですけど僕はもうひトらちゃんですからね。うん。あ、何ですか?ヒトらちゃんて誰だかわかんない。もうちょっとだめだよ、これ。ひとらちゃん。これ
[00:25:52.440] おい。
[00:25:53.279] これはひとらちゃんだよ。
[00:25:56.440] 笑笑。
[00:25:58.600] デヒトラデヒトラだよ。あ、ご間違えた。曲流し
[00:26:00.882] [笑い]
[00:26:06.120] ひ僕らちゃん可愛いね。笑笑
[00:26:10.039] もうちょっとこれ勘弁してく。これめっちゃむずいよ。めっちゃむずいよ。
[00:26:26.159] これほんまにこれ番になってもキックはやめてくれよな。恥ずかしいから。
[00:26:31.200] なんでなんでなんでなんでキック恥ずかしいんだよ。何キック恥ずかしいって。なんでキック恥ずかしいさんがご
[00:26:39.399] むにこんばんは。もう待ってこれちょっと
[00:26:46.200] くにありがとう。サブスクありがとう。いまいち操作わかんねえよこれ。
[00:26:57.880] グぐいもこさんがあ、サブスクありがと。みんなサブスクありがとう。
[00:27:04.840] パチパチパチパチサブスク。
[00:27:09.799] ここ入れたりしないかな?
[00:27:15.120] どういたしましとしてねえだろ。おあ、ちょっと待って。
[00:27:21.360] これな、ちょっと待れね、あの、あの自発的にどうしたらいい?
[00:27:26.159] 自発的にジャンプができねえのよ。バカ無じマジで。え、いや、これ慣れるの大変だぜ。
[00:27:40.399] あんま見ない操作やな。
[00:27:42.039] いや、マジでそうで、あれ取りてえよな。
[00:27:50.200] 大変だね。
[00:27:52.559] 大変だ、これ。え、待ってよ。これシャスよりむずいぞ、これ。うスより全然むずいぜ。
[00:27:55.509] [笑い]
[00:28:05.360] テンティン。触れたら即死。私がまだ、
[00:28:09.919] 私がまだ若かった頃にもうえって。
[00:28:21.039] あるわ。これ絶対俺が下手なんじゃねえから。俺が下手なんじゃねえよ。このゲームがむずいんだよ。
[00:28:30.159] 君の活躍に期待する。
[00:28:32.279] ありがとうございます。ありがとうございます。やっぱ褒めて褒めて伸ばすのいいよな。え、主人公って米軍なの?これ。
[00:28:41.200] これある程度進んでも多品だら最初からってこと?
[00:28:44.640] え、わかんない。
[00:28:45.120] これてかこれセーブ機能しかもゲームポーズしいや。セレクトだ。このゲームポーズしいな。セレクトボタンや。スタートボタン何にも効かねえんだ。きしいな。あ、ルみさんこんばんは。これ米軍なのかな?これストーリー。え、ちょっとストーリー読めないよ、これ。これ読めないんですね。だいぶ読めない単語がたくさん、
[00:28:49.219] [笑い]
[00:29:08.480] こいゲームやってますね。読めないとは。笑。
[00:29:12.080] ダブル
[00:29:12.720] 読めない単語だばっかり書いてあるよね。読めない単語ばっか書いたんだけど。
[00:29:14.765] [笑い]
[00:29:19.360] 読めない日本語危険所書物
[00:29:21.960] でも主人公は
[00:29:24.480] 素バイオニックコマンドか
[00:29:26.480] 主人公はえー
[00:29:30.320] 難しいってこと声に出すとやばいってこと書いてないんだよ。
[00:29:37.690] [笑い]
[00:29:39.640] え、主人公はわかあ、連邦、連邦軍とは読めないとか読んだら戦争起きるってことか。
[00:29:46.559] 連うん。いや、すごい簡単。カタカナなんだけどね。あ、あのね、カタカナなんだけどなぜか読めないっていう。
[00:29:52.440] このゲームで[笑い]
[00:29:53.360] 15分らしい。
[00:29:54.519] 早カタカナのはずなんだけどね。なんか読めないね。ただ
[00:30:05.360] は怖いから。ただただ
[00:30:08.159] ありそうつく。なるほど。
[00:30:12.279] 待って待って待って。どう?これどう取るんだ?これ違そうじゃないんだよ。あいつどうやっと?う。よしよしよしよし。うまい。ああ、危ね。よしよしよしよしよしよしよしよしよしよしよしよしよし。えー。
[00:30:29.435] [叫び声]
[00:30:35.880] あ、もうこれで、これライフ
[00:30:38.960] 1、ライフ
[00:30:41.360] 1じゃ、ちょっとよ。
[00:30:45.200] 笑笑。
[00:30:48.960] これまずい。
[00:30:51.360] ラ、
[00:30:51.880] 全くできる気がしないぞ。これ下手くそなんだよね。
[00:31:01.120] お前、おい、おまい。ほならね。
[00:31:04.799] ほならね、
[00:31:06.240] 自分がやってみろと。ほならね、ライフって本来
[00:31:10.480] 1個だから。ま、確かにな。確かに
[00:31:13.320] ほなら待てとできるよ。
[00:31:17.240] ほならね。あ、ね。
[00:31:18.679] サムネがつまらない。
[00:31:21.679] サムネがつまらない。何それ?
[00:31:23.801] [笑い]
[00:31:24.679] 何がやねん。なーちゃんこんばんは。あー、もうねえ、こんなあかんやんか。
[00:31:27.076] [叫び声]
[00:31:31.880] シムやろがい。
[00:31:33.880] あ、シャムか。ごめん。シャムネタごめん。俺も知らない。ごめん。ごめん。拾えなくてごめん。みんなのシャムネタ。長崎タイマの
[00:31:42.796] [音楽]
[00:31:45.600] サムネは過激だよ。
[00:31:49.200] 長崎の
[00:31:50.279] センサー。
[00:31:51.880] 今日ちょっと今日ミームセンサーが今日ミームセンサー不調。
[00:31:58.279] あいつじ、あいつ邪魔すぎんか?普通にエボ行って帰って邪魔見てるのいいしすぎるよ。
[00:32:07.039] あ、今日エボだったんだ。
[00:32:08.799] エボだったんだ。今日
[00:32:10.679] もうちょっと待ってこれめちょっとま、ちょ、ちょっと本気で行か。ちょっと本気で行きます。もうちょっと本気で。もう本気で行くからよろしく。もうちょ、あの、もうなんかさすがにもういいよね。
[00:32:25.880] 本気が見れるのか。
[00:32:27.000] うん。さすがにもういいよね。あの、もう、
[00:32:29.360] もういいよね。あの、最初失敗しまくって
[00:32:33.200] 最初なんかやっぱ最初はちょっとさ、うえ、なんでゲームってのもやっとかないと。やっとかないとじゃん。やっとかないとじゃん。やってきますわ。これがよく分かってない。これ何?たん、こんばんは。
[00:32:57.200] 慎重にな。
[00:32:59.919] 台本的に倒してるのでここから巻きでお願いします。
[00:33:05.159] 任せよ。
[00:33:07.159] あれ、どうやって取ったんだっけ、さっき
[00:33:08.120] 。あれ、どうやって取ったんだっけ、
[00:33:08.880] さっき。
[00:33:13.200] あれ、どうやってんだっけ?
[00:33:16.462] [音楽]
[00:33:18.840] あれ、どうやってとんだっけ?あれ、もう
[00:33:20.399] あれまずさ、この操作になれないとさ。
[00:33:28.399] いや、これほいえ、めっちゃむずいよ。
[00:33:37.919] ありそう。
[00:33:38.440] いや、多分ね、慣れたらおもろいんだろうな。震えるね。
[00:33:43.880] まあまあ見とけや。まあ見とけ。
[00:33:48.840] スパイダーマンにも見えてきた。マーベルにリメイクしてもらおう。
[00:33:54.799] マーベルもこの題材は扱えないだろ。
[00:33:58.559] この題材怖くてマーベルも無理だろ。ええ、なんかコツねえの?コツコツコツ教えてくれよ。
[00:34:11.440] ないの?これマーベルかけるさじ僕らこうでええ
[00:34:29.839] には消えてもらえばなんとか
[00:34:32.320] ひっくんっくんね。
[00:34:39.079] いや、でもこれね、あの、全然、あの、別
