[00:01:00.879] ウイ
[00:13:45.680] え、高明なんかコメントくそ短いだろ。
[00:13:50.639] いい、いいんだよ。別誰とかじゃねえよ。
[00:13:52.199] 誰とかじゃねえけどさ、さすがになんか
[00:13:54.720] 長い
[00:13:56.240] のあれがええやんていう話をしてんの。
[00:13:59.320] ていう話をしてんの
[00:14:01.880] 。野菜は美味しいから食べてんの。
[00:14:05.320] あれ1番の血げよ。それいんだ。だから
[00:14:09.880] おいそり俺、俺はいい決まってんだろ。俺
[00:14:12.480] の配信なんだ。質問。
[00:14:14.000] おい、もう、もうな、だるいよ。
[00:14:19.480] お前だるいよ。
[00:14:21.880] だいよ。
[00:14:23.959] そもそも普通に野菜は好きだからさ、いてもクソの役にもた。それを野菜とかを子供の頃嫌いだっただろうみたいなされたくない。もう
[00:14:38.680] 野菜を子供からたくさてむ。わかった。わかった。
[00:14:43.079] が好だった。それはってた肉が口に逃しまとな野菜を食べ。
[00:14:50.920] いや、マジで棒読み。これさ、マジでさ、マジでこの長いの消したい。
[00:14:56.360] んで消えのて。笑笑
[00:14:59.360] いや、今はまださ、そうさ、ま、言ってもさ、これネタだからいいし、許すし、です。
[00:15:04.399] あの、ネタだからいいし、俺もおいっていうさ、なんかそのやめろっていうなんかネタになるからいいんだけどさ、そのガチガチの時のさ、
[00:15:17.199] 知らんと、そう、そう、ガチの荒らしとか来たらさ、対処できなくなっちゃうじゃん。そ、その設定知ってる、知ってる。
[00:15:24.920] やってるんだけどなんか反映されないのよ
[00:15:26.720] 。なぜか俺の棒読みが。
[00:15:31.279] 前はなってたんだけどね。なんかね、
[00:15:33.319] アプデかなんかしたのかな?勝手に。勝手
[00:15:35.560] に行ったことないと思うんだけど。
[00:15:38.759] あとこのステージむず。あとこのステージ
[00:15:41.160] むずくね。
[00:15:47.079] これ多分なんかもう間違えてる気がするね
[00:15:49.199] 。うん。もうこれ間違えてるな。
[00:15:51.240] 一旦死にますわ。
[00:15:54.560] まずいバレた。誰もゲームの話してない。
[00:15:57.880] いいよ、別に。もう俺も求めてないよ。もう、もうね、もう私諦めました。誰も私のこと配信者として見てくれてないんだ。誰も私のこと女として見てくれてないんでしょ。
[00:16:11.639] ダブル
[00:16:12.959] もう抱いて欲しいなんて言わないわ。つもごめんね。
[00:16:19.560] え、
[00:16:20.600] 狙っちまった。
[00:16:23.240] えっと、
[00:16:25.240] 誰のめにもない。言われたことあるの?
[00:16:28.160] 何が何が何が何が言われたことねえよ。言われたことねえよ。
[00:16:33.600] 的なハンおるやん。
[00:16:35.040] 何?熱狂的なファン?熱狂的なファンいるんだよな。なんでハイピトレイン来たんだろう?ありがたいけど。
[00:16:46.319] 職場のおばちゃん、もう誰もセクハ。それはどうなんだ?されたらされたら騒ぐくせにな。今度されなかったらされなかったで。
[00:16:57.199] 笑。
[00:17:03.120] 最初に開ける場所分かったよ。俺
[00:17:05.199] 買われたの向こう側来た。
[00:17:08.919] 私たちは買われた。最初に開けんのここちゃ。
[00:17:14.760] ここなんちゃ。おお、危ない、危ない、危ない。こ
[00:17:26.640] イス。
[00:17:28.559] あ、今もこお疲れじゃん。いもこお疲れ。やっていく。やってちょ。や、もうそんなんあんやんか。
[00:17:42.280] ルナリー30ロット。
[00:17:44.440] 今のあかんやろ。え、今日は、今日っていうか、今日も出張だったけど、明日も長野に出張だから今日明日
[00:17:55.919] 6時起きなのね。だ今日マジもう
[00:17:58.000] 12
[00:17:58.200] 時で寝るからね。まお、それは行為的に受けとく。ありがとう。
[00:18:09.039] おつありがとう。おつあり。おつあり。長野明日長野。ああ。だ今日は新幹線だったからさ。
[00:18:21.600] たら会えるんです。
[00:18:22.280] 会える。会えるんじゃない?会えるんじゃない?
[00:18:29.080] え、来るの?
[00:18:30.960] え、行くよ。
[00:18:34.480] そのちゃんこんばんは。静
[00:18:36.320] そのちゃんこんばんは。自分で自分セルフ
[00:18:39.440] リア
[00:18:39.799] セルフ挨拶リア凸まリア凸ありありとかなしとかっていうか新幹線では
[00:18:46.840] いや車だよ明日だるくね
[00:18:50.159] え盗賊直線運動だ
[00:18:53.200] やば
[00:18:54.280] 長の車だ3時間だ3時間
[00:18:57.080] いやあと上司と
[00:19:01.840] あハお疲れじゃん上司と他の
[00:19:05.159] と
[00:19:07.159] 1番1
[00:19:07.880] 番ペの俺が運転だよ。だいよマジで往復
[00:19:11.520] 6時間だぜ。
[00:19:12.559] 連れてこうな
[00:19:13.799] んでだよ。に開けてく
[00:19:16.000] タフトなわけねえだろ。ありがとう。ま、会社のあれだけどな。タクトなわけねえだろ。車用者だよ。
[00:19:29.200] タバコ吸えなくてイライラ。
[00:19:30.720] いや、マジでそれなんだよ。
[00:19:34.200] 車両者何も言わねえよ。なのでもお前ら猫はホり俺の俺のあの個人情報を聞くな。なんかね、うちのね、チャンネルね、なんか聞いたら教えてくれるって思ってるやつが多い。普通そうな。教えないからね。聞いたら教えてもらえるみたいな。教えないからね、普通に。
[00:19:55.600] プロボックス
[00:19:56.760] ちげえ
[00:19:57.360] 全部まとめてwikペディデディ
[00:19:58.760] iaにしてほしい。
[00:19:59.679] いや、お前、チャマゲームウキあるけどね。チマゲームウキあるけどね。
[00:20:04.919] なるほど。今までの俺のさ、
[00:20:06.400] 個人情報に入らんから。
[00:20:08.280] 今までの今までの俺の今までの俺の振る舞いが悪かったね。もう教えないからね。もう臨罪。今俺の住所を知ってるやつ以外は教えない。もう、もう誰にも教えない。住所。もうなんか最初の方さ、なんか最初の方教え教えちゃったんだよ、いろんなやつに。
[00:20:26.679] なんか色々もらえるからなんか色々送るとかつってだからでもなんかそれも怖くなってきたから教えない。もうもう教えないからもうもうもうもうもうもう知らんてたじゃんか。
[00:20:38.960] うん。ま、もらた。もう教えない。
[00:20:40.760] 理由は怖いから。
[00:20:41.679] もう理由は怖いから。理由は怖いからの元ネタわかんない。
[00:20:45.159] こらに聞くわ。
[00:20:46.520] だめだめだよ。
[00:20:51.159] C国から謎の種
[00:20:53.480] 何?C国い。
[00:20:55.159] 謎の種教えんない。だめだよ。やめて。する。
[00:20:59.600] やめろ。
[00:21:00.880] お隣の国。
[00:21:03.200] お隣の国。これここと。ここ開けるべきじゃなかったかな?事務所に送るぞ。
[00:21:12.080] だめだよ。事務所とかないから。あ、ない。ない、ない、ない。事務所。
[00:21:16.640] これって行けなくない?
[00:21:30.520] 中国のCやで。
[00:21:31.960] ああ、なるほどね。あ、分かった。
[00:21:40.600] あ、これもうクリアできたんじゃない?これクリアできたくさくない?ここ開けていいんでしょ?ない。
[00:21:47.720] 来年のバレンタインを
[00:21:49.120] うるせえガキこら。
[00:21:50.640] そういえば今マップいくつあるの?
[00:21:52.960] 来年のバレンタイン送りたかったな。めもそんな女の子に言われたら教えちゃうよね。
[00:22:00.080] 国なのりな。
[00:22:01.440] 女の子に言われたら教えてもね。
[00:22:03.559] これ取れなくね?隣の国隣の何?国名乗りなとだってさ。そういえば今マップいくつ?え、今
[00:22:14.080] 38全半分ちょい。
[00:22:19.520] 階段途中できないんだっけ?
[00:22:22.279] 階段途中できるよ。
[00:22:23.480] テスラ送るから住所頼む。
[00:22:26.919] マジでマジで送れよ。じゃあ、
[00:22:41.120] 2000万くらい余裕よ。
[00:22:43.080] 本当かよ。じゃあテスラいらないから
[00:22:44.960] 2000
[00:22:45.200] 万くれよ。ねえ、これどうやってねえぞ。
[00:22:51.279] 誰かリスナーの名前いらねえよ。
[00:22:56.480] テスラカいらねえよ。
[00:22:57.919] 現金送るのは早らしいやん。
[00:22:59.679] なんでだよ。現金が一番嬉しいだろ。ここだからどっかでやっぱ掘んなきゃいけねえのかな。ここんのってどうなの?
[00:23:10.840] ほりほり
[00:23:11.520] わかんねえ。穴掘り大好きチャムゲームです。
[00:23:21.360] えっと、ま、まずほんなきゃいけないのは
[00:23:29.360] リバウンドした。
[00:23:31.880] リバウンドわかんない。してない。わかんない。ちょっと太ったように見える。ま、でも太、ちょっと太ったと思うよ。この
[00:23:44.320] 12週間で。12
[00:23:46.279] 週間でめっちゃ太ったと思う。1kg
[00:23:47.880] も太ってないだろうけど。
[00:23:51.440] うん。さすがに飲み会と打ち上げと
[00:23:54.159] が小さいね。や、これ別に
[00:23:56.880] 首とピっちりのせいかも。
[00:23:58.480] あ、そうか。確かにこれね、あのこないだ部屋掃除してゴールデンウィークで部屋掃除してたらあのあのひ前の家から引っ越してきて、まだ開けてなかったダンボールに入ってただ。初めて着るんだよね、これ。あ、なんか来てねえ。
[00:24:14.440] Tシャツ出てきたと思って。
[00:24:17.960] 何年も前に買ったんだけど全然忘れてた存在を。な
[00:24:23.880] んでそんなダボールが残ってるの?あのだから小
[00:24:27.919] あのね、わかんないと思うけど、このこの配信部屋のそこにね、押入れというかクローゼットみたいなのがあるんだよ。ちっちゃい。
[00:24:35.679] そこをもう引っ越してきた時にもうめんど
[00:24:38.880] くさくてダンボール何個かバババって詰め
[00:24:41.799] てもう閉めてもうその前にDJの卓を
[00:24:45.720] バーンと置いちゃったのね。だもうそこ
[00:24:47.799] もう怖いな。
[00:24:50.399] 怖いな。気持ち悪い。なんだそれ?
[00:24:54.880] そこをね5年5年ぶりぐらいに開けたんだ
[00:24:57.600] よ。5年ぶりぐらいに開けたの。そしたら
[00:25:01.679] いろんなもん出てきた。
[00:25:03.240] そんな大事なもん入ってないんかの間をもうその箱人生に必要ないってことだね。てよ。
[00:25:10.679] うん。もうだいぶ捨た。もう全部捨た。で、そこなんか空っぽにして
[00:25:15.200] 空っぽにしてあのあれ全部詰め込んだ。
[00:25:18.559] あれ全部詰め込んだ。夢全部詰め込んだ。
[00:25:27.440] あれ
[00:25:28.240] 夢ね。
[00:25:28.640] 寒ねえだろ。
[00:25:31.600] あるだろ。あるだろ。入りそう。
[00:25:33.720] あるだろ。あるだろ。夢詰め込める。いや、人全然入れるよ。
[00:25:42.480] 1人1人入れる。全然結構あの
[00:25:45.600] 1
[00:25:45.799] 畳ぐらいある。結構でかいあの収納スペースがさ、もう死にスペースになってたから
[00:25:51.440] 怖。
[00:25:52.679] 全部空っぽにして、全部空っぽにして、あのゲーム機の箱とかを全部詰め込んでパンパンにした。
[00:26:00.080] そしたらめっちゃ部屋広くなった。ま、
[00:26:02.559] お前らはこの部屋しか見たことないだろう
[00:26:04.000] けど、お前らには見せる義りもないかな。
[00:26:11.039] ていうか料理配信いつやんべ。なんかこの
[00:26:14.640] まんまやらなくなりそうな、このやらなく
[00:26:18.240] なりそうな流れるんだけど
[00:26:22.559] だからどうしようかな。料理配信行かな。
[00:26:25.080] 今週末やれメニュー
[00:26:26.880] 派も決めてねの前
[00:26:29.080] いやそうだね。
[00:26:29.559] もげに絶対やんな。きだけ集め
[00:26:33.240] さすがにブーイングがカジャンケジャン作ろう。
[00:26:39.279] なんだカジんケジャンって
[00:26:40.520] ポイント戻ってきてる?
[00:26:42.360] 戻ってきてないよ。何?何のポイント?いやだってコミュニティチャレンジャー戻ってこねえと。
[00:26:52.840] カジせう
[00:26:54.399] か。カジン。何?カジカジャンケジャン。
[00:27:07.480] え、
[00:27:13.960] 足りなくね?アイテム1個
[00:27:25.960] ここ行けないと話にならないんですけど。
[00:27:27.840] え、何?ここ。もう今日ほんまに時間ない
[00:27:31.279] んだからさ。
[00:27:33.679] サトクリアさ。今日と40は行こうぜ。
[00:27:38.159] 今日40は行かね
[00:27:43.000] なあ。
[00:27:48.279] こいつ使うんかな?どうにか
[00:27:52.080] いや、使うとじゃね?
[00:27:53.960] 飛ばしますか?
[00:27:55.440] 飛ばします。チナさんこんばんは。
[00:27:57.799] あ、むいちゃん、こんばんは。むいちゃん、こんばんは。やってますよ。やってますよ。飛ばする。じゃあ、飛ばする。今日
[00:28:05.000] 12時までに40行けるか?40
[00:28:06.799] 行けるか行けるとか来る。
[00:28:08.159] あ、やりますか。え、
[00:28:11.799] 40以上40以下。
[00:28:13.760] クリアするはどうすか?
[00:28:16.919] クリア数だからステージ
[00:28:19.159] 38でしょ?疲れ。40
[00:28:21.679] いけるか?40。
[00:28:24.519] 40クリア。
[00:28:25.919] いや、なんだな。ど、どうすればいい?
[00:28:32.919] 40以上クリア。40以上。
[00:28:35.919] 飛ばにならないよ。
[00:28:38.399] 40
[00:28:41.000] 無理やろ。ミングレイ。
[00:28:43.000] いや、わからんよ。
[00:28:45.760] 40以上40以下。
[00:28:47.360] クリアできる?できない?
[00:28:49.000] 40クリアするかどうか。
[00:28:51.080] 40クリアできるか?
[00:28:52.399] あ、4。あ、そっか。そっか。0時までに
[00:28:57.600] 何これ?知能テスト。
[00:29:11.720] ちょっと待って。
[00:29:16.760] 国語難しいね。
[00:29:18.640] 難しい国語。はい。
[00:29:23.799] いいかしろ。
[00:29:26.159] タイピングの鬼。
[00:29:29.240] タイピングの鬼。いや、ここ無よ。ここ無でよ。
[00:29:45.320] このステージがネックになりそうな。
[00:29:47.519] ここやばいね。ここやばいよね。
[00:29:51.000] 鬼の前痛嘘でしょ?え?前痛?え、
[00:29:57.720] 24万7000
[00:30:01.399] 25ねえのかよ。
[00:30:03.159] 24万7000
[00:30:07.399] 鬼の全突っぱや。ハチこんばんは。ハお疲れちゃん。
[00:30:11.880] 8
[00:30:12.080] お疲れむずいっすわ。今日と飛ばやってる。飛ばやってるよ。
[00:30:19.240] 0時までにステージ40
[00:30:20.799] までクリアできるか。今ステージ
[00:30:23.240] 38なのよ。
[00:30:26.519] なんか可愛い服着てるじゃん。
[00:30:30.519] 袖だけLGBT。
[00:30:32.919] その前取りに行くわ。
[00:30:35.120] 袖だけLGBTT
[00:30:36.880] シャツ。ここマジむずいんだけどね。こ
[00:30:43.200] 飛ば出ないな。
[00:30:44.399] え、飛ば出てるよ。え、あれ?あれしてみ。あの最読み込みしてみ。
[00:30:48.039] まだ5
[00:30:48.360] 分だから、まだ時間いっぱいあるよね。ここマジむずいんだけど。出た。び、こんばんは。ね、ここのここの弾ってどう取りますか?
[00:31:03.440] 来た。ウェイオ。
[00:31:06.760] お疲れちゃん。ここの弾どう?取る?やっぱやっぱこれ
[00:31:12.840] 最終のためにみんな死ね。
[00:31:17.320] なんかそっちの人に見えなくもない。
[00:31:19.399] 何そっちの人に見えなくもないって俺が。いや、なんかこれが
[00:31:24.760] 違う弾で代表できない。なさい。カールスミれ弾取るとか弾取らないとか
[00:31:31.799] 40
[00:31:32.200] は無理やろ。笑笑のくまさんだもんね。
[00:31:35.919] え、40いたて今38だからね。38
[00:31:40.159] だからね。違う。40ってあれだよ。40
[00:31:43.519] あれだよ。ステージ第40
[00:31:45.600] ステージ目をクリアできるか。だからね。行けるやろ。わか
[00:31:54.720] 髪型にしてるグブトの方結構いる。
[00:31:58.080] ま、いるよね。あのこういう髪型の
[00:32:00.960] LGBT
[00:32:01.519] いるよね。いや、いいんだけど別に。確かにそういう人いるよね。
[00:32:09.720] レフ。
[00:32:11.399] あ、そう。そういう、そ、そういう
[00:32:14.080] 邪魔ゲームみたいな髪型やな。来
[00:32:18.240] てる。今日はグブと、
[00:32:20.880] 今日はLGBT
[00:32:22.960] や、多様性の時代だからいいんだよ、別に。
[00:32:26.720] この髪型見るとチまゲーム思い出しちゃうからすごい。
[00:32:31.120] ま、本人はもうそんなそんな髪型じゃないんですけどね。もう本人はそんな髪型じゃないんですけど。
[00:32:35.639] 邪魔ゲームってそうなの?
[00:32:37.080] 邪魔ゲームってそうなの?そうなんだよって。
[00:32:43.200] えっと、男の好きなんだ。
[00:32:48.200] 男の子好き。あ、嘘。そうやって言うとなんか
[00:32:51.960] そうやって言うとなんか可能性があるって思うやつがいそうだから。てかいるから可能性があるって思うやつがいるから。若干若干
[00:33:00.080] 1人
[00:33:01.120] くまさん出てくるよ。
[00:33:03.960] 若干1名いるからな。
[00:33:07.120] ここのさあ、ここのさ、
[00:33:12.760] 男の子に好れるちゃ
[00:33:14.440] な。本当に
[00:33:15.720] 強心者もいますと
[00:33:17.960] なんかこれ違うと思う。ここか。これなんか違うと思うんだよな。
[00:33:23.679] のタイムラインにそういう漫画のシーンが流れてきてしかもパれんて名前結構エロ漫画で使われがちね。
[00:33:33.639] 笑い。
[00:33:34.559] レンって名前エロ漫画で使われがち。うん。俺は、俺は結構あのうん。嬉しいけど。移
[00:33:45.279] 入しまくりさん。
[00:33:46.159] うん。俺は結構嬉しいけど。うん。
[00:33:52.799] 少女漫画にもいがち
[00:33:54.080] いがちいがちで大体イケメンだからな。でんって名前は大体イケメン。
[00:34:02.200] 駆けしめ切ります。
[00:34:03.399] か駆けしめきりますよ。ありがとう。ナイス。いいね。ハス人気ネームだもん。
[00:34:07.840] かけしめきるよ。あと何秒?あと何秒?
[00:34:11.240] 主に7。
[00:34:12.119] あと何秒?あと何秒?もう終わるよ。もう終わるよ。影
[00:34:16.960] 54
[00:34:20.839] カンカンカン
[00:34:22.720] 頑張れ。
[00:34:23.280] じゃ、読み読み上げちゃおうかな。え、
[00:34:26.200] 0時までにステージ40
[00:34:27.440] クリアできるにかけてくれた方
[00:34:29.040] 10名いますね。はい。トップベターは
[00:34:30.639] 声優さんの7万77。いいですな。こちら
[00:34:34.320] が活動2.4倍なので大体15万ぐらい
[00:34:37.679] デバックです。え、対するできないにかけ
[00:34:40.240] てくれた方4名の方。え、トップベッター
[00:34:43.040] は、トップベッターは解散の24万
[00:34:46.399] 6608
[00:34:49.000] 全突っぱ
[00:34:53.560] これが勝つと1.7倍でポイント
[00:34:56.679] リターンリターン
[00:34:59.079] で1.7だからどんくらいだ万ぐらい35
[00:35:03.359] 万ぐらいバックか
[00:35:07.880] 男のかけ方してるね。全力で頑張れ。
[00:35:11.720] パチプロだ。パチプロ。
[00:35:14.320] つんまげの配信のかけだけ強い。猫全部消えたから
[00:35:18.480] VIップポイント返却お願いします。
[00:35:21.280] ビップのポイント返却するか迷ってんだよのゲームできるね。これが男の世界絶にたくない中さんの全突っぱ見た後だと位置にかけますよね。笑。
[00:35:35.200] だって美味しいもんな。
[00:35:36.839] みんなでこの中のポイントもらおうぜ。
[00:35:43.119] 全員敵で笑う。
[00:35:45.079] 俺これわかんね。
[00:35:48.240] 様負けろ。笑。
[00:35:50.280] 俺これわかんね。いや、ここ掘っていいんか?
[00:35:57.760] マげ頑張れよ。ミングレみんなの肉になる。超弱ゲームの
[00:36:03.520] 20万つ戻ってくん。
[00:36:05.599] そのうち。てみかんねえな。
[00:36:11.160] 様に負けていいの?
[00:36:12.480] 負けねえよ。だからクリアするてんだろ。うるせえ。
[00:36:14.760] 負けない。負けない。
[00:36:18.280] 負げない。負げない。負けない。自信があるから。
[00:36:22.640] 自信があるから。敵は中じゃない。ほれだ
[00:36:27.160] ね。
[00:36:27.520] ここって穴開けられないんですか?つんまげ信じてるぞ。セームスゴッド。そこ通るだけだよ。今日田中シングルないんですか?
[00:36:44.880] ああ、分かった。ここだよ。ここ、ここ、ここです。ここ、ここ。
[00:36:56.480] もうクリアするわ。もう見えた。もう勝ち筋見えた。
[00:37:00.520] コメント来ます。妹
[00:37:03.839] もいますと。
