[00:00:22.800] ぐーぐい。お疲れ。
[00:09:32.000] 星座星座待機。全裸待機。いやあ、楽しみだな。
[00:09:36.200] もう始まるんじゃない?そろそろ。
[00:09:39.720] ドラゴンクエストさん
[00:09:41.279] 3D。
[00:09:41.839] いや、それはさすがにねえと思うよ。さすがにないんじゃないかな。
[00:09:44.680] 3、1ツ3
[00:09:45.399] はもうとりあえずリメイクはないと思う。もう、もうだいぶやったからな。まあ、天空ワン天空は望みだと思うな。嬉しいけどね、来たら。でも天空やっちゃったらだってもうここ向こう何年かかんのよって話じゃない?それともう全部作ってあってとかだったら激だけど。ま、そんなことはねえだろうな。
[00:10:04.320] 来たら嬉しい。
[00:10:04.959] 来たら嬉しいね。来たらめっちゃ嬉しい。来たらめっちゃ嬉しい。モンスターズとかもお知らせはないの?
[00:10:09.959] めからのお知らせはないです。ちめに君たちに何も知らせることは何もない。よし来るぞ。マジで来るぞ。もう
[00:10:11.777] [笑い]
[00:10:18.720] 1人がありメイク
[00:10:20.360] ドラック関係ない。それドラック関係ない。
[00:10:23.560] 来るぞ。来るぞ。来る。
[00:10:24.560] ああ、やばい。ドキドキしてきた。いやあ、楽しみや。来るぞ。
[00:10:31.760] この静寂しもう高評価もしとこう。もう高評価。いや、
[00:10:33.392] [笑い]
[00:10:39.680] ちょっと待って。
[00:10:40.399] ちょっと待ってです。本当に
[00:10:42.519] ちょっと待って。来る、来る。もう来るぞ。
[00:10:46.079] え、来ないな。更新してみる。あ、来ないね。あ、来た。あ、え、何これ?え、何?音でか。
[00:10:59.360] 全然ドラクエなくない?え、ここだわってほしい。ここポケモンみてにこだわって欲しい。誰これ?全然ドラクえ、動画間違ってねえよな。
[00:11:01.557] [笑い]
[00:11:10.079] だ、誰?
[00:11:11.000] 動画間違ってねえよな。
[00:11:12.040] な、ブりの新作ですか?
[00:11:14.399] ポケモンみたい。ここ、ここだわってよ。ここだわってよ。全然ドラクエないじゃん。え、
[00:11:21.279] いや、これ12の跡ないか。
[00:11:23.200] え、これドラクエ12?
[00:11:24.880] 嘘でしょ?ここドラクエ[笑い]
[00:11:27.680] 12?
[00:11:28.760] これま、鳥山明先生なくなったからとはいえさすがにさすがに
[00:11:35.240] これ伏線です。
[00:11:36.600] 嘘だろ?ああ、あ、あれ、これあれじゃね?もうくんの墓じゃね?もうくんの墓じゃね?もうくんの墓
[00:11:43.800] な。なんなのこれ?もうんこみたいな墓。もうくな。何なんだこの映像は。
[00:11:44.788] [笑い]
[00:11:54.800] まだつぼみ。
[00:11:56.578] [笑い]
[00:11:57.240] この世界観でドラクエ12
[00:11:58.959] でって言われたらびっくりしちゃうな。ここちょっとこだわって欲しかったな。まあまあまあまま。それはいいとして。たぬきちゃんこんばんは。たぬきちゃんこんばんは。やべえぞ。来るぜ。
[00:12:12.600] 鉄オの考察楽し。
[00:12:14.040] 鉄オの考察。ここは考察してほしいね。
[00:12:18.040] これはドラクエ12
[00:12:19.360] のモンスターなのかな?何なんだよこれ。なんでまあまあでもまあまあまあやべ。あと
[00:12:25.720] 20
[00:12:26.000] 秒来るよ。音大丈夫?みんな音大丈夫?音大丈夫か?ま、都ど、都どやっていく。く、
[00:12:35.760] オッケー。ゆく来る
[00:12:37.959] 来る。
[00:12:42.160] 4321
[00:12:46.600] 誰?誰なんだ?一体一体わけ来るよ。
[00:12:52.519] だ誰?
[00:12:55.240] お、音ちょっとあげよう。音ちょっとあげようか。あ、おね。同じ人形ある。同じ人形あるうちに。あれゲセのやつだろあれ。
[00:13:05.519] はあ。可愛い。
[00:13:07.040] 来るよ。
[00:13:09.440] 音ちょっとちっちゃい。ドラクエ1
[00:13:11.240] 頼む。
[00:13:13.720] ちょっと音大きめ。ドラク
[00:13:15.639] 1ね。ドラけ1ね。ええ。
[00:13:18.560] 2ね。2ね。ドラク2
[00:13:20.720] ね。最高。大好き。大好き。ドラク
[00:13:23.920] 2大好き。はい。はい。
[00:13:25.920] 3。はい。3
[00:13:26.880] ね。はい。これも神。これも神です。これも神。はい。最近上がっきてる。はい。はい。クエ
[00:13:32.880] 4。ドラクエ41番好き。ドラクエの中で
[00:13:35.360] 1番好き。箱も。この主人公かっこすぎ。
[00:13:38.519] 主人公かっこすぎね。はい。ドラクエ5
[00:13:40.639] はい。1番好き。ドラクエ5も1番好き。
[00:13:43.399] あ、パパス可愛い。最高。1番好き。
[00:13:45.920] ドラクエ1番好き。はい、ドラクエ6ね。
[00:13:48.639] ドラクエ61番好き。はい。1番好きです
[00:13:51.120] 。あれタラタラ。え、ドラクエ。え、次、
[00:13:55.240] 次。ドラクエセ。ドラクエドラクエ7ね。
[00:13:57.759] はい。ドラクエ7。はい。1番好き。1番
[00:14:00.040] 好き。えっとドラクエ71番好き。うん。
[00:14:02.759] 1番好き。リメイクにめっちゃ良かった。
[00:14:04.440] えっとセブンえ8エ。あれ?8ドラク8ね
[00:14:07.720] 。ドラク8。プレステ2版持ってない。
[00:14:09.399] ちょ、プレステ2版持ってなかった。1番
[00:14:11.160] 好き。1番好き。ドラクエ9ね。ドラクエ
[00:14:13.839] あれドラクエ9はドラクエ9。はい。1番
[00:14:15.920] 好き。これぶっちゃけ1番やった。これ
[00:14:18.160] が子供の時1番やった。はい。ドラクXは
[00:14:20.519] やってません。これはあんま好きじゃない
[00:14:22.920] 。やったことないん。[笑い]
[00:14:25.720] はい。ドラク11来るよ。はい。1番好き
[00:14:27.759] 。1番好き、1番好き。1番好きです。
[00:14:30.519] 1番神。これはもう古虫とかいうのない。
[00:14:35.360] 1
[00:14:35.519] 番好き。ああ、もうシェルビア神。はい。最高。最高です。
[00:14:42.079] 内容分かってたんか?
[00:14:43.759] 最高です。何が分かってた?何が内容分かってましたかな?来るよ。
[00:14:50.279] 来る。
[00:14:50.720] あ、ピエルいいね。ボぽボ。俺ドラクエ
[00:14:52.120] [音楽]
[00:14:58.639] X
[00:14:58.880] オフラインやろっかな。じゃあオフライン。もやさんこんばんは。来るよ。おめでとう。
[00:15:04.565] [叫び声]
[00:15:05.519] ありがとう。ありがとう。ドラゴンクエストおめでとう。本当におめでとうございます。
[00:15:10.880] パチパチパチパチパチパねなんでこれねん。韓国語の字幕なんでこれ何やだなんで。
[00:15:19.480] どうもゲームの堀裕です。
[00:15:22.519] おめでとうございます。いつもになってます。
[00:15:24.160] 本の今日本当にちょよ
[00:15:26.600] シリーズ1作目のクエストがホちよ
[00:15:31.319] 年間シリーズを愛してくださったファンの皆様のおかげでこの日を迎えることができました。
[00:15:37.279] 本当おめでとうござい本当におめでとう。
[00:15:38.480] 本当にありがとうございます。
[00:15:40.160] 本当におめでとうございます。
[00:15:42.399] これほどまで長く続けられたのは
[00:15:45.880] ずっと遊んでくれたファンの皆さんやね。
[00:15:48.399] そして
[00:15:49.560] させてくれたスタッフたちのおかげです。感謝の言葉しかありません。
[00:15:53.800] これからこれからこれからも支えます。
[00:15:57.079] 髪型本であればこれ意味
[00:16:01.040] 40年の歩みをですねと
[00:16:03.240] 1時間
[00:16:04.560] やってよ。それやってよ。俺これ
[00:16:07.000] 10
[00:16:07.240] 分の後にバニーガーでやんなきゃいけねだぞ。していたドラゴンについて。
[00:16:10.721] [笑い]
[00:16:11.800] 今日バニーガーできるかな?俺
[00:16:15.079] ドラゴンクエスト12は
[00:16:16.880] 現在もを続けています。
[00:16:18.480] まではい。大丈夫ですよ。分かってます。それは
[00:16:20.399] 開発体制をらした。
[00:16:22.839] らしいよね。
[00:16:23.480] 発売まではもういいや。めっちゃかった。めっちゃ良かった。りんちゃんのやつね。
[00:16:28.079] 本当だよ。
[00:16:29.120] 当初開発していたドラゴンクエスト
[00:16:31.319] 12部選ばれ運命のは
[00:16:34.079] シリーズの最新作として様々なチャレンジを続けてきました。その中でポリーさんと話し合いを重ねてドラゴンクエストのナンバリング作品がどうあるべきかを突き詰めていた。
[00:16:46.319] だからドラゴン
[00:16:47.720] だってドラゴンクエスト
[00:16:48.959] 12作るよって言った後にさ
[00:16:52.360] ねあの
[00:16:53.160] とても大変な決断ではありました
[00:16:54.839] 鳥山先生もなくなっちゃったしさもなくなっちゃったから多分それもあるんだと思うんだよね
[00:17:05.319] ドラゴンクエスト12は
[00:17:07.079] サブタイトルやロゴ
[00:17:08.000] サブタイトルも変わった
[00:17:09.559] 選ばれし運命の炎じゃないの
[00:17:11.600] 本日は開発中の映像をご用意しましたの
[00:17:15.760] こうやっぱだから
[00:17:17.000] ご覧ください。
[00:17:17.959] やっ
[00:17:20.839] お映像。
[00:17:25.720] おお、画質いい。うわあ。でもドラクエだね。うわ、ガついうわ。しかもこの路線だ。やっぱりドラクエ
[00:17:31.942] [叫び声]
[00:17:40.080] 11路線だ。いいね。
[00:17:43.039] いいね。
[00:17:45.559] え、え、え、え、えー、まさかのこえ、こんな髪型で行くの?うわ、
[00:17:49.627] [笑い]
[00:17:59.760] パツ。うん。俺と女じゃないか、髪型が。
[00:18:03.760] おお。え、
[00:18:05.679] 何それ?あ、いい。
[00:18:12.240] え、何今の?ないね。[笑い]
[00:18:16.482] [音楽]
[00:18:20.400] うわ、何?何?何?
[00:18:23.880] ちょっと黒トリッぽさも。[音楽]
[00:18:28.919] あ、ちょっとずれてる。あ、何?夢のかれ?素晴らしい。
[00:18:34.822] [笑い]
[00:18:36.132] [拍手]
[00:18:39.960] 素晴らしいタイトル
[00:18:41.919] というわけでドラトル[拍手]
[00:18:46.280] この度初公開です。わあ、
[00:18:48.577] [拍手]
[00:18:50.480] 素晴らしいね。ましたね。
[00:18:52.480] 素晴らしいね。
[00:18:53.840] ホリーさん
[00:18:55.360] 少しだけでいいんで。素晴しい。
[00:18:58.880] パチパチパチパ。
[00:18:59.919] そうですね。神サブタイトルやん。
[00:19:02.600] 今回は不思議な夢が見えてしまう主人公の冒険を描いた物語です。
[00:19:08.240] へえ。
[00:19:08.840] ええ、なんか、なんかでもやっぱりは
[00:19:12.480] うん。
[00:19:12.960] きっとダークではなくて
[00:19:14.880] あ、
[00:19:15.280] 明るくワクワクするような世界が広がっている。
[00:19:18.039] そっちに行ったんだ。やっぱね。
[00:19:19.880] 発表した部から変わりましたが
[00:19:22.440] いや、ドラクエはそうよと思います。
[00:19:24.600] ドラクエはそれでいいんよ。
[00:19:26.280] めちゃくちゃ楽しいお話になったんですけど、今話しちゃうとちょっと怒られるかもしれないんで、私からはこのぐらいにしときます。はい。
[00:19:34.280] はい。
[00:19:35.480] そして今作も先生のキャラクターと杉山先生の音楽と共にお届けしますよ。まだまだ同じ戦ですが今日ここまで
[00:19:46.960] 非常に良い出来になると思いますので続報楽しみに待っていてくださいね。
[00:19:51.760] これあ
[00:19:52.840] とさん発売ありがとうございます。
[00:19:56.600] 今日お伝えしたのはほんの少しですが、今までのシリーズにはなかった要素も取り入れ、え、もう
[00:20:01.960] 10
[00:20:02.360] 進化したドラゴンクエストとして頑張って開発を進めています。
[00:20:06.200] もう10本ある。
[00:20:07.039] ご期待ください。
[00:20:10.600] そんなわけですが、
[00:20:11.799] え、なん、
[00:20:12.400] ああ、あって、それあるわ。それありますよ。
[00:20:17.120] 多分こっちが先に出ると思いますよ。
[00:20:19.360] ああ、それは映像。
[00:20:21.320] え、なんだろうな。なんだろうな。ケクリメイクかないんか。
[00:20:22.244] [笑い]
[00:20:25.320] え、なんだろう?
[00:20:31.200] キャラバンよ。
[00:20:32.600] キャラウクうく。
[00:20:35.159] なんやろね。スマホゲーだったらちょっと萎えるな。え、ワタボ?え、何?モンスターズだ。
[00:20:51.400] ガガガガガガガガガガルルえー最高じゃん。最高よ誰だ?う、ジない?早ないやば。
[00:21:00.889] [叫び声]
[00:21:17.264] [笑い]
[00:21:20.539] [叫び声]
[00:21:21.520] 嘘。あ。
[00:21:26.600] ええかいい。熱い。[叫び声]
[00:21:35.919] 用意お。
[00:21:37.760] ピサロ座なるか。好き。
[00:21:42.360] あ、え、早。え、早。えー、早いよ。
[00:21:46.085] [笑い]
[00:21:49.480] 早いよ。え、終わり?終わっちゃった。
[00:21:58.760] やばいな。
[00:22:02.080] ちょっと
[00:22:03.480] さきっちょだけだった。お疲れ様でした。
[00:22:07.840] あ、桜井正のゲーム作るにはなっちゃう。
[00:22:10.159] モンスターよりアクロ育てたい。
[00:22:13.760] いやあ、でよ。が先か。
[00:22:22.110] [笑い]
[00:22:24.679] うーん。なるほどな。ああ、そうか。ま、多分出るのは今年は何も出なそうだな。
[00:22:35.720] なんかあの感じだと多分あの映像だけだってことは多分まあと
[00:22:37.175] [笑い]
[00:22:42.880] 2年ないし
[00:22:44.799] 3年な[笑い]
[00:22:47.200] まあまあまあまあまあいいでしょうなあいやでもすごい楽しみだね
[00:22:55.799] りましたなそんな冬ばさんこんばんは
[00:23:02.440] いやそうだろうね今までのドラクエ
[00:23:05.120] の感じすると、あのちょい出しは多分、
[00:23:08.679] 制作決定ぐらいの感じだと思うんだよね。
[00:23:11.640] いや、待って、ちょっと俺ね、
[00:23:12.919] モンスターズ4、ビアンカとフローラの
[00:23:15.159] やつめっちゃすげえいいなと思ったけど、
[00:23:17.840] ちょっと怖いのがちょっと怖いのが
[00:23:22.039] スリ、あのさ、モンスターズ3
[00:23:23.919] のさピサロみたいな感じでさ、ドラクエ5
[00:23:27.400] 本編サロ、
[00:23:29.200] ドラクエ5本編
[00:23:31.919] 直回出さないでのは若干。
[00:23:34.400] ぶっちゃけな、ぶっちゃけな。こんなんなんかマイナスなことあんま言いたくないんだけど、ま、ドラク
[00:23:38.240] 5
[00:23:38.600] のなんかそれはやんないでいいよね。それはやんないでいいよね。ぶっちゃけその過去のだったらいいんだよ。だから
[00:23:45.039] リメイクシリーズなかった。
[00:23:46.880] まあ、ま、ないね。ないね。なかったね。ま、それはさすがにだって無理よ。机に今のスクエにはそんなスピード感はないだろうから。ああ、そうか。モンスターズ
[00:23:57.919] 4か。でもさ、
[00:23:59.279] のやつ評判です。
[00:24:00.679] あれはね、なんであれかっていうと、ドラクエ
[00:24:02.720] 4のなんて言うのかな?ドラクエ
[00:24:05.120] 4
[00:24:05.279] の前日端とかだったらめっちゃ良かったのに、ドラクエ
[00:24:07.760] 4
[00:24:08.080] 本編にぶつけちゃって実はこんなストーリーだったんですよみたいな感じでやっちゃったんだけど結局ドラク
[00:24:13.559] 4本編と矛盾がありすぎて
[00:24:16.720] ファンからしたらやいやそれ全然話ちゃいますやんていう
[00:24:20.960] 大変はちょっと良くないな。開変しないで欲しいですよね。そうそうそう。
[00:24:25.360] ドラクエ4のあのだ勇者たちも出てくるん
[00:24:28.360] だけど結局その裏で実はピサロはこんな
[00:24:31.039] ことしてましたみたいなこと言ってんだ
[00:24:32.200] けど全然ドラクエ4のピサロ違うことやっ
[00:24:34.240] てんのよ。だからなんかねちょっと改変は
[00:24:37.120] しない方がいいんじゃないのかなって。
[00:24:38.399] からロケ5、ま、子供地帯だから多分前日
[00:24:41.080] とかみたいになるからぶっちゃけそっちは
[00:24:42.840] もうさ、どういう風に作ったって別にその
[00:24:44.679] 俺たちの知り得ないところだからいいと
[00:24:46.080] 思うんだけどでもさ、枯の国ってことはさ
[00:24:48.960] 、
[00:24:50.520] あの大児の国と同じ世界観なのかね。
[00:24:52.720] やっぱり綿タボも出てたし。あのテリワと
[00:24:56.000] 同じ世界観ってことだ。多分な。枯の国
[00:24:57.919] ってあったよね。
[00:25:02.480] そうか。でもおもろそうやな。まさかの
[00:25:06.880] ビアンカフローラですか。うーん。なんか
[00:25:10.159] モンスターズはこれからそうなっていくの
[00:25:11.799] かもしんないね。なんかモンスターズは
[00:25:13.559] これからなんかそういうちょっと怖いけど
[00:25:17.159] そういうなんか本編のま、元から
[00:25:19.399] ねモンスターズの主人公は本編の
[00:25:22.000] キャラクターの決まってるけどまあ
[00:25:23.960] ジョーカー以外はね。
[00:25:26.520] まだからそういう風になってくのかもな。
[00:25:28.520] もしかしたら。うん。なるほどな。しかし
[00:25:31.880] 11発売9年経って作り直し決定。
[00:25:35.279] いや、まあね、まあね。ミちゃんこんばんは。確かにね。こんばんは。え、遅いよ。もう終わっちゃったよ。もう終わっちゃったよ。
[00:25:44.640] これだけマジで?
[00:25:46.200] マジこれだけだね。これだけだったなあ。いや、まあでもま、じゃあ山杉山いないしね。
[00:25:54.799] そうなんだよね。そうなんだよね。
[00:25:56.279] ま、だからドラク
[00:25:58.919] 2、ドラク12作り直しなの、ま、お
[00:26:02.240] 2
[00:26:02.320] 人がなくなっちゃったからってのももしかしたらあんのかもしんないね。あんのかもしんない。その最後の作をさ、ダークな感じでちょっとさ、飛び道具路線で行くよりも最後の作んだから、もう今まで通りドラクエらしい明るいストーリーにしようよみたい。ごめんなっちゃった。あの、いや、マジであるぞ。マジであるぞ。
[00:26:21.240] マジであるぞ。マジでまだまだ出ないと思う。
[00:26:24.520] いつから作り直ししてるかだよね。か言って適当な作りにして欲しくないし。ま、待ちますよ、僕は。僕は待ちますよ。僕は待ちます。
[00:26:34.320] スとちさんで出たら笑う。
[00:26:36.039] スイッチ3があるかわかんないけどな。
[00:26:37.679] ch3
[00:26:38.039] もわかんないけど。そうか。ま、もうちょっとなんかその目先の餌欲しかったけどね。なんかとりあえず今年の冬ぐらいにこれ出しますみたいな。ちょっと欲しかったけどね。
[00:26:41.493] [ため息]
[00:26:47.388] [笑い]
[00:26:53.760] まだまだ多分何もないだろうな。この調子だと
[00:26:56.600] 今年1個欲しかった。
[00:26:57.720] なんか欲しかったね。モンスターズが先って言ってた。モンスターズが先って言ってたけど結構ドラクエモンスターズ
[00:27:06.640] 3
[00:27:07.039] あのピサロのやつ出来があんま良くなかったからね。
[00:27:10.880] 天空で埋めて欲しかった。
[00:27:13.000] 天空リメイクは無理よ。ドラク年出たからもうないかな。年明けモンスターズかな。
[00:27:18.600] 年明けもないと思うよ。
[00:27:20.120] 来年冬とかじゃない。[鼻息]だって
[00:27:22.640] ドラクエモンスターズ3だってさ、1番
[00:27:25.320] 最初に発表されたのはもう2年、もう
[00:27:27.360] ドラクエ3がモンスター3が出る23年前
[00:27:30.000] だったもんな。最初はだってさ、あの
[00:27:32.880] ドラク11のあのなんだっけ?
[00:27:34.240] ああ主人公って言われたんだもん。神が
[00:27:36.919] 主人公とかって言われて
[00:27:38.360] で結局そうじゃなくなってなんかトレジャーズになってるってあったやんけ。
[00:27:42.760] まあったな。ドラク
[00:27:44.279] 11のchが出るらしいね。まも
[00:27:46.760] ぶっちゃけ今はな、
[00:27:50.399] 一応全ハードマルチャがそこで売上期待。
[00:27:52.440] うん。まあね。まあね。まあな。
[00:27:59.000] ちょっと40周年にしてはだいぶライトな
[00:28:02.320] 感じだね。
[00:28:05.559] ま、スクエしそう
[00:28:08.000] 。スクエニの
[00:28:11.159] マスクエにおせえからな。本当に[鼻息]
[00:28:15.640] この映像もかなり今回にどうにか
[00:28:18.480] 間に合わせましたみたいな感じだもんな。
[00:28:21.960] まあでもましゃあなわな。僕たちは文句
[00:28:26.720] 言いながら待し続けるしかないっすわな。
[00:28:29.000] 餌ぶら下げられたんでもだいぶ遠いとこに
[00:28:31.960] あるけどな。だいぶ遠いとこにある餌
[00:28:34.279] ぶら下げられちゃったんで
[00:28:35.840] 待ちますよ。待ちますよ。何年でも。
[00:28:38.840] 裕ジがだから本当に体が心配だよ。裕ジの発売きる勝てよ。本当にドラクエ本当にな。
[00:28:46.480] ま、そんな感じでございます。え、楽しみですわな。
[00:28:49.480] 投入2028年以降だしな。
[00:28:52.080] あ、そうなんだ。まあ
[00:28:53.960] 匂いもかけがいくらい遠い餌。ま、いつまでも待つわ。
[00:28:58.000] 待ちますわな。私待つわ。
[00:29:03.159] さ、バニガネやろっか。
[00:29:04.940] [笑い]
[00:29:05.960] さ、みんなバニーガーデンやるよ。でもさ、バニーガーデンのドラクエの祝福の映像見た。映像ってか、あの絵見た。あれめっちゃ良かったな。りんちゃんの危ない水着。しかもあれ
[00:29:18.559] MSX2バージョンで見れるさ。
[00:29:20.760] そんなものが
[00:29:21.640] そうあるのよ。ドラクエ、あ、あのバニーガーデンの開発のキュリエイトっていうところがドラク
[00:29:26.200] 40
[00:29:26.480] 周年ってツイートしてたんだよ。りんちゃんが危ない水着来てんの。
[00:29:29.320] で、しかもあれ分かってんのがさ、開発人
[00:29:32.080] なかなか分かってんのがさ、あのMSX2
[00:29:34.799] 番のみで見れるあのプリンのあのプリンの
[00:29:38.240] ぷニとあの女の子の女の子の姫の危ない
[00:29:41.039] 水着を着ると1枚が出るのよ。MSX2版
[00:29:43.679] だけ危ない水着のそれの絵のリブートなん
[00:29:47.039] だよ。分かってるなと思って。
[00:29:50.640] 素晴らしい。あれ良かったとこではいや
[00:29:54.960] 。あれか。笑。
[00:29:56.159] や、やっていく。
[00:29:57.760] 見たけどめっちゃ良い。
[00:29:59.240] めっちゃいいよね。ちゃんと元ネタ分かってやってんのがいいんだよ。しかもそのりんちゃんの絵の下にさ、あのおいで坊やみたいなさ、おいで坊やみたいな文字書いてあんじゃん。あれドラクエ
[00:30:10.200] 2の、あのドラクエ2
[00:30:11.600] のフォントなの?ちゃんとそのまま。ドラクエ
[00:30:13.640] 2
[00:30:13.919] って容量の関係で、あのひらがのリとカタカナのリがあの一緒な、あの共容なんだけどちゃんとりんちゃんのリがひがのりになって素晴らしい。
[00:30:23.120] よう分かってるわ。ようわかってる。ということで、ということでバニーガン通行きます。よろしく。バニガやるよ。
[00:30:36.799] むく
[00:30:38.039] むく。
[00:30:38.840] キュリエイト。
[00:30:39.919] クリエイトやっていきます。
[00:30:45.519] バニーガーデン2。
[00:30:47.000] はい。やる。ドラックエの熱もサメやらぬ中やる。やっていく。
[00:30:57.639] はい。
[00:30:59.799] ああ、これもそろそろクリアしてんだけど
