[00:00:50.559] うしゃっす。
[00:15:52.079] が松晴らしに求めたのはスンクを伸ばすこと。
[00:15:55.680] ふーん。
[00:15:56.319] ふで稼げなくなってきたからで稼ぐために。
[00:16:00.519] へえ。あ、そうなんだ。宝って
[00:16:03.480] SNK
[00:16:04.040] なんだな。なかなか昨さレ中東のキャラがバカ強いとかはないのが良き。
[00:16:12.839] うーん。
[00:16:16.319] モジュールも高いの?
[00:16:17.839] モジュールも高い。モジュールも
[00:16:19.800] 2万ぐらいするね。日本で買うと。
[00:16:22.959] 確かに64は確かに64
[00:16:24.680] のモジュールは欲しいな。すげ
[00:16:27.839] さ。もうロジフルも2万するんだぞ。1
[00:16:30.079] 個フルセットで
[00:16:33.199] 14万ぐらいしちゃうわ。多分な。
[00:16:34.959] 64ありだな。
[00:16:36.199] 64ありだよね。64
[00:16:37.600] 水出し環境ないもんね。俺水出し環境はあるけどさ、
[00:16:41.519] MUじゃないとできねえからさ。M
[00:16:43.040] あんまポリメガもエなんだけど。うわ、なんかね、なんかさ、ちょっと今画面おかしなった。なんか今画面おかしだった。
[00:16:56.399] ただ全部集約できたら超楽だよな。確かに
[00:17:03.959] 64
[00:17:05.120] もう500か。早いな。
[00:17:06.880] 早いね。ここマジで超いいよね。ここね。
[00:17:10.959] 64
[00:17:11.400] のモジュールだけでもいいから俺、俺も迷ってんだよ。買うか。欲しいな。
[00:17:15.079] 64
[00:17:15.439] のモジュール。多分モジュールはこれからどんどん増えてくろうな。ゲームボーイとか来たら最高だよな。
[00:17:22.400] それこそさ、あの、あれいらないもんな。
[00:17:24.959] レトロフリークいらなくなるよな。
[00:17:30.160] ま、ぶっちゃけ全部そこに集約できんのが
[00:17:32.480] 一番楽なんだよな。配信するにおいても
[00:17:35.160] めちゃめちゃ楽になる。本当に。だって
[00:17:37.480] ゲーム機それ1個でいいんだもんね。なん
[00:17:39.840] か待って。え、待って。
[00:17:42.320] え、なんか、え、これ何な?な、なんかさ
[00:17:45.520] 、止まるんだけど画面が。
[00:17:47.160] これは何のやつ?どっちの話?どっちの話?あのゲームの方が調子悪いのか?ちょっと
[00:17:53.720] 1
[00:17:53.840] 回さ、あれ抜くね?あのこのなんだっけ?あのキャプチャーボード抜くわ。なんだろうな。
[00:18:05.080] 配信止むとよね。一瞬
[00:18:06.960] 配信っていうか多分このゲームが止まった。
[00:18:10.960] いやMSX
[00:18:11.919] の不調じゃない。ない方がありがたい。なんか
[00:18:14.240] MSXの不調だったと困るな。
[00:18:17.120] 多分あのな、多分ね、俺あれ配信外で
[00:18:19.720] ずっとパソコンつけたまんま、あの今日
[00:18:22.480] なんかあの洗濯物干したりしてる間とか
[00:18:25.000] 風呂風呂にお湯貯めてる間とかになんか
[00:18:27.480] ちょっとずつお金ずっと試してたよ。
[00:18:28.840] ペテリこんばんは。でずっとけっぱだった
[00:18:30.480] から多分多分それのせいだと思うんだよね
[00:18:32.720] 。これでその金試してたんだ。1日
[00:18:34.480] ちょっとずつ。ちょっとずつ試してたんだ
[00:18:36.799] よ。
[00:18:38.880] え、
[00:18:40.799] なんか地震速報出たよ。緊急地震速報。
[00:18:43.760] 長野県北部大丈夫?みんな長野県北部で自信だって熱暴走に負ける。
[00:18:54.159] ウルトラモジュールと64
[00:18:55.919] 用のグパックがあればゲームボーイとゲームボーイカラーのゲームがい。
[00:19:00.280] え?あ、そうなんだ。強すぎだろ、それ。
[00:19:03.200] 今日ずっと長野揺れてるね。
[00:19:04.919] あ、本当?あ、昼のやつだった。ごめん。昼のやつ今更なんか俺に通知来たわ。あ、なるほど。
[00:19:12.200] 64とゲームボーイパックがあればゲーム
[00:19:14.320] ボーイができるんだ。強すぎ。こめちゃん
[00:19:16.080] こんばんは。こめちゃんこんばんは。もう
[00:19:18.600] しょっぱなから作業配信です
[00:19:24.280] ね。てことはスーパーファミコンの
[00:19:27.120] モジュールとスーパーゲームボーイがあれ
[00:19:29.720] ばスーパーゲームボーイがあればそれでも
[00:19:32.360] できるってことだよね。それでもでき
[00:19:34.080] るってことだよね。ま、ゲームボーに
[00:19:34.960] カラーできないけど。
[00:19:37.720] おい、買っちまえよ。
[00:19:39.360] 今言っとくけど、今しか買えねえぞ。今しか買えねえからな。
[00:19:42.760] のアイテムのドロップ狙い作業。
[00:19:45.159] うんとね、あのお金、お金ここのこれコインが浮いてるじゃん、これ。これを
[00:19:50.000] 10円ずつ貯めて、とりあえず5000
[00:19:52.000] 貯めようとしてる。
[00:19:52.600] アドバンスが神対応みたい
[00:19:54.799] じ地獄。そ、アドバンスはね、そう、
[00:19:56.919] 64のGB
[00:19:57.880] パックじゃできないんだよ。で、アドバンスは俺、あの、ソコンでできるやつ持ってんだよね。あの、
[00:20:05.480] GB
[00:20:05.840] オペレーターってやつ持ってるんだよね。
[00:20:08.080] USBタイプC
[00:20:08.880] でさせてあのカセット起動させるやつ。
[00:20:10.919] なるほど。お金の概念ありのゲームなのね。
[00:20:13.600] お金でね、能力値を上げるのとあと
[00:20:16.240] HP
[00:20:16.679] 回復もお金なんだよね。で、このゲームコンティニューなしで死んだら最初からになるのよ。だから結構ステージ数が多分
[00:20:24.080] 20
[00:20:24.520] ぐらいあってもうここでめっちゃ稼いでかないと最初に稼いでいかないとね、もう後々とめちゃたいんだよねも。今日はだからほぼほぼ雑談枠だと思ってくる。
[00:20:46.760] やったぜ。
[00:20:49.720] これで64
[00:20:50.720] モジュール買う理由ができたな。めでたし。めでたし。
[00:20:53.720] 買おうかな。どうしよっかな。まあまあでも別にモジュールはいつでも買えるからな。とりあえずベースベースベースモジュールベースベースが欲しい。
[00:21:03.919] とりあえずあと言うて
[00:21:07.080] 64
[00:21:07.520] そんなに俺持ってないんだよね。カセット
[00:21:10.159] 64
[00:21:10.640] そんなに持ってないんだよね。マシュマロ今コメントで言ってくれるい言うて
[00:21:19.919] 64
[00:21:20.159] のソフト持ってないんだよね。そんなに。
[00:21:23.600] そういやコントローラーはAmazon
[00:21:25.320] とかで買うの?
[00:21:26.279] あ、そう。Amazonで買ったよ。俺は
[00:21:27.720] Amazon
[00:21:28.000] で買った。普通に買えるよ。普通に低下で買える。
[00:21:30.360] 低下っていうか、ま、国内の値段だけど、
[00:21:32.200] そのワールドゲームエクスプレスだっけ?
[00:21:34.520] そこで買うのと値段変わんない。
[00:21:36.640] モジュールも一緒。モジュールも
[00:21:37.840] Amazonで値段一緒で買えるよ。
[00:21:44.400] ただそのなんだっけ?あれだけはワールド
[00:21:47.039] エクスプレスじゃないと予約できない。
[00:21:49.480] 本体は
[00:21:56.000] とりあえず5000貯めさせてくれみんな
[00:21:57.320] ごめんな。吸ったデータちょうだい。
[00:21:59.520] だかお前。クソ法だよお前。それクソ法だよお前。それやめろ。冗談でも言うなんなことバカお前。
[00:22:07.520] 笑笑
[00:22:08.559] 怖いぞ。怖いの来るからね。本当にいっぱいいるんだから。レトロゲームのあれには。レトロゲーのさ、配信にはいっぱいいるんだから。そういう
[00:22:20.440] あかんで。
[00:22:21.240] あかんで。お前俺らはネタだから分かる。俺ネタだってわかるけどさ。
[00:22:27.039] 俺だってあれだよ。あのなんだっけ?あの
[00:22:29.840] 前昔さ、配信でさ、MSXのさ、メタル
[00:22:32.720] ギアやったじゃん。で、その頃俺メタル
[00:22:34.480] ギアも、あの、MSX持ってなくて、あの
[00:22:37.120] 、なんかプレステ2の復刻版のおまけ
[00:22:39.840] モードに入ってるMSXの移植版なんつう
[00:22:42.520] の、そのプレステ2の移植のでもその当時
[00:22:45.080] のまんま移植されてるやつ、MSX版の
[00:22:47.159] メタルギアを配信でやってたんだよ。俺
[00:22:49.080] 配信中何回聞かれたかわかんないもん。
[00:22:51.159] これ実機ですか?これ実機ですか?ロム
[00:22:53.880] 持ってるんですか?とかなんかめっちゃ
[00:22:55.400] 言われたの。
[00:22:57.200] あ、あ、いや、これ復刻版で
[00:22:58.840] 笑笑
[00:23:00.159] でうぜえなって思って、それからだよね、俺ゲームやる時にちゃんとあのカセット持ってますよっつって、あの、見せるようにしたの。うるせえから。ま、確かにめちゃめちゃレアなゲームなんだよ。あの
[00:23:10.840] MSX
[00:23:11.320] のメタルギアって俺も持ってないんだけど。うぜえからさ。って思って。
[00:23:22.360] それからこう新しいゲーム始める時は
[00:23:24.520] Twitter
[00:23:24.919] とかあとま、配信溶ける時もこう
[00:23:27.799] ところでこれ実機ですか?
[00:23:29.480] 実だよ。バド実機だよ。
[00:23:32.039] ド実機だよ。ド実機。
[00:23:34.039] まあうさん臭いことしてたら気になるわな。
[00:23:36.679] まあな、まあな。トロゲームなんてわかんないからな。実際それでさね。それでやっちゃってる人もいるからね。俺もさ、なんとなく冒険とさ、何の誰だかもわかんないさ。
[00:23:48.440] なんか暇な時にさ、配信なんか誰なんかレトロゲーの配信見たいなと思ってさ、なんか全然別に知らない人だし、
[00:23:54.840] その人のことも全然覚えてないんだけど、なんか
[00:23:56.480] VTuberの女の子の、
[00:23:58.559] VTuber
[00:23:59.039] の女の子のレトロゲーマーのね、配信見てたらさ、なんか、あ、まるまるさんから送られてきたなんかメモリーカードにゲームいっぱい入ってたんですよ。今日はそれを遊びますってやってたわ。鞭は罪だな。鞭は罪だなと思った。
[00:24:18.320] 笑笑。
[00:24:19.360] すごいよ、あれ。
[00:24:20.679] やっぱ
[00:24:21.279] いやいやいや。ド犯罪やん。送る方も送る方だよ。
[00:24:28.200] ばんはいさん、こんばんは。もうごめんな。今日はもう、もうしょっぱなから地獄稼ぎ配信です。いや、その辺は難しいんだよ。難しい。その辺はね、知識がないとね、やっぱレトロゲーの配信は難しいね。そのなんか吸い出しとかするのは。
[00:24:47.799] だから俺も水出し環境とか整ってるし配信外でやる時は
[00:24:51.720] M機で遊んでるけどでもMで遊ぶのもバイ
[00:24:54.440] IOSとか自分で用意しなきゃいけないし
[00:24:56.720] だがそれがいい。
[00:24:57.880] それをさ配信で使うこともできるんだけどやらないんだよ。
[00:25:01.840] その俺はちゃんとそのね、正規の手段でそのなんて言うの?そのバイオスも自分で吸い出してとかやってるけどな、いちいち説明するのめんどくさいしでもさ、説明しないとやってるよだけじゃさ、証明にならないじゃん
[00:25:14.559] に稼ぎを見続け
[00:25:15.720] あ、私ごめん、ごめん。こ、小えてた。ま、でも話すことがあるうちはやらせてくれ。あればあるだけいいんだからこんなん。だからできれば実機使うし。だ、ポリメガさえあればポリメガはそのめんどくさいところを全て解決してくれるんだよ。
[00:25:30.520] ホメギはバイオスとかは多分あれ自社で
[00:25:32.880] あのなんつうの再現したバイオス使ってる
[00:25:35.000] から違法なもんじゃないし
[00:25:38.840] それがいいんだよね。
[00:25:45.880] 吸出し環境とか整で吸い出しとかやってる
[00:25:49.080] けどそういうのもさ買う買う買う買うよ
[00:25:54.399] 買う買う買ったよ。あたこんばんは。
[00:25:56.880] スカイちゃん。
[00:25:59.440] そうなんだよ。レトロゲームは難しいよな
[00:26:01.919] 。特に結構グレーゾーンなとこあるからな
[00:26:04.640] 。
[00:26:16.840] 一旦この辺にしとくか。稼ぎ1回か。もう
[00:26:19.880] ドろ。
[00:26:31.760] えっとでウィットをもうここめちゃめちゃ育てるからここでオッケー。これ
[00:26:41.559] 2人とも最強に
[00:26:43.399] 本当だよな。
[00:26:46.919] とりあえずこれでまだ
[00:26:50.159] 4000残ってる。どうしよう。
[00:26:51.760] これ以上育たないんだけど、もっと稼ぐ、もっと稼ぐで、これさ、ちょっとさ、今日マジで引くんだったらさ、クレスめっちゃ安いね。クレスめっちゃ安い。育たの育つのお金のかからない子だな。
[00:27:06.559] 笑。
[00:27:07.240] え、だってさ、この後だって全ステージ行くんだぜ。これじゃもう心もない。ごめん。
[00:27:13.480] この最強の状態プラ
[00:27:15.279] 5000
[00:27:15.600] でやらせてくんない?この最強の状態プラ
[00:27:20.039] 5000
[00:27:20.360] で行かせてくれませんか?だめですか?ダめですか?
[00:27:24.080] さん待ってましたよ。
[00:27:25.000] プラさん、こんばんは。待ってないやん。今来てますやん。どうもこんばんは。ありがとうな。来てくれてありがとう。いや、でも今日ガチだから。今日ゲチだから。今日。今日ゲチ。
[00:27:37.799] バイキルと覚えよ。
[00:27:39.480] どうせトに落ちのにトに落ちてやり直すとか言うなよ。ま、じゃあまあまやるか。いやいややろうとりあえずまた稼ぎたくなったら稼げばいいんだよ。稼ぎたくなったら稼げばいい。
[00:27:51.000] スパゲチー。
[00:27:52.399] スパゲチーさ。やってくぞ。でもこれさ、あれだよな。
[00:28:01.559] マジでさ、あの、いたや。あの、ま、道中ちゃんと拾ってけばいいよね。
[00:28:10.039] 肝早い。
[00:28:13.159] 肝早いな。まあ、確かにこんだけ金、金じゃないや、時間、時間ジャンプ力高時間かけてさ、こんだけ時間かけて貯めてさ、あのリフトとかで死んだらマジでいたまれねえよな。
[00:28:27.799] マジでこれ5000
[00:28:28.840] 貯めんのに何時間かかったか分かるか?めっちゃ時間かかったかんな、これ。
[00:28:41.600] 雑コシはNG。
[00:28:43.279] え、雑コ師は
[00:28:45.000] NG。雑魚しはあ、ここ
[00:28:51.080] I
[00:28:51.240] か。愛のとこなんだ。ちょっと待って。愛取ってこなきゃダメなんだ。
[00:28:56.640] タックだろうが。
[00:29:00.360] タックだろうが。おタグ何してんの?
[00:29:06.320] タックだろうが。誰が分かるねん。このあのドキュメンタルシーズン
[00:29:14.039] 5の時のあれな。ドキュメンタルシーズン
[00:29:16.960] 5
[00:29:17.120] の雑魚しね。あの猿のやつね。あれくそ笑ったわ。あのハーモニカ返すやつね。
[00:29:25.240] 猿。笑笑。
[00:29:26.640] ハーモニカのネ色返すやつでしょ。これさすがに
[00:29:33.080] 2
[00:29:33.200] 段ジャンプでいける。お、行けそう。やらジャンプ力た。愛取ってかなきゃいけ。あ、あれ取んなきゃいけないんですよね。私ね。
[00:29:45.080] 最近はサガットも好き。
[00:29:48.360] サガット。
[00:29:51.640] サガットって何?あ、あの雑魚しの
[00:29:54.240] アパカー。アイガーアパカーね。
[00:29:58.840] 元ネタの方知らねえんだよ。俺マジで格ゲ
[00:30:01.480] やってない。俺格ゲ全然やってねえんだよ
[00:30:04.360] 。
[00:30:06.120] やっぱね、PVPにね、非常にね、抵抗が
[00:30:10.440] あるんだよな。俺
[00:30:12.559] なんか格ゲね、格ゲダメなんダメっていう
[00:30:16.640] かなんかやっぱ難しいんだよね。
[00:30:28.080] あ、もう
[00:30:29.000] のうす。こんばんは。宮のうことゲームのせいでプもう全然せんくなった。
[00:30:34.080] あ、そうなんだ。デドバのせいでなんでもう傷ついた。傷ついた。あ、や、あの配信外で金
[00:30:45.000] 5000貯めてきたよ。配信外で金
[00:30:48.039] 5000貯めてきたよ、今日。
[00:30:57.039] なんで娯楽でストレス貯めてるの?ってなって。
[00:31:00.559] いや、マジでそれ。マジでそれ。
[00:31:03.760] マジでそれ。あの、なんかね、あのなんだっけ?あの
[00:31:10.440] ほなこれもやん。
[00:31:12.360] ええ、確かにこれも、これも
[00:31:15.760] パソコン持っててもやってるのが配信主聴だな、最近。
[00:31:19.559] 私の思ったクソゲームやん。
[00:31:23.559] でもいいの?これはやりたいからやってんの?ま、みんなそうなんだろうけど。みんなそうなんだろうけど。俺はま、
[00:31:32.720] FPS
[00:31:33.159] も格迎もそうだけどなんかこうなんかさ、なんかね、あの
[00:31:43.159] 人間にやられるの腹にやられるのじゃね。
[00:31:46.600] だし仲間なんかその
[00:31:51.279] いや俺はね前ねあのなんて言うの
[00:31:56.200] なんだっけあれ
[00:31:58.840] あのFPSやった時に配信外で教えて
[00:32:02.000] あげるよって言われて教えてもらってたん
[00:32:04.600] だけど最初は優しく教えてくれんのに
[00:32:06.519] どんどんなんかどんどん当たりがきつく
[00:32:08.799] なってきて
