[00:00:04.240] 行けてんのか?これ
[00:08:23.440] 分ぐらいに始まるみたい。このマイクラコラボはリーさんのスポンサーで成り立っております。
[00:08:33.320] そうなの?
[00:08:35.640] B
[00:08:36.039] さんのスポンサーで何立ってんの?台とか
[00:08:40.919] 前回やったのがジャバ版でジャバだから仕様。そう違うそう仕様多分違うんだよ。なんかね、操作も若干違くて操作も若干違くてなんかダッシュの仕方とかがちょっと違うんだよね。まあでもあ、諦めたらそこでしだ。諦めないよ。諦めないし守りに入るつもりもない。
[00:09:02.440] 思んねえからよ。
[00:09:05.240] 守りに入るつもりもねえぞ。
[00:09:12.000] 連打で剣振らないように。なんで連打で
[00:09:14.040] 振っちゃダメなの?
[00:09:17.640] 手に人書いて飲むのさ。こって
[00:09:21.920] クソの役にも立たないと。これ
[00:09:27.880] そろそろですかね。
[00:09:29.079] そろそろ多分全体チャットで
[00:09:30.680] ちら
[00:09:31.880] あれも友さんが
[00:09:39.640] 行けます。
[00:09:40.720] はい。行けます。よかった。よかった。
[00:09:43.399] 行けます。
[00:09:44.440] いや、あの、スイカミュートにしてない人もいるから喋っていいのかなって思って。
[00:09:48.240] あ、いや、そうですよね。
[00:09:49.440] うん。
[00:09:50.320] でも誰も喋んないとなんか戻っていいんだろうってなるから。
[00:09:54.640] 確か
[00:09:55.640] というわけで、今
[00:09:56.640] disccord繋いてます。
[00:09:58.720] ミュートしてるんだけど女の子いっぱいです。
[00:10:01.560] よろしくお願いします。
[00:10:03.640] お願いします。
[00:10:05.640] え、これ今どういう状?
[00:10:06.560] あ、そうわ、そうわ、そうわ、そうわ。
[00:10:07.920] 本といつ入っていけばいいのか全然わかんなくてずっと入ってこれえ。
[00:10:13.640] 大事な日です。ありがとうござい、いいです。
[00:10:15.600] いいのか?
[00:10:16.360] こんこんにちはです。
[00:10:17.480] いいです。こんにちは。こんにちは。もう配信で
[00:10:20.480] 10
[00:10:20.640] 分ぐらい経ってずっと喋ってたからさしたのかなって思って。
[00:10:24.839] うん。
[00:10:25.560] 戻りました。
[00:10:28.000] 帰り帰りなさい。帰りなさい。
[00:10:29.959] お願いします。お
[00:10:31.360] 願いします。
[00:10:32.320] よろしくお願いします。
[00:10:34.160] 緊張してきた。
[00:10:34.839] 緊張する
[00:10:37.040] 私も
[00:10:40.800] discordしてるけど緊張してきて一番なんか緊張してないんだけど。ないと逆にね。
[00:10:50.079] うん。
[00:10:51.279] 何も知らないの余裕かもしれん。
[00:10:54.200] 任しとけって何でもやってやるよ。うん。
[00:10:56.399] かっこいい。
[00:10:58.320] 全然喋れない。
[00:11:00.200] 大丈夫すよ。
[00:11:00.800] ありがとうございます。
[00:11:02.320] よろしくお願いします。
[00:11:03.920] 全然喋れねえや。
[00:11:05.120] お願いします。
[00:11:11.720] 主催者、出産者まだですね。
[00:11:14.040] もう限界やって。
[00:11:14.839] 主催者太郎さんが
[00:11:17.160] うん。
[00:11:17.480] 限界やって
[00:11:18.480] きちゃんが色々今自分の配信で説明してんだろう。
[00:11:21.320] 基本っちに向かって喋ってる時はあの
[00:11:23.760] Disccordミュートしてると思って
[00:11:26.240] ま、その間うちらをワイワイガやってりゃいいからな。ガ
[00:11:32.519] でF4
[00:11:33.519] キーは押しちゃダメなんですよね。ダメ、絶対。
[00:11:36.120] コントロールF組み合わせだ。
[00:11:38.480] あ、コントロールF4か。なるほど。F4
[00:11:40.680] だけは大丈夫?
[00:11:42.000] 大丈夫です。F4、え、Fは確かFPS、
[00:11:46.760] TPS回るだけでマップは見ちゃだな。
[00:11:50.880] マップっていうのがないんですけど。
[00:11:52.200] ワンチャンあるかな?
[00:11:53.680] ワンチャンあるから。持ち。ちょっとちょ、こちらちょっと切りますね。今
[00:12:02.040] どうもこんにちは。
[00:12:04.360] こんちは。
[00:12:04.800] こんにちは。
[00:12:07.200] よろしくお願いします。
[00:12:09.040] よろしくお願いします。お願いします。
[00:12:12.880] え、緊張してきたね。
[00:12:14.240] ね、
[00:12:15.639] 配信ちゃうとお待たせしました。
[00:12:18.000] はい。
[00:12:18.320] あ、どうも。
[00:12:18.959] お帰りなさい。
[00:12:19.920] ごめん。10分短かったわ。
[00:12:21.880] 何?
[00:12:23.519] 大丈夫ですか?
[00:12:24.760] 大丈夫です。
[00:12:26.399] ま、あの、皆さんが集まり次第で大丈夫です。
[00:12:30.480] もうほぼほぼあ、みんないるよ。
[00:12:33.040] うん、いる、いる。
[00:12:34.120] うん。あれ?
[00:12:35.880] いや、バさんと島村エルフさんはさっきまでいたんですけど
[00:12:45.519] 陰キだよな。全然喋れないんだけど。
[00:12:49.199] じゃあ
[00:12:49.639] 全然喋れない。
[00:12:51.040] 改めまして皆さんご集まりいただきありがとうございます。
[00:12:55.399] どうもありがとうございます。
[00:12:57.000] ありがとうございます。
[00:12:57.720] すいません。さんの皆様も皆様の推し配信者をちょっとお借りする形になって、今回コラボという形になりましたが、
[00:13:05.800] えっと、ま、そうですね、え、簡単なルール説明すると
[00:13:10.519] Minecraft
[00:13:11.279] をみんなで協力して、え、クリアしましょう。これ結構なんかあんまり間違える人いるんだけど
[00:13:20.120] みんな一緒のサーバーです。て、仲良く協力する形です。
[00:13:24.079] こっちというなので
[00:13:28.000] 1度死んだらミュートしてんの。
[00:13:29.959] え、そもそも復活ができないモードで難易度はハードになってます。ノーマルでやるより敵が強い。敵の攻撃力高いし耐久も高い。ちょっと強いモードになってます。それでみんなで協力して頑張ってエンダードラゴンを倒しましょうという企画になっております。
[00:13:52.120] はい。
[00:13:54.320] かな?
[00:13:55.880] 頑張ります。
[00:13:56.279] そんなもんかな。僕単純仲良くね。うん。
[00:13:59.920] 仲良くね。
[00:14:00.839] まず仲フレンドリないんで。
[00:14:03.880] はい。
[00:14:04.120] よかった。よかった。よかった。全然
[00:14:06.360] まず弓矢から狙われるところが始まんのうちら。
[00:14:08.639] え、
[00:14:09.920] フレンドリファイアーとか言ってたからさっき。
[00:14:12.040] ないないないない。でしょ。それやったらダめでしょ。始まっちゃうから。
[00:14:19.040] 若輩さんこしちゃったらさ、若さんリスナーが押しかけてくるやん。
[00:14:23.160] 俺がてめってなっちゃうんでフレンドリファイやらないですね。
[00:14:31.399] し
[00:14:31.800] よかった。仲良くやれるんだね。うちら。うん。仲良くしろ。
[00:14:37.560] え、えっと、リスナーさんとしては、えっとゲーム内で、えっと、ゲーム上で近くにいる人にしか声が届かないような設定にしてあるので、
[00:14:50.079] はい。
[00:14:50.600] みんなの声がわちゃわちゃ全員バーって聞こえるわけになってないので、あの、そうだね。あの、リスナーさんもコメントしやすいような
[00:15:00.880] 1人で本当に俺1
[00:15:02.040] 人で結構旅出ちゃうから、ま、周りの皆さんの声聞こえなかったりするし、コメントはしやすいう環境にはなってるのかなと思うので、えっと、そうですね、皆さん全然気ねくしてください。これさん向けの話ね。さん向けの話ね。
[00:15:20.279] で、えっと、あ、で、一応あれですね、え、
[00:15:25.000] えっと、全体チャットも禁止にしてるんですよ、僕らは。なので、えっと、た、多重視聴というか、いろんな配信を見ていただくのは全くもって問題ありませんですね。是非ぜひろんな、いろんな配信者さんの視点を、え、見て楽しんでください。
[00:15:48.319] ただ、えっと、俺らは参加してるプレイヤー側は、えっと、その直接近くにいて声を届けるしか方法がないので、
[00:16:00.399] あの、例えば太郎さんがけいちゃん探してたよとか、き太郎さん鉄が欲しくて困ってたよとかっていうアドはなるべく控えていただけると助かるかなっていう感じです。ですね。
[00:16:18.399] なんですけど、別になんか鬼太郎面白い
[00:16:20.839] 死に方してたよとか我が輩さんがなんか
[00:16:24.600] すげえ拠点すげえ建物作ってたよみたいな
[00:16:28.040] そういうアド
[00:16:29.639] じゃないようなガヤガヤは全然みんなあの
[00:16:32.639] していただいて構いません。リスナーさん
[00:16:34.959] 同士というかうん。そうですね。で、
[00:16:37.319] アドバイスになっちゃうようなことだけは
[00:16:39.160] 、ま、なるべく控えてください。ま、絶対
[00:16:40.920] しないでもないんですけど、なるべく控え
[00:16:43.440] ていただけると助かります。で、え、残念
[00:16:48.560] ながら皆さんの推しの配信者が死んで
[00:16:51.480] しまったら、え、生きてる誰かにすると
[00:16:54.839] いう企画になっております。本当に復活が
[00:16:57.720] そもそもできないモードなので。なので皆
[00:17:00.399] さん自分の推しを一生懸命応援して
[00:17:03.440] ください。はい。くマイク俺1回イベント
[00:17:08.199] であ、ごめんなさいから出てますか?質問
[00:17:10.640] 。
[00:17:13.400] 大丈夫。
[00:17:13.919] まあ、大丈夫です。
[00:17:15.360] 大丈夫だ。
[00:17:16.319] うん。
[00:17:16.880] 大丈夫かな?分かるかな?なんとなく。
[00:17:19.959] 仲良くやれよって言われてます。
[00:17:21.480] きついたの誰だ?
[00:17:22.360] あ、じゃ俺めっちゃ緊張してて。めっちゃ緊張してて。今リスナーから、リスナーからあのこのなんてうの?
[00:17:29.360] Discord
[00:17:30.200] に向けて喋ってる時とこのコメント欄に向けて喋ってる時の態度が全然違うって言われて。
[00:17:37.320] それはね、言われるよ。
[00:17:39.200] いや、もう緊張してるんで
[00:17:41.720] 本当にお願いします。
[00:17:42.720] 言うの忘れてた。リスナーさん向け。えっと、今回のコラボ
[00:17:47.520] まあま皆さん結構仲良くやってて、えっと私の
[00:17:52.160] 主催者権限というかあれで、えっと敬語禁止にしてますね。ま、禁止ってことよくないんですけど。
[00:17:59.240] 一番それが難しいかもな。
[00:18:01.120] 難
[00:18:03.000] 1番それがあれかもな。
[00:18:05.039] ち君人生で敬語使ったことないでしょ。
[00:18:07.280] いや、あるわ。あるわ。
[00:18:09.080] リスナーに対しては今こう今コメント欄来てるやつらに対しては
[00:18:13.559] そんな態度で有名なられたぞみたいなるけど
[00:18:18.039] ほんま
[00:18:18.360] だって1
[00:18:18.799] 番最初ここあのさっき始まってさあの
[00:18:21.840] 1
[00:18:21.960] 番ね出してくれたロボトムさん声出してくれたけど
[00:18:25.840] し島村さんが入ってくるまで女の子しか喋ってなくて俺入れなかったもんね
[00:18:30.760] 申し訳ね。
[00:18:31.320] あ、ちょ、ちょっとちょっと待つわつって。
[00:18:34.840] 島村た瞬間俺もマイクオンにしていやあとか言い出してそういう感じなんです本と
[00:18:44.440] よろしくお願いします。
[00:18:44.919] うちの配信あれだよ普段俺の配信で聞こえない可愛い声が聞こえてくるっていうみんなでみんな言ってたわ。
[00:18:51.520] 緊張してきました。
[00:18:53.520] ま、そんな感じで、えっと、敬語、ま、別に多少の敬語は全然いいんですけど、えっと、ま、基本的にはたメ語で行こうみたいな形になってんので、自分の推しの配信者がため語で喋られても、ま、許してください。
[00:19:08.120] すいません。い
[00:19:09.720] そんな感じです。
[00:19:10.880] 今日だけね。
[00:19:12.280] 今日だけひど。
[00:19:13.559] え、
[00:19:14.480] ひど。
[00:19:15.799] 今日が終わる語ね。
[00:19:17.440] じゃ、今日は許してねてこと。今日は許してねこるの。
[00:19:21.159] はい。はい。はい。
[00:19:22.039] 今日は許してねてこと。
[00:19:23.080] 急に仕事だけの関係。
[00:19:24.919] うわ、マジ?
[00:19:27.000] マジかよ。き太郎
[00:19:28.320] 違う違う。
[00:19:31.640] 鬼太郎けや。もう
[00:19:34.720] 鬼太郎っちゃ陽や。あいつ。今日から友達。今日から友達だよ。
[00:19:39.880] 昨日は怖やめよう。やめよ。これもうやめようやめようやめよ。今日もう始めよ。
[00:19:48.000] 始めよう。始めよう。
[00:19:48.919] もうちょっともうちょ太郎が陽キすぎる。もう
[00:19:53.960] ちょ怖いよ俺。そういうの悪いぞ。ちゃ
[00:19:58.080] 陽気すぎるよ。やりましょうか。
[00:20:07.600] 自己紹介は
[00:20:08.840] 全然コメント読んでんじゃないの?今けいちゃんみ
[00:20:12.280] ある。主催主催だからちょっとさあでしょ。
[00:20:16.799] あんた
[00:20:17.880] ごめんなさい。ごめんなさい。
[00:20:19.840] はい。
[00:20:21.080] え、なんだっけ?なんか言うこと忘れちゃった。なんだっけ?なんか言うとしたような。
[00:20:25.120] なんか自己紹介するとかしないとか。
[00:20:27.120] あ、自己紹介はしましょうか?ゲームのルールに関しては大丈夫かな?
[00:20:32.200] ま、とりあえず頑張るみたいな感じだよね。ハト行為あとやめとけっていう。それぐらいだよね。
[00:20:37.360] うん。
[00:20:37.600] はい。あ、そうだね。ハト行為なしなのと、ま、わちゃわちゃ言うのは全然大丈夫です。うん。
[00:20:44.720] そんな感じかな。はい。
[00:20:47.760] あとはもう分からないことはリスナーさん、それぞれのリスナーさん、あの、自分の推し配信者に聞いてください。はい。そんな感じかな。
[00:20:57.679] というわけでせっかくなので、
[00:21:00.440] えっと、1人1
[00:21:01.240] 人自己紹介、あ、一応ね、レトロゲーマーが集まってるんですよ。ごめんね、きったん、レトロゲーマー枠だよ、きったんは。
[00:21:08.840] あ、ゲーマーですらないんだけどな。
[00:21:12.360] 地球防衛。
[00:21:13.400] そうなん。
[00:21:15.159] 地球防衛軍やってたでしょ。
[00:21:17.159] え、まあ、ちょ、別にちょっとね、まあ、最高難易度で
[00:21:21.039] 80時間配信しただけですよ。別にそんな
[00:21:25.600] 次
[00:21:27.080] だよね。そうだよね。なのって、ま、一応レトロゲームやってる方が中心なので、
[00:21:33.200] あの、そうだね、あの、これを気に、え、レトロゲーマー配信者を知っていただけたらと
[00:21:39.600] 思います。ま、そんな感じで、えっと、
[00:21:42.640] 改めまして皆様、えっと、え、全リスナー
[00:21:46.200] 様ありがとうございます。主催の、え、
[00:21:48.960] 主催、ま、主催かな、Kチャンネルと申し
[00:21:51.480] ます。えっと、普段はすげえ分かりやすく
[00:21:55.640] と週末
[00:21:57.760] 土曜日、日曜日毎週耐久配信やってます。
[00:22:03.120] えっと、そうですね、毎週やってます。
[00:22:05.919] 毎週耐久です。毎週24時間出てませんな
[00:22:09.600] ので。そうだね。あの、そう、土日ずっと
[00:22:13.480] やってるので私、あの、皆様の推しの配信
[00:22:18.000] 者が土日配信してて終わっちゃって、ああ
[00:22:21.880] 、見るもんないなって時によかったら遊び
[00:22:24.919] に来てください。皆様の推しが1番素敵な
[00:22:28.640] 配信者さんで、ま、そ、そのついでに、ま
[00:22:30.840] 、暇だから、Kチャンネル見てやるかと
[00:22:33.440] いう形で土日に、ま、ずっと本当に寝ずに
[00:22:37.640] やってますね。やってますね。RPGとか
[00:22:41.840] こな間だは何でしたっけね。ま、
[00:22:43.520] ファイナルファンタジーとかそうですね、
[00:22:46.640] 12とかま、ひたすら30時間40時間
[00:22:49.520] かけて、え、耐久やってたりするので
[00:22:51.600] よかったら遊びに来てください。本日は
[00:22:54.799] すいませんね。
[00:22:55.480] 皆様の教え配信者さんをお借りしてありがとうございます。というわけで、
[00:23:00.200] え、よろしくお願いします。ありがとうございます。
[00:23:03.960] よろしくお願いします。
[00:23:08.200] ちゃんとね、なんかあの、
[00:23:10.440] みんな集まってくれてありがとう。ありがとう。
[00:23:14.440] エンディングみたいなこと言ってるやん。
[00:23:17.080] まだ終わってませんからね。全員揃ってないとできない。
[00:23:21.640] うん。
[00:23:22.240] ありがとうございます。集まっていただいて。
[00:23:26.159] じゃあ、自己紹介していきましょうか。せっかくなので。
[00:23:29.039] 次は
[00:23:31.000] えっと、
[00:23:31.400] 北さんじゃないの?
[00:23:33.039] そうかも。
[00:23:34.960] 俺
[00:23:35.679] はい、どうぞ。
[00:23:37.520] はい、皆さん、え、初めまして。こんにちは。太郎です。え、レトロゲーマーやらせてもらってます。でもレトロゲーマーって言うけど、あんまりレトロばっかじゃなくて本当にあの、レトロから新作までやってます。
[00:23:52.559] 最近やってるのはエルデンリングと、えー、サイレントヒル
[00:23:58.120] Fやってます。
[00:23:59.400] あ、
[00:24:00.159] そんな感じです。で、え、特技はおタマトンの演奏と最近ウクれレを勉強し始めました。え、今日はしっかり楽しんでいきたいなと思ってます。よろしくお願いします。
[00:24:13.360] よろしくお願いします。
[00:24:19.760] あ、次は
[00:24:23.000] ありがとうございます。ありがとうございます。
[00:24:26.440] 次は
[00:24:28.000] 私かな?
[00:24:29.200] うん。そうです。
[00:24:29.640] きったん。
[00:24:30.399] はい。
[00:24:31.120] え、こんにちは。きったんです。え、きたんはあだ名なのでさんとかちゃんとかね、つけずに気軽にリスナーさんも含めてあの気軽に呼んでください。あのイントネーションもきったんでもったんでもどっちでも大丈夫です。よくなんか言われるんで
[00:24:48.399] 全然大丈夫です。今日参加してる。
[00:24:50.279] えっと、今回ね、先ほども言ってましたが、レトロゲーマーでもないゲーマーですらない私、あの、声をかけてくれた主催のけちゃん、きいちゃんさんて言っちゃった。いちゃん改めてありがとうございます。
[00:25:00.880] え、普段は平日の朝の
[00:25:02.960] 9
[00:25:03.120] 時から配信をしていて、え、イラスト制作をメインに配信してます。作業のお供配信者みたいな感じで、え、のんびりとした配信をしております。
[00:25:12.200] で、一応、ま、過去にはそのさっきも言っ
[00:25:14.360] てた地球防衛軍6で最高難易度クリア耐久
[00:25:18.320] っていう配信を80時間、え、やったり、
[00:25:21.159] あと最近はバイオの方をですね、1から
[00:25:24.600] プレイしていおりまして、多分今後
[00:25:27.480] どんどんどんどんあのシリーズやってくん
[00:25:29.480] じゃないかなという感じで、一応、ま、
[00:25:31.799] ゲームも配信を始めてからやるようになり
[00:25:35.200] ました。
[00:25:36.240] え、ゲーマーじゃないやつがなんで来たんだって多分思われる方もいるかもしれないんですけど、ちょっとはやってますと一応保険かけときます。で、えっと、マイクラは簡単な建築経験しかなくて練習もネザー用サイドマリンなんですが、え、拠点周りを中心にサポート頑張れたらなと
[00:25:54.760] 思ってます。
[00:25:55.679] と、そうだ。え、リアルで鳥を飼ってるのでたまに私の喉から鳥の声が出るかもしれません。
[00:26:03.799] え、か高い音が苦手な方がいらしたら本当にごめんなさい。
[00:26:08.399] はい。え、そんな感じでめちゃくちゃ緊張しておりますが、本日はどうぞよろしくお願いします。
[00:26:13.559] よろしくお願いします。
[00:26:14.760] お願いします。
[00:26:15.559] よろしくお願いします。
[00:26:18.039] 緊張すごい。これ最初えぐ。
[00:26:24.960] あ、ごめん。皆様すみません。順番的に次佐藤ラム宗ネさんなんですがあ
[00:26:30.760] 皆様すみません。
[00:26:31.679] ちょっと佐藤ラム宗は所持事情により今日不散化ということになってしまいました。
[00:26:38.600] 残念。
[00:26:39.000] あの
[00:26:40.000] ちょっとね、詳しく事情は言えないですけど、あのマジで無理。これはさすがに無理だなっていう事情なんでマジで無理。なんでちょっとねちゃんは
[00:26:50.679] 攻めないようにいや、マジで無理。これは無理なんです。また是非あのコラボお誘いしたいと思ってるので。
[00:26:58.240] そうですね。
[00:26:58.960] あの、またお誘いするのでちょっとラムネさんを楽しみにした方申し訳ございません。
[00:27:04.799] はい、というわけで次は島村エルフさんです。お願いします。
[00:27:08.200] はい。はい。どうも島村エルフと言います。え、普段からレトロゲームやっておいて、え、人生縛りを共容されてる最近もうちょっと体が疲れたおじさんでございます。
[00:27:18.760] そんな俺が、え、マクラフトをやるとうん。
[00:27:22.320] 結構これ意外と思う方も結構いると思うん
[00:27:25.360] ですけど、他のさっきのね配信者さんの話
[00:27:28.840] を聞くとどうやら俺はMinecraft
[00:27:31.039] トもうまいらしいとそんな話を聞いて、え
[00:27:34.279] 、先々強況としてる事実を教えすると、
[00:27:38.320] マイク起動して2回ですみう
[00:27:44.720] んですけど俺は知りません。知りません。
[00:27:48.720] そんなガチガチのレトロゲーマーです。
[00:27:50.720] 島村です。
[00:27:51.519] どうぞよろしくお願いします。になんかあるします。
[00:27:54.720] お願いします。お願いします。
