[00:00:36.879] バンはどうした
[00:08:56.600] で飲んじゃったし、もう最近めっちゃ太っ
[00:08:59.240] たと思う。またでさ、そ、あ、お店の
[00:09:02.040] こんばんは。
[00:09:02.519] やってくで。今日もめっちゃ太ったと思うわ。そんな変わんねえよって思われたら、ま、確かにそんな変わんないんかもしんないけど。
[00:09:10.920] 閉店ガラガラダブル。
[00:09:12.640] ありがとう。あ、じゃここでってこって
[00:09:16.600] sバッ
[00:09:18.920] でやっぱそう予定がいっぱいあるってことはジムとかにも行けないわけで、明日は絶対行く。絶対こんばん
[00:09:27.040] あルさんこんばんは。やってくよ。
[00:09:30.440] 痩せろ
[00:09:31.519] なあ。マジで痩せなきゃまずいよな。だ、
[00:09:34.200] マジで今日からまた頑張ろう。今日から
[00:09:36.360] また頑張ろって言いながら今日ラーメン
[00:09:37.800] 食べちゃったんだけど。
[00:09:40.519] ま、いえ、ま、ええねん。ええねん、別に
[00:09:42.160] ちょっとちょっと食うぐらい別にな。
[00:09:44.399] 大丈夫、大丈夫。平気平気、そんな
[00:09:47.880] 程度でね。大丈夫大丈夫知らんけど。
[00:09:50.720] 豆腐生活いぞ
[00:09:52.480] えと聞いて
[00:09:54.399] 俺ね豆腐あんま好きないんだよな。で登っ
[00:09:57.440] てやだよ。あつさんどうもこんばんは。
[00:10:00.560] さんこんばんは。
[00:10:01.040] 謎解きゲーム。そうやねん。謎解きパズルアクションエルギーザの封印やっていく。
[00:10:06.240] 豆腐嫌い。
[00:10:07.160] 豆腐ばっかる。俺も豆腐嫌いなんだよ。豆腐あんま馬ないよな。なんか。うわ、しかもなんかこれ積んだ。これなんか間違ってるっぽいな。もう、もう戻れなくなっちゃった。うーん。ま、どういうゲームかと言いますとにプラスしてやっこ食べて。
[00:10:25.120] あ、まあまあ、それもそれもいいんだけどね。それもいいんだろうけどね。それもいいんだろうけど。
[00:10:29.440] でもなんか豆腐なんかいろんな料理に入ってる豆腐は好きなんだけどどうもねみっていうのはね、
[00:10:39.560] 豆腐のみってのはねだいぶしんどいんですよ。あれ、あと何個だ?弾のゲームどういうゲームかと言いますと、このフロア中のこのここにあのんですか?
[00:10:49.160] これはな隠れた名作。これあの
[00:10:52.120] MSXっていうあのゲームパソコン。
[00:10:54.680] 昔のゲームパソコンでやってるんだけど、もちろん実期です。これほらしげだから。
[00:11:00.320] MSX
[00:11:01.000] 実機っていう、あの、どういうゲームかって言うとね、この、えっと、ね、このフィールド上にあるこのさ、金、金の玉があるじゃないですか。ここにこの
[00:11:09.079] って言いたいだけだよね。い、
[00:11:10.600] MS、MXSじゃなくてMSXな。2
[00:11:13.880] 度と間違えるだよ。この弾を全部集めてゴールまで行くというゲームなんすよ。ゴールまで行くというゲームなんですよ。
[00:11:23.240] ただ取るだけなんですよ。
[00:11:24.200] 笑笑。
[00:11:25.399] ただ取るだけなんですよ。
[00:11:26.240] 今日スムックス
[00:11:28.519] じちゃSMXね。MSX
[00:11:31.160] ね。ジャンプできない。ここ、あの、ここはもう、あの、ジャンプできないのよ。ここジャンプできない。あの、ここ、あの、低いから。低いから。た、こんばんは。いつクリアすんねん、これ?全
[00:11:39.200] 60ステージで。まだ27
[00:11:40.560] でいいつクリアすんねん。ほんまにいつクリアになんねん。これ結構頭使うんすよ。あれか待って。
[00:11:52.200] しかもこっちもあるんだ。意外とここめっちゃ広いぞ、みんな。ここめっちゃ広い。よいしょ。ほら、今このさ、これが
[00:12:03.240] 1個減ったろ。ここのここったろ
[00:12:05.880] 1個。ああ、
[00:12:07.040] プラットフォームゲー。
[00:12:08.880] 今流行りなの?2D
[00:12:10.160] プラットフォームって今流行りなのか?ちなみにこれ発売年は何年だべ?発売都市何年んだろ?これ
[00:12:18.800] 1988年。
[00:12:20.920] 俺が生まれる8年前。俺が生まれる8年前
[00:12:24.519] のゲーム。
[00:12:28.600] えー、どっから取るのが正解なんだろうね
[00:12:30.680] 、これね。わかんねえよな。ほんで、あの
[00:12:35.519] 、このさ、ま、弾取って取るのは簡単なん
[00:12:38.600] だけど、このハンマーとかなんか色々
[00:12:41.480] アイテムが落ちてるんだけど、それで
[00:12:42.720] なんか壁を削ったり床を削ったりして、
[00:12:46.160] あの、ま、道を開かなきゃいけないんだ
[00:12:47.959] けど、それがどこを削るかってのがね、
[00:12:50.000] 結構大変なんですよ。この考えのが
[00:12:53.079] どこをどういう風に、ま、ここは多分これ
[00:12:56.399] 確定だと思うんだけど、
[00:12:59.040] ほんで、ま、アイテム1回
[00:13:01.199] 考えてたんだろう。
[00:13:04.920] 考えてますわ。持って。あ
[00:13:07.000] いや、ペケ6
[00:13:07.560] は持ってないんすよ、まだ。ペケ6
[00:13:08.880] はまだ持ってないですよ。行きたいすね。行きたいすね。
[00:13:12.279] 寸
[00:13:12.880] 思考回路はショートす。なんかの歌になったな、そんなの。なんかの歌になったな。考え、考えまくってますわ。考えまくり、考えまくりか。え、ちょっと待ってね。えー、なんか俺これもう間違ってる気がすんだよね、これ。で、このさ、ハンマーとかは有限なのよ。有限。
[00:13:33.120] あの、1
[00:13:33.519] 回使ったらね、あの、次ど行っちゃうのよ。どっかに。どっかに行っちゃってから、その消えちゃうのよ。だからもうどこでどう使うか。
[00:13:39.839] わこちゃ。
[00:13:40.680] どこでどう使うか。黒豚さん、こんばんは。ま、俺ほどレトロゲーム愛してる人間もなかなかいないだろうからな。レトロゲーマーの鏡だろうよ。レトロゲーマーの鏡だよな。
[00:13:53.480] MSX
[00:13:54.240] 実機なかなかないで。ま、ちょっとね、
[00:13:57.839] ワンモニターじゃなく後でお願いしますか。
[00:14:01.720] 確かにこんなのこんワン曲モニターなんて買ってさ
[00:14:06.800] 欲しい
[00:14:07.440] い?嘘つけいらねえだろ。裏嘘つけ曲モニターなんか使本当はねあの
[00:14:15.079] CRT
[00:14:15.560] モニターでやるべきなんだろうけどそうなんだよな。配信のさモニターもちょっと俺最近さどうするか考えてんだよね。結局
[00:14:23.759] OBS
[00:14:24.279] 見ながらやるってどうなのかな?爆音系配信者
[00:14:27.160] そうだよ。危ね。
[00:14:29.800] えっと、とりあえず上に戻るためにはここ
[00:14:32.560] 開けなきゃいけないでしょ。ここはもう
[00:14:34.000] 絶対開けなきゃいけない。
[00:14:38.199] ほんで、え、あれどうとんねんって。ああ
[00:14:41.079] 、やべ、開いちゃった。わあ、これしった
[00:14:43.279] な。しくったな。これど、どうするべきだ
[00:14:46.600] 、これ?
[00:14:48.839] ま、取れるとこ取っていこうぜ。取れる
[00:14:50.480] とこ、取れるとこ。ここ。えー、こうやっ
[00:14:54.120] てさ、1回通ると蓋されちゃったりするん
[00:14:56.079] だよな。こんなのさ、やってみなきゃ
[00:14:58.279] わかんねえじゃん。どこが閉まるかとか。
[00:15:03.279] うーん。
[00:15:05.519] あとハンマーってどこにあったっけ?
[00:15:09.440] ああ、上に1個あるね。上に1個あるな。
[00:15:15.880] これを。
[00:15:19.000] えー、でもどう、ちょっと待って。
[00:15:23.279] いや、いつかさ、いつかペケロ欲しいっすよね
[00:15:27.759] が見ますわ。
[00:15:28.600] え、何?イルかなんかやってんの?いいじゃん。何ルルかなんかやってんの?いいね。あえた、お前分かってきたじゃん。絶対妖怪ウォッチよりモンスターズだろう。ドラクエモンスターズだろう。え、いいじゃない。
[00:15:42.800] SP
[00:15:43.040] ダニスマホのやつ。スマホのやつかな?いいね。ドラクエモンスターズやってんだ。え、これ完全に積んでると思うんだけど。
[00:15:52.120] 明らかにハンマー足りねえだろ、これ。
[00:15:55.120] 明らかにハンマーは足りねえ。
[00:15:59.959] だってさ、
[00:16:02.319] だってさ、ここはもう絶対にハンマーで
[00:16:05.440] 開けなきゃ取れない場所だよ、俺。
[00:16:08.880] え、
[00:16:11.440] やっぱモンスターズいいよな。俺もなんか
[00:16:13.800] も最近モンスターズやりてんだよ。
[00:16:18.920] えー、これどう取るんやろう。最初はいつ
[00:16:22.480] も頭を悩まずつ。これさすさすがに届か
[00:16:24.199] ねえよな。さすがに届かねえよな。
[00:16:29.040] もうだって掘るアイテムないで。
[00:16:35.920] あとはあれかな。あとはこいつを使うのか
[00:16:38.480] な?いや、絶対絶対楽しみ。何か絶対ある
[00:16:41.720] ぞ。何か絶対あるよな。
[00:16:47.440] ちょっと待って。え、なんでこれなん?
[00:16:50.680] 乗れないやんけ。
[00:16:51.360] やべえこれ。これ積んだんじゃねえか、これ。これ積ん。あ、こっちけか。あの石、あの岩どっから使うんだろうな。多分な。
[00:16:59.519] シリーズはよ。
[00:17:00.440] いや、もうリメイクする前に早くドラクエ
[00:17:02.279] 12出せっつうのはよドラクエ
[00:17:04.640] 12
[00:17:05.000] 出せやという。ああ、なるほどな。こいつのこいつの進路も考えなきゃいけないんだ、これ。多分このさ、岩、岩の敵いるじゃん。こいつで乗れるんだけど、こいつの進路も考えなきゃいけない。
[00:17:17.919] ここ穴開けてこっちに来れるようにしないとだめだな。多分な。有効利用するにはゲボし
[00:17:25.880] うい。お疲れ。
[00:17:27.280] あ、リルさんお疲れちゃん。やってますよ。今日クりはどうでしょうか?今日結構長くやろうと思ってるんだけど久々に
[00:17:34.200] 12
[00:17:34.480] 時ぐらいまでやろうかなと思ってんだよね。ま、多分
[00:17:37.960] 12
[00:17:38.200] 時までやってもクリアは無理だと思うんですけど。
[00:17:42.280] えっと、
[00:17:44.320] ED、EDGA
[00:17:47.880] 12
[00:17:48.200] 時とは言わずにとは言わずもっとやれってやだよ。明日俺ジム行かなきゃいけないんだから。最近マジでまたったから。明日もガつ売り、
[00:17:57.760] そんなん聞きたな。
[00:17:58.679] ガツ売りジムに行くよ。ガツ売りジムに。ええ、もうこれ消せるやん。
[00:18:10.600] 消せる機能あったわ。
[00:18:13.520] 消せる機能あったわ。これ文字消せる機能
[00:18:16.000] ねえと思ってた。あるんかい?あるんかい
[00:18:19.039] ?
[00:18:21.240] え、PGオッケー。
[00:18:25.280] うい。
[00:18:28.880] いや、なんかあれだな。
[00:18:32.720] MSXもうちょっとゲーム揃えたらまあ
[00:18:36.240] ちょっとあれだね。
[00:18:38.880] ペケ6手出したいね。ペケ6。
[00:18:42.960] いや、ペケロ高いんだよね。
[00:18:46.240] めちゃくちゃ高いんですよ、あれ。やべ。
[00:18:49.919] え、これとあれ、これ
[00:18:53.679] ええ、これ迂闊に通っちゃダめだったな、
[00:18:56.200] ここな。
[00:19:04.640] いや、ちょっとどっから取んのかマジで
[00:19:06.679] わかんないんだよな、これ。
[00:19:09.480] こいつは絶対に
[00:19:13.320] 絶対にどっかで使うはずなんだよ。この
[00:19:15.520] この石の敵ね。だからハンマーで多分
[00:19:20.200] ハンマーで多分そこ開けなあかんのちゃう
[00:19:23.440] んかなと思うんだよな。
[00:19:28.720] だからちょっと待ってな。俺が考えてる
[00:19:30.360] こと1回もうまずとりあえず正解かどうか
[00:19:32.600] 知らんけどとりあえずやってみようという
[00:19:34.919] 。とりあえずやってみようの精神。
[00:19:47.760] 取れるとこだけ取って。
[00:19:55.360] 多分だけど。多分だけど。この石をこ、
[00:19:58.480] こいつをね、こっちまで呼び寄せなきゃ
[00:20:00.720] ダめだと思うんだ。あほ、
[00:20:05.880] アホ。
[00:20:08.760] 心折れてねえよ。まだまだこれから生涯現役。
[00:20:14.000] 今日ジムキャン。
[00:20:15.559] 今日キャンもだってもう今日だって昨日ホテル止まっちゃったさ。あの酒飲んだからホテル止まって帰ってきたの
[00:20:23.720] 12時だもんで家帰ってきて
[00:20:27.960] ま言い訳だけどだから明日ジム行くから今日はもう
[00:20:31.240] 12
[00:20:31.480] 時までしかやらないよって言ってんの。明日ジム行くんだ。
[00:20:38.320] そろそろ行かねえと。そろそろ行かねえと大変なことになるよ。本当に
[00:20:44.919] 大変なことになるよ。
[00:20:46.280] 本当に。無理。無理とかじゃないから。やば。俺無理にしって言ってるわけじゃないからね。あ、そろそろ行きてえなと思って言ってんだから。行きてえなって思いながら行くジムなんてそんなに健全なことねえだろ。よし。多分これはこうこれ必須だと思うねんな。
[00:21:05.080] あの石コロマンを多分ここまで呼ばなあか
[00:21:06.960] んと思うねん。
[00:21:18.919] こうで取れるとこだけはもうさっさと回収
[00:21:20.919] してこようぜ。
[00:21:29.600] はい。これ取る。
[00:21:34.279] で、あの下はどうやって行くんだろうね。
[00:21:40.360] うーん。あ、
[00:21:45.000] こいつがここに来る
[00:21:49.320] まで。まだなんかあるな。あそこは
[00:21:52.000] 絶対崩さなきゃいけないもんね。もう
[00:21:54.400] 夜ご飯食べたの?夜ね、食べてない。でも
[00:21:57.640] 今日さ、昼間にさ、ガつ売りラーメン食っ
[00:22:00.240] ちゃったから、今日夜抜きでもいいかも。
[00:22:01.720] ま、夜抜きて良くねえんだけどね、本当は
[00:22:03.320] 。
[00:22:04.039] 抜くのが一番太るからね。飯抜くの本当良くない。良きタイミングで何か食べる。うん。良きタイミングで何か食べるわ。
[00:22:11.919] 5
[00:22:12.120] 秒で笑えるクリップだ。大家の谷座の封印に
[00:22:18.240] Sバッレイ。
[00:22:21.679] ま、良きタイミングで何かを食べます。
[00:22:23.600] ただ家に何もないんで。
[00:22:26.760] そうするとさ、じゃあなんか頼むかって
[00:22:29.600] なるとさ、で、なんか頼むかってなると
[00:22:31.440] どうせまた、どうせまたデブのデブ飯に
[00:22:34.919] なっちゃうんだよな。
[00:22:42.919] あれでもこれ間違ってる。なんか間違っ
[00:22:45.559] てる。これ
[00:22:48.720] えって明らかに足りないよね。
[00:22:54.440] 明らかに足りないよな。
[00:22:59.080] ここは別にハンマー必要ないとして。
[00:23:06.159] うーん。むずくね。
[00:23:17.320] あの石コロマンをこっちまで持ってきたと
[00:23:20.039] してもあそこどうやって取るねんって話な
[00:23:22.559] んだよな。
[00:23:25.080] あの上のとこどうやって取るんだろうね。
[00:23:30.520] あ、ハンマー1個あるわ。ああ、これで
[00:23:32.760] 行けんのか。もう1個ハンマーあったわ。
[00:23:35.120] え、違う違う違う。だってここも壊さ
[00:23:36.600] なあかんもんな。ここも絶対これだって
[00:23:40.400] 取り用がないもんねえ
[00:23:43.679] 。むずいんだけど。
[00:23:46.279] え、
[00:23:50.279] で、このハンマー取って、
[00:23:59.679] ここの取り方が分からねえんだよ。
[00:24:09.520] どうやっておんだろう、これ。
[00:24:16.960] なんだけど、ここも絶対ハンマー使わないとダめだし。
[00:24:20.080] どうもひ
[00:24:22.000] おいもこ疲れちゃん。今日はロングランでやっていく。要はロングランでやりたい。やらせていただきたい。これどうとんねん。これどう取るんすか?ルら切ったんですか、これ。
[00:24:52.159] これはええねんな。これはええよ。分かる
[00:24:54.039] よ。これは分かるよ。
[00:24:56.799] うわ、もう邪魔やな。うーん。
[00:25:00.520] 違うんだよ。まずここうんの前にここ
[00:25:02.840] うんんとか言う前に
[00:25:10.159] ここやん。こ、あれ、どうとんの?マジで
[00:25:15.320] 鳥おがあるか?あれ?
[00:25:23.520] え、やっぱハンマー使うしかねえんかな。
[00:25:29.039] なんかどうせまた基礎展開のやり方しそう
[00:25:31.000] な感じすんだよね。
[00:25:36.720] さすがにさすがにそんな難しいことないよ
[00:25:40.080] な。
[00:25:47.960] ここは絶対無理っしょ。
[00:25:51.880] 村かハリス。村かハチリス村かハリス
[00:25:55.640] い無。えー、こいつを持ってしてもさ、こいつを持ってしてもだもんね。いや、無理だな。いや、なんかこれ間違ってんだろうな。多分な。
[00:26:27.919] え、ちょっと待って。ええ、なんだ。
[00:26:33.080] むず。
[00:26:35.559] おむずですな、ここ。
[00:26:39.039] もう
[00:26:46.600] え
[00:26:49.440] 、
[00:26:51.000] EG
[00:26:55.520] FD
[00:26:57.279] Fdpg
[00:27:00.000] FDさんありがとう。よし。
[00:27:08.039] はい。ほんでよ。
[00:27:15.960] あの石が。ああ。あ。
[00:27:22.200] いやあ。どう取るんだろうな、これ。この
[00:27:25.080] 石どう通んの?このこのあっち側のやつ。
[00:27:29.120] うーん。最初ここに橋がかかってるんだな
[00:27:31.760] 。1個下にだ。それを使うような感じする
[00:27:34.240] んだけどな。
[00:27:38.360] 多分ハンマー使っちゃああかんと思うんだ
[00:27:41.320] よな。
[00:27:47.720] までも石は絶対使うから。あ、まだその
[00:27:49.919] 段階
[00:27:50.880] なんだよ。分かってんの?分かってんのか
[00:27:53.039] よ。
[00:27:56.799] えっとね、とりあえずここは開けなきゃ
[00:28:00.880] いけないよな、多分な。
[00:28:03.840] ああ、でもやっぱハンマー足りねえよ。
[00:28:14.760] うーん。
[00:28:20.600] こいつ使って持っていって。
[00:28:36.279] いやあ、こんな取り方なん。こんな取り方
[00:28:39.840] なん、ここ
[00:28:45.720] でもさ、ここにも絶対ハンマー必要じゃん
[00:28:47.720] 。これだって取り用がないもんな。
[00:29:14.080] うーん。
[00:29:19.440] いや、なんか違う気がするな、これな。
[00:29:32.960] 違うよね。あの石だってあ、あの、あの
[00:29:35.480] 石コ坊や持ってこれなくなっちゃったの
[00:29:37.120] こいつ。こいつがもうこっから出れなく
[00:29:38.679] なっちゃったからな。あ、やべ、混じった
[00:29:41.240] 。ああ、ここ。あ、だめだ。あいつがい
[00:29:43.600] ないのに降りちゃうとこれこうなるねんな
[00:29:45.120] 。
[00:30:01.880] うん。まあまあ、これはいいんだよね。
[00:30:03.799] これはいいんだよね。これはいいんだけど
[00:30:05.880] 。
[00:30:09.039] で、ここ多分閉じられる。閉じられる。
[00:30:17.600] いや、あと1個なんだよね。
[00:30:25.279] ここが取れねえんだよな。
[00:30:30.880] ええ、
[00:30:33.679] やっぱあいつ石必要だよな。
[00:30:39.200] あいつ連れてこなあかんよねえ
[00:30:42.440] 。むずくないか。
[00:30:55.120] ただもうこいつをこっから出してあげる
[00:30:56.600] ことはできなくなった。
[00:31:02.639] ハンマーもう1個必要なんだけど。
[00:31:11.080] いーむずいね。ハンマー1個足なあ。
[00:31:15.720] おロボ
[00:31:17.279] さんありがとう。ロボさんレドありがとう
[00:31:20.039] 。
[00:31:21.919] 制ドりがとう。嬉しい。
[00:31:23.240] こんにちは。
[00:31:24.000] 我が輩さん、こんばんは。我が輩さん、我が輩。今日もやってますよ。
[00:31:28.639] MSX
[00:31:30.320] L
[00:31:30.399] ルギーザの封印というゲームをよろしくやっております。バカムジいわ。バカムじくてよ。アクションパズルな。
[00:31:38.840] ないレイ。
[00:31:39.559] バカてよ。
[00:31:40.360] こんばんは。ムスックスのパッケージ。
[00:31:42.480] やっぱMSX
[00:31:44.000] はね、パッケージがね、やっぱいいんすよね。パッケージがいいんすよ。
[00:31:50.399] これでかいパッケージが良すぎるということで
[00:31:53.960] ロボレードレイドということであ、フリさんどうもこんばんは。こんばんは。こんばんは。
[00:31:58.679] 素晴らしい。やはりパッケージ収集箱付き収集コレクターの俺にとってはね。
[00:32:04.519] こんばんは。
[00:32:05.360] パッケージ収集コレクターの俺からしてはやっぱこういうでかいパッケージあの最高グー。ソラゼルさんもこんばんは。そさんこんばんは。
[00:32:12.559] メタルギア素敵
[00:32:13.840] メタルギアもうね倉庫言ってたらね、メタルギアワツね。
[00:32:18.840] なんかね、なんかしんないけど揃っちゃったんだよね。これもいつか配信でやりますわ。シュシュ。はい、ということで雑魚します。
[00:32:28.600] メタルギアのパッケ。
[00:32:29.919] いや、えぐいよな。えぐいよね。
[00:32:31.240] スネークの顔が今と違う。素敵。
[00:32:33.919] 1
[00:32:34.080] 番やびスのあれだからな。メタルギア
[00:32:38.880] 2
[00:32:39.120] のスネークの顔。いや、誰?え、誰こいつ?これ、これスネークらしい。これが。いや、誰やねん。
[00:32:49.559] 誰やねん?
[00:32:50.080] 違う。笑。え、
[00:32:53.519] それが味があっていいの?それが味があっていいんだよ。で、今日は
[00:32:57.159] プレステ2の移植版差し替えてました。
[00:32:59.679] そうなんだよ。そう。これなんで俺
[00:33:00.840] わざわざこれ買ったかった。そう、移植版
[00:33:02.639] はね、あのMSXのメタルギア12って
[00:33:05.760] なんだかんだあのね、コレクションとかに
[00:33:08.159] もね、おまけみたいな感じで入ってるんだ
[00:33:09.880] けど、やっぱ当時のなんか表現、昔の言葉
[00:33:13.480] の表現だったりなんか映画のネタとか著作
[00:33:17.440] 権に関わりそうなの全部差し替えられ
[00:33:19.240] ちゃってんだよね。これ昔のやつがやり
[00:33:20.679] たいんだやっぱり。ということで1回これ
[00:33:22.960] ちょっと死にますわ。ここ無人。
[00:33:27.760] ここバカ無人よ。
[00:33:32.480] これね、どういうゲームかって言うと、
[00:33:35.279] この画面内にある金の玉あるじゃないです
[00:33:37.120] か。金の玉を、金の玉別にそういう変な
[00:33:41.080] 意味じゃないですよ。金の玉を全部集めて
[00:33:44.279] ゴールに行くという。この玉を全部集める
[00:33:47.080] とゴールの開いてあの次のステージに
[00:33:50.519] 行けるやつなんだけど、ま、そむずいのよ
[00:33:52.639] 。むずいのよ。
[00:33:54.639] スターコレクションでも説明書とこで別人スネークのごができます。
[00:34:00.279] そうなんだ。そうなんだ。そこ差し替えられてないんだ。えー、でね、アイテム、あの、ハンマーとかね、アイテムを使ってこの壁を壊すことができるんだけど、その壊すアイテムが有限でさ、どこにどう使うかっていうのめっちゃ考えなきゃいけないのよ。なんかソロモンの鍵に似てるっちゃ似てるよな。
[00:34:18.240] ハンマーカンマー、
[00:34:19.119] ハンマーカンマーなちゃ、こんばんは。
[00:34:22.560] ちょ、このハンマー使って。いや、だ、どうすんの?これマジで全然わかんない。ここ超むずいんだよ。マジで。
[00:34:35.159] ソロモンの鍵とかロードランナーとか。
[00:34:37.320] そう、そう、そんな感じ。そんな感じ。ソロモンはね、あれも俺もクリアしたけど。クリアしたんですけど。ドヤ顔クリアしたんですけどソロモンもめっちゃ難かったけど、でもあれはなんか面白かった。面白いかかった。難しいより。ま、これも面白いんだけどね。もちろん。
[00:34:52.000] これももちろん面白いんだが、だがですよ
[00:34:55.359] 。
[00:34:57.240] いや、もうなんか間違えてる気がすんな、
[00:34:58.920] これ。もう間違えてる気がする。
[00:35:03.680] いや、これここでハンマー使わない方がで
[00:35:06.280] も使わねえとこれ取れねえんだよな。使わ
[00:35:09.960] ねえと取れねえよな。いや、でもなんか
[00:35:13.079] 間違ってる気がすんな、これ。なんか何回
[00:35:15.200] やってもハンマーが1個足んねえんだよ。
[00:35:18.359] 何回やってもね、ハンマーが
[00:35:20.200] 1
[00:35:20.320] 個足りないんだよね。で、攻撃はこの投げフね。もう
[00:35:26.960] 1回取って
[00:35:34.520] 逆に考えてみて。
[00:35:35.880] え、何?何?何?逆に考えてみて。分かって言ってんのか?おい、何?逆に考えてみて。何逆にってだ?どっかカンマーカンマー使わないでいけるんだろうな、俺。
[00:35:48.040] 俺がそこに気づいてないんだよ。多分どっかハンマー使わずに多分行ける場所があるんだよ。
[00:35:52.760] ハンマーが足りないってことは
[00:35:54.680] 何?ハンマーが足りないってことだよ。
[00:35:56.839] はい。
[00:35:59.280] ハンマーがなしで1
[00:36:00.839] 個取れる場所があるんですよね。ただもう絶対に必要なところはもう分かるじゃん。ここは絶対このこの上のこれは絶対必要やん。だって囲われちゃってんねんから。囲われちゃってんだから。これは絶対いだ。
[00:36:16.520] これはもう取り用がないもんだって。
[00:36:19.280] からくリもクソもない。
[00:36:21.960] ただ
[00:36:24.640] この石コラ坊やで、これこの石の状態の時
