[00:01:26.840] エた。
[00:09:33.880] お薬持ってたから警察になったけど逮捕かわからない。
[00:09:38.600] そうま、ま、タイマはね、あの所持が違法なだけど使用は違法じゃないというね、この法律の穴ですよ。私はお金を渡す相手は母と
[00:09:47.519] い、別にいい。別にいや、別にいいよ。とりと大丈夫大丈夫大丈大丈夫大丈夫大丈夫。
[00:09:52.720] お前確かなんだっけ?14歳なんだっけ?
[00:09:55.160] 156
[00:09:55.680] 歳でしょ。そんなガキから金巻き上げようとしてね。地
[00:09:59.880] 休まで会社のほんまやで。でもまあ仲いい人だからいいんだけど。仲いい人いいんだけどなんか色々話してたらあのその奥さんがなんか
[00:10:07.320] 邪魔が妻になるよ。
[00:10:08.760] 携帯の携帯のアプリに
[00:10:10.440] 400
[00:10:10.839] 万課金してたらしくて。いやもうなんかすごい世界だった。なんか
[00:10:12.431] [笑い]
[00:10:15.640] 400
[00:10:15.959] 万課金してたらしいよ。俺ま、そのみんなには関係ない人だけど。うん。で、すごいすごい。
[00:10:21.560] なんか
[00:10:22.000] 未成年からお金を
[00:10:23.240] すごいすごい大変な思いね。ちんちゃ変えるやん。
[00:10:27.680] 脇毛大無場。お疲れ。脇毛大。なんかホサバ。ほサバって知ってる?みんなホワサバって知ってる?ホワイトアウトサバイバル。俺全く知らないんだけど。なんか嫁さんがドはまりしちゃって。嫁さんがドはまりしちゃって。ホアカマじゃないこれ。ホワイトカマキリな。ホアサバな。うん。
[00:10:39.942] [笑い]
[00:10:46.492] [鼻息]400万課金してらしい。
[00:10:48.457] [笑い]
[00:10:48.800] やばすぎるだろ。顔真っ白になってたね。
[00:10:52.600] おお、夫の顔がふわサバになってたわ。
[00:10:55.880] ホワイトアウトしてた。真っさになって。
[00:10:58.282] [笑い]
[00:11:00.120] いやあ、すごいなあ。
[00:11:03.680] なんか1回200な、200何十万課金で
[00:11:08.760] 1回
[00:11:10.839] なんか1回らし、もう気づいてめっちゃ
[00:11:13.880] ぶち切れたんだけど、もうなんかまた
[00:11:16.720] 100何十万やったらしい。やばく
[00:11:18.587] [笑い]ない?しかも奥さん働いてない
[00:11:21.160] らしい。やばいでしょ。[笑い]
[00:11:23.880] ざっとしたぜで。みーちゃんお疲れ。み
[00:11:25.839] ちゃんお疲れ。40、40連続お疲れ
[00:11:28.600] ちゃん。やってくぞ。今日もドラグニティ
[00:11:31.120] クエスト7もういいか。ま、そんなうちの
[00:11:33.120] 会場の一緒の話はどうとしてやってきます
[00:11:34.800] わ。うん。大変だな。応援したい。俺は
[00:11:38.200] 応援したいと思う。頑張れ。ま、頑張れ
[00:11:41.360] 旦那ちゅう
[00:11:44.200] ことで。あ、電源切れてるわ。
[00:11:45.839] もうあまりにも放置して働いていないとお金の重みわからないのかもしれない。
[00:11:49.680] そういうこともあるかもな。そういうこともあるかもな。さ、やってくぜ。ドラグニティークエスト
[00:11:55.720] 7イマジンズぴょっぴょ
[00:11:58.880] ジイマジンズやってくぞ。イモこお疲れ。いもこ疲れ。やっていくぞ。今夜もスクエアエニックスゼンentマリベルに会いたい。もうマリベルでいい。もうマリベルでいい。マリベルがいい。
[00:12:08.368] [鼻息]
[00:12:14.263] [音楽]
[00:12:19.600] これ1
[00:12:20.000] 番くじさやればよかった。やりたかった。
[00:12:23.839] お前らケコーンシルやっていく。前もう飛ばしますけどもね。飛ばしますがやってくぜ。よろし。レプレイ時間
[00:12:32.760] 4時間15
[00:12:33.880] 分。これまでの冒険の記録を見ますか?何そんななんだの?ええ、こんなあるねや。
[00:12:40.279] でもなんだこれ?あれなんかな?これ自分で読むんだ。こういうのあるんだ。なんか前回のプリズムブレイクはみたいな。音楽飛んだ。ビグサッド
[00:12:45.703] [笑い]
[00:12:50.288] [鼻息]
[00:12:52.959] ごめんごめんごめん。前回までのプリズンプレイク。これ何?あの亀仙
[00:12:57.760] 000人の声で読んでくんないの?亀千
[00:13:00.160] 000
[00:13:00.279] 人の声で呼んでくんねえのかな?これ飛ばしたタ。いやだってもう見たもん。昨日。はい。やってきます。
[00:13:10.279] よろしい。
[00:13:11.199] はい。
[00:13:12.040] よろしく。なんだっけ?今日何すんだ?ラ。えっとね、新しいなんかあれやんな。新しいとこ行っていいんだよな。確か新しい、えー、新しい、え、あれだね。
[00:13:33.000] お疲れ。
[00:13:34.079] 地図っちゃすぎるって。これありさん、お疲れちゃん。ありがとさん、お疲れ。
[00:13:38.839] やっていこうぜ。これさ、ここになんかあるで。これさ、地図ちっちゃすぎない?ここなんかあるよ。ちょっと外いや、
[00:13:49.160] 1回ちょっと外出るわ。[鼻息]
[00:13:57.120] まあまあまあまあままままままね。
[00:14:02.079] ずっとあれ光ってんの気になるんだけどどうやって取るんあれ?
[00:14:08.079] 笑
[00:14:10.320] 何何何何何何何そういうそういう意味じゃねえよが歌まらまマまマまマまマまマまマまマラマラマラマまマまマまマまマまマラ
[00:14:30.720] ままままになりさん、こんばんは。
[00:14:33.720] え、ドラグニティクエストセやっておりますから。え、ここなの?ここなの?いや、明らかませんやん。え、これ大丈夫?俺取り逃してる。これもしかして明らかに足りないんだけど。こっちじゃねえの?ここだろ?最初は。ここやね。ここ行っていいよね?こ、今日はここだよ。今日は目が今日はここだよ。
[00:14:46.880] [鼻息]
[00:15:02.399] 行くぜ。
[00:15:12.120] え、可愛いどなん
[00:15:17.010] [鼻息]ですの?
[00:15:22.600] 死ぬ。いや、死ぬ。[鼻息]
[00:15:28.240] もう全然覚えてないわ、これ。こんなええ死んでるやん。本当に本当に死ぬやん、これ。
[00:15:34.695] [鼻息]
[00:15:39.759] 辛いもの食った後のトイレ。こんな感じ。
[00:15:42.555] [笑い]
[00:15:44.079] 新ラーメン食った後のケツ。
[00:15:45.360] 今の光景を見たか。噴火に村が巻き込まれちまった。
[00:15:50.199] あんたたちも見たの?
[00:15:51.519] お、可愛いな。
[00:15:52.480] 確かに向こうに火山っぽいのはあるけど。
[00:15:55.000] カまぼコみたいな名して可愛いな。食べちゃうぞつって。
[00:15:58.000] あ、も起きてないわよ。
[00:16:01.160] 私たち悪い夢でも見てたんじゃないの?
[00:16:02.861] [音楽]
[00:16:05.319] ど
[00:16:05.880] て?おい、見ろよ、これ。
[00:16:09.720] なんてこった。俺たちの帰り道が
[00:16:14.800] 可愛いんだからも
[00:16:16.759] こんなに来てきたってことは
[00:16:19.360] ね。
[00:16:19.880] さっきのあれは夢じゃないのか。
[00:16:21.959] おじさんがね、今は考えてても仕方ないか。
[00:16:26.480] 橋本君の配信苦しい時村のを確かめに行こうぜ。
[00:16:29.716] [笑い]
[00:16:32.480] うざ。むかつくんだけど。は
[00:16:35.839] なんだよ。苦しい時って何が苦しい時ってする苦しい。
[00:16:41.506] [笑い]
[00:16:43.480] あ、お疲れちゃん。お疲れちゃん。お疲れ。しずさんこんばんは。喉がキュッとする。このままじゃ家には帰れないし。近くに村があるなら行ってみましょう。お
[00:16:52.360] せ
[00:16:53.000] 中魔獣がいますやん。
[00:16:54.120] ここにもエロ同人にから始まって
[00:16:57.881] [笑い]
[00:16:59.319] 苦しい時から始まって
[00:17:02.560] だんだん痛みになって心がね、
[00:17:07.880] このエロエロ同人に出るために生まれてきたような魔物
[00:17:13.280] はあ
[00:17:16.000] おいっぺいるじゃねえかよ
[00:17:22.120] リリパット
[00:17:25.679] テポよし。愛も変わらずテポよし。ア
[00:17:31.679] いいね。マリベル何気に攻撃力もあるぞ。
[00:17:38.240] よしよしよし。あ、これ行けるかな?これあれだよな。これ確かあの
[00:17:44.080] せい
[00:17:44.919] なんかあのあれだよな。心だよな。心。心がね。
[00:17:52.160] 炎よ。強くなりすぎた気がするな、俺。
[00:17:57.200] 強くなりすぎた気がする。
[00:18:01.200] やったな。
[00:18:01.880] お疲れ。
[00:18:02.440] はい。リさん、お疲れちゃん。やっていきますよ、今日も。ドラグニティ。こいつ絶対強いよな。ま、行けんべ。やってみよう。あ、待て。さっきから、さっきの光景から考えるとこの近くには村があるはずだ。村の人たちが無事かどうかも心配だし、早く様子を見に行ってみようぜ。
[00:18:19.240] 生まれ変わるということは前世があるということで
[00:18:22.880] 何何何もいくつか自分の前世を見たりしてきました。橋本
[00:18:29.120] 何ですかそれ?なんですかそれ?
[00:18:32.440] 何ですか?
[00:18:35.480] 波動に目覚めてる。
[00:18:36.760] 波動に目覚めた
[00:18:39.880] さあ
[00:18:41.159] 気づき。
[00:18:41.760] 怖い。
[00:18:42.799] これは気づきです。大々大大出世。
[00:18:49.960] まあ行けんだろ。これどう?
[00:18:52.679] 多分いけんだろ。
[00:18:54.200] 大して強ないやろ。
[00:18:56.559] ほら行ける。おい、そんな強ない。そんな強ない。
[00:19:02.600] かいい。
[00:19:04.720] 氷の魔法やる時ひえひえって言うんだよ。可愛すぎるでしょ。ひえひえ。
[00:19:09.679] スピチュアルダンス。
[00:19:17.039] そうそういうことすの?え、めっちゃ出てきた。
[00:19:29.039] 毒もたまに使う
[00:19:31.240] 俺。ひえひえはひえ
[00:19:37.080] あの黒人の黒人がなんか笑う動画あるよな。ひえひえひえひえひえて笑うやつ。
[00:19:47.000] あの頃のインターネットは良かったよな。
[00:19:49.600] あんなんで俺もにって笑うじじね。
[00:19:56.120] 界を聞いたの
[00:19:58.480] ね。ちゃん有名な日本の声優が近々。え、ごめん。知らない。
[00:20:03.248] [笑い]
[00:20:04.120] ごめん。知らない。
[00:20:06.720] プロレスのネタはちょっとあのあれだわ。
[00:20:09.960] あれだわ。範囲以外だから。
[00:20:12.919] 火炎切り
[00:20:13.880] デブが全員プロレス好きだと思ったら大間違いだ。
[00:20:18.080] ありがとね。
[00:20:23.000] それあた。
[00:20:25.880] おりゃ。まだ死ねえ。
[00:20:32.679] でも俺ちょっと俺ちょっと強くなりすぎたんから。
[00:20:36.600] おお、めっちゃ回心出るやん。
[00:20:39.320] なんで全なんや。え、ダメだ。
[00:20:41.919] 私にとって全なものな
[00:20:45.320] ちゃうねんちゃうねん。あのあれだよ。ボス的はちゃんと戦おうかな。雑魚敵はいいかなっていう。ま、これはもう雑魚じゃないのかな?これは雑魚ではないのか。もうやめてよね。うわ、しかもバシ音じゃん。は、
[00:20:58.269] [うめき声]
[00:21:03.919] これボスリパッドエッジは分かった。じゃ、ちょっとあれしよっかな。こっから、こっから。
[00:21:11.720] こっからは命令させるにしよう。これじゃ
[00:21:13.640] 、ちょっと待って。えっと、じゃあ回復さ
[00:21:15.760] せたくない?じゃあ回復させようよ。
[00:21:18.880] じゃあ回復させ。なんかさ、たまに勝手に
[00:21:22.440] 電気つくの何?この部屋怖いんだけど。
[00:21:26.720] たまに勝手[音楽]に電気つくんだけど。
[00:21:29.799] マジで霊勝じゃん。
[00:21:33.320] 霊勝系霊勝
[00:21:35.279] の
[00:21:39.559] やめてよ。
[00:21:42.279] バイシンやめて。
[00:21:43.520] リスナーが操作。
[00:21:44.960] こうやな。
[00:21:48.279] なんかでもリスナーがさ、チャンネルポイントでさ、なんかなんか家電動かすみたいな作ってた人いたよな。そんなことできるやつがいるんだ。この世の中にはちょっとさ、バ入れちゃうから。
[00:22:03.200] ああ。た、
[00:22:07.880] 火炎切りでしょ。
[00:22:10.640] いいな、それ。
[00:22:12.440] 絶対やだよ。あ、やべ、死ぬ。やばい。ダックしたい。
[00:22:17.525] [笑い]
[00:22:18.320] もう古だどっか行った。もう古だどっか行ったよ。いや、もうや。強いんじゃ。
[00:22:28.760] よしよし。
[00:22:29.200] ありがとな。
[00:22:34.840] さすがにこれで死ぬやろ。
[00:22:38.080] よしよし。
[00:22:38.480] まずはな周りからほんでこうよ。終わりやね。全然死なないんだけど。全然死なないやん。何こいつめちゃ強ない?
[00:22:50.880] はあ。やめる。
[00:22:59.039] 終り。よし。オッケー。
[00:23:02.960] 俺たちの勝ちだ。
[00:23:04.159] イエスイエスイエスイエスイエスイエス。
[00:23:08.120] おい、しかもい覚えたぜ。将来有望すぎるだろ。
[00:23:12.760] リリパッドの心だそうです。リパットの心ってなんだよ。えー、相手の弱みにとことんつけ込む抜群な戦略な。何なんそれな?何なんそれ?俺が装備しようね。ちょっとさ、これ怖いのがさ、キーファー、
[00:23:31.960] まゆ、
[00:23:32.679] ま、ごめん。あの、これセブンやったことない人申し訳ないんだけどっていくなるじゃん。
[00:23:37.440] 詳細見べ
[00:23:38.559] キーファってさ、いなくなるじゃん。こいつが装備してるもんって持ってかれる。詳細ってどうやって見る?詳細ってどうやって?詳しく見る。あ、なるほどね。あ、間違えた。大き槌。
[00:23:50.640] それは言えへん。は、
[00:23:52.520] それはそれは言えへん。お味噌なめこんばんは。ドラクエやってんねん。好きや。ドラクエ。本当だ。
[00:23:58.760] これだけは言えない。
[00:24:00.360] 抜群の時に敵に与えるダメージが
[00:24:02.480] 20%増える。ほえ。しろ。
[00:24:04.520] じゃあさ、じゃあこっちじゃね?
[00:24:07.400] キャラ丸るネタバレ派だね。
[00:24:08.919] じゃあこっちじゃね
[00:24:10.679] なあ。そう絶対マリベルだよね。属性攻撃いっぱい持ってんだから。あと可愛い。あと可愛いから。可愛いとね、あの、あれしますわ。あの、得ですわな。可愛いと超ネ体しちゃう。可愛い。よし。早くあれしてえな。早く転職できるようになりてえな。この先。
[00:24:32.080] あ、援ある。援あったね。援ってあったよね。
[00:24:40.919] あ、もう猫魔堂もパツ位置で行きますわ。猫魔堂も
[00:24:46.919] せい。
[00:24:47.720] おいおい。
[00:24:48.720] は
[00:24:49.760] 余裕すぎ。強くなりすぎたのかもしれない。俺たちは。俺たちは強くなりすぎたのかもしれない。もうばっちり頑張って。
[00:25:03.799] マジでね、あれなんだよ、このゲームね。戦闘のあの店舗良し。うん。気持ちよし。命の気のみね。いや、もうこんなん出てこられたら戦うしかないやん。
[00:25:23.880] 絶対今期のあれだろうな。
[00:25:27.679] コミケには多分中魔獣の同人誌がうん。
[00:25:31.720] 溢れ替えるんだろうな。どうせ考えること一緒なんだろうな。みんな同人誌に出るため
[00:25:43.679] 同人誌に出るための姿してるもん。
[00:25:48.760] 何何何?メタルギアライジングハズ
[00:25:51.679] be知らん。
[00:25:53.480] 何するん?
[00:25:55.080] 何する?後ろに見えるのが妖定山。やめてくれ。妖定山。頭が
[00:26:03.000] まずい。[笑い]
[00:26:06.600] あ、あつ。お。
[00:26:10.039] うん。こんなとこで昼まくっからでっかい炎を灯してるのかって。
[00:26:13.240] あ、
[00:26:13.720] バカ。言っちゃいけねえぜ。俺たち援の民は炎の精霊を崇める炎の民。炎と共に暮らしているのさ。
[00:26:22.559] おや。
[00:26:23.360] あら、まあ、あんたち旅の人かい?珍しいこともあるもんだ。ここは援護の村だよ。何もない村だけどゆっくりしてっておくれ。ん?村は大事かってあんたたちもおかしなことを聞くね。その上で周りを見てこらんよ。どこをどうどう見たって平和そのものじゃないか。
[00:26:36.480] はい。
[00:26:37.600] この村の北に大きな加算があるのはご存知か?知らん。あれが、あれこそが私たちの精霊が追わす炎の山よ。こんな北の土地でも寒さに小声にいられるのは全て炎の山のおかげですわ。
[00:26:38.873] [音楽]
[00:26:51.720] ドラクエ火山出がち。ドラクエは火山が。あ、ちょっと休もう。おい、ベッドが
[00:26:58.559] 2つしかねえぞ。おい、みんなベッドが
[00:27:01.320] 2
[00:27:01.520] つしかない。わかるね。この意味が分かるね。
[00:27:04.520] てことは?
[00:27:06.399] てことは
[00:27:10.039] あ、
[00:27:10.279] ティーファはあっち行けよ。ああって。もうなんかその
[00:27:13.588] [笑い]
[00:27:15.520] 1
[00:27:15.640] 人床ね。
[00:27:16.520] 懐かしいな。その、その懐かしいわ。
[00:27:20.080] なんかそのイニシのインターネット
[00:27:22.039] ちゃネポ使う忘れました。ごめんメタルギや
[00:27:25.960] いやないないないレコードとか
[00:27:28.960] レコードを変えるってあのないねんて。今ゲーム中だからな。ごめんなゲーム中はできないんだ。
[00:27:36.640] うん。見たところ何の異変も起こってないようなどうにもモするな。ひとまずここの村長に俺たちが見たあの光景のことを伝えに行ってみるか。あ、え?あ、大丈夫?
[00:27:38.479] [音楽]
[00:27:49.279] おや。
[00:27:51.080] あらあら、炎の精霊様今日もお元気さね。
[00:27:53.559] おお、なるほど。説明あり。
[00:27:55.679] ごめんね。使ってもらったのに。ごめんね。後で返しとくよ。ポイントはそれにこの村の家はちょっとやつで崩れしいいよ。安心して休んでいきな。お、小さなメダルか。んだよな。
[00:28:02.714] [音楽]
[00:28:05.334] [鼻息]
[00:28:08.600] 50円。あ、なんか装備
[00:28:11.760] や。
[00:28:12.799] 装備かな?
[00:28:16.360] ゆらゆらと揺らめく炎を見てると心が落ち着いてきませんか?他の国じゃ炎や火や炎を破壊や道具と暴力の道具として取られてるようですが、それは間違いですよ。炎を生み出す力なんです。肺の中から何かを
[00:28:29.679] ネポ集める楽しいし
[00:28:33.559] ゲーム長弱のポイント返してくれ。
[00:28:35.200] 何のことかな?一体何のことだ?
[00:28:42.840] ゲームリクエストな。ゲームクエストなあ。ね、ゲームのリクエストもあったな。そんなのもしたのに。
[00:28:55.769] [笑い]
[00:28:59.000] いや、でもさ、逆に聞きたい。20万返し
[00:29:01.440] て。じゃあどうすんの?[笑い]
[00:29:04.840] 別に使い道じゃないやん。俺のチャンネル
[00:29:06.799] 、俺のチャンネルのチャンネルポイント
[00:29:08.640] なんてさ。
[00:29:11.399] いや、全然返すけど。いや、でもな、どう
[00:29:14.000] 、
[00:29:16.679] ゲームのリクエストってどうなんだろうね
[00:29:18.960] 。リスナーからしたらやっぱあった方が
[00:29:21.960] いいのかね。やっぱあった方がいいのか。
[00:29:26.000] はい。
[00:29:28.000] はい。[音楽]
[00:29:32.240] あ、居原の鞭。あ、どうしようかな。これ
[00:29:34.120] 買い換えようかな。
[00:29:36.320] 買おっか。これね、だってあ、でもいや、
[00:29:39.320] でもいらねえか。いらねえよな。いるか、
[00:29:42.000] これ。
[00:29:44.120] 皮のドレス高い。700円。770円しか
[00:29:46.640] ない。でも買ってあげる。
[00:29:58.480] お金がねえよ。お金が、お金がなし。
[00:30:03.235] [鼻息]
[00:30:04.080] つまり十分な量のチネポを集めればメキシコのゲームもできると思。
[00:30:09.039] メキシコのゲームはできんて?メキシコのゲームはできないよ。どうやってやるんだよ。
[00:30:12.405] [鼻息]
[00:30:19.480] メキシコのゲーム草。
[00:30:21.575] [笑い]
[00:30:22.960] メキシコのゲーム機持ってないもん、俺。メキシコのゲーム機持ってないよ。
[00:30:28.126] [鼻息]
[00:30:30.080] 教えてじゃん。例えばだけどトリトが俺にやらせたいメキシコのゲームはなんてタイトル?なんてタイトルのゲーム?俺にやらせたいメキシコのゲームの帽子か。これな
[00:30:44.240] ムにあればワンチャンですかね。
[00:30:45.640] まあSteamにあればね。Steam
[00:30:47.679] にあればうん。確かにSteam
[00:30:49.200] にあればね。どうしよう。種さ結局まだ食ってないねんな。
[00:30:50.396] [鼻息]
[00:30:57.760] 種結局食ってないんだよね。ないんかい?
[00:30:59.566] [鼻息]
[00:31:04.519] そうですね。
[00:31:09.559] ブツブツブツブツぶツおかずかに見え
[00:31:13.799] やるとは言っていない[笑い]
[00:31:18.000] ゲームリクエストなあ。いや、なんかゲームクエストな。
[00:31:23.960] メキシコゲームするの好きすぎる。
[00:31:26.760] ゲームリクエストなあ。しもぎちゃんお疲れ。しもきちゃんお疲れ。ロボちゃんありがと。
[00:31:31.440] てほしい。
[00:31:34.639] なんかを持って丘を登り悪魔と戦うおじいさんの話のゲームはとてもよ。
[00:31:38.211] [音楽]
[00:31:42.360] 思んなそうだもん。もうい
[00:31:46.399] も思んなそうやん。もう[笑い]
[00:31:52.440] マチェットを持ってお顔を登り悪魔と戦うおじいさんの話な何ていうゲームなの?タイトルはバカブスクはどうした?誰も通すなと言っておいただろうが。あと少しで何かが見えるとこじゃあったのにまたやり直しじゃ。誰か知らんが邪魔せといてくれ。ごめんなさい。
[00:31:59.172] [鼻息]
[00:32:09.799] 感動した。
[00:32:13.519] あら、お客さんですか?パミラ、パミラ印
[00:32:15.639] のよく聞くおすり、お薬をお求め、それと
[00:32:18.279] も占い[鼻息]
[00:32:20.200] 質問に対してはかいいっていうのがもう
[00:32:24.080] 明らかにコミ障すぎるでしょ。この質問に
[00:32:27.919] 対してはかいえで答える
[00:32:29.480] るって米生姜すぎる
[00:32:31.880] だろ。どなんどっちなとどっちになるんだ
[00:32:34.679] ?はい。どっちにしてもダめでしょうね。
[00:32:36.919] ファミラったらなっちゃったらもう使い物
[00:32:38.480] にならないから探します。うん。ちょっと
[00:32:40.360] 探て。ま、やらないけど。[笑い]
[00:32:42.880] イエスの
[00:32:44.279] イエス。おのしかない。ゲームクエストはね、チャマゲームさ、みんなの思い出のゲーム怪我しちゃうからさ、みんなが思い出のゲームにも平気な顔してつまんねえって言っちゃうからさ。それを分かった。分かってリクエストしてくれればいいんだけど、やっぱそういう人が全てじゃないので。
[00:33:10.159] ロマサが
[00:33:11.559] ロマサガもそうだしなんだっけな。なんだっけ?
[00:33:14.480] 1
[00:33:14.639] 回ガチでリスナーと揉めたんだよな。なんだっけ?なんてゲームだったっけな。なんか変なシューティングみたいなやつなんだっけ?あれ名前忘れちゃった。
[00:33:23.360] いす
[00:33:24.080] いじゃない。まだまだいい方だよ。いいすわ。な何ていうゲームだったかな。名前変な名前なんだよな。
[00:33:31.799] ももみんなのみんなの思い出のゲーム変な名前とか言っちゃうからなんていうお
[00:33:36.113] [鼻息]
[00:33:40.519] すっごい嫌悪なムートになっちゃった。俺があんまりにも死んだ顔してこのゲーム思んないな。
[00:33:46.880] なゲームだったっけ?
[00:33:48.000] なんかインベーダーゲームの進化系みたいなやつで俺が顔なんか全然盛り上がんなくてあとか言いながらやったらそんなんだったらリクエストしませんでしたとか言われてごめんなさい。ごめんってなってさ。ついてんなゲームはなるやんだって。
[00:33:53.143] [笑い]
[00:34:16.079] そうなるでしょ、みんなもみんなの思い出のゲームありますよね。
[00:34:21.919] 笑笑。
