[00:00:15.759] うお。
[00:11:03.000] ほんまにやめて。あの、ほんまにやめて。あの、ユニオンな
[00:11:07.120] 詳しい。あいつ、こいつ、そいつ、どいつな。
[00:11:10.120] やってたパロディウス。
[00:11:11.040] それ元ネタそれだから。これだから。元ネタこれだから。あのパロディウスだから。
[00:11:15.600] あの、ま、とかやりますか。どんなゲームか知らん。やってきます。多分だけど、多分だけどね。多分だけどね、めっちゃむずいと思う。あの、ま、本当に昔のゲームなんで、ファミコンより昔のゲームなんで多分ね、
[00:11:30.560] 死ぬほどむずいと思うんだよね。のんびさんもこんばんは。まずこの起動画面を見てください。この作ってくるから。
[00:11:36.680] MSX
[00:11:38.120] いいですね。いいですね。ちょっと画質がビガビなのは許してな。実気だから。
[00:11:43.639] 我じゃなくて実気だからよ。さすがに画質は許してくれ。
[00:11:48.399] 昔のこ原色すごい。
[00:11:50.639] 原色すごいんだよ。そう、原色がすごい。なんて触ったこともないわ。
[00:11:55.079] そうだろうな。ないだろうな。あ、ちょっと待って。ちょっと待って。今ちょっと待って。あ、ちょっと待って。下に
[00:11:59.519] ちょっと綺麗やん。
[00:12:00.880] 128kになった時代。
[00:12:03.880] 128kgパソコンのさ、ラムがさ、
[00:12:07.120] 128kの時代だぞ。
[00:12:09.800] おめ目めチカチカする。
[00:12:11.000] 音、音がね、音が、音がちっちゃい。そう、目がね、そう、チカチカしちゃうのはね、多分本当にすると思うんだよね。ちょっと待ってね。ちょっと今これ始まってないからね。ちょ、あ、音がちっちゃいんだよね。
[00:12:21.959] MSちょっと音あげるね。
[00:12:23.480] うスって挨拶じゃなくてゲームタイトルげれるんじゃなかったかな。アクションゲーム。
[00:12:28.959] そう、アクションゲームらしい。ちょっと待ってね。ちょっと環境な。
[00:12:33.600] ちょっと待って。音ちょっと大きくするね。音どうやって大きくすんだっけな?やり方ちゃったな。
[00:12:40.920] すげえ。鮮やか。目がきつい。笑。
[00:12:44.639] あれ
[00:12:45.320] タイトルが笑い声みたいでおもろい。
[00:12:47.399] うしす。あ、音量。これマックスだ。やべ、
[00:12:49.760] 大きくなってきてるよ。
[00:12:51.079] いや、ちょっとOBSであげるわ。じゃあ
[00:12:53.120] OBSであげるわ。画面も初めて見た。
[00:12:55.440] ちょっと待ってね。これさ、原色きつくない?原色めっちゃきつない?
[00:13:02.480] これはリスナーも試されてる。きつい。笑笑。
[00:13:06.560] ちょいきつい。ドぎつい
[00:13:08.160] ね。そうだよね。
[00:13:08.880] ちょっとさ、あの音フィルターであげるね。フィルターで変えるわ。ちょっとさ、あの音ちょっとみんな音ってか
[00:13:14.519] れるコメらん?
[00:13:15.360] ちょっと見てて。ちょっと見てて。あの色変えるね。色変えるわ。さすがにちょっと
[00:13:20.079] ガリウスっぽさあるな。
[00:13:22.120] ちょっと音いいな。あ、音いい。ちょっと待って。まだま最初からもちろんやれる。ちょっとちょっとちょっとちょっと待って。ちょっとストップ。
[00:13:32.920] 音いいな。
[00:13:33.480] ちょっと待って。音めっちゃいいな。音めっちゃ良かったな。
[00:13:35.839] 今ちょっと待って。あの色ちょっと色ちょっとさ、フィルターかけるからちょっと待ってさすがに原色きつすぎるやろこれ。およし色きしはかっけ
[00:13:47.720] 色てあとしてガンマッチ落としたらいい感じ。ちょっとガチ落としたら木怒。あ、木怒ちょえあえさすがにちょっとどうだろう?こんくらいかな?ちょっと出しながらやりながら。
[00:14:03.240] 木怒哀楽
[00:14:04.240] 木怒哀楽。
[00:14:05.000] このシスというゲームじゃ分かりました。ちょっと待って。あの、じゃ、ちょっと待ってね。あの、説明書読んだるわ。みんなのために説明書読むわ。説明書読んでやるわ。な、一応このストーリーがあるねん。ストーリーが
[00:14:17.199] いところになったらいいます。
[00:14:19.199] えっと、ね、えっとね、ちょっと待ってね。またさ、みんなちょっとちょ、ちょ、ごめん、もうごめん。なかなかもうゲーム始まんなくてごめんな。俺のオタクな部分が出てる。このまま味のある味のある。これ最高ちゃう?これ味がありすぎるだろ。
[00:14:34.519] なんて
[00:14:35.199] 味がありすぎない?このなんかなんかこのこの感じ
[00:14:40.480] めちゃめちゃ良くない?めちゃめちゃ良くない?ちょっと読みますわ。
[00:14:44.680] え、
[00:14:44.959] この説明書の感じいいよな。
[00:14:46.839] いいよな。この昔の説明書の感じ。月日。え、
[00:14:52.880] 今のゲームにはない。
[00:14:54.079] なんかちょっとでもめんどくせえな読むの。ちょっとめんどくせえの読むのな。
[00:14:59.320] えっと、ま、なんか大学生の主人公が2人
[00:15:03.320] いるんすよ。このゲーム主人公が2人いて
[00:15:05.399] 、クレスとウットってやつがいるんすよ。
[00:15:08.079] その2人があたこんばんは。えっとね、
[00:15:10.839] 大学教授、これ大学教授ですわな。大学
[00:15:13.959] 教授のこのなんとか教授さん、こうなんと
[00:15:16.440] か教授さんに頼まれてなんかこのどこの
[00:15:19.120] どこだ、どこのどっかの
[00:15:22.079] どっかのなんか遺跡にどっかの遺跡に行け
[00:15:26.040] と言われたわけですよ。どこだかわかん
[00:15:28.319] ねえけど。
[00:15:31.800] このインドなインド。
[00:15:34.480] そう、インドや。よくわかったな。そう、インド、インド、インド、インドの遺跡にウシャスっていう女神様の像がどっかにあると、それを拾いに行ってくださいと言われたわけですよ。そしたらこの
[00:15:45.920] 2
[00:15:46.079] 人はね、こう読みますけど、なんで俺らがにはならねえんだ。冗談じゃねえって言ってるんですよ。えー、で、教授がクレス君はレポートが未定出したね。
[00:15:55.959] ウィット君は無断欠が多い。君たちはまだ
[00:15:58.800] 若い留年の1年や2年行きます。行き
[00:16:01.839] たかったんです僕たちっていう感じで
[00:16:04.040] 行くような感じですと。行くような感じ
[00:16:06.040] ですという感じですね。ということで
[00:16:07.720] 主人公が2人いるみたいです。は
[00:16:10.639] 何がはないだろう。主人公はこのクレスと
[00:16:13.759] ウィッドという2人がいてこれで性能が
[00:16:15.480] 違うらしいんだよね。ま、とりあえずやり
[00:16:17.079] ますか。やりますっか。うダうダ言って
[00:16:19.240] ねえで。うダうダ言ってねえでやるかな。
[00:16:23.240] 80年大コミックのり。笑。
[00:16:26.279] この昔ながらのな。
[00:16:28.000] 昔ながらのり行きますわ。コナミナス
[00:16:30.519] オナシャス。うナシウナしうス。オナシャス。これがうしの像なのか。うス。
[00:16:38.680] うスの秘宝は長い歴史の中で
[00:16:40.800] 4つに分裂した。
[00:16:43.040] 彼らはその秘法を求めてシルクロードへと旅だったということですね。やっていきますよ。
[00:16:48.120] 今日ネタついしてた。
[00:16:50.639] の感じさ。パトレイバーと同じさ。
[00:16:53.000] あ、わかんねえ。ウィットとクレスの
[00:16:54.720] 2人はアーテリアテリー教授が調べた第
[00:16:58.959] 1
[00:16:59.120] の遺跡へと向かった。ちょっと画質が悪いのは許してな。で、
[00:17:02.959] BGM
[00:17:03.440] めっちゃ良くね?ここが最初の遺跡だ。ここは風化して崩れ去ったビルマのラングーンペグ遺石である。めっちゃ
[00:17:14.120] BGMいいじゃん。
[00:17:14.919] かっこいい。
[00:17:15.559] めっちゃBGM
[00:17:16.039] いいよね。やっぱコナミだわ。
[00:17:19.400] 全部で5個遺跡があるらしいんだよね。
[00:17:21.640] 極い、
[00:17:22.280] いいよね。ここに宝石があるんだな。さあ行くぞ。
[00:17:27.039] BGMかっけな。
[00:17:29.400] めっちゃ音いいよね。ウシャスの宝石はその神殿にあるはずだ。なんか宝石を集めるらしい。で、最後になんか像を取ってくるみたいな。
[00:17:38.400] 4
[00:17:38.600] つの宝石を探しせばきっと良いことが起こる。頑張れ。これ誰が言ってるんだ?これ。白
[00:17:44.320] なのかって聞いて。
[00:17:45.480] これは区白クラブだよ。大好き。
[00:17:48.840] 1
[00:17:49.000] 番油が乗ってた時期なんじゃねえのか。この中に入りたいか。
[00:17:52.919] 1
[00:17:53.080] 人しか入れてやらない。これ誰が言ってんだよ、これ。
[00:17:55.600] これ誰が
[00:17:56.640] 誰が言ってるんだ?これ
[00:17:59.280] 1
[00:17:59.400] 人しかダメなんだって。ケチな遺跡だな。誰が先に行く?これどっちがいいんだろう?ど、どっちが何が違んだか。どっちが何が違かわかんねえんだよな。ちょっと説明書置いとこう。説明書出しとこう。どっちが何がどっちがどっちなんだ?スピードとジャンプで。あ、
[00:18:16.520] スピードとジャンプ。
[00:18:17.840] ジャンプがなんかありますわ。なん
[00:18:19.159] か良かったの?クレス。
[00:18:21.120] うん。なんかね、当時のはわかんないけど、当時はわかんないけど、あの、俺がいつも愛用してるサイトゲームカタログウキでは量作判定だった。でもこれは移植もリメイクも何にもされてないからこれでしか未だに遊ぶことができない。あの、
[00:18:35.480] Wi
[00:18:35.679] のバーンチャルコンソールにもあったらしいんだけど、もう配信終わっちゃってるからこれでしかできないんだよね。だからすごいね、結構ね、貴重なんですよ、これ。クレスは超スピードだな。
[00:18:44.480] 超スピード。カグノースつきなら安心
[00:18:46.799] そうなんだ。あのカタログはマジでマジでいいから。何が違うんだろうな、この
[00:18:51.240] 2
[00:18:51.360] 人は。ま、いっか。まあいっかやってみよっか。じゃあちょっととりあえずウィットから行こっかな。ウィットから行こっかな。ちょっとなんかここりコ田中に似てるし。うん。俺こりコ田中好きだから。うん。任せなさい。頑張れよ。いいですな、この
[00:19:04.880] 2
[00:19:05.039] 人。さあ、あきますよ。お、始まりました。
[00:19:11.520] おほ、久々な、久々やな、この感じ。このこのとてつもないレトロ感。あ、今、今取りました。今分かりました。今皆さん分かりました。この木怒哀楽が今上に画面上に注目ください。木怒哀楽の愛を取りました。
[00:19:28.520] 木怒哀楽
[00:19:29.240] 木怒哀楽の愛を取った。なんかね、顔もちょっと悲しそうになったわ。顔も悲しそうになった。何が違うのかよくわからん。何が違うのかちょっとよくわかんないけど。
[00:19:41.440] BGM
[00:19:41.799] もなんか変わったんだよね。なんかね、結構ね、
[00:19:44.960] 結構なんかパズルゲー要素みたいなもあるみたいなんだよね。この遺跡をあの冒険して、ま、要は最後のとこまで行けばいいんだろうけど。
[00:19:54.080] どで引こうぜ。
[00:19:56.039] うまい。何?何?そう、ドがね、めっちゃ強かったんだよね。ちょ、この間だ前やったらうまい。これね、意外と操作もやっぱ難しいんだよね。なんか、なんか時差があるっていうか。
[00:20:10.240] あ、これ、あ、これ敵かい?これ何これ?
[00:20:12.919] 敵かこれ?
[00:20:15.440] なんかね、このゲームでもね、多分ね、
[00:20:18.400] めっちゃむずいんだと思うんだよね。で、
[00:20:19.799] しかもこれ上ボタンがジャンプなんだよな
[00:20:22.640] 。
[00:20:25.720] いや、これもう倒せないもんだって。これ
[00:20:28.080] 倒せないもん。倒せないよ。こいつ硬すぎ
[00:20:30.880] だよ、敵が。
[00:20:33.679] これ。
[00:20:35.919] よしよし。
[00:20:38.080] ドゥルルル。
[00:20:40.640] なかなかいいBGMだな。なかなかいい
[00:20:42.960] BGMじゃねえか。ええ、ウジャンプ。
[00:20:48.000] ええ、こ、え、あれ?あ、あれ?あ、あれ?
[00:20:51.760] 会感
[00:20:53.640] どこ持ってくの?あれ?え?何?仲間は預かった。中に入りたいか?あ、そういうシステムなんだ。
[00:21:01.320] 今のですら難易度高そうだ。つだ。
[00:21:04.400] ああ。ああ。
[00:21:07.880] あれ?これ連れ去られちゃうんだ。これ連れ去られるらしい。
[00:21:11.600] 笑笑。
[00:21:12.480] 連れ去られるんや。きっと助けるからな。助けるシステムなんだ。
[00:21:17.640] かわいそう。
[00:21:19.120] 助けるシステム。あ、攻撃方法やんすぎる。
[00:21:23.720] 攻撃方法ちゃうやん。蹴りや。え、こっちの方が不りじゃね?
[00:21:29.320] 遠動来た。
[00:21:30.440] こっちの方が不りじゃね?
[00:21:33.279] コなミレディ。
[00:21:34.679] コなミレディと一緒や。そうや。
[00:21:36.080] コ波ミレディと一緒だ。ちょっとあえて愛取らないでいい。あれ、さっき動かせたよな。
[00:21:43.000] 射程舐めてんの?
[00:21:44.039] いて。あ、取っちゃった。あ、顔悲しくな。あ、これもしかしてあれか?愛、
[00:21:49.840] こいつら悲しい。
[00:21:51.520] 悲しい。悲しいだとこれ動かせるねんけど。ほら愛だと動かせるわ。さっき動かせなかったのに。あ、しかも敵は敵はこれ超えられないんだ。あ、潰す。あ、潰すことできないんかい?なんやねんそれ。なんやねんそれ。
[00:22:05.360] 潰せないんかい?で、これが取れると。
[00:22:06.919] これ何なんだ、これ?ちょっと
[00:22:10.080] ノックバックでかすぎだろ。ノックバック
[00:22:13.120] でかすぎねえ。ノックバックがえぐいんだ
[00:22:16.000] けど。画面半分ぐらい吹っ飛ぶな。なんか
[00:22:19.360] お金一応劣った方がいいんかな?買い物の
[00:22:21.520] 概念あんのか。あ、ジャンプ力いわ。
[00:22:24.120] さっきと比べたらジャンプ力。
[00:22:28.919] これどうみんな音のバランスどう聞こえ
[00:22:30.799] てる?ちゃんとむずい。この
[00:22:33.120] リーチがゴミ。
[00:22:34.279] リーチがゴミすぎる。
[00:22:36.960] コウモに叩き落とされる未来が見えたよ。お疲れ。
[00:22:40.279] こいつやばいの?
[00:22:42.360] 聞きいよ、これ。
[00:22:43.960] MDX
[00:22:44.279] さん、こんばんは。早いって物が押せるってこと?
[00:22:46.320] MDXさん、MSX
[00:22:47.600] やってるよ。足が早いってものが
[00:22:50.679] 音ちょうどええ。
[00:22:52.200] 音ちょうどええ。オッケー。ちょっと待って。意外とで多体力多いな。結構避弾しても平気だ。て極うえ。
[00:23:03.039] 今日からうシスですな。
[00:23:05.720] ちょっとこれさ、ひ、これちょっとさ、ノロノックバックでけすぎるよ。でけすぎる。よし。ルルルルル。ああ、これ耳残りそうだな。また耳に残るな、これ。うわあ、もうこれ何やってんだ、これ。何回やってんだよ。お、あ、やべ。死ぬ。
[00:23:30.559] さっき見た。
[00:23:31.520] うん。
[00:23:32.039] むずいんだって。え、アムで、こんばんは。
[00:23:34.400] え、
[00:23:35.039] おっちゃま
[00:23:36.120] う。そういうシステムなのね。ダブルシス
[00:23:40.039] ムスックスにてトレアスうす楽しそう。潰された。
[00:23:46.679] あ、足に潰された。
[00:23:47.799] え、嘘?足場に潰されて死ぬの?
[00:23:51.720] コンし。
[00:23:54.440] コンティニューなし。
[00:23:58.080] ウサスの秘宝は長い歴史で
[00:24:00.440] 4
[00:24:00.640] つに分裂した。彼らはその秘宝を求めて死ぬクロへとあった。え、嘘でしょ?
[00:24:09.279] ちなみにこれはもう伝えた方がいいの?人生プレイ来た。
[00:24:14.360] ちょっと待って。これ何?伝えた方がいいって何?いや、まだいい。まだいい。まだいい。なんかまだいい。
[00:24:19.919] あ、え、嘘でしょ?これコンティニュータバれはダめ。
[00:24:24.400] コンティニューコンティニューないの?いやね、
[00:24:28.240] MSX
[00:24:28.880] ってでもなんかコンティニューがね、コンティはあります。ただしにあるカセットを
[00:24:33.960] コンティ。あ、そうなんがね、なんかね、なんか
[00:24:38.159] F5
[00:24:38.520] キーとかでできたりするんだよね。パソコンだからさ。
[00:24:44.000] ちょっとでも先にだったらクレス使った方がよくない?だったら先にこのさ、こいつで行ってさ、これ愛取った方がいいのかね?愛取った方がいいのかな?愛取らないとあそこでかいコイン取れねえんだよな。でも愛取るとさ、
[00:25:00.200] すごいな。まだいらないって言われていっちゃうんだ。
[00:25:05.120] まあまあまあまに愛はあるんか?
[00:25:07.080] 愛取るか?これじゃないとこれ取れないもんな。何使うかわかんねえけど。
[00:25:13.080] 何に使うかわかんねえけどさ、あのコイン
[00:25:14.840] が
[00:25:17.799] これさあし
[00:25:22.039] うまいういうまいうまいオあねあ分かった
[00:25:24.840] 。こうや
[00:25:28.080] これ何気にBGMも若干変わってんの
[00:25:30.039] 分かる?愛だと
[00:25:40.640] これ。これこのこの辺だ。これシーサー
[00:25:42.559] みたいなのに潰されてもダメなのね。
[00:25:46.399] これ取る。あーオッケーオッケーオ。
[00:25:51.760] とりあえずステージ1クリアさせてくれよ
[00:25:53.559] 。とりあえずな。あいつ邪魔だから。うい
[00:25:56.480] 。あーも、もやこれ。もうこれおかし。あ
[00:26:00.520] 、これおかしいよこれ。これおかしいよ。
[00:26:04.080] これ当たり判定今当たなかっただろうが
[00:26:06.559] よさっ
[00:26:08.600] から同じ。
[00:26:09.360] ちょっと待って。で、ここの2
[00:26:10.640] 画面超えられてないんだけど。やばい。さすがにさすがにそろそろ視聴者がイライラしないからこれさすがにダさ。アイラブユ。こうだ。うまいうまいう。こうね。
[00:26:24.919] 笑笑。
[00:26:25.880] バカだせえ。アイラブユ。ま、そういうの流行った時代があったんだろうな。え、
[00:26:32.080] こいつが強えんだよ、こいつが。この変なさ、
[00:26:35.679] 早くクリアしてくれないとく見合い始めるぞ。
[00:26:40.159] ありルさん、こんばんは。
[00:26:41.240] コンティニューが知りたくなったら言ってく。
[00:26:43.440] あ、大丈夫。オッー。オ、ありがとう。センキュー。ま、まだな。ま、なんかね、あるんだよね。あの、なんだっけ?あの
[00:26:54.200] MSX
[00:26:54.760] のゲームって別のゲームをなんかスロット
[00:26:57.440] 2にMSXってカセットさすとか2
[00:26:59.960] 個あるのよ。で、そこに別のゲームを入れるとなんか特殊な効果が発揮されるみたいなのが結構あるんだよね。コなミは結構そういうことやるんだよ。ずるいんだよ。
[00:27:08.880] 回聞いた気がする。
[00:27:10.039] ずるいねん、それ。あの、違うゲームを買わせるって、あの目、買わせるためにそういうことすんのよ。愛して
[00:27:17.240] ああ、
[00:27:18.440] する。
[00:27:18.919] 愛してる。たださ、その別のゲーム俺が持ってるかってことだよね。持ってなかったら買わなきゃいけないからね。で、
[00:27:26.000] MSXのゲームって基本全部高いから。
[00:27:27.880] 抱き合わせってレベルじゃねえ。
[00:27:30.720] これも炎上だよな。今、今このあれで言うとこ入れたりすんのか?あ、入れるとこいだ。あ、今あの上に木があった。
[00:27:38.520] あれ?取り行くべ。これさ、ちょっとさすがにあれがてレル。これ多分
[00:27:50.519] は許されないよ。
[00:27:51.600] これ多分あれだろうな。
[00:27:52.720] 裏技使え。ちょっと待ってよ。
[00:27:57.480] ちょっと待ってくれ。これさ、マジ操作が。操作バカむずいって。よしよし。行きますよ。
[00:28:07.840] ほいほい
[00:28:10.159] ほい。
[00:28:12.120] ダめだこれ。
[00:28:14.880] おい、これちょ待ってくれ。よせいせい
[00:28:18.640] 。オッケー。せいせい。オケー。よしよし
[00:28:21.799] 。
[00:28:23.440] ここもか。頼むよ。
[00:28:27.320] オ
[00:28:30.200] もだ。
[00:28:33.480] これちょっとまジか。
[00:28:38.679] ちょっとあっち側上げて時間かかるぞ。
[00:28:41.559] ちょっと待って。いや、かかんない。かかんない。かかんない。言うても
[00:28:45.080] 5ステージしかないわけだから。ステージ
[00:28:47.440] 5
[00:28:47.600] しかないから大丈夫。ほいほい。オいふ。オルルル。はい。オ
[00:28:56.840] 今。よし。これどうやって取んだ、これ?
[00:29:02.640] おい、これどうやっとんだよ、これ。
[00:29:04.159] これどうやって取んの?これ。あ、
[00:29:06.960] 笑笑。
[00:29:07.919] あれか。もしかしてこれ取るんじゃないのかな?
[00:29:10.240] サンドイアラテア。
[00:29:12.840] 笑笑。
[00:29:13.159] これさ、取るんじゃなくてもしかしてこの
[00:29:15.320] この感情でここに来たらこのドアが開くとかなのかな?
[00:29:19.440] この感情でここで恋なのかもしれない。もしかしたら。そういうこと。さっきあったよな、あっちにな。そういうことだ。おそらくそういことやろ。絶対そうだ。あれ取っていけばいいんだ、多分。
[00:29:35.080] あ、なるほどね。一旦ここ行ってこう行けと。お、いい。
[00:29:39.960] BGM
[00:29:40.320] 変わった。え、何これ?なんかいきなりなんかあの
[00:29:46.720] ザワールド
[00:29:47.440] なんか残権が出るようになったけど残造権がバカ強えじゃん。いや、いきなりバカ強くなったって
[00:29:55.240] 急に強い。音符出るんだ。笑。人間やめてる。そっか。
[00:30:00.360] スックスってサラマンダとかメタルギアとかもそう。
[00:30:03.440] そう、そう。メタルギアが出たやつだね。そう、そう、そう。あとスナッチャーとかね。いきなり人間やめたな、こいつ。ほいほい。ああ、なんか早い。この落下スピードもめっちゃ早い。落下スピ。いや、これもうどうすんの?これ無理やん、これ。もうこれ無理やん。ちょ、まジでいいかくなん、これ。はい。オッーオッケー。あ、オッケー。分かった。分かった。
[00:30:29.360] もう、もう、もうコツ掴み申したよ。
[00:30:34.880] うまい。
[00:30:35.399] ええ、なんでよ。何今?つるっと滑る。つるっと滑った。ちょ待って。マジでおい。
[00:30:50.760] ダブル
[00:30:51.200] おい。
[00:30:52.000] もうむずいよ、これ。トゥルル。
[00:30:57.919] キャンプむずそ。めっちゃ難しい。
[00:30:59.760] 滑らなくてよかったね。笑。
