[00:02:02.680] 4日目だし、そろそろすごい飲みたいね。
[00:07:08.280] 時間ぐらいあればいけるだろ多分。だしこのなんつうのその立て直しが難しいのはなんか
[00:07:15.840] PS版。このPS
[00:07:17.520] 版ってなんかね、仲間になる確率がめっちゃ低いらしいんだよね。ゲームボーイと違って。だからやっぱね、あそこから仲間集めんのめちゃめちゃしんどいんだよな。
[00:07:44.039] ニオも分かったから、もう早くやらせてくれ。もう早く早くやらせてくれよ。ゆっくり案内してくれんな。
[00:07:45.710] [笑い]
[00:07:58.639] 俺たちは時間がないんだ。
[00:08:00.360] そうだよ。俺たち時間がねえんだ。
[00:08:07.280] いや、惜しかったな。でも途中までは本当
[00:08:10.479] にめちゃくちゃいい。途中までは本当に
[00:08:13.720] めちゃくちゃ順調だったんだよ。めっちゃ
[00:08:16.199] 順調で順の蝶だったんだけど
[00:08:20.319] 歯車が狂ったんよな。途中でな。
[00:08:25.665] [音楽]
[00:08:37.399] も極力仲間はめちゃめちゃ集めていきたい
[00:08:40.120] 。
[00:08:43.760] あと、ま、虫系はちょっといいわ。
[00:08:45.971] [笑い]
[00:08:47.000] ちょっと系はちょっとあんま仲間にしたく
[00:08:48.880] ないな。あれ雑ノイズ
[00:08:52.080] 雑音すぎ。あいつらマジで弱い。あいつら
[00:08:55.480] さ、
[00:08:57.440] なんかその配合するとDNAが強すぎて
[00:09:02.880] 仲間のか結果がめっちゃなんかしょぼく
[00:09:06.240] なるんだよな。
[00:09:08.839] やっぱ悪魔系とかさ、獣系とか物質系とか
[00:09:14.040] やっぱそっち系よ。やっぱりな。
[00:09:21.880] もう今日は戻し作業だと思ってくれ。
[00:09:27.640] よし。
[00:09:33.320] あとあれだね。なんかあの
[00:09:36.480] まだ全然ストーリー進んでないのに
[00:09:39.000] めっちゃ強いギガントラゴン作っちゃった
[00:09:40.880] んだよ、前回ね。いや、あれもしんどかっ
[00:09:43.079] た。あれも配の1つだと思うんだよな。
[00:09:46.320] レベルが全然上がんないんだよ。あんま杖
[00:09:49.760] モンスターづいて
[00:09:52.480] 虫の体型楽しむ。分
[00:09:54.760] なんやねんそれ。せいさんこんばんは。おはよう。虫の体型楽しみません。楽しみません。
[00:09:56.056] [笑い]
[00:09:58.021] [鼻息]
[00:10:02.480] あの、ギガントドラゴンとか2駆弱とか
[00:10:04.360] コアトルとかああいう系はちょっとまだね
[00:10:07.760] 、一応序盤で作っちゃうとね、育成が全然
[00:10:11.160] 大変すぎて育てたらめっちゃ強いんだろう
[00:10:14.279] けど
[00:10:15.800] あれはちょっとね、その身の滝に合って
[00:10:18.079] ない。
[00:10:26.279] その辺も考えていかなきゃだめだな、
[00:10:29.800] こいつの髪型。こいつの髪嫌いやわ。もう
[00:10:33.680] やりフィーだよ、これ。後ろ刈り上げ
[00:10:36.680] ちゃって。[音楽]
[00:10:43.872] [音楽]
[00:10:46.000] あとは回復系のモンスターを[笑い]
[00:10:49.040] もうあれ、今考えたらね、今考えたらね、
[00:10:52.200] それは全滅しますよ。ちょっとね、悪い点
[00:10:56.200] が多すぎる。前回のデータはノ筋すぎ。
[00:10:58.937] [笑い]ホ意味誰も覚えてないんだから。
[00:11:02.040] そら全滅しますがな。
[00:11:03.680] さん、こんにちは。今度こそ前回得たで豊富なと経験でリベンジ
[00:11:11.160] やっぱね、あの回復がないってのが
[00:11:15.720] 1番ひどいね。
[00:11:17.839] 1
[00:11:18.040] 番ひどい。あとボスの前はあのキメラの翼使えない。これも覚えました。
[00:11:23.040] あれ絶望だったからマジで俺キメラの翼で帰ろうと思ったらさ、ボス前のフロア、ボス戦のとこのフロアーは
[00:11:30.200] ヒーラーなしはね、
[00:11:31.079] ダメなんだよ。ダめだよな。しさん、こんばんは。ヒーラーなしはもうダめだめ。あ、いい。もういい。やろうやろ。なんかやる気出てきたわ。やる気出てきたすぎ。いや、もう本当に死刑だから。あ、いいじゃない。あんた日は仲間になってよ。も、なんなら、なんならお前もういいぞ。
[00:11:40.203] [笑い]
[00:11:49.920] あ、
[00:11:51.760] お前でもいいぞ。
[00:11:54.720] ちょ、行け。ちょ、ちょ、ちょ、ちょ、
[00:11:55.760] ちょ、ちょい、
[00:11:59.519] ちょい、ちょい、ちょい、ちょい、ちょい
[00:12:00.519] 、ちょい、ちょい、なんやねん、こいつ
[00:12:01.959] 強いな。え、
[00:12:04.800] ちょ、これね、[笑い]こんな、笑、
[00:12:07.240] こんなんされたらあかんやんけ。
[00:12:11.320] とりあえず1匹、とりあえず1匹、
[00:12:13.399] とりあえず1匹仲間になんねか。
[00:12:16.920] ならない。[笑い]
[00:12:18.519] ちょっともうじゃどうすんだよこれ。おい、もうなんか全と頼んだよ。魔餌。
[00:12:26.053] [音楽]
[00:12:34.600] いきなり火境、
[00:12:35.760] いきなり火境だったな、今。本当に。くサーミンパリ。
[00:12:41.360] あ、こちゃんおはよう。最初からです。大リセット。
[00:12:44.393] [笑い]
[00:12:49.199] 仲間なって。とりあえず、とりあえず1匹
[00:12:50.959] 仲間くれ。ドラキーいいよ。仲間しよう。
[00:12:55.528] [音楽]もうこいつたキいいね。PLた
[00:13:03.000] で。こういうドラキーとかもあの死ん
[00:13:06.000] じゃったからね。前回これ大切にしたい。
[00:13:08.000] 10連続視聴ありがとう。10連続視聴
[00:13:10.680] ありがたい。
[00:13:22.680] HP8
[00:13:23.959] ピエール滝の社体会ので顔けタウロすいた話
[00:13:29.360] あっちじゃちょっとしんどいよね。何それ?ピエルのああ、なんかファンがあのあれなファンがなんかあのあれでしょ?ケンタロケンタウロスの格好して待ってたみたいなやつ。
[00:13:47.320] ピエール最近本当テレビ出れなくなっ
[00:13:49.079] ちゃったけどさ、あの人[音楽]あの
[00:13:51.880] Netflixとかでたくさん出るじゃん
[00:13:53.920] 。てNetflixのさ、いいよな。
[00:13:56.120] Netflixオリジナルのドラマってさ
[00:13:58.079] 、なんか地上派じゃあんま使えなくなった
[00:14:00.639] 人とか使ったりするじゃん。ピエル滝とか
[00:14:02.480] さ。
[00:14:05.720] あんま地上派にピエル滝が出てった時って
[00:14:09.040] あんまり意識して見てなかったけどあの人
[00:14:11.399] 演技力とかマジえぐいよな。
[00:14:16.880] 悪そうな役やらせたらマジで右に出るものないと思うわ。ま、本当に悪いことやってたからね。ま、本当に悪いことやってたんだけど、これアントベアも仲間にしときてえな。
[00:14:34.320] 本物の悪役[笑い]
[00:14:39.160] マジであの地面士たちの時のあのピエルだけ神だったよな。
[00:14:52.639] 経験は物を言う。
[00:14:55.680] 演技じゃないものって。あれ?
[00:14:57.079] サンクチュアリも見ようか?前
[00:14:58.639] いや、見た方がいいよ。見てねえの?あ、神だぞ、マジで。サンクチュアリ超面しれえ。早く続編やってくれ。ま、地面たちとサンクチだけはね。
[00:15:10.680] それだけのために、それだけのためにあの
[00:15:13.480] Netflix契約してもいいぐらいマジ
[00:15:15.040] でマジ超面白いから。
[00:15:20.160] 何回も見直してるわ、俺。あれ、たまに
[00:15:22.320] ちょっとあの暇だからちょっと見るかつっ
[00:15:24.320] て見始めたらもう最後まで絶対見ちゃう
[00:15:26.079] もんな。
[00:15:28.160] 絶対あの2つは
[00:15:35.360] Netflixオリザムマジでね、
[00:15:38.920] マジでクオリティが高い。
[00:15:41.199] やっぱ地上派のドラマじゃできないこと
[00:15:43.480] やるからな。なんかあのやいのやいの言わ
[00:15:45.920] れねえじゃん。ちょっと過激なことやって
[00:15:47.319] も。だから面白いんだよね。昔のテレビ
[00:15:49.880] みたいで。今の地上波ってさ、全然でき
[00:15:53.800] ないじゃん。そういう過激なこと。予算が
[00:15:57.000] ダン地だしね。やっぱNetliは
[00:16:02.120] こな間だ新しく出たあの細きかず子の
[00:16:04.839] ドラマもめっちゃ面白かったな。
[00:16:07.720] 途エリカが細きかず子役のやつ。あれ
[00:16:09.639] めっちゃ面白かった。あれも
[00:16:16.160] 綾たとかは多分さ、細木子知らねえん
[00:16:18.440] だろうな。細木子[音楽]って誰って思う
[00:16:21.360] だろうけど。
[00:16:23.759] いたんだよ、昔。
[00:16:27.120] 昔そういう占い師がいたんだよ。
[00:16:28.639] インチキインチキかどうかわかんないけど
[00:16:30.360] 。インチキインチキとかって言ったら
[00:16:32.600] ちょっと怒られるかもしんないけどインチ
[00:16:34.040] ではないか。
[00:16:34.680] 認知ではないけど名前でギリか。昔だってもうめっちゃ毎回テレビ出てたもんな。
[00:16:47.360] うさん臭そう。
[00:16:49.040] まあ占い師ってでもやっぱそういうもんだからな。占い師ってそういうもんだもんね。うさ臭くない占い師っていないでしょ。い、それ悪いことじゃないと思う。
[00:17:04.120] うさ臭くてもいいんだよ。占い師は
[00:17:08.039] アントベア欲しいからちょっと仲間にする
[00:17:09.439] わ。
[00:17:23.679] 1からやり直したら新鮮
[00:17:25.600] うん1からなんかあの始める時うわまた1
[00:17:28.919] からかと思ったけど全然まあなんかうん
[00:17:31.440] やれますわ。[笑い]
[00:17:33.240] まあ、なんかやれそっすわ。ただあん、こいつだけ仲間にしたい。こいつ
[00:17:41.880] 3D版1からやろうかな。サンD
[00:17:44.240] 版もいいよね。サンディ
[00:17:45.880] D
[00:17:46.039] 版もいいよな。やったことないけど俺持ってはいるんだけど。仲間なんねか。アントベア頼む。来い来い来い来い来い来い来い来い来い来い来い来い。
[00:17:59.799] よしよしよしよしよしよしよよよし。小神まあまあ最初はこんなもんよ。最初はこんなもんよ。うん。全然オッケー。オッケー。あのね、このアントベアって多分から
[00:18:13.679] S作るから楽しいよ。
[00:18:15.159] あ、そうなの?ま、配合のレシピとかさ、頭の中に全部入ってりゃさ、多分最速で行けば作れるんだろうな。ちょっと滝が死にそうだから。ちょっと待って。
[00:18:35.720] エボ
[00:18:36.679] ペテルお疲れ。最初からやってるよ。最初から行っています。最初から行く。ちょっとレベル上げさせて。小神だけでもレベル上げさせてくんねえか。
[00:18:59.720] 1ポイントじゃ渋いって。
[00:19:05.608] [音楽]
[00:19:14.000] そう。本当にこれあの人生縛りだけど本当
[00:19:16.880] に死ぬのは痛すぎる。本当に。
[00:19:23.880] お、すげえ仲間になる。なんだ。いいね。こういうのがいいのよ。バ仲間になる。いいよ。こういうのめっちゃ大事だよ。ちなみにドラキーって何気?ドラキーって悪魔
[00:19:25.913] [笑い]
[00:19:43.039] 逆なん?
[00:19:44.360] あ、違う。ドラキーって飛行系なんだ。
[00:19:47.360] 悪魔じゃない。
[00:19:48.320] 悪魔じゃなかった。鳥系でした。逆来た。
[00:19:59.919] アントベアもう1匹仲間になってもいい
[00:20:01.320] ぐらいなんだけど。
[00:20:05.080] 結構アントベアうまいんだよね。
[00:20:09.159] あのあれがあの
[00:20:11.679] 配合に結構使えるんやっぱやっぱ獣よな。
[00:20:16.960] やっぱ獣系なんすよ。もう1匹仲間にし
[00:20:19.559] といてもいいぞ。で、
[00:20:21.760] 最序盤のアントベア
[00:20:23.159] いや、マジ強い。他の作品モンスターズ結構俺やってるけどさ、アントベア出てきた時意外とでかくて怖いっていう。アントベア意外とでかいんだよな。
[00:20:36.960] 3Dモデル見るとアントベアレベル
[00:20:44.440] 3になったらボス行くわ。
[00:20:46.760] ちょっと念には念をな、念には念を入れて
[00:20:51.720] レベル3。もう1上がったら行こう。
[00:21:01.480] できるアントベアと戦いたいな。
[00:21:07.559] もう1ぐらいターキーが上がってくれても
[00:21:09.480] いいけど。
[00:21:22.240] あ、来た。こいつ経験値4もらえるから。
[00:21:33.919] あ、3か。おい、来た。
[00:21:38.760] オケ。じゃ、行こうか。じゃあ行きますか
[00:21:40.400] 。
[00:21:50.360] あ、ごめん。まだあったわ。ごめん。まだ
[00:21:52.440] ここ、ここがあったわ。次ボスかと思った
[00:21:54.279] 。
[00:22:03.320] やっぱドラクエ4の曲めっちゃ好きや。
[00:22:34.360] HP低いよ、滝が。
[00:22:43.039] ま、アイテムはちょっと全部拾ってきたい
[00:22:45.039] 。
[00:23:03.375] [音楽]
[00:23:04.240] エ化率高い。
[00:23:06.840] もう1レベぐらい上がるかな?
[00:23:15.240] あ、いいね。
[00:23:26.080] 5
[00:23:33.640] ホイみん釣れるから。連れてくから。
[00:23:37.400] まあ、誰下げかだよな。
[00:23:48.520] ま、滝き下げか。
[00:23:51.760] 強いね。
[00:24:26.480] 意外と強いのよな。
[00:24:33.039] うわあ。
[00:24:35.076] [笑い]
[00:24:36.640] やめてよ。もう[うめき声]
[00:24:42.799] 意外と粘るな、こいつ。
[00:24:58.159] ホイ味の偉大さ
[00:25:00.120] ホいはやっぱ素晴らしいですね。仲間し
[00:25:03.399] ますよ。
[00:25:08.200] 誰な?誰にしよっかな?どうしよっか?
[00:25:13.640] いやあ、大神すご[笑い]。アントベア
[00:25:17.360] すごいっすね。こいつの能力
[00:25:20.480] バランスがまるで取れてない。誰下げるか
[00:25:24.279] だよね。
[00:25:27.720] ま、小神かな。小神。小神かな。でも小神
[00:25:32.320] レベル上げたいしな。
[00:25:35.000] あ、これ守備力6スバレス賢さ6ってのが
[00:25:41.039] 多分たき君は
[00:25:44.240] ラリホとか覚えてくれると思うんだよね。
[00:25:48.279] ちょっとごめ神だな。
[00:25:52.760] ホイ人はいなきゃまずいね。
[00:26:21.679] よし。
[00:26:26.880] これ闘技場
[00:26:29.360] 、ま、闘技場行く。行くけど
[00:26:33.039] 闘技場クリアしないとダめだもんな。
[00:26:42.039] 闘技[音楽]場行きますか?じゃあ早速
[00:26:45.720] 行くしかねえよな。ただなんかこれタき
[00:26:48.399] 死にそうな感じするけど大丈夫かな?
[00:26:53.360] ちょっとホイミ命大事に。あ、待って。滝
[00:26:57.320] がさ、ちょっとラリホ覚えるまでちょっと
[00:26:58.880] レベル上げてくるか。滝がラリ覚えるまで
[00:27:01.760] レベル上げてくるわ。怖い。
[00:27:04.520] 理由は怖いから。
[00:27:08.200] さすがにこのまんま闘技場挑んで死みたく
[00:27:11.240] なくない?
[00:27:15.440] もうちょっとでも多分覚えると思うんだよ
[00:27:17.919] ね。
[00:27:20.640] キメラの翼あるし。もう1回行くわ。もう
[00:27:22.640] 1回ちょっとここでレベル上げしてきます
[00:27:24.039] 。
[00:27:32.584] [音楽]
[00:27:35.159] ジャピエンフレフレージャピエンフレフレ
[00:27:37.720] 頑張ります。いいね。アント上がりしたいっすね。
[00:27:57.799] ま、レベル上げつつアイテム回収しつ
[00:28:27.320] ま、ラリホ覚えてくれれば全
[00:28:34.480] よし。覚えるかな?覚えますか?あ、来た
[00:28:39.559] 。よし、じゃあ行こう。じゃあ行きます。
[00:28:42.559] じゃあ行こう。じゃあ行こう。じゃあ
[00:28:43.279] 行こう。ラリゴはうい。骨つき肉
[00:28:46.840] いいね。ここ。いや、ここちょっとクリア
[00:28:48.519] するか。アイテム拾いながら。レベル上げ
[00:28:52.039] ガテラな。
[00:28:54.320] 骨つき肉でかい。
[00:29:00.039] マジでこのゲーム骨つきに行くでも全然
[00:29:01.840] 仲間になんねえ時あるからな。マジで。
[00:29:04.559] マジで全然仲間になんやついるからな。
[00:29:42.600] 誰かもう1レベぐらい上がってくれると
[00:29:44.480] 助かるんだけどな。
[00:29:59.120] いっか。もうボス。あれ行くか。帰って。
[00:30:01.679] あれ行こっか。
[00:30:04.519] ま、これだってもうレベル上げるだろな。
[00:30:07.120] 処備しんどいもんな。1ポイントしか
[00:30:09.240] もらえねえからな。レベル上げだったら次
[00:30:11.399] のとこ行ってからだな。もう帰ろ。
[00:30:43.720] まあだってよう考えたらだってまだ
[00:30:46.240] サンダーバードとかももらってないからな
[00:30:48.080] 。全然こっちの方が希望あるだろう。
[00:30:54.039] あ、待って待って待っ待
[00:30:55.559] 待待て。作戦変えたい。作戦変えたい。
[00:30:57.039] 作戦変いたい。作戦変えな。え、作戦で
[00:31:05.480] 君は色々やろうぜにしましょう。オ、
[00:31:10.639] 行くぜ。まあ、勝てるとは思います。普通
[00:31:13.120] に。
[00:31:26.421] [音楽]
[00:31:27.840] 強そう。[笑い]
[00:31:30.200] 強そうだな。見た目はこっちにはホイ味が
[00:31:32.720] あるから。
[00:31:48.639] うーん。
[00:31:54.080] おせえな。ラリホやんの。
[00:32:00.919] 2点目入りましたね。
[00:32:03.039] ん、2
[00:32:03.880] 点目。うん。エマさん、こんばんは。あの、
[00:32:08.240] 2周目、[笑い]
[00:32:10.240] 2周目行きます。
[00:32:13.720] もう今回はもう前回の範囲を全て理解してアドはあ、
[00:32:20.039] もうあの全て前回の悪いところをちょっと本当に全部直しながらやっぱね回復役がいないってのはもうありえない。人生プレイにおいてなめすぎ。
[00:32:54.360] オオ
[00:33:02.240] 値欲しいよな。もったいないよな、なんか
[00:33:04.279] 。
[00:33:07.919] うわ、強ぞ。
[00:33:10.279] 強そうだなあ。
[00:33:14.080] ラリホやっちゃって。ラリホ。
[00:33:34.600] まあまあまあまあまあまあまあ。
[00:34:02.320] よしよしよしよしよしよし。まあ余裕っす
[00:34:05.679] わ。まあ余裕っすわ。
[00:34:11.200] まあまあまあまあまあまあこんくらいはな。まあまあまあこんくらいはな。こんぐらいサクと言ってくれなきゃ困るわけよ。よしよし。こっから始まるんや。
[00:34:21.308] [音楽]
[00:34:57.680] とりあえず早く配合できるようにしてくれ
[00:34:59.560] 。とりあえず早く配合できるとこまで行か
[00:35:02.560] ないと。
[00:35:10.880] じゃあ新しい行くか。
[00:35:16.984] [音楽]
[00:35:39.440] お、めっちゃなんか金落ちてるな。
[00:35:44.520] おお、[笑い]
[00:35:47.800] いいね。これ上げてこうどんどん
[00:35:53.119] いくらいたっていいんだ。仲間なんとな。
[00:36:02.400] ゴーストぐらい仲間にしてもいいけどな。
[00:36:15.640] もう1個餌上げちゃうか。
[00:36:29.520] 強い。
[00:36:34.760] さすがにこれは仲間になるでしょ。3個も
[00:36:36.960] あげたら
[00:36:40.640] 強えな。
[00:36:46.440] お、経準12。え、しかも仲間なんねんか
[00:36:49.520] い。渋いっすよ。
[00:36:53.920] 渋いよ。それは仲間なんないんかい。
[00:36:59.920] 燻製肉やんなきゃだめか。
[00:37:12.920] [笑い]
[00:37:16.040] 欲しい
[00:37:29.920] けう、結構これ
[00:37:32.800] おい、これ結構デスエ下じゃねえかこれ
[00:37:35.319] 大丈夫これ、これ大丈夫?これ
[00:37:55.440] ちょっと薬草を上げとこう。
[00:38:00.319] ワンチャン滝がワンパンで落ちることが
[00:38:02.200] ある。
[00:38:06.440] ちょっと[笑い]待って。強くない?
[00:38:16.400] これ結構なデスエン下だよ。
[00:38:21.319] ただこいつここで仲間になってくれたら
[00:38:22.839] 相当でかいんだけどな。
[00:38:28.440] マえさんもう巻きまき。
[00:38:50.040] よし。これ仲間なほしいな。仲間ほしいな
[00:38:53.359] 。
[00:38:59.440] ま、レベル上がるよね。そらね。
[00:39:05.960] 来い来い来い来い。あ、来ない。ほんまに渋いわ。もう燻戦あげまあんな餌あげたのに仲間になんないの?それは渋いよ。全然仲間になんねえな。本当に
[00:39:08.202] [笑い]
[00:39:20.647] [音楽]
[00:39:25.119] 待ってましたよ。
[00:39:26.040] さ、こんばんは。2周目。
[00:39:28.440] 2周目だよ。
[00:39:32.240] ただ本当に仲間にならないモンスターが
[00:39:35.560] もう餌上げちゃったよ、全部。
[00:39:43.000] いや、仲間になってくれてもいいと思うん
[00:39:44.960] ですけどね。ああ、でも骨付き骨やれば
[00:39:47.280] よかったか。
[00:39:49.760] 骨付きやらよかったのかな。
[00:39:59.640] いや、強いな。な、なんな、なんかたまに
[00:40:03.400] 勝手に回復するの。なんだ?
[00:40:21.960] これさ、餌って重ねけ意味あるよな。ない
[00:40:25.040] のかな?
[00:40:27.200] あるよね、意味さすがに。
[00:40:47.599] 結構1戦1戦が1戦1戦が結構当なんです
[00:41:09.520] 仲間になんないか。
[00:41:15.359] もっとポンポン仲間になったと思うけどね
[00:41:17.160] 。昔ね。やっぱPS版はその辺マジで渋く
[00:41:20.920] なってるな。
[00:41:31.648] [笑い]
[00:41:34.079] うー、
[00:41:40.040] 欲しいけど。あ、いいね。
[00:41:44.480] いいよ、いいよ、いいよ。え、目覚さすの
[00:41:46.599] 早すぎるだろ。
[00:41:52.400] 骨つきえ。骨つき上げるか。骨付きあげる
[00:41:57.240] か。
[00:42:06.359] いや、ここケーキ欲1発仲間にしてくん
[00:42:08.480] ねえか、マジで。
[00:42:10.800] いや、骨つきじゃ。骨付きあげたら仲間に
[00:42:13.920] なんのかじゃあ
[00:42:18.920] や
[00:42:20.440] 。
[00:42:22.240] あげよう上げよげよ上げよげよ上げよ。ここキ欲ちょっとコトラ
[00:42:26.800] 1
[00:42:27.000] 匹ちょっと仲間にしとこう頼むよ。てか強えな。おい、頼むよ。
[00:42:52.680] お肉あげながら殴るゲームなんだ。
[00:42:55.000] そうそうそう。とんでもねえよな。アトぶち。若井さん、こんばんは。あのお肉あげて倒すと仲間になる可能。よし。よしよしよしよしよし。よかった。プー。お前の名前プーね。連れてってもいいレベルだぞ。マジで
[00:42:56.144] [笑い]
[00:43:14.484] [音楽]
[00:43:16.440] 25でしょ?攻撃力
[00:43:17.880] 順調だ。
[00:43:20.559] レベル4
[00:43:21.559] よいしょ。ま、まあでも酒だな。まあ酒だな。順調だね。いや、い、ありがてえ。良かった。ま、も骨つきったからな。ここで骨つき肉はちょっとこいつにはもったい。本来だったらもったいない。味
[00:43:35.040] 魔物の餌でも全然仲間になるキャラだと思うんですけど。まあね。でも仲間増やさんとやっぱり。
[00:43:51.760] ガンガンちょっとアイテムを落としといて
[00:43:53.319] くれよ。
[00:43:58.119] あー、まあまあまあま、ま、この辺は
[00:44:00.079] まあまあまあ別にま、ゴースト仲間にし
[00:44:02.599] てえなとはいうのはあるけど、これでも
[00:44:05.319] なかなか仲間になんないからね。
[00:44:13.800] ゴースト上げとく。これ魔物の餌
[00:44:28.960] 綾たか田予が5ドルでサブスク珍しい。
[00:44:32.319] 3
[00:44:32.559] ヶ月
[00:44:34.119] 4人も珍しいガキのサブスク[笑い]
[00:44:35.960] 4
[00:44:36.079] 人も珍しいガキのサブスクありがとう。本当だよ。
[00:44:41.440] え、サブスクなんかできるようになったん
[00:44:43.000] ?サブスクなんかできるようになったん。
[00:44:45.880] あ、く、来た。いいね。
[00:44:48.880] お前コ塚。毎回一緒。これコ塚。
[00:44:53.400] ゴースト。コ塚な。
[00:44:58.640] ずれかん。
[00:45:02.119] しかもプライムサブスクじゃねえ。お前親
[00:45:04.680] のクレジットカード使ってねえの?大丈夫
[00:45:06.200] だよな[笑い]
[00:45:07.920] お前。それ親のクレジットカードとか使っ
[00:45:09.839] てねえよな。
[00:45:10.920] おい、やめろよ、お前。だとしたら
[00:45:13.559] 平日はバカみたいにバイトしてる。
[00:45:15.599] あ、そうか、そうか。じゃ、いい、じゃあいいじゃない。うん。じゃあ自分の金だな。ならいい。なら許す。なら許す。まあ、この辺怖いけど戦っていく。
[00:45:43.920] 単純に敵がマジで強い。いや、強い。
[00:45:58.720] もうちょしっかりなんかあれだな。
[00:46:00.599] しっかりレベル上げてかんとこれ結構
[00:46:02.480] しんどいぞ。しつかりと。
[00:46:07.760] いた。
[00:46:17.640] 小優秀なイメージある。
[00:46:19.720] うーん。最悪コドラ連れてきてもいいんだけどでもなんかね、あの攻撃力優秀だけど守備力が
[00:46:25.920] 6
[00:46:26.160] とかしか出んだよな。死なれちゃたまらんのよね。死なれるのが
[00:46:31.319] 1
[00:46:31.480] 番しんどいから使えなくはないんだけど。ちょ、守備力。うお。
[00:46:36.720] ピッキー欲しいっすね。ピッキー欲しいっ
[00:46:40.280] すね。やっぱり
[00:46:44.119] ピッキーにこれ餌餌行きますわ。
[00:46:52.160] 割と早い段階でヘルコンドル行ってもうわ
[00:46:54.680] 、餌ねえ。[笑い]
[00:46:57.079] 餌ないやん。
[00:47:05.000] 強い。
[00:47:19.599] ピッキーちょっと仲主的に仲間になんねえかな。お、逆来た。
[00:47:29.282] [笑い]
[00:47:33.839] うおお。
[00:47:35.400] あち。
[00:47:37.040] あちいいね。自主的に仲間になってくれる。ありがてえ。
[00:47:49.520] スタートダッシュ決まりすぎ。
[00:47:51.000] いや、いいよ。マジで。マジで今回最先いいぞ。
[00:48:06.839] いや、やめて。危ね。ちょっとお、危、やめて、やめて、やめて、やめて、やめて、やめて、やめて、やめて、やめて、やめて、やめて。てか、ホイ、もうちょっと早いタイミングで回復してくれよ。
[00:48:18.240] もう1体来てもいいよ。
[00:48:19.960] そう、運欲もう1
[00:48:20.760] 体来ても全然いい。全然いいよ。運良欲もう
[00:48:24.319] 1匹来ても俺、俺は一向に構わん。
[00:48:29.839] ちょっとさ、ホイミもうちょっともう
[00:48:31.599] ちょっと早いタイミングで回復してくん
[00:48:33.119] ねえかな。
[00:48:38.720] だってこんだけやってもだってあれだよ。
[00:48:41.200] ドラキーまだ2角圏内だからね。
[00:48:45.079] 確にだからね。[音楽]
[00:48:46.960] 確にで落とされるからね。この雑魚的に
[00:48:50.079] もうちょっと早いタイミングで回復入れて
[00:48:52.119] くんねえとよ。
[00:49:04.079] 運が悪ければ普通に死。
[00:49:05.720] 全然死ぬ。全然死ぬ。あ、でもスクールとありがたいな。スクールと覚えてもでかいね。ああ、いいね、いいね、いいね。これラリホがラリホーマになってもいいぐらいだ。
[00:49:30.599] ま、ピッキー。ま、ま、とりあえずピッキ
[00:49:32.160] 1匹いればいいか。
[00:49:43.720] ここどうしよう。ボス戦。ボス戦行くか。
[00:49:47.000] どうすっかな。迷うな。
[00:49:50.240] ボス戦行くか。すっげえ悩むんだけど。
[00:49:55.520] こいつらで行けるかな?ま、でもこいつらで行くしかねえんだよな。ドラキーは死ぬだろうね。
