[00:00:41.039] あらっす。
[00:07:47.800] 来週すごいイベントに参加する人。ま、すごいイベント呼ば呼ば呼んでいただいて
[00:07:54.039] 4月4
[00:07:54.560] 日曜日あの土曜日やっけ?日曜日だっけ?忘れちゃったけどあのごめん。
[00:08:00.560] ちょ、全然何時からとか覚えてないねんけど。
[00:08:04.520] 覚えてないねんけど。だ、マイ
[00:08:05.680] クラ、マイクラ、Kチャンネル主催マイ
[00:08:07.879] クラ。え、待って。全然石板ないよ。え、石板全然集まってないやん。大丈夫?これ、あの、配信者、配信者、マイ
[00:08:20.680] クラ、マイラ配信者、アーダコーダやっていきますんで死んだら終了。
[00:08:27.240] エンダードラゴン倒すまで終われまてん
[00:08:29.960] 配信やりますんでよろしく。
[00:08:34.159] あの
[00:08:35.959] マイクじゃ毎回思うんだけどさ、俺これ
[00:08:38.240] 拾いたいんだよ。よしよし。あのね
[00:08:43.320] のマイクラ買い直さなきゃいけないんだよ
[00:08:44.959] ね。これもうほんまそれしんどい。
[00:08:48.160] なんであれさ、PC版のマイクラさダメに
[00:08:50.880] なっちったんだよ。
[00:08:54.440] もう1回買い直すんだと思ってたのに。
[00:08:58.440] い、
[00:08:59.040] スイッチ版とか持ってんだけど。スイッチ。え、土坂ヘビ大外れやん。そんなのもあるんだ。や、
[00:09:13.160] スイt
[00:09:13.519] 版のマイクラも持ってんだけどさ。問題。
[00:09:16.240] あの、なんだっけ?あの死んだら終わりなモードなんて言うんだっけ?あれ、あのなんだっけ?あれ?ハードコアモードって確か
[00:09:23.040] PC版しかできないんだよね。
[00:09:28.279] ま、だからそのイベント自体どんくらい続くかもわかんないし、もしかしたら俺はもう開始
[00:09:36.200] 5
[00:09:36.360] 分で死ぬかもしれないしね。そしたら終わりだから。死んだらもう行き返んないから。プラさん、こんばんは。こんちは。あの、生き返んないからなんつうの、死んだらその参加してる人に誰かにレードして終わり。頑張りたいですな。
[00:09:54.680] 頑張りたいですな。ただマイクラなんかマジで
[00:09:56.440] 2年ぐらいやってねえから。マイクラ
[00:09:59.399] 2
[00:09:59.560] 年ぐらい俺やってないからさ。ちょっと不安はありますよね。
[00:10:05.440] やったわね。
[00:10:08.600] まあ大丈夫でしょ。なんかあれだな。死ぬにしてもさ、こう地味な死に方したくねえよな。なんかおもろい死に方して終わりたいの。死ぬにしてもなんか穴に落っこしたりとかさ。
[00:10:24.720] なんかそういうしょうもない、しょうもない死に方はマジでしないようにしよ。
[00:10:39.839] いきなりクリーパーに追いかけられて死にそう。
[00:10:44.000] マジでそういうのだけはま、マジテンパるからな。あ、風の谷に来たよ。風の谷に来ました。はいはいはいはい。
[00:10:53.160] やっぱ復活してまんねんな。復活してまんねん。ちょっとあの街行ってみるか。谷、谷に行ってみますか。谷に。どうもこんにちはす。セー風の谷に来ましたよ。新年は北を、あ、谷を抜けてから来た。え、風のタは反対から出て南頭です。今日みたいに気持ちのいい天気のいい日はどちらもここから見えるんですよ。きっとはか昔からこは変わってないでしょうね。
[00:11:23.000] まだいるんか、あいつらは。まだあいつら
[00:11:25.279] はいるんか?
[00:11:28.720] 羽生えてるやつらいいねえんだけど。
[00:11:32.720] え、誰もいないんだけど。なんこれ?なん
[00:11:34.720] で誰にも合わないの?これ。あ、え、羽
[00:11:37.760] なくなってますやん。羽なくなってますや
[00:11:40.600] ん。
[00:11:44.320] 猫もいますと。
[00:11:47.440] うん。
[00:11:50.720] 金なくなってますよ。おい、ガキ。あ、このガキども。
[00:11:57.920] ええ。
[00:11:58.600] うわあ。川に向かって投げるなんて勇気あるな。失敗したらブーメランも流されちゃうかもしれない。これ同じことやってる人いたら、あのモンハ、あのじんちゃんとさ、モンハンフェスタ行ったじゃん。
[00:12:08.519] で、3時間ぐらい並んだんだけど、前の
[00:12:10.279] 中学、厨房3人組がなんか、あの、なんて
[00:12:14.839] 、あの、川みたいな、なんてうの、こう
[00:12:17.639] 並んでるとこの横に池みたいのがあって、
[00:12:19.720] その柵のとこであのiPhoneをこう
[00:12:22.000] やってやって、うえへみたいになって、
[00:12:23.959] じんちゃんがちっちゃい子でずっと落とせ
[00:12:26.079] 、落とせて言ってた。やな大人ですね。
[00:12:30.880] やな大人。
[00:12:32.800] ダブル
[00:12:36.160] やな大人ですわな。
[00:12:46.160] せっかく買ってもらったブーメランなくすのが怖くてもう投げれないよ。意味ねえだろ。ブーメランなんだから投げなきゃ。どうして男の子って
[00:12:53.399] 1
[00:12:53.480] 人が始めるとはみんな同じことするのかしら。不思議よね。私はそういう個性のないことは嫌いだわ。いいですな。見上げた根性だ。この谷にはかつて人を空に浮かべる意思があったという言があるんだ。
[00:13:07.199] 本当なら手に入れたいが果たしてそんな石がどこにあるのかわしが持っておる。神の石な。
[00:13:11.120] はい。
[00:13:12.240] いや、あなたも旅の方ですね。私は旅の商人です。ここに来る前に北の神殿を見に来ました。実に立派な神殿でしたよ。た、特にあの精霊の像確か、え、呼び名あれユリアだったかな?とにかくあなたも一度行った方がいいですよ。それはさておく。道具屋なんかい。どになし。
[00:13:31.519] 年々ドラクエの道具屋のさ、あの存在意義がさ、ちょっと感じられなくなってくる。道具屋でアイテム買うことってもあんまないよな。あら、あなたどこかでルンタ君を見なかった?可愛い小豚なんだけどいるやん。ここに小豚ではないけど。ルンタブーブー。お前がルンタか
[00:13:56.279] ブーメラじゃとそこの武器屋にっておるぞ。いいの?ブーメラわしも欲しいの。
[00:14:02.519] うん。リファ族はかつて自由に空を空を
[00:14:05.560] かけた。私にはそれがただの伝説とは思え
[00:14:07.440] ないのです。かつ空をかけたリファ族は
[00:14:09.160] 進化の家庭で地に足を突き生活を始めた。
[00:14:11.279] つまりこうして地の上歩くこと神に教えた
[00:14:13.120] と私は考えているのです。
[00:14:16.519] はは
[00:14:18.199] は
[00:14:20.839] 売ってるものは変わってねえな。売ってる
[00:14:22.720] ものは変わってねえな。
[00:14:27.240] 何だっけ?あの女の子。あの女の子の名前
[00:14:29.480] 忘れがあいつの子孫とかいるんか?どっか
[00:14:31.560] に
[00:14:37.320] 村長の町行ってみるか。村長の村。村長の
[00:14:39.759] 家村長の家行ってみますかね。
[00:14:55.800] どうだった?この上か。あ、なんか入れなくなってますやん。お、
[00:14:59.360] おお。旅の糸かい。ここは我々リパ族の族長の家なんだかね。わけやって中に入ることできないんだ。すまないがここは諦めてくる。なんで?
[00:15:06.880] 続長さんは我々の前にお姿を見せなくなってから随分になります。お体の具合でも悪いのかしら?心配だわ。怖。死んでるんちゃう?死んでるんちゃう?うん。
[00:15:20.880] 空を自由に止めたら空は一体空からはどんなが見れるのかしら。
[00:15:24.839] 私も1
[00:15:25.279] 度いでいいから空を飛んでみたかったなあ。あ、うん。
[00:15:33.600] この谷の少年の間で何か変わったものが流行ってるようですね。さっきも外は歩いてた頭にぶつけられちゃいましたよ。ブーメランか。何もないっすな。何も特にイベントも起きないし。え、あの神殿行かなきゃだめかな。またあそこ長いから若干だるいんだよな。
[00:15:54.440] ここも特に何もないな。おい、誰か倒れてますやん。
[00:16:02.399] ああ、ようこそ旅の方、この谷はか自由を、あ、大空を自由にかけた伝説のリパ族が暮らす。我々が勝つ自由に空を飛んだなどただ伝説だと思ってる。そんなことない。俺見てきたから。え、本当ですか?旅の方がこんな伝説を信じられるなんて。でもあ、伝説は信じた方がマンがっていね。なってしもうただたんやな。
[00:16:24.519] 飛べなくなってしまったんだな。
[00:16:27.759] ねえ、
[00:16:28.399] そうやれん。あんたも小さい頃ブーメラにはませたことがあったわよね。練習中に本デラさんの顔面に初期来たこと今でも覚えてるわよ。あれは死ぬほど笑ったわね。ガ
[00:16:41.959] さてさてさて、どこに行くんですかね。
[00:16:44.399] あの、この、これ、ここなんだ。こんな
[00:16:46.120] とこあったっけ?こんな右下になんかあっ
[00:16:48.360] たか?
[00:16:51.160] やっぱりね、現代は魔物がいなくていいっ
[00:16:53.120] すわ。
[00:16:59.959] ここよりなんと風の塔、風の塔なんかあっ
[00:17:02.639] た?え、こんなとこあったっけ?こんな
[00:17:05.120] とこあったっけ?
[00:17:09.280] どうも。あ、旅の人見よ。ないよね。
[00:17:12.240] ここ立派なとこだと思いませんか?きっとずっと昔からこの場所に立ってるんでしょうね。いや、立ってないで、こんなん。立ってないで、こんなとこ。しかしリファトの時代にはこんなものはなかったってことある?なかったよね。
[00:17:29.360] 中に入りたいのか?はい。
[00:17:31.080] 残念ない肉にく。このトの出り口は出入りは禁じられてるんだ。天をついような巨大な塔がお前には見えないというのか。
[00:17:43.640] 何ですか?ここは何ですか?えっと、反対
[00:17:47.960] 側行こうか。神殿の方行ってみますか。
[00:17:52.160] いいな、この現代はマジであの移動が楽だ
[00:17:54.679] わ。誰にも合わないし。しかもなんかこの
[00:17:58.200] 1つ1つの島はちっちゃいからさ。
[00:18:02.919] じゃ、ああ、違う。分かった。この谷を
[00:18:05.240] 抜けなくてもこの谷を抜ける必要はないん
[00:18:07.720] だよ、多分。ここから、え、こうやって
[00:18:12.520] 行けるんちゃうのん、これ
[00:18:15.559] クソ便利やん。ああ、クソ便利だ。これで
[00:18:19.600] いいんだ。よし。
[00:18:24.400] リファ族の神殿。はい。ここは、これは旅
[00:18:27.080] の方。リファ族の神殿へようこそ。え、
[00:18:28.919] こっから来た、ここに来たには是非リファ
[00:18:30.880] 、あ、フィリア様のお姿を見ていってね。
[00:18:32.880] え、フィリア様のこと。この神殿にある
[00:18:35.000] 精霊様の像をみんなそう呼んでるのよ。
[00:18:36.840] あら、フィリア様ですって。の精霊の像が
[00:18:38.960] 今ではそう呼ばれてるのね。あの時
[00:18:40.679] フィリアちゃんの勇気がリファ族の間で
[00:18:42.320] ずっと語り継がれてきたってことでね。で
[00:18:44.919] もなんかさ、やっぱFF7、あ、FFじゃ
[00:18:47.120] ねえや。ドラクエ7あるあるだけどさ、
[00:18:49.960] なんかこう美弾のように語られてるけどさ
[00:18:53.440] 、俺まだお父さんこ、あのリファなんだっ
[00:18:56.120] け?このフィリアちゃんのお父さんの件
[00:18:58.840] 結構モヤモヤしてるからね。あいつなんか
[00:19:01.559] 謝りもしてねえしさ。なんなんあれ?あの
[00:19:03.720] まんま俺終わりなんかい?
[00:19:06.520] 何も何も解決してないよな。その件につい
[00:19:09.440] ては
[00:19:15.080] 謝ないしさ、話もしてないしさ。失礼。
[00:19:18.520] この辺にはした仕掛けがあってボタン押す
[00:19:20.240] と床が回る場所があるんです。知ってます
[00:19:22.799] がな。
[00:19:39.280] あの変なパズルもう1回やらされんのか?
[00:19:41.159] あ、やらされそう。これ風が吹いてねえ。
[00:19:44.559] あ、こっちのさ、現代でさ、神の石置い
[00:19:48.440] たらどうなんね。
[00:19:51.280] え、こっちの世界でさ、風あの石持ってん
[00:19:54.559] じゃん。はい。
[00:19:59.480] ここに台座に風をさ、あの神の石置いたら
[00:20:02.880] さ、どうなるんやろね。風吹くんかいね。
[00:20:07.480] あ、
[00:20:11.120] こんなこともございますと。
[00:20:14.280] 一旦セーブしよう。なんか嫌な予感する。
[00:20:15.919] なんかなんかボスが出てきそうな気がする
[00:20:18.039] 。
[00:20:23.799] プレイ時間もう32時間やってんだけど
[00:20:26.840] 遊べるな。
[00:20:31.480] あの、
[00:20:32.200] あの、この扉はリファ族にしか開くことができないように作られています。この先に行かれますか?頼まい。頼ま。
[00:20:37.840] あ。
[00:20:59.799] うん。
[00:21:00.400] その丸い柱の奥に不思議な部屋がある。一体誰が何ために作ったのか。古い建物は不思議なことが多いんだ。
[00:21:06.679] ぐーたらしよう。こちゃんこんばんは。やっていきますよ、今日も。あれ?あかね。こんにちはか。こんにちは。こんヌずはまたありドラクエを夕方までやり。もうま、もう夕方なんだけど。もうほぼだけど。
[00:21:21.360] で、今日は12時から0の配信があります
[00:21:24.200] ので、ちょっと早めに終わってな、早めに
[00:21:26.799] 終わって準備をしなきゃいけない。ほぼ何
[00:21:29.520] も準備してないからね。
[00:21:33.919] 丸越しやねん。グータラジオって
[00:21:37.880] 丸越しラジオだから。あれ?神の石って
[00:21:41.200] どこに置くんだ?
[00:21:43.720] 神の石ってどこに置くんだ?とりあえず像
[00:21:45.480] を見に行くか。
[00:21:46.240] とりあえずはい、どうもこんちす。
[00:21:52.200] はい、
[00:21:53.200] フィリア様は太鼓よりここからリファ族の大地と風の塔を見つめています。そしてこの地に吹く聖なる数をフィリアさんはずっと守り続けているのです。旅の方。このそ、この
[00:22:03.039] あんなマシュマロ来るとは思わなかった。
[00:22:05.120] ほんまやで。ほんまやで。マシュマロめちゃめちゃ来てるからな。ま、
[00:22:09.520] 100件ぐらいは僕らだけど。
[00:22:13.000] その時5
[00:22:13.559] 人の英雄と共にこの地の救った幼き少女。あ、
[00:22:17.159] 5
[00:22:17.279] 人の英雄になってるんや。その名をフィリアという
[00:22:20.520] やば。
[00:22:21.720] その方をんでも精霊様の像の名として私たちに親しまれているのです。
[00:22:27.279] 5
[00:22:27.440] 人の英雄というのが誰のことなのか今でも分かってないです。桜でも助かるわ。助かる。助かる。え
[00:22:38.279] うん。
[00:22:40.960] え。
[00:22:42.120] ここ何もないの?ここ何もないの?
[00:22:47.840] え、何もないの?これ。
[00:22:53.400] え、何もない。これで終わりなん?
[00:22:57.320] え、何もイベントないじゃん。え、そう
[00:22:59.840] なん?
[00:23:02.440] 何もイベントないっすね。
[00:23:10.000] ちょっと繋げてみる。
[00:23:12.360] 繋げてみようかな。道繋げてみたい。
[00:23:17.120] 繋げてみたい。
[00:23:19.840] よいしょ。
[00:23:23.360] こか。
[00:23:34.240] も風吹いてなきゃ意味ねえよな。
[00:23:37.320] 風吹いてなきゃ意味ないと思うけど。
[00:23:40.240] あ、意味ないね。何もないな。何もないんかい、これ。
[00:23:44.080] ねえ、
[00:23:45.799] あと風の塔ってさ、開いてないみたいなんだけど何もないの?え、もしかしたらあれかな?神の石をさ、ここで使うとかなのかな?よいしょ。だっけ?これか?違う、違う。
[00:24:12.200] あ、何も起きねえ。
[00:24:18.039] ガモ
[00:24:19.240] 何もねえわ。え、ほんまに?ほんまに?あ、何もねえ。もうびっくりマ消えたわ。なんやってんじゃ。風の塔とかなんか思わせぶりなんか色々あったけど。あともう
[00:24:31.640] 1
[00:24:31.679] 個びっくりマークあるね。なんかね、もう
[00:24:33.240] 1個びっくりマークあるな。
[00:24:38.760] こっちは何?聖なる湖。え、なんかあるよ、ここ。フォーリッ何だっけ?あ、エリーのところか。エリーとゼボットのところね。聖なる
[00:24:52.200] 湖とかあったっけ?こんなん。なんかびっくりマークあるから行ってみるか。
[00:25:00.080] なんですの?
[00:25:04.600] 何だっけ?ここ何したとこだ?え?何だっ
[00:25:07.720] け?ここ
[00:25:11.600] 何するとこだっけ?
[00:25:15.559] 開かねえし。何?
[00:25:20.360] こちす。長き時を私は待ち続けている。
[00:25:23.360] かつてこの地を照らした光が今はなくとも
[00:25:25.520] 。この世に永遠はない。やがては私の役目
[00:25:28.360] も終わる時が来るはず。どかにめる神の
[00:25:30.520] 遺産。不裕すると伝えられる神の意思が。
[00:25:32.520] そ、え、そうなったら私に時を知らせる
[00:25:36.120] ものか。そうです。おお、それはまさしく
[00:25:39.120] 神の意思。やはりわしの役目、私の役目は
[00:25:41.440] 終わる時が来たようだ。こっから先は
[00:25:43.200] あなた方に我らのため、我ら神の兵の祈り
[00:25:46.000] を託すとしよう。え、湖で浮かぶ花は神の
[00:25:48.840] 祝べ、え、神の石を持つものをこの先導い
[00:25:51.399] てくれるだろう。て神の紋章の地で、え、
[00:25:54.120] その石にを天に捧げた時、復活への道が
[00:25:56.760] 現れるな。何を、何を言何?
[00:26:01.039] 何を言うてんの?やはりあの兵士どもは神
[00:26:03.919] の兵だったことな。え、となればこの先に
[00:26:06.600] 待つのはサーの次なる地の次神の紋章の
[00:26:09.679] 知恵へと向かう。え、何それ?
[00:26:13.880] ちょっとなんか壮大すぎる話が。おハの花
[00:26:18.320] 。
[00:26:22.200] なんやねん、それ。
[00:26:26.120] 3ゴの洞窟息できるんか?にゃ。
[00:26:30.679] わはもうだめだ。息が続かねえよ。あれなんだこれ普通に息できんのか?
[00:26:35.039] 海の中でも息できる頃ぐらいじゃもう驚かないわよ。
[00:26:38.480] にゃねえにゃ。
[00:26:43.240] なんでこの2人しか喋んないんだねえ。
[00:26:45.799] なんでアイラとアイラとあのおじいちゃんは喋んないの?息止めてんのかな?息き止めてんのかもしれん。
[00:26:54.279] せい
[00:27:01.320] おーい。
[00:27:03.240] あま、MPもうと坂割と強い
[00:27:09.000] はいねえ。
[00:27:13.399] やったわね。本当のこれ何?
[00:27:15.200] 多分豚海分
[00:27:18.360] 本当だ本当だ。シさんこんちっす。どこ行きゃええねん。大さの棚あすやめて。
[00:27:42.720] おお
[00:27:44.279] 、割とすぐ抜けれたけど
[00:27:51.559] 何なんだよこれ。
[00:27:54.679] 神の石がなんか現代で
[00:27:57.960] また水中か。おい、また水中じゃん。
[00:28:04.000] お、なんか、あ、明らかに何かありそうな
[00:28:06.480] 。豚耳
[00:28:09.360] 豚耳タブ
[00:28:15.279] 最近のちゃ俺のチャンネルのブームはあれ
[00:28:18.480] ですか文ですかねえ
[00:28:26.279] かいい
[00:28:28.760] こそり
[00:28:29.440] あゆまちこんばんはこんちはポ
[00:28:31.799] やポんドラクエやってんね
[00:28:36.240] 大大こんばんは。
[00:28:39.039] は、こんにちは。や
[00:28:41.360] 生体型光職売発売中。
[00:28:45.120] どんなもん
[00:28:46.320] 生体融合型光職売たっぺコペコ
[00:28:49.000] こんばんは。こんちは。おちゃもありがとう。
[00:28:50.600] ちゃたっぺコペコ
[00:28:51.919] まったりドラクエでもやってますわ。あ、え、何これグラコスの色違い強いんちゃう?え、なんだこれ?敵じゃないんかい?こう言えても俺は魔物じゃねえ。魔物だろ。
[00:29:03.320] しのくじみを乗り越えて来ないかな
[00:29:06.039] 配信したのさけどよ、その姿じゃこの姿誰も俺もまともには見てくれねえな。あんたら海底王の住かを知ってるか知らないね。ちがれなんやねんお前知ってる?おだってよ。俺を普通の海の生き物に変えるように伝えてくれねえか?俺にいいものやるからさ。
[00:29:24.159] 魔物と言えどもあっぱれなやつござる。これはぜ非海底王殿に頼んでやらればの。海底王って誰やね?磁キネックレス。
[00:29:31.039] いや、別に直キネックレスはスピリチュアルじゃないやろ。え、直キネックレスってあれやね。よくあのピップエレキバみたいなやつやね。別にあれはあれはスピリチュアルじゃないだろ。肩ことかに効果あるんちゃん。
[00:29:46.519] 海底王に俺る
[00:29:49.519] バ
[00:29:50.600] ドン。
[00:29:53.000] 海賊王になれなかった
[00:29:55.240] 世界戦のね。
[00:29:56.760] あ、来い。おお、
[00:29:58.960] マリベルに思いっきり甘えた。
[00:30:00.519] ネックレスなんてほんまに時期あるかなんて買うまでわからんからね。
[00:30:04.360] まあまあまあそうか。
[00:30:06.600] でもまあ効果あるんじゃないんすかね。わかんないけど。わかんないけど。
[00:30:11.080] どんなもんだ。
[00:30:11.840] なんか野球部とかつけてるやん。野球部とかつけてますやん。なんかよくわかわかんないけど。わかんないけど。ベホマラザオラルは違う。
[00:30:31.600] ドンキに売ってるよな。あのドンキのさ、ドラゴンメイル
[00:30:40.360] 時期ネックレスは結構が悪い人やそれを促進するだけだから実行性は低い。
[00:30:46.080] ま、実行性低くてもだからそういうの促進する効果があるんだからね。
[00:30:50.760] ま、わか、別な肩持つもりもないけど
[00:30:55.960] どこだかの石が意味ないって言ってたように。
[00:30:58.600] あ、そうなんだ。へえ。何このゆっけ?ゆっけの上にある卵。こんな感じじゃない?バ刺しゆの上に。うまいね。バ刺し食いたいっすわな。バ刺し食いてよ。
[00:31:14.360] スピリチュアルショップって検索すると出てきておすめ。
[00:31:20.720] やっぱ第7チャクラがみんなあれなんかな
[00:31:22.679] 。名誉性と繋がってんだろうな。
[00:31:28.000] 何
[00:31:32.600] こういうところやっぱさ、めっちゃ
[00:31:34.559] ドラゴンボールだよなっていうのを出して
[00:31:36.480] くる時あるよね。ドラクエってこういう冬
[00:31:39.799] するなんかフィールドみたいな。これもう
[00:31:41.960] もうめっちゃめっちゃドラゴンボールよね
[00:31:44.639] 。このドラクエ
[00:31:46.440] 11の神のたのをさもそうだけど
[00:31:49.399] 医者がレーシックやインプラント進めてくるけど当人は一切使わないのと同じ話さ。
[00:31:55.440] へえん。
[00:32:00.880] なんとこの誠に地上より神のもの石を持つものが現れるとはもしかしもはや時は遅すぎたかもしれんがともあれ神に導かれし人々よ。方々よこ我らの生き残りの神殿へようこそ。
[00:32:11.919] 生き残りの神殿って言ってんの?ここメルビンの見て何とも思わないのか。
[00:32:17.559] 生き残りの神殿。
[00:32:20.039] うん。
[00:32:20.600] 何か思うとこある?こんちす。
[00:32:24.840] は
[00:32:29.000] どうもこんにちはす。
[00:32:30.840] レトルトと
[00:32:34.279] どうもこんにちはす。レトルトと申します。これ晩年の晩年のレトルトね。
[00:32:39.960] これ伊勢神宮近くで取れた石なんだけど、今なら
[00:32:43.200] 1万で売ってあげるよ。
[00:32:44.880] 買うやついんのかな?ま、でもいるだろうな。中にはなっちゃうやつもいるからな。ただのただのワッシャー書いちゃうやつもいるから。え、この棚は神の兵の一族
[00:33:00.840] 1代目、30代目の記録の量だ。
[00:33:07.960] 神の兵とは神と共に、そして英雄と共に魔王と戦った。その神の兵を地上へ逃すとは。神はやはり魔王の敗北を予感されていたんだろうか。今一度真を問いたいものだが、え、我々神の一族、一族の死でもすに
[00:33:21.360] 2
[00:33:21.480] つには失われ、長い時の間で、え、先祖の記憶も、え、次第に薄れてしまっているのだ。ま、信じるというね。うん。
[00:33:32.799] 行為はね、人にとって大事ですからな。それにすが、それにすがらなきゃ生きていけない人もいるわけで。これドラクエ
[00:33:40.559] 11の神の民の里や。これ
[00:33:46.320] は
[00:33:46.919] ここは復活の代です。さあ、どうぞ。神の紋章へ。なんやねん。
[00:33:50.919] な、何なん?あ、え、あ、え、何?え、何これ?
[00:34:00.279] ちゃんにすがらないと生きていけない人が増えたらいいね。
[00:34:04.000] どうやら石板が足りないみたいね。全て集まったらま、え、嘘?まさか?え、もしかしてなんかあれですか?これ俺取り逃してるってこと?おい、始まったぞ。
[00:34:14.919] これ取り逃してるっちゅうことなんかこれ
[00:34:18.200] 本来ならもうここですでに揃ってサクっと
[00:34:21.520] 行けちゃうってことなんじゃないの?
[00:34:26.760] 玉げにすがらないと生きていけない人が
[00:34:29.159] 触れたらいや、そんなことない。あの、
[00:34:31.079] あの、やめて。
[00:34:34.000] 適切な、適切な距離感でさ、適切な距離感でな、あの、怖いからこのとか言ってるけどね。もっとやばいやついるからな。俺は最近、俺は最近何もげ
[00:34:53.240] は怖いから単にここも覚えといて矢の伏線じゃない。
[00:34:56.960] 線ですかね、ここ。
[00:34:59.240] 最近あれだからあの森またちょっと危なくなってきてるなっていうのはちょっと考え感じます。なくなってから仕事でドッ疲れるようになって一応円にもなるしもうゴリゴリ。あ、
[00:35:11.839] あのちょっとちょっとね、
[00:35:15.079] ちょっとなんかまた香ばしくなってきてるから。うん。ま、あのこの配信で言うけどお前ちょっとはまた危なくなってきてるからな。
[00:35:25.079] 尻りでも貸してやりな。
[00:35:26.800] て言うと多分あいつマジへこんでなんかもう僕はもう消えますとか始まるからそれはそんなそんなんはええんやけどええんやけど見てるよということだけ見てるぞということだけねということとこだけちょっと伝えとこうかなと思います。
[00:35:52.839] えっと、謎の死んでしく尖がりまくって他のやつと差別にしていけ
[00:36:01.280] どなもうあんま尖ってもさ、しゃあないねんて。え、あの、僕あんまいやいや、びっくりマーク出されてもさ。あ、あ、あ、揃うのね。びっくりした。
[00:36:21.760] ああ、そういうことか。びっくりした。揃うのか。ああ、なほね。あ、よかった、よかった、よかった。びっくりした。
[00:36:26.520] うい。お疲れ。
[00:36:28.119] びっくりした。ペロンお疲れちゃん。ペロンお疲れ。やっていく。やっていく。やっていく。コスタール周辺スタールって知らんけど。知らんけど。なかなかいい名前だな。なかなかいい名前だ。
[00:36:51.000] あ、これなんか知ってるよ、こいつ。あれじゃないの?
[00:36:54.160] あ、初見ワンパン。おつ。
[00:37:00.599] 安定ワンパン。
[00:37:01.599] 安定初見ワンパン。
[00:37:03.440] は?
[00:37:03.960] あ、こいつは無理なんだ。こいつはかっこいいよね。ドラクエ
[00:37:08.640] 6
