[00:00:20.560] おいす。
[00:07:09.800] あの、すごいんですよ、今日。執が
[00:07:13.400] かった。
[00:07:14.120] 執年がすごいんすよ。デマもお疲れちゃんだったりとか。
[00:07:17.400] ドラクエ40まずドラクエ40
[00:07:18.919] 周年でしょ。ドラゴンクエスト40
[00:07:20.759] 周年悪魔城ドラクラ40周年ポケモン30
[00:07:23.759] 周年。え、ゼルダの伝説
[00:07:25.800] 40周年。え、メトロイド40
[00:07:27.800] 周年。え、ピクミン
[00:07:29.800] 25周年。え、
[00:07:32.520] 30、
[00:07:33.080] え、橋本30周年。だ。
[00:07:35.479] え、あとなんだっけ?え、あと何かあるかな?
[00:07:38.160] ちゃまゲー30周年。
[00:07:39.639] え、マリオ、え、ルイージマンション
[00:07:42.560] 25
[00:07:43.000] 周年。えぐいんすよ、マジで。今年、今年本当にえぐくて、今年本当にえぐいんすよ。グいね。本
[00:07:50.479] 30
[00:07:50.720] 周年黒い。コめちゃんもこんばんは。こちゃんこんばんは。この後ちょみんなで
[00:07:53.840] 20周年。
[00:07:54.759] うえ、
[00:07:55.639] ファミ240周年。
[00:07:56.960] ファミ2も40周年か。
[00:07:58.120] 年のバーゲ。
[00:07:59.039] 周年のバーゲする。めいちゃんこんばんは。
[00:08:01.039] ということで、あのね、橋本も
[00:08:03.280] 30
[00:08:03.560] 周年でございますけども、今日ちょっと今日の忍代はあれるで。
[00:08:08.639] 今日の忍代はあれるぞ。お前らファミってそういえば
[00:08:11.680] まだあるね。まだあるね。パンタさんもこんばんは。みーちゃんもこんばんは。忍代見ますよ。生配信でちょっと見たいのもそうなんですけど、ちょっとここぐっと来られてどうしても配信に画面映したいんで僕はアーカイブ視長これあのミラー配信禁止されてますのでミラー配信禁止されてますので。
[00:08:25.840] そういや大阪のスーパーポテトす。
[00:08:27.840] え、何?何?何がすごいんだ?ど、どうすごかった?いもこ、こんばんは。いもこもお疲れ。
[00:08:32.000] いらに終わるんだろね。
[00:08:32.959] あ、ね、50
[00:08:33.719] 分って言ってたから、ま、多分
[00:08:35.399] 12時には終わんじゃない?11時50
[00:08:37.560] 分とかには。あ、そうなも
[00:08:39.479] 40周年。あったよ。ルール守っ
[00:08:43.120] ルール守って偉い。うん。数年前の俺はガンガン見てたけどね、生配信で。
[00:08:47.281] [笑い]
[00:08:47.720] 先週から
[00:08:48.880] ちょっとさすがにちょっと、
[00:08:50.920] ちょっとなんかさすがにちょっと怖くなってきたのでちょっとね。
[00:08:55.160] 前買ってたあのゲームスーパーポテトだよ。
[00:08:57.720] あ、そうなんだ。スーパーポテトなんだ。いいね。値段高くないでもポテトってちょっと
[00:09:02.519] あのペッテルもお疲れちゃん。この後忍代見ますよ。ちょっとその前にあのすいません。あの皆さんこれね、あのこいだの配信でもあれしましたけど
[00:09:10.839] あれしましたけどこれ誕生日プレゼントありがとうございました。あのこれ本当に素晴らしい誕生日プレゼント見て。てか額に入れたのやばくない?額に入れたんだけどこれやばいよね。めっちゃめっちゃいいしょ。
[00:09:18.721] [笑い]
[00:09:22.480] メルカリに出すの?メカに出す。うん。これメルカリ出。もう見れない。これメルメルカに出すけどね。このまま草。
[00:09:31.040] このままメルカリに出します。5
[00:09:32.560] 万で安。冗です。冗談です。いや、もう俺もうめちゃくちゃ熟読したから大丈夫。見たければまた出すし。手紙。いや、本当に素晴らしい。
[00:09:33.786] [笑い]
[00:09:44.040] で、これももちろん最高のプレゼントなん
[00:09:47.160] ですけど、あの、色々送っていただきまし
[00:09:49.120] て色々届きまして、あの、本当に本当に
[00:09:52.959] ありがとうございます。ちょっと紹介させ
[00:09:54.320] てもらっていいですか?紹介させてもらっ
[00:09:55.959] ていいですか?いや、30周年ってすご
[00:09:58.240] いっすね。あの、いや、毎年なんだかんだ
[00:10:00.560] 色々もらってるんだけど、毎年なんだかん
[00:10:02.320] だ色々もらってるんだけど、今年みんなの
[00:10:04.600] 気合いがすごくて、[笑い]あの、色々
[00:10:07.399] いただきました。まず1個目
[00:10:10.880] ジャん。これえぐいでしょ、これ。
[00:10:14.640] これえぐくない?ゲームボーイのは
[00:10:17.200] さすがに奮発。
[00:10:18.320] あのゲームボーイのレゴ。これすごない?これすごない?これ米国通長さんからだきました。米国さんありがとう。これ配信でやります。てか何?あ、明後日ちょっとやろうかな。配信で。配信でちょっとこれ組もうかな。い
[00:10:34.040] も物リストに入れて、
[00:10:35.160] ま、入れてたけどね。ま、誰か買うか、誰か買ってくれかなと思ってなって。
[00:10:39.000] 誰か買ってくれかなと思って入れてたけどね。うん。まんまと買ってくれました。
[00:10:41.252] [笑い]
[00:10:44.160] 笑笑
[00:10:44.839] ありがとうございます。ありがとうございます。ありがとうございます。これめっちゃいいよね。てか箱がおしゃれなんよ。
[00:10:49.560] てレゴあるんだ。笑
[00:10:51.480] 箱がおしゃれなんですよ、これ。ちょっとやりたいね。配信でやりましょう。これ配信でやりましょう。これありがとうございます。これ本当に箱も綺麗に取っておきたい。おしゃれだよね、これ。おしゃれだよね。
[00:11:01.200] よ
[00:11:02.320] あたこんばんは。あ、この後人忍見るぜ。そい誕生日プレゼントを紹介していきます。
[00:11:07.040] できたら大きいのかな?
[00:11:08.600] そう。いや、実物台。実物台と一緒らしい。
[00:11:11.200] これで23、3
[00:11:12.120] 時間できるって言ってたから、ま、明後日明日ちょっと配信できないんだけど、明日ちょっとじんちゃんがなんかじゅんちゃんから電話勝ってきてさ、え、じゃ、明日いてんの?飯行くべなん、なんか多分多分多分多分怒ってくれるんで。多分怒ってくれるんで財布持ってかないけど、明日は。
[00:11:21.862] [笑い]
[00:11:28.600] 笑笑[笑い]
[00:11:29.680] なんだ明日ちょっと配信できないっす。明後日。明後日が俺本当の誕生日なんだけど。
[00:11:34.200] 明後日本当誕生日なんだけど一応だからこれやれで割りカだったらこれで割りカあじちゃんお疲れちゃんお疲れで割り勘ったらバカ笑うんだけどまちょっとあえて聞きませんけどここは
[00:11:39.548] [笑い]
[00:11:46.959] 聞きませんけどもちょこれやりますからよろしくお願いします。ありがとうね。本当にありがとうさん。米さん本当にありがとう。
[00:11:52.720] さんみたいな声なの
[00:11:54.079] そうだよ。
[00:11:54.959] 笑一応持って。
[00:11:56.519] これは持ってかないよ。これは持ってかないけど。で次ね。次すいません。色々いただきまして。
[00:12:03.760] えっとね、リビさん、リビーさんからいただきました。え、よいしょ。
[00:12:09.120] これもまたすごいんだよ。これもやばない?メタルギアレックスのグラモデル。これでっか。
[00:12:12.298] [笑い]
[00:12:18.920] これガチ。やば。でっか。
[00:12:21.480] でっか。
[00:12:22.399] かっけえ。
[00:12:23.560] かっこよ。
[00:12:24.800] ピッカピカ。俺めっちゃそれ欲しい。笑。顔と同じぐらいじゃん。
[00:12:29.560] かかっこよすぎる。
[00:12:31.240] エぐ。これちょっと本当にずっと欲しくて
[00:12:35.880] ありがとう。本当にこれも配信でやります
[00:12:37.600] 。プラモ配信できんの嬉しい。マジで箱
[00:12:41.399] やばいよね。まず箱えぐくない?これクソ
[00:12:44.040] がっこいいし。ま、ちょっとメタル
[00:12:45.360] ギアレックスあんまメタルギア知らない人
[00:12:46.920] もいるかもしんないけど、これやる前に1
[00:12:48.800] 回あのPS1のメタルギアソリッドもう1
[00:12:51.959] 回配信でやろうかなと思います。
[00:12:53.079] リバイバル配信。多分その頃にはちょうど
[00:12:55.240] 多分あのなんだっけ?え、ポリメガも届く
[00:12:58.199] からポリメガでちょっとやろうかなと思い
[00:12:59.839] ます。
[00:13:00.240] で、みんなでやった後に、あ、そうです。デラコマニキにこれもうお願いしました。デラコマニキにこれ明日発送します。デラコマニキに。はい。や、これ本当すごいよ。ちょっと箱開けてみるけど。これ多分デラコマ兄貴やばいと思う。デラコマ君にあの
[00:13:04.699] [笑い]
[00:13:16.839] 配信も忘れる?
[00:13:17.959] もちろんやりますよ。やりますがな。忘れてないがな。大丈夫だよ。
[00:13:23.320] 過労し寸前。
[00:13:24.440] 過労し寸前。ちょっと待って。ちょっと中身見たい。中身ちょっと見たい。
[00:13:29.600] パーツ2えぐいんだよね、これ。パーツ
[00:13:31.440] ちょ、もうこう噛合いがすごい箱の精度が
[00:13:35.839] 高すぎて開かない。
[00:13:38.440] よいしょ。
[00:13:42.034] [笑い]
[00:13:44.839] このパーツ量。これ多分ね、あの、やる時
[00:13:49.399] 多分やる時多分普通に56時間かかるんで
[00:13:52.440] 。56時間かかるんであの、多分本当に
[00:13:56.399] あのあれだと思います。1
[00:13:57.759] 日かりでやるやつだと思う。休日に。
[00:14:01.160] これもう耐久だろ。
[00:14:02.360] これもう耐久だと思う。マジで
[00:14:04.360] えぐいよね。で、これを1個1
[00:14:05.720] 個しかも塗装してくれるからね。俺はちょっとリクエストしたのがあんまり、あんまり銀ンギラギンにすんじゃなくて、あのビッグバイパーの時みたいな、あのくんだ汚れた感じにしてくれたら絶対かっこよくなるから。絶対かっこよくなる。楽しみすぎる。デラくマ君よろしく。はい、ありがとうございます。
[00:14:21.334] [笑い]
[00:14:23.880] Bさんありがとう。本当に。
[00:14:25.160] で、次なんですけど、
[00:14:26.199] ウェリングまでやってくれるんだ。笑
[00:14:28.519] ウェザリング。そう、ウェザリング。で、次、
[00:14:30.360] 次、次。え、次。あ、どんな感じかと、
[00:14:33.720] も過労しさせるやつ。
[00:14:35.279] どんな感じかって言うと、前にこれあのデラコマ君に塗装してもらった。塗装してもらった。
[00:14:43.040] あの、プラムワークでやったんだけど、
[00:14:45.240] ウェザーリングっていうのはこれ、あの、
[00:14:47.240] あの、これ、あの、
[00:14:49.440] グラディウスのビッグバイパーなんだけど
[00:14:51.199] 、この分かる?これ、この汚れ感、このよ
[00:14:55.639] 、やばくない?これ[笑い]
[00:14:57.519] クソかっ
[00:14:59.320] 、これクソかっ
[00:15:05.240] てほしい。もう1回お願いします。つて、
[00:15:07.839] あの、これやばいよ。
[00:15:10.800] これやばすぎるよね。これをやってもらいます。またこれまたやってもらおうかなと思ででまだまだまだありまして次芋もこ君もこくんもこくんもこくはい。またでかい。はい。
[00:15:18.975] [笑い]
[00:15:31.639] オベリスクの巨神兵のオベリスクの巨神兵の
[00:15:33.385] [笑い]
[00:15:35.800] おおでっか
[00:15:37.480] でっかまた
[00:15:38.600] 来ちゃ
[00:15:39.360] またでっかまたでっかもやりますからでラマ君よろしくお願いしますが死ぬって
[00:15:47.795] [笑い]
[00:15:49.839] 写真
[00:15:50.360] デラコマ君が死ぬってそろそろ本当に忙しすぎングですかマにどうする金払え
[00:15:57.680] いやでもあれだからねちゃんとあれだからちゃんとあれだ
[00:16:01.240] だからね、あの、僕、あの、いつもお
[00:16:02.639] つまみとかお酒とかなんかこう塗料と一緒
[00:16:05.079] に送ってますから、お金はちょっと渡し方
[00:16:08.000] わからないって。ま、塗料とかもね、俺が
[00:16:10.319] 勝ってるしね。ランディ使後ね、あの、
[00:16:12.079] 任天堂ダイレクトでやるんだけど見るんだ
[00:16:13.480] けど、ちょっとプレゼント届いた
[00:16:14.720] プレゼントを紹介してます。おい、いこり
[00:16:16.839] な。いこはね、前回もつしで原作感
[00:16:22.079] 絶対艶しだよね。前回もね、いもこはね、
[00:16:24.360] あのプラモデル、あのね、多分イベント
[00:16:26.759] 終わった時かな、あの12月の12月の
[00:16:29.880] イベント終わった時にあのくれたんすよね
[00:16:32.800] 。
[00:16:40.040] ラーの心龍のラーの欲心龍のさ、あのクラも作ってくれた。作ってくれたか、これ送ってくれたんだけど、またこれはデラコマ君が塗装してくれたんですけど、かっけ。
[00:16:41.506] [笑い]
[00:16:51.040] ま、これもデラコマ君が塗装してくれたんですけど、バカかっこよくない?
[00:16:54.199] 輝きえぐい。
[00:16:55.440] えぐいっしょ。これ、これの同じシリーズ。オベリスクやばいっしょ。楽しみすぎるだろ。楽しみす。これえぐいもんな。マジでかっこすぎだよね。これ
[00:17:07.120] すぎて説明するて。
[00:17:09.799] これやばいよな。マジでかっこいいよね。たすぐる。
[00:17:13.120] 楽しみすぎる。もこありがとう。こいとこ。
[00:17:24.280] やばい。気づくたにTwitter
[00:17:26.000] 更新かけてネタバレ踏んでる。早く見てよ。笑。
[00:17:31.000] 変わった。
[00:17:31.880] 置き場所変わりました。ちょっとあの上に驚くのめんどくさくちゃ。いもこありがとな。芋ありがとな。
[00:17:37.840] これもちょっとパーツ2
[00:17:38.840] もシリス揃ったら次はミ原現かな?
[00:17:41.840] 3
[00:17:42.120] 現ってあれ出てんのかな?またまたまた多いで。また多いで。パーツが
[00:17:50.937] [笑い]
[00:17:55.520] パーツが多いな。
[00:17:57.720] これは
[00:17:58.440] 完了。
[00:18:00.039] これさ、だってさ、でかさえぐいって。でかさえぐい。これ手の大きさ見て。
[00:18:06.240] 手の大きさがれだからね。プラモの手の大きさがこれバカでかいって。厳しいって。やべえ。もう当面ちょっとあれだわ。あの
[00:18:21.720] 山の手と変わらんやん。
[00:18:23.120] 変わらんよ。俺ちっちゃいからね、俺ね。ありがとうございました。ありがとうございました。本当にもこありがとうね。芋もこんまにありがとう。
[00:18:29.000] ほんでさ、ま、もう1
[00:18:30.200] 個あるんだけど、それがさ、あの、ま、さ、今日届いてて、今日もさ、なんか家から家帰ってきたらもうなんか玄関のドアが開かないぐらいダンボールが重なってて、あの、またでっかいダンボール入ってたんだけど、ほんともう
[00:18:42.440] 1
[00:18:42.520] 個あの、あるんですけど、あの、ま、皆さん、ま、皆さん言ってる、言ってますけど、ま、あの、ラーね、オベリスク、ラーとオベリスクがあったらもうあったらもうね、あの、これなんですよね。
[00:18:57.093] [笑い]
[00:18:59.520] いや、来ました。もうちょっと待って。やばいって。で、しかもこれ誰からだと思う?これの
[00:19:06.360] これ誰?誰からだと思う?これ。これ誰からだと思う?これ。これいもこ君からです。ちょっともう。え、何?抱かれたいの俺に?
[00:19:11.503] [笑い]
[00:19:15.480] え、抱こっか?え、エッチしてあげよっか?俺が、俺がエッチしてあげよっか?なんかそんな、
[00:19:21.039] そんなことするんだったら
[00:19:22.320] 抱いてやれよ。
[00:19:23.000] 抱いてやろうかな?マジでありがとう。
[00:19:24.640] 本当に結構高いからね、これ。結構高いからね。
[00:19:28.400] カメラマンやるよ。
[00:19:30.520] よし、それじゃ、それじゃあ販売しようぜ。オンリーファンズで。オンリーファンズで販売しよう。それなあ。エジさん、お疲れちゃん。えぐいっす。え、ちょっと今もこ本当にありがとうね。
[00:19:41.520] て欲しいって言われたらどうすんの?ちょ、
[00:19:43.600] 本当に困るな。それは
[00:19:45.240] くまさんは人気です。
[00:19:46.480] それは本当に困るけど。もこ本当にありがとね。
[00:19:51.400] どうせ買うことになるし。[笑い]
[00:19:54.600] あのか、これ買う。買った時に、あの、なんかさ、メッセージみたいなのあるじゃん。メッセージにはメッセージにもう買うしかなくなっちゃったよって書った。
[00:20:03.903] [笑い]
[00:20:04.840] もう買うしかなくなっちゃったよ。もう殺すしかなくなっちゃったよみたいな。
[00:20:08.880] 笑笑
[00:20:10.799] ありがとうございます。だってそしたらだってもう
[00:20:13.240] 3
[00:20:13.480] 現場のプラも全部もこが俺に買ってくれたからね。
[00:20:17.520] いもこが俺に買ってくれてことリスしか持ってないのに。
[00:20:20.760] これやばいよね。いや、ありがとうございます。本当にすごい。すごい。あ、そんでさ、違うんだ。そんで、そんでさ、あの、もう
[00:20:29.240] 1
[00:20:29.360] 個あって、ちょっと持ってくんのちょっとしんどいんだけど、あのさ、あの、ブラ、俺がいつも飲んでるブラックコーヒー、俺が好きなボスクラフトのさ、ブラックコーヒーがケース
[00:20:38.039] 1
[00:20:38.240] 個なんか届いたんだけど、誰だかわかんないんだよね。誰ですか?あの、僕ですよって人ます。
[00:20:45.600] あれ誰?あれ本当にありがたい。あれめっちゃ飲むから俺です。
[00:20:48.640] え、本当?あ、リビさん本当?あ、リビさんマジで?
[00:20:52.360] おお、
[00:20:53.400] ありがとう。え、何?じゃあれも、え、これとってこと?
[00:20:58.720] マジだよ。笑。
[00:20:59.960] あ、これと、これとってこと?え、マジで?え、ありがとうね。なんかね、あれなんかね、名前とか入ってなかったんだよね。名前とか入ってなくてわかんなかった。ありがとう。え、
[00:21:08.760] マジでありがとう。え、じゃ待って。
[00:21:11.559] あのさ、俺プレゼント
[00:21:13.880] 56個届いたのに3
[00:21:15.480] 人からしかもらってないってこと?いや、別人からしかってことないんだけど。
[00:21:17.264] [笑い]
[00:21:20.200] 3人したかってことはないんだけど。
[00:21:22.440] もしかして。
[00:21:23.520] あ、あ、あれやね。あ、あのなんか、あ、そうなんだ。ありがとう。
[00:21:25.124] [笑い]
[00:21:27.679] とんでもねえや。
[00:21:28.400] とんでもねえや。金持ちがいっぱいいて
[00:21:30.559] 4
[00:21:30.799] Pだな。4
[00:21:31.799] Pだな。うん。
[00:21:32.760] もゲーな。4
[00:21:34.279] P
[00:21:34.440] だな。ありがとうございます。本当にありがとうございます。本当にありがとうございます。
[00:21:38.840] なんか噂によると噂にマンやるよ。
[00:21:42.154] [笑い]
[00:21:42.159] いや、分かったよ。噂によるとなんかまだ届くみたいなんすよ。まだ届きそうな。届くらしいんですけど。それまた紹介させていただきます。本当に本当にありがとうございます。本当にマジでありがとう。なんかすごいね。ありがとう。本当に楽しみにしてます。は
[00:21:58.080] まだ終わりません。
[00:21:59.039] なんって漁ってたからね。なんだって漁ってたからね。いえいえじゃない。いや、まあでもそれは、ま、くれた人はありがとう。
[00:22:02.460] [笑い]
[00:22:04.679] 別にそんななんか送れない人は別にそれはそれで別にいつも来てくれてありがとうございます。とことでいやあ楽しみやね。楽しみやね。早く
[00:22:14.360] 早くやりたい。おそこの[笑い]
[00:22:16.440] 2
[00:22:16.559] 人はま、奥じゃないですけど。いや、ま、いいんですけど。ま、いいんです。いや、ありがとうございます。本当に。いや、もうこれもそうだけど本当に本当に幸せだと思いますわ。ほんでよ、もうちょっとしたら任天堂
[00:22:27.279] ダイレクトが始まってよ、もう来週にはよ、メガ届いてよ。
[00:22:31.640] は最高じゃねえか。最高じゃねえかよ。どうなっちゃう?死ぬか?
[00:22:40.440] くらい送ってもらって会
[00:22:42.880] 死ぬか?
[00:22:43.720] いや、は持っていくって。ハの誕生日の後の写真すごい廊下全部ダンボールで埋まってるぐらいな。でも単価単価が単価が客端客端言い方悪い。言い方悪すぎるな。どうもこんあすいませんでした。ありがとうございます。
[00:22:54.205] [笑い]
[00:23:00.159] 笑笑。
[00:23:00.840] 客高いんだ。高い。で勝負。えぐい。
[00:23:04.279] 客がえぐい。炭えぐいね。
[00:23:06.679] いい笑い方してら。[笑い]
[00:23:09.520] 本当全部配信で堪能させてもらいます。あとマジでマジでね、コーヒーめっちゃ嬉しい。あれ超飲むんよ。お前らもあれだからな。朝はブラックコーヒー。これマジ痩せるから。これマジ朝ブラックコーヒー飲もう。マジ痩せるから。それだけで本当に朝フインはいぞ。俺もうのコーヒーでもう痩せてますから。
[00:23:29.000] あれめっちゃあれいすよ。クラフトボス
[00:23:30.840] から無理。
[00:23:31.480] いや、もうそこももう苦いとかでもそん中でも俺もクラフトボスだけはうまいなっと思ったわ。うまいなと思っ重入れないな。お前らもう足とかいいねん。もう
[00:23:43.039] 飲みやすい。
[00:23:43.840] 飲みやすいよね。クラフトボフ。クラクラ。そろそろ終わった。
[00:23:47.760] クラフトボスはサラサラだ。
[00:23:49.200] サラサラだね。かなりサラサラだし。あの苦みだけじゃない。
[00:23:53.919] ボフブ。
[00:23:54.960] クラストボスブスボフ。ありがとうございます。
[00:23:58.000] 本当にほんまありがとう。これもこれもでもすごいいいでしょ、これ。これもすごくいいでしょ、
[00:24:05.880] これめっちゃめっちゃいい。これマジで
[00:24:10.159] どこに飾ろう?ここに置いとくな。しばらくここ置いとくけど、なんか壁に飾りたいよね。やっぱね、めちゃめちゃいいです。本当にありがとうございます。幸せだな。ということでそろそろ終わりましたかね。任天堂
[00:24:21.520] ダイレクト。いや、ちょっと忍代この後行きますけど先アパートだから庭ねえ。
[00:24:27.760] あの、
[00:24:29.600] この、あの、あと忍耐見ますけど、忍ね、
[00:24:33.360] 忍、忍いきます。まあ、100%10中
[00:24:38.520] ハック
[00:24:40.039] 、ま、ゼルダの伝説は出ます。ゼルダの
[00:24:41.919] 伝説の、ま、新作またはリメイクは絶対
[00:24:45.399] 出ると思う。なんなら1番最後の映像で
[00:24:47.520] 来るんじゃないかなと思っている。いつも
[00:24:49.080] のパターンだからね。で、40周年だぜ。
[00:24:50.679] で、しかも来週、来週じゃねえや、来年、
[00:24:53.559] 映画やるんでしょう。あれ、絶対あるよ。
[00:24:55.720] で、俺はちょっと1
[00:24:57.320] 個マジで頼みたい。メトロイド新作来てほしい。本当に本当にメトロイドの新作が来てほしい。結局あんだけ言ってたメトロイドを最後にご覧ください。
[00:25:08.679] メトロイドのあのあのこの前出た新作やってないけどね。プライム
[00:25:12.640] 4
[00:25:13.520] あんなにあんなに言ってたのにやってないんだけど。でも違うんだよ。俺がやりたいのはねメトロドプライムじゃない。あのドレットみたいな横スクロールの横スクロールのメトロドがやりたいんだ。
[00:25:13.722] [笑い]
[00:25:25.000] スーパーメトロイドのリメイクとか来たら
[00:25:26.480] もう死ぬ。いやあ、楽しみです。みんなは
[00:25:30.799] なんかある?なんか楽しみなの?てか、
[00:25:32.480] みんな見てから来た。それとも俺と一緒に
[00:25:34.399] 見てくれんの?俺と一緒に見てくれんの?
[00:25:36.000] ちなみにさ、あのさ、俺もさ、予約したの
[00:25:38.320] 忘れてたんだけどさ、予約したの忘れてた
[00:25:40.480] んだけど。シャリメイクダスクブラッド
[00:25:43.320] 。
[00:25:43.720] これも届いたんだよね。これ自分で買った
[00:25:45.320] んだけど。自分で買ったんだけどさ、
[00:25:47.559] このメトロイド
[00:25:49.120] のサムスのさ、超合金予約してたの忘れて
[00:25:52.440] こな間届いてさ。
[00:25:54.399] これもさ、めっちゃかっこいいんだよね。
[00:25:56.200] うっぱ。
[00:25:57.000] これめっちゃかっこいいんすよ。これ超合金。
[00:25:59.880] 初めて買ったけど。
[00:26:01.799] 初めて買ったんだけど。
[00:26:02.559] てかテか
[00:26:05.159] 初めて買ったんだけどめっちゃかっこいいんだよね、これ。
[00:26:09.159] そろそろ続報欲しい。
[00:26:10.440] ああ、やっぱ開けんのやめよ。見してあげようかと思ったけどやめた。綺麗にまた未開封みたいに閉じたから。そんなのもやるんでちょっとメトルドやりたいっすね。メトルード好きなんで俺で。
[00:26:13.983] [笑い]
[00:26:22.880] え、しかも悪魔城とラキュラは新作の情報来てるしょ。新作の情報来てるしょ。もうだやべえよ。今年マジで
[00:26:28.240] のサムスのとこだけてカテカ加工もいい。い
[00:26:30.679] い。あれめちゃくちゃいい。本当に楽しみやね。索ないかな。
[00:26:37.120] ねえよ。いやない。てか別にダビスタって別に毎年出てるでしょ。なんかなんだかんだ出てないのかな?わかんないけど。
[00:26:46.520] シルバーサーファー来い。
[00:26:48.080] 絶対ない。大穴大穴狙いしようぜ。大穴狙い。
[00:26:52.640] ない。
[00:26:53.399] 出て。あ、出てないんだ。なんか競馬のゲームってなんか毎年出るようなイメージあったけど。なんか
[00:26:58.799] トジム頼む。
[00:26:59.880] トジムア[笑い]R
[00:27:02.720] 絶対ない。絶対ない。でも登なんかなんかあれから気になってきたんだよね。もうやろっかな。配信で
[00:27:09.480] シャドゲートス
[00:27:10.880] いやでもシャドゲーとかなんかその辺なんかありそうな感じするよね。なんかなんだかんだシャドゲ界隈ってさ、シャドゲ界隈ってめっちゃめっちゃ日致な。
[00:27:18.173] [笑い]
[00:27:20.360] めっちゃ日なそうだけどシャドゲ界隈ちょっと盛り上がってんだよね。
[00:27:24.039] 笑。[笑い]
[00:27:25.159] シャドゲ界隈ってなんかさ、なんだかんだなんかシャドゲライクなゲームが出たり、シャドウゲートの続編が出たりとか何気にちょっと
[00:27:32.919] すぎる。[笑い]
[00:27:34.840] 何気にちょっとあれしまあ出た。
[00:27:38.000] ライク出たよね。だから任天堂ンラインにさ
[00:27:41.320] 64Nendo堂64
[00:27:42.600] オンラインにさ、あのシャドウゲート
[00:27:44.399] 64配信ぐらいはあってもいいよね。
[00:27:47.480] てててレルんテレルんルんそんくらいはあっていいと思う。そんくらいは
[00:27:54.720] デンデー
[00:27:57.360] キドラクエ[笑い]
[00:27:59.679] 4リメイクに1万ガバス
[00:28:02.000] ドラクエ4
[00:28:02.600] のリメイクはないよ。てドラクエの配信あ、ドラクエの発表はないんじゃない?こないだってさ、こないだあんな
[00:28:08.840] 10分間の配信で限界だったやん。
[00:28:11.720] え、あそこで黙っててこっちでってことあんのかな?ドラクエ
[00:28:15.679] 9
[00:28:16.080] リメイクとかはワンチャンツあってもいいかな?
[00:28:22.399] ないよね。ないよね。ないと思う。俺もないと思います。ないと思う。
