[00:00:54.760] 残念。橋本の冒険派。ここで終わって
[00:06:47.479] ぐらいなのに明日仕事でよ。今日も出張
[00:06:52.319] だったんですよ。
[00:06:54.720] 今日も出張でさ、スーツ来て、
[00:06:59.199] スーツ来て、東京は丸ノ内ですわね。
[00:07:02.160] オフィスの花ですわね。あんなとこ行って
[00:07:05.319] ね。
[00:07:07.160] オスワーに行ったんよ。そう、オフィスワーカーがいっぱいいる中ね、リュックし、リュックしってね、
[00:07:15.360] リュックしってね、なんか太ったやつがの歩いてね、明らかも丸出しでも丸だし。ゼトマこんばんは。え、彩たこんばんは。行ってきてよ。俺悪くねえのに謝らされてよ。社長と言ったんだけどでも早く帰りたかったん、今日。
[00:07:31.440] 早く帰りたかったのにさ、なんかもう帰りの
[00:07:34.639] 配信なから言いすぎた。心配。
[00:07:37.680] お、心配すんな。おめえに何言われても別にへこまねえよ。うぼれんな。あんまり貴様に何言われても俺は別にへこまん。あまりうぼれるなよ。あさんお疲れ。あさんお疲れ。お前に別に何言われても別に配信休むほどやまんわ。はい、どうも。
[00:07:57.800] はい、どうもこんばんは。やってきますよ。すいませんでもちょっと久しぶりになっちゃって。
[00:08:01.400] 嘘。
[00:08:02.720] ちょっと顔丸なった。うん。なんか最近食べすぎかなって若干思ってる。最近食べすぎかなって思ってる。あと仕事が忙しくて帰ってきてからウォーキングとか行けてないんだよね。やばいよね。やばい。マジ頑張んなきゃ。マジで
[00:08:16.400] 言えるの助かる。顎のライン。
[00:08:18.319] 顎のラ
[00:08:18.639] ineがちょっとやばい。いや、むんでるだけだから。うん。むんでるだけだから。で、今日もや。今日もやあ。仕事終わってさったから配信楽しみにしてた。
[00:08:29.759] ありがとうございます。あ、やっぱやっぱ
[00:08:32.519] あれですな。面白い配信を積み重ね
[00:08:35.440] むくむってむくむでその年で俺もう30や
[00:08:39.200] ぞ。もう自分で自分のこと若者って言わ
[00:08:42.200] ないんだから。その年でむくむだろ。1番
[00:08:45.040] 30なんてやで。
[00:08:48.000] ね。今日も早く帰って早く配信久しぶり
[00:08:50.519] やりたいなと思ってたんだけどさ、もっと
[00:08:52.000] 早くやりたかったんだけど。まだだよ。
[00:08:54.240] なんかさ、あの何社長がさ、今日頑張ったから夜ご飯食べてこうって言って全然
[00:09:01.800] 全然嬉しくないのに東京で飯食ってきたんだけどさ。しかもなんか俺、あのいくら食えないのになんか鮭ケといくらのかま飯のお店みたいの連れてかれていくら食えないのにもういくら食えませんって言えないからもう心を殺してイクラを食べてきた。
[00:09:20.399] 3
[00:09:20.600] 連続。うお。もうお前3連続しんど弱。
[00:09:24.680] 次郎行こうよ。
[00:09:25.680] 弱。次郎行きたい。久々にもうだいぶ行ってないけど。いや、マジか。だぶやっぱま、いいや。はい。もう時間ないんで。はい。やります。はい。うるせうるせ。はい、行きます。
[00:09:33.720] そこはいくら無理って言わないんだ?
[00:09:36.040] い、言わないよ。だって社長だよ。はい、やっていきます。地獄です。はい、どうも。もうぜ、ぶっちゃけ言っていい?全然覚えてない。全然覚えていません。よろしくお願いします。
[00:09:47.920] ラクミールの塔4
[00:09:49.240] 回何それ?ラクミールの塔ってどこだよ。え、プレイ時間
[00:09:55.800] 3時間26分しかやってないの?
[00:09:58.120] 3
[00:09:58.320] 時間26分しかやってないの?20
[00:10:00.160] 時間ぐらいやったろ。もう、もう
[00:10:02.440] 20
[00:10:02.760] 時間ぐらいやった。ああ、なんかあったわ。こんなんありましたわね、こんなのね。も全然覚えてないんだけど。もうちょやり方もやり方も覚えてないんだけど。
[00:10:12.440] やり方も覚えてないんだけど。ど、どうやってやんだっけ?これ。あ、こうだ。こうだ。こうだ。はい。はい。はい。
[00:10:16.240] もうこのでこれと何やってんだよこれ俺あんまりラさせんじゃねえぞ。なんかどうやって調べんだよこれ。あ、これあれか。近接して青い指輪を見つけた。取るよ。取るよ。もう全然覚えてないよ。これ何だっけ?これごめん。ちょっとごめん。ちょっともうめんどくさいからこのままやらせてくれ。めんどくせえからこのままやらせてくれ。
[00:10:41.720] にゃ
[00:10:42.760] ぐにゃー。
[00:10:45.399] めんどくせえ
[00:10:47.800] は
[00:10:48.920] ゲロ吐き配信でゲロ吐き配信やべいクら吐きそう俺いくら食えねえのにさくら食わされたねん今日口ん中がまだ生臭いぜ死者の指輪を手に入れた。はい、どうもこんばんは。このイベントシーンもこれで行くんだ。イベントシーンもこのんま行くんだ。イベントシーンもよくぞこたどり着いた。
[00:11:12.839] 褒めて使わすぞ、ハーフリングよ。その
[00:11:15.639] 知恵と勇気は見上げたものである。何なん
[00:11:18.320] だっけ?これもう全然覚えてない。我が
[00:11:20.279] 英地の集結である死者の指輪を納めたこの
[00:11:23.600] 赤い星ので来ることができたのはそなたが
[00:11:25.560] 初めてじゃ。その勇気を称え、そなたの手
[00:11:28.800] にある死者の指輪を褒美として取らせて
[00:11:30.959] 死んでよう。
[00:11:33.040] ハジのおじいちゃん似てる。これ
[00:11:35.760] その指輪をはめれば死者の姿を見るこが
[00:11:38.760] できるようになる。死者と会話を買わせる
[00:11:40.440] ようになる。我が気をつけるのだ。死者の
[00:11:43.680] 指輪をはめたそなたの言葉は聖者には理解
[00:11:46.200] できぬ言葉なのである。死者の指輪を身に
[00:11:49.079] つけてる間、他のものはそなたの姿を見る
[00:11:51.399] ことができる。しかし言葉を買わせぬから
[00:11:53.760] 心して使える。はさてハーフリングはその
[00:11:56.639] 辺に頼みたいことがあるわ。まずはこれを
[00:11:58.959] 見るば良い。なんやねん。
[00:12:02.600] 何何何もうこれ前回確か見たんだけど。
[00:12:06.880] ああ、なんか見たね。こんなんやったな。
[00:12:12.680] これは早クリアしたいな。
[00:12:17.000] 荒いの画質が。
[00:12:46.199] ドルマです。
[00:13:01.399] だからなんやねんっていう。特に語ること
[00:13:04.079] なし。特に語るものなし。えー、あのもの
[00:13:08.600] の名はベルザール。
[00:13:09.959] かつては我が弟子でありながら黒まずに手を止めた邪悪なものである。はあ。そしてあのもの狙い。それはか昔にわしがドジェイルと共に封印した今わしき者の解放。今わしきもその
[00:13:23.360] ワーロックロード深き闇の世界より生まれ入れでしと呪いの象徴魔術の主であるそのクロードをザエル目は蘇らせようとしているのだ。
[00:13:36.120] この野望を阻止することができなければ
[00:13:38.160] 世界は暗闇みに闇雲に包まれ日が刺すこと
[00:13:41.839] の決して闇の時を迎えるであろう。それを
[00:13:45.320] 阻というのがわしの願いである。いや、
[00:13:47.720] これはその使命である。このシャドウ
[00:13:51.040] ゲートにはワールドクロードの封印に用い
[00:13:53.279] た時の杖が隠されておる。そして滅絶した
[00:13:59.160] 絶滅した神秘の生き物の生物の生き残り
[00:14:02.560] 最後のドラゴンが封印されているのだ。時
[00:14:05.480] の杖を探し最後のドラゴンを蘇らせ
[00:14:07.880] ワールドクロードの復活を阻止するのだ。
[00:14:11.040] 数々の困難がそなたの行方を阻むであろう
[00:14:13.800] どのような危険が待ち構えているかわから
[00:14:15.560] ん。長くすることは許されない。世界の行
[00:14:19.440] はそのためにかかっている。そなたが世界
[00:14:22.079] の救世となるのだ。やっぱね、3日4日
[00:14:25.680] 配信しないとね、やっぱ口の調子、あの、
[00:14:27.639] やっぱ良くなりますわな。うん。か、噛ま
[00:14:29.759] なくなったよな。え、塔に施した封印の
[00:14:31.959] 一部はすでに解いだ。まずは弟弟子たちの
[00:14:33.959] 遠藤地下に住む妖務員ドンをいい。協力し
[00:14:37.160] てくれよ。
[00:14:39.600] 何?生臭い。え、Zンさんは現在15
[00:14:42.639] 連続中。おめでとう。読めてなかったけど
[00:14:45.040] ね。え、嘘。
[00:14:48.600] ま、そういうこともあります。え、次は、
[00:14:50.199] え、弟子の塔の、え、弟子たちの塔の地下
[00:14:52.759] に住む妖務員ドン。
[00:14:54.079] これ覚えといてな、お前ら。おい、覚えとけよ。弟子の塔の地下な。行くのだ。まずは地下試練の塔を目指せ。そして守備を置く時の杖を手にびせよ。その時再びら間ようぞ。た
[00:15:06.959] 弟子のドーン。
[00:15:08.199] 弟子のドーンに合うのな。オッケー、分かった。はい、行きます。さ、始まるよ。始まるよ。あ、ここね、な、ここ難しかったよな、ここな。前回ここすのに
[00:15:21.920] 3時間かかったねん。このドア1枚こすの
[00:15:23.759] に
[00:15:25.399] 行きたいドン。
[00:15:30.040] あーんで何どうすりゃいいの?ほんで
[00:15:34.319] どうすりゃええねん。
[00:15:38.800] の塔ってどこやねん。ドライヤゲーン
[00:15:42.920] 邪魔で
[00:15:45.279] えばいいんだよな。ど、どこ行きゃええ
[00:15:48.759] ねん。
[00:15:50.680] どこ行きゃええねん。
[00:15:53.199] もう全然覚えて覚えてないってかこっから初見だから。あ、明日仕事かよ。もうやってらんねえっすわ。やってらんねっすわ。明日仕事なんだよ。
[00:16:06.600] 昨いくらい宇宮雪やばかった。
[00:16:08.880] いや、えぐかったよ。雪に
[00:16:12.440] 俺の代わりに語れてくれよ。いや、昨日やばかった。マジで昨日ぐかった。昨日じゃねえや。
[00:16:19.519] 雪めっちゃツモった
[00:16:23.440] だって大雪警報が薄る宮出てたもんな。
[00:16:25.959] じゃあほりしてよ。
[00:16:29.360] 確かにそっちのが辛いすな。パパは辛いっすわな。子育て大変すわな。ああ、もうどこ行きゃいいんだよ。もうこれ適当に進んでっかね。雪めちゃめちゃ降ってさ。
[00:16:47.800] ここ開いたりすんのかな?開かない。
[00:16:50.519] 下打ち連発。雪めっちゃ降ってさ、俺の愛紗のタフト、真っ白の白のタフトがさ、雪でさ、ランクル見たくなってランクル止めんのかと思ったわ。自分の駐車場に雪ででっかくなっちゃって。うん。ランクル止まってっかと思ったわ。えー、もうちょっとこれ地図見よう。
[00:17:14.439] 地図全く参考にならない。この
[00:17:19.039] 全く参考にならない。この地図なんやねん
[00:17:22.240] 、これ。
[00:17:26.240] どこ行きゃいいんだよ、このGMの地図。
[00:17:29.480] ゴミ地図。これ見て。これダンジョンの中
[00:17:33.080] でアレフガルド全域のったんだね。
[00:17:35.799] アレフガルド全域のああ地図見てるような
[00:17:38.080] 感じだぞ。持ち主に似て太った。やっぱり
[00:17:41.679] な。太るねんな。やっぱ一緒にいると一緒
[00:17:45.799] にいると太んねんな。
[00:17:50.960] よし。
[00:17:53.440] てかドラクエさ、
[00:17:56.400] めっちゃ面白そうじゃね?やるやついる?
[00:17:59.640] ドラクエ。もう俺これクリアしたら
[00:18:02.480] ドラクエやろうかな。めちゃ面白そうなん
[00:18:05.000] だけど。めちゃくちゃ面白そう。
[00:18:07.679] ドラクエ11っぽくない?なんか
[00:18:10.400] UIとかさめ、
[00:18:11.960] 今から始める。うわ、やりてえ。ドラクセでどうすんだ?鍵がかけられてる。俺鍵なんか持ってたっけな。
[00:18:22.600] 7
[00:18:22.840] オリジナルやったことあるの?
[00:18:24.640] いや、あのね、途中までしかないっすね。途中までしかない。このためたら配信にするね。
[00:18:33.640] なんでだよ。なんでだよ。あ、そっか。ネタバレになるからね。
[00:18:37.200] やろうぜ。
[00:18:38.360] いや、やりてえけどさ。やりてえけどさ。やりてえけどさ、
[00:18:44.240] 俺たちにはまず超えなきゃいけない壁があるんだ。シャドウゲート
[00:18:47.360] 64。
[00:18:49.520] 地獄すぎる。これクリアしねえとドラクセブンできねえ。だからドラクセどうしよっかな。
[00:18:56.559] で
[00:18:57.640] やりてん。で、どうすりゃいいの?これ
[00:19:01.679] 終わりが全然見えねえや。
[00:19:03.000] 本当だよ。終わりが全然見えねえよ。
[00:19:08.480] やって休みの日にガつ売りやんねえとな。コンエスト
[00:19:12.200] 7に行けるんや。
[00:19:13.200] いや、これクリアしてもさ、まだ他にもやりたいゲームあるしな。ドラクエやっちゃうと向こう
[00:19:18.000] 2
[00:19:18.240] ヶ月ぐらいドラクエになっちゃうじゃん。俺思ったんだけど
[00:19:22.640] ごめんね。今からやること俺は今からやることはこれあの別に俺攻略サイトも見てないしらめきによってやってるからね。これが正解だったとしても恨むなよ。死者の指輪では墓を調べる。この墓怪しいと思っててん。
[00:19:34.960] ほら。あ、違うかな?え、違う。え、違うかな?ほ、当たった。当たり。これマジで調べてないからね。何も調べてないからね。
[00:19:49.600] 調べてないからね。
[00:19:50.400] プレイを
[00:19:51.120] いやいやきプレ誰が誰がこれ自主連してくんねん。誰が仕事で忙しいなか配信つけずにこれ地主連すんね。おお。
[00:20:02.360] の涙が私の魂を極めて清めてくれたわ。今
[00:20:07.559] こそ私はおじき暗黒の世界より取り切放た
[00:20:11.559] れたのだ。
[00:20:13.559] 破滅したものにえかせられた戒しめから
[00:20:17.480] 解放してくれたことを私は深く感謝する。
[00:20:20.120] この気持ちをどのように表現すべきか。
[00:20:24.440] そうだ。あの呪文を教えてあげよう。本来
[00:20:27.400] は多言してはならぬ決まりなのだが、今や
[00:20:29.720] 私をバするものはいないからな。
[00:20:32.679] ハーフリングよ。もしもお前が乾きの石を手に入れたならば、えー、水路管理室へ向かうよ。なんやねんこれ。なんやねんこれ。乾きの石持ってない。やめて。そういう新しいの言うのほんま。え、水路の奥の貯水地には魔法の水が満たされている。だが乾きの石があればどうことはない。水、貯水家に石を投げ込め、そして魔法の呪文をなるだ。その呪文とは。
[00:21:02.120] ノーメイン。はい。これみんなメモはい。メモメモメモ。お前らこれコメして。これノーメインラー覚えといてな。これ覚えといてな。ノーメインラーね。
[00:21:13.840] 忘れるな。この呪文とに乾きの石を貯水に投げ込むのだぞ。
[00:21:21.440] さすれば一の池は水はミるみる石に救され
[00:21:25.360] ていき守備よく水路管理室へとた
[00:21:28.559] とり付けるであろう。ノーメインノー
[00:21:31.200] ライフじゃあその乾きの石はどこにあん
[00:21:34.080] ねんちゅう話なんよ。乾きの石はどこに
[00:21:36.960] あんねんちゅう話やねんな。
[00:21:42.320] 乾きの石とは
[00:21:45.200] おこはこういうのはい。な、
[00:21:49.760] 私は偉大なる魔法を使い楽ミルに憧れそして家の間になることを夢みてこの地に修行に訪れた魔法使いです。あさんこんばんは。仲間の魔法使いと共に弟子たちの塔で修行をね、技を磨いた日々は実に楽しいものでした。ある日私は試練の塔に挑むことになりました。
[00:22:12.919] 試練の党の説問全てに答えられれば王家に
[00:22:16.240] 使えるものとして認められるのです。これ
[00:22:19.120] までの人生の全てをかけた挑戦でしたがず
[00:22:22.559] 結果は無惨なものでした。王家に使える
[00:22:26.000] ことを期待して送り出してくれた両親や
[00:22:28.159] 故郷の人々一緒に行動にはん一緒に修行に
[00:22:31.520] 励んだ魔法使いたちに合わす加がない。後
[00:22:34.559] で聞いた話だとジェイル様が亡くなり楽ミ
[00:22:36.760] 氏が姿を消してしまってから説問が改ざさ
[00:22:39.440] れたのだとか。犯人は王家に深い恨みを
[00:22:42.640] 持つ試験官のドリドレドレスリンです。彼
[00:22:46.039] が説問を好き勝手に変更してしまったそう
[00:22:48.120] です。それを知った私は悔しさに悔しさに
[00:22:52.799] えー
[00:22:54.520] はみはみしました。これ何て読むの?これ
[00:22:57.520] 説問が操作されていなければ試練に
[00:22:59.840] 耐え切る自信があったのですか?でも今更
[00:23:02.679] 遅いのです。
[00:23:03.240] なぜならそのことを知ったのは私が死んでしまった後だからなのです。字がり乙つ。お前みたいなやつが嫌われるぞ配信で。字が語り乙つ。これ全員聞かなきゃいけないのかよ、これ。呪われ呪わし呪われ式車魔術師の
[00:23:23.000] 納けな。
[00:23:23.720] なんだこれ?これ何言ってかわかんねえや。全然打たれたその傷の痛みも言えぬ。
[00:23:27.480] 我が眠りをればそなたは何者かラグミルシが旅立たれた後、え、王家の魔術を我が者のにしようという企らんだ。イザベールメをあの、イザメールベをあのものを挑すことなどとできようか。
[00:23:41.320] 確かに顔見の一緒だな。底さん。さすが帝さん。え、私は仲松ザベールのを打ちて砕かんとし戦いを読んだんだが、我々はあのものを見くってしまっていた。呪われし闇の世界のよみを浴びたものがあれほど力を蓄えていようとは夢にも思わんだよ。
[00:23:57.840] 顔歪んでますよ。イザベール氏に土る中旅
[00:24:02.279] もしもイザベールに出会ったなら進んで
[00:24:04.600] あのものの面前に立つが良い。痛みを与え
[00:24:08.200] ずにま瞬きのうちにイザベールはそのを
[00:24:09.799] 書き消してくれるだろう。どういうこと?
[00:24:12.000] イザメールに立ち向などとは決して思わぬ
[00:24:14.120] ことだ。地獄のに苦しみを味わうことに
[00:24:16.520] なろうぞ。この私のように
[00:24:22.000] 字語り乙つ。
[00:24:24.440] あ、こ、ここにここはいないんだ。
[00:24:29.520] ここがな。え、ここはいないんかい?あ、ここはいないんだ。あ、いる。ここはいるんかい?あ、顔一緒や。まった。
[00:24:37.200] そこちまが入る予定の墓。
[00:24:40.919] 俺の俺の墓もう立ってんのか?えー、旅よ。どうか私に話しかけないでほしい。して、別に話しかけてない。お前が勝手に話してんだろ。してな、私は今しき者の炎に焼かれた安さを、え、させることができないのだ。
[00:24:56.120] あのものに対する、えー、嫌悪と恐怖、
[00:24:59.520] 自らに対する無力感、それらの何1つとし
[00:25:02.200] て私は忘れることができないといるの?
[00:25:04.919] 笑いたければ笑うが良い。だが
[00:25:07.120] ウエストランドより北りし鹿の自衛、
[00:25:09.640] ロードジェイルですら一度はあのものに
[00:25:11.760] 不覚を取ったくらいだ。ロードジェイルは
[00:25:14.360] 楽ミ氏に託された杖を手に戦っていた。
[00:25:16.720] それは見事な戦いぶりだった。しかし闇に
[00:25:20.320] 住む今しき者の力はロードジェイルのそれ
[00:25:23.240] を量していた。まあ、しき物の一撃で杖は
[00:25:26.960] 地の底に失われてしまったのだ。ロード
[00:25:29.120] ジェイルの、えー、身体し、身体はここに
[00:25:34.640] 、えー、狭まった。杖を失っても彼を失う
[00:25:39.080] わけにはいかない。え、私はロード
[00:25:40.720] ジェイルを守るための盾となり、今しき
[00:25:42.600] ものの豪華に焼かれた。こうして私の命は
[00:25:45.720] かのものによって奪われ、私のちは底しれ
[00:25:48.760] の闇の中に落ちていってしまったのだ。
[00:25:51.600] そのもの、その後は知らない。
[00:25:53.440] え、我が死は打たれた失われた杖雷の杖をはるかに強力な杖を作られてた。メイメまった。極まった。
[00:26:02.159] ありがとうございます。高卒で高卒だから読めなくてつまんな。割り。高卒だから読めねえわ。え、趣力ロードジエルが生き延びえ、新たな杖の、え、政策が間に合ったのならば我が目的は達せられたことであろう。声優さんこんばんは。
[00:26:20.880] だが例え今トライアゲイン何がやねん。お
[00:26:23.679] 味噌なめこんばんは。外られようとも私の
[00:26:27.039] 魂は邪悪な炎に虫ばもう長いって話すよ
[00:26:31.039] 喋る。はい。どうも。うわ、まだもう1個
[00:26:34.039] あった。まだもう1個あっうわあ、勝手に
[00:26:37.000] カメラが
[00:26:39.159] 俺別に話しかけようとしてないのに今
[00:26:40.600] 近寄せられた。今おなんと嬉しことかな。
[00:26:44.679] 久方ぶりに語りかけてくれるものが異様と
[00:26:47.039] は違う顔だ。
[00:26:48.000] 確かにこいつは人味違う。わろてまわろてまんね。仕
[00:26:52.240] 事お疲れ。
[00:26:53.000] ありがとう。お疲れちゃん。そして明日も仕事です。
[00:26:56.279] ちんマげの配信前の1分くらい長い。
[00:27:00.399] あれさ、めっちゃえ、あれさ、俺配信開始の
[00:27:03.279] 5
[00:27:03.440] 分あれいらないもしかして。や、でもでもさ、あの
[00:27:08.200] 5
[00:27:08.360] 分で決まるねん。その配信のこっちの意気込みというか。
[00:27:14.080] あん時にコメントがいっぱい来てりっちも気持ちよく始められんねん。あれ大事よ。俺のその日のテンションあれで決まると言っても過言じゃないから。
[00:27:24.399] ばんは。ばんは。いさんもこんばんは。久々にやりますわ。久々にやります。あの
[00:27:29.760] 5
[00:27:29.919] 分でコメントがたくさん来てれば俺は気持ちよく配信ができるからその辺よろしくな。その辺お前らかかってるから。え、大富豪といえばアリスアリストーリン。
[00:27:41.600] アリストーリンといえば大福
[00:27:43.080] ゲームお疲れ。
[00:27:43.919] おい、クさんもこんばんは。謎ゲーやってくぜ。このわしは国を代表する大金持ちであった。わしの周りには常に大勢の鳥巻きがおったもんじゃ。どいつもこいつもわしのご機嫌に必死じゃった。うん。気を引き締めていけよ。
[00:27:59.559] なTシャツ着てるね。
[00:28:01.000] 可愛いだろ、これ。マザーのT
[00:28:02.000] シャツなんだよ。マザーの
[00:28:03.159] 茶げの警察よつは我らリスナーし。
[00:28:05.880] そうそうそうそうそう。いや、お互いにないにな貴様らリスナーの政が握ってると思った方がいい。
[00:28:11.440] 俺たちはお互いの金卵をつでも潰せる状態だから。今俺たちは今互の金玉を握っているな。
[00:28:21.440] 握り
[00:28:22.320] なんでお前らとそんなことやまなきゃいけねえんだよ。やだよ。えー、だがそもそもそれも生前の話。今や誰
[00:28:31.240] 1
[00:28:31.360] 人としてわしのことなど見向きもしてくれん。
[00:28:33.640] 寂しいの悲しいの頭に来るの何このホグれ
[00:28:39.080] 何この寂しいの悲しいの頭に来るのわの遺産みんな勝手に分けてしまいよった今やわしの手元にはあの隠し財産しかないそれを教えなさいだがあの隠し財産は欲に目がくんだ鳥巻きどもに知られるましと一緒に埋れていくんじゃ墓参りもしてくれんような奴らにこれ以上わしの財俺はおいおいおいおい俺は俺
[00:29:03.240] お前、あの、お前のこと好きやで。
[00:29:05.200] タッチャブル山崎
[00:29:07.240] 確かに似てる。くる教えてくれ。アンタッチや。え、アンタッチの山崎ってさ、ザ山ってさ、
[00:29:17.519] 64の64
[00:29:18.760] のポリゴンで顔完全再現できんじゃん。あいつ、あいつの顔ってあんなに、え、なんかあんま違和感ないよね。これで地上派れつっても。
[00:29:28.760] 笑笑。
[00:29:29.679] こいつまた同じこと言ってんじゃん。
[00:29:31.960] なんかこいつの隠し財産がどっかにあんねんて。顎が割れてるくせに。笑。
[00:29:39.919] こいつどっかにちょっと待って。なんかなんかさ、
[00:29:43.600] これでもけたんだ。あ、やべえ。やっちまった。ああ、間違えた。
[00:29:48.200] 顎割りれてんのも当時の技術の限界だったってことか。
[00:29:52.559] あそこにめっちゃテクスチャ使ってそう。ちょっと待って。
[00:29:57.760] なんかさ、ここになんかすんじゃないのか
[00:29:59.519] な?
[00:30:01.679] 違うか。これなんかさ、墓参りするっつっ
[00:30:05.080] たからなんかさ、幼いもん持ってきたらさ
[00:30:06.960] 、教えてくれんじゃねえの?なんか教えて
[00:30:09.320] くれんじゃねえの?
[00:30:12.200] 幼えもんねえな。原人の像とかどう?ここ
[00:30:16.000] は使いません。おい、もうこれ答てかもう
[00:30:18.799] これさ、俺1個提案。あ、やべ、こいつ
[00:30:21.480] 話しかけてない。旅人を許してほしい。
[00:30:24.399] 白底に封印されし今しきものが私を見つめ
[00:30:27.120] てるような気がしるのだ。自がえ、自識か
[00:30:29.519] 過剰。えー、私の魂は永遠にさえまれ
[00:30:33.279] 続ける。誰かが若者をほどさぬかり限りは
[00:30:35.960] 。
[00:30:37.559] おあ、もうこれみんな提案が1個あるなあ
[00:30:39.720] 。1個あるんだけどこれさ、あの攻略
[00:30:43.559] サイト見ながらやるってどうこれね
[00:30:46.519] 配信通知来てなくて今日のしんぼりしてたのに
[00:30:50.200] あります。
[00:30:51.559] 色ハニほヘトさんどうもこんばんは。
[00:30:53.760] コブりもこんばんは。うん。神ゲーやってます。
[00:30:55.720] 任せる。やっとるやんけ。
[00:30:57.760] やってます。やらなきゃ終わらない。ドラクエ
[00:31:00.559] 7
[00:31:00.840] やりたい。おいおいおい。そうだ。おい。やかましい色ハ。おい。お前
[00:31:07.480] 苦しんで欲しいの。
[00:31:08.639] お前メトロイドはどうした?おい。何?ドラクエ
[00:31:12.840] 7やっとんねん。おい。何ドラクエ
[00:31:16.600] 7
[00:31:16.919] やっとんねん。おい。メトロイドはどうしたんだよ。
[00:31:19.279] こないだレイドしようとしたけどやってたから裏切り物めつってそのまま配信切ったわ。
[00:31:24.240] いなんで?メトロイドおじさん。
[00:31:26.120] メトロイドおじさん厄介そう。メトロイドおじさん厄介そうね。これどこ行きゃいいんだよ。もうわかんねえよ。
[00:31:36.919] メトロイドもやるよ。や
[00:31:39.080] やれよ。やれよ。やれよ。メトロド終わったらメトロド何なんだこいつ。
[00:31:46.840] とうとうと俺の声を聞いてくれるものが現れた。聞いてくれる旅のもの。世界に木が迫っている。ちょっとお猫に似てね。お猫に似てんな。ミ
[00:31:56.240] みたいなんでできた。
[00:31:59.760] 使わずにやってる。
[00:32:01.240] あ、そう。当たりじゃん。うん。怒るよ。こしたら
[00:32:04.279] 俺の名はリカス。俺の相棒は相棒のサウルと宝探しをしていた。そしてとんでもないもの。伝説の秘標を見つけてしまったんだ。それは見るカルに不思議な魔力を秘めた杖だった。
[00:32:14.880] あれこそロードチェールの手に握れていたという杖に違いないところがサウルのやつ。え、杖を車ずすにうろうなんて言いやがった。あの恐ろしいベルにの感じだとお猫に見えるのんなの?笑
[00:32:31.200] お疲れちゃん。俺はべた。しかしサウルの野郎俺を殺して杖を持ち抜けしやがった。相棒で親友の俺を殺してたぜ。
[00:32:41.039] おふさんを楽にさせたい気持ちは分かるが
[00:32:43.000] イザベールの伝説のイザベールに伝説の杖
[00:32:45.039] を渡したら世界は滅んだしまう。そうなっ
[00:32:46.919] たらおしまいだ。旅のとお願いだ。サウル
[00:32:50.480] を止めてほしい。それが無理ならせめて
[00:32:52.360] あいつを目覚めさせてやってくれ。どっち
[00:32:55.000] も同じぐらいめんどいと思うけどな。
[00:32:56.679] サウル止めるより目覚める方がなんなら
[00:32:58.559] 難しいと思うけど。なんかおまけみたいな
