[00:00:50.800] ひ茶まどびっくり。[音楽]
[00:11:40.399] 誕生日配信ということでスター
[00:11:42.120] 120
[00:11:42.519] 個耐久やっていきます。ぼちぼちな。ぼちぼちな。このさ、あれな、今ボム兵の戦場な最初なわ。でもなんか操作覚えてるもんだな。ピチしろ。ちなみに何時間で
[00:11:55.519] 120枚予定ですか?
[00:11:57.600] いや、24
[00:11:58.399] 時間はかかんねえんじゃねえかなと思ってるけどね。
[00:12:00.680] 24
[00:12:01.079] 時間はかかんじゃねえかなと思ってけど。うん。
[00:12:03.128] [鼻息]
[00:12:03.680] 8
[00:12:03.920] 割のおが5ドルでサブスクをました。
[00:12:06.680] 10個マジで俺こんばんは。
[00:12:08.680] え、ちょっとありがとう。
[00:12:10.519] ちゃーのお猫さんがを送りました。パチパチパまずは
[00:12:14.918] [笑い]
[00:12:17.360] 1人といや、マジありがとう。え、
[00:12:19.199] 10件もごめんね。ありがとね。
[00:12:22.839] ごめんね。ありがとねって言いながら、ま、まあ誕生日配信でつけりゃ、ま、もらえるんだろうなと思っていましたけども、
[00:12:28.673] [笑い]
[00:12:30.040] ま、ま、思ってましたけど、ま、サブもらえるんだろうなとは思っていましたけども。でもありがとう。お、ありがとう。
[00:12:36.720] ップむ。ありがとうございます。
[00:12:41.118] [拍手]8割のお猫さんが5
[00:12:42.600] ドルでサブ送りました。パパ仕事中遊て終てありがとうございます。終てありね。マジありがとうね。
[00:13:02.079] 10
[00:13:02.320] 件もすいません。ありがとうございます。ありがとうございます。
[00:13:06.199] ウインクウインク考えがうんこ
[00:13:08.760] 考がうんこ当たらずか当たらず
[00:13:12.320] 綾たか当たらず
[00:13:13.869] [笑い]
[00:13:15.720] まま日頃のやろな
[00:13:18.199] の猫さんがでほに
[00:13:24.360] あの誕生日配信なんてな乗ってやってたらまもらえるんだろうなというおいおい
[00:13:30.480] おいおい止まんねえよ
[00:13:33.199] あもういあもういもう配信来てもいいか
[00:13:35.519] 人さんでサブを送りました。
[00:13:37.449] [笑い]
[00:13:38.720] もう配信切ろうかな。もうもうもうノルマクリアということでいいや主人さん昨日もくれたのに。昨日もくれたのに。ありがとう。
[00:13:42.034] [笑い]
[00:13:46.240] さんが5ドルでサの稼の稼[笑い]
[00:13:50.279] ありがとうございました。すいません。やってきます。元気出るでサブスクを送りましかね。
[00:13:59.064] [笑い]
[00:14:02.399] おっと。
[00:14:02.639] ここは危険な戦場のど真ん中絵の中の手にはクッパが盗んだスーパーパースターガやべな。通知がなりまね。通が通知がりま
[00:14:11.560] まさか11日まで
[00:14:13.360] おいしもきんちゃんもじゃねえかよ。おいおいおいおいで。
[00:14:17.199] いやちょっとちょっとちょっとおいおいゲームが始まらないよ。もうもういっかなんかもういっかあ猫さんこんばんは。
[00:14:23.920] サブもういっかもうなんかいっぱいもらえたし。もうお腹いっぱいなった俺。もう
[00:14:29.519] もうお腹いっぱいなりました。
[00:14:33.125] [笑い]
[00:14:33.800] すごく今ありがとうね。本当にありがとう。しもきちゃんもありがとうね。あの主さんもありがとう。お猫もありがとう。あの
[00:14:39.480] 今20件サブスクもらったんですよ。
[00:14:43.320] 20
[00:14:43.680] 件サブスクもらって綾たか当たらずです。
[00:14:46.880] [笑い]
[00:14:48.120] 綾たか当たらずです。そうもはしょうがないな。当たんないもんはしょうがないね。にゃんこさんこんばんは。
[00:14:51.465] [咳払い]
[00:14:54.199] 30歳の誕生日でございますよ。
[00:14:56.160] 30
[00:14:56.600] 歳の誕生日ということで、え、マリオ
[00:14:59.600] 64の120
[00:15:01.040] 個耐久やっていきますんでよろしくよろしく。頼みます。
[00:15:04.600] ひどいね。
[00:15:05.560] ひどいね。ああ、なんか
[00:15:09.480] DS
[00:15:09.800] 版と曲のあれが違うな。ありがとう。うんちゃんもありがとう。ありがとう。マジでありがとう。みんな優しいじゃん。あれ?これさ、パンチって何ボタン?あ、おい、おい、おい。お前ら、お前ら。
[00:15:25.800] ペペロもありがとう。000
[00:15:28.120] だから簡単にありがとうって言ったけど
[00:15:29.920] 1000
[00:15:33.279] うんちゃんもありがとう。
[00:15:34.920] 120
[00:15:35.560] 枚クリア目やす時間らしいです。来て
[00:15:41.040] いや、よくわかったな。よくわかったな。ヤンクよくわかったな。ヤンクお前ら。
[00:15:41.245] [笑い]
[00:15:49.440] ああ、手に馴染むな。やっぱ感が言うて僕もこれあの
[00:15:52.839] DS版はクリアしてるんで。お前ら。
[00:15:57.160] DS
[00:15:57.480] 版はクリアしてますから。ちょっと待って。ゲームやりますよ。
[00:16:02.639] DS
[00:16:03.000] 版は言うてクリアしてるんで。ありがとう。ドネルもありがとう。
[00:16:13.759] まずあれだよな。山の上のバッタンキングだよな。バッタンキングじゃなくてんだっけ?ボム兵キング。ボムキング。
[00:16:19.959] ヤッホー。
[00:16:20.720] これさ、ダッシュってないんだっけ?
[00:16:24.160] ダッシュってないんだっけ?
[00:16:27.800] 立ち止まってY
[00:16:28.800] ボタンがキックね。オッケー。パンチキックね。音なんか音ちっちゃい気がすんだけど。そんなことない。俺の耳が遠いだけ。俺の耳が遠いだけか。あかん。あれ?あれ?なんか思ったよりも下手くそかも。ヤッホー。
[00:16:43.471] [笑い]
[00:16:48.480] ハイプトレインありがとう。レベル5
[00:16:49.800] だって久々に見たわ。
[00:16:50.920] で、耳が
[00:16:51.759] うん。いや、マジでそれあるよ。マジでそれある。年々耳遠くなってると思う俺。お店のめこんばんは。でもこれはしょうがないんだよ。これしょうがないんだよ。あのね、あのやっぱ元々バンドマンやってるともう耳がみんな遠い。え、下手くそすぎる。下手くそ。やっぱね、でかい音でずっと音楽聞いたりとかしてる。耳おかし。あの、悪くなるね、本当に。
[00:17:19.000] 耳遠いと思うよ、俺。マジで耳遠いと思う。なんかあの誰かをさ、車に乗せてさ、ドライブ、ドライブっていうか、なんかどっか行く時とかさ、あの音でかすぎって言われるもんな。爆音で聞いてるから。でもブレンドって普通なんだよ。から声で。
[00:17:37.160] いや、それもそれ、それあるな。え、やだな。俺が一番嫌いなじじゃん。
[00:17:41.039] パコ言て。
[00:17:41.960] 声でかいじ声でかいじになるのかじちゃん。
[00:17:47.720] 俺このまんま声でかいじになるのか。イヤホもま、耳悪くなるよね。耳悪くなるよね。で
[00:17:53.200] うん。
[00:17:54.120] 物音もでかいじ。俺昔あの昔彼女と同棲した時、あの本当にあの別れる寸前の時はマジでだ彼女の声聞きたくなった時で
[00:18:02.039] 1
[00:18:02.200] 日中イヤホンつけてたからね。そしたらあの耳から変な汁出たわ。
[00:18:04.037] [笑い]
[00:18:08.280] 笑笑
[00:18:09.360] 耳から変な汁出た。
[00:18:12.280] 24時間けてたら家庭ないす。
[00:18:15.827] [音楽]
[00:18:17.137] [笑い]
[00:18:17.760] これあれだよな。後ろに回ればいいんだろ。あ、待って。ちょっと待て。後ろに回って
[00:18:25.200] にれた方がいいや。
[00:18:26.600] あれ、ちょっとね、どうやってだっけ?コラーゲンあのね、あれだ。あのアムウェイにはまった彼女ね。アムウェにはまっちまってよ。
[00:18:30.237] [笑い]
[00:18:36.520] なんとかコラーゲンっていう変な謎の液体をさ、なんかご飯にかけるようになっちゃってさ、クソ恥ずかしかったわ。あれラーメン食べる時でもなんかちょっと待ってつってポケットから待ってこれ待って。これ何これ?どうやってやんの?何これ?
[00:18:51.159] 待って待って待って。あれ?これ掴むんじゃないの?後ろ回って違ったっけ?あれ
[00:18:55.320] さスキダべる。
[00:18:57.880] え?何これ?あ、よしよしよしよしよしよし。よ
[00:19:02.840] さん誕生日を。
[00:19:03.960] おら、おら。
[00:19:05.520] あなちゃんありがとう。ちゃんもこんばんは。誕生日ありがとう。
[00:19:08.240] 30歳になりました。30
[00:19:09.760] 歳になってしまいました。ライト
[00:19:14.080] ま言うて僕これDS1
[00:19:15.280] やってますから。あ、待った。あ、待って。やめてやめて。やだよ。もう大台に乗っちまったよ。台に乗っちまった。これさ、掴むのむずない?こんなむずかったっけ?ア
[00:19:29.000] ッドアッ。
[00:19:32.000] まず1つ。
[00:19:34.000] まずは1つ1
[00:19:34.880] 番いい時期
[00:19:36.400] 番いい時期油が
[00:19:38.360] いやもうね、もうもうね、もう今でも十分早いのよ。
[00:19:42.600] 1
[00:19:42.799] 年早すぎでしょ。もうだってこ半年終わった。これカメラ操作。このこっちスティック。こっちスティック。あ、すいじり方がちょっとおめでとう。
[00:19:48.183] [笑い]
[00:19:51.400] 美ありがとう。30
[00:19:53.080] 歳になっちゃった。本当におじさんになってしまった。自分を若者にカテゴライズできなくなってしまった。はい。まず
[00:19:59.480] 1枚目残り199枚。119枚。
[00:20:03.159] 余裕です。64
[00:20:04.080] だとどうやってたんやろ。
[00:20:05.600] 64はあの3D
[00:20:07.120] スティックってのがありますから。3D
[00:20:08.720] スティックはまだまだわかる。
[00:20:10.240] まだまだいい。まだまだ若いか。そう言ってもらえて。そう言ってもらえてよかったです。これさ
[00:20:11.108] [笑い]
[00:20:18.280] 120
[00:20:18.799] 枚ってことはさ、あれだよね。なんかさ、あの隠扉みたいのもあるよね。俺それ覚えてねえな。コースをさ、やんのはわかんだけど隠し隠しスターみたい。
[00:20:30.559] もうあと119か。
[00:20:32.200] どこどこレースだ。懐かしい。
[00:20:36.000] 64
[00:20:36.720] 知らない子も出てきてこと感じました。
[00:20:39.360] ほだって。綾たか64
[00:20:40.760] ゲだか触ったことないでしょ。なんだマリオさんじゃないす。でか。え、このコってこんなでかいのキモ怖いんだけどこんなでかかったんだ。
[00:20:44.514] [笑い]
[00:20:52.679] 1
[00:20:52.840] つおらとボムキングのやつがいた。お山の頂上までかけっこでもしませんか?
[00:20:57.880] ではおいらがドンと言ったわ。スタートすよ。よいどン。
[00:21:02.400] 大丈夫。負けないよ。ガーカンカンカンカンカンカンカンカン。言うて僕や。これさ、ダッシュってなかったでしたっけ?ヤッホー。
[00:21:14.120] あ、結局これが一番早いやつね。これが
[00:21:16.400] 1番早いからね。ああ、[叫び声]
[00:21:18.400] ボプボップない。
[00:21:20.279] あ、出してないのか、これ。
[00:21:24.640] スマブラのBGMじゃん。[笑い]
[00:21:28.760] スマブラのBGM。なんかTikTok
[00:21:30.640] で聞いたみたいな言うのやめて。違うから
[00:21:32.440] ね。こっちが元だからね。ヤッホー。え、
[00:21:34.559] この曲、TikTokの曲じゃん。
[00:21:37.640] マジで。綾たとかは知らねえんだろうな。
[00:21:39.279] これが元ネタ、元ネタというかマジで
[00:21:42.000] なんかTikTokの曲だと思った。
[00:21:48.640] 無印はないけど他のハールかは知らんけど
[00:21:51.360] 。笑なめんなよ
[00:21:55.960] 無印。
[00:21:57.880] このあれ、あの、この
[00:22:00.240] 64
[00:22:00.600] のやつはあるかわかんないってことね。あいつクソせじゃん。はい、うまい。はい、うまい。はい、うまいです。
[00:22:05.735] [笑い]
[00:22:10.760] はき
[00:22:11.440] うますぎ。いや、もっと早い人、もっと早いんだろうな。
[00:22:15.039] 笑
[00:22:15.720] うますぎ。ごめんな。が
[00:22:17.840] 亀不勢がうますぎんよな。これ待ってなきゃダメなの?おせえよ。おい、おい、おい、おい。
[00:22:18.835] [笑い]
[00:22:27.480] 頼むぜ。ちょ、今なんかお前ちょっとずるしなかった?お前なんか今ちょっとずるしでも顔がめり込んどる。あ、いや、まいたっす。本当早いっすね。おいらに片きねにこれあげるっす。ほい。なんでお前が持ってんねん、これ。はい。はい。
[00:22:45.880] 2個目。お、これまぜ。
[00:22:48.039] 120すぐ終わんじゃね?
[00:22:49.480] だ、
[00:22:50.840] 産んだな、今な。コイン
[00:22:53.240] 6枚。[笑い]
[00:22:58.679] ちょっとここクリアしちゃおうか。最初
[00:23:00.200] 終わりません。笑
[00:23:01.400] 全然終わんない。
[00:23:02.120] 割とあっち間に終わる。
[00:23:03.720] いや、でもこのペースだってだってさ、
[00:23:06.559] 120枚でしょ。で、それをもしね仮に
[00:23:09.360] 202
[00:23:11.960] 時間24時間でクリアしようとしたら1
[00:23:14.400] 時間何枚?早計算して。
[00:23:16.320] 24時間でクリアするには120枚割る。
[00:23:20.039] 24ははい。計算して。1
[00:23:22.159] 時間って何枚?6
[00:23:23.120] 枚。うん。わかんない。わかんない。
[00:23:25.520] 6枚じゃない。ん、わかんない。
[00:23:27.679] しないと。
[00:23:28.400] 必産必産しねえとよ。これ何だった?空の島までぶっ飛べ。はい。
[00:23:28.921] [笑い]
[00:23:36.640] もうわかるんだよね。無理ですわ。
[00:23:39.279] 64なめすぎです。
[00:23:41.120] 舐めるのはおっぱいだけにし。
[00:23:42.919] あら、あら。何をいいんですか?え、
[00:23:43.331] [叫び声]
[00:23:50.279] 1時間5枚。1時間5枚。え、1時間5
[00:23:53.559] 枚なんか余裕じゃね?
[00:23:54.400] いいな。
[00:23:55.360] いいな。いいよな。いいよな。はい。
[00:23:55.776] [笑い]
[00:24:02.960] あ、これね、このさ、扉が開くの
[00:24:07.200] 1回へこむのゲコマだよな。
[00:24:10.440] 1
[00:24:10.640] 回、え、空の島までぶっ飛べって。これ何だっけ?あの、あの上にスターがあんだよね。確かな。違ったっけ?あの、あ、あの上にスターがあんだよ、確か。違ったっけ?
[00:24:20.919] え、赤コイン?これ違うよね。
[00:24:23.440] あの、なんかこれ内容まだ覚えてないな。
[00:24:31.360] ちょっとやめて。ちょっとやめてよ。おれ空の島までぶっ飛べ。
[00:24:39.919] ハに連れ難しくなるから、その余裕が後にならないの祈ってます。
[00:24:44.360] え、これさ、赤コインだっけ?これね、覚えてんねん。このこの木につ、この上にちょっと木があるでしょ?これに捕まるためにはこれ、この雲のんとこ狙うんだ。
[00:24:52.159] 違いました。違いました。全然違った。これ
[00:24:53.417] [笑い]
[00:24:58.080] DS。これ多分DSと違います。これ
[00:25:00.520] DSと違います。これ
[00:25:01.799] 惜しかった。
[00:25:02.360] 惜しかったね。
[00:25:03.559] 空の島までぶっ飛べ。え、あれだよ。でもあれだよな。あそこの上にあるんだよな。多分な、スターが。え、そうだよね。なんかでもこのカメラ操作がさ、
[00:25:15.120] 64
[00:25:15.559] 特有の今みたいに自由に操作できるわけじゃねえからすげえやりづれ。
[00:25:22.799] もうちょっと下な。あ、違う。この木と木とこの雲の間だよ、確か。全然下手くそじゃねえかよ。え、なんか
[00:25:28.787] [笑い]
[00:25:31.120] DS
[00:25:31.440] と違うんだけど。これ俺の俺の知ってるやつじゃねえな。
[00:25:35.760] 笑笑。[笑い]
[00:25:36.679] なんか、え、前、そ、え、え、そうだったよね。
[00:25:39.919] 違ったっけ?この辺か。ちょっと待って、ちょ待って。
[00:25:44.039] 雲の境い目でしょ。な
[00:25:46.520] んでお前が知ってんだよ。え、嘘じゃねえか。ほら、嘘つき。
[00:25:50.799] やべ、死ぬ。やべ、やべ、やべ、やべ、死ぬ。待て、ちょっと待ってくれ。
[00:25:55.200] まだ笑。
[00:25:56.320] ちょ、待っ、ちょ、待て。コイン集めてくるから。ちょ待って。
[00:26:00.279] ちょっと今コイン集めてくるから。ちょ待って。おら、危ねえ。危ねえ。危なかったぜ。下手。やったな、今な。
[00:26:10.960] あ、た、
[00:26:13.320] 本当にやってたんですか?
[00:26:15.000] やってたよ。DS
[00:26:16.919] 版。腐るほどやったわ。ワリオでな。
[00:26:20.320] 特にワリオでやってました。僕はこの辺ちゃうか。
[00:26:23.600] 120って全クり。
[00:26:25.520] うん。120
[00:26:26.159] って全クりだと思う。いや、もっと上だな。もっと上だね。
[00:26:32.880] もっと上やね。
[00:26:33.559] 金で元気になるマリオ嫌よな。
[00:26:35.598] [笑い]
[00:26:37.039] 確かに金取って体力回復するってどういう?
[00:26:41.880] え、違う。もっと上だ。もっと上だな。
[00:26:45.000] え、むずない。あれもっと上だな。だから
[00:26:54.679] 雲でしょ。
[00:26:55.399] だから、だからちょ、この微調整が効かないんだよ。ヤッホー。
[00:27:05.520] え、もっと上だ。おい、本当にやってたんか?
[00:27:06.383] [笑い]
[00:27:12.080] 本当にやってました。これ
[00:27:15.399] し死ぬヤッホー[笑い]
[00:27:18.600] 意外とむずいな。まあまあまあまあまあ任せる。
[00:27:22.679] 嘘つきか。
[00:27:23.399] いやいやまあ待てよ。まあもう次で行くわ。次で行くわ。
[00:27:25.919] お誕生日なんですか?
[00:27:27.159] みもちゃんこんばんは。そう誕生日です。ま、正確にはあと
[00:27:29.880] 5
[00:27:30.000] 日ぐらいあるんですが。あるんですが今回は行った。待って俺あそこに乗りたかったんだけど。
[00:27:35.204] [笑い]
[00:27:39.679] 笑笑。
[00:27:40.159] あそこに乗りたいのに。
[00:27:43.679] え、てかあそこに乗るので合ってる?あれだよな。あ、あそこ絶対あれだよね。スターあるよね。多分ね。あ、分かった。こっから行く。こっから行くんじゃん。絶対そうでしょ。あ、絶対そうだよ。絶対で、これに捕まればいいのね。この微調整が効かなすぎるんだけど。
[00:28:10.080] おれ。で、これがスターね、どうせ。はい。ほい。はい。
[00:28:10.574] [うめき声]
[00:28:18.039] 3
[00:28:18.360] 枚目ですと。順の蝶な。音ちっちゃくない?そんなことない。どう?ゲーム音ちっちゃくない?そんなことない。そんなことないね。
[00:28:27.519] 順の超すぎる。ア
[00:28:29.279] 100
[00:28:33.000] たつありがとう。たつありがとう。
[00:28:34.799] 30歳になっちゃったよ。30
[00:28:36.559] 歳になっちゃったよ。30歳になっちゃっ
[00:28:38.679] たよ。3個のスターを取り戻したぞ。
[00:28:40.760] そして次にそしてスターに3の数字がつい
[00:28:43.360] たドア。はい、分かりました。だがしかし
[00:28:45.679] 俺はここをやってしまおう。ここを全部
[00:28:48.159] やってしまおうという流れです。赤コイン
[00:28:51.880] が1番めんどくせえんだよ。赤コインが
[00:28:53.919] なえ年やな。年い感じ
[00:29:03.880] 。普通にうまいからね。言ったけど俺
[00:29:07.120] こればっかりはキープなもんで
[00:29:11.120] ま、64番初めてやるけど
[00:29:15.799] うまいんだよな。で、これさっきと一緒ねるとどうなんの?
[00:29:20.159] 赤コイン8枚でワンスター。赤コイン
[00:29:23.519] 8枚でワンスターなんよ。
[00:29:27.799] うますぎ。うまピ。
[00:29:32.480] PースのPはい、どうもこんばんは。
[00:29:35.440] たちゃん、こんばんは。
[00:29:37.080] 30歳私の誕生日、
[00:29:39.640] 30歳の誕生日といて私の
[00:29:42.159] 30歳の誕生日とマリオ64の発売
[00:29:47.120] 私の30歳の誕生日とえっとマリオ
[00:29:51.960] 64の、え、で草[笑い]
[00:29:54.519] マリオ64の発売30
[00:29:56.919] 周年を記念しておめでとう。
[00:29:59.320] 赤コイン集めがむずいのだよね。
[00:30:01.240] そうなのよ。
[00:30:04.039] 赤コインがね、もうどこにあるか覚えてねえんだよなと言いながらと言いながらめちゃくちゃ覚えていると言いながらめっちゃ覚えてる。
[00:30:15.720] これ基本的にDS版と変わりなければもう
[00:30:19.360] クリアしたも同然
[00:30:22.679] プレイの邪魔。
[00:30:23.760] そうだよ。これはこればっかりは気プレイでごめん。でもね、クリアしたような記憶もあるしね。
[00:30:29.440] ないしたことないような気も気もするんだよな。どうだったかな?た、あともう
[00:30:40.320] 1枚。おい、
[00:30:43.279] RTAかな?なんて、
[00:30:48.679] なんて調子がいい。オ、ルゴ。
[00:30:52.799] めちゃめちゃ調子いいじゃん。
[00:30:57.120] おいおい、もう5
[00:30:58.360] 枚目やで。開始何分?今開始
