[00:00:15.960] こんぽ
[00:10:08.760] あんなん中古まだ全然出ねえわな。あんなゲームまだ誰もみんなまだ水巻いてる途中でしょ。まだ水砲でさ、あの十字のマス埋めてるところでしょ、まだ。はい、やっていきます。
[00:10:11.777] [笑い]
[00:10:24.320] 笑笑。
[00:10:25.320] あれ終わらねえよ。あれ終わんなすぎるよ。で、ちょっとやってたら海王ガが雨降らしてめっちゃ潤ってたわ。何のた今までで俺の努力何やってん?あれ?最初から雨降らせろよ。
[00:10:35.920] じゃあですが面白いです。で、何ですか?全然覚えてないわ。な、何だっけ?
[00:10:41.079] え、
[00:10:41.839] 何よ、ここ。え、神殿の地下になんでこんだ場所があるのよ。な、何だっけ?フォズ大神官アーダコーナだよな。フォズ大神官アーダコーダ。きひひひひ。血統のルールが知りたいのか?血統は
[00:10:55.760] 4対4
[00:10:56.200] で行われる。どちらかが全滅するまで戦い続けるのがルールだ。
[00:10:59.000] 1
[00:10:59.160] つの決戦に勝てばこ間に休みることなくにすぐに次の血統が始まる。
[00:11:04.399] 計4
[00:11:04.720] 回行れる血闘連続で勝ち抜けば優勝。こんなのあったか原作に。全然覚えてねえわ。全然覚えとらんね。宝あるぞ。ここあるぞ。ここ宝。
[00:11:15.312] [音楽]
[00:11:18.760] うん。
[00:11:20.160] 今のネリスにあってもお父さんがっかりするだけだよ。
[00:11:20.552] [音楽]
[00:11:22.880] デュエル
[00:11:23.800] デュエルデュエル。ちょっと来月やもうちょっとそ近本当に遊戯王のプラもやりたいなと思っています。近々ね。
[00:11:24.482] [笑い]
[00:11:34.399] 近々デラコマ君に送る送るって言って送っ
[00:11:36.560] てない送る送る詐欺してるんだけど
[00:11:39.800] なんだろうな。なんかレトロゲームに
[00:11:41.760] 1万2[音楽]万は平気で出すのにさ、
[00:11:43.920] これポコアポケモンもそうだけどこういう
[00:11:45.600] ものにさ円とか出せないんだよね。
[00:11:47.800] 高くて炊かないと思っちゃって金銭価格バクってるわ。どこ行きゃいいんだこれ?どこ行きゃいいんだ?あ、お前する
[00:11:57.200] ドキッとするような高くてこ、ここはライオンあれもキーカートだったな。なんかちょっと味けないよな。
[00:12:07.399] 作のモンハンストーリーズも割と高い。
[00:12:09.800] ああ、高いね。つ出たんだっけ?この間出たばっかだよね。じんちゃんやんのかな?あれモンハンスーリーズおもろいと噂ではある。
[00:12:13.608] [鼻息]
[00:12:16.680] おもろいという噂ではあるよ。ゲームってまくなるもんね。
[00:12:20.040] そうなんだよね。結局ね。でもレトロゲームは出会った時に買っとかないと値段上がるだけだから。値段上がるだけだから。
[00:12:25.398] [笑い]
[00:12:27.120] テアムでセールにゲームまとめて買ったら
[00:12:29.480] 3万でもふーンくらいなのに。
[00:12:31.680] 嘘。俺Steam
[00:12:32.880] でゲーム買わねえからわかんないわ。そのあれが
[00:12:37.000] 3
[00:12:37.199] 箇所の女が調子を崩して部屋で寝込んじまってな。全くりわっちい人間だぜ。久々になんかでもそういうパソコンゲームやってもいいなと思ってんだよね。
[00:12:45.399] なかなか俺にはまるのがあるかちょっと不安なんだけどなんか最近流行ってるパソコンゲームって何?
[00:12:50.399] 近くのゲーム売ってるところにないって言って投げてたよ。
[00:12:53.760] あ、本当じんちゃん。あ、
[00:13:00.320] はあ。
[00:13:01.399] あはあ。えー、どうしたんだよ姉さん。なんだって姉さんが魂の剣なんか持ってんだよ。さあ、魂剣を僕に貸して。
[00:13:13.279] 僕が姉さんの体に魂を戻してあげるから。いやよ。近づかないで。私のことなんかほっと。あ、このこの兄弟のな、
[00:13:19.720] パソコンゲーではスレイザスパイア
[00:13:21.560] 2が人気
[00:13:22.279] ああ、あの変なカードゲームみたいなやつでしょ。なんかそのコメちゃんにも確かすげえ遅すめされたんだよね。面白いっていいよね。あれやったらもう終わんないみたいな。スレイザスパイアなんかスイッチ版でも出てたんだけどパッケージ版なんかプレミアついてて高いんだよな。え、血闘してれば必ず誰かが私の息のを止めてくれると思った。
[00:13:42.040] スレスパ人生が解ける。マジでそんな
[00:13:44.199] おもろいの?[音楽]なんかああいう
[00:13:45.760] カードゲームのなんカードゲームの変な
[00:13:48.160] ゲームって流行るよね。定期的にあの
[00:13:50.959] バックパックバトルズみたいなもやってた
[00:13:53.320] よな。あれも流行ってたよね。あんな感じ
[00:13:54.800] でしょ多分。
[00:13:57.320] どうしたんだよ。姉さん野球を起こす
[00:13:58.759] なんてらしくないぜ。みんな魂の剣のせい
[00:14:01.079] だ。それのせいでイライラするんだよ。
[00:14:02.279] さあ、早く剣をよして。命の母飲めよ。え
[00:14:06.560] 、うるさい。あっち行け。早く私の前から
[00:14:09.079] 消えなさい。
[00:14:09.759] ないとあんたの魂砕くわよ。怖。
[00:14:15.279] おっと。余計な生すんじゃねえ。よく聞け。魂を使、魂の剣を使って血闘に出たていしたのは他でもないこのネリスだ。なちゃんこんばんは。やっていくぜ。いい見物になると思ったからこそこの女を生かしておいたんだぜ。それでも俺たちでおもちゃを奪おうってんなら誰が誰であろうと容赦しねえぞ。
[00:14:34.160] だってさ、
[00:14:36.079] ランダムでデッキつくっていう意味ではバックパックバトルと
[00:14:40.680] スレスパはプだけど
[00:14:42.320] PVEってなんだっけ?PVE
[00:14:44.279] って人じゃないんだっけ?きひひねスの目的は弟傷つけた戦士の魂を砕くもののみ。あの戦士と戦うためなら何百千だってデリスは血闘に望むだろうよ。なんかもあのなんだっけ?この
[00:14:59.399] プレイヤーブスエネミーやね。
[00:15:01.199] プレイヤー
[00:15:01.759] Vエネミーね。うん。ま、エネミー。エネミーってまあね、それがオンラインであろうがエネミーはエネミーだと思うんだが。思うのだが。で、これどうすんの?
[00:15:14.560] あ、カシムね。おお。君たちネリスにやってんだってな。
[00:15:18.519] 上上下てやつね。ネスに会ってきたんだな。え、彼女の様子はどうだった?うん。
[00:15:21.595] [笑い]
[00:15:28.920] なんということだ。
[00:15:29.839] ネリスマデモが魂の件をしかも決に出ているなど
[00:15:35.639] プレイヤーじゃない敵ね。ノンNPC
[00:15:37.519] ね。血闘の最重に魂の剣を奪ってネリスの体に魂を戻そうというのか。それならネリスも長期に戻るかもしれんな。よし私も協力しよう。
[00:15:47.920] 相手に
[00:15:48.440] あんたの助けなんかいらない。姉さんは僕とこの人たち助けて見せるだけだね。
[00:15:53.319] はええ、やっぱでも
[00:15:55.600] PVEがいいよね。PVEがいいよ。
[00:15:58.399] やっぱりなんか
[00:16:00.160] PVP
[00:16:00.839] で勝てないとさ、なんかなんか悲しいじゃん。
[00:16:05.360] そうね。
[00:16:06.040] ねえねえ悲しいよね。私は私のやるべきことする考えがあるのでな。
[00:16:13.920] あの[鼻息]
[00:16:15.160] さて皆さん力を取り戻したとはいえからが厳しい戦いとなるでしょう。私は皆さんが血闘前に転職できるように。お血闘前に転職できるようにできるんだ。へえ。神殿にほど近いこの場所ならいつも通りとまだは行きませんが。
[00:16:27.680] ダーマのダーマシンの声を聞けるはずですから。私は教の近くにおりますで転職してえ、
[00:16:32.959] 日本人は特にプブプブプ嫌いだって聞くね。
[00:16:36.000] うーん。なんかやっぱ人と競のどう思う?僕はそういうことから逃げてきたせいで今があるから
[00:16:40.196] [笑い]
[00:16:42.880] ね。
[00:16:44.560] 転職のこと忘れてないわね。きつい戦いになんだからちゃんとその辺考えておいてよ。
[00:16:48.720] え、これ何?転職したっていいの?転職したまんまで転職したした手で戦って大丈夫なのか?もう何やっている?上も下も
[00:17:01.480] ガモ
[00:17:02.839] なれん?大会に出る前にフォズのとこ行ってさ、転職しておいた方が良くないか?良くないか?東大医学部頭悪くないか?
[00:17:11.039] 本当だからだ。
[00:17:12.839] 根魚を言え気軽に転着しても給料増えそうやね。嘘。給料増えるかな?え、これ転職しても大丈夫?転職しても大丈夫?転職してもちゃんと給料増える。いた。
[00:17:29.799] はい。
[00:17:31.799] 食につけばその職業の特や呪文を覚えていくことになります。
[00:17:34.760] ただし他の職業に定職してしまうと
[00:17:36.527] [音楽]覚えた時や自分を使えなくなるの
[00:17:37.799] でどうかごあ、そうなんだっけ?また
[00:17:42.400] 申し訳ないです。ここでは9号の儀式と
[00:17:44.240] なってしまうために今は転職できる職に
[00:17:45.799] 限りがあります。ダーマンを取り戻した
[00:17:47.440] 赤月には本来の転職ができるになりますん
[00:17:49.000] で動画ご注目ください。それでは
[00:17:52.400] 優しい。え、どうしようかな。転職して
[00:17:55.880] くれるした方がいいよね。でもね、でもし
[00:17:57.400] た方がいいんだろうね。多分ねえ。今つい
[00:18:00.120] てる職業から別の食料につくと転職と言い
[00:18:01.880] ます。染というと覚える特技や、え、呪文
[00:18:04.320] 、え、使える、え、職業の特性が、え、職
[00:18:07.440] に職業に応じたものに切り替わります。
[00:18:09.799] また特別様々な、え、職業をマスターする
[00:18:12.760] ことで、え、上級色やマスター職への転職
[00:18:15.159] ができるようになります。これらの職業は
[00:18:16.960] 基本色でもパラベーターが大きく上昇し、
[00:18:19.080] 基本色では得られない、覚えられない、
[00:18:20.960] 強力な呪文や時を覚えることができます。
[00:18:23.280] 転職したい時はダーマンの最新感に
[00:18:25.200] 話しかけてください。ダーマシンの過去に
[00:18:26.919] より転職することができます。え、職業の
[00:18:29.520] 組み合わせでパーティーを大きく変わり
[00:18:30.799] ます。え、戦争を有利に進めるためにも
[00:18:33.440] いろんな職業に転職してみましょう。で
[00:18:36.760] すって。
[00:18:39.960] 9雷とか言ってるけど結構できるね。9雷
[00:18:42.960] とか言ってるけど
[00:18:45.320] え、どうする?[笑い]
[00:18:47.720] どうしよう?これ迷うんだよな。
[00:18:50.880] 迷うんだよな。でも全然知識ないんで覚え
[00:18:54.320] てないんだよね。覚えてねえんだよな。
[00:18:58.000] 戦士になる。
[00:18:58.960] 戦士だと攻撃力とかちょっとアップするけど。いや、迷いますわな。迷いますわな。こちょっとでとりあえずどうしよっかな。マリベルは
[00:19:13.919] 考えるか向きで決めるじゃん。
[00:19:16.280] 重向きで決めるってなったらほんなもう俺あれだよ。マリベルにはもう踊り子にさせてよ。
[00:19:24.120] 踊り子にさせてTikTok
[00:19:25.360] でなんかエロいエロい踊りさせて小銭に稼ぎさせたいんだけどお前はエロいエッチな服を着て踊りなさい。カメラの前で
[00:19:33.760] TikTokやるべ。絶対バズるで
[00:19:36.720] いそう。[笑い]
[00:19:38.320] 小銭に稼ぎしようよ。それで役目でしょ。えー、僧侶魔法使い。魔法使いで魔法使いみたいなもんだしな。今どうなんだろうね。魔法使いにする。
[00:19:53.679] 魔法使いとソウルで確かじ
[00:19:55.400] さんに声かけられそう。[笑い]
[00:19:58.000] 魔法使いってあれだよね。魔法使いと少女マスターで賢者だよな。確かそうだったような気がする。魔法使いにしとこうか。とりあえずね。とりあえずね。とりあえずね。ペロンお疲れちゃん。ペロンお疲れ。裏でポコアポケモン買ってやってんのバレたわ。
[00:20:17.240] 6
[00:20:17.480] はそう。え、これは違うの?ま、いい。とりあえずやろう。わかんねえからさ。知識ねえし。わかんねえから。
[00:20:22.240] え、どうしよう。武踏とかもいいな。武踏とかもいいね。
[00:20:28.679] どうだろうね。
[00:20:30.280] 膝蹴り。飛び膝蹴り。強いんだよな。武踏もな。
[00:20:34.039] ポコ配信しろ。
[00:20:35.360] ポコ配信は俺に合わなそうな気がする。ポコ配信は俺に合わそうな気もするんだよな。ちょっとこれやったらまたレトロゲームやりたいし、これ終わったらまたレトロゲーム行きたいなと思ってて。
[00:20:45.559] 転職するのになんか資格持ってる。
[00:20:48.444] [笑い]
[00:20:49.120] 四角持ってるよ。これほらひよっこ
[00:20:51.840] って持ってんだべ。ひよっこ持ってんだろ
[00:20:54.320] 。[鼻息]
[00:20:56.320] え、どうしようかな。ま、とりあえず戦士
[00:20:59.520] なんかでもあんま面白くないよな、戦士
[00:21:01.120] って。でもメタル切りとか欲しいしな。
[00:21:04.440] あれ、これさ、ちょっと仕様分かってない
[00:21:06.600] んだけど、ひよっこ量子で覚えたこの
[00:21:09.120] ホイミスラとかこういうのって使えなくな
[00:21:11.120] るってこと?転職したら、え、使えなくな
[00:21:13.880] るってこと?
[00:21:15.799] え、使えなくなる的なことさっき言ってた
[00:21:17.400] よな。
[00:21:18.320] え、そうなん?きつない?じゃあ、え、だって誰もじゃあホイミとか
[00:21:23.559] ホイミとか使えなくなるってことでしょ?え、やばいやん、それ。え、それやばくない?え、それやばくない?狼年って何動いてんだっけ?ま、ぶちゃこれはいいわな。これは別にいいけど。
[00:21:42.809] [音楽]
[00:21:44.039] 銀人。ええ、羊会。
[00:21:49.600] ああ、ちょっとさ、羊会でもいいよね。
[00:21:54.360] ガボなんか可愛いよね。ホみ使えるしね。
[00:22:00.400] ベあでもま、これどうしよう。
[00:22:05.080] これ全員どうなんだろうな。全員やんない
[00:22:08.440] 方がいいのかな。うわ、でも強いよ。
[00:22:10.760] タトスハントとか
[00:22:13.240] ポイズンだがタトスハントできるように
[00:22:15.360] なるやん。これ強いよ。
[00:22:18.240] 盗賊かな?ガボは盗賊かもな。ガボ盗賊。
[00:22:22.720] え、でもこれやっちゃっていいのかな?
[00:22:27.400] いや、さすがにさ、ちょっと回復なしは
[00:22:30.640] ちょっときついと思うんだけど、どうです
[00:22:32.760] か?[笑い]ちょっとどうですか?みんな
[00:22:35.919] の意見も聞きたいんですけど。
[00:22:39.400] 僧侶送かな。僧侶にしとこうかな。ねえねえおいおい。なんで誰も何も言わねえんだよ。
[00:22:52.279] せ全員魔法使い。やっぱマラー欲しい。
[00:22:55.440] やっぱマラー欲しいよね。マラーマラーだよね。やっぱね。ソルにしよっか。でもこれ変えたとってさ、変えたとってすぐには覚えないんでしょ。すぐには覚えないわけじゃん。
[00:23:09.559] え、やっちゃうよ。やっちゃうよ。やっちゃうよ。やっちゃうよ。はい。
[00:23:19.120] エッチ
[00:23:20.080] やっちゃいます。ああ、
[00:23:24.400] やるんだな。今ここでライナーベルトルトもいますと。ね、これちょレベル上げてきたいんだけど。じゃあ熟連度上げ。あ、ここで熟連度上げ。お前敵じゃねえの?お前敵じゃなかった。ごめん。
[00:23:27.611] [叫び声]
[00:23:37.436] [笑い]
[00:23:39.480] 軸連度上げてくべえよ。じゃあおら絶対熟連上げてからじゃないと無理だって。さあ行け。さあ行こう。ちょっと熟連度上げてさ、せめてさ
[00:23:53.360] くらえ。
[00:23:54.080] あのホみぐらい覚えないと無理だと思うよ。せめて。
[00:23:59.200] え、何?え、どうなったの?今なんか
[00:24:03.440] 死んだと同時に仲間呼んだな、今。
[00:24:08.840] やせてやはあ。
[00:24:11.760] オケ。ちょっとレベル上げさせて。レベルってか
[00:24:16.080] 職業レベル。
[00:24:17.400] 職業レベル上げさせて。ていうかさ、ここであれ使うべきなんじゃないの?なんかさ、早期購入者特典で俺さ、なんだっけ?熟連の種みたいのもらったんだけど。もらったっていうか、なんかダウンロードできるコードみたいな持ってんだけど。
[00:24:29.720] これ使うべきなんじゃないの?今熟連の種使うべきなんじゃない?そんなことない。
[00:24:38.559] デジタル種
[00:24:40.360] デジタル種デジタルデラックス種必要じゃないの?ちょっとちょっとこの辺でちょっとさ、ちょっと上げてこう。
[00:24:52.279] せい。
[00:24:54.240] さすがにさ、検立ては無理よ。
[00:25:02.600] ちょっとごめん。ここさ、この転職上げてる時はさ、ちょっとさ、バトルスピード早くすべ。ちょっとね、ちょっとね、ちょっとこれ超早にするわ。
[00:25:13.399] 早、早、早。
[00:25:15.687] [叫び声]
[00:25:17.760] ただでさえ、この、
[00:25:19.360] ただでさえすごいこのあれなのに超スピール。
[00:25:22.480] ざっとこんなもんね。
[00:25:25.000] 全然上がんないんだけど。
[00:25:26.799] 職業レベル全然上がんないんだけど。どんくらいで上がんだ職業レベルって。ア
[00:25:34.399] あ、でもいいよ。
[00:25:36.480] あ、いい、いい、いい、いい、いい。
[00:25:39.279] あ、そっか。ハチの剣装備してんのかよ。
[00:25:44.120] いいっすな。
[00:25:45.760] 多分なんかね、5回ぐらい勝てば
[00:25:48.520] 5回ぐらい勝てば
[00:25:50.760] 多分ちょっと上がると思うんだよね。
[00:25:54.640] こりゃ。
[00:25:55.799] あ、なんか盗気に覚えてんじゃん。もうア
[00:26:00.880] 強いてれ。
[00:26:04.240] ありがとね、
[00:26:04.799] これさすがにさ、
[00:26:08.279] ま、おいおいおいなんなんだよ。
[00:26:11.720] 頑張れ。てい
[00:26:14.240] たあさあ。
[00:26:16.360] 強くね?敵僕が守る。
[00:26:20.440] チキ士もいますと。あ。
[00:26:26.240] 松がいる。待でレベル上げよう。待つでレベル上げよう。
[00:26:30.760] あ、これクソラグだ。バツ。バツ
[00:26:32.360] 1発で倒せるから。
[00:26:44.080] いいね。
[00:26:49.120] おしよしよしよしよしよし。あ、レベル
[00:26:51.720] 1からスタートなのね。0
[00:26:53.200] からじゃないんだ。
[00:26:54.679] ゼ。お、いいじゃん。ジバリア。
[00:27:03.399] なんかこれ思ったんだけどさ、
[00:27:07.440] これ変な普通に今こうやって普通に戦ってる。戦うじゃん。この辺の敵で。
[00:27:13.120] この辺の敵でさ、こう戦ってさ、軸連がさ、
[00:27:16.399] 5もらえるわけじゃん。
[00:27:18.240] それって別にさ、
[00:27:20.360] 弱いとこで戦っても変わんないのでは?
[00:27:22.600] 楽勝。
[00:27:23.799] 弱いとこで戦ってもしあ、スカラ覚えた。いいね。
[00:27:29.600] ねえ、そうだよね。
[00:27:31.039] 軸連ド変わらないんだったら弱いとこで戦った方が得じゃね?ま、レベルが上が、レベルがあの、まあだと思うんだけど経験値がもらえるのはまあれだ、あれなんだけど熟連度上げるだけだったらさ
[00:27:44.360] せ
[00:27:45.640] 弱いとこで戦った方が得なのでは
[00:27:57.240] いいね。
[00:27:58.640] どんなもん?
[00:28:03.080] いいところに気づきましたね。サクサク
[00:28:05.919] ですよね。
[00:28:07.240] てい。
[00:28:08.039] あ、しかも
[00:28:10.880] しかもこの方が早くない?せ、
[00:28:14.080] あれもどうなんだろう?これをめちゃめちゃ繰り返せる場所にいればもっと早く熟連度上がると思うんだけどな。熟連度だけ上げりゃいいと思うんだよね。
[00:28:22.840] ぶっちゃけレベルはそんなにレベルはそんな足りてなくないと思うんで頑張れ。
[00:28:31.440] ありがとね。
[00:28:34.000] なんか転職したらなんかさり
[00:28:36.840] 転職したらなんか敵強くなった気がすんだけどえ。
[00:28:47.960] あ、アンギに全員全員転職ってやりすぎたかな。
[00:28:52.440] 楽勝
[00:28:53.600] ちょっと色々か
[00:28:56.039] だってこれあんだけ倒しても結局
[00:28:57.559] 5
[00:28:57.760] しかもらえないもんね。だったら弱いとこでさえ。これ今ーラってどこまで行けんだ?ルーラでどこまで行けんの?ああ、でも結局ここまでしかそうだ。このこの中でしか行けないんでしょ?現代にもうどうしようかな。迷うなあ。
[00:29:16.159] あ、ま、なんと今なんか今ちょっと
[00:29:19.279] なんか今ちょっとなんか
[00:29:20.840] あんたって思ってることがあっても言えないタイプでしょ。いいの?分かってるわ。あんまりあんまりめ込みすぎないで辛くなったら私に声かけるのよ。いいわね。もう、もう好きじゃん、俺のこと。は、好きなんか俺のこと。おい、
[00:29:36.919] せい。
[00:29:37.960] これで1もらえるんだろう
[00:29:39.760] よ。
[00:29:40.360] これ繰り返してた方がいいんじゃねえか。
[00:29:43.919] うりゃ
[00:29:46.120] 風よ。
[00:29:49.080] なんか風強いア
[00:29:51.960] 風の噂で聞いたんだけど、今作のマリベルはね、
[00:29:55.279] 今作のマリベルはもうデレデレらデレデレらしいじゃん。
[00:29:59.039] デレデレらしいという噂聞いたよ。
[00:30:01.559] せア
[00:30:04.120] もが溢れてるらしいじゃん。
[00:30:07.039] そうなんだ。
[00:30:07.840] はあ。
[00:30:08.240] は
[00:30:08.960] た。
[00:30:09.519] まるなあ。
[00:30:11.320] ま、まってまうな。
[00:30:20.600] 早い。
[00:30:25.039] こんなもんね。
[00:30:25.919] レベル34ぐらい。あの、食業レベル34
[00:30:28.679] ぐらいで
[00:30:30.200] 初代んデレがデレデレに
[00:30:32.840] ねえ。でもツンツンしててもいいんだけどね。これさ、どんくらいでさ、職業レベル上がるってこなんか分かりづらいね。
[00:30:40.679] ゲージなんだ。何ポイントって書いてないのかな?どっかで見れないのかな?わかんない。書いてねえ。
[00:30:54.559] これで1でしょ?どうなんかな
[00:30:59.360] せい。
[00:31:00.519] ま、ちょっとレベル上げしましょうや。やめてよ。おい。なんかお、このままポコアポケモンに出てきてもなんか違和感ねえな。
[00:31:10.679] このままこいつポケモンって言われても
[00:31:14.039] 違和感ねえぞ。
[00:31:21.240] 楽勝。
[00:31:24.639] あ、いいぜ。爆だき戦士マスターして戦士と
[00:31:32.679] すご心地いまい。もっと明るさが欲しいとか言われそう。
[00:31:40.639] あのゲームすげえよな。動物よな。
[00:31:43.559] ジゴンって動物。確かにジゴって今思ったらただの動物だよな。
[00:31:44.761] [笑い]
[00:31:49.200] よ
[00:31:49.919] 呪って
[00:31:53.799] せやせい。
[00:32:00.880] あれなんかさ、あの初代初代のなんかあれでいいが多くていいわ。
[00:32:06.679] なんかは
[00:32:07.600] 初代のさ、ネタが多くていいわ。
[00:32:10.080] 初代のネタが多くて。
[00:32:12.272] [鼻息]
[00:32:13.279] お、いいね。あ、たさんといいよ。タさんと覚えたからもういいかな。どうだ?どこまでやろっかな、これ?レベル上げ。いや、みんながね、ポコアポケモンやってんのね、おもろくてなんか俺白そうでさ、
[00:32:33.799] 不思議だね。めっちゃ可愛いんだ、もう。
[00:32:36.880] 僕が守る。
[00:32:37.720] ギャル不思議だね。可愛すぎるだろう。ここまで戻ってきてた。ここまで戻ってきてた。外出るか一旦。こうしてもうちょいレベル上げさせて。ちょっといい。
[00:33:00.399] あ、食がった。
[00:33:01.720] はあ。いい。[叫び声]
[00:33:03.559] なんかさ、これ勝てるやつと勝てないやつの違いって何?え?
[00:33:14.720] でも早くていいね。
[00:33:15.639] 姉さ僕が守
