[00:00:01.280] つけましたよ、もう。
[00:02:51.720] だからうん。するよね。
[00:02:53.599] うるさい。うるさいって言。
[00:02:54.840] もうちょっとあげる。じちゃんの声ちっちゃいから。
[00:02:57.200] ああ。
[00:02:59.519] 同じぐらいか。今んとこつ。オッケー。
[00:03:05.560] あ、ちょい。です。
[00:03:06.799] オ、オッケーですわ。
[00:03:09.040] ありがとうございます。
[00:03:09.959] じんちゃんちょい上げな。
[00:03:11.840] 1
[00:03:12.040] 割上げ。
[00:03:12.799] うん。ちょっと上げた。ちょっとな。
[00:03:15.680] じゃ、俺も声1
[00:03:16.720] 割下げってこと。あ、意味ない。
[00:03:18.959] お前下げたら意味ないや。そっか。なんかもう不安なよ。なんかもうもう
[00:03:25.080] 何がある?
[00:03:26.159] もうなんかこの立ち上がりが
[00:03:28.599] 立ち上がりが
[00:03:29.680] うん。
[00:03:31.480] 立ち上がりは
[00:03:33.519] うん。
[00:03:34.640] いやね、やっぱ待機画面喋んなくてよかったって。
[00:03:37.720] これもうこれもね、もちょっと話したさっき待機画面とかど急に
[00:03:43.280] なんかもうだって意味わからんもん。ラジオで喋るだけなのに。ここから喋るってもうこれはなんやねんこれどういうあと
[00:03:53.000] 1
[00:03:53.120] 分あるけどいらんよな。これなんと何を待ってるの俺たちは本当だよ。これ何待ちの時間?これ
[00:04:02.280] 画面の前にはいるんだけど
[00:04:03.760] いるからね。
[00:04:04.959] いるんですけどね。
[00:04:07.400] 言えんですけどね。
[00:04:09.599] ちょっとま、ド緊張したら5
[00:04:11.000] 年ぶりやからな。
[00:04:13.400] そうね。5
[00:04:14.000] 年うん。ま、そ、まだ始まってないかった。
[00:04:18.160] そう、これ5
[00:04:18.959] 年ぶりですっていうのも始まってから言いたいしね。なんなら
[00:04:22.800] これだから俺らも何も何も喋らないし。
[00:04:26.720] 何も喋れないしみたいな。何この時間いらんかったな。
[00:04:32.360] そうなんですよ。
[00:04:36.720] ま、あの、本当今日の結果次第でね、この番組が続くかどうかが決まるのでね、皆さん是ひ盛り上がっていきましょう。ということで始めますか?
[00:04:48.800] はい、行きましょう。
[00:04:49.680] よろしくお願いしますよ。ということではい、行きます。
[00:04:52.600] はい。
[00:04:53.639] え、どうやってやんだっけ?はい、グッドラジオ。
[00:04:58.840] はい。どうもこんにちは。こんばんは。ます。こんばんは。
[00:05:01.960] はい、どうもこんばんは。ちゃまゲームです。
[00:05:04.199] はい、じです。
[00:05:05.080] はい、始まりました。
[00:05:11.400] ご、どうすか?5年ぶりに
[00:05:13.800] 帰ってきました。みんなただいま。
[00:05:16.759] 5
[00:05:16.919] 年ぶりすね。
[00:05:17.639] ただいま帰ってきました。もうなんかはずいわ。なんかうん。
[00:05:23.039] グータラジオね。
[00:05:25.280] 2026年
[00:05:27.479] 3
[00:05:27.639] 月のグータートラジオでございますよ。
[00:05:30.400] 29。あ、ち、29か。あってるわ。
[00:05:33.360] んでも日ねやってきますけども。
[00:05:35.039] 日、
[00:05:37.120] あの、もう、もう丸越しだからね。丸越しっていうのは
[00:05:42.759] 何も用意してきないよね。
[00:05:44.520] あ、ない、ない、ない、ない、ない。
[00:05:47.600] どうすか?5
[00:05:49.039] 年ぶりやけど。
[00:05:51.080] 5
[00:05:51.280] 年ぶり今結構何もないっすね。
[00:05:53.919] なんなお前マジで。
[00:05:58.240] で、画面良くない?画面良くない?
[00:06:01.759] 画面いいね。
[00:06:03.120] めっちゃいいよね。これ頑張って作ったね。
[00:06:04.840] いいね。
[00:06:06.319] 素晴らしい。
[00:06:06.840] 今日夜9
[00:06:07.479] 時から一緒に準備しようって言ってたのに。お前
[00:06:10.199] あ、そうだね。
[00:06:10.759] 寿司食いやがってお前。
[00:06:12.440] いや、それはしょうがないよ。
[00:06:16.479] 思ったより混んでた。
[00:06:18.400] 混んでた。
[00:06:19.960] いや、こ、土曜日舐めてるでしょ。
[00:06:23.240] 土曜日舐めてたね。
[00:06:24.840] い、何が美味しかったの?
[00:06:27.080] うんとね、俺サーモン好きなの。な
[00:06:30.440] んでそんな笑ってんだよ。おい、ぶっ飛ばすぞ。
[00:06:35.319] サーモン好きなんや。
[00:06:36.960] サーモン好き。
[00:06:39.080] サーモンはうまいよ。
[00:06:40.440] いや、サーモンうまいよな。サーモンうまい。あ、ランディオ疲れちゃう。ラディオ疲れ。ちょっと今日マジ挨拶抜けとかあったらごめんね。
[00:06:46.039] 全然あると思うわ。
[00:06:49.520] うまい。サーモンはうまいっていう話よね。な
[00:06:52.039] ん食べるか。
[00:06:54.479] あ、けどね、むっちゃごめんなさい。え、下の方に負けました。何は
[00:07:03.000] ま、俺なるべく下の子って言ってるからさ。
[00:07:07.639] あ、そう、そう、そうな。そうな。下の子に負けたんだ。
[00:07:11.560] 下の子に負けたんです。
[00:07:12.520] 何?何皿食べ?下の子は何皿食べ?
[00:07:15.479] 102
[00:07:18.120] かな?
[00:07:18.560] 行くね。
[00:07:20.479] やばいよね。呼んで。
[00:07:22.919] それは言うんかい?
[00:07:26.520] めっちゃ気い使って俺今下の子何歳だっけとか聞かんかったのに言うんかい?それは
[00:07:33.360] そこは言うね。
[00:07:34.120] そこは言うんだ。
[00:07:35.479] うん。
[00:07:36.160] そっちの方が重要やろ。性別云々より。いや、
[00:07:39.759] 性別云々もう答え出てんじゃん。もうそれ
[00:07:44.960] 何が
[00:07:46.319] 何がいやま
[00:07:47.520] 性別云々よりかってよ。
[00:07:49.440] わからんや。
[00:07:49.919] これで言ったからまだどっちか
[00:07:51.680] 確かに
[00:07:52.599] どっちかわかんないなで12
[00:07:54.199] じんちゃん何さ
[00:07:56.000] 俺は89ぐらい
[00:07:58.479] でもそんくらいよな。
[00:08:01.000] うん。
[00:08:01.680] 絶妙にネタにもできないあの枚数がね。俺もそんくらいやし。
[00:08:06.800] え、
[00:08:07.440] 俺食えない。寿司そんな食えないのよね。
[00:08:09.919] ええ。
[00:08:10.319] だ寿司を寿司あの寿司なんつうの
[00:08:14.639] 2巻のさあるやん。
[00:08:16.400] はいはいはい。
[00:08:16.919] あれはそんくらいなんだけどあり食べちゃうだよ。
[00:08:19.440] 周り
[00:08:21.479] 寿司の周りを食べるってどういうこと?
[00:08:23.039] なんかあのあるやん。なんか唐揚げとかポテトとか。あ、そうそういうことね。
[00:08:28.759] そっち行っちゃうんすよね。
[00:08:30.080] はいはいはいはい。びっくりした。
[00:08:31.280] 行く行くやろ。
[00:08:32.680] 行かないです。
[00:08:33.360] 行かないの?
[00:08:34.599] 行かない。
[00:08:35.120] なんな
[00:08:37.760] ずっとサーモンだけ食べたい。
[00:08:40.039] サーモンとあとあの
[00:08:42.440] 1
[00:08:42.599] 個しか今出てこないさ。マグロとかさ。マグロ
[00:08:45.399] 何?何?何?何?何?何?何これ?何?何?
[00:08:47.560] 1
[00:08:47.760] 間しか出てこない。うん。
[00:08:49.760] あ、ちょっと高いやつ。
[00:08:51.200] ああ、一巻のやつね。
[00:08:52.519] 大トロみたいな。オートロとかマグロとか
[00:08:58.519] な。どっちもマグロだけどな。
[00:09:01.399] なんかあ、ごめん。クラのこといくらくら
[00:09:05.279] 全然違う。
[00:09:07.959] そうそう。チュートルとかもそうそうそうそうそういうなんかちょっと待って。怖い怖い。なんか
[00:09:15.200] こんなんだよみんな。今日こんなんだよ。
[00:09:18.000] もこら、こんばんは。こんなんだよ。今日いいの?本当に
[00:09:22.560] 大丈夫でしょ?
[00:09:23.480] 何がグーたらじ?お前名前かっこつけやがって。
[00:09:28.399] いや、グーたらしてるやん。
[00:09:29.839] ま、グータラしてますわな。でさ、結局何?酒飲むの?
[00:09:33.160] 飲むよ。
[00:09:34.360] まだ飲まないの?
[00:09:35.959] いや、じゃ飲もっかな。
[00:09:36.959] あ、飲むんだ。じゃ、乾杯しようか。
[00:09:38.920] あ、乾杯。
[00:09:39.360] みんなどうすか?皆さんはお酒飲むんでしょうか?分かりませんけども。
[00:09:46.000] いただきますか?じゃあ、じゃあちょ持ってくる皆さんのあれを待ちで。あれ待ちで。
[00:09:50.920] あ、オ、
[00:09:51.519] 俺は、俺は水だけどな。俺は水だけど。
[00:09:54.640] 俺はグラツにいちゃうけどね。
[00:09:58.720] 最近ダイエットしてるから俺。
[00:10:01.920] え、
[00:10:02.480] えよな。すごいすぎ。
[00:10:04.560] すごない?11kgやってたで、半年で。
[00:10:06.680] え、半年で
[00:10:08.279] 11俺なくなっちゃうじゃん。
[00:10:11.640] そうね。1/3
[00:10:12.600] ぐらいなくなるでちゃんあれ
[00:10:13.760] やばいな
[00:10:14.839] なあ
[00:10:17.000] すげえ
[00:10:17.959] いや続いてますから年の
[00:10:20.040] 8月ぐらいからやって
[00:10:23.519] いやりますわ
[00:10:25.000] うまだまだ太ってるけど
[00:10:27.040] もう運んじゃねえよこれ
[00:10:33.880] そう俺あの俺配信で言ってないけど配信で言ってないけどジムにも言ってますから
[00:10:40.760] すごいよすごいですよ。ジム行ってんねん
[00:10:42.880] 。ジム。今日も午前中ジム行。うん。ジム
[00:10:46.320] 行んのよ。うん。だ、もう腕がだからね、
[00:10:50.519] やっとなんかちょっとあのこの太、このさ
[00:10:53.839] 、も、ここの分かる?この筋肉の筋肉の筋
[00:10:58.760] みたいなのがや出始めてん腕に。前毛じゃ
[00:11:02.519] ね。うるせえ。じんじゃん腕見せて。じ腕
[00:11:04.880] 見せて。
[00:11:07.120] これこうやって万歳万歳万歳万歳
[00:11:08.920] 。
[00:11:11.200] 細、細かと思ったわ。
[00:11:17.120] 骨じゃない。骨じゃない。肉はあるよ。
[00:11:19.360] あと俺ずっと思ってんだけどさ。
[00:11:21.440] 何?
[00:11:21.839] いっつもつけてる。それ何?
[00:11:25.279] ゴム
[00:11:26.120] なんでそんな?え?何?理由を聞きたいってこと?
[00:11:29.920] いっつもつけてるよな、それ。俺と遊ぶ時も毎日。
[00:11:33.880] え、理、理由が欲しい。
[00:11:36.079] 理由が欲しいってな。何なんそれ?
[00:11:38.839] え、ゴム、ゴム、ゴムなんなのって言われたらゴムだね。
[00:11:41.480] じゃ、なんでつけてんのこれ?
[00:11:43.000] いや、理由が欲しい。
[00:11:44.120] 理由が欲しい。理由が欲しい。
[00:11:47.560] 理由が欲しい。部屋ゴムな。
[00:11:50.680] そ、うんとね、部屋というかゴムゴム。ゴムゴム。笑えよ。
[00:12:06.720] じゃ、俺昔リストバンドとかけてたじゃん。
[00:12:09.920] あ、昔つけてたわな。あんた。あのなんてうっけ?あの汗吹くやつね。
[00:12:14.680] そう、そう、そう。
[00:12:15.160] 汗かかねえくせにつけてたよな。そういえばそれ変わったんや。
[00:12:19.839] そう。あれってなんでかって言うと腕があの太く見えるんよ。
[00:12:26.199] ああ。
[00:12:27.519] だから要はチまから行ったら黒い
[00:12:30.920] Tシャツじゃの方が気汗せするじゃん。
[00:12:33.959] あ、そうみたいな。
[00:12:35.279] 太く見せたいんや。
[00:12:37.079] いや、そうでしょ。だって痩せてんだもん。
[00:12:38.760] え、何?痩せてんのって嫌なん?
[00:12:42.800] いや、なんかや、俺は嫌だかな。
[00:12:45.279] あ、そうなんだ。
[00:12:46.519] うん。
[00:12:47.240] 羨ましいよ、お前の。その
[00:12:50.120] で、で、逆なんだよ。俺もその肉欲しいわみたいな。
[00:12:53.920] だ、俺たちがフュージョンしてさ。
[00:12:56.320] スーパーサイヤ人だなったら最高だよな。
[00:12:57.639] 1番。
[00:12:59.600] うーん。ま、いいのができるかわかんないけどね。
[00:13:01.800] うん。はい。
[00:13:06.279] え、飲んでいいすか?もう。
[00:13:07.199] いや、もう飲も飲も飲も飲も飲も。ちょっと俺も酒買ってこようかな。なんか怖なってきたわ。なんかマ
[00:13:13.720] ジ?
[00:13:14.279] 怖い。こんなんだったっけ?マジだと思う。
[00:13:18.920] こんな感じか。
[00:13:20.360] うん。
[00:13:21.160] まあいいけどね。
[00:13:23.720] 飲みましょう。飲も飲も。
[00:13:26.040] 乾杯し。乾杯。
[00:13:27.600] お疲れす。
[00:13:28.240] じゃあグータラジオ帰ってきた。グータラジオ。あのよろしくお願いします。乾杯。
[00:13:37.399] うう。じちゃん何飲んでんの?それ
[00:13:43.519] ビール
[00:13:44.639] 好きね。あんたビールしか飲んでないよな。
[00:13:46.959] ビールしか飲まないかな?気温はね。
[00:13:49.440] 他の酒飲まねえんだ。
[00:13:52.040] 他のお酒。
[00:13:53.600] じゃあ中杯は飲むけど
[00:13:57.040] 4ビールかな。
[00:13:58.920] あんまりなんかがっつり酒飲んでるとこ見たことないもんな。だって運転なんだもん。
[00:14:03.839] あ、そっか。こっちにしか友達いないもんな。
[00:14:07.720] うん。そうそうそうじゃないけど。うん。
[00:14:12.360] いつも飯行くとさ、居酒屋行くけどさ、
[00:14:16.360] あんた、あんた、あんたさ、酒飲めないじゃん。運転で
[00:14:19.759] 飲めない。
[00:14:20.360] 俺も酒飲まないじゃん。
[00:14:22.160] うん。謎の時間あるよな。酒
[00:14:24.160] 2
[00:14:24.279] 人とも飲まわないのにあさりの坂ムシ食ってな。運命。
[00:14:28.040] あ、そう。
[00:14:29.959] キュウリ食ってな。
[00:14:31.639] で、あの雰囲気が好きってのもあ
[00:14:33.720] いやわ。いや、そうやねんな。結局そうなんだよ。雰囲気がいいんだよ。
[00:14:37.600] 雰囲気がいいのよ、あれは。
[00:14:39.360] うん。
[00:14:40.480] 飲み合ってのは
[00:14:43.000] なんなんそのお前のそのビール飲むコップちゃうやろ。
[00:14:46.000] これだってじゃ、息子が作ったん?
[00:14:49.279] あ、息子が作ったん?
[00:14:51.440] そう。
[00:14:51.959] それとあと息子は息子って言うんだ。
[00:14:54.600] あ、言うね。あ、消えてるね。
[00:14:57.160] 何それ?息子が作ったって。
[00:15:01.480] スラムダンク。
[00:15:02.639] あ、スラムダンクなんや。へえ。すげえやん。ええやん。
[00:15:08.120] ね。お父さんに行って。
[00:15:10.000] うん。全然自分のために作ってた。
[00:15:12.279] なんでお前がそれピール飲んねん?いいかな。ちょうどいい。
[00:15:18.120] あ、違うんだ。パパのためにじゃないんだ。
[00:15:20.320] うん。違う違う。
[00:15:22.720] それは息子だってな。あれだもんな。もう高校受かったんでしょ?
[00:15:26.360] 高校受かった。高校。
[00:15:27.240] おめでとう。おめでとう。いや、なんか考え深い俺も。
[00:15:32.279] そうだよね。
[00:15:33.160] だって俺息子があれ何歳?初めて会った時。
[00:15:40.240] 息子おめでとうだって。
[00:15:41.199] キャンディが息子おめでとう。あ、
[00:15:43.079] ありがとう。ありがとうございます。
[00:15:46.440] 10勝6
[00:15:48.560] とかだよね。多分めっちゃ強かった。
[00:15:50.639] 小学校だよね。
[00:15:51.639] ねか、もうこ、え、小学校小
[00:15:54.839] 6
[00:15:55.079] じゃねえでしょ。だってもっと前でしょ。
[00:15:57.319] 10
[00:15:57.519] 年ぐらい前だよだって。初めてだったの
[00:16:00.160] 10
[00:16:00.399] 年だと。
[00:16:01.199] だって高校ってことはそれ3
[00:16:02.399] 年しか経ってないこと。6年6年すぎ10
[00:16:05.519] 年5歳。5歳。5歳5
[00:16:07.680] 歳とかや。
[00:16:10.240] で、下の子が生まれたばっかで俺抱っこしたもんな。あ、その写真あるもんね。
[00:16:15.800] あのライブ終わりな。俺らのバンドのライブ
[00:16:18.399] くそ、俺がくっそ疲れた顔してるやつね。くそ怖い顔してるやつ。
[00:16:23.360] くっそ怖い顔でじんちゃんの子供って泣いてるね。
[00:16:26.360] 疲れてうちの嫁にこう渡されてた記憶があるわ。
[00:16:31.399] めっちゃ赤ちゃん嫌がってたやつ。
[00:16:36.839] そうですわな。
[00:16:37.600] ニヤニア写真撮ったね。
[00:16:39.800] もうそれが高校だもんな。なんか考え深いよ。あんなだってどっからなんでじんちゃんの遺伝子半分持ってあんなできた子供ができんのかがわからんわ。
[00:16:53.560] いや、だから自分だけじゃなくてうちの嫁さんの遺伝子もありつつ
[00:16:59.399] 半分以上多分そっちだもんね。
[00:17:02.079] 半分も持ってかれた。
[00:17:04.280] てか半分以上持ってかれてると思う。
[00:17:06.880] 顔は似てるけど。
[00:17:09.039] ああ、
[00:17:09.720] 顔は確かにじんちゃんにてちょっとね、どっちかっていつあれだったじゃない。
[00:17:15.000] 知らねえよ。これは
[00:17:19.439] 2なんだけど。
[00:17:20.079] 礼儀正しい。え、じんちゃん2なん、2
[00:17:24.720] ちゃんと2だよ。
[00:17:25.480] 目が細すぎてわからんわ。
[00:17:28.079] あ、じゃ、目がちっちゃくなっちゃう。こうやってやると
[00:17:30.640] こ。そう、そう。そうやってやったらな。
[00:17:32.720] うん。
[00:17:37.440] やめるか、今日。もう怖いてやっぱもう棒読みつけようかな。なんか
[00:17:47.640] なんで
[00:17:48.360] 怖ない?なんかこのこれこれ
[00:17:50.160] 2時間も持つか
[00:17:52.760] 持つでしょ。だってこれ前
[00:17:55.320] 6時間ぐらいやってたん?
[00:17:56.600] そう。これこれ6
[00:17:57.600] 時間やってたんだよ。前の昔のグータラジオはこれ
[00:18:01.240] 6時間やってたんだね。
[00:18:02.400] ね。
[00:18:05.360] えぐいよね。えぐいよね。コメンでコメントのコメントに自分でコメントお待ちしてますってコメントしてた。
[00:18:15.679] あの頃のなんかハートの強さなくなったよな。
[00:18:19.799] 年だな。
[00:18:20.760] な、もう怖いもん。なんか無敵の人だったよね。
[00:18:24.840] うん。強かったね。
[00:18:26.159] 強かったね。で、タイトルにさ、クソ生意きにもさ、あの初見大歓迎って書いてあった。
[00:18:32.520] 当たり前だろ。お前が
[00:18:34.679] 何を偉そうに。初見大歓迎とか言当たり前や。
[00:18:39.919] 確かに
[00:18:42.039] ひどい話だよね。
[00:18:43.440] あったね。
[00:18:44.280] あったね。やってたよ。月1でな。
[00:18:47.200] 月1だったね。
[00:18:48.200] 月1
[00:18:48.640] でやってたよ。今も今も今も書こうか。初見
[00:18:51.679] 20
[00:18:55.679] クソ生意気にあれからもう
[00:18:59.080] 5年経ってるからね。
[00:19:02.080] 5
[00:19:02.280] 年長えな。長い長いよ。まだ配信続けてると思わなかったよね。そうだね。お互い来てから
[00:19:12.480] 5年。
[00:19:13.799] 今日今年5年目だね。今年5
[00:19:15.679] 周年なんだよ。
[00:19:17.360] 俺もこれあのリスナーに言われて気づいたんだけど
[00:19:20.360] 今年で5年らしい。
[00:19:21.360] へえ。
[00:19:22.320] だなんかさ、今年5年5周年なんか
[00:19:25.919] なんかね、あってもいいんかなとかちょっと思ったりして特別なこと。
[00:19:30.880] やっちゃいます。なんかやっちゃいますよ。
[00:19:33.880] まあまあおいおい話すとしてそれもね。
[00:19:35.760] うん。
[00:19:40.159] いや、なんかでも
[00:19:42.320] いや、これあとあとなんつうの?あの後々も話すけど
[00:19:48.039] はいはい。
[00:19:48.840] なんかおふとかさ
[00:19:51.520] うん。な
[00:19:52.440] やりたいよね。彼女若干してんだよね。なんか
[00:19:54.880] そうだね。
[00:19:55.640] なんかね、
[00:19:57.000] オフはやっぱ楽しいよな。
[00:19:59.280] なあ、な、あ、しさん、どうもこんばんは。
[00:20:03.000] あの、5
[00:20:04.440] 周年だから再び宇宮でライブやっちゃいます。いやあ、出た、出た。言われんですよ。言われるんですよ。あの、お、もう昨年やんな、あれな。
[00:20:14.720] そうだね。2024年の202
[00:20:20.559] レベルアップね。第2
[00:20:22.000] 回いつやるんですかって言われんねん。
[00:20:27.600] 何か1あるんですか?
[00:20:28.919] いやあ。いやあ、どうすか?第
[00:20:33.520] 2回じゃんちゃんやるつったらやる。
[00:20:37.320] え、協力はするよ。な、こう結局そうなん結局
[00:20:45.360] 責任を取りたくないみたいな感じやね。
[00:20:47.520] え、責任は一応取るけど責任何の責任取らされるの?
[00:20:53.039] いや、ま、やるんだったら、ま、もちろん俺のさ、主催として俺がもちろんね、表に立ってやりますけど。
[00:20:57.880] そう、そう、そう、そう、そう、そう。
[00:20:59.760] 本当にもう今更2
[00:21:00.960] 年前のイベントまたここでこすんのもちょ。
[00:21:04.120] うん。
[00:21:05.159] 第1回超えれるか。良かったで。
[00:21:09.280] 第1回良かっ、第1回は良かったね。
[00:21:11.720] よかった。素晴らしい目だったあれな。
[00:21:14.000] あ、いやけどあれは本当に周りのにもられてもちろんそう。周りの皆さんのおかげほんまに
[00:21:23.440] 未だにたまに見たくなるもんね。アーカイブね。
[00:21:26.279] ああ、分かる。うん。
[00:21:27.279] ね。しびれるもん。やっぱチマゲーのあのクソ感動的な
[00:21:33.159] MC
[00:21:35.159] なんて言ったんだっけ?
[00:21:36.080] いやいや、ちょい恥ずかしいからやめてよ。恥ずかしいからやめてよ。それはな
[00:21:40.880] んて言ったんだっけ?俺ごめん。ちった。
[00:21:42.640] それはちょっと恥ずかしいからやめてよ。
[00:21:45.279] あ、なんだっけだっけ?あ、な、なんて言ただっけな。
[00:21:50.600] 俺もずいし、今コメント欄にいるや、あのやつもはずいから
[00:21:56.880] 大丈夫。1
[00:21:57.320] 人いるから。
[00:21:58.799] そ、そんなメンタル弱くない。大丈夫
[00:22:03.760] ね。いや、もうちょっとやめて。いや、なんかで、あん時は気分高まって言っちゃった。やばい。
[00:22:11.760] バンドマンの血が騒いちゃってやっぱいいこと言いたくなるねんな、あれ。
[00:22:14.840] ま、そうだよね。
[00:22:15.600] なるよね。
[00:22:16.840] うん。なんかしちゃってね。それやってないんだけど。
[00:22:20.600] やってないのね。うん。これはやってないらしいです。
[00:22:23.120] やってなかった。
[00:22:23.760] うん。
[00:22:26.360] いや、ま、やりたいけどね。レベルアップを超えられるのはレベルアップだけですってやっぱ。
[00:22:32.400] ああ、まあそう。レベルアップ
[00:22:38.440] 2ってことだよね。ま、レベルアップ2
[00:22:40.400] レベルアップすると。
[00:22:41.640] そうそうだね。やるってことは
[00:22:44.760] うん。また遊ぼうと聞きたいと恥ずかしいこと言うのやめてほんまに。
[00:22:51.120] いや、でも楽しかったね、あれね。
[00:22:54.400] いや、良かったです。本当に
[00:22:56.320] ね。これみんなもさ、次やるとしたら来んのかな?ま、多分次やるとしたら都内だよな。
[00:23:03.440] うーん。ま、色々よにはなってくると思うけど。はきついって多分。
[00:23:10.240] だしみはもう会場ないじゃん。
[00:23:12.640] うん。まあね。
[00:23:15.240] うん。2
[00:23:16.960] 回目で同じとこっていうのもどうなんだろうね。
[00:23:20.559] そう、そう。だ、それこそレベルアップじゃん。
[00:23:22.200] うん。
[00:23:23.400] そうだね。
[00:23:23.799] ケトには悪いけどさ、て会場ね、あの
[00:23:26.159] 1回目の会場。
[00:23:27.039] はい。はい。はい。はい。
[00:23:28.279] いい箱なんだよね。あれもね。
[00:23:30.559] そう。ちょうどいいキャパでも
[00:23:32.880] ちょうどいいキャパだしっていうか融が効く。もう俺らがズブズブだから。
[00:23:37.320] そうそうそうそう。
[00:23:39.080] あの、店長がな、高橋さんがさ、すげえ
[00:23:41.520] そうだ。
[00:23:42.400] 新味になってやってくれるからさ。
[00:23:43.960] うん。
[00:23:44.559] うん。その店長にも、あの、すごい良かったねって言われた。
[00:23:49.559] そう。めっちゃ言われたの。いや、いいイベントだったね。こういうこんないいイベントはうちでやるべきじゃないって言われた。いよね、それ。そ、別にね、こ
[00:24:02.840] れ店長行っちゃダめじゃんね。売上伸しちゃうじゃんね。
[00:24:05.720] ね。でもあれだぜ。
[00:24:06.720] あの、店長高橋さん、あれだぜ。あの、あ、そんな褒めてくれたけどリハの、リハの時さ、
[00:24:13.279] 後ろで見てんじゃん。PNのとこから。
[00:24:15.080] ああ、見てるね。
[00:24:15.919] 結構渋い顔で見ててさ。
[00:24:17.919] うん。
[00:24:18.240] ああ、結構やっぱ
[00:24:19.799] 厳しいんかなと思ってたら
[00:24:21.880] うん。
[00:24:22.200] あの、唯一唯一あのたけほいさんのとこのバンド
[00:24:28.880] はいはいはいはい。
[00:24:29.679] だけりノりだったね。
[00:24:33.399] な、なんか、なんか感じたんだろうね。
[00:24:35.200] やっぱだから近しいのがあるんだろうな。
[00:24:37.360] うん。なるほどね。なんかああてってレみたいなね。
[00:24:41.200] そうそうそうそう。俺らの時もうこうやってもう棒立ちでこうやってもう睨み引かせて見てたもん。
[00:24:49.320] インフェルのロックスターズな。インフェルノロックスターズの時だけめっちゃ乗ってた。
[00:24:54.679] いや、ノり、ノりがやっぱそっちなんだろうね。
[00:24:56.919] インフェルノロックスターで良かったもんな。
[00:24:59.039] また見てよな。
[00:25:01.000] いや、みんな良かった。
[00:25:01.960] みんなそうよ。あ、そ、そりはそうよ。みんな良かった。
[00:25:04.120] みんなかった。
[00:25:05.120] うん。まあ、だからそういうイベントなんかだからさ、最近イベント少ないやん。
[00:25:12.120] そうね。
[00:25:12.679] 配信者イベント少なくない?
[00:25:16.360] あの、オフラインで。
[00:25:17.840] オフラインで。うん。その
[00:25:19.320] うん。うん。うん。
[00:25:20.600] あの、オンラインではさ、ま、俺も来週
[00:25:23.279] 4月4
[00:25:23.960] 日ちょっとま、宣伝見たくなっちゃうけど、あの、けちゃん、宣伝、あ、宣伝あります。
[00:25:29.880] うるせえ。
