[00:00:29.560] ああ
[00:13:20.040] マカライトなくない?ワイル。ワイルズ。
[00:13:23.120] あ、あるかも。わかんない。ない。夏いね。多分最初ここの通。いや、最初あれじゃないの?
[00:13:36.519] やってら。
[00:13:37.480] あち、お疲れ。あの、最初あれじゃないの?あのふわふわのやつ。ゆも行く雲じゃねえや。
[00:13:41.880] なんだっけ?え、あんやつ。
[00:13:45.519] そう、そう、そう。めっちゃ弱いやつだ。
[00:13:49.399] 大丈夫かな?
[00:13:50.920] オープニング見て泣きそう。
[00:13:53.399] バカないよな。リオレイ。
[00:14:02.360] あ、
[00:14:02.680] アダ。
[00:14:07.040] このオープニングなんか何回見たか。これあの睡眠ね。
[00:14:10.839] はい。はい。
[00:14:14.759] 武器何でいいの?
[00:14:17.199] どうしよっかな。これあれじゃん。良いよいじゃない?
[00:14:23.480] これよいよいから。
[00:14:35.560] ディノ男せ。ディノ男せ。ディノ。
[00:14:38.680] サビ。
[00:14:39.120] モハン自体さすに縛ってくれ。あれ強すぎ。
[00:14:42.800] ラオのヘビは強いんだ。ヘビーボガン使ったことねえ。強なくね。メインか。おお
[00:14:57.560] 一択。
[00:14:59.399] ということでじんちゃんとやるゲーム枠。
[00:15:02.639] え、モンスターハンタポタブセカンド
[00:15:04.560] G
[00:15:05.880] やっていきますかね。
[00:15:07.079] やりますか。
[00:15:08.800] よいしょ。やべえ。懐かしい。で、全部のクエストすぎるだろ、これ。
[00:15:16.920] じんちゃんはじちゃんでPSP
[00:15:18.199] な。別で別でやんなきゃいけねえからな。
[00:15:20.399] 新規もちょい新金で新金やべえ。夏つ名前は一応分かりやすか。大文字で
[00:15:33.120] 血山曲げの太も見えるの。暑すぎ。
[00:15:36.560] 極太もかな、俺。
[00:15:42.920] セックスはどっちにした?
[00:15:46.240] 俺もさ、子供の頃ここにセックスって書いてびっくりしたな。なんかえ、セックスってどんな簡単に言っていいのかと思ってなんか
[00:15:53.639] そう性物、性別って意味だからね。別
[00:15:56.279] 性別って意味だから別にでもここにセックスって書いてある。びっくりするな。セックス。
[00:16:02.160] あ、セックスは男や。
[00:16:03.720] 男じゃ。でしょ。
[00:16:06.240] あ、インナーね。インナーはこれよ。インナーはこれ昔の
[00:16:11.800] 俺結構こういうさ、モンハンやる時別じりすんだよな。
[00:16:15.800] あ、俺。
[00:16:16.120] あ、6の英語でこ。
[00:16:18.360] あ、ちょっと俺っぽいな。6の英語。
[00:16:20.440] 本当だ。
[00:16:21.800] じいよな。笑。
[00:16:23.839] じじよ。やっぱりシックスだ。
[00:16:26.319] 6
[00:16:26.680] っていうたびにニヤニヤして。え、どれがいいっかな。結局防具つけたらあれなんだよな。
[00:16:32.839] 結局防具つけたらさ、そうだ。
[00:16:34.399] モンハオケストラもすごそうよね。
[00:16:36.480] 行きたい。モンハンオーケストラ行きたい。それは行きたい。
[00:16:41.319] おい捨てた。あ、これか丸か。
[00:16:44.040] じんちゃんはじんちゃんで別のやつ。あ、ゴンさんみたい。ゴンさん英語かな。俺っぽい。昔この昔この髪型にしてた。なんかこのこれ一番かっこいいから。
[00:17:02.920] ああ、クラウドっぽいやつ。そう、そう、そう、そう、そう。
[00:17:08.400] あ、もういいや。髪型何でもいい。どうせどうせアフルで行こう。髪色だけちょっとさ、白っぽくした。思ったより白くね。思ったより白くなんだよ。もいいや、これで。
[00:17:34.840] 声ど、どれです?声、
[00:17:36.280] これはタイプ7。
[00:17:37.360] どうせ声隠れ。
[00:17:38.640] タイプ7です。プ
[00:17:43.039] っと。
[00:17:48.760] あ、俺銃がない。じじよ。やっぱりモンハンは行こ。初心者じゃありません。行きます。
[00:17:58.200] え、今度名前に
[00:17:59.960] 初心者ですかって何?ま、いいっか
[00:18:03.080] 行くぜ。
[00:18:03.840] 名前入れてなかったわ。
[00:18:04.919] ていうかさ、1
[00:18:05.960] 番最初から通信ってできんだっけ?
[00:18:08.400] わかんない。え、できんの?
[00:18:10.240] わかんない。
[00:18:11.760] チュートリアルなんかあんだ。ゲーム返します。オ、行くぜ。夏、夏、意外とお茶めなじだ。やば、
[00:18:25.240] やばいね、これは。
[00:18:28.200] 上がってスタみよ。
[00:18:37.720] モンスターハンターポータブルセカンドリアのチュートリアル村長への挨拶を終えた直後から所での通信プレイが可能。海賊猫送るわ。
[00:18:49.880] 海賊猫だって悪魔猫です。
[00:19:02.159] いやあ、ガレックスな、
[00:19:04.320] これはこれ貝出てくんだっけ?
[00:19:06.120] 出てくんじゃない?出てくるよ。なんかさ、あの卵運ぶクエストでさ、絶対出てくるやつあるよ。邪魔されるやつ。
[00:19:13.919] うん。
[00:19:18.159] 手が怖かったな。
[00:19:19.440] 怖かったな。気がなあ。
[00:19:22.679] 手が強い。怖い。怖いよね。
[00:19:25.480] 手が強い。怖い。
[00:19:27.640] このロード画面夏つ
[00:19:30.760] 夏。このロード画面
[00:19:31.960] やば。お、来た、来た、来た、来た。俺もう先に行くぞ。
[00:19:39.200] お、
[00:19:41.400] ちょっともう早くあれしよう。とりあえず集会所行かないとな。いいや。夏。これ何村だっけ?ポッケ村。
[00:19:52.400] ホッケな。
[00:19:53.280] ホッケ村。お、よい、よい。
[00:19:55.760] うおお。
[00:19:56.559] やばいね。なんか今見ると画質あれえな。
[00:20:01.240] 画質荒いよね。
[00:20:02.280] うん。え、くそ。ずっとこれ。
[00:20:13.559] いや、俺見たよ。俺に。
[00:20:15.640] これ見なきゃいけないんだよね。
[00:20:16.799] これ飛ばせんじゃない?スタート。飛ばした。
[00:20:22.320] 来ました。ぶりだろ、これ。
[00:20:27.320] あや。
[00:20:29.080] いや、夏すぎるだろ。いや、このなんかこのチキが懐かしいわ。
[00:20:38.679] アフロ橋本。
[00:20:39.799] アフロ橋本でうわあ。何にしよっかな。
[00:20:44.200] SE全部夏い。
[00:20:45.360] SEが夏い。まずマフもフ。
[00:20:51.720] マフモフが夏いわ。え、何すの?ゆちゃん武器。え、どうしよう。どうしよう。
[00:21:01.640] 俺はハンマーかな?いや、笛えむずいもん。覚えらんないもん、あれ。
[00:21:06.600] ネ色な色がネ色な
[00:21:08.120] 色がネ色覚えらんないもん。ハンマー。とりあえず最初ハンマーで行くわ。俺
[00:21:14.080] ハンマー持ち武き。
[00:21:15.880] うん。俺いっつもハンマーだね、大体。
[00:21:18.520] ただ
[00:21:18.960] デブはハンマーま傾向にあるハンマー
[00:21:23.080] デブはね、やっぱね、見あれだから、あのバンドやってたって言ったらドラムって言われるし、モンハンやってたって言ったら、え、ハンマーって言われるんだよな。デブはそれでだからすぎるな。
[00:21:38.440] 野球ならキャッチャー。
[00:21:40.039] あ、変えてる。
[00:21:41.400] ウーハンマーとかの方がこっちの方がさ、切れ味
[00:21:45.919] 威力と切れ味ってどっち優先する?もに読んだ。ハンマーは全てやろ。バンドやってんなら
[00:21:54.200] せめて笛えだろ。これ
[00:21:58.840] 1回全話聞きダメなんだ。
[00:22:00.559] あら
[00:22:01.600] あら。
[00:22:05.880] あ、
[00:22:06.799] アーリバラグラ。
[00:22:09.840] 懐かしい。
[00:22:13.520] アンリバラグラとか思い出した。
[00:22:17.960] 行ババーな。なんか猫もこいつから買うんだっけ?
[00:22:21.320] 猫もこいつから買うんだっけ?猫
[00:22:25.679] よいよい
[00:22:29.919] わかったわかったっかった。おす。
[00:22:32.000] 笑笑よ。
[00:22:35.080] え、最初さ、初心者ですか?はい。笑。これ多分ね、初心者って選んだらね、最初のね、この訓練所みたいのやんなきゃいけないんだよ。多分もう俺入れるけど。
[00:22:47.760] ポッケ村のテーマクとわ。ゆけさん、こんばんは。わかる。
[00:22:54.000] ポッケ村のテーマいいよな。村のいいよ。
[00:22:58.480] あれ?猫ってどうやって買うんだっけ?そう、なんかこのさ、この変なこのこの後ろのここに猫連れてるやついたよね。あれここだっけ?
[00:23:09.360] ここしかないでしょ。ま、いいや。とりあえず先に入ってるよ。いや、待って。集会所待ってま、この画面が夏いわ。ネットワーク接続。こ
[00:23:20.520] そうだね。そうだね。
[00:23:21.159] オンライン。
[00:23:21.799] そうで入る。
[00:23:22.799] お久しぶりです。こんばんは。
[00:23:24.279] お、レオル。こんばんは。
[00:23:25.720] こんばんは。今日はモンハンセカンドGを
[00:23:28.760] オッケー。
[00:23:29.480] うーん。懐かしい。
[00:23:33.440] ロード画面良すぎる。もう踏んで。
[00:23:35.520] いや、ロード画面も夏いよね。
[00:23:39.520] あら、
[00:23:40.000] ゲロな夏い。
[00:23:41.080] ゲロな。
[00:23:42.880] やばいよね。BGM。
[00:23:45.440] あれ、飯ってどうやってくんだっけ?
[00:23:48.679] 飯ってどうやってくんだっけ?今日の目標はね。あ、順来た。お、ジュ来た。
[00:23:54.799] どこ
[00:23:56.600] 喋ってる?今た。やば。
[00:24:01.600] あ、
[00:24:02.120] あの頃やな。
[00:24:05.120] やば。
[00:24:06.120] はい。
[00:24:08.120] 今日の目標はここの買クエストを買クエストクリアしたいよね。上位に行きたいよねっていう。うん。ところだな。
[00:24:17.880] はい。
[00:24:19.799] なるがクるが好きだった。
[00:24:22.000] 夏いなあ。
[00:24:24.840] アイテム何もねえな、
[00:24:26.679] これ。うわ、どすぎや。え、いきなりさあ、ドス番号とこ行けんのかね。
[00:24:33.919] マフモフってるな。フや。キクエ見てやる。
[00:24:38.039] いや、どうしよっか。キクエそうだな。キクエとか見ないとわかんないよ。覚えてないの?
[00:24:43.360] 覚えてない。全然分かるわけない。
[00:24:45.159] 覚えてないよ。ただなんとなく覚えてんのはこれ絶対キークなんだよ。
[00:24:49.240] 最縮です。大体
[00:24:50.559] このなんかあの魚流の肝。
[00:24:52.960] あ、
[00:24:53.440] これめっちゃめんどくさい。めくさい。
[00:24:55.760] 毎回やらされるやつな、これ。絶対これあれだよね。キクレだよね、これ。うん。
[00:24:59.840] 超めんどくさい。これ
[00:25:02.320] じん君早く倒して。これほんまだるい。
[00:25:05.120] ほんまだるいからな。どすギアドス。え、これさどうすちょ
[00:25:09.760] 1
[00:25:09.919] 回最初さ、最終クエストいいかない?あの
[00:25:12.320] ああ、そう。
[00:25:12.880] 素材ア。あの操作わかんねくね?
[00:25:15.120] いや、わかんねえ。もなんならこでも痛くなりそう。
[00:25:19.000] 分かる。
[00:25:19.520] このさ、モンハ持ち今更できねえよ。
[00:25:23.440] うん。
[00:25:24.000] はい。
[00:25:24.880] ちょっと素材クエスト行こうぜ。うわ、なんか夏。よし。
[00:25:32.640] で、俺が
[00:25:33.679] こ、ここ、ここじゃない。ここじゃない。クエストボード
[00:25:35.960] プスプットコントローラー増設できんの?
[00:25:38.600] これね、あの、外付けコントローラーできねえんだよ。猫タチケットって懐かしい。
[00:25:43.760] 夏。
[00:25:45.640] パスワードかけないと野良入ってくるぞ。
[00:25:48.360] ドラ入ってて入ってきてくれた方がいい。あれ飯ってどこ?どなんだっけ?自分地で食うんだっけ?飯って。
[00:25:55.159] あ、こいや食えたはずだけど。あ、これ椅子に座るじゃない。食えたし。
[00:26:02.080] あで立ち上がる。
[00:26:07.480] 当たり前体操だからね、今。
[00:26:10.640] 笑笑。
[00:26:11.440] で立ち上がる。
[00:26:14.640] あ、なんかこんなあったな。こんなの
[00:26:16.559] あった。あった、あった。
[00:26:17.240] でも意味ないよね、これ。別にね。
[00:26:18.640] 意味ない。待ってる時になんか
[00:26:20.679] でやってると知らんやつ入ってくるんよな。注文するんだっけ?
[00:26:25.159] え、
[00:26:25.520] 完全に忘れてる。笑。
[00:26:27.880] 立ったり座ったりしろ。
[00:26:30.080] どうやって飯食んだっけな?全然覚えてないんだけど。ま、いいや、とりあえずいや。飯とりあえずあれだよ。大丈夫。最初いらないから。あ、ごめん。あ、
[00:26:37.480] 1人た。
[00:26:38.559] お前なんで行くんだよ。
[00:26:41.159] やり方そうか。そうか。仲間があれやんなきゃいけねえんか。準備完了みたいな。
[00:26:45.919] 笑。
[00:26:46.240] そうティならない。
[00:26:47.559] ごめん、ごめん、ごめん、ごめん、ごめん、ごめん、ごめん、ごめん。した。違う、ちっちゃ。消え、
[00:26:54.120] こっち消えたと思っ
[00:26:56.080] なるほど。全あるあるやってく流れ。はい。
[00:26:58.600] 覚え覚えてないよ。ちょっとこれ貼っといてクエスト。
[00:27:03.080] あ、オなんでな、何でもいいね。
[00:27:05.679] んでもいい。最初はで
[00:27:07.799] ちょっと操作がもうさ、思いつかないもんね。
[00:27:11.640] いや、このロード画面がなちた。すんません。
[00:27:20.039] 初クエストは置いていきたいや。
[00:27:24.159] これなんかリタイアとかするとさ。うん。ビルドカードにさ、なんか書かれんじゃなかったっけ?ほら俺の花ば話しいあれがリタイアってこ最悪やで。これ最初クソはずいや。
[00:27:40.039] 素材ツアーりたいや。
[00:27:41.720] 素材アーりたい当て
[00:27:43.240] 体力なかっすぎだろ。早く。
[00:27:46.760] しかも2011年
[00:27:48.679] なんか日付ってる。バグ。はいはいはい。あ、
[00:27:58.039] チリンしてチリン。
[00:27:58.919] はいはい。これなったな。
[00:28:01.640] 何回もチリンチンにするやついたよね。早くし、
[00:28:04.080] 早てね。
[00:28:04.840] そう、そう、そう、そう。
[00:28:07.640] 貼ってワードが夏すぎる。
[00:28:10.279] 貼ってはって。
[00:28:11.159] 確かに懐かしいよね。
[00:28:16.000] 行きますか。ちょっと待てよ。おい。や、お前これ素材ツアーじゃないやん。
[00:28:22.960] え、何これ?
[00:28:24.720] は?
[00:28:27.200] いや、素材ツアーじゃないや。何?特産
[00:28:29.640] 20個ってめんどくせえ。
[00:28:31.080] え、素材ツアーじゃん。
[00:28:32.080] 素材ーじゃねえだろうよ、これ。
[00:28:33.600] え、キノコ素材だべ。
[00:28:35.200] 笑笑。もうな。
[00:28:36.679] ほん
[00:28:37.360] なんで俺より詳しいはず。モンハン詳しいはずのおめが俺より分かってないんだ。
[00:28:41.640] グッダグだ。
[00:28:43.120] かだ。大事なんとかなし。行こ行こ。
[00:28:48.480] 素材アーの課題解釈。
[00:28:50.200] これカメラって。
[00:28:52.799] あ、こ、あ、そう。
[00:28:54.880] いや、やりづら。
[00:28:56.120] やりづら。あ、そ、やばい。
[00:28:59.279] やりづら。人差し指でやんなきゃいけないんだ、これ。
[00:29:03.200] 親指で移動しながら人差し指でよしこ
[00:29:08.600] 右スティックなんかないから
[00:29:10.240] 右スティックなんかないからね
[00:29:12.320] てん
[00:29:12.720] うわずれえ画面見づらかったっけ
[00:29:18.440] 待って待って
[00:29:20.799] しかもキノコってどこにある
[00:29:21.960] わかんない
[00:29:24.320] キノコってどこにあんの
[00:29:25.360] キノコっぽいやつがあんじゃない
[00:29:28.159] あてるんだあれ
[00:29:30.679] 待って俺まずいっすわ
[00:29:32.600] この時代あれかピッケルとか自動じゃねえんか?
[00:29:35.080] 自動じゃないよ。全部ト位石もピッケル
[00:29:38.080] 投石もなくなる。
[00:29:39.080] うわ、持ってこなきゃいけないんだ。え、帰ろうかな。りたいやつか。
[00:29:44.080] だってだってこれだってさ。
[00:29:46.519] だキノコ集めるだけっしょ。そうだけど。
[00:29:51.559] 20
[00:29:51.880] 個って結構あるぞ。なんかすっげえ画面見ずれえな。
[00:29:57.559] すげえ見づれ。
[00:30:00.480] しょうがないよね。
[00:30:01.080] こういう、こういう時代だ。こ
[00:30:03.360] れでよくやってたね。
[00:30:04.360] 時代だもんね。こういうあれキノコねえじゃん。
[00:30:10.799] マジで。これカメラみ、
[00:30:13.519] カメラが自由にさ、変えらんないんだ。高さが
[00:30:16.159] 動いてくれない。よし。
[00:30:18.960] 夏か。
[00:30:21.320] 2
[00:30:21.480] 人で10個。
[00:30:22.799] そうだね。オ、
[00:30:23.679] あの、あれだよな。あの、今のモンハンってこういう最初も
[00:30:27.159] 1発だよね。1
[00:30:28.000] 発。1発。1個1個やんねえよな。SE
[00:30:30.919] いいね。
[00:30:31.760] SE、SESE
[00:30:32.760] いいね。ドゥデルドデン丸レンだね。懐かしい。ま、ここやるか。
[00:30:40.720] うん。後ち
[00:30:41.360] いやいやいやいや。
[00:30:44.600] え、何?
[00:30:46.600] ダメージでか。そした。
[00:30:50.960] あ、やったのね。
[00:30:51.600] あ、よしよし。あ、
[00:30:53.000] 痛い痛い。来た。
[00:30:55.440] よしよしよしよし。
[00:30:56.519] 一応解いとこう。
[00:30:57.279] 一応な。ざザ味そ。
[00:31:01.240] ふ
[00:31:03.440] ざみそ。あ、こっち行けるじゃん。これなんかたまにしか行けなくない。こっちなんか塩がさ。
[00:31:09.600] ああ、オりそうだけど。
[00:31:14.080] ありそうだけどね。
[00:31:16.440] いって。
[00:31:17.279] え、
[00:31:17.799] ざザ。
[00:31:18.320] あ、ざいるんだ。こいつの防具とか強かった気あるけどな。
[00:31:23.399] ガンが強かったんじゃないかな。多分なんか。
[00:31:27.120] あ、ナイス。
[00:31:27.679] あれ?なんかさ、コンボが違う。
[00:31:29.320] 今と
[00:31:30.240] は
[00:31:30.799] 痛い。ダメ
[00:31:32.559] 尖じゃない。
[00:31:34.559] え、
[00:31:35.559] じゃ生に攻撃されると邪魔ってなん?
[00:31:42.720] いや、この荒いなあ、機能。
[00:31:46.000] いや、キノコわからん。
[00:31:47.679] わかんないね。これキノコか?これ違うな。なくね?
[00:31:53.960] あったったったったあったよ。あったよ。
[00:31:57.200] あこ。
[00:31:57.720] うん。
[00:31:58.919] 赤いやつだ。赤いやつ。
[00:32:01.760] これさ、なんかさ、しゃがみながらやると早いしてる?
[00:32:05.519] え、知らねえ。
[00:32:07.279] あの、立ち上がるスピードがしゃがんでると。
[00:32:10.360] そう、そう、そう、そう、そう、そう、そう。
[00:32:14.480] あ、ね。あ、いや、これね、やべえな。
[00:32:26.279] いや、なんかハンマーんなにこっからさ、ために移行できねえんだ。
[00:32:30.399] 初クエ地味すぎんか?
[00:32:31.880] うん。地味だね。初ク立ち上がり地味すぎん?
[00:32:39.519] 10個だ。ごめんな。10
[00:32:40.559] 個にしちゃった。10
[00:32:42.000] 個違う。20個。20
[00:32:43.559] 個だからね。今何個持ってる?
[00:32:45.240] え?お、
[00:32:46.720] キノコ取りて
[00:32:47.600] 間違った。えっと、
[00:32:49.279] キノコり特産キノコ
[00:32:51.799] 6
[00:32:53.679] スタートだ。
[00:32:59.720] あける。
