[00:00:17.800] 来た。
[00:06:57.039] CD知らない世代来た。ついに
[00:07:00.080] CD
[00:07:00.840] 知らない世代来た。でも俺の後輩、俺の後輩
[00:07:03.400] CD
[00:07:03.800] 買ったことないって言ってたわ。お前初めて買った
[00:07:05.754] [笑い]
[00:07:08.080] CDはって聞いたらさ。
[00:07:10.080] はシ買ったことないす。もうそういう時代なんだな。もうそういう時代なんかな。悲しいよ、俺は。ちなみに俺が
[00:07:11.649] [笑い]
[00:07:18.520] って何?
[00:07:19.160] 俺が1番最初にCD買った。俺が1
[00:07:21.360] 番最初に
[00:07:22.520] CD買ったゲームはゲームじゃない。
[00:07:24.560] 1番最初にCD
[00:07:25.440] 買ったのはアジアンカフジェネレーションでした。アジアンカフジェネレーションの鬼密つナぎ
[00:07:31.919] 5Mっていうあのアルバムを
[00:07:34.240] 500
[00:07:34.599] 円で買いました。小学校の時に。懐かしいですね。懐かしいですね。
[00:07:35.885] [笑い]
[00:07:39.479] 一緒や。
[00:07:40.319] え、嘘でしょ?そんなことある?嘘だ。絶対嘘でしょ。そんなことでしょ。ということで、そういう
[00:07:44.319] CD
[00:07:44.720] のゲームをですね、い、あの、パソコンにインストールして、もうそれ以降はパソコンの中だけで集めますよというなんとも素晴らしいゲームなんですよ。なんとも素晴らしいゲーム機と言いますか、なんと言いますか、あ、だ、こうだ、パソコンなんだ。町の軍場のやつ。じゃ、めっちゃいいや。嘘でしょ?本当?え、それは嘘でしょ?は
[00:08:03.720] CD
[00:08:04.039] 世代でしょ。ということで、要はどういうことができるかと言いますと、ま、なんでもいいや。
[00:08:07.960] こういうようなCD
[00:08:09.120] のゲームありますよね。
[00:08:10.759] CD
[00:08:11.080] のゲームありますよね。こういうプレステプレステのプレプレステだのえ、なんかセカサタンだのこういうのが
[00:08:19.360] インストールしてインストールして以降は、え、パソコンの中だけで遊ぶことができるという。これ素晴らしいんですよ。何が素晴らしいって。あの実機をも僕もちろん全実機全部後ろにありますけど、わざわざ用意しなくても配信ができるという。これ素晴らしい画期的です。これ最高です。
[00:08:35.880] これ俺がいっつも新しいゲームやるぞつっ
[00:08:39.360] て10時からやるぞつって10時半とかに
[00:08:41.680] なるじゃん。それなんでかって言うと、ま
[00:08:44.440] 、単純に俺がタバコ吸ってたりお風呂入ん
[00:08:46.600] のが遅かったりもあるんですけどもうあと
[00:08:48.640] 半分ぐらいの理由はね実機をねわざわざ
[00:08:50.959] ここに準備して配線繋げ直すとかま、ま、
[00:08:54.440] タ打だなんだけど[笑い]
[00:08:56.399] それがめちゃ時間かかるとこれがいらなく
[00:08:58.839] なるわけですよ。素晴らしいですね。
[00:09:00.880] 素晴らしいですね。最高でございます。
[00:09:03.079] 最高でございますね。
[00:09:04.760] あの、ま、あの、すいません。あの、W
[00:09:06.240] やゲームキューブはできません。W
[00:09:07.800] やゲームキューブ、プレステ2
[00:09:09.079] なんかはできません。
[00:09:11.320] いや、マジでそれな、マジでそれ時間も短くなりますから。まあ、最高でございますわな。最高でございますわな。ということでやっていきたいんだが。やっていきたいんだが、もう誕生日もうやめたい。もう終わりだよって言ったさ中。誕生日も誕生日もう終わりよって言ったさ中。
[00:09:28.440] 高いんでしょう。
[00:09:29.240] 高い。4万ちょい。高いっす。[笑い]
[00:09:31.560] 4万ちょいしました。4万ちょいでも
[00:09:33.519] しょうがないね。誕生日プレゼント自分へ
[00:09:35.680] の誕生日プレゼントだと思って4万ちょい
[00:09:37.880] しましたけどまあまあまあまあまあ
[00:09:39.640] まあまあちょっとスイtチch2にかける
[00:09:41.160] ぐらいの値段しましたけどもまあまあまあ
[00:09:43.040] まあまあいいじゃないですかまあいいじゃ
[00:09:44.519] ないでしょうか。うんね。まああっても
[00:09:46.120] いいでしょう。ということで誕生日終わっ
[00:09:48.279] たよって言ったんですけど、なんとですね
[00:09:49.959] 、なんとですね、誕生日の前回森のさ、
[00:09:55.959] 誕生日動画見たじゃないですか。誕生日
[00:09:58.560] 動画見たじゃないですか?誕生日動画が
[00:10:01.880] もう1本届きまして。[笑い]
[00:10:04.640] え、なん誕生日スペシャル?
[00:10:06.720] 誕生日スペシャル
[00:10:08.560] な。今日今日も1本1本見たいなと。
[00:10:12.920] 今日も1
[00:10:13.560] 本見てもいいのかなという感じなんすよ。今日も
[00:10:18.120] 1
[00:10:18.320] 本見ようかなという感じですね。なんと誕生日動画もう
[00:10:22.600] 1
[00:10:22.680] 本もいただきました。え、みーちゃんから、
[00:10:25.079] え、みーちゃんからです。え、右みちゃん。み君みーちゃんから、え、誕生日、え、動画だきました。ていうか誕生日動画っていうよりはこっちみーちゃんのやつは
[00:10:36.600] Twitch俺今年というかこの6月で
[00:10:39.160] Twitch始めて5周年だね。
[00:10:40.959] 意外とそっちもそっちも意外と節めで
[00:10:43.600] Twitch5周年なのね。で、5
[00:10:45.680] 周年の動画というか本当に俺の
[00:10:47.560] 1
[00:10:47.680] 番最初の動画から全て全てあのぶち込んである
[00:10:52.040] 3
[00:10:52.240] 分ぐらいの動画なんですけどやみーちゃんあのねもすごかったけどあの森もすごかったんだけどみーちゃん何が素晴らしいでちゃんと許可取りしてきました。あのどうしても他の配信者が映っちゃったりとかしたらしいんですけどちゃんと許可取ってあります。
[00:11:01.557] [笑い]
[00:11:07.240] ちゃんと許可取ってきましたって言ってた。なのでこれは
[00:11:09.320] Twitterに流せますから。
[00:11:11.382] [笑い]
[00:11:12.200] これはTwitter
[00:11:13.000] に流せるんだよな。ということで、ということで、せっかくなんで見ましょう。光の動画と闇の動画
[00:11:20.552] [笑い]1回見よっか。1
[00:11:21.920] 回見ようか。これもなかなかすごいっすよ。これもなかなかすごいんで
[00:11:24.959] 1回見ていいすか?1
[00:11:26.240] 回見ていいっすか?うん。ちょっと、ま、今日また最後にもう
[00:11:29.000] 1
[00:11:29.079] 回見ようかなと思うけど、せっかく作ってくれたんで、ちょっと
[00:11:30.920] 1回見ましょう。ちょ、3分結構長い。3
[00:11:32.800] 分。やっぱ俺の、俺の5年分ぐらいの5年
[00:11:36.160] のTwitchの配信全てが入ってますん
[00:11:38.519] で。いや、これもすごいよ、本当に。と
[00:11:41.040] いうことで、あの、行きましょうか。行き
[00:11:43.920] ましょうか。ま、森みたいにネタがすご
[00:11:45.639] いっていうよりは、もう本当に全素材と
[00:11:47.800] いうか、ま、なのでちょっと3分ぐらい
[00:11:49.360] あるんですけど、ちょっと見ましょうや。
[00:11:50.360] 見ません。これミーちゃんの誕生日動画と
[00:11:52.360] いうか、5周年動画ありがとうございます
[00:11:53.880] 。ということでこちらです。ドン。
[00:11:56.720] 音でかい。
[00:12:03.160] その眩しい笑顔にブらそう。
[00:12:12.200] 音どんくらい?
[00:12:18.839] いや、これすごいよ。
[00:12:22.639] こんなんだけど。もうやばくない?これ何年前だよこれ。
[00:12:24.743] [笑い]
[00:12:30.440] すごいよ、
[00:12:32.000] これ。しかも見て。これ配信全部だからね、これ。俺の今までの
[00:12:40.360] す。あさんお疲れちゃん。さん、こんばんは。サブスありがとう。ちゃんからいいた年記念動画見ています。
[00:12:46.358] [笑い]
[00:12:56.000] すごい。これ本にパチパチパチパチパチパチ。全部の俺の配信だよ。
[00:13:08.760] いや、すげえ。マジで
[00:13:11.320] 愛を感じる
[00:13:13.560] れる。な
[00:13:17.120] んで持ってるの?
[00:13:18.519] 本当だよね。なんで持ってんのってのもある。
[00:13:20.760] 多分俺のありさん、こんばんは。すごいよ、これ。
[00:13:21.729] [笑い]
[00:13:27.624] [音楽]
[00:13:30.199] うわ、
[00:13:33.040] また娘育てたいね。
[00:13:34.560] ねえ、今出だね、娘ね。インストールしようぜ。プリンセスメーカー。あ、ちなみにあのハリボテだけはコンタクトが取れなかったで無断しよね。そしてるハードそう。
[00:13:47.360] こう見ると今痩せて見えるの気のせい
[00:13:49.800] だから痩せたんだって
[00:13:53.680] ご愛嬌
[00:13:54.759] まそれはご
[00:13:55.639] 仕方ないになし
[00:14:00.560] いや生きてるんだろうけどま生きてるんだろうけど
[00:14:05.199] パチパチパチパチパチパチ
[00:14:08.000] いやすいよこれ
[00:14:09.720] 新しい娘育てるやつあるよ女にられてるで配信してる
[00:14:15.439] [笑い]
[00:14:16.800] 聞いてその後追いかけてないな。え、
[00:14:22.360] あ、チまンチアニメだ
[00:14:24.959] わ。懐かしい。今のやつ。今のなんだっけ?あのアストロニンジャマンドラックスね。懐かしい。
[00:14:32.320] アストロニンジャマンデラックス。あ、プリズメ。筋事件。
[00:14:38.240] この辺から見覚えあるよな。
[00:14:40.959] やば
[00:14:42.759] やばい。
[00:14:50.000] あ、ジャムあった。ジャム、ジャムアった。今
[00:14:55.040] ジムあった。
[00:14:56.705] [笑い]
[00:14:59.839] 懐かしいな。
[00:15:06.560] いつもあったね。今ねよ、お前。
[00:15:11.115] [音楽]
[00:15:17.240] うわ、すげえ。素晴らしい。
[00:15:21.595] [拍手]
[00:15:25.240] ま、まならおやすみ。ありがとう。
[00:15:27.199] 31歳のチャバゲームもよろしく。
[00:15:28.959] パチパチパチパチパチパチパチ。
[00:15:31.920] 他配信も入ってるじゃん。すげえな。
[00:15:34.639] いや、これは素晴らしいですね。パパチパチ。
[00:15:39.199] 素晴らしいね。
[00:15:40.720] パチパチパチパチ。村かパチパチパチ。
[00:15:43.210] [拍手]
[00:15:44.040] これ当面俺のエンディングでもいいよな。これエンディングでもよくない?
[00:15:48.319] 3分あるけど。神
[00:15:50.519] 分あるけど。
[00:15:52.240] 3
[00:15:52.480] 分あるけど。当面俺のエンディングにしようか。これ
[00:15:56.880] エンドロールっぽいし。もちゃん同一人物説って。
[00:16:01.160] いや、さすがにないないない。さすがにない。
[00:16:01.550] [笑い]
[00:16:03.839] 怖すぎ。それ、それ怖すぎ。
[00:16:07.120] いや、素晴らしい。あみーちゃん、こんばんは。ありがとう。素晴らしい。素晴らしいよ。
[00:16:10.721] [拍手]
[00:16:12.600] て、こっちを江戸にしよう。[大歓声]
[00:16:14.000] 素晴らしいよ。素晴らしいでした。
[00:16:17.040] 森ーちゃんエ戸で行くべ。
[00:16:19.120] 森にはできま確かにすごいけど。あれもあれもすごいけど。いや、すごかった。ありがとね。ありがとうね、みーちゃんね。すげえわ。ちょっとこれまたちょっと最後みんな人集まってから見ましょうや。
[00:16:21.201] [笑い]
[00:16:32.279] まあ、これ以上集まるか分かりませんけども。いや、素晴らしい動画ありがとうございました。いや、いいね。ちょっとさ、みーちゃんとマジでミーちゃんと森ゆは俺のさ、俺のもう切り抜きエンジニアとして生きていく気はないか?
[00:16:47.401] [笑い]
[00:16:48.440] 俺の切り抜きエンジニアとして。俺の切り抜きエンジニアとして生きてく気はないか?まあ、いいや。そんなことはまあまあ置いといて。
[00:16:54.240] さすがによしとさせてください。
[00:16:55.720] さすがによしです。さすがによしとさせてください。さすがにエッチ。ありがとうございます。
[00:16:59.639] 動画はみちゃんで小説派も
[00:17:01.480] 小説はいいって。
[00:17:03.440] 小説はマジでいい。小説はマジでいい。小説はマジでいらない。ということでだね、今日はそんな素晴らしい動画を見ながら、え、こちらでございますよ。また出しますけどもダンとダダダダダダダンダンダンダンダンダンということで、え、ポリメガリミックス大自慢配信でございます。おめでとうございます。やだやな。
[00:17:25.391] [拍手]
[00:17:26.000] なんだっけ?
[00:17:26.760] やた。
[00:17:28.400] え、だからこれあれだって言ってんじゃん。だ言ってんじゃん。これでこれ
[00:17:31.960] 1台で
[00:17:33.520] これ1
[00:17:34.039] 台でファミえ全部できるよってやつです。ディスクのゲームがほとんど全部できますよっていうやつでございます。もう早速開けていい?開けていい?もうインスコしたいゲームあんねん、今日。
[00:17:41.767] [笑い]
[00:17:51.480] 正直ピンと着てる方が好き。
[00:17:53.760] 今日インスコしたいゲーム。
[00:17:56.280] これだけでどんだけエロゲーできるの?終わらないインストールできるは
[00:18:02.559] こんなもん全部インスコしちゃうんだからこアズまさんコムこんばんは。あズまさやっぱねさんぐらいすわ。これのすさが分かってんのは行くよ。今日は行くよ。インスコどんくらい時間かかるんだろ?ゲーム警部とウはできないって言ってたろ。もうしつこいな。できないって言ってるよ。行くよ。来るよ。師匠です。
[00:18:21.200] いるの?
[00:18:21.520] え、結局容量っていうかこれはパソコンに紐づくんで、パソコンの中にインストールされるんで。パソコンの容量ですね。パソコンの容量。ま、レトロゲーだからそんなに読み込み早くなくてもいいから俺
[00:18:30.720] Dドライブに普通に入れて。
[00:18:32.520] D
[00:18:32.720] ドラライブ俺多分なんな何テラあるか忘れちゃったけど、多分
[00:18:35.200] Dドラ無限に入れれるから、もう
[00:18:36.919] Dドラに全部入れてく。
[00:18:38.480] D
[00:18:38.640] ドラ入れてく。あ、米国さんもこんばんは。米国さんもこんばんは。今日はこいつでございますよ。今日はこいつをやっていく。ポリメガリミックスありがとうございます。
[00:18:47.400] 4万円ぐらいしました。4万注意した。5
[00:18:49.440] 万弱しましたけども。
[00:18:50.880] ちょっとさ、俺さ、これさ、わかんないんだけど俺、あの、
[00:18:53.760] 今から開封じゃん。
[00:18:55.039] 今から開封だよ。そうだよ。
[00:18:56.159] あとはインスコしてもスタートできないゲームあるから違う。
[00:18:59.440] なんかよね。なんかまださ、アプリがさ、ポリメガアップっていうポリメガのアプリをあの、パソコンで立ち上げてこいつを使うんだけど、そのアプリがなんかまだ未完成らしくて、ちょっともう開けるわ。開けますよ。開けますけども、ちょっとね、動作があんまり安定してないのもあるらしいんだよね。ま、その辺も含めて見ていきましょうか。さあ、あげます。
[00:19:17.039] いいすか?いな、なんか
[00:19:21.240] まず開けたらこんなギチギチやん。
[00:19:25.520] ギチギチやで。よいしょ。よいしょ。
[00:19:29.679] おそらくこれはなんか周辺というか多分
[00:19:32.960] 充電器とかあん
[00:19:38.480] な。ちょっと酸っぱ酸っぱ臭いっすね。
[00:19:41.633] [笑い]
[00:19:42.280] ちょっと酸っぱ臭い。ランパーとして。
[00:19:44.720] これアメリカの空気か、これ。
[00:19:46.640] の出来気になっている。酸っぱ臭い。
[00:19:49.400] そうな。うん。な、ちょっとね、アメリカの匂いするわ。誰かの脇かな?マジでダンボールの匂いのどうにかして欲しい。笑。
[00:19:57.320] ちょっとアメリカの匂いしますね。
[00:19:58.640] テクサスの匂い。
[00:19:59.440] テキサスの匂いするわ。はい、行くぞ。はい、
[00:20:01.080] 321
[00:20:02.159] ブあ、まだわかんないでかい重い。これしか入ってません。もう箱はいらない。箱っぽい。はい。箱いらない。箱もいらない。これもいいらない。ほい。よいしょ。
[00:20:03.248] [笑い]
[00:20:16.039] はい。いいの?ちょっと見ちゃって、見
[00:20:20.120] ちゃっていいのか?うわあ。お、行くで、
[00:20:25.760] 行くで、行くで行く。デュエ。
[00:20:31.159] はあ、行きます。これが
[00:20:33.720] ポリメガリミックス刮目せよ
[00:20:35.880] 。
[00:20:36.480] 海外ダンボールほんま牧場の匂いする後での想像したらバうほかっこいいかっこいいかっこよすぎだろ見て出ましでかてかでかめっちゃでけえポリメガです。これが
[00:20:43.204] [うめき声]
[00:21:00.400] こんばんは。
[00:21:01.240] これがポリメガです。のんみるさんこんばんは。
[00:21:03.840] デカ弁箱とポリメが開封しました。匂い。これが霊の。
[00:21:11.720] あ、ああ。なんかこの通気の匂いすっごいなんか甘い匂いする。これ通気粉の中めっちゃ甘い匂いするんだけど。めっちゃ鼻のもうめちゃくちゃ鼻の油ついた。めっちゃ鼻の油ついた。汚ね。
[00:21:19.229] [笑い]
[00:21:30.520] めちゃめちゃ鼻の油ついたわ。
[00:21:32.880] 笑笑ね。
[00:21:34.120] 笑笑。ばっち。
[00:21:35.679] え、もうさ、
[00:21:36.520] そんなレビュー初めてみた。
[00:21:38.080] もうさ、
[00:21:38.799] 笑笑。もうこ、こういうの、こういうの俺でいい匂いする。
[00:21:43.080] こういうのをもう躊躇しないんで、俺躊躇しない。あの、携帯とかの、携帯とかのあのなんか最初のやつもうバリバリ剥がすタイプなんで、もう今度躊躇ないから。
[00:21:53.039] 行ったれや。
[00:21:53.760] 躊躇ない。はい。おら。ほ。うほ。やべえ。
[00:21:59.185] [笑い]
[00:22:00.200] これはもうレトロゲーマーの夢だったわけ、これ。素晴らしいぞ、これ。
[00:22:07.000] いや、え、待って。なんかめっちゃ傷ついてね。なんかね、なんか、なんか、
[00:22:12.919] え、な、待って。なんか、
[00:22:14.600] あ、そんなことない。あ、そんなことないか。なんか一なん傷、なんか今日傷つい傷つい。はるさんこんばんは。ペル、こんばんは。こんばんは。言ってない人いる?すべ、
[00:22:23.159] 返品すべ。まあ、いいや。まあ、まあ、ま、そんなのはまあま、ご愛強ですわな。え、思ったより軽い。
[00:22:28.960] 思ったより軽いよ。めっちゃかっこよく
[00:22:31.840] ない?めっちゃかっこよくない。ここ
[00:22:33.880] ディスク入れるわけだ。ここにディスクを
[00:22:35.640] 入れるわけだ。ほ、てかなんか説明書
[00:22:38.360] みたいの何もないんだけど大丈夫なのかな
[00:22:39.720] ?で、こちらなんかこれも開けてみるわ。
[00:22:45.480] すっげえいいな。へさん入ってる。
[00:22:50.080] ペライチペラチやっぱ
[00:22:51.760] これ、これのことだよね。多分これが
[00:22:53.679] 説明所だよね、多分。これ、これだよね。
[00:22:55.960] これさ、なんか箱の外に入ってたんだよね
[00:22:57.679] 。これや。
[00:22:58.679] 箱の外に入ってた。これ多分周辺機き機ね、これ。多分、これが多分本体とパソコンをつぐ普通の
[00:23:12.919] USBプCのケーブルなんだと思う。
[00:23:15.440] コントローラーか。味
[00:23:17.840] コントローラーさ、俺さ、Amazon
[00:23:19.240] で頼んだのにまだ発送されねえんだよ。あのポリメガ専用の。だから普通にあの
[00:23:23.520] USB
[00:23:23.919] コントローラー使うわ、普通に。あの、普通にこれ使う。使えるみたいだから。うん。普通にこれ使う。
[00:23:28.440] 最初はね、ポリメガの専用じゃないんだけど。ほんでこれが電源ケーブルやな。電源ケーブル。
[00:23:37.159] 調子悪いなって思った時は
[00:23:39.200] USB
[00:23:39.760] ケーブルをちゃんとしたやつにしてみませう。
[00:23:42.400] そうなんでなんか国の国のコンセントが入ってるわ。国のコンセントが。これ日本ジャパニーズね。インドこれだったわ。インドこれだったわ。
[00:23:57.039] 去年行った時のインドだった。うん。インド対応ける変えるだけで動作変わることあるからのは純正に限るインドも行けるとは。インドも行けますと。で、どうつけんの?これの俺わかんないけど。マステやね。
[00:24:13.919] どうやってつけるんですか?これ。え?あ、ついた、ついた、ついた。いやー。
[00:24:21.880] 出張でもレトロゲーできますと。
[00:24:23.919] いや、これ、あの、別にね、これ、あの、
[00:24:25.679] しかもこれが何が素晴らしいって、これ、
[00:24:28.799] ま、要はパソコンにインストールするわけ
[00:24:31.039] よ、これをね。で、パソコンに
[00:24:32.480] インストールす、ポリメガアップの中に
[00:24:33.919] インストールするじゃん。ま、まだ今後
[00:24:35.760] 対応予定なんだけど、あの、
[00:24:37.720] ポリメガアップがあの、なんつうの、
[00:24:40.080] AndroidとかISO、あの、になっ
[00:24:42.679] て、あの、クラウドで外出先でこれででき
[00:24:46.279] たりするらしい。
[00:24:47.360] 外出先で家でインストールしたゲームをクラウド共有してすごくない?それめちゃすごくない?
[00:24:53.760] Android
[00:24:54.159] とかだからマジで本当に海外でも
[00:24:56.960] マジマジマジこれすごいよね。
[00:24:59.520] 楽しみ
[00:25:00.240] 楽しみすぎる。マジでこれからに来たん
[00:25:02.320] か?
[00:25:03.320] うん。どうなんでしょうか?まあでもレトロゲやからね。
[00:25:05.679] フライみたいな感じか。おすすご
[00:25:08.440] すごいよね。
[00:25:09.360] ということで、はい、出ましたけども、こちら出ましたけども、え、じゃあもう早速接続していっていいか?早速接続、早速接続の義を、早速接続の義をやらせてもらっていいか?
[00:25:23.039] 外でも娘ができますか?
[00:25:24.760] そういうことです。どこでも育児ができると。そういうことですな。あの、児のゲームを今日ちょっとインストールしますからね。
[00:25:31.559] 本体は起動しっぱなし。なんかし、
[00:25:33.760] こちらもこちらも。いや、そんなことないよ。クライドアモンだって。
[00:25:36.919] これはインストールに使うだけであって、
[00:25:39.640] あのこれインストールしたらもこれいら
[00:25:40.919] ないんすよ。ま、あとはパソコンだけど
[00:25:42.200] ボリメがアップだけで起動できるんで、要
[00:25:43.960] はな、何て言ったらいいんだろうね。な、
[00:25:46.200] 何て言ったらいいんだろう。ポリメがうん
[00:25:47.559] 。まあまあまあ、ちょ、こんなのも今日
[00:25:49.320] ちょっとまだbanされそうだから
[00:25:50.799] やめよう。banされそう。1回banさ
[00:25:52.320] れてるからな。じゃあ
[00:25:55.480] さてさてコンセントがないんだ。使って
[00:25:59.919] ないコンセントが
[00:26:03.200] ビークみたいな仕組み
[00:26:04.799] あんまりないんです。
[00:26:07.760] 鼻にさしちゃえ。
[00:26:09.360] 鼻にさして電源供給しとくか。ちょっと待って。ちょっと待ってね。ちょっと待って。ちょっと待って。
[00:26:19.200] 本体なくてもパソコン単体で取り込めるバグ出てますもんね。
[00:26:23.440] ま、でもそれはね、それは、それはもう治ったらしいよ。それはもう治ったらしいよ。
[00:26:25.773] [笑い]
[00:26:30.960] 待って。なんかね、とりあえずパワーこうやん。パワーこうやん。
[00:26:35.039] これちょっとさ、俺さ、あの、あのコンセント用意すんの忘れてた。コンセントないんだよな。もういっぱいいっぱいでどれ抜けばいいんだよ。
[00:26:36.908] [笑い]
[00:26:44.768] [音楽]
[00:26:45.000] 笑笑
[00:26:49.360] いや、待って。どれ抜けばいいんだ?
[00:26:52.480] 返騒ぎになって解決したね。あれ、これ抜くべ。
[00:26:56.960] あれ、これ抜いちゃ。ちょ、ちょっとごめん。ちょっと待ってね。ちょっと普通にあのタコ足持ってくるわ。
[00:27:02.919] タコ足持ってくるというか、ここのやつ
[00:27:05.919] 使えねえかな。ちょっと待ってくださいね
[00:27:07.600] 。
[00:27:15.240] 何の何のやつ?やん
[00:27:21.480] わかんねえけど抜いちゃった。なんか
[00:27:23.240] わかんねえけど抜いちゃったな。ま、いい
[00:27:24.559] か。
[00:27:26.679] よいしょ。
[00:27:29.600] なんかわかんないけど。あしさん、
[00:27:31.640] こんばんは。
[00:27:32.760] なんかわかんないけど、なんか抜いてかっぱらってきた。さあ、こいつを
[00:27:36.720] なんか抜いちゃいました。
[00:27:38.320] アグリムなんか抜いたけど大丈夫?なんか抜いたけど大丈夫?そう。
[00:27:41.754] [笑い]
[00:27:44.320] あ、
[00:27:45.320] え、なんか抜いた。なんかダメだった。お隣さんのブレーカーも。
[00:28:01.240] これが後にとんでもないことを引き起こすとは。囚人さんさんが
[00:28:05.880] 5ドルでサブスクしました。です。
[00:28:10.080] ちゃま幸せか。ちゃまもう
[00:28:12.440] ありがとう。ジさんありがとう。こんばんは。幸せです。どうも幸せの男。ちょっと待ってね。ちょっと待ってね。ちょっと待ってね。今ちょっとコンセント大揉め。
[00:28:13.849] [叫び声]
[00:28:22.364] [笑い]
[00:28:28.720] ちょっと待て。
[00:28:29.519] コンセント大。
[00:28:31.880] 田中シングル。
[00:28:33.519] おい、これコンセント大だよ。これどうすんの?これか
[00:28:42.120] とマ。これでいいか?ま、鳥マこれでいきますわ。ちょっとこれコンセントが使うのか?ま、使うよな、それはな。はい。コンセント刺さりました。
[00:28:58.519] お待たせ。コンテン刺さったよ。コンセント刺さった。ほんでこれを何パソコンにつぐの?パソコンにつくの?ごめんね。ちょっと絵的に何も映ってなくて。何も映ってなくてごめん。
[00:29:12.799] なんかね、アプリ起動したんだけど、なんかうまく起動しなかったんだけど、これ繋げばあれなのかな?
[00:29:17.919] 9
[00:29:19.120] 繋げば繋げば。あ、ハお疲れちゃん。
[00:29:22.080] 8おお疲れ。これを今日はやっていくよ。
[00:29:29.399] 繋ぎました。繋ぎましたが繋ぎたらどう
[00:29:32.799] すんの?繋いで起動ボタンとかあるの?
[00:29:35.519] これ起動させるのか?
[00:29:38.360] ああ、
[00:29:42.120] 光った。光った。ロゴが光りました。で、
[00:29:46.760] 見た感じのポリメガと同じ
[00:29:49.159] いや、同じじゃないよ。さん、あの、見た
[00:29:51.760] 目は一緒だけど見た目は一緒だけど、機能
[00:29:53.760] は全然違う。スタンドアロンで動かないん
[00:29:55.640] だよね。
[00:29:55.960] パソコン使うの?パソコン使う。今、あの、うん。なんよね。で、アプリ起動しますの。アプリ起動します。
[00:30:05.960] 3m
[00:30:06.640] の高さから落としても壊れないか検証します。ペコ。あ、
[00:30:11.480] 何?かっこいい音なってるけど。
[00:30:15.880] かっこいい音なったよ。
[00:30:17.840] 見せろ。
[00:30:18.480] ちょっと待って。ちょっと待って。どうやって見せればいいの?これは、これさ、ちょっと待ってね。あのさ、俺さ、あれなんだよね。
[00:30:26.279] コンセントもコンセントじゃねえや。えっと、あれ持ってないんだよ。コントローラーな何でもいいんだよね。
[00:30:36.640] コントローラーってこれ何でもいいんだよな。コントローラー持ってコントローラー持ってないんで。ちょ、ちょっと待って。今ちょっとはプレステ
[00:30:44.600] 5
[00:30:44.760] のやつで動いたよ。どしての機能つけてバグ対応したのか。
[00:30:52.279] え、これ[笑い]さ、
[00:30:55.600] どうやったら起動するの?これ。これって
[00:30:58.440] どうやったら起動するの?これでしかも
