[00:00:21.119] うい。お疲れ。
[00:09:12.959] 10個。
[00:09:19.240] 10個取り逃してんだ、俺宝。
[00:09:21.839] これが王の中の王角が違うぜ。
[00:09:24.760] 前回のありがと。クラゴンクエスト
[00:09:27.839] 1。ワンパさ
[00:09:32.680] Eマ2Dレ負け。
[00:09:35.720] 前回のおさい矢印完全電子化したら配達しなくて済むね。
[00:09:40.680] ありがと。
[00:09:40.959] 完全電子化ってならないんじゃないかな。完全電子化ってながらならないんじゃないかな。待って。しかもん。しかも待って。ここん
[00:09:51.800] 1回はもう何もないんだよな。
[00:09:54.560] 1
[00:09:54.800] 回は取りました。ガバタンもいいとこだろ。や、メディアはさ、あれだよ。あれ、ここ何もねえんかな。
[00:10:05.839] え、盗賊な。あと10個あります。でも
[00:10:09.000] ここ何も引かんないから多分ここにはな
[00:10:11.240] いってことだよな。ああ、他んところこれ
[00:10:13.959] ボスんとこいっぱいありそうだな。
[00:10:18.200] やっぱさ、これゲームとかもそうだけどさ
[00:10:20.120] 、やっぱ俺みたいなさ、あの現物中がいる
[00:10:23.000] からさ、現物中がいるからやっぱりさ、
[00:10:26.040] なかなか完全電子家ってならないと思うん
[00:10:28.160] だよな。
[00:10:30.800] このフロアにはない。このアーフロアには
[00:10:33.040] いかないから進んじゃっていいね。
[00:10:37.320] もうMSX買っちゃったよ、みんな。
[00:10:40.597] [笑い]
[00:10:42.600] MSX買っちゃったよ。あ、プラプラさん
[00:10:45.639] 、こんばんは。大回です。大回。
[00:10:52.120] 小さなメダル集めて、小さなメダル集めて
[00:10:54.959] 、え、ちょっとレベル上げしてラスボス
[00:10:57.760] 行こうぜ。で、今日ちょっと、ま、7時、
[00:11:01.320] ま、7時ぐらいまでかなと思ってた配信ね
[00:11:03.639] 。で、もうもし早くクリアしたらちょっと
[00:11:05.519] 2やろうぜ。やっぱ俺これちょ迷ったんだ
[00:11:08.279] けど、ドラゴンクエスト12クリアしたら
[00:11:10.959] 2連続でやるわ。ま、仕事始まっちゃっ
[00:11:13.839] たらなかなかあの配信頻度ちょっと土日と
[00:11:16.680] かになっちゃうからちょっと少なくなっ
[00:11:18.040] ちゃうけど。まあでもまあでも長くなって
[00:11:20.920] もまあいいべ。まったりやってくべ。ま、
[00:11:22.760] 平日もやれそうな時はやる。短くなると
[00:11:25.000] 思うけど。
[00:11:28.360] 皇族の花。このエリアにあと
[00:11:30.560] 10
[00:11:30.800] 個あるからね、宝が。どんだけ宝取ってないねんていう。
[00:11:32.342] [笑い]
[00:11:35.399] 10個あんだから。
[00:11:36.800] 無理せずにちゃまさんのペースで。
[00:11:38.720] そうだね。もう平日はもう多分
[00:11:40.360] 1日やれたとしてもさ、やっぱ
[00:11:43.360] やれてもさ。そう、MX
[00:11:45.040] 買ったねん。やばない?
[00:11:46.920] いや、ま、未だに新聞買ってる人大体老人だからなくなる。全部で何個あって
[00:11:53.519] 10個なんだろうね。ね、本ん当だよね。
[00:11:55.480] 全部で10個中の10
[00:11:56.720] 個なんじゃない?あ、今こお疲れじゃん。今もこお疲れ。大最終回。最終回やる。最終回で、あの小さなメダルを集めからなった。
[00:11:57.888] [笑い]
[00:12:13.320] NSX何?ほら、このフロアにあと
[00:12:20.199] 10個宝があるらしいよ。お疲れ。
[00:12:22.123] [笑い]
[00:12:23.680] ガバタンもガバタン。
[00:12:25.079] りさん、こんばんは。リミさん、こんばんは。あ、今日大周回な
[00:12:28.800] 2000万今日のスポーツカー。
[00:12:30.760] ええ、知らね。興味ねえ。
[00:12:33.913] [笑い]
[00:12:35.320] 2000万のスポーツカー興味ねえな。
[00:12:37.680] 2000万のスポーツカーより
[00:12:39.920] 30年前のホビーパソコン。MSXな。
[00:12:44.639] MSX来たら今日最終回?
[00:12:48.720] いや、今日最終回。だべ、今日、え、レミナ。
[00:12:53.240] え、何なん?そのうち
[00:12:55.560] なねなくね?まあまだあの本
[00:13:07.160] MSX
[00:13:07.839] を本体買っただけであのソフト何にも買ってないんだけど高くて買えねえよ。
[00:13:12.399] 6万そうやな。笑
[00:13:15.839] 1番奥やな。
[00:13:16.720] これやっぱ1番奥か。これあるの
[00:13:18.920] 1番奥だろうな。多分そんな感じするわ。
[00:13:22.399] ソフトがさ、本体と同じぐらい高けえから
[00:13:24.440] さ。[笑い]
[00:13:25.959] ま、少しずつ、少しずつ。
[00:13:31.240] しかもちゃんとフロッピーディスク
[00:13:33.040] ドライブ搭載のMSX2買ったからね。
[00:13:38.320] えー、ここレミラマ。ええ、なんでここも
[00:13:42.360] ないの?10個もあってこんだけ回ってな
[00:13:44.839] いって多分1箇所にめちゃくちゃ集約され
[00:13:46.800] てるってことじゃない?
[00:13:52.519] え、ここないんかい?
[00:13:57.399] どうしよっかな?35枚さ。35枚欲しい
[00:14:01.480] んだよ。小さなメダルね。でも俺も33枚
[00:14:04.279] あるんだよ。でもせっかくだから全部の
[00:14:07.199] ダンジョンちょっと回りたいよな。40枚
[00:14:10.000] ぐらいになるかな。そしたらぶっちゃけ
[00:14:12.440] そんないらないんだけど。あ、来た。
[00:14:16.920] 不思議な木の実。木の実もめっちゃ溜まっ
[00:14:19.120] てるからな。全部爆食いしてこう。
[00:14:25.480] なんかこれこういうとこ見てない。うわ、
[00:14:26.880] なんか、あ、絶対なんかあるよ。ここ何も
[00:14:29.639] 見てないもん、俺。こんなとこ
[00:14:32.600] ないんかい。そしてなんやねん、これ。え
[00:14:35.399] 、ないの?
[00:14:38.160] 違う。間違えた。
[00:14:40.199] あれ?あと9個もどこにあんだよ。
[00:14:45.240] ここで9個あんのかよ。全
[00:14:48.680] がいっぺやら。なんだこれ?なんだこれ?
[00:14:52.199] 宝がいっぺやら。ここ
[00:14:55.120] なんだこりゃ。[笑い]
[00:14:58.079] なんこりゃ。
[00:15:01.079] 宝がいっぺわ。すんげえ光るわ。
[00:15:05.839] 何これ?
[00:15:06.759] 全部いただき。
[00:15:07.759] こんなとこあったんかい。これ取り
[00:15:11.279] かったんや。
[00:15:11.959] これ何?来てない。え?ここ来てないことなくない?だってボス戦ったじゃん。ボス戦ったよ。ここ
[00:15:18.560] どんだけ見落としてたん?
[00:15:19.880] いや、ありえないよね。何これ?
[00:15:23.519] チームだとこか宝まで残してん。
[00:15:26.279] もう宝箱そのまま置いてあるんだけど。でもさ、いや、もうこれもうぶっちゃけもういらないねんな。この辺の目覚ましリングとかもう全部ロトのさ、ロトの装備やってっからさ。
[00:15:37.399] 小さなメタルな。何なんだよお前。何君?反対には何が
[00:15:46.485] [音楽]
[00:15:49.720] 1番効くんだ?早ぶ先にしかねえ。
[00:15:53.519] 見ても
[00:15:56.360] やめろ。やめて。
[00:16:06.880] なんかでも今日多分今日
[00:16:11.720] 7
[00:16:11.880] 時まで配信しようと思ってんだけど多分そんなに竜王かないだろうからちょっとドラクエ
[00:16:18.279] 2かじろうぜ。ちょっとドラクエ
[00:16:20.079] 2
[00:16:21.279] 君。あ、レベルった。やったぜ君臭いで。
[00:16:30.360] 賢者の水あざす。チーメダい。もう全然ないやん。チーメダ。これでもう全部取ったんか?
[00:16:38.720] レベルだぶ上がったな。
[00:16:39.920] レベルだいぶ上がったよ。待って。えー。はい。もう魚ないです。はい。帰ります。したらさ、どこだ?今、今俺どこにいるんだっけ?
[00:16:52.519] 賢者の精水ゴだったらえぐい白物。
[00:16:53.951] [音楽]
[00:16:56.040] どういうこと?お嬢様精水みたいな感じ。
[00:16:59.839] ここ何?わしどこにいるの?今。はい。
[00:17:04.400] ああ、岩鳴き島で精霊な精霊の祠行きます
[00:17:08.120] か?じゃ、
[00:17:15.880] ここあんのかな?
[00:17:20.079] なんか思ったよりもうあと何箇所かしか
[00:17:23.600] ないけど。ここあるんかな?
[00:17:27.559] あ、あるね。
[00:17:32.080] 小さなメダルください。
[00:17:39.559] ここもあるぞ。ここも匂うぞ。
[00:17:42.880] あるじゃん。うわ、しかもこんなお前違う
[00:17:46.960] 。なんだお前。
[00:17:49.720] え、後ろ。
[00:17:52.600] 賢者の精水。
[00:17:56.679] お嬢様精水ゲット。
[00:17:59.000] あと1枚じゃい。
[00:18:03.840] えー、聖なる祠ら。あ、あ、精霊の方。あ
[00:18:08.080] 、こっちか。
[00:18:12.799] これ全部で小さな見たら40枚だったっけ
[00:18:15.240] ?
[00:18:18.400] なんかありそう。行けそうだよね。
[00:18:24.679] おお、あるんだね。どこ?どこ?
[00:18:30.520] え、どこ光?あ、
[00:18:35.000] あ、もう35集まった。よし。瞑想
[00:18:37.159] もらえるぜ。これで
[00:18:43.840] えー、ルーラ
[00:18:48.240] ラダトーム西の島。
[00:18:57.600] あ、ここはもうないと思うよ。俺全部拾っ
[00:18:59.880] たと思うよ。ここは[音楽]
[00:19:02.520] おいや、あるんかい?いや、ありました。
[00:19:03.919] まだ全然拾ってなかった。
[00:19:15.360] お、何これ?こんなとこに癒しの双葉。
[00:19:19.200] いや、いらないって。何?癒しの双葉。あ
[00:19:21.840] 、もうないんだ。じゃあ
[00:19:25.840] ナす。
[00:19:28.240] あともうリオの城しかなくなっちゃったね
[00:19:29.919] 。ま、いっかもう35あったしな。集まっ
[00:19:32.799] たしな。
[00:19:37.039] あと5枚はもうなんか見つからん。もう
[00:19:38.760] 知らん。
[00:19:42.679] ちなみにここにここに東大元暮らし的な。
[00:19:46.320] あ、ないか。
[00:19:50.080] これよしな。
[00:19:52.559] めちゃめちゃ持ってきたぜ。25枚の褒美
[00:19:55.840] としてバスターウィップいらねえけどな。
[00:19:58.280] 30枚英雄の杖。瞑想の巻き物来た。
[00:20:04.960] 瞑想の巻き物来ましたよ。
[00:20:06.600] 皆さん、これが欲しかった。ぐ
[00:20:13.280] いいぜ。そして種めっちゃ食うぜ。種全部食うぜ。もりもリ食ってこう。あ、間違えた。特薬草っちゃった。うちゃうちゃう。
[00:20:32.320] ラックの種
[00:20:35.679] スタミナの種
[00:20:39.200] 魔ホステ魔法捨て覚え
[00:20:48.480] ました。魔法だハロだ。
[00:20:54.600] 忍び足でも忍び足って別に
[00:21:00.280] ヨガフレーム
[00:21:02.199] [笑い]
[00:21:03.200] ヨガフレイと瞑想来た。瞑想なんですよ。これが欲しかったんです。イエー。
[00:21:22.799] ぶっちゃけもう竜王勝てるやろ、これ。ぶっちゃけもう竜王勝っちゃいそうな感じするんですけど、もう
[00:21:34.294] [音楽]
[00:21:36.720] 10え、だってさ、もう瞑想あるんだよ。
[00:21:41.880] なめてる。
[00:21:45.200] 瞑想して。あえ、20も使うんだ、これ。
[00:21:48.000] HPを大幅に回復。
[00:21:53.400] やっぱ俺40枚しかないんだ、これ。わあ
[00:21:56.120] 、戦いのドラム欲しいなあ。え、あと何枚
[00:22:01.159] だっけ?あと4枚なんか。え、あと4枚
[00:22:04.320] 探すか。え、探すって言ってもでもあと
[00:22:08.720] どこにああんのって感じなんだけど。
[00:22:11.720] あとどこにある?あとどこにあるんだ?
[00:22:17.000] 秘密の場所とか。
[00:22:19.159] ああ、それって俺が行ってないとこがあるってことだよね、多分。ええ、俺が行ってないとこがあるってことだよな。え、待って待ってな。う、なんでこええおええよ。
[00:22:39.000] え、よ、え、よ、
[00:22:41.960] 4個宝あるの?
[00:22:44.720] ガバガバ。笑。ダブ
[00:22:46.520] え、俺やんなかった?ここ最初。え、やってないんだっけ?ここやってないんだ。全
[00:22:51.585] [笑い]
[00:22:55.960] ガバタン。
[00:22:56.799] いや、ひどいな。ひどいよ。
[00:23:03.400] かのごと笑。
[00:23:05.279] え、こんな一番最初やん、ここ。
[00:23:09.925] [笑い]
[00:23:10.840] こんな調べてないの?
[00:23:13.960] 勘弁して。これあるな。
[00:23:19.200] そりゃありますわな。入っちゃった。
[00:23:20.559] 間違った。ここはないでしょ。さすがに。
[00:23:24.240] ない。さすがにな。[音楽]
[00:23:26.840] いや、これあるな。
[00:23:29.240] あっち側か。
[00:23:32.679] あと4つ。結構あるわな。結構ありますわ
[00:23:37.919] な。
[00:23:39.799] 結構取り逃してますわな。
[00:23:43.080] やっぱそこか。
[00:23:48.571] [音楽]ここどこが光ってるの?これどこ
[00:23:51.080] ?ん?こっち?こっちか?
[00:23:55.520] ああ
[00:23:57.200] 。初めて来たもん。ここどこ?あ、これ
[00:24:02.120] 力の種いいじゃないのよ。
[00:24:06.279] え、あとどこ?あともう1個あんだろう。
[00:24:12.840] どこだろうな。あともう1個あんだよな。
[00:24:15.960] もう1個あるよな。
[00:24:20.080] うまいねえ
[00:24:25.640] 。どこにあんだろう?
[00:24:29.559] え、全部マップ映ってると思うけどね。
[00:24:35.559] あ、間違えた。
[00:24:38.559] あれどこだ?あともう1個。[音楽]
[00:24:47.120] これさ、ミニマップじゃなくて画面に映っ
[00:24:49.360] てるわけだめ。そんなことないよね。
[00:24:54.440] うまいな。
[00:25:01.480] え、こんなとこないの?え、どこ?
[00:25:06.517] [音楽]
[00:25:07.919] ん?なんかあった?違う。
[00:25:15.080] あ、分かった。城んところだ。こっちだろ
[00:25:18.679] ?ああ、こっちだ。絶対
[00:25:22.480] なんかあんだろう?ないんかい?え、
[00:25:27.559] ここら辺か?え、ないじゃん。
[00:25:32.720] はどこだ?え、ないよ。
[00:25:44.960] 本、こんにちは。
[00:25:46.000] ルビさん、こんばんは。こんにちは。大最終回。あ、来た。わかんねえ。女
[00:25:56.000] チメダーツったところだっけ?
[00:25:58.240] いら、終わってない。まだやってるとこ。
[00:26:02.000] あと4
[00:26:02.520] 枚欲しいねっていうとこも一応目標の目標の
[00:26:08.520] 35枚は集めたんだけど
[00:26:12.880] 39
[00:26:13.600] 枚集めて戦いの欲しいねっていうところなんすよ。このフロアにはやっぱないね。そりよ。そらそうよ。わしやったもんこ。
[00:26:30.679] でもあと4枚ってかなりしんどいんじゃ
[00:26:33.440] ない?これもうないよ。探すところ
[00:26:36.520] ないね。ほら
[00:26:46.078] [音楽]
[00:26:47.080] 秘密の場所ってどんくらいあるんだろう?
[00:26:49.120] 俺多分まだ行ってないとこあるよね。うん
[00:26:51.799] 。
[00:26:57.200] なんかそれやってたら今日もクリアでき
[00:26:58.880] ないとかそんなことはそんなことはないよ
[00:27:01.679] ね。さすがにな。
[00:27:08.240] いや、もうないと思うな。
[00:27:20.138] [音楽]
[00:27:23.240] ないね。いや、もうこれないわ。もうこの辺全部やったもん。もうここはこれもう全部やった。やったから。え、だってどうやって探せばいいの?
[00:27:34.159] ねえんだわ。
[00:27:36.120] え、秘密の場所って結構あんのかな?俺が
[00:27:38.559] まだ見てないやつ。
[00:27:41.279] したらさ、もうこの大陸全てをさ、
[00:27:45.880] 大陸全てを俺が横断していけばさ、いつか
[00:27:48.440] は見つかるっていう。
[00:27:54.880] ちなみにここでレミラーマとかやったらさ
[00:27:56.600] 、
[00:27:59.399] この近くにもう宝はないらしい。
[00:28:04.440] 秘密の場所ってどこやねん?
[00:28:08.320] これもうマップこ全部これさ、
[00:28:13.720] こう秘密の場所ってこういうとこ入れたり
[00:28:15.919] するんだよな。なんかな。いや、そんなん
[00:28:18.840] 見つけろっつったってもう無理やで
[00:28:21.200] ぶっちゃけそんなん
[00:28:25.320] 戦いのドラムでも欲しいよな。
[00:28:36.760] あ、さすがにこれ全部探すのはちょっと
[00:28:41.799] 、あ、現実的じゃない気がするぞ。わし、
[00:28:47.120] わし
[00:28:55.320] こういうとこ入れたりしないしないよね。
[00:28:59.679] 53歳。
[00:29:02.840] わし
[00:29:04.559] 53
[00:29:05.279] 歳と汚れ好きの兄ちゃん。いや、もうこれ無理な気がするわ。ああ。ああ、ああ、あ、こんなとこ入れそうじゃね。あ、違うか。
[00:29:19.519] いや、でもねえ、これもうちょっとなんかさ、秘密の場所さ、なんかさ、ないのかな?
[00:29:30.360] 諦めちゃだめだよ。[音楽]
[00:29:31.600] いや、だってもう今日クリアしたいよ、俺。もう、もうやだよ。今日クリアしないともう明日からお仕事始まっちゃうんだから。したらまたしたらお前来週末だぞ。
[00:29:43.360] ここまで来たら完全クリアしたいところ
[00:29:46.120] だってさ、これ全部見て回まんの無理だよ。
[00:30:09.130] [音楽]
[00:30:13.039] 今日で休み終わりなんて信じられない。
[00:30:15.399] いや、ほんまにまだ全然休んでないんですけど。あ、なんかあったぞ。あれなんか。あ、
[00:30:20.440] 教えていいの?
[00:30:21.600] ええ、いい。まだなんかあった。これ絶対そうやろ。おら。あとよ。お、くわ。ほらな。
[00:30:24.851] [笑い]
[00:30:38.559] 死ぬか。
[00:30:40.571] [音楽]
[00:30:42.039] こういうのが。こういうのがあるんだ。
[00:30:46.519] こういうのか。
[00:30:49.760] これだよ。いや、頼むから1枚でいいから
[00:30:52.480] くれ。ねえ、なんでないじゃん。
[00:30:57.639] 何ここ?
[00:31:00.221] [音楽]
[00:31:03.200] なんだよこれよ。こんな思わせぶりな配置
[00:31:06.679] しやがってよ。
[00:31:09.120] 何もねえじゃねえか。
[00:31:12.960] ちょ、じゃ、ありそうなとこ探すか。あり
[00:31:14.679] そうなところ。
[00:31:20.639] ちなみにこれ、このさ、秘密の場所ってさ
[00:31:22.799] 、あ、秘密の場所ってこれルーラ登録され
[00:31:26.080] ないんだ。[笑い]
[00:31:28.159] もう絶対鳥ああ、じゃあなんか今まで何
[00:31:31.639] 箇所か言ってたけど俺そんなとこ、そんな
[00:31:34.519] とこ覚えてないからね、ぶっちゃけね。
[00:31:40.799] ルーラ登録されねえんかい、これ
[00:31:47.240] 一応ないね。
[00:31:54.586] [音楽]
[00:31:56.559] なんかレミラーマとかでなんか近くに
[00:31:58.480] なんか秘密の場所がありそうとかさ、言っ
[00:32:00.399] てくんねえかな。
[00:32:03.757] [音楽]
[00:32:07.000] いやあ。わかんねえな、これ。ちょっと
[00:32:11.617] [音楽]
[00:32:14.039] ちょっとこれ
[00:32:16.000] わかんないよ、俺。
[00:32:21.760] あのでもね、このね、ここめっちゃ
[00:32:25.279] 怪しくない毎回思んだけど、毎回も
[00:32:28.639] 行った気がすんけど。
[00:32:29.679] ちなみに秘密の場所が地図上で分かるよう
[00:32:33.000] 設定あった。
[00:32:37.799] ラララルロ
[00:32:44.639] てかこれもラロラロラもうこれでよくね、
[00:32:49.440] もうこれで良くねえか。[笑い]
[00:32:53.480] え、もうこれでいいじゃんねえ。もう
[00:32:57.120] どうせクリアするだけなんだからね。もう
[00:33:00.480] これはまあいいとしてもこれで行こうか。
[00:33:04.017] [笑い]
[00:33:04.039] 草。
[00:33:06.120] どれ?あ、ああ、なんかい、なんかいっぺ。あら、どこが秘密の場所なの?え?え?こんなのは分からん。
[00:33:25.200] 橋本が始めた物語だ。
[00:33:27.720] こんなのはわかえないん。え、な、しかも。
[00:33:31.480] え、何これ?ないの?じゃ、何のために
[00:33:33.880] あんねん?これなんだ?てめえらこれ
[00:33:37.360] どうでもいいよ。
[00:33:45.240] いや、ないのかよ。
[00:33:47.903] [音楽]
[00:33:54.279] じゃ、こちらから。おお。おおおおおおお
[00:33:57.639] 。いっぱいあるね。
[00:34:04.200] えっと、あれどっから行けばいいんだろう
[00:34:05.720] ?リムルダールか。ここだな。
[00:34:18.359] で、一応ここでも盗賊の花をやると。
[00:34:28.639] いいよ。サクサクだよ。
[00:34:36.373] [音楽]
[00:34:48.839] こんなんわかんないよな。
[00:34:52.520] いや、しかもないのかよ。
[00:34:55.839] ないのやめてよ。
[00:35:00.359] 当たっちまうちと早く動いてくんねえかな、これ。ああ、こんなとこは行ってると思いますけどね。これは分かるもんな。行ったことあったとしてもこれ拾ってないな。
[00:35:01.264] [音楽]
[00:35:24.844] [笑い]
[00:35:30.084] [音楽]
[00:35:32.800] 刃のブーメラン。いや、ちょ、小さな
[00:35:35.640] メダルマジくんねえか。
[00:35:38.280] いや、派手な服とかいらんって。マジで
[00:35:43.400] 全部立て行ったでしょう。
[00:35:47.079] この端っこってさっき行った。
[00:35:57.319] で、ここも一応唐の花やってないね。
[00:36:06.920] よし。
[00:36:13.000] なんか昨日さ、じゅんちゃんと遊んだんだ
[00:36:14.520] けどさ、なんかしんねえけどさ、じん
[00:36:17.000] ちゃんがさ、メタルギアソリッドデルタ
[00:36:19.880] だっけ?なんか、なんかしんだけど、ただ
[00:36:21.599] でくれたんだよね。[笑い]
[00:36:24.319] どうしたんあいつ?あ、これさっき行ったな。これ行ったとこだよね。あ、行ったとこだね。これえ、これチマさやるとかつって
[00:36:37.240] 宝くじ当たったんかな?
[00:36:39.040] うん。なんかはり良くなってたな。なんかタッツにも飯奢ってたし。なんかはり良くなってんな、あいつ。
[00:36:44.100] [音楽]
[00:36:46.520] 9
[00:36:46.599] 時でも当たったんか。え、チバさん、これあげ。今記念だろうな。
[00:36:52.599] レースメーカーもう止まるんじゃねえの?
[00:36:54.880] そういうことかな?ちょ、これやる
[00:37:00.720] くれなんて人言も言ってないけど。なんかなんかなんかくれた。いや、違う。間違った。え、ここどうやって行くの?じゃあ
[00:37:03.095] [笑い]
[00:37:12.040] ルーラのマップには行ったことある秘密の場所が記されてるっぽいね。
[00:37:14.230] [音楽]
[00:37:18.560] 何?何ということは俺じゃ行ってねえとこまでいっぱいある。え、そんなことないっしょ。え、そうなの?ここ行ったっしょ。あれ?ここ?あれ?こんなとこ。いや、行った。行った行った。行った行った。いやいやいやいや。違う。これ全部映っでしょ。
[00:37:45.359] 設定の話。
[00:37:46.800] え、なんかね、なんかさ、なんかここポよぽよしてんの。何これ?これポよポよしてんの?何?あ、これが行ったことないところってことか?
[00:37:57.280] それや
[00:37:58.560] なあ。だにま、でも行ったことあるところももう
[00:38:04.400] 1
[00:38:04.520] 回全部ちょっと調らみつぶしようぜ。多分取ってねえから。あ、いやあ、そういうこと。じゃ、近くにあるやん。なる。
[00:38:13.720] あなるほどね。
[00:38:22.040] 穴う
[00:38:25.720] なんか
[00:38:25.920] hikの子供の顔出ちゃったんでしょう。
[00:38:30.560] hikのミニキのなんか顔を流出したんでしょ?
[00:38:36.319] なんだ?
[00:38:36.920] うんらしい。
[00:38:37.599] 自分で自分で配信で動画再生したら編集ミスで顔消えてなかったらしいよ。大変だよな。クソ焦って配信切ったらしい
[00:38:44.621] [笑い]
[00:38:51.200] なのに。バカが拡散しまくってなんかもうもう配信やめるかもみたいななってるらしいよ。ああ、ことないね。
[00:39:01.651] [音楽]
[00:39:08.480] あと3
[00:39:09.079] 個もある。ください。やん。うんと行ってねえところ。え、どこ?
[00:39:25.800] やろうな。
[00:39:27.520] うーん。どうなんだろうね。いやあ、小さなメダルねえな。
[00:39:36.720] 開示だな。
[00:39:39.359] 小さなメダル。ナッシングやね。
[00:39:47.319] 小さなメダルなす。いやあ、あるね、この
[00:39:50.200] 辺も。
[00:39:53.200] まあまあまあ、行ったことないところと
[00:39:55.200] 行ったところ全部ちょっと秘密の場所回っ
[00:39:57.359] てこう。
[00:40:06.680] でも顔、顔映っちゃうとかあるんだね。
[00:40:10.119] なんか、[音楽]なんかいつもなんか
[00:40:14.000] モザイクみたいのかけてたんだけど
[00:40:16.720] ちょっと振り返った。1秒間2秒間ぐらい
[00:40:19.280] なんか入ってなかった瞬間があったらしく
[00:40:22.240] て。あ、初めて来た。
[00:40:26.200] あれ?おめ、あれじゃねえの?なんかあれ
[00:40:28.200] ?
[00:40:30.119] おお、なんだこいつ。[音楽]
[00:40:34.960] なんかこいつだけ自系列おかしくねえか?
[00:40:38.720] あ、ないんだ。しかもええ、でもこれ
[00:40:41.400] 小さなメダルあるんか、これ。
[00:40:51.599] あ、その辺にもある。ああ、この辺にも
[00:40:55.280] あるね。
[00:40:57.319] ちょっとじゃ、この辺。
[00:41:00.240] ああ、その辺にもあるね。
[00:41:04.280] ちょっと遠いけど歩いていくか。そこを
[00:41:07.480] こっち回って間違えた。
