[00:00:35.520] しぐしみょだな。うい。お疲れ。
[00:06:58.319] なんか神奈川の人ってなんかお前らとは違うみたいなとこあるじゃん。いや、一緒だから。うん。一緒だから。あの首都じゃない時点でもう一緒。みんな一緒ね。関東なんか全部もう全部いなかということでやっていきます。あと許せないのがさ、神戸あのさ、なんでさ、神戸住んでる人ってさ、どこについて何?口の右のとこに何かなんかついてるな。なんかついてる。なんかついてるね。取れないけど。あ、取れた。取れた。
[00:07:27.120] よくわかったな。
[00:07:28.960] よくわかったな。よくわかったな。ハチこんばんは。はちこんばんは。よくわかったら怖いんだけど
[00:07:34.680] で大な。
[00:07:35.720] 怖いんだけど。怖いんだけど。なんでどんだけ俺のこと見てんだよ。やめろよ。やめろよ。おい
[00:07:42.759] おいやめろよ。恥ずかしいから。あんま俺のこと見んなよ。何もこらこんばんは。こんばんはじゃない。何?栃地家で大概何?何?何それ?え?知らない。え?知らない。何それ?知らない。
[00:07:55.520] ニュースとか見てないからごめん。
[00:07:58.120] 配信してるのに見るなよ。はさ、
[00:08:00.879] よくわかったらでもここで神の川の住宅に強盗
[00:08:05.280] 69歳女性死亡複数人が逃走男
[00:08:09.319] 1
[00:08:09.440] 人の身柄確保。見るなよ見るなよ。この画面ちゃまゲーム外見るところないだろ。
[00:08:15.759] 16歳が65歳バールで勝ち殴ったやつ。
[00:08:20.840] マジはこ
[00:08:26.479] いや、マジそれ
[00:08:27.720] ということでね。
[00:08:29.560] うんちゃんこんばんは。え、マジで?え、何?犯人ろとんねん。
[00:08:33.640] 犯人逃げてんの?いや、ちょっと怖すぎてごめん。割れちゃった。怖すぎて笑れちゃった。え、マジ?
[00:08:39.479] 普通に怖くて逃走中だよね。
[00:08:42.479] 1
[00:08:42.640] 人しか確保されてない。ちょっとまずいかもな。
[00:08:49.120] こえ、ちょっとマジか?いや、なんかえ、マジでそれ怖いな。
[00:08:55.920] 鍵閉めてこよ。
[00:08:56.959] いや、鍵閉まってるけどさ。鍵閉まってるけどさ。え、チェーンまでした方がいい。チェーンまでしてきた。
[00:09:03.680] え、ちょっと待って。ちょっと
[00:09:05.200] チェーンしてこよっか。
[00:09:07.079] してきて。
[00:09:07.880] してこっか。え、マジで?全然知らなかった。何それ?
[00:09:12.360] チェインした方がいい。
[00:09:13.600] マジでした方がいいじゃん。
[00:09:14.880] スト。ひえ
[00:09:16.640] ちょっとと詰まりストフと妻詰まりストフ怖。マジか。ちょっと待って。無事に帰ってきてくれ。
[00:09:47.200] このまま帰ってこなかったらどうしよう。リスナーは不安に思っていた。ちょっと遅いな。いや、
[00:10:00.680] いや、まさかな。
[00:10:03.040] ちょっとあえてあえてちょっとさ、廊下の電気つけとくわ。
[00:10:08.240] 遅くねえだろ?遅くねえだろ?怖。マジで
[00:10:12.000] 。あえて廊下の電気つけといたわ。あの
[00:10:14.399] 怖いからとかじゃなくて、ま、それもある
[00:10:15.720] んだけどいるぞっていうのが外から分かる
[00:10:18.480] ようにいますよっていうのがこの家からね
[00:10:22.640] 分かるようにあえて電気作るか。
[00:10:24.839] あとベランダの鍵ももちろん縛ってるけどベランダの鍵のベランダの鍵のこのさ、大きな声出してこういう
[00:10:33.120] こういう鍵のこういう鍵のさ、横の
[00:10:36.800] これまで閉めてきた。分かる?こういう鍵の横のチっていうあのなんか開かなくなるやつ。
[00:10:44.639] あそこまで閉めてきた。え、マジか?全然知らなかった。ちょっとニュース見なきゃダめだな。怖。
[00:10:49.720] 後ろ誰かいたら米メする。
[00:10:51.279] うん。本ん当やめてね。本ん当そういうの本当やめてね。
[00:10:53.839] 本当やめてね。俺YouTubeやってる
[00:10:55.360] 時、昔YouTubeやってる時にさ、
[00:10:57.639] 同せゼロでさ、やってる時にさ、あの、ま
[00:11:01.639] 、もう夜中にさ、全然知らない人が急に来
[00:11:04.639] て1人後ろの女の子誰でかてコメントされ
[00:11:07.560] てガチで怖かったんだから。そう。なんか
[00:11:10.360] いや、絶対嘘だろうけど、なんかその
[00:11:11.839] 趣味悪すぎない?いや、趣味すぎるだろう
[00:11:15.079] 。だってさ、趣味すぎるだろ。そのか疎る
[00:11:19.560] 配信に来てさ、ちょっとそれだけ言ってい
[00:11:21.880] なくな。
[00:11:23.360] どんな遊びで?どんな遊びで?全然知らない人
[00:11:26.519] の方が怖い。
[00:11:28.560] おい、ふざけんね。ふざけんな。そういう時代があんだ。誰にでも同説ゼロ時だってあんだよ。ありました。昔な。
[00:11:36.320] チャンディ
[00:11:36.720] 怖い怖い怖い怖い。
[00:11:38.040] チャンディ14。
[00:11:39.000] 怖い怖い怖い。チャンディの顔マジ怖いからということでやっていきましょうかね。今日もね、まあり、まありア民、アミエルギーザ眠ーザやってきます。
[00:11:53.240] よろしす。やってくよ。やってくよ。
[00:11:56.639] またありた。おやすみ。
[00:11:58.519] また見てけよ。見とけよ。見とけよ。
[00:12:01.920] 見てけよ。見とけよ。アミエルギーズやってくよ。白いな、相変わらずここちょっと待ってね。このロゴでかくした。こんドんドんドんドん。はい、よろしくお願いします。
[00:12:21.040] パスワードパスワードを入れよう。
[00:12:23.279] セットしてたんや。
[00:12:24.440] パスワードを。そうだ。これは毎回この毎回このロゴをダウンロードするのめんどくせえんだよ。探してくんのがマイナーだからロゴのデータ落ちてないから。この
[00:12:32.240] Lだってこの
[00:12:33.000] Lザの封印っていうロゴさまずネットに落ちてなくて自分で写メ写メしてそれを切り取った。それが
[00:12:41.440] 1番画質いいから。それが
[00:12:43.360] 1番画質がいいから。
[00:12:44.600] 笑笑
[00:12:45.760] 落ちてないんだもん。だって
[00:12:47.360] 草
[00:12:47.920] 落ちてないんだもん。
[00:12:48.600] エリギーザの封印のゴ。
[00:12:50.000] 笑笑。手間かかってら。
[00:12:52.120] いや、なんかネットの出てくんだけどに
[00:12:54.600] したもな。
[00:12:55.480] 出てくるんだけど、出てくるんだけど、なんか画質が悪すぎてもうボロボロで画質いいのねえなと思って、わざと箱を自分でこうやって写めとって、で、わざわざ切り取ってやつパソコンに送ってやってる。ま、誰もそんな気にしてないと思いますけどね。誰も気にしてないと思いますけど。でもなんかゴると良くね?ロゴあると良くね?なんかい、よろしく。
[00:13:19.920] はい、ステージ21来ましたよ。こんな
[00:13:23.279] とこまで来ちゃいました。はい。
[00:13:25.240] ルクルクルやくよ
[00:13:29.120] 。やくよ。
[00:13:33.000] まずここの1個取りますよと。
[00:13:36.120] よし、今日リアるな
[00:13:38.480] ねえよ。全60ステージだぞ。ねえよ。全
[00:13:43.720] 60だぞ。
[00:13:48.920] これだからさ、どうやるかな。
[00:13:50.360] 覚醒したらワンチャン
[00:13:52.320] 覚醒したらあるだ。今日多分
[00:13:54.880] 12時半ぐらいまでしかやらないよ。
[00:13:57.680] え、ちょっと待って。ちょっと待ってね。え、ちょっと待ってよ。もうとりあえずこれわかんねえから。考える前にやる。考える前にやる。わかんねえから。だってわかんねえから。考える前にやる。どんどんどんどんやってやっていけばそのうち分かるようになるから。
[00:14:15.759] ああ、周り見てた。今周り見てたよ、今。そこからおい、そのリス狩りやめろや。リス狩り。
[00:14:25.199] そっか
[00:14:25.920] ねも。何、そのなんか霊承。え、何そのなん、そう、そういう感じだよね。なんかうんちゃんってなんか結構そういう感じあるよね。
[00:14:35.120] なんかあれかな?なんか四春期、あの、あれだろうな。
[00:14:38.639] あの、なんかあの
[00:14:41.320] 、あの修学旅行楽しむの恥ずかしいって
[00:14:45.320] 思ってるタイプの
[00:14:47.880] 修学旅行楽しむの恥ずかしいと思ってる
[00:14:49.880] タイプのね。いた、いた。そういうやつに
[00:14:52.079] 限って帰りのバスでテンション上がってね
[00:14:53.759] 、あのグリーンとか歌うね。
[00:14:57.120] そういうやつに限な。帰りのバスで
[00:15:00.720] テンション上がってグリーンとか歌うね。
[00:15:03.880] ちゃちゃ楽しむと恥ずかしい。野球な。
[00:15:07.279] 野球部、野球部な、野球部な、野球部の
[00:15:13.600] バスでむっとしてさ。いや、俺別に楽しく
[00:15:16.720] ねえしとか言って帰りの回で2人
[00:15:22.120] なんちゃかんちゃらんルんだよ。そういう
[00:15:25.680] とこあるから。そういうとこあるからな。
[00:15:29.120] ま、待てや。ちょっと待って。今考えてる
[00:15:32.120] から。息も帰りも騒いたわ。可愛い可愛い
[00:15:36.440] な。楽しんでたら2
[00:15:38.120] 日目から熱出しましたけど熱
[00:15:41.160] あ、沖縄行く行ったタイプなんだ。沖縄だったんだ。中学旅行俺たちあの大阪広島大阪だったわ。広島大阪だった。そん時初めてあれ行ったんだよな。あの
[00:15:57.639] USJ初めて行ったんだよ。
[00:16:00.079] そたらなんかハリーポッターランドが
[00:16:01.800] できるハリーポッターランドを建設してる
[00:16:04.600] 途中でさ、ちょうど俺たちが言ったの4割
[00:16:07.399] ぐらい全部白い壁で囲われてた。全然1番
[00:16:11.800] 楽しくない時に行ったみたい。
[00:16:16.399] それでもめっちゃ楽しかったけど。それで
[00:16:18.199] もめっちゃ楽しかったけどな。
[00:16:20.959] それでもめっちゃ楽しかったけどどんだけ
[00:16:23.199] ただから完全体のUSJってどんだけ
[00:16:26.959] 楽しいねんっていう話なんだよな。
[00:16:28.839] 完全体の
[00:16:29.519] USJ。ああ、ここ壊すのは間違ってよりユニバなん?
[00:16:39.199] いやあ、ぶっちゃけな。ユニバだやな。ぶっちゃけな。ユニバだやな。いや、行きたい。マジでマジで行きたい。大阪。大阪仲いい配信者いっぱいいるからさ。そういうあの、そういう人たちにも会いない、会いたいなってのもあるし。あれ、これ、あ、待って。これ、上が、上がれへんやん。
[00:16:58.160] あら、これ上がれないじゃない?もう。
[00:17:02.759] えー、なんこれ?上がれへんやん。
[00:17:07.360] 積んでるわ、これ。積んでる。積んでる。
[00:17:10.160] もう21捨てまで来ると相当むずいな。
[00:17:13.880] たったこの1面の一面のパズルだけど
[00:17:16.880] めっちゃむずいな。これ下降りちゃあかん
[00:17:19.480] な。
[00:17:25.240] えー、めちゃむずいぞ。
[00:17:27.760] 壊す場所を考えなきゃいけないな。
[00:17:31.520] 21
[00:17:32.080] でこれってことはクリまで
[00:17:33.640] 5年かかる?
[00:17:35.400] いや、でも今日まだ3日目だからね。3
[00:17:37.160] 日目で1/3来てるってことは6
[00:17:39.080] 日で行けるんじゃないかなと。今日
[00:17:40.799] 30行きたいっすな。今日30
[00:17:42.840] 行きたいわ。で、壊す場所
[00:17:45.600] 1個1
[00:17:46.200] 個決めた。あ、違う。間違えた。えっとねあ、ちゃうか。ここ、ここ降りちゃダメなんだって。ここ降りちゃダメなん。むず。待って。うねん。
[00:17:55.520] あのまずこの下の段から上に上に復帰
[00:18:00.520] できるための道を作んなきゃいけないよな
[00:18:02.320] 。まずはな
[00:18:05.880] めんどくせえな。いちいち
[00:18:07.840] めんどくせえなこれいちいち。えー
[00:18:12.159] 、アイフィアアイフィオク
[00:18:16.400] アイフィオクね。
[00:18:17.640] オッケー。オケ。オー。オッケー。いいよ。んでまずな、まずな
[00:18:32.880] お先3mあげろに。お先3mあげろに。
[00:18:36.640] よしよし。これでこいつ拾いの。ほんで上に上に復帰できるような道を作らなきゃいけない。まずはな。こうやろ。
[00:18:45.840] ここで。ここ、ここ、ここ、ここ。開け
[00:18:48.760] ます。あ、だめだ、ダめじゃん。ここ
[00:18:52.840] ジャンプできないじゃん。あ、だめだ、
[00:18:54.240] ダめだ、ダめだ。なんだよ、これ。どう
[00:18:56.200] やってやんの?むずくねえか?ペテル、
[00:18:58.559] お疲れちゃん。ペテロ、お疲れ。おい、
[00:19:01.600] むずくね。お前らも一緒に考えてくれ。
[00:19:03.559] お前らも一緒に考えてくれ。
[00:19:09.480] もう分かってるから。嘘つけよ。じゃ、
[00:19:11.720] 教えて。じゃあ教えて。じゃあ教えて。
[00:19:14.360] まで目標だと
[00:19:16.200] 1面10
[00:19:16.880] 分でギリギリなのでかなりそうです。
[00:19:19.720] 無理だね。今日もうだ今日
[00:19:21.320] 10
[00:19:21.559] 時過ぎに配信始めてる時点で今日の進捗はもうあまり期待できない。正味
[00:19:26.320] ポケモンで頭使ってるからすまん。
[00:19:28.640] ポケモン何やってんの?え、何?今ポケモンなんかやってんの?ポケモン何やってんの?さ、下に降りて上に上がるための道を確保しないとこれ絶対無理よね。上に戻るためのああ、分かった。
[00:19:43.200] なるほどね。あ、わかんない。
[00:19:45.520] ちゃん、セームスゴールドった。
[00:19:48.960] いや、違う。やべえ。だからこれは
[00:19:51.360] ちょっと待てよ。これおいにぎは
[00:19:54.440] かはおいもこんにちは。こんヌずは今日もやってます。エルギーザア眠エルギーザもう
[00:20:00.400] 21
[00:20:01.039] 捨てまで来たんだけどバカムじいからな。
[00:20:04.480] ちょっと待て、
[00:20:05.360] ちょっと待て。ちょっと待てよ。ちょっともう、ちょっと待って。ちょっともうむずくないだって。
[00:20:13.679] え、
[00:20:18.400] 弾取るんだよ。
[00:20:20.159] 弾取んのわかるんだけど。ちゃうねん。ちゃうねん。じゃ、
[00:20:22.080] 1回1
[00:20:22.480] 回ちょっと待って。弾取んな分かるんだけど分かってんだ。そんなことはそんなことは分かってんだよ。
[00:20:28.760] ただそのちょルートをさ、あた当たあ、
[00:20:43.840] あこごっぽゴミ。
[00:20:45.799] あ、間違えた。しかも、しかも間違ったし。下のカップル。下のカップルさ、俺下にカップル引っ越してきたって言ったじゃん。
[00:20:58.600] ワンチャン。ワンチャンて別に別チャンス
[00:21:00.760] でもんでも別になんでもないんだけど。
[00:21:02.520] あのカップルじゃないかもしれない。別に
[00:21:04.760] チャンスでもんでもないんだけど。ワン
[00:21:06.960] チャンとかじゃないけど。なんかカップル
[00:21:08.919] じゃないかもしれない。彼氏の姿を見ない
[00:21:10.559] 。もしかしたらじんちゃんにも言われたん
[00:21:14.520] だけどそれお兄ちゃんとかで
[00:21:17.559] 引っ越し越しっ越し
[00:21:20.960] のあれで手伝いに来てたんじゃないの。
[00:21:23.520] 確かにそうかもしれない。
[00:21:26.480] 兄大的けるんちゃう?
[00:21:29.799] お、こんばんは。サブスクありがとう。サブスクありがとうございます。えー、ただいまステージ
[00:21:37.200] 21まで来ております。ただいまステージ
[00:21:40.480] 21です。
[00:21:43.200] 珍しいじゃん。ファンサなんてやめ。
[00:21:46.840] 言うほどファンしたか、俺今。俺今言うほどファンしてたから。え、で、やっぱこれ合ってんだよ。やっぱあってんだよ。こっちでこれ合ってるよ、これで。
[00:21:55.960] こうしかこうしかないもん。こう聞かねえよ。ま、いいやさ。たまにあの出勤する時間が多分被るんだろうな。も互いやあ、お互いに
[00:22:10.559] 1
[00:22:10.720] 番不嫌そうな顔で挨拶もせず挨拶もせず会う時がある。たまにな。
[00:22:16.960] 笑笑
[00:22:20.000] 車も今隣だから。
[00:22:22.360] あの車も隣だから。
[00:22:24.919] ベリークてどベリーベリー
[00:22:27.120] やっぱこれここはこれもう確定よ。こうじゃないといけないもん。え、でも待って。あとはあとハンマー
[00:22:34.039] 1個しかないけど。あ、
[00:22:35.960] 2
[00:22:36.120] 個あるわ。で、どこ壊すのって話なんすよな。どこ壊すのって話なんだよ。
[00:22:52.520] これ金玉全部取るゲーム。よく見て。
[00:22:55.480] そう。これ金玉全部取るゲーム。金玉全部取るゲーム。え、でもここ壊さないと取れないよな。いや、取れる、取れるわ。取れるわ。取る方法あるわ。
[00:23:10.159] そりゃでかい声が毎晩聞こえてきたら寝れないからね。
[00:23:14.360] わ、だから不嫌なんか
[00:23:17.720] 2
[00:23:17.840] 個は自分のあるし取らなくていいんちゃう?
[00:23:20.360] 最悪な。
[00:23:24.840] ちゃまキュンをつぽよ。
[00:23:28.320] おい、やめろ。偽
[00:23:30.840] 偽なんだっけ?名前が出てこねえわ。画面がイボイボできなんでこんばんは。偽高明やめて。
[00:23:42.400] 高明え、いきなりちょっと
[00:23:46.919] 21
[00:23:47.520] 面もういきなり全然わかんないんですけど全然わからんが。
[00:23:52.000] 高ランディ甘いね。高明きは初手キモい顔文字。
[00:23:56.559] キモい顔文字キモいとか言うなってアイデンティなんやからあれがアイデンティなんやからあれがキモいとか言うな。えー、これわかんねえんだけど。
[00:24:11.520] あ、全然わかんねえな。
[00:24:14.320] 笑笑。こんばんは。
[00:24:16.440] とりあえずここはもう確定だよな。多分な。リビさん、こんばんは。だってこうじゃないけもうだって無理やもん。これは絶対合ってんのよ。こうなんだよね。リビさん
[00:24:26.039] 21
[00:24:26.600] 面バカ無じ。こんな高々か一面一フロアのあれなのに。
[00:24:39.120] え、
[00:24:46.919] 戦卒にはむずすぎる。
[00:24:48.760] 20から本気ってわ。
[00:24:50.279] 高卒、高卒、高卒にはこれ厳しいですよ、これ。高卒には厳しい。でや、これ。え、ここかな?ここ壊しちゃうか。
[00:25:04.799] あ、ま、でもそしたらここ取れるよな。そ
[00:25:06.640] したらここ取れるわな。
[00:25:16.039] あ、ま、
[00:25:18.159] 待、まずい。ま、後でちょっと剣とああ、
[00:25:22.880] 分かった。1番最初剣を移動しなきゃいけ
[00:25:24.880] ないな。
[00:25:30.000] え、今日なんかちょっと昨日さ、
[00:25:33.360] 8面から30、30じゃねえや、21
[00:25:35.919] 面まで進めたのめっちゃすごくない?これ、これ考えたら進捗かったな。昨日な、今日ここだけで
[00:25:42.399] 全て分かった。
[00:25:43.640] ここだけで終わる可能性がレゾン。
[00:25:46.640] そうなんよ。そうなんよ。マジでそう。マジでそうで。
[00:25:50.880] マジでそうで。
[00:25:52.320] こういうのって頭で俯瞰して考えるより
[00:25:57.679] 鳥間やっとくしかないの。鳥マやっていく。これが大事。ほいでほいでよ。ここでここで石コを止めてよ。あれすんだべ相当むずいぞ。ここで止めんの?ここで止めんの?相当いけどな。で、あの金玉取る。上に戻るで。
[00:26:20.120] あのハンマーを取って
[00:26:24.159] あいつ来るよね。こっちね。
[00:26:30.679] 結構こいつの待ち時間になるんだよね、
[00:26:32.960] このゲームね。で、ここ
[00:26:37.039] そこから飛角
[00:26:39.240] してた。マジでやりたい。笑く
[00:26:46.760] やね。
[00:26:51.240] ああ、ちょっとこれ無理だよ。ここで
[00:26:53.799] 止めれるか?ここじゃ止めらんない。我慢
[00:26:57.679] できないよ。見こすり反だから。
[00:27:00.799] チゲームはもうチームはもうもうもうもう
[00:27:07.200] もうもうもう
[00:27:09.399] ま、自然会なら最強自然
[00:27:12.720] 界なら最強なんだけどね。助かる。何が
[00:27:16.240] 助かるねん
[00:27:18.320] 。
[00:27:18.520] 何が助かるんだよ。自然界なら最強なんだが。耐えがつかない。不正からしたら。
[00:27:27.919] あ、そうね。そうね。そういうのよく聞きますよね。そういうのよく聞くよね。長すぎてもっていうますよな。
[00:27:34.760] 長すぎてもっていうね。うん。長すぎてもっていう。うん。
[00:27:39.600] 郎よりはしっ。
[00:27:40.600] まあまあよく言いよね。うん。よく言うよね。うん。よく聞くわ。
[00:27:45.919] ポエルプルドどポエルプもはや痴漢出てそ
[00:27:52.120] 何何を言ってんだいみんな怖いならやっぱこれここで合ってんのかなかった分かった別にわざわざそんなことしなくていいんだよ。
[00:28:08.679] こいつがここ来んの?待って。
[00:28:17.080] ほんでこいつこっち来るじゃん。ここで
[00:28:19.480] 待っちゃええねん。ここで待っちゃええや
[00:28:21.240] ん。待っちゃ。
[00:28:24.880] ここで待って。あいつがあっち行くの待つ
[00:28:26.799] 。
[00:28:28.600] オ
[00:28:30.519] 、まだ
[00:28:32.640] こいつが邪魔やな。お前が邪魔なんだ。
[00:28:35.360] おらくない。あ、だ、やべ。
[00:28:40.159] オ、これでしょ。うい。おら。オッケー。
[00:28:43.880] ほんで次は
[00:28:47.240] そしたらこれ上と下行きできるようになっ
[00:28:49.519] たから上と下生きできるようになったべ。
[00:28:53.640] はい。
[00:29:02.240] 邪魔やなこいつ。
[00:29:06.200] オケ。んで、
[00:29:11.760] ま、これは絶対取る場所もう決まってる
[00:29:13.440] から
[00:29:16.440] もここはどっちしろ開けないとこれ弾取れ
[00:29:18.480] ないからな。
[00:29:21.360] 行ったんちゃう?これ行ったんちゃう?
[00:29:31.720] いや、邪魔やなお前。
[00:29:37.960] もろたで。
[00:29:39.000] もろたで。ちょっともうこの待ち時間だね。結構しんどいわ。よし。オッケー。もろたで
[00:29:53.399] 時間制限ないのが救い。
[00:29:55.159] まあね、これ時間制限あったらな。で、あそこから上に時間制限ないもんな、
[00:30:05.159] あれ。で、待って。
[00:30:08.440] あれ?違うかこれ?あれ?これどうやって上行くの?これ。あ、いやいやいやいやいや。いいんだ。いいんだ。あ、いいんだ。いいんだ。こいつが来るからな。こいつが来るからな。あ、いいんだ、いいんだ。よかった、よかった、よかった、よかった、よかった。びっくりした。笑。
[00:30:20.399] いやいや、大丈夫。あ、やってる。こいつがこの岩が来るから大丈夫。
[00:30:23.120] あびねえ。
[00:30:24.000] よかった、よかった、よかった。うまいことできてあるわ。オー、オー。行く。えい、えい。お疲れ。あれ?あ、違う。ここか。邪魔やな、お前。
[00:30:40.120] よし。はい。お疲れ。はい。はい。お疲ちゃんと。オハリス。オ
[00:30:48.519] ハリス。
[00:30:50.440] 賢きも
[00:30:52.240] 賢きも賢きもことチまゲーム。
[00:30:56.240] ぐ
[00:30:57.360] 持ちし物。うん。持ちし物です。
[00:31:00.639] ういじゃん。
[00:31:02.320] 餅ちにしよう。も、持ちし物。はい。
[00:31:05.720] ルクルクルンルクルクルクルクルンま取れるところ取ってこうや考えるよりも先になれるところを取っていく。ここじゃ
[00:31:19.440] 寒くないの
[00:31:20.360] ねえ。寒くない?なんで?え、寒いか?今日全然寒くねえよ。ちゃまさん、こんばんは。
[00:31:35.200] わこわさんこんばんは。わこわさんこんばんは。もう夏やで。
[00:31:38.120] 今日寒いよ。
[00:31:39.279] どこがあってね。これはこれひどいな。
[00:31:44.039] どよ。
[00:31:45.519] これはひどい。
[00:31:46.279] 寒いから窓閉めちゃ。
[00:31:47.559] おいおいかつぶってんじゃねえよ。ランディ。お前は俺と一緒だろ。ノースリーブだろうが。タンクトップだろうが。お前は弾ぶってんじゃねえよ。あれ?これどうやってやんだろう?
[00:32:02.080] ジラだよ。
[00:32:03.880] ちょっと待って。
[00:32:04.279] おにぎり食べてそう。かまと一です。パン一。さすがにパン一はレベル高けえ。いなよ。くそれ。
[00:32:26.120] お猫おにぎりネタ通じないと思う。
[00:32:28.919] 何が何が何が何おにぎりネタって何おにぎりネタ何おにぎり何おにぎりネタって
[00:32:35.360] から
[00:32:38.639] おいナチュラルにお前バ鹿にしてんじゃねえか普通においどういうことだよ何おにぎりネタって
[00:32:46.519] はははははははははやべ
[00:32:48.039] 笑笑なんだおにぎりネタの対象か裸の裸の対象なんだっけ?あのあれかの兄
[00:32:58.480] 花のように
[00:32:59.399] ほらそれじゃね。おい、高卒でもわかるよ、そんなの。
[00:33:03.799] 高卒でも分かるだろ、そんなもん。さすがに舐めてる。さすがに舐めてるわ。高卒でも分かるよ、もうは。そんなに下に見られてんだ俺って。
[00:33:19.880] 高速ごめんね。
[00:33:23.240] あのね、お前ら
[00:33:25.000] 1
[00:33:25.159] 個言っとくけどダメなんだからね。そんなこと言っちゃ。俺はお、あの、俺、俺だから俺、俺、俺はね、
[00:33:33.679] 笑
[00:33:34.360] 配信者だからみんなに何言われてもね、笑って許してあげれるけどダメだからね。そんなこと言っちゃ。ダメなんだからね。お前ら分かってない。なんか、もうなんかそんな言っていいみたいな感じになってるけどダメだからな。
[00:33:48.360] 普通は
[00:33:50.799] 普通にダメだからな。気をつけろよ。怒られたぞ。みんな分かってるよ。
[00:33:59.799] みんな分かった上で俺には言ってるんだ。
[00:34:02.320] 高速とデブは普通に傷つくもん。
[00:34:05.279] 片親パン。
[00:34:06.440] 片パンひどいね。片パン。片親パンとかもダめだよ。言うっちゃ当たり前だろ。
[00:34:22.079] あ、分かった。こっちか。分かった。分かった。オ
[00:34:31.639] 装置きはま、別にそんななんかそれはなんかあんまり該当する人いないからいいよ。
[00:34:39.839] それはし、
[00:34:40.480] それは別になんかあんまり該当する人いないから。俺ぐらいしかいないから。このチャンネルに続放棄で。
[00:34:45.879] 笑笑者だけど片パンはクソおもろいからたまに話してほしい
[00:34:51.320] なあ。スイートブール食いてえよな。スイートブールバカ的けや。あの丸ごソーセージとスイートブール食いたし。
[00:35:01.520] ゴールドスナック食べたい。
[00:35:03.599] ミニスナックゴールドな。間違えんなよ。間違えんな。ミニスナックゴールドな。
[00:35:10.200] ダブル笑。
[00:35:14.160] 両親バレしたわ。
[00:35:17.640] 片親エアプやん。お猫。片エアプや。
[00:35:21.480] あれ手がペトペトなる。
[00:35:26.359] えっと、あとどこ?え、ここどうやって行くんだ?
[00:35:32.720] いいことや。サンミーはギリセーフ。
[00:35:36.359] サンミーはあれ両親パンだろ。親揃いパンだよ。親揃いパン。
[00:35:42.960] え、これ何?どうやっていくの?これ。あれ?僕なんか間違えた。足んなくね?穴開けるものが。
[00:35:51.520] サミ好き。
[00:35:53.839] あ、リアル、リアルサンミー勢もいるんだ、俺。あの、うわ、あ、待って、待って。はあ。俺モコラにもらったけど、まあ
